Migliarello	id=g:2524159
Stazione Catania Acquicella	id=g:2525064
Provincia di Catania	id=g:2525065
Piana di Catania	id=g:2525066
Golfo di Catania	id=g:2525067
Catania	id=g:2525068
Stazione Castrovillari	id=g:2525069
Castrovillari	id=g:2525070
Castroregio	id=g:2525071
Stazione di Castroreale Bagni	id=g:2525072
Castroreale	id=g:2525073
Castronovo di Sicilia	id=g:2525074
Castrolibero	id=g:2525075
Castrofilippo	id=g:2525076
Castrignano del Capo	id=g:2525077
Castiglione d’Otranto	id=g:2525078
Castiglione di Sicilia	id=g:2525079
Castiglione Cosentino	id=g:2525080
Castiglione	id=g:2525081
Castiadas	id=g:2525082
Castelvetrano	id=g:2525083
Casteltermini	id=g:2525084
Castel Mola	id=g:2525085
Castelluzzo	id=g:2525086
Castell’Umberto Vecchio	id=g:2525087
Castell'Umberto	id=g:2525088
Castelluccio Inferiore	id=g:2525089
Scoglio Castelluccio	id=g:2525090
Castelluccio	id=g:2525091
Castello Gresti	id=g:2525092
Castellana Sicula	id=g:2525093
Castellana	id=g:2525094
Castellammare del Golfo	id=g:2525095
Golfo di Castellammare	id=g:2525096
Castellace	id=g:2525097
Castellace	id=g:2525098
Castel di Tusa	id=g:2525099
Castel di Lucio	id=g:2525100
Castel di Iudica	id=g:2525101
Casteldaccia	id=g:2525102
Castelbuono	id=g:2525103
Castanea delle Furie	id=g:2525104
Castagnarella	id=g:2525105
Castagna	id=g:2525106
Fiume Cassibile	id=g:2525107
Cassibile	id=g:2525108
Cassaro	id=g:2525109
Cassano allo Ionio	id=g:2525110
Casotto Prismatari	id=g:2525111
Casotti Sant’Elia	id=g:2525112
Casole Bruzio	id=g:2525113
Casino Vecchiarello	id=g:2525114
Casino di Falcone	id=g:2525115
Casino dell’Arpa	id=g:2525116
Casino Dattole	id=g:2525117
Casino	id=g:2525118
Casinetto	id=g:2525119
Casignana	id=g:2525120
Case Zuccogrande	id=g:2525121
Case Verre	id=g:2525122
Casetta Tre Ponticelli	id=g:2525123
Case Torre di Sacco	id=g:2525124
Case Terranova	id=g:2525125
Case Serravalle	id=g:2525126
Case Serra	id=g:2525127
Case Sant’Antonino	id=g:2525128
Case Sansone	id=g:2525129
Case San Leo	id=g:2525130
Case San Giovanni	id=g:2525131
Case San Francesco	id=g:2525132
Case Salinella	id=g:2525133
Case Ruccione	id=g:2525134
Caserma di Latro	id=g:2525135
Case Piccirillo	id=g:2525136
Case Paparaci	id=g:2525137
Case Pagliarone	id=g:2525138
Case Nuove	id=g:2525139
Casenove	id=g:2525140
Case Nasidi	id=g:2525141
Case Mortille	id=g:2525142
Case Milazzo	id=g:2525143
Case Martinez	id=g:2525144
Case Marineo	id=g:2525145
Case Mandrile	id=g:2525146
Case Maledrendi	id=g:2525147
Case Magnotta	id=g:2525148
Casello Russo	id=g:2525149
Casellone	id=g:2525150
Casello Martucci	id=g:2525151
Case Levito	id=g:2525152
Case Grimaldi	id=g:2525153
Case Gambarelli	id=g:2525154
Case Galati	id=g:2525155
Case Frasca	id=g:2525156
Case Fossa	id=g:2525157
Case Fiorello	id=g:2525158
Case Fiego	id=g:2525159
Case Erbazza	id=g:2525160
Case di Grazia	id=g:2525161
Case d’Amico	id=g:2525162
Case Cugno di Carcaci	id=g:2525163
Case Cucche	id=g:2525164
Case Crapuzza	id=g:2525165
Case Cicoria	id=g:2525166
Case Cicirello	id=g:2525167
Case Catenanci	id=g:2525168
Case Casulle	id=g:2525169
Case Carameto	id=g:2525170
Case Cannavali	id=g:2525171
Case Canini	id=g:2525172
Case Campanella	id=g:2525173
Case Boschetto	id=g:2525174
Case Balze	id=g:2525175
Case Acelli	id=g:2525176
Casa Zessi	id=g:2525177
Casa Zecca	id=g:2525178
Casa Vitetto	id=g:2525179
Casa Vatoni	id=g:2525180
Casa Varet	id=g:2525181
Casa Valdibella	id=g:2525182
Casa Uomomorto	id=g:2525183
Casa Tuvolo	id=g:2525184
Casa Toscano	id=g:2525185
Casa Torre Murcillo	id=g:2525186
Casa Torno	id=g:2525187
Casa Tommasi	id=g:2525188
Casa Serra Piani	id=g:2525189
Casa Serraleta	id=g:2525190
Casa Scrisi	id=g:2525191
Casa Scole	id=g:2525192
Casa Schifazzo	id=g:2525193
Casa Sant’Ianelli	id=g:2525194
Casa Santa Caterina	id=g:2525195
Casa San Nicola	id=g:2525196
Casa San Martino	id=g:2525197
Casa San Giovanni	id=g:2525198
Casa San Filo	id=g:2525199
Casa San Biagio	id=g:2525200
Casa Sampieri	id=g:2525201
Casa Salvati	id=g:2525202
Casa Roccani	id=g:2525203
Casa Riola	id=g:2525204
Casa Renzi	id=g:2525205
Casa Renda	id=g:2525206
Casarano	id=g:2525207
Casa Raccalta	id=g:2525208
Casa Pupo	id=g:2525209
Casa Principe	id=g:2525210
Casa Portiglia	id=g:2525211
Casa Pinnia	id=g:2525212
Casa Pietra Grossa	id=g:2525213
Casa Piccirillo	id=g:2525214
Casa Picanello	id=g:2525215
Casa Piana	id=g:2525216
Casa Pettinato	id=g:2525217
Casa Petrusa	id=g:2525218
Casa Pellegrino	id=g:2525219
Casa Pasquale	id=g:2525220
Casa Parroni	id=g:2525221
Casa Parisi	id=g:2525222
Casa Paradiso	id=g:2525223
Casa Pantano	id=g:2525224
Casa Pantano	id=g:2525225
Casa Palmento Murato	id=g:2525226
Casa Palagi	id=g:2525227
Casa Paladino	id=g:2525228
Casa Pace	id=g:2525229
Casa Otaito	id=g:2525230
Casa Oliveto	id=g:2525231
Casa Oglialoro	id=g:2525232
Casa Nucara	id=g:2525233
Casa Musco	id=g:2525234
Casa Monaci	id=g:2525235
Casa Modica	id=g:2525236
Casa Modica	id=g:2525237
Casa Miroddi	id=g:2525238
Casa Milazzo	id=g:2525239
Casa Mila	id=g:2525240
Casa Michelotti	id=g:2525241
Casa Mezzata	id=g:2525242
Casa Mattina	id=g:2525243
Cantoniera Casa Martelli	id=g:2525244
Casa Marletta	id=g:2525245
Casa Margherita	id=g:2525246
Casa Malocutrazzo	id=g:2525247
Casa Maio	id=g:2525248
Casa Macchia di Pietra	id=g:2525249
Casa Maccari	id=g:2525250
Casalvecchio Siculo	id=g:2525251
Casa Luppini	id=g:2525252
Casalotto	id=g:2525253
Casa Longo	id=g:2525254
Casalnuovo	id=g:2525255
Casalisi	id=g:2525256
Casalinazzo	id=g:2525257
Casalgiordana	id=g:2525258
Casale Zappulla	id=g:2525259
Casale Savarino	id=g:2525260
Casale Modica	id=g:2525261
Casa Leanza	id=g:2525262
Casa Latina	id=g:2525263
Casa La Rosa	id=g:2525264
Casa la Rocca	id=g:2525265
Casa la Motta	id=g:2525266
Casa la Laca	id=g:2525267
Casa la Fontana	id=g:2525268
Casa la Ciura	id=g:2525269
Casa la Chiusa	id=g:2525270
Casa Iroldo	id=g:2525271
Casa Gorgo di Sale	id=g:2525272
Casa Giunta	id=g:2525273
Casa Giosafat	id=g:2525274
Casa Germano	id=g:2525275
Casa Genova	id=g:2525276
Casa Gaetani	id=g:2525277
Casa Gabelluzza	id=g:2525278
Casa Gabella	id=g:2525279
Casa Frasso	id=g:2525280
Casa Francomanno	id=g:2525281
Casa Franco	id=g:2525282
Casa Francesi	id=g:2525283
Casa Fortino	id=g:2525284
Casa Forestale de Cittanova	id=g:2525285
Casa Fiumicello	id=g:2525286
Casa Feraudi	id=g:2525287
Casa Feraudi	id=g:2525288
Casa Felicella	id=g:2525289
Casa Favare	id=g:2525290
Casa Fassio di Sopra	id=g:2525291
Casa Fallico	id=g:2525292
Casa Donato	id=g:2525293
Casa di San Martino	id=g:2525294
Casa Di Natale	id=g:2525295
Casa dello Stumio	id=g:2525296
Casa della Sarculla	id=g:2525297
Casa del Lago	id=g:2525298
Casa della Contessa	id=g:2525299
Casa del Giardino	id=g:2525300
Casa del Campo	id=g:2525301
Casa De Giorgis	id=g:2525302
Casa d’Acquino	id=g:2525303
Casa Cuffaro	id=g:2525304
Casa Criscione	id=g:2525305
Casa Cosimino	id=g:2525306
Casa Comunere	id=g:2525307
Casa Cola	id=g:2525308
Casa Cicchelli	id=g:2525309
Casa Ciappe	id=g:2525310
Casa Cerbaro	id=g:2525311
Casa Catalano	id=g:2525312
Casa Castellana	id=g:2525313
Casa Carrieri	id=g:2525314
Casa Carpitella	id=g:2525315
Casa Carito	id=g:2525316
Casa Caparra	id=g:2525317
Casa Cangemi	id=g:2525318
Casa Camigliati	id=g:2525319
Casa Camarina	id=g:2525320
Casa Calori	id=g:2525321
Casa Bucche	id=g:2525322
Casa Bubba	id=g:2525323
Casa Boscarelli	id=g:2525324
Casa Borgorosso	id=g:2525325
Casa Boraccini	id=g:2525326
Casa Bonivini	id=g:2525327
Casabona	id=g:2525328
Casa Bocchetta	id=g:2525329
Casa Beneficio	id=g:2525330
Casa Benarifi	id=g:2525331
Casa Bastione	id=g:2525332
Casa Arcuri	id=g:2525333
Casa Andrea	id=g:2525334
Casa Alfieri	id=g:2525335
Casa Agromalia	id=g:2525336
Secca Caruzzone	id=g:2525337
Carrubbo	id=g:2525338
Carrao	id=g:2525339
Carpinteri	id=g:2525340
Carpanzano	id=g:2525341
Caronia Marina	id=g:2525342
Fiume di Caronia	id=g:2525343
Caronia	id=g:2525344
Caroni	id=g:2525345
Carolei	id=g:2525346
Carlopoli	id=g:2525347
Carloforte	id=g:2525348
Carlentini	id=g:2525349
Carini	id=g:2525350
Cariglio	id=g:2525351
Cariati	id=g:2525352
Caria	id=g:2525353
Carfizzi	id=g:2525354
Caresi	id=g:2525355
Fiumara di Careri	id=g:2525356
Careri	id=g:2525357
Cardinale	id=g:2525358
Monte Cardiga	id=g:2525359
Cardeto	id=g:2525360
Punta Carcarella	id=g:2525361
Carbonia	id=g:2525362
Carbone	id=g:2525363
Pizzo Carbonara	id=g:2525364
Golfo di Carbonara	id=g:2525365
Capo Carbonara	id=g:2525366
Monte is Caravius	id=g:2525367
Carafuno di Cappellieri	id=g:2525368
Caraffa di Catanzaro	id=g:2525369
Caraffa del Bianco	id=g:2525370
Caracciolina	id=g:2525371
Cantoniera Caputa	id=g:2525372
Capri Leone	id=g:2525373
Caprarica del Capo	id=g:2525374
Punta dei Cappuccini	id=g:2525375
Cappella di Mezzagosto	id=g:2525376
Cappella della Colla	id=g:2525377
Cappella	id=g:2525378
Capoterra	id=g:2525379
Capo Rizzuto	id=g:2525380
Capora-Merendi	id=g:2525381
Isola Capo Passeto	id=g:2525382
Capo Molini	id=g:2525383
Capo d'Orlando	id=g:2525384
Dipignano	id=g:2525385
Secca del Capo	id=g:2525386
Capizzi	id=g:2525387
Capistrano	id=g:2525388
Capi d’Acqua	id=g:2525389
Capanne	id=g:2525390
Capanne	id=g:2525391
Capaci	id=g:2525392
Fiume Cantera	id=g:2525393
Cantera	id=g:2525394
Canolo	id=g:2525395
Cannitello	id=g:2525396
Canneto	id=g:2525397
Cannecelle	id=g:2525398
Cannava	id=g:2525399
Riu di Sestu	id=g:2525400
Riu Cannas	id=g:2525401
Canale is Cannargius	id=g:2525402
Canigliari	id=g:2525403
Canicattini Bagni	id=g:2525404
Canicattì	id=g:2525405
Punta del Cane	id=g:2525406
Monte Cane	id=g:2525407
Candidoni	id=g:2525408
Cancello	id=g:2525409
Torrente Canal Grande	id=g:2525410
Porto di Canal Grande	id=g:2525411
Canalelli	id=g:2525412
Canai	id=g:2525413
Cantoniera Campu Omu	id=g:2525414
Camporeale	id=g:2525415
Campolivaro	id=g:2525416
Campoli	id=g:2525417
Campoli	id=g:2525418
Capo Campolato	id=g:2525419
Stazione Campofranco	id=g:2525420
Campofranco	id=g:2525421
Campofiorito	id=g:2525422
Campofelice di Roccella	id=g:2525423
Campofelice di Fitalia	id=g:2525424
Campobello di Mazara	id=g:2525425
Campobello di Licata	id=g:2525426
Campo	id=g:2525427
Campionna	id=g:2525428
Campidano	id=g:2525429
Campana	id=g:2525430
Torrente Campagnano	id=g:2525431
Monte Cammarata	id=g:2525432
Cammarata	id=g:2525433
Camini	id=g:2525434
Stazione Camigliatello Silano	id=g:2525435
Camigliatello Silano	id=g:2525436
Fiume Camerina	id=g:2525437
Camemi	id=g:2525438
Cambariere	id=g:2525439
Fiume di Camastra	id=g:2525440
Camastra	id=g:2525441
Camaro	id=g:2525442
Camarella	id=g:2525443
Calvisi	id=g:2525444
Caltavuturo	id=g:2525445
Stazione Caltanissetta Xirbi	id=g:2525446
Provincia di Caltanissetta	id=g:2525447
Caltanissetta	id=g:2525448
Fiume Caltagirone	id=g:2525449
Caltagirone	id=g:2525450
Caltabellotta	id=g:2525451
Caloveto	id=g:2525452
Calopezzati	id=g:2525453
Calimera	id=g:2525454
Fiume Caldo	id=g:2525455
Calcarelli	id=g:2525456
Capo Calavà	id=g:2525457
Calatafimi-Segesta	id=g:2525458
Calatabiano	id=g:2525459
Calasetta	id=g:2525460
Calascibetta	id=g:2525461
Punta Calarossa	id=g:2525462
Punta di Cala Piombo	id=g:2525463
Calanna	id=g:2525464
Calamonaci	id=g:2525465
Calamia	id=g:2525466
Grotta Calafarina	id=g:2525467
Calabria	id=g:2525468
Calabernardo	id=g:2525469
Stagno di Càgliari	id=g:2525470
Provincia di Cagliari	id=g:2525471
Golfo di Càgliari	id=g:2525472
Cagliari	id=g:2525473
Punta Caderini	id=g:2525474
Caccuri	id=g:2525475
Caccamo	id=g:2525476
Stagno di Càbras	id=g:2525477
Cabras	id=g:2525478
Cabras	id=g:2525479
Butera	id=g:2525480
Buseto Superiore	id=g:2525481
Buseto Inferiore	id=g:2525482
Buscemi	id=g:2525483
Rocca Busambra	id=g:2525484
Burgio	id=g:2525485
Burgio	id=g:2525486
Burcei	id=g:2525487
Buonvicino	id=g:2525488
Fiumara Buonamico	id=g:2525489
Torre Bugiafro	id=g:2525490
Buggerru	id=g:2525491
Buccheri	id=g:2525492
Bruzzano Zeffirio	id=g:2525493
Capo Bruzzano	id=g:2525494
Brunetto	id=g:2525495
Brucoli	id=g:2525496
Brucanuova	id=g:2525497
Bronte	id=g:2525498
Brolo	id=g:2525499
Briga	id=g:2525500
Briatico	id=g:2525501
Brefaro	id=g:2525502
Stagno de is Brebeis	id=g:2525503
Riu su Pau	id=g:2525504
Brancaleone	id=g:2525505
Brancaleone Marina	id=g:2525506
Brancaleone	id=g:2525507
Braidi	id=g:2525508
Punta Bracetto	id=g:2525509
Bove	id=g:2525510
Bova Marina	id=g:2525511
Bovalino Superiore	id=g:2525512
Bovalino	id=g:2525513
Bovalino	id=g:2525514
Botte Donato	id=g:2525515
Stazione di Botricello	id=g:2525516
Botricello	id=g:2525517
Botindari	id=g:2525518
Bosco Fraccia	id=g:2525519
Borgo Salvatore Giuliano	id=g:2525520
Borgo Regalmici	id=g:2525521
Borgo Pietro Lupo	id=g:2525522
Borgo Partenope	id=g:2525523
Borgo	id=g:2525524
Borgia	id=g:2525525
Borgetto	id=g:2525526
Borgesati	id=g:2525527
Borgata Stazione	id=g:2525528
Bordonaro	id=g:2525529
Bonocozzo	id=g:2525530
Capo Bonifati	id=g:2525531
Bonifati	id=g:2525532
Bonagia Torre	id=g:2525533
Bompietro	id=g:2525534
Bompensiere	id=g:2525535
Bombile	id=g:2525536
Bolognetta	id=g:2525537
Capo Boi	id=g:2525538
Capo Boeo	id=g:2525539
Bocchigliero	id=g:2525540
Boccalupo	id=g:2525541
Boccadifalco	id=g:2525542
Bivongi	id=g:2525543
Bivona	id=g:2525544
Bivona	id=g:2525545
Bivio Lupotto	id=g:2525546
Bivio Donnici	id=g:2525547
Bivio Bonacci	id=g:2525548
Bithia	id=g:2525549
Bisignano	id=g:2525550
Bisciano	id=g:2525551
Bisacquino	id=g:2525552
Birgi Vecchi	id=g:2525553
Fiume Birgi	id=g:2525554
Portella dei Bifolchi	id=g:2525555
Stazione Bicocca	id=g:2525556
Capo Bianco	id=g:2525557
Bianco	id=g:2525558
Bianchi	id=g:2525559
Biancavilla	id=g:2525560
Torre Bianca	id=g:2525561
Punta Bianca	id=g:2525562
Bertuccia	id=g:2525563
Benestare	id=g:2525564
Belvì	id=g:2525565
Belvedete	id=g:2525566
Belvedere Marittimo	id=g:2525567
Belvedere di Spinello	id=g:2525568
Flumini Belu	id=g:2525569
Belsito	id=g:2525570
Belpasso	id=g:2525571
Belmontino Soprano	id=g:2525572
Belmonte Mezzagno	id=g:2525573
Belmonte Calabro	id=g:2525574
Bosco Bellia	id=g:2525575
Capo Bellavista	id=g:2525576
Belladonna	id=g:2525577
Torrente Belici	id=g:2525578
Fiume Belice Sinistro	id=g:2525579
Fiume Belice Destro	id=g:2525580
Fiume Belice	id=g:2525581
Bauso	id=g:2525582
Baucina	id=g:2525583
Bastione	id=g:2525584
Isola Basiluzzo	id=g:2525585
Basilico	id=g:2525586
Basilicò	id=g:2525587
Basicò	id=g:2525588
Barumini	id=g:2525589
Barrittieri	id=g:2525590
Barretta	id=g:2525591
Barrali	id=g:2525592
Barrafranca	id=g:2525593
Barone	id=g:2525594
Bari Sardo	id=g:2525595
Baressa	id=g:2525596
Barcellona Pozzo di Gotto	id=g:2525597
Barbusi	id=g:2525598
Barbarano	id=g:2525599
Barbagia	id=g:2525600
Baratili San Pietro	id=g:2525601
Baradili	id=g:2525602
Baracche Tirivolo	id=g:2525603
Baracca del Brigante	id=g:2525604
Villa Verde	id=g:2525605
Balletto	id=g:2525606
Ballata	id=g:2525607
Ballao	id=g:2525608
Balestrate	id=g:2525609
Balata di Modica	id=g:2525610
Balata di Baida	id=g:2525611
Balano di Falco	id=g:2525612
Balanello	id=g:2525613
Rio Baiata	id=g:2525614
Secca Bagnoli	id=g:2525615
Bagnara Calabra	id=g:2525616
Baglio Spano	id=g:2525617
Baglio Rizzo	id=g:2525618
Baglio Rinazzo	id=g:2525619
Baglio Perino	id=g:2525620
Baglio Messinello	id=g:2525621
Baglio Messina	id=g:2525622
Baglio Manzo	id=g:2525623
Baglio Inferno	id=g:2525624
Baglio Guttaja	id=g:2525625
Baglio Guarine	id=g:2525626
Baglio Biro	id=g:2525627
Bagheria	id=g:2525628
Bagaladi	id=g:2525629
Bafia	id=g:2525630
Baffi	id=g:2525631
Badolato Stazione	id=g:2525632
Badolato Stazione	id=g:2525633
Badolato	id=g:2525634
Badiazza	id=g:2525635
Badia Vecchia	id=g:2525636
Badia	id=g:2525637
Badia	id=g:2525638
Badia	id=g:2525639
Riu Bacu Ischios	id=g:2525640
Bacu Abis	id=g:2525641
Secca Avolos	id=g:2525642
Avola	id=g:2525643
Avena	id=g:2525644
Golfo di Augusta	id=g:2525645
Augusta	id=g:2525646
Atzara	id=g:2525647
Atolia	id=g:2525648
Asuni	id=g:2525649
Asuai	id=g:2525650
Assoro	id=g:2525651
Assolo	id=g:2525652
Assieni	id=g:2525653
Fiumara Assi	id=g:2525654
Assemini	id=g:2525655
Piani d’ Aspromonte	id=g:2525656
Aspromonte	id=g:2525657
Monte d’ Aspra	id=g:2525658
Isola Asinelli	id=g:2525659
Fiume Asinaro	id=g:2525660
Colle d’ Ascione	id=g:2525661
Punta de s’ Aschivoni	id=g:2525662
Arzona	id=g:2525663
Arzana	id=g:2525664
Lago Arvo	id=g:2525665
Fiume Arso	id=g:2525666
Armungia	id=g:2525667
Fiumara d’ Armo	id=g:2525668
Armo	id=g:2525669
Capo dell’ Armi	id=g:2525670
Armentano	id=g:2525671
Arixi	id=g:2525672
Aritzo	id=g:2525673
Ariola	id=g:2525674
Arini	id=g:2525675
Arigliano	id=g:2525676
Arietta	id=g:2525677
Argusto	id=g:2525678
Punta Arenella	id=g:2525679
Arenas	id=g:2525680
Punta Arena Bianca	id=g:2525681
Fiume Arena	id=g:2525682
Arena	id=g:2525683
Ardore Marina	id=g:2525684
Ardore	id=g:2525685
Monte Arcuentu	id=g:2525686
Archi	id=g:2525687
Arbus	id=g:2525688
Arborea	id=g:2525689
Arborea	id=g:2525690
Àrbatax	id=g:2525691
Arangea	id=g:2525692
Aragona	id=g:2525693
Aquarone	id=g:2525694
Aprigliano	id=g:2525695
Apriglianello	id=g:2525696
Appennino Siculo	id=g:2525697
Appennino Calabrese	id=g:2525698
Apatia	id=g:2525699
Antonimina	id=g:2525700
Antillo	id=g:2525701
Monte Antennamare	id=g:2525702
Colle Antenna	id=g:2525703
Rio di Antas	id=g:2525704
Anoia Superiore	id=g:2525705
Anoia	id=g:2525706
Fiumara dell’ Annunziata	id=g:2525707
Annunziata	id=g:2525708
Annunziata	id=g:2525709
Anna	id=g:2525710
Angoli	id=g:2525711
Fiume Angitola	id=g:2525712
Pizzo degli Angeli	id=g:2525713
Andrano	id=g:2525714
Andali	id=g:2525715
Fiume Ancinale	id=g:2525716
Fiume Anapo	id=g:2525717
Fiumara Amusa	id=g:2525718
Lago Ampollino	id=g:2525719
Amica	id=g:2525720
Fiumara di Amendolea	id=g:2525721
Stazione di Amendolara	id=g:2525722
Amendolara	id=g:2525723
Fiume Amato	id=g:2525724
Amato	id=g:2525725
Amaroni	id=g:2525726
Amantea	id=g:2525727
Altomonte	id=g:2525728
Altofonte	id=g:2525729
Lago Alto Flumendosa	id=g:2525730
Altilia	id=g:2525731
Altilia	id=g:2525732
Monte Altesina	id=g:2525733
Altavilla Milicia	id=g:2525734
Capo Altano	id=g:2525735
Alliste	id=g:2525736
Fiume Alli	id=g:2525737
Fiumara Allaro	id=g:2525738
Allai	id=g:2525739
Aliminusa	id=g:2525740
Alimena	id=g:2525741
Alì Marina	id=g:2525742
Punta S’Aliga	id=g:2525743
Isola Alicudi	id=g:2525744
Punta Alice	id=g:2525745
Alia	id=g:2525746
Alì	id=g:2525747
Alessano	id=g:2525748
Alessandria della Rocca	id=g:2525749
Alessandria del Carretto	id=g:2525750
Ales	id=g:2525751
Alcara li Fusi	id=g:2525752
Fiume Alcantara	id=g:2525753
Stazione di Alcamo	id=g:2525754
Alcamo	id=g:2525755
Albidona	id=g:2525756
Albi	id=g:2525757
Albergo	id=g:2525758
Aieta	id=g:2525759
Aiello Calabro	id=g:2525760
Aidone	id=g:2525761
Fiumara d’ Agrò	id=g:2525762
Provincia di Agrigento	id=g:2525763
Agrigento	id=g:2525764
Agrifoglio	id=g:2525765
Agnana Calabra	id=g:2525766
Agira	id=g:2525767
Africo Vecchio	id=g:2525768
Adrano	id=g:2525769
Adami	id=g:2525770
Fiumara Acrifa	id=g:2525771
Acri	id=g:2525772
Acquedolci	id=g:2525773
Acquaviva Platani	id=g:2525774
Stazione Acquaviva-Casteltermini	id=g:2525775
Acquaro	id=g:2525776
Acquaro	id=g:2525777
Acquarica del Capo	id=g:2525778
Acquappesa	id=g:2525779
Torrente Acquaniti	id=g:2525780
Acquafredda	id=g:2525781
Acquaformosa	id=g:2525782
Cala de s’ Acqua Durci	id=g:2525783
Acqua di Santa Domenica	id=g:2525784
Acquacalda	id=g:2525785
Acquacadda	id=g:2525786
Passo Acquabona	id=g:2525787
Acone	id=g:2525788
Aci Sant'Antonio	id=g:2525789
Acireale	id=g:2525790
Aci Catena	id=g:2525791
Aci Castello	id=g:2525792
Aci Bonaccorsi	id=g:2525793
Punta s’ Accettori	id=g:2525794
Fiume Acate	id=g:2525795
Acate	id=g:2525796
Fiume Abatemarco	id=g:2525797
Punta del Pizzo	id=g:2565309
Saline di San Antioco	id=g:2567546
Stagno Marceddi	id=g:2567547
Piano di Satadi	id=g:2567548
Punta Mumollonis	id=g:2567549
Punta Molinazzo	id=g:2567550
Isola delle Femmine	id=g:2567551
Su Scoglitteddu	id=g:2568440
Secche della Ghinghetta	id=g:2568441
Punta de Sa Furungonara	id=g:2568442
Scoglio Is Canneddas	id=g:2568443
Pontile Alsar	id=g:2568444
Banchina Euroallumina	id=g:2568445
Porto de Sa Linna	id=g:2568446
Cuccuru Is Arenas	id=g:2568447
Molo di Ponente	id=g:2568448
Molo di Levante	id=g:2568449
Punta Tabarchina	id=g:2568450
Punta Niedda	id=g:2568451
Secca Martin	id=g:2568452
Secca Grande	id=g:2568453
Secca del Sardo	id=g:2568454
Portopaglietto	id=g:2568455
Scoglio della Catena	id=g:2568456
Isola dei Ratti	id=g:2568458
Secca Arena	id=g:2568459
Cala Lunga	id=g:2568460
Punta Grossa	id=g:2568461
Punta du Din	id=g:2568462
Bricco Spagnole	id=g:2568463
Secca Taccarossa	id=g:2568464
Secca dei Marmi	id=g:2568465
Punta San Vittorio	id=g:2568466
Canale dei Muggini	id=g:2568467
Bricco Bubo	id=g:2568468
Bricco Resciotto	id=g:2568469
I Baracchini	id=g:2568470
Punta di Girin	id=g:2568471
Punta Sguerina	id=g:2568472
Punta Martin	id=g:2568473
Stagno della Vivagna	id=g:2568474
Punta Nera	id=g:2568475
Punta du Xitta	id=g:2568476
Scoglio Mangiabarche	id=g:2568477
Poggio la Salina	id=g:2568478
Secca delle Saline	id=g:2568479
Punta della Salina	id=g:2568480
Sa Salina	id=g:2568481
Bricco di Ciotti	id=g:2568482
Capo Cipollina	id=g:2568483
Punta di Manca	id=g:2568484
Isola Francese	id=g:2568485
Punta Rosarieddu	id=g:2568498
Torrente Tupei	id=g:2568502
Bricco Scarperino	id=g:2568507
Bricco del Canale	id=g:2568508
Rio Cabriolu	id=g:2568510
Cussorgia	id=g:2568511
Stagno Cirdu	id=g:2568513
Punta Dritta	id=g:2568518
Punta Giunchera	id=g:2568533
Punta di Vacca	id=g:2568535
Sa Scrocchita	id=g:2568539
Punta Sa Guardia de sa Perda	id=g:2568542
Stagno e Forru	id=g:2568543
Peschiera de Bo Cerbus	id=g:2568549
Canale di Paringianu	id=g:2568551
Punta Porceddus	id=g:2590993
Serra Minnai	id=g:2590994
Bruncu Tiriarxiu	id=g:2590995
Secca dei Berni	id=g:2590996
Monte Maccioni	id=g:2590997
Bruncu Marongiu	id=g:2590998
Secca di Santa Caterina	id=g:2591023
Scoglio Sant’Elmo	id=g:2591024
Scogli di Sant’Elmo	id=g:2591025
Scoglio Proci	id=g:2591026
I Variglioni	id=g:2591027
Stagno Notteri	id=g:2591028
Punta San Stèfano	id=g:2591029
Scoglio San Stèfano	id=g:2591030
Fortezza Vecchia	id=g:2591031
Colonia Stella Maris	id=g:2591032
Bruncu Campulongu	id=g:2591033
Bruncu Cani Prandiu	id=g:2591034
Monte Maria	id=g:2591035
Hotel Capo Boi	id=g:2591036
Riu Solànas	id=g:2591037
Secca de Piscadeddus	id=g:2591038
Scogli de Piscadeddus	id=g:2591039
Monte Nieddu	id=g:2591040
Mont’ Arrubiu	id=g:2591041
Torre de su Fenugu	id=g:2591042
Bruncu Cinus	id=g:2591043
Sa Punt’e su Moru	id=g:2591044
Torre Cala Regina	id=g:2591045
Terra Mala	id=g:2591046
Bruncu Casteddu	id=g:2591047
Cuccuru Ella	id=g:2591048
Bruncu Titionargiu	id=g:2591049
Bruncu Scandelazzu	id=g:2591050
Riu Bacca Mandra	id=g:2591051
Casa Campana	id=g:2591052
Serbatoio Flumini	id=g:2591053
Fortino Flumini	id=g:2591054
Torre Foxi	id=g:2591055
Riu Foxi	id=g:2591056
Cuccuru Dottori	id=g:2591057
Bruncu Padentinu	id=g:2591058
Bruncu Funtana Ona	id=g:2591059
Bruncu de su Soli	id=g:2591060
Bruncu Nicola Bove	id=g:2591061
Monte Eccas	id=g:2591062
Mont’ Arbu	id=g:2591063
Su Forti	id=g:2591076
Stagno di Quartu	id=g:2591077
Monte Scala Barralis	id=g:2591092
Punta sa Ceraxa	id=g:2591093
Monte Melas	id=g:2591095
Punta Moitzus	id=g:2591096
Olìa Speciosa	id=g:2591097
Monte Nai	id=g:2591099
Monte Turno	id=g:2591112
Monte Cannas	id=g:2591113
Monte Minniminni	id=g:2591114
Bruncu su Adulu	id=g:2591115
Bruncu Mureddu	id=g:2591116
Bruncu Scala Manna	id=g:2591117
Torre Sant’Elia	id=g:2591123
Scoglio Sant’Elia	id=g:2591126
