Ali Muhammad Buhar	id=g:1184661
Ahdiān	id=g:1331370
Māchhiānwāla	id=g:1331371
Chak Ālam Shāh	id=g:1331372
Telīwāla	id=g:1331373
Lodhewāla	id=g:1331374
Kotli Sohl	id=g:1331375
Themra	id=g:1331376
Sarān	id=g:1331377
Sohl Hinduān Khūrd	id=g:1331378
Sohl Hinduān Kalān	id=g:1331379
Jandiwāla	id=g:1331380
Mughalwāla Minor	id=g:1331381
Sohl Distributary	id=g:1331382
Hardiānwāla	id=g:1331383
Tamboli Minor	id=g:1331384
Nithrānwāli	id=g:1331385
Bohrwāla	id=g:1331386
Mandiāla Punaich	id=g:1331387
Shergarh Khurd	id=g:1331388
Pul Shāh Daulo	id=g:1331389
Degh Nāla	id=g:1331390
Dīnpur	id=g:1331391
Kallarwāla	id=g:1331392
Hayāti	id=g:1331393
Sehni	id=g:1331394
Sati	id=g:1331395
Kotwāla	id=g:1331396
Dholan	id=g:1331397
Manjpur	id=g:1331398
Bāoliwāla	id=g:1331399
Khirto Jadid	id=g:1331400
Tūtwāla	id=g:1331401
Sindhuwāla	id=g:1331402
Jhandir	id=g:1331403
Bhundri	id=g:1331404
Chakkiān Khurd	id=g:1331405
Chak Bājwa	id=g:1331406
Mānānwāla	id=g:1331407
Kotli Virk	id=g:1331408
Chandāla	id=g:1331409
Shergarh Kalān	id=g:1331410
Sādhoke Distributary	id=g:1331411
Kotlī Dilbāgh Rāi	id=g:1331412
Shergarh Sub Minor	id=g:1331413
Changrānwali	id=g:1331414
Sammūn Bāla	id=g:1331415
Pipalwāla	id=g:1331416
Lālupur	id=g:1331417
Harsi Nāla	id=g:1331418
Dhūpsari	id=g:1331419
Kakkewāla	id=g:1331420
Nassoki	id=g:1331421
Hāta Debi Dayal	id=g:1331422
Dholan Minor	id=g:1331423
Shādi Khānwāla	id=g:1331424
Sech	id=g:1331425
Sati	id=g:1331426
Wālewāli	id=g:1331427
Wahndo Minor	id=g:1331428
Chak Fazalwāla	id=g:1331429
Chakkiān Minor	id=g:1331430
Chak Warāich	id=g:1331431
Joyeke	id=g:1331432
Mālipur	id=g:1331433
Chhambwāla	id=g:1331434
Kotwāla	id=g:1331435
Mirzāpur	id=g:1331436
Jabboke	id=g:1331437
Silwāla	id=g:1331438
Dandiān Distributary	id=g:1331439
Galloke Distributary	id=g:1331440
Murādpur	id=g:1331441
Farkhandābad	id=g:1331442
Jamgil	id=g:1331443
Manj Gaggar	id=g:1331444
Mutalliwāla	id=g:1331445
Kakkezar	id=g:1331446
Meharpura	id=g:1331447
Khārk	id=g:1331448
Pīkhowāl	id=g:1331449
Davisābād	id=g:1331450
Badarpura	id=g:1331451
Saidpur	id=g:1331452
Kunjpura	id=g:1331453
Jhugiān Nāgra	id=g:1331454
Dholanwa	id=g:1331455
Aqilpura	id=g:1331457
Nāriānwāla	id=g:1331458
Pakki Thatti	id=g:1331459
Ankhpura	id=g:1331460
Qadarpura	id=g:1331461
Sodhiwāl	id=g:1331462
Kot Kamba	id=g:1331463
Bābu Sābu	id=g:1331464
Sher Kot	id=g:1331465
Bhadru	id=g:1331466
Sānda Bhatiān	id=g:1331468
New Shālimār Town	id=g:1331469
Nawān Kot	id=g:1331470
Pāras Nāth Temple	id=g:1331472
Village Theh	id=g:1331473
Lahore/Walton Airfield	id=g:1331474
Lahore Airfield	id=g:1331475
Chhra Distributary	id=g:1331476
Cantonment Minor	id=g:1331477
Rakh Tera Military Reserve	id=g:1331478
Rakh Bhangāli Military Reserve	id=g:1331479
Tera Reserve Forest	id=g:1331480
Jhugiān Alfa	id=g:1331481
Sahajpāl	id=g:1331482
Jindra Sarkāri	id=g:1331483
Bhart	id=g:1331484
Makhanpura	id=g:1331485
Nādarābād	id=g:1331486
Dherpindi	id=g:1331487
Dograi	id=g:1331488
Dogech	id=g:1331489
Ghāwindi	id=g:1331490
Chughalpura	id=g:1331491
Dahurīwāla	id=g:1331492
Dogarwāla	id=g:1331493
Brāhmanābād	id=g:1331494
Dhupsari	id=g:1331495
Nau Narian	id=g:1331496
Jhabitanwāla	id=g:1331497
Sānda Kalān	id=g:1331498
Qila Hakīmān	id=g:1331499
Mālīpura	id=g:1331500
Saggion	id=g:1331501
Kasūpura	id=g:1331502
Iqbāl Park	id=g:1331503
Islāmia College for Women	id=g:1331504
Punjāb University	id=g:1331505
Mayo Hospital	id=g:1331506
Rāvi Park	id=g:1331507
Shāhodi Garhi	id=g:1331508
Ganj Mughalpura	id=g:1331509
Sahowari	id=g:1331510
Kotli Pir Abdur Rehmān	id=g:1331511
Begampura	id=g:1331512
Sultānpura	id=g:1331513
Ahāta Thānadār	id=g:1331514
Khūl Merān	id=g:1331515
Bhogiwāl	id=g:1331516
Kot Khawāja Saeed	id=g:1331517
Chhota Ravi	id=g:1331518
Bhagatpura	id=g:1331519
Shālāmār Garden	id=g:1331520
Devioura	id=g:1331521
Tājpūra	id=g:1331522
Chindiān	id=g:1331523
Bhagwānpura	id=g:1331524
Fateh Garh	id=g:1331526
Salāmatpura	id=g:1331527
Kotli Ghasi	id=g:1331528
Tulspura	id=g:1331529
Tera Distributary	id=g:1331530
Bagariat Saidān	id=g:1331531
Kot Dūnichand	id=g:1331532
Shālamar Distributary	id=g:1331534
Dāroghewāla	id=g:1331535
Shādipura	id=g:1331536
Momenpura	id=g:1331537
Chya	id=g:1331538
Gopālpur	id=g:1331539
Tera Plantation Reserve Forest	id=g:1331540
Khera	id=g:1331541
Bātapur	id=g:1331542
Rāmpura	id=g:1331543
Begum Kot	id=g:1331544
Tārgarh	id=g:1331545
Shāhdara Reserve Forest	id=g:1331546
Nizāmpur	id=g:1331547
Kot Mahlibbo	id=g:1331548
Jia Mūsa	id=g:1331549
Jahāngir’s Tomb	id=g:1331550
Lājpat Nagar	id=g:1331551
Jāda	id=g:1331552
Wandāla Diālshāh	id=g:1331553
Mahmūd Būti	id=g:1331554
Khokhar	id=g:1331555
Bhammān	id=g:1331556
Sundarwāla	id=g:1331557
Jhuggiān Jorha	id=g:1331558
Shāhdara Reserved Forest	id=g:1331559
Jabbo	id=g:1331560
Jhugiāh Jodha	id=g:1331561
Jhūggian	id=g:1331562
Pul Distributary	id=g:1331563
Firozwāla	id=g:1331564
Bhulle Bāne Shāh Khurd	id=g:1331565
Bhulle Bāne Shāh Kalān	id=g:1331566
Dargāhi Gil Jadid	id=g:1331567
Dargāhi Gil Qādim	id=g:1331568
Chak Number Thirty-Nine	id=g:1331569
Bhed Nāla	id=g:1331570
Karol Dher	id=g:1331571
Nathu Kot	id=g:1331572
Karol	id=g:1331573
Shīrīnwāla	id=g:1331574
Kotli Kachhi	id=g:1331575
Bhāiewāl Nāla	id=g:1331576
Jhugiān	id=g:1331577
Ratgarh	id=g:1331578
Maral	id=g:1331579
Santpura	id=g:1331580
Jhandrala Wār	id=g:1331581
Malakpur Kharke	id=g:1331582
Bhdīni Dhilwāl	id=g:1331583
Bambānwāla Rāvi Link	id=g:1331584
Chak Number Forty-Two	id=g:1331585
Chak Number Forty-Three	id=g:1331586
Chak Number Forty-Four	id=g:1331587
Chak Number Forty-Five	id=g:1331588
Jer	id=g:1331589
Chak Forty-One	id=g:1331590
Pakliāla Minor	id=g:1331591
Chahān	id=g:1331592
Yahya Nagar	id=g:1331593
Nawān Lathepur	id=g:1331594
Jamālpur Rāiputān	id=g:1331595
Dogrānwāla	id=g:1331596
Bhakki Dhānna	id=g:1331597
Makripur	id=g:1331598
Deda	id=g:1331599
Ladheke Minor	id=g:1331600
Khurpe Chak	id=g:1331601
Jodhu Dhīr Minor	id=g:1331602
Ladheke Ucha	id=g:1331603
Luliāni Minor	id=g:1331604
Gufa	id=g:1331605
Sultānpur	id=g:1331606
Theh Aso	id=g:1331607
Islāmpur	id=g:1331608
Daftu Minor	id=g:1331609
Kīt Minor	id=g:1331610
Bediān Distributary	id=g:1331611
Saroi	id=g:1331612
Jhedu Minor	id=g:1331613
Minor Number One	id=g:1331614
Kashmīr	id=g:1331615
Mār Gillān	id=g:1331616
Bhuchar Kāhna Distributary	id=g:1331617
Biliāna Khu	id=g:1331618
Kūlle	id=g:1331619
Bhuchar Minor	id=g:1331620
Nisāmpura	id=g:1331621
Nisārābād	id=g:1331622
Muhammadpura	id=g:1331623
Lalūwāl	id=g:1331624
Pīr Mansūr Ghulām Ghaus	id=g:1331625
Abbāsābād	id=g:1331626
Khaire Distributary	id=g:1331627
Ziārat Bāba Shāh Nūr	id=g:1331628
Dheri	id=g:1331629
Atāri Saroba	id=g:1331630
Tidiānwāli Jhalār	id=g:1331631
Rakh Chandrāi Protected Forest	id=g:1331632
Pathānwāla	id=g:1331633
Bathar Minor	id=g:1331634
Haveli	id=g:1331635
Nasīrābād	id=g:1331636
Rasūlpura	id=g:1331637
Jhalār	id=g:1331638
Samsāni Khui	id=g:1331639
Ajodhiāpura	id=g:1331640
Nawān Pind	id=g:1331641
Progiapur	id=g:1331642
Pindi Rajputān	id=g:1331643
Nawān Shāh di Khūi	id=g:1331644
Shāh di Khūi	id=g:1331645
Muhammad Pura	id=g:1331646
Kothi Amar Sichu	id=g:1331647
Bandiānwāla	id=g:1331648
Kot Lakhpat	id=g:1331649
Amar Sidhu	id=g:1331650
Charar	id=g:1331651
Bhābra	id=g:1331652
Gopāl Nagar	id=g:1331653
Kore	id=g:1331654
Kot Wadhāwa Singh	id=g:1331655
Ziārat Lakdāta Suitān	id=g:1331656
Mānawāla	id=g:1331657
Chung Khurd	id=g:1331658
Kohar	id=g:1331659
Gohāwa	id=g:1331660
Gohāwa Minor	id=g:1331661
Pir Bakhshwāla	id=g:1331662
Jindra	id=g:1331663
Rakh Dera Chahl Reserve Forest	id=g:1331664
Natha Singhwāla	id=g:1331665
Gobinpura	id=g:1331666
Hira Singhwāla	id=g:1331667
Bhāiwāla	id=g:1331668
Pathānwāla	id=g:1331669
Ziārat Bāba Bhole Shāh	id=g:1331670
Chaudariān di Haveli	id=g:1331671
Nāwan Qila	id=g:1331672
Harike	id=g:1331673
Qila Ganja	id=g:1331674
Waul Hithār	id=g:1331675
Khingrān Minor	id=g:1331676
Fatehpur	id=g:1331677
Nūrpur	id=g:1331678
Qutba	id=g:1331679
Chūna Churmat	id=g:1331680
Kailon	id=g:1331681
Rajjiwāla Jattān	id=g:1331682
Illoāna	id=g:1331683
Husian Khānwāla	id=g:1331684
Bāzīdpur	id=g:1331685
Mahālam Khurd	id=g:1331686
Naieke Kalān	id=g:1331687
Naieke Khurd	id=g:1331688
Kaniwāla	id=g:1331689
Harīhar	id=g:1331690
Shamspura	id=g:1331691
Kot Khushia	id=g:1331692
Kotla Shaikh Naththa	id=g:1331693
Bhāgowāla	id=g:1331694
Chistāna	id=g:1331695
Sāhiba	id=g:1331696
Joia	id=g:1331697
Khilji Khālsa	id=g:1331698
Kāle Purāne	id=g:1331699
Bulandi Hithār	id=g:1331700
Bulandi Uttār	id=g:1331701
Todepur	id=g:1331702
Pohla	id=g:1331703
Lākho Kāhlu	id=g:1331704
Sahāri Hithār	id=g:1331705
Chūhrpura	id=g:1331706
Habībullāh Sahīb Ziārat	id=g:1331707
Shaikh Adhmad Kohnā	id=g:1331708
Kotli Hithār	id=g:1331709
Tolu	id=g:1331710
Bogāri	id=g:1331711
Faqīrewāla	id=g:1331712
Doliānwāla	id=g:1331713
Bāhmaniwāla	id=g:1331714
Dālpur	id=g:1331715
Sheru Kāna	id=g:1331716
Kāhan Singhwāla	id=g:1331717
Maloke	id=g:1331718
Tarkānān di Haveli	id=g:1331719
Rūr Singhwāla	id=g:1331720
Nand ka Takya	id=g:1331721
Lākho Bariār	id=g:1331722
Lāko Bīrpār	id=g:1331723
Badānewāli	id=g:1331724
Rāmewāla	id=g:1331725
Rohi Nāla	id=g:1331726
Bangla	id=g:1331727
Shaikh Bhāgd	id=g:1331728
Kesargarh	id=g:1331729
Kot Murād Khān	id=g:1331730
Nia Qila	id=g:1331731
Khwāja Kamāl Pīr Chishti	id=g:1331732
Basti Chirāgh Shāh	id=g:1331733
Tahaīl	id=g:1331734
Nikka Phattu	id=g:1331735
Rasūlpur	id=g:1331736
Abdul Khāligwāla	id=g:1331737
Rangpur	id=g:1331738
Pīrowāla	id=g:1331739
Naththūwāla	id=g:1331740
Kālu Khāra	id=g:1331741
Theh Sahāran	id=g:1331742
Mirzewāla	id=g:1331743
Sheikhānwāla	id=g:1331744
Mānewāla	id=g:1331745
Khurshīd Khān	id=g:1331746
Kumhārān di Haveli	id=g:1331747
Thamman Distributary	id=g:1331748
Bunga Ganda Singh	id=g:1331749
Bhaowāt	id=g:1331750
Qādirābād	id=g:1331751
Jabbomīl	id=g:1331752
Kot Bahāwal Singh	id=g:1331753
Athīlpur Sub-Minor	id=g:1331754
Khushāl Singhwāla	id=g:1331755
Nāwal	id=g:1331756
Kullewāla	id=g:1331757
Shāh Sattār Dīwān	id=g:1331758
Theh Bhallu	id=g:1331759
Naththūwāla	id=g:1331760
Katteānwāli	id=g:1331761
Sattoke Minor	id=g:1331762
Daftu Distributary	id=g:1331763
Badaruddia Rukhānwāla	id=g:1331764
Charewan	id=g:1331765
Theh Wadāna	id=g:1331766
Sher Singhwāla	id=g:1331767
Bholeke	id=g:1331768
Sarhāli Khurd	id=g:1331769
Grinkot	id=g:1331770
Lakhneke Sub Minor	id=g:1331771
Theh Wadāna	id=g:1331772
Jiwah Singhwāla	id=g:1331773
Amrīk Singhwāla	id=g:1331774
Goth Ghous Bakhsh Rajper	id=g:1331775
Unera Kalhora	id=g:1331776
Goth Punnu Hingora	id=g:1331777
Tuipio Hingora	id=g:1331778
Gulan Hingora	id=g:1331779
Fazal Juneia	id=g:1331780
Chuto Hingora	id=g:1331781
Jhano Wāh	id=g:1331782
Pāta Wāh	id=g:1331783
Hāmid	id=g:1331784
Jurio	id=g:1331785
Bakksh Ali	id=g:1331786
Piāre Khān Khāskheli	id=g:1331787
Izat Juno	id=g:1331788
Bhalena Pāta	id=g:1331789
Goth Malko	id=g:1331790
Goth Gāho	id=g:1331791
Goth Ghose Bakhsh Goho	id=g:1331792
Goth Syad Sachal Shāh	id=g:1331793
Hāshim Shāh	id=g:1331794
Hāji Balan Māchhi	id=g:1331795
Maji Shāh Nawāz Solangi	id=g:1331796
Jan Muhammad	id=g:1331797
Kumb	id=g:1331798
Khamisa Māchhi	id=g:1331799
Hayāt Māchhi	id=g:1331800
Batehra	id=g:1331801
Sain Bakhsh Bugti	id=g:1331802
Depat Bhit	id=g:1331803
Bangal Chāndi	id=g:1331804
Allāh Bakhsh Māchhi	id=g:1331805
Bakhu Lashari	id=g:1331806
Amīr Bakhsh Māchhi	id=g:1331807
Shāhnawāz Wāh	id=g:1331808
Dado Phul	id=g:1331809
Borākar Dhand	id=g:1331810
Goth Allahno Khoro	id=g:1331811
Gajru Phul	id=g:1331812
Arab Phul	id=g:1331813
Geholpur	id=g:1331814
Dukkar Shākh	id=g:1331815
Wali Muhammad Bhatti	id=g:1331816
Arbab Bhatti	id=g:1331817
Karim Bhatti	id=g:1331818
Hāji Nawāb	id=g:1331819
Arbab Solangi	id=g:1331820
Nasīr	id=g:1331821
Jalaluddīn	id=g:1331822
Dīn Muhammad Khokhar	id=g:1331823
Qubba Sādan	id=g:1331824
Sānwal	id=g:1331825
Ghulām Shabbīr	id=g:1331826
Mubarak Rajhan	id=g:1331827
Sohrāb Kiria	id=g:1331828
Sachu Khān	id=g:1331829
Nāher Khān	id=g:1331830
Merāno Burdi	id=g:1331831
Miāndad Faqīr	id=g:1331832
Sābal Gopāng	id=g:1331833
Muhammad Wasān	id=g:1331834
Mahar	id=g:1331835
Theba	id=g:1331836
Khabri	id=g:1331837
Dhūp	id=g:1331838
Rahmatpur	id=g:1331839
Chudāho	id=g:1331840
Allabad Halepota	id=g:1331841
Gopāng	id=g:1331842
Goth Majeed Marri	id=g:1331843
Pīr Katpar	id=g:1331844
Qādir Marri	id=g:1331845
Khohra Marri	id=g:1331846
Ghulām Mabi Marri	id=g:1331847
Falz Wāh	id=g:1331848
Mohabat Nunāri	id=g:1331849
Chudāho	id=g:1331850
Murād jo Goth	id=g:1331851
Mohabat Wāh	id=g:1331852
Goth Achhi Masjid	id=g:1331853
Qābal Gopāng	id=g:1331854
Ali Sher Chāndio	id=g:1331855
Goth Hamanyon	id=g:1331856
Goth Jam Lashari	id=g:1331857
Umed Ali Chanar	id=g:1331858
Munshi Husain Bakhsh	id=g:1331859
Nāru	id=g:1331860
Nihal Sohu	id=g:1331861
Dari Jat	id=g:1331862
Mithan	id=g:1331863
Deh Sohon	id=g:1331864
Dilwand	id=g:1331865
Drib Pīr Mehr Shāh	id=g:1331866
Ghulām	id=g:1331867
Qubba Shāh Jariār	id=g:1331868
Dhand Jial	id=g:1331869
Shakh Faiz Wāh	id=g:1331870
Dhingan Khān	id=g:1331871
Butta	id=g:1331872
Tando Masti Khān Railway Station	id=g:1331873
Rasool Bakhsh Lashari	id=g:1331874
Fateh Ali Lashāri	id=g:1331875
Rāja Khān	id=g:1331876
Sanahoro Wāh	id=g:1331877
Goth Sumar Balouch	id=g:1331878
Khosa Machi	id=g:1331879
Allah Bakhsh Khosa	id=g:1331880
Goth Malang Mangrio	id=g:1331881
Allāhwarāyo Jatoi	id=g:1331882
Mūso Jatoi	id=g:1331883
Goth Sūmar Jatoi	id=g:1331884
Lālu	id=g:1331885
Goth Sharif	id=g:1331886
Rafiq Mahesar	id=g:1331887
Sumar Shikāri	id=g:1331888
Ailāni Shāh	id=g:1331889
Babar Kāndro	id=g:1331890
Miān Khān	id=g:1331891
Māhaīn Shaikh	id=g:1331892
Bangla	id=g:1331893
Bālu Chāndia	id=g:1331894
Drib Kadhre	id=g:1331895
Muhammad Amīn	id=g:1331896
Goth Ghareb Chāndia	id=g:1331897
Hāsil Khaskheli	id=g:1331898
Miān Khān Chāndia	id=g:1331899
Fori Chāndia	id=g:1331900
Bagu Khān Chāndia	id=g:1331901
Fāzil Kalhora	id=g:1331902
Jamāl Bābhu	id=g:1331903
Faizal Chāndia	id=g:1331904
Bahār Khān	id=g:1331905
Mehro Changar	id=g:1331906
Shāh Mehngi	id=g:1331907
Chadhar	id=g:1331908
Mangijo Goth	id=g:1331909
Rabban jo Goth	id=g:1331910
Fateh Muhammad	id=g:1331911
Jawānmard	id=g:1331912
Kamāl	id=g:1331913
Alan Khān-Jo-Goth	id=g:1331914
Maulāpur	id=g:1331915
Allāhrakhyo	id=g:1331916
Husain Shāh	id=g:1331917
Sohon	id=g:1331918
Kanasra	id=g:1331919
Ismāil Khān	id=g:1331920
Nunhari Jo Goth	id=g:1331921
Gambiar 5L Distributary	id=g:1331922
Naubahār One L Minor	id=g:1331923
Jhliwāla Four R Distributary	id=g:1331924
Chak Fourteen	id=g:1331925
Chak Thirteen	id=g:1331926
Chak Forty-four Three R	id=g:1331927
Shādipur	id=g:1331928
Three R Distributary	id=g:1331929
Pakhkhi Rohi One R Distributary	id=g:1331930
Lower Bāri Doāb Canal	id=g:1331931
Tabruk	id=g:1331932
Chak Eight	id=g:1331933
Chāprāli 1L Minor	id=g:1331934
Salerno	id=g:1331935
Iqbālgarh	id=g:1331936
Nila Two R Minor	id=g:1331937
Chak Fifty-one Two L	id=g:1331938
Mīrsar One R Minor	id=g:1331939
Nūnābād	id=g:1331940
Nangiāri	id=g:1331941
Kot Jiwan Shāh	id=g:1331942
Niāmi One R Minor	id=g:1331943
Chak Forty-seven Three R	id=g:1331944
Chak Forty-five Three R	id=g:1331945
Khu Mehrānwāla	id=g:1331946
Wān Harya	id=g:1331947
Tahsīl	id=g:1331948
Chak Thirty-six and Thirty-seven Two R	id=g:1331949
Okāra Four L Distributary	id=g:1331950
Sabha Singhwāla	id=g:1331951
Tibba Sardār Bashir	id=g:1331952
Kalāsan Two L Distributary	id=g:1331953
Hazrat Karmānwāla Station	id=g:1331954
Jhāl Dīpānwāli	id=g:1331955
Mallarpur	id=g:1331956
Two RA Distributary	id=g:1331957
Chak Forty-three GD	id=g:1331958
Daddanwāla	id=g:1331959
Mesu	id=g:1331960
Ahāta Sher Muhammad	id=g:1331961
Moni	id=g:1331962
Ahāta Moni	id=g:1331963
Gashkori Minor	id=g:1331964
Jhuggi Gujran	id=g:1331965
Thatta Husainke	id=g:1331966
Akbar Minor	id=g:1331967
Gugera Distributary	id=g:1331968
Thatta Gārka	id=g:1331969
Ziārat Bharpur Shāh	id=g:1331970
Thatta Saika	id=g:1331971
Thatta Dāra	id=g:1331972
Chāh Murād	id=g:1331973
Tibbi Bhattiān	id=g:1331974
Pind Bhattiān	id=g:1331975
Wān Mian Mūrād Baklish	id=g:1331976
Chak Bambiwāla	id=g:1331977
Rāwān	id=g:1331978
Marhi Sāba Dhanna	id=g:1331979
Dhāra Singh	id=g:1331980
Chak Twenty-three A	id=g:1331981
Kaniriwāla Ahāta	id=g:1331982
Chak Thrity-three Two RA	id=g:1331983
Kothe Arjanpur	id=g:1331984
Tibba Isāinwāla	id=g:1331985
Chak Dhani Rām	id=g:1331986
IR Minor	id=g:1331987
Bagiāna Chak	id=g:1331988
Maingahwāh	id=g:1331989
Suchānwāla Two R Distributary	id=g:1331990
Chāh Pinalwāla	id=g:1331991
Wān Bothewāli	id=g:1331992
Wān Misri Gahar	id=g:1331993
Nārka	id=g:1331994
Thatta Karīm	id=g:1331995
Thatta Tāhir	id=g:1331996
Kothra	id=g:1331997
Thatta Hasari Gahna	id=g:1331998
Wān Mutali	id=g:1331999
Wān Jawāya	id=g:1332000
Roza Sher Shāh	id=g:1332001
Chak Khān Muhammad	id=g:1332002
Roza Miān Jāna	id=g:1332003
Thatta Masrera	id=g:1332004
Thatta Karm	id=g:1332005
Khu Sultānwāla	id=g:1332006
Bund Jālāl Jahoka	id=g:1332007
Chak Thirty-seven GD	id=g:1332008
Dādwāla	id=g:1332009
Khu Khokhrariwāla	id=g:1332010
Khu Hojiwāla	id=g:1332011
Khu Umarwāla	id=g:1332012
Chāh Dādu	id=g:1332013
Khu Mironwāla	id=g:1332014
Kotli Khawājah	id=g:1332015
Hamlāniān	id=g:1332016
Fattuāna Three R Minor	id=g:1332017
Chak Karm Chand	id=g:1332018
Chak Gampat Rāi	id=g:1332019
Pīr Jāni Shāh	id=g:1332020
Biblpur Minor	id=g:1332021
Kikriwāla	id=g:1332022
Chak Seventeen GD	id=g:1332023
Joya Minor	id=g:1332024
Chak Anoka	id=g:1332025
Chak Sixteen GD	id=g:1332026
Pirān de Tibbi	id=g:1332027
Bahmanwāla	id=g:1332028
Thatta Hazār	id=g:1332029
Māri Patta	id=g:1332030
Hāji Wattu	id=g:1332031
Thatta Bhattianwāla	id=g:1332032
Khu Lakhuwāla	id=g:1332033
Chāh Mubarik Shāh	id=g:1332034
Chak Thirty A	id=g:1332035
Bagiāna Shāh Beg	id=g:1332036
Khu Arranwāla	id=g:1332037
Ziārat Miān Mishīn	id=g:1332038
Ziārat Miān Muhammad Shāh	id=g:1332039
Khu Hakim	id=g:1332040
Chak Thirty	id=g:1332041
Jandrāka One R Minor	id=g:1332042
Uthwāl Khālsa	id=g:1332043
Uthwāl Khereke	id=g:1332044
Siyānke Wān	id=g:1332045
Khu Boharwāla	id=g:1332046
Thatta Yāruke	id=g:1332047
Wān Bagarka	id=g:1332048
Wān Būhleka	id=g:1332049
Thatta Hasan	id=g:1332050
Thatta Khuwāln	id=g:1332051
Salīmke	id=g:1332052
Bārānpur Minor	id=g:1332053
Chāh Mahlwāla	id=g:1332054
Thatta Pahār	id=g:1332055
Thatta Miāna	id=g:1332056
Chak Muhammad Nawāz	id=g:1332057
Qila Jogendar Singh	id=g:1332058
Gugera Minor	id=g:1332059
Masanka	id=g:1332060
Plot Mirak	id=g:1332061
Miāni	id=g:1332062
Sati	id=g:1332063
Arianwāla Khu	id=g:1332064
Madharām	id=g:1332065
Kothra	id=g:1332066
Chak Seventy-five D	id=g:1332067
Chak Seventy-three D	id=g:1332068
Chak Seventy-six D	id=g:1332069
Beās River	id=g:1332070
Chak Forty-two Four L	id=g:1332071
Chak Seventy-one D	id=g:1332072
Chak Seventy-four D	id=g:1332073
Pagāliānwāla	id=g:1332074
Hattiān	id=g:1332075
Nūrpur Distributary	id=g:1332076
Chak Murād Khān	id=g:1332077
Chak Ahmad Sher	id=g:1332078
Ladūwanga Distributary	id=g:1332079
Nausher Bodla	id=g:1332080
Jogiāna	id=g:1332081
Sādanābād	id=g:1332082
Bahāwalnagar	id=g:1332083
Tiwāna	id=g:1332084
Dhogra	id=g:1332085
Dhogri	id=g:1332086
Sahibewāli Tibbi	id=g:1332087
Naqshah	id=g:1332088
Ghaggarwāla	id=g:1332089
Hela Wattuān	id=g:1332090
Nausher Kot Kūeka	id=g:1332091
Hela Kālriānwāla	id=g:1332092
Dīpālpur Distributary	id=g:1332093
Jawāyākali Wattuān	id=g:1332094
Chak Qudratullah	id=g:1332095
Kot Fateh Khān	id=g:1332096
Gobindpur Minor	id=g:1332097
Chak Forty B Four L	id=g:1332098
Chak Forty-one Four L	id=g:1332099
Chak Forty-three Four L	id=g:1332100
Faujiānwāla	id=g:1332101
Kakkūana	id=g:1332102
Jaipur	id=g:1332103
Chak Forty-four Five L	id=g:1332104
Chak Forty-five Five-L	id=g:1332105
Dīnanagar	id=g:1332106
Nautheh	id=g:1332107
Chak Thirty-eight	id=g:1332108
Chak Thirty-nine A Four L	id=g:1332109
Chak Thirty-seven	id=g:1332110
Nāhranwāla Distributary	id=g:1332111
Wasāu	id=g:1332112
Jowāhir Singhwāla	id=g:1332113
Theh Kasmāne	id=g:1332114
Mughal Mīr Shenk	id=g:1332115
Chak Forty-eight Five L	id=g:1332116
Chak Thirty-seven	id=g:1332117
Chak Thirty-six Four L	id=g:1332118
Nizāmwāla	id=g:1332119
Shabhor Two L Minor	id=g:1332120
Chak Thirty-three Four L	id=g:1332121
Chak Thirty-four Four L	id=g:1332122
Chak Thirty-five Four L	id=g:1332123
Chāh Lehlānwāla	id=g:1332124
Mohl	id=g:1332125
Chak Fifty-eight	id=g:1332126
Chak Fifty-seven	id=g:1332127
Chak Seven	id=g:1332128
Chak Fifty-six	id=g:1332129
Alwardi Minor	id=g:1332130
Chak Thirty-two Four L	id=g:1332131
Kot Buta	id=g:1332132
Jhok Muhār	id=g:1332133
Chak Fifty-nine-Five L	id=g:1332134
Kāmonwāla	id=g:1332135
Burjwāla Minor	id=g:1332136
Chak Forty-nine Five L	id=g:1332137
Gunnu	id=g:1332138
Chak Sixty-two Five L	id=g:1332139
Three R Minor	id=g:1332140
Five L Distributary	id=g:1332141
Chak Fifty-seven Five L	id=g:1332142
Chak Fifty-seven Five L	id=g:1332143
Kamānāwāla	id=g:1332144
Chak Fifty-seven Five L	id=g:1332145
Chak Fifty-seven Five L	id=g:1332146
Pakhkhi Two R Minor	id=g:1332147
Chak Nineteen Four L	id=g:1332148
Chak Fifty Five L	id=g:1332149
Chak Twenty-two Four L	id=g:1332150
Chak Twenty-three B Four L	id=g:1332151
Chak Thirty-one Four L	id=g:1332152
Purāna Gaimbar	id=g:1332153
Chak Twenty-nine Four L	id=g:1332154
Chak Twenty-eight A Four L	id=g:1332155
Chak Twenty-three A-Four L	id=g:1332156
Chak Four	id=g:1332157
Chak Five	id=g:1332158
Raīsānwāla	id=g:1332159
Chak Thirty Four L	id=g:1332160
Chak Thirty-eight Four L	id=g:1332161
Chak Thirty-seven Four L	id=g:1332162
Chak Thirty-six Two L	id=g:1332163
Pipli Khokhrān	id=g:1332164
Forest Sub Minor	id=g:1332165
Pipli Pahār Reserved Forest	id=g:1332166
Chak Three	id=g:1332167
Chak One	id=g:1332168
Chak Two	id=g:1332169
Chak Fifty-six Five L	id=g:1332170
Chak Fifty-five Five L	id=g:1332171
Chak Eighteen Four L	id=g:1332172
