Kalalella	id=g:1242308
Hirigolla	id=g:1244029
Hirigolla	id=g:1244030
Hirigolla	id=g:1244031
Hirigolla	id=g:1244032
Hirigalkatuwa Stage	id=g:1244033
Hirigalkatuwa	id=g:1244034
Hiridenikanda	id=g:1244035
Hirana	id=g:1244036
Hiramadagama	id=g:1244037
Hiralumulla	id=g:1244038
Hiralugedara	id=g:1244039
Hirallugama	id=g:1244040
Hiralugama	id=g:1244041
Hiralugama	id=g:1244042
Hiralla Wewa	id=g:1244043
Hirae	id=g:1244044
Hippala	id=g:1244045
Hipauwa	id=g:1244046
Hipanwatta	id=g:1244047
Hippanpola Uda	id=g:1244048
Hipanpola Palle	id=g:1244049
Hipankanda	id=g:1244050
Hinxton	id=g:1244051
Hinwerelle	id=g:1244052
Hinwella	id=g:1244053
Hinukwewa	id=g:1244054
Hinukkiriyawa	id=g:1244055
Hinukgala	id=g:1244056
Hintambale	id=g:1244057
Hinnariyamala	id=g:1244058
Hinnarangolla	id=g:1244059
Hinnarangolla	id=g:1244060
Hinnarangolla	id=g:1244061
Hinnarangahakumbura	id=g:1244062
Hinnepalla	id=g:1244063
Hinnagama Wewa	id=g:1244064
Hinnagama	id=g:1244065
Hinitikalma	id=g:1244066
Hinipella	id=g:1244067
Hiniduma	id=g:1244068
Hinguru Wewa	id=g:1244069
Hinguruwewa	id=g:1244070
Hinguruwewa	id=g:1244071
Hinguruwewa	id=g:1244072
Hinguruwewa	id=g:1244073
Hinguruwelpitiya	id=g:1244074
Hinguruwel Ara	id=g:1244075
Hingura Wewa	id=g:1244076
Hinguruwakwela	id=g:1244077
Hinguruwagama Wewa	id=g:1244078
Hingurupattala	id=g:1244079
Hingurukaduwa	id=g:1244080
Hingurukaduwa	id=g:1244081
Hingurugamuwa	id=g:1244082
Hingurugamuwa	id=g:1244083
Hingurugama Oya	id=g:1244084
Hingurugama	id=g:1244085
Hingurugama	id=g:1244086
Hinguruattawila	id=g:1244087
Hingure Wewa	id=g:1244088
Hingure Wewa	id=g:1244089
Hingurewela	id=g:1244090
Hingurwatta Oya	id=g:1244091
Hingurella	id=g:1244092
Hingurekanda	id=g:1244093
Hinguregoda Number 1	id=g:1244094
Hinguregoda	id=g:1244095
Hinguregama Wewa	id=g:1244096
Hinguregama	id=g:1244097
Hinguraara	id=g:1244098
Hingura Tank	id=g:1244099
Hingurara Tank	id=g:1244100
Hingurana	id=g:1244101
Hingurana	id=g:1244102
Hingurana	id=g:1244103
Hinguralakanda	id=g:1244104
Hingurala	id=g:1244105
Hingurakgoda Part Three	id=g:1244106
Hingurakgoda Block One	id=g:1244107
Hingurakgoda	id=g:1244108
Hingurakgala	id=g:1244109
Hingurakdamana	id=g:1244110
Hingura	id=g:1244111
Uda Hingulwala	id=g:1244112
Hinguloya	id=g:1244113
Hingul Oya	id=g:1244114
Hingula	id=g:1244115
Hingawatta	id=g:1244116
Hingarakaduwa	id=g:1244117
Heenganga Ela	id=g:1244118
Hingalgoda	id=g:1244119
Hinetiya	id=g:1244120
Hinelipattewa	id=g:1244121
Hindurangala	id=g:1244122
Hindirigama	id=g:1244123
Hindeniya	id=g:1244124
Hindeliya	id=g:1244125
Hindekadawelana	id=g:1244126
Hindawewa	id=g:1244127
Hindamada	id=g:1244128
Hindakumbura	id=g:1244129
Hindakatuwa	id=g:1244130
Hindakaramulla	id=g:1244131
Hindakaralpokuna	id=g:1244132
Hindahena	id=g:1244133
Hindagolla	id=g:1244134
Hindagolla	id=g:1244135
Hindagoda	id=g:1244136
Hindagalla	id=g:1244137
Hindagala	id=g:1244138
Hindagahewewa	id=g:1244139
Hinatiya	id=g:1244140
Hinatipone	id=g:1244141
Hinatihatamuna	id=g:1244142
Hinatigala	id=g:1244143
Hin-ara	id=g:1244144
Hinara	id=g:1244145
Hinapanuwa	id=g:1244146
Hinamulla	id=g:1244147
Hinagama	id=g:1244148
Hinadutu Wewa	id=g:1244149
Heenadure	id=g:1244150
Hinabowa	id=g:1244151
Himudawa	id=g:1244152
Himmawatha Wawa	id=g:1244153
Himidurawa Tank	id=g:1244154
Himidurawa	id=g:1244155
Himbutuwelgoda	id=g:1244156
Himbutuwala	id=g:1244157
Himbutugoda	id=g:1244158
Himbiriyavala	id=g:1244159
Himbiliyakada	id=g:1244160
Hilton Colony	id=g:1244161
Hilton	id=g:1244162
Hilpenkandura	id=g:1244163
Hilpankandura	id=g:1244164
Hilogama	id=g:1244165
Hilogama	id=g:1244166
Hill Stream	id=g:1244167
Hill Side	id=g:1244168
Hillside	id=g:1244169
Hillington	id=g:1244170
Hillegeayina	id=g:1244171
Hillcroft	id=g:1244172
Hill Crest	id=g:1244173
Hili Oya	id=g:1244174
Hilawagedara	id=g:1244175
Hikkagala	id=g:1244176
Hikkaduwa Ganga	id=g:1244177
Hikkaduwa	id=g:1244178
Hikgaha Ara	id=g:1244179
High Walton	id=g:1244180
High Forest	id=g:1244181
Higgoda	id=g:1244182
Higgoda	id=g:1244183
Higgoda	id=g:1244184
Higgoda	id=g:1244185
Higgashena	id=g:1244186
Higatta	id=g:1244187
Hidogama	id=g:1244188
Hidogama	id=g:1244189
Hidogama	id=g:1244190
Hidiyawala	id=g:1244191
Hidiyawala	id=g:1244192
Hidiyamulla	id=g:1244193
Hidikiula	id=g:1244194
Hidepokuna	id=g:1244195
Hidepalugaswala	id=g:1244196
Hidepalugaswala	id=g:1244197
Hidallana	id=g:1244198
Hiddoruwa	id=g:1244199
Hiddewa	id=g:1244200
Hiddaulla	id=g:1244201
Hiddathpitiya	id=g:1244202
Hiddanagama	id=g:1244203
Hiddana	id=g:1244204
Hiddagama	id=g:1244205
Hidawa	id=g:1244206
Hidawa	id=g:1244207
Hidagama Wewa	id=g:1244208
Hidagamawatta	id=g:1244209
Hidagama	id=g:1244210
Hida	id=g:1244211
Hickgalla	id=g:1244212
Hibbotu Wala	id=g:1244213
Heyiyagama	id=g:1244214
Hewessa Dola	id=g:1244215
Hewelkandura	id=g:1244216
Hewayinnekanda	id=g:1244217
Hewawisse	id=g:1244218
Hewapola	id=g:1244219
Hewaowita	id=g:1244220
Hewanwatta	id=g:1244221
Hewanpolagama	id=g:1244222
Hewanpola	id=g:1244223
Hewanpitiya Villu	id=g:1244224
Hewanpitiya	id=g:1244225
Hewanpelessa	id=g:1244226
Hewan Palessa Wewa	id=g:1244227
Hewanewela Sinhalabage	id=g:1244228
Hewanewela Marakkalabage	id=g:1244229
Hewanewala	id=g:1244230
Hewanetenna	id=g:1244231
Hewanellegara Wewa	id=g:1244232
Hewanegedera	id=g:1244233
Hewanegedara	id=g:1244234
Hewanegedara	id=g:1244235
Hewanegadara	id=g:1244236
Hewandeniya	id=g:1244237
Hewanatennegama	id=g:1244238
Hewanellagara	id=g:1244239
Hewa Nadugala	id=g:1244240
Hewana	id=g:1244241
Hewana	id=g:1244242
Hewampelessawewa	id=g:1244243
Hewaheta	id=g:1244244
Hewagama	id=g:1244245
Hewagama	id=g:1244246
Hewagama Estate	id=g:1244247
Hewadiwela	id=g:1244248
Hevelwela	id=g:1244249
Hettuwewa	id=g:1244250
Hettiyewa	id=g:1244251
Hettiyawala	id=g:1244252
Hettiyawa	id=g:1244253
Hettiyakotuwa	id=g:1244254
Hettiyakanda	id=g:1244255
Hettiwidiya	id=g:1244256
Hettiwatta	id=g:1244257
Hettiwatta	id=g:1244258
Hettirippuwa	id=g:1244259
Hettipolegama	id=g:1244260
Hettipolegama	id=g:1244261
Hettipola Oya	id=g:1244262
Hettipola	id=g:1244263
Hettipola	id=g:1244264
Hettipola	id=g:1244265
Hettimulla	id=g:1244266
Hettimulla	id=g:1244267
Hettimulla	id=g:1244268
Hettimulla	id=g:1244269
Hettikattiya	id=g:1244270
Hettikanda Ela	id=g:1244271
Hettikanda	id=g:1244272
Hettihela	id=g:1244273
Hettigoda	id=g:1244274
Hettigoda	id=g:1244275
Hettigoda	id=g:1244276
Hettigoda	id=g:1244277
Hettigoda	id=g:1244278
Hettigedera	id=g:1244279
Hettigedara	id=g:1244280
Hettigedara	id=g:1244281
Hettigedera	id=g:1244282
Hettigedara	id=g:1244283
Hettigammedda	id=g:1244284
Hettigamagoda	id=g:1244285
Hettigama	id=g:1244286
Hettigama	id=g:1244287
Hettigama	id=g:1244288
Hettigama	id=g:1244289
Hettigama	id=g:1244290
Hettigama	id=g:1244291
Hettiawatte	id=g:1244292
Hettiarachchiyagama Wewa	id=g:1244293
Hettiarachchigama Wewa	id=g:1244294
Hettiarachchigama	id=g:1244295
Hettia Kulam	id=g:1244296
Hettiagama Wewa	id=g:1244297
Hettiachchigoda	id=g:1244298
Hethersett	id=g:1244299
Hetekma	id=g:1244300
Herondale	id=g:1244301
Hermont	id=g:1244302
Hermhaga	id=g:1244303
Here Ela	id=g:1244304
Herati Oya	id=g:1244305
Herathgama	id=g:1244306
Herat Hammillewa	id=g:1244307
Herathgama	id=g:1244308
Heratgama	id=g:1244309
Heratgama	id=g:1244310
Heramitiyagala	id=g:1244311
Meramitipana	id=g:1244312
Heramitipana	id=g:1244313
Heramayagama	id=g:1244314
Heraliyawala	id=g:1244315
Heraliyawala	id=g:1244316
Heralattuduwa	id=g:1244317
Heralantuduwa	id=g:1244318
Heppumulla	id=g:1244319
Hepola Oya	id=g:1244320
Hepola	id=g:1244321
Hepana	id=g:1244322
Henwalawela	id=g:1244323
Henwalagama	id=g:1244324
Hentleys	id=g:1244325
Henpitamulla	id=g:1244326
Henpitagedara	id=g:1244327
Henpita	id=g:1244328
Henpita	id=g:1244329
Henparapuwagama	id=g:1244330
Hennewelle	id=g:1244331
Henneggama	id=g:1244332
Henmulla	id=g:1244333
Henamulla	id=g:1244334
Henmulla	id=g:1244335
Henketugama	id=g:1244336
Hengogama	id=g:1244337
Hengoda	id=g:1244338
Hengeulla	id=g:1244339
Hengawa	id=g:1244340
Hengawa	id=g:1244341
Hengamuwa	id=g:1244342
Henfold	id=g:1244343
Henewela Rail Motor Halt	id=g:1244344
Henepola	id=g:1244345
Henepola	id=g:1244346
Henepola	id=g:1244347
Henepola	id=g:1244348
Henapola	id=g:1244349
Henepola	id=g:1244350
Henepola	id=g:1244351
Henepola	id=g:1244352
Henepola	id=g:1244353
Henepola	id=g:1244354
Henemulla	id=g:1244355
Henemulla	id=g:1244356
Henemulla	id=g:1244357
Henegedara-kala	id=g:1244358
Henegedara	id=g:1244359
Henegedara	id=g:1244360
Henegedara	id=g:1244361
Henegedara	id=g:1244362
Henegedara	id=g:1244363
Henegedara	id=g:1244364
Henegedara	id=g:1244365
Henegedara	id=g:1244366
Henegedara	id=g:1244367
Henegedara	id=g:1244368
Henegedara	id=g:1244369
Henegedara	id=g:1244370
Henegama	id=g:1244371
Henegama	id=g:1244372
Henegama	id=g:1244373
Henegama	id=g:1244374
Henegama	id=g:1244375
Henegama	id=g:1244376
Henegama	id=g:1244377
Henegama	id=g:1244378
Henegama	id=g:1244379
Henegama	id=g:1244380
Henebedde	id=g:1244381
Henduwawa	id=g:1244382
Henduwawa	id=g:1244383
Hendon	id=g:1244384
Hendiyapola	id=g:1244385
Hendiyapola	id=g:1244386
Hendiyagama	id=g:1244387
Hendiyagala	id=g:1244388
Henditiyawa	id=g:1244389
Hendimahara	id=g:1244390
Hendi Kema	id=g:1244391
Hendikema	id=g:1244392
Hendigas Wewa	id=g:1244393
Hendeniya	id=g:1244394
Hendegama	id=g:1244395
Hendegama	id=g:1244396
Hendala	id=g:1244397
Hendala	id=g:1244398
Henaya Rotawewa	id=g:1244399
Henayala Wewa	id=g:1244400
Henawatta	id=g:1244401
Henawa Maha Wewa	id=g:1244402
Henawagama	id=g:1244403
Henawa	id=g:1244404
Henaratgoda	id=g:1244405
Henapolayagama	id=g:1244406
Henannewewa	id=g:1244407
Henanegala Kandia	id=g:1244408
Henanegala Cave	id=g:1244409
Henakelegama	id=g:1244410
Henahungoda	id=g:1244411
Henaggegoda	id=g:1244412
Henagehuwewa	id=g:1244413
Henagenuwala	id=g:1244414
Henagahapu Wewa	id=g:1244415
Henagahapugala	id=g:1244416
Henagahapitiya	id=g:1244417
Henagahapitiya	id=g:1244418
Hemure	id=g:1244419
Hemudawa	id=g:1244420
Hemporuwagala	id=g:1244421
Hempitigama Wewa	id=g:1244422
Hempitagama	id=g:1244423
Hemmullegama	id=g:1244424
Hemmeliya	id=g:1244425
Hemmatagama	id=g:1244426
Heming Rocks	id=g:1244427
Hemikuwagala	id=g:1244428
Hembarawa Wewa	id=g:1244429
Hembarawa	id=g:1244430
Hemakandupitiya	id=g:1244431
Hemagolla	id=g:1244432
Hemagodagala	id=g:1244433
Hemagahahena	id=g:1244434
Halwalapitiya	id=g:1244435
Helwala	id=g:1244436
Helvetia	id=g:1244437
Helunmahara	id=g:1244438
Helowatta	id=g:1244439
Helogama	id=g:1244440
Helliwatugoda	id=g:1244441
Hellbodde	id=g:1244442
Heliyagoda	id=g:1244443
Helgama Wewa	id=g:1244444
Helgama	id=g:1244445
Helembe Wewa	id=g:1244446
Helembe Wewa	id=g:1244447
Helembewa	id=g:1244448
Helbeck	id=g:1244449
Helawe Kalapuwa	id=g:1244450
Helawe Eliya	id=g:1244451
Helawe Ara	id=g:1244452
Helawe	id=g:1244453
Helawatta	id=g:1244454
Helawa	id=g:1244455
Helava Wekada	id=g:1244456
Helaudayaya	id=g:1244457
Helaudakanda	id=g:1244458
Helauda	id=g:1244459
Hela Tuntala	id=g:1244460
Helarambe	id=g:1244461
Helapandeniya	id=g:1244462
Helapagahamala Wewa	id=g:1244463
Helapagahamala Wewa	id=g:1244464
Helambewewa	id=g:1244465
Helambewa Wewa	id=g:1244466
Helambewa	id=g:1244467
Helambewa	id=g:1244468
Helambewa	id=g:1244469
Helambewa	id=g:1244470
Helambewa	id=g:1244471
Helambewa	id=g:1244472
Helamba	id=g:1244473
Helamba Wewa	id=g:1244474
Helamba Wewa	id=g:1244475
Helamba Wewa	id=g:1244476
Helamba Wewa	id=g:1244477
Helamba Wewa	id=g:1244478
Helambawewa	id=g:1244479
Helambawewa	id=g:1244480
Helambawewa	id=g:1244481
Helambawewa	id=g:1244482
Helambawetiya	id=g:1244483
Helambawatawana	id=g:1244484
Helambawala Wewa	id=g:1244485
Helambawala	id=g:1244486
Helambawala	id=g:1244487
Helambagas Wewa	id=g:1244488
Helambagaswewa	id=g:1244489
Helambagaswewa	id=g:1244490
Helambagaswewa	id=g:1244491
Helambagaswela	id=g:1244492
Helambagama	id=g:1244493
Helambagaha Wewa	id=g:1244494
Helambagahawewa	id=g:1244495
Helambagahawatta	id=g:1244496
Helamada Oya	id=g:1244497
Helamada	id=g:1244498
Helakandana	id=g:1244499
Helakanda	id=g:1244500
Helakada Wewa	id=g:1244501
Helakadagala	id=g:1244502
Heladangamuwa	id=g:1244503
Helabadagama	id=g:1244504
Hela-alagolla	id=g:1244505
Hela	id=g:1244506
Hekitta	id=g:1244507
Heidri	id=g:1244508
Hegoda	id=g:1244509
Hegoda	id=g:1244510
Heginairkanda	id=g:1244511
Hegasulla	id=g:1244512
Hegama	id=g:1244513
Hegalla Piyagama	id=g:1244514
Hegalla	id=g:1244515
Heeratiya	id=g:1244516
Heeratiya	id=g:1244517
Heerati Oya	id=g:1244518
Heeralumulla	id=g:1244519
Heeralugama Wewa	id=g:1244520
Heeralugama	id=g:1244521
Heen Wewa	id=g:1244522
Heenweli-agare	id=g:1244523
Heenwalayagama Wewa	id=g:1244524
Heenuk Wewa	id=g:1244525
Heenukwegama	id=g:1244526
Heenpannawa	id=g:1244527
Heennarangas Wewa	id=g:1244528
Heenmeliagare	id=g:1244529
Heenmadu	id=g:1244530
Heenkenda	id=g:1244531
Heenhabaragama Wewa	id=g:1244532
Heen Ganga	id=g:1244533
Heengana Ela	id=g:1244534
Heen Ela	id=g:1244535
Heen Ela	id=g:1244536
Heen Ela	id=g:1244537
Heendugalakanda	id=g:1244538
Heen Dola	id=g:1244539
Heendeniya	id=g:1244540
Heenbunna	id=g:1244541
Heenatiyana	id=g:1244542
Heenagara	id=g:1244543
Heenagara	id=g:1244544
Heenagama Wewa	id=g:1244545
Heenadure	id=g:1244546
Heegaha Wewa	id=g:1244547
Heedagama	id=g:1244548
Hedunuwawa	id=g:1244549
Hediyawala	id=g:1244550
Hediwatta	id=g:1244551
Hedipannala	id=g:1244552
Hedigama	id=g:1244553
Hedigalla	id=g:1244554
Hedidenikanda	id=g:1244555
Hedgefield	id=g:1244556
Hedeniya	id=g:1244557
Hedeniya	id=g:1244558
Heda Oya Anicut	id=g:1244559
Heda Oya	id=g:1244560
Hedaketiya Wewa	id=g:1244561
Hedaketiya	id=g:1244562
Hedakanda	id=g:1244563
Hedaema Wewa	id=g:1244564
Heavena	id=g:1244565
Heatherton	id=g:1244566
Heatherly	id=g:1244567
Heatherly	id=g:1244568
Heatherley	id=g:1244569
Hean Ganga	id=g:1244570
Hayes	id=g:1244571
Haycock	id=g:1244572
Hawnella Oya	id=g:1244573
Hawariyawa	id=g:1244574
Hawariyapelessa	id=g:1244575
Hawapenna Ela	id=g:1244576
Hawanawa Wewa	id=g:1244577
Hawadagala	id=g:1244578
Hawunile	id=g:1244579
Havilland	id=g:1244580
Haven Estate	id=g:1244581
Havelock Town	id=g:1244582
Heyativu	id=g:1244583
Havannavela	id=g:1244584
Havagala	id=g:1244585
Hauteville	id=g:1244586
Haughton	id=g:1244587
Hatuwapiyadigama West	id=g:1244588
Hatuwapiyadigama East	id=g:1244589
Hatupitiya	id=g:1244590
Hathugoda	id=g:1244591
Hattotuwa	id=g:1244592
Hattota Amune Ela	id=g:1244593
Hattota Amuna	id=g:1244594
Hatton Plateau	id=g:1244595
Hatton	id=g:1244596
Hatton	id=g:1244597
Hattiniya	id=g:1244598
Hattiniya	id=g:1244599
Hattella	id=g:1244600
Hattanwella	id=g:1244601
Hattangalla	id=g:1244602
Hattaka Ela	id=g:1244603
Hattaka	id=g:1244604
Hatpokuna	id=g:1244605
Hatpatha Water Hole	id=g:1244606
Hathnapitiya	id=g:1244607
Hatnapitiya	id=g:1244608
Hathnagoda	id=g:1244609
Hatnagoda	id=g:1244610
Hatnagalla Estate	id=g:1244611
Hatkinda	id=g:1244612
Hathkele	id=g:1244613
Hatiyalwela	id=g:1244614
Hatiyaldeniya	id=g:1244615
Hatinigama Wewa	id=g:1244616
Hatihare	id=g:1244617
Hatigomuwa	id=g:1244618
Hatiganne Wewa	id=g:1244619
Hatigammana	id=g:1244620
Hatigalla	id=g:1244621
Hathmatte	id=g:1244622
Hatherleigh	id=g:1244623
Hathduwa	id=g:1244624
Hathdaraganga	id=g:1244625
Hathareswewa	id=g:1244626
Hoth Ara	id=g:1244627
Hathamuna	id=g:1244628
Hathalewa	id=g:1244629
Hathalawa	id=g:1244630
Hathagoda	id=g:1244631
Hathagama Wewa	id=g:1244632
Hathagama	id=g:1244633
Hatgampala	id=g:1244634
Hatbawa	id=g:1244635
Hathareswewa	id=g:1244636
Hataraskotuwakanda	id=g:1244637
Hataraskotu Ela	id=g:1244638
Hataramune	id=g:1244639
Hataraliyadda	id=g:1244640
Hatarakuttuwa	id=g:1244641
Hatarabage	id=g:1244642
Halapola	id=g:1244643
Hatapelana	id=g:1244644
Hatangama	id=g:1244645
Hatangala	id=g:1244646
Hatanagoda	id=g:1244647
Hatamune	id=g:1244648
Hatamune	id=g:1244649
Hatamunagala	id=g:1244650
Hatamunugalla	id=g:1244651
Hataluwa Wewa	id=g:1244652
Hathalispahuwa	id=g:1244653
Hatalewatta	id=g:1244654
Hathgama	id=g:1244655
Hatagala	id=g:1244656
Hatadukkuwa	id=g:1244657
Hastings	id=g:1244658
Hassalaka Oya	id=g:1244659
Hassalaka	id=g:1244660
Harumalgoda West	id=g:1244661
Harumalgoda	id=g:1244662
Hartley	id=g:1244663
Harthigamuwa	id=g:1244664
Hartfield	id=g:1244665
Harshanatagama	id=g:1244666
Harrow	id=g:1244667
Harrington	id=g:1244668
Harrifred	id=g:1244669
Harmony	id=g:1244670
Harigala	id=g:1244671
Hare Park	id=g:1244672
Hareendragama	id=g:1244673
Hardy Thotum	id=g:1244674
Hardy Thotum	id=g:1244675
Harden Point	id=g:1244676
Hardenhuish	id=g:1244677
Haraswewagoduna	id=g:1244678
Haras Wewa	id=g:1244679
Harasgama	id=g:1244680
Harasgala	id=g:1244681
Harasbedda	id=g:1244682
Harasbadda	id=g:1244683
Harapalagala	id=g:1244684
Harannagala	id=g:1244685
Harnkahawa	id=g:1244686
Harankahawa	id=g:1244687
Harankahawa	id=g:1244688
Harankahawa	id=g:1244689
Harankahawa	id=g:1244690
Harankahagoda	id=g:1244691
Harankahadeniya	id=g:1244692
Harangala	id=g:1244693
Harangalla	id=g:1244694
Harakweldamana	id=g:1244695
Harakola	id=g:1244696
Harakketi Wewa	id=g:1244697
Harakgamakanda	id=g:1244698
Harakgalegama	id=g:1244699
Harakagala Wewa	id=g:1244700
Harakagala	id=g:1244701
Haraggama	id=g:1244702
Haragama	id=g:1244703
Haragama Group	id=g:1244704
Hapuwita	id=g:1244705
Hapuwida Oya	id=g:1244706
Hapuwalana	id=g:1244707
Hapuwala	id=g:1244708
Haputale Udagama	id=g:1244709
Haputale	id=g:1244710
Haputalegama	id=g:1244711
Haputale Forest Reserve	id=g:1244712
Haputale	id=g:1244713
Haputale	id=g:1244714
Hapurugala	id=g:1244715
Hapurugala	id=g:1244716
Hapurudeniya	id=g:1244717
Hapupe	id=g:1244718
Hapukumburegama	id=g:1244719
Hapukanda	id=g:1244720
Hapugolla	id=g:1244721
Hapugolla	id=g:1244722
Hapugoda	id=g:1244723
Hapugoda	id=g:1244724
Hapugoda	id=g:1244725
Hapugoda	id=g:1244726
Hapugoda	id=g:1244727
Hapugasthenna	id=g:1244728
Hapugastenna	id=g:1244729
Hapugastenna	id=g:1244730
Hapugastenna	id=g:1244731
Hapugastenna	id=g:1244732
Hapugastalawa	id=g:1244733
Hapugaspitiya Pallamawatta	id=g:1244734
Hapugaspitiya	id=g:1244735
Hapugaspitiya	id=g:1244736
Hapugasmulle	id=g:1244737
Hapugasdeniya	id=g:1244738
Hapugammana	id=g:1244739
Hapugammana	id=g:1244740
Hapugala	id=g:1244741
Hapugahawatta	id=g:1244742
Hapugahawella	id=g:1244743
Hapugaharawa	id=g:1244744
Hapugahapitiya	id=g:1244745
Hapugahamulla	id=g:1244746
Hapugahalande	id=g:1244747
Hapugahalanda	id=g:1244748
Hapugahakumbura	id=g:1244749
Hapugahakanda	id=g:1244750
Hapugahahena	id=g:1244751
Hapugahagedara	id=g:1244752
Hapugahagedara	id=g:1244753
Hapugahagama	id=g:1244754
Hapudeniya	id=g:1244755
Hapudandawala	id=g:1244756
Happoruwa Wewa	id=g:1244757
Happoruwa	id=g:1244758
Happoruwa	id=g:1244759
Happitiya	id=g:1244760
Happitiya	id=g:1244761
Happettawa	id=g:1244762
Happawara	id=g:1244763
Happawana	id=g:1244764
Hapiwidiyagama	id=g:1244765
Hapitigama	id=g:1244766
Hapatgomuwa	id=g:1244767
Hapathgamuwa	id=g:1244768
Hanwellegedara Wewa	id=g:1244769
Hanwella Pahala	id=g:1244770
Hanwella Pahala	id=g:1244771
Hanwella Ihala	id=g:1244772
Hanwella Ihala	id=g:1244773
Hanwella	id=g:1244774
Hanwella	id=g:1244775
Hanwella	id=g:1244776
Hanwella	id=g:1244777
Hanwella	id=g:1244778
Hanwella	id=g:1244779
Hanwella Estate	id=g:1244780
Hanwana	id=g:1244781
Hunuketapitiya	id=g:1244782
Hanthihawa	id=g:1244783
Hantane	id=g:1244784
Hantanagama	id=g:1244785
Hantanagama	id=g:1244786
Hannagala	id=g:1244787
Hankalihena	id=g:1244788
Hanipha	id=g:1244789
Hanhamunawa	id=g:1244790
Hangurugama	id=g:1244791
Hanguranketa	id=g:1244792
Hangunne Ara	id=g:1244793
Hangunnawa	id=g:1244794
Hangune Ara	id=g:1244795
Hangulla Wewa	id=g:1244796
Hangomuwa Ganga	id=g:1244797
Hangomuwa	id=g:1244798
Hengomuwa	id=g:1244799
Hangomuwa	id=g:1244800
Hangomuwa	id=g:1244801
Hangumuwa	id=g:1244802
Hangipilipola Wewa	id=g:1244803
Hangiliya	id=g:1244804
Hangilipola	id=g:1244805
Hangilipola	id=g:1244806
Hangiligama	id=g:1244807
Hangiliella	id=g:1244808
Hangiliella	id=g:1244809
Hangilegollawela	id=g:1244810
Hangawila	id=g:1244811
Hangawela	id=g:1244812
Hangawatta	id=g:1244813
Hangawatta	id=g:1244814
Hangaulla	id=g:1244815
Hangarapitiya	id=g:1244816
Hangaranwatta	id=g:1244817
Hangaranoya Colony	id=g:1244818
Hangaran Oya	id=g:1244819
Hangarange Wewa	id=g:1244820
Hangarangala	id=g:1244821
Hangarandeniya	id=g:1244822
Hangamuwa	id=g:1244823
Hangamuwa	id=g:1244824
Handuwelkanda	id=g:1244825
Handuru Urulewa Wewa	id=g:1244826
Handuru Remunagoda	id=g:1244827
Handuru Paliyagama	id=g:1244828
Handurumulla	id=g:1244829
Handuru Labbala	id=g:1244830
Handurukanda	id=g:1244831
Handupelpola	id=g:1244832
Handunkatuwa	id=g:1244833
Handunkanda	id=g:1244834
Handungama	id=g:1244835
Handunagama Wewa	id=g:1244836
Handunkanda	id=g:1244837
Handugama	id=g:1244838
Handugala	id=g:1244839
Handugala	id=g:1244840
Handrackkanda	id=g:1244841
Handran Gala	id=g:1244842
Handiyakumbura	id=g:1244843
Handessa	id=g:1244844
Handawelpola	id=g:1244845
Handapanwala	id=g:1244846
Handapanwala	id=g:1244847
Handapanwala	id=g:1244848
Handapan Villu	id=g:1244849
Handapangodella	id=g:1244850
Handapangoda	id=g:1244851
Handapangalageayina	id=g:1244852
Handapangala	id=g:1244853
Handapangala	id=g:1244854
Handapan Ella Plains	id=g:1244855
Handapandunugama Wewa	id=g:1244856
Handapandunugama	id=g:1244857
Handapangala Wewa	id=g:1244858
Handanpathela	id=g:1244859
Alandamoragolle Ela	id=g:1244860
Handamoragolla Eba	id=g:1244861
Handamagama	id=g:1244862
Handalankawa	id=g:1244863
Handagiriya	id=g:1244864
Handaganawa	id=g:1244865
Handagama	id=g:1244866
Handagala	id=g:1244867
Handagala	id=g:1244868
Handbowa	id=g:1244869
Hanchapola	id=g:1244870
Hammillewa Wewa	id=g:1244871
Hammillewa Wewa	id=g:1244872
Hammillewa	id=g:1244873
Dachchi Hammillewa	id=g:1244874
Hammillewa	id=g:1244875
Hammillewa	id=g:1244876
Hammillewa	id=g:1244877
Hammillewa	id=g:1244878
Hammillewa	id=g:1244879
Hammillewa	id=g:1244880
Hammillewa	id=g:1244881
Hammillewa	id=g:1244882
Hammillewa	id=g:1244883
Hammillewa	id=g:1244884
Hammillewa	id=g:1244885
Hammillewa	id=g:1244886
Hammillewa	id=g:1244887
Hammillewa	id=g:1244888
Hammillewa	id=g:1244889
Hammillewa	id=g:1244890
Hammillewa	id=g:1244891
Hammillekotuwa	id=g:1244892
Hammilla Wewa	id=g:1244893
Hammilla Wewa	id=g:1244894
Hammilla Wewa	id=g:1244895
Hammillawewa	id=g:1244896
Hammillawetiya	id=g:1244897
Hammillawetiya	id=g:1244898
Hammillawa	id=g:1244899
Hammillapotana Wewa	id=g:1244900
Hammillakulama	id=g:1244901
Hammillakulama	id=g:1244902
Hammillakulama	id=g:1244903
Hammilla Kulam	id=g:1244904
Hammillakadawala Wewa	id=g:1244905
Hammillakadawala	id=g:1244906
Hammillagollagama Wewa	id=g:1244907
Hammillagollagama	id=g:1244908
Hammillagolla	id=g:1244909
Hammillagama Wewa	id=g:1244910
Hammilla Ela	id=g:1244911
Hammenhiel Fort	id=g:1244912
Hammaliya	id=g:1244913
Hammallgedara	id=g:1244914
Hammelawa	id=g:1244915
Hamilton Canal	id=g:1244916
