Quebrada La Julia	id=g:3781369
Quebrada La Pita	id=g:3783224
Arroyo La Enea	id=g:3783225
Arroyo Campano	id=g:3783226
San Felipe	id=g:3783227
Cañada El Jobo	id=g:3783228
Arroyo Miguel	id=g:3783229
Arroyo Churre	id=g:3783230
La Loquera	id=g:3783231
Arroyo La Eneita	id=g:3783232
Arroyo La Puente	id=g:3783233
Arroyo El Tigre	id=g:3783234
Arroyo Los Patos	id=g:3783235
Santa Fé	id=g:3783236
Arroyo El Venado	id=g:3783237
Noche Azul	id=g:3783238
Bajo Grande	id=g:3783239
Arroyo El Ruizal	id=g:3783240
Arroyo El Templo	id=g:3783241
El Guayabo	id=g:3783242
Villavicencio	id=g:3783243
Arroyo El Bálsamo	id=g:3783244
El Tesoro	id=g:3783245
Sorrento	id=g:3783246
Quebrada Gloria	id=g:3783247
La Trampa	id=g:3783248
Santiago	id=g:3783249
Quebrada Membrillal	id=g:3783250
La Gloria	id=g:3783251
El Cielo	id=g:3783252
Arroyo El Ceibo	id=g:3783253
La Tablita	id=g:3783254
Arroyo Manuel Díaz	id=g:3783255
El Danubio	id=g:3783256
El Apretado	id=g:3783257
Los Pavos	id=g:3783258
Quebrada Aguas Claras	id=g:3783259
Arroyo Laguneta	id=g:3783260
Arroyo Campano	id=g:3783261
Cañq Las Nubles	id=g:3783262
Arroyo El Campanito	id=g:3783263
Arroyo La Zorra	id=g:3783264
Arroyo Recoveco	id=g:3783265
La Mesa	id=g:3783266
Trementino	id=g:3783267
El Bálsamo	id=g:3783268
Alto El Viento	id=g:3783269
Arroyo Grande	id=g:3783270
Nuevo Ilusión	id=g:3783271
La Mula	id=g:3783272
San José	id=g:3783273
La Esperanza	id=g:3783274
El Delirio	id=g:3783275
Los Corazones	id=g:3783276
Arroyo Barbascal	id=g:3783277
Arenas del Norte	id=g:3783278
Arroyo El Cipoje	id=g:3783279
Arroyo Santiago	id=g:3783280
Arroyo San Francisco	id=g:3783281
Cañada Las Tinas	id=g:3783282
Arroyo San Miguel	id=g:3783283
Arroyo Vueltoso	id=g:3783284
La Florida	id=g:3783285
La Envidia	id=g:3783286
Lusitania	id=g:3783287
Poza El Totumo	id=g:3783288
San Jacinto	id=g:3783289
Ciénaga Redonda	id=g:3783290
Bajos de San Salvador	id=g:3783291
Quebrada Matapalmas	id=g:3783292
Quebrada Tres Marias	id=g:3783293
Ciénaga Poza Bonito	id=g:3783294
Poza Castillo	id=g:3783295
Caño Viejo	id=g:3783296
La Garrapata	id=g:3783297
El Rosario	id=g:3783298
La Gloria	id=g:3783299
Quebrada Cuba	id=g:3783300
Caño La Mina	id=g:3783301
Quebrada Parumito	id=g:3783302
Quebrada del Tigre	id=g:3783303
Quebrada Cacuchera	id=g:3783304
Pantano La Ponchera	id=g:3783305
La Playona	id=g:3783306
Bajos de Ciénaga Large	id=g:3783307
El Campano	id=g:3783308
El Desvelo	id=g:3783309
Quebrada La Cantera	id=g:3783310
Quebrada El Limón	id=g:3783311
El Guineo	id=g:3783312
Santa Helena	id=g:3783313
Ciénaga El Porvenir	id=g:3783314
Caño Cedral	id=g:3783315
Quebrada Carretal	id=g:3783316
Las Mercedes	id=g:3783317
Quebrada Palmito	id=g:3783318
La Zorra	id=g:3783319
La Esperanza	id=g:3783320
Los Naranjos	id=g:3783321
La Tenaza	id=g:3783322
Porvenir	id=g:3783323
Caño Los Naranjos	id=g:3783324
Ciénaga La Enea	id=g:3783325
Cañada Limón	id=g:3783326
Poza Los Cajones	id=g:3783327
Quebrada Gloria	id=g:3783328
Colina La Floresta	id=g:3783329
Pajonal	id=g:3783330
Ciénaga La Mesa	id=g:3783331
Ciénaga Mosquito	id=g:3783332
Los Cajones	id=g:3783333
Ciénaga La Yaya	id=g:3783334
Nuevo Reino	id=g:3783335
Caño Varadero	id=g:3783336
Ciénaga Ahuyamal	id=g:3783337
Ciénaga Tioyogil	id=g:3783338
San José	id=g:3783339
Cañada Higinia	id=g:3783340
Loma Uruguay	id=g:3783341
Misiguay	id=g:3783342
Poza El Coco	id=g:3783343
El Cabano	id=g:3783344
Picado	id=g:3783345
Ciénaga Jaraquiel	id=g:3783346
Quebrada Changona	id=g:3783347
El Burro	id=g:3783348
Arroyo El Diluvio	id=g:3783349
Ciénaga El Playón	id=g:3783350
Ciénaga Grande	id=g:3783351
La China	id=g:3783352
Bonga Mella	id=g:3783353
Palmito	id=g:3783354
Nápoles	id=g:3783355
Nápoles	id=g:3783356
Cañada Tres Puertas	id=g:3783357
Santa Marta	id=g:3783358
Lomas Puente Hondo	id=g:3783359
La Magdalena	id=g:3783360
La Guanabana	id=g:3783361
Quebrada Palmevino	id=g:3783362
Rosario	id=g:3783363
Ciénaga Juanillo	id=g:3783364
Quebrada La Gloria	id=g:3783365
Quebrada Aguas Blancas	id=g:3783366
Tequendama	id=g:3783367
Loma El Cavado	id=g:3783368
Ciénaga de Montezuma	id=g:3783369
Majagua	id=g:3783370
Poza Arauca	id=g:3783371
Caño El Coquito	id=g:3783372
Ciénaga El Reparo	id=g:3783373
Alto de Las Avispas	id=g:3783374
Vergara	id=g:3783375
Florida	id=g:3783376
Arroyo El Coco	id=g:3783377
Caño Caimanera	id=g:3783378
Las Flores	id=g:3783379
Loma El Quindio	id=g:3783380
Ciénaga de Berlín	id=g:3783381
Montezuma	id=g:3783382
Cañada El ñeque	id=g:3783383
Lomas de Juanillo	id=g:3783384
Querada Terranova	id=g:3783385
Quebrada Las Monas	id=g:3783386
Cañada Chispas	id=g:3783387
Alto de Majagua	id=g:3783388
Los Mocholos	id=g:3783389
La Quinta	id=g:3783390
Ciénaga La Trampa	id=g:3783391
Ciénaga de Sierra Chiquit	id=g:3783392
Ciénaga El Tesoro	id=g:3783393
Lomas de Sierra Chiquita	id=g:3783394
El Esfuerzo	id=g:3783395
Loma Montezuma	id=g:3783396
Caño Las Flores	id=g:3783397
Batallón Cartagena	id=g:3783398
El Deséo	id=g:3783399
Curinca	id=g:3783400
Arroyo San Jerónimo	id=g:3783401
Altamira	id=g:3783402
Quebrada Sincelejito	id=g:3783403
Alto Las Peñitas	id=g:3783404
Loma El Encanto	id=g:3783405
El Orienta	id=g:3783406
Arroyo La Palmera	id=g:3783407
Ciénaga Araujo	id=g:3783408
Cañada Puebloseco	id=g:3783409
El Nispero	id=g:3783410
Cañada Demesana	id=g:3783411
Cañada El Cerrito	id=g:3783412
Galilea	id=g:3783413
Arroyo Boca Seca	id=g:3783414
Caño La Trampa	id=g:3783415
Arroyo El Topo	id=g:3783416
Granja Nal	id=g:3783417
Caño El Coco	id=g:3783418
San Isidro	id=g:3783419
Ciénaga La Poza	id=g:3783420
Arroyo Mocho	id=g:3783421
La Graciela	id=g:3783422
El Palmar	id=g:3783423
El Paraíso	id=g:3783424
Chunchunal	id=g:3783425
Bajo Las Palmeras	id=g:3783426
Barcelona	id=g:3783427
El Congo	id=g:3783428
El Vaticano	id=g:3783429
La Duda	id=g:3783430
Arroyo Monchalo	id=g:3783431
Cañada El Naranjal	id=g:3783432
Cañada El Barro	id=g:3783433
Nueva Granada	id=g:3783434
Arroyo Alemania	id=g:3783435
Ciénaga La Poza	id=g:3783436
Salamina	id=g:3783437
Los Moncholos	id=g:3783438
Caño El Vidrial	id=g:3783439
Betania	id=g:3783440
Arroyo Aguaviva	id=g:3783441
Terán	id=g:3783442
Las Pampas	id=g:3783443
Arroyo El Sordo	id=g:3783444
Lusitania	id=g:3783445
Villa Blanca	id=g:3783446
El Carreto	id=g:3783447
Arroyo Carreto	id=g:3783448
Venteviniendo	id=g:3783449
Ciénaga Majagual	id=g:3783450
Caño de Los Piojos	id=g:3783451
Arroyo La Mina	id=g:3783452
Las Palmeras	id=g:3783453
Santa Lucia	id=g:3783454
Caño Viejo	id=g:3783455
Neiva	id=g:3783456
Arroyo El Barroso	id=g:3783457
Ciénaga Corralito	id=g:3783458
Bajo Los Cabrales	id=g:3783459
Arroyo Manchego	id=g:3783460
El Recreo	id=g:3783461
Nuevo	id=g:3783462
La Dicha	id=g:3783463
Alemania	id=g:3783464
Niza	id=g:3783465
Pueblo Nuevo	id=g:3783466
Cañq Ceibavieja	id=g:3783467
Ciénaga Retiro Páez	id=g:3783468
Caño Madrid	id=g:3783469
El Esfuerzo	id=g:3783470
El Tiempo	id=g:3783471
Las Margaritas	id=g:3783472
Río Sinú	id=g:3783473
Invento	id=g:3783474
Caño El Hoyo	id=g:3783475
Brazo de Lara	id=g:3783476
Milán	id=g:3783477
Tuchín	id=g:3783478
Caño de Bugre	id=g:3783479
Ciénaga de Corralito	id=g:3783480
Pantano El Atascoso	id=g:3783481
El Proyecto	id=g:3783482
El Silenio	id=g:3783483
Arroyo Chispero	id=g:3783484
Tríana	id=g:3783485
Siempretiene	id=g:3783486
Grecia	id=g:3783487
El Desierto	id=g:3783488
Macual	id=g:3783489
Brazo de Lara	id=g:3783490
El Ceibal	id=g:3783491
Ciénaga Guarumal	id=g:3783492
El Pozón	id=g:3783493
Arroyo Tuchín	id=g:3783494
Arroyo Aguaviva	id=g:3783495
Bajo El Chorrillo	id=g:3783496
El Porvenir	id=g:3783497
Arroyo Macual	id=g:3783498
La Popa	id=g:3783499
Loma Grande	id=g:3783500
Montón	id=g:3783501
El Encanto	id=g:3783502
Carrillo	id=g:3783503
Las Flores	id=g:3783504
California	id=g:3783505
El Central	id=g:3783506
Caño Corocito	id=g:3783507
Ciénaga Los Sábalos	id=g:3783508
Poza Galilea	id=g:3783509
El Tapado	id=g:3783510
Ciénaga Zapalito	id=g:3783511
Zancibar	id=g:3783512
Ciénaga de Viche	id=g:3783513
Las Camelias	id=g:3783514
La Lucha	id=g:3783515
Poza El Zarzal	id=g:3783516
Sincerin	id=g:3783517
La Rosita	id=g:3783518
El Faro	id=g:3783519
Poza Hojancha	id=g:3783520
Arroyo El Palmar	id=g:3783521
Arroyo El León	id=g:3783522
Volado	id=g:3783523
Brasilia	id=g:3783524
Arroyo El Mamón	id=g:3783525
Mal Abrigo	id=g:3783526
Claval	id=g:3783527
Arroyo El Bálsamo	id=g:3783528
Palarmo	id=g:3783529
Las Claritas	id=g:3783530
El Totumo	id=g:3783531
Arroyo El Pozón	id=g:3783532
Nueva España	id=g:3783533
Arroyo Algarrbillo	id=g:3783534
El Socorro	id=g:3783535
El Socorro	id=g:3783536
Arroyo Mora	id=g:3783537
Ciénaga Corazones	id=g:3783538
Carreño	id=g:3783539
Pantano de Nipe	id=g:3783540
Caño de Sierra Chiquita	id=g:3783541
Risueña	id=g:3783542
Ciénaga Corral Quemado	id=g:3783543
Arroyo Belé	id=g:3783544
Toledo	id=g:3783545
Caño Viejo	id=g:3783546
Los Pocitos	id=g:3783547
Arroyo Hondo	id=g:3783548
Callabarrida	id=g:3783549
Paraquesevea	id=g:3783550
Charco Pelado	id=g:3783551
Caño del Pindin	id=g:3783552
Ciénaga Sabanal	id=g:3783553
No Te Quedes	id=g:3783554
Puerto Nuevo	id=g:3783555
Arroyo Trementino	id=g:3783556
Cañada Chispas	id=g:3783557
Estanque	id=g:3783558
Ciénaga Pozona	id=g:3783559
Arroyo El Burrito	id=g:3783560
Arroyo El Burro	id=g:3783561
Poza Las Babillas	id=g:3783562
San Antonio	id=g:3783563
El Cielo	id=g:3783564
El Cocuyo	id=g:3783565
El Palmar	id=g:3783566
Ciénaga El Cerrito	id=g:3783567
La Ciénaguita	id=g:3783568
El Léon	id=g:3783569
Ciénaga Buenaparte	id=g:3783570
Arroyo Moncholo	id=g:3783571
Caño Cotorra	id=g:3783572
El Amparo	id=g:3783573
Ciénaga El Ñeque	id=g:3783574
Boca Manatinera	id=g:3783575
Caño Bugre	id=g:3783576
Seco. Quebrada	id=g:3783577
Arroyo Penoso	id=g:3783578
Ciénaga El Coco	id=g:3783579
El Cañito	id=g:3783580
Caño Cotorra	id=g:3783581
Arroyo Rubillero	id=g:3783582
Arroyo Boca de La Ciénaga	id=g:3783583
Arroyo Cañomocho	id=g:3783584
Arroyo La Mónica	id=g:3783585
Arroyo La Ciénaguita	id=g:3783586
Pinogana	id=g:3783587
Ciénaga San Antonio	id=g:3783588
Ciénaga La Babillera	id=g:3783589
Ciénaga Los Venados	id=g:3783590
Ciénaga Flor	id=g:3783591
El Tapón	id=g:3783592
Las Peñitas	id=g:3783593
San Isidro	id=g:3783594
Ciénaga Banganal	id=g:3783595
Monterrey	id=g:3783596
Cañomocho	id=g:3783597
Caíman	id=g:3783598
Ciénaga Gatoseco	id=g:3783599
Las Lauras	id=g:3783600
Vueltoso Indio	id=g:3783601
Ciénaga Zapatito	id=g:3783602
Arroyo Trementinito	id=g:3783603
San Pablo	id=g:3783604
Arroyo El Pital	id=g:3783605
Granada	id=g:3783606
Ciénaga El Hoyito	id=g:3783607
Ciénaga El Vichal	id=g:3783608
Arroyo El Jobo	id=g:3783609
Veracruz	id=g:3783610
Arroyo Malibusa	id=g:3783611
Ciénaga Los Guamicos	id=g:3783612
Toledo	id=g:3783613
Caño Bugre	id=g:3783614
Caño La Culebra	id=g:3783615
Buenos Aires	id=g:3783616
Arroyo Los Loranos	id=g:3783617
Palmira	id=g:3783618
Poza El Totumito	id=g:3783619
Ciebitabajo	id=g:3783620
El Corozo	id=g:3783621
Ciénaga Charco Pelado	id=g:3783622
Arroyo Camelata	id=g:3783623
Arroyo Vijagual	id=g:3783624
Malafé	id=g:3783625
Caño Viejo del Limón	id=g:3783626
Canchila	id=g:3783627
Ciénaga Talanquera	id=g:3783628
El Tamarindo	id=g:3783629
La Ciebita	id=g:3783630
Arroyo Carrizal	id=g:3783631
Montevideo	id=g:3783632
El Ñeque	id=g:3783633
La Zorra	id=g:3783634
Las Brisas	id=g:3783635
Malibusal	id=g:3783636
El Pueblo	id=g:3783637
Bajos del Aumento	id=g:3783638
Granada	id=g:3783639
Arroyo La Paloma	id=g:3783640
Costa Azul	id=g:3783641
Francia Elena	id=g:3783642
Poza Los Troncos	id=g:3783643
El Tapón	id=g:3783644
Ciénaga Los Caballos	id=g:3783645
Ciénaguita	id=g:3783646
La Quinta	id=g:3783647
Ciénaga Maguey	id=g:3783648
La Victoriana	id=g:3783649
Barranquillita	id=g:3783650
El Recuerdo	id=g:3783651
Campamento	id=g:3783652
Caño Viejo de Martinez	id=g:3783653
Arroyo Bangáño	id=g:3783654
Poza Chengal	id=g:3783655
Caño Aguas Negras	id=g:3783656
Miraflores	id=g:3783657
Cabuya	id=g:3783658
Me Gustó	id=g:3783659
Arroyo Alemania	id=g:3783660
Alto Campamento	id=g:3783661
Ciénaga Polito	id=g:3783662
San Carlos	id=g:3783663
Arroyo El Burro	id=g:3783664
Ciénaga El Polo	id=g:3783665
La Talanquera	id=g:3783666
Arroyo Pital	id=g:3783667
La Cabaña	id=g:3783668
Ciénaga Malagana	id=g:3783669
La Cruz	id=g:3783670
Arroyo La Tina	id=g:3783671
Caño Aguas Prietas	id=g:3783672
Pastrana	id=g:3783673
Cañito El Limón	id=g:3783674
Puerto Solo	id=g:3783675
El Jardín	id=g:3783676
La Chalina	id=g:3783677
Florisanto	id=g:3783678
Ciénaga La Granchima	id=g:3783679
Alto Media Pava	id=g:3783680
Lomas de Morrocoy	id=g:3783681
Poza Cielo Azul	id=g:3783682
Cielo Azul	id=g:3783683
La Bodega	id=g:3783684
Aguas Vivas	id=g:3783685
San Jose	id=g:3783686
Ciénaga El Santuario	id=g:3783687
Ciénaga Codicia	id=g:3783688
Santa Isabel	id=g:3783689
Pantano Cuba Libre	id=g:3783690
El Tesoro	id=g:3783691
Bangaño	id=g:3783692
Los Placeres	id=g:3783693
Lomas de Aguadulce	id=g:3783694
Damasco	id=g:3783695
Coveñas	id=g:3783696
Ciénaga Peladero	id=g:3783697
La Burla	id=g:3783698
Miraflores	id=g:3783699
El Piñalito	id=g:3783700
Los Andes	id=g:3783701
Arroyo Negro	id=g:3783702
Arroyo La Palma	id=g:3783703
La Gran China	id=g:3783704
Bella Licencia	id=g:3783705
La Ermita	id=g:3783706
Bellavista	id=g:3783707
Pantano Casabal	id=g:3783708
Aguadulce	id=g:3783709
Los Loranos	id=g:3783710
Riveros	id=g:3783711
Loma de Matagaha	id=g:3783712
San Antonio	id=g:3783713
La Infanta	id=g:3783714
Arroyo El Rito	id=g:3783715
Manchego	id=g:3783716
Arroyo El Castillo	id=g:3783717
Cantagallo	id=g:3783718
Soledad	id=g:3783719
Zanjo El Arroyo	id=g:3783720
Arroyo El Mamón	id=g:3783721
El Castillo	id=g:3783722
Lomas Americanas	id=g:3783723
El Polo	id=g:3783724
Caño San Mateo	id=g:3783725
Caño de Filo	id=g:3783726
Caño Las Ollas	id=g:3783727
Cuchillas de Manchego	id=g:3783728
Arroyo Carbón	id=g:3783729
Cañada de Boca Codicia	id=g:3783730
Arroyo La Burra	id=g:3783731
El Orgullo	id=g:3783732
El Charro	id=g:3783733
El Crucero	id=g:3783734
Ciénaga Babilla	id=g:3783735
Calle Larga	id=g:3783736
Loma de Mataperro	id=g:3783737
Campanito	id=g:3783738
Arroyo El Charcón	id=g:3783739
Loma Cresta de Gallo	id=g:3783740
Loma El Negro	id=g:3783741
Romero	id=g:3783742
Ciénaga La Mafafa	id=g:3783743
Cuchilla Santa Barbara	id=g:3783744
Arroyo Correntoso	id=g:3783745
Arroyo Negro	id=g:3783746
Arroyo Membrillal	id=g:3783747
Arroyo Negro	id=g:3783748
Arroyo Bocagrande	id=g:3783749
Lomas Las Lágrimas	id=g:3783750
Ciénaga Los Sabálos	id=g:3783751
Nuevo Gobierno	id=g:3783752
Las Lágrimas	id=g:3783753
Arroyo Guacharacal	id=g:3783754
Ciénaga Suárez	id=g:3783755
Arroyo El Encanto	id=g:3783756
Arroyo Aguas Negras	id=g:3783757
Los Caños	id=g:3783758
Arroyo Torrente	id=g:3783759
Ciénaga El Guamo	id=g:3783760
Arroyo Los Botes	id=g:3783761
El Carmen	id=g:3783762
Los Llantos	id=g:3783763
Arroyo Arriba	id=g:3783764
Loma Palmito	id=g:3783765
Caño El Bejucal	id=g:3783766
Arroyo Cope	id=g:3783767
Poza Angulo	id=g:3783768
Arroyo Rabo de Pava	id=g:3783769
Arroyo Floral	id=g:3783770
Alto del Mosquito	id=g:3783771
La Poza del Loco	id=g:3783772
Cañada Los Cerros	id=g:3783773
Holanda	id=g:3783774
Arroyo El Ramo	id=g:3783775
Palo Negro	id=g:3783776
Ciénaga Suarito	id=g:3783777
Arroyo La Sangre	id=g:3783778
Arroyo El Plan	id=g:3783779
El Recreo	id=g:3783780
El Socorro	id=g:3783781
Genova	id=g:3783782
Arroyo La Mina	id=g:3783783
Pelado	id=g:3783784
Betania	id=g:3783785
Buenos Aires	id=g:3783786
Alto Genova	id=g:3783787
Caño Aguas Prietas	id=g:3783788
Arroyo Floral	id=g:3783789
Cuchilla Los Limones	id=g:3783790
Lomas San Miguel	id=g:3783791
Arroyo La Flecha	id=g:3783792
Arroyo El Gobierno	id=g:3783793
Los Mimbres	id=g:3783794
Ciénaga El Tigre	id=g:3783795
Arroyo Panagual	id=g:3783796
Nueva Esperanza	id=g:3783797
Ciénaga Delirio	id=g:3783798
Cacho	id=g:3783799
Arroyo Planeros	id=g:3783800
Arroyo la Balsa	id=g:3783801
Lomas El Guiamaro	id=g:3783802
Los Llanos	id=g:3783803
Arroyo El Ñeque	id=g:3783804
Caño Aguas Prietas	id=g:3783805
Arroyo Buenavista	id=g:3783806
Río Garrapatas	id=g:3783807
Quebrada Sanundó	id=g:3783808
Quebrada Sanandocito	id=g:3783809
Quebrada La Mojarra	id=g:3783810
Quebrada Bauradó	id=g:3783811
Quebrada Sabaletas	id=g:3783812
Quebrada Poco Perro	id=g:3783813
Quebrada Caimito	id=g:3783814
Quebrada Pelayito	id=g:3783815
Quebrada Matias	id=g:3783816
Quebrada San Pablo	id=g:3783817
Quebrada Ortíz	id=g:3783818
Quebrada El Coco	id=g:3783819
Quebrada Mojoidó	id=g:3783820
Quebrada San Lorenzo	id=g:3783821
Rosa	id=g:3783822
Quebrada Mojoidocilo	id=g:3783823
Quebrada La Hondita	id=g:3783824
Quebrada Chocó	id=g:3783825
Quebrada La Guaca	id=g:3783826
Quebrada Douadó	id=g:3783827
Tanandó	id=g:3783828
La Marquesa	id=g:3783829
Quebrada Guepua	id=g:3783830
Quebrada Potedo	id=g:3783831
Quebrada El Trapiche	id=g:3783832
Olave	id=g:3783833
Quebrada Olave	id=g:3783834
Quebrada Terdo	id=g:3783835
Quebrada Paido	id=g:3783836
Quebrada Paidocito	id=g:3783837
Quebrada Matezumbo	id=g:3783838
Quebrada Chontaduro	id=g:3783839
Quebrada Carbonero	id=g:3783840
Quebrada Guapagara	id=g:3783841
Quebrada Amguisirre	id=g:3783842
Quebrada Agua Negra	id=g:3783843
Quebrada Malace	id=g:3783844
Quebrada Hilario	id=g:3783845
San Pablito	id=g:3783846
Quebrada El Pantano	id=g:3783847
La Loma	id=g:3783848
Quebrada La Sierpe	id=g:3783849
Quebrada Chontaduro	id=g:3783850
Quebrada Chupey	id=g:3783851
Quebrada Teatino	id=g:3783852
Teatino	id=g:3783853
Isla Teatino	id=g:3783854
Isla Vieja	id=g:3783855
Quebrada Naranjo	id=g:3783856
Isla Andagovia	id=g:3783857
Quebrada Agua Sucia	id=g:3783858
Quebrada Agua Clara	id=g:3783859
Quebrada Frutacio	id=g:3783860
Quebrada Jumao	id=g:3783861
Quebrada Doidó	id=g:3783862
Quebrada Barranquita	id=g:3783863
Quebrada Chancama	id=g:3783864
Quebrada Cumperro	id=g:3783865
Río Bicordo	id=g:3783866
Quebrada Pungadó	id=g:3783867
Remolino Grande	id=g:3783868
Quebrada Remolino	id=g:3783869
Quebrada Jedó	id=g:3783870
Playa Garzón	id=g:3783871
Isla San Miguel	id=g:3783872
Quebrada Pocoperro	id=g:3783873
Quebrada Piecito	id=g:3783874
Río Docampadó	id=g:3783875
Quebrada Padocito	id=g:3783876
Quebrada Nuigimalo	id=g:3783877
Isla Garzón	id=g:3783878
Quebrada Tenendo	id=g:3783879
Quebrada Opogodó	id=g:3783880
Quebrada La Torre	id=g:3783881
El Jague	id=g:3783882
Quebrada El Caño	id=g:3783883
Quebrada Callelarga	id=g:3783884
Quebrada Barranca	id=g:3783885
Calle Honda	id=g:3783886
Quebrada Mojarradó	id=g:3783887
Quebrada Dominguito	id=g:3783888
Río Taparal	id=g:3783889
Quebrada San Cristóbal	id=g:3783890
Sesegó	id=g:3783891
Quebrada Agualimpia	id=g:3783892
Quebrada La Palizada	id=g:3783893
Chicha Bay	id=g:3783894
Quebrada Domerchó	id=g:3783895
Quebrada El Charco	id=g:3783896
Cerro Torrá	id=g:3783897
Quebrada Santa Ana	id=g:3783898
Charco Hondo	id=g:3783899
Río Chopogoró	id=g:3783900
Quebrada Jumao	id=g:3783901
Boca de Taparal	id=g:3783902
Quebrada El Barro	id=g:3783903
Quebrada San Dinnisto	id=g:3783904
Quebrada Santa María	id=g:3783905
Loma Mocha	id=g:3783906
Loma Rosaria	id=g:3783907
Quebrada Gurrarda	id=g:3783908
Loma Guaca	id=g:3783909
Torrá	id=g:3783910
Ciénaga Daigui	id=g:3783911
Loma Alta	id=g:3783912
Quebrada Aguaclara	id=g:3783913
Quebrada Torracito	id=g:3783914
Quebrada Aguaclarita	id=g:3783915
El Tigre	id=g:3783916
Isla Bizcochuelo	id=g:3783917
Boca de Sesegó	id=g:3783918
Quebrada Aguaclara	id=g:3783919
Quebrada Zancudito	id=g:3783920
Quebrada La Concepción	id=g:3783921
Santa Rosa	id=g:3783922
Quebrada Chambo Caliente	id=g:3783923
La Concepción	id=g:3783924
Quebrada Aguasucia	id=g:3783925
Isla de Garra	id=g:3783926
Quebrada Limón	id=g:3783927
Quebrada Dipurdú de Guasimo	id=g:3783928
Quebrada Lombricero	id=g:3783929
Quebrada Chigorodacito	id=g:3783930
Quebrada Hormiguera	id=g:3783931
Drago	id=g:3783932
Quebrada Carpio	id=g:3783933
Quebrada Gonzalo	id=g:3783934
Quebrada El Oso	id=g:3783935
Quebrada Bebedó	id=g:3783936
Quebrada Dipurdú de Sabongo	id=g:3783937
Cinco Islas	id=g:3783938
Quebrada Loma Alta	id=g:3783939
Quebrada Pimia	id=g:3783940
Quebrada San Antonio	id=g:3783941
Isla Popa de Balso	id=g:3783942
Derrumbito	id=g:3783943
Brazo Paimadó	id=g:3783944
Río Dipurdú de Los Ino	id=g:3783945
Quebrada El Bagre	id=g:3783946
Quebrada Sorobiata	id=g:3783947
Quintana	id=g:3783948
Río Las Piedras	id=g:3783949
Río San Andrés	id=g:3783950
Quebrada Anambio	id=g:3783951
Río Vinagre	id=g:3783952
Río Changue	id=g:3783953
Río La Calera	id=g:3783954
Río Blanco	id=g:3783955
Río Negro	id=g:3783956
Laguna del Buey	id=g:3783957
Río Palacé	id=g:3783958
Serranía del Oso	id=g:3783959
Río Sucio	id=g:3783960
Río Ullucos	id=g:3783961
San Miguel	id=g:3783962
Río Negro	id=g:3783963
Belén	id=g:3783964
San José	id=g:3783965
Quebrada Topa	id=g:3783966
Páramo del Buey	id=g:3783967
Quebrada El Salado	id=g:3783968
Quebrada Moscopán	id=g:3783969
Río Loro	id=g:3783970
Morelia	id=g:3783971
Río Guayabo	id=g:3783972
San Isidro	id=g:3783973
San Ciro	id=g:3783974
El Carmen	id=g:3783975
Granates	id=g:3783976
La Cabaña	id=g:3783977
Las Pitas	id=g:3783978
El Salto de Bordones	id=g:3783979
Parque Arqueológico Alto de Las Piedras	id=g:3783980
Quebrada Negra	id=g:3783981
Río Mazamorras	id=g:3783982
Río Jabón	id=g:3783983
Río Negro	id=g:3783984
Río Blanquito	id=g:3783985
Alto de Bordones	id=g:3783986
Río Bordones	id=g:3783987
Río San José	id=g:3783988
Quebradón Río	id=g:3783989
Quebrada Sula	id=g:3784883
Finca La Diez	id=g:3784884
Cuchilla San Agustín	id=g:3784885
Quebrada Alejandría	id=g:3784886
El Columpio	id=g:3784887
Río San Agustín	id=g:3784888
La Alianza	id=g:3784889
Cuchilla del Carmelo	id=g:3784890
La Soledad	id=g:3784891
Cañada de Egipto	id=g:3784892
Filo del Dragón	id=g:3784893
El Narciso	id=g:3784894
La Briaquit	id=g:3784895
Quebrada Rosellón	id=g:3784896
Finca La Serafina	id=g:3784897
Finca Tocaima	id=g:3784898
Cuchilla Paramillo	id=g:3784899
Quebrada La Mesenia	id=g:3784900
Quebrada El Silencio	id=g:3784901
Paramillo	id=g:3784902
Cuchilla de Paramillo	id=g:3784903
Quebrada La Revesa	id=g:3784904
La Mesenia	id=g:3784905
Alto de Venteadero	id=g:3784906
Degurgo	id=g:3784907
La Borraja	id=g:3784908
La Avanzada	id=g:3784909
Santa Inés	id=g:3784910
Las Cositas	id=g:3784911
Quebrada San Antonio	id=g:3784912
La Meseta	id=g:3784913
Quebrada El Tolima	id=g:3784914
La Unión	id=g:3784915
San Pedro Arriba	id=g:3784916
Río Chaparrala	id=g:3784917
Quebrada La Margarita	id=g:3784918
Hacienda La Echevarría	id=g:3784919
Hacienda Caja de Oro	id=g:3784920
Río Risaralda	id=g:3784921
Risaralda	id=g:3784922
Cañaveral	id=g:3784923
La Ilusión	id=g:3784924
Quebrada La Peña	id=g:3784925
Alsacia	id=g:3784926
Quebrada Negra	id=g:3784927
Morro Pelado	id=g:3784928
Alto La Raya	id=g:3784929
Alto Senón	id=g:3784930
La Palestina	id=g:3784931
La Casiana	id=g:3784932
Morro Amarillo	id=g:3784933
Quebrada Linda	id=g:3784934
Monserrate	id=g:3784935
Morro Betania	id=g:3784936
Río Claro	id=g:3784937
Verdún	id=g:3784938
Miguel Angel Valencia	id=g:3784939
Cuchilla de La Serranía	id=g:3784940
Quebrada El Pomo	id=g:3784941
Quebrada Gibraltar	id=g:3784942
La Herrera	id=g:3784943
