Whitney Hill	id=g:4983047
Babcock	id=g:4984665
Babcock Cemetery	id=g:4984666
Babcock Drain	id=g:4984667
Babcock Drain	id=g:4984668
Babcock School	id=g:4984669
Babcocks Pond	id=g:4984670
Baby Creek	id=g:4984671
Baby Lake	id=g:4984672
Babylon School	id=g:4984673
Bach	id=g:4984674
Bach Drain	id=g:4984675
Bach School	id=g:4984676
Back Bay	id=g:4984677
Back Lake	id=g:4984678
Backus Beach	id=g:4984679
Backus Creek	id=g:4984680
B C Cobb Heliport	id=g:4984681
Backus Creek	id=g:4984682
Backus Creek Flooding	id=g:4984683
Backus Lake	id=g:4984684
Backus Lake Flooding	id=g:4984685
Township of Backus	id=g:4984686
Bacon Creek	id=g:4984687
Bacon Island	id=g:4984688
Bacon Lake	id=g:4984689
Bacon School (historical)	id=g:4984690
Lake Bacon	id=g:4984691
Bad Axe	id=g:4984692
Bad Axe Creek	id=g:4984693
Backus Creek State Game Area	id=g:4984694
City of Bad Axe	id=g:4984695
Bad Creek	id=g:4984696
Bad Axe Drain	id=g:4984697
Bad River	id=g:4984698
Bader Drain	id=g:4984699
Badger Campground	id=g:4984700
Badger Drain	id=g:4984701
Badger Lake	id=g:4984702
Badgero Drain	id=g:4984703
Badgero Extension Drain	id=g:4984704
Badwater Creek	id=g:4984705
Bader School	id=g:4984706
Baerwolf Drain	id=g:4984707
Baetcke Lake	id=g:4984708
Bagley	id=g:4984709
Bagley Creek	id=g:4984710
Badwater Lake	id=g:4984711
Bagley School	id=g:4984712
Bagley School	id=g:4984713
Township of Bagley	id=g:4984714
Bagnall	id=g:4984715
Baie de Wasai	id=g:4984716
Bailer Creek	id=g:4984717
Bagley Lake	id=g:4984718
Bailey Cemetery	id=g:4984719
Bailey Cemetery	id=g:4984720
Bailey County Park	id=g:4984721
Bailey Creek	id=g:4984722
Bailey	id=g:4984723
Bailey Creek	id=g:4984724
Bailey Creek	id=g:4984725
Bailey Drain	id=g:4984726
Bailey Island	id=g:4984727
Bailey Lake	id=g:4984728
Bailey Lake	id=g:4984729
Bailey Lake	id=g:4984730
Bailey Lake	id=g:4984731
Bailey Lake School	id=g:4984732
Bailey Park	id=g:4984733
Bailey Pond	id=g:4984734
Bailey School	id=g:4984735
Bailey School	id=g:4984736
Bailey School	id=g:4984737
Lake Bailey	id=g:4984738
Baileys Lake	id=g:4984739
Baillie School	id=g:4984740
Baily Lake	id=g:4984741
Bainbridge Center	id=g:4984742
Township of Bainbridge	id=g:4984743
Baines Lake	id=g:4984744
Bair Lake	id=g:4984745
Baird Creek	id=g:4984746
Bailey Gospel Church	id=g:4984747
Baird Creek	id=g:4984748
Baird Drain	id=g:4984749
Baker Airport	id=g:4984750
Baker and May Drain	id=g:4984751
Baker Cemetery	id=g:4984752
Baker Creek	id=g:4984753
Baker Creek	id=g:4984754
Baker Creek	id=g:4984755
Baker Creek	id=g:4984756
Baker Creek	id=g:4984757
Baker Drain	id=g:4984758
Baker Drain	id=g:4984759
Baker Hill	id=g:4984760
Baker Junior High School	id=g:4984761
Baker Lake	id=g:4984762
Baker Lake	id=g:4984763
Baker Lake	id=g:4984764
Baker Lake	id=g:4984765
Baker Lake	id=g:4984766
Baker Lake	id=g:4984767
Baker Lake	id=g:4984768
Baker McPherson Drain	id=g:4984769
Baker Point	id=g:4984770
Baker School	id=g:4984771
Baker School	id=g:4984772
Baker School	id=g:4984773
Baker School	id=g:4984774
Baker Swamp	id=g:4984775
Baker and Green Drain	id=g:4984776
Baker Creek	id=g:4984777
Bakers Field	id=g:4984778
Bakersville	id=g:4984779
Bakertown	id=g:4984780
Bakertown Drain	id=g:4984781
Bakkala Cemetery	id=g:4984782
Balch School	id=g:4984783
Balcom Cemetery	id=g:4984784
Balcom Marine Center	id=g:4984785
Balcomb Lake	id=g:4984786
Bald Eagle Lake	id=g:4984787
Bald Eagle Point	id=g:4984788
Bald Hill	id=g:4984789
Bald Hill	id=g:4984790
Bald Hill School	id=g:4984791
Bald Island	id=g:4984792
Bald Knob	id=g:4984793
Bald Mountain	id=g:4984794
Bald Mountain	id=g:4984795
Bald Mountain	id=g:4984796
Bald Mountain Golf Club	id=g:4984797
Bald Mountain State Recreation Area	id=g:4984798
Balderson Drain	id=g:4984799
Mount Baldhead	id=g:4984800
Balduck Memorial Park	id=g:4984801
Baldwin	id=g:4984802
Baldwin and Muskrat Drain	id=g:4984803
Baldwin District Ranger Office	id=g:4984804
Baldwin Drain	id=g:4984805
Bakers Cabins	id=g:4984806
Baldwin Kiln Lake	id=g:4984807
Baldwin Lake	id=g:4984808
Baldwin Lake	id=g:4984809
Baldwin Lake	id=g:4984810
Baldwin Lake Heliport	id=g:4984811
Baldwin Luther Swamp	id=g:4984812
Baldwin Municipal Airport	id=g:4984813
Baldwin River	id=g:4984814
Baldwin Heights School	id=g:4984815
Baldwin School	id=g:4984816
Baldwin School	id=g:4984817
Baldwin School	id=g:4984818
Township of Baldwin	id=g:4984819
Township of Baldwin	id=g:4984820
Baldwins Lake	id=g:4984821
Baldy	id=g:4984822
Baldy	id=g:4984823
Baldy Lake	id=g:4984824
Bale Playground	id=g:4984825
Balfour Cemetery	id=g:4984826
Balitmore	id=g:4984827
Ball and Patterson Drain	id=g:4984828
Ball Creek	id=g:4984829
Ball Free Church	id=g:4984830
Ball Lake	id=g:4984831
Ball Point	id=g:4984832
Ball Pond	id=g:4984833
Ball Road Tabernacle	id=g:4984834
Ballard Drain	id=g:4984835
Ballard Junior High School	id=g:4984836
Ballard Swamp	id=g:4984837
Ballards Channel	id=g:4984838
Ballards Corners	id=g:4984839
Ballenger Park	id=g:4984840
Balsam	id=g:4984841
Balsam Campground	id=g:4984842
Baltic	id=g:4984843
Baltimore Bay	id=g:4984844
Baltimore Channel	id=g:4984845
Baltimore Highway	id=g:4984846
Baltimore River	id=g:4984847
Baldwin School	id=g:4984848
Bamber Creek	id=g:4984849
Township of Baltimore	id=g:4984850
Bamfield Creek	id=g:4984851
Bambi Lake	id=g:4984852
Banana Lake	id=g:4984853
Banat	id=g:4984854
Bancroft	id=g:4984855
Bancroft Creek	id=g:4984856
Bammer Lake	id=g:4984857
Bancroft Noles Drain	id=g:4984858
Bancroft Park	id=g:4984859
Banfield	id=g:4984860
Banfield Cemetery	id=g:4984861
Banfield School	id=g:4984862
Bangor	id=g:4984863
Bangor Center School	id=g:4984864
Bangor Central School	id=g:4984865
Bangor Edison School	id=g:4984866
Christa McAuliffe Middle School	id=g:4984867
Bangor North Central School	id=g:4984868
Bangor South Central School	id=g:4984869
City of Bangor	id=g:4984870
Charter Township of Bangor	id=g:4984871
Township of Bangor	id=g:4984872
Bangor-Lincoln School	id=g:4984873
Banister Drain	id=g:4984874
Lake Bancroft	id=g:4984875
Banker Cemetery	id=g:4984876
Bankers	id=g:4984877
Bankers Cemetery	id=g:4984878
Bankers Lake	id=g:4984879
Banks Lake	id=g:4984880
Banks Lake	id=g:4984881
Banks Township Park	id=g:4984882
Banks Township Park	id=g:4984883
Township of Banks	id=g:4984884
Bankson Lake	id=g:4984885
Banner Creek	id=g:4984886
Bank Point Light	id=g:4984887
Banner School	id=g:4984888
Bannister	id=g:4984889
Banta Drain	id=g:4984890
Banner Lake	id=g:4984891
Baptist Church	id=g:4984892
Baptist Lake	id=g:4984893
Baptist Lake School	id=g:4984894
Baptist Mission	id=g:4984895
Baptist Temple	id=g:4984896
Bar Lake	id=g:4984897
Bar Lake	id=g:4984898
Bar Lake	id=g:4984899
Bar Lake	id=g:4984900
Bar Lake Swamp	id=g:4984901
Baraga	id=g:4984902
Baraga County	id=g:4984903
Baraga Creek	id=g:4984904
Baptist Camp	id=g:4984905
Baraga Plains	id=g:4984906
Baraga School	id=g:4984907
Baraga State Forest	id=g:4984908
Township of Baraga	id=g:4984909
Barager School	id=g:4984910
Baranski Drain	id=g:4984911
Barb Lake	id=g:4984912
Barbeau	id=g:4984913
Barbeau Point	id=g:4984914
Barbeau Tower	id=g:4984915
Barbed Point	id=g:4984916
Barber Bridge	id=g:4984917
Barber Cemetery	id=g:4984918
Barber Creek	id=g:4984919
Baraga Marina	id=g:4984920
Barber Creek	id=g:4984921
Barber Drain	id=g:4984922
Barber Lake	id=g:4984923
Barber Lakes	id=g:4984924
Barber School	id=g:4984925
Barber School	id=g:4984926
Barber School	id=g:4984927
Barbour Lake	id=g:4984928
Barbour School	id=g:4984929
Barchard Lake	id=g:4984930
Barclay Hills School	id=g:4984931
Barclay Lake	id=g:4984932
Barclay Pond	id=g:4984933
Bard School	id=g:4984934
Barden Branch	id=g:4984935
Barber Lake	id=g:4984936
Bare Point	id=g:4984937
Barclay Cemetery	id=g:4984938
Barfield Lakes	id=g:4984939
La Barge Lake	id=g:4984940
Barger Creek	id=g:4984941
Bare Drain	id=g:4984942
Barhitte School	id=g:4984943
Bark Creek	id=g:4984944
Bark Drain	id=g:4984945
Barhite Lake	id=g:4984946
Bark River	id=g:4984947
Bark River	id=g:4984948
Bark River Church	id=g:4984949
Township of Bark River	id=g:4984950
Bark River-Harris School	id=g:4984951
Barker Creek	id=g:4984952
Bark River Cemetery	id=g:4984953
Barker Creek	id=g:4984954
Barker Creek	id=g:4984955
Barkley Creek	id=g:4984956
Barker Lake	id=g:4984957
Barlow Lake	id=g:4984958
Barnaby Drain	id=g:4984959
Barlow Drain	id=g:4984960
Barnard Creek	id=g:4984961
Barnard	id=g:4984962
Barnard Lake	id=g:4984963
Barnard Lake	id=g:4984964
Barnard Pond	id=g:4984965
Barnes Avenue School	id=g:4984966
Barnes Cemetery	id=g:4984967
Barnes Lake	id=g:4984968
Barnes Lake	id=g:4984969
Barnes Park	id=g:4984970
Barnes School	id=g:4984971
Barnes School	id=g:4984972
Barnes School	id=g:4984973
Barnes and Hecker Mine	id=g:4984974
Barnetts Creek	id=g:4984975
Barnard Lake	id=g:4984976
Barney School	id=g:4984977
Barneys Lake	id=g:4984978
Barnhardt Creek	id=g:4984979
Barney Lake	id=g:4984980
Barnhart School	id=g:4984981
Barns Pond	id=g:4984982
Barnstormers 5 Airport	id=g:4984983
Barnum Cemetery	id=g:4984984
Barnum Creek	id=g:4984985
Barnhart Lake	id=g:4984986
Barnum Lake	id=g:4984987
Barnum School	id=g:4984988
Barnum School	id=g:4984989
Baroda	id=g:4984990
Township of Baroda	id=g:4984991
Point aux Barques	id=g:4984992
Pointe aux Barques	id=g:4984993
Barr Drain	id=g:4984994
Barrett Drain	id=g:4984995
Barrett Lake	id=g:4984996
Barrett Lake	id=g:4984997
Barrett School	id=g:4984998
Barrio Ditch	id=g:4984999
Barris Lake	id=g:4985000
Barron Lake	id=g:4985001
Barron Lake Cemetery	id=g:4985002
Barrow School	id=g:4985003
Barrow School	id=g:4985004
Barrows School	id=g:4985005
Barry Babcock and Baker Drain	id=g:4985006
Barnum Island	id=g:4985007
Barry Memorial Church	id=g:4985008
Barry State Game Area	id=g:4985009
Township of Barry	id=g:4985010
Barryton	id=g:4985011
Barryville School	id=g:4985012
Lake Bars Leak	id=g:4985013
Barstow Woods	id=g:4985014
Bart Creek	id=g:4985015
Barry County	id=g:4985016
Bartholomew Creek	id=g:4985017
Bartholomew Park	id=g:4985018
Bartig Lake	id=g:4985019
Bartlett Drain	id=g:4985020
Bartlett Lake	id=g:4985021
Bartlett School	id=g:4985022
Barton City	id=g:4985023
Barton Hills	id=g:4985024
Barton Junior High School	id=g:4985025
Barton Lake	id=g:4985026
Barton Pond	id=g:4985027
Barton School	id=g:4985028
Barton School	id=g:4985029
Township of Barton	id=g:4985030
Bartons Lake	id=g:4985031
Bascule Bridge	id=g:4985032
Bascule Bridge	id=g:4985033
Base Line Church	id=g:4985034
Base Line Creek	id=g:4985035
Lake Bartholomew	id=g:4985036
Base Line Lake	id=g:4985037
Base Line School	id=g:4985038
Basford Lake	id=g:4985039
Basin Lake	id=g:4985040
Basin Lake	id=g:4985041
The Basin	id=g:4985042
Bass Campground	id=g:4985043
Bass Cove	id=g:4985044
Bass Cove Lake	id=g:4985045
Bass Creek	id=g:4985046
Base Line Lake	id=g:4985047
Bass Creek	id=g:4985048
Bass Creek	id=g:4985049
Bass Lake	id=g:4985050
Bass Lake	id=g:4985051
Bass Lake	id=g:4985052
Bass Lake	id=g:4985053
Bass Lake	id=g:4985054
Bass Lake	id=g:4985055
Bass Lake	id=g:4985056
Bass Lake	id=g:4985057
Bass Lake	id=g:4985058
Bass Lake	id=g:4985059
Bass Lake	id=g:4985060
Bass Lake	id=g:4985061
Bass Lake	id=g:4985062
Bass Lake	id=g:4985063
Bass Lake	id=g:4985064
Bass Lake	id=g:4985065
Bass Lake	id=g:4985066
Bass Lake	id=g:4985067
Bass Lake	id=g:4985068
Bass Lake	id=g:4985069
Bass Lake	id=g:4985070
Bass Lake	id=g:4985071
Bass Lake	id=g:4985072
Bass Lake	id=g:4985073
Bass Lake	id=g:4985074
Bass Lake	id=g:4985075
Bass Lake	id=g:4985076
Bass Lake	id=g:4985077
Bass Lake	id=g:4985078
Bass Lake	id=g:4985079
Bass Lake	id=g:4985080
Bass Lake	id=g:4985081
Bass Lake	id=g:4985082
Bass Lake	id=g:4985083
Bass Lake	id=g:4985084
Bass Lake	id=g:4985085
Bass Lake	id=g:4985086
Bass Lake	id=g:4985087
Bass Lake	id=g:4985088
Bass Lake	id=g:4985089
Bass Lake	id=g:4985090
Bass Lake	id=g:4985091
Bass Lake	id=g:4985092
Bass Lake	id=g:4985093
Bass Lake	id=g:4985094
Bass Lake	id=g:4985095
Bass Lake	id=g:4985096
Bass Lake Airport	id=g:4985097
Bass Lake Cabins	id=g:4985098
Bass Lake Drain	id=g:4985099
Bass Reef Island	id=g:4985100
Bass River	id=g:4985101
Bassett Creek	id=g:4985102
Bass Lake	id=g:4985103
Bassett Lake	id=g:4985104
Bassett Lake	id=g:4985105
Bassett Park	id=g:4985106
Bassett Park	id=g:4985107
Bassett Park	id=g:4985108
Basswood	id=g:4985109
Basswood Pond	id=g:4985110
Bat Island	id=g:4985111
Bat Lake	id=g:4985112
Batavia	id=g:4985113
Batavia Center	id=g:4985114
Batavia Church	id=g:4985115
Batavia Church	id=g:4985116
Township of Batavia	id=g:4985117
Batcheller	id=g:4985118
Batcheller Lake	id=g:4985119
Batcheller School	id=g:4985120
Batchelor School	id=g:4985121
Batchelors Island	id=g:4985122
Bates	id=g:4985123
Bates Cemetery	id=g:4985124
Bates Cemetery	id=g:4985125
Bates Church	id=g:4985126
Bates Drain	id=g:4985127
Bates Fire Tower	id=g:4985128
Bates Junction	id=g:4985129
Bates Lake	id=g:4985130
Bates Lake	id=g:4985131
Bates Lake	id=g:4985132
Bates Location	id=g:4985133
Bates Mine	id=g:4985134
Bates School	id=g:4985135
Bates School	id=g:4985136
Bates School	id=g:4985137
Township of Bates	id=g:4985138
Bath	id=g:4985139
Bath Mills School	id=g:4985140
Charter Township of Bath	id=g:4985141
Batham Drain	id=g:4985142
Bassett Island	id=g:4985143
Bathgate Drain	id=g:4985144
Bathing Beach Park	id=g:4985145
Eaton Cemetery	id=g:4985146
Batteese Creek	id=g:4985147
Batie School	id=g:4985148
Battelle School	id=g:4985149
Battelle School	id=g:4985150
Batten School	id=g:4985151
Battjes Park	id=g:4985152
Battle Creek	id=g:4985153
Battle Creek	id=g:4985154
Batteese Lake	id=g:4985155
Battle Creek	id=g:4985156
Battle Creek Academy	id=g:4985157
Battle Creek Public Farm School	id=g:4985158
City of Battle Creek	id=g:4985159
Battle Drain	id=g:4985160
Battleship Island	id=g:4985161
Batty Doe Lake	id=g:4985162
Batway Drain	id=g:4985163
Battle Creek Country Club	id=g:4985164
Bauer Drain	id=g:4985165
Baugh Gachter Drain	id=g:4985166
Baum Drain	id=g:4985167
Bauer	id=g:4985168
Baumann Lake	id=g:4985169
Baumgartner Park	id=g:4985170
Baumhoff Lake	id=g:4985171
Baumont School	id=g:4985172
Baver Drain	id=g:4985173
Baw Beese Lake	id=g:4985174
Bawker Lake	id=g:4985175
Baxman School	id=g:4985176
Baxter	id=g:4985177
Baxter Bridge	id=g:4985178
Baxter School	id=g:4985179
Bay City	id=g:4985180
City of Bay City	id=g:4985181
Bay City Country Club	id=g:4985182
Bay City Hunting and Fishing Club	id=g:4985183
Bay City Lake	id=g:4985184
Bay City Lake Campground	id=g:4985185
Bay City State Park	id=g:4985186
Bay City Waterworks	id=g:4985187
Bay City Yacht Club	id=g:4985188
Bay Cliff Health Camp	id=g:4985189
Bay County	id=g:4985190
Bay County Country Club	id=g:4985191
Bay County Fairground	id=g:4985192
Bay Court Camp	id=g:4985193
Bay De Noc Community College	id=g:4985194
Bay De Noe Grand Island Trail	id=g:4985195
Bay Drain	id=g:4985196
Bay Front Park	id=g:4985197
Bay Furnace Recreation Area	id=g:4985198
Bay Island	id=g:4985199
Bay Mills	id=g:4985200
Bay Mills Reservation	id=g:4985201
Bay Mills Point	id=g:4985202
Township of Bay Mills	id=g:4985203
Bay Park	id=g:4985204
Bay Point	id=g:4985205
Bay Point	id=g:4985206
Bay Pointe Golf Club	id=g:4985207
Bay Port	id=g:4985208
Bay Port Cemetery	id=g:4985209
Bay Shore	id=g:4985210
Bay View	id=g:4985211
Bay View Cemetery	id=g:4985212
Bay de Noc Cemetery	id=g:4985213
Township of Bay de Noc	id=g:4985214
Township of Bay	id=g:4985215
Bayfield Rock Range Lights	id=g:4985216
Baylor Swamp	id=g:4985217
Bayn Cemetery	id=g:4985218
Bayou Pond	id=g:4985219
The Bayou	id=g:4985220
Bayport Park	id=g:4985221
Bayshore Marina	id=g:4985222
Bayshore Marina	id=g:4985223
Bayshore Yacht Club	id=g:4985224
Bayview Camp Grounds	id=g:4985225
Bazley and Foster Drain	id=g:4985226
Baum Drain	id=g:4985227
Beach Drain	id=g:4985228
Beach Field	id=g:4985229
Beach Grove	id=g:4985230
Beach Grove School	id=g:4985231
Beach Lake	id=g:4985232
Beach School	id=g:4985233
Beach School	id=g:4985234
Beachmont	id=g:4985235
Beachwood Park	id=g:4985236
Beachwood School	id=g:4985237
Beacon	id=g:4985238
Beacon Church	id=g:4985239
Beacon Hill	id=g:4985240
Beacon School	id=g:4985241
Beadle Lake	id=g:4985242
Beadle Lake	id=g:4985243
Beadle Lake School	id=g:4985244
Beadle Marina	id=g:4985245
Beal City	id=g:4985246
Beal Creek	id=g:4985247
Beach Cemetery	id=g:4985248
Beals Lake	id=g:4985249
Bean Creek	id=g:4985250
Bean School	id=g:4985251
Beanshuttle Lakes	id=g:4985252
Bear Campground	id=g:4985253
Bear Creek	id=g:4985254
Beals Frizzle Drain	id=g:4985255
Bear Creek	id=g:4985256
Bear Creek	id=g:4985257
Bear Creek	id=g:4985258
Bear Creek	id=g:4985259
Bear Creek	id=g:4985260
Bear Creek	id=g:4985261
Bear Creek	id=g:4985262
Bear Creek	id=g:4985263
Bear Creek	id=g:4985264
Bear Creek	id=g:4985265
Bear Creek	id=g:4985266
Bear Creek	id=g:4985267
Bear Creek	id=g:4985268
Bear Creek	id=g:4985269
Bear Creek	id=g:4985270
Bear Creek	id=g:4985271
Bear Creek	id=g:4985272
Bear Creek	id=g:4985273
Bear Creek	id=g:4985274
Bear Creek	id=g:4985275
Bear Creek	id=g:4985276
Bear Creek	id=g:4985277
Bear Creek	id=g:4985278
Bear Creek	id=g:4985279
Bear Creek	id=g:4985280
Bear Creek	id=g:4985281
Bear Creek	id=g:4985282
Bear Creek	id=g:4985283
Bear Creek	id=g:4985284
Bear Creek	id=g:4985285
Bear Creek Public Access	id=g:4985286
Township of Bear Creek	id=g:4985287
Bear Den Lake	id=g:4985288
Bear Hole Lake	id=g:4985289
Bear Island	id=g:4985290
Bear Island	id=g:4985291
Bear Lake	id=g:4985292
Bear Lake	id=g:4985293
Bear Lake	id=g:4985294
Bear Lake	id=g:4985295
Bear Lake	id=g:4985296
Bear Lake	id=g:4985297
Bear Lake	id=g:4985298
Bear Lake	id=g:4985299
Bear Lake	id=g:4985300
Bear Lake	id=g:4985301
Bear Lake	id=g:4985302
Bear Lake	id=g:4985303
Bear Lake	id=g:4985304
Bear Lake	id=g:4985305
Bear Lake	id=g:4985306
Bear Lake	id=g:4985307
Bear Lake	id=g:4985308
Bear Lake	id=g:4985309
Bear Lake	id=g:4985310
Bear Lake	id=g:4985311
Bear Lake	id=g:4985312
Bear Lake	id=g:4985313
Bear Lake	id=g:4985314
Bear Lake	id=g:4985315
Bear Lake	id=g:4985316
Bear Lake	id=g:4985317
Bear Lake	id=g:4985318
Bear Lake	id=g:4985319
Bear Lake	id=g:4985320
Bear Lake Cemetery	id=g:4985321
Township of Bear Lake	id=g:4985322
Township of Bear Lake	id=g:4985323
Bear Mountain	id=g:4985324
Bear Point	id=g:4985325
Bear River	id=g:4985326
Bear Creek Swamp	id=g:4985327
Bear Slough	id=g:4985328
Bear River Park	id=g:4985329
Bear Swamp	id=g:4985330
Bear Swamp	id=g:4985331
Bear Swamp Creek	id=g:4985332
Bear Swamp	id=g:4985333
Bear Swamp Drain	id=g:4985334
Bear Swamp Drain	id=g:4985335
Bear Town	id=g:4985336
Bear Town Slough	id=g:4985337
Bear Trap Dam	id=g:4985338
Beard Cemetery	id=g:4985339
Beard School	id=g:4985340
Bearfoot Lake	id=g:4985341
Bearinger Church	id=g:4985342
Township of Bearinger	id=g:4985343
Bearpaw Lake	id=g:4985344
Bearpen Creek	id=g:4985345
Bear Swamp Ditch	id=g:4985346
Bearss Drain	id=g:4985347
Bearwallow Creek	id=g:4985348
Bearslee Lake	id=g:4985349
Beaton Lake	id=g:4985350
Beatons Lake	id=g:4985351
Beattie Creek	id=g:4985352
Beaton	id=g:4985353
Beaty Lake	id=g:4985354
Beaubien Creek	id=g:4985355
Beattie Point	id=g:4985356
Beaubien High School	id=g:4985357
Beaudette Park	id=g:4985358
Beaufort Lake	id=g:4985359
Township of Beaugrand	id=g:4985360
Beaumont Hospital	id=g:4985361
Beautiful Savior Church	id=g:4985362
Beauyan Lake	id=g:4985363
Beaver	id=g:4985364
Beaver	id=g:4985365
Beaver Archipelago	id=g:4985366
Beaver Bay	id=g:4985367
Beaver Campground	id=g:4985368
Beaver Cemetery	id=g:4985369
Beaver Creek	id=g:4985370
Beaubien Drain	id=g:4985371
Beaver Creek	id=g:4985372
Beaver Creek	id=g:4985373
Beaver Creek	id=g:4985374
Beaver Creek	id=g:4985375
Beaver Creek	id=g:4985376
Beaver Creek	id=g:4985377
Beaver Creek	id=g:4985378
Beaver Creek	id=g:4985379
Beaver Creek	id=g:4985380
Beaver Creek	id=g:4985381
Beaver Creek	id=g:4985382
Beaver Creek	id=g:4985383
Beaver Creek	id=g:4985384
Beaver Creek	id=g:4985385
Beaver Creek	id=g:4985386
Beaver Creek	id=g:4985387
Beaver Creek	id=g:4985388
Beaver Creek	id=g:4985389
Beaver Creek Cemetery	id=g:4985390
Beaver Creek School	id=g:4985391
Beaver Creek Township Hall	id=g:4985392
Township of Beaver Creek	id=g:4985393
Beaver Dam Club	id=g:4985394
Beaver Dam Creek	id=g:4985395
Beaver Creek School	id=g:4985396
Beaver Dam Creek	id=g:4985397
Beaver Dam Creek	id=g:4985398
Beaver Dam Drain	id=g:4985399
Beaver Dam Pond	id=g:4985400
Beaver Drain	id=g:4985401
Beaver Drain	id=g:4985402
Beaver Drain	id=g:4985403
Beaver Farm Creek	id=g:4985404
Beaver Dam Lake	id=g:4985405
Beaver Grove School	id=g:4985406
Beaver Harbor Lighthouse	id=g:4985407
Beaver Harbor Marina	id=g:4985408
Beaver Island	id=g:4985409
Beaver Island	id=g:4985410
Beaver Island Airport	id=g:4985411
Beaver Island Boat Company	id=g:4985412
Beaver Island Campground	id=g:4985413
Beaver Island Lookout Tower	id=g:4985414
Beaver Island Yacht Dock	id=g:4985415
Beaver Islands State Wildlife Research Area	id=g:4985416
Beaver Grove	id=g:4985417
Beaver Lake	id=g:4985418
Beaver Lake	id=g:4985419
Beaver Lake	id=g:4985420
Beaver Lake	id=g:4985421
Beaver Lake	id=g:4985422
Beaver Lake	id=g:4985423
Beaver Lake	id=g:4985424
Beaver Lake	id=g:4985425
Beaver Lake	id=g:4985426
Beaver Lake	id=g:4985427
Beaver Lake	id=g:4985428
Beaver Lake	id=g:4985429
Beaver Lake	id=g:4985430
Beaver Lake	id=g:4985431
Beaver Lake	id=g:4985432
Beaver Lake	id=g:4985433
Beaver Lake Cemetery	id=g:4985434
Beaver Lake Church	id=g:4985435
Beaver Lake Flooding	id=g:4985436
Beaver Lookout Tower	id=g:4985437
Beaver Marsh	id=g:4985438
Beaver Meadow Creek	id=g:4985439
Beaver Lake	id=g:4985440
Beaver Meadow Drain	id=g:4985441
Beaver Pond	id=g:4985442
Beaver Pond	id=g:4985443
Beaver Pond	id=g:4985444
Beaver Pond	id=g:4985445
Beaver Pond	id=g:4985446
Beaver Pond	id=g:4985447
Beaver Pond	id=g:4985448
Beaver Pond	id=g:4985449
Beaver Pond	id=g:4985450
Beaver Station Lake	id=g:4985451
Beaver Swale Drain	id=g:4985452
Beaver Pond	id=g:4985453
Beaver Tail Creek	id=g:4985454
Beaver Tail Bay	id=g:4985455
Beaver Tail Reef	id=g:4985456
Township of Beaver	id=g:4985457
Township of Beaver	id=g:4985458
Beaverdam	id=g:4985459
Beaverdam Creek	id=g:4985460
Beaver Tail Point	id=g:4985461
Beaverdam Drain	id=g:4985462
Beaverdam Drain	id=g:4985463
Beaverdam School	id=g:4985464
Beaverton	id=g:4985465
City of Beaverton	id=g:4985466
Township of Beaverton	id=g:4985467
Beavertown Lakes	id=g:4985468
Bebeau Creek	id=g:4985469
Bebee Drain	id=g:4985470
Bebo Creek	id=g:4985471
Beaverhouse Lake	id=g:4985472
Bechler Drain	id=g:4985473
Beck Lake	id=g:4985474
Becker Creek	id=g:4985475
Becher Lake	id=g:4985476
Becker School	id=g:4985477
Becking School	id=g:4985478
Beckley Cemetery	id=g:4985479
Beckley Park	id=g:4985480
Beckman Airport	id=g:4985481
Beckman Drain	id=g:4985482
Beckons Corners	id=g:4985483
Becks Lake	id=g:4985484
Becksvoort School	id=g:4985485
Beckwith Brook	id=g:4985486
Becker Drain	id=g:4985487
Beckwith Lake	id=g:4985488
Beckwith School	id=g:4985489
Beckwith School	id=g:4985490
Becroft Lake	id=g:4985491
Bed Spring Lake	id=g:4985492
Bedell Drain	id=g:4985493
Bedford	id=g:4985494
Bedford Cemetery	id=g:4985495
Bedford High School	id=g:4985496
Bedford Highway	id=g:4985497
Bedford Junior High School	id=g:4985498
Bedford Memorial Cemetery	id=g:4985499
Bedford Missionary Church	id=g:4985500
Bedford School	id=g:4985501
Bedford School	id=g:4985502
Charter Township of Bedford	id=g:4985503
Township of Bedford	id=g:4985504
Bedore	id=g:4985505
Bedore Lake	id=g:4985506
Bee Lake	id=g:4985507
Beebe	id=g:4985508
Beebe Cemetery	id=g:4985509
Beebe Cemetery	id=g:4985510
Beebe Creek	id=g:4985511
Beckwith Lake	id=g:4985512
Beebe Creek	id=g:4985513
Beebe Creek	id=g:4985514
Beebe Lake	id=g:4985515
Beech	id=g:4985516
Beech Cemetery	id=g:4985517
Beech Hill Lookout Tower	id=g:4985518
Beech Road School	id=g:4985519
Beechdale School	id=g:4985520
Beecher	id=g:4985521
Beecher High School	id=g:4985522
Beecher Hill	id=g:4985523
Beecher Junior High School	id=g:4985524
Beecher Junior High School	id=g:4985525
Beechler Cemetery	id=g:4985526
Beechnut Lake	id=g:4985527
Beechview School	id=g:4985528
Beechwood	id=g:4985529
Beechwood	id=g:4985530
Beechwood Cemetery	id=g:4985531
Beechwood Church	id=g:4985532
Beechwood Greens Golf Club	id=g:4985533
Beechwood Park	id=g:4985534
Beechwood School	id=g:4985535
Beechwood School	id=g:4985536
Beehr Drain	id=g:4985537
Beemer Drain	id=g:4985538
