Malmunj	id=g:1468082
Spīn Wêrsêk	id=g:1468817
Jar-e Barah Khānah	id=g:1468818
Kōh-e Kham-e Chowgān	id=g:1468819
Jar-e Qōl-e Āw	id=g:1468820
Lakay Ghar	id=g:1468821
Shadīdānō Kanḏow	id=g:1468822
Gul Muḩammad Khēl	id=g:1468823
Shnē Ghunḏêy	id=g:1468824
Ārat	id=g:1468826
Kōh-e Sar-e Namak Āw	id=g:1468827
Qal‘ah-ye Nāz̧ir	id=g:1468828
Kōh-e Khāh Darah	id=g:1468829
Kōh-e Chāhī	id=g:1468830
Sar-e Kharwān	id=g:1468831
Shaghālī	id=g:1468832
Dasht-e Bīnī Ḩişārā	id=g:1468833
Chamyā	id=g:1468834
Dasht-e Khalīlābād	id=g:1468835
Chahār Masah	id=g:1468836
Kōh-e Khwājah Sūr Āb	id=g:1468837
Biland Ghar	id=g:1468838
Pā’īn Qal‘ah-ye Wazīr	id=g:1468839
Kakaṟān	id=g:1468840
Pērawuṟ	id=g:1468841
Malik Bēlah	id=g:1468842
Sarbadali	id=g:1468843
Darah-ye Kalān	id=g:1468844
Qal‘ah-ye Ḩasan	id=g:1468845
Rāh-e Khōshī	id=g:1468846
Ḩişārak	id=g:1468847
Bālā Qal‘ah-ye Wazīr	id=g:1468848
Bānḏah	id=g:1468849
Khalīlābād	id=g:1468850
Kōh-e Shākh-e Safayd	id=g:1468851
Tōr Tsêlī Dasht	id=g:1468852
Darbanak	id=g:1468853
Katsay Ghar	id=g:1468854
Smach	id=g:1468855
Tōr Rāghêh Dasht	id=g:1468856
Shōr Darah	id=g:1468857
Tīranō Ghās̲h̲ē	id=g:1468858
Chahār Qal‘ah	id=g:1468859
Nowābād	id=g:1468860
Shērgaṟ	id=g:1468861
Ghōrīzī	id=g:1468862
Kakal aw Bājowrī	id=g:1468863
Tilyān	id=g:1468864
Sar-e Panj Āwūk	id=g:1468865
Parah-ye Ashū	id=g:1468866
Darah-ye Ashkū	id=g:1468867
Kōh-e Firishtī	id=g:1468868
Darah-ye Āwan	id=g:1468869
Kōh-e Sangrow	id=g:1468870
Pastah Dasht	id=g:1468871
Tang-e Waṟsaj	id=g:1468872
Kaftar Khānah	id=g:1468873
Shāh Raḩmatullāh	id=g:1468874
Bar Shēlām	id=g:1468875
Arbalan	id=g:1468876
Darah-ye Sar-e Tang	id=g:1468877
Mangōlī	id=g:1468878
Kopak	id=g:1468879
Wut Ghar	id=g:1468880
Shāh Tūt	id=g:1468881
Kaṯah Sang	id=g:1468882
Zaṟah Kalā	id=g:1468883
Chambō	id=g:1468884
Gōzay Rāghêh	id=g:1468885
Lapuk	id=g:1468887
Dardar	id=g:1468888
Kōh-e Qalāwur	id=g:1468889
Zīārat-e ‘Alī Malang	id=g:1468890
Kōtal-e ‘Alī Malang	id=g:1468891
Deh Mēnah	id=g:1468892
Landah Bōch	id=g:1468893
Ghaṯ Sar	id=g:1468894
Sadah	id=g:1468895
Bānjānī	id=g:1468896
Dārgulī	id=g:1468897
Dzhamali	id=g:1468898
Gēk	id=g:1468899
Şadah-ye Shayr ‘Alī Khān	id=g:1468900
Kāmah	id=g:1468901
Kūshtawāl	id=g:1468902
Pīrzaī	id=g:1468903
Khanjar Khēl	id=g:1468904
Shaykhān	id=g:1468905
‘Arab Khēl	id=g:1468906
Kandī	id=g:1468907
Jōlāgān	id=g:1468908
Dzhamali	id=g:1468909
Anārgar	id=g:1468910
Chūnah Kach	id=g:1468911
Ḏāg Kêlay	id=g:1468912
Shōdah	id=g:1468913
Khaīshī	id=g:1468914
Bīnī Chelah	id=g:1468915
Dasht-e Nawaduk	id=g:1468916
Deh-e Now	id=g:1468917
Tangaī Waghjān	id=g:1468918
Dasht-e Khwājahwas Bābā	id=g:1468919
Chokah-ye Mastān	id=g:1468920
Shāghāsī Kalā	id=g:1468921
Hārūn Khēl Muhajirīn	id=g:1468922
Darah-ye Kūtū	id=g:1468923
Darah-ye Gazik	id=g:1468924
Kōh-e Rōyital	id=g:1468925
Darah-ye Ashū	id=g:1468926
Khaf Darah	id=g:1468927
Tarisht	id=g:1468928
Darah-ye Yōghch	id=g:1468929
Kōh-e Shākh Chūk	id=g:1468930
Darah-ye Khākān	id=g:1468931
Kōh-e Āwshikan	id=g:1468932
Kōh-e Zard Ālūk	id=g:1468933
Kōh-e Sīāh Bakhshah	id=g:1468934
Kōh-e Kamar-e Ayshān	id=g:1468935
Kōh-e Kūtū	id=g:1468936
Kōh-e Pūlūk	id=g:1468937
Sayyid Maḩmūd-e Ghāzī	id=g:1468938
Kōh-e Bādnishīn	id=g:1468939
Sīāhnow	id=g:1468940
Kōh-e Bāgh-e Dasht	id=g:1468941
Z̄akariyā Khēl	id=g:1468942
Kōh-e Rōytal	id=g:1468943
Darah-ye Bāgh-e Dasht	id=g:1468944
Parah-ye Jōrōzōk	id=g:1468945
Pātō Ghunḏêy	id=g:1468946
Parah-ye Isfar	id=g:1468947
Kōh-e Sar-e Akhch	id=g:1468948
Niyāzī	id=g:1468949
Hārūn Khēl Pōrak	id=g:1468950
Darah-ye Jōrōzōk	id=g:1468951
Darah-ye Yārman	id=g:1468952
Bābūs	id=g:1468953
Shādī Khūg	id=g:1468954
Qal‘ah-ye ‘Abd ur Rashīd	id=g:1468955
Qal‘ah-ye Jum‘ah	id=g:1468956
Kamāl Khēl	id=g:1468957
Nāşir Balūţ Khēl	id=g:1468958
Qal‘ah-ye ‘Alī Khān	id=g:1468959
Qal‘ah-ye Sayyidān	id=g:1468960
Sar-e Wand-e Mashtān	id=g:1468961
Qal‘ah-ye Julgah	id=g:1468962
Qal‘ah-ye Biland Āb	id=g:1468963
Kōh-e Aflār	id=g:1468964
Mīr Şāleḩ	id=g:1468965
Qal‘ah-ye Sabzak	id=g:1468966
Qal‘ah-ye Mullā Ḩasan	id=g:1468967
Kōh-e Nāw-e Sayl	id=g:1468968
Qal‘ah-ye Ayyūb	id=g:1468969
Kārēz-e Hindū	id=g:1468970
Bāgh-e Sulţān	id=g:1468971
Qal‘ah-ye Malik	id=g:1468972
Qal‘ah-ye Shaykhak	id=g:1468973
Qal‘ah-ye Sayyidhā	id=g:1468974
Khwājah Aḩmad Bābā	id=g:1468975
Mullā Bahādur Khēl	id=g:1468976
Sīāh Kōh Khwaṟ	id=g:1468977
Tapahhā-ye Qaţār Sang	id=g:1468978
Kōh-e Muḩammad Āghah	id=g:1468979
Kōh-e Katagīr	id=g:1468980
Kōh-e Āghōchān	id=g:1468981
Darah-ye Āghōchān	id=g:1468982
Darah-ye Katagīr	id=g:1468983
Darah-ye Sêtayw	id=g:1468984
Darah-ye Nāw-e Sayl	id=g:1468985
Darah-ye Kīndī	id=g:1468986
Kōh-e Jangal-e Paytow	id=g:1468987
Darah-ye Pūlūk	id=g:1468988
Kōh-e Chālikālī	id=g:1468989
Awringīā	id=g:1468990
Askawān	id=g:1468991
Pūlūk	id=g:1468992
Kōh-e Āw Burdah	id=g:1468993
Kōh-e Bar-e Paytow	id=g:1468994
Dasht-e Qal‘ah-ye Dowlat	id=g:1468995
Darah-ye Sangtūpah	id=g:1468996
Qal‘ah-ye Shahsawār	id=g:1468997
Kōh-e Pazhayk	id=g:1468998
Gomrānī Raḩmābād	id=g:1468999
Sêkalmunj	id=g:1469000
Aḩmadzaī	id=g:1469001
Aylgī Darah	id=g:1469002
Mīr Kārēz	id=g:1469003
Mīr Kārēz	id=g:1469004
Sūr Kārēz	id=g:1469005
Qal‘ah-ye Malik Qahār	id=g:1469006
Shāhī Kalā	id=g:1469007
Zīārat-e Bābā Jānbāz	id=g:1469008
Qal‘ah-ye Tāj Khān	id=g:1469009
Kōṯgaī	id=g:1469010
Mirzā Khēl	id=g:1469011
Darah-ye Qowanduz	id=g:1469012
Pul-e Kandahārī	id=g:1469013
Kōh-e Sangow	id=g:1469014
Kōh-e Mūsá Bēg	id=g:1469015
Kōh-e Fōrghāmanōl	id=g:1469016
Daryā Qawanḏuz	id=g:1469017
Darah-ye Charā	id=g:1469018
Parah-ye Darah-ye Farār	id=g:1469019
Parah-ye Surkhbīm	id=g:1469020
Keshem Kalā	id=g:1469021
Muḩammad Āghah	id=g:1469022
Budyā Khēl	id=g:1469023
Parah-ye Akhch	id=g:1469024
Sar-e Bāwar	id=g:1469025
Darah-ye Kalān	id=g:1469026
Kōh-e Sārah	id=g:1469027
Darah-ye Sārah	id=g:1469028
Darah-ye Kaftār	id=g:1469029
Darah-ye Yāwar	id=g:1469030
‘Alāqahdārī Warsaj	id=g:1469031
Mūchakān	id=g:1469032
Ghaznī Khēl	id=g:1469033
Sayyid Abū Şāleḩ	id=g:1469034
Khodī Khēl	id=g:1469035
Sar-e Pul	id=g:1469036
Chahār Chinār	id=g:1469037
Khūn Darah	id=g:1469038
‘Abd ur Raḩmān Pitāw	id=g:1469039
Sa‘d-e Wiqāş	id=g:1469040
Maḩmūd Khēlō Sar	id=g:1469041
Sowdāt Khēl	id=g:1469042
Pushtē Khwaṟ	id=g:1469043
Tagāb Khānāgā	id=g:1469044
Parah	id=g:1469045
Nāw-e Shākh	id=g:1469046
Pākānī	id=g:1469047
Kōh-e Payshān	id=g:1469048
Kand-e Rābyā	id=g:1469049
Dashtak Khwaṟ	id=g:1469050
Kōh-e Zardnū	id=g:1469051
Kōh-e Mulwār	id=g:1469052
Zīārat-e Ḩaẕrat-e Shaykh Z̧āhiruddīn	id=g:1469053
Niyāzī	id=g:1469054
Khwājah Ismā‘īl Bābā	id=g:1469055
Dowrān Khēl	id=g:1469056
Qal‘ah-ye Marah	id=g:1469057
Shast-e Zāhidābād	id=g:1469058
Qal‘ah-ye Dalīl	id=g:1469059
Nāw Khwaṟ	id=g:1469060
Manşūr Khwaṟ	id=g:1469061
Kōh-e Aşḩābī Bābā	id=g:1469062
Naraī Kōṯ	id=g:1469063
‘Alī Khēl	id=g:1469064
‘Alī Khēl	id=g:1469065
Qal‘ah-ye Mīrān	id=g:1469066
Neshān Kalā	id=g:1469067
Kowḏī	id=g:1469068
Tōr Wêrsêk Ghar	id=g:1469069
Bēdak Ghar	id=g:1469070
Kōh-e Gundah	id=g:1469071
Darah-ye Uchōkh	id=g:1469072
Kōh-e Yowasōk	id=g:1469073
Darah-ye Mulwāl	id=g:1469074
Kōh-e Pas Kundah	id=g:1469075
Darah-ye Dayshanah	id=g:1469076
Kōh-e Dayshanah	id=g:1469077
Darah-ye Tūtōk	id=g:1469078
Darah-ye Irakh	id=g:1469079
Askīn-e Pā’īn	id=g:1469080
Darah-ye Agmīr	id=g:1469081
Kōh-e Sowārah	id=g:1469082
Darah-ye Askīn	id=g:1469083
Darah-ye Ḩājinj	id=g:1469084
Kōh-e Ḩājinj	id=g:1469085
Kōh-e Tundakī	id=g:1469086
Darah-ye Pākānī	id=g:1469087
Bālā Mokhow-ye	id=g:1469088
Darah-ye Mukhū	id=g:1469089
Darah-ye Nūīj	id=g:1469090
Kōh-e Gardanuk	id=g:1469091
Mīrā Jān Kêlay	id=g:1469092
Kōh-e Kōtal	id=g:1469093
Kūh-e Khoshkak	id=g:1469094
Lāndē Kêlay	id=g:1469095
Chināraī	id=g:1469096
Pōrē Kêlay	id=g:1469097
Pōzah-ye Mulkūk	id=g:1469098
Ḏāg Kalā	id=g:1469099
Kāmrān Bābā Zīārat	id=g:1469100
Kōṯgaī	id=g:1469101
Āb Bāzak	id=g:1469102
Kōchīānō Kêlay	id=g:1469103
Mīrō	id=g:1469104
Sar Kêlay	id=g:1469105
Darah-ye Kharwān	id=g:1469106
Kōh-e Bachah	id=g:1469107
Kanḏwālah	id=g:1469108
Spīn Wêrsêk	id=g:1469109
Kōh-e Qal‘ah-ye Dalīl	id=g:1469110
Qal‘ah-ye Neshān	id=g:1469111
Kōh-e Safayd Sang	id=g:1469112
Kūh-e Gūldān	id=g:1469113
Raḩmatābād	id=g:1469114
Alū Khēl ‘Olyā	id=g:1469115
Aḩmad Khēl	id=g:1469116
Yowud	id=g:1469117
Qulţoghān	id=g:1469118
Darah-ye Shnē Ghar	id=g:1469119
Kōh-e Qulţoghān	id=g:1469120
Şalawātī Kanḏow	id=g:1469121
Sōrbōg	id=g:1469122
Kōh-e Khūlah	id=g:1469123
Kōh-e Tāwah Shākh	id=g:1469124
Darah-ye Kalpīāz	id=g:1469125
Sīāh Jōy	id=g:1469126
Kōh-e Shaykhān	id=g:1469127
Ḩosayn Khēl	id=g:1469128
Shād Khānah	id=g:1469129
Kōh-e Yowghōr	id=g:1469130
Darah-ye Mīrangānah	id=g:1469131
Darah-ye Yōghōr	id=g:1469132
Zīārat-e Shaykhān	id=g:1469133
Āhingarān	id=g:1469134
Qal‘ah-ye Chaman	id=g:1469135
Sūrgaī	id=g:1469136
Pāyandah Khēl	id=g:1469137
Darah-ye Khwājah Awrāz	id=g:1469138
Qal‘ah-ye Jānān	id=g:1469139
Kūz Mīā Khēl	id=g:1469140
Kaṯah Sang	id=g:1469141
Khānān Khēl	id=g:1469142
Bar Myā Khēl	id=g:1469143
Jarīān	id=g:1469144
Zīārat-e Khwājah Khūlah	id=g:1469145
Darah-ye Mazār	id=g:1469146
Kōh-e Darah Mazār	id=g:1469147
Kūh-e Setārehrīz	id=g:1469148
Shād Khānē Kanḏow	id=g:1469149
Kūh-e Daryā Mazāṟ	id=g:1469150
Dōbanday	id=g:1469151
Jar-e Yamōk	id=g:1469152
Kōh-e Khwājah Munowar	id=g:1469153
Nāw-e Niyāz	id=g:1469154
Jar-e Khwājah Munowar	id=g:1469155
Darah-ye Āw	id=g:1469156
Kōh-e Yamōk	id=g:1469157
Zīārat-e Khwājah Munowar	id=g:1469158
Qal‘ah-ye Lakō	id=g:1469159
Zīārat-e Buzurg	id=g:1469160
Shābī	id=g:1469161
Rōd-e Baydak	id=g:1469162
Shābī Khwaṟ	id=g:1469163
Sīāh Kōh	id=g:1469164
Mīrangānah	id=g:1469165
Jar-e Talik	id=g:1469166
Jar-e Āwzān	id=g:1469167
Jar-e Tōlkhār	id=g:1469168
Kōh-e Qalāwur Sang	id=g:1469169
Band-e Tūtak	id=g:1469170
Kōh-e Khī Asp	id=g:1469171
Darah-ye Saywak	id=g:1469172
Kōh-e Kōtal	id=g:1469173
Kōh-e Fateḩ	id=g:1469174
Darah-ye Yōl	id=g:1469175
Zīārat-e Shāh Nūr Alām	id=g:1469176
Kōh-e Saywak	id=g:1469177
Chahār Qal‘ah	id=g:1469178
Kōh-e Shākh-e Qaţār	id=g:1469179
Kōh-e Sang Raykhtah	id=g:1469180
Darah-ye Kulōl	id=g:1469181
Kulōl Ghar	id=g:1469182
Safayd Kōh	id=g:1469183
Kōh-e Yakharm	id=g:1469184
Jar-e Parāghak	id=g:1469186
Gerdī Sarmarī	id=g:1469187
Qal‘ah-ye Aţā Muḩammad Khān	id=g:1469188
Darah-ye Yakharm	id=g:1469189
Safayd Kōh	id=g:1469190
Tangaī Sayyidān	id=g:1469191
Kōh-e Burj-e Surkh	id=g:1469192
Tangī Sayyidān	id=g:1469193
Qal‘ah-ye Shāghāsī	id=g:1469194
Qal‘ah-ye Safayd	id=g:1469195
Qal‘ah-ye Muḩammad Waīs Khān	id=g:1469196
Darah-ye Pashtān	id=g:1469197
Darah-ye Ōr	id=g:1469198
Ōr Darah	id=g:1469199
Kōh-e Ōr Darah	id=g:1469200
Kōh-e Gōldān	id=g:1469201
Kōh-e Shnē Ghar	id=g:1469202
Shādêl Kalā	id=g:1469203
Chakīān	id=g:1469204
Mirzaī	id=g:1469205
Zā Khēl	id=g:1469206
Darah-ye Daryamī	id=g:1469207
Deh-e Tār	id=g:1469208
Bāzīd Khēl	id=g:1469209
Qal‘ah-ye Wadūd	id=g:1469210
Māmā Khēl	id=g:1469211
Shaylām	id=g:1469212
Gaṟay	id=g:1469213
Anār Bāgh	id=g:1469214
Shnah Kalā	id=g:1469215
Kūz Mīrzā Khēl	id=g:1469216
Bar Mīrzā Khēl	id=g:1469217
Kharah	id=g:1469218
Māshīngan Ghar	id=g:1469219
Dêrgī Ghar	id=g:1469220
Dêrgī Khwaṟ	id=g:1469221
Tōr Ghar	id=g:1469222
Gêrdāb	id=g:1469223
Bela	id=g:1469224
Saracha	id=g:1469225
Sūr Gōg	id=g:1469226
Pitāw	id=g:1469227
Tangī Ghar	id=g:1469228
Lukhtōghay	id=g:1469229
Qōl-e Iskār	id=g:1469230
Chahārbāgh	id=g:1469231
Qal‘ah-ye Bāwar	id=g:1469232
Chaqmaq Shaykh	id=g:1469233
Qal‘ah-ye Ḩājīhā	id=g:1469234
Qal‘ah-ye Luqmān	id=g:1469235
Qal‘ah-ye Shāh ‘Azīz	id=g:1469236
Qal‘ah-ye Na‘īm	id=g:1469237
Qal‘ah-ye Ja‘far	id=g:1469238
Qal‘ah-ye Jān Khān	id=g:1469239
Gul Bāgh	id=g:1469240
Qal‘ah-ye Lōgarī	id=g:1469241
Jowz	id=g:1469242
Zīārat-e Sulţān Pādshāh	id=g:1469243
Dāwūd Ghar	id=g:1469244
Qal‘ah-ye Khwājahhā	id=g:1469245
Qal‘ah-ye Najārhā	id=g:1469246
Tapah-ye Tāj Bayg	id=g:1469247
Dōghābād	id=g:1469248
Sar Āsīāb	id=g:1469249
Jādah-ye Hazārahhā	id=g:1469250
Safayd Kōh	id=g:1469251
Surkh Kōh	id=g:1469252
Qal‘ah-ye Muḩammad ‘Azīz Khān	id=g:1469253
Pusht-e Surkhak	id=g:1469254
Kōtal-e Khartīzak	id=g:1469255
Sang-e Chāk	id=g:1469256
Kōh-e Shākh-e Barantay	id=g:1469257
Qal‘ah-ye Shāghāsī	id=g:1469258
Chahwū Khwaṟ	id=g:1469259
Archah-ye Shaykhak	id=g:1469260
Ţabaq Sar	id=g:1469261
Kōh-e Jilowrag	id=g:1469262
Tōp-e Tōdak	id=g:1469263
Tōp-e Jamshīd	id=g:1469264
Qabr-e Hazārah	id=g:1469265
Kōh-e Shōrak Zār	id=g:1469266
Kōh-e Shōrak Zār	id=g:1469267
Chahwū	id=g:1469268
Sāy-ye Gerūneh	id=g:1469269
Pushtah-ye Kundah Sang	id=g:1469270
Kōh-e Khambizān	id=g:1469271
Kōh-e Qal‘ah-ye Fatūḩ	id=g:1469272
Kōh-e Z̄ulfaqār	id=g:1469273
Kōtal-e Rāh-e Ramah	id=g:1469274
Kōh-e Bīnī Ḩişār	id=g:1469275
Kōh-e Khushkāw	id=g:1469276
Wilāyatī	id=g:1469277
Sīāh Bīnī	id=g:1469278
Kōh-e Rāwjigah	id=g:1469279
Qal‘ah-ye Niyāzī	id=g:1469280
Kōh-e Chehel Sotūn	id=g:1469281
Pushtah-ye Zamūchak	id=g:1469282
Qal‘ah-ye Ḩashmat Khān	id=g:1469283
Waşalābād	id=g:1469284
Kōh-e Kōkbarī	id=g:1469285
Qal‘ah-ye Now-e Qal‘achah	id=g:1469286
Qal‘ahchah-ye Şāḩibzādah	id=g:1469287
Kōl-e Ḩashmat Khān	id=g:1469288
Kōh-e Pīāzqōl	id=g:1469289
Band-e Saylbinak	id=g:1469290
Meydān-e Bozkoshī	id=g:1469291
Qal‘ah-ye Shaykhhā	id=g:1469292
Qal‘ah-ye Pakhchak	id=g:1469293
Noh Burjah	id=g:1469294
Zīārat-e Shaykh ‘Adil	id=g:1469295
Qal‘ah-ye Ādam Khān	id=g:1469296
Gaṯ Ghar	id=g:1469297
Spīnah Khwā	id=g:1469298
‘Alam Khān Kalā	id=g:1469299
Qal‘ah-ye Muftī	id=g:1469300
Qal‘ah-ye ‘Abdul Ra’ūf	id=g:1469301
Kōh-e Yakhak	id=g:1469302
Munāraī	id=g:1469303
Munāraī Kanḏow	id=g:1469304
Gul Darē Khwaṟ	id=g:1469305
Tōr Kanḏow Pêrshē	id=g:1469306
Aḩmad Gaṟang	id=g:1469307
Kōh-e Askār	id=g:1469308
Lalmī Askār	id=g:1469309
Darah-ye Mazār	id=g:1469310
Darah-ye Kimīān	id=g:1469311
Kōh-e Rūbak	id=g:1469312
Kōh-e Rōyak	id=g:1469313
Darah-ye Hiwut	id=g:1469314
Kōh-e Paytow	id=g:1469315
Pas-e Ambah	id=g:1469316
Kōh-e Aghzū	id=g:1469317
Aghzayō Tsapêrō Sar	id=g:1469318
Kōrayō Sar	id=g:1469319
Kurkī Ḏanḏ	id=g:1469320
Tagāb-e Mīānshahr	id=g:1469321
Ispal	id=g:1469322
Sang-e Sūrākh Ghar	id=g:1469323
Darah-ye Sang-e Sūrākh	id=g:1469324
Shākh-e Ispal	id=g:1469325
Lōy Rājān	id=g:1469326
Darah-ye Ispal	id=g:1469327
Darah-ye Yasrōk	id=g:1469328
Kōh-e Yasrōk	id=g:1469329
Gurgī Maīdān Khwaṟ	id=g:1469330
Gurgī Maīdān Ghar	id=g:1469331
Bāṯ Khēlō Khwaṟ	id=g:1469333
Hiwut	id=g:1469334
Darah-ye Kōr	id=g:1469335
Kōh-e Khūjō	id=g:1469336
Daragē	id=g:1469337
Āb Shākhak	id=g:1469338
Sarwānday	id=g:1469339
Lōy Waṯaī	id=g:1469340
Nāwah-ye Taqāb Mīānshahr	id=g:1469341
Kōh-e Ghaz Darah	id=g:1469342
Darah-ye Khūjō	id=g:1469343
Sīsō Khwaṟ	id=g:1469344
‘Abd ur Raḩīmzī Ghar	id=g:1469345
Kōh-e Angistānig	id=g:1469346
Ghbargay	id=g:1469347
Bahā’ī Jān Kōr	id=g:1469348
Kanḏowūnah	id=g:1469349
Wêch Tangaī	id=g:1469350
Daryā Estūy	id=g:1469351
Spīn Wêrsêk	id=g:1469352
Bībī Zīārat	id=g:1469353
Kōh-e Pazh	id=g:1469354
Ḩowẕ-e Ghāt	id=g:1469355
Zīārat Khwaṟ	id=g:1469356
Kalāgaī	id=g:1469357
Shīnkaī	id=g:1469358
Kōdō Baghal	id=g:1469359
Āb Qalāt	id=g:1469360
Şalawāt Ghar	id=g:1469361
Zā Khēl Tangaī	id=g:1469362
Z̄akarīā Ghar	id=g:1469363
Chahārwāzē Ghas̲h̲ay	id=g:1469364
Jowhar	id=g:1469365
Chahārwāzī Khwaṟ	id=g:1469366
Bashar Waṯaī	id=g:1469367
Lalmē Tangaī	id=g:1469368
Karbōrō Ghar	id=g:1469369
Spīnkaī Ghar	id=g:1469371
Malik Khēl	id=g:1469372
Zindān	id=g:1469373
Drē Sārē Ghar	id=g:1469374
Chehelgazī Ghar	id=g:1469375
Sar Band	id=g:1469376
Ghunḏêy	id=g:1469377
Bela	id=g:1469378
Bar Mêshwāṉī	id=g:1469379
Kūz Mêshwāṉī	id=g:1469380
Darah-ye Rīch	id=g:1469381
Kūzah Bēlah	id=g:1469382
Chōragalay Ghar	id=g:1469383
Darah-ye Rīchow	id=g:1469384
Kōh-e Ghād	id=g:1469385
Gêrdī Kats Ghar	id=g:1469386
Mār Kōh	id=g:1469387
Mār Kōh	id=g:1469388
Darah-ye Kuzū	id=g:1469389
Khwājah Ḩanafī Bābā Ghar	id=g:1469390
Kaparī	id=g:1469391
Sūr Daywāl	id=g:1469392
Myā Şāḩib Zīārat	id=g:1469393
Shāmzaī Tangaī	id=g:1469394
Kān Khwaṟ	id=g:1469395
Darah-ye Kharmū	id=g:1469396
Amadī Khwaṟ	id=g:1469397
Chōragalay	id=g:1469398
Srakala	id=g:1469399
Nāwrā	id=g:1469400
Gurjaī	id=g:1469401
Wêchakaī Tangaī	id=g:1469402
Kūh-e Pādeshāhkhāneh	id=g:1469403
Lēwānō Ghās̲h̲ah	id=g:1469404
Chōragalay	id=g:1469405
Ghaljīān	id=g:1469406
Chagharī	id=g:1469407
Kōh-e Deh-e Kalān	id=g:1469408
Ākhundzādah Kêlay	id=g:1469409
Taghar-e ‘Olyā	id=g:1469410
Rōghānī	id=g:1469411
Mārānō Zawar	id=g:1469412
Qal‘ah-ye Mīrjī	id=g:1469413
Khazīnē Ghar	id=g:1469414
Shkārī Ghar	id=g:1469415
Darah-ye Shilkhī	id=g:1469416
Damah Ghunḏêy	id=g:1469417
Manzūnī	id=g:1469418
Anār Khēl	id=g:1469419
Shamah Khēl	id=g:1469420
Ghunḏêy Kêlay	id=g:1469421
Ţāwūs Khēl	id=g:1469422
Khadar Khānī	id=g:1469423
Mēlmah Şāḩibzādah	id=g:1469424
Khānānō Kêlay	id=g:1469425
Lōkhī	id=g:1469426
Barah Kalā	id=g:1469427
Ma‘rūf Chīnah	id=g:1469428
Bārū	id=g:1469429
Gunḏyānī	id=g:1469430
Kōh-e Gārū	id=g:1469431
Shāsh Khēl	id=g:1469432
Tōrēlay	id=g:1469433
Sangar	id=g:1469434
Kam Bāṟū	id=g:1469435
Chāchī Kalā	id=g:1469436
Daywānah Tsêlaī	id=g:1469437
Darah-ye Yowring	id=g:1469439
Naraī Khwaṟ	id=g:1469440
Shubdīānī	id=g:1469441
Kōh-e Yowring	id=g:1469442
Ākhund Mūsá Şāḩib	id=g:1469443
Kūh-e Ējāni	id=g:1469444
Ţêflakān	id=g:1469445
Mīān Kōh	id=g:1469446
Na‘īm Ghunḏêy	id=g:1469447
Kōh-e Khīābān	id=g:1469448
Jar-e Bōstān	id=g:1469449
Deh Ishān	id=g:1469450
Dōāb	id=g:1469451
Chaman	id=g:1469452
Gul Khānah	id=g:1469453
‘Alāhuddīn-e Pā’īn	id=g:1469454
Qal‘ah-ye Chetgar	id=g:1469455
Qal‘ah-ye Wazīr	id=g:1469456
Qal‘ah-ye Ākhūnd	id=g:1469457
Gōgerdsāzī	id=g:1469458
Deh Murād Khān	id=g:1469459
Qal‘ah-ye Ghaībī	id=g:1469460
Deh Qalandar	id=g:1469461
Qal‘ah-ye Shāghāsī	id=g:1469462
Shahzādah Tsêlī Khwaṟ	id=g:1469463
Qal‘ah-ye Ḩasan Khēlhā	id=g:1469464
Kalā Khwaṟ	id=g:1469465
Qal‘ah-ye Malek Karīm	id=g:1469466
Baṯī Kōṯ Dāg	id=g:1469467
Kafarkhanda	id=g:1469468
Gulī Rāghêh	id=g:1469469
Laghmān Khūlah	id=g:1469470
Kamrêh Rāghêh	id=g:1469471
Sūr Gōg	id=g:1469472
Naraī Ōbō Ghar	id=g:1469473
Tsargand Ghar	id=g:1469474
Arkhay	id=g:1469476
Pāshāhī Ghunḏêy	id=g:1469477
Sūr Ḏāg	id=g:1469478
Gerdāw Sar	id=g:1469479
Gora Badaysar	id=g:1469480
Ghurmand Ghar	id=g:1469481
Lālō Ghar	id=g:1469482
Zōṟ Kalā	id=g:1469483
Ghalmō Kats	id=g:1469484
Indzêrkaī	id=g:1469485
Jā Ghūnḏ	id=g:1469486
Drabō Zhawar	id=g:1469487
Ḏāg	id=g:1469488
Zhēṟah	id=g:1469489
Chāwd Gaṯ	id=g:1469491
Amānī Ghar	id=g:1469492
Māmā Khēl	id=g:1469493
Aḏē Şāḩib	id=g:1469494
Sêrkay Kānē	id=g:1469495
Gora Chaudkane	id=g:1469496
Chaghār Ghaṯ	id=g:1469497
Sāgay Ghar	id=g:1469498
Ghaẕbī	id=g:1469499
Srah Ghunḏêy	id=g:1469500
Zīārat-e Ḏāg	id=g:1469501
Tōr Rāghêh	id=g:1469502
Deh-e Ghunḏêy	id=g:1469503
Spera	id=g:1469504
Tōr Kāṉī	id=g:1469505
Zhēṟ Gaḏ	id=g:1469506
Zhēṟah Ghunḏêy	id=g:1469507
Kêrkêr Ḏanḏ	id=g:1469508
Şūfi Şāḩib Kōhī	id=g:1469509
Sarangay	id=g:1469510
Tōrah Lmandzah	id=g:1469511
Pās Waṟah	id=g:1469512
Bābā Ḏūp	id=g:1469513
Chaqal Ghar	id=g:1469514
Murghānō Ghunḏêy	id=g:1469515
Spīnah Tīz̲h̲ah	id=g:1469516
Shênōr Ghūnḏ Sar	id=g:1469517
Sêrkay	id=g:1469518
Band-e Kamar	id=g:1469519
