Santo Stefano d'Aveto	id=g:6542010
Isola Albarella	id=g:6543982
Albinia	id=g:6543983
arcigliano	id=g:6543984
Lippiano	id=g:6543985
Lucolena	id=g:6543986
Chiatri	id=g:6543987
Arliano	id=g:6543988
Arsella	id=g:6543989
Casalguidi	id=g:6543990
Colleoli	id=g:6543991
Montebenichi	id=g:6543992
cesi	id=g:6543999
san cerbone	id=g:6544000
teverina	id=g:6544001
compignano lucca	id=g:6544002
Ville di Corsano	id=g:6544003
fiano	id=g:6544004
gragnano	id=g:6544005
Panicale	id=g:6544006
Bagni di Petriolo	id=g:6544007
Piegaio	id=g:6544008
Sambuca	id=g:6544009
San Gennaro	id=g:6544010
Sant'Arcangelo	id=g:6544011
Varna	id=g:6544012
Villastrada	id=g:6544013
Luco di Mugello	id=g:6544014
Torre	id=g:6544015
Colle di Compito	id=g:6544016
grimaldi inferiore	id=g:6544017
Capezzano Pianore	id=g:6544018
Castellina Scalo	id=g:6544019
Mastiano	id=g:6544020
Civitella Del Lago	id=g:6544021
Costa Paradiso	id=g:6544022
Pieve di Compito	id=g:6544023
Mercatale Val Di Pesa	id=g:6544024
San Concordio di Moriano	id=g:6544025
Marina de lu imposta	id=g:6544026
Punta Ala	id=g:6544027
Nozzano	id=g:6544028
Porto Cervo	id=g:6544029
Porto Pollo	id=g:6544030
Porto Rotondo	id=g:6544031
Principina a Mare	id=g:6544032
San Leonardo	id=g:6544033
San Macario in Piano	id=g:6544034
Valdicastello	id=g:6544036
Vo' Vecchio	id=g:6544037
Matraia	id=g:6544038
Badia a Montemuro	id=g:6544039
Castro Marina	id=g:6544040
Carignano	id=g:6544041
Guamo	id=g:6544042
Marina del Cantone	id=g:6544043
San Polo In Chianti	id=g:6544044
Segromigno in Monte	id=g:6544045
Ponte Agli Stolli	id=g:6544046
Corella	id=g:6544047
Corsanico	id=g:6544048
Corsignano	id=g:6544049
Meati	id=g:6544050
orbicciano	id=g:6544051
Pieve a Elici	id=g:6544052
Ponte a Bozzone	id=g:6544053
Pontetetto	id=g:6544054
Pietraviva	id=g:6544056
falciani	id=g:6544057
Farnetella	id=g:6544058
Fulgatore	id=g:6544059
La california	id=g:6544060
Montalcinello	id=g:6544061
Rigomagno	id=g:6544062
Greppolungo	id=g:6544063
Grezzano	id=g:6544064
Stiava	id=g:6544065
Tellaro	id=g:6544066
Tripalle	id=g:6544067
Vagliagli	id=g:6544068
Iano	id=g:6544069
Vorno	id=g:6544070
Lucarelli	id=g:6544071
Vitolini	id=g:6544077
Valsanzibio	id=g:6544078
Matraia	id=g:6544079
Monteggiori	id=g:6544080
Tregozzano	id=g:6544081
Montegonzi	id=g:6544082
Montorsoli	id=g:6544083
Montuolo	id=g:6544084
Mutigliano	id=g:6544085
Orentano	id=g:6544086
San Donato	id=g:6544087
Palmata	id=g:6544088
Pedona	id=g:6544089
Pievasciata	id=g:6544090
Pievescola	id=g:6544091
Pomaia	id=g:6544092
Pontignano	id=g:6544093
Ponzalla	id=g:6544094
Alberoro	id=g:6544095
Arsina	id=g:6544096
Baia Sardinia	id=g:6544097
Capriglia	id=g:6544098
San Vincenzo d'Elba	id=g:6544471
Pingrosso	id=g:6544472
Casotto di Venezia	id=g:6544473
Il Poggiale	id=g:6544474
Pianetto	id=g:6544475
La Principina	id=g:6544476
Fattoria Sterpeto	id=g:6544477
Bellavista	id=g:6544478
Ponte Massa	id=g:6544479
Ruffinosa Nuova	id=g:6544480
San Giusto	id=g:6544503
San Giusto a Balli	id=g:6544504
Poggiarello	id=g:6544505
Poggiarello	id=g:6544506
Valacchio	id=g:6544507
Caldana di Sotto	id=g:6544508
Caldana di Sopra	id=g:6544509
Toiano	id=g:6544510
Ponte allo Spino	id=g:6544511
Ponte allo Spino	id=g:6544512
Pieve di Ponte allo Spino	id=g:6544513
La Macchia	id=g:6544514
Volte Basse	id=g:6544515
Il Palazzaccio	id=g:6544516
Piscialembita	id=g:6544517
Strata	id=g:6544518
Costafabbri	id=g:6544519
Bettolino di Mediglia	id=g:6544529
Torri	id=g:6544537
Orgia	id=g:6544539
Brenna	id=g:6544540
Ferratore	id=g:6544541
Celsa	id=g:6544544
Seggiano	id=g:6544553
Rugacesio	id=g:6544554
Cornino	id=g:6545021
Creti	id=g:6545022
Confortino B&B	id=g:6545029
Borgo	id=g:6545116
prati	id=g:6545118
Ponte	id=g:6545143
Parione	id=g:6545144
Regola	id=g:6545146
San Eustacio	id=g:6545147
saint angelo	id=g:6545148
Campitelli	id=g:6545149
Pigna	id=g:6545151
Colonna	id=g:6545153
Ludovisi	id=g:6545154
Sallustiano	id=g:6545155
Castro Pretorio	id=g:6545156
Esquilino	id=g:6545157
Trevi	id=g:6545158
Monti	id=g:6545159
Celio	id=g:6545160
Ripa	id=g:6545161
Testaccio	id=g:6545164
San Saba	id=g:6545165
center of IT1315922 SIC area of Natura 2000 Network	id=g:6545166
Tonni	id=g:6545331
Moncucco	id=g:6547115
Alcamo Marina	id=g:6559421
Aci Trezza	id=g:6559422
Aprilia Marittima	id=g:6559423
Capo Vaticano	id=g:6559424
Costa Rei	id=g:6559425
Costa Verde	id=g:6559426
Eraclea Mare	id=g:6559427
Fontane Bianche	id=g:6559428
Torre Dell'Orso	id=g:6559429
Torre Dei Corsari	id=g:6559430
Porto San Paolo	id=g:6559431
Marina Di Modica	id=g:6559432
Grado Pineta	id=g:6559433
Marilleva 1400	id=g:6559434
Porto Rafael	id=g:6561992
Torre San Giovanni	id=g:6586243
Marina di Sorso	id=g:6586928
Marina di Tortora	id=g:6587741
San Menaio	id=g:6587744
Pittulongu	id=g:6587940
Campiglione	id=g:6588570
Lovertino	id=g:6589201
Gioviano	id=g:6589202
Colognora	id=g:6589395
Torre Pali	id=g:6589399
Porto Corallo	id=g:6589657
Custoza	id=g:6589669
Tortoreto Lido	id=g:6589958
Marina di Montenero	id=g:6590184
Ischia Ponte	id=g:6590362
Santa Margherita di Pula	id=g:6590711
Porto Istana	id=g:6590857
Lido Marini	id=g:6591100
Punta Sabbioni	id=g:6592791
Preggio	id=g:6597095
Torre Vado	id=g:6602318
Tonnarella	id=g:6604722
Castelnuovo d'Elsa	id=g:6615308
San Feliciano	id=g:6615309
Lecchi	id=g:6615310
Monteluco	id=g:6615311
Marina Velca	id=g:6615312
Spiaggia di Barrabarca	id=g:6615377
Zucale	id=g:6615378
Lido di Capoliveri	id=g:6615379
Zucale	id=g:6615386
Naregno	id=g:6615387
Pareti	id=g:6615388
Madonna delle Grazie	id=g:6615389
Ripe Alte	id=g:6615390
Lido di Capoliveri	id=g:6615391
Bagnaia	id=g:6615392
Ortano	id=g:6615393
Capo d'Arco	id=g:6615394
Mechel	id=g:6615419
Caltron	id=g:6615420
Maiano	id=g:6615421
Dres	id=g:6615422
Spinazzeda	id=g:6615423
Innamorata	id=g:6615541
Ai colli	id=g:6615551
Castagnori	id=g:6615552
Montelopio	id=g:6615553
Nocchi	id=g:6615554
Sant'Andrea in Caprile	id=g:6615555
Santa Maria Albiano	id=g:6615556
Isola Molara	id=g:6615566
Volastra	id=g:6617996
Groppo	id=g:6617997
Fegina	id=g:6617998
Poggio	id=g:6617999
Miniera Calamita	id=g:6618000
Capo Stella	id=g:6618001
Airport Pisa	id=g:6618002
Porto Maghera	id=g:6618003
Priaruggia	id=g:6618489
Villa Quartara	id=g:6618490
Giardini Rusca	id=g:6618491
Parco Villa Serra	id=g:6618492
Parco Villa Groppallo	id=g:6618493
Monte Palon	id=g:6618627
Monte Cornetto	id=g:6618628
Vigo Cavedine	id=g:6618629
Viote	id=g:6618630
Povo	id=g:6618631
FBK-Irst	id=g:6618632
Dosso di S.Agata	id=g:6618633
Chegul	id=g:6618634
La Marzola	id=g:6618635
Passo Cimirlo	id=g:6618636
Monte Celva	id=g:6618637
Ranzo	id=g:6618638
Malga di Gazza	id=g:6618639
Lago di Lagolo	id=g:6618640
Stazione intermedia cab. Grostè	id=g:6618641
Rifugio del Tuckett	id=g:6618642
Cima Groste	id=g:6618643
Campanile di Vallesinella	id=g:6618644
Rifugio Stoppani	id=g:6618645
Monte Turrion Alto	id=g:6618646
Cima Roma	id=g:6618647
Cima della Vallazza	id=g:6618648
Cima Sella	id=g:6618649
Rifugio al Cacciatore	id=g:6618650
Rifugio S. Agostini	id=g:6618651
Cima Tosa	id=g:6618652
Monte Daino	id=g:6618653
Cima di Ghez	id=g:6618654
Monte Dion	id=g:6618655
Monte Gazza	id=g:6618656
Monte Ranzo	id=g:6618657
Monte Calisio	id=g:6618658
Lago di Lamar	id=g:6618659
Lago Santo	id=g:6618660
Doss del Ghirlo	id=g:6618661
Monte Soprasasso	id=g:6618662
Monte Panarotta	id=g:6618664
Monte Gronlait	id=g:6618665
Monte Fravort	id=g:6618666
Pizzo Alto	id=g:6618667
Lago Erdemolo	id=g:6618668
Sasso Rotto	id=g:6618669
Cima di Sette Selle	id=g:6618670
Lago di Serraia	id=g:6618671
Dosso di Costalta	id=g:6618672
Cima Verde	id=g:6618673
Dosso d'Abramo	id=g:6618674
La Rosta	id=g:6618675
Cornetto di Mugon	id=g:6618676
Lago di Cavedine	id=g:6618677
Monte Stivo	id=g:6618678
Palon	id=g:6618679
Rochetta	id=g:6618680
Malga la Valle	id=g:6618681
Lago di Bissina	id=g:6618772
Lago di Tenno	id=g:6618773
Lago di Santa Massenza	id=g:6618774
Lago di Toblino	id=g:6618775
Lago di Terlago	id=g:6618776
Lago di Santa Colomba	id=g:6618777
Lago Madrano	id=g:6618778
Lago di Canzolino	id=g:6618779
Lago Pudro	id=g:6618780
Lago di Valle	id=g:6618781
Laghestel	id=g:6618782
Lago di Lases	id=g:6618783
Lago Barbellino	id=g:6618784
Sant'Andrea in Percussina	id=g:6619139
Castellaneta Marina	id=g:6619298
Doss San Rocco	id=g:6619310
Parolet	id=g:6619311
Castel d'Arco	id=g:6619312
Monte Colodri	id=g:6619313
Croce Colt	id=g:6619314
Monte Brento	id=g:6619315
Dos de Santa Cros	id=g:6619316
Monte Brione	id=g:6619317
Massone	id=g:6619318
Monte Altissimo di Nago	id=g:6619319
Cime di Ventrar	id=g:6619320
Cima Valdritta	id=g:6619321
Monte Garzolet	id=g:6619322
Monte Casale	id=g:6619323
Granzoline	id=g:6619324
Becco della Ceriola	id=g:6619325
Cima degli Olmi	id=g:6619326
Seefeld Spitz	id=g:6619327
Vedetta Alta	id=g:6619328
Monte Ometto	id=g:6619329
Cima Lavazze	id=g:6619330
Monte Slavazzaie	id=g:6619331
Monte Cornicoletto	id=g:6619332
Pluderspitz	id=g:6619333
Cima Binazia	id=g:6619334
Monte Pin	id=g:6619335
Cima Sternai	id=g:6619336
Monte Peller	id=g:6619337
Doss di Dalun	id=g:6619338
Doss Alto	id=g:6619339
Dosso Alto	id=g:6619340
Dosso della Rocca	id=g:6619341
Spanish Steps	id=g:6619447
Trevi Fountain	id=g:6619448
Victor Emmanuel Monument	id=g:6619449
Pantheon	id=g:6619450
Fontana dei Quattro Fiumi	id=g:6619451
Monte Pellerot	id=g:6619771
Castellazzo	id=g:6619772
Cima Vallina	id=g:6619773
Passo di Val Formiga	id=g:6619774
Bivacco Guido Pinamonti	id=g:6619775
Cima dell'Omet	id=g:6619776
Cima Uomo	id=g:6619777
Palon	id=g:6619778
Castellaccio	id=g:6619779
Cima Cesta	id=g:6619780
Cima Nana	id=g:6619781
Sasso Rosso	id=g:6619782
Bivacco Costanzi-Albasini	id=g:6619783
Passo de la Nana	id=g:6619784
Passo Forcolotta di Noghera	id=g:6619785
Cima di Ceda Orientale	id=g:6619786
Cima di Ceda Occidentale	id=g:6619787
Rifugio Pedrotti	id=g:6619788
Rifugio Tosa	id=g:6619789
Cima Brenta Bassa	id=g:6619790
Cima Brenta Alta	id=g:6619791
Rifugio XII Apostoli	id=g:6619792
Lago di Val d'Agola	id=g:6619793
Cima d'Ambiez	id=g:6619794
Vedretta d'Ambiez	id=g:6619795
Bocchetta dei Camosci	id=g:6619796
Campanile Stek	id=g:6619797
Punta dell'Ideale	id=g:6619798
Cima Garbari	id=g:6619799
Pont de Paride	id=g:6619800
Malga Prato di Sotto	id=g:6619801
Malga Prato di Sopra	id=g:6619802
Dos d'Arnal	id=g:6619803
Dos delle Saette	id=g:6619804
Ponte de Broca	id=g:6619805
Malga Senaso di Sotto	id=g:6619806
La Crona	id=g:6619807
Crona Vecchia	id=g:6619808
Forcella Bregain	id=g:6619809
Ponte de le Scale	id=g:6619810
Malga Asbelz	id=g:6619811
Lago d'Asbelz	id=g:6619812
Monte Pizzo	id=g:6619813
Monte Brugnol	id=g:6619814
Castello dei Camosci	id=g:6619815
Marugeni	id=g:6619816
Cima d'Agola	id=g:6619817
Cima Prato Fiorito	id=g:6619818
Le Tose I	id=g:6619819
Le Tose II	id=g:6619820
Le Tose III	id=g:6619821
Cimon di Cresole	id=g:6619822
Corno di Senaso	id=g:6619823
Passo di Cresole	id=g:6619824
Le Tose del Stioi	id=g:6619825
Cima Forcolotta	id=g:6619826
Forcoletta di Jon	id=g:6619827
Campanile Basso	id=g:6619829
Campanile Alto	id=g:6619830
Monte Guardiolo	id=g:6619839
Monte Alto	id=g:6619840
Dos de la Cros	id=g:6619841
Montesel	id=g:6619842
Le Crone	id=g:6619843
Guardadocio	id=g:6619844
Dos Negro	id=g:6619845
Col di Castion	id=g:6619846
Palinegra	id=g:6619847
Lavachel	id=g:6619848
Grignetta	id=g:6619859
Folgarida	id=g:6620302
Candeli	id=g:6620303
Mortelle	id=g:6620305
Cenerente	id=g:6620307
Torvaianica	id=g:6620312
San Niccolo	id=g:6620313
Marina di Pescoluse	id=g:6620314
Savelletri	id=g:6620316
Torre Canne	id=g:6620317
Capraia Fiorentina	id=g:6620318
Covigliaio	id=g:6620325
Ospedaletto	id=g:6620342
Bagni di Tabiano	id=g:6620343
Albergo Streva	id=g:6620490
Diga di Speccheri	id=g:6620491
Passo Pian delle Fugazze	id=g:6620501
Piano di Vallarsa	id=g:6620502
Parrocchia di Vallarsa	id=g:6620503
Foxi	id=g:6620504
Anghebeni	id=g:6620505
Zocchio	id=g:6620506
Spino	id=g:6620507
San Giorgio	id=g:6620961
Apigliano	id=g:6620962
Feudo Grande	id=g:6620964
Campana	id=g:6620966
Villa Comunale Zollino	id=g:6620967
Zona Industriale Zollino	id=g:6620968
Lumardu	id=g:6620970
Campo Comunale Zollino	id=g:6620972
Scuola Elementare Zollino	id=g:6620973
Cappella S. Anna	id=g:6620974
Chiesa S.S. Pietro e Paolo Apostoli	id=g:6620975
Menhir S. Anna	id=g:6620976
Menhir Stazione	id=g:6620978
Colonna votiva di San Pietro	id=g:6620979
Monumento ai Caduti in Guerra	id=g:6620980
Cappella Madonna di Loreto	id=g:6620981
Cappella San Lorenzo	id=g:6620982
Ufficio Postale Zollino	id=g:6620983
Centro Anziani Zollino	id=g:6620984
Cimitero Comunale Zollino	id=g:6620985
Stazione Ferroviaria FSE Zollino	id=g:6620986
Monastero Santa Maria della Consolazione	id=g:6620994
Cimitero Comunale Sternatia	id=g:6620995
Campo Comunale Sternatia	id=g:6620996
Idro	id=g:6620997
Frassanito	id=g:6620998
Specchiulla	id=g:6620999
Sant'Andrea	id=g:6621000
Porto Sant'Andrea	id=g:6621001
Due Sorelle	id=g:6621002
Orsetta	id=g:6621003
I Tamari	id=g:6621004
La Sorgente	id=g:6621005
La Punta	id=g:6621006
Torre Saracena	id=g:6621007
Il Canale	id=g:6621008
Alimini	id=g:6621009
Le Cesine	id=g:6621010
Golf Club Acaya	id=g:6621011
Acaya	id=g:6621012
Giardini di Atena	id=g:6621013
Campo Comunale Merine	id=g:6621014
Stazione Ferroviaria FSE Sternatia	id=g:6621015
Villa Comunale Sternatia	id=g:6621016
Centro Commerciale Cavallino	id=g:6621017
Torre Sant'Andrea	id=g:6621018
Grotta Zinzulusa	id=g:6621020
Ciolo	id=g:6621021
Punta Mèliso	id=g:6621022
Capilungo	id=g:6621023
Torre Suda	id=g:6621024
Marina di Mancaversa	id=g:6621025
Baia Verde	id=g:6621026
Aereoporto Lecce Lepore	id=g:6621027
Cementificio Colacem Galatina	id=g:6621028
Ristorante 2 Laghi	id=g:6621029
Colonie	id=g:6621030
Palude Traguano	id=g:6621031
Lu Strittu	id=g:6621032
Fontanelle	id=g:6621034
Torre Specchia	id=g:6621035
Roca Vecchia	id=g:6621037
Torre Fiumicelli	id=g:6621038
Torre Santo Stefano	id=g:6621040
Torre Santo Stefano	id=g:6621041
Castello di Otranto	id=g:6621043
La Conca	id=g:6621044
Kartodromo La Conca	id=g:6621045
Pista Prototipi Nardò	id=g:6621046
San Luigi dei Francesi	id=g:6621063
La Poesia	id=g:6621064
Il Tafaluro	id=g:6621065
Pepe	id=g:6621066
Castello di Corigliano d'Otranto	id=g:6621067
Villaggio Conca Specchiulla	id=g:6621068
Frassanito	id=g:6621069
Torre del Serpe	id=g:6621070
Orte	id=g:6621071
Secca Missipezza	id=g:6621072
Torre Sant'Emiliano	id=g:6621073
Pozzelle	id=g:6621075
Cappella San Giovanni	id=g:6621076
Cappella San Giuseppe	id=g:6621077
Scuola Media Zollino	id=g:6621078
Cappella San Vito	id=g:6621079
Palazzo Raho	id=g:6621080
Biblioteca Comunale Zollino	id=g:6621081
Il Calvario	id=g:6621082
Opere Parrocchiali Zollino	id=g:6621083
Cappella Santi Medici	id=g:6621084
Ampeli	id=g:6621085
Muzza	id=g:6621086
Municipio Zollino	id=g:6621087
Masseria Le Lame	id=g:6621088
Zona Industriale Borgagne	id=g:6621089
Chiesa Parrocchiale Presentazione del Signore	id=g:6621090
Palazzo Petraroli	id=g:6621091
Villa Comunale Borgagne	id=g:6621092
Villa Comunale Martano	id=g:6621093
Parco Giochi Martano	id=g:6621094
ISISS Salvatore Trinchese	id=g:6621095
Palazzo Baronale	id=g:6621096
Campo Comunale Martano	id=g:6621097
Cimitero Comunale Martano	id=g:6621098
Poliambulatorio Martano	id=g:6621099
Chiesa Madonna dell'Assunta	id=g:6621100
Torre Pali	id=g:6621101
Torre Mozza	id=g:6621102
Torre Vado	id=g:6621103
Torre Marchiello	id=g:6621104
Marina di Felloniche	id=g:6621105
Marina San Gregorio	id=g:6621106
Torre dell'Omomorto	id=g:6621107
Torre Montelungo	id=g:6621108
Novaglie	id=g:6621109
Torre del Ricco	id=g:6621110
La Guardiola	id=g:6621111
Torre Nasparo	id=g:6621112
Torre Palane	id=g:6621113
Torre del Sasso	id=g:6621114
Torre Porto di Ripa	id=g:6621115
Torre Lupo	id=g:6621116
Acquaviva	id=g:6621117
Museo Naturalistico Marittima	id=g:6621118
Torre di Porto Miggiano	id=g:6621119
Torre Minervino	id=g:6621120
Torre Badisco	id=g:6621121
Faro di Porto Cesareo	id=g:6621123
Scavi Archeologici Apigliano	id=g:6621124
Torre Squillace	id=g:6621125
Torre Uluzzo	id=g:6621126
Le Quattro Colonne	id=g:6621127
Torre Santa Caterina	id=g:6621128
Torre dell'Alto Lido	id=g:6621129
Torre Sabea	id=g:6621130
Stadio Comunale Gallipoli	id=g:6621131
Torre San Giovanni delle Padata	id=g:6621132
Torre Suda	id=g:6621133
Torre San Giovanni	id=g:6621134
Villa Chiriatti	id=g:6621135
Villa Tondi	id=g:6621136
Frantoio Ipogeo	id=g:6621137
Chiesa Matrice S.S. Assunta	id=g:6621138
Palazzo Granafei	id=g:6621139
Complesso Domenicano	id=g:6621140
Chiesetta di San Vito	id=g:6621141
Cappella Madonna delle Grazie	id=g:6621142
Frantoio Ipogeo Sternatia	id=g:6621143
Palazzo Dellanos	id=g:6621144
Castromediano	id=g:6621145
Villa Comunale Lecce	id=g:6621146
Anfiteatro Romano	id=g:6621147
Il Sedile	id=g:6621148
Colonna Sant'Oronzo	id=g:6621149
Piazza Mazzini	id=g:6621150
Stadio Via del Mare	id=g:6621151
Stazione Ferroviaria Lecce	id=g:6621152
Zona Industriale Lecce	id=g:6621153
Giorgilorio	id=g:6621154
Frantoio Semi-Ipogeo	id=g:6621157
Vereto	id=g:6621158
Torre Mozza	id=g:6621159
Fontanelle	id=g:6621160
Serra Vereto	id=g:6621161
Cardigliano	id=g:6621162
Serra di Specchia	id=g:6621163
Serra Campana	id=g:6621164
Serra dei Cianci	id=g:6621165
Campo Comunale Galugnano	id=g:6621171
Torre Colimena	id=g:6621175
Punta Prosciutto	id=g:6621176
Torre Castiglione	id=g:6621177
Torre di Chianca	id=g:6621178
Torre Colimena	id=g:6621180
Torre Borraco	id=g:6621181
Torre della Salina	id=g:6621182
Torre San Pietro in Bevagna	id=g:6621183
Torre delle Moline	id=g:6621184
Torre Sgarrata	id=g:6621185
Torre Saturo	id=g:6621186
Torre Castelluccia	id=g:6621187
Monte Cofano	id=g:6621375
Sant'Andrea Bonagia	id=g:6621376
Macari	id=g:6621377
Punta Marsala	id=g:6621378
Cala Azzurra	id=g:6621379
Punta Sottile	id=g:6621380
sieci	id=g:6621384
Borgo Santa Rita	id=g:6621385
Montecatini Alto	id=g:6621391
Chiesa Parrocchiale Soleto	id=g:6621481
Porta San Vito	id=g:6621482
Monumento in memoria dei Caduti	id=g:6621483
Cimitero Comunale Soleto	id=g:6621484
Villa Comunale Soleto	id=g:6621485
Campo Comunale Maglie	id=g:6621486
Serre di Martignano	id=g:6621487
Chiesa Matrice Martignano	id=g:6621488
Cappella San Giovanni Battista	id=g:6621489
Palazzo Palmieri	id=g:6621490
Municipio Martignano	id=g:6621492
Cimitero Comunale Martignano	id=g:6621493
Largo Pozzelle	id=g:6621494
Monte Borghetto	id=g:6621587
Pacengo di Lazise	id=g:6621588
Portese	id=g:6621589
Laghi di Sibari	id=g:6621590
Parco Nazionale del Cilento e Vallo di Diano	id=g:6621591
Abbazia San Galgano	id=g:6621592
Klobenstein	id=g:6621593
Campu Longu	id=g:6621594
Villasimius - Campu Longu	id=g:6621595
ppp	id=g:6621596
Sankt Jakob in Gröden	id=g:6621597
Tanas	id=g:6621598
Tschengls	id=g:6621599
Fontana Candida	id=g:6621606
Lago di Traiano	id=g:6621611
Monticelli Terme	id=g:6639617
antria	id=g:6639634
Gavignano	id=g:6639635
Montemerlo	id=g:6639636
Sant'Antimo	id=g:6639637
Palazzo Rosso	id=g:6639638
Hotel Ca' Nigra	id=g:6639676
Marina dei Ronchi	id=g:6639959
Casciano	id=g:6639960
Issengo	id=g:6639961
Lido di Liccola	id=g:6639962
Lenzumo	id=g:6640027
GeoSolutions	id=g:6640063
Cima Cop di Breguzzo	id=g:6640203
Punta San Matteo	id=g:6640204
Lorchen-Spitz	id=g:6640205
Monte Denervo	id=g:6640207
Monte Spino	id=g:6640208
Cima Spessa	id=g:6640209
Dosso Alto	id=g:6640210
Monte Misone	id=g:6640211
Cima Comer	id=g:6640212
Cima Pari	id=g:6640213
Monte Altissimo	id=g:6640214
Monte Amolo	id=g:6640215
Punta delle Redutte	id=g:6640216
Monte Cerbiolo	id=g:6640217
Cima delle Pozzette	id=g:6640218
Cima Margherita	id=g:6640219
I Rossati	id=g:6640220
Cima Laione	id=g:6640221
Monte Listino	id=g:6640222
Monte Monoccola	id=g:6640223
Monte Re di Castello	id=g:6640224
la Uzza	id=g:6640225
Cima di Valbona	id=g:6640226
Corno di Vigo	id=g:6640227
Corno di Mezzo	id=g:6640228
Crozzon di Lares	id=g:6640229
Lobbia alta	id=g:6640230
Monte Mandron	id=g:6640231
Corno di Lago Scuro	id=g:6640232
Croda Grande	id=g:6640237
Monte Pizzoc	id=g:6640238
Piz di Sagron	id=g:6640239
Sass de Mura	id=g:6640240
Monte Pavione	id=g:6640241
Monte Mezza	id=g:6640242
Cima Dodici (Ferozzo)	id=g:6640243
Costalta (Cima Manderiolo)	id=g:6640244
Cima Vigolana	id=g:6640245
Calmuz	id=g:6640246
Monte Menicigolo	id=g:6640253
Lago Mandron	id=g:6640254
Lago Ghiacciato	id=g:6640255
Laghetto di Lares	id=g:6640256
Lago d'Avio	id=g:6640257
Lago Benedetto	id=g:6640258
Laghetto dei Frati	id=g:6640259
Lago di Venerocolo	id=g:6640260
Lago Pantano dell'Avio	id=g:6640261
Corno Guzza	id=g:6640262
Corno Vecchio	id=g:6640263
Lago d'Arno	id=g:6640264
Cima Sera	id=g:6640265
Cima Valdes	id=g:6640266
Cima di Marogna	id=g:6640267
Cima Scalpe	id=g:6640268
Monte Zingla	id=g:6640269
Monte Puria	id=g:6640270
Monte Serenità	id=g:6640271
Monte Pizzocolo	id=g:6640272
Bivacco 2 Arceri	id=g:6640273
Rifugio Marchetti	id=g:6640274
Rifugio Bindesi "P. Prati"	id=g:6640275
Cima Mughera	id=g:6640276
Cima Bandiera	id=g:6640277
Rifugio Altissimo "D. Chiesa"	id=g:6640278
Rifugio Antermóia	id=g:6640279
Rifugio Boè	id=g:6640280
Rifugio Cima d'Asta "O. Brentari"	id=g:6640281
Rifugio Carè Alto "D. Ongari"	id=g:6640282
Rifugio Casarota "L. Ciola"	id=g:6640283
Rifugio Cevedale "G. Larcher"	id=g:6640284
Rifugio Ciampedie	id=g:6640285
Rifugio Stavèl "F. Denza"	id=g:6640286
Rifugio Saènt "S. Dorigoni"	id=g:6640287
Rifugio Finonchio "F.lli Filzi"	id=g:6640288
Rifugio Grostè "G. Gràffer"	id=g:6640289
Rifugio Alpe Pozza "V. Lancia"	id=g:6640290
Rifugio Mandrón "Città di Trento"	id=g:6640291
Rifugio Paludei	id=g:6640292
Rifugio Péller	id=g:6640294
Rifugio Bocca di Trat "N. Pernici"	id=g:6640295
Rifugio Roda di Vael	id=g:6640296
Rifugio Rosetta "G. Pedrotti"	id=g:6640297
Rifugio Monte Calino "San Pietro"	id=g:6640298
Rifugio Val d'Ámola "G. Segantini"	id=g:6640299
Rifugio Sette Selle	id=g:6640300
Rifugio Monzóni "T.Taramelli"	id=g:6640301
Rifugio Spruggio "G. Tonini"	id=g:6640302
Rifugio Vaiolet	id=g:6640303
Rifugio Val di Fumo	id=g:6640304
Rifugio Velo della Madonna	id=g:6640305
Rifugio Vioz "Mantova"	id=g:6640306
Castelletto di Brenzone	id=g:6640307
Corno d'Aquiglio	id=g:6640308
Dosso Pagano	id=g:6640309
Fontana delle Roggiole	id=g:6640310
Gerno di Lesmo	id=g:6640316
Monte Rossola	id=g:6640332
Punta del Venerocolo	id=g:6640333
Monte Venezia	id=g:6640334
Costaccia	id=g:6640336
Cima Presena	id=g:6640337
Cima del Zigolon	id=g:6640338
Gran Vernel	id=g:6640339
Piz Boe	id=g:6640340
Lago della Vacca	id=g:6690106
Sant'Agostino	id=g:6690142
Forte Belvedere	id=g:6690174
Hochgewänd	id=g:6690242
Cima d'Oro	id=g:6690243
Panarea	id=g:6690281
Centre for Alpine Ecology	id=g:6690327
Monte Finonchio	id=g:6690333
Col Santo di Dentro	id=g:6690334
Col Santo	id=g:6690335
Dosso Santa Cristina	id=g:6690336
Monte Verena	id=g:6690337
Terza Cima	id=g:6690338
Schlivlalai Spitz	id=g:6690344
Monte Ruioch	id=g:6690345
Torre di Brenta	id=g:6690347
Cima dei Armi	id=g:6690348
Cima Soran	id=g:6690349
Croz del Rifugio	id=g:6690350
Cima Sparaveri	id=g:6690351
Monte Cresole	id=g:6690352
Col Rodella	id=g:6690353
Rifugio Col Rodella	id=g:6690354
Rifugio des Alpes	id=g:6690355
Weiss Spitz	id=g:6690356
Hubnerspiel	id=g:6690357
Rolspitze	id=g:6690358
Wolfendorn	id=g:6690359
Karnspitz	id=g:6690360
Hasenohrl	id=g:6690365
Cima dei Bureloni	id=g:6690366
Campanile di Focobon	id=g:6690367
Monte Castelletto	id=g:6690368
Cima del Frate	id=g:6690369
Cimon di Val Moena	id=g:6690370
Monte Fregasoga	id=g:6690371
Latemar Spitze	id=g:6690372
Mittl. Pederspitz	id=g:6690373
Vertainspitze	id=g:6690374
