Shīv-ā Hiskt	id=g:446063
Jabal Khābūrī	id=g:448775
‘Arab Tarkī	id=g:448776
Jazīrat ash Shāmīyah	id=g:448777
Arāḑī Ḩadaybīyah	id=g:448778
Qaryat al Majarrah	id=g:448779
Tulūl ad Dawaysī	id=g:448780
Mukhayyamāt aş Şayyādīn	id=g:448781
Minţaqat Lajmah	id=g:448782
Minţaqat al ‘Ankūr	id=g:448783
Jabal aş Şāḩī	id=g:448784
Tilāl as Saḩl	id=g:448785
Minţaqat as Saḩl	id=g:448786
Minţaqat al Buḩayrah	id=g:448787
Jazīrat Jawayyat Maḩmūd	id=g:448788
Jazīrat al Kunayţarah	id=g:448789
Wādī al Buḩayrah	id=g:448790
Minţaqat al Ghurr	id=g:448791
Tall al Ghawr	id=g:448792
Arāḑī Umm ash Shaţţī	id=g:448793
Arāḑī Umm al ‘Awn	id=g:448794
Fawwāz ad Dāwud	id=g:448795
Arāḑī al ‘Ukaylī	id=g:448796
Nahr al ‘Īsāwī	id=g:448797
‘Alī Sa‘d	id=g:448798
Ālbū Fahd	id=g:448799
‘Alī ad Dalaf	id=g:448800
Ālbū ‘Īsá	id=g:448801
‘Alī Wāwī	id=g:448802
Tall Umm al Ḩīţān	id=g:448803
Ālbū ‘Alwān	id=g:448804
Tall Fardah	id=g:448805
Bakr Fayyāḑ	id=g:448806
Qarghūl	id=g:448807
Tall Wad‘ān	id=g:448808
‘Abd Ibrahīm	id=g:448809
Tall Murūt	id=g:448810
Wādī Būrukaybah	id=g:448811
‘Alī as Sulaymān	id=g:448812
Nahr ash Shaykh ‘Alī as Sulaymān	id=g:448813
‘Alī Sulaymān	id=g:448814
‘Ubayd aţ Ţa‘‘ān	id=g:448815
Muḩammad as Sulţān	id=g:448816
‘Alī aş Şāliḩ	id=g:448817
Bayt aţ Ţawlah	id=g:448818
Madrasat al ‘Irāq	id=g:448819
Rabī‘ ‘Alī al Ḩamādī	id=g:448820
‘Abd ‘Alū al Ḩilw	id=g:448821
Ḩamīd as Sulţān	id=g:448822
Tall Misţarah	id=g:448823
Khalaf ‘Alwān	id=g:448824
Muḩammad Khuraybiţ	id=g:448825
Muḩammad as Sulţān	id=g:448826
Tall al Milqaţ	id=g:448827
Tall Ḩālah	id=g:448828
Tall Kasr	id=g:448829
Ḩusayn Suhayl	id=g:448830
Tall Muhr	id=g:448831
Al Hawr	id=g:448832
Muḩammad Ţāhir	id=g:448833
Nahr Ḩasan as Sahl	id=g:448834
Tall Faḑr	id=g:448835
Tall Gamr	id=g:448836
Nahr Jāsim as Sulţān	id=g:448837
Nahr Zagm	id=g:448838
Tall al ‘Amūd	id=g:448839
Ibrāhīm Ḩusayn al Kurhaynī	id=g:448840
‘Alī al Aḩmad	id=g:448841
Tall al Kusayr	id=g:448842
Tall Abū Ţabūn	id=g:448843
Mahdī an Najm	id=g:448844
Al Hājj ‘Abbās an Naşīf	id=g:448845
‘Aţīyah al ‘Alī	id=g:448846
Aḩmad al Ḩamādī	id=g:448847
Ḩasan Aḩmad	id=g:448848
Hādī Suhayl	id=g:448850
Maḩmūd Ḩasan al ‘Ābid	id=g:448851
Khalīfah al Ja‘āţah	id=g:448852
Muḩammad Ḩasan as Sālim	id=g:448853
An Nadāwāt	id=g:448854
Laţīf al Hadī	id=g:448855
‘Abbūd Shihāb	id=g:448856
‘Abbūd al Jāsim	id=g:448857
‘Abd Ḩasan al Kazā‘	id=g:448858
Farhūd al Ḩammādī	id=g:448859
Şāliḩ al Muḩammad	id=g:448860
Ibrāhīm aş Şāliḩ	id=g:448861
Muḩammad al Ḩusayn	id=g:448862
‘Abd ‘Alī	id=g:448863
Tawfīq Ḩusayn al Kāz̧im	id=g:448864
Şabāḩ Karīm Darwīsh	id=g:448865
‘Abbās Mullā ‘Alwān	id=g:448866
‘Abbās al Wādī	id=g:448867
Jamāl al ‘Azīz	id=g:448868
Khalaf al Ḩamādī	id=g:448869
Jamīl Şabrī	id=g:448870
Aḩmad al ‘Alwān	id=g:448871
Ghāzī ‘Abd al Karīm	id=g:448872
Al ‘Uthmān	id=g:448873
Shākir as Sa‘īd	id=g:448874
‘Abd al Karīm ‘Uthmān	id=g:448875
Ālbū ‘Āmir	id=g:448876
Al Mi‘mār	id=g:448877
Ra’ūf al Kubaysī	id=g:448878
As Suraydāt	id=g:448879
Tall al Būlah	id=g:448880
Fahd as Saţţām	id=g:448881
Alḩamīdīyah ash Shamālīyah	id=g:448882
Tall Abū al Jāmūs	id=g:448883
Hāshim an Naqīb	id=g:448884
Miḑakhkhat Mā’ Yūsif al ‘Uraysān	id=g:448885
Muḩammad Bāqir	id=g:448886
Muḩammad Ḩasan	id=g:448887
Tall Şāliḩ Ibrāhīm	id=g:448888
‘Abbās al Ḩusayn	id=g:448889
Al Ḩājj Sulaymān	id=g:448890
‘Arab Şāliḩ al Ḩasan	id=g:448891
Ālbū Ḩamdān	id=g:448892
Tall Faras	id=g:448893
Tall al Farāshah	id=g:448894
‘Alī al Mu‘aybidī	id=g:448895
Ibrāhīm al Ḩasan	id=g:448896
Īshān Ḩassūn	id=g:448897
Qarīyat al Farāshīyah	id=g:448898
Tall al Aḩmar	id=g:448899
Muḩaymīd	id=g:448900
Tall Abū Shakar	id=g:448901
Tall al Abyaḑ	id=g:448902
‘Arab Jalūb	id=g:448903
Ḩayy ‘Adan	id=g:448904
Ḩayy at Tarbiyah	id=g:448905
Madīnat as Salām	id=g:448906
Shaykh ‘Abd Allāh	id=g:448909
Tulūl Khaţţār	id=g:448910
Būb ash Shām	id=g:448911
Tall Būb ash Shām	id=g:448912
Nahr Būb ash Shām	id=g:448913
Ḩayy Būr Sa‘īd	id=g:448914
Muḩammad ‘Ulaywī al Khaţţāb	id=g:448915
Khalīl al Ḩājj Jāsim	id=g:448916
Ḩayy ar Rashīd	id=g:448917
Hādī al Fahd	id=g:448918
Shākr Ḩamīd al Wajab	id=g:448919
Ālbū Birghūth	id=g:448920
Fāḑil Nasīf	id=g:448921
Kāmil al Wazūr	id=g:448922
Maḩmūd al ‘Ūd	id=g:448923
Ḩayy al ‘Adl	id=g:448924
Ḩayy al ‘Āmil	id=g:448925
Ḩayy ash Shurţah	id=g:448926
Ḩayy aţ Ţayarān	id=g:448927
Ḩayy Işlāḩ	id=g:448928
Mal‘ab ash Sha‘b	id=g:448929
Madīnat al Al‘āb	id=g:448930
Ḩayy aḑ Ḑubbāţ	id=g:448931
Filasţīn	id=g:448932
Khālid Bin al Walīd	id=g:448933
Ḩayy Sab‘ah Nīsān	id=g:448934
Ḩayy al Qādisīyah	id=g:448935
Farḩān al Ḩarāk	id=g:448936
Dawīrshān	id=g:448937
Ḩamad aḑ Ḑārī	id=g:448938
Ālbū ‘Īsá	id=g:448939
Mullā Khalaf	id=g:448940
Tall Tarājif	id=g:448941
Wihāb	id=g:448942
‘Arab ‘Abd al Karīm	id=g:448944
Khān Ḑārī	id=g:448945
Tall Şūwayliḩ	id=g:448946
Tulūl al Kharnābāt	id=g:448947
Tall Shāfī	id=g:448948
Tall Abū Şafā	id=g:448949
Tall Kawm Jarbah	id=g:448951
Ḩayy al Aţibbā’	id=g:448952
Tall ar Rukhşah	id=g:448953
Madinat al ‘Āmirīyah	id=g:448954
Tall Raml	id=g:448955
‘Ayn Mushāhir	id=g:448956
Ḩayy al Kindī	id=g:448957
Al Fārūq	id=g:448958
Āl Sabtī	id=g:448959
Al Maşlūḩah	id=g:448960
Tall ‘Alāwī	id=g:448961
Rūk ‘Alwān	id=g:448962
‘Ubayd Shāwī	id=g:448963
Ath Thalāthat Āl ‘Ayyāsh	id=g:448964
Banī ‘Ārif	id=g:448965
Sayyid Ḑāḩī	id=g:448966
Muḩaysin Āl Ţullāb	id=g:448967
Az Zawīyah	id=g:448968
Ḩamad al Jāsim	id=g:448969
Fayḑī as Salmān	id=g:448970
Muḩammad ‘Alwān	id=g:448971
Ibrāhīm an Naqīb	id=g:448972
‘Abd ar Raḩman an Naqīb	id=g:448973
Qal‘at as Sālim	id=g:448974
Tall Ablīghah	id=g:448975
Manzil as Sayyid Aḩmad	id=g:448976
Maḩmūd ash Shāwī	id=g:448977
Muḩammad Maşţafá al Magşūd	id=g:448978
Zaydān al Khalaf	id=g:448979
Muḩammad Sayyid ‘Īsá	id=g:448980
Salīm as Salmān al Khalaf	id=g:448981
Şāliḩ al Ward	id=g:448982
Wārid an Nadá	id=g:448983
Ţu‘mah al Kāz̧im	id=g:448984
Muḩammad al Mullā Ḩusayn	id=g:448985
Jamīl al Wādī	id=g:448986
Tall Ikhrayzāt	id=g:448987
Tall Abū Şabkhah	id=g:448988
Ḩayy al Athūriyīn	id=g:448989
Tall Abū Ḑibā‘	id=g:448990
Ḩayy al Iqtişādīyīn	id=g:448991
Kāz̧im Mullā Muḩammad	id=g:448992
Ḩayy Risālat ath Thālith	id=g:448993
Tall Kubayb	id=g:448994
Madīnat al Bayyāʻ	id=g:448995
Ḩasan ash Shāhīn	id=g:448996
Al Kuray‘āt	id=g:448997
Ḩamīd az Zattār	id=g:448998
Z̧āhir al Ḩabīb	id=g:448999
Aḩmad ad Daydāl	id=g:449000
‘Abd ar Riḑā ‘Ulaywī	id=g:449001
Minţaqat Āl Farţūs	id=g:449002
Sayyid Fātik	id=g:449003
Ālbū Suway‘īd	id=g:449005
Ḩamīd Muhajjah	id=g:449006
Āl Bū Ḩamūd	id=g:449007
Jamīl ‘Ulj	id=g:449008
‘Ulaywī Āl Furaym	id=g:449009
Farrūd Ghuḑayb	id=g:449010
Tūmān Daḩḩām	id=g:449011
Āl Farţūs	id=g:449012
‘Arab Mullā Z̧āhir	id=g:449013
Īshān Abū Dajāj	id=g:449014
Īshān Rawghān	id=g:449015
Īshān az Zubayrīyāt	id=g:449016
Aş Şalībīyāt	id=g:449017
Īshān al Maţarīyah	id=g:449018
Ālbū ‘Āmir	id=g:449019
Īshān ad Duwaysh	id=g:449020
Al Khums	id=g:449021
Dīwān Āl Hutayn	id=g:449022
Āl Shibl	id=g:449023
Al Jadū‘īyah	id=g:449024
Al Ghizālī	id=g:449025
Al Aḩaymir	id=g:449026
Al Jazrah	id=g:449027
Al ‘Abbūdah	id=g:449028
Umm Ni‘āj	id=g:449029
Qaryat al Mu‘ayrah	id=g:449030
Aş Şāḩī	id=g:449031
Āl Shibl	id=g:449032
Al Ma‘yarah	id=g:449033
Hawr aş Şaqlāwīyah	id=g:449034
Tall Amhūs	id=g:449035
Imām Sayyid Darwīsh	id=g:449036
Jisr Qanz̧arat Raḩīm	id=g:449037
Aḩmad Farḩān	id=g:449038
Ţarīq Abū Samīḩ	id=g:449039
Tall Najm	id=g:449041
Maqbarat Shāhir	id=g:449042
Tall ar Raḩah	id=g:449043
Tall Dallah	id=g:449044
Tall Mulḩim	id=g:449045
Ibrāhīm al Muḩammad	id=g:449046
Tall Baţţah	id=g:449047
Tall Umm Kufayshah	id=g:449048
Tall Abū Jāwan	id=g:449049
Īshān ath Thawrah	id=g:449050
Ḩamad ash Shallāl	id=g:449051
Tall ‘Akar	id=g:449052
Nazl Imhāwish	id=g:449053
Tall Abū Bilād	id=g:449054
Ḩuḑayr Ḩammādī	id=g:449055
Al Jaybaḩī	id=g:449056
Shunaytir al Kāz̧im	id=g:449057
Ḩamīd al ‘Ūd	id=g:449058
‘Abbās al ‘Alī	id=g:449059
Mīr Gayţān	id=g:449060
Ālbū Ḩamdān	id=g:449061
Khaḑīr Muḩammad Alī	id=g:449062
Rashīd Buwaysim	id=g:449063
Muşliḩ ad Da‘‘ār	id=g:449064
Tall al Janābāt	id=g:449065
Tall al Khiyāmīyāt	id=g:449066
Tall Nuwāb	id=g:449068
Ālbū ‘Ajīl	id=g:449069
Qal‘at Muḩammad ad Dulaymī	id=g:449070
Ḩusayn as Salmān	id=g:449071
Ash Shursh	id=g:449072
Ridām Āl Marzūk	id=g:449073
Al Ḩājj Ţalāl ‘Alī	id=g:449074
Rashīd ‘Awwād	id=g:449075
Tall Ḩadīd	id=g:449076
Qal‘at Ja‘far	id=g:449077
Qal‘at Ghāfil	id=g:449078
Qaryat Tall as Samar	id=g:449079
Tall Kharmīţ	id=g:449080
Qaryat al ‘Awābid	id=g:449081
Qal‘at Ibrāhīm	id=g:449082
Kānī Nāşir	id=g:449083
Aş Şabghān	id=g:449084
‘Abd Āl Ni‘mah	id=g:449085
Rashīd Jāsim	id=g:449086
Al ‘Ankūshī	id=g:449087
Jawād Hāshim	id=g:449088
Marzūk Āl ‘Awwād	id=g:449089
Ash Shallāḩ	id=g:449090
‘Arīshah	id=g:449091
Az Zu‘ayrī	id=g:449092
Al Ḩumaydāt	id=g:449093
Qaryat Ālbū Nāşir	id=g:449094
Kāz̧im ‘Abd az Zahrah	id=g:449095
Al A‘aywir	id=g:449096
Āl Baţţah	id=g:449097
Ālbū Zarkah	id=g:449098
Ālbū Şāliḩ	id=g:449099
Āl al ‘Afālijah	id=g:449100
Al ‘Uḑāmah	id=g:449101
Ar Rayyāth	id=g:449102
Āl Khalīfah	id=g:449103
Ḩusayn Āl Khamzah	id=g:449104
Al ‘Abbāsīyāt	id=g:449105
Qaryat al Ma‘mal	id=g:449106
Jihād Sharajī	id=g:449107
Rābiḩ ‘Aţīyah	id=g:449108
Al Khashshānīyah	id=g:449109
Al ‘Ayn	id=g:449110
Al ‘Addūsīyah	id=g:449111
Al Huwwah	id=g:449112
Al Jaflāwīyah	id=g:449113
Sayyid Wadā‘ah	id=g:449114
Al Mihnāwīyah	id=g:449115
Al Habsh	id=g:449116
Al Māliḩah	id=g:449117
Abū Dhahab Riyāḩ	id=g:449118
Aş Şulayḩāt	id=g:449119
Al Harārī	id=g:449120
Umm Ra‘l	id=g:449121
Aş Şayhūdah	id=g:449122
Tulūl al Jalābiyāt	id=g:449123
Qal‘at as Sūwaydī	id=g:449124
Tall al Maqbarah	id=g:449125
Tall Sarīr	id=g:449126
Qal‘at Fāḑil	id=g:449127
Ibrāhīm Bak	id=g:449128
Sayyid Ţālib	id=g:449129
As Sūwaydī	id=g:449130
Ālbū ‘Āmir	id=g:449131
Tall al Farkhah	id=g:449132
Fāḑil Bak	id=g:449133
Al Ḩājj Ruhayţ	id=g:449134
‘Alwān Shallāl	id=g:449135
Ālbū Maḩī	id=g:449136
As Sādah Āl Ḩurayj	id=g:449137
Umm Sharāshīt	id=g:449138
Āl Yāsir	id=g:449139
Aţ Ţawīlah	id=g:449140
Īshān Laţīfah	id=g:449141
An Nakhīl	id=g:449142
Abū Balāmah	id=g:449143
Īshān al Kinzah	id=g:449144
Qaryat al Khazā‘il	id=g:449145
Ash Shalāfīyah	id=g:449146
Qaryat Mazra‘at ad Dawlah	id=g:449147
Āl Ka‘d	id=g:449148
Ḩasan an Naqīb	id=g:449149
Bustān ‘Alī Ḩamzah	id=g:449150
Tall Abū Gaḩūf	id=g:449151
Majīd ar Rummān	id=g:449152
Ālbū ‘Ansah	id=g:449153
Fāliḩ al ‘Azāwī	id=g:449154
Minţaqat ar Rawāshid	id=g:449155
Maţlab Maḩmūd	id=g:449156
Minţaqat ‘Ufayşān	id=g:449157
Tulūl Halīl	id=g:449158
Minţaqat al Laţīfīyah	id=g:449159
Tulūl ar Ramūl	id=g:449160
Tulūl Sa‘īd	id=g:449161
Minţaqat al Jarāshīyah	id=g:449162
Minţaqat al ‘Azāwīyah	id=g:449163
Mashrū‘ al Musayyib al Kabīr	id=g:449164
Minţaqat aţ Ţāhirīyah	id=g:449165
Arāḑī Jam‘īyat at Taḩrīr	id=g:449166
Minţaqat Abū Dam	id=g:449167
Minţaqat al Ka‘kākīyah	id=g:449168
Minţaqat aţ Ţarfāwīyah	id=g:449169
Minţaqat al Lawz	id=g:449170
Qaryat Abū ‘Ajāj	id=g:449171
Qaryat ‘Ubayd Ḩusayn	id=g:449172
Minţaqat al Fanadīyah	id=g:449173
Minţaqat al Khātūnīyah	id=g:449174
Minţaqat Ālbū ‘Alwān	id=g:449175
Tall Khirbat Yāsah al Atharī	id=g:449190
Hirshānīyah	id=g:449191
Muthalthah	id=g:449192
Wādī Thawr	id=g:449193
Wādī Abū Walī aş Şaghīr	id=g:449194
Wādī Abū Walī al Kabīr	id=g:449195
Wādī as Sajlah	id=g:449196
Wādī Sahl al Ḩilū	id=g:449197
Wādī Amlaḩ	id=g:449198
Wādī Khurmir	id=g:449199
Wādī Abū Chahfah	id=g:449200
Wādī Khirjat Bāk	id=g:449201
Wādī an Nashawīyah	id=g:449202
Wādī Hilūm	id=g:449203
Wādī Māmil Ḩilūm	id=g:449204
Qaryat al ‘Ankūr	id=g:449205
Wādī Khirbat Ḩumrah	id=g:449206
Aḩmad al Bandar	id=g:449207
Minţaqat ar Rawḑah	id=g:449208
Wādī ‘Aḑāḑah	id=g:449209
Bustān Muḩammad Hāshim al Mukhlif	id=g:449210
Wādī at Tarāwīḩ	id=g:449211
Tall Ḩamad Āghah	id=g:449212
Wādī Farḩān	id=g:449213
Wādī Karbīr	id=g:449214
Āl al Jabūz	id=g:449215
Al Jalābāt	id=g:449216
Jabūr	id=g:449217
Tall Ţalab	id=g:449218
Miyāḩ	id=g:449219
Āl Budayr	id=g:449220
Tall al Kayūlīyah	id=g:449221
Ālbū Badr	id=g:449222
Mayyah	id=g:449223
Hawr al ‘Awīfah	id=g:449224
Umm al Baţţ	id=g:449226
Minţaqat Ţawwī	id=g:449234
Minţaqat aş Şūfīyah	id=g:449235
Ālbū Fahd	id=g:449236
Ālbū Sawdah	id=g:449237
Ālbū Maḩl	id=g:449238
Ālbū Shubayn	id=g:449239
Ḩaql ‘Abd Khalīfah	id=g:449240
Minţaqat Ālbū Bālī	id=g:449241
Mustanqa‘ Māḩūz	id=g:449242
Shabakat Mabāzil Ālbū Bālī	id=g:449243
Mu‘askar aţ Ţāsh li Lāji’īn	id=g:449244
Minţaqat Zankūrah al Gharbīyah	id=g:449245
Qaryat Ālbū ‘Assāf	id=g:449246
Ālbū Chulayb	id=g:449247
Minţaqat Zankūrah Ālbū Julayb	id=g:449248
Abū Sālim al Aḩmad	id=g:449249
Wādī ath Thal‘ah	id=g:449250
Wādī as Sidr	id=g:449251
Sayyid Khayūn	id=g:449253
Āl Ibrāhīm	id=g:449254
Al Ḩājj Ru’ūf Shalash	id=g:449255
Āl Ibrāhīm	id=g:449256
Muşţafá al Ḩusayn	id=g:449257
Tall al Ḩumr	id=g:449259
Qaryat al Hadrah	id=g:449262
Baqūbah al Jadīdah	id=g:449263
Qaryat Umm al ‘Az̧ām	id=g:449264
Tall Mujaylībah	id=g:449268
‘Arab Sab‘	id=g:449269
Tall Majah Laybah aş Şaghīrah	id=g:449270
Tall Majah Laybah al Kabīrah	id=g:449271
Qaryat al Amīrīyah	id=g:449272
Imām Abū al Karam	id=g:449273
Jāsim Abū Ḩayyah	id=g:449275
Imām al Faraznī	id=g:449276
Ālbū Udaysh	id=g:449277
Zuhayrīyah	id=g:449278
Imām ‘Abd Allāh	id=g:449279
Mahdī al Ḩasan	id=g:449280
Murādīyat az Zahāwī	id=g:449281
Al Marāwīyah	id=g:449282
Tall Sa‘īdah	id=g:449283
Tall Abū al ‘Iz̧ām	id=g:449284
Muḩsin ‘Alwān	id=g:449285
Ibrāhīm	id=g:449286
Qaryat Abū Başal	id=g:449287
Ḩusayn al Aḩmad	id=g:449288
Murādīyah	id=g:449289
Sa‘ūd Salmān	id=g:449290
‘Alī Jājim	id=g:449292
Qaryat Sāwim	id=g:449293
Umm ar Rummān	id=g:449294
Qaryat al Kamālīyah	id=g:449295
Aḩmad al Mazbāt	id=g:449299
Qaryat ‘Alwān Mūsá	id=g:449300
Sayyid Khalīl	id=g:449301
Shaykh Zankī	id=g:449302
‘Arab Jamīl	id=g:449303
Abū Qīr	id=g:449304
Ḩusayn al ‘Alī	id=g:449305
Şabāḩ al Hindī	id=g:449306
Imām Abū Khamīs	id=g:449307
‘Azīz al Ḩasan	id=g:449309
Shaţab al Musā‘ad	id=g:449310
‘Ulaywī Khamīs	id=g:449311
Tall Abū Ḩaşwah	id=g:449312
Tall Farījah	id=g:449313
Tall Abū Tha‘ālib	id=g:449314
Abū Burayj	id=g:449316
Abū Ḩasrah	id=g:449317
Ḩasan al Kāz̧im	id=g:449318
Tall adh Dhahab	id=g:449319
Jabār Khamīs	id=g:449320
Darwīsh Ruwayḑ	id=g:449321
‘Alī aş Şāliḩ	id=g:449322
Tall al Bāqī	id=g:449323
Jalūb Juraymiţ	id=g:449325
Tulūl Abū Qīr	id=g:449326
Qaryat Jabār al ‘Alwān	id=g:449328
‘Arab Bayt Lu‘ayţ	id=g:449329
Muḩammad Khalfah	id=g:449331
‘Arab an Naqīb	id=g:449332
Abū ‘Anthūth	id=g:449333
‘Arab Shaţab	id=g:449335
Al Fāḑilīyah	id=g:449337
Khalaf Ibrāhīm	id=g:449338
Sab‘ al Khammās	id=g:449341
‘Abd al Hādī Maḩmūd	id=g:449342
Jawād al ‘Anbar	id=g:449343
Qaryat Abū Sīr	id=g:449344
Anşīf al Jāsim	id=g:449345
Qaryat ‘Alī al Bayyā‘	id=g:449346
Ḩusayn ‘Alī	id=g:449347
Dukūk al Khalaf	id=g:449348
Tulūl Şahab	id=g:449349
Tulūl ad Dajkah	id=g:449350
Tulūl ad Dajāj	id=g:449351
Qaryat Sab‘ata ‘Ashar Tammūz	id=g:449352
Qaryat az Zuhūr	id=g:449353
Ibrāhīm al Ghayn	id=g:449355
Qaryat Rāshid Zubār	id=g:449356
Qaryat al Intişār	id=g:449357
Minţaqat al Ḩalfāyah	id=g:449359
Qaryat ‘Aţaywah	id=g:449360
Al Ḩājj Ḩalūf al Balawī	id=g:449361
‘Arab Muḩammad al ‘Abbās	id=g:449362
‘Alī al Ḩasan	id=g:449363
Dāwud al Mūsá	id=g:449364
Tall Abū Ḩasan	id=g:449365
Ḩaḑar al ‘Abbās	id=g:449366
‘Abd Raḩīm	id=g:449367
Bunkalā Ḩājī Sa‘īd	id=g:3204886
As Sudayrah	id=g:6201143
Ḩayy al Muthanná	id=g:6201145
Sūq al Jadīd	id=g:6201146
Al Wazīrīyah	id=g:6201147
Al Maghrib	id=g:6201148
Ash Shuyūkh	id=g:6201149
Rāghibah Khātūn	id=g:6201150
Al Dabbaghkhanāh	id=g:6201151
Al Qaţţanah	id=g:6201152
At Tall	id=g:6201153
Shaykh Ḩamīd	id=g:6201154
Madinat ash Shu‘lah	id=g:6201155
Ḩayy Tūnis	id=g:6201156
Ḩayy al Mustanşirīyah	id=g:6201157
Shūrīyah	id=g:6201158
Ḩayy al ‘Ummāl	id=g:6201159
Al Jalā‘lţah	id=g:6201160
Ḩusayn al Khalīfah	id=g:6201161
Ḩayy Arba'at 'Ashar Tammūz	id=g:6201162
Najīb Bāshā	id=g:6201163
Rasḩid Attyah	id=g:6201164
‘Alwān al Ḩamīd	id=g:6201165
Arāḑī Za‘farānīyah	id=g:6201166
Arab as Saydīyah	id=g:6201167
Arab as Sa‘dīyah	id=g:6201168
Sālim al Ḩammādi	id=g:6201169
Ḩayy Bābil	id=g:6201170
At Tashrī	id=g:6201173
Ḩayy Al I‘lām	id=g:6201174
Ḩayy Sūmir	id=g:6201175
Mādīnat al ‘Ummāl	id=g:6201176
Ḩayy al Khalīj	id=g:6201177
Sadūn	id=g:6201178
Ḩayy an Niḑāl	id=g:6201180
Ḩayy al Amīn	id=g:6201181
‘Abd al ‘Awwād	id=g:6201182
Az Za‘farānīyah	id=g:6201183
Ḩayy al Mutanabbi	id=g:6201184
Ḩayy al Andalus	id=g:6201185
Zuwaynāt	id=g:6201186
Ḩayy al Furāt	id=g:6201187
Garţān	id=g:6201188
Ḩayy al Maʻrifah	id=g:6201189
Ālbū ‘Alwān	id=g:6201359
‘Izzat ‘Abbūd Al Gu‘ūd	id=g:6201360
‘Abd Al Ḩusayn Al Mūsawī	id=g:6201361
Ash Shā Ūrah Wa Ajdar	id=g:6201362
Madīnat ar Rashīd	id=g:6201363
Ūr	id=g:6201364
Ḩayy ash Sha‘b	id=g:6201365
Ḩayy Sūmar	id=g:6201366
Ash Shabāb	id=g:6201367
Ash Shaykh ‘Umar	id=g:6201368
Baghdad	id=g:6300124
Mosul	id=g:6300125
Shaibah / Basrah	id=g:6300126
Saddam Irq-Afb / Civ	id=g:6301810
Ālbū Diyā‘	id=g:6413936
Nahr al Malih	id=g:6413938
Wādī al Khaḑr	id=g:6413956
Arāḑī al Ḩamīr	id=g:6413982
Haḑbat Shaykh Mas‘ūd	id=g:6413983
Maḩaţţat Qiţār al Khālidīyat Taḩt al Inshā‘	id=g:6413984
Ḩaşībah ash Sharqīyah	id=g:6413985
Imām Shaykh Mas‘ūd	id=g:6413986
Ibrāhīm ‘Awīd	id=g:6413987
Jāmi‘ al Hidāyah	id=g:6413988
Wādī ‘Aşīb	id=g:6413989
Wādī al Hāyishah	id=g:6413990
Wādī al ‘Aşībī	id=g:6413991
Minţaqat al ‘Aşībī	id=g:6413992
Wādī as Sidrah	id=g:6413993
Kūmat al Jūdān	id=g:6413994
Maqbarat Kūmat al Jūdān	id=g:6413995
Wādī al Ḩūdhān	id=g:6413996
Wādī al Qal‘ah	id=g:6413999
Wādī as Sidr ash Sharqī	id=g:6414000
Wādī as Sidr al Gharbī	id=g:6414001
Wādī an Nashawīyah	id=g:6414003
Wādī al Khaḑr	id=g:6414006
Tulūl al Mahd	id=g:6414008
Wādī Mahd	id=g:6414009
Wādī al Māliḩ	id=g:6414010
Wādī Murayfa‘	id=g:6414011
Ma‘mal Jişş ‘Abd al Wāḩid	id=g:6414012
Ma‘mal Ţābūq ‘Abd al Wāḩid	id=g:6414013
Tall ar Ru‘yān	id=g:6414014
Minţaqat aş Şurāh	id=g:6414015
Mu‘askar ar Ramādī	id=g:6414036
Maqbarat al Muhayāwī	id=g:6414037
Ḩayy ash Shuhadā‘	id=g:6414039
Imām Shaykh Khalīfah	id=g:6414067
Maḩaţţat Qiţār ar Ramādī	id=g:6414068
Ḩayy aḑ Ḑubbāţ	id=g:6414086
‘Arab Ālbū ‘Alwān	id=g:6414087
Qabr Shaykh ‘Awdah	id=g:6414088
Minţaqat Zawīyat as Saţīḩ	id=g:6414097
Ālbū Ghilīş	id=g:6414098
Ālbū Aswad al Kurdī	id=g:6414099
‘Arab Ālbū Dhiyāb	id=g:6414100
Imām Shaykh Muḩammad	id=g:6414101
Minţaqat al Mauj	id=g:6414102
Wādī al Habbīnah	id=g:6417114
Wādī Abū Nakhlah	id=g:6417118
Tulūl al Mazrakah	id=g:6417120
Wādī Dahwah	id=g:6417121
Wādī Abū al Farrūkh	id=g:6417122
Kharābat Muḩammad Dāwūd	id=g:6417127
Jibāl al Buḩayrah	id=g:6417137
Qarīyat Zahrā’	id=g:6424106
Qaryat Sab‘at Ḩuzayrān	id=g:6424108
Ālbū ‘Āmir	id=g:6424110
Qaryat al Karāmah	id=g:6424111
Qaryat al Ḩurīyah	id=g:6424112
Sāḩat Jamīlah	id=g:6643158
Sāḩat Şaydā	id=g:6643159
Sāḩat Badr	id=g:6643160
Sāḩat Maysalūn	id=g:6643161
Sāḩat Mūsá Bin Naşīr	id=g:6643162
Sāḩat al Muthanná	id=g:6643163
Sāḩat Būr Saʻīd	id=g:6643164
Sāḩat as Sibaʻāwīy	id=g:6643165
Sāḩat ath Thawrah	id=g:6643166
Sāḩat an Nahḑah	id=g:6643167
Sāḩat Bayrūt	id=g:6643168
Sāḩat al Quds	id=g:6643169
Sāḩat Aḩad	id=g:6643170
Sāḩat ʻAntar	id=g:6643171
Sāḩat as Sibāʻ	id=g:6643172
Sāḩat Zubaydah	id=g:6643173
Sāḩat al Faḑl	id=g:6643174
Sāḩat Jumhūriyah	id=g:6643175
Sāḩat al Aʼimmah	id=g:6643176
Sāḩat ʻAqabah	id=g:6643177
