Republic of Kenya	id=g:192950
Kaptaroi Forest	id=g:193959
Kaptari’t	id=g:193960
Kaptarit	id=g:193961
Kaptargok Sub-Location	id=g:193962
Kaptarakwa Sub-Location	id=g:193963
Kaptarakwa	id=g:193964
Kaptanjua	id=g:193965
Kaptangus	id=g:193966
Kaptanai	id=g:193967
Kaptama Sub-Location	id=g:193968
Kaptama	id=g:193969
Kaptama	id=g:193970
Kaptalelia	id=g:193971
Kaptalambwa	id=g:193972
Kaptagat Forest	id=g:193973
Kaptagat	id=g:193974
Kaptagat	id=g:193975
Kaptabal	id=g:193976
Kaptabach	id=g:193977
Kapsusurua	id=g:193978
Kapsuser Sub-Location	id=g:193979
Kapsuser	id=g:193980
Kapsumbeiwa	id=g:193981
Kapsuli	id=g:193982
Kapstat	id=g:193983
Kapsoyowo	id=g:193984
Kapsowar	id=g:193985
Kapsotik Sub-Location	id=g:193986
Kapsotik	id=g:193987
Kapsoret	id=g:193988
Kapsongoi Estate	id=g:193989
Kapsongoi	id=g:193990
Kapsolop	id=g:193991
Kapsoiyo	id=g:193992
Kapsoit Sub-Location	id=g:193993
Kapsoit	id=g:193994
Kapsoit	id=g:193995
Kapsoi	id=g:193996
Kapsoget	id=g:193997
Kapsiu	id=g:193998
Kapsitotwa	id=g:193999
Kapsitai	id=g:194000
Kapsisiywa Sub-Location	id=g:194001
Kapsisiywa	id=g:194002
Kapsisit Sub-Location	id=g:194003
Kapsirio	id=g:194004
Kapsinendet	id=g:194005
Kapsimotwa Sub-Location	id=g:194006
Kapsimotwa	id=g:194007
Kapsimotwa	id=g:194008
Kapsimbiri	id=g:194009
Kapsimbiri	id=g:194010
Kapsiliat Trust Land	id=g:194011
Kapsiliat	id=g:194012
Kapsigario	id=g:194013
Kapsesa	id=g:194014
Kapsengere Sub-Location	id=g:194015
Kapseis	id=g:194016
Kapsaus Sub-Location	id=g:194017
Kapsasur	id=g:194018
Kap Sarok	id=g:194019
Kapsaret Forest	id=g:194020
Kapsaret Estate	id=g:194021
Kapsara	id=g:194022
Kapsaos Sub-Location	id=g:194023
Kapsaos	id=g:194024
Kapsaos	id=g:194025
Kapsaos	id=g:194026
Kapsaniak	id=g:194027
Kapsangar Sub-Location	id=g:194028
Kapsang	id=g:194029
Kapsamonget	id=g:194030
Kapsambo	id=g:194031
Kapsakwony Sub-Location	id=g:194032
Kapsakwony	id=g:194033
Kapsait	id=g:194034
Kapsagut	id=g:194035
Kapsagut	id=g:194036
Kapsabet	id=g:194037
Kapsabet	id=g:194038
Kapruto	id=g:194039
Kapropita	id=g:194040
Kaprogonya Sub-Location	id=g:194041
Kaproam	id=g:194042
Kapraget	id=g:194043
Kaprachoge	id=g:194044
Kappijari	id=g:194045
Kapo Poni	id=g:194046
Kaponamasai	id=g:194047
Kapompo	id=g:194048
Kapomboro	id=g:194049
Kapolet Forest	id=g:194050
Kapolet Fishing Hut	id=g:194051
Kapolet	id=g:194052
Kapokot	id=g:194053
Kapokoringoton	id=g:194054
Kapokor	id=g:194055
Kapokech	id=g:194056
Kapoiriwa	id=g:194057
Kapoi	id=g:194058
Kapnyemisa	id=g:194059
Kaplop	id=g:194060
Kaplong	id=g:194061
Kaplolei	id=g:194062
Kapliyo	id=g:194063
Kaplemur	id=g:194064
Kaplelartet	id=g:194065
Kaplelach	id=g:194066
Kaplegenui Sub-Location	id=g:194067
Kapleel	id=g:194068
Kaplebuk	id=g:194069
Kaplamai Sub-Location	id=g:194070
Kaplamai	id=g:194071
Kapkwigu	id=g:194072
Kapkwen	id=g:194073
Kapkwamul Sub-Location	id=g:194074
Kapkutum	id=g:194075
Kapkuto	id=g:194076
Kapkures Sub-Location	id=g:194077
Kapkures	id=g:194078
Kapkuong	id=g:194079
Kapkoya	id=g:194080
Kapkosom Ridge	id=g:194081
Kapkoros	id=g:194082
Kapkorech Estate	id=g:194083
Kapkonga	id=g:194084
Kapkomon Sub-Location	id=g:194085
Kapkombe Sub-Location	id=g:194086
Kapkolei Sub-Location	id=g:194087
Kapkolei	id=g:194088
Kapkok	id=g:194089
Kapkoiwa Sub-Location	id=g:194090
Kapkoimor	id=g:194091
Kapkoi	id=g:194092
Kapkobe	id=g:194093
Kapkitui	id=g:194094
Kapkitony	id=g:194095
Kapkitoni	id=g:194096
Kapkitoni	id=g:194097
Kapkitoi	id=g:194098
Kapkisiara	id=g:194099
Kapkisera Ridge	id=g:194100
Kapkiris	id=g:194101
Kapkimolwa Tea Estate	id=g:194102
Kapkimolwa Sub-Location	id=g:194103
Kapkimolwa	id=g:194104
Kapkimolwa	id=g:194105
Kapkigun	id=g:194106
Kapkieng	id=g:194107
Kapkiamo Sub-Location	id=g:194108
Kapkiam	id=g:194109
Kapkiam	id=g:194110
Kapkesosio	id=g:194111
Kapkesosio	id=g:194112
Kapkerer Sub-Location	id=g:194113
Kapkerer	id=g:194114
Kapkenda Sub-Location	id=g:194115
Kapkenda	id=g:194116
Kapkemoi	id=g:194117
Kapkelei	id=g:194118
Kapkelei	id=g:194119
Kapkelei	id=g:194120
Kapkein	id=g:194121
Kapkei	id=g:194122
Kapkee Sub-Location	id=g:194123
Kapkawa Sub-Location	id=g:194124
Kapkatungor Estate	id=g:194125
Kapkatet	id=g:194126
Kapkateny Sub-Location	id=g:194127
Kapkateny	id=g:194128
Kapkateny	id=g:194129
Kapkanyar Forest	id=g:194130
Kapkangani Sub-Location	id=g:194131
Kapkangani Location	id=g:194132
Kapkangani	id=g:194133
Kapkandiwa	id=g:194134
Kapkalelwa	id=g:194135
Kapkagaon	id=g:194136
Kapkabei	id=g:194137
Kapiyo	id=g:194138
Kapiwut	id=g:194139
Kapiti Plains Estate	id=g:194140
Kapiomet	id=g:194141
Kapio	id=g:194142
Kapingo	id=g:194143
Kapingazi Coffee Factory	id=g:194144
Kapim	id=g:194145
Kapim	id=g:194146
Kapiltugei	id=g:194147
Kapiemit	id=g:194148
Kapie	id=g:194149
Kapiath	id=g:194150
Kapgwen Estate	id=g:194151
Kapgut Sub-Location	id=g:194152
Kapgoi	id=g:194153
Kapgoi	id=g:194154
Kapetieng	id=g:194155
Kapeta	id=g:194156
Kapeta	id=g:194157
Kaperarengam	id=g:194158
Kapenguria	id=g:194159
Kapenguria	id=g:194160
Kapendor	id=g:194161
Kapendoigo	id=g:194162
Kapen	id=g:194163
Kapeltukei	id=g:194164
Kapell	id=g:194165
Murua Kapel	id=g:194166
Murua Kapel	id=g:194167
Emurua Kapel	id=g:194168
Kapekuni	id=g:194169
Kapedo Sub-Location	id=g:194170
Kapedo	id=g:194171
Kapechoroko	id=g:194172
Kapecha	id=g:194173
Kapderobo	id=g:194174
Kapchure	id=g:194175
Kapchumbe Sub-Location	id=g:194176
Kapchugh	id=g:194177
Kapchorua Sub-Location	id=g:194178
Kapchorua Forest Block Two	id=g:194179
Kapchorua Forest Block Three	id=g:194180
Kapchorua Forest Block One	id=g:194181
Kapchorua Forest Block Four	id=g:194182
Kapchorua	id=g:194183
Kapchoror	id=g:194184
Kapchorewe	id=g:194185
Kapchomuswo	id=g:194186
Kapcholio	id=g:194187
Kapchok	id=g:194188
Kapchok	id=g:194189
Kapcho	id=g:194190
Kapcheterit Sub-Location	id=g:194191
Kapcherusei Dam	id=g:194192
Kapchepkora	id=g:194193
Kapchepkor	id=g:194194
Kapchepkok	id=g:194195
Kapchepgero	id=g:194196
Kapchemutwa Sub-Location	id=g:194197
Kapchemutwa Forest	id=g:194198
Kapchemugung	id=g:194199
Kapchemoiywo	id=g:194200
Kapchemogon	id=g:194201
Kapchemanget	id=g:194202
Kapchelogi	id=g:194203
Kapchedau	id=g:194204
Kapchebu	id=g:194205
Kapchebon	id=g:194206
Kapchebelel	id=g:194207
Kapchalwa	id=g:194208
Kapbarbesi	id=g:194209
Kaparuso	id=g:194210
Kaparok	id=g:194211
Kaparasi	id=g:194212
Kaparamatai	id=g:194213
Moru Kapalongwiya	id=g:194214
Kapakor	id=g:194215
Kapakiteng’	id=g:194216
Kapai	id=g:194217
Kapai	id=g:194218
Kapadik	id=g:194219
Kapadapo	id=g:194220
Kaoyeni	id=g:194221
Kaongo Sub-Location	id=g:194222
Kaongo Kamau	id=g:194223
Kaongo	id=g:194224
Kaole	id=g:194225
Kao	id=g:194226
Kao	id=g:194227
Kao	id=g:194228
Kanzungo	id=g:194229
Kanzoni Hills	id=g:194230
Kanzoni	id=g:194231
Kanzoni	id=g:194232
Kanzokea	id=g:194233
Kanziko Quarry	id=g:194234
Kanziko Location	id=g:194235
Kanziko Camp	id=g:194236
Kanziko	id=g:194237
Kanziko	id=g:194238
Kanziko	id=g:194239
Kanziko	id=g:194240
Kanzevyu Dam	id=g:194241
Kanzanzu	id=g:194242
Kanzanzu	id=g:194243
Kanzalu Range	id=g:194244
Kanzalu	id=g:194245
Kanzalu	id=g:194246
Kanzale	id=g:194247
Kanzala	id=g:194248
Kanzala	id=g:194249
Kanywambora	id=g:194250
Kanywambora	id=g:194251
Kanywambora	id=g:194252
Kanyuru Sub-Location	id=g:194253
Kanyuri	id=g:194254
Kanyungu	id=g:194255
Kanyunga	id=g:194256
Kanyunga	id=g:194257
Kanyumbuni Dam	id=g:194258
Kanyumbuni	id=g:194259
Kanyuira	id=g:194260
Kanyuango	id=g:194261
Kanyore	id=g:194262
Kanyore	id=g:194263
Kanyoni Sub-Location	id=g:194264
Kanyoni	id=g:194265
Kanyoni	id=g:194266
Kanyongo	id=g:194267
Kanyongo	id=g:194268
Kanyomba	id=g:194269
Kanyokora Sub-Location	id=g:194270
Kanyodera	id=g:194271
Kanyiriri	id=g:194272
Kanyiriri	id=g:194273
Kanyinya	id=g:194274
Kanyimbo	id=g:194275
Kanyimach	id=g:194276
Kanyilu Dam	id=g:194277
Kanyililya	id=g:194278
Kanyikela Sub-Location	id=g:194279
Kanyeru	id=g:194280
Kanyeru	id=g:194281
Kanyeru	id=g:194282
Kanyenyeini Sub-Location	id=g:194283
Kanyenyeini	id=g:194284
Kanyekini	id=g:194285
Kanyekine	id=g:194286
Kanyei Sub-Location	id=g:194287
Kanyeeru	id=g:194288
Gebel Kanye	id=g:194289
Kanyawegi Sub-Location	id=g:194290
Kanyasa Sub-Location	id=g:194291
Kanyarkwat	id=g:194292
Kanyarkwat	id=g:194293
Kanyariri Sub-Location	id=g:194294
Kanyariri	id=g:194295
Kanyariri	id=g:194296
Kanyariri	id=g:194297
Kanyariri	id=g:194298
Kanyarakwat	id=g:194299
Kanyanzai	id=g:194300
Kanyangareng	id=g:194301
Kanyangareng	id=g:194302
Kanyamwi	id=g:194303
Kanyamkago Location	id=g:194304
Kanyamfwa	id=g:194305
Kanyamedha	id=g:194306
Kanyama	id=g:194307
Kanyakwenda Sub-Location	id=g:194308
Kanyakwar Sub-Location	id=g:194309
Kanyaka	id=g:194310
Kanyaiti	id=g:194311
Kanyaiti	id=g:194312
Kanyagia Settlement	id=g:194313
Kanyagia	id=g:194314
Kanyaga	id=g:194315
Kanyadwera Sub-Location	id=g:194316
Kanyadier Sub-Location	id=g:194317
Kanyadhiang Sub-Location	id=g:194318
Kanyadhiang	id=g:194319
Kanyadet Sub-Location	id=g:194320
Kanyada Location	id=g:194321
Lake Kanyaboli	id=g:194322
Kanyaa	id=g:194323
Kanusin Sub-Location	id=g:194324
Kanusin	id=g:194325
Kanusin	id=g:194326
Kanungu	id=g:194327
Kanunga Sub-Location	id=g:194328
Kanunga Hills	id=g:194329
Kanunga	id=g:194330
Kanunga	id=g:194331
Kanunga	id=g:194332
Kanunga	id=g:194333
Kanunga	id=g:194334
Kanunda	id=g:194335
Kanumu	id=g:194336
Kanukurdio	id=g:194337
Kanuko	id=g:194338
Kanugurumeri	id=g:194339
Kanthinthioko	id=g:194340
Kanthenge	id=g:194341
Kantheleu	id=g:194342
Kantana	id=g:194343
Kantana	id=g:194344
Kansokea	id=g:194345
Kanseru	id=g:194346
Kansarokana	id=g:194347
Kanotui	id=g:194348
Kano Plain	id=g:194349
Kanondo	id=g:194350
Kanoga	id=g:194351
Awach Kano	id=g:194352
Kankiriri	id=g:194353
Kanjwiri	id=g:194354
Kanjuri Tea Factory	id=g:194355
Kanjuku	id=g:194356
Kanjuki Sub-Location	id=g:194357
Kanjuki	id=g:194358
Kanjuere	id=g:194359
Kanjoro	id=g:194360
Kanjora	id=g:194361
Kanjora	id=g:194362
Kanjonja	id=g:194363
Kanjiru	id=g:194364
Kanjiro	id=g:194365
Kanjiria	id=g:194366
Kanjira Sub-Location	id=g:194367
Kanjira	id=g:194368
Kanjikeru	id=g:194369
Kanji	id=g:194370
Kanjei	id=g:194371
Kanja Sub-Location	id=g:194372
Kanjaro	id=g:194373
Kanjalu	id=g:194374
Kanjai Sub-Location	id=g:194375
Kanjai	id=g:194376
Kanjai	id=g:194377
Kanjaga	id=g:194378
Kanja	id=g:194379
Kanja	id=g:194380
Kaningo	id=g:194381
Kaningo	id=g:194382
Kaningo	id=g:194383
Kaningo	id=g:194384
Kanina	id=g:194385
Kanikwe	id=g:194386
Kanigiyum	id=g:194387
Kanigiyum	id=g:194388
Kanianjiru	id=g:194389
Kaniamwia Escarpment	id=g:194390
Kang’wak	id=g:194391
Kanguyu	id=g:194392
Kanguwapeta	id=g:194393
Kangure Forest	id=g:194394
Kangure	id=g:194395
Kangure	id=g:194396
Kanguraputh	id=g:194397
Kangura	id=g:194398
Kangura	id=g:194399
Kangunyi	id=g:194400
Kanguni	id=g:194401
Kangungi	id=g:194402
Kangungi	id=g:194403
Kangundo Sub-Location	id=g:194404
Kangundo Location	id=g:194405
Kangundo	id=g:194406
Kangundo	id=g:194407
Kangundo	id=g:194408
Kanguli	id=g:194409
Kangui	id=g:194410
Kangu Dam	id=g:194411
Kangoyo	id=g:194412
Kangoya	id=g:194413
Kangoru	id=g:194414
Kangondu	id=g:194415
Kangondi	id=g:194416
Kangondi	id=g:194417
Kangondi	id=g:194418
Kangolol	id=g:194419
Kangoli	id=g:194420
Kangocho	id=g:194421
Kango	id=g:194422
Kango	id=g:194423
Kangiri	id=g:194424
Kanginga	id=g:194425
Kangii	id=g:194426
Kangii	id=g:194427
Kangidokoro	id=g:194428
Kangi	id=g:194429
Kangi	id=g:194430
Kangi	id=g:194431
Kangewapeto	id=g:194432
Kangethia	id=g:194433
Kangethemu	id=g:194434
Kangetet	id=g:194435
Kangetet	id=g:194436
Kangetet	id=g:194437
Kangetchwa	id=g:194438
Kangeta Sub-Location	id=g:194439
Kangetak	id=g:194440
Kangeta	id=g:194441
Kangeta	id=g:194442
Kangesu	id=g:194443
Kangesa	id=g:194444
Kangerega	id=g:194445
Kangenga	id=g:194446
Kangemonginole	id=g:194447
Kangemi Sub-Location	id=g:194448
Kangemi	id=g:194449
Kangema	id=g:194450
Kangema	id=g:194451
Kangeinya	id=g:194452
Kangebet	id=g:194453
Kang’ebebet	id=g:194454
Kangatun	id=g:194455
Kangatou	id=g:194456
Kangatinya	id=g:194457
Kangathariko	id=g:194458
Kangaru	id=g:194459
Kangaru	id=g:194460
Kangaru	id=g:194461
Kangarisa	id=g:194462
Kangare Sub-Location	id=g:194463
Kangare	id=g:194464
Kangarai	id=g:194465
Kanganya	id=g:194466
Kangangui	id=g:194467
Kangamojoj	id=g:194468
Kamanang	id=g:194469
Kangamaliten	id=g:194470
Kangalu	id=g:194471
Kangalu	id=g:194472
Kangaleta	id=g:194473
Kangalemo	id=g:194474
Kangalemo	id=g:194475
Kangakurio	id=g:194476
Kangaki	id=g:194477
Kangaita Plantations	id=g:194478
Kangaita Farm	id=g:194479
Kangaita	id=g:194480
Kangaita	id=g:194481
Kangaita	id=g:194482
Kangaita	id=g:194483
Kangaita	id=g:194484
Kangai Sub-Location	id=g:194485
Kangai	id=g:194486
Kanga Dam	id=g:194487
Kanga	id=g:194488
Kanga	id=g:194489
Kanga	id=g:194490
Kanga	id=g:194491
Kanduyi Sub-Location	id=g:194492
Kandumbu	id=g:194493
Kandu	id=g:194494
Kandongu	id=g:194495
Kandongu	id=g:194496
Kandongu	id=g:194497
Kandolo	id=g:194498
Kandogo	id=g:194499
Kandogo	id=g:194500
Kanditura	id=g:194501
Kandigiri	id=g:194502
Kandiga	id=g:194503
Kandiege	id=g:194504
Kandi	id=g:194505
Kandi	id=g:194506
Kanderendu Track	id=g:194507
Kanderendu Sub-Location	id=g:194508
Kanderendu	id=g:194509
Kandere Dam	id=g:194510
Kandere	id=g:194511
Kandengyu	id=g:194512
Kandelongwe	id=g:194513
Kandegenye Sub-Location	id=g:194514
Kandegenye	id=g:194515
Kandega	id=g:194516
Kandecha Dam	id=g:194517
Kandaria	id=g:194518
Kandare	id=g:194519
Kandara	id=g:194520
Kandara	id=g:194521
Kandara	id=g:194522
Kandaoni	id=g:194523
Kandani Sub-Location	id=g:194524
Kandani	id=g:194525
Kandagochi	id=g:194526
Ras Kanda	id=g:194527
Kanchoro	id=g:194528
Kanataruk	id=g:194529
Kanata	id=g:194530
Kanapanying’	id=g:194531
Kanaodon	id=g:194532
Kanangor	id=g:194533
Kanangi	id=g:194534
Kanana Camp	id=g:194535
Kanana	id=g:194536
Kanamukuin	id=g:194537
Kanamu	id=g:194538
Kanamo	id=g:194539
Kanambule	id=g:194540
Kanamatangor Pass	id=g:194541
Kanamai Sub-Location	id=g:194542
Kanamai	id=g:194543
Kanam	id=g:194544
Kanakori Pass	id=g:194545
Kanakipi	id=g:194546
Kanaki	id=g:194547
Kanaki	id=g:194548
Kanagoni	id=g:194549
Kanaboi	id=g:194550
Kamyen	id=g:194551
Kamwova	id=g:194552
Kamwosor	id=g:194553
Kamworium	id=g:194554
Kamwongo Sub-Location	id=g:194555
Kamwituuo Number 2	id=g:194556
Kamwituuo Number 1	id=g:194557
Kamwituuo Borehole	id=g:194558
Kamwituuo	id=g:194559
Kamwithi	id=g:194560
Kamwimbi Sub-Location	id=g:194561
Kamwimbi	id=g:194562
Kamweti Plantations	id=g:194563
Kamweti	id=g:194564
Kamweti	id=g:194565
Kamweri	id=g:194566
Kamwenyene	id=g:194567
Kamwenja	id=g:194568
Kamwen	id=g:194569
Kamwemba	id=g:194570
Kamwaura	id=g:194571
Kamwangi	id=g:194572
Kamwangi	id=g:194573
Kamwangi	id=g:194574
Kamwanda	id=g:194575
Kamwale	id=g:194576
Kamuyu	id=g:194577
Kamuwongu	id=g:194578
Kamuwongo	id=g:194579
Kamuwongo	id=g:194580
Kamuviwa Dam	id=g:194581
Kamutwa	id=g:194582
Kamutotya	id=g:194583
Kamutongi	id=g:194584
Kamutile Hills	id=g:194585
Kamutile	id=g:194586
Kamuthwa Sub-Location	id=g:194587
Kamuthwa Dam	id=g:194588
Kamuthwa	id=g:194589
Kamuthwa	id=g:194590
Kamuthini	id=g:194591
Kamuthini	id=g:194592
Kamuthia	id=g:194593
Kamuthengi	id=g:194594
Kamuthe	id=g:194595
Kamuthangu Road	id=g:194596
Kamuthangu	id=g:194597
Kamuthanga and Athi Plains Location	id=g:194598
Kamutei	id=g:194599
Kamutei	id=g:194600
Kamutei	id=g:194601
Kamutau	id=g:194602
Kamusukiet	id=g:194603
Kamusinga	id=g:194604
Kamusinga	id=g:194605
Kamusenu	id=g:194606
Kamurra	id=g:194607
Kamurige Sub-Location	id=g:194608
Kamurian	id=g:194609
Kamuriai Sub-Location	id=g:194610
Kamurdwana	id=g:194611
Kamurar	id=g:194612
Kamuranyong	id=g:194613
Kamura	id=g:194614
Kamunyuni	id=g:194615
Kamunyuni	id=g:194616
Kamunyuini	id=g:194617
Kamunyongale	id=g:194618
Kamunyaka Sub-Location	id=g:194619
Kamunyaka	id=g:194620
Kamunyaka	id=g:194621
Kamunyaka	id=g:194622
Kamunono	id=g:194623
Kamunono	id=g:194624
Kamungu	id=g:194625
Kamungei Sub-Location	id=g:194626
Kamungei	id=g:194627
Kamunga	id=g:194628
Kamune Sub-Location	id=g:194629
Kamune	id=g:194630
Kamune	id=g:194631
Kamunaka	id=g:194632
Kamumu	id=g:194633
Kamuma	id=g:194634
Kamuluyuni	id=g:194635
Kamulu	id=g:194636
Kamulewa	id=g:194637
Kamulambani	id=g:194638
Kamukogabi	id=g:194639
Kamukio	id=g:194640
Kamukabi	id=g:194641
Kamuitot	id=g:194642
Kamuiru	id=g:194643
Kamuini	id=g:194644
Kamuini	id=g:194645
Kamuingi	id=g:194646
Kamuguga	id=g:194647
Kamugu	id=g:194648
Kamugoiri	id=g:194649
Kamugeto	id=g:194650
Kamugeno	id=g:194651
Kamuga	id=g:194652
Kamuga	id=g:194653
Kamuea Plain	id=g:194654
Kamue	id=g:194655
Kamudi	id=g:194656
Kamudet	id=g:194657
Kamuchoni	id=g:194658
Kamuchege Sub-Location	id=g:194659
Kamuchege	id=g:194660
Kamuchege	id=g:194661
Kamuaora	id=g:194662
Kamu	id=g:194663
Kamtel	id=g:194664
Kamshari	id=g:194665
Kamshari	id=g:194666
Kamser Seka Sub-Location	id=g:194667
Kamrioki	id=g:194668
Kamreri Sub-Location	id=g:194669
Kampi ya Waya	id=g:194670
Kampi ya Unga	id=g:194671
Kampi ya Simba	id=g:194672
Kampi ya Simba	id=g:194673
Kampi Ya Sheikh Omar	id=g:194674
Kampi Ya Samaki	id=g:194675
Kampi ya Njemi	id=g:194676
Kampi ya Ndovu	id=g:194677
Kampi ya Ndege	id=g:194678
Kampi ya Munyu Water Tank	id=g:194679
Kampi ya Moto	id=g:194680
Kampi ya Mawe Experimental Farm	id=g:194681
Kampi ya Mawe Dam	id=g:194682
Kampi ya Mawe	id=g:194683
Kampi ya Mawe	id=g:194684
Kampi ya Marabu	id=g:194685
Kampi ya Mamba	id=g:194686
Kampi ya Kiboko	id=g:194687
Kampi ya Kerenzeni	id=g:194688
Kampi Ya Juu	id=g:194689
Kampi ya Fisi	id=g:194690
Kampi Ya Faro Glade	id=g:194691
Kampi-Ya-Chumvi	id=g:194692
Kampi ya Bibi	id=g:194693
Kampi ya Bibi	id=g:194694
Kampewi	id=g:194695
Kampewi	id=g:194696
Kamoylowantokirika	id=g:194697
Kamotonyi	id=g:194698
Kamotonyi	id=g:194699
Kamosit	id=g:194700
Kamoru	id=g:194701
Kamorow	id=g:194702
Kamor Kiliwe	id=g:194703
Kamor Jila	id=g:194704
Kamor Jila	id=g:194705
Kamor Jawe	id=g:194706
Kamor Guyo Timo	id=g:194707
Kamor Dedach Gorgesa	id=g:194708
Kamoraro	id=g:194709
Kamor Aliaga	id=g:194710
Kamorale	id=g:194711
Kamorale	id=g:194712
Kamor	id=g:194713
Kamongei Sub-Location	id=g:194714
Kamongei	id=g:194715
Kamondo	id=g:194716
Kamolo	id=g:194717
Kamoko Sub-Location	id=g:194718
Kamokoso	id=g:194719
Kamoiywo Sub-Location	id=g:194720
Kamoiywo	id=g:194721
Kamogoso	id=g:194722
Kamogoro	id=g:194723
Kamogo	id=g:194724
Kamodo	id=g:194725
Kamodet	id=g:194726
Kamobo Sub-Location	id=g:194727
Kamobo	id=g:194728
Kamnwa-Keyo-Ogoro Sub-Location	id=g:194729
Kamnunguuawa	id=g:194730
Kamnias	id=g:194731
Kamngoriom	id=g:194732
Kamngoriom	id=g:194733
Kamngeyon	id=g:194734
Kamngeyon	id=g:194735
Kamngetuny	id=g:194736
Kamngetuny	id=g:194737
Kamngetuny	id=g:194738
Kamnarok Location	id=g:194739
Lake Kamnarok	id=g:194740
Kamnara Island	id=g:194741
Kamleza	id=g:194742
Kamiugu	id=g:194743
Kamitotia	id=g:194744
Kamiti Road	id=g:194745
Kamiti Forest Road	id=g:194746
Kamiti Forest	id=g:194747
Kamiti	id=g:194748
Kami Tarn	id=g:194749
Kamisitu	id=g:194750
Kamirithu Sub-Location	id=g:194751
Kamirithu	id=g:194752
Kamirithu	id=g:194753
Kamiraru	id=g:194754
Kamirai	id=g:194755
Kamira	id=g:194756
Kamiogei	id=g:194757
Kaminyoro	id=g:194758
Kaminyoo	id=g:194759
Kaminjewet	id=g:194760
Kamindo Swamp	id=g:194761
Kaminanguwadang	id=g:194762
Kamila	id=g:194763
Kamila	id=g:194764
Kamigogo	id=g:194765
Kami	id=g:194766
Kamgwagi	id=g:194767
Kamgundho	id=g:194768
Kamgamon	id=g:194769
Kameyen	id=g:194770
Kamethekilengaputh	id=g:194771
Kametewa	id=g:194772
Kameriangore	id=g:194773
Kameri	id=g:194774
Kamenyurorok	id=g:194775
Kameni	id=g:194776
Kameni	id=g:194777
Kamejii	id=g:194778
Kamejii	id=g:194779
Kameichiri	id=g:194780
Kamegwa	id=g:194781
Kamdar I Sub-Location	id=g:194782
Kamdar II Sub-Location	id=g:194783
Kambwa	id=g:194784
Kambuu	id=g:194785
Kambusya	id=g:194786
Kambusu Sub-Location	id=g:194787
Kambusu	id=g:194788
Kamburu Sub-Location	id=g:194789
Kamburu Bridge	id=g:194790
Kamburu	id=g:194791
Kamburu	id=g:194792
Kambuji	id=g:194793
Kambui Road	id=g:194794
Kambui	id=g:194795
Kambu	id=g:194796
Kambu	id=g:194797
Kambu	id=g:194798
Kamboyo	id=g:194799
Kamboo	id=g:194800
Kambogo	id=g:194801
Kambogo	id=g:194802
Kambi ya Munyu	id=g:194803
Kambiti Sub-Location	id=g:194804
Kambiti Estate	id=g:194805
Kambiti	id=g:194806
Kambiri Sub-Location	id=g:194807
Kambiri	id=g:194808
Kambiri	id=g:194809
Kambilu Dam	id=g:194810
Kamberua Sub-Location	id=g:194811
Kamberua	id=g:194812
Kamberia	id=g:194813
Kambea	id=g:194814
Kambare Sub-Location	id=g:194815
Kambare	id=g:194816
Kambare	id=g:194817
Kambarare	id=g:194818
Kambara	id=g:194819
Kambara	id=g:194820
Kambanga	id=g:194821
Kamba Land Unit	id=g:194822
Kambala	id=g:194823
Kambaa Sub-Location	id=g:194824
Kambaa	id=g:194825
Kambaa	id=g:194826
Kamb	id=g:194827
Kamayo	id=g:194828
Kamavindi Dam	id=g:194829
Kamatungu	id=g:194830
Kamatu	id=g:194831
Kamatira Forest	id=g:194832
Kamatira Camp	id=g:194833
Kamathuri	id=g:194834
Kamathiaka	id=g:194835
Kamathare	id=g:194836
Kamatabi	id=g:194837
Kamasingi	id=g:194838
Kamasielo	id=g:194839
Kamasia Hills	id=g:194840
Kamaseva	id=g:194841
Kamasengere Sub-Location	id=g:194842
Kamasengere	id=g:194843
Kamasai	id=g:194844
Kamarungu	id=g:194845
Kamarr	id=g:194846
Kamarr	id=g:194847
Kamarlei	id=g:194848
Kamarin Sub-Location	id=g:194849
Kamarin	id=g:194850
Kamarethi	id=g:194851
Kamaret	id=g:194852
Kamarero	id=g:194853
Kamara Farm	id=g:194854
Kamarabuyon	id=g:194855
Kamara	id=g:194856
Kamapia	id=g:194857
Kamanza Dam	id=g:194858
Kamanyore	id=g:194859
Kamanyaki Sub-Location	id=g:194860
Kamangoit	id=g:194861
Kamanga	id=g:194862
Kamandura	id=g:194863
Kamando	id=g:194864
Kamamut	id=g:194865
Kamambo Sub-Surface Dam Number Three	id=g:194866
Kamamanthi	id=g:194867
Kamama	id=g:194868
Kamale	id=g:194869
Kamale	id=g:194870
Kamale	id=g:194871
Kamakwa	id=g:194872
Kamakwa	id=g:194873
Kamakuywa	id=g:194874
Kamakuywa	id=g:194875
Kamakun	id=g:194876
Kamakuli	id=g:194877
Kamakoso	id=g:194878
Kamakararini	id=g:194879
Kamaiyakine	id=g:194880
Kamainde Sub-Location	id=g:194881
Kamahuha Sub-Location	id=g:194882
Kamahuha Location	id=g:194883
Kamahuha	id=g:194884
Kamahindu	id=g:194885
Kamahia	id=g:194886
Kamahendu	id=g:194887
Kamaguta	id=g:194888
Kamagogo	id=g:194889
Kamagambo Location	id=g:194890
Kamagambo	id=g:194891
Kamagalieu	id=g:194892
Kamagaga Sub-Location	id=g:194893
Kamaende	id=g:194894
Kamaech South	id=g:194895
