Iwey	id=g:2136806
Malo Peak	id=g:2208342
Malvapévu Island	id=g:2208343
Malwépé Island	id=g:2208344
Sola Vanua Lava	id=g:6299969
Lamap Malekula	id=g:6299970
Pekoa Airport Santo	id=g:6299971
Bauerfield Efate	id=g:6299972
Longana	id=g:6354962
Benjor Beach Club	id=g:6490663
Le Meridien Port Vila Resort	id=g:6491813
Nomads Moorings Hotel	id=g:6492137
Iririki Island Resort and Spa	id=g:6496379
Malakof	id=g:6621047
Saksak	id=g:6621048
Airfield Emae	id=g:6621049
Bokissa Island	id=g:6639639
Bluff Point	id=g:6962500
Waterwitch Seamount	id=g:4034748
Wallis et Futuna	id=g:4034749
Wallis Islands	id=g:4034750
Pointe Verte	id=g:4034751
Pointe Velé	id=g:4034752
Velé	id=g:4034753
Vaitupu	id=g:4034754
Vaimatau	id=g:4034755
Pointe Vailala	id=g:4034756
Vailala	id=g:4034757
Île Uvea	id=g:4034758
Circonscription d'Uvéa	id=g:4034759
Pointe Utuloko	id=g:4034760
Utuloa	id=g:4034761
Pointe Utuhamia	id=g:4034762
Utufua	id=g:4034763
Île Uluiutu	id=g:4034764
Tuscarora Seamount	id=g:4034765
Tufuone	id=g:4034766
Pointe Tepako	id=g:4034767
Tepa	id=g:4034768
Île Tekaviki	id=g:4034769
Teesi	id=g:4034770
Taviuni Reef	id=g:4034771
Tauai	id=g:4034772
Rocher du Sud-Ouest	id=g:4034773
Rochers Somaloma	id=g:4034774
Mont Singavi	id=g:4034775
Circonscription de Sigavé	id=g:4034776
Anse de Sigavé	id=g:4034777
Sigavé	id=g:4034778
Siafiafi Seamount	id=g:4034779
Pointe Sauma	id=g:4034780
Chenal Sain	id=g:4034781
Pointe de Sable	id=g:4034782
Pointe Rouge	id=g:4034783
Rotumah Reef	id=g:4034784
Pointe Rocheuse	id=g:4034785
Robbie Ridge	id=g:4034786
Robbie Bank	id=g:4034787
Sommet des Pyramides	id=g:4034788
Pointe Pyramides	id=g:4034789
Pointe Puko	id=g:4034790
Pointe Pukega	id=g:4034791
Petit Piton	id=g:4034792
Morne du Pavillon	id=g:4034793
Pasco Reef	id=g:4034794
Pointe Pagaga	id=g:4034795
Baie de l'Ouest	id=g:4034796
Île Nukuteatea	id=g:4034797
Île Nukutapu	id=g:4034798
Île Nukutapu	id=g:4034799
Îlot Nukutaakimua	id=g:4034800
Île Nukuofo	id=g:4034801
Île Nukuloa	id=g:4034802
Île Nukulaelae	id=g:4034803
Île Nukuhione	id=g:4034804
Île Nukuhifala	id=g:4034805
Île Nukufufulanoa	id=g:4034806
Îlot Nukufotu	id=g:4034807
Îlot Nuku Fetau	id=g:4034808
Île Nukuaéta	id=g:4034809
Pointe Nord	id=g:4034810
Pointe Mua	id=g:4034811
Mouillage de Mua	id=g:4034812
Mouillage de Mua	id=g:4034813
Baie de Mua	id=g:4034814
Mua	id=g:4034815
Mua	id=g:4034816
Banc de la Meurthe	id=g:4034817
Sommet Matsi	id=g:4034818
Mouillage de Matâ'utu	id=g:4034819
Baie de Matâ'utu	id=g:4034820
Matâ'utu	id=g:4034821
Pointe Matalaa	id=g:4034822
Mouillage de Matalaa	id=g:4034823
Pointe Matakaviki	id=g:4034824
Pointe Mataaho	id=g:4034825
Mamelon Vert	id=g:4034826
Mont Lulu Luo	id=g:4034827
Mont Lulu Fakahega	id=g:4034828
Île Luaniva	id=g:4034829
Mont Loka	id=g:4034830
Liku	id=g:4034831
Les Deux Lions	id=g:4034832
Pointe Lausikula	id=g:4034833
Mont Lausikula	id=g:4034834
Lac Lanutuli	id=g:4034835
Lac Lanutavake	id=g:4034836
Lanumaha	id=g:4034837
Lac Lano	id=g:4034838
Lano	id=g:4034839
Lac Lalolalo	id=g:4034840
Pointe Lalofétau	id=g:4034841
Lalla Rookh Seamount	id=g:4034842
Kolopopo	id=g:4034843
Mont Kolofau	id=g:4034844
Kolia	id=g:4034845
Lac Kikila	id=g:4034846
Isabella Reef	id=g:4034847
Îles de Horne	id=g:4034848
Passe Honikulu	id=g:4034849
Home Seamount	id=g:4034850
Mont Hologa	id=g:4034851
Mont Holo	id=g:4034852
Île Haofa	id=g:4034853
Halamaitai	id=g:4034854
Pointe Halalo	id=g:4034855
Halalo	id=g:4034856
Haatofo	id=g:4034857
Haafusia	id=g:4034858
Gamua	id=g:4034859
Gahi	id=g:4034860
Île Futuna	id=g:4034861
Îlot Fungalei	id=g:4034862
Passe Fugauvea	id=g:4034863
Foss Reef	id=g:4034864
Foi	id=g:4034865
Pointe Fogoné	id=g:4034866
Fineveke	id=g:4034867
Pointe Finékovi	id=g:4034868
Field Seamount	id=g:4034869
Île Fenua Fu	id=g:4034870
Passe Fatumanini	id=g:4034871
Falaleu	id=g:4034872
Pointe Falaise	id=g:4034873
Fakauita	id=g:4034874
Passe Faïoa	id=g:4034875
Île Faïoa	id=g:4034876
Combe Seamount	id=g:4034877
Bayonnaise Seamount	id=g:4034878
Passe Avatolu	id=g:4034879
Mont Atalika	id=g:4034880
Lac Alofivai	id=g:4034881
Île Alofi	id=g:4034882
Pointe d'Alo	id=g:4034883
Circonscription d'Alo	id=g:4034884
Alo	id=g:4034885
Alele	id=g:4034886
Akaka	id=g:4034887
Ahoa	id=g:4034888
Adolph Seamount	id=g:4034889
Maopoopo Ile Futuna	id=g:6299958
Hihifo Ile Wallis	id=g:6299959
Wallis and Futuna Islands	id=g:6942150
Toamua	id=g:4034891
West Reef	id=g:4034892
Independent State of Samoa	id=g:4034894
Vavau	id=g:4034896
Vaovai	id=g:4034897
Vaivase Stream	id=g:4034899
Vaivase	id=g:4034900
Vaiusu Bay	id=g:4034902
Vaiusu	id=g:4034903
Vai’ula	id=g:4034904
Vaotupua	id=g:4034905
Mount Vaitoa	id=g:4034906
Vaitele Bay	id=g:4034907
Vaitele	id=g:4034908
Vaisigano River	id=g:4034909
Vaisigano	id=g:4034910
Vaisala Bay	id=g:4034911
Vaisala	id=g:4034912
Vaipu’a	id=g:4034913
Vaipouli	id=g:4034914
Mount Vaiolo	id=g:4034915
Vainamo Bay	id=g:4034916
Vaimoso	id=g:4034917
Vaimoa	id=g:4034918
Vaimauga	id=g:4034919
Vailu‘utai	id=g:4034920
Vailoa	id=g:4034921
Vailoa	id=g:4034923
Vailima	id=g:4034924
Vailele Plantation	id=g:4034925
Vailele Bay	id=g:4034926
Mount Vailele	id=g:4034927
Vaie‘e Point	id=g:4034929
Vaie’e	id=g:4034930
Vaigalu	id=g:4034932
Point Vaigaga	id=g:4034933
Vaigaga	id=g:4034934
Vaifoa	id=g:4034935
Vaiālua	id=g:4034937
Vailoa	id=g:4034938
Vaiala	id=g:4034939
Mount Vaiala	id=g:4034940
Mount Vaea	id=g:4034942
Va`a-o-Fonoti	id=g:4034943
Mauga Tele	id=g:4034944
Cape Utumau’u	id=g:4034945
Utumapu	id=g:4034946
Utuloa Point	id=g:4034947
Utuloa	id=g:4034948
Utulaelae	id=g:4034949
Utuie	id=g:4034950
Utufa’alalafa	id=g:4034951
Utuali‘i	id=g:4034953
Mount Tafua Upolu	id=g:4034955
Upolu	id=g:4034956
Ulutogia	id=g:4034957
Ulutauvalu	id=g:4034958
Uliamoa	id=g:4034959
Uanamo Pass	id=g:4034960
Uafato Bay	id=g:4034961
Uafato	id=g:4034962
Tulivae	id=g:4034963
Tulaele	id=g:4034965
Cape Tuiolemū	id=g:4034966
Tufutafoe	id=g:4034967
Tufulele	id=g:4034968
Tufu	id=g:4034969
Cape Tuasivi	id=g:4034970
Tuasivi	id=g:4034971
Tuana‘i	id=g:4034972
Tuamasaga West	id=g:4034973
Tuamasaga South	id=g:4034974
Tuamasaga North	id=g:4034975
Tuamasaga East	id=g:4034976
Tuamasaga	id=g:4034977
Toloa	id=g:4034979
Mount To’iave’a	id=g:4034980
Tiavi	id=g:4034982
Tiavea Bay	id=g:4034983
Cape Tiāpepe	id=g:4034984
Tiapapata	id=g:4034985
Mount Teelagi	id=g:4034986
Tavalagi Pass	id=g:4034987
Taumuafa	id=g:4034988
Tatania Bay	id=g:4034989
Tapuivi Point	id=g:4034991
Tapueleele	id=g:4034992
Cape Tapaga	id=g:4034993
Tanuoa	id=g:4034994
Tanugamanono	id=g:4034995
Mount Talito’elau	id=g:4034997
Taga	id=g:4034998
Tafua	id=g:4034999
Tafitoala	id=g:4035000
Tafatafa Point	id=g:4035001
Mount Tafatafao	id=g:4035002
Tafatafa	id=g:4035003
Tafagamanu	id=g:4035004
Tafaga Bay	id=g:4035005
Foa Tafaga	id=g:4035006
Taelefaga	id=g:4035007
Cape Swains	id=g:4035008
Suulu Passage	id=g:4035009
Point Suga	id=g:4035010
Suga	id=g:4035011
Solosolo	id=g:4035013
Solomea	id=g:4035014
Solaua	id=g:4035015
Sogi	id=g:4035016
Siuvao	id=g:4035017
Siutu	id=g:4035018
Siusega	id=g:4035019
Si’upapa	id=g:4035020
Si’uniu	id=g:4035021
Siumu Bay	id=g:4035022
Si’umu	id=g:4035023
Siu’faga	id=g:4035025
Mount Siope	id=g:4035026
Mount Silisili	id=g:4035028
Sili	id=g:4035029
Mount Siga’ele	id=g:4035030
Savalalo	id=g:4035033
Mount Tafua Savai’i	id=g:4035034
Savai’i	id=g:4035036
Savaia	id=g:4035037
Sauniatu	id=g:4035038
Saumaga Point	id=g:4035039
Saumaga	id=g:4035040
Sauago Bay	id=g:4035041
Sauago	id=g:4035042
Satufia Road	id=g:4035043
Satupa‘itea Point	id=g:4035044
Satupaitea	id=g:4035045
Satupa`itea	id=g:4035046
Satuimalufilufi	id=g:4035047
Satuimalealiifono	id=g:4035048
Satuiatua	id=g:4035049
Satui	id=g:4035050
Satufia	id=g:4035051
Sato’alepai	id=g:4035052
Satitoa	id=g:4035053
Satavae	id=g:4035054
Sataua Bay	id=g:4035055
Sataua	id=g:4035056
Sataputu	id=g:4035057
Satapuala	id=g:4035059
Sataoa	id=g:4035060
Satalo	id=g:4035061
Sasina	id=g:4035062
Sapunaoa	id=g:4035063
Sapulu	id=g:4035064
Sapo’e	id=g:4035065
Sapapali’i	id=g:4035066
Saninoga	id=g:4035068
Samusu Point	id=g:4035070
Samusu	id=g:4035071
Samoa Islands	id=g:4035072
Samea	id=g:4035073
Samauga	id=g:4035074
Samatau	id=g:4035075
Samataitai	id=g:4035076
Samamea	id=g:4035078
Samalaeulu	id=g:4035079
Sama‘i	id=g:4035080
Saluafata Harbour	id=g:4035081
Saluafata Bank	id=g:4035082
Saluafata	id=g:4035083
Salimu	id=g:4035085
Salimu	id=g:4035086
Cape Salia	id=g:4035087
Salesulumua	id=g:4035088
Salesatele	id=g:4035089
Saletele	id=g:4035090
Salepou‘a‘e	id=g:4035091
Salelologa	id=g:4035092
Salelesi	id=g:4035093
Salelavalu-uta	id=g:4035094
Sale’imoa	id=g:4035095
Saleilua	id=g:4035096
Salei’a	id=g:4035097
Salega	id=g:4035098
Sale’aula	id=g:4035099
Saleaula	id=g:4035100
Saleaula	id=g:4035101
Saleapaga	id=g:4035103
Sale’a’aumua	id=g:4035105
Salani	id=g:4035106
Salani	id=g:4035107
Salamumu	id=g:4035108
Sala’ilua Bay	id=g:4035109
Sala’ilua	id=g:4035110
Saipipi	id=g:4035111
Saina	id=g:4035112
Sagone	id=g:4035113
Safune Bay	id=g:4035115
Safune	id=g:4035116
Safotulafai	id=g:4035117
Safotu	id=g:4035118
Safata Harbour	id=g:4035119
Safa’atoa	id=g:4035120
Safa’i	id=g:4035121
Cape Saeiva’a	id=g:4035122
Sa’asa’ai	id=g:4035123
Sa’anapu River	id=g:4035124
Sa’anapu	id=g:4035125
Sa’aga	id=g:4035126
Round Point	id=g:4035127
Rosa Rock	id=g:4035128
Rip Bank	id=g:4035129
Puleia	id=g:4035130
Mount Puna	id=g:4035131
Puipa’a	id=g:4035132
Pu’apu’a	id=g:4035135
Cape Puava	id=g:4035136
Poutasi	id=g:4035137
Piula	id=g:4035138
Piu	id=g:4035139
Penafu	id=g:4035140
Patamea	id=g:4035141
Pata	id=g:4035142
Mount Parasit	id=g:4035143
Papase’ea	id=g:4035144
Papaloloa	id=g:4035145
Papalaulelei Bay	id=g:4035147
Papa	id=g:4035149
Papa	id=g:4035150
Palauli West	id=g:4035151
Palauli Bay	id=g:4035152
Palauli	id=g:4035153
Palauli	id=g:4035154
Paia	id=g:4035155
Cape Paepaeole’ia	id=g:4035156
Ooutu	id=g:4035157
Mount Olomanu	id=g:4035158
Cape Olonono	id=g:4035160
Olga Reef	id=g:4035161
Mount Olomauga	id=g:4035162
Cape Nuutoi	id=g:4035164
Nu’utele Island	id=g:4035165
Niusuatia	id=g:4035166
Nu’usafe’e Island	id=g:4035167
Nu’ulua Island	id=g:4035168
Nu’ulopa	id=g:4035169
Nuu Lealea	id=g:4035170
Nuualaga	id=g:4035171
Nuu	id=g:4035172
Nonoa	id=g:4035173
Nofoali‘i	id=g:4035174
Niss Reef	id=g:4035175
Neiafu	id=g:4035176
Nefunefu	id=g:4035177
Nautilus Bank	id=g:4035178
Namuʹa Island	id=g:4035180
Namoa	id=g:4035181
Mutiatele	id=g:4035184
Musumusu	id=g:4035185
Mulivai Stream	id=g:4035186
Mulivai	id=g:4035187
Cape Mulitapu‘ili	id=g:4035188
Mulinu’u Peninsula	id=g:4035189
Mulinu’u Point	id=g:4035190
Cape Mulinu’ū	id=g:4035191
Mulinu’u	id=g:4035192
Mount Mulimauga	id=g:4035193
Mulifanua Plantation	id=g:4035194
Mulifanua Harbour	id=g:4035195
Mulifanua	id=g:4035196
Moto‘otua	id=g:4035197
Moata‘a	id=g:4035200
Moamoa	id=g:4035201
Mount Misimala	id=g:4035202
Mount Maugaloa	id=g:4035203
Cape Mauga	id=g:4035204
Mount Matavanu	id=g:4035206
Muliolo Stream	id=g:4035208
Matavai	id=g:4035209
Matautu Point	id=g:4035211
Matautu Bay	id=g:4035212
Matautu	id=g:4035213
Matautu	id=g:4035214
Matautu	id=g:4035215
Matāutu	id=g:4035216
Matatufu	id=g:4035217
Matapunga	id=g:4035218
Matanofo	id=g:4035220
Matailiili	id=g:4035221
Point Matafotufotu	id=g:4035222
Matafele	id=g:4035223
Matafagatele	id=g:4035224
Mount Mata’aga	id=g:4035225
Manunu	id=g:4035226
Manono Anchorage	id=g:4035227
Manono Island	id=g:4035228
Maninoa	id=g:4035229
Manase	id=g:4035231
Mount Mana’omia	id=g:4035232
Malua Entrance	id=g:4035233
Malua	id=g:4035234
Malololelei	id=g:4035235
Malie	id=g:4035236
Maalauli	id=g:4035237
Malaulano See	id=g:4035238
Malaetele	id=g:4035240
Malaemalu	id=g:4035242
Magiagi	id=g:4035243
Magia	id=g:4035244
Mount Mafane	id=g:4035245
Mafafa	id=g:4035246
Mauga	id=g:4035247
Maasina	id=g:4035248
Lufilufi	id=g:4035249
Luatuanu‘u	id=g:4035250
Lotofaga	id=g:4035251
Lotofagā	id=g:4035252
Lona	id=g:4035254
Levī	id=g:4035255
Levi	id=g:4035256
Leutuutu	id=g:4035257
Leusoali’i	id=g:4035258
Leuo	id=g:4035259
Leulumoega	id=g:4035260
Letui	id=g:4035261
Letogo Stream	id=g:4035262
Letogo	id=g:4035263
Leatupe	id=g:4035264
Le Solo	id=g:4035265
Mount Le Pu’e	id=g:4035266
O le Pupu	id=g:4035267
Lepea	id=g:4035268
Lepā	id=g:4035270
Cape Lemū	id=g:4035272
Lelepa	id=g:4035273
Lefaga Bay	id=g:4035274
Lefaga	id=g:4035275
Leaveave	id=g:4035276
Leauva‘a	id=g:4035277
Lealatele	id=g:4035278
Lealaalii	id=g:4035279
Leagiagi	id=g:4035280
Mount Lauti	id=g:4035282
Lauli’i Stream	id=g:4035283
Lauli’i	id=g:4035284
Lataiuta	id=g:4035287
Lata	id=g:4035288
Lara Lafa	id=g:4035289
Lanutoo	id=g:4035290
Mount Lanutata	id=g:4035291
Lake Lanoataata	id=g:4035292
Mount Lanotai	id=g:4035293
Lano	id=g:4035294
Lanafala	id=g:4035295
Lalovi	id=g:4035296
Lalomauga	id=g:4035297
Lalomauga	id=g:4035298
Lalomauga	id=g:4035299
Lalomanu	id=g:4035300
Lalomalava	id=g:4035301
Lake Lanoanea	id=g:4035302
Juno Rock	id=g:4035303
Iva	id=g:4035304
Itu Anoamaa	id=g:4035305
Ili’ili	id=g:4035306
Cape Horn	id=g:4035307
Gautavai	id=g:4035309
Gataivai	id=g:4035310
Gasegase Stream	id=g:4035311
Gagaifomauga	id=g:4035313
Gaga`emauga	id=g:4035314
Gagaemalae Point	id=g:4035315
Gagaemalae	id=g:4035316
Fatuanava Island	id=g:4035317
Fusi	id=g:4035318
Fusi	id=g:4035319
Fuluasou River	id=g:4035320
Fuiave’a	id=g:4035322
Fuailolo‘o	id=g:4035323
Fogatuli	id=g:4035324
Fogasavai’i	id=g:4035325
Foailuga	id=g:4035326
Foailalo	id=g:4035327
Fo‘a Bay	id=g:4035328
Mount Fiamoe	id=g:4035330
Fausaga	id=g:4035331
Fatuvalu	id=g:4035332
Cape Fatuosofia	id=g:4035333
Fatumanā	id=g:4035334
Fasito‘outa	id=g:4035335
Fasito‘otai	id=g:4035336
Mount Fao	id=g:4035338
Fanuatapu Island	id=g:4035339
Falevao	id=g:4035340
Falevai	id=g:4035341
Fetaulaiga	id=g:4035342
Cape Faleula	id=g:4035344
Faleula	id=g:4035345
Faleu	id=g:4035346
Faleapuna	id=g:4035347
Falepuna	id=g:4035348
Falepouma‘a	id=g:4035349
Faleolo	id=g:4035350
Faleolo	id=g:4035351
Falelima	id=g:4035352
Falelatai Reef	id=g:4035353
Falelatai	id=g:4035354
Falefa River	id=g:4035355
Falefa Bay	id=g:4035356
Falefa Falls	id=g:4035357
Falefa	id=g:4035358
Faleatiu	id=g:4035359
Faleata Stream	id=g:4035360
Faleata	id=g:4035361
Faleasi‘u	id=g:4035362
Faleaseela River	id=g:4035364
Faleaseela	id=g:4035365
Falealupo Road	id=g:4035366
Faleālupo	id=g:4035367
Falealupo	id=g:4035368
Falealili Harbor	id=g:4035369
Falealili	id=g:4035370
Fai’a’ai	id=g:4035371
Fagamalo	id=g:4035372
Fagaloa Bay	id=g:4035373
Fagaloa	id=g:4035374
Fagalii Stream	id=g:4035375
Fagali‘i Bay	id=g:4035376
Fagali‘i	id=g:4035377
Fagalepolu	id=g:4035378
Fagalele Bay	id=g:4035379
Fagaiofu	id=g:4035380
Fagafau	id=g:4035381
Faga	id=g:4035382
Fa`asaleleaga	id=g:4035383
Mount Fa’ani	id=g:4035384
Ewa Point	id=g:4035385
Eva	id=g:4035386
Etemuli	id=g:4035387
East Reef	id=g:4035388
East Point	id=g:4035389
Clilate River	id=g:4035390
Branleer	id=g:4035392
Aveavai	id=g:4035394
Avatele Pass	id=g:4035395
Avatā	id=g:4035396
Avao	id=g:4035397
Avalua	id=g:4035398
A‘ufaga	id=g:4035399
Auala	id=g:4035400
Atufiu	id=g:4035401
Atua	id=g:4035402
Cape Asuisui	id=g:4035404
Asi	id=g:4035405
Asau Harbour	id=g:4035406
Asaga	id=g:4035407
Ariadue Point	id=g:4035408
Apolima Strait	id=g:4035409
Apolima Lagoon	id=g:4035410
Apolima Island	id=g:4035411
Apia Harbour	id=g:4035412
Apia	id=g:4035413
A’opo	id=g:4035414
Mount Anaota	id=g:4035415
Amaile	id=g:4035416
Alelupe Bay	id=g:4035418
Alelai Point	id=g:4035419
Aleipata Road	id=g:4035420
Aleipata	id=g:4035421
Albatross Island	id=g:4035422
Alataua	id=g:4035423
Ma’agao	id=g:4035424
Aiga-i-le-Tai	id=g:4035425
Ahners	id=g:4035426
Aganoa	id=g:4035427
Mount Afutina	id=g:4035428
Mount Afolau	id=g:4035429
Afiamalu	id=g:4035430
Mount Afi	id=g:4035431
Afenga	id=g:4035432
A‘ana Reef	id=g:4035433
A`ana	id=g:4035434
Apia / Upolu Island	id=g:6299960
Faleolo Intl / Apia	id=g:6299961
Manunu	id=g:7041881
Mount Fealofani	id=g:7044076
Kosena	id=g:7045199
Mount Poutavai	id=g:7045200
Mount Vaipu	id=g:7045201
East Point	id=g:7045202
Cape Tagisia	id=g:7045203
Mount Fito	id=g:7046388
Ti’avea	id=g:7046389
Mount Tiatala	id=g:7046409
Mount To’ona	id=g:7046410
Fagatoloa River	id=g:7046411
Sasita	id=g:7046412
To-le-sua	id=g:7046413
To-sua	id=g:7046414
Toloavatu	id=g:7046415
Pinipini	id=g:7046416
Vailoa Stream	id=g:7046417
Vaifaliuga Stream	id=g:7046418
Cape Nene	id=g:7046419
Mount Mauga Sa	id=g:7046420
Afulilo Dam	id=g:7046421
Sopoaga Falls	id=g:7046422
Matautu Point	id=g:7046423
Nu’utele Island	id=g:7046424
Cape Utusi’a	id=g:7046425
Namo River	id=g:7046426
Mount Latalua	id=g:7090894
Mount Fagaga	id=g:7090895
Lua-o-tane	id=g:7090896
Lua-o-fafine	id=g:7090897
Malaela	id=g:7090898
Vaisula Stream	id=g:7090899
Vaipulau Stream	id=g:7090900
Masavai Stream	id=g:7090901
Lake Olomaga	id=g:7090902
Lake Lanoto	id=g:7090903
Mount Savai’i	id=g:7090904
Mount Seuga	id=g:7090905
Mount Fogalepulu	id=g:7090906
Mount Mauga-o-Alii	id=g:7090907
Vaipu	id=g:7090908
Vailoa	id=g:7090909
Moaniu Point	id=g:7090910
Mafuatuolesolo Point	id=g:7090911
Togitogiga	id=g:7090912
Mataloa Stream	id=g:7090913
Cape Utuele	id=g:7090914
Cape Vaitulu	id=g:7090915
Cape Tulaele	id=g:7090916
Taulagap’a Island	id=g:7090917
Cape Lapelape	id=g:7090918
Mulivai Stream	id=g:7090919
Apolimafou	id=g:7106232
Musugale Point	id=g:7106233
Manono-uta	id=g:7106234
Cape Tulivae	id=g:7106235
Vailavea	id=g:7106236
Asia Point	id=g:7106237
Fagalei	id=g:7106238
Fagalei Bay	id=g:7106239
Fagaiofu Bay	id=g:7106240
Gagaifoolevao	id=g:7106241
Lefaga	id=g:7106242
Matareva Beach	id=g:7106243
Salamumu Beach	id=g:7106244
Utusega Point	id=g:7106245
Nu’uavasa Island	id=g:7106246
Utumalama Point	id=g:7106247
Sataoauta	id=g:7106248
Lotofagauta	id=g:7106249
Sa’agafou	id=g:7106250
Faga Stream	id=g:7106251
Vaisala Stream	id=g:7106252
Vaigalu Stream	id=g:7106253
Sinoi Stream	id=g:7106254
Vaiama Stream	id=g:7106255
Lata	id=g:7106256
Matāutu	id=g:7106257
Nu‘utele	id=g:7106258
Vini	id=g:7106259
Vaiole Tama Spring	id=g:7106260
Sagafoe Point	id=g:7106261
Cape Manu’ā	id=g:7106262
Ti’avea-uta	id=g:7106263
Samusu-uta	id=g:7106264
Utuofu	id=g:7106265
Faleapuna Bay	id=g:7106266
Mount Olo	id=g:7106267
Mount Olomanu	id=g:7106268
Afolau	id=g:7106269
Paepae‘alā	id=g:7106270
Mulifanua Wharf	id=g:7106271
Sagafili	id=g:7106272
Afia	id=g:7106273
Sina	id=g:7106274
Tafue	id=g:7106275
A’elefou	id=g:7106276
A’ele	id=g:7106277
Nuu	id=g:7106278
Korea	id=g:7106279
Vaipoto	id=g:7106280
Petesa-fou	id=g:7106281
Vaitele-uta	id=g:7106282
Olosega	id=g:7106283
Lafi	id=g:7106284
Tafa’igata	id=g:7106285
Faleauniu	id=g:7106286
Tanumapua	id=g:7106287
Ululoloa	id=g:7106288
Se’ese’e	id=g:7106289
Tua‘efu	id=g:7106290
Tapatapao	id=g:7106291
Leaupuni	id=g:7106292
Falemauga	id=g:7106293
Laloanea	id=g:7106294
Lepiu	id=g:7106295
Papase‘ea Stream	id=g:7106296
Alafua	id=g:7106297
Lotopa	id=g:7106298
Talimatau	id=g:7106299
Pesega	id=g:7106300
Vaitoloa	id=g:7106301
Alamagoto	id=g:7106302
Sinamoga	id=g:7106303
Leufisa	id=g:7106304
Lalovaea	id=g:7106305
Leone	id=g:7106306
Faatoia	id=g:7106307
Vaipuna	id=g:7106308
Taumeasina Island	id=g:7106309
Vaivase-uta	id=g:7106310
Avele	id=g:7106311
Vaoala	id=g:7106312
Letava	id=g:7106313
Tapu Afu	id=g:7106314
Le-fale-o-le-fee	id=g:7106315
Fasafasa	id=g:7106316
Papaoga	id=g:7106317
Papapapaitai	id=g:7106318
Papapapaiuta	id=g:7106319
Papapapaitai Falls	id=g:7106320
Pe‘ape‘a Cave	id=g:7106321
Mauga’ulu	id=g:7106322
Lepuia’i	id=g:7106323
Lepuia’i Island	id=g:7106324
Apai	id=g:7106325
Mulinu’u Point	id=g:7106326
Falemoa	id=g:7106327
Satuilagi	id=g:7106328
Salua	id=g:7106329
Pagai	id=g:7106330
Satoi	id=g:7106331
Faaala	id=g:7106332
Vaito‘omuli	id=g:7106333
Nu’ualofa	id=g:7106334
Mosula	id=g:7106335
Pitonuu	id=g:7106336
Vaega	id=g:7106337
Vaiolelai	id=g:7106338
Leanamoea	id=g:7106339
Vaegauta	id=g:7106340
Satufiauta	id=g:7106341
Vaiala	id=g:7106342
Nofoa	id=g:7106343
Siuniu	id=g:7106344
Vaimate	id=g:7106345
Masalaolao	id=g:7106346
Alia o le Gaoa	id=g:7106347
Oloava	id=g:7106348
Tamasaga	id=g:7106349
Cape Mataume	id=g:7106350
Falealia	id=g:7106351
Masalaolao Stream	id=g:7106352
Maota	id=g:7106353
Mount Oloulu	id=g:7106354
Mount Leatupue	id=g:7106355
Mount Ulivaa	id=g:7106356
Mount Ologae	id=g:7106357
Salelologa Wharf	id=g:7106358
Nu’upulu Island	id=g:7106359
Sapulu	id=g:7106360
Foua	id=g:7106361
Mount Valusia	id=g:7106362
Salelavalu-tai	id=g:7106363
Vai’afai	id=g:7106364
Safua	id=g:7106365
Fusi	id=g:7106366
Fatausi	id=g:7106367
Fogapoā	id=g:7106368
Pue Hill	id=g:7106369
Mount Pue	id=g:7106370
Mount Nei	id=g:7106371
Vai’a’ata	id=g:7106372
Nuuuta	id=g:7106373
Le’eka	id=g:7106374
Lataitai	id=g:7106375
Vaivega	id=g:7106376
Palapala	id=g:7106377
Tanoaalea	id=g:7106378
Mount Fatuafie	id=g:7106379
Mount Olotane	id=g:7106380
Mount Tiafue	id=g:7106381
Samataiuta	id=g:7106382
Cape Fatune’a	id=g:7106383
Cape Siuvao	id=g:7106384
Mount Talie	id=g:7106385
Mount Fatu o Sina	id=g:7106386
Mount Sama’au	id=g:7106387
Mount Talu	id=g:7106388
Mount Olotai	id=g:7106389
Mount Fui’ono	id=g:7106390
Muli Mountain	id=g:7106391
Falealupo-uta	id=g:7106392
Fagasā	id=g:7106393
Puke Point	id=g:7106394
Utuloa Point	id=g:7106395
Alupe	id=g:7106396
Le Pu	id=g:7106397
Anini	id=g:7106398
Tuasivi Ridge	id=g:7106399
Mount Mu	id=g:7106400
Mount Mata o le Afi	id=g:7106401
Mount Elietoga	id=g:7106402
Fo’a	id=g:7106403
Fagae’e	id=g:7106404
Faletagaloa	id=g:7106405
Lefagaoali’i	id=g:7106406
Dwarf Cave	id=g:7106407
Vailolo	id=g:7106408
Toafaloa	id=g:7106409
Le Piu Uta	id=g:7106410
Le Piu Tai	id=g:7106411
Tolou‘iava	id=g:7106412
Safe’e	id=g:7106413
Valaluaoala	id=g:7106414
Mount Mauga’ele	id=g:7106415
Mount Fualua	id=g:7106416
Muliolo	id=g:7106417
Mumea	id=g:7106418
Sologa	id=g:7106419
Valalua	id=g:7106420
Mount To’alepai	id=g:7106421
Mauga	id=g:7106422
Mount Maugaloa	id=g:7106423
Falelau	id=g:7106424
Pagafu	id=g:7106425
Papalaulelei	id=g:7106426
Mount Tagotala	id=g:7106427
Lesolo Point	id=g:7106428
Leato Point	id=g:7106429
Pugaoa	id=g:7106430
Utumalama Point	id=g:7106431
Salimu	id=g:7106432
Malae	id=g:7106433
