Qaanaaq	id=g:3831208
Sare Buhum	id=g:2412118
Sare Bona	id=g:2412119
Sare Boja	id=g:2412120
Sare Bocchi	id=g:2412121
Sare Biram	id=g:2412122
Sare Beru	id=g:2412123
Sare Belali	id=g:2412124
Sare Bakary Demba	id=g:2412125
Sare Bakary	id=g:2412126
Sare Bacha	id=g:2412127
Sare Babu Jimby	id=g:2412128
Sare Babu	id=g:2412129
Sare Amady Jabel	id=g:2412130
Sare Ali	id=g:2412131
Sare Ali	id=g:2412132
Sare Abdou	id=g:2412133
Sara Mama	id=g:2412134
Sara Kunda	id=g:2412135
Sara Juma	id=g:2412136
Sara Job Kunda	id=g:2412137
Sarro Bolon	id=g:2412138
Sapu	id=g:2412139
Sanyang	id=g:2412140
Sanyang	id=g:2412141
Sanunding	id=g:2412142
Santanto Yoba Jallow	id=g:2412143
Santanto Serifu M’Balo	id=g:2412144
Santanto Omar Kande	id=g:2412145
Santanto Mawdo Bambe	id=g:2412146
Santanto Jamuya Kande	id=g:2412147
Santanto Bubu Tabanding	id=g:2412148
Santanto Bolon	id=g:2412149
Santangkoto	id=g:2412150
Santang Ba	id=g:2412151
Santangba	id=g:2412152
Santamba Wharf	id=g:2412153
Sansankoto Island	id=g:2412154
Sansa Nding	id=g:2412155
Sanneh Kunda	id=g:2412156
Sankwia Tenda	id=g:2412157
Sankwia	id=g:2412158
Sankuli Kunda	id=g:2412160
Sankulekunda	id=g:2412161
Sankulejang	id=g:2412162
Sankandi	id=g:2412163
Sankalang	id=g:2412164
Sankabarry	id=g:2412165
Saniang Point	id=g:2412166
Saniang Kunda	id=g:2412167
Saniang Kunda	id=g:2412168
Sanianga	id=g:2412169
Sanguleh	id=g:2412170
Sangkarang	id=g:2412171
Sangajor Jiramba	id=g:2412172
Sangajor Jiramba	id=g:2412173
Sangajor	id=g:2412174
Sangajor	id=g:2412175
Sandu	id=g:2412176
Sandeng	id=g:2412177
Sandehmunku	id=g:2412178
Sanda	id=g:2412179
Sanchi	id=g:2412180
Sanchi	id=g:2412181
Sancha Palen	id=g:2412182
Sancha Madina	id=g:2412183
Sanchabari	id=g:2412184
Sanchabari	id=g:2412185
Sanchaba	id=g:2412186
Sanchaba	id=g:2412187
Sanchaba	id=g:2412188
Sam Ngaien	id=g:2412189
Sam Joben	id=g:2412190
Sami Wharf Town	id=g:2412191
Sami Surwa Kunda	id=g:2412192
Sami Pachonki	id=g:2412193
Sami Omar Jula	id=g:2412194
Sami Madina	id=g:2412195
Sami Koto	id=g:2412196
Sami Bolon	id=g:2412197
Sami Bajonkoto	id=g:2412198
Sami	id=g:2412199
Sami	id=g:2412200
Sami	id=g:2412201
Sameh	id=g:2412202
Sambuya	id=g:2412203
Sambuya	id=g:2412204
Sambo Tumang Forest Park	id=g:2412205
Sambel Kunda	id=g:2412206
Sambeli Kunda	id=g:2412207
Samba Yerro	id=g:2412208
Samba Ya Nding	id=g:2412209
Samba Ya	id=g:2412210
Samba Tako	id=g:2412211
Samba Sotor	id=g:2412212
Samba Secka	id=g:2412213
Sambantalu	id=g:2412214
Sambang Wolloff	id=g:2412215
Sambang Tenda	id=g:2412216
Sambang	id=g:2412217
Samba Ndama	id=g:2412218
Samba Musu	id=g:2412219
Samba Kunda	id=g:2412220
Sambakubasu	id=g:2412221
Samba Kabude	id=g:2412222
Samba Jowala	id=g:2412223
Sambai Kunda	id=g:2412224
Salokuta Forest Park	id=g:2412225
Salikeni Point	id=g:2412226
Salikeni	id=g:2412227
Salikene Bolon	id=g:2412228
Salikene	id=g:2412229
Salikene	id=g:2412230
Salekini Bolon	id=g:2412231
Salanding	id=g:2412232
Salagi Forest Park	id=g:2412233
Sala	id=g:2412234
Sakura	id=g:2412235
Saja Kunda	id=g:2412236
Banjul Island	id=g:2412237
Saint Mary Shoal	id=g:2412238
Cape Point	id=g:2412239
Sainala	id=g:2412240
Safalu	id=g:2412241
Sabu Sirae	id=g:2412242
Sabuseri	id=g:2412243
Sabu Kunda	id=g:2412244
Sabigending	id=g:2412245
Sabi Forest Park	id=g:2412246
Sabi	id=g:2412247
Sabi	id=g:2412248
Sabari	id=g:2412249
Sabally Kunda	id=g:2412250
Sabach Ngaien	id=g:2412251
Saba	id=g:2412252
Renerru	id=g:2412253
Ramatulai	id=g:2412254
Prufu Swamp	id=g:2412256
Prince	id=g:2412258
Porli	id=g:2412259
Polodi	id=g:2412260
Polga	id=g:2412261
Plinky Wopp	id=g:2412262
Plinky Bakary	id=g:2412263
Pirang Bolon	id=g:2412264
Pirang	id=g:2412265
Pirang	id=g:2412266
Piniai Mandinka	id=g:2412267
Piniai Fula Kunda	id=g:2412268
Pimak	id=g:2412269
Pima Bolon	id=g:2412270
Perai Tenda	id=g:2412271
Perai	id=g:2412272
Penjem	id=g:2412273
Pelngo	id=g:2412274
Payama Bolon	id=g:2412275
Payama	id=g:2412276
Pateh Ya	id=g:2412278
Pateh Sam	id=g:2412279
Patchunko	id=g:2412280
Patatale Bolon	id=g:2412281
Pasul Island	id=g:2412282
Passi Mut	id=g:2412283
Passimu	id=g:2412284
Passimu	id=g:2412285
Passi Mamut	id=g:2412286
Passi Challi	id=g:2412287
Passi	id=g:2412288
Pasari Island	id=g:2412289
Parker’s Creek	id=g:2412290
Pappa Island	id=g:2412291
Pappa	id=g:2412292
Panne Ba	id=g:2412293
Pangon Island	id=g:2412294
Panchari Sana	id=g:2412295
Panchang Madi Fana	id=g:2412296
Panchang	id=g:2412297
Pallol Pol Ollof	id=g:2412298
Pallan Toranka	id=g:2412299
Pallan Mandinka	id=g:2412300
Pallan Bolon	id=g:2412301
Palen Wollof	id=g:2412302
Palen Sanjal	id=g:2412303
Palen N’Dimba	id=g:2412304
Palen Fula	id=g:2412305
Palen	id=g:2412306
Palelai	id=g:2412307
Palaka	id=g:2412308
Pakuba Bolon	id=g:2412309
Pakuba	id=g:2412310
Pakela Demba Colleh	id=g:2412311
Pakau Penku	id=g:2412312
Pakau Ba	id=g:2412313
Pakan	id=g:2412314
Pakali Nding	id=g:2412315
Pakali Ba	id=g:2412316
Pakala Forest Park	id=g:2412317
Pakala	id=g:2412318
Pakala	id=g:2412319
Pakala	id=g:2412320
Painor Swamp	id=g:2412321
Paima	id=g:2412322
Pancholi	id=g:2412323
Pancholi	id=g:2412324
Pancholi	id=g:2412325
Pachar Bolon	id=g:2412326
Denton Bridge	id=g:2412327
Oyster Creek	id=g:2412328
Omortoh	id=g:2412329
Omar Jowara	id=g:2412330
Old Jeswang	id=g:2412331
Oceesay Kunday	id=g:2412332
Nyorro	id=g:2412333
Nyofelleh	id=g:2412334
Nyofelleh Manjago	id=g:2412335
Nyofelleh Madina	id=g:2412336
Nyirba	id=g:2412337
Nyassang Forest Park	id=g:2412338
N’Yang Kunda	id=g:2412339
Nyangan	id=g:2412340
Nyanga Bantang	id=g:2412341
Nyanaberi Forest Park	id=g:2412342
Nyambai Forest Park	id=g:2412343
Nyamanari	id=g:2412344
Nyafui	id=g:2412345
Nyafui	id=g:2412346
Nyaffy	id=g:2412347
Numyell	id=g:2412348
Numu Kunda Kotor	id=g:2412349
Numu Kunda	id=g:2412350
N’Toro Alasan	id=g:2412351
Nowleru	id=g:2412352
North Bank Division	id=g:2412353
No Kunda Fula	id=g:2412354
No Kunda	id=g:2412355
Nkea Kunda	id=g:2412356
Njugar Kunda	id=g:2412357
N’Jubdu Island	id=g:2412358
N’Joren	id=g:2412359
N’Joofain	id=g:2412360
Njongon	id=g:2412361
Njolfen	id=g:2412362
N’Jok	id=g:2412363
Njohnen	id=g:2412364
Njogoben	id=g:2412365
Njoben Wollof	id=g:2412366
Njoben Tukulor	id=g:2412367
Njoben Samba Narr Bah	id=g:2412368
N’Joben	id=g:2412369
N’Joben	id=g:2412370
Njoben	id=g:2412371
N’Joben	id=g:2412372
Njoba Kunda	id=g:2412373
Njie Kundaring	id=g:2412374
Njie Kunda	id=g:2412375
N’Jie Kunda	id=g:2412376
Njie Kunda	id=g:2412377
Njenghen Njie Kunda	id=g:2412378
Njayel	id=g:2412379
Njau Jahu	id=g:2412380
Njau	id=g:2412381
N’Jarry Njoffa	id=g:2412382
Njarinjufa	id=g:2412383
Njangen	id=g:2412384
N’Jameng Kunda	id=g:2412385
Njamburr	id=g:2412386
Njambour	id=g:2412387
Njama Fafa Sise	id=g:2412388
N’Jama	id=g:2412389
N’Jal Mbye	id=g:2412390
Njallal	id=g:2412391
Njalal Tukulor	id=g:2412392
N’Jalal Pole	id=g:2412393
Nja Kunda	id=g:2412394
N’Ja Kunda	id=g:2412395
Njai Kunda	id=g:2412396
Njai Kunda	id=g:2412397
N’Jaien	id=g:2412398
Njaga Jarry	id=g:2412399
Njabo	id=g:2412400
Nioro Wollof	id=g:2412401
Nioro Tukulore	id=g:2412402
Nioro Jattaba	id=g:2412403
Nioro Ebrima Won	id=g:2412404
Nioro Demba Njie	id=g:2412405
Nioro Buba Njie	id=g:2412406
Nioro Bamba	id=g:2412407
Nioro	id=g:2412408
Nimsat	id=g:2412409
Nila Koto	id=g:2412410
Niji Bolon	id=g:2412411
Niji	id=g:2412412
Niji	id=g:2412413
Niji	id=g:2412414
Nibras	id=g:2412415
Niawoorulung	id=g:2412416
Niankui	id=g:2412417
Nianimaru Forest Park	id=g:2412418
Niani Maru	id=g:2412419
Nianija	id=g:2412420
Niani	id=g:2412421
Niamina West	id=g:2412422
Niamina East	id=g:2412423
Niamina Dankunku	id=g:2412424
Niambolon	id=g:2412425
Niakoi	id=g:2412426
Niahen	id=g:2412427
Ngueur	id=g:2412428
Ngooka	id=g:2412429
Ngike	id=g:2412430
N’Gien	id=g:2412431
Nghato Norr	id=g:2412432
N’Geyen Sanjal	id=g:2412433
N’Geyen Sabach	id=g:2412434
N’Geyen Fula	id=g:2412435
N’Geyen	id=g:2412436
Ngeden	id=g:2412437
N’Gayen	id=g:2412438
Ngawar	id=g:2412439
Nganingkoi Bolon	id=g:2412440
Nganingkoi	id=g:2412441
Ngallen	id=g:2412442
N’Gale Kunda	id=g:2412443
Ngaien Beretto	id=g:2412444
N’Gaien	id=g:2412445
Nettebiri	id=g:2412446
Nemataba	id=g:2412447
Nemasamba	id=g:2412448
Nema Kuta	id=g:2412449
Nema Kuta	id=g:2412450
Nema Kunku	id=g:2412451
Nema Kunku	id=g:2412452
Nema Kunda	id=g:2412453
Nema	id=g:2412454
Nema	id=g:2412455
Nema	id=g:2412456
Nema	id=g:2412457
Nema	id=g:2412458
Nema	id=g:2412459
Nduren	id=g:2412460
N’Dungu Kebbe	id=g:2412461
N’Dungu Charen	id=g:2412462
Ndrammeh	id=g:2412463
Ndowen	id=g:2412464
N’Dorrna	id=g:2412465
N’Dorna	id=g:2412466
N’Dofan	id=g:2412467
N’Ding Madina	id=g:2412468
Ndimbuya Romba	id=g:2412469
Ndimbo	id=g:2412470
Ndemban Jola	id=g:2412472
N’Demba N’Ding	id=g:2412473
Ndemban Chapechum	id=g:2412474
Ndemban Ba	id=g:2412475
Ndanka Ndanka	id=g:2412476
Ndangen	id=g:2412477
Ndakaru	id=g:2412478
Ndakar Angleh	id=g:2412479
N’Daharr	id=g:2412480
Naude	id=g:2412481
Napoli	id=g:2412482
Naneko	id=g:2412483
Nana	id=g:2412484
Nafuka	id=g:2412485
Nafugan	id=g:2412486
Mutaro Kunda Forest Park	id=g:2412487
Musu Bolon	id=g:2412488
Musa Kunda	id=g:2412489
Musa Deba	id=g:2412490
Mure Kunda	id=g:2412491
Munya Gen	id=g:2412492
Munku Talla	id=g:2412493
Mungo Park Memorial	id=g:2412494
Mundong	id=g:2412495
Mousa Nding Kunda	id=g:2412496
Mootah Point	id=g:2412497
Monong	id=g:2412498
Monkey Court	id=g:2412499
Momadu Kunda	id=g:2412500
Modu Jawo Kunda	id=g:2412501
Modouya	id=g:2412502
Missira Tenda	id=g:2412503
Missira Patteh	id=g:2412504
Missira Ngain Tanu	id=g:2412505
Missira Mbaien	id=g:2412506
Missira	id=g:2412507
Missera Amadou Badjan	id=g:2412508
Misira Toben	id=g:2412509
Misira Sambail Cham	id=g:2412510
Misira Fafa Jow	id=g:2412511
Misira Alhaji	id=g:2412512
Misira	id=g:2412513
Misira	id=g:2412514
Misira	id=g:2412515
Misira	id=g:2412516
Misira	id=g:2412517
Misira	id=g:2412518
Misira	id=g:2412519
Misera	id=g:2412520
Misera	id=g:2412521
Misera	id=g:2412522
Misera	id=g:2412523
Misera	id=g:2412524
Minti Kunda	id=g:2412525
Minjang	id=g:2412526
Koular Bôlon	id=g:2412527
Mina	id=g:2412528
Mimang Island	id=g:2412529
Middle Ground	id=g:2412530
Mesaith Sayan	id=g:2412531
Mendy Kunda	id=g:2412532
Memmeh Bolon	id=g:2412533
Memmeh	id=g:2412534
Medina Suware Kunda	id=g:2412535
Medina Sotokoi	id=g:2412536
Medina Sering Njie	id=g:2412537
Medina Seringe Mass	id=g:2412538
Medina Sedia	id=g:2412539
Medina Sacheboe	id=g:2412540
Medina Njien	id=g:2412541
Medina Njammeh Sise	id=g:2412542
Medina Njama	id=g:2412543
Medina Modum	id=g:2412544
Medina Mannen	id=g:2412545
Medina Manneh	id=g:2412546
Medina Kanuma	id=g:2412547
Medina Jambol	id=g:2412548
Medina-Duisi	id=g:2412549
Medina Dudu	id=g:2412550
Medina	id=g:2412551
Medina	id=g:2412552
Medina	id=g:2412553
Medina	id=g:2412554
Mbye Niake	id=g:2412555
Mbye Kunda	id=g:2412556
Mbulum	id=g:2412557
M’Bulum	id=g:2412558
Mbul Manda	id=g:2412559
Mbulgurk	id=g:2412560
M’Bowen	id=g:2412561
M’Bollet N’Ding	id=g:2412562
Mbollet Bah	id=g:2412563
Mbolgoh	id=g:2412564
Mbol Bouk	id=g:2412565
Mbogen	id=g:2412566
M’Bawarr	id=g:2412567
Mbarra Kunku	id=g:2412568
Mbaro	id=g:2412569
Mbap Marigay	id=g:2412570
Mbap Ba	id=g:2412571
MBangkama	id=g:2412572
Mbange Ndarra	id=g:2412573
Mban	id=g:2412574
Mbamori Kunda	id=g:2412575
Mballo Kunda	id=g:2412576
Mbaien Wollof	id=g:2412577
Mbaien Sara Kumba Kah	id=g:2412578
Mbaien Maka	id=g:2412579
Mbaien Ker Nyang	id=g:2412580
M’Baien Fulla	id=g:2412581
Mbaien Chand Mbye	id=g:2412582
Mbaien Burama	id=g:2412583
Mbaien	id=g:2412584
Mbaien	id=g:2412585
Mbaien	id=g:2412586
Mbaien	id=g:2412587
Mbaien	id=g:2412588
Mayork	id=g:2412589
Mayamba	id=g:2412590
Maundeh Kunda	id=g:2412591
Massembe Chandere	id=g:2412592
Massembe	id=g:2412593
Marsai	id=g:2412594
Marrong Kunda	id=g:2412595
Marike Forest Park	id=g:2412596
Marige	id=g:2412597
Mariama Kunda	id=g:2412598
Marfenda Bolon	id=g:2412599
Mara Magai	id=g:2412600
Marakissa	id=g:2412601
Mansal	id=g:2412603
Mansa Kunda	id=g:2412604
Mansa Konko	id=g:2412605
Mansajang Kunda	id=g:2412606
Mano Kotor	id=g:2412607
Manna	id=g:2412608
Manjai Kunda	id=g:2412609
Manjaharr	id=g:2412610
Manita Bolon	id=g:2412611
Manike	id=g:2412612
Maniama Forest	id=g:2412613
Mania	id=g:2412614
Mangiumba	id=g:2412615
Manena Kai-ima	id=g:2412616
Mane Kunda	id=g:2412617
Manduar	id=g:2412618
Manduar	id=g:2412619
Mandori Bolon	id=g:2412620
Mandori	id=g:2412621
Mandinari Point	id=g:2412622
Mandinari Flats	id=g:2412623
Mandinari Bolon	id=g:2412624
Mandinari	id=g:2412625
Mandina Point	id=g:2412626
Mandina Bolon	id=g:2412627
Mandinaba	id=g:2412628
Mandina	id=g:2412629
Mandina	id=g:2412630
Manar	id=g:2412631
Mamu Fana	id=g:2412632
Mampata Yeli	id=g:2412633
Mamayungebi Hill	id=g:2412634
Mamadi Sisi	id=g:2412635
Mamadi Ceesay	id=g:2412636
Mamaberry Bolon	id=g:2412637
Malubaliya	id=g:2412638
Maliky Mansong	id=g:2412639
Male Kunda	id=g:2412640
Maka Wollof	id=g:2412641
Maka Omar Manneh	id=g:2412642
Maka Njen Jam	id=g:2412643
Makama	id=g:2412644
Makajan Kunda	id=g:2412645
Makajan	id=g:2412646
Maka Gui	id=g:2412647
Maka Gui	id=g:2412648
Maka Farafenni	id=g:2412649
Maka Bala Mana	id=g:2412650
Maka	id=g:2412651
Maka	id=g:2412652
Maka	id=g:2412653
Maka	id=g:2412654
Maka	id=g:2412655
Majama Kunda	id=g:2412656
Maimeh	id=g:2412657
Maidi	id=g:2412658
Mahnyinah	id=g:2412659
Mahmuda	id=g:2412660
Maga Geyor	id=g:2412661
Madina Yoro Sowe	id=g:2412662
Madina Umfally	id=g:2412663
Madina Tunjang	id=g:2412664
Madina Tenda	id=g:2412665
Madina Talakoto	id=g:2412666
Madina Sinchu Yoro	id=g:2412667
Madina Sey Kunda	id=g:2412668
Madina Sadda	id=g:2412669
Madina N’Yang-en	id=g:2412670
Madina Njugari	id=g:2412671
Madina Njaine	id=g:2412672
Madina Njaien	id=g:2412673
Madina Mbaien	id=g:2412674
Madina Madi	id=g:2412675
Madina Kuta	id=g:2412676
Madina Kuru	id=g:2412677
Madina Jawbeh	id=g:2412678
Madina Fula Kunda	id=g:2412679
Madina Fula Balde	id=g:2412680
Madina Demba Forest Park	id=g:2412681
Madina Dabo Kunda	id=g:2412682
Madina Bolon	id=g:2412683
Madina Bala	id=g:2412684
Madina Bafuloto	id=g:2412685
Madina Adam	id=g:2412686
Madina	id=g:2412687
Madina	id=g:2412688
Madina	id=g:2412689
Madina	id=g:2412690
Madina	id=g:2412691
Madina	id=g:2412692
Madina	id=g:2412693
Madina	id=g:2412694
Madina	id=g:2412695
Madina	id=g:2412696
Madina	id=g:2412697
Madina	id=g:2412698
Madina	id=g:2412699
Madina	id=g:2412700
Madina	id=g:2412701
Madina	id=g:2412702
Madiana	id=g:2412703
Madiana	id=g:2412704
Madiana	id=g:2412705
Madi	id=g:2412706
Central River Division	id=g:2412707
MacCarthy Island	id=g:2412708
Macca	id=g:2412709
Mabali Kuta	id=g:2412710
Mabali Kotor	id=g:2412711
Lumen	id=g:2412712
Lumang	id=g:2412713
Luluchore	id=g:2412714
Lower Saloum	id=g:2412715
Lower River Division	id=g:2412716
Lower Niumi District	id=g:2412717
Lower Baddibu District	id=g:2412718
Lohen Forest Park	id=g:2412719
Lohen	id=g:2412720
Logo Moji	id=g:2412721
Little Pappa Island	id=g:2412722
Linjanya	id=g:2412723
Limbambulu	id=g:2412724
Limbambulu	id=g:2412725
Limbambulu	id=g:2412726
Lewna	id=g:2412727
Lewna	id=g:2412728
Legi Kunda	id=g:2412729
Leese Ya	id=g:2412730
Leba Sasuna	id=g:2412731
Leba Samba	id=g:2412732
Leba Pegail	id=g:2412733
Leba Mali Mbye	id=g:2412734
Leba Biji	id=g:2412735
Laybah Swamp	id=g:2412736
Latri Sabiji	id=g:2412737
Latri Kunda	id=g:2412738
Larlagoi	id=g:2412739
Lang Sarr	id=g:2412740
Lang Sarr	id=g:2412741
Lamoi	id=g:2412742
Lamin Point	id=g:2412743
Lamin Koto	id=g:2412744
Lamin Island	id=g:2412745
Lamin Daranka Channel	id=g:2412746
Lamin Bolon	id=g:2412747
Lamin	id=g:2412748
Lamin	id=g:2412749
Lama	id=g:2412750
Laliya	id=g:2412751
Labba Korreh	id=g:2412752
Kwinella	id=g:2412753
Kuyarang	id=g:2412754
Kuyang	id=g:2412755
Kusun Swamp	id=g:2412756
Kusun Forest Park	id=g:2412757
Kusun	id=g:2412758
Kusi	id=g:2412759
Kusaywa Forest Park	id=g:2412760
Kusassa	id=g:2412761
Kusalang	id=g:2412762
Kusaie	id=g:2412763
Kusa Burey	id=g:2412764
Kuryande	id=g:2412765
Kurup	id=g:2412766
Kur Kur Yoro Mballow	id=g:2412767
Kurinulain	id=g:2412768
Kurau Kemo Arfang	id=g:2412769
Kurau Bakari	id=g:2412770
Kurang Kotor	id=g:2412771
Kuoba Kunda	id=g:2412772
Kununku	id=g:2412773
Kunting Bolon	id=g:2412774
Kunting	id=g:2412775
Kuntaur Mixed Farming Center	id=g:2412776
Kuntaur Fula Kunda	id=g:2412777
Kuntaur	id=g:2412778
Kuntair	id=g:2412779
Kunong Numu Kunda	id=g:2412780
Kunong Mansasansang	id=g:2412781
Kunong Fula Kunda	id=g:2412782
Kunkujang Jattaya	id=g:2412783
Kunkujang NDing	id=g:2412784
Kunkujang Manjago	id=g:2412785
Kunkujang	id=g:2412786
Kunkujang	id=g:2412787
Kunkujang	id=g:2412788
Kunkujang	id=g:2412789
Kunkilling Forest Park	id=g:2412790
Kunkafo Swamp	id=g:2412791
Kunjibili Forest	id=g:2412792
Kunjetta	id=g:2412793
Kunjenjen	id=g:2412794
Kunjala	id=g:2412795
Kundam Fode	id=g:2412796
Kundam Demba	id=g:2412797
Kundam	id=g:2412798
Kunda Bolon	id=g:2412799
Kunda	id=g:2412800
Kunda	id=g:2412801
Kumbul Bolon	id=g:2412802
Kumbul	id=g:2412803
Kumbijae	id=g:2412804
Kumbija Bolon	id=g:2412805
Kumbija	id=g:2412806
Kumbija	id=g:2412807
Kumbaney	id=g:2412808
Kumadi Forest Park	id=g:2412809
Kulukoch	id=g:2412810
Kuloro	id=g:2412811
Kulkulel	id=g:2412812
Kuli Kunda Creek	id=g:2412813
Kuli Kunda	id=g:2412814
Kulari	id=g:2412815
Kular	id=g:2412816
Kukuyel	id=g:2412817
Kujew	id=g:2412818
Kuja Woolow	id=g:2412819
Kufay Swamp	id=g:2412820
Kudang Tenda	id=g:2412821
Kudang	id=g:2412822
Kucha	id=g:2412823
Kubuni	id=g:2412824
Kubendar	id=g:2412825
Kubasi Swamp	id=g:2412826
Kubariko	id=g:2412827
Kuari	id=g:2412828
Krul Point	id=g:2412829
Kristi Kunda	id=g:2412830
Kotu Stream	id=g:2412831
Kotu Point	id=g:2412832
Kotu	id=g:2412833
Kossemar Momadu Sutu	id=g:2412834
Kossemar Dembell	id=g:2412835
Kossemar	id=g:2412836
Kusamai	id=g:2412837
Korro Jula Kunda	id=g:2412838
Konti Kunda Sukoto	id=g:2412840
Konti Kunda Niji	id=g:2412841
Konteh	id=g:2412842
Konowo Forest Park	id=g:2412843
Konkotor	id=g:2412844
Konko Koto	id=g:2412845
Konkohdoma	id=g:2412846
Konko Fulla	id=g:2412847
Konkoba Hill	id=g:2412848
Kombo South District	id=g:2412849
Kombo North District	id=g:2412850
Kombo East	id=g:2412851
Kombo Central District	id=g:2412852
Komansor	id=g:2412853
Kololi Point	id=g:2412854
Kololi	id=g:2412855
Kolior	id=g:2412856
Kolior	id=g:2412857
Kolinto	id=g:2412858
Koli Kunda	id=g:2412859
Koli Kunda	id=g:2412860
Koli Kunda	id=g:2412861
Koli Kunda	id=g:2412862
Koli Kunda	id=g:2412863
Koli Bolon	id=g:2412864
Kolibantang	id=g:2412865
Koina Tenda	id=g:2412866
Koina Forest Park	id=g:2412867
Koina	id=g:2412868
Kohel	id=g:2412869
Kofa	id=g:2412870
Kobotor	id=g:2412871
Kiti Manjago	id=g:2412872
Kiti	id=g:2412873
Kissay	id=g:2412874
Kiskisi	id=g:2412875
Kinti Kunda	id=g:2412876
Kinteh Kunda	id=g:2412877
Killy	id=g:2412878
Killing	id=g:2412879
Killa	id=g:2412880
River Kikima	id=g:2412881
Kidi Kunda	id=g:2412882
Kiberi Forest Park	id=g:2412883
Kiberi	id=g:2412884
Kiang West	id=g:2412885
Kiang East	id=g:2412886
Kiang Central	id=g:2412887
Khewal	id=g:2412888
Khayell Bessell	id=g:2412889
Kewel	id=g:2412890
Ket Kuli	id=g:2412891
Ket Kuli	id=g:2412892
Kesereh	id=g:2412893
Ker Yoro Sowe	id=g:2412894
Ker Yoro Jallow	id=g:2412895
Ker Yoro Bah	id=g:2412896
Ker Werrigo	id=g:2412897
Ker Wally	id=g:2412898
Ker Waka	id=g:2412899
Ker Waka	id=g:2412900
Ker Tiern	id=g:2412901
Ker Tamsir	id=g:2412902
Ker Tamsir	id=g:2412903
Ker Sirrai	id=g:2412904
Ker Singarteh	id=g:2412905
Ker Silla	id=g:2412906
Ker Sidyke	id=g:2412907
Ker Sidy	id=g:2412908
Ker Shikh Taal	id=g:2412909
Ker Selleh	id=g:2412910
Ker Saniang	id=g:2412911
Ker Sam Boye	id=g:2412912
Ker Samba Yassin	id=g:2412913
Ker Samba Sow	id=g:2412914
Ker Samba N’Jabeh	id=g:2412915
Ker Samba Kumda	id=g:2412916
Ker Samba Kalla	id=g:2412917
Ker Samba	id=g:2412918
Ker Sait Maram	id=g:2412919
Ker Sait Maram	id=g:2412920
Ker Sait Cham	id=g:2412921
Ker Sain Musa	id=g:2412922
Ker Saderr Jobe	id=g:2412923
Kerr Sait Maram	id=g:2412924
Ker Patteh	id=g:2412925
Ker Pate Kore	id=g:2412926
Ker Ousman Buso	id=g:2412927
Ker Omar Saine	id=g:2412928
Ker Omar Mane	id=g:2412929
Ker Njugar Ndure	id=g:2412930
Ker N’Jugari	id=g:2412931
Ker Niada	id=g:2412932
Ker Ngumbo	id=g:2412933
Ker Ngor	id=g:2412934
Ker N’Gor	id=g:2412935
Ker Ngonyan	id=g:2412936
Ker N’Gissay	id=g:2412937
Ker N’Gatta	id=g:2412938
Ker Ngaien	id=g:2412939
Ker N’Gaien	id=g:2412940
Ker Musa	id=g:2412941
Ker Momodou Fana	id=g:2412942
Ker Modi Teddy	id=g:2412943
Ker Modi Hali	id=g:2412944
Ker M’Bouguma	id=g:2412945
Ker Mata Jeme	id=g:2412946
Ker Marjow	id=g:2412947
Ker Mari	id=g:2412948
Ker Mamour Fatim	id=g:2412949
Ker Mama Hugo	id=g:2412950
Ker Malick Sarr	id=g:2412951
Ker Malick Abdou Njie	id=g:2412952
Ker Malick	id=g:2412953
Ker Maka Tukulor	id=g:2412954
Ker Majara	id=g:2412955
Ker Maila	id=g:2412956
Ker Madi	id=g:2412957
Ker Mademba	id=g:2412958
Ker Lien	id=g:2412959
Ker Kossa	id=g:2412960
Ker Katim	id=g:2412961
Ker Juma	id=g:2412963
Ker Jibel	id=g:2412964
Ker Jibby	id=g:2412965
Ker Jawbe	id=g:2412966
Ker Jatta	id=g:2412967
Ker Jarga	id=g:2412968
Ker Jarga	id=g:2412969
Ker Janko	id=g:2412970
Ker Jaho	id=g:2412971
Ker Jah	id=g:2412972
Ker Jah	id=g:2412973
Ker Jabel	id=g:2412974
Ker Jabel	id=g:2412975
Ker Illo Buya	id=g:2412976
Ker Ibra	id=g:2412977
Ker Hardo	id=g:2412978
Ker Halli	id=g:2412979
Ker Gumalo	id=g:2412980
Ker Goolgor	id=g:2412981
Ker Gido	id=g:2412982
Ker Geryado	id=g:2412983
Ker Ganyado	id=g:2412984
Ker Famara	id=g:2412985
Kerewan Samba Sira	id=g:2412986
Kerewan Bolon	id=g:2412987
Kerewan Bolon	id=g:2412988
Kerewan	id=g:2412989
Kerewan	id=g:2412990
Kerewan	id=g:2412991
Kerewan	id=g:2412992
Kerewan	id=g:2412993
Kerewan	id=g:2412994
Kerewan	id=g:2412995
Kerewan	id=g:2412996
Ker Dobaly	id=g:2412997
Ker Demba Gabu	id=g:2412998
Ker Demba	id=g:2412999
Ker Dekordeh	id=g:2413000
Ker Chandeh	id=g:2413001
Ker Chaindu	id=g:2413002
Ker Biran Yassin	id=g:2413003
Ker Biran Kani	id=g:2413004
Ker Biram Yassin	id=g:2413005
Ker Biram Kardo	id=g:2413006
Ker Biggie	id=g:2413007
Ker Bessenti	id=g:2413008
Ker Batch	id=g:2413009
Ker Banno	id=g:2413010
Ker Bamba Lowe	id=g:2413011
Ker Bamba	id=g:2413012
Ker Bakary Salla	id=g:2413013
