Wādī Medhar Brega	id=g:2469031
Bi’r al Ḩājj Şāliḩ	id=g:2470712
Bi’r al Ḩājj Şāliḩ	id=g:2470713
Hanshīr al Ḩājj Qāsim	id=g:2470714
Bi’r al Ḩājj Qāsim	id=g:2470715
Bilād al Ḩājj Qāsim	id=g:2470716
Bi’r al Ḩājj Nāşir	id=g:2470717
Aïne el Haj Nasser	id=g:2470718
Bir el Haj Mbarek	id=g:2470719
Bir el Haj Mbarek	id=g:2470720
Bi’r al Ḩājj Mas‘ūd	id=g:2470721
Bi’r al Ḩājj Mas‘ūd	id=g:2470722
Bi’r al Ḩājj Marzūq	id=g:2470723
Bi’r al Ḩājj Manşūr	id=g:2470724
Hanshīr al Ḩājj Kurayyim	id=g:2470725
Bir el Hadj Kreiem	id=g:2470726
‘Urqūb al Ḩājj ‘Īsá	id=g:2470727
Bi’r al Ḩājj Ibrāhīm	id=g:2470728
Bi’r al Ḩājj Ibrāhīm	id=g:2470729
Bir Haj Hassine	id=g:2470730
Îles al Ḩājj Ḩamīdah	id=g:2470731
Bir el Haj Erzick	id=g:2470732
Bi’r al Ḩājj ‘Azzūz	id=g:2470733
Bir el Haj Tahar	id=g:2470734
Bir el Haj Ammar	id=g:2470735
Bi’r al Ḩājj ‘Ammār	id=g:2470736
Wādī al Ḩājj ‘Amārah	id=g:2470737
Bi’r al Ḩājj ‘Amārah	id=g:2470738
Khannguet el Hajaj	id=g:2470739
Bi’r al Ḩājj Aḩmad	id=g:2470740
Oued el Haja	id=g:2470741
Bir Haj Abd Allah Ben Khir	id=g:2470742
Bi’r al Ḩājj ‘Abd Allāh	id=g:2470743
Wādī al Ḩājj	id=g:2470744
Shu‘bat al Ḩājj	id=g:2470745
Aïn el Haj	id=g:2470746
‘Ayn al Ḩājj	id=g:2470747
Raqūbat al Hajīj	id=g:2470748
Mu‘tamadīyat Ḩājib al ‘Uyūn	id=g:2470749
Station de Hajeb el Aïoun	id=g:2470750
Hajeb el Aïoun	id=g:2470751
Chott Hajria	id=g:2470752
Qar‘at al Ḩajarī	id=g:2470753
Khashm al Ḩajarī	id=g:2470754
Bir el Hajeri	id=g:2470755
Bir el Hajar es Soud	id=g:2470756
Hanshīr Ḩajar as Sawdā’	id=g:2470757
Jabal Ḩajar al Azraq	id=g:2470758
Aïn el Hajra	id=g:2470759
Oued el Hajar	id=g:2470760
Wādī al Ḩajar	id=g:2470761
Wādī al Ḩajar	id=g:2470762
Wādī al Ḩajar	id=g:2470763
Wādī al Ḩajar	id=g:2470764
Wādī al Ḩajar	id=g:2470765
Wādī al Ḩajar	id=g:2470766
Oued el Hajar	id=g:2470767
Kāf al Ḩajar	id=g:2470768
Jazīrat al Ḩajar	id=g:2470769
Jāmi‘ al Ḩajar	id=g:2470770
Ḩawḑ al Ḩajar	id=g:2470771
Hanshīr al Ḩajar	id=g:2470772
Hanshīr al Ḩajar	id=g:2470773
Bir el Hajar	id=g:2470774
Bir el Hajar	id=g:2470775
Aïn el Hajar	id=g:2470776
Qaţţāyat al Ḩajalah	id=g:2470777
Jebel Hajla	id=g:2470778
‘Ayn al Ḩajalah	id=g:2470779
Aïn el Hajla	id=g:2470780
Wādī al Ḩajal	id=g:2470781
Oued el Hajel	id=g:2470782
Oued el Hajel	id=g:2470783
‘Ayn al Ḩajal	id=g:2470784
Aïne el Hajel	id=g:2470785
Wādī al Hajabet	id=g:2470786
Wādī al Haïma	id=g:2470787
Jabal al Hā’ijah	id=g:2470788
Haïdra	id=g:2470789
Jabal Haïdoudi	id=g:2470790
Raqūbat al Ḩafşīyah	id=g:2470791
Dahret el Hafsa	id=g:2470792
Haf Jirjir	id=g:2470793
Hafi Rassa	id=g:2470794
Jabal al Ḩafīrah	id=g:2470795
Djebel el Afaïr	id=g:2470796
Bir el Hafir	id=g:2470797
‘Ayn al Hafia	id=g:2470798
Délégation de Haffouz	id=g:2470799
Haffouz	id=g:2470800
Bir el Hafair	id=g:2470801
Hadjerat al Goulliba	id=g:2470802
Chouchet el Hajemia	id=g:2470803
‘Arāqīb al Hadjemia	id=g:2470804
Aïne el Hajaje	id=g:2470805
‘Ayn al Hādiyah	id=g:2470806
Wādī al Ḩadīfah	id=g:2470807
Jabal al Ḩadīfah	id=g:2470808
Jebel Hadida	id=g:2470809
Jebel Hadida	id=g:2470810
Burj al Ḩadīdah	id=g:2470811
Zamlat al Ḩadīd	id=g:2470812
Zumaylat al Ḩādh	id=g:2470813
Wādī Hadej	id=g:2470814
Jebel Haddous	id=g:2470815
Haddedj	id=g:2470816
Oued Haddada	id=g:2470817
Wādī al Ḩaddādah	id=g:2470818
Jabal al Ḩaddādah	id=g:2470819
Ḩaddādah	id=g:2470820
Ţawīl al Ḩaddād	id=g:2470821
Shu‘bat al Ḩaddād	id=g:2470822
Jebel Haddad	id=g:2470823
Bir el Hedda	id=g:2470824
Wādī al Hadah	id=g:2470825
Kudyat al Ḩabl	id=g:2470826
‘Ayn al Ḩabl	id=g:2470827
Quwayrat al Hab	id=g:2470828
‘Uqlat Gūjah	id=g:2470829
Sebkhet el Guine	id=g:2470830
Jebel Guiboub	id=g:2470831
Ra’s al Guézir	id=g:2470832
Oued Guezen	id=g:2470833
Sabkhat al Guettiate	id=g:2470834
Shu‘bat al Guetof	id=g:2470835
Shaţţ Gueta al Mushtahī	id=g:2470836
Dhirā‘ al Guesseïr	id=g:2470837
‘Ayn al Guesea	id=g:2470838
Oued Guerrioua	id=g:2470839
Jabal Guerouaou	id=g:2470840
Ra’s al Guermoua	id=g:2470841
Qar‘at Guériès	id=g:2470842
Abraq Guériès	id=g:2470843
Gueratha	id=g:2470844
Bir Gueddara	id=g:2470845
Jabal Guennba	id=g:2470846
Hanshīr al Guenara	id=g:2470847
Wādī al Guenalt	id=g:2470848
‘Ayn al Guematine	id=g:2470849
Hanshīr al Guemaria	id=g:2470850
Bir el Guellil	id=g:2470851
Kāf Guellalah	id=g:2470852
Gueliada	id=g:2470853
Ţawīl Guelara	id=g:2470854
Guelaa	id=g:2470855
Jabal al Gueha	id=g:2470856
Hanshīr al Guefa	id=g:2470857
Guedah al Baguel	id=g:2470858
El Guecheïne	id=g:2470859
Wādī al Guebiou	id=g:2470860
Guebar Rhalia	id=g:2470861
Jabal Grouz ash Sharqī	id=g:2470862
Jabal Grouz al Gharbī	id=g:2470863
Shabakat Grouz	id=g:2470864
Capo Grosso	id=g:2470865
Île Gremdi	id=g:2470866
Bahiret el Gremdi	id=g:2470867
Jabal Grembil	id=g:2470868
Jebel el Grefa	id=g:2470869
Pointe des Grèbes	id=g:2470870
Oued Ghedir el Graoua	id=g:2470871
Bilād al Graoua	id=g:2470872
Bi’ār al Graou	id=g:2470873
Grand Erg Oriental	id=g:2470874
Grande Île Can	id=g:2470875
Fā’iḑ al Graiba	id=g:2470876
Hanshīr Gradou	id=g:2470877
Oued el Grabaa	id=g:2470878
‘Uqlat Gourine	id=g:2470879
Sabkhet el Grine	id=g:2470880
Kudyat Gourine	id=g:2470881
Gourine	id=g:2470882
Wādī Gouraï	id=g:2470883
Hanshīr Gouraï	id=g:2470884
Hanshīr Goungla	id=g:2470885
Jabal Gouleb	id=g:2470886
Bir Goal	id=g:2470887
Wādī al Gouilla	id=g:2470888
Jebel el Gouad	id=g:2470889
Wādī Gotfa	id=g:2470890
Hanshīr Gorat Zayd	id=g:2470891
Henchir Gobrech	id=g:2470892
Hanshīr Gnaoua	id=g:2470893
Wādī al Glitât	id=g:2470894
Wādī Glat	id=g:2470895
Gigthi	id=g:2470896
Oued el Ghouirga	id=g:2470897
Wādī Ghuwaylīyah	id=g:2470898
Khashm Ghuwayl	id=g:2470899
‘Ayn Ghuwaydim	id=g:2470900
Bled Ghouibet es Souda	id=g:2470901
Oued Gherouss	id=g:2470902
Jabbānat al Ghurūs	id=g:2470903
Jebel er Rorouf	id=g:2470904
Sabkhat matā‘ al Ghurrah	id=g:2470905
Kāf al Ghurrah	id=g:2470906
Jebel Ghorra	id=g:2470907
Sabkhat al Ghurnūq	id=g:2470908
Bilād al Ghurfah al Qiblīyah	id=g:2470909
‘Urqūb al Ghurfah	id=g:2470910
Jebel el Ghorfa	id=g:2470911
Bilād al Ghurfah	id=g:2470912
Wādī al Ghurayyibah	id=g:2470913
Bi’r al Ghurayyibah	id=g:2470914
Sāniyat al Ghurayfah	id=g:2470915
Kudyat al Ghurayfah	id=g:2470916
Hanshīr al Ghurayfah	id=g:2470917
Bi’r al Ghurayfah	id=g:2470918
Hanshīr al Ghurābāt	id=g:2470919
Bi’r al Ghurābāt	id=g:2470920
Gheraba	id=g:2470921
Wādī al Ghurāb	id=g:2470922
Shu‘bat al Ghurāb	id=g:2470923
Kef Ghorab	id=g:2470924
Oued Ghomrassen	id=g:2470925
Mu‘tamadīyat Ghumrāsin	id=g:2470926
Ghomrassen	id=g:2470927
Ghelissia	id=g:2470928
Ghlissia	id=g:2470929
Ra’s al Ghūlah	id=g:2470930
Qabr al Ghūl	id=g:2470931
Wādī al Ghudāmisī az̧ Z̧ahrāwī	id=g:2470932
Wādī al Ghudāmisī al Qiblī	id=g:2470933
Wādī al Ghudāmisī	id=g:2470934
Ra’s al Ghudāmisī	id=g:2470935
Ra’s al Ghudāmisī	id=g:2470936
Oued el Ghobtane	id=g:2470937
Draa Ghrasesia	id=g:2470938
Jebel Ghezlane	id=g:2470939
Jebel Ghezlane	id=g:2470940
Wādī Ghiyāḑah	id=g:2470941
Kāf Ghiyāḑah	id=g:2470942
Jabal Ghiyāḑah	id=g:2470943
Jabal Ghiyāḑah	id=g:2470944
Ḩasyān Ghiyāḑah	id=g:2470945
Bir Ghata	id=g:2470946
Oued el Gharbal	id=g:2470947
Wādī al Ghīrān	id=g:2470948
Wādī al Ghīrān	id=g:2470949
Wādī al Ghīrān	id=g:2470950
Ra’s al Ghīrān	id=g:2470951
Jebel Ghiran	id=g:2470952
Bir Rilane	id=g:2470953
‘Ayn Ghilāl	id=g:2470954
Ghidmah	id=g:2470955
Shabakat al Ghazīzah	id=g:2470956
Aïn el Ghezi	id=g:2470957
Oued Ghezala	id=g:2470958
Wādī Ghazālah	id=g:2470959
Jebel el Ghezala	id=g:2470960
Hanshīr Ghazālah	id=g:2470961
Fā’iḑ al Ghazālah	id=g:2470962
‘Ayn Ghazālah	id=g:2470963
‘Ayn Ghazālah	id=g:2470964
‘Ayn Ghazālah	id=g:2470965
Kef Ghezal	id=g:2470966
Wādī Ghazā’il	id=g:2470967
Hanshīr al Ghaymah	id=g:2470968
Bi’r al Ghayb	id=g:2470969
Shaţţ Ghawţ al Qilālah	id=g:2470970
Wādī Ghawīş	id=g:2470971
Shaţţ al Ghawāriq	id=g:2470972
Oued el Ghouanem	id=g:2470973
‘Uqlat al Ghattābah	id=g:2470974
Ghat ar Rmad	id=g:2470975
Wādī al Ghasīl	id=g:2470976
Shaţţ al Gharsah	id=g:2470977
Oued el Ghars	id=g:2470978
Wādī al Gharrāf	id=g:2470979
Ghār Mūsá	id=g:2470980
Wādī al Gharmūl	id=g:2470981
Ghar Messaoud	id=g:2470982
Oued el Ghareg	id=g:2470983
‘Ayn al Ghārif	id=g:2470984
Oued el Gheribi	id=g:2470985
Wādī Gharīb	id=g:2470986
Kudyat Gharīb	id=g:2470987
Jabal al Gharīb	id=g:2470988
Shu‘bat Gharghar	id=g:2470989
‘Uqlat Ghardaqī	id=g:2470990
Sebkha Gharbi	id=g:2470991
Île Gharbi	id=g:2470992
Khanqat Ghār aţ Ţīn	id=g:2470993
Jabal Ghār aţ Ţīn	id=g:2470994
Lac de Ghār al Milḩ	id=g:2470995
Ghār al Milḩ	id=g:2470996
Jabal Ghār al Jānī	id=g:2470997
Ghar el Fabs	id=g:2470998
Widyān al Gharā’ibah	id=g:2470999
Jubaylat al Ghārah	id=g:2471000
Oued Gheradok	id=g:2471001
Mu‘tamadīyat Ghār ad Dimā’	id=g:2471002
Ghardimaou	id=g:2471003
Kudyat Ghār ad Dabbah	id=g:2471004
Ḩamādat Ghār aḑ Ḑab‘	id=g:2471005
Wādī al Ghār	id=g:2471006
Oued el Ghar	id=g:2471007
Wādī al Ghār	id=g:2471008
Wādī al Ghār	id=g:2471009
Jabal al Ghār	id=g:2471010
Hanshīr al Ghār	id=g:2471011
Ghannūsh	id=g:2471012
Shabakat al Ghanīmī	id=g:2471013
Wādī al Ghanam	id=g:2471014
Ḩawḑ al Ghanam	id=g:2471015
Bi’r al Ghanam	id=g:2471016
Aïn el Ghnem	id=g:2471017
Sabkhat al Ghanādifah	id=g:2471018
Oued Ghomd Tounes	id=g:2471019
Ghoumd er Roumel	id=g:2471020
Ghamd al Wasţ	id=g:2471021
Wādī Ghadīr al Ḩamrā’	id=g:2471022
Wādī Ghadīr ‘Ajilah	id=g:2471023
Zamlat al Ghadīr	id=g:2471024
Wādī al Ghadīr	id=g:2471025
Jabal al Ghadīr	id=g:2471026
Ḩasy al Ghadīr	id=g:2471027
‘Irq Ghaḑābinah	id=g:2471028
Wādī Ghabw Ghālīyah	id=g:2471029
Wādī Ghabw aş Şī‘ān	id=g:2471030
Wādī Ghabw an Naffātīyah	id=g:2471031
Wādī Ghabī al Jidārīyah	id=g:2471032
Wādī Ghabī aḑ Ḑamrān	id=g:2471033
Wādī al Ghābah as Sawdā’	id=g:2471034
Bi’r al Ghābah	id=g:2471035
Jabal Gfa Sa‘d	id=g:2471036
Koudiat Gengila	id=g:2471037
Marqab al Gatt	id=g:2471038
Bi’r Gastilia	id=g:2471039
Wādī al Garidj	id=g:2471040
‘Uqlat Gannta	id=g:2471041
Bilād Gamouda	id=g:2471042
Gallo	id=g:2471043
Gallina	id=g:2471044
Galitons de l’Ouest	id=g:2471045
Galitons de l’Est	id=g:2471046
Galiton	id=g:2471047
Jabal Gaï	id=g:2471048
Bi’r al Gahem	id=g:2471049
‘Urqūb al Fzaâ	id=g:2471050
Wādī al Fuzrāt	id=g:2471051
Bi’r al Fuzrāt	id=g:2471052
Hanshīr al Fustuqīyah	id=g:2471053
Hanshīr al Fustuqīyah	id=g:2471054
Fouchana	id=g:2471055
Buḩayrat Fūsānah	id=g:2471056
Bilād Fūsānah	id=g:2471057
Oued el Foroukh	id=g:2471058
Feriana	id=g:2471059
Mu‘tamadīyat Furriyānah	id=g:2471060
Jabal Furrīyānah	id=g:2471061
Furna	id=g:2471062
Kudyat al Furn	id=g:2471063
Aïn el Fritissa	id=g:2471064
Wādī al Furayţ	id=g:2471065
Kef el Freiss	id=g:2471066
Fajj al Furays	id=g:2471067
Henchir el Frena	id=g:2471068
Aïn Frijia	id=g:2471069
‘Uqlat al Furādá	id=g:2471070
Henchir el Fogaa	id=g:2471071
Fondouk Debbiche	id=g:2471072
Fonndouk Choucha	id=g:2471073
Fondouk el Okbi	id=g:2471074
Wādī Fum Ḩassān	id=g:2471075
Foum en Negache	id=g:2471076
Kudyat Fum al Masjid	id=g:2471077
Fum al Fujayj	id=g:2471078
Oued el Foul	id=g:2471079
Foum el Fjij	id=g:2471080
Guelb el Fehouda	id=g:2471081
Qūr al Frieje	id=g:2471082
Wādī al Friedje	id=g:2471083
Ra’s al Frechat	id=g:2471084
Bilād Frane	id=g:2471085
Franceville	id=g:2471086
Fraichiches	id=g:2471087
Fraïa	id=g:2471088
‘Ayn Fradka	id=g:2471089
Frachiche	id=g:2471090
Bi’r Foufi	id=g:2471091
Fortuna	id=g:2471092
Sidi Salem	id=g:2471093
Fort de Ar Rābiţah	id=g:2471094
Qar‘at al Fokha	id=g:2471095
Fochville	id=g:2471096
Jabal Flaossen	id=g:2471097
Chabet el Fatnassia	id=g:2471098
Bi’r al Fiţnāsīyah	id=g:2471099
Fiţnāsah	id=g:2471100
Fiţnāsah	id=g:2471101
Fiţnāsah	id=g:2471102
Fiţnāsah	id=g:2471103
Ra’s al Firţās	id=g:2471104
Qar‘at al Firţās	id=g:2471105
Jabal al Firţās	id=g:2471106
Shaţţ Fir‘awn	id=g:2471107
Bilād Fir‘awn	id=g:2471108
Bilād Fir‘awn	id=g:2471109
Chott el Fedjaj	id=g:2471110
Burj Fijāj	id=g:2471111
‘Uqlat al Fied	id=g:2471112
Wādī al Fiḑḑah	id=g:2471113
Fidaddam	id=g:2471114
Jebel Fezzara	id=g:2471115
Ra’s al Fezzag	id=g:2471116
Hanshīr al Fezaa	id=g:2471117
Wādī al Fetah	id=g:2471118
Jebel Ferza	id=g:2471119
Jabal al Fersig	id=g:2471120
Qar‘at al Ferfaria	id=g:2471121
Bi’r al Ferdjam	id=g:2471122
Femilia	id=g:2471123
Wādī Felaguès	id=g:2471124
Jabal Fekritt	id=g:2471125
Jabal al Fejeïje	id=g:2471126
Oued El Fja	id=g:2471127
Zumaylat al Fediliat	id=g:2471128
Zumaylat al Fediliat	id=g:2471129
Ragoubet Faïad el Guemah	id=g:2471130
Jabal al Fayjal	id=g:2471131
Fayḑ ‘Āshūr	id=g:2471132
Aïn el Faouara	id=g:2471133
‘Ayn al Fawwārah	id=g:2471134
‘Ayn al Fawwārah	id=g:2471135
Wādī al Fawwār	id=g:2471136
Wādī al Fawwār	id=g:2471137
Fawwār Hanshir al	id=g:2471138
Bi’ār al Fawwār	id=g:2471139
Aïn Faouar	id=g:2471140
‘Ayn al Fawwār	id=g:2471141
‘Ayn al Fawwār	id=g:2471142
‘Ayn al Fawwār	id=g:2471143
Fum al Fāw	id=g:2471144
Hanshīr Fattūsh	id=g:2471145
Bi’r Fattūsh	id=g:2471146
Oued Fatma	id=g:2471147
Ra’s Fatīl	id=g:2471148
Wādī Fatḩ Allāh	id=g:2471149
Bir Fathalla	id=g:2471150
Jabal al Fatḩah	id=g:2471151
Jebel Fatha	id=g:2471152
Bilād al Faţā’irī	id=g:2471153
Hanshīr al Fasqīyah	id=g:2471154
Hanshīr Fasqīyah	id=g:2471155
Hanshīr Fasqīyah	id=g:2471156
Hanshīr Fasqīyah	id=g:2471157
Wādī al Fāsī	id=g:2471158
Bir el Fessi	id=g:2471159
Jebel Faroua	id=g:2471160
Hanshīr Farwah	id=g:2471161
Bled Faroua	id=g:2471162
‘Ayn al Farwah	id=g:2471163
Oued Fartout	id=g:2471164
Wādī Fartūt	id=g:2471165
Khashm Fartūt	id=g:2471166
‘Ayn Farţanāţ	id=g:2471167
Bir el Farsine	id=g:2471168
Jabal al Farsh	id=g:2471169
Shabakat Farouj	id=g:2471170
Dayr al Farnān	id=g:2471171
‘Ayn al Farnān	id=g:2471172
Sebkhet Farjouna	id=g:2471173
Bir Ferjane	id=g:2471174
Wādī al Farīsh	id=g:2471175
Wādī Farīdah	id=g:2471176
Qar‘at al Farīdah	id=g:2471177
Khashm Farīdah	id=g:2471178
Wādī al Farīd	id=g:2471179
Oued el Frid	id=g:2471180
‘Ayn al Farīd	id=g:2471181
Wādī Farḩāt	id=g:2471182
Bir Faghat	id=g:2471183
Wādī al Fard	id=g:2471184
‘Ayn al Fard	id=g:2471185
Hanshīr al Farāţīsah	id=g:2471186
Farāţīsah	id=g:2471187
Shaţţ al Farāţīs	id=g:2471188
Réservoir Farāţīs	id=g:2471189
Dhirā‘ al Farāţīs	id=g:2471190
‘Ayn al Farāţis	id=g:2471191
‘Ayn al Farāţīs	id=g:2471192
Hanshīr al Faras	id=g:2471193
Aïn el Fres	id=g:2471194
‘Ayn al Faras	id=g:2471195
Chott el Franig	id=g:2471196
Farajīn	id=g:2471197
Wādī Faraj	id=g:2471198
Kudyat al Faraḩ	id=g:2471199
Kāf al Fa’rah	id=g:2471200
‘Ayn Faraḩ	id=g:2471201
Feggoussi	id=g:2471202
Wādī Faqīrīn	id=g:2471203
Kāf al Faqīrīn	id=g:2471204
Jabal al Faqīrīn	id=g:2471205
Jebel Fkirine	id=g:2471206
Jebel Feguira Salah	id=g:2471207
Aïn Feguira Zaziah	id=g:2471208
Jabbānat al Faqīrah Maryam	id=g:2471209
Faqīrah Ḩalīmah	id=g:2471210
Qalb al Faqīrah	id=g:2471211
Mersa el Fguira	id=g:2471212
Wādī al Faourara	id=g:2471213
Faoumt	id=g:2471214
Bi’r al Faouet	id=g:2471215
‘Ayn al Faouedj	id=g:2471216
Bir Fanndra	id=g:2471217
Oued el Fellag	id=g:2471218
Jabal al Fallāḩ	id=g:2471219
Bi’r Fallah	id=g:2471220
Wādī al Fālitah	id=g:2471221
Hanshīr al Fālitah	id=g:2471222
Fum al Fālitah	id=g:2471223
Bir el Fellah	id=g:2471224
Oued el Fekka	id=g:2471225
Wādī al Fakkah	id=g:2471226
Hanshīr al Fakkah	id=g:2471227
Fajj at Tāmir	id=g:2471228
Fajj at Tāmir	id=g:2471229
Jabal Fājj at Takkūk	id=g:2471230
Henchir Fedj es Sedra	id=g:2471231
Jabal Fajj ar Riyāḩ	id=g:2471232
Khanguet Fej er Rih	id=g:2471233
‘Ayn Fajj ar Rīḩ	id=g:2471234
Jabal Fajj an Na‘ām	id=g:2471235
Bi’r Fajj an Na‘ām	id=g:2471236
Hanshīr Fajj al Karmah	id=g:2471237
Jabal Fajj al Hadouin	id=g:2471238
Jebel Fej el Bab	id=g:2471239
Ra’s al Fajjah	id=g:2471240
Wādī al Fajj	id=g:2471241
Kef el Fej	id=g:2471242
Bi’r al Fajj	id=g:2471243
Jebel el Faïja	id=g:2471244
Hanshīr Faïd as Senakre	id=g:2471245
Oued Faïd el Ksour	id=g:2471246
Wādī al Fā’iḑ	id=g:2471247
Bi’r al Fā’iḑ	id=g:2471248
Fā’iḑ	id=g:2471249
Bled el Fahs	id=g:2471250
Bilād al Faḩş	id=g:2471251
Fahmine	id=g:2471252
Jabal al Faḩmah	id=g:2471253
Ţawīl al Faḩm	id=g:2471254
Hanshīr al Fahīmah	id=g:2471255
Oglet el Fahaia	id=g:2471256
Fafou	id=g:2471257
Jabal Faḑlūn	id=g:2471258
Mosquée Fadhloun	id=g:2471259
Aïn Fedhil	id=g:2471260
Feddane el Begar	id=g:2471261
Bi’r Faddān adh Dhi’b	id=g:2471262
Koudiat el Feddem	id=g:2471263
Bi’r Etkaka	id=g:2471264
Marqab Essieda	id=g:2471265
Fort d’ Espagne	id=g:2471266
Wādī Ermoucha	id=g:2471267
Wādī Erg Sas	id=g:2471268
Épargneville	id=g:2471269
Jabal Ennsellame	id=g:2471270
Sayḩ Ennbikra	id=g:2471271
Wādī Ennahbat	id=g:2471272
Ras Ennghela	id=g:2471273
Jabal Enfifi Kria	id=g:2471274
El Rha	id=g:2471275
El Rahr	id=g:2471276
El Oudiane-Degache	id=g:2471277
Ellès	id=g:2471278
Hanshīr Edzrabine	id=g:2471279
Ech Chemel	id=g:2471280
Ebness	id=g:2471281
Wādī Dzou	id=g:2471282
Wādī Dzira	id=g:2471283
‘Ayn Dzebane	id=g:2471284
Hanshīr ad Dūzī	id=g:2471285
Mu‘tamadīyat Dūz	id=g:2471286
Douz	id=g:2471287
Wādī ad Duwaywīrah	id=g:2471288
Oued ed Douimis	id=g:2471289
Jabal ad Duwaymīs	id=g:2471290
Jebel Douimis	id=g:2471291
Jabal ad Duwaymīs	id=g:2471292
Aïn Douilia	id=g:2471293
Hasy Duwaydāt	id=g:2471294
Z̧ahr ad Duwaydah	id=g:2471295
Wādī Durūj	id=g:2471296
Bir Darraj	id=g:2471297
Jabal Dūrīyah	id=g:2471298
Oued Drija	id=g:2471299
Jabal Duraybīkah al Ḩamrā’	id=g:2471300
Kāf ad Dūr	id=g:2471301
Wādī ad Dūmīs	id=g:2471302
Wādī ad Dūlāb	id=g:2471303
Jebel Douleb	id=g:2471304
‘Ayn ad Dukūk	id=g:2471305
Wādī ad Dukhaylāt	id=g:2471306
Qulayb ad Dukhān	id=g:2471307
Qalb Dukhān	id=g:2471308
Henchir Doukrane	id=g:2471309
Koudiat ed Dghime	id=g:2471310
Aïne ed Duerra	id=g:2471311
Aïn ed Douda	id=g:2471312
Dubosville	id=g:2471313
‘Ayn ad Dubb	id=g:2471314
Hanshīr Drombi	id=g:2471315
Bi’r ad Driss	id=g:2471316
Oued ed Dridîr	id=g:2471317
‘Ayn Drid	id=g:2471318
Bir ed Dghimini	id=g:2471319
‘Ayn ad Drhima	id=g:2471320
Wādī ad Draouza	id=g:2471321
Sāniyat Draouïne	id=g:2471322
Qar‘at ad Douza	id=g:2471323
Henchir Dour Smaïne	id=g:2471324
Ra’s Dourdas	id=g:2471325
Doukane Chenoufia	id=g:2471326
Doukane al Ḩājj	id=g:2471327
Douïga	id=g:2471328
‘Ayn ad Douïa	id=g:2471329
Wādī ad Douhara	id=g:2471330
Jabal ad Doughrek	id=g:2471331
Dougga	id=g:2471332
Jebel Dougas	id=g:2471333
Jabal Douela	id=g:2471334
Zamlat ad Douariat	id=g:2471335
Pointe du Douali	id=g:2471336
Dorsale	id=g:2471337
Chott Doghar	id=g:2471338
Şaḩān Dorhar	id=g:2471339
Jebel ed Dollia	id=g:2471340
Ferme Dollfus	id=g:2471341
Bir ed Dolila	id=g:2471342
Shu‘bat ad Dokka	id=g:2471343
Wādī ad Dmaïne	id=g:2471344
‘Ayn al Djour	id=g:2471345
Jabal Djoueï	id=g:2471346
Djoua Awlād Sulţān	id=g:2471347
Wādī al Djoua	id=g:2471348
Jabal Djerissa	id=g:2471349
Hanshīr Djerass	id=g:2471350
Jabal al Djeraïa	id=g:2471351
‘Ayn Djenatt	id=g:2471352
Henchir Jemjia	id=g:2471353
Sabkhat al Jelija	id=g:2471354
Henchir Jel	id=g:2471355
Henchir Jehli	id=g:2471356
Djefaïr al Baguel	id=g:2471357
Oued el Jedra	id=g:2471358
Wādī al Djedra	id=g:2471359
Kef el Jedra	id=g:2471360
Bir el Jedra	id=g:2471361
‘Ayn al Djedra	id=g:2471362
‘Ayn al Djedra	id=g:2471363
Aïne Jeder	id=g:2471364
Hanshīr al Djedel	id=g:2471365
Merja el Jedara	id=g:2471366
Hanshīr Djebla	id=g:2471367
Bi’r Djebla	id=g:2471368
Djar al Amri	id=g:2471369
Henchir Jalta	id=g:2471370
Station de Jalta	id=g:2471371
Aïn Jah	id=g:2471372
Diar Oued Chiba	id=g:2471373
Diyār Awlād Ḩammūdah	id=g:2471374
Diar el Haj Hassan	id=g:2471375
Diar el Hajjej	id=g:2471376
Wādī ad Diyār	id=g:2471377
Jabal ad Dīsah	id=g:2471378
Wādī ad Dīs	id=g:2471379
Wādī ad Dīs	id=g:2471380
Jebel ed Diss	id=g:2471381
Jabal ad Dīs	id=g:2471382
Jabal ad Dīs	id=g:2471383
Henchir ed Dirias	id=g:2471384
Garaet ed Drou	id=g:2471385
Bir ed Darou	id=g:2471386
Jabal Dīnār	id=g:2471387
Demnet es Serdouk	id=g:2471388
Wādī ad Dimnah	id=g:2471389
Jebel Demna	id=g:2471390
Jebel ed Demna	id=g:2471391
‘Ayn ad Dimnah	id=g:2471392
Kudyat aḑ Ḑil‘	id=g:2471393
Bilād aḑ Dil‘	id=g:2471394
Oued ed Dfilaia	id=g:2471395
Bi’r Diflāyah	id=g:2471396
‘Ayn Dīflāyah	id=g:2471397
Wādī ad Diflá	id=g:2471398
Oued ed Defla	id=g:2471399
Oued ed Defla	id=g:2471400
Wādī ad Diflá	id=g:2471401
Wādī ad Diflá	id=g:2471402
‘Ayn ad Diflá	id=g:2471403
‘Ayn adh Dhurwah	id=g:2471404
Sabkhat Dhurayyi‘ah	id=g:2471405
Wādī adh Dhukkār	id=g:2471406
Bi’r adh Dhubbān	id=g:2471407
Dhu’aybat Fiţnāsah	id=g:2471408
Dhirā‘ as Sidrīyah	id=g:2471409
Bled Draa ech Chih	id=g:2471410
Bi’r Dhirā‘ al Qadīm	id=g:2471411
Nāz̧ūr Dhirā‘ ‘Affān	id=g:2471412
Wādī adh Dhirā‘	id=g:2471413
Kāf adh Dhirā‘	id=g:2471414
‘Irq adh Dhirā‘	id=g:2471415
