Aneri Soak	id=g:2077736
Geak Point	id=g:2079765
Hanover Bay	id=g:2079766
Vancouver Beach	id=g:2079767
Jimmy Newells Harbour	id=g:2079768
Isthmus Hill	id=g:2079769
Misery Beach	id=g:2079770
Whalers Beach	id=g:2079771
Vancouver Point	id=g:2079772
Two Sisters	id=g:2079773
Quarantine Hill	id=g:2079774
Whaling Cove	id=g:2079775
Vancouver Beach	id=g:2079776
Lake Seppings	id=g:2079777
Cheyne Ledge	id=g:2079778
Lockyer Shoal	id=g:2079779
Emu Point	id=g:2079780
Emu Beach	id=g:2079781
Ringbolt	id=g:2079782
Mount Pleasant Rock	id=g:2079783
Middle Rock	id=g:2079784
Herald Rocks	id=g:2079785
Ben Dearg Beach	id=g:2079786
Nanarup Boat Harbour	id=g:2079787
Islet Point	id=g:2079788
Rocky Point	id=g:2079789
Shell Bay	id=g:2079790
Parker Bay	id=g:2079791
Point Woore	id=g:2079792
Point Henty	id=g:2079793
White Island	id=g:2079794
Bayonet Head	id=g:2079795
Lower King	id=g:2079796
Inner Knoll	id=g:2079797
Outer Knoll	id=g:2079798
Scott Hill	id=g:2079799
Whalebone Passage	id=g:2079800
Little Rock	id=g:2079801
Sharkfin Rock	id=g:2079802
Macs Point	id=g:2079803
White Cliffs	id=g:2079804
Nose Point	id=g:2079805
Owen Island	id=g:2079806
Flinders Monument	id=g:2079807
Lincoln National Park	id=g:2079808
Carcase Rock	id=g:2079809
Fisherman Point	id=g:2079810
Engine Point	id=g:2079811
Cape Colbert	id=g:2079812
Point Fanny	id=g:2079813
Hayden Point	id=g:2079814
Surfleet Point	id=g:2079815
Bickers Islands	id=g:2079816
Billy Lights Point	id=g:2079817
Murray Point	id=g:2079818
Picnic Beach	id=g:2079819
Boston Hill	id=g:2079820
Squeaky Beach	id=g:2079821
Maria Point	id=g:2079822
Tulka	id=g:2079823
Kirton Point Jetty	id=g:2079824
Mount Meharry	id=g:2079825
Lake Gairdner	id=g:2079826
Yorke Islands	id=g:2101445
Wyer Island	id=g:2101446
Watawari Reef	id=g:2101447
Warrior Reefs	id=g:2101448
Warrior Island	id=g:2101449
Wapa Reef	id=g:2101450
Underdown Islet	id=g:2101451
Turu Cay	id=g:2101452
Yam Island	id=g:2101453
Turnagain Island	id=g:2101454
Treacherous Bay	id=g:2101455
Tobin Cay	id=g:2101456
Tidal Bank	id=g:2101457
Talbot Islands	id=g:2101458
Susie Point	id=g:2101459
Stewart Reef	id=g:2101460
Stephens Islet	id=g:2101461
Smith Cay	id=g:2101462
Slade Rock	id=g:2101463
Scott Island	id=g:2101464
Same Bay	id=g:2101465
Saibai Island	id=g:2101466
Saibai	id=g:2101467
Roberts Islet	id=g:2101468
Rennel Island	id=g:2101469
Reid Cay	id=g:2101470
Philip Harbour	id=g:2101471
Pelican Rock	id=g:2101472
Pearce Cay	id=g:2101473
Passage Island	id=g:2101474
Parakari Reef	id=g:2101475
Orman Reefs	id=g:2101476
Ula Reef	id=g:2101477
North Island	id=g:2101478
Ninepin Rock	id=g:2101479
Nicholls Cay	id=g:2101480
Nepean Islet	id=g:2101481
Napoleon Passage	id=g:2101482
Mutacomai Reef	id=g:2101483
Murray Islands	id=g:2101484
Mourilyan Reef	id=g:2101485
Moon Passage	id=g:2101486
Moimi Island	id=g:2101487
Missionary Passage	id=g:2101488
Minnie Rock	id=g:2101489
Mimi Islet	id=g:2101490
Merrie England	id=g:2101491
Mata Kawa Island	id=g:2101492
Massig	id=g:2101493
Marsden Island	id=g:2101494
Maer Island	id=g:2101495
Layoak Islet	id=g:2101496
Laxton Reef	id=g:2101497
Kussa Island	id=g:2101499
Kumusi Reef	id=g:2101500
Kumaderi Reef	id=g:2101501
Kokope Reef	id=g:2101502
Kodall	id=g:2101503
Kerr Islet	id=g:2101504
Keats Island	id=g:2101505
Kaworra Matu Mabu Reef	id=g:2101506
Kawa Island	id=g:2101507
Kaumag Island	id=g:2101508
Karobailo Kawa Island	id=g:2101509
Kabbikane Islet	id=g:2101510
Jervis Island	id=g:2101511
Jacobus West Shoal	id=g:2101512
Ibu Reef	id=g:2101513
Hastings Reef	id=g:2101514
Hannah Bank	id=g:2101515
Hamelin Boulders	id=g:2101516
Great North East Channel	id=g:2101517
Gabba Island	id=g:2101519
Florence Island	id=g:2101520
Flinders Entrance	id=g:2101521
East Cay	id=g:2101522
Dungeness Reef	id=g:2101523
Dungeness Island	id=g:2101524
Dowar Islet	id=g:2101525
Deliverance Island	id=g:2101526
Dauan Island	id=g:2101527
Darnley Island	id=g:2101528
Dalrymple Island	id=g:2101529
Dagagota Reef	id=g:2101530
Mount Cornwallis	id=g:2101531
Churum	id=g:2101532
Cargar Aita	id=g:2101533
Cap Islet	id=g:2101534
Canoe Cay	id=g:2101535
Campbell Island	id=g:2101536
Brown Reef	id=g:2101537
Bramble Cay	id=g:2101538
Bourke Isles	id=g:2101539
Bourke Islet	id=g:2101540
Boigu Island	id=g:2101541
Boigu	id=g:2101542
Bligh Entrance	id=g:2101543
Black Rocks	id=g:2101544
Belle Vue Islands	id=g:2101545
Basilisk Passage	id=g:2101546
Aureed Island	id=g:2101547
Aukane Islet	id=g:2101548
Aubusi Island	id=g:2101549
Arden Islet	id=g:2101550
Aragoro Reef	id=g:2101551
Anchor Cay	id=g:2101552
Alert Rock	id=g:2101553
Ada Point	id=g:2101554
Adabadana Kawa Island	id=g:2101555
Auwamaza Reef	id=g:2113403
North Reef	id=g:2113568
South Bank	id=g:2113569
Dauan	id=g:2113570
Adrian Reef	id=g:2113571
Phipi Reef	id=g:2113572
Bass Reef	id=g:2113573
Sinclair Rock	id=g:2113574
Zagai Island	id=g:2113575
Tudu Island	id=g:2113576
Canal Mauvais	id=g:2113577
Sendre	id=g:2113578
Seo Reef	id=g:2113580
Big Mary Reef	id=g:2113581
Little Mary Reef	id=g:2113582
Sarek Reefs	id=g:2113583
Naire Reef	id=g:2113584
Mebgor Reef	id=g:2113585
Waier Islet	id=g:2113586
Gariar Reef	id=g:2113587
Kai Reef	id=g:2113588
Don Cay	id=g:2113770
Sereu Reef	id=g:2113780
Yule Entrance	id=g:2132240
Zuidpool Rock	id=g:2142171
Zoe Bay	id=g:2142172
Zingari	id=g:2142173
Zillmanton	id=g:2142175
Zillmans Gap	id=g:2142176
Zillman Peak	id=g:2142177
Mount Zillah	id=g:2142178
Zig Zag Range	id=g:2142179
Zig Zag Creek	id=g:2142180
Mount Zig Zag	id=g:2142181
Mount Zero	id=g:2142182
Zenith Reef	id=g:2142183
Mount Zeehan	id=g:2142184
Zeehan	id=g:2142185
Zara	id=g:2142186
Zamia Range	id=g:2142187
Zamia Hill	id=g:2142188
Zamia Gully	id=g:2142189
Zamia Creek	id=g:2142190
Zamia Creek	id=g:2142191
Mount Zamia	id=g:2142192
Zahmels Creek	id=g:2142193
Mount Zahel	id=g:2142194
Yuruga	id=g:2142195
Yurol	id=g:2142196
Yurgo	id=g:2142197
Yurbi	id=g:2142198
Yuraraba	id=g:2142199
Yurammie	id=g:2142200
Yunta Waterhole	id=g:2142201
Yunnerman	id=g:2142202
Yungulda Creek	id=g:2142203
Yungerman Creek	id=g:2142204
Yungera	id=g:2142205
Yungaburra	id=g:2142206
Yundool	id=g:2142207
Yumbabullo	id=g:2142208
Yuluma	id=g:2142209
Yullundry	id=g:2142210
Yulludunida	id=g:2142211
Yulgilbar	id=g:2142212
Yule Rock	id=g:2142213
Yule Road	id=g:2142214
Yule Reef	id=g:2142215
Yule Point	id=g:2142216
Yule Point	id=g:2142217
Yule Channel	id=g:2142219
Yulecart	id=g:2142220
Yule Bank	id=g:2142221
Yuleba Creek	id=g:2142222
Yuleba	id=g:2142223
Yulabilla	id=g:2142224
Yukan	id=g:2142225
Yugar Siding	id=g:2142226
Yo Yo Park	id=g:2142227
Yow Yow Creek	id=g:2142228
Yowrie	id=g:2142229
Yowaka	id=g:2142230
Yowah Creek	id=g:2142231
Yowah	id=g:2142232
Mount You You	id=g:2142233
Lake Youngwoman	id=g:2142234
Youngs Sugarloaf	id=g:2142235
Young Road Tank	id=g:2142236
Young Reef	id=g:2142237
Youngmans Creek	id=g:2142238
Young Island	id=g:2142239
Younga Tank	id=g:2142240
Youngarinnia Bore	id=g:2142241
Youngareen	id=g:2142242
Mount Young	id=g:2142243
Mount Young	id=g:2142244
Young	id=g:2142245
Younadgina Lagoon	id=g:2142246
Youls Creek	id=g:2142247
Youlbung	id=g:2142248
Youhl Plain Tank	id=g:2142249
Youendah Bore	id=g:2142250
Youarang	id=g:2142251
Youanmite	id=g:2142252
York Town Rivulet	id=g:2142253
York Tank	id=g:2142254
York Street	id=g:2142255
Yorkshire Downs	id=g:2142256
York Rivulet	id=g:2142257
York Plains	id=g:2142258
Yorklea	id=g:2142259
York Island	id=g:2142260
Yorki Creek	id=g:2142261
York Hill	id=g:2142262
Yorkey Range	id=g:2142263
York Downs Out Station	id=g:2142264
York Downs	id=g:2142265
Mount York	id=g:2142266
Mount York	id=g:2142267
Cape York	id=g:2142268
Yoorooga	id=g:2142269
Yoorhooga	id=g:2142270
Yoomoo	id=g:2142271
Yoogali East Station	id=g:2142272
Yoogali	id=g:2142273
Yongurra	id=g:2142274
Yonge Reef	id=g:2142275
Yolla	id=g:2142276
Yolande River	id=g:2142277
Yoes Lookout	id=g:2142278
Yoe	id=g:2142279
Yithan	id=g:2142280
Yinnar South	id=g:2142281
Yinnar	id=g:2142282
Yinkanie	id=g:2142283
Yingerabay	id=g:2142284
Yimkin	id=g:2142285
Yimbun	id=g:2142286
Yielo	id=g:2142287
Yielima	id=g:2142288
Yiddah	id=g:2142289
Yeurabar Creek	id=g:2142290
Yeungroon East	id=g:2142291
Yeungroon	id=g:2142292
Yetman	id=g:2142293
Yetman	id=g:2142294
Yetholme	id=g:2142295
Yethera	id=g:2142296
Yetcherie Creek	id=g:2142297
Yessabah Creek	id=g:2142298
Yessabah Cave	id=g:2142299
Yerung River	id=g:2142300
Yerrinbool	id=g:2142301
Yerribah	id=g:2142302
Yerranderie	id=g:2142303
Yerra	id=g:2142304
Yeroongera Swamp	id=g:2142305
Yerong Creek Tank	id=g:2142306
Yerong Creek	id=g:2142307
Yerong Creek	id=g:2142308
Yerka Hill	id=g:2142309
Yering Mountain	id=g:2142310
Yeringberg	id=g:2142311
Yeringberg	id=g:2142312
Yering	id=g:2142313
Yerilla Mountain	id=g:2142314
Yerilla	id=g:2142315
Yeppoon	id=g:2142316
Yeppon Waterhole	id=g:2142317
Yeppen	id=g:2142318
Yeo Yeo Creek	id=g:2142319
Yeo Yeo	id=g:2142320
Yeovil	id=g:2142321
Yeoval	id=g:2142322
Yeomans Bay	id=g:2142323
Yeolands	id=g:2142324
Yeodene	id=g:2142325
Yeoburn Station	id=g:2142326
Mount Yengo	id=g:2142327
Yengarie	id=g:2142328
Yendon	id=g:2142329
Yenda	id=g:2142330
Yelta	id=g:2142331
Yellowwood Bore	id=g:2142332
Yellow Waterholes Creek	id=g:2142333
Yellow Waterhole Creek	id=g:2142334
Yellow Waterhole Creek	id=g:2142335
Yellow Waterhole Creek	id=g:2142336
Yellow Waterhole Creek	id=g:2142337
Yellow Waterhole	id=g:2142338
Yellow Waterhole	id=g:2142339
Yellow Waterhole	id=g:2142340
Yellow Waterhole	id=g:2142341
Yellow Waterhole	id=g:2142342
Yellow Water Creek	id=g:2142343
Yellow Tank	id=g:2142344
Yellow Rock River	id=g:2142345
Yellow Rock Creek	id=g:2142346
Yellow Rock	id=g:2142347
Yellow Rock	id=g:2142348
Yellow Rock	id=g:2142349
Yellow Rock	id=g:2142350
The Yellow Mountain	id=g:2142351
Yellow Mountain	id=g:2142352
Yellow Mountain	id=g:2142353
Yellow Lake	id=g:2142354
Yellowin	id=g:2142355
Yellow Gin Creek	id=g:2142356
Yellow Creek	id=g:2142357
Yellow Creek	id=g:2142358
Yellow Creek	id=g:2142359
Yellow Creek	id=g:2142360
Yellow Creek	id=g:2142361
Yellow Creek	id=g:2142362
Yellow Clay Creek	id=g:2142363
Yellowcap Peak	id=g:2142364
High Yellow Bluff	id=g:2142365
Yellow Biddy Lagoon	id=g:2142366
Yellowberry Creek	id=g:2142367
Yellowberry Creek	id=g:2142368
Yellowbelly Creek	id=g:2142369
Yellowbank Creek	id=g:2142370
Yellowband Creek	id=g:2142371
Yelloch Creek	id=g:2142372
Yellaparella Creek	id=g:2142373
Yellangip	id=g:2142374
Yelkin	id=g:2142375
Yelka	id=g:2142376
Yelgun	id=g:2142377
Yelarbon	id=g:2142378
Yeerongpilly	id=g:2142379
Yeerip	id=g:2142380
Yednia	id=g:2142381
Yeddah Tank	id=g:2142382
Yebna	id=g:2142383
Yeatman Creek	id=g:2142384
Mount Yeatman	id=g:2142385
Yeates Tank	id=g:2142386
Yeates Creek	id=g:2142387
Yea River	id=g:2142388
Yearinga	id=g:2142389
Yearinan Springs	id=g:2142390
Yearinan	id=g:2142391
Yea	id=g:2142392
Yaven Yaven Creek	id=g:2142393
Yaun Creek	id=g:2142394
Yaugher	id=g:2142395
Yatton Creek	id=g:2142396
Yatton	id=g:2142397
Yatteyatah	id=g:2142398
Yatpool	id=g:2142399
Yathong	id=g:2142400
Yathong	id=g:2142401
Yates Siding	id=g:2142402
Yates Peak	id=g:2142403
Yates Creek	id=g:2142404
Mount Yates	id=g:2142405
Yatee	id=g:2142406
Yatchaw	id=g:2142407
Yatcha	id=g:2142408
Yatala	id=g:2142409
Yass River	id=g:2142410
Yass Junction	id=g:2142411
Yass	id=g:2142412
Yarwun	id=g:2142413
Yaruga	id=g:2142414
Yarto	id=g:2142415
Yartla Lake	id=g:2142416
Yartla	id=g:2142417
Yarrunga Creek	id=g:2142418
Mount Yarrowyck	id=g:2142419
Yarrowyck	id=g:2142420
Yarrow River	id=g:2142421
Yarrow Pic	id=g:2142422
Yarrowmere	id=g:2142423
Yarrowitch River	id=g:2142424
Yarrowitch	id=g:2142425
Yarroweyah	id=g:2142426
Yarrowee River	id=g:2142427
Yarrowee	id=g:2142428
Yarrow Creek	id=g:2142429
Yarrowal Tank	id=g:2142430
Yarron Creek	id=g:2142431
Yarron Creek	id=g:2142432
Yarrol	id=g:2142433
Yarrock	id=g:2142434
Yarrimanbah Creek	id=g:2142435
Yarrilwanna Creek	id=g:2142436
Yarrill Creek	id=g:2142437
Yarrigan	id=g:2142438
Yarrie Lake	id=g:2142439
Yarrie Lake	id=g:2142440
Yarriambiack Creek	id=g:2142441
Yarrein Creek	id=g:2142442
Yarra Yarra Creek	id=g:2142443
Yarra Yarra Creek	id=g:2142444
Yarrawonga North	id=g:2142445
Yarrawonga Bore	id=g:2142446
Yarrawonga	id=g:2142447
Yarrawonga	id=g:2142448
Yarrawonga	id=g:2142449
Yarrawin	id=g:2142450
Yarrawin	id=g:2142451
Yarrawharra Creek	id=g:2142452
Yarra Weir	id=g:2142453
Yarrawalla South	id=g:2142454
Yarrawalla	id=g:2142455
Yarra Wai	id=g:2142456
Yarraville	id=g:2142457
Yarra View	id=g:2142458
Yarras	id=g:2142459
Yarra Ridge	id=g:2142460
Yarrari	id=g:2142461
Yarraree	id=g:2142462
Yarran Waterholes	id=g:2142463
Yarranvale	id=g:2142464
Yarrans	id=g:2142465
Yarranlea	id=g:2142466
Yarranjerry Creek	id=g:2142467
Yarrangobilly River	id=g:2142468
Yarrangobilly Caves	id=g:2142469
Yarrangobilly	id=g:2142470
Yarran Creek	id=g:2142471
Yarran Creek	id=g:2142472
Yarran Creek	id=g:2142473
Yarran Creek	id=g:2142474
Yarramunmun Creek	id=g:2142475
Yarramungee	id=g:2142476
Yarramildi Creek	id=g:2142477
Yarrambat	id=g:2142478
Yarramba	id=g:2142479
Yarramathia	id=g:2142480
Yarraman Creek Bore	id=g:2142481
Yarraman Creek Bore	id=g:2142482
Yarraman Creek	id=g:2142483
Yarraman Creek	id=g:2142484
Yarraman Creek	id=g:2142485
Yarraman Creek	id=g:2142486
Yarraman Creek	id=g:2142487
Yarraman Creek	id=g:2142488
Yarramanbully Creek	id=g:2142489
Yarraman Bore	id=g:2142490
Yarraman	id=g:2142491
Yarraman	id=g:2142492
Yarramalong	id=g:2142493
Yarram	id=g:2142494
Yarralumla Creek	id=g:2142495
Yarraldool Bore	id=g:2142496
Yarraldool	id=g:2142497
Yarralaw Creek	id=g:2142498
Yarrala	id=g:2142499
Yarra Koola	id=g:2142500
Yarra Junction	id=g:2142501
Yarrai	id=g:2142502
Yarragundry	id=g:2142503
Yarragundry	id=g:2142504
Yarragreen Creek	id=g:2142505
Yarragon	id=g:2142506
Yarra Glen	id=g:2142507
Yarragee	id=g:2142508
Yarraford	id=g:2142509
Yarraden	id=g:2142510
Yarraby	id=g:2142511
Yarrabundi Creek	id=g:2142512
Yarra Brae	id=g:2142513
Yarrabin Creek	id=g:2142514
Yarrabil Creek	id=g:2142515
Yarraberb	id=g:2142516
Yarrabandinni	id=g:2142517
Yarrabandai	id=g:2142518
Yarrabah Mission	id=g:2142519
Yarrabah Beach	id=g:2142520
Mount Yarrabah	id=g:2142521
Yarra	id=g:2142522
Yarpturk	id=g:2142523
Yarongmulu Siding	id=g:2142524
Yarmouth	id=g:2142525
Yarmawl Station	id=g:2142526
Yarlington	id=g:2142527
Yargunyah	id=g:2142528
Yargullen	id=g:2142529
Yargullan Creek	id=g:2142530
Yardenberry Mountain	id=g:2142531
Yard Creek	id=g:2142532
Yard Creek	id=g:2142533
Yard Creek	id=g:2142534
Yard Creek	id=g:2142535
Yard Creek	id=g:2142536
Yarck	id=g:2142537
Yarbarnba	id=g:2142538
Yaratmus Creek	id=g:2142539
Yarara Creek	id=g:2142540
Yaralla Shoal	id=g:2142541
Yaralla Bay	id=g:2142542
Yaraka	id=g:2142543
Yapunyah Waterhole	id=g:2142544
Yapuna Creek	id=g:2142545
Yappar River	id=g:2142546
Yappara	id=g:2142547
Yapeen	id=g:2142548
Yaouk Peak	id=g:2142549
Yaouk Gap	id=g:2142550
Yaouk Creek	id=g:2142551
Yaouk	id=g:2142552
Yan Yean Reservoir	id=g:2142553
Yan Yean Bore	id=g:2142554
Yan Yean Bore	id=g:2142555
Yan Yean	id=g:2142556
Yan Yang Range	id=g:2142557
Lake Yantawena	id=g:2142558
Yantara Tank	id=g:2142559
Lake Yantara	id=g:2142560
Yantara	id=g:2142561
Yantabulla Bore	id=g:2142562
Yantabulla	id=g:2142563
Yantabobbera Bore	id=g:2142564
Yantabangee Tank	id=g:2142565
Lake Yannerpi	id=g:2142566
Yannergee	id=g:2142567
Yannathan Station	id=g:2142568
Yannathan	id=g:2142569
Yannagan	id=g:2142570
Yanna	id=g:2142571
Yanko Lagoon	id=g:2142572
Yanko Dam	id=g:2142573
Yanko Creek	id=g:2142574
Yanko Creek	id=g:2142575
Yanko Creek	id=g:2142576
Yanko Bore	id=g:2142577
Yanko	id=g:2142578
Yankeys Creek	id=g:2142579
Yankey Creek	id=g:2142580
Yankee Hat	id=g:2142581
Yaningerry Waterhole	id=g:2142582
Yaningerry Creek	id=g:2142583
Yangyangy Creek	id=g:2142584
Yangery Swamp	id=g:2142585
Yangery	id=g:2142586
Yanga Tank	id=g:2142587
Yangar Point	id=g:2142588
Yangan	id=g:2142589
Yanga Lake	id=g:2142590
Yandoroo Lake	id=g:2142591
Yandoit	id=g:2142592
Yando	id=g:2142593
Yandina Creek	id=g:2142594
Yandina	id=g:2142595
Yandilla	id=g:2142596
Yandilla	id=g:2142597
Yanderra	id=g:2142598
Yandembah	id=g:2142599
Yandaroo	id=g:2142600
Yandaran Creek	id=g:2142601
Yandaran	id=g:2142602
Yandaminta Creek	id=g:2142603
Yandaminta	id=g:2142604
Yandama Creek	id=g:2142605
Yandama Bore	id=g:2142606
Yandama	id=g:2142607
Yanda Creek	id=g:2142608
Yandaburra	id=g:2142609
Yanda	id=g:2142610
Yancowinna Creek	id=g:2142611
Yanco	id=g:2142612
Yancannia Range	id=g:2142613
Yancannia Creek	id=g:2142614
Yancannia	id=g:2142615
Yanburra	id=g:2142616
Yanborra Bore	id=g:2142617
Yanborra	id=g:2142618
Yanalah Creek	id=g:2142619
Mount Yanalah	id=g:2142620
Yanakie	id=g:2142621
Yanac South	id=g:2142622
Yanac Creek	id=g:2142623
Yanac	id=g:2142624
Yamsion	id=g:2142625
Lake Yampitcha	id=g:2142626
Lake Yamma Yamma	id=g:2142627
Yammatree Creek	id=g:2142628
Yamla Bore	id=g:2142629
Yaminba Creek	id=g:2142630
Yaminba	id=g:2142631
Yamera Dam	id=g:2142632
Yam Creek	id=g:2142633
Yambuna	id=g:2142634
Yambulla	id=g:2142635
Lake Yambuk	id=g:2142636
Yambuk	id=g:2142637
Yambore Creek	id=g:2142638
Yambocully Creek	id=g:2142639
Yambo Creek	id=g:2142640
Yambla Range	id=g:2142641
Yambla	id=g:2142642
Yambani	id=g:2142643
Yamba Creek	id=g:2142644
Yambacoona	id=g:2142645
Yamba Bore	id=g:2142646
Yamba	id=g:2142647
Yamba	id=g:2142648
Yamba	id=g:2142649
Yamanie Creek	id=g:2142650
Yamala	id=g:2142651
Yalwal Creek	id=g:2142652
Yalwal	id=g:2142653
Yalpunga Tank	id=g:2142654
Yalpunga	id=g:2142655
Yalmy River	id=g:2142656
Yallum Park	id=g:2142657
Yallourn	id=g:2142658
Yallock Creek	id=g:2142659
Yallock	id=g:2142660
Yallock	id=g:2142661
Yallock	id=g:2142662
Yalleroi	id=g:2142663
Yalla-Y-Poora	id=g:2142664
Yallaroi Creek	id=g:2142665
Yallaroi	id=g:2142666
Yallara	id=g:2142667
Yallamurray	id=g:2142668
Yallakool Creek	id=g:2142669
Yallakool	id=g:2142670
Lake Yallakar	id=g:2142671
Yallah Station	id=g:2142672
Yallah Creek	id=g:2142673
Yallah Bay	id=g:2142674
Yallagal Creek	id=g:2142675
Yalla Creek	id=g:2142676
Yalkula	id=g:2142677
Yalimba Creek	id=g:2142678
Yalgogrin South	id=g:2142679
Yalgogrin North	id=g:2142680
Yalgogrin	id=g:2142681
Yalgogoring Mountain	id=g:2142682
Yalebone Creek	id=g:2142683
Yalebone	id=g:2142684
Yalcogrin	id=g:2142685
Yalca	id=g:2142686
Yalbraith Creek	id=g:2142687
Yalbraith	id=g:2142688
Yalboroo	id=g:2142689
Yalbogie Hill	id=g:2142690
Yalangur	id=g:2142691
Yalamurra Station	id=g:2142692
Yalamurra	id=g:2142693
Yalama	id=g:2142694
Yakara	id=g:2142695
Yakapari	id=g:2142696
Yahoo Island	id=g:2142697
Yahoo Creek	id=g:2142698
Yahoo Creek	id=g:2142699
Yahl Paddock	id=g:2142700
Yagon Gibber	id=g:2142701
Yagobie	id=g:2142702
Yagaburne	id=g:2142703
Yadjin	id=g:2142704
Yaddra	id=g:2142705
Yackandandah Creek	id=g:2142706
Yackandandah	id=g:2142707
Yackadoo Dam	id=g:2142708
Yackadoo Creek	id=g:2142709
Yacamunda Creek	id=g:2142710
Yacamunda	id=g:2142711
Yabulu	id=g:2142712
Yabba South	id=g:2142713
Yabba Range	id=g:2142714
Yabba North	id=g:2142715
Yabba Falls	id=g:2142716
Yabba Creek	id=g:2142717
Yabba	id=g:2142718
Yaapeet	id=g:2142719
Yaamba Creek	id=g:2142720
Mount Yaamba	id=g:2142721
Yaamba	id=g:2142722
Mount Xeromero	id=g:2142723
Wy Yung	id=g:2142724
Wyvuri Swamp	id=g:2142725
Wyvern Tank	id=g:2142726
Wyuna	id=g:2142727
Wyuna	id=g:2142728
Wythburn	id=g:2142729
Mount Wyruna	id=g:2142730
Wyrra	id=g:2142731
Wyreema Downs Bore	id=g:2142732
Wyreema Downs	id=g:2142733
Wyreema	id=g:2142734
Wyrallah	id=g:2142735
Wyperfeld National Park	id=g:2142736
Wyora Bore	id=g:2142737
Wyora	id=g:2142738
Wyong Shire	id=g:2142739
Wyong Creek	id=g:2142740
Wyong Creek	id=g:2142741
Wyongah	id=g:2142742
Wyong	id=g:2142743
Wyoming Creek	id=g:2142744
Wyoming Creek	id=g:2142745
Wyoming	id=g:2142746
Wynyard	id=g:2142747
Wynnum South	id=g:2142748
Wynnum North	id=g:2142749
Wynnum	id=g:2142750
Wynns Bore	id=g:2142751
Wynne Creek	id=g:2142752
Wyniford River	id=g:2142753
Wynia Waterhole	id=g:2142754
Wyndham	id=g:2142755
Wynbinnia Creek	id=g:2142756
Wynberg	id=g:2142757
Wynard Creek	id=g:2142758
Wymlet	id=g:2142759
Wylie Creek	id=g:2142760
Wylie Creek	id=g:2142761
Wylds Craig	id=g:2142762
Wyla	id=g:2142763
Wygarr	id=g:2142764
Wyeroo Out Station	id=g:2142765
Wye River	id=g:2142766
Wye River	id=g:2142767
Wye Reef	id=g:2142768
Wyena	id=g:2142769
Wyemo	id=g:2142770
Wyelangta	id=g:2142771
Wyefield Rivulet	id=g:2142772
Wyee Point	id=g:2142773
Wyee Creek	id=g:2142774
Wyeebo	id=g:2142775
Wyee Bay	id=g:2142776
Wyee	id=g:2142777
Wydjah Well	id=g:2142778
Wycombe	id=g:2142779
Wychitella	id=g:2142780
Wycheproof	id=g:2142781
Wycharra Bore	id=g:2142782
Wycarbah	id=g:2142783
Wycanna Bore	id=g:2142784
Wycanna	id=g:2142785
Wybung Head	id=g:2142786
Wybra Hall	id=g:2142787
Wyborn Reef	id=g:2142788
Wybong Creek	id=g:2142789
Wybong	id=g:2142790
Wyberba	id=g:2142791
Wybenia	id=g:2142792
Wybalena Island	id=g:2142793
Wybalena	id=g:2142794
Wyatts Tank	id=g:2142795
Mount Wyatt	id=g:2142796
Wyarra Hills	id=g:2142797
Lake Wyara	id=g:2142798
Wyangle	id=g:2142799
Wyangarie	id=g:2142800
Wyangala Reservoir	id=g:2142801
Wyanga	id=g:2142802
Wyandra Waterhole	id=g:2142803
Wyandra	id=g:2142804
Wyandra	id=g:2142805
Wyandotte Creek	id=g:2142806
Wyandotte	id=g:2142807
Wyanda	id=g:2142808
Wyan	id=g:2142809
Wyampa	id=g:2142810
Wyam Creek	id=g:2142811
Wyambah	id=g:2142812
Wyalong	id=g:2142813
Wyaldra Creek	id=g:2142814
Wyaldra	id=g:2142815
Wyaldra	id=g:2142816
Mount Wyagampinny	id=g:2142817
Wyaga Creek	id=g:2142818
Wyaga	id=g:2142819
Wyaaba Creek	id=g:2142820
Wuuluman Creek	id=g:2142821
Wuuluman	id=g:2142822
Wutul	id=g:2142823
Wurung	id=g:2142824
Wurruk	id=g:2142825
Wurroit	id=g:2142826
Wuringle Creek	id=g:2142827
Wurdiboluc	id=g:2142828
Wurba	id=g:2142829
Wura	id=g:2142830
Mount Wupawn	id=g:2142831
Wunnamurra	id=g:2142832
Wunkar	id=g:2142833
Wunghnu	id=g:2142834
Wundaru	id=g:2142835
Mount Wunburra	id=g:2142836
Wumbulgal	id=g:2142837
Wumalgi	id=g:2142838
Wullwye Creek	id=g:2142839
Wulkuraka	id=g:2142840
Wulgulmerang	id=g:2142841
Lake Wulgamilla	id=g:2142842
Wuk Wuk	id=g:2142843
Wubbera	id=g:2142844
Wubagul	id=g:2142845
Wtarborough Creek	id=g:2142846
Wrotham Park	id=g:2142847
Wrightville	id=g:2142848
Wrights Well	id=g:2142849
Wrights Falls	id=g:2142850
Wrights Creek	id=g:2142851
Wrights Creek	id=g:2142852
Wright Rock	id=g:2142853
Wright Creek	id=g:2142854
Wright Bank	id=g:2142855
Mount Wright	id=g:2142856
Mount Wright	id=g:2142857
Wright	id=g:2142858
Wrest Point	id=g:2142859
Wrens Creek	id=g:2142860
Wreck Shoal	id=g:2142861
Wreck Rocks	id=g:2142862
Wreck Reefs	id=g:2142863
Wreck Reef	id=g:2142864
Wreck Island	id=g:2142865
Wreck Creek	id=g:2142866
Wreck Bay	id=g:2142867
Wreck Bay	id=g:2142868
Woy Woy Creek	id=g:2142869
