Duvaduve	id=g:7453416
Middle Shoal	id=g:1879938
Middle Reef	id=g:1879939
Meridian Reef	id=g:1879940
Mera Canyon	id=g:1879941
Menzies Reef	id=g:1879942
Mentawai Trough	id=g:1879943
Memnon Shoal	id=g:1879944
Matsu Bank	id=g:1879945
Mariveles Reef	id=g:1879946
Marie Shoal	id=g:1879947
Marie Louise Bank	id=g:1879948
Margetts Seamount	id=g:1879949
Margesson Shoal	id=g:1879950
Marabout Shoal	id=g:1879951
Manokwari Trough	id=g:1879952
Manipa Basin	id=g:1879953
Mangole Basin	id=g:1879956
Makassar Basin	id=g:1879957
Magpie Shoal	id=g:1879958
Magpie Bank	id=g:1879959
Maeno Bank	id=g:1879960
Maeander Reef	id=g:1879961
Madalene Shoals	id=g:1879962
Macclesfield Bank	id=g:1879963
Lys Shoal	id=g:1879964
Luzon Ridge	id=g:1879965
Lord Auckland Shoal	id=g:1879966
London Reefs	id=g:1879967
Lombok Basin	id=g:1879968
Lizzie Webber	id=g:1879969
Livock Reef	id=g:1879970
Leslie Bank	id=g:1879973
Le Cher Bank	id=g:1879974
Learmonth Shoal	id=g:1879975
Ladd Reef	id=g:1879976
Kyushu-Palau Ridge	id=g:1879977
Kuga Bank	id=g:1879978
Korean Plateau	id=g:1879979
Kōrai Reef	id=g:1879980
Komahashi Seamount	id=g:1879981
Komahashi-daini Seamount	id=g:1879982
Kolff Shoal	id=g:1879983
Kitty Hawk Seamount	id=g:1879984
Kingston Shoal	id=g:1879985
Kinan Seamount Chain	id=g:1879986
Kamonga Shoal	id=g:1879987
Kami Reef	id=g:1879988
Julia Shoal	id=g:1879989
Jubilee Seamount	id=g:1879990
Johnson Patch	id=g:1879991
Jogashima Canyon	id=g:1879992
Jessie Beazley Reef	id=g:1879993
Jehangire Reefs	id=g:1879994
Java Ridge	id=g:1879995
Java Reef	id=g:1879996
Japan Basin	id=g:1879997
James Patch	id=g:1879998
Iwo Jima Ridge	id=g:1879999
Isobel Shoals	id=g:1880000
Irving Reef	id=g:1880001
Iroquois Reef	id=g:1880002
Investigator Shoal	id=g:1880003
Investigator Northeast Shoal	id=g:1880004
Inoko Canyon	id=g:1880005
Iltis Bank	id=g:1880006
Iligan Reef	id=g:1880007
Ikitsuki Bank	id=g:1880008
Hyūga Valley	id=g:1880009
Hunter Bank	id=g:1880010
Hsin-i Canyon	id=g:1880011
Howard Shoal	id=g:1880012
Hopps Reef	id=g:1880013
Hopkins Reef	id=g:1880014
Higashi-gotō Seachannels	id=g:1880015
Herefordshire Shoal	id=g:1880016
Herald Reef	id=g:1880017
Helen Shoal	id=g:1880019
Hayes Reef	id=g:1880020
Hayama Canyon	id=g:1880021
Hart Reef	id=g:1880022
Hardy Reef	id=g:1880023
Hardy Patches	id=g:1880024
Hardie Reef	id=g:1880025
Hand Shoal	id=g:1880026
Halmahera Basin	id=g:1880027
Half Moon Shoal	id=g:1880028
Gunston Hall Bank	id=g:1880029
Great Yangtze Bank	id=g:1880030
Great Danger Bank	id=g:1880031
Grainger Bank	id=g:1880032
Gotō Banks	id=g:1880033
Gorontalo Basin	id=g:1880034
Genzan Trough	id=g:1880035
Gentatsu Shoal	id=g:1880036
Gem Reef	id=g:1880037
Gaven Reefs	id=g:1880038
Fukue Bank	id=g:1880039
Friendship Shoal	id=g:1880040
Frances Reef	id=g:1880041
Flores Basin	id=g:1880042
First Thomas Shoal	id=g:1880043
Fiery Cross Reef	id=g:1880044
Fearless Shoal	id=g:1880045
Enoshima Canyon	id=g:1880046
Enggano Basin	id=g:1880047
Emden Deep	id=g:1880048
Elizabeth Shoals	id=g:1880049
Eldad Reef	id=g:1880050
Egeria Bank	id=g:1880051
Echizen Banks	id=g:1880052
Ebeling Reef	id=g:1880053
East Reef	id=g:1880054
Don Juan de Austria Shoals	id=g:1880055
Dickins Shoal	id=g:1880056
Dangerous Ground	id=g:1880057
Damar Ridge	id=g:1880058
Dallas Reef	id=g:1880059
Daitō Ridge	id=g:1880060
Dai-shi-gotō Bank	id=g:1880061
Dai-san-gotō Bank	id=g:1880062
Daini-kinan Seamount	id=g:1880063
Dai-ni-gotō Bank	id=g:1880064
Dai-ichi-gotō Bank	id=g:1880065
Dai-go-gotō Bank	id=g:1880066
Cuarteron Reef	id=g:1880067
Cornwallis South Reef	id=g:1880068
Connell Reef	id=g:1880069
Commodore Reef	id=g:1880070
Combe Shoal	id=g:1880071
Cochrane Bank	id=g:1880072
Chūō-gotō Seachannels	id=g:1880073
Charlotte Bank	id=g:1880074
Chambers Knoll	id=g:1880075
Ceram Trough	id=g:1880076
Central Reef	id=g:1880077
Central Basin Trough	id=g:1880078
Celebes Basin	id=g:1880079
Cawston Shoal	id=g:1880080
Cathay Shoal	id=g:1880081
Carpenter Shoal	id=g:1880082
Carnatic Shoal	id=g:1880083
Callou Bank	id=g:1880084
Cagayan Canyon	id=g:1880085
Butung Basin	id=g:1880086
Buru Basin	id=g:1880087
Brown Reef	id=g:1880088
Bremen Bank	id=g:1880089
Boxall Reef	id=g:1880090
Borneo Shoal	id=g:1880091
Bone Basin	id=g:1880092
Bombay Shoal	id=g:1880093
Bombay Castle	id=g:1880094
Blue Ridge Seamount	id=g:1880095
Blake Reef	id=g:1880096
Bittern Reef	id=g:1880097
Benrinnes Reef	id=g:1880098
Benham Seamount	id=g:1880099
Benham Plateau	id=g:1880100
Batjan Basin	id=g:1880101
Bassett Shoal	id=g:1880102
Barracuda Reef	id=g:1880103
Barque Canada Reef	id=g:1880104
Bankok Shoal	id=g:1880105
Banda Trench	id=g:1880106
Bali Basin	id=g:1880107
Balfour Shoal	id=g:1880108
Balabac Great Reefs	id=g:1880109
Baker Reef	id=g:1880110
Bajapa Reef	id=g:1880111
Ayu Trough	id=g:1880112
Aurora Reef	id=g:1880113
Aru Basin	id=g:1880114
Ardasier Reefs	id=g:1880115
Antelope Shoal	id=g:1880116
Amy Douglas Bank	id=g:1880117
Ambelau Basin	id=g:1880118
Amami Plateau	id=g:1880119
Altnacraig Shoal	id=g:1880120
Alison Reef	id=g:1880121
Alida Reef	id=g:1880122
Alicia Annie Reef	id=g:1880123
Alice Reef	id=g:1880124
Alexandra Bank	id=g:1880125
Albay Shoal	id=g:1880127
Addington Patch	id=g:1880128
Acis Shoals	id=g:1880129
Abra Canyon	id=g:1880130
Singapore Strait	id=g:1880132
Main Strait	id=g:1880480
Enshūnadaoki Seamount	id=g:1882156
Komahashi Daisan Seamount	id=g:1882157
Koshū Seamount	id=g:1882158
South Channel	id=g:1883104
Zenisuoki Seamount	id=g:1883416
Aru Channel	id=g:1884729
Arafura Channel	id=g:1884730
Viper Shoal	id=g:1886477
Stigant Reef	id=g:1886480
Comus Shoal	id=g:1886481
Gaffney Ridge	id=g:1899460
Tane-Yaku Spur	id=g:1904620
Tokara Valley	id=g:1904621
Tombi Canyon	id=g:1904622
Kikai Seamount	id=g:1904623
Yoro Seamount	id=g:1904624
Isen Seamount	id=g:1904625
Inutabu Seamount	id=g:1904626
Kikai Basin	id=g:1904627
Sōmachi Seamount	id=g:1904628
Naze Basin	id=g:1904629
Naze Seamount	id=g:1904630
Kakeroma Seamount	id=g:1904631
Kakeroma Seamount Chain	id=g:1904632
Sei Seamount	id=g:1904633
Kinen Seamount	id=g:1904634
Sakibaru Seamount	id=g:1904635
Tete Seamount	id=g:1904636
Nishinoomote Seamount	id=g:1904637
Ugami Seamount	id=g:1904638
Araki Seamount	id=g:1904639
Wan Seamount	id=g:1904640
Koniya Seamount	id=g:1904641
Kanami Seamount	id=g:1904642
Chikuzen Seamount	id=g:1904643
Chikugo Seamount	id=g:1904644
Kita Amami Escarpment	id=g:1904645
Kasari Seamount	id=g:1904646
Yuwan Seamount	id=g:1904647
Minami Amami Escarpment	id=g:1904648
Minami Daitō Basin	id=g:1904649
Kiju Seamount	id=g:1904650
Koki Seamount	id=g:1904651
Kanreki Seamount	id=g:1904652
Chōju Seamounts	id=g:1904653
Buzen Seamount	id=g:1904654
Bungo Seamount	id=g:1904655
Hizen Seamount	id=g:1904656
Higo Seamount	id=g:1904657
Ōsumi Seamount	id=g:1904658
Satsuma Seamount	id=g:1904659
Kotobuki Seamount	id=g:1904660
Hakuju Seamount	id=g:1904661
Beiju Seamount	id=g:1904662
Minami Kōhō Seamount	id=g:1904663
Kita Ryūsei Seamount	id=g:1904664
Ryūsei Seamount	id=g:1904665
Kita Rensei Seamount	id=g:1904666
Kōsei Seamount	id=g:1904667
Nishi Kōsei Seamount	id=g:1904668
Furō Seamount	id=g:1904669
Suisei Seamount	id=g:1904670
Higashi Suisei Seamount	id=g:1904671
Shinsei Seamount	id=g:1904672
Higashi Shinsei Seamount	id=g:1904673
Minami Shinsei Seamount	id=g:1904674
Nishi Kaitoku Seamount	id=g:1904675
Taiji Seamount	id=g:1904676
Koza Seamount	id=g:1904677
Hime Knoll	id=g:1904678
Hakuhō Seamount	id=g:1904679
Kushimoto Seamount	id=g:1904680
Kinan Escarpment	id=g:1904681
Kan'en Seamount	id=g:1904682
Meiwa Seamount	id=g:1904683
Higashi An'ei Seamount	id=g:1904684
An'ei Seamount	id=g:1904685
Kansei Seamount	id=g:1904686
Minami An'ei Seamount	id=g:1904687
Minami Kansei Seamount	id=g:1904688
Kita Kyōwa Seamount	id=g:1904689
Nishi Shichitō Ridge	id=g:1904690
Temmei Seamount	id=g:1904691
Bunka Seamount	id=g:1904692
Sōfu Trough	id=g:1904693
Bunsei Seamount	id=g:1904694
Nishi Tempō Seamount	id=g:1904695
Kōka Seamount	id=g:1904696
Tempō Seamount	id=g:1904697
Daiichi Shima Knoll	id=g:1905280
Daini Atsumi Knoll	id=g:1905281
Daini Tenryū Knoll	id=g:1905282
Daisan Shima Knoll	id=g:1905283
Genna Seamount	id=g:1905284
Irō Canyon	id=g:1905285
Izu Spur	id=g:1905286
Jōō Seamount	id=g:1905287
Kan'ei Seamount	id=g:1905288
Kanesuno Bank	id=g:1905289
Keian Seamount	id=g:1905290
Keichō Seamount	id=g:1905291
Nishi Shichitō Trough	id=g:1905292
Nishi Shōhō Seamount	id=g:1905293
Nishi Jōō Seamount	id=g:1905294
Shionomisaki Canyon	id=g:1905297
Shōhō Seamount	id=g:1905298
Tenkai Knoll	id=g:1905299
Tenryū Canyon	id=g:1905300
Tosa Bank	id=g:1905301
Tosabae Trough	id=g:1905302
Watari Bank	id=g:1905303
Zeni Bank	id=g:1905304
Zenisu Ridge	id=g:1905305
Zenisu Canyon	id=g:1905306
Amanogawa Seamounts	id=g:2001147
Black Hole	id=g:2001151
Choshinsei Seamount	id=g:2001155
Hokusei Ryūsei Seamount	id=g:2001156
Inokawa Seamount	id=g:2001157
Junsei Seamount	id=g:2001159
Keto Bank	id=g:2001160
Kita Amami Seamounts	id=g:2001161
Kita Daitō Basin	id=g:2001162
Kita Kōhō Seamount	id=g:2001163
Kōhō Hole	id=g:2001164
Kōhō Ridge	id=g:2001165
Kushimoto Hole	id=g:2001166
Kyosei Seamount	id=g:2001167
Kyowa Seamount	id=g:2001168
Minami Choshinsei Seamount	id=g:2001171
Minami Rensei Seamount	id=g:2001174
Nishi Kaitoku Seamount	id=g:2001186
Okidaitō Terrace	id=g:2001188
Rensei Seamount	id=g:2001197
Saikaido Seamount Chain	id=g:2001202
Sanju Seamount	id=g:2001205
Sotsuju Seamount	id=g:2001206
Susami Seamount	id=g:2001207
Yaku Shin Bank	id=g:2001208
Edateku Seamount	id=g:2005886
Amanohashidate Hole	id=g:2005887
Matsushima Hole	id=g:2005888
Miyajima Hole	id=g:2005889
Tatsugō Hill	id=g:2005890
Laptev Sea	id=g:2038683
Sea of Japan	id=g:2038684
Yana Valley	id=g:2045377
Vasil'yev Shoal	id=g:2045378
Toyama Seamount	id=g:2045379
Stolbovoya Bank	id=g:2045380
Siberia Seamount	id=g:2045381
Pëtr Velikiy Seamount	id=g:2045382
Ostrovnoy Seamount	id=g:2045383
Olenëk Valley	id=g:2045384
Molloy Seamount	id=g:2045385
Kol'tso Seamount	id=g:2045386
Japan Plain	id=g:2045387
Bogorov Seamount	id=g:2045388
Garkusha Seamount	id=g:2056796
Rassokho Seamounts	id=g:2056797
Zefirov Seamount	id=g:2056798
Shinkov Seamount	id=g:2056799
Teplov Seamount	id=g:2056800
Vee Shoal	id=g:2059500
Penguin Shoal	id=g:2063596
Gulf of Carpentaria	id=g:2074837
Bassett-Smith Shoal	id=g:2077029
Timor Sea	id=g:2078065
Great Australian Bight	id=g:2078067
Zeewyk Seamount	id=g:2078146
Wilson Canyon	id=g:2078147
Wharton Basin	id=g:2078148
Wallaby Plateau	id=g:2078149
Vulcan Shoal	id=g:2078150
Vening Meinesz Seamounts	id=g:2078151
Vancouver Canyon	id=g:2078152
Van Cloon Shoal	id=g:2078153
Tryal Ridge	id=g:2078154
Stokes Canyon	id=g:2078155
South Indian Plain	id=g:2078156
Southeast Indian Ridge	id=g:2078157
South Australian Plain	id=g:2078158
South Australian Basin	id=g:2078159
Shcherbakov Seamount	id=g:2078160
Seringapatam Reef	id=g:2078161
Scott Plateau	id=g:2078162
Sanders Reef	id=g:2078163
Sahul Shelf	id=g:2078164
Sahul Banks	id=g:2078165
Rowley Shelf	id=g:2078166
Roo Rise	id=g:2078167
Perth Plain	id=g:2078168
Perth Canyon	id=g:2078169
Perth Basin	id=g:2078170
Pelsaert Seamount	id=g:2078171
Pasley Canyon	id=g:2078172
North Australian Basin	id=g:2078173
Naturaliste Plateau	id=g:2078174
Naturaliste Fracture Zone	id=g:2078175
Marie Reef	id=g:2078176
Lynher Reef	id=g:2078177
Lynedoch Shoal	id=g:2078178
Lost Dutchmen Ridge	id=g:2078179
L'Espoir Ridge	id=g:2078180
Leeuwin Canyon	id=g:2078181
Java Trench	id=g:2078182
Horizon Ridge	id=g:2078183
Heywood Shoal	id=g:2078185
Hartog Ridge	id=g:2078186
Goodrich Bank	id=g:2078187
Gascoyne Plain	id=g:2078188
Fantome Bank	id=g:2078189
Eyre Terrace	id=g:2078190
Exmouth Plateau	id=g:2078191
Esperance Canyon	id=g:2078192
Eendracht Seamounts	id=g:2078193
Echuca Shoal	id=g:2078194
Duntroon Seamount	id=g:2078195
Dordrecht Basin	id=g:2078196
Diamantina Fracture Zone	id=g:2078197
D'Entrecasteaux Canyon	id=g:2078198
Cuvier Plateau	id=g:2078199
Cuvier Plain	id=g:2078200
Cuvier Basin	id=g:2078201
Christmas Rise	id=g:2078202
Ceduna Terrace	id=g:2078203
Ceduna Canyon	id=g:2078204
Brouwer Seamount	id=g:2078205
Broke Canyon	id=g:2078206
Bremer Canyon	id=g:2078207
Bonaparte Basin	id=g:2078208
Beachport Terrace	id=g:2078209
Batavia Seamount	id=g:2078210
Barracouta Shoal	id=g:2078211
Baldwin Bank	id=g:2078212
Arafura Shelf	id=g:2078213
Albany Canyon	id=g:2078214
Cape Range Canyon	id=g:2078215
Cape Range Fracture Zone	id=g:2078216
Carnarvon Canyon	id=g:2078217
Cloates Canyon	id=g:2078218
Eucla Canyon	id=g:2078219
Eyre Canyon	id=g:2078220
Geraldton Canyon	id=g:2078221
Houtman Canyon	id=g:2078222
Montebello Saddle	id=g:2078223
Nullarbor Canyon	id=g:2078224
Pelsaert Canyon	id=g:2078225
Sonja Ridge	id=g:2078226
Sonne Ridge	id=g:2078227
Wallabi Canyon	id=g:2078228
Yalata Canyon	id=g:2078229
Adieu Canyon	id=g:2078230
Althorpe Canyon	id=g:2078231
Carnarvon Terrace	id=g:2078232
Du Couedic Canyon	id=g:2078233
Fowlers Canyon	id=g:2078234
Gambier Canyon	id=g:2078235
Gantheaume Canyon	id=g:2078236
Kangaroo Canyon	id=g:2078237
Lincoln Canyon	id=g:2078238
Neptune Canyon	id=g:2078239
Nuyts Canyon	id=g:2078240
Pearson Canyon	id=g:2078241
Seal Canyon	id=g:2078242
Spencer Canyon	id=g:2078243
Sprigg Canyon	id=g:2078244
Topgallant Canyon	id=g:2078245
Wallaby Saddle	id=g:2078246
Wallaby-Cuvier Escarpment	id=g:2078247
Whidbey Canyon	id=g:2078248
The Boxers	id=g:2078767
Bartlett Seamounts	id=g:2078952
Flying Fish Seamounts	id=g:2078953
Golden Bo'sunbird Seamounts	id=g:2078954
Karma Seamounts	id=g:2078955
Monsoon Rise	id=g:2078956
Umbgrove Seamount	id=g:2078957
Karmt Shoal	id=g:2079304
Favell Bank	id=g:2079305
Gale Bank	id=g:2079306
Eugene McDermott Shoal	id=g:2079310
Goeree Shoal	id=g:2079311
Jabiru Shoals	id=g:2079338
Pee Shoal	id=g:2079339
Mangola Shoal	id=g:2079340
Barton Shoal	id=g:2079341
Dillon Shoal	id=g:2079342
Penguin Deeps	id=g:2079343
Heemskerck Fracture Zone	id=g:2079827
Zeehaen Fracture Zone	id=g:2079828
Micronesia	id=g:2080158
Bismarck Sea	id=g:2110018
Melanesian Basin	id=g:2110176
Ellice Ridge	id=g:2110218
Kuroshio	id=g:2112059
Zubov Seamount	id=g:2113166
Zealandia Bank	id=g:2113167
Yūryaku Seamount	id=g:2113168
W. Smith Seamount	id=g:2113169
Woods Hole Guyot	id=g:2113170
Winterer Guyot	id=g:2113172
Willaumez-Manus Rise	id=g:2113173
Wilkinson Seamount	id=g:2113174
Wilde Guyot	id=g:2113175
West Mariana Ridge	id=g:2113177
West Caroline Rise	id=g:2113178
Waghenaer Fracture Zone	id=g:2113180
Vogt Guyot	id=g:2113181
Victoria Fracture Zone	id=g:2113182
Vibelius Guyot	id=g:2113183
Van Wyckhouse Seamount	id=g:2113184
Uyeda Ridge	id=g:2113185
Uracas Ridge	id=g:2113186
Ulloa Reef	id=g:2113187
Trobriand Trough	id=g:2113188
Tracey Seamount	id=g:2113189
Townsend Cromwell Seamount	id=g:2113190
Toba Guyot	id=g:2113191
Thomas Washington Guyot	id=g:2113192
Taylor Seamount	id=g:2113193
Tatsumi Reef	id=g:2113194
Tarang Tablemount	id=g:2113195
Tarang Reef	id=g:2113196
Takuyō-daisan Seamount	id=g:2113197
Takuyō-daini Seamount	id=g:2113198
Taga Seamount	id=g:2113199
Sylvester Seamount	id=g:2113200
Supply Reef	id=g:2113202
Strakhov Seamount	id=g:2113203
Stout Seamount	id=g:2113204
Stingray Shoal	id=g:2113205
Stetson Guyot	id=g:2113206
S. Smith Seamount	id=g:2113207
South Honshu Ridge	id=g:2113208
Sorol Trough	id=g:2113209
Smoot Guyot	id=g:2113211
SIO Guyot	id=g:2113212
Sierra Seamount	id=g:2113213
Shin-matsuye Bank	id=g:2113214
Shatskiy Rise	id=g:2113215
Scripps Guyot	id=g:2113216
Santa Rosa Reef	id=g:2113217
Sampson Guyot	id=g:2113219
Sakuyama Seamount	id=g:2113220
Saint Paul Seamount	id=g:2113221
Ryofu Seamount	id=g:2113222
Rouse Seamount	id=g:2113223
Rosenberg Seamount	id=g:2113224
Rea Seamount	id=g:2113225
Ratak Ridge	id=g:2113226
Ramapo Bank	id=g:2113227
Ralik Ridge	id=g:2113228
Ptolemy Basin	id=g:2113229
Poyo Seamount	id=g:2113230
Pollux Guyot	id=g:2113231
Pigafetta Basin	id=g:2113232
Pathfinder Reef	id=g:2113233
Ortelius Fracture Zone	id=g:2113234
Oraitilipu Bank	id=g:2113235
Orairuguron Seamount	id=g:2113236
Ontong Java Rise	id=g:2113237
Ōjin Rise	id=g:2113238
Ogasawara Trough	id=g:2113239
Ogasawara Plateau	id=g:2113240
O'Brian Seamount	id=g:2113241
Northwest Pacific Basin	id=g:2113242
North Solomon Trough	id=g:2113243
Nintoku Basin	id=g:2113244
Newhouse Seamount	id=g:2113245
Nelson Guyot	id=g:2113248
Naugler Seamount	id=g:2113249
Nakwe Seachannel	id=g:2113250
Nadezhda Basin	id=g:2113251
Mussau Trench	id=g:2113252
Mussau Ridge	id=g:2113253
Ōjin Seamount	id=g:2113254
Mogi Seamount	id=g:2113255
Mogami Bank	id=g:2113256
Minto Reef	id=g:2113257
Minami-kasuga Seamount	id=g:2113258
Milwaukee Seamounts	id=g:2113259
Miklukho-Maklaya Seamount	id=g:2113260
Michelson Ridge	id=g:2113261
Miami Guyot	id=g:2113262
Mercator Basin	id=g:2113263
Mellish Seamount (historical)	id=g:2113264
McLaughlin Bank	id=g:2113266
McDonnell Guyot	id=g:2113267
Matsuye Bank	id=g:2113268
Marshall Seamounts	id=g:2113269
Mariana Trough	id=g:2113271
Mariana Trench	id=g:2113272
Mariana Ridge	id=g:2113273
Mariana Basin	id=g:2113274
Marcus-Wake Seamounts	id=g:2113275
Mapmaker Seamounts	id=g:2113276
Manila Reef	id=g:2113278
Mammerickx Seamount	id=g:2113279
Makhahnas Seamount	id=g:2113280
Makarov Seamount	id=g:2113281
Maiko Seamount	id=g:2113282
Magellan Seamounts	id=g:2113283
Macomber Seamount	id=g:2113284
Lyra Trough	id=g:2113285
Lyra Reef	id=g:2113286
Lyra Basin	id=g:2113287
Lowrie Guyot	id=g:2113288
Louis Agassiz Guyot	id=g:2113289
Lamont Guyot	id=g:2113290
Lady Elgin Bank	id=g:2113291
Koyo Bank	id=g:2113292
Kottono Canyon	id=g:2113293
Kōkō Seamount	id=g:2113294
Kimmei Seamount	id=g:2113295
Katakai Canyon	id=g:2113297
Kashima Tablemount	id=g:2113298
Kamogawa Canyon	id=g:2113299
Kammu Seamount	id=g:2113300
Kalaniopuu Basin	id=g:2113301
Kaikata Seamount	id=g:2113302
Jingū Seamount	id=g:2113303
Jingū Basin	id=g:2113304
Jennings Guyot	id=g:2113305
Jenkins Seamount	id=g:2113306
Japan Trench	id=g:2113307
Japanese Guyots	id=g:2113308
Jacqueline Guyot	id=g:2113309
Izu Trench	id=g:2113310
Ita Mai Tai Guyot	id=g:2113311
Isakov Seamount	id=g:2113312
Ianthe Reefs	id=g:2113313
Hydock Seamount	id=g:2113314
Hitchfield Bank	id=g:2113315
Hess Rise	id=g:2113316
Henry Seamount	id=g:2113317
Hemler Guyot	id=g:2113318
Helene Shoal	id=g:2113319
Helena Seamount (historical)	id=g:2113320
Hancock Seamount	id=g:2113322
Hamilton Tablemount	id=g:2113323
Habuto Canyon	id=g:2113324
Guadalupe Seamount	id=g:2113325
Grosvenor Seamount	id=g:2113326
Gray Feather Bank	id=g:2113327
Gran Cocal Reef	id=g:2113328
Goshirakawa Seamount	id=g:2113329
Gosanjō Seamount	id=g:2113330
Genji Seamount	id=g:2113333
Gamen Reef	id=g:2113334
Galvez Banks	id=g:2113335
Fukuyama Seamount	id=g:2113336
Fryer Guyot	id=g:2113337
Frindsbury Reef	id=g:2113338
Ewing Seamount	id=g:2113340
Esmeralda Bank	id=g:2113341
Erickson Seamount	id=g:2113342
Enderby Reef	id=g:2113343
Edwards Bank	id=g:2113346
Eauripik Rise	id=g:2113347
East Mariana Basin	id=g:2113348
East Caroline Basin	id=g:2113349
Earl Dalhousie Bank	id=g:2113350
Dutton Ridge	id=g:2113351
Donelson Seamount	id=g:2113352
Dmitri Mendeleyev Seamount	id=g:2113353
Dixie Jane Seamount	id=g:2113354
Dietz Tablemount	id=g:2113355
De Veuster Seamount	id=g:2113356
Davis Seamount	id=g:2113357
Darwin Guyot	id=g:2113358
Daon Seamount	id=g:2113359
Daikakuji Seamount	id=g:2113360
Cramer Seamount	id=g:2113361
Condor Reef	id=g:2113362
Condor Bank	id=g:2113363
Colahan Seamount	id=g:2113364
Cipangu Basin	id=g:2113365
Cheref Seamount	id=g:2113366
Chamorro Seamount	id=g:2113367
Challenger Deep	id=g:2113368
Castor Guyot	id=g:2113369
Caroline Ridge	id=g:2113370
Cape Johnson Trough	id=g:2113371
Busch Seamount	id=g:2113372
Buffington Seamount	id=g:2113373
Broken-Top Guyot	id=g:2113374
Bradley Reefs	id=g:2113375
Bonin Trench	id=g:2113376
Bonin Seamounts	id=g:2113377
Bonin Ridge	id=g:2113378
Beatty Guyot	id=g:2113379
Beaton Seamount	id=g:2113380
Ayers Seamount	id=g:2113381
Arnold Guyot	id=g:2113382
Arakane Reef	id=g:2113383
Andregg Seamount	id=g:2113384
Alexander Agassiz Guyot	id=g:2113385
Akashi Knoll	id=g:2113386
Ahyi Seamount	id=g:2113387
Abbott Seamount	id=g:2113388
Batiza Guyot	id=g:2113389
Concepcion Seamount	id=g:2113390
Del Cano Guyot	id=g:2113391
Enrique Guyot	id=g:2113392
Lapulapu Ridge	id=g:2113393
Pigafetta Guyot	id=g:2113394
Quesada Seamount	id=g:2113395
Trinidad Seamount	id=g:2113396
Victoria Guyot	id=g:2113397
Resolution Guyot	id=g:2113398
MIT Guyot	id=g:2113399
Earthwatch Seamount	id=g:2113404
Allen Guyot	id=g:2113405
Harvey Guyot	id=g:2113406
HIG Guyot	id=g:2113407
Thomas Guyots	id=g:2113408
Niemeyer Guyot	id=g:2113409
Daugherty Seamount	id=g:2113410
G. W. Davis Seamount	id=g:2113600
Kana Keoki Seamount	id=g:2113758
Joban Seamount Chain	id=g:2113772
Daini-kashima Seamount	id=g:2113773
Daisan-kashima Seamount	id=g:2113774
Daiyon-kashima Seamount	id=g:2113775
Hitachi Seamount	id=g:2113776
Bosei Seamount	id=g:2113777
Futaba Seamount	id=g:2113778
Ferguson Seamount	id=g:2114220
King Seamount	id=g:2114221
Barbor Seamount	id=g:2114222
Lockwood Seamount	id=g:2114223
Bernard Seamount	id=g:2114224
Warrenfeltz Seamount	id=g:2114225
West Seamount	id=g:2114226
Malaguana-Gadao Rise	id=g:2114227
Arensberg Seamount	id=g:2114228
Greer Guyot	id=g:2114229
Randall Seamount Group	id=g:2114230
Iwaki Seamount	id=g:2114231
Alba Guyot	id=g:2114232
Gelendzhik Guyot	id=g:2114233
Pallada Guyot	id=g:2114234
Gramberg Guyot	id=g:2114235
Rional Reef	id=g:2114236
Rene Reef	id=g:2114237
Akinonanakusa Seamounts	id=g:2114238
Anejima Knoll	id=g:2114239
Chichijima Seamount	id=g:2114240
Chōyō Seamount	id=g:2114241
Daiichi Sōfu Knoll	id=g:2114242
Doyō Seamount	id=g:2114243
Fujibakama Escarpment	id=g:2114244
Fujibakama Seamount	id=g:2114245
Fukutoku Seamount	id=g:2114246
Gogyō Seamount	id=g:2114247
Hagi Seamount	id=g:2114248
Hahajima Seamount	id=g:2114249
Hakobe Seamount	id=g:2114250
Harunonanakusa Seamounts	id=g:2114251
Iō Canyon	id=g:2114252
Kikyō Seamount	id=g:2114253
Kuzuhana Seamount	id=g:2114254
Nadeshiko Seamount	id=g:2114255
Ominaeshi Seamount	id=g:2114256
Susuki Seamount	id=g:2114257
Higashi Seamount	id=g:2114258
Hokutō Knoll	id=g:2114259
Hotokenoza Seamount	id=g:2114260
Imōtojima Knoll	id=g:2114261
Kaede Escarpment	id=g:2114262
Kaede Seamount	id=g:2114263
Kaijin Knoll	id=g:2114264
Kaitoku Seamounts	id=g:2114265
Kaitoku Seamount	id=g:2114266
Kanrin Tablemount	id=g:2114267
Kita Kaise Knoll	id=g:2114268
Nazuna Seamount	id=g:2114269
Nishi Fukutoku Seamount	id=g:2114270
Nishi Iō Knoll	id=g:2114271
Nishi Kaise Knoll	id=g:2114272
Senshū Seamount	id=g:2114273
Seri Seamount	id=g:2114274
Suzuna Seamount	id=g:2114275
Suzushiro Seamount	id=g:2114276
Sea of Okhotsk	id=g:2127380
East Siberian Sea	id=g:2127381
Amurskiy Liman	id=g:2127382
Zhupanova Canyon	id=g:2130742
Zenkevich Rise	id=g:2130743
Yōmei Seamount	id=g:2130744
Wrangel Plain	id=g:2130745
Winnebago Seamount	id=g:2130746
Williams Moat	id=g:2130747
Williams Knoll	id=g:2130748
Wedge Bank	id=g:2130749
Ward Knoll	id=g:2130750
Ward Canyon	id=g:2130751
Ward Basin	id=g:2130752
Walls Plateau	id=g:2130753
Walls Basin	id=g:2130754
Vityaz Ridge	id=g:2130755
