Bissanbougou	id=g:6875181
Djibé	id=g:6881087
Goungaré	id=g:6881088
Arsina	id=g:6881089
Dimitéro	id=g:6881090
Koboro	id=g:6881091
Doukaia	id=g:6881092
Dissoré	id=g:6881093
Banibo	id=g:6881094
Santou	id=g:6881095
Kamne	id=g:6881096
Dionkoura	id=g:6881097
Daramane	id=g:6881098
Guèria	id=g:6893503
Bamarou Guira	id=g:6893504
Bamguel	id=g:6893505
Sèné	id=g:6893506
Fadiari	id=g:6893507
Sokoroto	id=g:6893508
Orotaka	id=g:6893509
Guel Lobo	id=g:6893513
Nisirguel	id=g:6893514
Kil Louguilt	id=g:6893515
Bilel Oroy	id=g:6893516
Yanandé Mosinké	id=g:6893517
Birouoli	id=g:6893518
Bagouyé	id=g:6893519
Bounou Gao	id=g:6893520
Orasègou	id=g:6893521
Bilel Paté	id=g:6893522
Tolodié	id=g:6893523
Alawal	id=g:6893524
Diom Kom	id=g:6893525
Ogobinoui	id=g:6893526
Dim Sogo	id=g:6893527
Omo	id=g:6893528
Gondoum	id=g:6893529
Tabata	id=g:6893530
Domni	id=g:6893531
Dim-Déima	id=g:6893532
Bonéè	id=g:6893533
Torou	id=g:6893534
Sabéré	id=g:6893535
Pondourou	id=g:6893536
Yoroupée	id=g:6893537
Ogotèné	id=g:6893538
Kagounou	id=g:6893539
Tanouma	id=g:6893540
Sabel Todé	id=g:6893541
Gawa	id=g:6893542
Dandèrou	id=g:6893543
Tialoudi	id=g:6893544
Guèmdé	id=g:6893545
Dounapé	id=g:6893546
Titaroa	id=g:6893547
Waandèn	id=g:6893548
Orosoro	id=g:6893549
Gon	id=g:6893550
Bidi	id=g:6893551
Noufa	id=g:6893552
Saloudi	id=g:6893553
Kambagara	id=g:6893554
Ganki	id=g:6893555
Tanfadala	id=g:6893556
Kèrènde	id=g:6893557
Tini	id=g:6893558
Wouroogo	id=g:6893559
Oya	id=g:6893560
Korosongo	id=g:6893561
Aldouma	id=g:6893562
Gasel	id=g:6893563
Komni	id=g:6893564
Tonébèlè	id=g:6893565
Walé	id=g:6893566
Nangataka	id=g:6893567
Wagaldolè	id=g:6893568
Tangaoro	id=g:6893569
Adou	id=g:6893570
Goté	id=g:6893571
Danèrié	id=g:6893572
Madougou	id=g:6893573
Vouosa	id=g:6893574
Doundam	id=g:6893575
Omo	id=g:6893576
Bèsoum	id=g:6893577
Dambèré	id=g:6893578
Guimini	id=g:6893579
Tomdé	id=g:6893580
Kindi	id=g:6893581
Youmnétao	id=g:6893582
Boutou	id=g:6893583
Lou	id=g:6893584
Bougal	id=g:6893585
Tidorè	id=g:6893586
Ouri	id=g:6893587
Bébésa	id=g:6893588
Boulagadji	id=g:6893589
Bania Sèlmé	id=g:6893590
Tosonga	id=g:6893591
Sèlmé	id=g:6893592
Gangafani	id=g:6893593
Orotougna	id=g:6893594
Modiboubou	id=g:6893595
Bèté	id=g:6893596
Pétounbèlé	id=g:6893597
Dikou	id=g:6893598
Ambara	id=g:6893599
Banguel	id=g:6893600
Kililigui	id=g:6893601
Fénéldi	id=g:6893602
Diaé	id=g:6893603
Guèddèrou	id=g:6893604
Goumbaba	id=g:6893605
Dianaboulo	id=g:6893606
Amakadji	id=g:6893607
Diogoma	id=g:6893608
Bouroban	id=g:6893609
Siènè Bouroban	id=g:6893610
Goumbomo	id=g:6893611
Lougol Guèladio	id=g:6893612
Téga	id=g:6893613
Bando	id=g:6893614
Maddé	id=g:6893615
Baodoy	id=g:6893616
Tati Tiérata	id=g:6893617
Lougol Golombé	id=g:6893618
Ourobogo	id=g:6893619
Gouma	id=g:6893620
Gorol Bébi	id=g:6893621
Bouroy	id=g:6893622
Fétèndiabi	id=g:6893623
Lin Kaina	id=g:6893624
Lènga	id=g:6893625
Fétésambou	id=g:6893626
Sari	id=g:6893627
Orowara	id=g:6893628
Sogou	id=g:6893629
Pétèl	id=g:6893630
Douma	id=g:6893631
Toulabadié	id=g:6893632
Béni	id=g:6893633
Pètèl Diabé	id=g:6893634
Gasé	id=g:6893635
Daiterdé	id=g:6893636
Doguel Adi	id=g:6893637
Sénomango	id=g:6893638
Sénomango	id=g:6893639
Yalé	id=g:6893640
Toula Diara	id=g:6893641
Kournou Korou	id=g:6893642
Koroumin Korou	id=g:6893643
Kayerdé	id=g:6893644
Gasèl Bèladé	id=g:6893645
Daiounou	id=g:6893646
Doulango	id=g:6893647
Namandé	id=g:6893648
Domani	id=g:6893649
Tiouré Aousa	id=g:6893651
Nomatoro	id=g:6893657
Askomo	id=g:6893658
Yapay	id=g:6893659
Bourosolo	id=g:6893660
Waradaiga	id=g:6893661
Tépao	id=g:6893662
Bini	id=g:6893663
Kalalgaobé	id=g:6893664
Bourosolo	id=g:6893665
Mouso	id=g:6893666
Agoairé	id=g:6893667
Bouairé	id=g:6893668
Fètèn Danawa	id=g:6893669
Odio	id=g:6893670
Anagadia	id=g:6893671
Warana	id=g:6893672
Kasawa	id=g:6893673
Anakanda	id=g:6893674
Sadia	id=g:6893675
Ndoy	id=g:6893676
Toy	id=g:6893677
Kadjikom	id=g:6893678
Youri	id=g:6893679
Sangara	id=g:6893680
Ouagani	id=g:6893681
Gandé	id=g:6893682
Goungou	id=g:6893683
Barado	id=g:6893684
Bagobosa	id=g:6893685
Tialougaoua	id=g:6893686
Isalopé	id=g:6893687
San	id=g:6893688
Bétè	id=g:6893689
Alawalam	id=g:6893690
Tonobouro	id=g:6893691
Péniébèl	id=g:6893692
Diotol	id=g:6893693
Dana	id=g:6893694
Pètèl Boula	id=g:6893695
Goufal Tebitoumbo	id=g:6893696
Garga	id=g:6893697
Aldiama	id=g:6893698
Tiofi	id=g:6893699
Toula Diara	id=g:6893700
Pilpilodé	id=g:6893701
Tabadié	id=g:6893702
Outrou Koli	id=g:6893703
Tararam Bourou	id=g:6893704
Amarèl Orèl	id=g:6893705
Didia	id=g:6893706
Tafili	id=g:6893707
Tiléré Ngouroy	id=g:6893708
Nébé	id=g:6893709
Banga	id=g:6893710
Féto Nébam	id=g:6893711
Gord Séméré	id=g:6893712
Lamon	id=g:6893713
Patokol	id=g:6893714
Palol Radia	id=g:6893715
Kay Lonové	id=g:6893716
Bouguèl Mala	id=g:6893717
Kay Diégon	id=g:6893718
Lènga	id=g:6893719
Gasé	id=g:6893720
Damguel	id=g:6893721
Yéliam	id=g:6893722
Diabando	id=g:6893723
Gasèl	id=g:6893724
Gourol Bali	id=g:6893725
Pilpilodé	id=g:6893726
Doudèdiè	id=g:6893727
Doudou Maré	id=g:6893728
Amatara	id=g:6893729
Orol Loural	id=g:6893730
Pétakoli	id=g:6893731
Koulkali	id=g:6893732
Edal	id=g:6893733
Oundou Edal	id=g:6893734
Wagara	id=g:6893735
Aouguiné	id=g:6893736
Tankouli	id=g:6893737
Tanali	id=g:6893738
Béni Diakanda	id=g:6893739
Bom	id=g:6893740
Séoundé	id=g:6893741
Chafoula	id=g:6893742
Gomni	id=g:6893743
Loolba	id=g:6893744
Bom	id=g:6893745
Koumbel	id=g:6893746
Bozoni	id=g:6893747
Taganénou	id=g:6893748
Gamni	id=g:6893749
Ousbaiko	id=g:6893750
Djimé	id=g:6893751
Angawa	id=g:6893752
Séno Okoyéri	id=g:6893753
Douma Doumbo	id=g:6893754
Orébana	id=g:6893755
Kamba	id=g:6893756
Palol-Bogol	id=g:6893757
Nonton	id=g:6893759
Koumia	id=g:6893787
Kouroubara	id=g:6893788
Marialo	id=g:6893789
Bobo Oule	id=g:6893791
Bobo Fing	id=g:6893792
Minianka	id=g:6893793
Gouml Koulou	id=g:6895881
Dogana Koulou	id=g:6895882
Ngabakoroni	id=g:6895883
Kélé Koulou	id=g:6895884
Gan Koulou	id=g:6895885
Bodogo Koulou	id=g:6895886
Diaba	id=g:6895887
Kombélé	id=g:6895888
Donégué Koulouni	id=g:6895889
Sama Koulou	id=g:6895890
Dinan Koulou	id=g:6895891
Kolé	id=g:6895892
Soliko	id=g:6895893
Bélenguènié Koulou	id=g:6895894
Dianguéla	id=g:6895895
Mpia	id=g:6895896
Kélé	id=g:6895897
Forêt Classée de Tyenfala	id=g:6895898
Bankoumana	id=g:6895899
Damondo Koulou	id=g:6895900
Tyémanko	id=g:6895901
Kolè Koulou	id=g:6895902
Dassona	id=g:6895903
Ouodougou Koulou	id=g:6895904
Damanko	id=g:6895905
Soumè	id=g:6895906
Toubabougou Koulou	id=g:6895907
Zantyèla	id=g:6895908
Sibiri	id=g:6895909
Titian	id=g:6895910
Naba Koulou	id=g:6895911
Sido	id=g:6895912
Toubabougou	id=g:6895913
Bini Koulou	id=g:6895914
Sirafofo	id=g:6895915
Tyèmbougou	id=g:6895916
Kita	id=g:6895917
Diono	id=g:6895918
Diono Koulou	id=g:6895919
Fara	id=g:6895920
Kolimba Koulou	id=g:6895921
Koba	id=g:6895922
Missimikom	id=g:6895923
Tourébougou	id=g:6898655
Kamia	id=g:6898656
Djimébougou	id=g:6898657
Mamaribougou Dèmbankobé	id=g:6898658
Dyonbougou	id=g:6898659
Folowéyanko	id=g:6898660
Sampi	id=g:6898661
Bouloukou	id=g:6898662
Tadyouwa	id=g:6898663
Moulgoudoud	id=g:6898664
Tabéliat	id=g:6898665
Gairé Gaoudi	id=g:6898666
Amdalay	id=g:6898667
Féto Gaoudi	id=g:6898668
Féto Adi	id=g:6898669
Toufi	id=g:6898670
Madina	id=g:6898671
Sanmba Soumalé	id=g:6898672
Palal Maoudo	id=g:6898673
Farako	id=g:6898674
Ntégoubofolo	id=g:6898675
Amdalay	id=g:6898676
Wala Wala	id=g:6898677
Singanidjan	id=g:6898678
Ntamasinga	id=g:6898679
Birou	id=g:6898680
Mangasi	id=g:6898681
Ngamalafolo	id=g:6898682
Dyanamakoura	id=g:6898683
Nyésébougou	id=g:6898684
Koulouni	id=g:6898685
Oulokoro	id=g:6898686
Maribougouni	id=g:6898687
Ngalamadou	id=g:6898688
Souzoukoroko	id=g:6898689
Dloko	id=g:6898690
Dyanbérébougou	id=g:6898691
Kokolo	id=g:6898692
Sonkéla	id=g:6898693
Kouloublé	id=g:6898694
Gla	id=g:6898695
Donkiné	id=g:6898696
Klomadyo	id=g:6898697
Siraoma	id=g:6898698
Banakolo	id=g:6898699
Goumoundo	id=g:6898700
Koloninko	id=g:6898701
Wendyéna	id=g:6898702
Sirakoro	id=g:6898703
Sisébougou	id=g:6898704
Nalabougou	id=g:6898705
Nyarébougou	id=g:6898706
Malikabougou	id=g:6898707
Tourobougou	id=g:6898708
Ngonyokora	id=g:6898709
Koundouma	id=g:6898710
Balazado	id=g:6898711
Lafiabougou	id=g:6898712
Tyonkoyka	id=g:6898713
Noumoubéléni	id=g:6898714
Toubabou Bodényé	id=g:6898715
Barikoro	id=g:6898716
Tyétikila	id=g:6898717
Dyangalabougou	id=g:6898718
Dokofili	id=g:6898719
Mania	id=g:6898720
Barikorobougou	id=g:6898721
Kolamé	id=g:6898722
Borokotako	id=g:6898723
Oulokoro	id=g:6898724
Zanbougou	id=g:6898725
Salé	id=g:6898726
Ountomodo	id=g:6898727
Onyouma	id=g:6898728
Siranikélé	id=g:6898729
Bori	id=g:6898730
Fantéla	id=g:6898731
Faradla	id=g:6898732
Tyamadyan- Bougou	id=g:6898733
Dékéna	id=g:6898734
Koulouko	id=g:6898735
Dyoukoni	id=g:6898736
Koulikoro	id=g:6898737
Folo Fanta	id=g:6898738
Bolda	id=g:6898739
Béléko	id=g:6898740
Bouabougou	id=g:6898741
Dèmba Siradla	id=g:6898742
Toukoro	id=g:6898743
Dyonfa	id=g:6898744
Ngalamadou	id=g:6898745
Nanowafala	id=g:6898746
Bwaro	id=g:6898747
Tyonwon	id=g:6898748
Glaba	id=g:6898749
Dyalatou	id=g:6898750
Kolobala	id=g:6898751
Bélékadla	id=g:6898752
Goumano	id=g:6898753
Diro	id=g:6898754
Koulounidyan	id=g:6898755
Doumbé	id=g:6898756
Touroungalé	id=g:6898757
Wakoba	id=g:6898758
Namadinkoulou	id=g:6898759
Korobougou	id=g:6898760
Dounguèl	id=g:6898761
Louguèré	id=g:6898762
Néguéré	id=g:6898763
Wonigué	id=g:6898764
Koria	id=g:6906500
Dababougou	id=g:6906501
Dianikoro	id=g:6906502
Mouni Koulouni	id=g:6906503
Kénékolo	id=g:6906504
Bambougou	id=g:6906505
Dogotou	id=g:6906506
Falambougou	id=g:6906507
Ngolobougou	id=g:6906508
Konguélébougou	id=g:6906509
Kélékabougou	id=g:6906510
Doni	id=g:6906511
Komabougou	id=g:6906512
Sébéforo	id=g:6906513
Béni	id=g:6906514
Kamaka	id=g:6906515
Fanébougou	id=g:6906516
Béniébougou	id=g:6906517
Diarababougou	id=g:6906518
Diélibougou	id=g:6906519
Ouarala	id=g:6906520
Forokobougou	id=g:6906521
Guéssébougou	id=g:6906522
Mintiguila	id=g:6906523
Diarabougou	id=g:6906524
Klokobougou	id=g:6906525
Tièbélébougou	id=g:6906526
Dougouba Koulou	id=g:6906527
Maraka	id=g:6906528
Kodian	id=g:6906529
Bèmbabougou	id=g:6906530
Zaban Koulou	id=g:6906531
Tiessèbougou	id=g:6906532
Ntamadian	id=g:6906533
Pentiérébougou	id=g:6906534
Noumoubougou	id=g:6906535
Kassara	id=g:6906536
Fanhèrèbougou	id=g:6906537
Diébougou	id=g:6906538
Kabana	id=g:6906539
Salani	id=g:6906540
Moribabougou	id=g:6906541
Siraouma	id=g:6906542
Bassabougou	id=g:6906543
Bouana	id=g:6906544
Bouatoula	id=g:6906545
Fawébougou	id=g:6906546
Fabougou	id=g:6906547
Donéguéla	id=g:6906548
Diokomassabougou	id=g:6906549
Tola	id=g:6906550
Kafola	id=g:6906551
Suguèmba	id=g:6906552
Farada	id=g:6906553
Bouana	id=g:6906554
Kona	id=g:6906555
Noumoubougou	id=g:6906556
Féloun	id=g:6906557
Dianiduma	id=g:6906558
Galaba	id=g:6906559
Koya	id=g:6906560
Bougoukoura	id=g:6906561
Maniambougou	id=g:6906562
Yèlèmbougou	id=g:6906563
Ouéssébougouni	id=g:6906564
Mèguèlèn	id=g:6906565
Kakoui	id=g:6906566
Dibaro	id=g:6906567
Kénékélé	id=g:6906568
Tyèntyèmbougou	id=g:6906569
Banani	id=g:6906570
Noumoubougou	id=g:6906571
Badiébougou	id=g:6906572
Gouélédo	id=g:6906573
Diakoro	id=g:6906574
Domono	id=g:6906575
Talona	id=g:6906576
Farafina	id=g:6906577
Fablana	id=g:6906578
Dèbèmbougou	id=g:6906579
Djikabougou	id=g:6906580
Donkèné	id=g:6906581
Bènko	id=g:6906582
Bianga	id=g:6906583
Foukala	id=g:6906584
Diounko	id=g:6906585
Zabana	id=g:6906586
Nganiou	id=g:6906587
Koursa	id=g:6906588
Koba	id=g:6906589
Ngolobougou	id=g:6906590
Torokiéna	id=g:6906591
Ndobougou	id=g:6906592
Babougou	id=g:6906593
Morobougou	id=g:6906594
Sania	id=g:6906595
Nomobougou	id=g:6906596
Ngolobougou	id=g:6906597
Kamalèmbougou	id=g:6906598
Zirakorobougou	id=g:6906599
Ouolodo	id=g:6906600
Koyon	id=g:6906601
Ngoma	id=g:6906602
Diobougou	id=g:6906603
Makambougou	id=g:6906604
Kohina	id=g:6906605
Doufanian	id=g:6906606
Barakolombougou	id=g:6906607
Ntiobougou	id=g:6906608
Sidobougou	id=g:6906609
Dangolon	id=g:6906610
Babougou	id=g:6906611
Monsombougou	id=g:6906612
Zambougou	id=g:6906613
Nènèbougou	id=g:6906614
Gouélédo	id=g:6906615
Guemoubougou	id=g:6906616
Foula Ouèré	id=g:6906617
Sakababougou	id=g:6906618
Tièkourabougou	id=g:6906619
Madibougou	id=g:6906620
Dangado	id=g:6906621
Baniogoubougou	id=g:6906622
Siradobougou	id=g:6906623
Kamatiguikabougou	id=g:6906624
Sidiambougou	id=g:6906625
Koulou Dogo	id=g:6906626
Babobougou	id=g:6906627
Ngouloufina	id=g:6906628
Madina	id=g:6906629
Kantiana	id=g:6906630
Diandjiguila	id=g:6906631
Torokoro	id=g:6906632
Bangalambougou	id=g:6906633
Diébougou	id=g:6906634
Sidoni	id=g:6906635
Yassalam	id=g:6906636
Dialakoro	id=g:6906637
Déni	id=g:6906638
Ngabakoro	id=g:6906639
Sirido	id=g:6906640
Marakabougou	id=g:6906641
Niantoumabougou	id=g:6906642
Bèmbougou	id=g:6906643
Domono	id=g:6906644
Ndéguédo	id=g:6906645
Niampéla	id=g:6906646
Yéssiguila	id=g:6906647
Yorobougou	id=g:6906648
Sakabougou	id=g:6906649
Diandiola	id=g:6906650
Yénégouloula	id=g:6906651
Torokoroni	id=g:6906652
Nomobougou	id=g:6906653
Zorokoro	id=g:6906654
Sanankorobougou	id=g:6906655
Babougou	id=g:6906656
Gouanéguébougou	id=g:6906657
Tèndléma	id=g:6906658
Fadièdala	id=g:6906659
Madiobougou	id=g:6906660
Ngolobougou	id=g:6906661
Soma	id=g:6906662
Nèguèbabougou	id=g:6906663
Doworibougou	id=g:6906664
Siratomo	id=g:6906665
Sadiabougou	id=g:6906666
Fadougou	id=g:6906667
Konioumani	id=g:6906668
Noumoubougou	id=g:6906669
Sériwa	id=g:6906670
Koria	id=g:6906671
Batomabougou	id=g:6906672
Tiéblébougou	id=g:6906673
Massako	id=g:6906674
Ouéssékabougou	id=g:6906675
Diamanikoura	id=g:6906676
Dianéguébougou	id=g:6906677
Dossébougou	id=g:6906678
Biribambougou	id=g:6906679
Touté	id=g:6906680
Mébougou	id=g:6906681
Tiédiobougou	id=g:6906682
Fouté	id=g:6906683
Boyabougou	id=g:6906684
Fanalé	id=g:6906685
Badiabougou	id=g:6906686
Bababougou	id=g:6906687
Tièntiènta Koulou	id=g:6906688
Soutalabougou	id=g:6906689
Tiènfo	id=g:6906690
Solomalèmbougou	id=g:6906691
Diouladiassa	id=g:6906692
Songodiabougou	id=g:6906693
Guirifila	id=g:6906694
Fadabougou	id=g:6906695
Ténémala	id=g:6906696
Simparabougou	id=g:6906697
Makadjila	id=g:6906698
Karadié	id=g:6906699
Tiondala	id=g:6906700
Dissan	id=g:6906701
Mahamédoudouka Diassa	id=g:6906702
Sodoba	id=g:6906703
Gaoussoubougou	id=g:6906704
Yayabougou	id=g:6906705
Samassa	id=g:6906706
Tokoun	id=g:6906707
Bourdala	id=g:6906708
Dougougouélèn	id=g:6906709
Koroka	id=g:6906710
Gongona	id=g:6906711
Tiétiguila	id=g:6906712
Zéa	id=g:6906713
Dassombougou	id=g:6906714
Nèguètabougou	id=g:6906715
Dianiobougou	id=g:6906716
Sirakoro	id=g:6906717
Ngatiombougou	id=g:6906718
Fara	id=g:6906719
Détabougou	id=g:6906720
Safinabougou	id=g:6906721
Somambougou	id=g:6906722
Klokan	id=g:6906723
Yogorobougou	id=g:6906724
Tchitian	id=g:6906725
Tièssamambougou	id=g:6906726
Tièdiobougou	id=g:6906727
Sanankoroni	id=g:6906728
Katiobougouni	id=g:6906729
Sébékoro	id=g:6906730
Siradiankoro	id=g:6906731
Dankorotouga	id=g:6906732
Fadiobougou	id=g:6906733
Kawéna	id=g:6906734
Barassombougou	id=g:6906735
Kofougan	id=g:6906736
Kèfabougou	id=g:6906737
Nienguè	id=g:6906738
Kodian	id=g:6906739
Dossorola	id=g:6906740
Koni	id=g:6906741
Tiéblébougou	id=g:6906742
Nonkona	id=g:6906743
Tchitchéréla	id=g:6906744
Zorokoro	id=g:6906745
Dabakourouna	id=g:6906746
Ouèkèni	id=g:6906747
Bèlèko	id=g:6906748
Hamaribougou	id=g:6906749
Fèndièbougou	id=g:6906750
Farabougou	id=g:6906751
Koyo	id=g:6906752
Tioribougou	id=g:6906753
Hababougou	id=g:6906754
Magadjila	id=g:6906755
Bamarobougou	id=g:6906756
Kolondialan	id=g:6906757
Mamaréla	id=g:6906758
Tiépassambougou	id=g:6906759
Mérélakhé	id=g:6906760
Mbakarélakoura	id=g:6906761
Diaréla	id=g:6906762
Badoumbéra	id=g:6906763
Badougourébougou	id=g:6906764
Bakorobabougou	id=g:6906765
Lafiabougou	id=g:6906766
Diawarabougou	id=g:6906767
Falibougouni	id=g:6906768
Sanamani	id=g:6906769
Konsofon	id=g:6906770
Kofolon	id=g:6906771
Koulouninkoundié	id=g:6906772
Massiminabougou	id=g:6906773
Diéfana	id=g:6906774
Hamadila	id=g:6906775
Fassébougou	id=g:6906776
Diossébougou	id=g:6906777
Sidoni	id=g:6906778
Cholabougou	id=g:6906779
Koroma	id=g:6906780
Safèbougou	id=g:6906781
Monzonkabougou	id=g:6906782
Saakabougou	id=g:6906783
Zabantoukoro	id=g:6906784
Bèlèninko	id=g:6906785
Missira	id=g:6906786
Balazando	id=g:6906787
Dialaninkoro	id=g:6906788
Mangouroubougou	id=g:6906789
Kokani	id=g:6906790
Faran	id=g:6906791
Sèbèkoro	id=g:6906792
Marakabougou	id=g:6906793
Gomadièbougou	id=g:6906794
Ndionibougou	id=g:6906795
Noumoubougou	id=g:6906796
Bougoukoura	id=g:6906797
Ngolobougou	id=g:6906798
Tiékala	id=g:6906799
Diafimbougou	id=g:6906800
Togo	id=g:6906801
Loba	id=g:6906802
Kanga	id=g:6906803
Niakonikoumo	id=g:6906804
Moribougou	id=g:6906805
Tiénéguèbougou	id=g:6906806
Gouanzérébougou	id=g:6906807
Fouarobougou	id=g:6906808
Donéguébougou	id=g:6906809
Dialado	id=g:6906810
Mpiéba	id=g:6906811
Sonikoro	id=g:6906812
Niamoribougou	id=g:6906813
Yokè	id=g:6906814
Doribougouni	id=g:6906815
Sabakébougou	id=g:6906816
Tetléma	id=g:6906817
Tiongombougou	id=g:6906818
Kokolon	id=g:6906819
Ngalamado	id=g:6906820
Finkèssiyoro	id=g:6906821
Ntomondo	id=g:6906822
Dièkèbougou	id=g:6906823
Djiribabougou	id=g:6906824
Bouloukouma	id=g:6906825
Messa	id=g:6906826
Banankoro	id=g:6906827
Ouolokoro	id=g:6906828
Diènihdiè	id=g:6906829
Bissabougou	id=g:6906830
Kabafara	id=g:6906831
Folonda	id=g:6906832
Sounsounkorodji	id=g:6906833
Zirado	id=g:6906834
Boukaribougou	id=g:6906835
Noko	id=g:6906836
Ngabakoro Dansiré	id=g:6906837
Kanzi Koulou	id=g:6906838
Boukébougou	id=g:6906839
Folonda	id=g:6906840
Sibédo	id=g:6906841
Komba	id=g:6906842
Babougou	id=g:6906843
Kossoumalé	id=g:6906844
Zanguébougou	id=g:6906845
Nomokoro Koulou	id=g:6906846
Niéguéni	id=g:6906847
Sérébougou	id=g:6906848
Moribougou	id=g:6906849
Ndotana	id=g:6906850
Ngolobougou	id=g:6906851
Manioumambougou	id=g:6906852
Kodialan Trawélé	id=g:6906853
Nogo	id=g:6906854
Bandiougoula	id=g:6906855
Boron	id=g:6906856
Séribougou	id=g:6906857
Noumoubakabougou	id=g:6906858
Foula Ouèrè	id=g:6906859
Tambakabougou	id=g:6906860
Dondéguénibougou	id=g:6906861
Yomana	id=g:6906862
Nièbélé Djibougou	id=g:6906863
Sidoni	id=g:6906864
Donguènèbougou	id=g:6906865
Sonimblé	id=g:6906866
Siraninkéling	id=g:6906867
Koundioukou	id=g:6906868
Karamokobougou	id=g:6906869
Sébékorobougou	id=g:6906870
Famoribougou	id=g:6906871
Tourébougou	id=g:6906872
Kayobougou	id=g:6906873
Kongono	id=g:6906874
Bassibougou	id=g:6906875
Kiyiban	id=g:6906876
Kodiôurou	id=g:6906877
Barikorobougou	id=g:6906878
Barikoro	id=g:6906879
Douga Koulou	id=g:6906880
Dian Koulou	id=g:6906881
Kiba	id=g:6906882
Dlaning	id=g:6906883
Zankoura	id=g:6906884
Koulabougou	id=g:6906885
Bouabléna Koulou	id=g:6906886
Dogonimbougou	id=g:6906887
Torodo	id=g:6906888
Nèguètabougou	id=g:6906889
Fala	id=g:6906890
Dianinkoro	id=g:6906891
Koniouma	id=g:6906892
Dladiébougou	id=g:6906893
Noka	id=g:6906894
Koréba Kabona	id=g:6906895
Ngouènitoua	id=g:6906896
Diarabougouwèrè	id=g:6906897
Diéni	id=g:6906898
Kolotikèbougou	id=g:6906899
Ouolomba	id=g:6906900
Farako	id=g:6906901
Fana	id=g:6906902
Bouodo	id=g:6906903
Soukobougou	id=g:6906904
Bamabougou	id=g:6906905
Biriba	id=g:6906906
Dessébougou	id=g:6906907
Niagoulé Koulou	id=g:6906908
Koulouni Kouziguima	id=g:6906909
Gouamièbougou	id=g:6906910
Tiènkoulou	id=g:6906911
Kouloubabougou	id=g:6906912
Kolomana	id=g:6906913
Douarébougou	id=g:6906914
Koni	id=g:6906915
Dialakorobougou	id=g:6906916
Bablembougou	id=g:6906917
Soutoukorobélé	id=g:6906918
Koda	id=g:6906919
Dolo Koulou	id=g:6906920
Kassadaga	id=g:6906921
Boubabougou	id=g:6906922
Bérétébougou	id=g:6906923
Bafotiguibougou	id=g:6906924
Donéguébougou	id=g:6906925
Koutouboubougou	id=g:6906926
Nènèbougou	id=g:6906927
Konimbabougou	id=g:6906928
Fougakobougou	id=g:6906929
Kolikobougou	id=g:6906930
Diawolo	id=g:6906931
Bangouna	id=g:6906932
Fadié	id=g:6906933
Kolossa	id=g:6906934
Dolabougou	id=g:6906935
Koko	id=g:6906936
Kongninko Koulou	id=g:6906937
Kouloublé	id=g:6906938
Moribabougou	id=g:6906939
Farabougou	id=g:6906940
Salékabougou	id=g:6906941
Kèmbéra	id=g:6906942
Tiékourabougou	id=g:6906943
Mendimbougou	id=g:6906944
Bougoukoro	id=g:6906945
Salamou	id=g:6906946
Nfabougou	id=g:6906947
Koko	id=g:6907172
Djila	id=g:6907173
Kokana	id=g:6907174
Déala	id=g:6907175
Béa	id=g:6907176
Tyangoni	id=g:6907177
Mokoulo	id=g:6907178
Bogoti III	id=g:6907179
Dyawarala	id=g:6907180
Siratoukoro	id=g:6907181
Siratigui	id=g:6907182
Soubabougou	id=g:6907183
Babilébougou	id=g:6907184
Noumousa	id=g:6907185
Dikikoroba	id=g:6907186
Tounga	id=g:6907187
Mwabougou	id=g:6907188
Wolokoro I	id=g:6907189
Wolokoro II	id=g:6907190
Koya	id=g:6907191
Dyalado	id=g:6907192
Nonba	id=g:6907193
Nyéwoun	id=g:6907194
Nablabougou	id=g:6907195
Dougoura	id=g:6907196
Wobeyla	id=g:6907197
Ndyeguéla	id=g:6907198
Karimkabougou	id=g:6907199
Nadomi	id=g:6907200
Séntébougou	id=g:6907201
Ndyéguébougou	id=g:6907202
Woyo	id=g:6907203
Galabougou	id=g:6907204
Dyé	id=g:6907205
Nyonbougou	id=g:6907206
Souroundyala	id=g:6907207
Dla	id=g:6907208
Kasourouna	id=g:6907209
Wadyana Bougoufyé	id=g:6907210
Sirifibougou	id=g:6907211
Solina	id=g:6907212
Kankoni	id=g:6907213
Ndyabougoula	id=g:6907214
Nyazanbougou	id=g:6907215
Kamélébougou	id=g:6907216
Nangola	id=g:6907217
Ntyobougou	id=g:6907218
Dyana	id=g:6907219
Falakouna	id=g:6907220
Bougoula	id=g:6907221
Mpéla	id=g:6907222
Koba	id=g:6907223
Faséri-Bougou	id=g:6907224
Maladyé	id=g:6907225
Soloba	id=g:6907226
Kokouna	id=g:6907227
Djényé	id=g:6907228
Sanakoro	id=g:6907229
Kamola	id=g:6907230
Ntyola	id=g:6907231
Siséla	id=g:6907232
Kabougou	id=g:6907233
Koblé	id=g:6907234
Tabakoro	id=g:6907235
Bole	id=g:6907236
Changala	id=g:6907237
Fasigala	id=g:6907238
Kimbri	id=g:6907239
Bougouda	id=g:6907240
Babaka	id=g:6907241
Bobala	id=g:6907242
Bougoula	id=g:6907243
Bâlé	id=g:6907244
Dinyakoro	id=g:6907245
Sobala	id=g:6907246
Mamroula	id=g:6907247
Ména	id=g:6907248
Koya	id=g:6907249
Bougoukoura	id=g:6907250
Dantyan	id=g:6907251
Koani	id=g:6907252
