Puu Mala	id=g:5852979
Wailau Beach	id=g:5854439
Wailau Point	id=g:5854440
Wailau Stream	id=g:5854441
Wailau Hawaiian Home Land	id=g:5854442
Wailau Trail	id=g:5854443
Wailau Valley	id=g:5854444
Wailau Trail	id=g:5854445
Wailaulau Gulch	id=g:5854446
Wailaulau	id=g:5854447
Wailea	id=g:5854449
Wailea	id=g:5854450
Wailea Bay	id=g:5854451
Wailea Beach	id=g:5854452
Wailea Point	id=g:5854453
Wailea Shopping Village Shopping Center	id=g:5854454
Wailele Falls	id=g:5854455
Wailele Gulch	id=g:5854456
Wailea	id=g:5854457
Wailena Gulch	id=g:5854458
Wailele Spring	id=g:5854459
Wailoa Ditch	id=g:5854460
Wailoa Falls	id=g:5854461
Wailoa River	id=g:5854462
Wailepua Spring	id=g:5854463
Wailoa River State Recreation Area	id=g:5854464
Wailoa Stream	id=g:5854465
Wailoa River State Park	id=g:5854466
Wailoku Gulch	id=g:5854467
Wailohi	id=g:5854468
Wailua	id=g:5854469
Wailua Hawaiian Home Land	id=g:5854470
Wailua	id=g:5854471
Wailua	id=g:5854472
Wailua Hawaiian Home Land	id=g:5854473
Wailua Bay	id=g:5854474
Wailua Beach	id=g:5854475
Wailua County Golf Course	id=g:5854476
Wailua Cove	id=g:5854477
Wailua Falls	id=g:5854478
Wailua Falls	id=g:5854479
Wailua Homesteads	id=g:5854480
Wailua Homesteads	id=g:5854481
Wailua Homesteads Park	id=g:5854482
Wailua House Lots	id=g:5854483
Wailua Iki	id=g:5854484
Wailua Nui	id=g:5854485
Wailua Nui Bay	id=g:5854486
Wailua Nui Stream	id=g:5854487
Wailua	id=g:5854488
Wailua River	id=g:5854489
Wailua Reservoir	id=g:5854490
Wailua Stream	id=g:5854491
Wailua Stream	id=g:5854492
Wailua River State Park	id=g:5854493
Wailuaiki Stream	id=g:5854494
Wailuaiki Bay	id=g:5854495
Wailuku	id=g:5854496
Wailuku Church of God	id=g:5854497
Wailuku Civic Center Historic District	id=g:5854498
Wailuku District	id=g:5854499
Wailuku Elementary School	id=g:5854500
Wailuku Health Center	id=g:5854501
Wailuku Heights	id=g:5854502
Wailuku Hongwanji Mission	id=g:5854503
Wailuku Post Office	id=g:5854504
Wailuku Public Library	id=g:5854505
Wailuku River	id=g:5854506
Wailuku Hawaiian Home Land	id=g:5854507
Wailuku Town Hall	id=g:5854508
Wailuku Union Church	id=g:5854509
Wailupe	id=g:5854510
Wailupe	id=g:5854511
Wailupe Beach Park	id=g:5854512
Wailupe Fire Station Number 23	id=g:5854513
Wailupe Gulch	id=g:5854514
Wailuku Shingon Mission	id=g:5854515
Wailupe Playground	id=g:5854516
Wailupe Valley Elementary School	id=g:5854517
Wailupe Valley Neighborhood Park	id=g:5854518
Waima Point	id=g:5854519
Waima Stream	id=g:5854520
Wailupe Peninsula	id=g:5854521
Waimaauou Stream	id=g:5854522
Waimahaihai	id=g:5854523
Waimaile Stream	id=g:5854524
Waimalu	id=g:5854525
Waimalu Elementary School	id=g:5854526
Waimalu Playground	id=g:5854527
Waimalu Plaza Shopping Center	id=g:5854528
Waimalu Stream	id=g:5854529
Waimalu	id=g:5854530
Waimānalo Hawaiian Home Land	id=g:5854531
Waimānalo	id=g:5854532
Waimānalo Bay	id=g:5854533
Waimānalo Bay State Recreation Area	id=g:5854534
Waimānalo Beach	id=g:5854535
Waimānalo Beach Park	id=g:5854536
Waimānalo District Park	id=g:5854537
Waimanalo Elementary School	id=g:5854538
Waimanalo Fire Station Number 27	id=g:5854539
Waimānalo Forest Reserve	id=g:5854540
Waimānalo Gulch	id=g:5854541
Waimana	id=g:5854542
Waimanalo Military Reservation (historical)	id=g:5854543
Waimanalo Public Library	id=g:5854544
Waimanalo Seventh Day Adventist Church	id=g:5854545
Waimānalo Stream	id=g:5854546
Waimānalo Landing	id=g:5854547
Waimanalo Village	id=g:5854548
Waimano	id=g:5854549
Waimano Stream	id=g:5854550
Waimanalo Sugar Plantation (historical)	id=g:5854551
Waimano Training School and Hospital	id=g:5854552
Waimanu Hawaiian Home Land	id=g:5854553
Waimanu Bay	id=g:5854554
Waimanu Falls	id=g:5854555
Waimanu Gap	id=g:5854556
Waimanu Stream	id=g:5854557
Waimano Trail	id=g:5854558
Waimanu Valley	id=g:5854559
Waimanu Trail	id=g:5854560
Waimea	id=g:5854561
Waimea	id=g:5854562
Waimea	id=g:5854563
Waimea	id=g:5854564
Waimea	id=g:5854565
Waimea Athletic Field	id=g:5854566
Waimea Bay	id=g:5854567
Waimea Bay	id=g:5854568
Waimea Beach Park	id=g:5854569
Waimea Canyon	id=g:5854570
Waimea	id=g:5854571
Waimea Canyon Lookout	id=g:5854572
Waimea Canyon Plaza Shopping Center	id=g:5854573
Waimea Canyon State Park	id=g:5854574
Waimea District	id=g:5854575
Waimea Ditch	id=g:5854576
Waimea Ditch	id=g:5854577
Waimea Elementary and Intermediate School	id=g:5854578
Waimea Falls	id=g:5854579
Waimea High School	id=g:5854580
Waimea Homesteads	id=g:5854581
Waimea Honpa Hongwanji Church	id=g:5854582
Waimea Point	id=g:5854583
Waimea Public Library	id=g:5854584
Waimea Recreational Pier State Park	id=g:5854585
Waimea Reservoir	id=g:5854587
Waimea River	id=g:5854588
Waimea Canyon Elementary and Intermediate School	id=g:5854589
Waimea River	id=g:5854590
Waimea River Park	id=g:5854591
Waimea United Church of Christ	id=g:5854592
Waimea-Kohala Airport	id=g:5854593
Waimoku Falls	id=g:5854594
Waimuku	id=g:5854595
Wainaia Cemetery	id=g:5854596
Wainaia Gulch	id=g:5854597
Waimea Shopping Center	id=g:5854598
Wainaku	id=g:5854599
Wainaku Camp	id=g:5854600
Wainanalii Pond	id=g:5854601
Wainee	id=g:5854602
Wainee	id=g:5854603
Waine‘e Church	id=g:5854604
Waineke Swamp	id=g:5854605
Wainaku	id=g:5854606
Wainene	id=g:5854607
Wainiha	id=g:5854608
Wainiha	id=g:5854609
Wainiha Bay	id=g:5854610
Wainiha Beach Park	id=g:5854611
Wainiha Canal	id=g:5854612
Wainiha Pali	id=g:5854613
Wainiha River	id=g:5854614
Waineku Reservoir	id=g:5854615
Wainiha Valley	id=g:5854616
Wainonoia Stream	id=g:5854617
Wai‘o‘ahukini	id=g:5854618
Waiohai Beach	id=g:5854619
Wai‘ōhinu Hawaiian Home Land	id=g:5854620
Wai‘ōhinu	id=g:5854621
Wai‘ōhinu Park	id=g:5854622
Waiohiwi Falls	id=g:5854623
Waiohiwi Gulch	id=g:5854624
Waioala Spring	id=g:5854625
Waiohonu	id=g:5854626
Waiohonu Kakio Homesteads	id=g:5854627
Waiohonu Stream	id=g:5854628
Waiohonu	id=g:5854629
Waioho‘okalo Stream	id=g:5854630
Waiohue	id=g:5854631
Waiohue Gulch	id=g:5854632
Waiohue Bay	id=g:5854633
Waiohuli	id=g:5854634
Waiohuli Gulch	id=g:5854635
Waiohuli	id=g:5854636
Waiohuli Keokea Beach Homesteads	id=g:5854637
Waiohuli Keokea Homesteads	id=g:5854638
Waiohuli-Keokea Homesteads	id=g:5854639
Waioka	id=g:5854640
Wai‘ōkala	id=g:5854641
Waiokamilo Stream	id=g:5854642
Waiohuli Keokea	id=g:5854643
Waiokapua Bay	id=g:5854644
Waiokapua Bay	id=g:5854645
Waiokawa	id=g:5854646
Waiokeela Stream	id=g:5854647
Waiokanalopaka Falls	id=g:5854648
Waiokila Gulch	id=g:5854649
Waiokeola Congregational Church	id=g:5854650
Waiokuna Falls	id=g:5854651
Waiola Cemetery	id=g:5854652
Waiolai Gulch	id=g:5854653
Waiokilo Falls	id=g:5854654
Waioli	id=g:5854655
Waioli Beach Park	id=g:5854656
Waioli Mission	id=g:5854657
Waioli Park	id=g:5854658
Waioli Stream	id=g:5854659
Waiolama Canal	id=g:5854660
Waioli Valley	id=g:5854661
Waiolue Falls	id=g:5854662
Wai‘ōma‘o Stream	id=g:5854663
Wai‘ōma‘o	id=g:5854664
Wai‘ono	id=g:5854665
Waiopa	id=g:5854666
Waiopa Gulch	id=g:5854667
Waiopae	id=g:5854668
Waiopae	id=g:5854669
Wai‘opae Fishpond	id=g:5854670
Wai‘ōpae	id=g:5854671
Wai‘ōpae Gulch	id=g:5854672
Waioni Gulch	id=g:5854673
Waiopipi	id=g:5854674
Waipa	id=g:5854675
Waipa Stream	id=g:5854676
Waiopili Heiau	id=g:5854677
Waipahi Point	id=g:5854678
Waipahi Stream	id=g:5854679
Waipahee Slide	id=g:5854680
Waipahoehoe Gulch	id=g:5854681
Waipāhoehoe	id=g:5854682
Waipāhoehoe Gulch	id=g:5854683
Waipāhoehoe Stream	id=g:5854684
Waipahoehoe Stream	id=g:5854685
Waipahu	id=g:5854686
Waipahu Cultural Garden Park	id=g:5854687
Waipahu Elementary School	id=g:5854688
Waipahu Field	id=g:5854689
Waipahu Free Will Baptist Church	id=g:5854690
Waipahu High School	id=g:5854691
Waipahu Hongwanji Mission	id=g:5854692
Waipahu Intermediate School	id=g:5854693
Waipahu Post Office	id=g:5854694
Waipahu Public Library	id=g:5854695
Waipahu Samoan Assembly of God Church	id=g:5854696
Waipahu Seventh Day Adventist Church	id=g:5854697
Waipahu Shopping Plaza Shopping Center	id=g:5854698
Waipahu Shopping Village Shopping Center	id=g:5854699
Waipahu Soto Zen Temple	id=g:5854700
Waipahu Stream	id=g:5854701
Waipahu Town Center Shopping Center	id=g:5854702
Waipahu United Church of Christ	id=g:5854703
Waipake	id=g:5854704
Waipake Stream	id=g:5854705
Waipahu Beach	id=g:5854706
Waipao Valley	id=g:5854707
Waipao	id=g:5854708
Waipao Valley	id=g:5854709
Waipaoiki Valley	id=g:5854710
Waipāuma Point	id=g:5854711
Waipiele Gulch	id=g:5854712
Waipili Gulch	id=g:5854713
Waipilopilo Gulch	id=g:5854714
Waipio	id=g:5854715
Waipi‘o	id=g:5854716
Waipi‘o	id=g:5854717
Waipi‘o Acres	id=g:5854718
Waipio Bay	id=g:5854719
Waipio Bay	id=g:5854720
Waipio Pali	id=g:5854721
Waipi‘o Peninsula	id=g:5854722
Waipio Peninsula Sports Complex	id=g:5854723
Waipi‘o Point	id=g:5854724
Waipio Scenic Overlook	id=g:5854725
Waipio Shopping Center	id=g:5854726
Waipio Stream	id=g:5854727
Waipio	id=g:5854728
Waipio Valley	id=g:5854729
Waipio Stream	id=g:5854730
Waipionui	id=g:5854731
Waipoli Park	id=g:5854732
Waipo‘o Falls	id=g:5854733
Waipouli	id=g:5854734
Waipouli	id=g:5854735
Waipouli	id=g:5854736
Waipouli Beach	id=g:5854737
Waipouli Town Center Shopping Center	id=g:5854738
Waipu	id=g:5854739
Waipū	id=g:5854740
Waipuhi Fishpond	id=g:5854741
Waipuhi Gulch	id=g:5854742
Waipioiki	id=g:5854743
Waipuilani Gulch	id=g:5854744
Waipuhia Falls	id=g:5854745
Waipuloku Spring	id=g:5854746
Waipunaea Stream	id=g:5854747
Waipuku Point	id=g:5854748
Waipunahina Gulch	id=g:5854749
Waipunahoe Gulch	id=g:5854750
Waipunalau Gulch	id=g:5854751
Waipunalau Gulch	id=g:5854752
Waipunalei	id=g:5854753
Waipunalei Homesteads	id=g:5854754
Waipunalei Stream	id=g:5854755
Waipunalei Airstrip	id=g:5854756
Waipunaula	id=g:5854757
Waipuni	id=g:5854758
Waita Reservoir	id=g:5854759
Waiu	id=g:5854760
Waiu Bay	id=g:5854761
Waiu Spring	id=g:5854762
Waiuha Bay	id=g:5854763
Wai‘ula‘ula Beach	id=g:5854764
Waiulaula Gulch	id=g:5854765
Waipunalei Trail	id=g:5854766
Waiulili Stream	id=g:5854767
Waiulaula Point	id=g:5854768
Waiwelawela Point	id=g:5854769
Wakaina	id=g:5854770
Wākiu	id=g:5854771
Walaka Bridge	id=g:5854772
Walaohia Gulch	id=g:5854773
Walbridge Ditch	id=g:5854774
Waldron Ledge	id=g:5854775
Walker Park	id=g:5854776
Wānanalua	id=g:5854777
Wānanalua Congregational Church	id=g:5854778
Wānanapaoa Islands	id=g:5854779
Waoala Gulch	id=g:5854780
Waokele Pond	id=g:5854781
Waolani Stream	id=g:5854782
Waiulua Bay	id=g:5854783
War Memorial Natatorium	id=g:5854784
Ward Center Shopping Center	id=g:5854785
Ward Warehouse Shopping Center	id=g:5854786
Washington Middle School	id=g:5854787
Washington Place	id=g:5854788
Washington Statue	id=g:5854789
Watanabe Hall	id=g:5854790
Water Tank Bay	id=g:5854791
Waterfront Fire Station Number 41	id=g:5854792
Waterhole Spring	id=g:5854793
Waterhouse Beach	id=g:5854794
Watertown	id=g:5854795
Watertown (historical)	id=g:5854796
Watt Field	id=g:5854797
Watt Number 1 Tunnel	id=g:5854798
Watt Number 2 Tunnel	id=g:5854799
Wawaeku	id=g:5854800
Wawaeolepe	id=g:5854801
Wawahiwaa Point	id=g:5854802
Wā‘wā‘ia	id=g:5854803
Wā‘wā‘ia	id=g:5854804
War Memorial Gymnasium	id=g:5854805
Wawaloli Beach	id=g:5854806
Wawamalu Beach Park	id=g:5854807
Wawamalu Ranch (historical)	id=g:5854808
Wawau	id=g:5854809
Webster Hall	id=g:5854810
Weed Circle	id=g:5854811
Weha	id=g:5854812
Wekea Point	id=g:5854813
Wekiu	id=g:5854814
Weli Point	id=g:5854815
Weliweli	id=g:5854816
Weliweli	id=g:5854817
Weliweli Point	id=g:5854818
Wells Park	id=g:5854819
Wells Street Professional Center	id=g:5854820
Welokā	id=g:5854821
Welokā	id=g:5854822
Welokā Heiau	id=g:5854823
Welokā Stream	id=g:5854824
Wawaionū Bay	id=g:5854825
Weoweopilau Stream	id=g:5854826
Wesley Methodist Student Center	id=g:5854827
West Branch Honokāne Iki Stream	id=g:5854828
Wesley United Methodist Church	id=g:5854829
West Branch Honikāne Nui Stream	id=g:5854830
West Cove	id=g:5854831
West Fork Kawela Gulch	id=g:5854832
West Hanawana	id=g:5854833
West Kaupakulua	id=g:5854834
West Loch	id=g:5854835
West Loch Estates	id=g:5854836
West Loch Golf Course	id=g:5854837
West Makaīwa	id=g:5854838
West Maui Forest Reserve	id=g:5854839
West Maui Shopping Center	id=g:5854840
West Oahu YMCA	id=g:5854841
West ‘Ōhia	id=g:5854842
West Wailua Iki Stream	id=g:5854843
West Honomā‘ele	id=g:5854844
West Wailuanui Stream	id=g:5854845
West Walakalua	id=g:5854846
Westridge Shopping Center	id=g:5854847
Whalers Village Shopping Center	id=g:5854848
Wheeler Air Force Base (historical)	id=g:5854849
Wheeler Army Air Field	id=g:5854850
Wheeler Field	id=g:5854851
Wheeler School	id=g:5854852
White Sands Beach Estates	id=g:5854853
White Sands Beach Park	id=g:5854854
Whitmore Community Park	id=g:5854855
Whitmore Neighborhood Park	id=g:5854856
Whitmore Village	id=g:5854857
Whittington Park	id=g:5854858
Wilcox Ditch	id=g:5854859
Wilcox Elementary School	id=g:5854860
Wilcox Gymnasium	id=g:5854861
Wilcox Hall	id=g:5854862
Wilcox Hall	id=g:5854863
Wilcox Memorial Hospital	id=g:5854864
Wilhelmina Rise	id=g:5854865
Wilipea	id=g:5854866
Wiliwili Camp	id=g:5854867
Wiliwilinui Ridge	id=g:5854868
Wiliwilipe‘ape‘a	id=g:5854869
Wilkes Camp	id=g:5854870
William S Richardson School of Law Library	id=g:5854871
Wilson Bridge	id=g:5854872
Wilson Ditch	id=g:5854873
Wilson Elementary School	id=g:5854874
Wilson Playground	id=g:5854875
Wilson Tunnel	id=g:5854876
Windward Adventist School	id=g:5854877
Windward City Shopping Center	id=g:5854878
Windward Community College	id=g:5854879
Windward Mall Shopping Center	id=g:5854880
Windward Town and Country Plaza Shopping Center	id=g:5854881
Windward United Church of Christ	id=g:5854882
Wini Gulch	id=g:5854883
Wintera Trail	id=g:5854884
Wist Hall	id=g:5854885
Witches Brew	id=g:5854886
Wo Educational Center	id=g:5854887
Wo Hing Temple	id=g:5854888
Wo International Center	id=g:5854889
Womens Community Correctional Facility	id=g:5854890
Wood Valley	id=g:5854891
Westgate Shopping Center	id=g:5854892
Wood Valley Homesteads	id=g:5854893
Woodlawn	id=g:5854894
Woods Nine Golf Course	id=g:5854895
World Square Shopping Plaza Shopping Center	id=g:5854896
Wright Camp	id=g:5854897
Yam Bay	id=g:5854898
Yee King Tong Chinese Cemetery	id=g:5854899
Yellow Cone	id=g:5854900
Yokohama Bay	id=g:5854901
Yung Hee Village	id=g:5854902
Zablan Beach	id=g:5854903
Kahalepohaku Beach	id=g:5854973
Hinanaulua	id=g:5854974
Hiaupe Stream	id=g:5854975
East Kaupakulua	id=g:5854976
Fort Kamehameha Military Reservation (historical)	id=g:5854977
Lanilili	id=g:5854978
Kahili Quarry	id=g:5854979
‘Anini Reef	id=g:5854980
Kahaukea	id=g:5854981
Haha‘ione Valley Park	id=g:5854982
Halemau‘u Trail	id=g:5854983
Kuamoo Ridge	id=g:5854984
Kanekii	id=g:5854985
Kahuwai	id=g:5854986
Kailua Village	id=g:5854987
Kolo Ridge	id=g:5854988
Keku Point	id=g:5854989
Kipu Kehena 1	id=g:5854990
Waipouli	id=g:5854991
Papalaua	id=g:5854992
‘Ōhi‘apili	id=g:5854993
Mamaki	id=g:5854994
Neue Bay	id=g:5854995
Paliamano	id=g:5854996
Old Kona Airport State Recreation Area	id=g:5854997
Olowalu Wharf	id=g:5854998
Waiokihi	id=g:5854999
Pu‘unēnē	id=g:5855000
Puaa One	id=g:5855001
Punahaha	id=g:5855002
Waimea Park	id=g:5855003
Saint Theresas Church	id=g:5855004
Waiaelepi	id=g:5855005
Eden Roc	id=g:5855006
Eddie Tam Memorial Center	id=g:5855007
Eaton Square Shopping Plaza Shopping Center	id=g:5855008
Fort Kamehameha Beach	id=g:5855009
‘Ewa Forest Reserve	id=g:5855010
Ekaha	id=g:5855011
Edwin H Mookini Library	id=g:5855012
Edith Kanaka‘ole Hall	id=g:5855013
Edmondson Hall	id=g:5855014
Eighteenmile Station (historical)	id=g:5855015
‘Ehukai Beach Park	id=g:5855016
Eight and One Half Mile Camp	id=g:5855017
‘Eku Stream	id=g:5855018
‘Ēkahanui	id=g:5855019
‘Ēkahanui Gulch	id=g:5855020
Eke Crater	id=g:5855021
Ekahi Reservoir	id=g:5855022
Eke	id=g:5855023
Eleele Elementary School	id=g:5855024
‘Eleao	id=g:5855025
Elben Hall	id=g:5855026
Eleele Ditch	id=g:5855027
Eleele	id=g:5855028
Eleele	id=g:5855029
Eleele Shopping Center	id=g:5855030
‘Elehāhā Stream	id=g:5855031
Eleilei Bay	id=g:5855032
‘Elekeni‘iki Stream	id=g:5855033
Ewa Elementary School	id=g:5855034
Episcopal Cemetery	id=g:5855035
Emmanuel Preschool	id=g:5855036
Elima Reservoir	id=g:5855037
Elialii Gulch	id=g:5855038
Emmanuel Lutheran School	id=g:5855039
Elua Reservoir	id=g:5855040
Emmanuel Episcopal Church	id=g:5855041
Epiphany Episcopal School	id=g:5855042
Enchanted Lake Park	id=g:5855043
Empire Building	id=g:5855044
Enchanted Lake Elementary School	id=g:5855045
Epiphany Episcopal Church	id=g:5855046
Enchanted Lake Shopping Center	id=g:5855047
‘Enuhe Ridge	id=g:5855048
‘Ewa District	id=g:5855049
Ewa Beach Fire Station Number 24	id=g:5855050
‘Ewa Beach	id=g:5855051
Evangelical Christian Church	id=g:5855052
‘Ewa	id=g:5855053
Ewa Beach Elementary School	id=g:5855054
Ewa Beach Assembly of God Church	id=g:5855055
Ewa Beach Community Park	id=g:5855056
Ewa Community Church	id=g:5855057
Ewa Beach Public and School Library	id=g:5855058
‘Ewa Beach Park	id=g:5855059
Ewa Beach Post Office	id=g:5855060
Ewa Community Cemetery	id=g:5855061
Ewa Beach Shopping Center	id=g:5855062
Ewa Beach United Methodist Church	id=g:5855063
Fort Hase Cove	id=g:5855064
First Baptist Church of Honolulu	id=g:5855065
Fault Tunnel	id=g:5855066
Ewa Villages Golf Course	id=g:5855067
Ewa Marine Corps Air Station (historical)	id=g:5855068
Wood Valley Camp	id=g:5855069
‘Ewa Gentry	id=g:5855070
Bethel Chapel Assembly of God Church	id=g:5855071
Ewa Mahiko Park	id=g:5855072
‘Ewa Villages	id=g:5855073
Ewa Plantation Beach	id=g:5855074
Ewa Station Ewa Beach Post Office	id=g:5855075
Father Jules Papa	id=g:5855076
Fagans Beach	id=g:5855077
Bethany Assembly of God Church	id=g:5855078
‘Ewa-Schofield Junction	id=g:5855079
Executive Plaza	id=g:5855080
Farrington High School	id=g:5855081
Bertram Hall	id=g:5855082
Faith Assembly of God Church	id=g:5855083
Berth Number 9	id=g:5855084
Faith Baptist Church	id=g:5855085
First Baptist Church	id=g:5855086
Fernandez Village	id=g:5855087
Fern Acres	id=g:5855088
Faye Park	id=g:5855089
Federation Camp	id=g:5855090
Berth Number 40D	id=g:5855091
Fern Playground	id=g:5855092
Berth Number 40C	id=g:5855093
Fern Elementary School	id=g:5855094
Berth Number 40A	id=g:5855095
Fern Forest	id=g:5855096
First Baptist Church	id=g:5855097
Waipahu Fire Station Number 12	id=g:5855098
Ferndale (historical)	id=g:5855099
Filipino Camp	id=g:5855100
First Assembly of God Church	id=g:5855101
Kaneohe Fire Station Number 17	id=g:5855102
First Assembly of God Church	id=g:5855103
Fort Hase Beach	id=g:5855104
First United Methodist Church	id=g:5855105
First Church of the Nazarene	id=g:5855106
First Chinese Church of Christ	id=g:5855107
First Baptist Church of Nanakuli	id=g:5855108
Berth Number 39C	id=g:5855109
First Baptist Church of Windward	id=g:5855110
First Church of Christ Scientist	id=g:5855111
First Christian Church	id=g:5855112
First Church of Christ Scientist	id=g:5855113
First United Church of Christ	id=g:5855114
Berth Number 390	id=g:5855115
First Missionary Baptist Church	id=g:5855116
First Community Church	id=g:5855117
First Hawaiian Church of Kapaa	id=g:5855118
Berth Number 35	id=g:5855119
First Unitarian Church	id=g:5855120
First Presbyterian Church of Honolulu	id=g:5855121
Berth Number 33	id=g:5855122
First Southern Baptist Church	id=g:5855123
Berth Number 31A	id=g:5855124
Fort Elizabeth (historical)	id=g:5855125
Footprints	id=g:5855126
Fleming Beach	id=g:5855127
Fishing Shrine	id=g:5855128
Fishing Shrine	id=g:5855129
Berth Number 30	id=g:5855130
Fly Water Point	id=g:5855131
Fleming Park	id=g:5855132
Flume Launiupoko Ditch	id=g:5855133
Fort DeRussy Beach Park	id=g:5855134
Ford Island Naval Air Landing Field (historical)	id=g:5855135
Ford Island	id=g:5855136
Ford Island Channel	id=g:5855137
Fort DeRussy Beach	id=g:5855138
Berth Number 2C	id=g:5855139
Forrest Hall	id=g:5855140
Fort Barrette (historical)	id=g:5855141
Hale‘au‘au Gulch	id=g:5855142
Berth Number 2A	id=g:5855143
Hāka‘a‘ano	id=g:5855144
Ha‘akoa Stream	id=g:5855145
Berth Number 29	id=g:5855146
Glad Tidings Church	id=g:5855147
Full Gospel Tabernacle	id=g:5855148
Fourteen and Onehalf Mile Store (historical)	id=g:5855149
Fort Weaver (historical)	id=g:5855150
Berth Number 2	id=g:5855151
Fort Ruger Park	id=g:5855152
Fort Shafter Golf Course	id=g:5855153
Founders Gate	id=g:5855154
Foster Botanic Garden	id=g:5855155
Foster Village	id=g:5855156
Fujio Matsuda Technology Training and Education Center	id=g:5855157
Freitas Hall	id=g:5855158
Fourth Marine Division Memorial Park	id=g:5855159
Frear Hall	id=g:5855160
Friendship Bible Church	id=g:5855161
Berth Number 19	id=g:5855162
French Frigate Shoals	id=g:5855163
Berth Number 15	id=g:5855164
French Frigate Shoals Airport	id=g:5855165
Berth Number 14	id=g:5855166
Gimlet Field	id=g:5855167
Gaspars Dairy	id=g:5855168
Gambia Shoal	id=g:5855169
Galbraith (historical)	id=g:5855170
Gambia Shoal	id=g:5855171
Gartley Hall	id=g:5855172
Garden of the Gods	id=g:5855173
Berth 39A1	id=g:5855174
Gardner Pinnacles	id=g:5855175
Gilmore Hall	id=g:5855176
Berry Flat Trail	id=g:5855177
George Hall	id=g:5855178
Beretania Street Pumping Station	id=g:5855179
Gateway House	id=g:5855180
Gentry Business Park	id=g:5855181
Gillins Beach	id=g:5855182
George Murphy Beach Park	id=g:5855183
Beretania Park	id=g:5855184
George Wright Park	id=g:5855185
Haaheo Elementary School	id=g:5855186
Grass Island	id=g:5855187
Good Shepherd Lutheran Church	id=g:5855188
Bellows Air Force Station (historical)	id=g:5855189
Glenwood	id=g:5855190
Gladys K Ainoa Brandt Center for Hawaiian Studies	id=g:5855191
Glass Beach	id=g:5855192
Good Shepherd Episcopal Church	id=g:5855193
Good Samaritan Episcopal Church	id=g:5855194
Good Samaritan Preschool	id=g:5855195
Grant 3584	id=g:5855196
Gore Park	id=g:5855197
Good Shepherd Roman Catholic Church	id=g:5855198
Bekesy Laboratory	id=g:5855199
Gore Park	id=g:5855200
Beckoning Point	id=g:5855201
Grace Bible Church	id=g:5855202
Beans Beach	id=g:5855203
Gospel of Salvation Church	id=g:5855204
Grace Baptist Church	id=g:5855205
HI 23 Airstrip	id=g:5855206
Beach House Beach	id=g:5855207
Griffiths Hall	id=g:5855208
Great Crack	id=g:5855209
Grays Beach	id=g:5855210
Grays Channel	id=g:5855211
Bayfront Beach Park	id=g:5855212
Gregg M Sinclair Library	id=g:5855213
Green Island	id=g:5855214
Green Lake	id=g:5855215
H-Poko Point	id=g:5855216
Gus Webling Elementary School	id=g:5855217
Grove Farm Homestead Plantation Museum	id=g:5855218
Gulick Hall	id=g:5855219
H-Poko Papa	id=g:5855220
H A Baldwin Park	id=g:5855221
Bay Golf Course	id=g:5855222
H S P A Experimental Station	id=g:5855223
Ha‘ikū	id=g:5855224
Battle of Kepaniwai Historical Marker	id=g:5855225
Hā‘ena Point	id=g:5855226
Hā‘ele‘ele Valley	id=g:5855227
Battery Jackson (historical)	id=g:5855228
Haao Springs	id=g:5855229
Hā‘ele‘ele Ridge	id=g:5855230
Hā‘ao Valley	id=g:5855231
Hā‘ena Park	id=g:5855232
Hā‘ena	id=g:5855233
Hā‘ena	id=g:5855234
Hā‘ena	id=g:5855235
Haha‘ione Neighborhood Park	id=g:5855236
Haha Falls	id=g:5855237
Hā‘ena Point	id=g:5855238
Hā‘ena State Park	id=g:5855239
Hahaione Elementary School	id=g:5855240
Hahaeule	id=g:5855241
Hāhaha Bay	id=g:5855242
Hāhālawe Gulch	id=g:5855243
Hahakea	id=g:5855244
Haha‘ione Valley	id=g:5855245
Hahakea Gulch	id=g:5855246
Ha‘ipua‘ena Stream	id=g:5855247
Haiku Stairs	id=g:5855248
Haiku Ditch	id=g:5855249
Haiku	id=g:5855250
Haiku	id=g:5855251
Haiku	id=g:5855252
Haiku Ditch	id=g:5855253
Haiku Airstrip	id=g:5855254
Haiku Community Center	id=g:5855255
Haiku Reservoir	id=g:5855256
Ha‘ikū Nui	id=g:5855257
Haiku Elementary School	id=g:5855258
Ha‘ikū Iki	id=g:5855259
Haiku Post Office	id=g:5855260
Haiku Park	id=g:5855261
Ha‘ikū Point	id=g:5855262
Ha‘ipua‘ena	id=g:5855263
Haili Community Hall	id=g:5855264
Ha‘ikū Uka	id=g:5855265
Ha‘ikū Valley	id=g:5855266
Hainoa Crater	id=g:5855267
Haina	id=g:5855268
Haili Congressional Cemetery	id=g:5855269
Haili Gulch	id=g:5855270
Hainoa	id=g:5855271
Haina	id=g:5855272
Haina County Park	id=g:5855273
Haleakala Wilderness	id=g:5855274
Hālawaiki Gulch	id=g:5855275
Halapē Shelter	id=g:5855276
Hakina Gulch	id=g:5855277
Hakalau Iki	id=g:5855278
Hakalau	id=g:5855279
‘Ili Haka‘ai	id=g:5855280
Hakalaoa Falls	id=g:5855281
Battery Hulings (historical)	id=g:5855282
Hakalau Homesteads	id=g:5855283
Hakalau	id=g:5855284
Hakalau Bay	id=g:5855285
Hakalau Post Office	id=g:5855286
Battery Hatch (historical)	id=g:5855287
