Pa-ling	id=g:1302301
Obo	id=g:1303243
Obo	id=g:1303244
Obingon	id=g:1303245
Obgon	id=g:1303246
Obauk	id=g:1303247
Oates Island	id=g:1303248
Oaingywa	id=g:1303249
’Nzang Ga	id=g:1303250
Nyun-gyaw	id=g:1303251
Nyung-imnu	id=g:1303252
Nyu-chang	id=g:1303253
Nyu-chang	id=g:1303254
Nyozutkwin	id=g:1303255
Pulo Nyor	id=g:1303256
Kyun Nyogyi	id=g:1303257
Nyogwin	id=g:1303258
Nyobinsho	id=g:1303259
Nyobin	id=g:1303260
Taung Nyo	id=g:1303261
Nyizu	id=g:1303262
Nyitadi	id=g:1303263
Nyinyaung	id=g:1303264
Nyintha	id=g:1303265
Nyinmaw	id=g:1303266
Nyinaung	id=g:1303267
Nyinaung	id=g:1303268
Nyin Atet	id=g:1303269
Nam Nyim	id=g:1303270
Nyetwe	id=g:1303271
Nyetmaw Pass	id=g:1303272
Mè Nyensang	id=g:1303273
Nyendām	id=g:1303274
Nam Nyen	id=g:1303275
Nyek Hka	id=g:1303276
Nyeinzan	id=g:1303277
Nyein-e-thida	id=g:1303278
Nyein-e	id=g:1303279
Nye-bu-hku	id=g:1303280
Nyawngwing	id=g:1303281
Nyawngweng	id=g:1303282
Nyawngtawk	id=g:1303283
Nyawng Tawk	id=g:1303284
Nyawngsang	id=g:1303285
Nyawngpānghlā	id=g:1303286
Nyawngmun	id=g:1303287
Nyawng Kwai	id=g:1303288
Nyawngkon	id=g:1303289
Nyawngkeng	id=g:1303290
Hwè Nyawnghtawk	id=g:1303291
Nyawnghtawk	id=g:1303292
Nyawngbintha	id=g:1303293
Nyawmyaw Hka	id=g:1303294
Nyawmudo	id=g:1303295
Nyaw-byin Aw	id=g:1303296
Nyaw-byin	id=g:1303297
Nyaungzwe	id=g:1303298
Nyaungzit	id=g:1303299
Nyaungzinywa	id=g:1303300
Nyaungzingyi	id=g:1303301
Nyaungzin	id=g:1303302
Nyaungzin	id=g:1303303
Nyaungzin	id=g:1303304
Nyaungzin	id=g:1303305
Nyaungzin	id=g:1303306
Nyaungzin	id=g:1303307
Nyaungzigon	id=g:1303308
Nyaungzeik	id=g:1303309
Nyaungzeik	id=g:1303310
Nyaungzaye	id=g:1303311
Nyaungzaung	id=g:1303312
Nyaungzaukchaung	id=g:1303313
Nyaungzauk	id=g:1303314
Nyaungzauk	id=g:1303315
Nyaungzanbu	id=g:1303316
Nyaungywagyi	id=g:1303317
Nyaungywa	id=g:1303318
Nyaungywa	id=g:1303319
Nyaungywa	id=g:1303320
Nyaungywa	id=g:1303321
Nyaung-yo	id=g:1303322
Nyaungyin	id=g:1303323
Nyaungyin	id=g:1303324
Nyaungyeiktha	id=g:1303325
Nyaungyedè	id=g:1303326
Nyaungyan	id=g:1303327
Nyaungyan	id=g:1303328
Nyaungwun	id=g:1303329
Nyaungwun	id=g:1303330
Nyaungwun	id=g:1303331
Nyaungwun	id=g:1303332
Nyaungwun	id=g:1303333
Nyaungwun	id=g:1303334
Nyaungwun	id=g:1303335
Nyaungwun	id=g:1303336
Nyaungwin	id=g:1303337
Nyaungwin	id=g:1303338
Nyaungwan	id=g:1303339
Nyaungwaing	id=g:1303340
Nyaungwaing	id=g:1303341
Nyaungwaing	id=g:1303342
Nyaungwaing	id=g:1303343
Nyaungwaing	id=g:1303344
Nyaungwaing	id=g:1303345
Nyaungwaing	id=g:1303346
Nyaungwaing	id=g:1303347
Nyaungwaing	id=g:1303348
Nyaungwaing	id=g:1303349
Nyaung-u	id=g:1303350
Nyaungu	id=g:1303351
Nyaungthongwa	id=g:1303352
Nyaungthonbin	id=g:1303353
Nyaungthonbin	id=g:1303354
Nyaungthamya	id=g:1303355
Nyaungthabyi	id=g:1303356
Nyaungthabin	id=g:1303357
Nyaungte	id=g:1303358
Nyaungtada	id=g:1303359
Nyaungtachan	id=g:1303360
Nyaungshwe	id=g:1303361
Nyaungsedauk	id=g:1303362
Nyaungsauk	id=g:1303363
Nyaungpe	id=g:1303364
Nyaungpalin	id=g:1303365
Nyaungokpi	id=g:1303366
Nyaungokkyi	id=g:1303367
Nyaungok Chaung	id=g:1303368
Nyaung-ok	id=g:1303369
Nyaungok	id=g:1303370
Nyaungohidauk Reserved Forest	id=g:1303371
Nyaungnwe	id=g:1303372
Nyaungnwe	id=g:1303373
Nyaungnpyuyo	id=g:1303374
Nyaungni Island	id=g:1303375
Nyaungnigyin	id=g:1303376
Nyaungnigan	id=g:1303377
Nyaungnichaung	id=g:1303378
Nyaungnibin	id=g:1303379
Nyaungni	id=g:1303380
Nyaungni	id=g:1303381
Nyaungni	id=g:1303382
Nyaungni	id=g:1303383
Nyaungni	id=g:1303384
Nyaungni	id=g:1303385
Nyaungngu	id=g:1303386
Nyaungngokto	id=g:1303387
Nyaungngabin	id=g:1303388
Nyaungmyitpwa	id=g:1303389
Nyaungmyit	id=g:1303390
Nyaungmyin Taung	id=g:1303391
Nyaungmun	id=g:1303392
Nyaungmaw	id=g:1303393
Nyaunglwin	id=g:1303394
Nyaunglwet Atet	id=g:1303395
Nyaunglwet Ashe	id=g:1303396
Nyaunglwet	id=g:1303397
Nyaunglun	id=g:1303398
Nyaunglu	id=g:1303399
Nyaungleingôn	id=g:1303400
Nyaunglebin Chaung	id=g:1303401
Nyaunglebin	id=g:1303402
Nyaunglebin	id=g:1303403
Nyaunglebin	id=g:1303404
Nyaunglebin	id=g:1303405
Nyaunglebin	id=g:1303406
Nyaunglebin	id=g:1303407
Nyaunglehin	id=g:1303408
Nyaunglebin	id=g:1303409
Nyaungle	id=g:1303410
Nyaungle	id=g:1303411
Nyaunglan-ngu	id=g:1303412
Nyaunglangan	id=g:1303413
Nyaunglan	id=g:1303414
Nyaunglaing Gindan	id=g:1303415
Nyaungkhon	id=g:1303416
Nyaungkhetkan	id=g:1303417
Nyaungkhashe	id=g:1303418
Nyaungkaya	id=g:1303419
Nyaungkaya	id=g:1303420
Nyaungkaya	id=g:1303421
Nyaungkaukkwe	id=g:1303422
Nyaung-ka	id=g:1303423
Nyaungin	id=g:1303424
Nyaunghtaw	id=g:1303425
Nyaunghtauk	id=g:1303426
Nyaung-hsoi	id=g:1303427
Nyaunghmaw	id=g:1303428
Nyaunghla	id=g:1303429
Nyaunghla	id=g:1303430
Nyaunghla	id=g:1303431
Nyaunghla	id=g:1303432
Nyaunghinzeik	id=g:1303433
Nyaunghin Taung	id=g:1303434
Nyaunghinhla	id=g:1303435
Nyaunggyon	id=g:1303436
Nyaunggyo Chaung	id=g:1303437
Nyaunggyo	id=g:1303438
Nyaunggyo	id=g:1303439
Nyaunggyo	id=g:1303440
Nyaunggyingon	id=g:1303441
Nyaunggyinbingon	id=g:1303442
Nyaunggyinbin	id=g:1303443
Nyaunggyin	id=g:1303444
Nyaunggyin	id=g:1303445
Nyaunggyin	id=g:1303446
Nyaunggyigon	id=g:1303447
Nyaunggyidaung	id=g:1303448
Nyaunggyaung	id=g:1303449
Nyaunggyaung	id=g:1303450
Nyaunggyaung	id=g:1303451
Nyaunggyaung	id=g:1303452
Nyaunggyaung	id=g:1303453
Nyaunggyaung	id=g:1303454
Nyaunggyaung	id=g:1303455
Nyaunggyatsan	id=g:1303456
Nyaunggyatpin	id=g:1303457
Nyaunggyatpin	id=g:1303458
Nyaunggyat	id=g:1303459
Nyaunggyat	id=g:1303460
Nyaunggyat	id=g:1303461
Nyaunggyaing	id=g:1303462
Nyaunggwe	id=g:1303463
Nyaunggon Myauk	id=g:1303464
Nyaunggongale	id=g:1303465
Nyaunggon	id=g:1303466
Nyaunggôn	id=g:1303467
Nyaunggon	id=g:1303468
Nyaunggon	id=g:1303469
Nyaunggon	id=g:1303470
Nyaunggôn	id=g:1303471
Nyaunggon	id=g:1303472
Nyaunggôn	id=g:1303473
Nyaunggon	id=g:1303474
Nyaunggon	id=g:1303475
Nyaunggon	id=g:1303476
Nyaunggon	id=g:1303477
Nyaunggon	id=g:1303478
Nyaung-gon	id=g:1303479
Nyaunggon	id=g:1303480
Nyaunggon	id=g:1303481
Nyaunggon	id=g:1303482
Nyaunggon	id=g:1303483
Nyaunggon	id=g:1303484
Nyaunggôn	id=g:1303485
Nyaunggôn	id=g:1303486
Nyaunggon	id=g:1303487
Nyaunggon	id=g:1303488
Nyaunggon	id=g:1303489
Nyaunggon	id=g:1303490
Nyaunggon	id=g:1303491
Nyaunggon	id=g:1303492
Nyaunggon	id=g:1303493
Nyaunggon	id=g:1303494
Nyaunggon	id=g:1303495
Nyaunggon	id=g:1303496
Nyaunggôn	id=g:1303497
Nyaunggon	id=g:1303498
Nyaunggon	id=g:1303499
Nyaunggon	id=g:1303500
Nyaunggon	id=g:1303501
Nyaunggon	id=g:1303502
Nyaunggôn	id=g:1303503
Nyaunggon	id=g:1303504
Nyaunggôn	id=g:1303505
Nyaunggon	id=g:1303506
Nyaunggon	id=g:1303507
Nyaunggon	id=g:1303508
Nyaunggon	id=g:1303509
Nyaunggon	id=g:1303510
Nyaunggon	id=g:1303511
Nyaunggon	id=g:1303512
Nyaunggon	id=g:1303513
Nyaunggon	id=g:1303514
Nyaunggon	id=g:1303515
Nyaunggon	id=g:1303516
Nyaunggon	id=g:1303517
Nyaunggon	id=g:1303518
Nyaunggon	id=g:1303519
Nyaunggon	id=g:1303520
Nyaunggon	id=g:1303521
Nyaunggon	id=g:1303522
Nyaunggon	id=g:1303523
Nyaunggon	id=g:1303524
Nyaunggon	id=g:1303525
Nyaunggon	id=g:1303526
Nyaunggon	id=g:1303527
Nyaunggaw	id=g:1303528
Nyaunggauk	id=g:1303529
Nyaunggantha	id=g:1303530
Nyaunggandaung	id=g:1303531
Nyaunggan	id=g:1303532
Nyaunggan	id=g:1303533
Nyaunggan	id=g:1303534
Nyaunggan	id=g:1303535
Nyaunggan	id=g:1303536
Nyaunggan	id=g:1303537
Nyaunggan	id=g:1303538
Nyaunggan	id=g:1303539
Nyaunggan	id=g:1303540
Nyaunggan	id=g:1303541
Nyaunggan	id=g:1303542
Nyaunggaing Reserved Forest	id=g:1303543
Nyaunggaing Chaung	id=g:1303544
Nyaunggaing Chaung	id=g:1303545
Nyaunggaing	id=g:1303546
Nyaunggaing	id=g:1303547
Nyaunggaing	id=g:1303548
Nyaunggaing	id=g:1303549
Nyaunggaing	id=g:1303550
Nyaunggaing	id=g:1303551
Nyaunggaing	id=g:1303552
Nyaunggaing	id=g:1303553
Nyaunggaing	id=g:1303554
Nyaunggaing	id=g:1303555
Nyaunggaing	id=g:1303556
Nyaunggaing	id=g:1303557
Nyaunggaing	id=g:1303558
Nyaunggaing	id=g:1303559
Nyaunggaing	id=g:1303560
Nyaunggaing	id=g:1303561
Nyaunggaing	id=g:1303562
Nyaunggaing	id=g:1303563
Nyaunggaing	id=g:1303564
Nyaungga	id=g:1303565
Nyaungdwin	id=g:1303566
Nyaungdu	id=g:1303567
Nyaungdonle	id=g:1303568
Nyaungdon	id=g:1303569
Nyaungdon	id=g:1303570
Nyaungdo	id=g:1303571
Nyaungdo	id=g:1303572
Nyaungdo	id=g:1303573
Nyaungdo	id=g:1303574
Nyaungdo	id=g:1303575
Nyaungdawzu	id=g:1303576
Nyaungdawdon	id=g:1303577
Nyaungdaw	id=g:1303578
Nyaungdaung	id=g:1303579
Nyaung-dauk-ywama	id=g:1303580
Nyaungdauk	id=g:1303581
Nyaungdauk	id=g:1303582
Nyaungdan	id=g:1303583
Nyaungdan	id=g:1303584
Nyaungchin Taung	id=g:1303585
Nyaungchin Myauk	id=g:1303586
Nyaungchidauk River	id=g:1303587
Nyaungchidauk	id=g:1303588
Nyaungchidauk	id=g:1303589
Nyaungchidauk	id=g:1303590
Nyaungchidauk	id=g:1303591
Nyaungchidauk	id=g:1303592
Nyaungchidauk	id=g:1303593
Nyaung-chi-dauk	id=g:1303594
Nyaungchidauk	id=g:1303595
Nyaungchidauk	id=g:1303596
Nyaungchedauk	id=g:1303597
Nyaungchedauk	id=g:1303598
Nyaung Chaung	id=g:1303599
Nyaungchaung	id=g:1303600
Nyaungchaung	id=g:1303601
Nyaungbyubin	id=g:1303602
Nyaungbyubin	id=g:1303603
Nyaungbyinzu	id=g:1303604
Nyaungbyan	id=g:1303605
Nyaungbuget	id=g:1303606
Nyaungbinzu	id=g:1303607
Nyaungbinzeik	id=g:1303608
Nyaungbinzeik	id=g:1303609
Nyaungbinzeik	id=g:1303610
Nyaungbinzeik	id=g:1303611
Nyaungbinze	id=g:1303612
Nyaungbinzauk	id=g:1303613
Nyaungbinzauk	id=g:1303614
Nyaungbinzauk	id=g:1303615
Nyaungbinzauk	id=g:1303616
Nyaungbinywa	id=g:1303617
Nyaungbinywa	id=g:1303618
Nyaungbinywa	id=g:1303619
Nyaungbinyo	id=g:1303620
Nyaungbinyo	id=g:1303621
Nyaungbin-yedwin	id=g:1303622
Nyaungbinwun	id=g:1303623
Nyaungbinwein	id=g:1303624
Nyaungbinwe	id=g:1303625
Nyaungbinwaing	id=g:1303626
Nyaungbinwaing	id=g:1303627
Nyaungbintha Shanzu	id=g:1303628
Nyaungbintha-anauk	id=g:1303629
Nyaungbintha	id=g:1303630
Nyaungbintha	id=g:1303631
Nyaungbintha	id=g:1303632
Nyaungbintha	id=g:1303633
Nyaungbintha	id=g:1303634
Nyaungbintha	id=g:1303635
Nyaungbintha	id=g:1303636
Nyaungbintha	id=g:1303637
Nyaungbintha	id=g:1303638
Nyaungbintha	id=g:1303639
Nyaungbintha	id=g:1303640
Nyaungbintha	id=g:1303641
Nyaungbintha	id=g:1303642
Nyaungbintha	id=g:1303643
Nyaungbintha	id=g:1303644
Nyaungbintha	id=g:1303645
Nyaungbintha	id=g:1303646
Nyaungbintha	id=g:1303647
Nyaungbintha	id=g:1303648
Nyaungbintha	id=g:1303649
Nyaungbintha	id=g:1303650
Nyaung-bin-tha	id=g:1303651
Nyaungbintha	id=g:1303652
Nyaungbintha	id=g:1303653
Nyaungbintha	id=g:1303654
Nyaungbintha	id=g:1303655
Nyaungbintha	id=g:1303656
Nyaungbintha	id=g:1303657
Nyaungbintha	id=g:1303658
Nyaungbintha	id=g:1303659
Nyaungbintha	id=g:1303660
Nyaungbintha	id=g:1303661
Nyaungbintha	id=g:1303662
Nyaungbintha	id=g:1303663
Nyaungbintha	id=g:1303664
Nyaungbintha	id=g:1303665
Nyaungbintha	id=g:1303666
Nyaungbintha	id=g:1303667
Nyaungbintha	id=g:1303668
Nyaungbintha	id=g:1303669
Nyaungbintha	id=g:1303670
Nyaungbintha	id=g:1303671
Nyaungbintha	id=g:1303672
Nyaungbintha	id=g:1303673
Nyaungbintha	id=g:1303674
Nyaungbintha	id=g:1303675
Nyaungbintha	id=g:1303676
Nyaungbintha	id=g:1303677
Nyaungbintha	id=g:1303678
Nyaungbintha	id=g:1303679
Nyaungbintha	id=g:1303680
Nyaungbintha	id=g:1303681
Nyaungbintha	id=g:1303682
Nyaungbintha	id=g:1303683
Nyaungbintha	id=g:1303684
Nyaungbintha	id=g:1303685
Nyaungbintha	id=g:1303686
Nyaungbintha	id=g:1303687
Nyaungbintha	id=g:1303688
Nyaungbintha	id=g:1303689
Nyaungbintha	id=g:1303690
Nyaungbintha	id=g:1303691
Nyaungbintha	id=g:1303692
Nyaungbintha	id=g:1303693
Nyaungbintha	id=g:1303694
Nyaung-bin Taung	id=g:1303695
Nyaungbinshe	id=g:1303696
Nyaungbinseik	id=g:1303697
Nyaungbinseik	id=g:1303698
Nyaungbinlegyin	id=g:1303699
Nyaungbinle	id=g:1303700
Nyaungbinle	id=g:1303701
Nyaungbin Kyun	id=g:1303702
Nyaungbinkwin	id=g:1303703
Nyaungbinkwin	id=g:1303704
Nyaungbinkwin	id=g:1303705
Nyaungbinkwin	id=g:1303706
Nyaungbinkwin	id=g:1303707
Nyaungbin-in	id=g:1303708
Nyaungbinhla	id=g:1303709
Nyaungbinhla	id=g:1303710
Nyaungbinhla	id=g:1303711
Nyaungbinhla	id=g:1303712
Nyaungbinhla	id=g:1303713
Nyaungbinhla	id=g:1303714
Nyaungbingyin	id=g:1303715
Nyaungbingyin	id=g:1303716
Nyaungbingyidaw	id=g:1303717
Nyaungbingyi	id=g:1303718
Nyaungbingyi	id=g:1303719
Nyaungbingyi	id=g:1303720
Nyaungbingyi	id=g:1303721
Nyaungbingyi	id=g:1303722
Nyaungbingyi	id=g:1303723
Nyaungbingyi	id=g:1303724
Nyaungbingyi	id=g:1303725
Nyaungbingyi	id=g:1303726
Nyaungbingwin	id=g:1303727
Nyaungbingwa	id=g:1303728
Nyaungbingon	id=g:1303729
Nyaungbingon	id=g:1303730
Nyaungbingon	id=g:1303731
Nyaungbingon	id=g:1303732
Nyaungbingon	id=g:1303733
Nyaungbingan	id=g:1303734
Nyaungbingan	id=g:1303735
Nyaungbingale	id=g:1303736
Nyaungbingaingzwe	id=g:1303737
Nyaungbingaing	id=g:1303738
Nyaungbinga	id=g:1303739
Nyaungbindwin	id=g:1303740
Nyaungbindo	id=g:1303741
Nyaungbindè	id=g:1303742
Nyaungbinde	id=g:1303743
Nyaungbinde	id=g:1303744
Nyaungbindat	id=g:1303745
Nyaungbin Chaung	id=g:1303746
Nyaungbinchaing	id=g:1303747
Nyaungbinbwe Taung	id=g:1303748
Nyaungbin Ashe	id=g:1303749
Nyaungbinaing	id=g:1303750
Nyaungbin	id=g:1303751
Nyaungbin	id=g:1303752
Nyaungbin	id=g:1303753
Nyaungbin	id=g:1303754
Nyaungbin	id=g:1303755
Nyaungbin	id=g:1303756
Nyaungbin	id=g:1303757
Nyaungbin	id=g:1303758
Nyaungbin	id=g:1303759
Nyaungbin	id=g:1303760
Nyaungbin	id=g:1303761
Nyaungbin	id=g:1303762
Nyaungbin	id=g:1303763
Nyaungbin	id=g:1303764
Nyaungbin	id=g:1303765
Nyaungbin	id=g:1303766
Nyaungbin	id=g:1303767
Nyaungbin	id=g:1303768
Nyaungbin	id=g:1303769
Nyaungbi	id=g:1303770
Nyaungbaw	id=g:1303771
Nyaungashe	id=g:1303772
Nyaung-aing	id=g:1303773
Nyaung-aing	id=g:1303774
Nyaungaing	id=g:1303775
Nyaungaing	id=g:1303776
Nyaung-aing	id=g:1303777
Nyaungaing	id=g:1303778
Nyaung Aing	id=g:1303779
Nyaungaing	id=g:1303780
Nyaung	id=g:1303781
Nyapokhi	id=g:1303782
Nyapawkhi	id=g:1303783
Nyapatekhi	id=g:1303784
Nyanyintha	id=g:1303785
Nyanwin	id=g:1303786
Nyantaw	id=g:1303787
Nyanpaw	id=g:1303788
Nyanmen Aw	id=g:1303789
Nyanle	id=g:1303790
Nyangyun	id=g:1303791
Nyanghla	id=g:1303792
’Nyang Hka	id=g:1303793
Nyangan	id=g:1303794
Nyangan	id=g:1303795
Nyandawin	id=g:1303796
Nyandaw-in	id=g:1303797
Nyandaw	id=g:1303798
Nyandaw	id=g:1303799
’Nyam Ga	id=g:1303800
’Nyam Ga	id=g:1303801
Nyamaraw	id=g:1303802
Nyakyagaw	id=g:1303803
Nyahto Law	id=g:1303804
Nyabwa Chaung	id=g:1303805
Nwi Atet	id=g:1303806
Nweyon	id=g:1303807
Nwetemon Taungdan	id=g:1303808
Nwetanie	id=g:1303809
Nweseng Bum	id=g:1303810
Nam Nwepaung	id=g:1303811
Nwenyeinpa Taung	id=g:1303812
Nwenyein	id=g:1303813
Nwenwe	id=g:1303814
Nweni Chaung	id=g:1303815
Nweneng Bum	id=g:1303816
Nwenaing	id=g:1303817
Nwemu	id=g:1303818
Nwemu	id=g:1303819
Nwelein Chaung	id=g:1303820
Nwelein	id=g:1303821
Nwelein	id=g:1303822
Nwekhwe	id=g:1303823
’Nweje Bum	id=g:1303824
Nwè-hsem	id=g:1303825
Nwegyo	id=g:1303826
Nwegyi Chaung	id=g:1303827
Nwègwe	id=g:1303828
Nwegwe	id=g:1303829
Nwe-gwe	id=g:1303830
Nwē-gu	id=g:1303831
Nwegauk	id=g:1303832
Nwedan Yo	id=g:1303833
Nwedantaung	id=g:1303834
Nwedan	id=g:1303835
Nwebyin	id=g:1303836
Nwebat	id=g:1303837
Nwayôndaung	id=g:1303838
Nwawm Ga	id=g:1303839
Nwawa	id=g:1303840
Nwatingok	id=g:1303841
Nwa Taung Chaung	id=g:1303842
Nwa Taung	id=g:1303843
Nwashayo	id=g:1303844
Nwasaung	id=g:1303845
Nwasangok	id=g:1303846
Nwapyunge	id=g:1303847
Nwanozu	id=g:1303848
’Nwangkang Ga	id=g:1303849
Nwanetkwin	id=g:1303850
Nwanawa	id=g:1303851
Nwanan	id=g:1303852
Nwamathin Anauk	id=g:1303853
Nwamathin	id=g:1303854
Nwamataung Range	id=g:1303855
Nwalegauk Taung	id=g:1303856
Nwale Chaung	id=g:1303857
Nwale	id=g:1303858
Nwalan Taung	id=g:1303859
Nwalandaung	id=g:1303860
Nwalabo Taungdan	id=g:1303861
Nwalabo Taung	id=g:1303862
Nwalabo Taung	id=g:1303863
Nwalabo Taung	id=g:1303864
Nwalabo Reserved Forest	id=g:1303865
Nwalabo	id=g:1303866
Nwalabo	id=g:1303867
Nwakyawda	id=g:1303868
Nwahla	id=g:1303869
Nwagyaunggwa	id=g:1303870
Nwagyaung	id=g:1303871
Nwagyangon	id=g:1303872
Nwagyangon	id=g:1303873
Nwagu	id=g:1303874
Nwagu	id=g:1303875
Nwagaya	id=g:1303876
Nwado	id=g:1303877
Nwado	id=g:1303878
Nwadi Chaung	id=g:1303879
Nwade	id=g:1303880
Nwade	id=g:1303881
Nwade	id=g:1303882
Nwade	id=g:1303883
Nwadawgon	id=g:1303884
Nwadatkon	id=g:1303885
Nwadama	id=g:1303886
Nwachigyun	id=g:1303887
Nwachi	id=g:1303888
Nwa Chaung	id=g:1303889
Nwachangyigon	id=g:1303890
Nwachangon	id=g:1303891
Nwabyin	id=g:1303892
Loi Nwabo	id=g:1303893
Nwabaung	id=g:1303894
Nwabangyi	id=g:1303895
Nwa	id=g:1303896
Nungsan	id=g:1303897
Nam Nūng	id=g:1303898
Nam Nüng	id=g:1303899
Numtin Bum	id=g:1303900
Numshanghku	id=g:1303901
Numsāi Hka	id=g:1303902
Numrawng	id=g:1303903
Numrang	id=g:1303904
Numrang	id=g:1303905
Numpyek Hka	id=g:1303906
Numpraw Hka	id=g:1303907
Numnuyāng	id=g:1303908
Num Nö	id=g:1303909
Numnawn	id=g:1303910
Numlang	id=g:1303911
Numkai	id=g:1303912
Numit Mump	id=g:1303913
Numhtat Nawng	id=g:1303914
Numhkrē	id=g:1303915
Numhkang Hka	id=g:1303916
Numbrawng	id=g:1303917
Numbpa Wāng	id=g:1303918
Numbo	id=g:1303919
Numban Hka	id=g:1303920
Numawng	id=g:1303921
Nuhtaya	id=g:1303922
Nuchuran Cove	id=g:1303923
Nu Chaung	id=g:1303924
’Ntsi Hka	id=g:1303925
’Ntsaiyang	id=g:1303926
’Nting Uma	id=g:1303927
’Nting Hka	id=g:1303928
Ntīaswe	id=g:1303929
’Nthang Gahtawng	id=g:1303930
’Ntawngkawng	id=g:1303931
’Ntapgahtawng	id=g:1303932
Nsun	id=g:1303933
Nsopzup	id=g:1303934
’Nsop Hka	id=g:1303935
’Nshu	id=g:1303936
Nshihku Ga	id=g:1303937
’Nsen Gahtawng	id=g:1303938
’Nsen Gahtawng	id=g:1303939
’Nsen Ga	id=g:1303940
’Nsen Ga	id=g:1303941
’Nsen	id=g:1303942
Nsen	id=g:1303943
Nsawgahtawng	id=g:1303944
’Nsau Ga	id=g:1303945
Nsanyang	id=g:1303946
’Nritu Ga	id=g:1303947
Nrim Ga	id=g:1303948
Nralungbyen	id=g:1303949
’Npyentawng	id=g:1303950
’Npyen Ga	id=g:1303951
Npyen Ga	id=g:1303952
Npyen Ga	id=g:1303953
’Nprawn	id=g:1303954
’Npawp Ga	id=g:1303955
’Npawp Ga	id=g:1303956
’Npawp Ga	id=g:1303957
Npawnchet	id=g:1303958
Npawnam	id=g:1303959
N’pawn	id=g:1303960
’Npau Uma	id=g:1303961
Notlekang	id=g:1303962
No Tavo	id=g:1303963
Notara	id=g:1303964
North Zamayi Reserved Forest	id=g:1303965
North West Islet	id=g:1303966
North-West Hump	id=g:1303967
North Twin Island	id=g:1303968
North Twin	id=g:1303969
North Terrible Rock	id=g:1303970
North Spit	id=g:1303971
North Sentinel Island	id=g:1303972
North Sands	id=g:1303973
North Rocky Island	id=g:1303974
North Rocks	id=g:1303975
North Rocks	id=g:1303976
North Pinnacle	id=g:1303977
North Phipps Island	id=g:1303978
North Peak	id=g:1303979
North Patch	id=g:1303980
North Park Island	id=g:1303981
North Nawin Reserved Forest	id=g:1303982
North Ledge	id=g:1303983
North Lawksawk Reserved Forest	id=g:1303984
North Island	id=g:1303985
North Island	id=g:1303986
North Island	id=g:1303987
Northern Shan State	id=g:1303988
Northern Chin Hills District	id=g:1303989
North-East Special District	id=g:1303990
North East Middle Bank	id=g:1303991
North East Little Torres Islet	id=g:1303992
North Direction Island	id=g:1303993
North Delay Shoal	id=g:1303994
North Button Island	id=g:1303995
North Bay	id=g:1303996
Nori	id=g:1303997
Nopu Taung Saba	id=g:1303998
Nopobi	id=g:1303999
No-pi	id=g:1304000
Nopadaw	id=g:1304001
Nonywa	id=g:1304002
Nônywa	id=g:1304003
Nonpala	id=g:1304004
Nōn Nā	id=g:1304005
Nonkyun	id=g:1304006
No-ngwa Galet	id=g:1304007
Nongtiyang	id=g:1304008
Nongti	id=g:1304009
Nongsan Chaung	id=g:1304010
Nongpatok	id=g:1304011
Nongmang	id=g:1304012
Nonghkai	id=g:1304013
Nondin-in Chaung	id=g:1304014
Nonbon	id=g:1304015
Nam Non	id=g:1304016
Noma-kang	id=g:1304017
No-ku-klaw	id=g:1304018
No-ko	id=g:1304019
Noknyu	id=g:1304020
Noknin Chaung	id=g:1304021
Nokhe	id=g:1304022
Nokawla	id=g:1304023
Noi Ngün	id=g:1304024
Noi Khausanma	id=g:1304025
Nam Noikawng	id=g:1304026
Noije Bum	id=g:1304027
Noidun Madin	id=g:1304028
Noi Bum	id=g:1304029
Nam Noi	id=g:1304030
Nam Noi	id=g:1304031
No-hkaw	id=g:1304032
Nohkade	id=g:1304033
Nogmung	id=g:1304034
Nogmung	id=g:1304035
Noepeji	id=g:1304036
Nobu	id=g:1304037
Noberbaw	id=g:1304038
Noatahkan Razi	id=g:1304039
’Nnye Hka	id=g:1304040
’Nngun Hka	id=g:1304041
Nnem Ga	id=g:1304042
’Nnawng Hka	id=g:1304043
’Nnaw Ga	id=g:1304044
’Nna Ga	id=g:1304045
’Nmawt Ga	id=g:1304046
’Nmawkawng	id=g:1304047
’Nmaw Hka	id=g:1304048
Nmai Hka	id=g:1304049
Nlungkaleng	id=g:1304050
Nlung-imnu	id=g:1304051
Nlongahtawng	id=g:1304052
Nloizup	id=g:1304053
’Nlep	id=g:1304054
’Nlangkaw	id=g:1304055
’Nlam Ga	id=g:1304056
’Nkup Bum	id=g:1304057
Nkrutkru	id=g:1304058
’Nkrungtu	id=g:1304059
’Nkring Hka	id=g:1304060
’Nkrang Hka	id=g:1304061
N’kongkrung	id=g:1304062
’Nkoi	id=g:1304063
Nknum	id=g:1304064
’Nkim	id=g:1304065
Nkhok Hka	id=g:1304066
’Nkbu Hka	id=g:1304067
’Nkawng Baw	id=g:1304068
’Nkang Ga	id=g:1304069
’Nkang Bum	id=g:1304070
Njwe Ga	id=g:1304071
’Njung Ga	id=g:1304072
’Njung Ga	id=g:1304073
’Njungbum	id=g:1304074
’Njumgahtawng	id=g:1304075
Njum	id=g:1304076
Njenawng	id=g:1304077
Njawhkü Bum	id=g:1304078
’Njaw Hka	id=g:1304079
’Njaw Bum	id=g:1304080
’Njatpum	id=g:1304081
’Njang Hka	id=g:1304082
Njakawng	id=g:1304083
