Kūh-e Lāmīsh	id=g:6875556
Mazra‘eh-ye Cheh	id=g:6914079
Qāsemābād	id=g:6914080
Sorkhābād	id=g:6914081
Tall-e Sorkh	id=g:6914082
Hāshemābād	id=g:6914083
‘Elīyeh	id=g:6914084
Āb Zanīyeh	id=g:6914085
‘Abbāsābād	id=g:6914086
Khūnīyehcheh	id=g:6914087
Ḩojjatābād	id=g:6914088
Jazlā	id=g:6914089
Hemmatābād	id=g:6914090
Ḩasanābād	id=g:6914091
Mazra‘eh-ye Seyyed	id=g:6914092
Fīrūzābād	id=g:6914093
Par Kūh	id=g:6914094
Gālīcheh	id=g:6914095
San Jow	id=g:6914096
Armūdcheh	id=g:6914097
Mālgeh	id=g:6914098
Ḩoseynābād	id=g:6914099
Zamānābād	id=g:6914100
Manshūrābād	id=g:6914101
Hāmūnābād	id=g:6914102
Deh Kīl	id=g:6914103
Chehel Kūh	id=g:6914104
Hāshemābād	id=g:6914105
Mazra‘eh Sepīdār	id=g:6914106
Chīr	id=g:6914107
Cheshmeh Sorkh	id=g:6914108
Ţeh Armād	id=g:6914109
Darreh Gol	id=g:6914110
Ḩasanābād	id=g:6914111
Margh-e ‘Olyā	id=g:6914112
Kūh-e Bīdlarzeh	id=g:6914113
Khāneh Qūch	id=g:6914114
Nūrābād	id=g:6914115
Sorkhī	id=g:6914116
Ḩeydarābād	id=g:6914117
Mehdīābād	id=g:6914118
Shāhrūd	id=g:6914119
Qāderī	id=g:6914120
Sorkhābād	id=g:6914121
Mellat	id=g:6914122
Ja‘farābād	id=g:6914123
Sefīdār	id=g:6914124
Ja‘farābād	id=g:6914125
Chāh-e Ḩājjī ‘Abdollāh	id=g:6914796
Chāh-e Shahr Ābī	id=g:6915054
Seyyed Kamāl od Dīn Ḩoseyn	id=g:6915055
Emāmzādeh Seyyed Abū Ţāleb	id=g:6915056
Ja‘farābād	id=g:6915057
Seh Dokhtarān	id=g:6915058
Kal Cheshmeh	id=g:6915059
Emāmzādeh ‘Abdollāh	id=g:6915060
Tūrzan-e Kohneh	id=g:6915061
Jalālābād	id=g:6915062
Ḩoseynābād	id=g:6915063
Taqīābād	id=g:6915064
Seh Bīyeh Bīchī	id=g:6915065
Kaftār Kūh	id=g:6915066
Faraḩābād	id=g:6915067
Kūh-e Faraḩābād	id=g:6915068
Zeyn ol ‘Ābedīn	id=g:6915069
‘Abbāsābād	id=g:6915070
Bāgh-e Amīrīyeh	id=g:6915071
Najafābād	id=g:6915072
Yahyáābād	id=g:6915073
Kūh-e Khersak	id=g:6915074
Kūh-e Dowshoghāleh	id=g:6915075
Sorkh Cheshmeh	id=g:6915076
Khānābād	id=g:6915077
Faraḩābād	id=g:6915078
Kāfar Kūh	id=g:6915079
Īrān Shekan	id=g:6915080
Mazra‘eh Seyyed	id=g:6915081
Manşūrīyeh	id=g:6915082
Kūh-e Kalūdseh	id=g:6915083
Kūh-e Kalanjī	id=g:6915084
Shīr Kūh	id=g:6915085
Şādeqābād	id=g:6915086
Shīr Kūh	id=g:6915087
Zeynalābād	id=g:6915088
Balkh	id=g:6915089
Ḩeydarābād	id=g:6915090
Kachalābād	id=g:6915091
Mehdīābād	id=g:6915092
Kūh-e Chāl Bīd	id=g:6915093
Mazra‘eh-ye Bālā	id=g:6915094
Zerā‘at	id=g:6915095
Mazra‘eh-ye Pashmī	id=g:6915096
Band Pahneh	id=g:6915097
Solţānīyeh	id=g:6915098
Chāh Gonbad-e Bālā	id=g:6915099
Mazra‘eh-ye Moḩammad Āqā Ḩesābī	id=g:6915100
Chāl Bīd	id=g:6915101
Raseh-ye Bālā	id=g:6915111
Raseh Kamān	id=g:6915112
Reẕā Qolī	id=g:6915113
Behīyeh	id=g:6915114
Kūh-e Ben Z̄̄̄āghel	id=g:6915115
‘Alīābād	id=g:6915116
Kūh-e Kapeh Behīyeh	id=g:6915117
Behīyeh	id=g:6915118
Gaz Lā Cheh	id=g:6915119
Gaz Lā	id=g:6915120
Ḩoseynābād	id=g:6915121
Ḩoseynābād	id=g:6915122
Chāh-e Varband	id=g:6915123
Mazra‘eh-ye Ḩājj ‘Alī Moḩammad	id=g:6915124
Chāh Kolūkhī	id=g:6915125
Chāh-e Sorkh	id=g:6915126
Chāh-e Shūrak	id=g:6915127
Chāh Barzegar	id=g:6915128
Chāh Ashkoft	id=g:6915129
Sanqor	id=g:6915130
Emāmzādeh Seyyed Dārā Moḩammad Ḩoseyn	id=g:6915131
Kūh-e Leh	id=g:6915132
Kūh-e Shāh Qolī	id=g:6915133
Akbarābād-e Lāshāneh	id=g:6915134
Ḩasanābād	id=g:6915135
Kūh-e Hūsh	id=g:6915136
Sīāhābād	id=g:6915137
Ebrāhīmābād	id=g:6915138
Khar Takū	id=g:6915139
Mazra‘eh-ye Moḩammad Khān	id=g:6915140
Barakī	id=g:6915141
Mozdābādū	id=g:6915142
Emāmzādeh Hāshem va Ḩamzeh	id=g:6915143
Hākātchī	id=g:6915144
Ḩojjatābād	id=g:6915145
Mīr Panj	id=g:6915146
Mārkū	id=g:6915147
Mazra‘eh-ye Morghīyeh	id=g:6915148
Mazra‘eh-ye Ḩoseyn Khān	id=g:6915149
Mazra‘eh-ye Char	id=g:6915150
Ebrāhīmābād	id=g:6915151
Qolleh-ye Māhān	id=g:6915152
Īrān Shekan	id=g:6915153
Ḩoseynābād-e Kohneh	id=g:6915154
Naşrābād	id=g:6915155
Ḩasanābād	id=g:6915156
‘Abbāsābād	id=g:6915157
Solţān Moḩammad	id=g:6915158
Deh Now	id=g:6915159
Meskeleh	id=g:6915160
Shīrīn Āb	id=g:6915161
Emāmzādeh Bābā Aḩmad	id=g:6915162
Kūh-e Zarrīn	id=g:6915163
Mazra‘eh-ye Chī	id=g:6915164
Maqbareh-ye Solţān Bābānūsh	id=g:6915165
Feyẕābād	id=g:6915166
Jūjūīyeh	id=g:6915167
Seyyedābād	id=g:6915168
Ḩasanābād	id=g:6915169
Nāşerīyeh	id=g:6915170
Amīrābād	id=g:6915171
Qal‘eh-ye Allāhābād	id=g:6915172
Sheykh Rajab	id=g:6915173
Javādābād	id=g:6915174
Bīābān-e Sefīd	id=g:6915175
Āb Anbār-e Abāzar	id=g:6915176
Moḩammad Karīm	id=g:6915177
Emāmzādeh Sām va Lām	id=g:6915178
Karīmābād	id=g:6915179
Akbarābād	id=g:6915180
Nīk	id=g:6915181
Şowlatābād	id=g:6915182
Ḩoseynābād	id=g:6915183
Kālsū	id=g:6915184
Manz̧arīyeh	id=g:6915185
Sohrābīyeh	id=g:6915186
Raḩmatābād	id=g:6915187
Ḩeydarābādchī	id=g:6915188
Gūreh	id=g:6915236
Ma‘dan-e Chīkābū	id=g:6915237
Ḩowẕ-e Ḩājj Solţān	id=g:6915238
Daqq-e Sīāh	id=g:6915239
Dashtīābād	id=g:6915240
Raḩīmābād	id=g:6915241
‘Abāsābād	id=g:6915242
Kūh-e Do Shākh	id=g:6915323
Kāfar Kūh	id=g:6915400
Hamvār Bāghū-ye Shāhneshīn	id=g:6915401
Chāh-e Gorg	id=g:6915402
Shekasteh-ye Chakhmāqīyeh	id=g:6915403
Shekasteh-ye ‘Arabīyeh	id=g:6915404
Gomrok-e Lāvān	id=g:6915537
Bānd-e Forūdgāh-e Lāvān	id=g:6915538
Sheykh Ḩasan	id=g:6915539
Rūdkhāneh-ye Khvor	id=g:6915540
Khalīj-e Fārs	id=g:6915989
Ḩelleh	id=g:6915990
Faflī	id=g:6915991
Gūseh	id=g:6915992
Hendeh	id=g:6915993
Deh Rīz	id=g:6915994
Rīg-e Chāh Mīsh Mast	id=g:6915998
Shūr Āb	id=g:6915999
Rīg-e Chāh Qerqereh	id=g:6916050
Chāh-e Qerqereh	id=g:6916051
Kūh-e Cheshmeh-ye Karīm	id=g:6916052
Kūh-e Ţalḩeh	id=g:6916053
Hamvār Bāghū-ye Shāh Neshīn	id=g:6916054
Kūh-e Dam Dozdān	id=g:6916055
Kūh-e Tāk	id=g:6916056
Cheshmeh-ye Karīm	id=g:6916057
Rūdkhāneh-ye Vargī	id=g:6916058
Sāyebān	id=g:6916059
Shekasteh ‘Arabīyeh	id=g:6916060
Kūh-e Malekābād	id=g:6916061
Rīg-e Ţalḩeh	id=g:6916062
Ma‘dan-e Bārīt	id=g:6916063
Kūh-e Nakhjīr	id=g:6916064
Cheshmeh-ye Nakhjīr	id=g:6916065
Cheshmeh-ye Malekābād	id=g:6916066
Pāsgāh-e Shekārbānī-ye Malekābād	id=g:6916067
Rūdkhāneh-ye Shūt	id=g:6916068
Chāh-e Mīsh Mast	id=g:6916069
Kat-e Shomālī	id=g:6916229
Kat-e Mīāneh	id=g:6916230
Kat-e Kūshī	id=g:6916231
Mehrābād	id=g:6916232
Zīāratgāh-e Bī Bī Shīrīn	id=g:6916233
Zīāratgāh-e Shāh ‘Alī Akbar	id=g:6916234
Bardan	id=g:6916235
Āvkhvodan	id=g:6916236
Shekardan	id=g:6916237
Barfī	id=g:6916238
Kūh-e Shekardān	id=g:6916239
Zīāratgāh-e Pīr-e Shahīd	id=g:6916240
Qāsem Moḩammad Qāsemī	id=g:6916241
Zīāratgāh-e Ḩāmed	id=g:6916242
Ra’īsī	id=g:6916243
Fīrūzābād	id=g:6916244
Koreh Mūchī	id=g:6916245
Kākūlī	id=g:6916246
Zīāratgāh-e Mīr Malek Ḩasan	id=g:6916247
Zīāratgāh-e Pīr ‘Alī	id=g:6916248
Zīāratgāh-e Sheykh ‘Abd ol Ḩoseyn	id=g:6916249
Jarrī	id=g:6916250
Zīāratgāh-e Sheykh Şāleḩ	id=g:6916251
Zīāratgāh-e Sheykh ‘Abd Oz̧ Z̧īm	id=g:6916252
Zīāratgāh-e Ebrāhīm	id=g:6916253
Seh Tonbak	id=g:6916254
Zīāratgāh-e Seyyed Kāz̧em	id=g:6916255
Zīāratgāh-e Seyyed ‘Abbās	id=g:6916256
Cheshmeh-ye Ābegarm	id=g:6916257
Zīāratgāh-e Bī Bī Bānū	id=g:6916258
Kordan Koreh Zār	id=g:6916259
Zīāratgāh-e Shāh-e Gheyb	id=g:6916260
Kat-e Shūrekān	id=g:6916261
Zīāratgāh-e Shāh Naşrollāh	id=g:6916262
Zīāratgāh-e Sheykh ‘Āmer	id=g:6916263
Ḩājjīābād	id=g:6916264
Zīāratgāh-e Shāh ‘Abbāsābād	id=g:6916265
Zīāratgāh-e Seyyed Jamāl od Dīn	id=g:6916266
Pāsgāh-e Entez̧āmī-ye Tall Taleh-ye Bīram	id=g:6916267
Pīral	id=g:6916268
Pā’īn Ertebāţ	id=g:6916269
Pāryūshūr Bīram	id=g:6916270
Deh Now-ye Pā’īn	id=g:6916271
Farajābād	id=g:6916272
Deh-e ‘Abdollāh	id=g:6916273
Kahnow	id=g:6916274
Zīāratgāh-e Mīr ‘Abbās	id=g:6916275
Koreh Āqā’ī	id=g:6916276
Koshkūh	id=g:6916277
Pīr	id=g:6916278
Dehnow Damītar-e Shomālī	id=g:6916279
Dehnow Damītar	id=g:6916280
Yard-e Mollā Ḩasan	id=g:6916281
Dehnow Damītar-e Jonūbī	id=g:6916282
Chahvār	id=g:6916283
Kūh-e Navā	id=g:6916284
Qal‘eh-ye Sheykh	id=g:6916285
Pīr Gheyb	id=g:6916286
Tang Khvor	id=g:6916287
Pangarū	id=g:6916288
Zīāratgāh-e Mīr ‘Abbās	id=g:6916289
Zīāratgāh-e Shāh Mardān	id=g:6916290
Zīāratgāh-e Shāh Esmā‘īl	id=g:6916291
Zīāratgāh-e Pīr Mūsá	id=g:6916292
Khasht	id=g:6916293
Bardeshkān	id=g:6916294
Zīāratgāh-e Mīr Naşr od Dīn Shāh	id=g:6916295
Lāvar Khesht	id=g:6916296
Lāvar Khesht	id=g:6916297
Lāvar Khesht-e Shomālī	id=g:6916298
Lāvar-e Sharqī	id=g:6916299
Zīāratgāh-e Zīāratū	id=g:6916300
Baran	id=g:6916301
Pāsgāh-e Nīrūhā-ye Entez̧āmī-ye Lāvar Chahū	id=g:6916302
Ḩowẕū	id=g:6916303
Ḩājjīābād	id=g:6916304
Rostamābād	id=g:6916305
Chīklū	id=g:6916306
Basravī	id=g:6916307
Bāghestān	id=g:6916308
Qāsemābād	id=g:6916309
Pīshū	id=g:6916310
Kūh-e Būdmār	id=g:6916311
Kūh-e Shīrīnū	id=g:6916312
Chek Chek	id=g:6916313
Pāsgāh-e Entez̧āmī-ye Nīram	id=g:6916314
Shāh Nūrollāh	id=g:6916515
Ḩājjīābād-e Mallū	id=g:6916516
Fīrūzābād-e Zanganeh	id=g:6916517
Tang Mallū	id=g:6916518
Tang Lashgūn	id=g:6916519
Pīr Zīārat	id=g:6916520
Tang Tarmān	id=g:6916521
Tang Fūmestān	id=g:6916522
Chāh Kamālā	id=g:6916523
Emāmzādeh Seyyed ‘Īsá	id=g:6916524
Nīrā’ī-ye Bālā	id=g:6916525
Aḩmadābād	id=g:6916526
Chāh ‘Alī	id=g:6916527
Ābshūlī	id=g:6916528
Qal‘eh-ye Ra’īs Moḩammad	id=g:6916529
Chāh Ḩājjī Abūl	id=g:6916530
‘Alīābād-e Jowharī	id=g:6916531
Nīrā’ī-ye Pā’īn	id=g:6916532
‘Abbāsābād	id=g:6916533
Ţalāyeh	id=g:6916534
Ḩasanābād-e Tarmān	id=g:6916535
Ḩasanābād-e Tarmān	id=g:6916536
Emāmzādeh ‘Abbās	id=g:6916537
Emāmzādeh Seyyed Ḩoseyn	id=g:6916538
Sharīfābād	id=g:6916539
Qal‘eh-ye Zā’er Esmā‘īl	id=g:6916540
Khūnjū	id=g:6916541
Kalāt	id=g:6916542
Emāmzādeh Seyyed Ḩoseyn	id=g:6916543
Ākhāhā	id=g:6916544
Solţān Moḩammad	id=g:6916545
Tang Dahū	id=g:6916546
Kūh-e Varāvī	id=g:6916547
Bāgh-e Bālā	id=g:6916548
Kūh-e Sorūḩ-e Dīvānī	id=g:6916549
Kūh-e Dowmanī	id=g:6916550
Charzān	id=g:6916551
Forūdgāh-e Lāmerd	id=g:6916552
Khandaq	id=g:6916553
Ḩoseynābād-e Khosravī	id=g:6916554
‘Ādelābād	id=g:6916555
Kūshk	id=g:6916556
Dehnow-ye Hīkalī	id=g:6916557
Shāh Ḩoseyn	id=g:6916558
Qoţb od Dīn	id=g:6916559
Qal‘eh-ye Asad	id=g:6916560
Qal‘eh-ye Mollā	id=g:6916561
Shahrak-e Valī-ye ‘Aşr	id=g:6916562
Beyt ol ‘Abbās	id=g:6916563
Konārak	id=g:6916564
Bārīkū	id=g:6916565
Chāh Now-ye ‘Olyā	id=g:6916566
Tarpeh’ī	id=g:6916567
Kal Moḩsenī	id=g:6916568
Qal‘eh Barānshū’ī	id=g:6916569
Mollā’ī	id=g:6916570
Shāh Pīr-e Gheyb	id=g:6916571
Chāh Qā’edī	id=g:6916572
Chāh Ra’īsī	id=g:6916573
Kūh-e Qebleh’ī	id=g:6916574
Fāryābū	id=g:6916575
Kūh-e Sīāh	id=g:6917603
Khāneh Aḩmadī	id=g:6917604
Kūrakī	id=g:6917605
Kūrakī-ye Bīd Zard	id=g:6917606
Dasht Lūzdīyeh	id=g:6917607
Kūh-e Kalāt Garbeh	id=g:6917608
Kūh-e Lītī	id=g:6917609
Dasht Bīkhvoy	id=g:6917610
Kūh-e Dīdeh Bān-e Bālā	id=g:6917611
Kūh-e Dīdeh Bān-e Pā’īn	id=g:6917612
Zīāratgāh-e Pīr-e Khandān	id=g:6917613
Zīāratgāh-e Sheykh Sho‘eyb	id=g:6917614
Zīāratgāh-e Sheykh Dānīāl	id=g:6917615
Chehel Gazī	id=g:6917616
Maz Kūh	id=g:6917617
Tang Hanā	id=g:6917618
Khorā	id=g:6917619
Melk-e Ḩoseynī	id=g:6917620
Tall Qanbarī	id=g:6917621
Shāhzādeh Ebrāhīm	id=g:6917622
Emāmzādeh Ḩājjī Zendān	id=g:6917623
Pīr-e Kalāt	id=g:6917624
Mārī	id=g:6917625
Chāh Charmī	id=g:6917626
Shāh Sardār	id=g:6917627
Manzelū	id=g:6917628
Nārenjī	id=g:6917629
Daftar-e Mokhāberātī-ye Gahlū	id=g:6917630
Chāh Langeh	id=g:6917631
Golzār-e Shohadā	id=g:6917632
Emāmzādeh Shāh Mard-e Khodā	id=g:6917633
Chāh Pūk	id=g:6917634
Maqbareh-ye Ḩājjī Seyyed Bāqer-e Mūsavī	id=g:6917635
Emāmzādeh Ḩājjī Seyyed Khalīl	id=g:6917636
Emāmzādeh Jebrā’īl	id=g:6917637
Emāmzādeh Shāh Moḩammad	id=g:6917638
Gowd-e Begūr	id=g:6917639
Zīāratgāh-e Shāh ‘Abd ol ‘Az̧īm	id=g:6917640
Emāmzādeh Mīr Aḩmad	id=g:6917641
Chāh Malek	id=g:6917642
Rūdkhāneh-ye Khalīlī	id=g:6917643
Rūgīr-e Mashhadī	id=g:6917644
Emāmzādeh Seyyed ‘Abd or Raḩīm	id=g:6917645
Emāmzādeh Seyyed Ḩājjī	id=g:6917646
Maqbareh-ye Seyyed Nūr od Dīn	id=g:6917647
Emāmzādeh Solţān Shāh Qāẕī	id=g:6917648
Emāmzādeh Gol ‘Alī	id=g:6917649
Gozīvar	id=g:6917650
Chāh Shomāl	id=g:6917651
Tū Kūh	id=g:6917652
Zangūyeh	id=g:6917653
Shahrak-e Jadīd-e Mahmeleh	id=g:6917654
Feyẕābād	id=g:6917655
Mīnā	id=g:6917656
Chāh-e Mīnā	id=g:6917657
Chāh Mīnā	id=g:6917658
Shāh Kamāl	id=g:6917659
Kheyrābād	id=g:6917660
Khān Bāqī	id=g:6917661
Fārīāb	id=g:6917662
Rūdkhāneh-ye Āsīāb	id=g:6917663
Kūh-e Sīāh	id=g:6917664
Dasht-e Bārūs	id=g:6917665
Tang Rū’īn	id=g:6917666
Bāgh-e Şaḩrā’ī	id=g:6917667
Kūh-e Helīgān	id=g:6917668
Tang Rūdar	id=g:6917669
Band Bast-e Soflá	id=g:6917670
Band Bast-e ‘Olyā	id=g:6917671
Berkeh-ye Sefīd	id=g:6917672
Khvordeh Darreh	id=g:6917673
Chameh-ye Sabz	id=g:6917674
Mojtame‘-e Shīr va Gūsht-e Jonūb	id=g:6917675
Tūl Ḩeydarī	id=g:6917676
Kūh-e Karbāsī	id=g:6917677
Cheshmeh-ye Ābgarm	id=g:6917678
Bārūs	id=g:6917679
Kūhakī	id=g:6917680
Kūhakī	id=g:6917681
Shāh Gheyb	id=g:6917682
Kūh-e Āspār	id=g:6917683
Kalāt-e Āsīāb Bādī	id=g:6917684
Qal‘eh-ye Posht-e Band	id=g:6917685
Tang Ḩammāmī	id=g:6917686
Ḩammāmī	id=g:6917687
Darāvandī	id=g:6917688
Cheshmeh-ye Shūr	id=g:6917689
Chāh Zāl	id=g:6917690
Tang-e Qūch	id=g:6917691
Kūh-e Shahrestān-e Ḩammāmī	id=g:6917692
Shāh Abū ol Qāsem	id=g:6917693
Seyyed Morteẕá	id=g:6917694
Emāmzādeh Bashīr	id=g:6917695
Shahrestān-e Ḩammāmī	id=g:6917696
Rūdkhāneh-ye Qarah Āqāj	id=g:6917697
Shāh Shokrollā	id=g:6917698
Shāhzādeh Ebrāhīm	id=g:6917699
Lāghar	id=g:6917700
Makūyeh	id=g:6917701
Jahreh	id=g:6917702
Chāh Mārū	id=g:6917703
Emāmzādeh Esmā‘īl	id=g:6917704
Shahrak-e Shahīd Chamrān	id=g:6917705
Shāh Abū ol Qāsem	id=g:6917706
Emāmzādeh Seyyed Moḩammad	id=g:6917707
Qīr	id=g:6917708
Khvosh Āb	id=g:6917709
Shāh Shams od Dīn Ebn-e Aḩmad	id=g:6917710
Shāhzādeh Ebn-e Mūsá Kāz̧em	id=g:6917711
Gowd Kenārī	id=g:6917712
Gowd-e Gorāzī	id=g:6917713
Emāmzādeh Hāshem	id=g:6917714
Chemeh Derāz	id=g:6917715
Seyyed Pīrī	id=g:6917716
Kūh-e Chahār Zendān	id=g:6917717
Dowtū Laghaz	id=g:6917718
Qelāt	id=g:6917719
Emāmzādeh Seyyed Ḩasan	id=g:6917720
Zīr Gūn	id=g:6917721
‘Alīābād-e Bahman	id=g:6917722
Sabz Pūsh	id=g:6917723
Bayān	id=g:6917724
Solţān Shāh Ḩoseyn	id=g:6917725
Pedam	id=g:6917726
Shūlī	id=g:6917727
Pūzeh-ye Hezār Qadamī	id=g:6917728
Āb Bād	id=g:6917729
Berīkhūn	id=g:6917730
Kūh-e Āb Bād	id=g:6917731
Shahrak-e Band Bast	id=g:6917732
Band Bast	id=g:6917733
Nīmdeh	id=g:6917734
Barekeh	id=g:6917735
Gowdbezan	id=g:6917967
Kal Khūnkū	id=g:6917968
Kal Khūnkū	id=g:6917969
Shāhzādeh Moḩammad	id=g:6917970
Khāvarān	id=g:6917971
Tall-e Manşūrābād	id=g:6917972
Pīr-e Sabzpūsh	id=g:6917973
Qal‘eh Kohneh	id=g:6917974
Sādāt-e Nūr Moḩammad	id=g:6917975
Pīr-e Ebrāhīm	id=g:6917976
Bī Bī Bānū	id=g:6917977
Ghār-e Tādavān	id=g:6917978
Bī Bī Seh Ma‘şūmeh	id=g:6917979
Emāmzādeh Ţāher	id=g:6917980
Kūrsholī	id=g:6917981
Kūrsholī	id=g:6917982
Seh Talān	id=g:6917983
Emāmzādeh Ḩoseyn	id=g:6917984
Baghal Sīāh	id=g:6917985
Seh Chāh	id=g:6917986
Chāh Anjīr	id=g:6917987
Pāsgāh-e Entez̧āmī-ye Sangar Khvozī	id=g:6917988
Borj Sorkh	id=g:6917989
Būsneh	id=g:6917990
Kam Cheh Gol	id=g:6917991
Chāh Chātīkī	id=g:6917992
Chāh Zangūyeh	id=g:6917993
Kūh-e Kor	id=g:6917994
Kūh-e Bādāmī	id=g:6917995
Tang Beh Dūneh	id=g:6917996
Mīrchekī	id=g:6917997
Bast Bāgh	id=g:6917998
Naz̧arābād	id=g:6917999
Par Āhū	id=g:6918000
Par Āhū	id=g:6918001
Tang Ghūl	id=g:6918002
Sangar Khvorī	id=g:6918003
Kārvānsarā-ye Shāh ‘Abbāsī	id=g:6918004
Cherāghbeygī	id=g:6918005
Naz̧arābād	id=g:6918006
Borj Khānkaram	id=g:6918007
Eqbālābād	id=g:6918008
Shāhzādeh Ḩasan	id=g:6918009
Dashtak	id=g:6918010
Tang Sīāh	id=g:6918011
Shāh Nūr od Dīn	id=g:6918012
Seyyed Ḩājjī Ḩoseyn	id=g:6918013
Shāh Jalāl od Dīn	id=g:6918014
Pīr-e Gheyb	id=g:6918015
Shāh-e Gheyb	id=g:6918016
Shāh Ţalā	id=g:6918017
Seyyed Moḩammad	id=g:6918018
Seyyed ‘Abd ol Vahhāb	id=g:6918019
Zīāratgāh-e Shāh Moḩīţ	id=g:6918020
Shāh Moḩīţ	id=g:6918021
Kūh-e Par Sholdān	id=g:6918022
Āqā Shahīd	id=g:6918023
Shāh Feyẕollāh	id=g:6918024
Dast-e Kheẕr	id=g:6918025
Shāghūn	id=g:6918026
Āqā Shahīd	id=g:6918027
Tall Bād	id=g:6918028
Seyyed Qāsem	id=g:6918029
Pīr Anjīreh	id=g:6918030
Shāh Taslīm	id=g:6918031
Qal‘eh-ye Ḩasanābād	id=g:6918032
Şāleḩ od Dīn	id=g:6918033
Āqā Shahīd	id=g:6918034
Seyyed Moḩammad	id=g:6918035
Shāhzādeh Ebrāhīm	id=g:6918036
Pīr-e Bozorg	id=g:6918351
Shāh Şafī	id=g:6918352
Shāhzādeh Moḩammad	id=g:6918353
Manţaqeh-ye Keshāvarzī-ye Amīr Sālārī	id=g:6918354
Amīr Sālārī	id=g:6918355
Amīr Sālārī	id=g:6918356
Seyyed Mīrzā Abū ol Qāsem	id=g:6918357
Kūh-e Sūr	id=g:6918358
Hezārgūn	id=g:6918359
Shāhzādeh ‘Azīzollāh	id=g:6918360
Qal‘eh Bārūs	id=g:6918361
Cheshmeh-ye Batū	id=g:6918362
Lah-e Z̧ohr	id=g:6918363
Cheshmeh-ye Āb Cherang	id=g:6918364
Qal‘eh-ye Jāmāsb	id=g:6918365
Seyyed Nūr Moḩammad	id=g:6918366
Shāhzādeh Ebrāhīm	id=g:6918367
Shāhzādeh Abū ol Qāsem	id=g:6918368
Seyyed ‘Alī	id=g:6918369
Pīr-e Ebrāhīm	id=g:6918370
Āb Katān	id=g:6918371
Kafeh	id=g:6918372
Chāh Gaz	id=g:6918373
Shīb Dozd	id=g:6918374
Bāgh-e Nabīr	id=g:6918375
Bī Bī Dokhtarān	id=g:6918376
Barm Āb Tab	id=g:6918377
Barm Āb Bat	id=g:6918378
Emāmzādeh Ḩoseyn	id=g:6918379
Kūh-e Gar	id=g:6918380
Sar Ney	id=g:6919629
Kalpūreh	id=g:6919630
Kūh-e Mīj	id=g:6919631
Ganātū	id=g:6919632
Eslāmābād	id=g:6919633
Ḩājjīābād	id=g:6919634
Tang-e Darbīdān	id=g:6919635
Darreh-ye Bondar-e Bālā	id=g:6919636
Kūh-e Bondar-e Bālā	id=g:6919637
Mordān-e ‘Olyā	id=g:6919638
Jadd-e Bābā Gar Gandī	id=g:6919639
Emāmzādeh Bī Bī ‘Alī	id=g:6919640
Emāmzādeh Morteẕá ‘Alī	id=g:6919641
Gargand-e Pā’īn	id=g:6919642
Gargand-e Bālā	id=g:6919643
Emāmzādeh Reẕā	id=g:6919644
Posht Band	id=g:6919645
Esmā‘īlābād	id=g:6919646
Qadamgāh-e Ḩaẕrat-e Abū ol Faẕl	id=g:6919647
Sar Nesā’	id=g:6919648
Bī Bī Zahrā	id=g:6919649
Pāsgāh-e Entez̧āmī-ye Rūdāb-e Gharbī	id=g:6919650
Emāmzādeh Davāzdahom	id=g:6919651
Bāgh-e Bongā	id=g:6919652
Āb-e Rūd Āb	id=g:6919653
Now	id=g:6919654
Ebrāhīmābād	id=g:6919655
Kūh-e Rajūgān	id=g:6919875
Karrū	id=g:6919876
Dehnow	id=g:6919877
Do Rūdkhāneh’ī	id=g:6919878
Kūh-e Chepeshk	id=g:6919879
Kūh-e Qansāq	id=g:6919880
Kūh-e Dar Gargarlān	id=g:6919881
Kūh-e Mīānmerī	id=g:6919882
Kūh-e Lor Dakhrān	id=g:6919883
Kūh-e Godār Dūrāhān	id=g:6919884
Kūh-e Mīshk	id=g:6919885
Rūdkhāneh-ye Anārakī	id=g:6919886
Kūh-e Kam Shād	id=g:6919887
Kūh-e Āb Gīsh	id=g:6919888
Kūh-e Dar Garlān	id=g:6919889
Rūdkhāneh-ye Darreh Palangān	id=g:6919890
Kūh-e Yafkī	id=g:6919891
Nīstān	id=g:6919892
Sadd-e Narmāshīr	id=g:6919893
Kūh-e Godār Tabarkon	id=g:6919894
Kūh-e Dar Ţāq	id=g:6919895
Eskambolī	id=g:6919896
Parmag	id=g:6919897
Parmag-e Bālā	id=g:6919898
Kūh-e Taghār-e Fārsī	id=g:6919899
Kūh-e Tem	id=g:6919900
Rūdkhāneh-ye Derow	id=g:6919901
Rūdkhāneh-ye Dehdarak	id=g:6919902
Kūh-e Dorīn	id=g:6920287
Antārak	id=g:6920288
Bāgh-e Shekār	id=g:6920289
Rūdkhāneh-ye Desk	id=g:6920290
Rūdkhāneh-ye Rūdmadān	id=g:6920291
Rūdmadān	id=g:6920292
Poshteh Kārūn	id=g:6920293
Desk	id=g:6920294
Poshteh Shāhī	id=g:6920295
Āb Garmū	id=g:6920296
Āsīāb Mīr Nāşer	id=g:6920297
Kūh-e Gat Qanbar	id=g:6920298
Gomrokān	id=g:6920299
Ḩaẕrat-e Amīr	id=g:6920300
Kūh-e Pā Tall	id=g:6920301
Qadamgāh-e Abū ol Faẕl	id=g:6920302
Āhangarān	id=g:6920303
Kūh-e Dandelū	id=g:6920304
Tang-e Ābnāz	id=g:6920305
Kīsh Tūy	id=g:6920306
