Mofraa	id=g:166849
Maar Deftîne	id=g:167625
Ma‘arbūnah	id=g:167626
Ma‘ārat al Muslimīyah	id=g:167627
Ma‘ārat al Khāsikah	id=g:167628
Ma‘ārat al Awliyā’	id=g:167629
Jabal Maar	id=g:167630
Wādī Maani	id=g:167631
Arḑ Ma‘ān	id=g:167632
Ma‘ān	id=g:167633
Mā’ al Khanādiq	id=g:167634
Mā’ al Fayḑāt	id=g:167635
Ma‘agan	id=g:167636
Wādī al Luwayzah	id=g:167637
Luwaybidah al Gharbīyah	id=g:167638
Khirbat Luwaybidah	id=g:167639
Bi’r Luwaybidah	id=g:167640
Luwaybidah	id=g:167641
Luwaybidah	id=g:167642
Luwaybidah	id=g:167643
Luwaybidah	id=g:167644
Luqmānah	id=g:167645
Luqayţah	id=g:167646
Wādī al Lūqah	id=g:167647
Lūlīyah	id=g:167648
Luksīn	id=g:167649
Luksīn	id=g:167650
Wādī Lūf	id=g:167651
Wādī Lūf	id=g:167652
Lūf	id=g:167653
Lūdah	id=g:167654
Lubbayn	id=g:167655
Jubb al Lū	id=g:167656
Wādī al Liwā’	id=g:167657
Wādī Liwā’	id=g:167658
Liftāyā	id=g:167659
Līfīn	id=g:167660
Wādī Lemnar	id=g:167662
Lazzāqah	id=g:167663
Layţar	id=g:167664
Laysūnah	id=g:167665
Tall Laymūn	id=g:167666
Jabal Laylūn	id=g:167667
Jabal al Laylī	id=g:167668
Tall Laylān	id=g:167669
Laylān	id=g:167670
Laylak Dāgh	id=g:167671
Wādī al Lawzah	id=g:167672
Lawzah	id=g:167673
Wādī al Lawz	id=g:167674
Tall al Lawz	id=g:167675
Lāwiyah	id=g:167676
Wādī al Latoûm	id=g:167677
Tall Laţmīn	id=g:167678
Arḑ Laţmīn	id=g:167679
Laţmīn	id=g:167680
Khirbat Lâtîm	id=g:167681
Laţīfīyah	id=g:167682
Arḑ al Laţāminah	id=g:167683
Laqtah	id=g:167684
‘Ayn Lamia	id=g:167685
Lālat Muḩammad	id=g:167686
Lālā	id=g:167687
‘Ayn al Lajj ash Shamālī	id=g:167688
‘Ayn al Lajj al Qiblī	id=g:167689
Khirbat Laḩmīyah	id=g:167690
Lahlūbā	id=g:167691
Lāhithah	id=g:167692
Laḩīnah	id=g:167693
Bi’r Laḩd	id=g:167694
Wādī Laḩāyā	id=g:167695
Laḩāyā	id=g:167696
Laḩah	id=g:167697
Khirbat al Lahab	id=g:167698
Labwah	id=g:167699
Wādī Lābidah	id=g:167700
Jabal Lābidah	id=g:167701
Lābidah	id=g:167702
Lābidah	id=g:167703
Jabal La‘bī	id=g:167704
Bi’r Labḩah	id=g:167705
Tall Labbādah	id=g:167706
Wādī al Laban	id=g:167707
‘Ayn Labah	id=g:167708
Kwārū	id=g:167709
Kuwayz	id=g:167710
Kuwaytah	id=g:167711
Kuwayris Burayj al Gharbī	id=g:167712
Kuwayris ash Sharqī	id=g:167713
Kutshuk Wīrān	id=g:167714
Khirbat Kutshuk Shāhīn	id=g:167715
Tall Kutshuk Şaghīr	id=g:167716
Kutshuk Kūy	id=g:167717
Kutshuk Kūy	id=g:167718
Kutshuk Dār	id=g:167719
Kutshuk Dabīsah	id=g:167720
Tall Kutshuk	id=g:167721
Kūtiyān	id=g:167722
Kūtiyā	id=g:167723
Arḑ al Kusūr	id=g:167724
Kūsinīyā	id=g:167725
Jabal al Kushná	id=g:167726
Kushik	id=g:167727
Khirbat al Kusayfah	id=g:167728
Bi’r Kusaybān	id=g:167729
‘Ayn al Kūs	id=g:167730
Tall al Kurūm	id=g:167731
Tall Kurūm	id=g:167732
Arḑ al Kurūm	id=g:167733
Arḑ al Kurūm	id=g:167734
Kūr Udānī	id=g:167735
Kursīyān	id=g:167736
Kūrrūf	id=g:167737
Wādī al Kurr	id=g:167738
Kurnāz	id=g:167739
Kurkūr Karānjān	id=g:167740
Kurkūr Fawwāz	id=g:167741
Kurkūr az Zīrī	id=g:167742
Kurkūr al Khurj	id=g:167743
Kūrkand	id=g:167744
Kūrkaḩīyah	id=g:167745
Tulūl al Kūrīyāt	id=g:167746
Kūrīn	id=g:167747
Kūrīn	id=g:167748
Kūr Huyūk	id=g:167749
Kūr Ḩasan	id=g:167750
Kurdū	id=g:167751
Kurdīyah	id=g:167752
Kurdīs	id=g:167753
Kūr Dawshān	id=g:167754
Kūrdān	id=g:167755
Kūr Binār	id=g:167756
Kurayzū	id=g:167757
Kurayz al Wāwī	id=g:167758
Kuraymah	id=g:167759
Kurayḩah	id=g:167760
Bi’r al Kuraydī	id=g:167761
Kuray‘ al Ghazāl	id=g:167762
Kūrān	id=g:167763
Kuramāzah	id=g:167764
Kuramāzah	id=g:167765
Kūr al Jaklān	id=g:167766
Kūr ‘Alī	id=g:167767
Tall al Kunūz	id=g:167768
Kunkūrīn	id=g:167769
Kundurah	id=g:167770
Kundak Ţayyib	id=g:167771
Kundak Sa‘īd	id=g:167772
Kundak	id=g:167773
Kundak	id=g:167774
Jabal al Kunayyisah	id=g:167775
Kunayyisah	id=g:167776
Kunayyisah	id=g:167777
Khirbat Kunayfī	id=g:167778
Ra’s al Kunaydah	id=g:167779
Kummah	id=g:167780
Khirbat Kumayrī	id=g:167781
Khirbat Kumaym	id=g:167782
Kūl Tibbah	id=g:167783
Kulmīt	id=g:167784
Kūlījān	id=g:167785
Wādī al Kulaybah	id=g:167786
Kūkū	id=g:167787
Tall al Kūkh	id=g:167788
Arḑ al Kūkh	id=g:167789
Kūkh	id=g:167790
Kuim Afther	id=g:167791
Jabal Kuḩlah	id=g:167792
Tall al Khayl	id=g:167793
Jabal Kuḩaylah	id=g:167794
Kūgh ‘Ayn Fāris	id=g:167795
Kufūr aţ Ţayyibah	id=g:167796
Wādī Kufūr	id=g:167797
Kufūf al Būm	id=g:167798
Kūfī	id=g:167799
Kufayr Yābūs	id=g:167800
Kufayr	id=g:167801
Kufayr	id=g:167802
Kufayr	id=g:167803
Kudnaā	id=g:167804
Tall Kudayrān	id=g:167805
Kudayrān	id=g:167806
‘Ayn al Kubrī	id=g:167807
Kubaybāt	id=g:167808
Kubaybāt	id=g:167809
Kubār	id=g:167810
Ktélîyé	id=g:167811
Wādī Krūsā	id=g:167812
Kraysantah	id=g:167813
Wādī al Krah	id=g:167814
Wādī al Koute	id=g:167815
Wādī al Koussar	id=g:167816
Koursaâ	id=g:167817
Kouloûb Sâki	id=g:167818
Kossik	id=g:167819
Knaddah	id=g:167820
Kizirkīn	id=g:167821
Kityān	id=g:167822
Kitrīn	id=g:167823
Wādī Kissine	id=g:167824
Kissine	id=g:167825
Jabal Kisrī	id=g:167826
Kīr Zérik	id=g:167827
Kirtik	id=g:167828
Kir Sharān	id=g:167829
Kirsanlī	id=g:167830
Kirsānā	id=g:167831
Kīr Mūmān	id=g:167832
Kirmissīn	id=g:167833
Kīr Maţlū	id=g:167834
Kīr Marār	id=g:167835
Kīr Māhir	id=g:167836
Kirkūt	id=g:167837
Kīr Khālid	id=g:167838
Kīrī Zūrī	id=g:167839
Tall az Ziyārāt	id=g:167840
Kīrī Zawr al Fawqānī	id=g:167841
Kīrī Suwār	id=g:167842
Khirbat ‘Adhbān	id=g:167843
Kīrī Nāf	id=g:167844
Kirījah	id=g:167845
Kīr Ḩişār	id=g:167846
Kīr Fāris	id=g:167847
Kīrdum	id=g:167848
Kirdīwān	id=g:167849
Kīr Dāwūd	id=g:167850
Ar Rahā	id=g:167851
Kīr Bishik	id=g:167852
Kīr Bishik	id=g:167853
Kīrbishallī	id=g:167854
Kīr Béjnik Jawwānī	id=g:167855
Kīr Béjnik	id=g:167856
Kīr Ballak	id=g:167857
Kīr Balāţ	id=g:167858
Kīr Balāţ	id=g:167859
Kīrak Mūlā	id=g:167860
Kīrak	id=g:167861
Tall Kīr	id=g:167862
Kinsibbā	id=g:167863
Kinkārū	id=g:167864
Kindīsīyah	id=g:167865
Kīmīn	id=g:167866
Kīmār	id=g:167867
Kimām	id=g:167868
Kilshī Kīrān at Taḩtānī	id=g:167869
Kilmākhū	id=g:167870
Killī	id=g:167871
Kīl Kilinjah	id=g:167872
Kīkānī	id=g:167873
Tall Kiffīn	id=g:167874
Kiffīn	id=g:167875
Tall Kīdum	id=g:167876
Tall Kidkān	id=g:167877
Khabrat Kibt	id=g:167878
Jabal Kabīl	id=g:167879
Kibillī	id=g:167880
Tall al Kibdah	id=g:167881
Kibareb	id=g:167882
Khuzaymūk	id=g:167883
Khuwaytilah Taḩtānī	id=g:167884
Khuwaytilah Jiwālā	id=g:167885
Khuwaytilah Fawqānī	id=g:167886
Khuwaytilah	id=g:167887
Khuwaytilah	id=g:167888
Wādī al Khuwaynīqah	id=g:167889
Khuwayn ash Sha‘r	id=g:167890
Khuwayn al Kabīr	id=g:167891
Khuwaykhah	id=g:167892
Khuwaykhah	id=g:167893
Bi’r Khuwaybirah	id=g:167894
Khuwārāt	id=g:167895
Khūshkār	id=g:167896
Wādī Khushaybah	id=g:167897
Jabal Khushaybah	id=g:167898
Khushām	id=g:167899
Khurūs	id=g:167900
Khurnūbīyah	id=g:167901
Khūrkhūrī	id=g:167902
Wādī Khurj	id=g:167903
Wādī Khūrī	id=g:167904
Tall Khurayţah	id=g:167905
Khurayţah	id=g:167906
Khurayţah	id=g:167907
Al Khurayţah	id=g:167908
Khuraybāt Qal‘ah	id=g:167909
Khuraybāt al Khashkhāshah	id=g:167910
Wādī al Khuraybah	id=g:167911
Wādī al Khuraybah	id=g:167912
Bi’r al Khuraybah	id=g:167913
Khuraybah	id=g:167914
Khuraybah	id=g:167915
Khuraybah	id=g:167916
Jabal Khunfus	id=g:167917
Khunayz Mujādamah	id=g:167918
Khunayzīr Abū Tall	id=g:167919
Wādī Khunayzīr	id=g:167920
Wādī Khunayzīr	id=g:167921
Wādī Khunayzīr	id=g:167922
Tulūl Khunayzīr	id=g:167923
‘Ayn al Khunayzīr	id=g:167924
Khunayzīr	id=g:167925
Khunayzīr	id=g:167926
Khirbat Khunayşir	id=g:167927
Khunayfisah	id=g:167928
Khunayfis ad Dūsah	id=g:167929
Wādī Khunayfis	id=g:167930
Bi’r al Khunayfis	id=g:167931
Khunayfis	id=g:167932
Khirbat Khumaym	id=g:167933
Tall al Khūm	id=g:167934
Tall al Khūm	id=g:167935
Wādī al Khullah	id=g:167936
Tall Khudayjān	id=g:167937
Bi’r Khudayjān	id=g:167938
Wādī Khubz	id=g:167939
Khubayrāt	id=g:167940
Tall al Khreïs	id=g:167941
Khraşbū	id=g:167942
Khouâri	id=g:167943
Wādī Khunays	id=g:167944
Nahr Khneïss	id=g:167945
Shi‘b al Khizām	id=g:167946
Khiyārat Dannūn	id=g:167947
Khisfīn	id=g:167948
Khisfīn	id=g:167949
Wādī al Khirwa‘	id=g:167950
Khirbat Zaynab	id=g:167951
Khirbat Zayd	id=g:167952
Khirbat Zarbah	id=g:167953
Khirbat Yūsuf Dīb	id=g:167954
Khirbat Yabnū	id=g:167955
Khirbat ‘Uyūn	id=g:167956
Khirbat ‘Uqlah	id=g:167957
Khirbat ‘Uqlah	id=g:167958
Khirbat Ţuwayrish	id=g:167959
Khirbat Tuwaynī	id=g:167960
Khirbat Tiflah	id=g:167961
Khirbat Tīn Maḩmūd	id=g:167962
Khirbat Taqlā	id=g:167963
Khirbat Tāqīt	id=g:167964
Khirbat Tammū	id=g:167965
Khirbat Tāfit	id=g:167966
Khirbat Sūlās	id=g:167967
Khirbat Şūfīyah	id=g:167968
Wādī Khirbat Şiyāḩ	id=g:167969
Khirbat Shīḩā	id=g:167970
Khirbat Shīḩā	id=g:167971
Khirbat Shihāb	id=g:167972
Khirbat Shātī	id=g:167973
Khirbat Shaqḩab	id=g:167974
Khirbat Shanbah	id=g:167975
Khirbat Sha‘īb	id=g:167976
Khirbat Sārandah	id=g:167977
Khirbat Şaḩw	id=g:167978
Khirbat Sa‘dī	id=g:167979
Khirbat Ra’s al Wa‘r	id=g:167980
Khirbat Qawlī	id=g:167981
Khirbat Qāsim	id=g:167982
Khirbat Qarmīţ	id=g:167983
Khirbat Qarīn	id=g:167984
Khirbat Qarah Tibbah	id=g:167985
Khirbat Nūrā	id=g:167986
Khirbat Nūrah	id=g:167987
Khirbat Nāzū	id=g:167988
Khirbat Naḩīt	id=g:167989
Khirbat Nafakh	id=g:167990
Tall Khirbat Mukmān	id=g:167991
Khirbat Marjānah	id=g:167992
Khirbat Marjān	id=g:167993
Wādī Khirbat Manjawīq	id=g:167994
Khirbat Makkār	id=g:167995
Khirbat Kūy	id=g:167996
Khirbat Khurayjāt	id=g:167997
Khirbat Khedjé	id=g:167998
Khirbat Khaznah	id=g:167999
Khirbat Khawkhah	id=g:168000
Wādī Khirbat Kharbaqah	id=g:168001
Khirbat Khalīl	id=g:168002
Khirbat Khālid	id=g:168003
Khirbat Khālid	id=g:168004
Khirbat Kasīḩ	id=g:168005
Khirbat Karam	id=g:168006
Khirbat Jurnah	id=g:168007
Khirbat Judaydah	id=g:168008
Khirbat Jassah Şaghīr	id=g:168009
Khirbat Jassah	id=g:168010
Khirbat Jirm	id=g:168011
Khirbat Jammū	id=g:168012
Khirbat Jamal	id=g:168013
Khirbat Ibrāhīm	id=g:168014
Khirbat Ḩazzūr	id=g:168015
Khirbat Hayshūn	id=g:168016
Khirbat Ḩayshī	id=g:168017
Khirbat Hawās	id=g:168018
Khirbat Ḩātim	id=g:168019
Khirbat Ḩassān	id=g:168020
Khirbat Ḩannānī	id=g:168021
Khirbat Ḩamzah	id=g:168022
Khirbat Ḩamū	id=g:168023
Khirbat Ḩamū	id=g:168024
Khirbat Ḩammūd	id=g:168025
Khirbat Ḩammah	id=g:168026
Khirbat Ghāzī	id=g:168027
Maḩaţţat Khirbat Ghazālah	id=g:168028
Khirbat Ghazāl	id=g:168029
Khirbat Ghadīr	id=g:168030
Khirbat Furaysah	id=g:168031
Khirbat Fulayfil	id=g:168032
Khirbat Fāris	id=g:168033
Khirbat Faraj	id=g:168034
Khirbat Duwayzīn	id=g:168036
Khirbat Dīshū	id=g:168037
Khirbat Dalālīyah	id=g:168038
Khirbat Daghash	id=g:168039
Khirbat Bustān	id=g:168040
Khirbat Bishār	id=g:168041
Khirbat Ballah	id=g:168042
Khirbat Bajjah	id=g:168043
Khirbat Bajārīyah	id=g:168044
Rujm al Khirbat Baakar	id=g:168045
Khirbat ‘Azzī	id=g:168046
Khirbat az Zammālah	id=g:168047
Khirbat ‘Azīm	id=g:168048
Khirbat ‘Ayyāsh	id=g:168049
Khirbat ‘Awwād	id=g:168050
‘Ayn Khirbat at Tīn	id=g:168051
Khirbat at Tīn	id=g:168052
Khirbat aţ Ţayyibah	id=g:168053
Khirbat aţ Ţalā’i‘	id=g:168054
Khirbat ‘Aţshān	id=g:168055
Khirbat as Suwaydā’	id=g:168056
Khirbat as Sindiyānah	id=g:168057
Khirbat as Sindiyānah	id=g:168058
Khirbat as Sīn	id=g:168059
Khirbat as Sawdā’	id=g:168060
Khirbat as Sawdā’	id=g:168061
Khirbat as Sawdā’	id=g:168062
Wādī Khirbat ‘Assān	id=g:168063
Khirbat as Samrā’	id=g:168064
Khirbat as Sallūm	id=g:168065
Khirbat aş Şalājī	id=g:168066
Wādī Khirbat aş Şakhr	id=g:168067
Khirbat as Saëne	id=g:168068
Khirbat ‘Askar	id=g:168069
Khirbat ‘Āshūr	id=g:168070
Khirbat ash Shiyāb	id=g:168071
Khirbat ash Shaykh Ḩusayn	id=g:168072
Khirbat ash Shaykh Aḩmad	id=g:168073
Khirbat ash Shaykh	id=g:168074
Khirbat ash Shāwīsh	id=g:168075
Wādī Khirbat ash Shāţir	id=g:168076
Khirbat ash Sharqīyah	id=g:168077
Wādī Khirbat ash Shamālī	id=g:168078
Khirbat ‘Ashārī	id=g:168079
Khirbat As‘ad	id=g:168080
Khirbat ar Ruzz	id=g:168081
Khirbat ar Rūs	id=g:168082
Khirbat ar Rīḩ	id=g:168083
Khirbat ‘Ārif	id=g:168084
Khirbat ‘Arīḑah	id=g:168085
Khirbat ‘Anz	id=g:168086
Khirbat an Nazrā	id=g:168087
Khirbat an Nāşirīyah	id=g:168088
Khirbat an Na‘j	id=g:168089
Khirbat ‘Āmūdī	id=g:168090
Khirbat ‘Ammār	id=g:168091
Ḑahr Khirbat al Quşayr	id=g:168092
Tall Khirbat al Qunayţirah	id=g:168093
Khirbat al Qaţrīyah	id=g:168094
Khirbat al Qaşr	id=g:168095
Khirbat Qāḑī	id=g:168096
Khirbat al Qabw	id=g:168097
Khirbat al Qabw	id=g:168098
Wādī Khirbat al Mufaḑḑī	id=g:168099
Khirbat al Mishrāqah	id=g:168100
Khirbat al Mirdāsīyah	id=g:168101
Khirbat al Ma‘zah	id=g:168102
Khirbat ‘Allū	id=g:168103
Wādī Khirbat al Kurdī	id=g:168104
Khirbat al Kurdī	id=g:168105
Khirbat al Khūş	id=g:168106
Wādī Khirbat al Khayram	id=g:168107
Jabal Khirbat al Kanīsah	id=g:168108
Khirbat al Jubb	id=g:168109
Khirbat al Jiḩāsh	id=g:168110
Khirbat Jiḩāsh	id=g:168111
Khirbat al Jiḩāsh	id=g:168112
Khirbat al Jibāb	id=g:168113
Khirbat al Jawzīyah	id=g:168114
Khirbat al Jawz	id=g:168115
Khirbat al Ḩişān	id=g:168116
Khirbat al Ḩamām	id=g:168117
Khirbat al Ḩā’ik	id=g:168118
Khirbat al Habā’	id=g:168119
Khirbat al Ghazālah	id=g:168120
Khirbat al Ghazāl	id=g:168121
Khirbat al Faras	id=g:168122
Khirbat al Faras	id=g:168123
Khirbat al Faras	id=g:168124
Khirbat al Burj	id=g:168125
Khirbat al Bu’ayr	id=g:168126
Khirbat al Bi’r	id=g:168127
Khirbat al Bi’r	id=g:168128
Khirbat al Bighāl	id=g:168129
Bi’r Khirbat al Bazūrīyah	id=g:168130
Khirbat al Bayādir	id=g:168131
Khirbat al Baqar	id=g:168132
Khirbat al Bāgh	id=g:168133
Khirbat al Aţrāh	id=g:168134
Khirbat al ‘Arūs	id=g:168135
Khirbat al ‘Āmūd	id=g:168136
Khirbat al ‘Alī	id=g:168137
Khirbat al Akrād	id=g:168138
Khirbat al Āghā	id=g:168139
Khirbat al ‘Adas	id=g:168140
Khirbat ad Dīb	id=g:168141
Khirbat ad Dīb	id=g:168142
Khirbat adh Dhi’b	id=g:168143
Khirbat adh Dhi’ābah	id=g:168144
Khirbat ad Dunyā	id=g:168145
Khirbat ad Dulbah	id=g:168146
Khirbat ad Dajājinah	id=g:168147
Khirbat ‘Abbās	id=g:168148
Khirbat ‘Abākīyah	id=g:168149
Wādī al Khirbah	id=g:168150
Ḑahr al Khirbah	id=g:168151
Arḑ al Khirbah	id=g:168152
Ţiwāl al Khirāf	id=g:168153
Jabal al Khinzīrah	id=g:168154
Wādī al Khinzīr	id=g:168155
Wādī Khinzīr	id=g:168156
Tall Khinzīr	id=g:168157
Ra’s al Khinzīr	id=g:168158
Rām al Khinzīr	id=g:168159
Rābiyat al Khinzīr	id=g:168160
Khilfah	id=g:168161
Tall al Khiḑr	id=g:168162
Tall al Khiḑr	id=g:168163
Tall Khiḑr	id=g:168164
‘Ayn al Khiḑr	id=g:168165
Rujm al Khîda	id=g:168166
Tall Khibi	id=g:168167
Tall Khezer	id=g:168168
Wādī al Khemiri	id=g:168169
Khandaq Khelassi	id=g:168170
Ḑahr Khelassi	id=g:168171
Wādī al Khel	id=g:168172
Tall al Khel	id=g:168173
Jabal al Khel	id=g:168174
Khdallū	id=g:168175
Khbaţlis	id=g:168176
Khāzūq	id=g:168177
Jubb al Khazūm	id=g:168178
Tall Khaznah Jawwānī	id=g:168179
Tall Khaznah at Taḩtānī	id=g:168180
Khaznah Jadīdah	id=g:168181
Wādī al Khaznah	id=g:168182
Tall al Khaznah	id=g:168183
Jabal al Khaznah	id=g:168184
Bi’r al Khaznah	id=g:168185
Khaznah	id=g:168186
Khaznah	id=g:168187
Khazmah	id=g:168188
Khazīnah	id=g:168189
Wādī al Khāzim	id=g:168190
Khirbat Khazelli	id=g:168191
Khayrīyah aş Şaghīrah	id=g:168192
Khayrīyah	id=g:168193
Ra’s al Khayram	id=g:168194
Bi’r al Khayram	id=g:168195
Wādī al Khayl	id=g:168196
Bi’r al Khayl	id=g:168197
Wādī al Khaydar	id=g:168198
Tall al Khaydar	id=g:168199
Khaybak	id=g:168200
Khaybah	id=g:168201
Ţār al Khawr	id=g:168202
Khawr	id=g:168203
Shi‘b al Khawkhah	id=g:168204
Wādī Khawābī al Kharrār	id=g:168205
Khawābī	id=g:168206
Baḩrat Khātūnīyah	id=g:168207
Khātūnīyah	id=g:168208
Khātūnīyah	id=g:168209
Khātūnīyah	id=g:168210
Khātūnīyah	id=g:168211
Khātūnah	id=g:168212
Wādī Khātūn	id=g:168213
Bi’r Khātūn	id=g:168214
Jubb Khātūm	id=g:168215
Khaţţāb	id=g:168216
Khaţţāb	id=g:168217
Tall Khaţīb	id=g:168218
Tall Khaţīb	id=g:168219
Rujm al Khaţīb	id=g:168220
Qabr al Khaţīb	id=g:168221
Khaţamlū	id=g:168222
Wādī al Khatab	id=g:168223
Wādī al Khassâlâte	id=g:168224
Khāşşakī	id=g:168225
Khāşşak	id=g:168226
Tall Khassāf	id=g:168227
Khassāf	id=g:168228
Khass	id=g:168229
Nahr Khasnī	id=g:168230
Khashrashah	id=g:168231
Tall Khashm al Baghl	id=g:168232
Jabal Khashm al Baghl	id=g:168233
Khashkhāsh aş Şaghīr	id=g:168234
Khashkhāsh al Kabīr	id=g:168235
Khashkhāshah	id=g:168236
Khashkhāshah	id=g:168237
Wādī Khashīsh	id=g:168238
Wādī al Khashin	id=g:168239
Jabal Khāshīn	id=g:168240
Wādī al Khashī‘ah	id=g:168241
Khirbat Khashfah	id=g:168242
Wādī Khashabīyah	id=g:168243
Jabal Khashabīyah	id=g:168244
Wādī al Khashabī	id=g:168245
Bi’r al Khashab	id=g:168246
‘Ayn Khashab	id=g:168247
Khārūfīyah aş Şaghīrah	id=g:168248
Khārūfīyah al Kabīrah	id=g:168249
Jabal al Kharshūnah	id=g:168250
Kharsān	id=g:168251
Tall al Kharrūbah	id=g:168252
Rujm Kharrūbah	id=g:168253
Kharrūbah	id=g:168254
Kharrūbah	id=g:168255
Masīl Kharrūb	id=g:168256
Kharrārah	id=g:168257
Wādī al Kharrār	id=g:168258
Tall al Kharrār	id=g:168259
Ţāḩūn al Kharra	id=g:168260
Kharkhar	id=g:168261
Kharjīs	id=g:168262
Kharījīyah	id=g:168263
Kharījīyah	id=g:168264
Kharījat Trūdīn	id=g:168265
Kharījat Şalībah	id=g:168266
Bi’r Kharījat al Ḩawār	id=g:168267
Kharījah	id=g:168268
Kharfān	id=g:168269
Tall Khardal	id=g:168270
Rām al Khardal	id=g:168271
Nahr al Khardal	id=g:168272
Wādī Kharbaqah	id=g:168273
Wādī Kharbaqah	id=g:168274
Wādī Kharbaqah	id=g:168275
Bi’r Kharbaqah	id=g:168276
Kharbaqah	id=g:168277
Kharbaqah	id=g:168278
Kharāzah	id=g:168280
Sabkhat al Kharāyij	id=g:168281
Kharâyetch ash Chaham	id=g:168282
Jabal Kharāsh	id=g:168283
Tall al Kharā’ij	id=g:168284
Kharā’ij	id=g:168285
Kharā’ib Sālim	id=g:168286
Kharāb Zarī	id=g:168287
Khirab Suwayfāt	id=g:168288
Kharāb Shurayqī	id=g:168289
Tall Kharāb Sayyār	id=g:168290
Kharāb Şārūnj	id=g:168291
Kharāb Rūn	id=g:168292
Kharāb Rassett	id=g:168293
As Suwaydah	id=g:168294
Kharāb Rashak	id=g:168295
Kharābrash	id=g:168296
Kharāb Rakkābah	id=g:168297
Kharāb Rashak	id=g:168298
Kharāb Qūyūnjī	id=g:168299
Kharāb Nās	id=g:168300
Kharāb Mūs	id=g:168301
Kharāb Marqīyah	id=g:168302
Kharāb Māmāl	id=g:168303
Kharāb Kurd	id=g:168304
Kharāb Kurd	id=g:168305
Kharāb Khalīl	id=g:168306
Kharābisq	id=g:168307
Kharāb Ishlah	id=g:168308
Kharābishah	id=g:168309
Kharāb Burghul	id=g:168310
Kharāb Bāl	id=g:168311
Kharāb Bājār	id=g:168312
Kharāb ash Shaykh	id=g:168313
Kharāb ‘Āshiq	id=g:168314
Kharāb ‘Arnān	id=g:168315
Kharāb al Khītāzū	id=g:168316
Kharāb al Khaznah	id=g:168317
Kharābah	id=g:168318
Kharābah	id=g:168319
Kharāb ‘Abd	id=g:168320
Kharabā	id=g:168321
Tall Khaouârîte	id=g:168322
Khān Ţūmān	id=g:168323
Khān Ţūbah	id=g:168324
Khān Shaykhūn	id=g:168325
Khān Shaykhūn	id=g:168326
Khān Maysalūn	id=g:168327
Khān Māmīt	id=g:168328
Khānīk at Taḩtānī	id=g:168329
Khānīk al Fawqānī	id=g:168330
Khānīk	id=g:168331
Chām Khānīk	id=g:168332
Khān Ḩfīrah	id=g:168333
Khane Adikh	id=g:168334
Khandaq ash Sharqī	id=g:168335
Wādī Khandaq al Khalwah	id=g:168336
Khandaq al Gharbī	id=g:168337
Khān Dannūn	id=g:168338
Wādī al Khanāzīr	id=g:168339
Wādī Khanāzīr	id=g:168340
Jubb al Khanāzīr	id=g:168341
Khanāzīr	id=g:168342
Khanāzīr	id=g:168343
Khān at Turāb	id=g:168344
Khān at Turāb	id=g:168345
Khān at Turāb	id=g:168346
Khān ‘Aţā Allāh	id=g:168347
Tulūl al Khānāt	id=g:168348
Khān as Subul	id=g:168349
Khabrat Khanāşir	id=g:168350
Khanāşir	id=g:168351
Khanāşir	id=g:168352
Khān ash Shaykh	id=g:168353
Khān ash Sha‘r	id=g:168354
Khān Arnabah	id=g:168355
Khān al ‘Unaybah	id=g:168356
Khān al Quşayr	id=g:168357
Khān al Manqūrah	id=g:168358
Khān al Jawz	id=g:168359
Khān al Jalājil	id=g:168360
Khān al Jabşīn	id=g:168361
Khān al Ḩuwayr	id=g:168362
Khān al Ḩumr	id=g:168363
Khān al Ḩayr	id=g:168364
Khān al Ḩamrā’	id=g:168365
Khān al Ḩallābāt	id=g:168366
Khān al Ḩalāwī	id=g:168367
Khān al ‘Asal	id=g:168368
Khān al ‘Aşāfīr	id=g:168369
Khān al ‘Arūs	id=g:168370
Khān al Aḩmar	id=g:168371
Wādī al Khān al Abyaḑ	id=g:168372
Khirbat Khān al Abyaḑ	id=g:168373
Khān al Jabal	id=g:168374
Khān ad Duwayr	id=g:168375
Khān Abū Shāmāt	id=g:168376
Khān Abū Hurayrah	id=g:168377
Khān Abū ash Shāmāt	id=g:168378
Tall al Khān	id=g:168379
Jabal al Khān	id=g:168380
Fayḑāt al Khān	id=g:168381
Khirbat al Khamīs	id=g:168382
Wādī al Khamīr	id=g:168383
Khalţānlī	id=g:168384
Khallawmār	id=g:168385
Khallat Mardam	id=g:168386
Khallat Bayt al Qissīs	id=g:168387
Khallat al Ghazālah	id=g:168388
Khallālah	id=g:168389
Wādī al Khallah	id=g:168390
Khalkhalah	id=g:168391
Khalīlīyah	id=g:168392
Wādī Khalīl	id=g:168393
Tall Khalīl	id=g:168395
Tall Khalījī	id=g:168396
Arḑ al Khalīj	id=g:168397
Tall Khalīfah	id=g:168398
Jabal Khalīfah	id=g:168399
Bi’r al Khalīfah	id=g:168400
Tulūl al Khalīf	id=g:168401
Khalidjiq	id=g:168402
Tall al Khālidīyah	id=g:168403
Khirbat Khālidīyah	id=g:168404
Khālid al Hayjān	id=g:168406
Wādī Khālid	id=g:168407
Wādī Khālid	id=g:168408
Khālid	id=g:168409
Khalfatlī	id=g:168410
Jabal Khalālī Judaydah	id=g:168411
Khirbat Khalaf Muşayţif	id=g:168412
Tall Khalaf	id=g:168413
Jubb al Khajoûm	id=g:168414
Khājūkah	id=g:168415
Sha‘īb Khaïna	id=g:168416
