Faith Wesleyan Church	id=g:4154850
Fox Pond	id=g:4156156
Fox Pond	id=g:4156157
Fox Slip	id=g:4156158
Fox Town	id=g:4156159
Lake Fox	id=g:4156160
Foxfire Plantation Airport	id=g:4156161
Foxleigh	id=g:4156162
Foxmoor Shopping Center	id=g:4156163
Foxmount Preparatory School	id=g:4156164
Foxs Corner	id=g:4156165
Foxworth Mill Creek	id=g:4156166
Fox Hill	id=g:4156167
Lake Fran Urban Wetlands	id=g:4156168
Frances S Tucker Elementary School	id=g:4156169
Frances Wakeland Elementary School	id=g:4156170
Lake Frances	id=g:4156171
Lake Frances	id=g:4156172
Lake Frances	id=g:4156173
Francis	id=g:4156174
Francis Bagley Grant	id=g:4156175
Francis Barbee Grant	id=g:4156176
Francis Goodwin Grant	id=g:4156177
Francis Lake	id=g:4156178
Francis Marin Grant	id=g:4156179
Francis P Fatio Grant	id=g:4156180
Francis P Sanchez Grant	id=g:4156181
Francis R Sanchez Grant	id=g:4156182
Francis R Sanchez Grant	id=g:4156183
Francis Richard Grant	id=g:4156184
Francis Richard Grant	id=g:4156185
Francis Richard Grant	id=g:4156186
Francis Richard Grant	id=g:4156187
Francis S Taylor Wildlife Management Area	id=g:4156188
French Cape	id=g:4156189
Lake Francis	id=g:4156190
Lake Francis	id=g:4156191
Lake Francis	id=g:4156192
Lake Francis	id=g:4156193
Lake Francis	id=g:4156194
Francisco Baldor School	id=g:4156195
Francisco Baldor School	id=g:4156196
Francisco Barrios Grant	id=g:4156197
Francisco Collin Grant	id=g:4156198
Francisco Vidall Grant	id=g:4156199
Franjo	id=g:4156200
Franjo Park	id=g:4156201
Frank C Martin Elementary School	id=g:4156202
Frank Key	id=g:4156203
Frank M Golson Elementary School	id=g:4156204
Frank Pond	id=g:4156205
Frank Taucher Reservoir	id=g:4156206
Frank W Springstead High School	id=g:4156207
Frankfort Bank	id=g:4156208
Franklin	id=g:4156209
Franklin County	id=g:4156210
Franklin County Adult School	id=g:4156211
Franklin Heights Church	id=g:4156212
Franklin Junior High School	id=g:4156213
Franklin Juniper Swamp	id=g:4156214
Franklin Park Kindergarten/Day Care Center	id=g:4156215
Franklin Park School	id=g:4156216
Franklin Pond	id=g:4156217
Lake Franklin	id=g:4156218
Franklintown	id=g:4156219
Franwood Pines	id=g:4156220
Frazier Cemetery	id=g:4156221
Frazier Creek	id=g:4156222
Fozzard Creek	id=g:4156223
Fred Bayou	id=g:4156224
Fred Gannon Rocky Bayou State Recreation Area	id=g:4156225
Fred Hartley Grant	id=g:4156226
Fred K Marchman Technical Education Center	id=g:4156227
Fred Key	id=g:4156228
Fred Wild Elementary School	id=g:4156229
Frederick Hartley Grant	id=g:4156230
Lake Fredrica	id=g:4156231
Freds Lake	id=g:4156232
Free Flight Airport	id=g:4156233
Free Methodist Church	id=g:4156234
Free Methodist Church	id=g:4156235
Free Methodist Church	id=g:4156236
Free Spirit Christian Center	id=g:4156237
Free Will Baptist Church	id=g:4156238
Free Will Baptist Temple	id=g:4156239
Free Will Church	id=g:4156240
Free Will Church	id=g:4156241
Free Canaan United Methodist Church	id=g:4156242
Freedom Assembly of God	id=g:4156243
Freedom Baptist Church	id=g:4156244
Freedom Baptist Church	id=g:4156245
Freedom Bridge	id=g:4156246
Freedom Cemetery	id=g:4156247
Freedom Christian Academy	id=g:4156248
Freedom Christian Academy	id=g:4156249
Freedom United Methodist Church	id=g:4156250
Freedom Church	id=g:4156251
Freedom Outreach Church	id=g:4156252
Freedom Public Library	id=g:4156253
Freeman Bay	id=g:4156254
Freeman Branch	id=g:4156255
Fred Babcock Airport	id=g:4156256
Freeman Creek	id=g:4156257
Freeman Springs Branch	id=g:4156258
Freemont	id=g:4156259
Freeport Plaza	id=g:4156260
Freeport Senior High School	id=g:4156261
Freewill Church	id=g:4156262
Freewill Church	id=g:4156263
French Reef	id=g:4156264
French Speaking Baptist Church	id=g:4156265
Lake French	id=g:4156266
Frenchman Creek	id=g:4156267
Freeport	id=g:4156268
Frenchmans Creek	id=g:4156269
Freshwater Bayou	id=g:4156270
Fretwell Park	id=g:4156271
Friars Cove	id=g:4156272
Friend Key	id=g:4156273
Friend Key Bank	id=g:4156274
Friendly Missionary Baptist Church	id=g:4156275
Friendly Missionary Baptist Church	id=g:4156276
Friends Meeting House	id=g:4156277
Friendship Advent Christian Church	id=g:4156278
Friendship Baptist Church	id=g:4156279
Friendship Baptist Church	id=g:4156280
Friendship Baptist Church	id=g:4156281
Friendship Baptist Church	id=g:4156282
Friendship Bible Church	id=g:4156283
Friendship Cemetery	id=g:4156284
Friendship Cemetery	id=g:4156285
Friendship Cemetery	id=g:4156286
Friendship Church	id=g:4156287
Friendship Church	id=g:4156288
Friendship Church	id=g:4156289
Friendship Church	id=g:4156290
Friendship Church	id=g:4156291
Friendship Church	id=g:4156292
Friendship Church	id=g:4156293
Friendship Church	id=g:4156294
Friendship Church	id=g:4156295
Friendship Church	id=g:4156296
Friendship Church	id=g:4156297
Friendship Church	id=g:4156298
Friendship Church	id=g:4156299
Friendship Church	id=g:4156300
Friendship Church	id=g:4156301
Friendship Church	id=g:4156302
Friendship Church	id=g:4156303
Friendship Church	id=g:4156304
Friendship Church	id=g:4156305
Friendship Church (historical)	id=g:4156306
Friendship Day School	id=g:4156307
Friendship Missionary Baptist Church	id=g:4156308
Friendship Missionary Baptist Church	id=g:4156309
Friendship Primitive Baptist Church	id=g:4156310
Friendship School	id=g:4156311
Frierson Grove Airport	id=g:4156312
Frierson Lakes	id=g:4156313
Frink	id=g:4156314
Frink Church	id=g:4156315
Fritz Hammock	id=g:4156316
Fritz Island	id=g:4156317
Frizzell Tower	id=g:4156318
Frog City	id=g:4156319
Frog Creek	id=g:4156320
Freshwater Lake	id=g:4156321
Frog Wells Airport	id=g:4156322
Frontenac	id=g:4156323
Frontier Christian Academy	id=g:4156324
Frost Park	id=g:4156325
Frostproof	id=g:4156326
Frostproof Elementary School	id=g:4156327
Frostproof Fire Tower	id=g:4156328
Frostproof Junior-Senior High School	id=g:4156329
Frozen Bluff	id=g:4156330
Fruit Cove	id=g:4156331
Fruit Cove Baptist Church	id=g:4156332
Fruit Fly Camp	id=g:4156333
Fruita	id=g:4156334
Fruitland	id=g:4156335
Fruitland Cove	id=g:4156336
Fruitland Park	id=g:4156337
Fruitland Park Elementary School	id=g:4156338
Fruitland School	id=g:4156339
Fruitville	id=g:4156340
Fruitville Elementary School	id=g:4156341
Fruitville Junction	id=g:4156342
Frye Canal	id=g:4156343
Fuchs Park	id=g:4156344
Fuguitt School	id=g:4156345
Fulford Christian Day Care Center	id=g:4156346
Fulgum Cemetery	id=g:4156347
Full Gospel Assembly	id=g:4156348
Full Gospel Church of Orlando	id=g:4156349
Full Gospel Church of the Living God	id=g:4156350
Full Gospel Lighthouse	id=g:4156351
Full Gospel Worship Center	id=g:4156352
Full Service School	id=g:4156353
Fuller Creek	id=g:4156354
Frog Lake	id=g:4156355
Fuller Lake	id=g:4156356
Fuller Warren Bridge	id=g:4156357
Lake Fuller	id=g:4156358
Fullers	id=g:4156359
Fullers Earth	id=g:4156360
Fullerville	id=g:4156361
Fullerwood Elementary School	id=g:4156362
Fulton	id=g:4156363
Fulton Seaplane Base	id=g:4156364
Fundamental Baptist Church	id=g:4156365
Fundy Bayou	id=g:4156366
Fuller Heights	id=g:4156367
Fussel Slough	id=g:4156368
Fussells Corner	id=g:4156369
Fussels Corner	id=g:4156370
Futch Cove	id=g:4156371
Futch Point	id=g:4156372
Futch Run	id=g:4156373
Funks Creek	id=g:4156374
G Creek	id=g:4156375
G Pierce Wood Memorial Hospital	id=g:4156376
G U Parker Wildlife Management Area	id=g:4156377
G W Perpall Grant	id=g:4156378
G W Perpall Grant	id=g:4156379
G W Perpall Grant	id=g:4156380
G W Sewell Pond	id=g:4156381
GIF Clarke Grant	id=g:4156382
Gaberonne	id=g:4156383
Gable Branch	id=g:4156384
Fye Pond	id=g:4156385
Gables Estates	id=g:4156386
Gabriella	id=g:4156387
Gadara Baptist Church	id=g:4156388
Gadara Cemetery	id=g:4156389
Gadara Church	id=g:4156390
Gadau Lake	id=g:4156391
Gadsden Adult Education Center	id=g:4156392
Gadsden Christian Academy	id=g:4156393
Gadsden County	id=g:4156394
Gadsden Community Hospital	id=g:4156395
Gadsden Memorial Hospital Heliport	id=g:4156396
Gadsden Point	id=g:4156397
Gadsen Spring	id=g:4156398
Gainer Bayou	id=g:4156399
Gainer Cemetery	id=g:4156400
Gainer Lake	id=g:4156401
Gaines Island	id=g:4156402
Gaines Slough	id=g:4156403
Gainesville	id=g:4156404
Gainesville Academy	id=g:4156405
Gainesville Baptist Church	id=g:4156406
Gainesville Community Church	id=g:4156407
Gainesville Country Club	id=g:4156408
Gainesville Country Day School	id=g:4156409
Gainesville Fire Control Headquarters	id=g:4156410
Gainesville High School	id=g:4156411
Gainesville Mall	id=g:4156412
Gainesville National Wildlife Research Center	id=g:4156413
Gainesville Railroad Station	id=g:4156414
Gainesville Regional Airport	id=g:4156415
Gainesville Shopping Center	id=g:4156416
Gainesville Speedway	id=g:4156417
Gaiter Lake	id=g:4156418
Gaither High School	id=g:4156419
Galaxy Elementary School	id=g:4156420
Galaxy Grade School	id=g:4156421
Galaxy School	id=g:4156422
Galaxy of Coral Gables Shopping Center	id=g:4156423
Galdin Key	id=g:4156424
Galilean Academy	id=g:4156425
Galilean Baptist Church	id=g:4156426
Galilee Baptist Church	id=g:4156427
Galilee Baptist Temple of Bellview	id=g:4156428
Galilee Cemetery	id=g:4156429
Galilee Christian Church	id=g:4156430
Galilee Church	id=g:4156431
Galilee Church	id=g:4156432
Galilee Church	id=g:4156433
Galilee Church	id=g:4156434
Galilee Church	id=g:4156435
Galilee Church	id=g:4156436
Galilee Church	id=g:4156437
Galilee Church	id=g:4156438
Galilee Lake	id=g:4156439
Lake Galilee	id=g:4156440
Gallagher Keys	id=g:4156441
Galleria Plaza	id=g:4156442
Galleria at Florida Center	id=g:4156443
Gallery Square North and South	id=g:4156444
Gallinipper Basin	id=g:4156445
Gallinipper Point	id=g:4156446
Galliver	id=g:4156447
Galloway	id=g:4156448
Lake Galloway	id=g:4156449
Lake Galloway	id=g:4156450
Gallows Lake	id=g:4156451
Galt City	id=g:4156452
Galt Island	id=g:4156453
Gamble Creek	id=g:4156454
Gamble Point	id=g:4156455
Gamble Pond	id=g:4156456
Gamble Rogers Memorial State Recreation Area at Flagler Beach	id=g:4156457
Gables Academy of Miami	id=g:4156458
Game Creek	id=g:4156459
Game Creek Bay	id=g:4156460
Gander Creek	id=g:4156461
Gandy	id=g:4156462
Gandy Bridge	id=g:4156463
Gandy Cemetery	id=g:4156464
Gandy Plaza	id=g:4156465
Lake Gandy	id=g:4156466
Gandyville	id=g:4156467
Gannet Pond	id=g:4156468
Gannet Slough	id=g:4156469
Gannet Strand	id=g:4156470
Gant Lake	id=g:4156471
Gant Lake Canal	id=g:4156472
Gap Branch	id=g:4156473
Gandy Bridge	id=g:4156474
Gap Creek	id=g:4156475
Gap Creek	id=g:4156476
Gap Lake	id=g:4156477
Gap Point	id=g:4156478
Gap Pond Church	id=g:4156479
Gapac Station	id=g:4156480
Gapway Baptist Church	id=g:4156481
Gapway Cemetery	id=g:4156482
Gapway Church	id=g:4156483
Gar Pond	id=g:4156484
Gar Pond	id=g:4156485
Garcon Field	id=g:4156486
Garcon Point	id=g:4156487
Garcon Swamp	id=g:4156488
Garden Cemetery	id=g:4156489
Garden Center Conservatory	id=g:4156490
Garden City	id=g:4156491
Garden City	id=g:4156492
Garden City Church of Christ	id=g:4156493
Garden City Elementary School	id=g:4156494
Garden City School	id=g:4156495
Garden Cove	id=g:4156496
Garden Cove	id=g:4156497
Garden Creek	id=g:4156498
Garden Creek	id=g:4156499
Gap Lake Swamp	id=g:4156500
Garden Grove	id=g:4156501
Garden Grove Elementary School	id=g:4156502
Garden Island	id=g:4156503
Garden Island	id=g:4156504
Garden Island	id=g:4156505
Garden Isles	id=g:4156506
Garden Isles Shopping Center	id=g:4156507
Garden Key	id=g:4156508
Garden Lake	id=g:4156509
Garden Lake	id=g:4156510
Garden Lake	id=g:4156511
Garden Pond	id=g:4156512
Garden Street Mall	id=g:4156513
Garden of Heavenly Rest	id=g:4156514
Garden of Memories Cemetery	id=g:4156515
Garden of Peace Cemetery	id=g:4156516
Garden of Peace Cemetery	id=g:4156517
Garden of Peace Church	id=g:4156518
Garden of Prayer-Church of the Living God	id=g:4156519
Gardena Railroad Station	id=g:4156520
Gardendale Elementary School	id=g:4156521
Gardens Church of Christ	id=g:4156522
Gardens East Shopping Center	id=g:4156523
Gardens Park Plaza	id=g:4156524
Gardenville	id=g:4156525
Gardenville Beach	id=g:4156526
Gardner	id=g:4156527
Gardner	id=g:4156528
Gardner Airport	id=g:4156529
Gardner Creek	id=g:4156530
Garden Elementary School	id=g:4156531
Gardner Landing	id=g:4156532
Gardner Mine Railroad Station	id=g:4156533
Gardner Run	id=g:4156534
Gardner Lake	id=g:4156535
Garfield Bight	id=g:4156536
Garfield Cut	id=g:4156537
Garfield Point	id=g:4156538
Lake Garfield	id=g:4156539
Gargoyle Lake	id=g:4156540
Garmier Bayou	id=g:4156541
Garner Branch	id=g:4156542
Gardners Prairie	id=g:4156543
Garner School	id=g:4156544
Garnier	id=g:4156545
Garnier Creek	id=g:4156546
Garner Lake	id=g:4156547
Garnier Creek	id=g:4156548
Garnier Landing	id=g:4156549
Garrett Branch	id=g:4156550
Garrett Academy	id=g:4156551
Garrison Bight Channel	id=g:4156552
Garrison Channel	id=g:4156553
Garrison Hammock	id=g:4156554
Garwood Railroad Station	id=g:4156555
Gary	id=g:4156556
Gary Playground	id=g:4156557
Gary School	id=g:4156558
Lake Gary	id=g:4156559
Lake Gary	id=g:4156560
Gaskin	id=g:4156561
Gaskin Bay	id=g:4156562
Gaskin Branch	id=g:4156563
Garrison Bight	id=g:4156564
Gaskin Wildlife Management Area	id=g:4156565
Gaskins	id=g:4156566
Gaskins Still	id=g:4156567
Gasparilla	id=g:4156568
Gasparilla Island	id=g:4156569
Gasparilla Island State Park	id=g:4156570
Gasparilla Pass	id=g:4156571
Gasparilla Sound	id=g:4156572
Lake Gass	id=g:4156573
Gate Bay	id=g:4156574
Gates Creek	id=g:4156575
Gaskin Still	id=g:4156576
Gateway Baptist Church	id=g:4156577
Gateway Baptist Church	id=g:4156578
Gateway Christian Elementary School	id=g:4156579
Gateway Church	id=g:4156580
Gateway Elementary School	id=g:4156581
Gateway High School	id=g:4156582
Gateway Junior Academy	id=g:4156583
Gateway Mall	id=g:4156584
Gateway Park	id=g:4156585
Gateway Plaza	id=g:4156586
Gateway Plaza Hospital	id=g:4156587
Gateway Shopping Center	id=g:4156588
Gateway Shopping Center	id=g:4156589
Gateway Shopping Center	id=g:4156590
Lake Gatlin	id=g:4156591
Gator Airpark	id=g:4156592
Gator Bay	id=g:4156593
Gator Bay Branch	id=g:4156594
Gator Bay Canal	id=g:4156595
Gator Bay Prairie	id=g:4156596
Gator Bone Lake	id=g:4156597
Gator Bowl	id=g:4156598
Gator Branch	id=g:4156599
Gator Branch	id=g:4156600
Gateway	id=g:4156601
Gator Creek	id=g:4156602
Gator Creek	id=g:4156603
Gator Creek	id=g:4156604
Gator Creek	id=g:4156605
Gator Creek	id=g:4156606
Gator Creek Airport	id=g:4156607
Gator Head	id=g:4156608
Gator Hole	id=g:4156609
Gator Hole	id=g:4156610
Gator Hole	id=g:4156611
Gator Hole	id=g:4156612
Gator Hole Slough	id=g:4156613
Gator Hook Strand	id=g:4156614
Gator Hook Swamp	id=g:4156615
Gator Island	id=g:4156616
Gator Lake	id=g:4156617
Gator Lake	id=g:4156618
Gator Lake	id=g:4156619
Gator Lake	id=g:4156620
Gator Lake	id=g:4156621
Gator Lake Heliport	id=g:4156622
Gator Plaza	id=g:4156623
Gator Point	id=g:4156624
Gator Pond	id=g:4156625
Gator Pond	id=g:4156626
Gator Pond	id=g:4156627
Gator Pond	id=g:4156628
Gator Slough	id=g:4156629
Gator Slough	id=g:4156630
Gator Slough	id=g:4156631
Gator Slough Canal	id=g:4156632
Gause Cemetery	id=g:4156633
Gaynor Pond	id=g:4156634
Lake Gear	id=g:4156635
Gee Creek	id=g:4156636
Gator Gap	id=g:4156637
Geiger Cemetery	id=g:4156638
Geiger Cemetery	id=g:4156639
Geiger Creek	id=g:4156640
Gee Hammock	id=g:4156641
Geiger Lake	id=g:4156642
Geigers Landing	id=g:4156643
Geigers Point	id=g:4156644
Gem Bay	id=g:4156645
Gem Lake	id=g:4156646
Lake Gem Mary	id=g:4156647
Lake Gem	id=g:4156648
Lake Gem	id=g:4156649
Lake Gem	id=g:4156650
Lake Gem	id=g:4156651
Lake Gem	id=g:4156652
Gemini Elementary School	id=g:4156653
General Developers Lake	id=g:4156654
General James A. Van Fleet Trail State Park	id=g:4156655
Genesis Preparatory School	id=g:4156656
Geneva	id=g:4156657
Geneva Bridge	id=g:4156658
Geneva Cemetery	id=g:4156659
Geneva Elementary School	id=g:4156660
Lake Geneva	id=g:4156661
Lake Geneva	id=g:4156662
Lake Geneva	id=g:4156663
Lake Geneva	id=g:4156664
Lake Geneva	id=g:4156665
Lake Geneva	id=g:4156666
Lake Geneva	id=g:4156667
Lake Genie	id=g:4156668
Genoa	id=g:4156669
Genovar Park	id=g:4156670
Lake Gentile	id=g:4156671
Gentry Airport	id=g:4156672
Lake Gentry	id=g:4156673
Lake Geoffrey	id=g:4156674
George Anderson Grant	id=g:4156675
George Ann Lake	id=g:4156676
George Atkinson Grant	id=g:4156677
George Atkinson Grant	id=g:4156678
George Baker Park	id=g:4156679
George C Miller Intermediate School	id=g:4156680
George Canal	id=g:4156681
George F Clark Grant	id=g:4156682
George G Tapper Bridge	id=g:4156683
George H Gause Elementary School	id=g:4156684
George Hartley Grant	id=g:4156685
George I F Clark Grant	id=g:4156686
George I F Clark Grant	id=g:4156687
George I F Clarke Grant	id=g:4156688
George I F Clarke Grant	id=g:4156689
George I F Clarke Grant	id=g:4156690
George Park	id=g:4156691
George T Baker Aviation School	id=g:4156692
George T Lewis Airport	id=g:4156693
George T McCutchan Airport	id=g:4156694
George W Carver Elementary School	id=g:4156695
George Washington Center	id=g:4156696
George Washington Swamp	id=g:4156697
Bayou George	id=g:4156698
Geiger Key	id=g:4156699
Lake George	id=g:4156700
Lake George	id=g:4156701
Lake George	id=g:4156702
Georges Flats	id=g:4156703
Georges Island	id=g:4156704
Georges Lake	id=g:4156705
Georges Lake	id=g:4156706
Georges Pond	id=g:4156707
Georges Slough	id=g:4156708
Georges Strand	id=g:4156709
Georgetown	id=g:4156710
Lake Georgette	id=g:4156711
Georgia Fruit Farm Creek	id=g:4156712
Lake George	id=g:4156713
Georgiana	id=g:4156714
Gerald Adams Elementary School	id=g:4156715
Gerald Eagle Electric Substation	id=g:4156716
Gerber Childrens Center	id=g:4156717
Gerig and Webb Sports Complex	id=g:4156718
German Church	id=g:4156719
German Pond	id=g:4156720
Geronimo Alvarez Grant	id=g:4156721
Gerry Curtis Park	id=g:4156722
Lake Gertie	id=g:4156723
Lake Gertrude	id=g:4156724
Gesu School (historical)	id=g:4156725
Get Out Creek	id=g:4156726
Lake Georgia	id=g:4156727
Getman Memorial Church	id=g:4156728
Geyer Lake	id=g:4156729
Ghost Cove	id=g:4156730
Ghost Creek	id=g:4156731
Gethsemane Baptist Church	id=g:4156732
Gibbons Street Elementary School	id=g:4156733
Gibbs High School	id=g:4156734
Gibbs Island	id=g:4156735
Gibbs Point	id=g:4156736
Gibbs Pond	id=g:4156737
Gibby Point	id=g:4156738
Gibson	id=g:4156739
Gibson County Park	id=g:4156740
Gibson Lookout Tower	id=g:4156741
Gibson Park	id=g:4156742
Gibson School	id=g:4156743
Lake Gibson	id=g:4156744
Lake Gibson	id=g:4156745
Gibsonia	id=g:4156746
Gibsonia Baptist Church	id=g:4156747
Gibsonton	id=g:4156748
Gibsonton Elementary School	id=g:4156749
Giddings Lake	id=g:4156750
Giddon Lake	id=g:4156751
Gifford	id=g:4156752
Gifford Arboretum	id=g:4156753
Gifford Cut	id=g:4156754
Gifford Island	id=g:4156755
Gifford Point	id=g:4156756
Lake Gifford	id=g:4156757
Giger Creek	id=g:4156758
Gilbert Junior High School	id=g:4156759
Gilbert McQueen Park	id=g:4156760
Gilbert Park	id=g:4156761
Gilbert Pond	id=g:4156762
Gilbert Shoal	id=g:4156763
Lake Gilbert	id=g:4156764
Gilberts Angels Nursery Day Care Center	id=g:4156765
Gilberts Mill	id=g:4156766
Gilberts Mill Creek	id=g:4156767
Ghost Point	id=g:4156768
Gilchrist Adult Education	id=g:4156769
Gilchrist County	id=g:4156770
Gilchrist County Lookout Tower	id=g:4156771
Gilchrist Elementary School	id=g:4156772
Gilchrist Island	id=g:4156773
Gilchrist Park	id=g:4156774
Gilcrist Bridge	id=g:4156775
Lake Giles	id=g:4156776
Gilgal Baptist Church	id=g:4156777
Gill Rattle Creek	id=g:4156778
Gillen Allen Cemetery	id=g:4156779
Gillespie Park	id=g:4156780
Gillette	id=g:4156781
Gillette Station Railroad Station	id=g:4156782
Gilley Creek	id=g:4156783
Gilgal Baptist Church (historical)	id=g:4156784
Gillis Bay	id=g:4156785
Gillis Chapel	id=g:4156786
Gillis Pond	id=g:4156787
Gilly Lakes	id=g:4156788
Gilmore	id=g:4156789
Gilmore Bay	id=g:4156790
Gilmore Cemetery	id=g:4156791
Gilshey Branch	id=g:4156792
Gilchrist	id=g:4156793
Gin Branch	id=g:4156794
Gin Branch	id=g:4156795
Gin Hole Landing	id=g:4156796
Gin House Pond	id=g:4156797
Gin Lake	id=g:4156798
Gingerbread House Day Nursery	id=g:4156799
Gingerbread School Northeast	id=g:4156800
Gingerbread Wellington School	id=g:4156801
Ginhouse Branch	id=g:4156802
Gin House Lake	id=g:4156803
Ginhouse Creek	id=g:4156804
Ginhouse Pond	id=g:4156805
Ginnie Spring	id=g:4156806
Girl Scout Park	id=g:4156807
Givney Key	id=g:4156808
Gizzard Lake	id=g:4156809
Glad Tidings Assembly of God	id=g:4156810
Glad Tidings Church	id=g:4156811
Glades Canal	id=g:4156812
Glades Central High School	id=g:4156813
Glades Correctional Institution	id=g:4156814
Glades County	id=g:4156815
Glades Day School	id=g:4156816
Glades General Hospital	id=g:4156817
Glades Junior High School	id=g:4156818
Glades Park	id=g:4156819
Glades Plaza	id=g:4156820
Glades Plaza	id=g:4156821
Glades Road Park	id=g:4156822
Glades Shopping Center	id=g:4156823
Gladeview	id=g:4156824
Gladeview Baptist Kindergarten	id=g:4156825
Gladeview Church	id=g:4156826
Gladeview Park	id=g:4156827
Gladeview School	id=g:4156828
Gladtidings Church	id=g:4156829
Gladys Moorse Elementary School	id=g:4156830
Glass	id=g:4156831
Glass Church	id=g:4156832
Glass Lake	id=g:4156833
Glass Pond	id=g:4156834
Lake Gleason	id=g:4156835
Gleim Field	id=g:4156836
Glen Abbey Memorial Gardens	id=g:4156837
Glen Abbey Memorial Gardens	id=g:4156838
Glen Haven Memorial Park Cemetery	id=g:4156839
Glen Ridge	id=g:4156840
Glen Saint Mary	id=g:4156841
Glen Springs Elementary School	id=g:4156842
Lake Glenada	id=g:4156843
Glencoe	id=g:4156844
Glendale	id=g:4156845
Glendale Academy	id=g:4156846
Glendale Baptist Church	id=g:4156847
Glendale Cemetery	id=g:4156848
Glendale Church	id=g:4156849
Glendale Montessori School	id=g:4156850
Glenn Branch	id=g:4156851
Ginhouse Pond	id=g:4156852
Glenn Neal School	id=g:4156853
Glennell Railroad Station (historical)	id=g:4156854
Glenoak School	id=g:4156855
Glenridge School	id=g:4156856
Glenvar Heights	id=g:4156857
Glenvar Lake	id=g:4156858
Glenwood	id=g:4156859
Glenwood	id=g:4156860
Glenwood	id=g:4156861
Glenwood Cemetery	id=g:4156862
Glenwood Church of Christ	id=g:4156863
Glenwood Heights	id=g:4156864
Glenwood Memorial Cemetery	id=g:4156865
Glenwood Park	id=g:4156866
Glenwood School	id=g:4156867
Glidden Park	id=g:4156868
Glimpse of Glory	id=g:4156869
Glisson Pond	id=g:4156870
Lake Glona	id=g:4156871
Gloria Floyd Elementary School	id=g:4156872
Glorious Christian Academy	id=g:4156873
Glorious Church of Jesus Christ	id=g:4156874
Glorious Hope Primitive Baptist Church	id=g:4156875
Glory Hole	id=g:4156876
Glover Bight	id=g:4156877
Glover Cemetery	id=g:4156878
Glover Head	id=g:4156879
Glover School	id=g:4156880
Glynlea Church	id=g:4156881
Glynlea Park	id=g:4156882
Glynlea Park	id=g:4156883
Glynlea United Methodist Church	id=g:4156884
Glynn Archer Elementary School	id=g:4156885
Gnat Hole Pond	id=g:4156886
Goat Creek	id=g:4156887
Goat Island	id=g:4156888
Goat Island	id=g:4156889
Gobbler Lake	id=g:4156890
Gocio Elementary School	id=g:4156891
Godbolt Cemetery	id=g:4156892
Godby School	id=g:4156893
Goddard Creek	id=g:4156894
Glenn Hammock	id=g:4156895
Goddens Strand	id=g:4156896
Godfrey Creek	id=g:4156897
Goddard Seadrome	id=g:4156898
Gods Island	id=g:4156899
Gods Missionary Church	id=g:4156900
Godwin Branch	id=g:4156901
Gods Church Prayer House	id=g:4156902
Godwin Hammock	id=g:4156903
Godwin Post Office (historical)	id=g:4156904
Lake Godwin	id=g:4156905
Goff Branch	id=g:4156906
Godwin Cemetery	id=g:4156907
Goggleye Lake	id=g:4156908
Goggleye Lake	id=g:4156909
Gohegan Millpond	id=g:4156910
Golan Church	id=g:4156911
Gold Coast Baptist Church	id=g:4156912
Gold Coast Heliport	id=g:4156913
Gold Coast Railroad Museum	id=g:4156914
Gold Head Branch	id=g:4156915
Goggle-Eye Lake	id=g:4156916
Gold Lake	id=g:4156917
Golden Beach	id=g:4156918
Golden Days Montessori School	id=g:4156919
Golden Gate	id=g:4156920
Golden Gate	id=g:4156921
Golden Gate Church of Christ	id=g:4156922
Golden Gate Elementary School	id=g:4156923
Golden Gate Middle School	id=g:4156924
Golden Gate Point	id=g:4156925
Golden Gate Shopping Center	id=g:4156926
Golden Gate Shopping Center	id=g:4156927
Golden Gate Speedway	id=g:4156928
Golden Gate United Methodist Church	id=g:4156929
Golden Gates Estates	id=g:4156930
Golden Glades	id=g:4156931
Golden Glades Church	id=g:4156932
Golden Glades Interchange 1	id=g:4156933
Golden Glades School	id=g:4156934
Golden Glades Shopping Center	id=g:4156935
Golden Grades Day School	id=g:4156936
Golden Harvest Flying Service Incorporated Airport	id=g:4156937
Golden Heights Church of Christ	id=g:4156938
Golden Hills	id=g:4156939
Golden Hills Academy (historical)	id=g:4156940
Golden Hills Golf and Turf Club	id=g:4156941
Golden Isles	id=g:4156942
Golden Isles Lake	id=g:4156943
Golden Isles Park	id=g:4156944
Golden Lake	id=g:4156945
Golden Lake	id=g:4156946
Golden Lakes	id=g:4156947
Golden Memorial Church	id=g:4156948
Golden Slipper School	id=g:4156949
Golden State Christian Academy	id=g:4156950
Golden Triangle Shopping Center	id=g:4156951
Golden Window School	id=g:4156952
Golden-Collum Memorial Federal Building and United States Courthouse	id=g:4156953
Gold Key	id=g:4156954
Goldenrod Baptist Church	id=g:4156955
Goldenrod Baptist Church	id=g:4156956
Goldenrod Plaza	id=g:4156957
Goldfish Creek	id=g:4156958
Goldenrod	id=g:4156959
Goldstein	id=g:4156960
Golf	id=g:4156961
Golf Estates	id=g:4156962
Golf Lake	id=g:4156963
Golfview	id=g:4156964
Golfview Elementary School	id=g:4156965
Gomez	id=g:4156966
Gomez Creek	id=g:4156967
Goldsboro School	id=g:4156968
Gomez Creek	id=g:4156969
Gomez Grant	id=g:4156970
Gomez Park	id=g:4156971
Gomez Point	id=g:4156972
Gomez Rock	id=g:4156973
Gonzales Park	id=g:4156974
Gonzalez	id=g:4156975
