Zardū’īyeh	id=g:111332
Varchand	id=g:112197
Kūh-e Var Band	id=g:112198
Varbād-e Soflá	id=g:112199
Varāzūn Cham	id=g:112200
Varzaq	id=g:112201
Rūdkhāneh-ye Gorāzān	id=g:112203
Kūh-e Vārāz	id=g:112204
Varā’īneh	id=g:112205
Varāvī	id=g:112206
Varāvī	id=g:112207
Kūh-e Varashk	id=g:112208
Varqaneh	id=g:112209
Varaqī	id=g:112210
Varaq	id=g:112211
Darreh-ye Varān-e Māhūr	id=g:112212
Varān	id=g:112213
Varāmīn	id=g:112214
Varāmīn	id=g:112215
Varāmeh	id=g:112216
Varakī	id=g:112217
Varakeh Rūd	id=g:112218
Varak	id=g:112219
Vārak	id=g:112220
Varagol	id=g:112221
Kūh-e Bar Āftāb-e Ḩasan	id=g:112222
Kūh-e Varā Darreh Bīd	id=g:112223
Var ‘Abdollāh	id=g:112224
Varābād	id=g:112225
Vār	id=g:112226
Vāpīleh	id=g:112227
Vāpīch	id=g:112228
Vanyār	id=g:112229
Vanūnān	id=g:112230
Vennā’ī	id=g:112231
Kūh-e Vanīzān	id=g:112232
Vanīzān	id=g:112233
Vanīsar	id=g:112234
Dārlī Sar	id=g:112235
Vanīneh-ye Pāʼīn	id=g:112236
Vanīneh-ye Bālā	id=g:112237
Vangīn	id=g:112238
Kūh-e Vang	id=g:112239
Kūh-e Vanak	id=g:112240
Vanestān	id=g:112241
Vānshān	id=g:112242
Vāneq-e Pā’īn	id=g:112243
Vāneq-e Bālā	id=g:112244
Vānā	id=g:112246
Vandīsh	id=g:112247
Vondīk	id=g:112248
Vandar	id=g:112249
Vandādeh	id=g:112250
Wandeh	id=g:112251
Venāvī	id=g:112252
Vananaq	id=g:112253
Vanan	id=g:112254
Vānān	id=g:112255
Kūh-e Vānemān	id=g:112256
Vanak-e Vasat	id=g:112257
Āb-e Vanak	id=g:112258
Vanak	id=g:112259
Vanak	id=g:112260
Vanak	id=g:112261
Vanak	id=g:112262
Venājem	id=g:112263
Vanā'ī	id=g:112264
Vān-e Bālā	id=g:112265
Van	id=g:112266
Vāmenān	id=g:112267
Vamakān	id=g:112268
Tang-e Vāmarz	id=g:112269
Valīyārān	id=g:112270
Valīān	id=g:112271
Valūjā	id=g:112272
Valūjerd	id=g:112273
Vālmān	id=g:112274
Valī Sīr Āb	id=g:112276
Valīnān	id=g:112277
Valīlū	id=g:112278
Valī Kandī	id=g:112279
Vālījerd	id=g:112280
Valīdar (1)	id=g:112281
Valīdābād	id=g:112282
Valīān	id=g:112283
Valīābād-e Pā'īn	id=g:112284
Valīābād	id=g:112285
Valīābād	id=g:112286
Valīābād	id=g:112287
Valīābād	id=g:112288
Valīābād	id=g:112289
Valīābād	id=g:112290
Valīābād	id=g:112291
Valīābād	id=g:112292
Valīābād	id=g:112293
Valīābād	id=g:112294
Valīābād	id=g:112295
Valīābād	id=g:112296
Valīābād	id=g:112297
Vālīābād	id=g:112298
Kūh-e Vel	id=g:112299
Āb Anbār Valī	id=g:112300
Valī	id=g:112301
Valdīān	id=g:112302
Valāzjerd	id=g:112303
Valāzjerd	id=g:112304
Vālāyesh	id=g:112305
Valāsjerd	id=g:112306
Velāshjerd	id=g:112307
Valāshīd	id=g:112308
Vālāshān	id=g:112309
Vālā Rūd	id=g:112310
Vālānjerd	id=g:112311
Valang Shūrūd	id=g:112312
Valand Tār	id=g:112313
Valandarān	id=g:112314
Valandan	id=g:112315
Valāmeh Dar	id=g:112316
Kūh-e Valam	id=g:112317
Valeh Zāqerd	id=g:112318
Valāghūz	id=g:112319
Pāsgāh-e Marzī-ye Valad Koshteh	id=g:112320
Valadābād-e Bozorg	id=g:112321
Valadābād	id=g:112322
Vakīl Qeshlāq	id=g:112323
Vakīlābād	id=g:112324
Vakīlābād	id=g:112325
Vakīlābād	id=g:112326
Vakīlābād	id=g:112327
Vakīlābād	id=g:112328
Vakīlābād	id=g:112329
Vakīlābād	id=g:112330
Vakīlābād	id=g:112331
Vakar Chīskā	id=g:112332
Chāh-e Bak	id=g:112333
Gardaneh-ye Vajnānū	id=g:112334
Vajh-e Kabūd	id=g:112335
Vaḩbashk	id=g:112336
Vājel	id=g:112337
Vajehābād	id=g:112338
Vājārgāh	id=g:112339
Rūdkhāneh-ye Vahregān	id=g:112340
Vahregān	id=g:112341
Vahanābād	id=g:112342
Vahmān	id=g:112343
Vaḩīdābād	id=g:112344
Vahābī	id=g:112345
Vahandeh	id=g:112346
Vāḩedābād	id=g:112347
Vaḩedābād-e Pā’īn	id=g:112348
Vaḩdatābād	id=g:112349
Vafs	id=g:112350
Vafs	id=g:112351
Vafādār	id=g:112352
Vafā	id=g:112353
Vādeqān	id=g:112354
Vādasht	id=g:112355
Vādān	id=g:112356
Vedāgh	id=g:112357
Būyeh	id=g:112358
Kūh-e Ozūn Yal	id=g:112359
Ūzūn Darreh-ye Pā’īn	id=g:112360
Ūzūn Darreh-ye ‘Olyā	id=g:112361
Rūdkhāneh-ye Owzan Darreh	id=g:112362
Ozūn Darreh	id=g:112363
Ūzon-e Ākhār	id=g:112364
Ozūndarreh	id=g:112365
Kūh-e Ozūn Bolāgh	id=g:112366
Kūh-e Owzlā	id=g:112367
Ūz Kolā	id=g:112368
Ūzī	id=g:112369
Ūzān	id=g:112370
Owzān-e Bālā	id=g:112371
Owtānlū	id=g:112372
Oshtūbīn	id=g:112373
Owshtānīān	id=g:112374
Owshendel	id=g:112375
Ūshdelaq	id=g:112376
Kūh-e Owsh Darreh	id=g:112377
Owshān	id=g:112378
Ūshan	id=g:112379
Armanū	id=g:112380
Ūrīm	id=g:112381
Ūrīm	id=g:112382
Owrjamān	id=g:112383
Ūreh	id=g:112384
Ūrāf	id=g:112385
Owrāchī	id=g:112386
Ownīk	id=g:112387
Rūdkhāneh-ye ‘Omar	id=g:112388
Ābmāl	id=g:112389
Ūlyā’	id=g:112390
Daryācheh-ye Ūlmogol	id=g:112391
Olang	id=g:112392
Olang	id=g:112393
Ūkhī Tappeh	id=g:112394
Owjīqāz-e Pā’īn	id=g:112396
Būlū Kāndī	id=g:112397
Reshteh-ye Ūjaqī	id=g:112398
Ūjān Chāy	id=g:112399
Rūd-e Owjān	id=g:112400
Rūdkhāneh-ye Owjān	id=g:112401
Vajān	id=g:112402
Kūh-e Ūjal Yūlī	id=g:112403
Owjād	id=g:112404
Ūgīnak	id=g:112405
‘Ūd-e Mollā	id=g:112406
Owdlū	id=g:112407
Ūdarj	id=g:112408
‘Ūd Āghāj	id=g:112409
Ūch Tappeh	id=g:112410
Owch Tappeh	id=g:112411
Ūch Darreh	id=g:112412
Owch Tappeh	id=g:112413
Ūch Tappeh	id=g:112414
Kūh-e Qūsh Qayahsī	id=g:112415
Owch Bolāgh	id=g:112416
Owch Bolāgh	id=g:112417
Owchbolāgh	id=g:112418
Āghjeh Būghāz	id=g:112419
Ūchān	id=g:112420
Tūzhāleh	id=g:112421
Tūyserkān	id=g:112422
Tūyeh	id=g:112423
Tūyeh	id=g:112424
Tūy	id=g:112425
Tuvaik	id=g:112426
Tovah Khoshkeh-ye Shekar	id=g:112427
Ţūt Zard	id=g:112428
Tūtūrqān	id=g:112429
Tūtūnsīn	id=g:112430
Tūtū’īyeh	id=g:112431
Tūtū	id=g:112432
Tūtekān	id=g:112434
Tūt-e Nadeh	id=g:112435
Tūtlī-ye Soflá	id=g:112436
Tūt Khvorī	id=g:112437
Tūtān	id=g:112438
Tūtak Bon	id=g:112439
Tūtesk	id=g:112440
Tūt Shāmī	id=g:112441
Tūtchāl	id=g:112442
Tūtchī	id=g:112443
Tūtcheh	id=g:112444
Kūh-e Tūnang	id=g:112445
Tūtang	id=g:112446
Tūtang	id=g:112447
Rūdkhāneh-ye Tūtān	id=g:112448
Tūtān	id=g:112449
Tūtal	id=g:112450
Ţūţak Bāz	id=g:112451
Tūtk	id=g:112452
Tūt Āghāj	id=g:112454
Tūt	id=g:112455
Tūt	id=g:112456
Tūt	id=g:112457
Tūt	id=g:112458
Tūstān	id=g:112459
Tūsk-e Soflá	id=g:112460
Tūsk-e ‘Olyā	id=g:112461
Tūskāstān	id=g:112462
Toshmanlū	id=g:112463
Tūshmālān	id=g:112464
Shahr-e Ţūs-e Pā'īn	id=g:112465
Tūseh Kaleh	id=g:112466
Ţūs	id=g:112467
Āb-e Tūrzeh	id=g:112468
Torp	id=g:112469
Ţūrmān	id=g:112470
Torkchī	id=g:112471
Rūdkhāneh-ye Tūjak	id=g:112473
Tūrīvar	id=g:112474
Tūrīān	id=g:112475
Tūr Gīr	id=g:112476
Kūh-e Tūreh	id=g:112477
Tūreh	id=g:112478
Tūreh	id=g:112479
Kūh-e Ţūr-e Bozorg	id=g:112480
Tūrān Posht	id=g:112481
Tūrānī	id=g:112482
Kūh-e Tūrān	id=g:112483
Tūrān-e Tork	id=g:112484
Tūrān	id=g:112485
Tūrān	id=g:112486
Tūrān	id=g:112487
Kūh-e Tūrak	id=g:112488
Ţūr	id=g:112489
Tūp Qarah	id=g:112490
Tūpkānlū	id=g:112491
Tūpchī	id=g:112492
Tūpchī	id=g:112493
Tūp Chenār	id=g:112494
Tūp Āghāj	id=g:112495
Tūp Āghāj	id=g:112496
Kūh-e Tūp ‘Abdollāh	id=g:112497
Tūnyā	id=g:112498
Chāh-e Tūnī	id=g:112499
Kūh-e Tūnel	id=g:112500
Tomgarān	id=g:112501
Tombān Rāhī	id=g:112502
Tūmānak	id=g:112503
Tūmaj	id=g:112504
Tork Tappeh	id=g:112505
Tūlīān	id=g:112506
Deh Tūlī	id=g:112507
Tūlī	id=g:112508
Kūh-e Tūl-e Mokhannat	id=g:112509
Tovel Bahman	id=g:112510
Tūlādar	id=g:112511
Tal Āb-e Gīrīcheh	id=g:112512
Tūkūr	id=g:112513
Tūkūr	id=g:112514
Tekheyt-e ‘Olyā	id=g:112515
Tū Kahūr	id=g:112516
Rūdkhāneh-ye Tūjīdar	id=g:112517
Tūjerdī	id=g:112518
Ţowhān	id=g:112519
Tūjak	id=g:112520
Tūjak	id=g:112521
Tarjīn	id=g:112522
Tūchāh Falāvand	id=g:112523
Ţoghrā’ī	id=g:112524
Do Konārūn	id=g:112525
Kūh-e Tūgāh	id=g:112526
Tūgāh	id=g:112527
Tūgā	id=g:112528
Darreh-ye Tūf Shīrīn	id=g:112529
Tūfshīrīn	id=g:112530
Ţūf Shīrīn	id=g:112531
Tūf Sefīd	id=g:112532
Darreh-ye Tūdow	id=g:112533
Tūdeshgchū	id=g:112534
Tūdeshg	id=g:112535
Tūderk	id=g:112536
Tūdeh Zan	id=g:112537
Tūdeh Bīn	id=g:112538
Kūh-e Tūdeh	id=g:112539
Tūdeh	id=g:112540
Tūdeh-ye Deh-e Bālā	id=g:112541
Tūdār-e Mollā	id=g:112542
Tūdār-e Şamadī	id=g:112543
Tūdār-e Rūteh	id=g:112544
Tū Dār	id=g:112545
Tūdār	id=g:112546
Tūdar	id=g:112547
Kūh-e Tūdaj	id=g:112548
Tūcheh Ghāz	id=g:112549
Tū Chang	id=g:112550
Qolleh-ye Towchāl	id=g:112551
Tūchāh-e Ālmān	id=g:112552
Tū Chāh	id=g:112553
Tūj	id=g:112554
Tūbreh Rīz	id=g:112555
Tūbreh Rīz	id=g:112556
Tūbowzān	id=g:112557
Tubaij Fāris	id=g:112558
Tar Bahāreh	id=g:112559
Tū ‘Alī-ye Soflá	id=g:112560
Tū ‘Alī-ye ‘Olyā	id=g:112561
Kūh-e Tavāgen	id=g:112562
Nowābād	id=g:112563
Towzlū	id=g:112564
Tū’īn-e Bālā	id=g:112565
Tūtang-e Shīrīsh	id=g:112566
Tūskā Chāl	id=g:112567
Kūh-e Towsar	id=g:112568
Kūh-e Tūr Mūrīān	id=g:112569
Ţowq-e Chupān	id=g:112570
Ţūqān Tark	id=g:112571
Rūdkhāneh-ye Tūmūn Sefīd	id=g:112572
Towmūn Sefīd	id=g:112573
Towmūn-e Mashhadī Shāhū	id=g:112574
Towmalek	id=g:112575
Towlshīrī	id=g:112576
Kūh-e Towlastān	id=g:112577
Ţowlash	id=g:112578
Ţūlā	id=g:112579
Towk Towkāb	id=g:112580
Tow Kahūr-e Jaghīn	id=g:112581
Towḩīdlū	id=g:112582
Towḩīdābād	id=g:112583
Ţūghān	id=g:112584
Towf Sefīd	id=g:112585
Towchāl	id=g:112586
Towchāl	id=g:112587
Tappeh-ye Tūyeh Teymūr	id=g:112588
Nakhlestān-e Toveysheh	id=g:112589
Ţovīrī	id=g:112590
Ţavīl	id=g:112591
Ţoveyrī	id=g:112592
Ţoveyḩāt	id=g:112593
Toveh Sorkhak-e ‘Olyā	id=g:112594
Toveh-ye Laţīf	id=g:112595
Tūveh	id=g:112596
Totmāj	id=g:112597
Chāh-e Tosbīn	id=g:112598
Toryān	id=g:112599
Ţorūd	id=g:112600
Ţorūd	id=g:112601
Torshū’īyeh	id=g:112602
Torshaklī	id=g:112603
Torshak	id=g:112604
Tareshok	id=g:112605
Torshābād-e Pā’īn	id=g:112606
Torshāb	id=g:112607
Torsh Āb	id=g:112608
Torshābād-e Bālā	id=g:112609
Rūd-e Torsh Āb	id=g:112610
Torsh Āb	id=g:112611
Torsh Āb	id=g:112612
Toros Āb	id=g:112613
Torsh Āb	id=g:112614
Ţorreh-ye Bakhkhākh	id=g:112615
Ţorqabeh	id=g:112616
Tūrpākhlū	id=g:112617
Ţorosk	id=g:112618
Kūh-e Torosh	id=g:112619
Rūdkhāneh-ye Ţoroq	id=g:112620
Ţoroq	id=g:112621
Ţarq	id=g:112622
Termīānak	id=g:112623
Toremeh	id=g:112624
Tork Salvīyeh	id=g:112625
Tork Maḩalleh	id=g:112626
Torkeh Dārī	id=g:112627
Tūl Kohneh	id=g:112628
Torkāndeh	id=g:112629
Tūkānābād	id=g:112630
Torkān	id=g:112631
Torkān	id=g:112632
Torkaman Darreh	id=g:112633
Torkamān	id=g:112634
Torkaman Chāh	id=g:112635
Torkamān	id=g:112636
Torkābād	id=g:112637
Torkābād	id=g:112638
Chāh-e Tork	id=g:112639
Tork	id=g:112640
Torjān	id=g:112641
Torghīnān	id=g:112642
Torkā Qoveyleh	id=g:112643
Tor‘eh	id=g:112644
Torbeh Bar	id=g:112645
Torbat-e Ḩeydarīyeh	id=g:112646
Ţorāq Tappeh	id=g:112647
Rūdkhāneh-ye Tarab	id=g:112648
Kūh-e Ţorang	id=g:112649
Ţorang	id=g:112650
Torāb-e ‘Olyā	id=g:112651
Torābābād	id=g:112652
Tonūb	id=g:112653
Tongū Borā	id=g:112654
Pūzeh Tang	id=g:112655
Tonekābon	id=g:112656
Chāh-e Tond	id=g:112657
Ţunb aş Şughrá	id=g:112658
Ţunb al Kubrá	id=g:112659
Tongsar	id=g:112660
Tamīrī	id=g:112661
Tom Lāvar	id=g:112662
Tom-e Jam Kerd	id=g:112663
Tom-e Dowlatābād	id=g:112664
Tombū Shomālī	id=g:112665
Tombū Jonūbī	id=g:112666
Tomū	id=g:112667
Tampū’ī	id=g:112668
Kūh-e Tombū	id=g:112669
Tombot	id=g:112670
Rūd-e Tomberengū’īyeh	id=g:112671
Kūh-e Tomb-e Līz	id=g:112672
Tombal	id=g:112673
Tomb-e Boland	id=g:112674
Tombānū	id=g:112675
Tombān	id=g:112676
Tonbak	id=g:112677
Tombak	id=g:112678
Tompak	id=g:112679
Kūh-e Toloz	id=g:112680
Tol-e Tall	id=g:112681
Tol Sorkh	id=g:112682
Tall-e Sabz	id=g:112683
Tall-e Rīgī-ye Pā’īn	id=g:112684
Takht-e Khvājeh Qoţb ed Dīnī	id=g:112685
Tolombeh-ye Şādeqābād	id=g:112686
Chāh Najaf	id=g:112687
Tolombeh-ye Moḩammad Ḩoseyn	id=g:112688
Tolombeh-ye Moḩammad ‘Alī	id=g:112689
Tolombeh-ye Āqā Jānī	id=g:112690
Tolombeh-ye Sarhang	id=g:112691
Ţollāb	id=g:112692
Tall Khazāneh	id=g:112693
Tal-e Ḩoseyn Jamāl	id=g:112695
Tol Gorgū	id=g:112696
Darreh-ye Tall Gerdel	id=g:112697
Tol Zarī	id=g:112698
Toleyl	id=g:112699
Tūgāh-e Tang	id=g:112700
Tall Sīāh	id=g:112701
Tol-e Sīāh	id=g:112702
Tal-e Sefīd	id=g:112703
Tol-e Sarkūb	id=g:112704
Tol-e Sang	id=g:112705
Tal-e Re’īs	id=g:112706
Tol-e Qūchī	id=g:112707
Tall-e Qātel	id=g:112708
Tol-e Pīr	id=g:112709
Qal‘eh-ye Morādī	id=g:112710
Tol-e Meshkīn	id=g:112711
Tol-e Kūshk	id=g:112712
Tall-e Kūshk	id=g:112713
Tal-e Kohneh	id=g:112714
Tall-e Kharakī	id=g:112715
Tol-e Khandaq	id=g:112716
Tal Khākī	id=g:112717
Tol-e Ḩeydarī	id=g:112718
Tal-e Gar	id=g:112719
Gardan Tol	id=g:112720
Tol-e Bardangān	id=g:112721
Tol-e Ashkī	id=g:112722
Tal-e Afghānī	id=g:112723
Tall-e Bīz	id=g:112724
Tall Anjīr	id=g:112725
Tolāb	id=g:112726
Tekmadāsh	id=g:112727
Toklor Kalahrūd	id=g:112728
Tokhm-e Shāl	id=g:112729
Tokhmārī	id=g:112730
Tokhm Del	id=g:112731
Tokhmār	id=g:112732
Tokhmāqlū	id=g:112733
Takhtīyeh-ye Bozorg	id=g:112734
Tekkeh	id=g:112735
Tokām	id=g:112736
Nojjāreh	id=g:112737
Kūh-e Nehūyeh	id=g:112738
Nehūyeh	id=g:112739
Ţoghr ol Jerd	id=g:112740
Rūdkhāneh-ye Ţoghrol	id=g:112741
Ţoghān	id=g:112742
Tofang Sāzān	id=g:112743
Tofak	id=g:112744
Tadrūyeh	id=g:112745
Nīm Īstgāh-e Khāledābād	id=g:112746
Tīz Kūh	id=g:112747
Tīz Khānī	id=g:112748
Chāh-e Tīz	id=g:112749
Tīzh Tīzh	id=g:112750
Tīzdang-e ‘Olyā	id=g:112751
Tīzamīn	id=g:112752
Tīzūk	id=g:112753
Tīzej	id=g:112754
Rūdkhāneh-ye Tīzāb	id=g:112755
Tīzāb-e Chenār Moḩammad Beyg	id=g:112756
Tīz Āb	id=g:112757
Tatūtī	id=g:112758
Tītū Bālā’ī	id=g:112759
Tītū Jalāl	id=g:112760
Tītū”īyeh	id=g:112761
Tīnū	id=g:112762
Rūd-e Tītū	id=g:112763
Kūh-e Tītū	id=g:112764
Tīt Mollā	id=g:112765
Kūh-e Tīt Malāḩ	id=g:112766
Tītkan	id=g:112767
Tītkan	id=g:112768
Tūtak	id=g:112769
Taf Tāf	id=g:112770
Kūh-e Tīt	id=g:112771
Tīsh Garī	id=g:112772
Tīshūn	id=g:112773
Kūh-e Tīgh Sīāh	id=g:112774
Tīzeng	id=g:112775
Tīrvān	id=g:112776
Tīrūr	id=g:112777
Kūh-e Tīrūdeh	id=g:112778
Tīrūdeh	id=g:112779
Tīrūd	id=g:112780
Īstgāh-e Tīr Tāsh	id=g:112781
Tīr Tāsh	id=g:112782
Rūdkhāneh-ye Tīrom	id=g:112783
Tīrmort	id=g:112784
Tīr Kūh	id=g:112785
Tang Tīr Kamān	id=g:112786
Tīrekān	id=g:112787
Tīr Kolā	id=g:112788
Rūdkhāneh-ye Tīrīj	id=g:112789
Tīrīj	id=g:112790
Tangeh-ye Tīrīfī	id=g:112791
Kūh-e Tīr Ḩalaj	id=g:112792
Tīrgarī	id=g:112793
Tīrgarān	id=g:112794
Līrgarān	id=g:112795
Tīrgān	id=g:112796
Tīr Kamān	id=g:112797
Tīr-e Kamān	id=g:112798
Tappeh-ye Tīreh Dār	id=g:112799
Rūdkhāneh-ye Tīreh	id=g:112800
Tīreh	id=g:112801
Tīr Bāzān	id=g:112802
Kūh-e Tīr Bāzak	id=g:112803
Tarāzjān	id=g:112804
Tīrān Kūh	id=g:112805
Tīr Andāzeh	id=g:112806
Kamar-e Tīrān	id=g:112807
Tīrān	id=g:112808
Tīrān	id=g:112809
Tīrān	id=g:112810
Tīr Afjān	id=g:112811
Tīrābād	id=g:112812
Tīr Āb	id=g:112813
Kūh-e Tīr	id=g:112814
Tīr	id=g:112815
Tīfakān-e Pā’īn	id=g:112816
Tītūn	id=g:112817
Tinīeh	id=g:112818
Tīneh	id=g:112819
Tīnemū-ye Soflá	id=g:112820
Tīnemū-ye ‘Olyā	id=g:112821
Teynāl	id=g:112822
Rūdkhāneh-ye Chāhār Tang-e Tīnā	id=g:112823
Tīnā	id=g:112824
Darreh-ye Tīn	id=g:112825
Tīn	id=g:112826
Tīmī Jān	id=g:112827
Tamchāl	id=g:112828
Tīmār Jān	id=g:112829
Tīleh Kūh-e Bālā	id=g:112830
Tīleh Kūh	id=g:112831
Taleh Kūh	id=g:112832
Tīlābād	id=g:112833
Kūh-e Tīl	id=g:112834
Tīl	id=g:112835
Tekmeh Kord	id=g:112836
Tekmeh Dāsh	id=g:112837
Tīk Gonāh	id=g:112838
Tīgh Sīāh	id=g:112839
Tīr Kert	id=g:112840
Nīk Darpāy-e Sang	id=g:112841
Kūh-e Tīk Bāl	id=g:112842
Tītkānlū	id=g:112843
Tīkan	id=g:112844
Tī Jeng	id=g:112845
Tījdar	id=g:112846
Tījān	id=g:112847
Rūd-e Tīgh Zard	id=g:112848
Tīghen	id=g:112849
Tīgh-e Līseh	id=g:112850
Kūh-e Tīgheh Sīāh	id=g:112851
Tīgh-e Chāh Kūchek `Alī	id=g:112852
Tīghdar	id=g:112853
Tīghdar	id=g:112854
Tīghdar	id=g:112855
Kāl-e Tīghāb	id=g:112856
Tīgh Āb	id=g:112857
Tīghāb	id=g:112858
Tīkdar	id=g:112859
Rūdkhāneh-ye Tīfakān	id=g:112860
Tīdūk	id=g:112861
Tīdjān	id=g:112862
Kūh-e Tīdar	id=g:112863
Tīdar	id=g:112864
Tīdargow	id=g:112865
Tījerd	id=g:112866
Tīār	id=g:112867
Yatāneh	id=g:112868
Ţīān Dasht	id=g:112869
Tīān	id=g:112870
Tīāb-e Kermū	id=g:112871
Rūdkhāneh-ye Tīāb	id=g:112872
Tīāb	id=g:112873
Tīāb	id=g:112874
Rāh-e Tīghāb	id=g:112875
Īstgāh-e Garmdasht	id=g:112876
Īstgāh-e Ābgarm	id=g:112877
Tezerjān	id=g:112878
Kūh-e Tezerj	id=g:112879
Tezerj	id=g:112880
Tezerj	id=g:112881
Tezerj	id=g:112882
Tezang	id=g:112883
Tīvān Chāy	id=g:112884
Kūh-e Teypūzak	id=g:112885
Teymūr Sūrī-ye Soflá	id=g:112886
Teymūrlū	id=g:112887
Teymūrlū	id=g:112888
Teymūr Khān	id=g:112889
Teymūrī	id=g:112890
Teymūr	id=g:112891
Teyak	id=g:112892
Teyak	id=g:112893
Tepāh	id=g:112894
Tetāl	id=g:112895
Teshnīz	id=g:112896
Kūh-e Ternāyalī	id=g:112897
Ternūlī	id=g:112898
Tarmān	id=g:112899
Āb-e Terekī	id=g:112900
Terekī	id=g:112901
Terkām	id=g:112902
Kūh-e Tereyḩān	id=g:112903
Terdeb	id=g:112904
Tenbī	id=g:112905
Temūr Sohrāb	id=g:112906
Shaţţ-e Tebembī	id=g:112907
Īstgāh-e Tembī	id=g:112908
Rūdkhāneh-ye Tembī	id=g:112909
Tembī	id=g:112910
Tembī Gelgīr	id=g:112911
Telūrd	id=g:112912
Telowbīn	id=g:112913
Tellī Dāgh	id=g:112914
Tellī	id=g:112915
Telkābād	id=g:112916
Telīāb	id=g:112917
Telhāband	id=g:112918
Ţelesm	id=g:112919
Talang	id=g:112920
Darreh Tel Bazun	id=g:112921
Telāgeh	id=g:112922
Takyeh	id=g:112923
Tekmeh Dāsh	id=g:112924
Takhān	id=g:112925
Rūdkhāneh-ye Tejdānū	id=g:112926
Nezhdānlū	id=g:112927
Tejak	id=g:112928
Tehrān Pārs	id=g:112929
Tehrān	id=g:112930
Tehrān	id=g:112931
Tehrān	id=g:112932
Kūh-e Tahr	id=g:112933
Teflī	id=g:112934
Tefīn	id=g:112935
Kūh-e Tedehbar	id=g:112936
Techek	id=g:112937
Bandar-e Teben	id=g:112938
Īstgāh-e Bahrām	id=g:112939
Bāgh Yek	id=g:112940
Shahrestān-e Badreh	id=g:112941
Tāzīān-e Bālā	id=g:112942
Kūh-e Tāzīān	id=g:112943
Tāzīān-e Zīr	id=g:112944
Darreh-ye Tāzeh	id=g:112945
Tāzhbān	id=g:112946
Nāzhān	id=g:112947
Ţazareh	id=g:112948
Tāzeh Qal`eh	id=g:112949
Tāznāb Tāf	id=g:112950
Tāznāb	id=g:112951
Tāzeh Kand	id=g:112952
Tāzeh Kand-e Nahand	id=g:112953
Tāzeh Kand-e Masqarān	id=g:112954
Tāzeh Kand	id=g:112955
Tāzeh Kand-e Ākhvond	id=g:112956
Tāzeh Kand-e Qadīm	id=g:112957
Tāzeh Kand	id=g:112958
Tāzeh Kand	id=g:112959
Tāzeh Kand	id=g:112960
Tāzeh Kand	id=g:112961
Tāzeh Kand	id=g:112962
Tāzeh Kand	id=g:112963
Tāzeh Kand	id=g:112964
Tāzeh Kand	id=g:112965
Tāzeh Kand-e Torkeh Dārī	id=g:112966
Tāzeh Kand	id=g:112967
Tāzeh Kand	id=g:112968
Tāzeh Kand	id=g:112969
Tāzeh Kand-e Fakhr ‘Alī	id=g:112970
Tāzeh Kand	id=g:112971
Tāzeh Kand	id=g:112972
Mehdīābād	id=g:112973
Tāzehābād	id=g:112974
Tāzehābād Shahābīyeh	id=g:112975
Tāzehābād-e Sar Dālān	id=g:112976
Tāzehābād-e Sarāb-e Qaḩţ	id=g:112977
Tāzehābād	id=g:112978
Tāzehābād-e Owrīyeh	id=g:112979
Tāzehābād-e Khalīlābād	id=g:112980
Par Pīsheh	id=g:112981
Tāzehābād-e ‘Īsáābād	id=g:112982
Tāzehābād-e Gāvmīshān	id=g:112983
Nāz̧emābād	id=g:112984
Tāzehābād	id=g:112985
Tāzehābād	id=g:112986
Tāzehābād (1)	id=g:112987
Tāzehābād	id=g:112988
Tāzābād-e Jangā	id=g:112989
Tāzehābād-e Āsīāb Sarā	id=g:112990
Tāzehābād	id=g:112991
Tāzehābād	id=g:112992
Tāzehābād-e Sarāb	id=g:112993
Darreh-ye Tang Tāzeh	id=g:112994
Tang-e Tāzeh	id=g:112995
Kūh-e Tāzeh	id=g:112996
Ţarzaq	id=g:112997
Tazarkosh	id=g:112998
Taz̄ar	id=g:112999
Ţayyebābād	id=g:113000
Ţāyqān	id=g:113001
Ţāyer Sarā	id=g:113002
Ţāyemeh	id=g:113003
Ţā’emeh	id=g:113004
Ţayārīyeh	id=g:113005
Tahyaq	id=g:113006
Tāyāb	id=g:113007
Ţā’	id=g:113008
Ţāvūs	id=g:113009
Ţāvīrān-e ‘Olyā	id=g:113010
Tovīr	id=g:113011
Ţāvīqū’īyeh	id=g:113012
Ţāvīqū’īyeh	id=g:113013
Tāqūk	id=g:113014
Ta‘vīq	id=g:113015
Ţoveyleh-ye Kūchak	id=g:113017
Ţavīleh Gāvī-ye Eshkaf	id=g:113018
Ţavīleh-ye Darrahsī	id=g:113019
Ţavīleh Chaman	id=g:113020
Ţoveyleh-ye Bozorg	id=g:113021
Ţavīleh Bolāghī	id=g:113022
Ţavīl Derāz	id=g:113023
Ţavīlān-e Soflá	id=g:113024
Ţavīlān-e ‘Olyā	id=g:113025
Ţavīl	id=g:113026
Ţavīl	id=g:113027
Kūh-e Tāveh Sīāh	id=g:113028
Tāveh Kākā Khān	id=g:113029
Tāveh Sefīd	id=g:113030
Kūh-e Tāveh Chāl	id=g:113031
Ţāveh	id=g:113032
Tavāz	id=g:113033
Rūdkhāneh-ye Nafar Kan	id=g:113034
Rūdkhāneh-ye Tabar Kand	id=g:113035
Tappeh-ye Tāvar Kabūd	id=g:113036
Tāvar Kabūd	id=g:113037
