Ile Aūdany	id=g:1524128
Gora Aygyrzhal	id=g:1525940
Aygyrzhal	id=g:1525941
Ayghyrqum	id=g:1525942
Kolodets Aygene	id=g:1525943
Aygene	id=g:1525944
Ozero Aydyrkol’	id=g:1525945
Aydaysay	id=g:1525946
Klyuch Aydau-Su	id=g:1525947
Ozero Aydarsha	id=g:1525948
Aydarlykol’	id=g:1525949
Kolodets Aydarly	id=g:1525950
Aydarly	id=g:1525951
Aydarly	id=g:1525952
Aydarly	id=g:1525953
Aydarly	id=g:1525954
Aydarlinskoye	id=g:1525955
Kolodets Aydarla	id=g:1525956
Aydarga	id=g:1525957
Mogila Aydar	id=g:1525958
Aydar Mogila	id=g:1525959
Kolodets Aydar	id=g:1525960
Aydar	id=g:1525961
Aydakol’	id=g:1525962
Aydagarly	id=g:1525963
Sovkhoz Aydabul’skiy	id=g:1525964
Ozero Aydabul	id=g:1525965
Aydabul	id=g:1525966
Aybyz	id=g:1525967
Ay-Bubei	id=g:1525968
Aybatkazgan	id=g:1525969
Mogila Aybasa	id=g:1525970
Ozero Aybas	id=g:1525971
Aybas	id=g:1525972
Ayatskiy	id=g:1525973
Ayat	id=g:1525974
Kolodets Ayak-Tokuz	id=g:1525975
Ayakmoildy	id=g:1525976
Ayakmaldybay	id=g:1525977
Ozero Ayakmalaysor	id=g:1525978
Ozero Ayak-Kul’	id=g:1525979
Ozero Ayak-Kul’	id=g:1525980
Ozero Ayakkol’	id=g:1525981
Qaldyköl	id=g:1525982
Gora Ayak-Karaul	id=g:1525983
Kolodets Ayak-Chilikty	id=g:1525984
Ostrov Ayak-Aral	id=g:1525985
Ayaköz Qalasy	id=g:1525986
Ayaköz	id=g:1525987
Ayagoz	id=g:1525988
Kolodets Akkuduk	id=g:1525989
Ay	id=g:1525990
Ay	id=g:1525991
Avvakumovskiy	id=g:1525992
Avrora	id=g:1525993
Avramovka	id=g:1525994
Avat	id=g:1525995
Avat	id=g:1525996
Avangard	id=g:1525997
Avangard	id=g:1525998
Avan	id=g:1525999
Ozero Aupel’dek	id=g:1526000
Mogila Aul’ye	id=g:1526001
Aulsovet Tretiy	id=g:1526002
Aulsovet Pervyy	id=g:1526003
Aul Odinnadtsatyy	id=g:1526004
Aul Nur-Uzek	id=g:1526005
Aul Nartpay	id=g:1526006
Aul Kul’-Bay	id=g:1526007
Aul Karabay	id=g:1526008
Peski Auliye-Kum	id=g:1526009
Mogila Auliye	id=g:1526010
Gora Auliyetas	id=g:1526011
Ozero Auliakol’	id=g:1526012
Aul Dosmambet	id=g:1526013
Aul Bertamar	id=g:1526014
Kolodets Aul-Bek	id=g:1526015
Aul Baubek	id=g:1526016
Aul Ayt-Kozha	id=g:1526017
Mogila Aulabay	id=g:1526018
Ozero Aukel’bek	id=g:1526019
Auezovskiy Rayon	id=g:1526020
Äūezov	id=g:1526021
Atyzhok	id=g:1526022
Atygay	id=g:1526023
Mogila Atybay	id=g:1526024
Attykuduk	id=g:1526025
Lesnichego Dom Atshapkanskoye	id=g:1526026
Atshapkan	id=g:1526027
Atey	id=g:1526028
Atbulak	id=g:1526029
Kanal Atbashi	id=g:1526030
Atbasarskiy Vtoroy	id=g:1526031
Atbasarskiy Tretiy	id=g:1526032
Atbasar Aūdany	id=g:1526033
Atbasarskiy Chetvërtyy	id=g:1526034
Sovkhoz Atbasarskiy	id=g:1526035
Atbasarskiy	id=g:1526036
Atbasarskiy	id=g:1526037
Atbasar	id=g:1526038
Mogila Ataybek	id=g:1526039
Atasu	id=g:1526040
Atasū	id=g:1526041
Atasu	id=g:1526042
Atasu	id=g:1526043
Atansor Köli	id=g:1526044
Atan-Karasu	id=g:1526045
Atambek	id=g:1526046
Urochishche Atambaschink	id=g:1526047
Atalyk Ostrov	id=g:1526048
Atakan	id=g:1526049
Ozero Atagay	id=g:1526050
Atagay	id=g:1526051
Qarnaq	id=g:1526052
Asysaga	id=g:1526053
Asy	id=g:1526054
Asūbulaq	id=g:1526055
Astrakhan Aūdany	id=g:1526056
Uzunkol’	id=g:1526057
Astrakhanka	id=g:1526058
Astrakhan	id=g:1526059
Kolodets Astau-Kul’	id=g:1526060
Stantsiya Astakhovka	id=g:1526061
Astakhovka	id=g:1526062
Bugor Assan	id=g:1526063
Stantsiya Assa	id=g:1526064
Assa	id=g:1526065
Assa	id=g:1526066
Aspara	id=g:1526067
Askar	id=g:1526068
Ashūdasty	id=g:1526069
Ashut	id=g:1526070
Ashut	id=g:1526071
Ashu-Shushtan	id=g:1526072
Kolodets Ashudas	id=g:1526073
Ashlyayryk	id=g:1526075
Ashitasty	id=g:1526076
Mogila Ashin-Dzhily	id=g:1526077
Ashil-Togay	id=g:1526078
Üshözen	id=g:1526079
Ashchysū	id=g:1526080
Ashchysay	id=g:1526081
Ozero Ashchykol’	id=g:1526082
Solonchak Ashchytastysor	id=g:1526083
Ashchytasty	id=g:1526084
Ozero Ashchitakyr	id=g:1526085
Ashchysū	id=g:1526086
Ashchysū	id=g:1526087
Ashchysū	id=g:1526088
Ashchisu	id=g:1526089
Ashchisu	id=g:1526090
Ashchisu	id=g:1526091
Ashchisu	id=g:1526092
Ashchisu	id=g:1526093
Ashchisu	id=g:1526094
Ashchisu	id=g:1526095
Ozero Ashchysor	id=g:1526096
Ovray Ashchi-Say	id=g:1526097
Ashchiozeksay	id=g:1526098
Ashchiozek	id=g:1526099
Ashchiozek	id=g:1526100
Logovina Ashchily-Say	id=g:1526101
Ashchylyayryk	id=g:1526102
Ashchily	id=g:1526103
Ashchyly	id=g:1526104
Ashchily	id=g:1526105
Ashchily	id=g:1526106
Ashchily	id=g:1526107
Ashchily	id=g:1526108
Ozero Ashchikumkol’	id=g:1526109
Ozero Ashchi-Kul’	id=g:1526110
Kolodets Ashchi-Kuduk	id=g:1526111
Ashchi-Kuduk	id=g:1526112
Ashchikuduk	id=g:1526113
Ashchi Kuduk	id=g:1526114
Ashchyköl Oyysy	id=g:1526115
Ozero Ashchikol’	id=g:1526116
Ozero Ashchikol’	id=g:1526117
Ozero Ashchikol’	id=g:1526118
Ozero Ashchykol’	id=g:1526119
Ozero Ashchikol’	id=g:1526120
Ozero Ashchikol’	id=g:1526121
Ozero Ashchikol’	id=g:1526122
Ashchyköl	id=g:1526123
Ozero Ashchikol’	id=g:1526124
Ozero Ashchikol’	id=g:1526125
Ozero Ashchikol’	id=g:1526126
Ashchiköl	id=g:1526127
Ozero Ashchikol’	id=g:1526128
Akchakol’	id=g:1526129
Ashchykol’	id=g:1526130
Ashchikol’	id=g:1526131
Ashchikol’	id=g:1526132
Ashchikarasu	id=g:1526133
Ashchikarabau	id=g:1526134
Ashchi-Bulak	id=g:1526135
Ashchi-Bulak	id=g:1526136
Ashchi-Bulak	id=g:1526137
Ashchyboy	id=g:1526138
Ashchi-Ala-Kul' Ozero	id=g:1526139
Ozero Ashchialakol’	id=g:1526140
Kolodets Ashchi	id=g:1526141
Ashchi	id=g:1526142
Kolodets Ashche-Kuduk	id=g:1526143
Ashche-Kuduk	id=g:1526144
Ashak	id=g:1526145
Asha	id=g:1526146
Asha	id=g:1526147
Asha	id=g:1526148
Asenkritovka	id=g:1526149
Asel’bek	id=g:1526150
Asaybaynyn-Kara-Tal	id=g:1526151
Mogila Asay	id=g:1526152
Ozero Asaubalyk	id=g:1526153
Asanovo	id=g:1526154
Asankozha	id=g:1526155
Asan	id=g:1526156
Arzhan	id=g:1526157
Sovkhoz Arzamasskiy	id=g:1526158
Stantsiya Arys’ Vtoroy	id=g:1526159
Arystankol’	id=g:1526160
Arystandy	id=g:1526161
Arystandy	id=g:1526162
Arysskiy Kanal	id=g:1526163
Stantsiya Arys’ Pervyy	id=g:1526164
Peski Aryskum	id=g:1526165
Solonchak Arys	id=g:1526166
Arys	id=g:1526167
Arys	id=g:1526168
Arys	id=g:1526169
Arynbay	id=g:1526170
Arykty Tretiy	id=g:1526171
Ozero Aryktykol’	id=g:1526172
Aryqty	id=g:1526173
Razvaliny Arykty	id=g:1526174
Arykty	id=g:1526175
Sovkhoz Aryktinskiy	id=g:1526176
Aryqbalyq Aūdany	id=g:1526177
Sovkhoz Arykbalykskiy	id=g:1526178
Gornoye	id=g:1526179
Arykbalyk	id=g:1526180
Arustan	id=g:1526181
Artykpay	id=g:1526182
Artemovka	id=g:1526183
Ozero Shybyndysor	id=g:1526184
Arspek-Turspek	id=g:1526185
Ozero Arshaly	id=g:1526186
Arshaly	id=g:1526187
Arshaly	id=g:1526188
Sovkhoz Arshalinskiy	id=g:1526189
Arshaly	id=g:1526190
Arseyevka	id=g:1526191
Arqalyq	id=g:1526192
Arkalyk	id=g:1526193
Ovrag Arpa-Tokty	id=g:1526194
Arpaly-Say	id=g:1526195
Zimovka Arpabulak	id=g:1526196
Spiridonovka	id=g:1526197
Arkhipovka	id=g:1526198
Arkhipovka	id=g:1526199
Stantsiya Arkharly	id=g:1526200
Arkhangel’skoye	id=g:1526201
Arkhangel’skiy	id=g:1526202
Taūaghash	id=g:1526203
Arkhangel’skoye	id=g:1526204
Arkat	id=g:1526205
Arkat	id=g:1526206
Arkarly	id=g:1526207
Arkarly	id=g:1526208
Arqalyq Aūdany	id=g:1526209
Stantsiya Arkalyk	id=g:1526210
Gory Arkalyk	id=g:1526211
Arkalyk	id=g:1526212
Gory Arkaly	id=g:1526213
Arik	id=g:1526214
Kolodets Argymbay	id=g:1526215
Argimbay	id=g:1526216
Stantsiya Arganaty	id=g:1526217
Arghanaty Taūy	id=g:1526218
Arghanaty	id=g:1526219
Arganaty	id=g:1526220
Arganatinskiy	id=g:1526221
Ozero Archat-Kul’	id=g:1526222
Khrebet Archaly	id=g:1526223
Arbigen’	id=g:1526225
Bugor Arba-Kalgan	id=g:1526226
Arasankaba	id=g:1526227
Gory Arasan	id=g:1526228
Arasan	id=g:1526229
Aranshi	id=g:1526230
Aranchi Nomer Tretiy	id=g:1526231
Novostroyka	id=g:1526232
Gory Aral-Tyube	id=g:1526234
Gora Aral-Tyube	id=g:1526235
Araltyube	id=g:1526236
Aral-Tyube	id=g:1526237
Araltogay	id=g:1526238
Ostrov Araltobe	id=g:1526239
Araltöbe	id=g:1526240
Araltobe	id=g:1526241
Araltobe	id=g:1526242
Araltobe	id=g:1526243
Araltobe	id=g:1526244
Aralsūl’fat	id=g:1526245
Aralsol’	id=g:1526246
Stantsiya Aral’skoye More	id=g:1526247
Aral Aūdany	id=g:1526248
Aral’skoye	id=g:1526249
Aral Sea	id=g:1526250
Aral Mangy Qaraqumy	id=g:1526251
Peski Aral-Kum	id=g:1526252
Peski Aral-Kum	id=g:1526253
Aralkum	id=g:1526254
Ozero Aralkol’	id=g:1526255
Aralköl	id=g:1526256
Aralkol’	id=g:1526257
Aralbay	id=g:1526258
Aralbay	id=g:1526259
Aralbay	id=g:1526260
Ozero Aral	id=g:1526261
Aral	id=g:1526262
Aral	id=g:1526263
Aral	id=g:1526264
Aral	id=g:1526265
Araktau	id=g:1526266
Les Arakaragay	id=g:1526267
Aqtoghay	id=g:1526268
Aqtaū	id=g:1526269
Aqsū	id=g:1526270
Aqsū	id=g:1526271
Aqshataū	id=g:1526272
Astana	id=g:1526273
Aqadyr	id=g:1526274
Gora Aptyn-Kizyl	id=g:1526275
Apteka	id=g:1526276
Apollonovka	id=g:1526277
Apanovka	id=g:1526278
Kolodets Apan	id=g:1526279
Raz”yezd Antonovka	id=g:1526280
Engbekshi	id=g:1526281
Antonovka	id=g:1526282
Antonovka	id=g:1526283
Antonovka	id=g:1526284
Qoylyq	id=g:1526285
Antonovka	id=g:1526286
Stantsiya Anrakhay	id=g:1526287
Annovka	id=g:1526288
Annenskiy	id=g:1526289
An-Mola	id=g:1526290
Aryk Ankhor	id=g:1526291
Ani-Muratbay	id=g:1526292
Anikino	id=g:1526293
Ozero Angrensor	id=g:1526294
Andronnikovka	id=g:1526295
Androkovskiy	id=g:1526296
Andrīanovka	id=g:1526297
Üygentas Aūdany	id=g:1526298
Sovkhoz Andreyevskiy	id=g:1526299
Andreyevskiy	id=g:1526300
Andreyevka	id=g:1526301
Andreyevskiy	id=g:1526302
Andreevka	id=g:1526303
Andreyevka	id=g:1526304
Andreyevka	id=g:1526305
Andreyevka	id=g:1526306
Andreyevka	id=g:1526307
Andos	id=g:1526308
Andaghultöbe	id=g:1526309
Gora Andagul	id=g:1526310
Anatol’yevka	id=g:1526311
Anatoliyevka	id=g:1526312
Anastas’yevka	id=g:1526313
Anar	id=g:1526314
Anan’yevka	id=g:1526315
Mogila Amyman	id=g:1526316
Pereval Amanzhol	id=g:1526317
Aman-Zhol	id=g:1526318
Amanzhol	id=g:1526319
Amantoghay	id=g:1526320
Amantoghay Aūdany	id=g:1526321
Sovkhoz Amantogayskiy	id=g:1526322
Amantobe	id=g:1526323
Amantau	id=g:1526324
Amanqaraghay	id=g:1526325
Amanötkel	id=g:1526326
Amankol’	id=g:1526327
Sovkhoz Amankaragayskiy	id=g:1526328
Les Amankaragay	id=g:1526329
Amankaragay	id=g:1526330
Amangel’dy	id=g:1526331
Amangel’dy	id=g:1526332
Amangel’dy	id=g:1526333
Amangel’dy	id=g:1526334
Amangel’dy	id=g:1526335
Amangeldi	id=g:1526336
Talap	id=g:1526337
Zholbasshy	id=g:1526338
Amangel’dinskoye Vodokhranilishche	id=g:1526339
Amangeldi Aūdany	id=g:1526340
Sovkhoz Amangel’dinskiy	id=g:1526341
Amangel’dinskoye	id=g:1526342
Amangel’dy	id=g:1526343
Amangeldi	id=g:1526344
Mogila Amanbeka	id=g:1526345
Amakkol’	id=g:1526346
Al’zhan	id=g:1526347
Alyskol’	id=g:1526348
Ozero Alva	id=g:1526349
Alua	id=g:1526350
Altyntau	id=g:1526351
Altynsu	id=g:1526352
Gory Altynshokysy	id=g:1526353
Ozero Altynkol’	id=g:1526354
Stantsiya Altyn-Kalatskaya	id=g:1526355
Altynemel’	id=g:1526356
Sovkhoz Altynbulakskiy	id=g:1526357
Razvaliny Altynasar	id=g:1526358
Altyn-Aryk	id=g:1526359
Altykiben	id=g:1526360
Altybaysor Köli	id=g:1526361
Kolodets Alty-Bay	id=g:1526362
Altybay	id=g:1526363
Gora Altuyt	id=g:1526364
Ozero Altaysor	id=g:1526365
Altayskaya	id=g:1526366
Altayka	id=g:1526367
Gory Altay-Aygyr	id=g:1526368
Altay-Aygyr	id=g:1526369
Zimovka Altay	id=g:1526370
Altay	id=g:1526371
Altay	id=g:1526372
Altandy	id=g:1526373
Ozero Altan	id=g:1526374
Altai Mountains	id=g:1526375
Al’shin	id=g:1526376
Alshimbay	id=g:1526377
Alpsatar	id=g:1526378
Alpeiz	id=g:1526379
Ozero Al’pash	id=g:1526380
Al’mene	id=g:1526381
Mogila Al’men’	id=g:1526382
Gory Almatynyn-Alagyr	id=g:1526383
Almaty	id=g:1526384
Gory Almaly	id=g:1526385
Almaly	id=g:1526386
Almaly	id=g:1526387
Klyuch Almagash-Bastau	id=g:1526388
Raz”yezd Al’magambet	id=g:1526389
Almatinskiy Zapovednik	id=g:1526390
Pik Almaatinskiy	id=g:1526391
Alma-Atinskiy	id=g:1526392
Stantsiya Alma-Ata Vtoraya	id=g:1526393
Stantsiya Alma-Ata Pervaya	id=g:1526394
Gorod Almaty	id=g:1526395
Almaarasan	id=g:1526396
Alkym	id=g:1526397
Ozero Alkasor	id=g:1526398
Ozero Alkasor	id=g:1526399
Alqamergen Köli	id=g:1526400
Alkaly	id=g:1526401
Nomer Dva Kolkhoza Kyzyltu Brigada	id=g:1526402
Alimsere	id=g:1526403
Mogila Alim-Kurgan	id=g:1526404
Alimkhan	id=g:1526405
Kolodets Alimbay	id=g:1526406
Mogila Alikpaya	id=g:1526407
Ali	id=g:1526408
Ostrov Algazy	id=g:1526409
Algazy	id=g:1526410
Algatart	id=g:1526411
Alghabas Aūdany	id=g:1526412
Sovkhoz Algabas	id=g:1526413
Kolkhoz Algabas	id=g:1526414
Algabas	id=g:1526415
Algabas	id=g:1526416
Algabas	id=g:1526417
Algabas	id=g:1526418
Algabas	id=g:1526419
Algabas	id=g:1526420
Alga-Bas	id=g:1526421
Algabas	id=g:1526422
Algabas	id=g:1526423
Algabas	id=g:1526424
Alghabas	id=g:1526425
Algabas	id=g:1526426
Abay	id=g:1526427
Algabas	id=g:1526428
Algabas	id=g:1526429
Algabas	id=g:1526430
Karla Marksa	id=g:1526431
Alga	id=g:1526432
Podsobnoye Khozyaystvo Aleyenok	id=g:1526433
Alëshinka	id=g:1526434
Alepaul	id=g:1526435
Aqköl Aūdany	id=g:1526436
Sovkhoz Alekseyevskiy	id=g:1526437
Sovkhoz Alekseyevskiy	id=g:1526438
Sovkhoz Alekseyevskiy	id=g:1526439
Alekseyevka	id=g:1526440
Alekseyevka	id=g:1526441
Alekseevka	id=g:1526442
Aqköl	id=g:1526443
Urochishche Alekseyevka	id=g:1526444
Alekseevka	id=g:1526445
Alekseyevka	id=g:1526446
Terekty	id=g:1526447
Alekseevka	id=g:1526448
Alekseyevka	id=g:1526449
Alekseyevka	id=g:1526450
Aleksandrovskiy Zavod	id=g:1526451
Sovkhoz Aleksandrovskiy	id=g:1526452
Sovkhoz Aleksandrovskiy	id=g:1526453
Sovkhoz Aleksandrovskiy	id=g:1526454
Aleksandrovskiy	id=g:1526455
Aleksandrovo-Nevskiy	id=g:1526456
Aleksandrovka	id=g:1526457
Aleksandrovka	id=g:1526458
Aleksandrovka	id=g:1526459
Aleksandrovka	id=g:1526460
Aleksandrovka	id=g:1526461
Aleksandrovka	id=g:1526462
Aleksandrovka	id=g:1526463
Aleksandrovka	id=g:1526464
Aleksandrovka	id=g:1526465
Aleksandrovka	id=g:1526466
Aleksandrovka	id=g:1526467
Aleksandrovka	id=g:1526468
Alebastr	id=g:1526469
Kolodets Al’dzhan-Kuduk	id=g:1526470
Ozero Aldiar	id=g:1526471
Gora Aldan	id=g:1526472
Mogila Alchin	id=g:1526473
Albar-Bugut	id=g:1526474
Sovkhoz Albarbugetskiy	id=g:1526475
Mogila Albana	id=g:1526476
Stantsiya Alazhide	id=g:1526477
Alayak	id=g:1526478
Kolodets Alat-Dzhigilgin	id=g:1526479
Alatay	id=g:1526480
Alatauskiy Rayon	id=g:1526481
Alataū	id=g:1526482
Gory Ala-Su	id=g:1526483
Ozero Alasor	id=g:1526484
Alasor	id=g:1526485
Alamesek	id=g:1526486
Ozero Alaman	id=g:1526487
Alam	id=g:1526488
Alaköl Aūdany	id=g:1526489
Ozero Ala-Kul’	id=g:1526490
Ozero Alakol’	id=g:1526491
Ozero Alakol’	id=g:1526492
Ozero Alakol’	id=g:1526493
Ozero Alakol’	id=g:1526494
Ozero Alakol’	id=g:1526495
Ozero Alakol’	id=g:1526496
Ozero Alakol’	id=g:1526497
Ozero Alakol’	id=g:1526498
Ozero Alakol’	id=g:1526499
Alaköl	id=g:1526500
Alakol’	id=g:1526501
Alakol’	id=g:1526502
Alaköl	id=g:1526503
Alakol’	id=g:1526504
Alakol’	id=g:1526505
Alaköl	id=g:1526506
Gora Alagordy	id=g:1526507
Sovkhoz Alabotinskiy	id=g:1526509
Alabota Köli	id=g:1526510
Alabota Köli	id=g:1526511
Alabota	id=g:1526512
Alibi	id=g:1526513
Gory Ala-Baytal	id=g:1526514
Alabaytal	id=g:1526515
Sopka Ala-Bas-Choky	id=g:1526516
Polevoy Stan Alabas	id=g:1526517
Alabas	id=g:1526518
Alabas	id=g:1526519
Ala-Aygyr	id=g:1526520
Stantsiya Ala-Aygir	id=g:1526521
Akzhal	id=g:1526522
Ak-Zhaylyau	id=g:1526523
Akzhaylau	id=g:1526524
Aqzhayqyn Köli	id=g:1526525
Aqzharyq	id=g:1526526
Sovkhoz Akzharskiy	id=g:1526527
Sovkhoz Akzharskiy	id=g:1526528
Akzharma	id=g:1526529
Sovkhoz Akzhar	id=g:1526530
Aqzhar Köli	id=g:1526531
Akzhar	id=g:1526532
Akzhar	id=g:1526533
Akzhar	id=g:1526534
Aqzhar	id=g:1526535
Akzhar	id=g:1526536
Akzhar	id=g:1526537
Aqzhar	id=g:1526538
Akzhar	id=g:1526539
Akzhar	id=g:1526540
Akzhar	id=g:1526541
Akzhar	id=g:1526542
Akzhar	id=g:1526543
Akzhana	id=g:1526544
Akzhal	id=g:1526545
Aqzhal	id=g:1526546
Aqzhal	id=g:1526547
Ak-Yul	id=g:1526548
Aqyrtöbe	id=g:1526549
Stantsiya Ak-Uzyak	id=g:1526550
Ak-Utkel’	id=g:1526551
Aquyyq	id=g:1526552
Ozero Aktyuye-Sor	id=g:1526553
Aktyubek	id=g:1526554
Ak-Tyubek	id=g:1526555
Aktyubek	id=g:1526556
Kolkhoz Ak-Tyube	id=g:1526557
Ak-Tyube	id=g:1526558
Ak-Tyube	id=g:1526559
Ak-Tyube	id=g:1526560
Aktyme	id=g:1526561
Kolodets Ak-Tykendy	id=g:1526562
Ozero Aktuz	id=g:1526563
Aqtuyesay	id=g:1526564
Ak-Tumsuk	id=g:1526565
Aktuma	id=g:1526566
Aktuma	id=g:1526567
Aqtübek	id=g:1526568
Ozero Aktomar	id=g:1526569
Aqtoghay Aūdany	id=g:1526570
Aktogay	id=g:1526571
Aqtoghay	id=g:1526572
Aktogay	id=g:1526573
Aktogay	id=g:1526574
Aktogan	id=g:1526575
Aktobe	id=g:1526576
Aktobe	id=g:1526577
Aqtöbe	id=g:1526578
Aktobe	id=g:1526579
Urochishche Aktobe	id=g:1526580
Aktobe	id=g:1526581
Aktobe	id=g:1526582
Aktobe	id=g:1526583
Aktobe	id=g:1526584
Aktobe	id=g:1526585
Aktobe	id=g:1526586
Aktobe	id=g:1526587
Aktobe	id=g:1526588
Aktobe	id=g:1526589
Aktiv	id=g:1526590
Ak-Terek	id=g:1526591
Akterek	id=g:1526592
Akterek	id=g:1526593
Kolodets Ak-Tekin	id=g:1526594
Kolodets Ak-Taylyak	id=g:1526595
Aktaylak	id=g:1526596
Aktaylak	id=g:1526597
Ak-Tay-Dzhanysh	id=g:1526598
Stantsiya Aktau	id=g:1526599
Gory Aktau	id=g:1526600
Aktau	id=g:1526601
Aktastysay	id=g:1526602
Kolodets Ak-Tastyn-Kuduk	id=g:1526603
Stantsiya Aktasty	id=g:1526604
Ozero Aktasty	id=g:1526605
Ak-Tasty	id=g:1526606
Aktasty	id=g:1526607
Aktasty	id=g:1526608
Ak-tasty	id=g:1526609
Aqtasty	id=g:1526610
Aktasty	id=g:1526611
Aqtasty	id=g:1526612
Ak-Tasty	id=g:1526613
Aktasbulak	id=g:1526614
Pereval Ak-Tas	id=g:1526615
Khrebet Ak-Tas	id=g:1526616
Aktas	id=g:1526617
Aktas	id=g:1526618
Aqtas	id=g:1526619
Aqtas	id=g:1526620
Aktas	id=g:1526621
Aktas	id=g:1526622
Aktas	id=g:1526623
Aktas	id=g:1526624
Aktas	id=g:1526625
Aqtam	id=g:1526626
Aksyrak	id=g:1526627
Aksuyëk	id=g:1526628
Aqsüyek	id=g:1526629
Ak-Suu	id=g:1526630
Aqsū Aūdany	id=g:1526631
Pereval Aksumbe	id=g:1526632
Aksumbe	id=g:1526633
Aksumbe	id=g:1526634
Aksu-Dzhabaglinskiy Zapovednik	id=g:1526635
Aqsū-Ayuly	id=g:1526636
Aqsūat Aūdany	id=g:1526637
Stantsiya Aksuat	id=g:1526638
Ozero Aksuat	id=g:1526639
Ülken Aqsūat Köli	id=g:1526640
Aksuat	id=g:1526641
Aksuat	id=g:1526642
Naūrzym	id=g:1526643
Aksuat	id=g:1526644
Aksuat	id=g:1526645
Aksuat	id=g:1526646
Aksuat	id=g:1526647
Aksuat	id=g:1526648
Aqsūat	id=g:1526649
Aqsūat	id=g:1526650
Aqsūat	id=g:1526651
Aksu	id=g:1526652
Aksu	id=g:1526653
Aksu	id=g:1526654
Aksu	id=g:1526655
Aksu	id=g:1526656
Aksu	id=g:1526657
Aksu	id=g:1526658
Aksu	id=g:1526659
Aksū	id=g:1526660
Aksu	id=g:1526661
Gora Ak-Sorly	id=g:1526662
Aqsorang Bīigi	id=g:1526663
Ozero Aksor	id=g:1526664
Ozero Ak-Sor	id=g:1526665
Ozero Ak-Sor	id=g:1526666
Aksor	id=g:1526667
Aqshyghanaq	id=g:1526668
Gora Akshoky	id=g:1526669
Akshoky	id=g:1526670
Akshoky	id=g:1526671
Akshoky	id=g:1526672
Akshoky	id=g:1526673
Gora Ak-Shoku	id=g:1526674
Akshiy	id=g:1526675
Akshiy	id=g:1526676
Ak-Shiy	id=g:1526677
Akshiy	id=g:1526678
Aqshī	id=g:1526679
Akshatayryk	id=g:1526680
Sovkhoz Akshimanskiy	id=g:1526681
Zhanaakshiman	id=g:1526682
Akshikur	id=g:1526683
Urochishche Akshiganak	id=g:1526684
Akshiganak	id=g:1526685
Aksheshek	id=g:1526686
Ozero Akshatau	id=g:1526687
Aqshataū Zhotasy	id=g:1526688
Gora Akshatau	id=g:1526689
Akshatau	id=g:1526690
Kolodets Ak-Shalik	id=g:1526691
Akshala	id=g:1526692
Akshal	id=g:1526693
Ozero Akserekty	id=g:1526694
Aksengir	id=g:1526695
Aksengir	id=g:1526696
Kosozen	id=g:1526697
Kyrgauyldy	id=g:1526698
Ovrag Ak-Say	id=g:1526699
Aksay	id=g:1526700
Aksay	id=g:1526701
Aksay	id=g:1526702
Aksay	id=g:1526703
Aksay	id=g:1526704
Aksay	id=g:1526705
Aksay	id=g:1526706
Ashchysay	id=g:1526707
Aqsay	id=g:1526708
Aksay	id=g:1526709
Ak-Say	id=g:1526710
Aksay	id=g:1526711
Aksay	id=g:1526712
Kolodets Ak-Saulyk	id=g:1526713
Aksary	id=g:1526714
Aksary	id=g:1526715
Kolodets Ak-Sarlyk	id=g:1526716
Aksan	id=g:1526717
Aksakovka	id=g:1526718
Mogila Aksakbaya	id=g:1526719
Aksakal	id=g:1526720
Gora Akpostav	id=g:1526721
Akpayer	id=g:1526722
Akpas	id=g:1526723
Ak-Parak	id=g:1526724
Akparak	id=g:1526725
Akpar	id=g:1526726
Akozek	id=g:1526727
Ak-Ozek	id=g:1526728
Akozek	id=g:1526729
Zimovka Akutkol’	id=g:1526730
Ak-Otkel’	id=g:1526731
Akoba	id=g:1526732
Akmyrza	id=g:1526733
Akmurza	id=g:1526734
Ak-Mulla	id=g:1526735
Ak-Mulla	id=g:1526736
Ozero Ak-Molla	id=g:1526737
Sovkhoz Akmolinskiy	id=g:1526738
Sovkhoz Akmolinskiy	id=g:1526739
Ozero Akmolakol’	id=g:1526740
Mogila Ak-Mola	id=g:1526741
Mogila Ak-Mola	id=g:1526742
Mogila Ak-Mola	id=g:1526743
Gora Akmola	id=g:1526744
Akmola	id=g:1526745
Akmola	id=g:1526746
Akmaya	id=g:1526747
Akmaya	id=g:1526748
Aryk Akmat	id=g:1526749
Gory Akmaly-Dolan-Kara	id=g:1526750
Gora Akkyr	id=g:1526751
Akkushuk	id=g:1526752
Akkushuk	id=g:1526753
Stantsiya Akkum	id=g:1526754
Poluostrov Akkum	id=g:1526755
Aqqum	id=g:1526756
Gora Ak-Kum	id=g:1526757
Ak-Kum	id=g:1526758
Akkum	id=g:1526759
Akkum	id=g:1526760
Aqqum	id=g:1526761
Akkol’skiy	id=g:1526762
Ak-Kula	id=g:1526763
Ozero Ak-Kul’	id=g:1526764
Ak-Kul’	id=g:1526765
Ak-Kul’	id=g:1526766
Ak-Kul’	id=g:1526767
Kolodets Ak-Kuduk	id=g:1526768
Kolodets Ak-Kuduk	id=g:1526769
Kolodets Ak-Kuduk	id=g:1526770
Kolodets Ak-Kuduk	id=g:1526771
Kolodets Ak-Kuduk	id=g:1526772
Kolodets Ak-Kuduk	id=g:1526773
Kolodets Ak-Kuduk	id=g:1526774
Kolodets Ak-Kuduk	id=g:1526775
Kolodets Ak-Kuduk	id=g:1526776
