Darah-ye Sūr Apan	id=g:1459724
Kōh-e Raygak	id=g:1460457
Kōh-e Kārēz	id=g:1460458
Bulghak	id=g:1460459
Gulbīnah	id=g:1460460
Sōkhtah	id=g:1460461
Jūshinak	id=g:1460462
Būrgh Chīnak	id=g:1460463
Bandālī	id=g:1460464
Sīāh Jabah	id=g:1460465
Nāwah-ye Sūlbī	id=g:1460466
Darah-ye Pūdīnahgak	id=g:1460467
Kōh-e Ūj	id=g:1460468
Kōh-e Khushkak	id=g:1460469
Kōh-e Āchah Sang	id=g:1460470
Nāwah-ye Murd ‘Alī	id=g:1460471
Kōtah-Khwāb	id=g:1460472
Kōh-e Nīlū	id=g:1460473
Kōh-e Safayd	id=g:1460474
Ghowch Nāy	id=g:1460475
Kōh-e Rāsh	id=g:1460476
Nāwah-ye Sōkhtah Qāsh	id=g:1460477
Nāy-e Surkh Paytow	id=g:1460478
Qūqr-e Būlāq	id=g:1460479
Nāwah-ye Rōghanī Būlāq	id=g:1460480
Nāy-e Būm-e Shādī	id=g:1460482
Jīl Gumshudah	id=g:1460483
Āltān	id=g:1460484
Dandāb	id=g:1460485
Kadūl	id=g:1460486
Nāwah-ye Targhay	id=g:1460487
Nāy-e Asp Murdah	id=g:1460488
Darah-ye Sagān	id=g:1460489
Qafak	id=g:1460490
Tala	id=g:1460491
Kōh-e Spīn Nāw	id=g:1460492
Sarāy-e Kōtal	id=g:1460493
Tālā	id=g:1460494
Qōl-e Nāwah	id=g:1460495
Kōh-e Tālā	id=g:1460496
Kōtal-e Tālā	id=g:1460497
Kōh-e Sang Qōl	id=g:1460498
Kōh-e Surkh Paytow	id=g:1460499
Sar-e Rāhbodō	id=g:1460500
Darah-ye Rāhbodō	id=g:1460501
Būm-e Sang-e ‘Ajah	id=g:1460502
Shaykh Sang	id=g:1460503
Kōh-e Āb Qōlak	id=g:1460504
Katah Khāk	id=g:1460505
Kōh-e Pāmī	id=g:1460506
Kōh-e Kowshah	id=g:1460507
Darah-ye Sang Qōl	id=g:1460508
Safayd Tōp	id=g:1460509
Kōh-e Mārkandah	id=g:1460510
Sīāh Ābak	id=g:1460511
Darah-ye Mār Kandah	id=g:1460512
Darah-ye Nālah	id=g:1460513
Nālah	id=g:1460514
Kōh-e Baydak	id=g:1460515
Khar Qōl	id=g:1460516
Talkhāk	id=g:1460517
Darah-ye Baydak	id=g:1460518
Darah-ye Awghejam	id=g:1460519
Gardan-e Qādah	id=g:1460520
Būm-e ‘Abd-e ‘Ulūm	id=g:1460521
Darah-ye Ghōlah Kadah	id=g:1460522
Darah-ye Zayrtag	id=g:1460523
Shahr-e Jalīl	id=g:1460524
Chownī	id=g:1460525
Maykh Kūrah	id=g:1460526
Lōkhāk	id=g:1460527
Ōbāh	id=g:1460528
Janqarah	id=g:1460529
Dayak	id=g:1460530
Qōl-e Nōkar	id=g:1460531
Kōh-e Khāzah	id=g:1460532
Jīkō	id=g:1460533
Qōl-e Bōtō	id=g:1460534
Qāsh	id=g:1460535
Qōl-e Ilah Sanag	id=g:1460536
Darah-ye Janqarah	id=g:1460537
Darah-ye Dōlānah	id=g:1460538
Darah-ye Mār Kandah	id=g:1460539
Darah-ye Altāmōr	id=g:1460540
Kōh-e Daygtū	id=g:1460541
Darah-ye Mār Kandah	id=g:1460542
Dahan-e Rāhbodō	id=g:1460543
Kōh-e Gīrō	id=g:1460544
Qōl-e Mōtū	id=g:1460545
Kōh-e Safayd Sang	id=g:1460546
Darah-ye Safayd Sang	id=g:1460547
Kōh-e Qāsh	id=g:1460548
Kōh-e Daywāl	id=g:1460549
Mīān Qōl	id=g:1460550
Mīān Qōl	id=g:1460551
Darah-ye Yakh Būlāq	id=g:1460552
Dahān-e Nayak	id=g:1460553
Darah-ye Yakh Būlāq	id=g:1460554
Darah-ye Yālah Mīr	id=g:1460555
Jowpalāl	id=g:1460556
Kōh-e Nāwur	id=g:1460557
Kōh-e Jowpalāl	id=g:1460558
Sīāh Khārak	id=g:1460559
Qāsh	id=g:1460560
Tājīkān	id=g:1460561
Dahan-e Qōl	id=g:1460562
Darah-ye Surkhābād	id=g:1460563
Sar Qōl	id=g:1460564
Sar Qōl	id=g:1460565
Band-e Gōrkī	id=g:1460566
Mundah Wulyād	id=g:1460567
Dahan-e Khūkhā	id=g:1460568
Altarghanah	id=g:1460569
Chahār Sang	id=g:1460570
Daywāl Qōl	id=g:1460571
Janqarah	id=g:1460572
Bīnī Dāy Sang	id=g:1460573
Darah-ye Pas-e Gardan	id=g:1460574
Gōdāl	id=g:1460575
Band-e Gōdāl	id=g:1460576
Jangalak	id=g:1460577
Ḩaqdād	id=g:1460578
Sīāh Paytow	id=g:1460579
Qāsh Gōsh	id=g:1460580
Kōh-e Badqadah	id=g:1460581
Tōkhtah Qōl	id=g:1460582
Tōp	id=g:1460583
Kōh-e Zard	id=g:1460584
Kōh-e Bilandak	id=g:1460585
‘Ajam	id=g:1460586
Kōh-e Safayd	id=g:1460587
Zērāt	id=g:1460588
Padmanī	id=g:1460589
Kōh-e Khwājah Muḩammad	id=g:1460590
Darah-ye Pāy Nāw	id=g:1460591
Sar-e Dasht	id=g:1460592
Surkhābād	id=g:1460593
Kōh-e Chahār Sang	id=g:1460594
Sar-e ‘Ulūm	id=g:1460595
Paytow	id=g:1460596
Nāw-e Wasiwusū	id=g:1460597
Nowkhār	id=g:1460598
Sarband	id=g:1460599
Sīāh Gulī	id=g:1460600
Kōh-e Ayrōmurgh	id=g:1460601
Darah-ye Sīāh Gulī	id=g:1460602
Biland Gīrō	id=g:1460603
Zardil	id=g:1460604
Darah-ye Sīāh Gulī Zardil	id=g:1460605
Darah-ye Baghalak	id=g:1460606
Gīrō	id=g:1460607
Nāwur ‘Alī	id=g:1460608
Darah-ye Āb Khānah	id=g:1460609
Darah-ye Bayd Qōl	id=g:1460610
Kōh-e Archagak	id=g:1460611
Shorgird	id=g:1460612
Tagāw-e Pushbar	id=g:1460613
Chashmah-ye Chinār	id=g:1460614
Chashmah-ye Gandow	id=g:1460615
Sar-e Āsyā	id=g:1460616
Kashmīrān	id=g:1460617
‘Aţār Bāshī	id=g:1460618
Chahār Burjak	id=g:1460619
Khwājah Murād	id=g:1460620
Sayyid Ābād	id=g:1460621
Rabāţ-e Adham	id=g:1460622
Jūy-e Yaḩyāābād	id=g:1460623
Lār-e Khūnī	id=g:1460624
Sar Pal	id=g:1460625
Qal‘ah	id=g:1460626
Tah Kham-e Muḩammad Nūr Khān	id=g:1460627
Kham-e Paytow	id=g:1460628
Sarah-ye Bālā	id=g:1460629
Āblān	id=g:1460630
Dekhi-Mugulan	id=g:1460631
Dekhmirsad	id=g:1460632
Miandzhu	id=g:1460633
Langarkhodzha	id=g:1460634
Mirabadi-Sufla	id=g:1460635
Baydak	id=g:1460636
Kārēz-e Sawiyah	id=g:1460637
Kalayi-Yusufkhan	id=g:1460638
Kalayi-Dasht	id=g:1460639
Kārīz-e Kafīar Khān	id=g:1460640
Sandzhur	id=g:1460641
Tarini-Miana	id=g:1460642
Rabati-Mirzaynur	id=g:1460643
Mogila Khodzha-Gaybi	id=g:1460644
Dakhani-Sabzvari	id=g:1460645
Urochishche Kadzha	id=g:1460646
Gōr Zanak	id=g:1460647
Gōr Zanak	id=g:1460648
Gōr Zanak	id=g:1460649
Gōr Zanak	id=g:1460650
Kōh-e Kurgh	id=g:1460651
Kōh-e Sang-e Āsmān	id=g:1460652
Kohe Ghulgholak	id=g:1460653
Gora Garkab	id=g:1460654
Darreh-ye Mālmand Rūd	id=g:1460655
Gory Palangkush	id=g:1460656
Kohe Jalakhak	id=g:1460657
Gora Dzhirgagi	id=g:1460658
Kyariz Mukhammedali	id=g:1460659
Kārīz-e Deh Mīr	id=g:1460660
Kyariz Kokh	id=g:1460661
Gora Gavkush	id=g:1460662
Kyariz Mukhammedayub	id=g:1460663
Kyariz Mukhammedanvar	id=g:1460664
Gory Khulayi-Surkh	id=g:1460665
Band-e Chehel Khord	id=g:1460666
Ābkalhā	id=g:1460667
Gory Saidakhmed	id=g:1460668
Gory Saiddaud	id=g:1460669
Seyyed Dāvūd	id=g:1460670
Gora Digakgar	id=g:1460671
Gory Zarandazgar	id=g:1460672
Gory Khugavak	id=g:1460673
Gora Khari	id=g:1460674
Sapandow Ghar-e	id=g:1460675
Mālmand Rūd-e	id=g:1460676
Kōh-e Paḏay	id=g:1460677
Kōh-e Rōd-e Duzd	id=g:1460678
Kōh-e Khowr	id=g:1460679
Sūr Ghar	id=g:1460680
Kōh-e Kanyābād	id=g:1460681
Kōh-e Ma‘rūf	id=g:1460682
Kōh-e Jowrābād	id=g:1460683
Kōh-e Tarakêy	id=g:1460684
Gora Kutigar	id=g:1460685
Gora Chakharbandi	id=g:1460686
Kyariz Kuti	id=g:1460687
Sowr Ghar-e	id=g:1460688
Dekhandzhir	id=g:1460689
Dekh-Mian-Karez	id=g:1460690
De Mogholābād Kārīz-e	id=g:1460691
Gora Srigunday	id=g:1460692
Piri-Gayd	id=g:1460693
Pīr-e Ghays	id=g:1460694
Kyariz Tsakhak	id=g:1460695
Kyariz Voney	id=g:1460696
Chāh-e Daryāb	id=g:1460697
Gora Angiru	id=g:1460698
Kyariz Mauladad	id=g:1460699
De Khaleng Ghar-e	id=g:1460700
Rodnik Karvangakh	id=g:1460701
Shakhidi-Chakharbandi-Karvangakh	id=g:1460702
Rābīā Ghar-e	id=g:1460703
Kyariz Amin	id=g:1460704
Gory Shingar	id=g:1460705
Gora Liregunday	id=g:1460706
Kyariz Khaykhay	id=g:1460707
Kyariz Tut	id=g:1460708
Cheshmeh-ye Hayhay	id=g:1460709
Kyariz Zor	id=g:1460710
Kōh-e Kalāghak	id=g:1460711
Qaryeh-ye Astar Gāh	id=g:1460712
Chashnak	id=g:1460713
Qaryeh-ye Kelkestān	id=g:1460714
Gora Karsu	id=g:1460715
Gory Bandi-Siakh	id=g:1460716
Gora Kandi-Sala	id=g:1460717
Kōh-e Guzar Gazak	id=g:1460718
Kōhāy Khak-e Bachahhā	id=g:1460719
Kyariz Miankarez	id=g:1460720
Kyariz Andzhir	id=g:1460721
Baydā’ī Ghar	id=g:1460722
Dikamindzhan	id=g:1460723
Dikamindzhan	id=g:1460724
Kohe Takatu	id=g:1460725
Gora Selava	id=g:1460726
Gora Koravi-Agamir	id=g:1460727
Kherskhāl	id=g:1460728
Gora Khaftila	id=g:1460729
Galabed	id=g:1460730
Jar-e Gumā	id=g:1460731
Sangi-Safed	id=g:1460732
Gauzha	id=g:1460733
Grobnitsa Ziarati-Khodzha-Nur	id=g:1460734
Gora Shamorgak	id=g:1460735
Kau	id=g:1460736
Mundeh	id=g:1460737
Pushtah-ye ‘Alī Bēg	id=g:1460738
Shōrak	id=g:1460739
Talkhāb	id=g:1460740
Darah-ye Band	id=g:1460741
Nowmazār	id=g:1460742
Bādrowak	id=g:1460743
Pushtah-ye Khāristān	id=g:1460744
Gora Yakhdan	id=g:1460745
Jar-e Gurgkushtah	id=g:1460746
Sīāh Lākhak	id=g:1460747
Gora Chakau	id=g:1460748
Gora Takhomi	id=g:1460749
Darbandi-Safed	id=g:1460750
Kohe Khola	id=g:1460751
Balacha	id=g:1460752
Gora Tanor	id=g:1460753
Jar-e Asbmordeh	id=g:1460754
Gory Chaptagau	id=g:1460755
Gora Oshe	id=g:1460756
Ragavuch	id=g:1460757
Jar-e Zolālbēch	id=g:1460758
Jar-e Kondeh	id=g:1460759
Poshteh-ye Malmenj	id=g:1460760
Shaylah-ye Khushow	id=g:1460761
Oshe	id=g:1460762
Jar-e Devār	id=g:1460763
Salakhkhana	id=g:1460764
Galak	id=g:1460765
Pereval Kotali-Safed	id=g:1460766
Pereval Siakhsang	id=g:1460767
Siakhsang	id=g:1460768
Jar-e Samak	id=g:1460769
Gora Petavi-Surkh	id=g:1460770
Yakhdan	id=g:1460771
Marguzar	id=g:1460772
Jar-e Zard	id=g:1460773
Gora Korav	id=g:1460774
Gora Zerni	id=g:1460775
Gora Shakhlan	id=g:1460776
Khamvar	id=g:1460777
Zerni	id=g:1460778
Gory Dayma	id=g:1460779
Urochishche Kharbed	id=g:1460780
Kohe Malaw	id=g:1460781
Jar-e Geldān	id=g:1460782
Jar-e Sīrān	id=g:1460783
Kadzhnau	id=g:1460784
Gora Dozakhdarra	id=g:1460785
Kōh-e Malow	id=g:1460786
Khar Baydak	id=g:1460787
Jowrūghūch	id=g:1460788
Gumāw	id=g:1460789
Mārkhūnak	id=g:1460790
Laghah	id=g:1460791
Yakhak	id=g:1460792
Chashmah-ye Safayd	id=g:1460793
Dālsang	id=g:1460794
Ghalbilak	id=g:1460795
Urochishche Safedarak	id=g:1460796
Jar-e Kharsaypī	id=g:1460797
Kunda’ī Sōkhtah	id=g:1460798
Gora Salakhak	id=g:1460799
Jar-e Zard	id=g:1460800
Jowzak	id=g:1460801
Sar-e Ţowaylah	id=g:1460802
Jar-e Ţowaylah	id=g:1460803
Sang-e Chahār	id=g:1460804
Dāl-e Khwājah Yār	id=g:1460805
Nōlah-ye Pūnī	id=g:1460806
Darah-ye Pūnī	id=g:1460807
Sang-e Sūrākh	id=g:1460808
Nōlah-ye Utak	id=g:1460809
Jar-e Masjid	id=g:1460810
Pāy Kōtal	id=g:1460811
Khārzārak	id=g:1460812
Khārzārak	id=g:1460813
Balandarghūnī	id=g:1460814
Sarband	id=g:1460815
Sar-e Gazak	id=g:1460816
Zāghay	id=g:1460817
Jar-e Karīmī	id=g:1460818
Talkhāb	id=g:1460819
Khamishōr	id=g:1460820
Kōh-e Mundaligh	id=g:1460821
Jar-e Gazak	id=g:1460822
Jar-e Kadalī	id=g:1460823
Dahān-e Gazak	id=g:1460824
Kōh-e Ghadghadak	id=g:1460825
Lukah-ye Yakabayd	id=g:1460826
Jar-e Garmāb	id=g:1460827
Darband-e Naşrullāh	id=g:1460828
Zīārat-e Sayyid Tāj Muḩammad Shāh	id=g:1460829
Zāgh Khānah	id=g:1460830
Gora Sangi-Char	id=g:1460831
Shaylah-ye Ābrowah	id=g:1460832
Ghālgardak	id=g:1460833
Pushtah-ye Kojā’īhā	id=g:1460834
Kudzhaikha	id=g:1460835
Khamīn-e Gumbad	id=g:1460836
Yakabayd	id=g:1460837
Āwjāl-e Garmāb	id=g:1460838
Jar-e Sumak	id=g:1460839
Aspqīr	id=g:1460840
Jar-e Sīrzār	id=g:1460841
Seyyedkoshteh	id=g:1460842
Darratakht	id=g:1460843
Dzhelaugirak	id=g:1460844
Jar-e Bāldārghūnī	id=g:1460845
Pereval Dzhalavgirak	id=g:1460846
Gora Badravak	id=g:1460847
Kabristan	id=g:1460848
Gora Siakhkhak	id=g:1460849
Kalagi	id=g:1460850
Gora Dzhakhannumay	id=g:1460851
Jāyamah	id=g:1460852
Gurgāw	id=g:1460853
‘Alamchū	id=g:1460854
Chōyunak	id=g:1460855
Bādrowak	id=g:1460856
Chākhā	id=g:1460857
Rakhi-Tunda	id=g:1460858
Ghārgalah	id=g:1460859
Ghārgalah	id=g:1460860
Iskīchak	id=g:1460861
Chahār Sang	id=g:1460862
Pushtah-ye Mīdānak	id=g:1460863
Pushtah-ye Gumāw	id=g:1460864
Khāk-e Ūshtur	id=g:1460865
Chashmah-ye Rayg	id=g:1460866
Chashmah-ye Zard	id=g:1460867
Pāwgunak	id=g:1460868
Khōlihā-ye Safayd	id=g:1460869
Sōkhtah	id=g:1460870
Nāwah-ye Munārah	id=g:1460871
Khushk Nāw	id=g:1460872
Shōrak	id=g:1460873
Gulbālah	id=g:1460874
Talkhakī	id=g:1460875
Gurgāwak	id=g:1460876
Shaylah-ye Iskīch	id=g:1460877
Kōh-e Jiragak	id=g:1460878
Shaylah-ye Sīāh Sang	id=g:1460879
Shaylah-ye Kushkak	id=g:1460880
Darah-ye Khushkak	id=g:1460881
Shaylah-ye Sōkhtah	id=g:1460882
Kōh-e Sōkhtah	id=g:1460883
Shaylah-ye Khushnow	id=g:1460884
Shaylah-ye Sar Chashmah	id=g:1460885
Shaylah-ye Qadamgāh	id=g:1460886
Kōh-e Baydak	id=g:1460887
Shaylah-ye Kārēz	id=g:1460888
Shaylah-ye Afghānhā	id=g:1460889
Jar-e Rāh	id=g:1460890
Pushtah-ye Shōrak	id=g:1460891
Jar-e Khwārozār	id=g:1460892
Āwak	id=g:1460893
Kōh-e Yaghābkhānak	id=g:1460894
Shaylah-ye Ghūlmast	id=g:1460895
Shaylah-ye Gurdalang	id=g:1460896
Dōzakh-Darah	id=g:1460897
Khrebe Kasamur	id=g:1460898
Shōrāb	id=g:1460899
Kōh-e Jar-e Khushk	id=g:1460900
Kīshah Sang	id=g:1460901
Kōh-e Kājdarah	id=g:1460902
Jar-e Ţabīlah-ye Bigal	id=g:1460903
Kharah-ye Aspmurdah	id=g:1460904
Jar-e Palmayn	id=g:1460905
Kōh-e Āwak	id=g:1460906
Bishtū	id=g:1460907
Tangī-ye Safayd	id=g:1460908
Sōkhtah Ghāl	id=g:1460909
Jar-e Pukhlah	id=g:1460910
Kōh-e Dahān-e Ḩişār	id=g:1460911
Kīchak	id=g:1460912
Kōh-e Kīchak	id=g:1460913
Jangal-e Bashtū	id=g:1460914
Jar-e Āwak	id=g:1460915
Alūnjī	id=g:1460916
Kōh-e Ābrowah	id=g:1460917
Sīāhjowast	id=g:1460918
Band-e Shibirg	id=g:1460919
Kōh-e Āw-e Dowlat	id=g:1460920
Gurgī	id=g:1460921
Jar-e Daywālak	id=g:1460922
Shaylah-ye Ḩişār	id=g:1460923
Jar-e Sang-e Ganj	id=g:1460924
Kōh-e Dahān-e Ḩişār	id=g:1460925
Jar-e Nayk	id=g:1460926
Jar-e Daywāl	id=g:1460927
Kōh-e Jangjāy	id=g:1460928
Shōrakīzār	id=g:1460929
Mārghālak	id=g:1460930
Gurgī	id=g:1460931
Jar-e Seh Pāhā	id=g:1460932
Jar-e Shakhzak	id=g:1460933
Khūlah-ye Gildūn	id=g:1460934
Deval’	id=g:1460935
Kōtal-e Shakhzak	id=g:1460936
Jar-e Gūlikanī	id=g:1460937
Prokhod Dakhani-Kandast	id=g:1460938
Jar-e Kūn-e Sang	id=g:1460939
Tangī-ye Surkh	id=g:1460940
Kōh-e Now Mazār	id=g:1460941
Jar-e Kūn-e Sang-e Akhīr	id=g:1460942
Katalak	id=g:1460943
Kōh-e Sarsang	id=g:1460944
Kilk-e Mazār	id=g:1460945
Kōh-e Takhtal	id=g:1460946
Kōr Āwak	id=g:1460947
Sar-e Ḩowẕ	id=g:1460948
Sar Tangaī	id=g:1460949
Kōh-e Nayk	id=g:1460950
Tāwah Ghāl	id=g:1460951
Now Gīr	id=g:1460952
Now Ghāl	id=g:1460953
Jar-e Now Mazār	id=g:1460954
Kharah-ye Sīāh	id=g:1460955
Jar-e Barfak	id=g:1460956
Rāh-e Khargōshī	id=g:1460957
Jar-e Shōrak	id=g:1460958
Chalāq-e Kushtah	id=g:1460959
Jar-e Daywālak	id=g:1460960
Jar-e Nayk	id=g:1460961
Jar-e Karbah	id=g:1460962
Kharah-ye Karbah	id=g:1460963
Jar-e Khargōshī	id=g:1460964
Kōh-e Khargōshī	id=g:1460965
Kharah-ye Karwah	id=g:1460966
Īskīch	id=g:1460967
Kōh-e Yamahgak	id=g:1460968
Jar-e Yamahgak	id=g:1460969
Jar-e Yamahgak	id=g:1460970
Kōrāwak	id=g:1460971
Jar-e Sar-e Ōtār	id=g:1460972
Bābandak	id=g:1460973
Tangī Sīāh	id=g:1460974
Daywālak	id=g:1460975
Kōh-e Surkh	id=g:1460976
Rabāţ-e Tangī Azāw	id=g:1460977
Shāhdil	id=g:1460978
Now Mazār	id=g:1460979
Tangī-ye Azāw	id=g:1460980
Jar-e Rowāshkī	id=g:1460981
Jar-e Āwdak	id=g:1460982
Yakah Bayd	id=g:1460983
Kōh-e Chakāwak	id=g:1460984
Talkhakī	id=g:1460985
Kāj Darah	id=g:1460986
Pushtah-ye Rowāshkī	id=g:1460987
Jar-e Tīlak	id=g:1460988
Zākhūn	id=g:1460989
Shākhzak	id=g:1460990
Pushtah-ye Khar Ghalţān	id=g:1460991
Kharah-ye Sīāh Chōb	id=g:1460992
Khāristān	id=g:1460993
Kōtalah	id=g:1460994
Galah-ye Jamālak	id=g:1460995
Kōh-e Ḩişār	id=g:1460996
Jar-e Rāh-e Lashbah	id=g:1460997
Sartūlak	id=g:1460998
Sān-e Sangī	id=g:1460999
Sān-e Sangī	id=g:1461000
Taylak	id=g:1461001
Katalak	id=g:1461002
Urūzyak	id=g:1461003
Shā’īnak	id=g:1461004
Ghāl-e Zāgh	id=g:1461005
Jangalak	id=g:1461006
Yamastān	id=g:1461007
Howār Nāw	id=g:1461008
Chashmah-ye Safayd	id=g:1461009
Pushtah-ye Sīāh Now	id=g:1461010
Sīrzār	id=g:1461011
Pushtah-ye Ālunjak	id=g:1461012
Kīchak	id=g:1461013
Sar-e Band-e Khayrān	id=g:1461014
Khōsh Nāw	id=g:1461015
Shikhlagak	id=g:1461016
Pushtah-ye Daywālak	id=g:1461017
Pushtah-ye Khaīrān	id=g:1461018
Chowdeh	id=g:1461019
Daywālak	id=g:1461020
Pushtah-ye Mandishī	id=g:1461021
Mandishī	id=g:1461022
Darah-ye Patān	id=g:1461023
Jar-e Sārwānak	id=g:1461024
Pushtah-ye Sārwānak	id=g:1461025
Ḩalīmkushtah	id=g:1461026
Kōh-e Zardnow	id=g:1461027
Jar-e Khaīrān	id=g:1461028
Haft Nāw	id=g:1461029
Shāh Khalīl	id=g:1461030
Sang-e Sīāh	id=g:1461031
Yakah Bayd	id=g:1461032
Gāruzārak-e Khōrd	id=g:1461033
Gāruzārak-e Kalān	id=g:1461034
Jar-e Zard Now	id=g:1461035
Gōr-e Kāfar	id=g:1461036
Jar-e Rōghanī	id=g:1461037
Girdhōlang	id=g:1461038
Pushtah-ye Galah Chashmah	id=g:1461039
Pushtah-ye Kīchak	id=g:1461040
Kōh-e Lumbidah	id=g:1461041
Khōsh Nāw	id=g:1461042
Oshtur Gardanī	id=g:1461043
Jar-e Qīşār	id=g:1461044
Lakah Kōh	id=g:1461045
Devalak	id=g:1461046
Khrebet Siakhkokh	id=g:1461047
Jar-e Āstāz̄	id=g:1461048
Daywāl-e Surkh	id=g:1461049
Dahān-e Khaīrān	id=g:1461050
Sartangī	id=g:1461051
Tangi-Azau	id=g:1461052
Tangi-Surkh	id=g:1461053
Jar-e Khākpalak	id=g:1461054
Jar-e Asptāz-e Khōrd	id=g:1461055
Jar-e Asptāz-e Kalān	id=g:1461056
Qabr-e Sīāh	id=g:1461057
Pushtah-ye Tabarchah	id=g:1461058
Taygh-e Archah	id=g:1461059
Kham-e Qālā	id=g:1461060
Jar-e Chīndānah	id=g:1461061
Sang-e Sīnah-ye Bāz	id=g:1461062
Dahān-e Ābrūsī	id=g:1461063
Kōh-e Kalpay Tumbūrsang	id=g:1461064
Darratakht	id=g:1461065
Kōh-e Tagāwnah	id=g:1461066
Kōh-e Sangubār	id=g:1461067
Kōh-e Sar Darah	id=g:1461068
Mīān Kōhak	id=g:1461069
Kōh-e Kōrāwak	id=g:1461070
Jar-e Abulḩasan	id=g:1461071
Jar-e Sang-e Maḩkam	id=g:1461072
Pushtah-ye Zardnow	id=g:1461073
Jar-e Chuqurī	id=g:1461074
Kōh-e Bursak	id=g:1461075
Jar-e Olang-e Sarnigūn	id=g:1461076
Taygh-e Bursak	id=g:1461077
Tīrī-Band	id=g:1461078
Sīāh Sangak	id=g:1461079
Jar-e Dabishkanak	id=g:1461080
Saybak	id=g:1461081
Jar-e Distāsak	id=g:1461082
Sar-e Asp Murdah	id=g:1461083
Gardanah-ye Shīgatī	id=g:1461084
Jar-e Dowlatmulk	id=g:1461085
Daywāl Sang	id=g:1461086
Qowdāl-e Shīndān	id=g:1461087
Pushtah-ye Zindānak	id=g:1461088
Jar-e Spīzow	id=g:1461089
Kharah-ye Sinjitak	id=g:1461090
Quwāy Rūwāshkī	id=g:1461091
Jar-e Mārgazīdah	id=g:1461092
‘Alamchōy	id=g:1461093
Pushtah-ye Pīarī Zāqī	id=g:1461094
Taygh-e Tōp-e Surkh	id=g:1461095
Jar-e Pīarī Zāqī	id=g:1461096
Jar-e Hazār Darakht	id=g:1461097
Pushtah-ye Kham-e Qal‘ah	id=g:1461098
Jar-e Tangī Mālah	id=g:1461099
Pushtah-ye Kajmākajak	id=g:1461100
Jar-e Kajmākajak	id=g:1461101
Gardanah-ye Sīāh	id=g:1461102
Kharah-ye Shākhak	id=g:1461103
Pushtah-ye Shābāshak	id=g:1461104
Kōh-e Kowgīnah	id=g:1461105
Jar-e Yakah Bayd	id=g:1461106
Jar-e Ōtār	id=g:1461107
Imamdad	id=g:1461108
Khargōsh-Ghālak	id=g:1461109
Jar-e Sīāh	id=g:1461110
Iskīchak	id=g:1461111
Pushtah-ye Razak	id=g:1461112
Jar-e Yakah Bayd	id=g:1461113
Jar-e Shābāshak	id=g:1461114
Taygh-e Kowsh	id=g:1461115
Jar-e Pārdamāskū	id=g:1461116
Jar-e Sīāh Sang	id=g:1461117
Pushtah-ye Gāwkush	id=g:1461118
Jar-e Asp Murdah	id=g:1461119
Pushtah-ye Zīnak wa Sīrah Zār	id=g:1461120
Jar-e Sīrah Zār	id=g:1461121
Kōh-e Archah	id=g:1461122
Kōh-e Zaghan	id=g:1461123
Kōh-e Gildān	id=g:1461124
Qowdāl-e Gowandāz	id=g:1461125
Jar-e Archah	id=g:1461126
Taygh-e Khirsī	id=g:1461127
Jar-e Khirsī	id=g:1461128
Jar-e Sangparān	id=g:1461129
Pushtah-ye Kurghak	id=g:1461130
Pushtah-ye Khwājah Bayd	id=g:1461131
Pushtah-ye Qowī Ḩayāt	id=g:1461132
Pushtah-ye Sīāh-Tal	id=g:1461133
Jar-e Hārūn Takhah	id=g:1461134
Pushtah-ye Ghaẕbas	id=g:1461135
Jar-e Gazak	id=g:1461136
Pushtah-ye Bēltūn Kushtah	id=g:1461137
Pushtah-ye Khar Bayd	id=g:1461138
Jar-e Khar Bayd	id=g:1461139
Pushtah-ye Nowlīj	id=g:1461140
Jar-e Anjīrī	id=g:1461141
Pushtah-ye Anjīrī	id=g:1461142
Pushtah-ye Lūchī	id=g:1461143
Jar-e Kowdī	id=g:1461144
Jar-e Razak	id=g:1461145
Sūrpān	id=g:1461146
Pushtah-ye Sūrpān	id=g:1461147
Dāmanah-ye Paytow-e Sīāh	id=g:1461148
Kōh-e Paytow-e Sīāh	id=g:1461149
Quţbak	id=g:1461150
Kōh-e Ispīnak	id=g:1461151
Kharah-ye Awlī	id=g:1461152
Dāmanah-ye Awlī	id=g:1461153
Kōh-e Nalbast	id=g:1461154
Jar-e Nalbast	id=g:1461155
Jar-e Nayk	id=g:1461156
Kōh-e Zaghan	id=g:1461157
Shakhzak	id=g:1461158
Ḩişārak	id=g:1461159
Kōh-e Taygh-Lōrah	id=g:1461160
Zīārat-e Pīrghayb	id=g:1461161
Jar-e Darah Band	id=g:1461162
Kharah-ye ‘Alafdarow	id=g:1461163
Dasht-e Şaḩrā’ī-Buz	id=g:1461164
Pushtah-ye Sālim	id=g:1461165
Kōh-e Safayd Sang	id=g:1461166
Jar-e Sangrow	id=g:1461167
Jar-e Qabristān	id=g:1461168
Pushtah-ye Akhzabān	id=g:1461169
Jar-e Ghulāmān	id=g:1461170
Rāh-e Tundah	id=g:1461171
Now Gurgān	id=g:1461172
Sīāh Darah	id=g:1461173
Jar-e Safayd Sang	id=g:1461174
Pushtah-ye Bajah	id=g:1461175
Lārbandī	id=g:1461176
Kōh-e Bajah	id=g:1461177
Kīchak	id=g:1461178
Mīān Jar	id=g:1461179
Taygh-e Tumbast	id=g:1461180
Jar-e Tumbast	id=g:1461181
Kōh-e Zōbāţ	id=g:1461182
