Plav	id=g:509074
Yazhony	id=g:619560
Yëzhiki	id=g:619561
Yezertsy	id=g:619562
Yezershchina	id=g:619563
Yezerishche	id=g:619564
Yezba	id=g:619565
Yeynarovichi	id=g:619566
Yevseyevichi	id=g:619567
Yevseyevichi	id=g:619568
Yevseyevichi	id=g:619569
Yevnina	id=g:619570
Yevlichi	id=g:619571
Yevlashi	id=g:619572
Yevdokimovichi	id=g:619573
Yes’manovtsy	id=g:619574
Yes’kovichi	id=g:619575
Yes’kova	id=g:619576
Yes’kova	id=g:619577
Yesipovshchina	id=g:619578
Yershi	id=g:619579
Yeroshki	id=g:619580
Yerosheva	id=g:619581
Yeromkovichi	id=g:619582
Yermolovo	id=g:619583
Yermolovka	id=g:619584
Yermolovichi	id=g:619585
Yermakovshchina	id=g:619586
Yermakovka	id=g:619587
Yermaki	id=g:619588
Yerkhi	id=g:619589
Yerëmino	id=g:619590
Yerëmino	id=g:619591
Yeremichi	id=g:619592
Yeremichi	id=g:619593
Yeremeyevshchina	id=g:619594
Yenchi	id=g:619595
Yemel’yanovo	id=g:619596
Yel’ski Rayon	id=g:619597
Yel’sk	id=g:619598
Yelovka	id=g:619599
Yeloviki	id=g:619600
Yeloviki	id=g:619601
Yelovets	id=g:619602
Yeloved	id=g:619603
Ozero Yel’nya	id=g:619604
Yel’nya	id=g:619605
Yel’nya	id=g:619606
Yel’nya	id=g:619607
Yel’no	id=g:619608
Yel’nitsa	id=g:619609
Yel’na	id=g:619610
Yel’na	id=g:619611
Yel’na	id=g:619612
Yel’kovshchina	id=g:619613
Yëlki	id=g:619614
Stantsiya Yelizovo	id=g:619615
Yelizovo	id=g:619616
Yelizavetino	id=g:619617
Yelizarovichi	id=g:619618
Yelino	id=g:619619
Yelenovo	id=g:619620
Yelënovka	id=g:619621
Yelenets	id=g:619622
Yelcha	id=g:619623
Yelany	id=g:619624
Yegany	id=g:619626
Yefimoviche	id=g:619627
Yedlovichi	id=g:619628
Yazyl’	id=g:619629
Yazvy	id=g:619630
Yazvy	id=g:619631
Yazviny	id=g:619632
Yazviny	id=g:619633
Yazviny	id=g:619634
Yazviny	id=g:619635
Stantsiya Yazvino	id=g:619636
Yazvino	id=g:619637
Yazhawki	id=g:619638
Yazvin	id=g:619639
Yazvin	id=g:619640
Yazventsy	id=g:619641
Yazovki	id=g:619642
Ozero Yazno Vel’ke	id=g:619643
Ozero Yazno Male	id=g:619644
Yazno	id=g:619645
Yazkevichi	id=g:619646
Yazhvinets	id=g:619647
Yayechkavichy	id=g:619648
Yavulin	id=g:619649
Yavorovshchina	id=g:619650
Yavor	id=g:619651
Yatvez’	id=g:619652
Yatvez’	id=g:619653
Yatvez’	id=g:619654
Yatvez’	id=g:619655
Yatvesk	id=g:619656
Yatsyny	id=g:619657
Yatsyniki	id=g:619658
Stantsiya Yatsuki	id=g:619659
Yatskovshchina	id=g:619660
Yatskovo	id=g:619661
Yatskovichi	id=g:619662
Yatra	id=g:619663
Yasyutevichi	id=g:619664
Yastshomb	id=g:619665
Yastrembyel’	id=g:619666
Yastreblya	id=g:619667
Yastreblya	id=g:619668
Yastrebka	id=g:619669
Yasnyy les	id=g:619670
Yas’kovshchina	id=g:619671
Yas’kovichi	id=g:619672
Yas’kovichi	id=g:619673
Yas’kovichi	id=g:619674
Yas’keviche	id=g:619675
Yas’keviche	id=g:619676
Yasinovka	id=g:619677
Yashchitsy	id=g:619678
Yasevichi	id=g:619679
Yaseny	id=g:619680
Yasenovshchizna	id=g:619681
Yasenovka	id=g:619682
Yasenok	id=g:619683
Yasenka	id=g:619684
Yasenets	id=g:619685
Yasen’	id=g:619686
Yasen’	id=g:619687
Yasen’	id=g:619688
Yasen’	id=g:619689
Stantsyya Yasyel’da	id=g:619690
Yasyel’da	id=g:619691
Yarutichi	id=g:619692
Yarshevka	id=g:619693
Yarshevichi	id=g:619694
Yarmaki	id=g:619695
Yarkantsy	id=g:619696
Yarishevka	id=g:619697
Yanyshi	id=g:619698
Yanuylovo	id=g:619699
Yanushkovichi	id=g:619700
Yanuki	id=g:619701
Yantsevichi	id=g:619702
Yanovshchina	id=g:619703
Stantsyya Yanaw-Palyeski	id=g:619704
Yanovo-Sloboda	id=g:619705
Yanovo-Kordon	id=g:619706
Ozero Yanovo	id=g:619707
Yanovo	id=g:619708
Yanovo	id=g:619709
Yanovo	id=g:619710
Yanovo	id=g:619711
Yanovo	id=g:619712
Yanovo	id=g:619713
Yanovo	id=g:619714
Yanovo	id=g:619715
Yanovo	id=g:619716
Yanovka	id=g:619717
Yanovka	id=g:619718
Yanovka	id=g:619719
Yanovka	id=g:619720
Ozero Yanovichskoye	id=g:619721
Yanovichi	id=g:619722
Yanovichi	id=g:619723
Yanoviche	id=g:619724
Yanov	id=g:619725
Yankovtsy	id=g:619726
Yankovtse	id=g:619727
Yankovichi	id=g:619728
Yankoviche	id=g:619729
Yanki	id=g:619730
Yankantsy	id=g:619731
Yanka	id=g:619732
Yanevichi	id=g:619733
Yanchitsy	id=g:619734
Yanchenki	id=g:619735
Yampol’	id=g:619736
Yamonty	id=g:619737
Yamny	id=g:619738
Ozero Yamnoye	id=g:619739
Khutora Yamnoye	id=g:619740
Yamnoye	id=g:619741
Yamnoye	id=g:619742
Yamnoye	id=g:619743
Ozero Yamno	id=g:619744
Yamnitsa	id=g:619745
Yamnik	id=g:619746
Yamitskiy	id=g:619747
Yaminsk	id=g:619748
Yamichno	id=g:619749
Yalutsevichi	id=g:619750
Yalovo	id=g:619751
Yalovaya	id=g:619752
Yalovka	id=g:619753
Yalovitsa	id=g:619754
Yalach	id=g:619755
Yakushevka	id=g:619756
Yakushenki	id=g:619757
Yakubuvshchina	id=g:619758
Yakubovtsy	id=g:619759
Yakubovo	id=g:619760
Yakubovka	id=g:619761
Yakubovka	id=g:619762
Yakubova	id=g:619763
Yakshytse	id=g:619764
Yakshitsy	id=g:619765
Yaksha	id=g:619766
Ozero Yakovskoye	id=g:619767
Yakovlevichi	id=g:619768
Yakovichi	id=g:619769
Yakimovskaya Sloboda	id=g:619770
Stantsiya Yakimovka	id=g:619771
Yakimovka	id=g:619772
Yakimovka	id=g:619773
Yakimovichi	id=g:619774
Yakimovichi	id=g:619775
Yakimova Lyada	id=g:619776
Yakhnovshchina	id=g:619777
Yakhnovka	id=g:619778
Yakhimovshchyzna	id=g:619779
Yakentany	id=g:619780
Yagodno	id=g:619781
Yagodka	id=g:619782
Yagodka	id=g:619783
Yagneshchitsy	id=g:619784
Yagnachi	id=g:619785
Yagminovo	id=g:619786
Yahlyevichy	id=g:619787
Yagellovshchyzna	id=g:619788
Yadvin	id=g:619789
Yadrina Sloboda	id=g:619790
Yachnoye	id=g:619791
Yachnoye	id=g:619792
Yachnaya Buda	id=g:619793
Yacheva	id=g:619794
Yachenka	id=g:619795
Yachenka	id=g:619796
Yabrovichi	id=g:619797
Yablonovshchina	id=g:619798
Yablonovo	id=g:619799
Yablonka	id=g:619800
Vzmost’ye	id=g:619801
Vyzhlovichi	id=g:619802
Vyzhary Vtoryye	id=g:619803
Vyzhary Tret’i	id=g:619804
Vyzhary Pervyye	id=g:619805
Vyzenka	id=g:619806
V’yunishche	id=g:619807
V’yun	id=g:619808
V’yukishchi	id=g:619809
Vytreski	id=g:619810
Vyterezha	id=g:619811
Vysokoye	id=g:619812
Vysokoye	id=g:619813
Vysokoye	id=g:619814
Vysokoye	id=g:619815
Vysokoye	id=g:619816
Vysokoye	id=g:619817
Vysokaye	id=g:619818
Vysokoye	id=g:619819
Stantsyya Vysoka-Litowsk	id=g:619820
Vysokiy Gorodets	id=g:619821
Vysokiye Lyady	id=g:619822
Sovkhoz Vysokiye	id=g:619823
Vysokiye	id=g:619824
Vysokiy Borok	id=g:619825
Vysokiy	id=g:619826
Vysokaya Starina	id=g:619827
Vysokaya Pristan’	id=g:619828
Vysokaya Griva	id=g:619829
Vysokaya Griva	id=g:619830
Vysokaya Gora	id=g:619831
Vysokaya Gora	id=g:619832
Vysokaya Buda	id=g:619833
Vysokaye	id=g:619834
Vysochany	id=g:619835
Vyshnyy Stan	id=g:619836
Vyshnarovo	id=g:619837
Vyshkovo	id=g:619838
Vishavichy	id=g:619839
Kanal Vyshen’ski	id=g:619840
Vyshemir	id=g:619841
Vyshedki	id=g:619842
Vysadovichi	id=g:619843
Ozero Vyrvina	id=g:619844
Vypush	id=g:619845
Vynya	id=g:619846
Vynya	id=g:619847
Vynoshevka	id=g:619848
Vynishchi	id=g:619849
Vymnyanka	id=g:619850
Ozero Vymno	id=g:619851
Ozero Vymno	id=g:619852
Vylëvo	id=g:619853
Vylazy	id=g:619854
Vyhrabnaya Slabada	id=g:619855
Vozyera Vyhanashchanskaye	id=g:619856
Vyhanashchy	id=g:619857
Vygonichi	id=g:619858
Vygolovichi	id=g:619859
Vygolenenty	id=g:619860
Stantsiya Vygoda	id=g:619861
Ozero Vygoda	id=g:619862
Vygoda	id=g:619863
Vygoda	id=g:619864
Vygoda	id=g:619865
Vygarka	id=g:619866
Vyetryna	id=g:619867
Vydritsa	id=g:619868
Vydritsa	id=g:619869
Vydritsa	id=g:619870
Vydritsa	id=g:619871
Vydriche	id=g:619872
Stantsiya Vydreya	id=g:619873
Vydrenka	id=g:619874
Vydemki	id=g:619875
Vybrody	id=g:619876
Vyazynka	id=g:619877
Vyazyn’	id=g:619878
Vyaz’ye	id=g:619879
Vyazovnitsa	id=g:619880
Vyazovki	id=g:619881
Vyazovitsa	id=g:619882
Vyazok	id=g:619883
Vyaz’michi	id=g:619884
Vyaz’ma	id=g:619885
Vyaz’-Kutin	id=g:619886
Vyazhny Pervyye	id=g:619887
Vyazhishche	id=g:619888
Vyazan’	id=g:619889
Vyatny	id=g:619890
Vyater	id=g:619891
Vyata	id=g:619892
Vyanutsino	id=g:619893
Vyale	id=g:619894
Vyado	id=g:619895
Vyacha	id=g:619896
Vyacha	id=g:619897
Vuyvichi	id=g:619898
Vul’ka Druhaya	id=g:619899
Vul’ka Popinskaya	id=g:619900
Vul’ka Pyershaya	id=g:619901
Vul’ka-Abrowskaya	id=g:619902
Malaya Vul’ka	id=g:619903
Prypynachny Punkt Vul’ka-Luninyetskaya	id=g:619904
Vul’ka	id=g:619905
Vul’ka	id=g:619906
Vul’ka	id=g:619907
Vul’ka	id=g:619908
Vul’ka	id=g:619909
Vul’ka	id=g:619910
Vawchanski Kanal	id=g:619911
Vtoroy Lyakhovik	id=g:619912
Vtoroy Golynets	id=g:619913
Vtoroye Selishche	id=g:619914
Vtoraya Pyatiletka	id=g:619915
Vtoraya Duzhëvshchina	id=g:619916
Vsenezh’ye	id=g:619917
Vselyub	id=g:619918
Vrublëvshchina	id=g:619919
Vozrozhdeniye	id=g:619920
Vozrozhdeniye	id=g:619921
Vozrozhdeniye	id=g:619922
Vozovniki	id=g:619923
Vozon	id=g:619924
Voznovshchina	id=g:619925
Voznovo	id=g:619926
Voznesen’ye	id=g:619927
Vozgelyantsy	id=g:619928
Vozdvizhensk	id=g:619929
Voytsekhy	id=g:619930
Voytsekhovo	id=g:619931
Voytsekhovo	id=g:619932
Voytovo	id=g:619933
Voytovo	id=g:619934
Voytoviche	id=g:619935
Voytkeviche	id=g:619936
Voytin	id=g:619937
Vaytsyeshin	id=g:619938
Voystom	id=g:619939
Voyskaya	id=g:619940
Voyshtovichi	id=g:619941
Voyshkuny	id=g:619942
Voynyuny	id=g:619943
Voynyuntsy	id=g:619944
Voynilovo	id=g:619945
Voynidzinenty	id=g:619946
Voynichi	id=g:619947
Voynevichi	id=g:619948
Voykovo	id=g:619949
Voykeviche	id=g:619950
Voyevichi	id=g:619951
Voydeni	id=g:619952
Voverany	id=g:619953
Vovche	id=g:619954
Vostochnyy	id=g:619955
Ozero Vosmata	id=g:619956
Voskresentsy	id=g:619957
Voskhod	id=g:619958
Voskhod	id=g:619959
Voskhod	id=g:619960
Voskata	id=g:619961
Voshchanka	id=g:619962
Vorzyany	id=g:619963
Vorotynichi	id=g:619964
Vorotyn’	id=g:619965
Vorotsevichi	id=g:619966
Vorotno	id=g:619967
Vorotishche	id=g:619968
Vorotets	id=g:619969
Voroshilova	id=g:619970
Voroshilki	id=g:619971
Varapayeva	id=g:619972
Vorony	id=g:619973
Vorony	id=g:619974
Vorony	id=g:619975
Vorony	id=g:619976
Vorontsevichi	id=g:619977
Voranawski Rayon	id=g:619978
Voranava	id=g:619979
Voronovo	id=g:619980
Voronovka	id=g:619981
Voronovichi	id=g:619982
Voronka	id=g:619983
Voronino	id=g:619984
Voronino	id=g:619985
Varanilavichy	id=g:619986
Voronichi	id=g:619987
Voronichi	id=g:619988
Voroni	id=g:619989
Voronevo	id=g:619990
Ozero Voronech	id=g:619991
Voronech’	id=g:619992
Voroncha	id=g:619993
Ozero Voron’	id=g:619994
Voron’	id=g:619995
Vorod’kovo Vtoroye	id=g:619996
Vorod’kovo Tret’ye	id=g:619997
Vorod’kovo Pervoye	id=g:619998
Vorod’kovo	id=g:619999
Vorob’yëvka	id=g:620000
Vorob’yëvka	id=g:620001
Vorob’yëvichi	id=g:620002
Vorob’i	id=g:620003
Vornyany	id=g:620004
Vornovka	id=g:620005
Vorne	id=g:620006
Vorkovichi	id=g:620007
Vordev’ye	id=g:620008
Stantsiya Vonichi	id=g:620009
Volyntsy	id=g:620010
Volyntsy	id=g:620011
Volyntsevo	id=g:620012
Volynka	id=g:620013
Volynezh	id=g:620014
Volya	id=g:620015
Volya	id=g:620016
Volya	id=g:620017
Vyeluta	id=g:620018
Volui	id=g:620019
Voltsa	id=g:620020
Volta	id=g:620021
Volpyanka	id=g:620022
Volpa	id=g:620023
Volozhoda	id=g:620024
Valozhynski Rayon	id=g:620025
Stantsiya Volozhin	id=g:620026
Volovo	id=g:620027
Volovnitsa	id=g:620028
Volovniki	id=g:620029
Voloviki	id=g:620030
Volovichevtsy	id=g:620031
Volovel’ Staryy	id=g:620032
Volovel’ Novyy	id=g:620033
Volovel’	id=g:620034
Volovaya Gora	id=g:620035
Volotovki	id=g:620036
Volosyany	id=g:620037
Volosovo	id=g:620038
Volosovichi	id=g:620039
Volosovichi	id=g:620040
Volosovichi	id=g:620041
Volosovichi	id=g:620042
Volosovichi	id=g:620043
Voloskovnya	id=g:620044
Voloshevo	id=g:620045
Volosevichi	id=g:620046
Volosach	id=g:620047
Ozero Volos	id=g:620048
Voloki	id=g:620049
Voloki	id=g:620050
Voloki	id=g:620051
Volokhva Malaya	id=g:620052
Volokhva Bol’shaya	id=g:620053
Volokhva	id=g:620054
Volod’kovo	id=g:620055
Volod’ki	id=g:620056
Volod’ki	id=g:620057
Volod’ki	id=g:620058
Volodarskiy	id=g:620059
Volodarsk	id=g:620060
Vol’nitsa	id=g:620061
Vol’na	id=g:620062
Volma	id=g:620063
Volma	id=g:620064
Volma	id=g:620065
Volma	id=g:620066
Vawkavyski Rayon	id=g:620067
Vawkavyskaye Uzvyshsha	id=g:620068
Stantsiya Volkovysk Tsentral’nyy	id=g:620069
Stantsiya Volkovysk Prigorod	id=g:620070
Stantsiya Volkovysk Gorod	id=g:620071
Volkovtsy	id=g:620072
Volkovshchyzna	id=g:620073
Volkovshchina	id=g:620074
Volkovshchina	id=g:620075
Volkovka	id=g:620076
Volkovichi	id=g:620077
Volkovichi	id=g:620078
Volkovichi	id=g:620079
Volkovichi	id=g:620080
Volkoshanka	id=g:620081
Volkolaty	id=g:620082
Volkolata	id=g:620083
Volki	id=g:620084
Volki	id=g:620085
Volkhva	id=g:620086
Volkan	id=g:620087
Vol’ka-Kazënnaya	id=g:620088
Volka	id=g:620089
Volka	id=g:620090
Volka	id=g:620091
Vol’ka	id=g:620092
Voleykovichi	id=g:620093
Voleykishki	id=g:620094
Volevo	id=g:620095
Volevachi	id=g:620096
Volenskiye Mosty	id=g:620097
Voldatsishki	id=g:620098
Volch’ya Gora	id=g:620099
Volcho	id=g:620100
Stantsiya Volchkovichi	id=g:620101
Volchki	id=g:620102
Volchiy	id=g:620103
Volchitsa	id=g:620104
Vowchyn	id=g:620105
Volchas	id=g:620106
Volchas	id=g:620107
Volchanka	id=g:620108
Volcha	id=g:620109
Vol’barovichi	id=g:620110
Vokhor	id=g:620111
Vodva	id=g:620112
Vodopoy	id=g:620113
Vodoli	id=g:620114
Stantsyya Uladava	id=g:620116
Vlasovtse	id=g:620117
Vlasovo	id=g:620118
Vlasovichi	id=g:620119
Vladyki	id=g:620120
Vladychino	id=g:620121
Vladychino	id=g:620122
Vladimirovo	id=g:620123
Vladimirovka	id=g:620124
Vitunichi	id=g:620125
Vitebskaya Vozvyshennost’	id=g:620126
Vitsyebsk	id=g:620127
Vitskovshchina	id=g:620128
Vitorozh	id=g:620129
Vitlin	id=g:620130
Vitkovshchyzna	id=g:620131
Vitekl’	id=g:620132
Vitsyebski Rayon	id=g:620133
Vitsyebskaya Voblasts'	id=g:620134
Vit’ba	id=g:620135
Vits’	id=g:620136
Vit’	id=g:620137
Visyaty	id=g:620138
Vislitsa	id=g:620139
Vishtoki	id=g:620140
Vishovo	id=g:620141
Vishnyuvka	id=g:620142
Vishnya	id=g:620143
Ozero Vishnëvskoye	id=g:620144
Vishnevo	id=g:620145
Vishnevo	id=g:620146
Vishnevo	id=g:620147
Vishnëvka	id=g:620148
Vishnëvka	id=g:620149
Vishnevka	id=g:620150
Vishnëvka	id=g:620151
Vishkovichi	id=g:620152
Vishevka	id=g:620153
Vishev	id=g:620154
Vishenki	id=g:620155
Vishenki	id=g:620156
Vishenki	id=g:620157
Vishen’ki	id=g:620158
Vishen’ka	id=g:620159
Vishchin	id=g:620160
Visha	id=g:620161
Visha	id=g:620162
Virzhe	id=g:620163
Viry	id=g:620164
Virovlya	id=g:620165
Virloviche	id=g:620166
Virkov	id=g:620167
Virki	id=g:620168
Stantsiya Vir’	id=g:620169
Vinogradovka	id=g:620170
Kanal Vinyets	id=g:620171
Vil’yanov	id=g:620172
Vilyakhovka	id=g:620173
Vily	id=g:620174
Vil’nya	id=g:620175
Vilkovshchina	id=g:620176
Vileyskoye Vodokhranilishche	id=g:620177
Vilyeyski Rayon	id=g:620178
Vileyka	id=g:620179
Vileyka	id=g:620180
Vilyeyka	id=g:620181
Vil’chitsy	id=g:620182
Vil’cha	id=g:620183
Vil’cha	id=g:620184
Viktorovka	id=g:620185
Vikshnyany	id=g:620186
Vikhra	id=g:620187
Vigushki	id=g:620188
Vigantsy	id=g:620189
Vidzyuny	id=g:620190
Vidzy	id=g:620191
Ozero Vidzke	id=g:620192
Vidzeyki	id=g:620193
Vidzevshchyzna	id=g:620194
Viduytsy	id=g:620195
Vidamlya	id=g:620196
Stantsyya Vidzibor	id=g:620197
Vidzibor	id=g:620198
Videnichi	id=g:620199
Vichin	id=g:620200
Vezhkhne	id=g:620201
Vezhëvka	id=g:620202
Vezhen’	id=g:620203
Vezhboloty	id=g:620204
Sovkhoz Veyno	id=g:620205
Veyno	id=g:620206
Vetvitsa	id=g:620207
Vetvitsa	id=g:620208
Vetukhna	id=g:620209
Vetrenka	id=g:620210
Vetlitsa	id=g:620211
Vyetkawski Rayon	id=g:620212
Vetkhin	id=g:620213
Vyetka	id=g:620214
Veterevichi	id=g:620215
Vetchin	id=g:620216
Vet’	id=g:620217
Vesolukha	id=g:620218
Sovkhoz Vësnovo	id=g:620219
Vesnitsk	id=g:620220
Vesnino	id=g:620221
Veski	id=g:620222
Veshnya	id=g:620223
Veseyka	id=g:620224
Veseya	id=g:620225
Vesëlyy Ugol	id=g:620226
Vesëlovo	id=g:620227
Veselovka	id=g:620228
Vertniki	id=g:620229
Vertelishki	id=g:620230
Vershovka	id=g:620231
Verobeyki	id=g:620232
Verkhvtsy	id=g:620233
Verkhutina	id=g:620234
Verkhov’ye	id=g:620235
Verkhov’ye	id=g:620236
Verkhovino	id=g:620237
Vyarkhovichy	id=g:620238
Verkhovaya	id=g:620239
Verkhopol’ye	id=g:620240
Vyerkhalyessye	id=g:620241
Verkhochen’ye	id=g:620242
Verkhnyaya Toshchitsa	id=g:620243
Verkhnyaya Olba	id=g:620244
Verkhnyaya Lida	id=g:620245
Verkhniy Mlynok	id=g:620246
Vyerkhniya Zhary	id=g:620247
Verkhniye Naliboki	id=g:620248
Verkhniye Kozlovichi	id=g:620249
Verkhniye Koltuny	id=g:620250
Verkhniye	id=g:620251
Verkhneye Krivino	id=g:620252
Verkhneye Aleksandrovo	id=g:620253
Vyerkhnyadzvinski Rayon	id=g:620254
Vyerkhnyadzvinsk	id=g:620255
Verkhmen	id=g:620256
Verkhita	id=g:620257
Verkhi	id=g:620258
Verkhi	id=g:620259
Verkaly	id=g:620260
Verichev	id=g:620261
Vereytsy	id=g:620262
Vereyki	id=g:620263
Veret’ya	id=g:620264
Veretseye	id=g:620265
Urochishche Vereteyskiy Mokh	id=g:620266
Vereteyki	id=g:620267
Vereteyka	id=g:620268
Vereteyka	id=g:620269
Vereteya	id=g:620270
Veretey	id=g:620271
Veretei	id=g:620272
Veresnitsa	id=g:620273
Veresna	id=g:620274
Vereskovo	id=g:620275
Vereski	id=g:620276
Vereski	id=g:620277
Vereshki	id=g:620278
Vereshchaki	id=g:620279
Veremeyki	id=g:620280
Veremeyevo	id=g:620281
Veredovo	id=g:620282
Verech’ye	id=g:620283
Vereb’yëvo	id=g:620284
Verëbushki	id=g:620285
Verebevichi	id=g:620286
Verdomichi	id=g:620287
Verchitsy	id=g:620288
Verbovka	id=g:620289
Verbovka	id=g:620290
Verbovichi	id=g:620291
Verbiya	id=g:620292
Verbilovo	id=g:620293
Verbilka	id=g:620294
Stantsyya Vyarba	id=g:620295
Vepry	id=g:620296
Veprin	id=g:620297
Venzovets	id=g:620298
Venzelevo	id=g:620299
Ventsuki	id=g:620300
Ventseviche	id=g:620301
Venslaventy	id=g:620302
Venera	id=g:620303
Vendrizhskiy	id=g:620304
Stantsiya Vendrizh	id=g:620305
Vendorozh	id=g:620306
Vel’ye Pervoye	id=g:620307
Ozero Vel’ye	id=g:620308
Ozero Vel’ye	id=g:620309
Velyatichi	id=g:620310
Velyatichi	id=g:620311
Velyashkovichi	id=g:620312
Vel’ki Vodzyatin	id=g:620313
Vel’ki Lyas	id=g:620314
Vel’ki Karatsk	id=g:620315
Vel’ki Kanal	id=g:620316
Vel’ki Bur	id=g:620317
Vyalikiya Vikaravichy	id=g:620318
Vel’ke Sëlo	id=g:620319
Vel’ke Selo	id=g:620320
Vel’ke Rozhki	id=g:620321
Vel’ke Mezhviny	id=g:620322
Vel’ke	id=g:620323
Vel’ka Lotva	id=g:620324
Vel’ka Lipa	id=g:620325
Vel’ka Balvan’	id=g:620326
Velitin	id=g:620327
Velin	id=g:620328
Velikoye Selo	id=g:620329
Velikoye Selo	id=g:620330
Velikoye Selo	id=g:620331
Velikoye Selo	id=g:620332
Velikoye Selo	id=g:620333
Velikoye Selo	id=g:620334
Velikoye Selo	id=g:620335
Velikoye Selo	id=g:620336
Velikoye Selo	id=g:620337
Velikoye Selo	id=g:620338
Vyalikaye Syalo	id=g:620339
Velikoye Pole	id=g:620340
Velikoye Boloto	id=g:620341
Ozero Velikoye	id=g:620342
Vyalikaryta	id=g:620343
Velikopol’ye	id=g:620344
Velikiy Rozhan	id=g:620345
Velikiy Log	id=g:620346
Velikiy Les	id=g:620347
Velikiy Les	id=g:620348
Velikiy Les	id=g:620349
Velikiye Ogorodniki	id=g:620350
Velikiye Kosichi	id=g:620351
Velikiye Korchitsy	id=g:620352
Velikiye Grinki	id=g:620353
Vyalikiya Dvortsy	id=g:620354
Velikiye Baranki	id=g:620355
Velikiy Bor	id=g:620356
Velikiy Bor	id=g:620357
Velikiy Bor	id=g:620358
Vyaliki Bor	id=g:620359
Velikiy Bokov	id=g:620360
Velikaya Volya	id=g:620361
Velikaya Ussa	id=g:620362
Velikaya Starina	id=g:620363
Velikaya Kurnitsa	id=g:620364
Velikaya Krokotka	id=g:620365
Vyalikaya Hats’	id=g:620366
Velikaya Dolya	id=g:620367
Velevshchina	id=g:620368
Velets	id=g:620369
Velesnitsa	id=g:620370
Veleshin Vtoroy	id=g:620371
Veleshin	id=g:620372
Veleshin	id=g:620373
Velesa	id=g:620374
Velen’	id=g:620375
Vyelyamichy	id=g:620376
Vel’buzy	id=g:620377
Velavsk	id=g:620378
Vekshino	id=g:620379
Vekshichi	id=g:620380
Vekhotnitsa	id=g:620381
Vekantsy	id=g:620382
Veinka	id=g:620383
Vedrovichi	id=g:620384
Vedroch’	id=g:620385
Ozero Vedeto	id=g:620386
Vecherino	id=g:620387
Ozero Vechëra	id=g:620388
Vayshin	id=g:620389
Vaykuntsy	id=g:620390
Vawkavysk	id=g:620391
Vavulichi	id=g:620392
Vavërka	id=g:620393
Vatslavovo	id=g:620394
Vasyuty	id=g:620395
Vasyul’ki	id=g:620396
Vasyuki	id=g:620397
Vasyuki	id=g:620398
Vasnevo	id=g:620399
Vas’kovka	id=g:620400
Vas’kovka	id=g:620401
Vas’kovichi	id=g:620402
Vas’kovichi	id=g:620403
Vasil’yevka	id=g:620404
Vasil’yevka	id=g:620405
Vasil’yevka	id=g:620406
Vasil’yevka	id=g:620407
Vasil’kovo	id=g:620408
Vasil’kovo	id=g:620409
Vasil’kovka	id=g:620410
Vasil’ki	id=g:620411
Vasilishki	id=g:620412
Vasiliny	id=g:620413
Vasilinki	id=g:620414
Vasilevskiye	id=g:620415
Vasilëvo	id=g:620416
Vasilëvka	id=g:620417
Vasilëvka	id=g:620418
Vasilëvka	id=g:620419
Vasilevichi	id=g:620420
Vasilevichi	id=g:620421
Vasilevichi	id=g:620422
Vasilevichi	id=g:620423
Vasilevichi	id=g:620424
Vasilevichi	id=g:620425
Vasil’chitsy	id=g:620426
Vashkovtse	id=g:620427
Vashkovo	id=g:620428
Vasevtse	id=g:620429
Vasevichi	id=g:620430
Varvarovka	id=g:620431
Varvarino	id=g:620432
Varki	id=g:620433
Vargany	id=g:620434
Varen’ki	id=g:620435
Vardomichi	id=g:620436
Varazhbity	id=g:620437
Varatytsk	id=g:620438
Varakomshchizna	id=g:620439
Vanyushichi	id=g:620440
Vangi	id=g:620441
Vanelevichi	id=g:620442
Vanagishki	id=g:620443
Ozero Valuyskoye	id=g:620444
Valozhyn	id=g:620445
Valozhinka	id=g:620446
Ozero Voloba	id=g:620447
Val’keviche	id=g:620448
Valitskovshchina	id=g:620449
Valishcha	id=g:620450
Valëvka	id=g:620451
Valer’yany	id=g:620452
Valer’yanovo	id=g:620453
Valavsk	id=g:620454
Val	id=g:620455
Vabich	id=g:620456
Uzrech’ye	id=g:620457
Uznozh	id=g:620458
Uznoga	id=g:620459
Uznoga	id=g:620460
Uzniki	id=g:620461
Uznazh	id=g:620462
Uznazh	id=g:620463
Uznatsk	id=g:620464
Uzmeny	id=g:620465
Uzlyany	id=g:620466
Uzlyanka	id=g:620467
Uzlogi	id=g:620468
Uzla Vel’ke	id=g:620469
Uzkiy	id=g:620470
Uzhitsa	id=g:620471
Uzhinets	id=g:620472
Uzhar’	id=g:620473
Uzhanka-Vel’ka	id=g:620474
Uzhanka	id=g:620475
Uzha	id=g:620476
Uzgoy	id=g:620477
Uzgorsk	id=g:620478
Uzdyanka	id=g:620479
Uzdorniki	id=g:620480
Uzdevichi	id=g:620481
Uzdzyenski Rayon	id=g:620482
Uzda	id=g:620483
Uzbolot’	id=g:620484
Stantsiya Uza	id=g:620485
Uza	id=g:620486
Uys’tse	id=g:620487
Uvoloki	id=g:620488
Uvarovichi	id=g:620489
Sovkhoz Utro	id=g:620490
Utrilovo	id=g:620491
Uton’ka	id=g:620492
Utkany	id=g:620493
Utsyos	id=g:620494
Stantsiya Ut’	id=g:620495
Ut’	id=g:620496
Ut’	id=g:620497
Usysa	id=g:620498
Usyazha	id=g:620499
Usyazha	id=g:620500
