Gilroy Community Day School	id=g:7237700
Good Shepherd Lutheran Church	id=g:7239024
Good Shepherd Lutheran Church	id=g:7239025
Goodwill Baptist Church	id=g:7239026
Gospel Spreading Church	id=g:7239027
Gospel Spreading Church	id=g:7239028
Grace and Truth Fellowship Church	id=g:7239029
Grace Bible Church of Chesapeake	id=g:7239030
Grace Church of Richmond	id=g:7239031
Grace Community Church	id=g:7239032
Grace Episcopal Church	id=g:7239033
Grace Fellowship Church	id=g:7239034
Great Bridge Church of God	id=g:7239035
Great Hope Baptist Church	id=g:7239036
Great Joy Mission of Deliverance	id=g:7239037
Greater Brook Road Baptist Church	id=g:7239038
Greater Ebenezer African Methodist Episcopal Church	id=g:7239039
Greater Emmanuel Pentecostal Church	id=g:7239040
Greater Joy Outreach Church	id=g:7239041
Greater New Hope Church of God in Christ	id=g:7239042
Greater Revival Center	id=g:7239043
Deep Creek Baptist Church	id=g:7239044
Greater Works Ministries	id=g:7239045
Grove Community Church	id=g:7239046
Hampton Roads Independent Baptist Church	id=g:7239047
Harvest Gathering Church of God in Christ	id=g:7239048
Harvest Renewal Church	id=g:7239049
Healing Temple Church	id=g:7239050
Hebron Conerstone Church International	id=g:7239051
Hemere Noah Kidanemeheheret Church	id=g:7239052
Holland Mission United Church of Christ	id=g:7239053
Holy Faith Ministry	id=g:7239054
Holy Light Church	id=g:7239055
Holy Spirit Association for the Unification of One World Christianity Church of Norfolk	id=g:7239056
Holy Tabernacle Church	id=g:7239057
Holy Temple Evangelical Congregational Church	id=g:7239058
Holy Temple Ministry	id=g:7239059
Holy Way Temple of Faith	id=g:7239060
Hood Temple African Methodist Episcopal Zion Church	id=g:7239061
Hope Alive Family Church	id=g:7239062
House of God Worship Center	id=g:7239063
Humble Beginnings Interdenomenational Ministry	id=g:7239064
Iglesea Bautista El Camino Church	id=g:7239065
Iglesia Cosecha Mundial	id=g:7239066
Iglesia de Dios Ebenezer	id=g:7239067
Immanuel Pentecostal Church	id=g:7239068
International Christian Church	id=g:7239069
Ivy Farms Church of the Brethren	id=g:7239070
Jahnke Road Baptist Church	id=g:7239071
Jamestown Christian Fellowship Church	id=g:7239072
Jerusalem Baptist Church	id=g:7239073
Jesus Church of Deliverance	id=g:7239074
Jesus is Lord Church	id=g:7239075
Jesus is Lord Ministries Church of God in Christ	id=g:7239076
Joy Church	id=g:7239077
Joyous House Church	id=g:7239078
Kempsville Baptist Church	id=g:7239079
Kentwood Heights Baptist Church	id=g:7239080
Kingdom Hall of Jehovahs Witnesses	id=g:7239081
Kingdom Hall of Jehovahs Witnesses	id=g:7239082
Kingdom Ministries Church	id=g:7239083
King's Way Church	id=g:7239084
Landmark Baptist Church	id=g:7239085
Liberty Baptist Church	id=g:7239086
Liberty Worship Center	id=g:7239087
Life in His Word Christian Center	id=g:7239088
Life Line Full Gospel Church	id=g:7239089
Light of Life Christian Center	id=g:7239090
Light of the World Christian Center	id=g:7239091
Lighthouse Worship Center	id=g:7239092
Living Word Ministries	id=g:7239093
Long Life with Jesus Spiritual Baptist Church	id=g:7239094
Love Center Christian Fellowship	id=g:7239095
Love Christian Center	id=g:7239096
Lutheran Church of the Redeemer	id=g:7239097
Lynnhaven Colony Congregational Church	id=g:7239098
Madison Temple African Methodist Episcopal Zion Church	id=g:7239099
Malachi Outreach International Church	id=g:7239100
Manassas Mosque	id=g:7239101
Meadowood Church of God	id=g:7239102
Memorial United Methodist Church	id=g:7239103
Menokin Baptist Church	id=g:7239104
Metropolitan Community Church of Richmond	id=g:7239105
Military Christian Center	id=g:7239106
Missioners of Christ Church	id=g:7239107
Mosque and Islamic Center of Hampton Roads	id=g:7239108
Mount Calvary Baptist Church	id=g:7239109
Mount Calvary Baptist Church	id=g:7239110
Mount Joy Church of God in Christ	id=g:7239111
Mount Lebanon Church of God and Christ	id=g:7239112
Mount Olive Congregation Church of God	id=g:7239113
Mount Vernon United Methodist Church	id=g:7239114
Mount Zion Holy Church	id=g:7239115
Mount Zion Independent Community Church	id=g:7239116
Mountain Top Christian Church	id=g:7239117
Nansemond River Baptist Church	id=g:7239118
Narroway True Holiness Church	id=g:7239119
New Begining Worship Center	id=g:7239120
New Beginning Empowerment Church	id=g:7239121
New Beginnings Church of God and Christ	id=g:7239122
New Bethel Cathedral Church of God in Christ	id=g:7239123
New Canaan Baptist Church	id=g:7239124
New Canaan International Church	id=g:7239125
New Covenant Church	id=g:7239126
New Covenant Community Church	id=g:7239127
New Direction Baptist Church	id=g:7239128
New Direction Evangelistic Church	id=g:7239129
New Discipleship Worship Cathedral	id=g:7239130
New End Time Harvest Church of Restoration	id=g:7239131
New Hope Baptist Church	id=g:7239132
New Hope Baptist Church	id=g:7239133
New Hope Church	id=g:7239134
New Hope Church of Deliverance	id=g:7239135
New Jerusalem Family Church	id=g:7239136
New Life Baptist Church	id=g:7239137
New Life Christian Fellowship Church at Western Branch	id=g:7239138
New Life Church	id=g:7239139
New Life Church at Great Bridge	id=g:7239140
New Life Church of God	id=g:7239141
New Life Hispanic Church	id=g:7239142
New Life of Virginia Beach	id=g:7239143
New Life Providence Church	id=g:7239144
New Life Seventh Day Adventist Church	id=g:7239145
New Living Well Bible Church	id=g:7239146
New Mount Olive Pentecostal Faith Church	id=g:7239147
Pamunkey Regional Library Mechanicsville Branch Library	id=g:7239148
Pamunkey Regional Library Richard S Gillis Jr Ashland Branch Library	id=g:7239149
Pamunkey Regional Library Upper King William Branch Library	id=g:7239150
Pamunkey Regional Library West Point Branch Library	id=g:7239151
Portsmouth Public Library Craddock Branch Library	id=g:7239152
Richmond County Public Library	id=g:7239153
Richmond Public Library Bon Air Library	id=g:7239154
Richmond Public Library Gayton Branch Library	id=g:7239155
Richmond Public Library La Prade Branch Library	id=g:7239156
Richmond Public Library Meadowdale Branch Library	id=g:7239157
Richmond Public Library Municipal Government and Law Branch Library	id=g:7239158
Suffolk Public Library System Chuckatuck Branch Library	id=g:7239159
Surry Public Library	id=g:7239160
Virginia Beach County Public Library Bayside Area Library	id=g:7239161
Virginia Beach County Public Library Central Library	id=g:7239162
Virginia Beach County Public Library Kempsville Area Library	id=g:7239163
Virginia Beach County Public Library Oceanfront Area Library	id=g:7239164
Virginia Beach County Public Library South Rosemont Youth Library	id=g:7239165
Virginia Beach County Public Library Wahab Public Law Library	id=g:7239166
Windsor Public Library	id=g:7239167
York County Public Library Tabb Branch Library	id=g:7239168
Adam Thoroughgood House	id=g:7239169
Air and Power Museum of Hampton	id=g:7239170
Alexandria Archaeology Museum	id=g:7239171
Alexandria Black History Museum	id=g:7239172
Allen E Roberts Masonic Museum	id=g:7239173
American Civil War Center at Historic Tredegar	id=g:7239174
Anderson Gallery at Virginia Commonwealth University	id=g:7239175
Arlington Black Heritage Museum	id=g:7239176
Atlantic Wildfowl Heritage Museum	id=g:7239177
Beth Ahabah Museum and Archives	id=g:7239178
Bolling Haxall House	id=g:7239179
Boykins Tavern Museum	id=g:7239180
Cape Charles Historical Society Museum	id=g:7239181
Charles H Taylor Arts Center	id=g:7239182
Chesterfield County Museum	id=g:7239183
Chesterfield Historical Society Museum	id=g:7239184
Chevra T'helim Jewish Museum and Cultural Center	id=g:7239185
Children's Museum of Virginia	id=g:7239186
Children's Museum of Richmond	id=g:7239187
Colonial Beach Historical Society's Museum at Colonial Beach	id=g:7239188
Contemporary Art Center of Virginia	id=g:7239189
Courthouse Galleries	id=g:7239190
Ellipse Art Center	id=g:7239191
Fort Ward Museum and Historical Site	id=g:7239192
Gadsby's Tavern Museum	id=g:7239193
Gallery on the York Yorktown Arts Foundation	id=g:7239194
Isle of Wight Museum	id=g:7239195
Lee Hall Mansion Museum	id=g:7239196
Lee - Fendall House Museum	id=g:7239197
Lynnhaven House Museum	id=g:7239198
MacArthur Memorial Museum	id=g:7239199
Mattaponi Indian Museum	id=g:7239200
Military Aviation Museum	id=g:7239201
Museum of the Confederacy	id=g:7239202
National Womens History Museum	id=g:7239203
Old Dominion Railway Museum	id=g:7239204
Pocahontas State Park Museum	id=g:7239205
Portsmouth Historical Society Museum	id=g:7239206
Suffolk Museum	id=g:7239207
United States Drug Enforcement Administration Museum and Visitors Center	id=g:7239208
United States Federal Reserve Money Museum	id=g:7239209
Virginia Aquarium and Marine Science Center	id=g:7239210
Virginia Center for Architecture	id=g:7239211
Virginia Department of Historic Resources Richmond Central Office	id=g:7239212
Virginia Holocaust Museum	id=g:7239213
Virginia Living History Museum	id=g:7239214
Virginia Museum of Fine Arts	id=g:7239215
Virginia Sports Hall of Fame	id=g:7239216
Virginia War Museum	id=g:7239217
Visual Arts Center of Richmond	id=g:7239218
Wilton House Museum	id=g:7239219
Gloucester County Office Building 1	id=g:7239220
Gloucester County Office Building 2	id=g:7239221
Gloucester County Social Services Building	id=g:7239222
Mathews County Government Center	id=g:7239223
Suffolk Redevelopment and Housing Authority	id=g:7239224
Suffolk Social Services Building	id=g:7239225
Windsor Municipal Building	id=g:7239226
York County Finance Building	id=g:7239227
York County Operations Center	id=g:7239228
Virginia Hazardous Cargo Inspection Center	id=g:7239229
Franklin City Hall	id=g:7239230
Smithfield Town Hall	id=g:7239231
Three Rivers Community College (Mohegan Campus)	id=g:7239232
Three Rivers Community College (Thames Valley Campus)	id=g:7239233
Old Mecosta County Jail Historical Marker	id=g:7239234
First United Methodist Church Historical Marker	id=g:7239235
Mineral Well Historical Marker	id=g:7239236
Ferris Institute Historical Marker (historical)	id=g:7239237
Ferris State College Historical Marker	id=g:7239238
Barryton Historical Marker	id=g:7239239
Frank Barry Historical Marker	id=g:7239240
Ensenore Point	id=g:7239241
Burr Point	id=g:7239242
Glenwood Point	id=g:7239243
Fays Point	id=g:7239244
Buffalo Creek Cypress Swamp	id=g:7239245
Hesperia United Methodist Church	id=g:7239246
Hesperia Baptist Church	id=g:7239247
Lighthouse Community Church	id=g:7239248
Brunswick Post Office	id=g:7239249
Brohman Post Office	id=g:7239250
Wooster Post Office (historical)	id=g:7239251
Woodville Post Office (historical)	id=g:7239252
Willcox Post Office (historical)	id=g:7239253
Volney Post Office (historical)	id=g:7239254
Sun Post Office (historical)	id=g:7239255
Sitka Post Office (historical)	id=g:7239256
Shaw Post Office (historical)	id=g:7239257
Reeman Post Office (historical)	id=g:7239258
Ramona Post Office (historical)	id=g:7239259
Plumville Post Office (historical)	id=g:7239260
McLeans Post Office (historical)	id=g:7239261
Lilley Post Office (historical)	id=g:7239262
Lake Post Office (historical)	id=g:7239263
Keno Post Office (historical)	id=g:7239264
Jewell Post Office (historical)	id=g:7239265
Lumberton Post Office (historical)	id=g:7239266
Hungerford Post Office (historical)	id=g:7239267
Huber Post Office (historical)	id=g:7239268
Holmdale Post Office (historical)	id=g:7239269
Hawkins Post Office (historical)	id=g:7239270
Grove Post Office (historical)	id=g:7239271
Fields Post Office (historical)	id=g:7239272
Dickinson Post Office (historical)	id=g:7239273
Denver Post Office (historical)	id=g:7239274
Croton Post Office (historical)	id=g:7239275
Home Post Office (historical)	id=g:7239276
Cook's Station Post Office (historical)	id=g:7239277
Brookside Post Office (historical)	id=g:7239278
Brooks Post Office (historical)	id=g:7239279
Bridgeton Post Office (historical)	id=g:7239280
Bishop Post Office (historical)	id=g:7239281
Big Prairie Post Office (historical)	id=g:7239282
Beaver Post Office (historical)	id=g:7239283
Ashland Post Office (historical)	id=g:7239284
Alleyton (historical)	id=g:7239285
Alleyton Post Office (historical)	id=g:7239286
Alderson Post Office (historical)	id=g:7239287
Aetna Post Office (historical)	id=g:7239288
Wilde Cemetery	id=g:7239289
Volney Cemetery	id=g:7239290
Troy Cemetery	id=g:7239291
Sherman Township Cemetery	id=g:7239292
Saint Mary's Catholic Cemetery	id=g:7239293
Saint Joseph's Catholic Cemetery	id=g:7239294
Newaygo City Cemetery	id=g:7239295
Newago County Poor Farm Cemetery	id=g:7239296
Merrill Township Cemetery	id=g:7239297
Lilley Cemetery	id=g:7239298
Lawrence Farm Cemetery (historical)	id=g:7239299
Indian Cemetery	id=g:7239300
East Hesperia Cemtery	id=g:7239301
Woodville Cemetery	id=g:7239302
Lincoln Township Cemetery	id=g:7239303
Barton Township Cemetery	id=g:7239304
Huber Cemetery	id=g:7239305
Bridgeton Cemetery	id=g:7239306
Ashland Cemetery	id=g:7239307
West Building	id=g:7239308
Alumni Building	id=g:7239309
Prakken Building	id=g:7239310
Granger Center	id=g:7239311
Automotive Center	id=g:7239312
Power House	id=g:7239313
Starr Building	id=g:7239314
Williams Auditorium	id=g:7239315
McKessey House	id=g:7239316
Science Building	id=g:7239317
Arts and Sciences Commons	id=g:7239318
Helen Ferris Hall	id=g:7239319
Rankin Student Center	id=g:7239320
Masselink Hall	id=g:7239321
Carlisle Hall	id=g:7239322
Flite Library	id=g:7239323
Vandercook Hall	id=g:7239324
Music Building	id=g:7239325
Clark Hall	id=g:7239326
Swan Building	id=g:7239327
National Elastomer Center	id=g:7239328
Johnson Hall	id=g:7239329
Birkam Health Center	id=g:7239330
East Campus Apartments	id=g:7239331
Student Recreational Center	id=g:7239332
Top Taggart Field	id=g:7239333
Hallisy Hall	id=g:7239334
Timme Center for Student Services	id=g:7239335
Instructional Resource Center	id=g:7239336
Business Building	id=g:7239337
South Campus Apartments	id=g:7239338
Keeney Settlement Cemetery	id=g:7239339
Pickell Hall	id=g:7239340
Taggart Hall	id=g:7239341
Lee Cemetery	id=g:7239342
Ward Hall	id=g:7239343
Albro Cemetery	id=g:7239344
South Commons	id=g:7239345
Miller Hall	id=g:7239346
Seven Day Baptist Cemetery	id=g:7239347
Brophy Hall	id=g:7239348
Sessions Hill Neighborhood Cemetery	id=g:7239349
Knollcrest Commons	id=g:7239350
Old Presbyterian Church Cemetery	id=g:7239351
McNerney Hall	id=g:7239352
Merrill Hall	id=g:7239353
Travis Hall	id=g:7239354
Victor F Spathelf Center	id=g:7239355
Pharmacy Building	id=g:7239356
West Intramural Fields	id=g:7239357
West Campus Apartments	id=g:7239358
West Commons	id=g:7239359
Cramer Hall	id=g:7239360
Bishop Hall	id=g:7239361
Bond Hall	id=g:7239362
Puterbaugh Hall	id=g:7239363
Southwest Commons	id=g:7239364
Henderson Hall	id=g:7239365
Southwest Heating Plant	id=g:7239366
East Homer Cemetery	id=g:7239367
Creative Arts Center	id=g:7239368
Ewigleben Sports Complex	id=g:7239369
Truxton Village Protestant Cemetery	id=g:7239370
Heavy Equipment Technology	id=g:7239371
General Services Building	id=g:7239372
Cheningo Cemetery	id=g:7239373
Cuyler Cemetery	id=g:7239374
Cuyler Hill Cemetery	id=g:7239375
McAllister Cemetery	id=g:7239376
Blodgett Mills Cemetery	id=g:7239377
Lower Cincinnatus Cemetery	id=g:7239378
Holmes Cemetery	id=g:7239379
Cincinnatus Rural Cemetery	id=g:7239380
Taylor Rural Cemetery	id=g:7239381
Holland Cemetery	id=g:7239382
Union Valley Cemetery	id=g:7239383
Carpenter Farm Cemetery	id=g:7239384
Cornell Lane Cemetery	id=g:7239385
Harford Cemetery	id=g:7239386
Harford Mills Cemetery	id=g:7239387
Marathon Cemetery	id=g:7239388
Hunts Corners Cemetery	id=g:7239389
Quail Hill Cemetery	id=g:7239390
Texas Valley Cemetery	id=g:7239391
Willet Village Cemetery	id=g:7239392
Tygart Canyon	id=g:7239393
Flowing Well Park	id=g:7239394
Millpond Park	id=g:7239395
White Cloud Fire Department	id=g:7239396
Family Health Center	id=g:7239397
Saint Joseph Catholic Church	id=g:7239398
Seventh Day Baptist Church	id=g:7239399
White Cloud United Methodist Church	id=g:7239400
White Cloud City Hall	id=g:7239401
White Cloud Community Library	id=g:7239402
Newaygo County Sheriffs Office	id=g:7239403
White Cloud Medical Center	id=g:7239404
White Cloud Police Department	id=g:7239405
White Cloud Post Office	id=g:7239406
Jack D Jones Elementary School	id=g:7239407
Everett Township Hall	id=g:7239408
Big Prairie Community Church	id=g:7239409
Woodville Community Church	id=g:7239410
Upper Elementary School	id=g:7239411
White Cloud High School	id=g:7239412
White Cloud Middle School	id=g:7239413
White Cloud Church of God	id=g:7239414
White Cloud Church of God in Christ	id=g:7239415
Christ Lutheran Church	id=g:7239416
Faith Bible Church	id=g:7239417
Aetna Calvary Church	id=g:7239418
Diamond Lake County Park	id=g:7239419
Harold T Rice Park	id=g:7239420
Zeigler Roadside Park	id=g:7239421
Minnie Lake Park	id=g:7239422
Alley Lake Park	id=g:7239423
Pettibone Lake Park	id=g:7239424
High Rollway Park	id=g:7239425
Baptist Lake Township Park	id=g:7239426
Big Bend Township Park	id=g:7239427
Newaygo County Historical Museum	id=g:7239428
Newaygo Carnegie Library	id=g:7239429
Continu-Care-Gerber Memorial Hospital	id=g:7239430
Pine Medical Group	id=g:7239431
Newaygo Middle School	id=g:7239432
Victory Fellowship Church	id=g:7239433
Believers Bible Chapel	id=g:7239434
Croton Township Park	id=g:7239435
Croton Community Church	id=g:7239436
Newaygo Police Department	id=g:7239437
Living Hope Lutheran Fellowship	id=g:7239438
United Church of Christ	id=g:7239439
First Baptist Church	id=g:7239440
Newaygo United Methodist Church	id=g:7239441
Grace Bible Church	id=g:7239442
Body of Christ Lutheran Church	id=g:7239443
New Community Church of Newaygo	id=g:7239444
Resurrection Life Church	id=g:7239445
Saint Mark's Episcopal Church	id=g:7239446
River Valley Community Church	id=g:7239447
Brookhaven Estates Mobile Home Park	id=g:7239448
Four Seasons Trailer Park	id=g:7239449
Bills Lake Baptist Church	id=g:7239450
Newaygo Post Office	id=g:7239451
Velma Matson Upper Elementary School	id=g:7239452
Newaygo High School	id=g:7239453
Grant Public Library	id=g:7239454
Grant Medical Center	id=g:7239455
Grant Police Department	id=g:7239456
Family Health Care Clinic	id=g:7239457
Grant Post Office	id=g:7239458
Northland Church of Christ	id=g:7239459
Ashland Center Church of Christ	id=g:7239460
Grant United Church of Christ	id=g:7239461
Grant Assembly of God Church	id=g:7239462
Grant Reformed Church	id=g:7239463
Wierenga's Hess Lake Mobile Home Park	id=g:7239464
Lake Forest Mobile Home Park	id=g:7239465
Grant Middle School	id=g:7239466
Grant High School	id=g:7239467
Grant Elementary School	id=g:7239468
WJ Branstrom Park	id=g:7239469
Fremont Area District Library	id=g:7239470
Veterans Memorial Park	id=g:7239471
Hill's Mobile Home Park	id=g:7239472
Community Fellowship Church	id=g:7239473
Newaygo County Baptist Academy	id=g:7239474
Assembly of God Church	id=g:7239475
Seventh Day Adventist Church	id=g:7239476
Fremont Christian Church	id=g:7239477
Fremont Church of the Nazarene	id=g:7239478
Fremont Church of Christ	id=g:7239479
Redeemer Lutheran Church	id=g:7239480
Christian Life Fellowship	id=g:7239481
Second Christian Reformed Church	id=g:7239482
All Saints Catholic Church	id=g:7239483
Dayton Center Wesleyan Church	id=g:7239484
Country Bible Church	id=g:7239485
First Christian Reformed Church	id=g:7239486
First Congregational Church	id=g:7239487
First Baptist Church	id=g:7239488
Grace Community Church	id=g:7239489
Saint John's Episcopal Church	id=g:7239490
Church of Jesus Christ of Latter Day Saints	id=g:7239491
Trinity Christian Reformed Church	id=g:7239492
First Reformed Church	id=g:7239493
Church of the Living Christ	id=g:7239494
Faith Christian School	id=g:7239495
Faith Baptist Church	id=g:7239496
Country View Estates Mobile Home Park	id=g:7239497
Meadowview Village Mobile Home Park	id=g:7239498
Newaygo Medical Care Facility	id=g:7239499
Kingdom Hall of Jehovah's Witnesses	id=g:7239500
Providence Christian High School	id=g:7239501
Sherman Township Hall	id=g:7239502
Main Street Internal Medicine Clinic	id=g:7239503
Saint Michael Church of Brunswick	id=g:7239504
Saint Michael School	id=g:7239505
Reeman Christian Reformed Church	id=g:7239506
Fremont United Methodist Church	id=g:7239507
Fremont Wesleyan Church	id=g:7239508
Pine Medical Group	id=g:7239509
Gerber Memorial Medical Services	id=g:7239510
Fremont City Hall	id=g:7239511
Fremont Post Office	id=g:7239512
Fremont High School	id=g:7239513
Pathfinder Elementary School	id=g:7239514
Fremont Middle School	id=g:7239515
Bitely Post Office	id=g:7239516
Lilley Township Fire Department	id=g:7239517
First Baptist Church of Woodland	id=g:7239518
Bitely Community Church	id=g:7239519
Volney Bible Church	id=g:7239520
Hesperia Medical Center	id=g:7239521
Hesperia Community Library	id=g:7239522
Hesperia High School	id=g:7239523
Dinnens Branch	id=g:7239524
Plainville Cemetery	id=g:7239525
Hortontown Cemetery	id=g:7239526
Jacksonville Cemetery	id=g:7239527
Old Presbyterian Cemetery	id=g:7239528
Lysander Cemetery	id=g:7239529
Cold Spring Cemetery	id=g:7239530
Belgium Cemetery	id=g:7239531
Pendergast Cemetery	id=g:7239532
Morgan's Cemetery	id=g:7239533
North Syracuse Cemetery	id=g:7239534
Riverside Cemetery	id=g:7239535
Terpenning Cemetery	id=g:7239536
Bridgeport Cemetery	id=g:7239537
Jordan Rural Cemetery	id=g:7239538
Whiting Road Cemetery	id=g:7239539
Ionia Cemetery	id=g:7239540
Warners Cemetery	id=g:7239541
Warners Cemetery	id=g:7239542
Liverpool Village Cemetery	id=g:7239543
Loomis Hill Cemetery	id=g:7239544
Loomis Hill Methodist Episcopal Church Cemetery	id=g:7239545
Onondaga County Veterans Memorial Cemetery	id=g:7239546
Rose Hill Cemetery	id=g:7239547
First Ward Cemetery	id=g:7239548
Belle Isle Cemetery	id=g:7239549
Sandy Cove	id=g:7239550
Saint Gabriels Hill	id=g:7239551
Saint Elmo Hill	id=g:7239552
Richard W Schultze Memorial Park	id=g:7239553
James P Scotti Junior Park	id=g:7239554
Scott's Bridge	id=g:7239555
Collamer Cemetery	id=g:7239556
Saint Mary's Cemetery	id=g:7239557
DeWitt Cemetery-New Section	id=g:7239558
DeWitt Cemetery-Old Section	id=g:7239559
Messina Springs Cemetery	id=g:7239560
Immaculate Conception Cemetery	id=g:7239561
Fayetteville Cemetery	id=g:7239562
Fayetteville Pioneer Burial Ground	id=g:7239563
Kirkville Cemetery	id=g:7239564
Mycenae Burial Ground	id=g:7239565
Manlius Village Cemetery	id=g:7239566
Dry Hill Burial Ground	id=g:7239567
Town of Jenkinsville	id=g:7239568
First Methodist Cemetery	id=g:7239569
First Methodist Church (historical)	id=g:7239570
Reformed Cemetery	id=g:7239571
Church of Jesus Christ of Latter Day Saints	id=g:7239572
Church of Jesus Christ of Latter Day Saints	id=g:7239573
Church of Pentecost	id=g:7239574
Church of Saint Charles	id=g:7239575
Church of Saint John Neumann	id=g:7239576
Church of the Ascension	id=g:7239577
Congregation Agudath Achim	id=g:7239578
Congregation Ahavath Israel	id=g:7239579
Congregation Aviv Hadash	id=g:7239580
Cornerstone Worship Center	id=g:7239581
Shepard Settlement Cemetery	id=g:7239582
Mottville Cemetery	id=g:7239583
Marcellus Village Cemetery	id=g:7239584
South Onondaga Cemetery	id=g:7239585
Budlong Cemetery	id=g:7239586
Cardiff Cemetery	id=g:7239587
Webb Hollow Cemetery	id=g:7239588
LaFayette Rural Cemetery	id=g:7239589
Houghtaling-Bush Cemetery	id=g:7239590
Pompey Hill Protestant Cemetery	id=g:7239591
Pompey Hill Roman Catholic Cemetery	id=g:7239592
Pompey Center Cemetery	id=g:7239593
Oran Cemetery	id=g:7239594
Delphi Falls Baptist Church Cemetery	id=g:7239595
Delphi Falls Baptist Church	id=g:7239596
Baker Cemetery	id=g:7239597
Clark Cemetery	id=g:7239598
Block Cemetery	id=g:7239599
Pease Cemetery	id=g:7239600
Dodge Cemetery	id=g:7239601
Lewis Cemetery	id=g:7239602
Cold Brook Valley Cemetery	id=g:7239603
Vesper Cemetery	id=g:7239604
Vesper United Methodist Church	id=g:7239605
Bromley Cemetery	id=g:7239606
Christian Hollow Cemetery	id=g:7239607
Atwell Cemetery	id=g:7239608
Southwell Cemetery	id=g:7239609
School Number 5 (historical)	id=g:7239610
School Number 13 (historical)	id=g:7239611
School Number 6 (historical)	id=g:7239612
School Number 7 (historical)	id=g:7239613
School Number 1 (historical)	id=g:7239614
Tully Cemetery	id=g:7239615
Farr Burying Ground	id=g:7239616
Sherman Hollow Cemetery	id=g:7239617
Miles-Mighells Cemetery	id=g:7239618
Old Fabius Cemetery	id=g:7239619
Fabius Baptist Church	id=g:7239620
Evergreen Cemetery	id=g:7239621
Stockham Hill Cemetery	id=g:7239622
North Farmington Friends Cemetery	id=g:7239623
Port Gibson Cemetery	id=g:7239624
North Bloomfield Cemetery	id=g:7239625
Saint Josephs Church	id=g:7239626
Victor Village Cemetery	id=g:7239627
Boughton Hill Cemetery	id=g:7239628
Parker Cemetery	id=g:7239629
Gunn Cemetery	id=g:7239630
East Bloomfield Cemetery	id=g:7239631
Dibble Cemetery	id=g:7239632
South Farmington Cemetery	id=g:7239633
Moore Cemetery	id=g:7239634
Clifton Springs Cemetery	id=g:7239635
Herrington Cemetery	id=g:7239636
Village Cemetery	id=g:7239637
Orleans Cemetery	id=g:7239638
Resthaven Cemetery	id=g:7239639
Saint Francis Catholic Cemetery	id=g:7239640
Pioneer Cemetery	id=g:7239641
Five Waters Cemetery	id=g:7239642
Melvin Hill Cemetery	id=g:7239643
Oaks Corners Church	id=g:7239644
Brown Cemetery	id=g:7239645
Hoffman Cemetery	id=g:7239646
Humphrey Cemetery	id=g:7239647
Allens Hill Cemetery	id=g:7239648
Dennison Corners Cemetery	id=g:7239649
Richmond Center Cemetery	id=g:7239650
Purcell Cemetery	id=g:7239651
South Bloomfield Cemetery	id=g:7239652
Baptist Hill Cemetery	id=g:7239653
Bristol Center Cemetery	id=g:7239654
Reed's Corners Cemetery	id=g:7239655
Lewis Cemetery	id=g:7239656
Pickett's Corners Cemetery	id=g:7239657
Rushville Cemetery	id=g:7239658
Gorham Cemetery	id=g:7239659
Little Church Cemetery	id=g:7239660
Number Nine Cemetery	id=g:7239661
New Number Nine Cemetery	id=g:7239662
Canadice Corners Cemetery	id=g:7239663
Tibbals Cemetery	id=g:7239664
Fairview Cemetery	id=g:7239665
Northampton VA Medical Center	id=g:7239666
Echo Plaza Shopping Center	id=g:7239667
Boniface Circle	id=g:7239668
First United Methodist Church	id=g:7239669
Saint Brigid Catholic Church	id=g:7239670
Memorial Presbyterian Church	id=g:7239671
Christ Covenant Church	id=g:7239672
Excel Christian School Middle School	id=g:7239673
Excel Christian School Elementary School	id=g:7239674
Thornton Creek	id=g:7239675
Derby Creek	id=g:7239676
Norwich Township Fire Department Station 82	id=g:7239677
Norwich Township Fire Department Station 83 Headquarters	id=g:7239678
Pebble Township Volunteer Fire Department	id=g:7239679
Hidden Cove Mobile Home Park	id=g:7239680
Euclid Beach Mobile Home Park	id=g:7239681
Libby Aurora Mobile Home Park	id=g:7239682
Applecreek Village	id=g:7239683
Brook Park Mobile Home Park	id=g:7239684
Ideal Mobile Home Park	id=g:7239685
Twin Oaks	id=g:7239686
Miller Mobile Homes	id=g:7239687
Olmsted Trailer Park	id=g:7239688
Evergreen Manor	id=g:7239689
Glenwillow Mobile Home Park	id=g:7239690
The Willows	id=g:7239691
M And C Mobile Village	id=g:7239692
Gaslight Village Mobile Home Park	id=g:7239693
Indian Springs Mobile Home Park	id=g:7239694
White House Park	id=g:7239695
Nimisila Mobile Home Park	id=g:7239696
Oak Leaf Mobile Home Park	id=g:7239697
Sandy Beach Trailer Park	id=g:7239698
Stow Mobile Home Village	id=g:7239699
Ellet Heights Mobile Home Park	id=g:7239700
Frank's Mobile Home Park	id=g:7239701
Lakeside Mobile Park	id=g:7239702
Ledgewood Mobile Home Park	id=g:7239703
Sunset Mobile Home Park	id=g:7239704
Savoy Theatre (historical)	id=g:7239705
Saint Albans Theatre (historical)	id=g:7239706
State Theatre (historical)	id=g:7239707
Steinway Theatre (historical)	id=g:7239708
Strand Theatre (historical)	id=g:7239709
Sunnyside Theatre (historical)	id=g:7239710
Trylon Theater (historical)	id=g:7239711
Whitney Theatre (historical)	id=g:7239712
Quarry Pond	id=g:7239713
Dragon Rock	id=g:7239714
Marys Meadow	id=g:7239715
