Sungai Pengorak	id=g:1750955
Sungai Paling Balei	id=g:1752645
Sungai Paling	id=g:1752646
Sungai Paling	id=g:1752647
Sungai Paling	id=g:1752648
Sungai Palin	id=g:1752649
Sungai Paliau	id=g:1752650
Bukit Paliau	id=g:1752651
Sungai Palik	id=g:1752652
Parit Pali	id=g:1752653
Sungai Paldar	id=g:1752654
Sungai Palawit	id=g:1752655
Palawan Estate	id=g:1752656
Sungai Palawan	id=g:1752657
Sungai Palawan	id=g:1752658
Sungai Pa Lawai	id=g:1752659
Sungai Palaun	id=g:1752660
Sungai Palaun	id=g:1752661
Sungai Palau	id=g:1752662
Sungai Palau	id=g:1752663
Sungai Palau	id=g:1752664
Lubok Palau	id=g:1752665
Lubok Pala Trusan	id=g:1752666
Palas Tea Estate	id=g:1752667
Bukit Palas Lumbong	id=g:1752668
Tanjung Palas Hari	id=g:1752669
Sungai Palasan	id=g:1752670
Tanjong Palas	id=g:1752671
Sungai Palas	id=g:1752672
Sungai Palas	id=g:1752673
Sungai Palas	id=g:1752674
Sungai Palas	id=g:1752675
Sungai Palas	id=g:1752676
Sungai Palas	id=g:1752677
Sungai Palas	id=g:1752678
Sungai Palas	id=g:1752679
Sungai Palas	id=g:1752680
Permatang Palas	id=g:1752681
Paya Palas	id=g:1752682
Jeram Palas	id=g:1752683
Bukit Palas	id=g:1752684
Bukit Palas	id=g:1752685
Bukit Palas	id=g:1752686
Bukit Palas	id=g:1752687
Bukit Palas	id=g:1752688
Bukit Palas	id=g:1752689
Bukit Palas	id=g:1752690
Bukit Palas	id=g:1752691
Bukit Palas	id=g:1752692
Bukit Palas	id=g:1752693
Palars	id=g:1752694
Sungai Palapalam	id=g:1752695
Palaniappa Estate	id=g:1752696
Palaniappa Estate	id=g:1752697
Palaniappa Estate	id=g:1752698
Palaniappa Chettiar Estate	id=g:1752699
Sungai Palang	id=g:1752700
Sungai Palamban	id=g:1752701
Pulau Palak	id=g:1752702
Palai Rapids	id=g:1752703
Sungai Palai	id=g:1752704
Sungai Palai	id=g:1752705
Sungai Palai	id=g:1752706
Sungai Palai	id=g:1752707
Sungai Palai	id=g:1752708
Loba Palai	id=g:1752709
Palah Bazaar	id=g:1752710
Sungai Palah Timba	id=g:1752711
Tanjong Palah	id=g:1752712
Sungai Palah	id=g:1752713
Sungai Palah	id=g:1752714
Sungai Palah	id=g:1752715
Sungai Palah	id=g:1752716
Lubok Palah	id=g:1752717
Lubok Palah	id=g:1752718
Lubok Palah	id=g:1752719
Palah Loba	id=g:1752720
Sungai Palagan	id=g:1752721
Sungai Pala	id=g:1752722
Sungai Pala	id=g:1752723
Sungai Pala	id=g:1752724
Sungai Pal	id=g:1752725
Sungai Pal	id=g:1752726
Batu Pak Yong	id=g:1752727
Sungai Pak Yap	id=g:1752728
Baroh Pak Yah	id=g:1752729
Sungai Pak Ya’akob	id=g:1752730
Sungai Pak Wong	id=g:1752731
Sungai Pakut	id=g:1752732
Paku Protected Forest	id=g:1752733
Sungai Paku Kubok	id=g:1752734
Pulau Paku Kechil	id=g:1752735
Sungai Pakuk	id=g:1752736
Alor Pak Ubin	id=g:1752737
Sungai Paku Besar	id=g:1752738
Pulau Paku Besar	id=g:1752739
Telok Paku	id=g:1752740
Tanjong Paku	id=g:1752741
Tanjong Paku	id=g:1752742
Sungai Paku	id=g:1752743
Sungai Paku	id=g:1752744
Sungai Paku	id=g:1752745
Sungai Paku	id=g:1752746
Sungai Paku	id=g:1752747
Sungai Paku	id=g:1752748
Sungai Paku	id=g:1752749
Sungai Paku	id=g:1752750
Sungai Paku	id=g:1752751
Sungai Paku	id=g:1752752
Sungai Paku	id=g:1752753
Sungai Paku	id=g:1752754
Sungai Paku	id=g:1752755
Sungai Paku	id=g:1752756
Lubok Paku	id=g:1752757
Lubok Paku	id=g:1752758
Gunong Paku	id=g:1752759
Bukit Paku	id=g:1752760
Bukit Paku	id=g:1752761
Bukit Paku	id=g:1752762
Bukit Paku	id=g:1752763
Paku	id=g:1752764
Paku	id=g:1752765
Sungai Pak Tuapong	id=g:1752766
Bukit Pak Tok Nah	id=g:1752767
Padang Pak Tarek	id=g:1752768
Sungai Pak Su Man	id=g:1752769
Pulau Pak Soh	id=g:1752770
Bukit Pak Siah	id=g:1752771
Lubok Pak Sarih	id=g:1752772
Sungai Pak Sana	id=g:1752773
Bukit Pak Samah	id=g:1752774
Bukit Pak Sagor	id=g:1752775
Paya Pak Sabah	id=g:1752776
Bukit Pak Sabah	id=g:1752777
Bukit Pak Renek	id=g:1752778
Sungai Pakpurak	id=g:1752779
Sungai Pak Palong	id=g:1752780
Teluk Pak Pajuh	id=g:1752781
Tanjong Pakong	id=g:1752782
Sungai Pak Omar	id=g:1752783
Sungai Pakoi	id=g:1752784
Sungai Pakoh	id=g:1752785
Sungai Pakoh	id=g:1752786
Sungai Pakoh	id=g:1752787
Sungai Pakoh	id=g:1752788
Sungai Pakoh	id=g:1752789
Sungai Pakoh	id=g:1752790
Sungai Pakoh	id=g:1752791
Giam Pakoh	id=g:1752792
Cegar Pakoh	id=g:1752793
Bukit Pakoh	id=g:1752794
Padang Pak Nomah	id=g:1752795
Bukit Pak Nal	id=g:1752796
Paya Pak Naji	id=g:1752797
Telok Pak Musa	id=g:1752798
Alur Pak Mining	id=g:1752799
Bukit Pak Mesuri	id=g:1752800
Bukit Pak Melara	id=g:1752801
Sungai Pak Mat Ya	id=g:1752802
Tanjong Pak Mat	id=g:1752803
Sungai Pak Masam	id=g:1752804
Bukit Pak Man	id=g:1752805
Sungai Pak Mail	id=g:1752806
Telok Pak Long	id=g:1752807
Bukit Pak Long	id=g:1752808
Pakloh Oil Palm Plantation	id=g:1752809
Paya Pak Lipu	id=g:1752810
Sungai Paklesi	id=g:1752811
Pak Lam Estate	id=g:1752812
Pengkalan Pak Lah	id=g:1752813
Padang Pak Lah	id=g:1752814
Sungai Pak Kolek	id=g:1752815
Tanjong Pak Kiok	id=g:1752816
Sungai Pak Kenik	id=g:1752817
Sungai Pak Kalong	id=g:1752818
Bukit Pak Jura	id=g:1752819
Bukit Pak Junus	id=g:1752820
Tanjong Pak Jah	id=g:1752821
Sungai Pakis	id=g:1752822
Pulau Pakil	id=g:1752823
Bukit Pak Gedik	id=g:1752824
Sungai Pakgadai	id=g:1752825
Sungai Paket	id=g:1752826
Paket	id=g:1752827
Sungai Pakeh	id=g:1752828
Sungai Pakeh	id=g:1752829
Bukit Pak Duga	id=g:1752830
Bukit Pak Din	id=g:1752831
Charok Pak Diman	id=g:1752832
Pak Choon Estate	id=g:1752833
Parit Pak Chik Man	id=g:1752834
Alur Pak Bong	id=g:1752835
Telok Pak Bidan	id=g:1752836
Bukit Pak Banum	id=g:1752837
Sungai Pak Baning	id=g:1752838
Bukit Pak Baharu	id=g:1752839
Sungai Pak Badol	id=g:1752840
Baroh Pak Badol	id=g:1752841
Sungai Pakau	id=g:1752842
Sungai Pakanyan	id=g:1752843
Sungai Pakan Nunggang	id=g:1752844
Sungai Pakandat	id=g:1752845
Sungai Pakan	id=g:1752846
Sungai Pakan	id=g:1752847
Sungai Pa Kamis	id=g:1752848
Telok Pa’ Kaleh	id=g:1752849
Sungai Pakai	id=g:1752850
Gua Paka	id=g:1752851
Tanjong Pak	id=g:1752852
Sungai Pak	id=g:1752853
Sungai Pak	id=g:1752854
Sungai Pak	id=g:1752855
Sungai Pak	id=g:1752856
Sungai Pak	id=g:1752857
Sungai Paji	id=g:1752858
Sungai Pajek Besar	id=g:1752859
Sungai Paje	id=g:1752860
Sungai Paje	id=g:1752861
Sungai Pajau	id=g:1752862
Sungai Pajat	id=g:1752863
Sungai Pajari	id=g:1752864
Parit Pajar	id=g:1752865
Tanjong Pajana	id=g:1752866
Pajam Estate Pantai Division	id=g:1752867
Pajam Estate	id=g:1752868
Sungai Pajam	id=g:1752869
Sungai Pajam	id=g:1752870
Pajam	id=g:1752871
Pajak Song	id=g:1752872
Sungai Pajai	id=g:1752873
Sungai Pait Api	id=g:1752874
Kuala Paitan	id=g:1752875
Sungai Pait	id=g:1752876
Sungai Pait	id=g:1752877
Sungai Pait	id=g:1752878
Gunong Pait	id=g:1752879
Paisley Shoal	id=g:1752880
Jeram Paisan Gajah	id=g:1752881
Parit Pa Intan	id=g:1752882
Sungai Pai	id=g:1752883
Sungai Pai	id=g:1752884
Sungai Pai	id=g:1752885
Jeram Pai	id=g:1752886
Sungai Pahlawan Kechil	id=g:1752887
Sungai Pahlawan	id=g:1752888
Sungai Pahlawan	id=g:1752889
Bukit Pahlawan	id=g:1752890
Sungai Paho	id=g:1752891
Sungai Air Pahit	id=g:1752892
Sungai Pahit	id=g:1752893
Sungai Pahibe	id=g:1752894
Pahi Bawah	id=g:1752895
Kuala Pahi	id=g:1752896
Sungai Pahat	id=g:1752897
Genting Pahat	id=g:1752898
Kuala Pahang Tua Hilir	id=g:1752899
Tanjong Pahang Tua	id=g:1752900
Sungai Pahang Tua	id=g:1752901
Tanjong Pahang	id=g:1752902
Sungai Pahang	id=g:1752903
Sungai Pahang	id=g:1752904
Kuala Pahang	id=g:1752905
Bukit Pahang	id=g:1752906
Sungai Pahal	id=g:1752907
Sungai Pa’ Haji	id=g:1752908
Sungai Paha	id=g:1752909
Sungai Pah	id=g:1752910
Jeram Pah	id=g:1752911
Padang Pagut	id=g:1752912
Sungai Paguah	id=g:1752913
Sungai Pagor	id=g:1752914
Gunong Pagon Periok	id=g:1752915
Sungai Pagoh	id=g:1752916
Sungai Pagoh	id=g:1752917
Sungai Paginatan	id=g:1752918
Sungai Pagi	id=g:1752919
Sungai Pagata	id=g:1752920
Sungai Pagassinan	id=g:1752921
Pagar Teras	id=g:1752922
Pulau Pagar Batak	id=g:1752923
Sungai Pagar	id=g:1752924
Sungai Pagar	id=g:1752925
Sungai Pagar	id=g:1752926
Sungai Pagar	id=g:1752927
Sungai Pagar	id=g:1752928
Sungai Pagar	id=g:1752929
Bukit Pagar	id=g:1752930
Sungai Pagan Kechil	id=g:1752931
Sungai Pagang	id=g:1752932
Sungai Pagan Besar	id=g:1752933
Sungai Paganan	id=g:1752934
Sungai Paganan	id=g:1752935
Sungai Pa’ Ganin	id=g:1752936
Pagalayan Canal	id=g:1752937
Sungai Paga	id=g:1752938
Bukit Paga	id=g:1752939
Sungai Padungan	id=g:1752940
Sungai Padulan	id=g:1752941
Sungai Paduka	id=g:1752942
Parit Padri	id=g:1752943
Bukit Padri	id=g:1752944
Sungai Pador	id=g:1752945
Sungai Padong	id=g:1752946
Sungai Padon	id=g:1752947
Sungai Padi	id=g:1752948
Sungai Padi	id=g:1752949
Sungai Padi	id=g:1752950
Sungai Padi	id=g:1752951
Sungai Padi	id=g:1752952
Sungai Padi	id=g:1752953
Sungai Padi	id=g:1752954
Sungai Padi	id=g:1752955
Pulau Padi	id=g:1752956
Padang Padi	id=g:1752957
Sungai Padeh	id=g:1752958
Sungai Padawan Besar	id=g:1752959
Sungai Padau Madau	id=g:1752960
Sungai Padau Lawan	id=g:1752961
Sungai Padat	id=g:1752962
Sungai Padat	id=g:1752963
Padas Valley Rubber Estate	id=g:1752964
Sungai Padaran	id=g:1752965
Padang Tualang	id=g:1752966
Bukit Padang Tiras	id=g:1752967
Padang Telok	id=g:1752968
Kampung Padang Setar	id=g:1752969
Parit Padang Sari	id=g:1752970
Padang Resak Estate	id=g:1752971
Padang Piol Estate	id=g:1752972
Padang Perahu	id=g:1752973
Sungai Padang Pelandok	id=g:1752974
Padang Pelandok	id=g:1752975
Baroh Padang Pak Amat	id=g:1752976
Ladang Padang Meha	id=g:1752977
Padang Manora	id=g:1752978
Padang Lubok	id=g:1752979
Padang Luas	id=g:1752980
Padang Lembu	id=g:1752981
Padang Lansir	id=g:1752982
Bukit Padang Lalang	id=g:1752983
Padang Kubang Chetok	id=g:1752984
Kampung Padang Keria	id=g:1752985
Sungai Padang Kerbau	id=g:1752986
Anak Ayer Padang Keladi	id=g:1752987
Padang Kambing	id=g:1752988
Padang Jawa Estate	id=g:1752989
Bukit Padang Jatonar	id=g:1752990
Sungai Padang Inai	id=g:1752991
Padang Ibu	id=g:1752992
Padang Halus	id=g:1752993
Padang Gong Palas	id=g:1752994
Padang Gajah Estate	id=g:1752995
Padang Gajah Estate	id=g:1752996
Padang Estate	id=g:1752997
Padang Crus	id=g:1752998
Padang Chong Forest Reserve	id=g:1752999
Padang Chenok	id=g:1753000
Kampung Padang Chempedak	id=g:1753001
Padang Buloh	id=g:1753002
Padang Bingal	id=g:1753003
Padang Besar	id=g:1753004
Padang Benggali	id=g:1753005
Sungai Padang Batu	id=g:1753006
Sungai Padang Bajong	id=g:1753007
Sungai Padang	id=g:1753008
Sungai Padang	id=g:1753009
Sungai Padang	id=g:1753010
Sungai Padang	id=g:1753011
Sungai Padang	id=g:1753012
Sungai Padang	id=g:1753013
Sungai Padang	id=g:1753014
Sungai Padang	id=g:1753015
Sungai Padang	id=g:1753016
Sungai Padang	id=g:1753017
Sungai Padang	id=g:1753018
Sungai Padang	id=g:1753019
Paya Padang	id=g:1753020
Kebun Padang	id=g:1753021
Gunung Padang	id=g:1753022
Bukit Padang	id=g:1753023
Bukit Padang	id=g:1753024
Bukit Padang	id=g:1753025
Bukit Padang	id=g:1753026
Bukit Padang	id=g:1753027
Pa Dali	id=g:1753028
Wong Padalai	id=g:1753029
Sungai Padalai	id=g:1753030
Sungai Padalai	id=g:1753031
Sungai Padalai	id=g:1753032
Sungai Padalai	id=g:1753033
Lubok Padalai	id=g:1753034
Sungai Padah Kechil	id=g:1753035
Sungai Padah Besar	id=g:1753036
Sungai Padah	id=g:1753037
Sungai Pa’ Dagang	id=g:1753038
Sungai Padada	id=g:1753039
Sungai Padada	id=g:1753040
Sungai Padada	id=g:1753041
Lubok Padada	id=g:1753042
Chegar Pada	id=g:1753043
Bukit Pacur	id=g:1753044
Sungai Pacu Air Merah	id=g:1753045
Merabang Pa’ Chik Mat	id=g:1753046
Sungai Pachi	id=g:1753047
Sungai Pachek	id=g:1753048
Sungai Pacat	id=g:1753049
Sungai Pachat	id=g:1753050
Sungai Pachat	id=g:1753051
Sungai Pachat	id=g:1753052
Jenut Pachat	id=g:1753053
Bukit Pachat	id=g:1753054
Bukit Pachat	id=g:1753055
Bukit Pachat	id=g:1753056
Sungai Pachan Mit	id=g:1753057
Paya Pacham	id=g:1753058
Pachakan	id=g:1753059
Bukit Pabunga	id=g:1753060
Sungai Pabuan	id=g:1753061
Sungai Pabong	id=g:1753062
Pulau Pa’ Bogam	id=g:1753063
Pa Bangar	id=g:1753064
Sungai Pa’ Balek	id=g:1753065
Pababola Cave	id=g:1753066
Sungai Pa-an	id=g:1753067
Sungai Paan	id=g:1753068
Paan	id=g:1753069
Tanjung Pa Amit	id=g:1753070
Tanjong Pa’ Amat	id=g:1753071
Sungai Paa	id=g:1753072
Sungai Pa Adam	id=g:1753073
Sungai Pa	id=g:1753074
Loagan Pa	id=g:1753075
Sungai Oya Nikal	id=g:1753076
Oya Mukah Protected Forest	id=g:1753077
Sungai Oya Kajang	id=g:1753078
Kuala Oya	id=g:1753079
Oxted Estate	id=g:1753080
Chegar Owok	id=g:1753081
Outer Shoal	id=g:1753082
Beting Luaran	id=g:1753083
Outer Latoan Patch	id=g:1753084
Outer Kra Bank	id=g:1753085
Ouluk	id=g:1753086
Parit Othman	id=g:1753087
Sungai Otak Pari	id=g:1753088
Osman Bin Khan Rubber Estate	id=g:1753089
Sungai Orom	id=g:1753090
Ordnance Reach	id=g:1753091
Gunong Orat	id=g:1753092
Sungai Orang Tua	id=g:1753093
Merabang Orang Puteh	id=g:1753094
Changkat Orang Puteh	id=g:1753095
Parit Orang Kaya	id=g:1753096
Bukit Orang Baharu	id=g:1753097
Sungai Orang	id=g:1753098
Lubok Orang	id=g:1753099
Sungai Opor	id=g:1753100
Ophir Valley Estate	id=g:1753101
Sungai Opar	id=g:1753102
Sungai Opar	id=g:1753103
Sungai Opak	id=g:1753104
Sungai Opai	id=g:1753105
On On Estate	id=g:1753106
Ontoh	id=g:1753107
Telok Onn Kui	id=g:1753108
On Lok Village	id=g:1753109
Ong Tiow Pheng Estate	id=g:1753110
Ong Teck Piow and Ong Ah Mee Estate	id=g:1753111
Tanjong Ong Marah	id=g:1753112
Ong Lock Cho Estate	id=g:1753113
Sungai Ongkong	id=g:1753114
Ong Kim Hong Estate	id=g:1753115
Kampung Ongkilan	id=g:1753116
Sungai Ongiyu	id=g:1753117
Ong Hin Tiang Estate	id=g:1753118
Ong Hin Tiang Estate	id=g:1753119
Ong Chin Seong Estate	id=g:1753120
Tanjong Ong Burong	id=g:1753121
Tanjong Ong Beblit	id=g:1753122
Sungai Ong	id=g:1753123
Parit One Timor	id=g:1753124
One Fathom Bank	id=g:1753125
Parit One Barat	id=g:1753126
Omar Shah Estate	id=g:1753127
Sungai Omar	id=g:1753128
Parit Omar	id=g:1753129
Mount Olivia	id=g:1753130
Old Sungai Samak Oil Palm Estate	id=g:1753131
Old Sungai Agas Hole	id=g:1753132
Olak Lempit Malay Reservation	id=g:1753133
Olak Lempit Estate	id=g:1753134
Paya Olak Batu	id=g:1753135
Parit Olak Batu	id=g:1753136
Tanjong Olak	id=g:1753137
Sungai Olaf	id=g:1753138
Sungai Okiet	id=g:1753139
Sungai Okat	id=g:1753140
Oil Palms of Malaya Limited	id=g:1753141
Oil Palms of Malaya Hay Division	id=g:1753142
Sungai Ohr	id=g:1753143
Sungai Ohm	id=g:1753144
Ladang Oh Gim Khoow	id=g:1753145
Oh Cheng Kea Mine	id=g:1753146
Sungai Ogoi	id=g:1753147
Sungai Ogan	id=g:1753148
Kampung Ogan	id=g:1753149
Sungai Odon	id=g:1753150
Sungai Odak	id=g:1753151
Sungai Obin	id=g:1753152
Sungai Obar	id=g:1753153
Sungai Obar	id=g:1753154
Bukit Obar	id=g:1753155
Obal	id=g:1753156
Sungai Nyutan	id=g:1753157
Sungai Nyurang	id=g:1753158
Sungai Nyurah	id=g:1753159
Sungai Nyungau	id=g:1753160
Sungai Nyumok	id=g:1753161
Tanjong Nyumboh	id=g:1753162
Sungai Nyumboh	id=g:1753163
Sungai Nyumbat	id=g:1753164
Sungai Nyulong	id=g:1753165
Sungai Nyukor	id=g:1753166
Sungai Nyuan	id=g:1753167
Sungai Nyreh	id=g:1753168
Sungai Nyor	id=g:1753169
Sungai Nyor	id=g:1753170
Munggu Nyor	id=g:1753171
Sungai Nyoi Nyoi	id=g:1753172
Nymphe Reef	id=g:1753173
Sungai Nyiru	id=g:1753174
Sungai Nyiroh	id=g:1753175
Sungai Nyiris Kechil	id=g:1753176
Sungai Nyiris Besar	id=g:1753177
Sungai Nyiris	id=g:1753178
Sungai Nyireh	id=g:1753179
Sungai Nyireh	id=g:1753180
Sungai Nyireh	id=g:1753181
Pengkalan Nyireh	id=g:1753182
Gua Nyireh	id=g:1753183
Sungai Nyipap	id=g:1753184
Bukit Nyior Tunggal	id=g:1753185
Padang Nyior Sepohon	id=g:1753186
Telok Nyior Sebatang	id=g:1753187
Sungai Nyior Sebatang	id=g:1753188
Tanjong Nyior Sapohon	id=g:1753189
Nyior Gading	id=g:1753190
Sungai Nyior	id=g:1753191
Sungai Nyior	id=g:1753192
Sungai Nyior	id=g:1753193
Sungai Nyior	id=g:1753194
Sungai Nyior	id=g:1753195
Pulau Nyior	id=g:1753196
Sungai Nyinyeng	id=g:1753197
Sungai Nying	id=g:1753198
Giam Nyilong	id=g:1753199
Sungai Nyikak	id=g:1753200
Charok Nyih	id=g:1753201
Sungai Nyigo	id=g:1753202
Sungai Nyigang	id=g:1753203
Sungai Nyibongarong	id=g:1753204
Sungai Nyibong	id=g:1753205
Sungai Nyibong	id=g:1753206
Sungai Nyiat	id=g:1753207
Lubok Nyerat	id=g:1753208
Sungai Nyear	id=g:1753209
Sungai Nyentos	id=g:1753210
Gunong Nyendeng	id=g:1753211
Sungai Nyemungan	id=g:1753212
Tanjong Nyelutong	id=g:1753213
Sungai Nyelutong	id=g:1753214
Nyelutong	id=g:1753215
Bukit Nyelu	id=g:1753216
Sungai Nyelong	id=g:1753217
Nyelam	id=g:1753218
Sungai Nyelai	id=g:1753219
Sungai Nyekak	id=g:1753220
Sungai Nyekak	id=g:1753221
Sungai Nyekak	id=g:1753222
Sungai Nyegun	id=g:1753223
Sungai Nyebura	id=g:1753224
Sungai Nyayak	id=g:1753225
Sungai Nayah	id=g:1753226
Sungai Nyawang	id=g:1753227
Sungai Nyawan	id=g:1753228
Sungai Nyatu	id=g:1753229
Lubok Nyatu	id=g:1753230
Bukit Nyatok	id=g:1753231
Sungai Nyatoh	id=g:1753232
Sungai Nyatoh	id=g:1753233
Sungai Nyatoh	id=g:1753234
Sungai Nyatak	id=g:1753235
Sungai Nyaru	id=g:1753236
Sungai Nyaru	id=g:1753237
Sungai Nyaru	id=g:1753238
Sungai Nyaru	id=g:1753239
Sungai Nyaru	id=g:1753240
Sungai Nyarong	id=g:1753241
Sungai Nyaroh	id=g:1753242
Sungai Nyaroh	id=g:1753243
Sungai Nyaring	id=g:1753244
Sungai Nyarar	id=g:1753245
Sungai Nyarak	id=g:1753246
Sungai Nyapoh	id=g:1753247
Lubok Nyanyat	id=g:1753248
Sungai Nyanu	id=g:1753249
Norseman Estate	id=g:1753250
Sungai Nordin	id=g:1753251
Nordanal Estate	id=g:1753252
Sungai Norbil	id=g:1753253
Sungai Noran	id=g:1753254
Sungai Nor	id=g:1753255
Bukit Nor	id=g:1753256
Sungai Nonsang	id=g:1753257
Sungai Nonokan	id=g:1753258
Sungai Nonok	id=g:1753259
Gunung Nonohan	id=g:1753260
Bukit Noning	id=g:1753261
Sungai Nong	id=g:1753262
Sungai Nong	id=g:1753263
Sungai Nong	id=g:1753264
Sungai Nonang	id=g:1753265
Sungai Nonak	id=g:1753266
Alor Nomah	id=g:1753267
Bukit Nolang	id=g:1753268
Sungai Nokal	id=g:1753269
Sungai Nohopa	id=g:1753270
Sungai Noh	id=g:1753271
Noduh	id=g:1753272
Sungai Nobusu	id=g:1753273
Parit Noah	id=g:1753274
Sungai Niyor Mati	id=g:1753275
Niyor Estate Village Two	id=g:1753276
Niyor Estate Village	id=g:1753277
Niyor Estate	id=g:1753278
Sungai Nyanoh	id=g:1753279
Sungai Nyang	id=g:1753280
Sungai Nyang	id=g:1753281
Sungai Nyandong	id=g:1753282
Sungai Nyang	id=g:1753283
Bukit Nyana	id=g:1753284
Sungai Nyamok	id=g:1753285
Sungai Nyamok	id=g:1753286
Sungai Nyamok	id=g:1753287
Bukit Nyamok	id=g:1753288
Bukit Nyambau	id=g:1753289
Bukit Nyambau	id=g:1753290
Sungai Nyaman	id=g:1753291
Gunong Nyaman	id=g:1753292
Sungai Nyamak	id=g:1753293
Tanjong Nyamba	id=g:1753294
Sungai Nyalo	id=g:1753295
Sungai Nyalita	id=g:1753296
Sungai Nyaling	id=g:1753297
Sungai Nyalin	id=g:1753298
Sungai Nyalin	id=g:1753299
Sungai Nyalau	id=g:1753300
Sungai Nyalau	id=g:1753301
Nyalas Estate Meriang Division	id=g:1753302
Nyalas Estate Guba Division	id=g:1753303
Nyalas Estate	id=g:1753304
Sungai Nyalas	id=g:1753305
Bukit Nyalas	id=g:1753306
Sungai Nyalak Ulu	id=g:1753307
Sungai Nyalak	id=g:1753308
Sungai Nyala	id=g:1753309
Sungai Nyala	id=g:1753310
Nyako	id=g:1753311
Sungai Nyak Kechil	id=g:1753312
Paya Nyak Kechil	id=g:1753313
Paya Nyak Besar	id=g:1753314
Sungai Nyakar	id=g:1753315
Sungai Nyakam	id=g:1753316
Sungai Nyakak	id=g:1753317
Sungai Nyakai	id=g:1753318
Jeram Nyak	id=g:1753319
Bukit Nyak	id=g:1753320
Sungai Nyadeng	id=g:1753321
Sungai Nyabor	id=g:1753322
Lubok Nyabor	id=g:1753323
Kuala Nyabor	id=g:1753324
Bukit Nyabor	id=g:1753325
Bukit Nyabong	id=g:1753326
Gunong Nyabet	id=g:1753327
Nyabau Forest Reserve	id=g:1753328
Sungai Nyabau	id=g:1753329
Sungai Nyaban	id=g:1753330
Sungai Nyabah	id=g:1753331
Sungai Nuyan	id=g:1753332
Sungai Nusu	id=g:1753333
Sungai Nusu	id=g:1753334
Sungai Nusa	id=g:1753335
Sungai Nusah	id=g:1753336
Sungai Nusa	id=g:1753337
Jeram Nusa	id=g:1753338
Sungai Nuyang	id=g:1753339
Bukit Nuri	id=g:1753340
Anak Sungai Nurang	id=g:1753341
Sungai Nuran	id=g:1753342
Sungai Nurah	id=g:1753343
Sungai Nuong	id=g:1753344
Sungai Nunyan	id=g:1753345
Sungai Nunyan	id=g:1753346
Sungai Nunukuan	id=g:1753347
Tanjong Nunuan	id=g:1753348
Sungai Nunuan	id=g:1753349
Sungai Nuntun	id=g:1753350
Sungai Nunsang	id=g:1753351
Sungai Nunok	id=g:1753352
Sungai Nungan	id=g:1753353
Parit Number Two	id=g:1753354
Parit Number Two	id=g:1753355
Parit Number Three	id=g:1753356
Parit Number Six	id=g:1753357
Parit Number One	id=g:1753358
Parit Number One	id=g:1753359
Parit Number One	id=g:1753360
Parit Number Four	id=g:1753361
Parit Number Four	id=g:1753362
Parit Number Five	id=g:1753363
Sungai Numatoi	id=g:1753364
Sungai Numatoi	id=g:1753365
Sungai Nulon	id=g:1753366
Sungai Nuluyan	id=g:1753367
Sungai Nukau	id=g:1753368
Tanjong Nukas	id=g:1753369
Tanjong Nukas	id=g:1753370
Sungai Nukas	id=g:1753371
Lubok Nukas	id=g:1753372
Sungai Nukang	id=g:1753373
Sungai Nuka	id=g:1753374
Lubok Nuing	id=g:1753375
Sungai Nuim	id=g:1753376
Gunong Nugu	id=g:1753377
Sungai Nubol	id=g:1753378
Sungai Nuar	id=g:1753379
Sungai Nuar	id=g:1753380
Tanjong Nuang	id=g:1753381
Sungai Nuang	id=g:1753382
Sungai Nuang	id=g:1753383
Sungai Nuang	id=g:1753384
Sungai Nuan	id=g:1753385
Sungai Nuah	id=g:1753386
Nova Scotia Estate	id=g:1753387
Nosong Shoals	id=g:1753388
Sungai Nosang	id=g:1753389
Sungai Nosa	id=g:1753390
North Pangkor Forest Reserve	id=g:1753391
North Labis Estate	id=g:1753392
North Junction Point	id=g:1753393
North Johol Estate	id=g:1753394
North Hummock Estate	id=g:1753395
North Hill Rock	id=g:1753396
North Hill	id=g:1753397
North Harbour	id=g:1753398
North Channel	id=g:1753399
Sungai Niulu	id=g:1753401
Sungai Niul	id=g:1753402
Tanjong Nuig	id=g:1753403
Sungai Niu	id=g:1753404
Tanjong Niting	id=g:1753405
Nithsdale Estate	id=g:1753406
Sungai Nitas Kechil	id=g:1753407
Bukit Nitar	id=g:1753408
Nissa Shokai Rubber Estate	id=g:1753409
Sungai Nisan	id=g:1753410
Genting Nisam	id=g:1753411
Sungai Nirok	id=g:1753412
Sungai Nireh	id=g:1753413
Sungai Niris	id=g:1753414
Sungai Niram	id=g:1753415
Sungai Nirai	id=g:1753416
Sungai Nipu	id=g:1753417
Charok Nipis Kulit	id=g:1753418
Alor Nipis Kulit	id=g:1753419
Tanjong Nipis	id=g:1753420
Sungai Nipis Kiri	id=g:1753421
Sungai Nipat	id=g:1753422
Sungai Nipah Kechil	id=g:1753423
Sungai Nipah Besar	id=g:1753424
Telok Nipah	id=g:1753425
Telok Nipah	id=g:1753426
Telok Nipah	id=g:1753427
Tanjong Nipah	id=g:1753428
Sungai Nipah	id=g:1753429
Sungai Nipah	id=g:1753430
Sungai Nipah	id=g:1753431
Sungai Nipah	id=g:1753432
Sungai Nipah	id=g:1753433
Sungai Nipah	id=g:1753434
Sungai Nipah	id=g:1753435
Sungai Nipah	id=g:1753436
Sungai Nipah	id=g:1753437
Sungai Nipah	id=g:1753438
