Temple Ner Tamid	id=g:6334684
Templo Santo Church	id=g:6335972
Radiant Life Ministries	id=g:6335973
Brentwood Baptist Church	id=g:6335974
Brentwood Community Methodist Church	id=g:6335975
Church of Christ	id=g:6335976
Grace Baptist Church	id=g:6335977
First United Pentecostal Church	id=g:6335978
Grace Bible Fellowship Church	id=g:6335979
Neighborhood Church	id=g:6335980
Our Lady of Grace Church	id=g:6335981
Resurrection Greek Orthodox Church	id=g:6335982
Valley Baptist Church	id=g:6335983
Apostolic Faith Church	id=g:6335984
Bay Hills Community Church	id=g:6335985
Calvary Baptist Church	id=g:6335986
Calvary Bible Chapel	id=g:6335987
Eastbay Central Presbyterian Church	id=g:6335988
First Church of Hayward	id=g:6335989
Full Gospel Temple	id=g:6335990
Garden Baptist Church	id=g:6335991
Good Shepherd Lutheran Church	id=g:6335992
Grace Lutheran Church	id=g:6335993
Iglesia Vigilancia Cristiana	id=g:6335994
Kingdom Hall of Jehovahs Witnesses	id=g:6335995
Kingdom Hall of Jehovahs Witnesses	id=g:6335996
Landmark Baptist Church	id=g:6335997
Nichiren Buddhist International Center	id=g:6335998
Palma Cela Baptist Church	id=g:6335999
Pentecostals of Hayward Church	id=g:6336000
Pilgrim Temple Church	id=g:6336001
Saint Antonious Coptic Church	id=g:6336002
Saint Bede Catholic Church	id=g:6336003
Saint Clement's Catholic Church	id=g:6336004
Saint Joachim's Church	id=g:6336005
Shiloh Baptist Church	id=g:6336006
South Hayward Church of Christ	id=g:6336007
South Hayward United Methodist Church	id=g:6336008
Spanish Pentecostal Church	id=g:6336009
Templo De La Cruz	id=g:6336010
Trinity Episcopal Church	id=g:6336011
Victory Outreach Church	id=g:6336012
Westminster Hills Church	id=g:6336013
Centro Cristiano	id=g:6336014
Epiphany Lutheran Church	id=g:6336015
International Bible Baptist Church	id=g:6336016
Saint Alphonsus Catholic Church	id=g:6336017
Siloam Church	id=g:6336018
Christ Lutheran Church	id=g:6336019
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:6336020
Saint Ambrose Roman Catholic Church	id=g:6336021
Saint Mary Magdalenes Roman Catholic Church	id=g:6336022
Westbrae Church	id=g:6336023
Church of the Nazarene	id=g:6336024
Shepherd of the Hills Evangelical Lutheran Church	id=g:6336025
Thousand Oaks Baptist Church	id=g:6336026
Centerville Presbyterian Church	id=g:6336027
Central Church of Christ	id=g:6336028
Church of Jesus Christ of Latter Day Saints	id=g:6336029
First United Methodist Church	id=g:6336030
Good Shepherd Lutheran Church	id=g:6336031
Grace Baptist Church	id=g:6336032
Holy Spirit Church	id=g:6336033
Irvington Baptist Church	id=g:6336034
Irvington Presbyterian Church	id=g:6336035
Lighthouse Bible Fellowship Church	id=g:6336036
Niles Congregational Church	id=g:6336037
Our Lady of Guadalupe Church	id=g:6336038
Prince of Peace Lutheran Church	id=g:6336039
Revival Tabernacle	id=g:6336040
Saint James Episcopal Church	id=g:6336041
Vedic Dharma Samaj Temple	id=g:6336042
Church of Christ	id=g:6336043
Emmanuel Mission Church	id=g:6336044
First Baptist Church	id=g:6336045
First Presbyterian Church	id=g:6336046
Holy Redeemer Lutheran Church	id=g:6336047
Saint Edward's Catholic Church	id=g:6336048
Hillview Baptist Church	id=g:6336049
Luz Del Valle Church	id=g:6336050
Our Lady of the Rosary Church	id=g:6336051
Badarikashrama Temple	id=g:6336052
Castro Valley United Methodist Church	id=g:6336053
Faith Lutheran Church of Castro Valley	id=g:6336054
First Presbyterian Church	id=g:6336055
New Life Christian Fellowship Church	id=g:6336056
Ephesian Church of God in Christ	id=g:6336057
Faith Chapel Church of God in Christ	id=g:6336058
First Church of the Nazarene	id=g:6336059
First Finnish Lutheran Church	id=g:6336060
Free Church	id=g:6336061
Friends Church	id=g:6336062
Galilee Missionary Baptist Church	id=g:6336063
Grace Baptist Church	id=g:6336064
Grove Street Christian Church	id=g:6336065
Kingdom Hall of Jehovahs Witnesses	id=g:6336066
Liberty Hill Baptist Church	id=g:6336067
McGee Avenue Baptist Church	id=g:6336068
Missionary God In Christ Church	id=g:6336069
Olive Grove Missionary Baptist Church	id=g:6336070
Orthodox Catholic Church	id=g:6336071
Philips Temple Church	id=g:6336072
Progressive Baptist Church	id=g:6336073
Russian Orthodox Memorial Church	id=g:6336074
Saint John Orthodox Church	id=g:6336075
Saint Paul African Methodist Episcopal Church	id=g:6336076
Second Church of Christ Scientist	id=g:6336077
South Berkeley Church of Christ	id=g:6336078
South Berkeley Community Congregational Church	id=g:6336079
Third Church of Christ Scientist	id=g:6336080
University Lutheran Chapel	id=g:6336081
Vedanta Society Church	id=g:6336082
Zion Baptist Church	id=g:6336083
Albany Community Methodist Church (historical)	id=g:6336084
Berkeley Mission Covenant Church	id=g:6336085
Church of Christ	id=g:6336086
Church of the Cedars	id=g:6336087
Epworth United Methodist Church	id=g:6336088
Gracemont Baptist Church	id=g:6336089
Immanuel Baptist Church	id=g:6336090
Mount Zion Baptist Church	id=g:6336091
Northbrae Community Church	id=g:6336092
Westside Baptist Church	id=g:6336093
Westside Unity Church	id=g:6336094
Westwood Hills Christian Church	id=g:6336095
Westwood Presbyterian Church	id=g:6336096
Westwood United Methodist Church	id=g:6336097
Hacienda Heights Baptist Church	id=g:6336098
Holy Trinity Lutheran Church	id=g:6336099
Saint Matthews United Methodist Church	id=g:6336100
Hope Lutheran Church	id=g:6336101
Morningstar Christian Chapel	id=g:6336102
New Horizons Assembly of God Church	id=g:6336103
New Life Christian Alliance Church	id=g:6336104
Saint Stephen's Episcopal Church	id=g:6336105
Whittier Hills Baptist Church	id=g:6336106
All Nations Church of Christ	id=g:6336107
All Souls Episcopal Church	id=g:6336108
Apostolic Lutheran Church	id=g:6336109
Berkeley Chinese Community Church	id=g:6336110
Berkeley Unitarian Church	id=g:6336111
Berkeley United Methodist Church	id=g:6336112
Beth-El Congregation Temple	id=g:6336113
Bethany Lutheran Church	id=g:6336114
Bethlehem Lutheran Church	id=g:6336115
Bethlehem Temple	id=g:6336116
Calvary Presbyterian Church	id=g:6336117
Chinese Baptist Church	id=g:6336118
Christ The Redeemer Roman Catholic Church	id=g:6336119
Church of Jesus Christ of Latter-Day Saints	id=g:6336120
First Baptist Church	id=g:6336121
Christ Chapel Church	id=g:6336122
Christian Layman Church	id=g:6336123
Church By The Side Of The Road	id=g:6336124
Church of Christ of the Golden Gate	id=g:6336125
Covenant Presbyterian Church	id=g:6336126
Deliverance Temple Church	id=g:6336127
Durant Avenue United Presbyterian Church	id=g:6336128
Faith Tabernacle Church	id=g:6336129
First Lutheran Church	id=g:6336130
First United Methodist Church	id=g:6336131
Foursquare Church	id=g:6336132
Grace Assembly Church	id=g:6336133
Grace Lutheran Church	id=g:6336134
Holy Nativity Church	id=g:6336135
Iglesia Palabra Y Poder	id=g:6336136
La Tijera United Methodist Church	id=g:6336137
Marina Christian Fellowship Church	id=g:6336138
Mount Calvary Lutheran Church	id=g:6336139
Redeemer Baptist Church	id=g:6336140
Saint Andrew's Lutheran Church	id=g:6336141
Saint Gerard Majella Church	id=g:6336142
Saint Jerome Catholic Church	id=g:6336143
Saint John's Presbyterian Church	id=g:6336144
Saint Martin of Tours Church	id=g:6336145
Saint Marys Episcopal Church	id=g:6336146
Saint Sebastian Church	id=g:6336147
Sawtelle Tenrikyo Church	id=g:6336148
Sephardic Temple Tifereth Israel	id=g:6336149
Sinai Temple	id=g:6336150
Twentyeighth Church of Christ Scientist	id=g:6336151
University Bible Church	id=g:6336152
University Lutheran Chapel	id=g:6336153
University Synagogue	id=g:6336154
Venice Buddhist Church	id=g:6336155
Venice - Santa Monica Free Church	id=g:6336156
Village Church of Westwood	id=g:6336157
Visitation Catholic Church	id=g:6336158
West Los Angeles Buddhist Church	id=g:6336159
West Los Angeles Christian Center	id=g:6336160
West Los Angeles Holiness Church	id=g:6336161
Westchester Christian Church	id=g:6336162
Westchester Church of the Nazarene	id=g:6336163
Westchester Lutheran Church	id=g:6336164
Westchester United Methodist Church	id=g:6336165
Luther Memorial Lutheran Church	id=g:6336166
United Brethren Church	id=g:6336167
Victory United Brethren In Christ Church	id=g:6336168
Village Church	id=g:6336169
American Lutheran Church	id=g:6336170
Calvary Bible Church	id=g:6336171
Congregation Bnai Embnan	id=g:6336172
Magnolia Park Community Methodist Church	id=g:6336173
Saint Finbars Church	id=g:6336174
Second Church of Christ Scientist	id=g:6336175
Valley Baptist Church	id=g:6336176
Valley Community Church	id=g:6336177
Westminster Presbyterian Church	id=g:6336178
First Baptist Church of Venice	id=g:6336179
First Lutheran Church of Venice	id=g:6336180
First Methodist Church of Venice	id=g:6336181
Gateway Church	id=g:6336182
Mar Vista Ward Latter Day Saints Chapel	id=g:6336183
Marina Baptist Church	id=g:6336184
New Bethel Baptist Church	id=g:6336185
Saint Joan of Arc Roman Catholic Church	id=g:6336186
Twentieth Church of Christ Scientist	id=g:6336187
Venice Baptist Church	id=g:6336188
Venice Bible Church	id=g:6336189
Venice Church of Christ	id=g:6336190
Venice Foursquare Church	id=g:6336191
Airport Church of Christ	id=g:6336192
Barrington Avenue Baptist Church	id=g:6336193
Chinese Baptist Church	id=g:6336194
Church of Jesus Christ of Latter Day Saints	id=g:6336195
Church of Jesus Christ of Latter Day Saints	id=g:6336196
Congregation Adat Shalom	id=g:6336197
Congregation B'nai Tikvah	id=g:6336198
Congregation Joseph Kahal	id=g:6336199
Congregation Mogen David	id=g:6336200
Congregational Church of the Messiah	id=g:6336201
Covenant Presbyterian Church	id=g:6336202
Culver City Presbyterian Church	id=g:6336203
Culver Community Christian Center	id=g:6336204
Christian United Methodist Church	id=g:6336205
Del Amo Southern Baptist Church	id=g:6336206
Kingdom Hall of Jehovahs Witnesses	id=g:6336207
Lord of Harvest South Bay Church	id=g:6336208
Seaside Community United Church	id=g:6336209
South Bay Christian Center	id=g:6336210
Torrance Baptist Temple	id=g:6336211
Vietnamese Alliance Church	id=g:6336212
West Presbyterian Church	id=g:6336213
Church of Christ	id=g:6336214
Faith Tabernacle Church	id=g:6336215
First Christian Church	id=g:6336216
Grace Baptist Church	id=g:6336217
Harbor Christian Center	id=g:6336218
Methodist Church of Samoa	id=g:6336219
Wilmington First Assembly of God Church	id=g:6336220
Bethany United Presbyterian Church	id=g:6336221
Burbank Evangelical United Brethren Church (historical)	id=g:6336222
Burbank Foursquare Church	id=g:6336223
Burbank Seventh Day Adventist Church	id=g:6336224
Calvary Baptist Church	id=g:6336225
Central Baptist Church	id=g:6336226
Emmanuel Church	id=g:6336227
First Assembly of God Church	id=g:6336228
First Christian Church	id=g:6336229
First Church of Christ Scientist	id=g:6336230
First Church of the Nazarene	id=g:6336231
First Congregational Church	id=g:6336232
First Lutheran Church	id=g:6336233
First Methodist Church of Burbank	id=g:6336234
First Presbyterian Church of Burbank	id=g:6336235
Interfaith Center	id=g:6336236
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:6336237
Saint Judes Episcopal Church	id=g:6336238
Temple Emanuel	id=g:6336239
Christ Lutheran Church	id=g:6336240
Church of Christ	id=g:6336241
Kingdom Hall of Jehovahs Witnesses	id=g:6336242
Little White Chapel	id=g:6336243
Saint John Lutheran Church	id=g:6336244
Avalon Church of Christ	id=g:6336245
Christ Full Gospel Baptist Church	id=g:6336246
Community Lutheran Church	id=g:6336247
El Bethel Missionary Baptist Church	id=g:6336248
Faith Jerusalem Baptist Church	id=g:6336249
Faith Temple Church of God	id=g:6336250
Goodwill Missionary Baptist Church	id=g:6336251
Greater Berean Baptist Church	id=g:6336252
Greater New Commandments Baptist Church	id=g:6336253
Greater Pearl Baptist Church	id=g:6336254
Kingdom Hall of Jehovahs Witnesses	id=g:6336255
Mount Hermon Baptist Church	id=g:6336256
Mount Tabor Missionary Baptist Church	id=g:6336257
Pentecost Temple	id=g:6336258
Pentecostal Temple Church of God	id=g:6336259
Pilgrims Church of Christ	id=g:6336260
Prayer Assembly Church of God in Christ	id=g:6336261
Saint Mark African Methodist Episcopal Church	id=g:6336262
Southwood Baptist Church	id=g:6336263
True Love Missionary Baptist Church	id=g:6336264
Saint Albert The Great Church	id=g:6336265
Church of Jesus Christ of Latter Day Saints	id=g:6336266
Crusaders Christian Community Church	id=g:6336267
First Foursquare Church	id=g:6336268
Greater New Bethel Baptist Church	id=g:6336269
Inglewood Friends Church	id=g:6336270
Carson Christian Church	id=g:6336271
Carson Hope Chapel Foursquare Church	id=g:6336272
Grace Orthodox Presbyterian Church	id=g:6336273
Iglesia Bautista Horeb	id=g:6336274
Judson Baptist Church	id=g:6336275
Keystone Assembly of God Church	id=g:6336276
Pentecostal Church of God	id=g:6336277
Rock of Salvation Church	id=g:6336278
Saint Philomena Church	id=g:6336279
United Baptist Church	id=g:6336280
Gateway Fellowship Church	id=g:6336281
New Hope Missionary Baptist Church	id=g:6336282
North Towne Christian Church	id=g:6336283
Pomona Chinese Christian Church	id=g:6336284
Pomona Tongan United Methodist Church	id=g:6336285
Primm African Methodist Episcopal Church	id=g:6336286
Sacred Heart Catholic Church	id=g:6336287
Saint Madeleine Catholic Church	id=g:6336288
South Hills Presbyterian Church	id=g:6336289
Temple Beth Israel	id=g:6336290
Templo De La Fe	id=g:6336291
Westmont United Methodist Church	id=g:6336292
Epiphany Catholic Church	id=g:6336293
Victory Outreach El Monte	id=g:6336294
Vietnamese Alliance Church	id=g:6336295
Greater Jerusalem Bible Church	id=g:6336296
Community Baptist Church	id=g:6336297
Compton Christian Fellowship Church	id=g:6336298
Dominguez Congregational Christian Church	id=g:6336299
Mount Hebron Missionary Baptist Church	id=g:6336300
True Faith Baptist Church	id=g:6336301
Assembly of God Church	id=g:6336302
Beulahland Missionary Baptist Church	id=g:6336303
Bible Baptist Church	id=g:6336304
Church of Christ	id=g:6336305
First Presbyterian Church	id=g:6336306
First Southern Baptist Church	id=g:6336307
First United Methodist Church	id=g:6336308
Gardena Buddhist Church	id=g:6336309
Gardena Japanese American Seventh Day Adventist Church	id=g:6336310
Gardena Valley Baptist Church	id=g:6336311
Iglesia Bautista Biblica	id=g:6336312
Jesus First Church	id=g:6336313
Korean Presbyterian Church	id=g:6336314
Lamp Presbyterian Church	id=g:6336315
Liberty Tabernacle	id=g:6336316
Los Angeles Korean Presbyterian Bible Church	id=g:6336317
New Hope Fellowship Church	id=g:6336318
Normandie Avenue Christian Church	id=g:6336319
Saint Anthony of Padua Church	id=g:6336320
Divine Light Presbyterian Church	id=g:6336321
Estudiando Las Escrituras	id=g:6336322
Evangelical Methodist Church	id=g:6336323
Iglesia Bautista De Jesus	id=g:6336324
Kingdom Hall of Jehovahs Witnesses	id=g:6336325
Korean Presbyterian Church	id=g:6336326
Los Angeles Hanmi Presbyterian Church	id=g:6336327
New Hope Community Church	id=g:6336328
Primera Iglesia Bautista	id=g:6336329
Principe De Paz Wesleyan Church	id=g:6336330
True Jesus Church In Southern California	id=g:6336331
Truth Chinese Alliance Church	id=g:6336332
United Pentecostal Church	id=g:6336333
Valley Community Church	id=g:6336334
Vietnamese Seventh Day Adventist Church	id=g:6336335
First Evangelical Methodist Church	id=g:6336336
Foothill Christian Center	id=g:6336337
Bethel Seventh Day Adventist Church	id=g:6336338
Central Baptist Church	id=g:6336339
Chino Hills Chinese Baptist Church	id=g:6336340
Christ Apostolic Church	id=g:6336341
Christ Temple Church	id=g:6336342
Christadelphian House of Worship	id=g:6336343
Church of Christ	id=g:6336344
Covenant United Methodist Church	id=g:6336345
El Camino Fellowship Church	id=g:6336346
First Christian Church	id=g:6336347
First Church of God	id=g:6336348
First Church of the Nazarene	id=g:6336349
Greater New Light Baptist Church	id=g:6336350
Holy Missionary Baptist Church	id=g:6336351
House of Faith Community Church	id=g:6336352
Lincoln Avenue Reformed Church	id=g:6336353
Macedonia Baptist Church	id=g:6336354
Iglesia Del Nazareno	id=g:6336355
Lighthouse Baptist Church	id=g:6336356
Mision Cristiana Pentecostal	id=g:6336357
New Gethsemane Church	id=g:6336358
Church of Christ	id=g:6336359
Church of Jesus Christ of Latter Day Saints	id=g:6336360
Church of the Nazarene	id=g:6336361
Cornerstone International Church	id=g:6336362
Delhaven Christian Church	id=g:6336363
First Fundamental Bible Church	id=g:6336364
First United Methodist Church	id=g:6336365
Foursquare Church of La Puente	id=g:6336366
Hacienda Christian Fellowship Church	id=g:6336367
Iglesia Del Dios Vivo	id=g:6336368
Immanuel Southern Baptist Church	id=g:6336369
Kingdom Hall of Jehovahs Witnesses	id=g:6336370
Saint Andrews Presbyterian Church	id=g:6336371
Saint Joseph Church	id=g:6336372
Saint Louis of France Church	id=g:6336373
Saint Martha's Church	id=g:6336374
Sunset Wesleyan Church	id=g:6336375
Tri-City Southern Baptist Church	id=g:6336376
Union Evangelical Church	id=g:6336377
West Covina Buddhist Temple	id=g:6336378
Claremont Bible Chapel	id=g:6336379
Claremont United Church of Christ	id=g:6336380
First Church of Christ Scientist	id=g:6336381
Good Shepherd Lutheran Church	id=g:6336382
Our Lady of the Assumption Church	id=g:6336383
Church of Jesus Christ of Latter Day Saints	id=g:6336384
Community of Christ Church	id=g:6336385
Covina Christian Church	id=g:6336386
Covina Evangelical Free Church	id=g:6336387
Nak Young Church	id=g:6336388
New Beginnings of Walnut Valley Church	id=g:6336389
Saint John Coptic Orthodox Church	id=g:6336390
Northminster Church	id=g:6336391
Assembly Pentecostal Church	id=g:6336392
Calvary Assembly of God Church	id=g:6336393
Calvary Southern Baptist Church	id=g:6336394
Community Presbyterian Church	id=g:6336395
Saint Martin In The Fields Church	id=g:6336396
Valley Sikh Temple	id=g:6336397
White Oak Covenant Church	id=g:6336398
Grace Shepherdship Church	id=g:6336399
Iglesia Bautista De Reseda	id=g:6336400
Reseda Boulevard Church of Christ	id=g:6336401
Trinity Lutheran Church	id=g:6336402
Universal Church	id=g:6336403
Tarzana Baptist Chapel	id=g:6336404
Rural Retreat United Methodist Church	id=g:6336405
Rural Retreat Baptist Church	id=g:6336406
Sedley Baptist Church	id=g:6336407
Indonesian Seventh Day Adventist Church	id=g:6336408
Kingdom Hall of Jehovahs Witnesses	id=g:6336409
Universal Church	id=g:6336410
Village Covenant Church	id=g:6336411
Apostolic Church of Baldwin Park	id=g:6336412
Baldwin Park Bilingual Church	id=g:6336413
Baldwin Park Free Will Baptist Church	id=g:6336414
Church of Christ	id=g:6336415
Church of the Redeemer	id=g:6336416
Grace Community Alliance Church	id=g:6336417
Iglesia Bautista Esparanza Viva	id=g:6336418
Iglesia Del Nazareno	id=g:6336419
Iglesia La Cosecha	id=g:6336420
Iglesia Ni Cristo	id=g:6336421
Iglesia Pentecostal	id=g:6336422
In His Service Ministries	id=g:6336423
New Life Baptist Church	id=g:6336424
Praise Chapel Christian Church	id=g:6336425
Saint Johns Catholic Church	id=g:6336426
True Jesus Church In Southern California	id=g:6336427
World Faith Ministries	id=g:6336428
Church of Christ	id=g:6336429
Covina Church of Christ	id=g:6336430
East San Gabriel Valley Church	id=g:6336431
Unity Church of the Foothills	id=g:6336432
Calvary Baptist Church	id=g:6336433
Calvary United Pentecostal Church	id=g:6336434
Church of Christ	id=g:6336435
Church of the Nazarene	id=g:6336436
First Baptist Church	id=g:6336437
First Lutheran Church	id=g:6336438
First United Methodist Church	id=g:6336439
La Trinidad Church	id=g:6336440
Liberty Missionary Baptist Church	id=g:6336441
Mount Zion Baptist Church	id=g:6336442
New Christ Memorial Church of God	id=g:6336443
Park Chapel African Methodist Episcopal Church	id=g:6336444
Saint Ferdinand's Catholic Church	id=g:6336445
Saint George Syrian Orthodox Church	id=g:6336446
San Fernando First Baptist Church	id=g:6336447
San Fernando Foursquare Church	id=g:6336448
Santa Rosa Catholic Church	id=g:6336449
Church of Jesus Christ of Latter Day Saints	id=g:6336450
First Baptist Church of Sunland	id=g:6336451
Shadow Hills Presbyterian Church	id=g:6336452
Wesleyan Church	id=g:6336453
Christ Tabernacle Church of God	id=g:6336454
First Southern Baptist Church	id=g:6336455
Kingdom Hall of Jehovahs Witnesses	id=g:6336456
La Voz - Sylmar Seventh Day Adventist Church	id=g:6336457
Light And Life Christian Fellowship Church	id=g:6336458
New Song Community Church	id=g:6336459
Saint Didacus Catholic Church	id=g:6336460
Armenian Apostolic Church	id=g:6336461
Community Christian Church	id=g:6336462
Faith Lutheran Church	id=g:6336463
La Crescenta Full Gospel Church	id=g:6336464
Our Lady of Lourdes Church	id=g:6336465
Pyungsung Community Church	id=g:6336466
Christ Community Church	id=g:6336467
Church of Christ	id=g:6336468
Eglesia El Shaddai	id=g:6336469
Our Lady of the Valley Catholic Church	id=g:6336470
Saint Joseph The Worker Church	id=g:6336471
La Iglesia En Camino	id=g:6336472
Saint Andrews Lutheran Church	id=g:6336473
Saint Bridget of Sweden Church	id=g:6336474
Saint Mark's Episcopal Church	id=g:6336475
Saint Michael Antiochian Orthodox Church	id=g:6336476
Seventh Day Adventist Church	id=g:6336477
Valley Mission Church	id=g:6336478
Van Nuys Church of Christ	id=g:6336479
San Fernando Valley Southern Baptist Church	id=g:6336480
Apostolic Pentecostal Church	id=g:6336481
First Baptist Church	id=g:6336482
First Foursquare Church	id=g:6336483
Our Savior's First Lutheran Church	id=g:6336484
Saint Andrew And Saint Charles Church	id=g:6336485
Saint John Baptist De La Salle Church	id=g:6336486
Saint Stephen's Lutheran Church	id=g:6336487
San Fernando Korean Church	id=g:6336488
Woodley Avenue Baptist Church	id=g:6336489
Lakeview Terrace Baptist Church	id=g:6336490
Mountain View Baptist Church	id=g:6336491
Peace Lutheran Church	id=g:6336492
Chapel of the Cross Lutheran Church	id=g:6336493
Mission Hills Christian Church	id=g:6336494
New Apostolic Church	id=g:6336495
Capstone Church	id=g:6336496
Church of God	id=g:6336497
El Mesias Iglesia Metodista	id=g:6336498
First United Methodist Church	id=g:6336499
Greater Community Church	id=g:6336500
Guardian Angel Catholic Church	id=g:6336501
Iglesia Bautista Del Valle	id=g:6336502
Mary Immaculate Catholic Church	id=g:6336503
New Heaven Missionary Baptist Church	id=g:6336504
Primera Iglesia Bautista	id=g:6336505
Primera Iglesia Del Valle	id=g:6336506
Valley Seventh Day Adventist Church	id=g:6336507
Ancient Church of the East	id=g:6336508
Apostolic Assembly Church	id=g:6336509
Calvary Baptist Church	id=g:6336510
Church of Jesus Christ of Latter Day Saints	id=g:6336511
Church of the Nazarene	id=g:6336512
Congregation Adat Ari El	id=g:6336513
Emmanuel Lutheran Church	id=g:6336514
Evangelical Free Church	id=g:6336515
Filipino-American Southern Baptist Church	id=g:6336516
First Presbyterian Church	id=g:6336517
Iglesia Evangelica Bethel	id=g:6336518
Iglesia Lutherana San Pablo	id=g:6336519
Iglesia Pentecostes Juan 14:6	id=g:6336520
Saint David's Episcopal Church	id=g:6336521
Saint Jane Frances Catholic Church	id=g:6336522
Saint Paul Assyrian Chalden Church	id=g:6336523
Christian Faith Center	id=g:6336524
El Redentor Lutheran Church	id=g:6336525
Iglesia Del Nazareno	id=g:6336526
Panorama Full Gospel Church	id=g:6336527
Saint Genevieve's Catholic Church	id=g:6336528
Trinity Baptist Church	id=g:6336529
Valley Hanano Church	id=g:6336530
Church of Christ	id=g:6336531
Church of the Living Word	id=g:6336532
Our Lady of Peace Catholic Church	id=g:6336533
Valley Presbyterian Church	id=g:6336534
Cathedral of Saint Mary	id=g:6336535
Kingdom Hall of Jehovahs Witnesses	id=g:6336536
Congregation Beth Meier Talmud Torah	id=g:6336537
First Christian Church	id=g:6336538
Little Brown Church In The Valley	id=g:6336539
Saint Michael And All Angels Church	id=g:6336540
Unitarian Universalist Church	id=g:6336541
Congregation Beth Israel	id=g:6336542
Faith Bible Church	id=g:6336543
First Christian Church of Sun Valley	id=g:6336544
Grace Community Church	id=g:6336545
Temple Beth Hillel	id=g:6336546
Church of Christ	id=g:6336547
Church of Jesus Christ of Latter Day Saints	id=g:6336548
New Church	id=g:6336549
Saint James Catholic Church	id=g:6336550
Unitarian Universalist Church	id=g:6336551
Centro Familiar Christiano	id=g:6336552
Church of Jesus Christ of Latter Day Saints	id=g:6336553
East Valley Congregational Church	id=g:6336554
First Southern Baptist Church	id=g:6336555
Jesus Sacred Heart Church	id=g:6336556
Saint Anne's Melkite Greek Catholic Church	id=g:6336557
Saint Patrick's Catholic Church	id=g:6336558
Aposento Alto Foursquare Church	id=g:6336559
Arleta Foursquare Church	id=g:6336560
Full Gospel Church	id=g:6336561
Bethel Christian Reformed Church	id=g:6336562
Blessing Mission Church	id=g:6336563
Faith Baptist Church	id=g:6336564
Holy Rosary Church	id=g:6336565
Iglesia Fuente De Vida	id=g:6336566
Iglesia Missionera Antiquia	id=g:6336567
Iglesia Sol De Justicia	id=g:6336568
Stonehurst Community Chapel	id=g:6336569
Sun Valley United Methodist Church	id=g:6336570
Shadow Hills Gospel Hall	id=g:6336571
Armenian Apostolic Church In Glendale	id=g:6336572
Canyon Harvest Open Bible Church	id=g:6336573
Tujunga United Methodist Church	id=g:6336574
Verdugo Hills Baptist Church	id=g:6336575
Arleta Community Bible Church	id=g:6336576
Calvary Lutheran Church	id=g:6336577
Church of God	id=g:6336578
Hanyang Presbyterian Church	id=g:6336579
Osborne Neighborhood Church	id=g:6336580
Panorama Baptist Church	id=g:6336581
Trinity United Methodist Church	id=g:6336582
Sepulveda Unitarian Society	id=g:6336583
Sepulveda United Methodist Church	id=g:6336584
Valley Park Baptist Church	id=g:6336585
Bethany Foursquare Church	id=g:6336586
Calvary Temple Pentecostal Church	id=g:6336587
Samoan Congregational Church of Christ	id=g:6336588
Silver Acres Community Church	id=g:6336589
Starlight Baptist Church	id=g:6336590
Antioch Presbyterian Church	id=g:6336591
Bethany Bible Presbyterian Church	id=g:6336592
Holy Gate Evangelical Church	id=g:6336593
Holy Hills Baptist Church	id=g:6336594
Church of the Lighted Window	id=g:6336595
La Canada Presbyterian Church	id=g:6336596
La Canada United Methodist Church	id=g:6336597
Lutheran Church In The Foothills	id=g:6336598
Saint Bede The Venerable Church	id=g:6336599
Saint George's Episcopal Church	id=g:6336600
Christ Armenian Church	id=g:6336601
Christian Life Church	id=g:6336602
Crescenta Valley Community Church	id=g:6336603
Evergreen Jang Ro Church	id=g:6336604
Gethsemane Lutheran Church	id=g:6336605
La Crescenta First Baptist Church	id=g:6336606
Saint Luke's of the Mountains Church	id=g:6336607
Eagle Rock Baptist Church	id=g:6336608
Eagle Rock Covenant Church	id=g:6336609
Eagle Rock Lutheran Church	id=g:6336610
Eagle Rock Nazarene Church	id=g:6336611
Eagle Rock Presbyterian Church	id=g:6336612
Eagle Rock Seventh Day Adventist Church	id=g:6336613
Gloria Baptist Church	id=g:6336614
Highland Park Full Gospel Church	id=g:6336615
Highland Park Seventh Day Adventist Church	id=g:6336616
Saint Barnabas Episcopal Church	id=g:6336617
Saint Dominic's Church	id=g:6336618
Church of the Nazarene	id=g:6336619
Crescenta Valley United Methodist Church	id=g:6336620
First Baptist Church	id=g:6336621
Holy Redeemer Catholic Church	id=g:6336622
Church of Religious Science	id=g:6336623
Foothill Christian Church	id=g:6336624
La Crescenta Seventh Day Adventist Church	id=g:6336625
Mount Olive Lutheran Church	id=g:6336626
First Baptist Church	id=g:6336627
Han Gil Korean Church	id=g:6336628
Reformation Lutheran Church	id=g:6336629
Saint Luke's Lutheran Church	id=g:6336630
Vietnamese Christian Church	id=g:6336631
Westminster Christian Center	id=g:6336632
Westminster Lutheran Church	id=g:6336633
Anaheim Christian Reformed Church	id=g:6336634
Anaheim Japanese Free Methodist Church	id=g:6336635
Church of Jesus Christ	id=g:6336636
Grace Bible Church	id=g:6336637
Magnolia Baptist Church	id=g:6336638
Saint Paul's Presbyterian Church	id=g:6336639
Victory Baptist Church	id=g:6336640
Bible Church of Buena Park	id=g:6336641
Evangelical Formosan Church	id=g:6336642
First Church of the Nazarene	id=g:6336643
First Congregational Church	id=g:6336644
