Ségou	id=g:2245694
Banc de la Résolue	id=g:2246570
Rènda	id=g:2246571
Rèndo	id=g:2246572
Rembak	id=g:2246573
Rehahi	id=g:2246574
Réfane Souf	id=g:2246575
Réfane Kao	id=g:2246576
Rayèt	id=g:2246577
Rayane Mourit	id=g:2246578
Rat Peul	id=g:2246579
Raouna Djidéré	id=g:2246580
Forêt de Rao	id=g:2246581
Rao	id=g:2246582
Ranoua	id=g:2246583
Ranévi	id=g:2246584
Ranérou	id=g:2246585
Randone	id=g:2246586
Ramnane	id=g:2246587
Raméda	id=g:2246588
Rahel Torodé	id=g:2246589
Râfo	id=g:2246590
Rafane	id=g:2246591
Rabou Nafé	id=g:2246592
Rio Quijimansa	id=g:2246593
Punti Bolon	id=g:2246594
Prufu Bolon	id=g:2246595
Prokhane	id=g:2246596
Praye	id=g:2246597
Praol-Kevé	id=g:2246598
Pouyedji	id=g:2246599
Poutou Pataboulou	id=g:2246600
Poutou	id=g:2246601
Pout Ndiack	id=g:2246602
Pouté	id=g:2246603
Île de Poutaké	id=g:2246604
Forêt Classée de Pout	id=g:2246605
Pout	id=g:2246606
Pourham Tok	id=g:2246607
Pourham	id=g:2246608
Pouréga	id=g:2246609
Pourdi	id=g:2246610
Pouniar	id=g:2246611
Pounedji Mare	id=g:2246612
Poundioum	id=g:2246613
Poultok	id=g:2246614
Poultok	id=g:2246615
Poulo Sodi	id=g:2246616
Poulomak	id=g:2246617
Poulèrn	id=g:2246618
Poulèm	id=g:2246619
Poula Pissan	id=g:2246620
Poukène	id=g:2246621
Pouil Soump	id=g:2246622
Poudaye	id=g:2246623
Poudaye	id=g:2246624
Pouboul Kanpanhe	id=g:2246625
Pouboul	id=g:2246626
Poubasse	id=g:2246627
Poubar	id=g:2246628
Poua Diamo	id=g:2246629
Potou	id=g:2246630
Potio Peul	id=g:2246631
Potio	id=g:2246632
Por Tialène	id=g:2246633
Port Daramé	id=g:2246634
Poram	id=g:2246635
Forêt Classée de Poponguine	id=g:2246636
Poponguine	id=g:2246637
Ponto	id=g:2246638
Pompone	id=g:2246639
Polongne	id=g:2246640
Polel Diaoubé-http://polel-diaoube.info	id=g:2246641
Polél Aouloubé	id=g:2246642
Polel	id=g:2246643
Polek	id=g:2246644
Polam Rok	id=g:2246645
Pol	id=g:2246646
Poko	id=g:2246647
Pointe-Sarène	id=g:2246648
Pointe-Saint-Georges	id=g:2246649
Point E	id=g:2246650
Pofine	id=g:2246651
Pofdi II	id=g:2246652
Pofdi I	id=g:2246653
Podor	id=g:2246654
Podor	id=g:2246655
Podor	id=g:2246656
Pitiana	id=g:2246657
Mare Pisamali	id=g:2246658
Piroumdari	id=g:2246659
Pirom	id=g:2246660
Pir Ndavène	id=g:2246661
Pir Nango	id=g:2246662
Pirine Maoundé	id=g:2246663
Pir Gourèye	id=g:2246664
Pirgi	id=g:2246665
Forêt de Pir-Gourèye	id=g:2246666
Piran	id=g:2246667
Pirampou	id=g:2246668
Pira	id=g:2246669
Pir	id=g:2246670
Pir	id=g:2246671
Piouti	id=g:2246672
Pinpal	id=g:2246673
Pinia	id=g:2246674
Rio Pinhega	id=g:2246675
Pindite	id=g:2246676
Pikini-Bougou	id=g:2246677
Pikine	id=g:2246678
Pidiro	id=g:2246679
Pidane	id=g:2246680
Peykouk	id=g:2246681
Peunène	id=g:2246682
Peuldognon	id=g:2246683
Petpal	id=g:2246684
Pet Ouolof	id=g:2246685
Pétonlalé	id=g:2246686
Pétone	id=g:2246687
Pétogne	id=g:2246688
Mbaw Gou Ndaw	id=g:2246689
Petit Koulaye	id=g:2246690
Petite Côte	id=g:2246691
Petit Balandine	id=g:2246692
Petion	id=g:2246693
Petikan	id=g:2246694
Pétiadji	id=g:2246695
Pété Tilel	id=g:2246696
Pété Peul	id=g:2246697
Pété Ouarak	id=g:2246698
Pété Oba	id=g:2246699
Pété Nianguène	id=g:2246700
Pétel Saraba	id=g:2246701
Pétel Ouata	id=g:2246702
Pétel Ouapo	id=g:2246703
Pétel Mbouérika	id=g:2246704
Pétel Kalémane	id=g:2246705
Pétel Diarga	id=g:2246706
Pétél Diabi	id=g:2246707
Petel Bodi	id=g:2246708
Pétél Bidoudé	id=g:2246709
Petél	id=g:2246710
Pétel	id=g:2246711
Pétel	id=g:2246712
Pétègne Kahone	id=g:2246713
Pétègne	id=g:2246714
Petègne	id=g:2246715
Vèndou Pété	id=g:2246716
Pété	id=g:2246717
Pété	id=g:2246718
Pété	id=g:2246719
Petche	id=g:2246720
Véndou Pétal	id=g:2246721
Pénédji	id=g:2246722
Pendao	id=g:2246723
Pendakaré	id=g:2246724
Pelour I	id=g:2246725
Pélel Daba	id=g:2246726
Pekh Tal	id=g:2246727
Pékès	id=g:2246728
Pegui	id=g:2246729
Pégné	id=g:2246730
Payoungou	id=g:2246731
Payomar	id=g:2246732
Payène	id=g:2246733
Payène	id=g:2246734
Paye Mar	id=g:2246735
Tiangol Payar	id=g:2246736
Payar	id=g:2246737
Payama	id=g:2246738
Pattouki	id=g:2246739
Patte Bolon	id=g:2246740
Patoulane Peul	id=g:2246741
Patoulane Ouolof	id=g:2246742
Patou Kogne	id=g:2246743
Patouki	id=g:2246744
Patoudé	id=g:2246745
Patim Kouta	id=g:2246746
Patièm 2	id=g:2246747
Patièm 1	id=g:2246748
Patièm	id=g:2246749
Patiana	id=g:2246750
Patiab	id=g:2246751
Paté Wou-Wou	id=g:2246752
Paté Tiangaye	id=g:2246753
Paté Sek	id=g:2246754
Patelane	id=g:2246755
Patékounda	id=g:2246756
Paté Galo	id=g:2246757
Paté Badio	id=g:2246758
Forêt de Paté	id=g:2246759
Patassi	id=g:2246760
Patar Lia	id=g:2246761
Patar Mar	id=g:2246762
Patar	id=g:2246763
Patar	id=g:2246764
Patakour	id=g:2246765
Forêt Classée de Patako Sud	id=g:2246766
Patakol	id=g:2246767
Forêt Classée de Patako Est	id=g:2246768
Patako	id=g:2246769
Patabou	id=g:2246770
Forêt de Pata	id=g:2246771
Pata	id=g:2246772
Passoune	id=g:2246773
Passouk	id=g:2246774
Pass Ndongo	id=g:2246775
Passi Rip	id=g:2246776
Passi Ngayène	id=g:2246777
Passi Ndinderlin	id=g:2246778
Passi Ndialla	id=g:2246779
Passi	id=g:2246780
Passa	id=g:2246781
Pass	id=g:2246782
Pass Bakane	id=g:2246783
Paroumba Mandé	id=g:2246784
Paroumba	id=g:2246785
Pari Demba Dombel	id=g:2246786
Pari	id=g:2246787
Pari	id=g:2246788
Pargui	id=g:2246789
Parempémpé	id=g:2246790
Parba Dieng	id=g:2246791
Tchangol Parawol Badi	id=g:2246792
Tchangol Parawol	id=g:2246793
Parawol	id=g:2246794
Parawol Toupal	id=g:2246795
Parawol Boki Dadhi	id=g:2246796
Parassè	id=g:2246797
Paraouol Ouro Mola	id=g:2246798
Paraouol	id=g:2246799
Parangal	id=g:2246800
Parane	id=g:2246801
Par	id=g:2246802
Papao	id=g:2246803
Papamane	id=g:2246804
Paou Paou	id=g:2246805
Paoumka	id=g:2246806
Paoskoto	id=g:2246807
Paol	id=g:2246808
Panui	id=g:2246809
Pantodosse Diola	id=g:2246810
Pantiagniédié	id=g:2246811
Pankèt Sar	id=g:2246812
Forêt des Paniates	id=g:2246813
Paniat Diaobé	id=g:2246814
Paniat Bouré	id=g:2246815
Paniat	id=g:2246816
Panetiang Séring Si	id=g:2246817
Panetiang Français	id=g:2246818
Forêt Classée de Pané	id=g:2246819
Pané	id=g:2246820
Pané	id=g:2246821
Panda Yayaké	id=g:2246822
Panao Sérèr	id=g:2246823
Panangar	id=g:2246824
Panal Bayar	id=g:2246825
Forêt de Panal	id=g:2246826
Panal	id=g:2246827
Panal	id=g:2246828
Pampi	id=g:2246829
Pamène	id=g:2246830
Pambi	id=g:2246831
Pambal	id=g:2246832
Pam	id=g:2246833
Pam	id=g:2246834
Pal Sek	id=g:2246835
Tiangol Palol	id=g:2246836
Palo	id=g:2246837
Réserve Sylvo-Pastorale de Pal-Mérinaguène	id=g:2246838
Palméo	id=g:2246839
Pal Mbaouar	id=g:2246840
Palmarin Nguèdj	id=g:2246841
Palmarin	id=g:2246842
Palléba	id=g:2246843
Paliarigouye	id=g:2246844
Palène Sélédiane	id=g:2246845
Palène Fal	id=g:2246846
Palène Ded	id=g:2246847
Palène	id=g:2246848
Palène	id=g:2246849
Palène	id=g:2246850
Palène	id=g:2246851
Palène	id=g:2246852
Palène	id=g:2246853
Palène	id=g:2246854
Palèle	id=g:2246855
Palatou	id=g:2246856
Palal	id=g:2246857
Palal	id=g:2246858
Palagué	id=g:2246859
Palado	id=g:2246860
Pal	id=g:2246861
Pal	id=g:2246862
Pakri Kébé	id=g:2246863
Pakour	id=g:2246864
Pakirane	id=g:2246865
Pakinia Yerba	id=g:2246866
Pakinia	id=g:2246867
Pâki	id=g:2246868
Pakhaso	id=g:2246869
Pakha	id=g:2246870
Pakéba Maka Sissé	id=g:2246871
Pakéba	id=g:2246872
Pakatiar Ndavène	id=g:2246873
Pakao	id=g:2246874
Pakao	id=g:2246875
Pakane	id=g:2246876
Pakali	id=g:2246877
Pakala	id=g:2246878
Pakala	id=g:2246879
Pakala	id=g:2246880
Pakala	id=g:2246881
Pakala	id=g:2246882
Rio Paiunguol	id=g:2246883
Païpaï	id=g:2246884
Païlar	id=g:2246885
Païdé	id=g:2246886
Paffa Tiérèr	id=g:2246887
Paffa	id=g:2246888
Pafène	id=g:2246889
Pâfa	id=g:2246890
Padiara	id=g:2246891
Padélo	id=g:2246892
Padé	id=g:2246893
Padalal	id=g:2246894
Padaf	id=g:2246895
Pada	id=g:2246896
Pabel	id=g:2246897
Outoutor	id=g:2246898
Outioumbél	id=g:2246899
Oussouye Bôlon	id=g:2246900
Oussouye	id=g:2246901
Oussouye	id=g:2246902
Oussounkala	id=g:2246903
Ousson	id=g:2246904
Oussinguène	id=g:2246905
Oussekiba	id=g:2246906
Oussak	id=g:2246907
Ousmane Koumba	id=g:2246908
Ousmane Abdoulaye	id=g:2246909
Ousmane	id=g:2246910
Oura Soulé	id=g:2246911
Ouro Wali	id=g:2246912
Ouro Vèndou	id=g:2246913
Ourourbés	id=g:2246914
Ourour	id=g:2246915
Ourou Mboulel	id=g:2246916
Ourou	id=g:2246917
Ouro Tiédel	id=g:2246918
Ouro Sori Dala	id=g:2246919
Ouro Sori	id=g:2246920
Ouro Soré	id=g:2246921
Ouro Sogui	id=g:2246922
Ouro Siré	id=g:2246923
Ouro Singa	id=g:2246924
Ouro Sily	id=g:2246925
Ouro Sidi	id=g:2246926
Ouro Séno	id=g:2246927
Ouro Sékouro	id=g:2246928
Ouro Séano	id=g:2246929
Ouro Sambaril	id=g:2246930
Ouro Samba Dingué	id=g:2246931
Ouro Pétel	id=g:2246932
Ourong Bôlon	id=g:2246933
Ourong	id=g:2246934
Ouro Molo	id=g:2246935
Ouro Môlo	id=g:2246936
Ouro Médoul	id=g:2246937
Ouro-Matioudo-Silé	id=g:2246938
Ouro Mamoud	id=g:2246939
Ouro Mamadou Dinba	id=g:2246940
Ouro Maham	id=g:2246941
Ouro Madiou	id=g:2246942
Ouro-Kossa	id=g:2246943
Ouro Kaba	id=g:2246944
Ouro Idi	id=g:2246945
Ouro Hamat	id=g:2246946
Ouro Dialoubé	id=g:2246947
Tiângol Ouro Diabel	id=g:2246948
Ouro Demba Niama	id=g:2246949
Ouro Demba Binnta	id=g:2246950
Ouro Daouda	id=g:2246951
Ouro Dabal	id=g:2246952
Ouro Boubou	id=g:2246953
Ouro Birom	id=g:2246954
Ouro Baïdi	id=g:2246955
Ouro Bafali	id=g:2246956
Ouro Baïdi Diénaba	id=g:2246957
Tchangol Ouro Amat	id=g:2246958
Ouro Amat	id=g:2246959
Ouro Ali	id=g:2246960
Ouro Ali	id=g:2246961
Ouro-Alfalé	id=g:2246962
Ouro Alfa	id=g:2246963
Ouro Aldiouma	id=g:2246964
Ourkogne	id=g:2246965
Tiângol Ouri Sébo	id=g:2246966
Ouro Sébo	id=g:2246967
Ouri Moudiri	id=g:2246968
Tiangol Ouré Maoundé	id=g:2246969
Ourda Guindé	id=g:2246970
Oupouèle	id=g:2246971
Ouorod	id=g:2246972
Ouoran	id=g:2246973
Ouonk	id=g:2246974
Ouok Ouok	id=g:2246975
Ouok Ouok	id=g:2246976
Ouniomounèye	id=g:2246977
Ouniok	id=g:2246978
Ouniak	id=g:2246979
Oundoundou Amirou	id=g:2246980
Oundoundou Amadou Baba	id=g:2246981
Oundoumané	id=g:2246982
Boundoukondi	id=g:2246983
Oundouféré	id=g:2246984
Oundou Doupoul	id=g:2246985
Oundoudou Niakandiata	id=g:2246986
Oundoudou	id=g:2246987
Oundou Baba	id=g:2246988
Oundiou	id=g:2246989
Oundiou	id=g:2246990
Ounandou Mare	id=g:2246991
Oumpountou	id=g:2246992
Oumbaré	id=g:2246993
Oumana	id=g:2246994
Ouman	id=g:2246995
Ouloum Baba	id=g:2246996
Ouloum	id=g:2246997
Ouloubaline Bôlon	id=g:2246998
Oulou	id=g:2246999
Oulogoré	id=g:2247000
Ouli Oti	id=g:2247001
Ouli Boye	id=g:2247002
Forêt Classée du Ouli	id=g:2247003
Oulélo	id=g:2247004
Ouldé	id=g:2247005
Oulampane	id=g:2247006
Ouladji	id=g:2247007
Forêt Classée d’ Oukout	id=g:2247008
Oukout	id=g:2247009
Ouinndiou	id=g:2247010
Ougonor	id=g:2247011
Ouféra	id=g:2247012
Ouer Kerra	id=g:2247013
Ouel Moundaye	id=g:2247014
Oudourou	id=g:2247015
Oudoukar	id=g:2247016
Oudolo	id=g:2247017
Île Oudioubala	id=g:2247018
Bôlon Oudiérin	id=g:2247019
Vèndou Oudiélérou	id=g:2247020
Oudiaré	id=g:2247021
Oubol	id=g:2247022
Oubème	id=g:2247023
Oubaloum Bôlon	id=g:2247024
Oubadji	id=g:2247025
Wayambam	id=g:2247026
Ouatef	id=g:2247027
Ouassoumassal	id=g:2247028
Ouassoul	id=g:2247029
Ouassar	id=g:2247030
Ouassa-Ouassa	id=g:2247031
Wansangara	id=g:2247032
Ouassadou	id=g:2247033
Ouarti	id=g:2247034
Ouarkhokh	id=g:2247035
Ouarkéré	id=g:2247036
Ouarga	id=g:2247037
Ouarène	id=g:2247038
Ouaral Diam	id=g:2247039
Ouarak	id=g:2247040
Ouarak	id=g:2247041
Ouarak	id=g:2247042
Ouapa	id=g:2247043
Waoundé	id=g:2247044
Ouaoulou Sal	id=g:2247045
Oua Oua	id=g:2247046
Oua Oua	id=g:2247047
Ouankan	id=g:2247048
Pointe Ouangaran	id=g:2247049
Banc de Ouangaran	id=g:2247050
Ouandé	id=g:2247051
Ouandé	id=g:2247052
Oualtoundé	id=g:2247053
Oualo	id=g:2247054
Oual Kadié	id=g:2247055
Oualissoma	id=g:2247056
Ouali-Diala	id=g:2247057
Wali Diallo	id=g:2247058
Oualia	id=g:2247059
Oualé Oualé	id=g:2247060
Forêt Classée de Oualaldé	id=g:2247061
Oualaldé	id=g:2247062
Oualalane	id=g:2247063
Fôret Classée de Oualla	id=g:2247064
Ouallah	id=g:2247065
Ouaki	id=g:2247066
Ouakha Lèye	id=g:2247067
Ouakhal	id=g:2247068
Quakam	id=g:2247069
Ouakam	id=g:2247070
Ouagbache	id=g:2247071
Ouagaran	id=g:2247072
Ouafé Engo	id=g:2247073
Ouaé Touda	id=g:2247074
Ouadjourou	id=g:2247075
Ouadiour	id=g:2247076
Ouadia	id=g:2247077
Ouadia	id=g:2247078
Ouadène	id=g:2247079
Ouadène	id=g:2247080
Ouadane	id=g:2247081
Ouadane	id=g:2247082
Ouada	id=g:2247083
Orndoldé	id=g:2247084
Orkadiéré	id=g:2247085
Ori Diofa	id=g:2247086
Orétiendi	id=g:2247087
Oré Maham	id=g:2247088
Horé Fôndé	id=g:2247089
Oré	id=g:2247090
Oré	id=g:2247091
Onntorbé	id=g:2247092
Omoul Kouré	id=g:2247093
Ombo	id=g:2247094
Ololdou	id=g:2247095
Olol	id=g:2247096
Olol	id=g:2247097
Oli Olfa	id=g:2247098
Réserve Sylvo-Pastorale d’ Oldou Débokol	id=g:2247099
Okou	id=g:2247100
Oki	id=g:2247101
Presqu’île aux Oiseaux	id=g:2247102
Îles aux Oiseaux	id=g:2247103
Île des Oiseaux	id=g:2247104
Ogo	id=g:2247105
Ogo	id=g:2247106
Ogo	id=g:2247107
Odobéré	id=g:2247108
Vèndou Odiolé	id=g:2247109
Odiolé	id=g:2247110
Odioldou	id=g:2247111
Odioldé	id=g:2247112
Odioldé	id=g:2247113
Pointe Obac	id=g:2247114
Nyikine	id=g:2247115
Nyassia	id=g:2247116
Rio Nupánà	id=g:2247117
Île de Tieng	id=g:2247118
Tiaye	id=g:2247119
Ntiagar	id=g:2247120
Noussoum	id=g:2247121
Noumouyél	id=g:2247122
Noumoufoukha	id=g:2247123
Noukwel	id=g:2247124
Nouk Pomo	id=g:2247125
Noualko	id=g:2247126
Noto Gouye Diama	id=g:2247127
Noto	id=g:2247128
Passe du Nord	id=g:2247129
Banc du Nord	id=g:2247130
Nopi Birama	id=g:2247131
Nolk Diabé	id=g:2247132
Nokouré	id=g:2247133
Noflaye	id=g:2247134
Nobi	id=g:2247135
Vendou Nodi	id=g:2247136
Nobandam	id=g:2247137
Marigot de Noar	id=g:2247138
Noamlo	id=g:2247139
Niandoul	id=g:2247140
N’Jalal	id=g:2247141
Niva	id=g:2247142
Nissi	id=g:2247143
Niou Sogui	id=g:2247144
Niourkadié	id=g:2247145
Niounhani	id=g:2247146
Niou Nayerou	id=g:2247147
Nioulwi	id=g:2247148
Nioukou	id=g:2247149
Niouki	id=g:2247150
Niouki	id=g:2247151
Nioufène	id=g:2247152
Nioufaye	id=g:2247153
Niouba Félékoba	id=g:2247154
Niorotara	id=g:2247155
Rip	id=g:2247156
Nioro du Rip	id=g:2247157
Nioro du Rip	id=g:2247158
Nioro Alassane	id=g:2247159
Nioro	id=g:2247160
Nioro	id=g:2247161
Nioro	id=g:2247162
Nioro	id=g:2247163
Niorki	id=g:2247164
Nionbré	id=g:2247165
Nion Bôlon	id=g:2247166
Nionaga	id=g:2247167
Niomré Lo	id=g:2247168
Niomoune	id=g:2247169
Niom Dadè	id=g:2247170
Niombré	id=g:2247171
Niombré	id=g:2247172
Niomar	id=g:2247173
Niomar	id=g:2247174
Ndiol	id=g:2247175
Niokoul Ndiaba	id=g:2247176
Forêt Classée de Niokolo Sud Ouest	id=g:2247177
Forêt Classée de Niokolo Ouest	id=g:2247178
Parc National du Niokolo-Koba	id=g:2247179
Niokolo Koba	id=g:2247180
Niokolo-Koba	id=g:2247181
Forêt Classée de Niokolo Est	id=g:2247182
Niodior	id=g:2247183
Niobel	id=g:2247184
Ninnkidi	id=g:2247185
Rio Ninguendiuel	id=g:2247186
Ning	id=g:2247187
Ninam	id=g:2247188
Nimzat	id=g:2247189
Nilla	id=g:2247190
Pointe de Nikine	id=g:2247191
Niéti Yone	id=g:2247192
Niéti-Yone	id=g:2247193
Niet	id=g:2247194
Nièr Ouolof	id=g:2247195
Niéri Ko	id=g:2247196
Niéri Diofé	id=g:2247197
Niéri	id=g:2247198
Niépi Samba	id=g:2247199
Niénoko	id=g:2247200
Niéniéné	id=g:2247201
Nieng	id=g:2247202
Niéméniké	id=g:2247203
Nièm	id=g:2247204
Niedine	id=g:2247205
Niédiné	id=g:2247206
Niédébel	id=g:2247207
Nibré Ba	id=g:2247208
Nibane	id=g:2247209
Périmètre de Reboisement des Niayes	id=g:2247210
Niayes	id=g:2247211
Niayène	id=g:2247212
Niayène	id=g:2247213
Niaye	id=g:2247214
Niatafara	id=g:2247215
Niassène Dianka Ali	id=g:2247216
Niassène	id=g:2247217
Niassène	id=g:2247218
Niassène	id=g:2247219
Niassarang	id=g:2247220
Niassanté	id=g:2247221
Niarouél Véndou Amadi	id=g:2247222
Tiângol Niarouél	id=g:2247223
Niakhib	id=g:2247224
Niarhène	id=g:2247225
Niargo Dialoubé	id=g:2247226
Niarével	id=g:2247227
Niaret	id=g:2247228
Niarabourou	id=g:2247229
Niapo	id=g:2247230
Niapguel	id=g:2247231
Niapa Diaye	id=g:2247232
Niapa Diane	id=g:2247233
Niapa Balla	id=g:2247234
Niaoump	id=g:2247235
Niaoulé Bayéko	id=g:2247236
Forêt Classée de Niaoulé	id=g:2247237
Niaoulé	id=g:2247238
Niaoulé	id=g:2247239
Niaoulé	id=g:2247240
Nianta	id=g:2247241
Niankite	id=g:2247242
Nianka	id=g:2247243
Nianing Boro	id=g:2247244
Forêt Classée de Nianing	id=g:2247245
Nianing	id=g:2247246
Nianija Bolon	id=g:2247247
Niani	id=g:2247248
Nianguimoni	id=g:2247249
Nianguène Yérouane	id=g:2247250
Nianguène Kodé	id=g:2247251
Nianguène Peul	id=g:2247252
Nianguène	id=g:2247253
Nianguène	id=g:2247254
Nianguène	id=g:2247255
Niangué Darhar	id=g:2247256
Niangué	id=g:2247257
Niang Tass	id=g:2247258
Niangouré	id=g:2247259
Niang Ouade	id=g:2247260
Niangola	id=g:2247261
Ndianghal	id=g:2247262
Niangana Tiédel	id=g:2247263
Niangana Kolel	id=g:2247264
Nianga	id=g:2247265
Niang	id=g:2247266
Nianène	id=g:2247267
Niandoul	id=g:2247268
Niandouba	id=g:2247269
Niandinndia Dimbel	id=g:2247270
Niandiem	id=g:2247271
Niandianki	id=g:2247272
Niandassara	id=g:2247273
Niandane	id=g:2247274
Niandane	id=g:2247275
Nianbalan	id=g:2247276
Nianao	id=g:2247277
Nianane	id=g:2247278
Nianakounda	id=g:2247279
Niampampo	id=g:2247280
Niamone	id=g:2247281
Niamnioro	id=g:2247282
Niaming	id=g:2247283
Niamina	id=g:2247284
Niamina	id=g:2247285
Niamaya	id=g:2247286
Niambik	id=g:2247287
Niambalak	id=g:2247288
Niamaré	id=g:2247289
Nialoumbel Tiaské	id=g:2247290
Nialor	id=g:2247291
Nialon Bôlon	id=g:2247292
Nialon	id=g:2247293
Nialokan	id=g:2247294
Nialé	id=g:2247295
Niala Baoudé	id=g:2247296
Niakounda	id=g:2247297
Niakoul Rab	id=g:2247298
Niokhoul	id=g:2247299
Niakobédé	id=g:2247300
Niakhène Diama	id=g:2247301
Niakhène Darou	id=g:2247302
Niakhène	id=g:2247303
Niakhar	id=g:2247304
Niaye Khaye	id=g:2247305
Niakaré	id=g:2247306
Niakal	id=g:2247307
Niakabana	id=g:2247308
Niaka	id=g:2247309
Niahène	id=g:2247310
Niaguis	id=g:2247311
Niaguène	id=g:2247312
Niagniène	id=g:2247313
Niagne	id=g:2247314
Niagane	id=g:2247315
Niaganar	id=g:2247316
Niagalankomé	id=g:2247317
Niaga	id=g:2247318
Niafourang	id=g:2247319
Niafougne	id=g:2247320
Niafor	id=g:2247321
Niaféna	id=g:2247322
Niaéré	id=g:2247323
Niadj Nelbé	id=g:2247324
Niadj	id=g:2247325
Niadiou	id=g:2247326
Niadième	id=g:2247327
Niabardo	id=g:2247328
Nhar	id=g:2247329
Nguité	id=g:2247330
Nguiobène	id=g:2247331
Nguinte	id=g:2247332
Nguiniène	id=g:2247333
Marigot de Nguine	id=g:2247334
Nguimmbou	id=g:2247335
Nguimbou	id=g:2247336
Nguik Fall	id=g:2247337
Nguik Fal	id=g:2247338
Nguiguis	id=g:2247339
Nguiguis	id=g:2247340
Nguiguilone	id=g:2247341
Nguière	id=g:2247342
Nguiedj	id=g:2247343
Nguidiane	id=g:2247344
Nguidé Mbalo	id=g:2247345
Nguèyène	id=g:2247346
Nguèyène	id=g:2247347
Nguèyène	id=g:2247348
Nguéyène	id=g:2247349
Nguéyène	id=g:2247350
Nguéyène	id=g:2247351
Nguéye Dili	id=g:2247352
Nguévik	id=g:2247353
Ngueune Sar	id=g:2247354
Nguet	id=g:2247355
Nguéssim	id=g:2247356
Nguessé	id=g:2247357
Nguermalal	id=g:2247358
Nguerkor	id=g:2247359
Nguéralo	id=g:2247360
Nguèr	id=g:2247361
Nguer	id=g:2247362
Nguer	id=g:2247363
Nguer	id=g:2247364
Nguer	id=g:2247365
Nguéoul Louto	id=g:2247366
Nguent	id=g:2247367
Nguène Sèye	id=g:2247368
Nguéniène	id=g:2247369
Nguénèna	id=g:2247370
Nguène	id=g:2247371
Nguène	id=g:2247372
Nguemmbé	id=g:2247373
Nguemmbé	id=g:2247374
Nguemmbé	id=g:2247375
Ngembé	id=g:2247376
Nguembé	id=g:2247377
Nguélou	id=g:2247378
Nguélem	id=g:2247379
Nguékor	id=g:2247380
Nguékokh	id=g:2247381
Nguébel	id=g:2247382
Nguébé	id=g:2247383
Nguébal	id=g:2247384
Ngraf	id=g:2247385
Ngoye	id=g:2247386
Ngoye	id=g:2247387
Ngouye Siouarh	id=g:2247388
Ngouye Ouadé	id=g:2247389
Ngouye Lamane	id=g:2247390
Ngouye Diéri	id=g:2247391
Ngouye Diaraf	id=g:2247392
Ngouye Bé	id=g:2247393
Ngouye	id=g:2247394
Ngour Soaré	id=g:2247395
Ngourounda	id=g:2247396
Ngouré	id=g:2247397
Ngourane	id=g:2247398
Ngoumou	id=g:2247399
Ngoumbal	id=g:2247400
Ngoumba Nguéoul	id=g:2247401
Ngoultoune	id=g:2247402
Ngoult	id=g:2247403
Ngouloum Thiarène	id=g:2247404
Ngouloum Teugue	id=g:2247405
Gouloum	id=g:2247406
Ngouloum	id=g:2247407
Ngouloul	id=g:2247408
Ngoulé	id=g:2247409
Ngoulé	id=g:2247410
Ngouké Kouké	id=g:2247411
Ngouké Diama	id=g:2247412
Ngouïssi	id=g:2247413
Ngoui	id=g:2247414
Ngoui	id=g:2247415
Ngoufat	id=g:2247416
Ngoudouro	id=g:2247417
Ngotié	id=g:2247418
Ngoré Yop	id=g:2247419
Île de Ngor	id=g:2247420
Ngor	id=g:2247421
Ngor	id=g:2247422
Ngop	id=g:2247423
Ngoppou	id=g:2247424
Tiangol Ngonor	id=g:2247425
Ngonor	id=g:2247426
Ngonine	id=g:2247427
Ngom Latri	id=g:2247428
Ngomène	id=g:2247429
Ngomène	id=g:2247430
Ngomène	id=g:2247431
Ngomène	id=g:2247432
Ngomane	id=g:2247433
Ngom	id=g:2247434
Ngoloum	id=g:2247435
Ngolotié	id=g:2247436
Ngolomone	id=g:2247437
Ngolo	id=g:2247438
Ngold	id=g:2247439
Ngolar	id=g:2247440
Ngol	id=g:2247441
Ngoko	id=g:2247442
Ngokine	id=g:2247443
Ngoki	id=g:2247444
Ngokare	id=g:2247445
Ngohé	id=g:2247446
Ngogom	id=g:2247447
Ngogo	id=g:2247448
Ngodom	id=g:2247449
Ngodjélèm	id=g:2247450
Ngodilé	id=g:2247451
Ngobé	id=g:2247452
Marigot de Ngo	id=g:2247453
Ngnitigaye	id=g:2247454
Nghass	id=g:2247455
Ngar	id=g:2247456
Ngéoul	id=g:2247457
Ngékor	id=g:2247458
Ngazobil	id=g:2247459
Ngayokhem	id=g:2247460
Ngaye Ngaye	id=g:2247461
Ngaye Ngaye	id=g:2247462
Ngaye Ngaye	id=g:2247463
Ngaye Ngaye	id=g:2247464
Ngaye Ngaye	id=g:2247465
Ngayène Tiébo	id=g:2247466
Ngayène Sar	id=g:2247467
Ngayène Hamdalaye	id=g:2247468
Forêt Classée de Ngayene	id=g:2247469
Ngayène	id=g:2247470
Ngayène	id=g:2247471
Ngayène	id=g:2247472
Ngayène	id=g:2247473
Ngayène	id=g:2247474
Ngayène	id=g:2247475
Ngayène	id=g:2247476
Ngayène	id=g:2247477
Ngaye Gaye	id=g:2247478
Ngaye Diavar	id=g:2247479
Ngaye Ndiaye	id=g:2247480
Ngaye Diagne	id=g:2247481
Ngaye	id=g:2247482
Ngaye	id=g:2247483
Ngayaf	id=g:2247484
Ngawal	id=g:2247485
Ngavadji	id=g:2247486
