Sperry's Restaurant	id=g:7288749
Newport Fire Department	id=g:7305526
South Portland Fire Department Central	id=g:7305527
Madawaska Fire Department	id=g:7305528
Carrabassett Valley Volunteer Fire Department Valley Station	id=g:7305529
Old Orchard Beach Fire Department	id=g:7305530
Jay Volunteer Fire Department Station 2	id=g:7305531
Mars Hill Volunteer Fire Department	id=g:7305532
Jay Volunteer Fire Department Station 1	id=g:7305533
Sebago Fire Department Station 1	id=g:7305534
Durham Fire Department	id=g:7305535
Harrison Fire Department	id=g:7305536
Phippsburg Fire and Rescue Department	id=g:7305537
Winslow Fire Department	id=g:7305538
Belfast Volunteer Fire Department	id=g:7305539
Milo Fire Department	id=g:7305540
Town Center Station Cape Elizabeth Company 3	id=g:7305541
Wells Fire Department Station 1	id=g:7305542
Pownal Fire and Rescue North Station	id=g:7305543
Sebago Fire Department Station 3	id=g:7305544
Levant Fire and Rescue Department	id=g:7305545
Brunswick Naval Air Station Fire Department	id=g:7305546
Carrabassett Valley Volunteer Fire Department Mountain Station	id=g:7305547
Monhegan Volunteer Fire Department	id=g:7305548
Thorndike Fire Department	id=g:7305549
Brooks Volunteer Fire Department	id=g:7305550
North Whitefield Fire Department	id=g:7305551
Fairfield Fire Department Station 2	id=g:7305552
Mount Vernon Fire and Rescue	id=g:7305553
Byron Volunteer Fire Department	id=g:7305554
Portsmouth Naval Shipyard Fire Department	id=g:7305555
Osborn Municipal Volunteer Fire Department	id=g:7305556
Cutler Navy Fire Department	id=g:7305557
Waltham Volunteer Fire Department	id=g:7305558
South Portland Fire Department Cash Corner	id=g:7305559
Saco Fire Department Central Station	id=g:7305560
Augusta Fire Department Wells Station	id=g:7305561
Limington Fire and Emergency Medical Services	id=g:7305562
South Casco Fire Department Station 2	id=g:7305563
Grand Isle Fire Department	id=g:7305564
Portage Lake Volunteer Fire Department	id=g:7305565
Westbrook Fire and Rescue Station 3	id=g:7305566
Paris Fire Department	id=g:7305567
Minot Fire Department - Death Valley Substation	id=g:7305568
Turner Volunteer Fire Department Central Station	id=g:7305569
Otisfield Volunteer Fire Department East Otisfield Station	id=g:7305570
Otisfield Volunteer Fire Department Otisfield Gore Station	id=g:7305571
Glenburn Fire Department Station 23	id=g:7305572
Southport Volunteer Fire Department Main Station	id=g:7305573
Pleasant Point Fire Department	id=g:7305574
Burnham Fire Department Station 1	id=g:7305575
Hiram Fire Department	id=g:7305576
Limington Volunteer Fire Department Station 2	id=g:7305577
Coopers Mills Fire Department	id=g:7305578
South Bristol Volunteer Fire Department Walpole	id=g:7305579
Yarmouth Fire and Rescue Wyman Station	id=g:7305580
Farmingdale Volunteer Fire Department Substation	id=g:7305581
Jefferson Volunteer Fire and Rescue Storage	id=g:7305582
Solon Volunteer Fire Department	id=g:7305583
Smithfield Volunteer Fire Department	id=g:7305584
Dresden Volunteer Fire Department Station 2	id=g:7305585
Damariscotta Fire Department Massasoit Engine Company	id=g:7305586
West Gardiner Fire Department Station 1	id=g:7305587
Belmont Volunteer Fire Department	id=g:7305588
Palermo Volunteer Fire Department Central Station	id=g:7305589
South Portland Fire Department West End	id=g:7305590
Windham Fire Rescue Department District 3	id=g:7305591
Lebanon Fire Department Blaisdell Corner Fire Station	id=g:7305592
Saint George Volunteer Fire Department Substation	id=g:7305593
Stetson Volunteer Fire Department	id=g:7305594
Orono Fire Department	id=g:7305595
Kennebunk Fire and Rescue West Kennebunk Fire Station	id=g:7305596
Brooksville Volunteer Fire Department Main Station	id=g:7305597
Windham Fire Rescue Department District 2	id=g:7305598
Readfield Fire Department	id=g:7305599
China Volunteer Fire Department China Village Station	id=g:7305600
Litchfield Fire and Rescue Main Station	id=g:7305601
Lisbon Volunteer Fire Department E T Smith Hose Company	id=g:7305602
Baileyville Volunteer Fire Department	id=g:7305603
Hebron Fire Department Station 1	id=g:7305604
Woodstock Fire Department	id=g:7305605
Stoneham Volunteer Fire Department	id=g:7305606
Lovell Volunteer Fire Department North Station	id=g:7305607
Vassalboro Fire Department Riverside Station	id=g:7305608
Randolph Fire Department	id=g:7305609
Sidney Fire Department Engine Company 4	id=g:7305610
West River Road Volunteer Fire Department	id=g:7305611
Farmingdale Volunteer Fire Department Central Station	id=g:7305612
Monmouth Volunteer Fire Department North Station	id=g:7305613
Chelsea Volunteer Fire Department Hallowell Road Station	id=g:7305614
Belgrade Volunteer Fire Department North Belgrade Station	id=g:7305615
Dresden Volunteer Fire Department Station 1	id=g:7305616
Minnehatta Fire Department	id=g:7305617
Vassalboro Fire Department North Station	id=g:7305618
Stockholm Volunteer Fire Department	id=g:7305619
Indian Township Fire and Rescue	id=g:7305621
Cherryfield Volunteer Fire Department	id=g:7305622
Eastport Municipal Fire Department Station 1	id=g:7305623
Topsfield Volunteer Fire Department	id=g:7305624
Charlotte Volunteer Fire Department	id=g:7305625
Wells Branch Fire Department Wells Branch Station	id=g:7305626
Cushing Volunteer Fire Department	id=g:7305627
Carmel Volunteer Fire Department and Ambulance	id=g:7305628
Orrs Island Fire Department	id=g:7305629
Falmouth Fire Emergency Medical Services Central Station	id=g:7305630
Weld Volunteer Fire Department	id=g:7305631
Eastport Municipal Fire Department Station 2	id=g:7305632
Gilead Fire Department	id=g:7305633
Hope Volunteer Fire Department South Hope Station	id=g:7305634
Windham Fire Rescue Department District 1	id=g:7305635
Scarborough Fire Department Engine 4	id=g:7305636
Union Fire Department	id=g:7305637
Pleasantdale Hose Company Engine 3	id=g:7305638
Guilford Fire Department	id=g:7305639
Sidney Fire Department Engine Company 3	id=g:7305640
Masardis Volunteer Fire Department	id=g:7305641
Wilsons Mills Fire Department	id=g:7305642
New Sharon Fire Department	id=g:7305643
Andover Fire Department Substation	id=g:7305644
Industry Volunteer Fire Department	id=g:7305645
Augusta Fire Department Western Avenue Station	id=g:7305646
Alfred Fire and Rescue Department	id=g:7305647
Islesboro Volunteer Fire Department	id=g:7305648
Buckfield Fire Department	id=g:7305649
Hope Volunteer Fire Department Hope Corner Station	id=g:7305650
Pittston Fire Department Substation	id=g:7305651
Dedham - Lucerne Fire Department Dedham Station	id=g:7305652
Rangeley Volunteer Fire Department Rangeley Station	id=g:7305653
Magalloway Fire Department	id=g:7305654
Kennebunk Fire and Rescue Washington Hose Company	id=g:7305655
Bar Harbor Ambulance Town Hill Station	id=g:7305656
Canaan Fire Department	id=g:7305657
Seboeis Plantation Volunteer Fire Department	id=g:7305658
Whitefield Fire and Rescue	id=g:7305659
Sorrento Fire Department	id=g:7305660
Bath Iron Works Fire Department	id=g:7305661
Rockwood Fire and Rescue Department	id=g:7305662
Scarborough Fire Rescue Department Dunstan Station	id=g:7305663
Cundys Harbor Volunteer Fire Department	id=g:7305664
Buxton Fire and Rescue Chicopee Station 3	id=g:7305665
Detroit Fire and Rescue	id=g:7305666
Raymond Public Safety Building	id=g:7305667
Sidney Fire Department Engine Company 6	id=g:7305668
Frenchville Fire Department	id=g:7305669
Easton Fire Department	id=g:7305670
Jackman Moose River Fire Department	id=g:7305671
Sabattus Fire Department Crowley Road Substation	id=g:7305672
Auburn Fire Department Engine 5	id=g:7305673
Auburn Fire Department Engine 2	id=g:7305674
Greene Volunteer Fire Department	id=g:7305675
Turner Volunteer Fire Department North Station	id=g:7305676
Wesley Volunteer Fire Department	id=g:7305677
Lovell Volunteer Fire Department Village Station	id=g:7305678
Kenduskeag Fire Department	id=g:7305679
Lovell Volunteer Fire Department Central Station	id=g:7305680
Greenbush Volunteer Fire Department Codville Station	id=g:7305681
Etna Municipal Fire Department	id=g:7305682
Dixmont Volunteer Fire Department North Station	id=g:7305683
Stockton Springs Volunteer Fire Department	id=g:7305684
Charleston Volunteer Fire Department	id=g:7305685
Waterboro Fire Department South Station	id=g:7305686
Montville Volunteer Fire Department	id=g:7305687
Mapleton - Castle Hill - Chapman Fire Department	id=g:7305688
Acton Volunteer Fire Department	id=g:7305689
Harpswell Neck Volunteer Fire Department	id=g:7305690
Dry Mills Fire and Rescue Station	id=g:7305691
Kennebunk Fire and Rescue - Blueberry Plains Fire Station	id=g:7305692
Bristol Fire Department - Round Pond	id=g:7305693
Jefferson Volunteer Fire and Rescue Station 2	id=g:7305694
Hollis Fire Department Station 2	id=g:7305695
Starks Volunteer Fire Department	id=g:7305696
Anson Volunteer Fire Department	id=g:7305697
New Portland Fire Department	id=g:7305698
Canaan Volunteer Fire Department	id=g:7305699
Lincolnville Volunteer Fire Department Beach Station	id=g:7305700
Jackson Fire Department	id=g:7305701
West Frankfort Fire and First Responders	id=g:7305702
Wellington Fire Department	id=g:7305703
Monson Volunteer Fire Department	id=g:7305704
Winterport Volunteer Fire Department	id=g:7305705
Unity Fire Department	id=g:7305706
Shirley Volunteer Fire Department	id=g:7305707
Canton Volunteer Fire Department	id=g:7305708
Columbia Volunteer Fire Department	id=g:7305709
Alexander Volunteer Fire Department	id=g:7305710
Deblois Volunteer Fire Department	id=g:7305711
Danforth Volunteer Fire Department	id=g:7305712
Jonesport Volunteer Fire Department	id=g:7305713
Meddybemps Volunteer Fire Department	id=g:7305714
Saco Fire Department Camp Ellis Station	id=g:7305715
Lebanon Fire Department East Lebanon Fire Station	id=g:7305716
Wells Fire Department High Pine Station	id=g:7305717
Dixmont Volunteer Fire Department East Dixmont Station	id=g:7305718
Passadumkeag Volunteer Fire Department	id=g:7305719
Medway Volunteer Fire Department	id=g:7305720
Greenbush Volunteer Fire Department Oloman Station	id=g:7305721
East Millinocket Public Safety Fire Department	id=g:7305722
Dedham - Lucerne Fire Department Lucerne Station	id=g:7305723
Penobscot Volunteer Fire Department Storage	id=g:7305724
Sedgwick Volunteer Fire Department Sargentville Station	id=g:7305725
New Vineyard Volunteer Fire Department	id=g:7305726
Phillips Volunteer Fire Department	id=g:7305727
Chesterville Volunteer Fire Department	id=g:7305728
Gouldsboro Volunteer Fire Department Station 3	id=g:7305729
Gouldsboro Volunteer Fire Department Station 1	id=g:7305730
Swans Island Volunteer Fire Department	id=g:7305731
Scarborough Fire Department Engine 1	id=g:7305732
West Gorham Station Gorham	id=g:7305733
Woolwich Volunteer Fire Department North Station	id=g:7305734
Monroe Volunteer Fire Department	id=g:7305735
Turner Volunteer Fire Department South End Station	id=g:7305736
Greenwood Fire Department Substation	id=g:7305737
Peru Fire Department Substation	id=g:7305738
Bridgewater Fire Department	id=g:7305739
Windsor Volunteer Fire Department	id=g:7305740
Wayne Volunteer Fire Department Village Station	id=g:7305741
Fayette Volunteer Fire Department	id=g:7305742
China Volunteer Fire Department Weeks Mills Station	id=g:7305743
Chelsea Volunteer Fire Department Togus Road Station	id=g:7305744
Belgrade Volunteer Fire Department Depot Station	id=g:7305745
Litchfield Fire and Rescue Substation	id=g:7305746
Rome Volunteer Fire Department Station 1	id=g:7305747
Wayne Volunteer Fire Department North Wayne Station	id=g:7305748
Palermo Volunteer Fire Department East Palermo Station	id=g:7305749
Hudson Volunteer Fire Department	id=g:7305750
Baring Plantation Volunteer Fire Department Incorporated	id=g:7305751
Whiting Volunteer Fire Department	id=g:7305752
Bowdoinham Volunteer Fire Department	id=g:7305753
Perry Volunteer Fire Department	id=g:7305754
Harrington Volunteer Fire Department	id=g:7305755
Grand Lake Stream Volunteer Fire Department	id=g:7305756
Addison Volunteer Fire Department Village Station	id=g:7305757
Jonesport Volunteer Fire Department - Mason Bay Substation	id=g:7305758
South Portland Fire Department Thornton Heights	id=g:7305759
Princeton Volunteer Fire Department	id=g:7305760
Steuben Volunteer Fire Department	id=g:7305761
Waterboro Fire Department North Station	id=g:7305762
Kittery Fire Department - Kittery Point Fire Station	id=g:7305763
Kennebunkport Fire Department - Goose Rocks Beach Fire Station	id=g:7305764
Desert Fire Department Station 3	id=g:7305765
Shapleigh Volunteer Fire Department Ross Station	id=g:7305766
Hancock Volunteer Fire Department Station 1	id=g:7305767
Springfield Fire Department	id=g:7305768
Bangor Fire Department Station 5	id=g:7305769
Newburgh Volunteer Fire Department Station 2	id=g:7305770
Hancock Volunteer Fire Department Station 2	id=g:7305771
Desert Fire Department Station 2	id=g:7305772
Sullivan Volunteer Fire Department East Sullivan Station	id=g:7305773
Eastbrook Volunteer Fire Department	id=g:7305774
Surry Volunteer Fire Department	id=g:7305775
South Portland Fire Department Ferry Village	id=g:7305776
South Portland Fire Department Willard Square	id=g:7305777
Falmouth Volunteer Fire Department Engine 1	id=g:7305778
East Windham Fire Department	id=g:7305779
White Rocks Station Gorham	id=g:7305780
North Gorham Station District 4	id=g:7305781
Buxton Fire Department Station 1	id=g:7305782
Falmouth Volunteer Fire Department Engine 3	id=g:7305783
Rangeley Volunteer Fire Department Oquossoc Station	id=g:7305784
West Paris Fire Department	id=g:7305785
Fryeburg Fire Department	id=g:7305786
Scarborough Fire Department Engine 3 Pleasant Hill	id=g:7305787
Waldo Fire Department	id=g:7305788
Kittery Fire Department Georges Road Station	id=g:7305789
Mariaville Volunteer Fire Department	id=g:7305790
Bradford Volunteer Fire Department	id=g:7305791
Kings Mills Fire Department	id=g:7305792
Scarborough Fire Department Station 5	id=g:7305793
New Gloucester Fire Department Station 2	id=g:7305794
Bowerbank Fire Department	id=g:7305795
Junction Fire Station	id=g:7305796
Beddington Volunteer Fire Department	id=g:7305797
Frenchboro Volunteer Fire Department	id=g:7305798
Tremont Volunteer Fire Department - Seal Cove Station	id=g:7305799
Sanford Fire Department Roseville Training Facility	id=g:7305800
Cutler Volunteer Fire Department	id=g:7305801
Frankfort Village Volunteer Fire Department	id=g:7305802
Calais Fire Department Station 2	id=g:7305803
Addison Volunteer Fire Department South Addison	id=g:7305804
Jonesboro Volunteer Fire Department	id=g:7305805
Otisfield Volunteer Fire Department Spurrs Corner Station	id=g:7305806
North Berwick Fire Department Substation	id=g:7305807
Stonington Volunteer Fire Department	id=g:7305808
East Baldwin Fire Station	id=g:7305809
West Fork Volunteer Fire Department	id=g:7305810
Bingham Volunteer Fire Department	id=g:7305811
Frye Island Fire Department Station 1	id=g:7305812
Carthage Volunteer Fire Department	id=g:7305813
Vanceboro Volunteer Fire Department	id=g:7305814
West Gardiner Fire Department Station 2	id=g:7305815
Gouldsboro Volunteer Fire Department Station 2	id=g:7305816
Burnham Fire Department Station 2	id=g:7305817
Cooper Volunteer Fire Department	id=g:7305818
Swans Island Volunteer Fire Department Station 2	id=g:7305819
Pownal Fire and Rescue Center Station	id=g:7305820
Sebago Fire Department Station 2	id=g:7305821
Northport Volunteer Fire Department Bluff Station	id=g:7305822
Brownfield Volunteer Fire Department	id=g:7305823
Rome Volunteer Fire Department Station 2	id=g:7305824
Franklin Volunteer Fire Department	id=g:7305825
Cooks Corner Fire Station Brunswick	id=g:7305826
Lamoine Volunteer Fire Department	id=g:7305827
North Bridgton Fire Department	id=g:7305828
Linneus Volunteer Fire Department	id=g:7305829
Littleton Volunteer Fire Department	id=g:7305830
Northport Volunteer Fire Department	id=g:7305831
Detroit Volunteer Fire Department	id=g:7305832
Frye Island Fire Department Station 2	id=g:7305833
Van Buren Fire Department	id=g:7305834
South Bridgton Fire Department	id=g:7305835
Fryeburg Fire Department East Station	id=g:7305836
West Bridgeton Fire Department	id=g:7305837
Village Fire and Rescue Station	id=g:7305838
West Minot Village Fire Department	id=g:7305839
Wales Volunteer Fire Department	id=g:7305840
Village Fire Station	id=g:7305841
Village Fire Station	id=g:7305842
Allagash Fire Department	id=g:7305843
Auburn Rescue Central Station	id=g:7305844
Bar Harbor Ambulance	id=g:7305845
Paramount Theatre	id=g:7305846
Jacquith Cemetery	id=g:7305847
Pioneer Deep Space Station	id=g:7305848
Pony Express Terminal	id=g:7305849
Rangers' Club	id=g:7305850
Space Launch Complex 10	id=g:7305851
Swedenborgian Church	id=g:7305852
Tolowot	id=g:7305853
Twenty-Five Foot Space Simulator	id=g:7305854
Well Number Four	id=g:7305855
Pico Canyon Oil Field	id=g:7305856
Bent's Old Fort	id=g:7305857
Central City-Balck Hawk Historic District	id=g:7305858
Cripple Creek Historic District	id=g:7305859
Georgetown-Silver Plume Historic District	id=g:7305860
Leadville Historic District	id=g:7305861
Philadelphia Toboggan Company Carousel Number 6	id=g:7305862
Rocky Mountain National Park Administration Building	id=g:7305863
Silverton Historic District	id=g:7305864
Telluride Historic District	id=g:7305865
United States Air Force Academy Cadet Area	id=g:7305866
Henry Bowen House	id=g:7305867
Buttolph-Williams House	id=g:7305868
Cheney Brothers Historic District	id=g:7305869
Coltsville Historic District	id=g:7305870
James Dwight Dana House	id=g:7305871
Silas Deane House	id=g:7305872
Oliver Ellsworth Homestead	id=g:7305873
Othniel C Marsh House	id=g:7305874
Nathaniel Palmer House	id=g:7305875
Tapping Reeve House and Law School	id=g:7305876
Samuel Wadsworth Russell House	id=g:7305877
John Trumbull Birthplace	id=g:7305878
Joseph Webb House	id=g:7305879
Howard High School of Technology	id=g:7305880
Lombardy Hall	id=g:7305881
New Castle Court House Museum	id=g:7305882
New Castle Historic District	id=g:7305883
Cleveland Abby House	id=g:7305884
Smithsonian Institution Arts and Industries Building	id=g:7305885
General Post Office (historical)	id=g:7305886
Georgetown Historic District	id=g:7305888
Lafayette Square Historic District	id=g:7305889
Andrew Mellon Building	id=g:7305890
Twelfth Street YMCA Building	id=g:7305891
Mary McLeod Bethune Home	id=g:7305892
Cathedral of Saint Augustine	id=g:7305893
El Centro Espanol De Tampa	id=g:7305894
Fort Walton Mound	id=g:7305895
Gonzales-Alverez House	id=g:7305896
Ernest Hemingway House	id=g:7305897
Llambias House	id=g:7305898
Marjorie Kinnan Rawlings House and Farm Yard	id=g:7305899
Miami Biltmore Hotel and Country Club	id=g:7305900
Plaza Ferdinand VII	id=g:7305901
Safety Harbor Site	id=g:7305902
Saint Augustine Town Plan Historic District	id=g:7305903
Tampa Bay Hotel	id=g:7305904
Ybor City Historic District	id=g:7305905
Whitehall	id=g:7305906
Bellevue	id=g:7305907
Fort James Jackson	id=g:7305908
Henry W Grady House	id=g:7305909
Joel Chandler Harris House	id=g:7305910
Hay House	id=g:7305911
Herdon Home	id=g:7305912
Historic Augusta Canal and Industrial District	id=g:7305913
Old Medical College	id=g:7305914
William Scarbrough House	id=g:7305915
Springer Opera House	id=g:7305916
Robert Toombs House	id=g:7305917
George Walton House	id=g:7305918
Woodrow Wilson Boyhood Home	id=g:7305919
White River Balds Natural Area	id=g:7305920
South Coxs Bald	id=g:7305921
Coxs Bald	id=g:7305922
White Cedar Bald	id=g:7305923
Long Bald	id=g:7305924
Garber Bald	id=g:7305925
Possum Haw Hollow	id=g:7305926
Dewey Cove	id=g:7305927
Highland Recreation Complex	id=g:7305928
Largo Central Park	id=g:7305929
George C McGough Nature Park	id=g:7305930
John R Bonner Park	id=g:7305931
Largo Central Park Nature Preserve	id=g:7305932
Largo Golf Course	id=g:7305933
Southwest Recreation Complex	id=g:7305934
Stanley B and Doris Broderick Park	id=g:7305935
Davis Field	id=g:7305936
Freedom Lake Park	id=g:7305937
Granada Circle Park	id=g:7305938
Helen Howarth Community Park	id=g:7305939
Doctor Edward J Lurie Equestrian Park	id=g:7305940
McDevitt Park	id=g:7305941
Pinebrook Park	id=g:7305942
Shoecraft Park	id=g:7305943
Skyview Mini Park	id=g:7305944
Sparkle Lake Park	id=g:7305945
Lloyd Tingler Park	id=g:7305946
Town Square Plaza	id=g:7305947
Youth Park	id=g:7305948
Wall Springs Park	id=g:7305949
John Chestnut Senior Park	id=g:7305950
Sand Key Park	id=g:7305951
Belleair Boat Ramp Park	id=g:7305952
Indian Rocks Beach Access Park	id=g:7305953
Tiki Gardens-Indian Shores Beach Access	id=g:7305954
Park Boulevard Boat Ramp Park	id=g:7305955
Redington Shores Beach Access	id=g:7305956
Boca Ciega Millennium Park	id=g:7305957
Sawgrass Lake Park	id=g:7305958
War Veterans Park	id=g:7305959
Medeira Beach Access	id=g:7305960
Treasure Island Beach Access	id=g:7305961
The Pinellas Trail	id=g:7305962
Gizella Kopsick Palm Arboretum	id=g:7305963
Clam Bayou Nature Preserve	id=g:7305964
Boyd Hill Nature Preserve	id=g:7305965
North Shore Park	id=g:7305966
Lake Vista Park	id=g:7305967
Walter Fuller Park	id=g:7305968
Coquina Key Park	id=g:7305969
Kenwood Park	id=g:7305970
Fossil Park	id=g:7305971
Albert Whitted Park	id=g:7305972
Arrowhead Park	id=g:7305973
Bay Vista Park	id=g:7305974
Baywood Park-Indian Midden	id=g:7305975
Bear Creek Park	id=g:7305976
Blanc Park	id=g:7305977
Booker Creek Park	id=g:7305978
Booker Creek Linear Park	id=g:7305979
Boyd Hill Nature Preserve (ESA Area)	id=g:7305980
Broadwaters Park	id=g:7305981
Childs Park Linear	id=g:7305982
Childs Park Sports Complex	id=g:7305983
Coconut Park	id=g:7305984
Cook Park	id=g:7305985
Del Holmes Park	id=g:7305986
Demens Landing Park	id=g:7305987
Denver Park	id=g:7305988
Disston Lake Park	id=g:7305989
Dwight Jones Park	id=g:7305990
Eaglecrest Lake	id=g:7305991
Edgemoor Park	id=g:7305992
Edgewater Waterfront Park	id=g:7305993
Vinoy Park	id=g:7305994
Flora Wylie Park	id=g:7305995
Elva Rouse Park	id=g:7305996
Enoch Davis Park	id=g:7305997
Euclid Lake Park	id=g:7305998
Forrest Bluff Park	id=g:7305999
Franklin Heights Park	id=g:7306000
Gladden Park	id=g:7306001
Golf Creek Park	id=g:7306002
Grandview Park	id=g:7306003
Harbordale Park	id=g:7306004
Harding Park	id=g:7306005
Harshaw Lake Number 1	id=g:7306006
Historic Round Lake Park	id=g:7306007
Indian Mound Park	id=g:7306008
International Park	id=g:7306009
Jack Puryear Park	id=g:7306010
Jamestown Park	id=g:7306011
Jorgenson Lake Park	id=g:7306012
Jungle Prada and DeNavarez Park	id=g:7306013
Kelly Lake Park	id=g:7306014
Lake Maggiore Park	id=g:7306015
Lake Pasadena Park	id=g:7306016
Lakewood Sports Complex	id=g:7306017
Lakewood Terrace Neighborhood Park	id=g:7306018
Little Bayou Park	id=g:7306019
Louise Lake Park	id=g:7306020
Lynch Lake Park	id=g:7306021
Mastry Lake Park	id=g:7306022
Maximo Park	id=g:7306023
Meadowlawn Park	id=g:7306024
Millennium Youth Park Uptown Playlot	id=g:7306025
Park Uptown Playlot Mirror Lake Park	id=g:7306026
North Central Neighborhood Park	id=g:7306027
Northeast Exchange Coffee Pot Park	id=g:7306028
Northwest Park	id=g:7306029
Park on Park	id=g:7306030
Pasadena Circle	id=g:7306031
Pasadena Triangle	id=g:7306032
Pioneer Park	id=g:7306033
Playlot 1	id=g:7306034
Playlot 2	id=g:7306035
Playlot 3	id=g:7306036
Pocket Park	id=g:7306037
Poynter Park	id=g:7306038
Rio Vista Park	id=g:7306039
Roberts Park	id=g:7306040
Sheffield Lake Park	id=g:7306041
Shore Acres Mini Park	id=g:7306042
Shore Acres Park	id=g:7306043
Sirmons Lake Park	id=g:7306044
Snell Isle Park	id=g:7306045
South Shore Park	id=g:7306046
Spa Beach Park	id=g:7306047
Straub Park - North Downtown Waterfront Park	id=g:7306048
Straub Park - South Soreno	id=g:7306049
Sunhaven Lake Park	id=g:7306050
Sunrise Park	id=g:7306051
Sylvia C Boring Park	id=g:7306052
Treasure Island Beach	id=g:7306053
Tyrone Park	id=g:7306054
Unity Park	id=g:7306055
Williams Park	id=g:7306056
Wood Park	id=g:7306057
Beach Waterfront Complex	id=g:7306058
Chase Park	id=g:7306059
Clymer Park	id=g:7306060
Hoyt Field	id=g:7306061
Tomlinson Park Complex	id=g:7306062
Ted Phillips Wood Ibis Park	id=g:7306063
Caldwell Park	id=g:7306064
Galatea Garden	id=g:7306065
Fred Held Habitat	id=g:7306066
Maynard A Duryea Bay View Park	id=g:7306067
Barbara Gilberg Habitat	id=g:7306068
North Greenwood Recreation and Aquatic Complex	id=g:7306069
Cherry Harris Park	id=g:7306070
Phillip Jones Park	id=g:7306071
Martin Luther King Jr Community Center	id=g:7306072
Harborview Center	id=g:7306073
Station Square Park	id=g:7306074
Bayfront Tennis Complex	id=g:7306075
Amberlea Park	id=g:7306076
Armston Park	id=g:7306077
Curlew Creek Park	id=g:7306078
Dunedin Youth Guild Park	id=g:7306079
Eagle Scout Park	id=g:7306080
Edgewater Park	id=g:7306081
Elizabeth Skinner-Jackson Playground	id=g:7306082
Hammock Park	id=g:7306083
Happy Tails Dog Park	id=g:7306084
Highlander Park	id=g:7306085
Louis A Vanech Recreation Complex	id=g:7306086
Scotsdale Park	id=g:7306087
Dunedin Stadium	id=g:7306088
Bicentennial Park	id=g:7306089
Canal Park	id=g:7306090
Cypress Forest Park	id=g:7306091
Harbor Palms Nature Park and Estuary Preserve	id=g:7306092
Mobbly Bayou Wilderness Preserve North Support Area	id=g:7306093
Mobbly Bayou Wilderness Preserve South Support Area	id=g:7306094
R E Olds Park	id=g:7306095
Richard B Rogers Park	id=g:7306096
Sheffield Park	id=g:7306097
Veterans Memorial Park	id=g:7306098
Craig Park	id=g:7306099
Dorsett Park	id=g:7306100
Highland Nature Park	id=g:7306101
North Anclote Nature Park	id=g:7306102
Richard Ervin Park	id=g:7306103
Riverside Park	id=g:7306104
Rotary Field	id=g:7306105
Sisler Field	id=g:7306106
Tarpon Sports Complex	id=g:7306107
Trentwood Playground	id=g:7306108
Dowsett Highlands	id=g:7306109
Art Park	id=g:7306110
Baranoff Park	id=g:7306111
Bayshore Linear Greenway Recreation Trail	id=g:7306112
Daisy Douglas Park	id=g:7306113
John Wilson Park	id=g:7306114
Marina Park	id=g:7306115
Mease Park	id=g:7306116
Marshall Street Park	id=g:7306117
North City Park	id=g:7306118
Safety Harbor City Park	id=g:7306119
Safety Harbor Dog Park	id=g:7306120
Rigsby Recreation Center	id=g:7306121
Community Center	id=g:7306122
Belle Isle Park and Strip	id=g:7306123
Morgan Street Beach Access	id=g:7306124
25th Street Park	id=g:7306125
19th Beach Access and Park	id=g:7306126
20th Street Park	id=g:7306127
16th Street Park	id=g:7306128
12th Street Beach Access Park	id=g:7306129
Crossman Park	id=g:7306130
Bayside Park	id=g:7306131
Veterans Park	id=g:7306132
7th Street Park	id=g:7306133
6th Street Beach Access Park	id=g:7306134
Second Street Park	id=g:7306135
South Park	id=g:7306136
Crystal Beach Park	id=g:7306137
Seminole City Park	id=g:7306138
Blossom Lake Park	id=g:7306139
Staint Pete Beach Community Center	id=g:7306140
Tom and Kitty Stuart Park	id=g:7306141
12th Avenue Park	id=g:7306142
Brown Park	id=g:7306143
Chief Chic-A-Si Park	id=g:7306144
Keegan Clair Park	id=g:7306145
Leash-Free Dog Park	id=g:7306146
Indian Rocks Beach Nature Preserve	id=g:7306147
1st Street Boardwalk	id=g:7306148
Honolulu District	id=g:7306149
Nolin Lake State Park	id=g:7306150
Taylorsville Lake State Park Campground	id=g:7306151
Boones Station State Historic Site	id=g:7306152
Constitution Square State Historic Site	id=g:7306153
Ephraim McDowell House State Historical Site	id=g:7306154
Barren River Lake State Resort Park	id=g:7306155
Barren River Lake State Resort Park Golf Course	id=g:7306156
Dale Hollow Lake State Park	id=g:7306157
Carr Creek State Park	id=g:7306158
Fishtrap Lake State Park	id=g:7306159
Paintsville Lake State Park	id=g:7306160
Yatesville Lake State Park	id=g:7306161
Pennyrile Forest State Resort Park	id=g:7306162
Conner Pit	id=g:7306163
Town Park	id=g:7306164
Friendship Park	id=g:7306165
Moon Park	id=g:7306166
Causeway Park	id=g:7306167
J Stephen Putnam Park	id=g:7306168
Pop Stansell Park	id=g:7306169
Allen's Creek Park	id=g:7306170
Ann Circle Park	id=g:7306171
Alligator Park	id=g:7306172
Atrium Park	id=g:7306173
Bay Park On Sand Key	id=g:7306174
Bayview Park	id=g:7306175
Belmont Park	id=g:7306176
Carpenter Field	id=g:7306177
Cedar Groves	id=g:7306178
Charles Park	id=g:7306179
Charter Oaks	id=g:7306180
Chautauqua Park East	id=g:7306181
Chautauqua Park North	id=g:7306182
Chautauqua Park South	id=g:7306183
