Hārpur	id=g:7488963
Xaimont	id=g:2783413
Wyompont	id=g:2783414
Wy	id=g:2783415
Wuustwezel	id=g:2783416
Wuustwezel	id=g:2783417
Wurfeld	id=g:2783418
Wulveringem	id=g:2783419
Wulveringem	id=g:2783420
Wulvergem	id=g:2783421
Wulvergem	id=g:2783422
Wulpendamme	id=g:2783423
Wulpen	id=g:2783424
Wulpen	id=g:2783425
Wulmersom	id=g:2783426
Wullebosbeek	id=g:2783427
Wullebeek	id=g:2783428
Wulgebroek	id=g:2783429
Wulfsdonk	id=g:2783430
Wulfke	id=g:2783431
Wulfdambeek	id=g:2783432
Wulfdam	id=g:2783433
Wuines	id=g:2783434
Wreeheide	id=g:2783435
Wouweringen	id=g:2783436
Wouwerdries	id=g:2783437
Wouwendonkse Beek	id=g:2783438
Wouvers	id=g:2783439
Woutershof	id=g:2783440
Wout	id=g:2783441
Woumen	id=g:2783442
Woumen	id=g:2783443
Woubrechtegem	id=g:2783444
Woubrechtegem	id=g:2783445
Woubeek	id=g:2783446
Wortel	id=g:2783447
Wortel	id=g:2783448
Wortegem	id=g:2783449
Wortegem	id=g:2783450
Worfthoeve	id=g:2783451
Wooz	id=g:2783452
Woo	id=g:2783453
Wontergem	id=g:2783454
Wontergem	id=g:2783455
Wondelgem	id=g:2783456
Wondelgem	id=g:2783457
Wonck	id=g:2783458
Wonck	id=g:2783459
Wommersom	id=g:2783460
Wommersom	id=g:2783461
Wommelgem	id=g:2783462
Wommelgem	id=g:2783463
Wolvertem	id=g:2783464
Wolvertem	id=g:2783465
Wolvenstraat	id=g:2783466
Wolvenhoek	id=g:2783467
Wolvenhoek	id=g:2783468
Wolvenhoek	id=g:2783469
Wolvenhoek	id=g:2783470
Wolvendaal	id=g:2783471
Wolvenbos	id=g:2783472
Wolvenberg	id=g:2783473
Sint-Pieters-Woluwe	id=g:2783474
Sint-Pieters-Woluwe	id=g:2783475
Sint-Lambrechts-Woluwe	id=g:2783476
Sint-Lambrechts-Woluwe	id=g:2783477
Woluwe	id=g:2783478
Ruisseau la Woltz	id=g:2783479
Wolske	id=g:2783480
Wolkrange	id=g:2783481
Wolkrange	id=g:2783482
Wolkeshart	id=g:2783483
Wolfsvenn	id=g:2783484
Wolfstee	id=g:2783485
Wolfsputten	id=g:2783486
Wolfsheide	id=g:2783487
Wolfshagen	id=g:2783488
Wolfsem	id=g:2783489
Wolfsdonk	id=g:2783490
Wolfsbusch	id=g:2783491
Wolfrothof	id=g:2783492
Wolfput Hoeve	id=g:2783493
Wolfputbeek	id=g:2783494
Wolfput	id=g:2783495
Wolfke	id=g:2783496
Wolfhaul	id=g:2783497
Wolfert	id=g:2783498
Woestijn	id=g:2783499
Woesten	id=g:2783500
Woesten	id=g:2783501
Wodon	id=g:2783502
Ruisseau de Wodecq	id=g:2783503
Wodecq	id=g:2783504
Wodecq	id=g:2783505
Wixhou	id=g:2783506
Witven	id=g:2783507
Witven	id=g:2783508
Wittingstraat	id=g:2783509
Wittimont	id=g:2783510
Wittewanthoeve	id=g:2783511
Wittewalle	id=g:2783512
Witte Vrouwen	id=g:2783513
Witterzée	id=g:2783514
Witte Poorthoek	id=g:2783515
Wittepoort	id=g:2783516
Witte Nete	id=g:2783517
Wittenberg	id=g:2783518
Wittemoerwatergang	id=g:2783519
Wittemoer	id=g:2783520
Witte Hoevenseheide	id=g:2783521
Witte Hoeve	id=g:2783522
Wittegracht Goorheide	id=g:2783523
Wittegracht	id=g:2783524
Wittegevel	id=g:2783525
Witte Burg	id=g:2783526
Witry	id=g:2783527
Witry	id=g:2783528
Withof	id=g:2783529
Withof	id=g:2783530
Withof	id=g:2783531
Withof	id=g:2783532
Withoeve	id=g:2783533
Withimont	id=g:2783534
Witgoorse Heide	id=g:2783535
Witgoor	id=g:2783536
Witgoor	id=g:2783537
Witgoor	id=g:2783538
Witbeek	id=g:2783539
Wisterzée	id=g:2783540
Kasteel van Wissekerke	id=g:2783541
Wispelaregoed	id=g:2783542
Wisken	id=g:2783543
Wishagen	id=g:2783544
Wisempierre	id=g:2783545
Wisembach	id=g:2783546
Château de Wisbecq	id=g:2783547
Wisbecq	id=g:2783548
Wisbecq	id=g:2783549
Wirtzfeld	id=g:2783550
Wippenhoek	id=g:2783551
Wippendries	id=g:2783552
Wippelgem	id=g:2783553
Wipheide	id=g:2783554
Winville	id=g:2783555
Sluis van Wintham	id=g:2783556
Wintham	id=g:2783557
Winterslag	id=g:2783558
Wintershoven	id=g:2783559
Wintershoven	id=g:2783560
't Hof Winterpoel	id=g:2783561
Winterkeer	id=g:2783562
Winterbeek	id=g:2783563
Winterbeek	id=g:2783564
Winterbeek	id=g:2783565
Winterbeek	id=g:2783566
Winterbeek	id=g:2783567
Winterbeek	id=g:2783568
Winterbeek	id=g:2783569
Winterbeek	id=g:2783570
Winter	id=g:2783571
Wintboom	id=g:2783572
Winner	id=g:2783573
Winnelken	id=g:2783574
Winksele	id=g:2783575
Winksele	id=g:2783576
Winkelomheide	id=g:2783577
Winkelom	id=g:2783578
Winkelhoek	id=g:2783579
Winkelgoed	id=g:2783580
Winkelendries	id=g:2783581
Winkelderven	id=g:2783582
Winkel	id=g:2783583
Winkel	id=g:2783584
Winghe	id=g:2783585
Wingene	id=g:2783586
Wingene	id=g:2783587
Wingebeek	id=g:2783588
Winenne	id=g:2783589
Winenne	id=g:2783590
Winée	id=g:2783591
Windmolen	id=g:2783592
Windhalmhof	id=g:2783593
Windhalm Beek	id=g:2783594
Windgracht	id=g:2783595
Windgat	id=g:2783596
Windelsteen	id=g:2783597
Windbergen	id=g:2783598
Winbomont	id=g:2783599
Winamplanche	id=g:2783600
Winamplanche	id=g:2783601
Wimphoeve	id=g:2783602
Wimpel	id=g:2783603
Wimpbeek	id=g:2783604
Wimmertingen	id=g:2783605
Wimmertingen	id=g:2783606
Wimbe	id=g:2783607
Wimbay	id=g:2783608
Wilskerke	id=g:2783610
Wilskerke	id=g:2783611
Wilsele	id=g:2783612
Wilsele	id=g:2783613
Wilrijkse Plein	id=g:2783614
Wilrijk	id=g:2783615
Wilrijk	id=g:2783616
Wilogne	id=g:2783617
Wilmarsdonk	id=g:2783618
Williaupont	id=g:2783619
Willerzie	id=g:2783620
Willerzie	id=g:2783621
Willeries	id=g:2783622
Willendries	id=g:2783623
Willemeau	id=g:2783624
Willemeau	id=g:2783625
Willemdok	id=g:2783626
Willekensberg	id=g:2783627
Willekensberg	id=g:2783628
Willekensberg	id=g:2783629
Willekensberg	id=g:2783630
Kanaal van Willebroek	id=g:2783631
Willebroek	id=g:2783632
Willebroek	id=g:2783633
Willebringen	id=g:2783634
Willebringen	id=g:2783635
Willaupuis	id=g:2783636
Willaupuis	id=g:2783637
Willaufosse	id=g:2783638
Bois de Willancourt	id=g:2783639
Willancourt	id=g:2783640
Willambroux	id=g:2783641
Willaars	id=g:2783642
Wilgendam	id=g:2783643
Wildert	id=g:2783644
Wildert	id=g:2783645
Kasteel Wilderhof	id=g:2783646
Wilderen	id=g:2783647
Wilderen	id=g:2783648
Wilderen	id=g:2783649
Wilderbeek	id=g:2783650
Kasteel van Wilder	id=g:2783651
Wilder	id=g:2783652
Wildenhaan	id=g:2783653
Wildendries	id=g:2783654
Wildenburg	id=g:2783655
Wildehoeve	id=g:2783656
Wildeheide	id=g:2783657
Wildebeek	id=g:2783658
Wildebeek	id=g:2783659
Wilde	id=g:2783660
Wilbraken	id=g:2783661
Wilbeauroux	id=g:2783662
Wijzenbeek	id=g:2783664
Wijvenheide	id=g:2783665
Wijve	id=g:2783666
Wijtvliet Polder	id=g:2783667
Wijtstraat	id=g:2783668
Wijtschate	id=g:2783669
Wijtschate	id=g:2783670
Wijshagen	id=g:2783671
Wijshagen	id=g:2783672
Wijnveld	id=g:2783673
Wijnstraat	id=g:2783674
Wijnhuize	id=g:2783675
Wijngaardberg	id=g:2783676
Wijngaardberg	id=g:2783677
Wijngaard	id=g:2783678
Wijngaard	id=g:2783679
Wijnendale	id=g:2783680
Wijnendale	id=g:2783681
Wijnendaalbos	id=g:2783682
Wijnegemhof	id=g:2783683
Wijnegem	id=g:2783684
Wijnegem	id=g:2783685
Wijnberg	id=g:2783686
Wijmeneer	id=g:2783687
Wijlegemsebeek	id=g:2783688
Wijlegem	id=g:2783689
Wijkhuizen	id=g:2783690
Wijkeloop	id=g:2783691
Wijgmaal	id=g:2783692
Kasteel van Wijer	id=g:2783693
Wijer	id=g:2783694
Wijer	id=g:2783695
Wijchmaal	id=g:2783696
Wijchmaal	id=g:2783697
Wihogne	id=g:2783698
Wihogne	id=g:2783699
Wihéries	id=g:2783700
Wihéries	id=g:2783701
Wihéries	id=g:2783702
Wigny	id=g:2783703
Wieze	id=g:2783704
Wieze	id=g:2783705
Wiesme	id=g:2783706
Wiesme	id=g:2783707
Wiesenbach	id=g:2783708
Wieschen	id=g:2783709
Wiers	id=g:2783710
Wiers	id=g:2783711
Wierde	id=g:2783712
Wierde	id=g:2783713
Wiemismeer	id=g:2783714
Wiemerbeek	id=g:2783715
Wieltje	id=g:2783716
Wielsbeke	id=g:2783717
Wielsbeke	id=g:2783718
Wieleloup	id=g:2783719
Wiekevorstheide	id=g:2783720
Wiekevorst	id=g:2783721
Wiekevorst	id=g:2783722
Widooie	id=g:2783723
Widooie	id=g:2783724
Wideumont	id=g:2783725
Wicourt	id=g:2783726
Wicher	id=g:2783727
Wichelen	id=g:2783728
Wichelen	id=g:2783729
Bois de Wibrin	id=g:2783730
Wibrin	id=g:2783731
Wibrin	id=g:2783732
Wez-Velvain	id=g:2783733
Wez-Velvain	id=g:2783734
Wezeren	id=g:2783735
Wezepoel	id=g:2783736
Wezembeek-Oppem	id=g:2783737
Wezembeek-Oppem	id=g:2783738
Wezemaal	id=g:2783739
Wezemaal	id=g:2783740
Wezelseheide	id=g:2783741
Wezelsebeek	id=g:2783742
Wezelhoek	id=g:2783743
Wezel	id=g:2783744
Wezel	id=g:2783745
Étang du Wez des Haches	id=g:2783746
Wez de Chine	id=g:2783747
Wez Charnois	id=g:2783748
Haie de Wez	id=g:2783749
Weywertzer Heck	id=g:2783750
Weyler	id=g:2783751
Weyaux	id=g:2783752
Weweler	id=g:2783753
Weverstraat	id=g:2783754
Weverstraat	id=g:2783755
Wévercé	id=g:2783756
Wever	id=g:2783757
Wevels	id=g:2783758
Wevelgem	id=g:2783759
Wevelgem	id=g:2783760
Bois de Wève	id=g:2783761
Wetterstraat	id=g:2783762
Wetteren	id=g:2783763
Wetteren	id=g:2783764
Wetschot	id=g:2783765
Wetsberg	id=g:2783766
Westvoorde	id=g:2783767
Westvleteren	id=g:2783768
Vleteren	id=g:2783769
Provincie West-Vlaanderen	id=g:2783770
Weststraat	id=g:2783771
Weststraat	id=g:2783772
Westrozebeke	id=g:2783773
Westrozebeke	id=g:2783774
Westrode	id=g:2783775
Westreties Heiken	id=g:2783776
Westremdries	id=g:2783777
Westrem	id=g:2783778
Westrem	id=g:2783779
Westpit	id=g:2783780
Westouter	id=g:2783781
Westouter	id=g:2783782
Westmeersloop	id=g:2783783
Westmeerbeek	id=g:2783784
Westmeerbeek	id=g:2783785
Westmalle	id=g:2783786
Westmalle	id=g:2783787
Westlede	id=g:2783788
Westkerke	id=g:2783789
Westkerke	id=g:2783790
Westkapelle	id=g:2783791
Westkapelle	id=g:2783792
Westkant	id=g:2783793
Westhoek	id=g:2783794
Westhoek	id=g:2783795
Westhoek	id=g:2783796
Westhoek	id=g:2783797
Westhoek	id=g:2783798
Westhoek	id=g:2783799
Westhoek	id=g:2783800
Westerlo	id=g:2783801
Westerlo	id=g:2783802
Westergem	id=g:2783803
Westende-Bad	id=g:2783804
Westende	id=g:2783805
Westende	id=g:2783806
Westeinde	id=g:2783807
Westdiep	id=g:2783808
Westdeelrechtstraat	id=g:2783809
Westbeke	id=g:2783810
Westbeek	id=g:2783811
Westbeek	id=g:2783812
Wesselbend	id=g:2783813
Étang Wespion	id=g:2783814
Wespes	id=g:2783815
Wespelarenhoek	id=g:2783816
Wespelaar	id=g:2783817
Wespelaar	id=g:2783818
Wesomont	id=g:2783819
Wervik	id=g:2783820
Wervik	id=g:2783821
Wervehoeve	id=g:2783822
Wersbeek	id=g:2783823
Wersbeek	id=g:2783824
Werpin	id=g:2783825
Wermerboshoeve	id=g:2783826
Werm	id=g:2783827
Werm	id=g:2783828
Werkstede	id=g:2783829
Werkhoven	id=g:2783830
Werken	id=g:2783831
Werken	id=g:2783832
Bois de Weris	id=g:2783833
Weris	id=g:2783834
Weris	id=g:2783835
Château de Werihet	id=g:2783836
Werihet	id=g:2783837
Werihet	id=g:2783838
Werihet	id=g:2783839
Werihet	id=g:2783840
Wèrhai	id=g:2783841
Werft	id=g:2783842
Wereth	id=g:2783843
Werchter	id=g:2783844
Werchter	id=g:2783845
Werbomont	id=g:2783846
Werbomont	id=g:2783847
Werbeek	id=g:2783848
Weppeler	id=g:2783849
Wépion	id=g:2783850
Wépion	id=g:2783851
Bois Wenhistet	id=g:2783852
Wenduine Bank	id=g:2783853
Wenduine	id=g:2783854
De Haan	id=g:2783855
Wemmel	id=g:2783856
Wemmel	id=g:2783857
Bois Wemase	id=g:2783858
Wemaar Gilde	id=g:2783859
Welriekende	id=g:2783860
Wellingstraat	id=g:2783861
Wellin	id=g:2783862
Wellin	id=g:2783863
Wellen	id=g:2783864
Wellen	id=g:2783865
Welleken Weier	id=g:2783866
Hof te Welle	id=g:2783867
Welle	id=g:2783868
Welle	id=g:2783869
Welkenraedt	id=g:2783870
Welkenraedt	id=g:2783871
Welden	id=g:2783872
Welden	id=g:2783873
Welden	id=g:2783874
Ry de Wel	id=g:2783875
Weistraat	id=g:2783876
Weistervenn	id=g:2783877
Weisten	id=g:2783878
Weissenbrück	id=g:2783879
Weirkensebergen	id=g:2783880
Weirken	id=g:2783881
Kasteel van Weininks	id=g:2783882
Weimeersbeek	id=g:2783883
Bois de Weillen	id=g:2783884
Weillen	id=g:2783885
Weillen	id=g:2783886
Weijenberg	id=g:2783887
Weigersberg	id=g:2783888
Weierkenbeek	id=g:2783889
Weierbrug	id=g:2783890
Weierbeek	id=g:2783891
Weidonk	id=g:2783892
Weidig	id=g:2783893
Weidendrift	id=g:2783894
Hof te Weiden	id=g:2783895
Weide	id=g:2783896
Weid Busch	id=g:2783897
Weibeek	id=g:2783898
Wehagense Beek	id=g:2783899
Wehagen	id=g:2783900
Wegnez	id=g:2783901
Wegnez	id=g:2783902
Wegmeerheide	id=g:2783903
Château de Wégimont	id=g:2783904
Weeterbeek	id=g:2783905
Weesbeek	id=g:2783906
Weerterbeek	id=g:2783907
Weert	id=g:2783908
Weert	id=g:2783909
Weert	id=g:2783910
Weert	id=g:2783911
Weerdenhoek	id=g:2783912
Weerde	id=g:2783913
Weerde	id=g:2783914
Weelde	id=g:2783915
Weelde	id=g:2783916
Weegse	id=g:2783917
Weegschede	id=g:2783918
Weefberg	id=g:2783919
Weebergbos	id=g:2783920
Wedembosbeek	id=g:2783921
Wedden	id=g:2783922
Weckerath	id=g:2783923
Wechelderzande	id=g:2783924
Wechelderzande	id=g:2783925
Webbekom	id=g:2783926
Webbekom	id=g:2783927
Ways	id=g:2783928
Ways	id=g:2783929
Wayaux	id=g:2783930
Wayaux	id=g:2783931
Vivier de Wayal	id=g:2783932
Wayai	id=g:2783933
Wayai	id=g:2783934
Rau de Waya	id=g:2783935
Wavreumont	id=g:2783936
Wavreille	id=g:2783937
Wavreille	id=g:2783938
Ferme de Wavre	id=g:2783939
Bois de Wavre	id=g:2783940
Wavre	id=g:2783941
Wavre	id=g:2783942
Waverhoeve	id=g:2783943
Waver	id=g:2783944
Wautiénaut	id=g:2783945
Wauthier-Braine	id=g:2783946
Wauthier-Braine	id=g:2783947
Waulsort	id=g:2783948
Waulsort	id=g:2783949
Bois de Wauhu	id=g:2783950
Waugenée	id=g:2783951
Waudrez	id=g:2783952
Waudrez	id=g:2783953
Wauberg	id=g:2783954
Wattripont	id=g:2783955
Wattripont	id=g:2783956
Wattines	id=g:2783957
Wattimez	id=g:2783958
Wattermal	id=g:2783959
Watrinsart	id=g:2783960
Watou	id=g:2783961
Watou	id=g:2783962
Bois de Watinsart	id=g:2783963
Watiamont	id=g:2783964
Watervoort	id=g:2783965
Watervliet	id=g:2783966
Watervliet	id=g:2783967
Waterval	id=g:2783968
Waterschrans	id=g:2783969
Waterschoot	id=g:2783970
Waterschei	id=g:2783971
Waterschapbeek	id=g:2783972
Waterschap	id=g:2783973
Waterpachthoeve	id=g:2783974
Watermolenstraat	id=g:2783975
Watermolenhoek	id=g:2783976
Watermolenbeek	id=g:2783977
Watermolen	id=g:2783978
Watermaal-Bosvoorde	id=g:2783979
Watermaal-Bosvoorde	id=g:2783980
Waterlozen	id=g:2783981
Waterloze	id=g:2783982
Water Loosveld	id=g:2783983
Waterloos	id=g:2783984
Waterloo	id=g:2783985
Waterloo	id=g:2783986
Waterland-Oudeman	id=g:2783987
Waterland-Oudeman	id=g:2783988
Waterkant	id=g:2783989
Waterkant	id=g:2783990
Waterkant	id=g:2783991
Wateringen	id=g:2783992
Waterhof	id=g:2783993
Waterhof	id=g:2783994
Waterhoek	id=g:2783995
Waterhanendries	id=g:2783996
Waterdamhoek	id=g:2783997
Waterbroekloop	id=g:2783998
Waterbos	id=g:2783999
Waterbleek	id=g:2784000
Ferme de la Wastinne	id=g:2784001
Wastines	id=g:2784002
Wastinelle	id=g:2784003
Wastinelle	id=g:2784004
Ferme de l'Wastez	id=g:2784005
Wastenne	id=g:2784006
Wassenhove	id=g:2784007
Wassen	id=g:2784008
Wasseiges	id=g:2784009
Wasseiges	id=g:2784010
Wasseiges	id=g:2784011
Wassegem	id=g:2784012
Wasmuel	id=g:2784014
Wasmuel	id=g:2784015
Wasmes-Audemez-Briffoeil	id=g:2784016
Wasmes	id=g:2784018
Wasmes	id=g:2784019
Rieu de Wasme	id=g:2784020
Warzée	id=g:2784021
Warzée	id=g:2784022
Wartoise	id=g:2784023
Warsage	id=g:2784024
Warsage	id=g:2784025
Warrimont	id=g:2784026
Warre	id=g:2784027
Warquignies	id=g:2784028
Château de Waroux	id=g:2784029
Waronneux	id=g:2784030
Ferme de Warnoumont	id=g:2784031
Bois de Warnoumont	id=g:2784032
Warneton	id=g:2784033
Warneton	id=g:2784034
Warnave	id=g:2784035
Warnant-Dreye	id=g:2784036
Warnant-Dreye	id=g:2784037
Warnant	id=g:2784038
Warnant	id=g:2784039
Warnach	id=g:2784040
Warmonfosse	id=g:2784041
Warmifontaine	id=g:2784042
Warmhandhoeve	id=g:2784043
Warmbeek	id=g:2784044
Warloche	id=g:2784045
Warizy	id=g:2784046
Warissaet	id=g:2784047
Warisoulx	id=g:2784048
Warisoulx	id=g:2784049
Ferme de Warinsart	id=g:2784050
Bois de Warinsart	id=g:2784051
Warimez	id=g:2784052
Warichet	id=g:2784053
Warichet	id=g:2784054
Warichet	id=g:2784055
Warichaix	id=g:2784056
Warichaix	id=g:2784057
Warfée	id=g:2784058
Waret-l'Évêque	id=g:2784059
Waret-l'Évêque	id=g:2784060
Waret-la-Chaussée	id=g:2784061
Waret-la-Chaussée	id=g:2784062
Wareslag	id=g:2784063
Warempage	id=g:2784064
Arrondissement de Waremme	id=g:2784065
Waremme	id=g:2784066
Château des Warelles	id=g:2784067
Waregem	id=g:2784068
Waregem	id=g:2784069
Waréchaix	id=g:2784070
Wardois	id=g:2784071
Wardin	id=g:2784072
Wardin	id=g:2784073
Warcoing	id=g:2784074
Warcoing	id=g:2784075
Warchin	id=g:2784076
Warchin	id=g:2784077
Warchin	id=g:2784078
Warchenne	id=g:2784079
Warche	id=g:2784080
Warandeken	id=g:2784082
Warandeheide	id=g:2784083
Warande Bos	id=g:2784084
Warandebeek	id=g:2784085
Warande	id=g:2784086
Warande	id=g:2784087
Waranade	id=g:2784088
Wanzoul	id=g:2784089
Wanzele	id=g:2784090
Wanzele	id=g:2784091
Wanze	id=g:2784092
Wanze	id=g:2784093
Wansin	id=g:2784094
Wansin	id=g:2784095
Wanroux	id=g:2784096
Wanneranval	id=g:2784097
Wannegem-Lede	id=g:2784098
Wannegem-Lede	id=g:2784099
Wannebecq	id=g:2784100
Wannebecq	id=g:2784101
Wanne	id=g:2784102
Trois-Ponts	id=g:2784103
Bois de Wanlin	id=g:2784104
Wanlin	id=g:2784105
Wanlin	id=g:2784106
Wangenies	id=g:2784107
Wangenies	id=g:2784108
Wange	id=g:2784109
Wange	id=g:2784110
Wanfercée-Baulet	id=g:2784111
Wanfercée-Baulet	id=g:2784112
Wanebeek	id=g:2784113
Wandre	id=g:2784114
Wandre	id=g:2784115
Wandelaar	id=g:2784116
Wandebourcy	id=g:2784117
Wandammensbeek	id=g:2784118
Wanchie	id=g:2784119
Bois Wanchalle	id=g:2784120
Wancennes	id=g:2784121
Wancennes	id=g:2784122
Wampenberg	id=g:2784123
Wampe	id=g:2784124
Wamp	id=g:2784125
Wamme	id=g:2784126
Wambeke	id=g:2784127
Wambeke	id=g:2784128
Wambeek	id=g:2784129
Wambeek	id=g:2784130
Wambeek	id=g:2784131
Walzin	id=g:2784132
Walvisstaart	id=g:2784133
Waltzing	id=g:2784134
Waltwilder	id=g:2784135
Waltwilder	id=g:2784136
Houtain-l'Évêque	id=g:2784137
Houtain-l'Évêque	id=g:2784138
Walseland	id=g:2784139
Walsegem	id=g:2784140
Walsbets	id=g:2784141
Walsbergen	id=g:2784142
Walsbeek	id=g:2784143
Walravenshoeve	id=g:2784144
Walprije	id=g:2784145
Waloppe	id=g:2784146
Wallonisches Venn	id=g:2784147
Walleroder Wald	id=g:2784148
Wallerode	id=g:2784149
Hof ter Wallen	id=g:2784150
Wallemolen	id=g:2784151
Wallekenhof	id=g:2784152
Wallekenhof	id=g:2784153
Wallekenhof	id=g:2784154
Wallekenhof	id=g:2784155
Walleken	id=g:2784156
Walleken	id=g:2784157
Walleken	id=g:2784158
Wallebeek	id=g:2784159
Wallay	id=g:2784160
Walk	id=g:2784161
Walhoven	id=g:2784162
Walhornerheide	id=g:2784163
Walhornerfeld	id=g:2784164
Walhorn	id=g:2784165
Walhorn	id=g:2784166
Walhoek	id=g:2784167
Walhain-Saint-Paul	id=g:2784168
Walhain-Saint-Paul	id=g:2784169
Walhain	id=g:2784170
Walfergem	id=g:2784171
Bois de Walestru	id=g:2784172
Walestraat	id=g:2784173
Walestraat	id=g:2784174
Walenhoeve	id=g:2784175
Walenhoeve	id=g:2784176
Walenhoek	id=g:2784177
Walenhoek	id=g:2784178
Fort van Walem	id=g:2784179
Walem	id=g:2784180
Walem	id=g:2784181
Walem	id=g:2784182
Walehoeve	id=g:2784183
Waleffe Saint-Pierre	id=g:2784184
Waleffe Saint-Georges	id=g:2784185
Wale Bos	id=g:2784186
Walebeek	id=g:2784187
Walderdonk	id=g:2784188
Walcourt	id=g:2784189
Walcourt	id=g:2784190
Walburg	id=g:2784191
Walbrugge	id=g:2784192
Wal	id=g:2784193
Wakkerzeel	id=g:2784194
Wakken	id=g:2784195
Wakken	id=g:2784196
Wakkebroek	id=g:2784197
Wainage	id=g:2784198
Waimes	id=g:2784199
Waimes	id=g:2784200
Bois de Waillimont	id=g:2784201
Waillet	id=g:2784202
Waillet	id=g:2784203
Wailles	id=g:2784204
Waienburghoef	id=g:2784205
Wahy	id=g:2784206
Wahia	id=g:2784207
Wahenges	id=g:2784208
Waharday	id=g:2784209
Bois de Waha	id=g:2784210
Waha	id=g:2784211
Waha	id=g:2784212
Wagnelée	id=g:2784213
Wagnelée	id=g:2784214
Wagnée	id=g:2784215
Wagnée	id=g:2784216
Bois Wagne	id=g:2784217
Wagenmakersstroom	id=g:2784218
Waffelstraat	id=g:2784219
Wafelstraat	id=g:2784220
Bois de Waerimont	id=g:2784221
Les Wêdetches	id=g:2784222
Wadelincourt	id=g:2784223
Wadelincourt	id=g:2784224
Wadebeek	id=g:2784225
Wackendflass	id=g:2784226
Wachtebeke	id=g:2784227
Wachtebeke	id=g:2784228
Ferme de Wachiboux	id=g:2784229
Wachet	id=g:2784230
Waasmunster	id=g:2784231
Waasmunster	id=g:2784232
Waasmont	id=g:2784233
Waasdonk	id=g:2784234
Waasbroek	id=g:2784235
Waasbergdries	id=g:2784236
Waarschoot	id=g:2784237
Waarschoot	id=g:2784238
Waarmaarde	id=g:2784239
Waarmaarde	id=g:2784240
Waarloos Hoeven	id=g:2784241
Waarloos	id=g:2784242
Waarloos	id=g:2784243
Waarde	id=g:2784244
Waardammebeek	id=g:2784245
Waardamme	id=g:2784246
Waardamme	id=g:2784247
Waard	id=g:2784248
Waarbrug	id=g:2784249
Waarboomhof	id=g:2784250
Waarbeke	id=g:2784251
Waarbeke	id=g:2784252
Waarbeek	id=g:2784253
Waanveld	id=g:2784254
Waanrodenhoek	id=g:2784255
Waanrode	id=g:2784256
Waanrode	id=g:2784257
Waanbeek	id=g:2784258
Waalshoek	id=g:2784259
Waalputte	id=g:2784260
Waalbrug	id=g:2784261
Waalberg	id=g:2784262
Waalbeek	id=g:2784263
Waaienberg	id=g:2784264
Vyle-et-Tharoul	id=g:2784265
Vyle-et-Tharoul	id=g:2784266
Vyle	id=g:2784267
Vurten	id=g:2784268
Vurste	id=g:2784269
Vurste	id=g:2784270
Vurst	id=g:2784271
Vuilvlage	id=g:2784272
Vuilpan	id=g:2784273
Vuileplas	id=g:2784274
Vuilen Plas	id=g:2784275
Vuilebeek	id=g:2784276
Vuilbroek	id=g:2784277
Vuilbeek	id=g:2784278
Vuchterbosheide	id=g:2784279
Vucht	id=g:2784280
Vucht	id=g:2784281
Vrouwkenshoek Kreek	id=g:2784282
Vrouwevliet	id=g:2784283
Vrouwerhofbeek	id=g:2784284
Vrouwenstraat	id=g:2784285
Vrouwenhof	id=g:2784286
Vrouweneekhoek	id=g:2784287
Vrouwenbos	id=g:2784288
Vrouwenboom	id=g:2784289
Vromboutstraat	id=g:2784290
Vroilandhoek	id=g:2784291
Vroente	id=g:2784292
Vroenhovenhof	id=g:2784293
Vroenhoven	id=g:2784294
Vroenhoven	id=g:2784295
Vroenenbos	id=g:2784296
Vroelingen	id=g:2784297
Vroegeinde	id=g:2784298
Vrissart	id=g:2784299
Vrijtijd	id=g:2784300
Vrijsbeke	id=g:2784301
Vrijlegem	id=g:2784302
Vrijhern	id=g:2784303
Vrijhem	id=g:2784304
Vrijheid	id=g:2784305
Vrijheers	id=g:2784306
Vrijgeweed	id=g:2784307
Vrijdagmarkt	id=g:2784308
Vrietselbeek	id=g:2784309
Vresse	id=g:2784310
Vresse	id=g:2784311
Vresse	id=g:2784312
Vreren	id=g:2784313
Vreren	id=g:2784314
Vrenhof	id=g:2784315
Vremsehoeven	id=g:2784316
Vremde	id=g:2784317
Vremde	id=g:2784318
Vrekom	id=g:2784319
Vrekhem	id=g:2784320
Vreishoring	id=g:2784321
Vredesteinhof	id=g:2784322
Vrechem	id=g:2784323
Vrebos	id=g:2784324
Vrasenepolder	id=g:2784325
Vrasenebeek	id=g:2784326
Dijk van Vrasene	id=g:2784327
Vrasene	id=g:2784328
Vrasene	id=g:2784329
Vrangsberg	id=g:2784330
Vraimont	id=g:2784331
Vraag Heide	id=g:2784332
Vottem	id=g:2784333
Vottem	id=g:2784334
Vossen Koten	id=g:2784335
Vossenkot	id=g:2784336
Vossenhol	id=g:2784337
Vossenhol	id=g:2784338
Vossenhol	id=g:2784339
Vossenhoek	id=g:2784340
Vossendries	id=g:2784341
Vossenbergduinen	id=g:2784342
Vossenberg	id=g:2784343
Vossemolen	id=g:2784344
Vossem	id=g:2784345
Vossem	id=g:2784346
Vosselare	id=g:2784347
Vosselare	id=g:2784348
Vosselaar	id=g:2784349
Vosselaar	id=g:2784350
Vossel	id=g:2784351
Vossel	id=g:2784352
