Averill Station (historical)	id=g:7272487
Middle Branch Marina	id=g:7274474
Norman Creek Marina	id=g:7274475
Oak Grove Marina	id=g:7274476
Oak Harbor Marina	id=g:7274477
Olde Towne Marina	id=g:7274478
Osprey Point Marina	id=g:7274479
Otter Creek Marina	id=g:7274480
Parkside Marina	id=g:7274481
Pinehurst Landing Marina	id=g:7274482
Pirates Den Marina	id=g:7274483
Pleasure Cove Marina	id=g:7274484
Port Annapolis Marina	id=g:7274485
Porters Seneca Park Marina	id=g:7274486
Rhode River Marina	id=g:7274487
Richmonds Marina	id=g:7274488
Rolphs Wharf Marina	id=g:7274489
Scott Point Marina	id=g:7274490
Shady Oaks Marina	id=g:7274491
Shady Side Marina	id=g:7274492
Smiths Marina	id=g:7274493
Sunset Harbor Marina	id=g:7274494
Sunset Marina	id=g:7274495
Sunshine One Marina	id=g:7274496
Swan Creek Marina	id=g:7274497
Tolchester Marina	id=g:7274498
Town Point Marina	id=g:7274499
Tradewinds Marina	id=g:7274500
Turkey Point Marina	id=g:7274501
White Marlin Marina	id=g:7274502
White Rocks Marina	id=g:7274503
Worton Creek Marina	id=g:7274504
Wrightsville Beach Marina	id=g:7274505
Anchorage Marina	id=g:7274506
Blue Water Point Marina	id=g:7274507
Bridge Tender Marina	id=g:7274508
Cape Fear Marina	id=g:7274509
Caspers Marina	id=g:7274510
Clancys Marina	id=g:7274511
Cypress Landing Marina	id=g:7274512
Dockside Marina	id=g:7274513
Dockside Marina	id=g:7274514
Dowry Creek Marina	id=g:7274515
Hewett Marina	id=g:7274516
Holden Beach Marina	id=g:7274517
Indigo Plantation Marina	id=g:7274518
Island Harbor Marina	id=g:7274519
L R Rose Marina and Boatworks	id=g:7274520
Lambs Marina	id=g:7274521
Masonboro Boat Yard and Marina	id=g:7274522
Masons Marina	id=g:7274523
McCotters Marina	id=g:7274524
Midway Marina	id=g:7274525
Morris Marina	id=g:7274526
Northwest Creek Marina	id=g:7274527
Oriental Harbor Marina	id=g:7274528
Pelican Pointe Marina	id=g:7274529
Point Harbor Marina	id=g:7274530
Portside Marina	id=g:7274531
Scotts Hill Marina	id=g:7274532
Shallow Bag Bay Club Marina	id=g:7274533
South Harbour Village Marina	id=g:7274534
Southport Marina	id=g:7274535
Thicket Lump Marina	id=g:7274536
Whichards Marina	id=g:7274537
Heights Marina	id=g:7274538
Clinton Marina	id=g:7274539
Rock Creek Marina	id=g:7274540
Lake Perry Yacht and Marina by the Dam	id=g:7274541
Marina Point Office Park	id=g:7274542
Harbor View Marina	id=g:7274543
Ludington Municipal Marina	id=g:7274544
Barber Tank	id=g:7274545
Doghair Tank	id=g:7274546
Snug Harbor Marina	id=g:7274547
Fishing Bay Harbor Marina	id=g:7274548
Freeport Marina	id=g:7274549
Gloucester Point Marina	id=g:7274550
Holiday Marina	id=g:7274551
Holly Cove Marina	id=g:7274552
Horn Harbor Marina	id=g:7274553
Locklies Marina	id=g:7274554
Mobjack Bay Marina	id=g:7274555
Constance Wharf Park and Marina	id=g:7274556
Narrows Marina	id=g:7274557
Nicholsons Marina	id=g:7274558
Regent Point Marina	id=g:7274559
Sarahs Creek Marina	id=g:7274560
Stingray Point Marina	id=g:7274561
Tuckers Marina	id=g:7274562
Waldens Marina	id=g:7274563
Walters Marina	id=g:7274564
Winter Harbor Haven Marina	id=g:7274565
Horesehead Lake Marina	id=g:7274566
Norview Marina	id=g:7274567
Bay Creek Marina	id=g:7274568
Bay Point Marina	id=g:7274569
Bell Isle Marina	id=g:7274570
Browns Marina	id=g:7274571
Buzzard's Point Marina	id=g:7274572
Coan River Marina	id=g:7274573
Cobb's Marina	id=g:7274574
Colonial Harbor Marina	id=g:7274575
Crown Pointe Marina	id=g:7274576
Cutty Sark Marina	id=g:7274577
Dandy Haven Marina	id=g:7274578
Dare Marina	id=g:7274579
Deltaville Marina	id=g:7274580
Fairport Marina	id=g:7274581
Fisherman's Wharf Marina	id=g:7274582
Freeport Marina	id=g:7274583
Garrett's Marina	id=g:7274584
Greenvale Creek Marina	id=g:7274585
Hampton Creek Marina	id=g:7274586
Hampton's Landing Marina	id=g:7274587
Holiday Harbor Marina	id=g:7274588
Ingram Bay Marina	id=g:7274589
James River Marina	id=g:7274590
Leeward Municipal Marina	id=g:7274591
Lewisetta Marina	id=g:7274592
Little Creek Marina	id=g:7274593
Old Point Comfort Marina	id=g:7274594
Pungo Ferry Marina	id=g:7274595
Scott's Creek Marina	id=g:7274596
Severn River Marina	id=g:7274597
Smith Point Marina	id=g:7274598
Southall Landings Marina	id=g:7274599
Thomas Marina	id=g:7274600
Wachapreague Marina	id=g:7274601
Waterside Marina	id=g:7274602
Waugh Point Marina	id=g:7274603
West Neck Marina	id=g:7274604
Whelan's Marina	id=g:7274605
Willoughby Harbor Marina	id=g:7274606
Willow Landing Marina	id=g:7274607
Wormley Creek Marina	id=g:7274608
York Haven Marina	id=g:7274609
Lake Ridge Golf Park and Marina	id=g:7274610
Arrow Canyon Wilderness	id=g:7274611
Black Canyon Wilderness	id=g:7274612
Eldorado Wilderness	id=g:7274613
Ireteba Peaks Wilderness	id=g:7274614
Jimbilnan Wilderness	id=g:7274615
Jumbo Springs Wilderness	id=g:7274616
Bishop Bend	id=g:7274617
Mackey Bend	id=g:7274618
Sanford Lake Marina	id=g:7274619
Knight Harbor Marina	id=g:7274620
The Bend of Licking	id=g:7274621
Combs Bend	id=g:7274622
Duckbill Bend	id=g:7274623
Oregon Bend	id=g:7274624
Germany Bend	id=g:7274625
Old Bent Fields	id=g:7274626
Arcadia Wash	id=g:7274627
Geronimo Wash	id=g:7274628
Widgi Creek Golf Club	id=g:7274629
Sugar Tree Grove	id=g:7274630
Brights Bend	id=g:7274631
Big Bend	id=g:7274632
Chapman Bend	id=g:7274633
Popes Corner	id=g:7274634
Horse Shoe Bend	id=g:7274635
Horseshoe Bend	id=g:7274636
Herridge Draw	id=g:7274637
Horseshoe Bend	id=g:7274638
Saffells Bend	id=g:7274639
Antelope Valley California Poppy State Natural Reserve	id=g:7274640
Caspar Headlands State Natural Reserve	id=g:7274641
Los Osos Oaks State Natural Reserve	id=g:7274642
John B Dewitt Redwoods State Natural Reserve	id=g:7274643
Mullett Lake Country Club	id=g:7274735
Prairie View Country Club	id=g:7274736
Woodland Country Club	id=g:7274737
Daytona Country Club	id=g:7274738
Bearpath Golf and Country Club	id=g:7274739
South Fork Country Club	id=g:7274740
Willow Brook Country Club (historical)	id=g:7274741
Island End Golf And Country Club	id=g:7274742
Shelter Island Country Club	id=g:7274743
Walkill Country Club	id=g:7274744
Sackets Harbor Lighthouse	id=g:7274745
Braddock Point Lighthouse (historical)	id=g:7274746
Meadow Brook Country Club (historical)	id=g:7274747
Falls Country Club	id=g:7274748
Third Brother Lighthouse (historical)	id=g:7274749
Geneva Lighthouse	id=g:7274750
Bemidji Town and Country Club	id=g:7274751
Washington Square Business Center	id=g:7274752
Hillcrest Country Club (historical)	id=g:7274753
Detroit Country Club	id=g:7274754
Rocky Ford Country Club	id=g:7274755
Eagle Creek Golf Club	id=g:7274756
Duck Lake Country Club	id=g:7274757
Four Lakes Country Club	id=g:7274758
Camden Parking Lot E	id=g:7274759
Camden Parking Lot F	id=g:7274760
Dogwood Parking Lot D	id=g:7274761
U. S. Parking Lot A	id=g:7274762
U. S. Parking Lot B	id=g:7274763
U. S. Parking Lot C	id=g:7274764
Heather Gardens Country Club	id=g:7274765
Heather Ridge Country Club	id=g:7274766
Passage Island Lighthouse	id=g:7274767
Rock Harbor Lighthouse	id=g:7274768
Copper Harbor Rear Range Lighthouse	id=g:7274769
Browns Run Country Club	id=g:7274770
Oxford Country Club	id=g:7274771
Triple Crown Country Club	id=g:7274772
Eagle River Lighthouse (historical)	id=g:7274773
Silver Springs Country Club	id=g:7274774
Chenequa Country Club	id=g:7274775
Merrill Hills Country Club	id=g:7274776
Chase-Stone Parking Lot	id=g:7274777
Mellon Parking Lot	id=g:7274778
Canal Park Square	id=g:7274779
Mequan Country Club	id=g:7274780
Country Club of Wisconsin	id=g:7274781
Red Rocks Country Club	id=g:7274782
Little Mountain Country Club	id=g:7274783
Rockwood Hall Country Club (historical)	id=g:7274784
Iron River Country Club	id=g:7274785
Lower Harbor Breakwall Lighthouse	id=g:7274786
Marquette Golf and Country Club	id=g:7274787
Hudson River Country Club	id=g:7274788
Windmill Point Lighthouse	id=g:7274789
Grosse Isle North Channel Front Range Lighthouse	id=g:7274790
Blue Bell Country Club	id=g:7274791
Commonwealth National Country Club	id=g:7274792
Eagle Lodge Country Club	id=g:7274793
Manufacturers Golf and Country Club	id=g:7274794
Penn Oaks Country Club	id=g:7274795
Radley Run Country Club	id=g:7274796
White Manor Country Club	id=g:7274797
Waynesborough Country Club	id=g:7274798
West Chester Country Club	id=g:7274799
Springmill Country Club	id=g:7274800
Terrace Bluff Golf and Country Club	id=g:7274801
Grand Island Harbor Lighthouse	id=g:7274802
Bay Furnace Lighthouse	id=g:7274803
Munising Front and Rear Range Lighthouse	id=g:7274804
Pictured Rocks Golf and Country Club	id=g:7274805
Frankie Yankovic Square	id=g:7274806
Chapman Shoal Lighthouse	id=g:7274807
Rochester Country Club	id=g:7274808
Escanaba Lighthouse	id=g:7274809
Escanaba Country Club	id=g:7274810
Union Square Shopping Area	id=g:7274811
Eagle Country Club	id=g:7274812
Old Oak Country Club	id=g:7274813
Seul Choix Point Lighthouse	id=g:7274814
Colony Square of Denbigh	id=g:7274815
Saint Ignace Golf and Country Club	id=g:7274816
Harbor Point Lighthouse	id=g:7274817
Petoskey Bayview Country Club	id=g:7274818
McGulpin Point Lighthouse	id=g:7274819
Crisp Point Lighthouse	id=g:7274820
Richardson Square	id=g:7274821
Clinton Square	id=g:7274822
Trinity Square	id=g:7274823
Squaw Island Lighthouse	id=g:7274824
Beaver Island Harbor Lighthouse	id=g:7274825
Beaver Island Lighthouse	id=g:7274826
Charlevoix Lighthouse	id=g:7274827
Rockaway Ocean Country Club (historical)	id=g:7274828
Charlevoix Country Club	id=g:7274829
Walloon Lake Country Club	id=g:7274830
River Front Range Lighthouse	id=g:7274831
Cheboygan Crib Lighthouse	id=g:7274832
Cheboygan Golf and Country Club	id=g:7274833
Old Mackinac Point Lighthouse	id=g:7274834
Hempstead Country Club	id=g:7274835
Pebblewood Country Club	id=g:7274836
Rogers City Country Club	id=g:7274837
Old Presque Isle Lighthouse	id=g:7274838
Presque Isle Lighthouse	id=g:7274839
Franklin Square	id=g:7274840
Lafayette Square	id=g:7274841
Oneida Square	id=g:7274842
Unorganized Territory of Argyle	id=g:7274843
Unorganized Territory of Blanchard	id=g:7274844
Unorganized Territory of Connor	id=g:7274845
Unorganized Territory of Criehaven	id=g:7274846
Unorganized Territory of Kingman	id=g:7274847
Unorganized Territory of Marshall Island	id=g:7274848
Unorganized Territory of Milton	id=g:7274849
Unorganized Territory of Prentiss	id=g:7274850
Unorganized Territory of Unity	id=g:7274851
Higby Hills Country Club	id=g:7274852
Seaford Golf and Country Club	id=g:7274853
Wild Quail Golf and Country Club	id=g:7274854
Wesley College Parking Lot D	id=g:7274855
Wesley College Parking Lot C	id=g:7274856
Wesley College Parking Lot A	id=g:7274857
Wesley College Parking Lot B	id=g:7274858
Kings Creek Country Club	id=g:7274859
Sodus Point Lighthouse	id=g:7274860
Unorganized Territory of Chautauqua Lake	id=g:7274861
Nevele Grande Country Club	id=g:7274862
Shawangunk Country Club	id=g:7274863
Unorganized Territory of Angleworm Lake (historical)	id=g:7274864
Unorganized Territory of Arrowhead (historical)	id=g:7274865
Unorganized Territory of Bear Head Lake (historical)	id=g:7274866
Unorganized Territory of Bixby (historical)	id=g:7274867
Unorganized Territory of Burnt Creek-Riverview	id=g:7274868
Unorganized Territory of Central Hettinger	id=g:7274869
Unorganized Territory of Cow Creek	id=g:7274870
Unorganized Territory of Crab Lake (historical)	id=g:7274871
Unorganized Territory of Dale	id=g:7274872
Unorganized Territory of Dark River (historical)	id=g:7274873
Unorganized Territory of Deep Creek (historical)	id=g:7274874
Unorganized Territory of Dillon (historical)	id=g:7274875
Unorganized Territory of Dixon	id=g:7274876
Unorganized Territory of East Lyman	id=g:7274877
Unorganized Territory of Easter (historical)	id=g:7274878
Unorganized Territory of Flint Rock (historical)	id=g:7274879
Unorganized Territory of Fort Berthold	id=g:7274880
Unorganized Territory of Fort Berthold	id=g:7274881
Unorganized Territory of Fort Berthold	id=g:7274882
Unorganized Territory of Fort Berthold	id=g:7274883
Unorganized Territory of Gassman	id=g:7274884
Unorganized Territory of Grand Central (historical)	id=g:7274885
Unorganized Territory of Grandview	id=g:7274886
Unorganized Territory of Holden	id=g:7274887
Unorganized Territory of Hudgins (historical)	id=g:7274888
Unorganized Territory of Hush Lake (historical)	id=g:7274889
Unorganized Territory of Jones	id=g:7274890
Unorganized Territory of Kickapoo	id=g:7274891
Unorganized Territory of Leander Lake (historical)	id=g:7274892
Unorganized Territory of Lincoln-Fort Rice	id=g:7274893
Unorganized Territory of Linwood Lake (historical)	id=g:7274894
Unorganized Territory of Lower Brule	id=g:7274895
Unorganized Territory of Lower Brule	id=g:7274896
Unorganized Territory of Marion Lake (historical)	id=g:7274897
Unorganized Territory of McKinley	id=g:7274898
Unorganized Territory of Media	id=g:7274899
Unorganized Territory of Mildrew (historical)	id=g:7274900
Unorganized Territory of Mitchell	id=g:7274901
Unorganized Territory of Mud Hen Lake (historical)	id=g:7274902
Unorganized Territory of North Red River	id=g:7274903
Unorganized Territory of West Lyman (historical)	id=g:7274904
Unorganized Territory of Pfeiffer Lake	id=g:7274905
Unorganized Territory of Pherrin (historical)	id=g:7274906
Unorganized Territory of Phoenix	id=g:7274907
Unorganized Territory of Picket Lake	id=g:7274908
Unorganized Territory of Pleasant Valley (historical)	id=g:7274909
Unorganized Territory of Progressive	id=g:7274910
Unorganized Territory of Richland	id=g:7274911
Unorganized Territory of Seim (historical)	id=g:7274912
Unorganized Territory of Sheffield (historical)	id=g:7274913
Unorganized Territory of Slim Lake (historical)	id=g:7274914
Unorganized Territory of Camp Atterbury	id=g:7274915
Unorganized Territory of West Gregory	id=g:7274916
Unorganized Territory of Sturgeon River (historical)	id=g:7274917
Unorganized Territory of Sunday Lake (historical)	id=g:7274918
Unorganized Territory of Tikander Lake (historical)	id=g:7274919
Unorganized Territory of Wahnena	id=g:7274920
Unorganized Territory of West Adams	id=g:7274921
Unorganized Territory of Westover	id=g:7274922
Unorganized Territory of Whitney (historical)	id=g:7274923
Boston Square	id=g:7274924
Liberty Square	id=g:7274925
Country Club of Troy	id=g:7274926
Hamilton Square	id=g:7274927
Unorganized Territory of Camp Lejeune	id=g:7274928
Unorganized Territory of Forneys Creek	id=g:7274929
Unorganized Territory of Hofmann Forest	id=g:7274930
Unorganized Territory of Industrial Complex (historical)	id=g:7274931
Unorganized Territory of Lake Mattamuskeet	id=g:7274932
Hampshire Country Club	id=g:7274933
Osiris Country Club	id=g:7275081
Wellsville Country Club	id=g:7275082
Van Schaick Island Country Club	id=g:7275083
Franklin Square	id=g:7275084
Walton Square	id=g:7275085
Desert Crest Country Club	id=g:7275086
Olympic Square	id=g:7275087
Wolferts Roost Country Club	id=g:7275088
Bath Country Club	id=g:7275089
White Hill Unorganized Territory	id=g:7275090
Tecumseh Country Club	id=g:7275091
Pinehaven Country Club	id=g:7275092
Monroe Golf and Country Club	id=g:7275093
Monroe Country Club	id=g:7275094
Turkey Creek Golf and Country Club	id=g:7275095
Alaqua Country Club	id=g:7275096
Alden Pines Country Club	id=g:7275097
Atlantis Country Club	id=g:7275098
BallenIsles Country Club	id=g:7275099
Bear Lakes Country Club	id=g:7275100
Bears Paw Country Club	id=g:7275101
Bent Oak Country Club	id=g:7275102
Woodfield Country Club	id=g:7275103
Boca del Mar Country Club	id=g:7275104
Boca Delray Golf and Country Club	id=g:7275105
Boca Dunes Golf and Country Club	id=g:7275106
Boca Greens Country Club	id=g:7275107
Boca Pointe Country Club	id=g:7275108
Boca Raton Executive Country Club	id=g:7275109
Boca Teeca Country Club	id=g:7275110
Boca Woods Country Club	id=g:7275111
Bocaire Country Club	id=g:7275112
Bonaventure Country Club	id=g:7275113
Bonita Fairways Country Club	id=g:7275114
Broken Woods Country Club	id=g:7275115
Continental Country Club	id=g:7275116
Cooper Colony Country Club	id=g:7275117
Fiddlesticks Country Club	id=g:7275118
Flamingo Lakes Country Club	id=g:7275119
Gleneagles Country Club	id=g:7275120
Golf Hammock Country Club	id=g:7275121
Cobblestone Country Club	id=g:7275122
Cocoa Beach Country Club	id=g:7275123
Collier's Reserve Country Club	id=g:7275124
Colonial Country Club	id=g:7275125
Colony West Country Club	id=g:7275126
Country Club of Coral Springs	id=g:7275127
Country Club of Florida	id=g:7275128
Country Club of Mount Dora	id=g:7275129
Country Club of Ocala	id=g:7275130
Country Club of Orlando	id=g:7275131
Country Club of Silver Springs Shores	id=g:7275132
Country Creek Country Club	id=g:7275133
Cross Creek Country Club	id=g:7275134
Crystal Lake Country Club	id=g:7275135
Cypress Creek Country Club	id=g:7275136
Cypress Lake Country Club	id=g:7275137
Cypress Woods Golf and Country Club	id=g:7275138
Cypresswood Golf and Country Club	id=g:7275139
Daytona Beach Golf and Country Club	id=g:7275140
Debary Golf and Country Club	id=g:7275141
Deer Run Country Club	id=g:7275142
Deercreek Country Club	id=g:7275143
Deerfield Country Club	id=g:7275144
Deering Bay Yacht and Country Club	id=g:7275145
Del - Aire Country Club	id=g:7275146
Deland Country Club	id=g:7275147
Delray Country Club	id=g:7275148
Delray Dunes Golf and Country Club	id=g:7275149
Deltona Hills Golf and Country Club	id=g:7275150
Deltura Country Club	id=g:7275151
Dodger Pines Country Club	id=g:7275152
Eagle Creek Country Club	id=g:7275153
Eagle Woods Golf and Country Club	id=g:7275154
Errol Country Club	id=g:7275155
Fairways Country Club	id=g:7275156
Fort Lauderdale Country Club	id=g:7275157
Fort Myers Country Club	id=g:7275158
Fountains Country Club	id=g:7275159
Foxfire Country Club	id=g:7275160
Frenchman's Creek Beach and Country Club	id=g:7275161
Gainesville National Country Club	id=g:7275162
Gateway Golf and Country Club	id=g:7275163
Gator Trace Golf and Country Club	id=g:7275164
Glades Country Club	id=g:7275165
Golf Harbour Yacht and Country Club	id=g:7275166
Grand Palms Golf and Country Club	id=g:7275167
Grasslands Golf and Country Club	id=g:7275168
Grey Oaks Golf and Country Club	id=g:7275169
Haile Plantation Golf and Country Club	id=g:7275170
Herons Glen Championship Golf and Country Club	id=g:7275171
High Point Country Club	id=g:7275172
High Ridge Country Club	id=g:7275173
Highland Woods Golf and Country Club	id=g:7275174
Magnolia Point Golf and Country Club	id=g:7275175
Marco Shores Country Club	id=g:7275176
Mariner Sands Country Club	id=g:7275177
Marion Oaks Country Club	id=g:7275178
Martin County Golf and Country Club	id=g:7275179
Martin Downs Country Club	id=g:7275180
Mayacoo Lakes Country Club	id=g:7275181
Hillcrest Golf and Country Club	id=g:7275182
Hunters Ridge Country Club	id=g:7275183
Ibis Golf and Country Club	id=g:7275184
Indianwood Adult Golf and Country Club	id=g:7275185
Interlachen Country Club	id=g:7275186
Inverrary Country Club	id=g:7275187
Ironhorse Country Club	id=g:7275188
Island Country Club	id=g:7275189
Jacksonville Golf and Country Club	id=g:7275190
Kensington Golf and Country Club	id=g:7275191
Keys Gate Golf and Country Club	id=g:7275192
Keystone Golf and Country Club	id=g:7275193
Kingsway Country Club	id=g:7275194
Kissimmee Bay Country Club	id=g:7275195
La Cita Golf and Country Club	id=g:7275196
Lake Country Golf and Country Club	id=g:7275197
Lake Fairways Country Club	id=g:7275198
Lake Nona Golf and Country Club	id=g:7275199
Lakewood Country Club	id=g:7275200
Legends Golf and Country Club	id=g:7275201
Live Oak Golf and Country Club	id=g:7275202
Lochmoor Country Club	id=g:7275203
Metrowest Country Club	id=g:7275204
Miami Springs Golf and Country Club	id=g:7275205
Miccosukee Golf and Country Club	id=g:7275206
Miles Grant Country Club	id=g:7275207
Mizner Country Club	id=g:7275208
Monarch Country Club	id=g:7275209
Monastery Golf and Country Club	id=g:7275210
Myerlee Country Club	id=g:7275211
Oak Run Country Club	id=g:7275212
Oak Tree Country Club	id=g:7275213
Ocala Palms Golf and Country Club	id=g:7275214
Okeechobee Golf and Country Club	id=g:7275215
Orange Lake Country Club and Resort	id=g:7275216
Orange Park Country Club	id=g:7275217
Orangebrook Country Club	id=g:7275218
Oyster Creek Golf and Country Club	id=g:7275219
Perry Golf and Country Club	id=g:7275220
Pine Island Ridge Country Club	id=g:7275221
Placid Lakes Country Club	id=g:7275222
Plantation Country Club	id=g:7275223
Poinciana Country Club	id=g:7275224
Port Malabar Country Club	id=g:7275225
Quail Creek Country Club	id=g:7275226
Quail Ridge Country Club	id=g:7275227
Quail West Golf and Country Club	id=g:7275228
Rainbow Springs Golf and Country Club	id=g:7275229
Rainbow's End Golf and Country Club	id=g:7275230
Remington Golf and Country Club	id=g:7275231
Palm - Aire Country Club	id=g:7275232
Palmetto at Glades Country Club	id=g:7275233
Palmetto - Pine Country Club	id=g:7275234
Par 3 at Westchester Golf and Country Club	id=g:7275235
Pelican Bay North Country Club	id=g:7275236
Pelican Bay South Country Club	id=g:7275237
Lighthouse Plaza	id=g:7275238
Pine Lakes Country Club	id=g:7275239
Pine Lakes Country Club	id=g:7275240
Pine Meadows Golf and Country Club	id=g:7275241
Rio Pinar Country Club	id=g:7275242
Riviera Country Club	id=g:7275243
Riviera Country Club	id=g:7275244
Rotonda Golf snd Country Club	id=g:7275245
Royal Palm Country Club	id=g:7275246
Royal Palm Yacht and Country Club	id=g:7275247
Royal Tee Country Club	id=g:7275248
Royal Wood Golf and Country Club	id=g:7275249
Saint Andrews Country Club	id=g:7275250
Saint Lucie West Country Club	id=g:7275251
San Jose Country Club	id=g:7275252
Sawgrass Country Club	id=g:7275253
Shadow Wood Country Club	id=g:7275254
Sherbrooke Golf and Country Club	id=g:7275255
Six Lakes Country Club	id=g:7275256
Skyview Golf and Country Club	id=g:7275257
Sombrero Country Club	id=g:7275258
Southern Dunes Golf and Country Club	id=g:7275259
Spanish Wells Country Club	id=g:7275260
Springtree Country Club	id=g:7275261
Saint Johns Golf and Country Club	id=g:7275262
Stonebridge Golf and Country Club	id=g:7275263
Stonecrest Country Club	id=g:7275264
Sugar Mill Country Club	id=g:7275265
Sun Air Golf and Country Club	id=g:7275266
Sunrise Country Club	id=g:7275267
Suntree Country Club	id=g:7275268
Sweetwater Country Club	id=g:7275269
Terra Verde Country Club	id=g:7275270
The Country Club at Heathrow	id=g:7275271
The Falls Country Club	id=g:7275272
The Forest Country Club	id=g:7275273
The Hideaway Country Club	id=g:7275274
The President Country Club	id=g:7275275
The Royal Saint Augustine Golf and Country Club	id=g:7275276
The Strand Golf and Country Club	id=g:7275277
The Vines Golf and Country Club	id=g:7275278
Tomoka Oaks Golf and Country Club	id=g:7275279
Turnbull Bay Golf and Country Club	id=g:7275280
Ventura Country Club	id=g:7275281
Vero Beach Country Club	id=g:7275282
Vista Royale Golf and Country Club	id=g:7275283
Walkabout Golf and Country Club	id=g:7275284
Wedgefield Golf and Country Club	id=g:7275285
Wedgewood Golf and Country Club	id=g:7275286
Wellington Country Club	id=g:7275287
West Orange Country Club	id=g:7275288
West Palm Beach Country Club	id=g:7275289
Westchester Golf and Country Club	id=g:7275290
Weston Hills Country Club	id=g:7275291
Westview Country Club	id=g:7275292
Whiskey Creek Country Club	id=g:7275293
Wildcat Run Country Club	id=g:7275294
Wilderness Country Club	id=g:7275295
Wildflower Country Club	id=g:7275296
Williams Island Country Club	id=g:7275297
Woodfield Country Club	id=g:7275298
Woodlands Country Club	id=g:7275299
Woodmont Country Club	id=g:7275300
Worthington Country Club	id=g:7275301
Wycliff Golf and Country Club	id=g:7275302
Wyndemere Country Club	id=g:7275303
Wyndham Palms Resort and Country Club	id=g:7275304
Edgewood Country Club	id=g:7275305
Benson Parking Lot	id=g:7275306
Tidwell Parking Lot	id=g:7275307
All American Sports City Country Club	id=g:7275308
Beekman Country Club	id=g:7275309
Quaker Hill Country Club	id=g:7275310
West Parking Lot	id=g:7275311
Lake Harris Square	id=g:7275312
Washington Square	id=g:7275313
Chatam Square Office Park	id=g:7275314
Wooded View Country Club	id=g:7275315
Red Square	id=g:7275316
Unorganized Territory of Central Slope	id=g:7275317
Craing Ranch Country Club	id=g:7275318
Nayatt Point Lighthouse	id=g:7275319
Newport Harbor Lighthouse	id=g:7275320
Point Judith Lighthouse	id=g:7275321
Humboldt Square Center	id=g:7275322
Victoria Square	id=g:7275323
Amans Country Club	id=g:7275324
Pelwood Square	id=g:7275325
River Hills Country Club	id=g:7275326
Tampa's North Side Country Club	id=g:7275327
Larry King Square	id=g:7275328
Joel Bloom Square	id=g:7275329
Dandelion Square	id=g:7275330
Berkshire Square Plaza	id=g:7275331
Broadcasting Square	id=g:7275332
Evergreen Country Club	id=g:7275333
Exeter Square	id=g:7275334
Penn Square	id=g:7275335
Shelbourne Square	id=g:7275336
Golden Oaks Country Club	id=g:7275337
Green Valley Country Club	id=g:7275338
Heidelberg Country Club	id=g:7275339
Wyomissing Square	id=g:7275340
Shipwatch Square	id=g:7275341
Arrowhead Country Club	id=g:7275342
Carolina Shores Golf and Country Club	id=g:7275343
Clarendon Golf And Country Club	id=g:7275344
Country Club of Beaufort at Pleasant Point	id=g:7275345
Country Club of Orangeburg	id=g:7275346
Crowfield Golf and Country Club	id=g:7275347
Dogwood Hills Country Club	id=g:7275348
Ladys Island Country Club	id=g:7275349
Miler Country Club	id=g:7275350
Paw Paw Country Club	id=g:7275351
Pawleys Plantation Golf and Country Club	id=g:7275352
Pine Forest Golf and Country Club	id=g:7275353
Pineland Country Club	id=g:7275354
Prudential Coosaw Creek Country Club	id=g:7275355
Rose Hill Country Club	id=g:7275356
Twin Lakes Country Club	id=g:7275357
Alpena Country Club	id=g:7275358
Alpena Lighthouse	id=g:7275359
Gaylord Country Club	id=g:7275360
Leland Country Club	id=g:7275361
Traverse City Golf and Country Club	id=g:7275362
Sidney Golf And Country Club	id=g:7275363
Fox Run Country Club	id=g:7275364
Skene Valley Country Club	id=g:7275365
Manistee North Pierhead Lighthouse	id=g:7275366
Manistee Golf and Country Club	id=g:7275367
Deep Dale Country Club (historical)	id=g:7275368
Blueberry Plantation Golf and Country Club	id=g:7275369
Oak Grove Island Golf and Country Club	id=g:7275370
Osprey Cove Golf and Country Club	id=g:7275371
La Vida Country Club	id=g:7275372
West Branch Country Club	id=g:7275373
Cattail Creek Country Club	id=g:7275374
Links at Lighthouse Sound	id=g:7275375
Patuxant Greens Country Club	id=g:7275376
Worthington Valley Country Club	id=g:7275377
Belvedere Golf and Country Club	id=g:7275378
Jacksonville Country Club	id=g:7275379
Hollybrook Country Club	id=g:7275380
Winchester Country Club	id=g:7275381
White Deer Country Club	id=g:7275382
Burning Oak Country Club	id=g:7275383
Ye Olde Country Club	id=g:7275384
Cadillac Country Club	id=g:7275385
Chapel Creek Golf and Country Club	id=g:7275386
Berkshire Country Club	id=g:7275387
Leavenworth Country Club	id=g:7275388
Tallgrass Country Club	id=g:7275389
The Derby Golf and Country Club	id=g:7275390
Shawnee Golf and Country Club	id=g:7275391
Lake Perry Country Club	id=g:7275392
Milburn Golf and Country Club	id=g:7275393
Oak Country Club	id=g:7275394
Lake Quivira Country Club	id=g:7275395
Alvamar Country Club	id=g:7275396
Newman University - Parking Lot B	id=g:7275397
Newman University - Parking Lot C	id=g:7275398
Newman University - Parking Lot E	id=g:7275399
Newman University - Parking Lot F	id=g:7275400
Newman University - Parking Lot H	id=g:7275401
Marquette Trails Country Club	id=g:7275402
Fawn Lake Country Club	id=g:7275403
Huron Breeze Golf and Country Club	id=g:7275404
Spruce Ridge Country Club	id=g:7275405
Apple Creek Country Club	id=g:7275406
