Mechtat el Djar Messaouda	id=g:2489116
Djebel Laknef	id=g:2491120
Kef Lakkal	id=g:2491121
Djebel Lakkaf	id=g:2491122
Oued Lakhouil	id=g:2491123
Lakhouabi	id=g:2491124
Daïet Lakhoras	id=g:2491125
Djebbanet el Khenak	id=g:2491126
Oued Lakhlidj	id=g:2491127
Râs Lakhel	id=g:2491128
Djebel Lakhech	id=g:2491129
Marhder Lakhder	id=g:2491130
Kef Lakhdar Rharbi	id=g:2491131
Daïra de Lakhdaria	id=g:2491132
Commune de Lakhdaria	id=g:2491133
Lakhdaria	id=g:2491134
Kef Lakhdar Chergui	id=g:2491135
Hassi Lakhdar Ben Mammar	id=g:2491136
Oued Lakhdar	id=g:2491137
Oglat Lakhdar	id=g:2491138
Koudia Lakhdar	id=g:2491139
Hassi Lakhdar	id=g:2491140
Draa Lakhdar	id=g:2491141
Djebel Lakhdar	id=g:2491142
Bordj Lakhdar	id=g:2491143
Bled Lakhdar	id=g:2491144
Kef Lakhal	id=g:2491145
Hassi Lakhal	id=g:2491146
Hassi Lakhal	id=g:2491147
Djebel Lakhal	id=g:2491148
Kef Lakfedj	id=g:2491149
Oued Lakdar	id=g:2491150
Djebel Yakbouch	id=g:2491151
Tilmas Lakbet	id=g:2491152
Djebel Lakbedj	id=g:2491153
Oued oua-n-Lakane	id=g:2491154
Gara ti-n-Lakane	id=g:2491155
Gara ta-n-Lakane	id=g:2491156
La Jumenterie	id=g:2491157
Oued Lahsene	id=g:2491158
Hassi Lahseï	id=g:2491159
Lahsaïna	id=g:2491160
Chebket Lahraoui	id=g:2491161
Bir Lahrache	id=g:2491162
Ras Lahrach	id=g:2491163
Dar Lahount	id=g:2491164
Djebel Lahouel	id=g:2491165
Bled Lehouanet	id=g:2491166
Lahmissi	id=g:2491167
Kef Lahmar	id=g:2491168
El Kef Lahmar	id=g:2491169
Dar Lahleme	id=g:2491170
Commune de Lahlaf	id=g:2491171
Lahlef	id=g:2491172
Hassi Lahib	id=g:2491173
Lahguiat	id=g:2491174
Guelb el Lahga	id=g:2491175
Djebel Laharta	id=g:2491176
Argoub Laharch	id=g:2491177
Oued Lahamimine	id=g:2491178
Laham el Kelb	id=g:2491179
Laham el Kelb	id=g:2491180
Aleb Lahamar	id=g:2491181
Râs el Laham	id=g:2491182
Dalaat el Laham	id=g:2491183
Cha’bet el Laham	id=g:2491184
’Aïn Lahadj	id=g:2491185
La Guetna	id=g:2491186
Teniet Lagraa	id=g:2491187
Wilaya de Laghouat	id=g:2491188
Daïra de Laghouat	id=g:2491189
Commune de Laghouat	id=g:2491190
Laghouat	id=g:2491191
Oued Lagha	id=g:2491192
Bassin de L’Agha	id=g:2491193
Gare de l’ Agha	id=g:2491194
L’Agha	id=g:2491195
Lagaguena	id=g:2491196
Oued Lag	id=g:2491197
La Fresnaie	id=g:2491198
Sidi Abd el Moumene	id=g:2491199
La Ferme	id=g:2491200
Gadet Lafred	id=g:2491201
Hassi Lafdjoudj	id=g:2491202
Oued Lafar	id=g:2491203
Oued Ladrat	id=g:2491204
Hassi Ladjouad	id=g:2491205
Jabal al Ajbāl	id=g:2491206
Djebel Ladjdar	id=g:2491207
Bled Ladhene	id=g:2491208
La Dent du Lion	id=g:2491209
La Consulaire	id=g:2491210
La Consolade	id=g:2491211
Koudiet Lachouêf	id=g:2491212
Djebel Lachouaf	id=g:2491213
Hassi Lachia	id=g:2491214
Oglat Labta	id=g:2491215
Djebel Labraga	id=g:2491216
Rhedir Labrag	id=g:2491217
Draa Labiod	id=g:2491218
Djebel Labet	id=g:2491219
Oued Labalet	id=g:2491220
Labaïs	id=g:2491221
Commune de Laayoune	id=g:2491222
Laayoune	id=g:2491223
Djebel Laarour	id=g:2491224
Oued Laarada	id=g:2491225
Bir Laama	id=g:2491226
Laali et Telli	id=g:2491227
Draa Laalfa	id=g:2491228
Djebel Laâlem	id=g:2491229
Djebel Laala	id=g:2491230
Laabedna	id=g:2491231
Râs el Kzizia	id=g:2491232
Mechra el Ktoub	id=g:2491233
Oued Ktob el Krib	id=g:2491234
Orhroud el Ktir	id=g:2491235
Oued el Ktimaïa	id=g:2491236
Hadjar el Ktiba	id=g:2491237
Foum Ktiba	id=g:2491238
Oued el Kter	id=g:2491239
Oglat el Kteïbat	id=g:2491240
Hammar el Ktef	id=g:2491241
Djebel el Ktef	id=g:2491242
Gour Ktatebi	id=g:2491243
Oued el Ktâmi	id=g:2491244
Ksour Yahia	id=g:2491245
Daïet el Ksouria	id=g:2491246
Daïet el Ksouria	id=g:2491247
Ksour el Alleg	id=g:2491248
Monts des Ksour	id=g:2491249
Koudiat el Ksour	id=g:2491250
Feïdjet el Ksour	id=g:2491251
’Aïn el Ksour	id=g:2491252
Ksour	id=g:2491253
Djebel el Ksoum	id=g:2491254
Oued el Ksob	id=g:2491255
Oued Ksob	id=g:2491256
Oued Ksob	id=g:2491257
Hassi el Ksob	id=g:2491258
Guelta el Ksob	id=g:2491259
Forêt d’ El Ksob	id=g:2491260
Barrage de Ksob	id=g:2491261
’Aïn el Ksob	id=g:2491262
’Aïn Ksob	id=g:2491263
Dra Ksir Sead	id=g:2491264
’Aïn Ksir el Rhoul	id=g:2491265
Ksir Beni Zid	id=g:2491266
Ksir Ahmimas	id=g:2491267
Mechtat Ksir	id=g:2491268
Pointe Ksila	id=g:2491269
Hassi Ksiksou	id=g:2491270
Gara Ksiksou	id=g:2491271
Ksiksou	id=g:2491272
Kseub el Hanout	id=g:2491273
Sebkhet el Kseub	id=g:2491274
Oued el Kseub	id=g:2491275
Oued el Kseub	id=g:2491276
’Aïn el Kseub	id=g:2491277
Kseub	id=g:2491278
Kef Ksessa	id=g:2491279
Forêt du Ksenna	id=g:2491280
Djebel Ksel	id=g:2491281
Kseïr Omrane	id=g:2491282
Teniet el Kseïr	id=g:2491283
Hassi el Kseïbat	id=g:2491284
Kseïbat	id=g:2491285
Koudiet el Kseiba	id=g:2491286
Kseïba	id=g:2491287
Theïrat Ksebiat	id=g:2491288
Hassi Ksebiat	id=g:2491289
Oued el Kseb	id=g:2491290
Ksar Zeïra	id=g:2491291
Ksar Zazia	id=g:2491292
Ksar Tissidane	id=g:2491293
Ksar Timekmert	id=g:2491294
Ksar Tiffech	id=g:2491295
Ksar Tebinet	id=g:2491296
Ksar Sidi Zekri	id=g:2491297
Ksar Sidi Abdallah	id=g:2491298
Commune de Ksar Sbahi	id=g:2491299
Ksar Sbahi	id=g:2491300
Ksar Ouled Youb	id=g:2491301
Ksar Ouled Bel Guiz	id=g:2491302
Ksar Ouled Abd Louhed	id=g:2491303
Ksar Oulad Aïd	id=g:2491304
Ksar Netsila	id=g:2491305
Mechtat Ksar Nadja	id=g:2491306
Ksar Mrada	id=g:2491307
Ksar Moulk Slimane	id=g:2491308
Ksar Messaada	id=g:2491309
Ksar Makhlouf	id=g:2491310
Ksar Kaddour	id=g:2491311
Ksar Kabeg	id=g:2491312
Ksar et Touadjine	id=g:2491313
Kasr en Namous	id=g:2491314
Ksar el Oustani	id=g:2491315
Ksar el Khola	id=g:2491316
Ksar el Hirane	id=g:2491317
Ksar el Hamra	id=g:2491318
Oued Ksar el Hadj	id=g:2491319
Ksar el Hadj	id=g:2491320
Daïra de Ksar el Boukhari	id=g:2491321
Commune de Ksar el Boukhari	id=g:2491322
Ksar el Boukhari	id=g:2491323
Ksar el Azoudj	id=g:2491324
Draa Ksar el Atech	id=g:2491325
Ksar el Aïrene	id=g:2491326
Ksar el Ahmar	id=g:2491327
Ksar el Abiod	id=g:2491328
Ksar el Abid	id=g:2491329
Ksar ed Douar	id=g:2491330
Ksar Douimeniat	id=g:2491331
Ksar Diabet	id=g:2491332
Ksar Chraïa	id=g:2491333
Commune de Ksar Chellala	id=g:2491334
Ksar Chellala	id=g:2491335
Ksar Ben Hammad	id=g:2491336
Ksar Belezma	id=g:2491337
Ksar Baghaï	id=g:2491338
Ksar Aouach	id=g:2491339
Ksar Ahmera	id=g:2491340
Oued el Ksar	id=g:2491341
Koudiet el Ksar	id=g:2491342
Koudiat Ksar	id=g:2491343
Hassi el Ksar	id=g:2491344
Forêt des Ksar	id=g:2491345
Djebel el Ksar	id=g:2491346
Chabet el Ksar	id=g:2491347
Bir el Ksar	id=g:2491348
Ksantina	id=g:2491349
Foum Ksanntina	id=g:2491350
Foum Ksanntina	id=g:2491351
’Aïn Ksaïbia	id=g:2491352
Djebel Ksaïba	id=g:2491353
Gour el Ksabi	id=g:2491354
Ksabi	id=g:2491355
Ksab	id=g:2491356
Oued Ksa	id=g:2491357
Oued i-n-Krouroum	id=g:2491358
Oued Krouroum	id=g:2491359
Oued Khourara	id=g:2491360
Draa Khoum ed Dib	id=g:2491361
Kroumirie	id=g:2491362
Djebel el Krouma	id=g:2491363
Djebel el Krouma	id=g:2491364
Oued el Kroum	id=g:2491365
’Aïn el Kroum	id=g:2491366
Koudiat el Kroula	id=g:2491367
Djebel el Krouima	id=g:2491368
Krouia er Rmad	id=g:2491369
Oued Kroudida	id=g:2491370
Hassi Kroudida	id=g:2491371
Djebel Kroudida	id=g:2491372
Djebel Kroucha	id=g:2491373
Teniet el Kroub	id=g:2491374
Chabet el Krorchef	id=g:2491375
Chaba Kronng Djehech	id=g:2491376
Falaise de Kristel	id=g:2491377
Djebel Kristel	id=g:2491378
Kristel	id=g:2491379
Djebel Kriouia	id=g:2491380
Hassi Kriouia	id=g:2491381
Oued el Krima	id=g:2491382
Hassiane el Krima	id=g:2491383
Gara Krima	id=g:2491384
Fedj Krima	id=g:2491385
Djebel Krima	id=g:2491386
’Aïn el Krima	id=g:2491387
’Aïn el Krim	id=g:2491388
Koudiat el Krilat	id=g:2491389
Kriker	id=g:2491390
Oued Krich	id=g:2491391
Oued el Kriane	id=g:2491392
Oued el Kria	id=g:2491393
Hassi Krezzana	id=g:2491394
Oued el Krerouz	id=g:2491395
Oued el Kreririba	id=g:2491396
Krerbet el Argoub	id=g:2491397
Oued el Krenig	id=g:2491398
Hassi el Krenig	id=g:2491399
Krenak el Koubba	id=g:2491400
Oued Krenachich	id=g:2491401
Station d’ Krelloug	id=g:2491402
Oued Kh’Lloug	id=g:2491403
Aguelmam ti-n-Krelifat	id=g:2491404
Aguelmam ti-n-Krelifane	id=g:2491405
Daïet Krelif	id=g:2491406
Erg el Krebs	id=g:2491407
Krebna	id=g:2491408
Oued Krebbaza	id=g:2491409
Krebbaza	id=g:2491410
Kreb	id=g:2491411
Krbeïb	id=g:2491412
Oued Kraroua	id=g:2491413
Djebel Krannoufa	id=g:2491414
Garet el Krannfoussa	id=g:2491415
Erg Kranguet el Hadid	id=g:2491416
Djebel Krang el Djehech	id=g:2491417
Bled Kranchouch	id=g:2491418
Oued Kramis	id=g:2491419
Cap Kramis	id=g:2491420
Koudia Kramfouf	id=g:2491421
Oued Kram	id=g:2491422
Bled el Kralifa	id=g:2491423
Daïet el Kraker	id=g:2491424
Djebel Kraïm el Rhar	id=g:2491425
Douar Kraïfia	id=g:2491426
’Aïn Kraïba	id=g:2491427
Oued Krab	id=g:2491428
Oued Kraa el Abed	id=g:2491429
Râs el Kraa	id=g:2491430
Koudia Kraa	id=g:2491431
Djebel Kouza	id=g:2491432
Djebel el Kouz	id=g:2491433
Hassi Koussane	id=g:2491434
’Aïn Koussa	id=g:2491435
Kousan	id=g:2491436
Ferme el Kous	id=g:2491437
’Aïn Kourza	id=g:2491438
Kef el Koursi	id=g:2491439
Garet el Kours	id=g:2491440
Forêt de Kourrata	id=g:2491441
Kêf Kourrât	id=g:2491442
Ragoubet el Kourras	id=g:2491443
Kourorane	id=g:2491444
Gadet Kournafa	id=g:2491445
Djebel Kourmat	id=g:2491446
Oued Kourit	id=g:2491447
Oued Kouris	id=g:2491448
Ragoubet Kourikeur	id=g:2491449
Kouriet	id=g:2491450
Seheb el Kouricha	id=g:2491451
Daïet el Kouri	id=g:2491452
Djebel Kourdane	id=g:2491453
Kourdane	id=g:2491454
Kef el Kourat	id=g:2491455
Kef Kouraref	id=g:2491456
Drâ’ Kourama	id=g:2491457
Koura	id=g:2491458
Koura	id=g:2491459
Forêt Domaniale de Kounteïdat	id=g:2491460
Oued Kountar	id=g:2491461
Koum el Khezine	id=g:2491462
Koum el Djaïem	id=g:2491463
Koum el Brhel	id=g:2491464
Koum el Adame	id=g:2491465
Koum ech Chott	id=g:2491466
Koumbet Rherib	id=g:2491467
Hassi Koumar	id=g:2491468
Oglat Koumadia	id=g:2491469
Koum’a	id=g:2491470
Mader el Koum	id=g:2491471
Djebel Koul Ou Ali	id=g:2491472
Daïet Koulihoum	id=g:2491473
Koulihoum	id=g:2491474
Demrhat el Koula	id=g:2491475
Djebel Koukou	id=g:2491476
Kou Klas	id=g:2491477
Koudiat Kou Kenine	id=g:2491478
Djebel Koukeb	id=g:2491479
Djebel Kouk	id=g:2491480
Oued Kouirissat	id=g:2491481
Râs el Kouireg	id=g:2491482
Râs el Kouireg	id=g:2491483
Oued el Kouireg	id=g:2491484
Hassi Kouinini	id=g:2491485
Commune de Kouinine	id=g:2491486
Kouinine	id=g:2491487
Tizi-n-Kouilal	id=g:2491488
Oued el Kouifet	id=g:2491489
Djebel Kouif	id=g:2491490
Koui er Remad	id=g:2491491
Daïet Kouïder Bou er Rba	id=g:2491492
Daïet Kouïder Ben Safi	id=g:2491493
Oued Kouffane	id=g:2491494
Djebel Koufeïfa	id=g:2491495
Djebel el Kouf	id=g:2491496
Kouesmia	id=g:2491497
’Aïn ti-n-Kouennt	id=g:2491498
Koudia Koudjil	id=g:2491499
Koudia Koudine	id=g:2491500
Mechtet Koudiet ’Aïn el Ham	id=g:2491501
Koudia Tmer	id=g:2491502
Koudia Melah	id=g:2491503
Ragoubet el Koudia	id=g:2491504
Djebel el Koudia	id=g:2491505
Bordj el Koudia	id=g:2491506
Kêf el Koudeya	id=g:2491507
Chabet el Koucha	id=g:2491508
Koubiret el Hallouf	id=g:2491509
Koubir el Abd	id=g:2491510
Djebel Koubib Bessirene	id=g:2491511
Koubet el Fennd	id=g:2491512
Koudiat el Koubba	id=g:2491513
Draa el Koubba	id=g:2491514
Kef el Koubarat	id=g:2491515
Oued el Kouba	id=g:2491516
Fort de Kouba	id=g:2491517
Kouba	id=g:2491518
Kouassem	id=g:2491519
Haoud el Kouarir	id=g:2491520
Oued Koûardâ	id=g:2491521
Hassi el Kouara	id=g:2491522
Oglat el Kouanine	id=g:2491523
Faïdjet el Kouanine	id=g:2491524
Kouanine	id=g:2491525
Azib el Kouafa	id=g:2491526
Hassi el Kouader	id=g:2491527
Mzaret el Kouachia	id=g:2491528
Oued el Kotone	id=g:2491529
Oued Kossoul	id=g:2491530
’Aïn Korret	id=g:2491531
Korra	id=g:2491532
Djebel el Korn	id=g:2491533
Daïet Korjem	id=g:2491534
Oued Korirech	id=g:2491535
’Aïn Korirech	id=g:2491536
Oued el Korina	id=g:2491537
Oued el Korima	id=g:2491538
Oued el Korima	id=g:2491539
Oued el Korima	id=g:2491540
Oued Korima	id=g:2491541
Oued Korima	id=g:2491542
Hassi el Korima	id=g:2491543
Djebel Korima	id=g:2491544
’Aïn Korima	id=g:2491545
’Aïn Korima	id=g:2491546
’Aïn Korima	id=g:2491547
Bled Koriker	id=g:2491548
Râs Koridit	id=g:2491549
Djebel Koridit	id=g:2491550
Koridat Mbarka	id=g:2491551
Koudia Koribiaïa	id=g:2491552
Koria	id=g:2491553
Oued el Korfa	id=g:2491554
Daïet el Korfa	id=g:2491555
Oued el Koreïkha	id=g:2491556
Hassi Kord Meriem	id=g:2491557
Kord Mani	id=g:2491558
Kord el Kehat	id=g:2491559
’Aïn Korchfal	id=g:2491560
Draa Korbaa	id=g:2491561
Chouchet Korbaâ	id=g:2491562
’Aïn el Korb	id=g:2491563
Feïdj el Korane	id=g:2491564
Hassi el Koraïma	id=g:2491565
Kora el Rhlem	id=g:2491566
Djebel el Koraa	id=g:2491567
Oued el Koouira	id=g:2491568
Aïn Konia	id=g:2491569
Djebel Kondjaïa	id=g:2491570
Bir el Komecha	id=g:2491571
Kolla	id=g:2491572
Kef el Koliat	id=g:2491573
Koudiat Kolea	id=g:2491574
Kef el Kolea	id=g:2491575
Faïd el Kolea	id=g:2491576
Commune de Kolea	id=g:2491577
Kolea	id=g:2491578
Djorf el Kokol	id=g:2491579
Takoûkaït	id=g:2491580
Oued el Kohol	id=g:2491581
Djebel el Kohil	id=g:2491582
Chabet el Kohil	id=g:2491583
Gouiret el Kohel	id=g:2491584
Djebel Kodjel	id=g:2491585
Aguelmam ti-n-Koderi	id=g:2491586
Râs Kodalene	id=g:2491587
Hassi el Kobissa	id=g:2491588
Oued el Kobi	id=g:2491589
Oued Kob en Nekeh	id=g:2491590
Oued el Kobeïra	id=g:2491591
Draa el Kobbi	id=g:2491592
Teniet Knoukhene	id=g:2491593
’Aïn Knifid	id=g:2491594
Djebel Knif	id=g:2491595
Koudia Kniata	id=g:2491596
Koudiet el Knem	id=g:2491597
Bled el Knateur	id=g:2491598
Mechta Knasbia	id=g:2491599
Bled Knafed el Massaï	id=g:2491600
Bled Knabedj	id=g:2491601
Djebel Kmiti	id=g:2491602
Mechtet Kmedjiya	id=g:2491603
Djebel Kmarou	id=g:2491604
Ras el Kmakem	id=g:2491605
Kloukel	id=g:2491606
Djebel el Kliaa	id=g:2491607
Djebel Klembou	id=g:2491608
Klea	id=g:2491609
Chabet el Klat	id=g:2491610
’Aïn Klamet	id=g:2491611
Oukar el Klakh	id=g:2491612
Teniet el Klakh	id=g:2491613
Oued el Klakh	id=g:2491614
Oued el Klakh	id=g:2491615
Koudiat el Klakh	id=g:2491616
Hassi el Klabia	id=g:2491617
Oued el Kelb	id=g:2491618
Mechraa el Klab	id=g:2491619
Guerinet el Klab	id=g:2491620
Klaa	id=g:2491621
Kissoun	id=g:2491622
Oued Kissir	id=g:2491623
Oued el Kissane	id=g:2491624
Daïet el Kisria	id=g:2491625
Djebel Kirouaou	id=g:2491626
Oued el Kirane	id=g:2491627
Oued Kiouene	id=g:2491628
Feïdjet el Kina	id=g:2491629
Djebel Kimene	id=g:2491630
Oued Kilouiet	id=g:2491631
Erg Kilian	id=g:2491632
Oued Kilane	id=g:2491633
Djebel Kikouina	id=g:2491634
’Aïn Kikeb	id=g:2491635
Oued el Kihal	id=g:2491636
Guerguit el Kihal	id=g:2491637
Djebel el Kihal	id=g:2491638
Aghour el Kifene	id=g:2491639
Djebel Kîfâne en Nsoûr	id=g:2491640
Rous el Kifane	id=g:2491641
Faïd el Kifane	id=g:2491642
Djebel el Kifane	id=g:2491643
’Aïn Kîchoûl	id=g:2491644
Oued Kichnet	id=g:2491645
’Aïn Kichnet	id=g:2491646
Chabet el Kiata	id=g:2491647
Oued el Kiakeb	id=g:2491648
Oudia el Khzim	id=g:2491649
Zemla Khsine	id=g:2491650
Oued el Khrechba	id=g:2491651
Mechtat el Khrarba	id=g:2491652
Khraicia	id=g:2491653
Bled Khozzana	id=g:2491654
Khozzana	id=g:2491655
Oued el Khourdj	id=g:2491656
Nouif el Khour	id=g:2491657
Nif Khour	id=g:2491658
Gour Khounifer	id=g:2491659
Oued Khoundjaa	id=g:2491660
Djebel Khoundjaa	id=g:2491661
Oued el Khoums	id=g:2491662
Djebel el Khouma	id=g:2491663
Djebel el Khouma	id=g:2491664
Arich el Khouma	id=g:2491665
Oued el Khoulet	id=g:2491666
Khoulafa	id=g:2491667
Elb el Khoula	id=g:2491668
Oued el Khoukha	id=g:2491669
Hassi Khouildat	id=g:2491670
Koudiet el Khouidjel	id=g:2491671
Khouidam	id=g:2491672
Daïet Khouiber	id=g:2491673
Oued Khou Hadjar	id=g:2491674
’Aïn el Khoubibiza	id=g:2491675
Daïet Khoubeïbiza	id=g:2491676
Bir el Khoubbana	id=g:2491677
Oued Khouat Mazit	id=g:2491678
Khouat Mazit	id=g:2491679
Oued Khoua Rouba	id=g:2491680
Oued Khouane	id=g:2491681
Khoualfia	id=g:2491682
Oued Khou Ahmed Ben Nasseur	id=g:2491683
Khoua en Naama	id=g:2491684
Teniet Khouabi	id=g:2491685
Oued el Khouabi	id=g:2491686
Oued Khouabi	id=g:2491687
Chebket Khouabi	id=g:2491688
Oued el Khoua	id=g:2491689
Hassi el Khoua	id=g:2491690
Daïet el Khoua	id=g:2491691
Oued Khosni	id=g:2491692
Djebel Khosni	id=g:2491693
Oued Khorobchia	id=g:2491694
Djebel Khorfet	id=g:2491695
’Aïn Khorfa	id=g:2491696
Teniet el Khorchef	id=g:2491697
Rous el Khorchef	id=g:2491698
Khorb Zenagui	id=g:2491699
Oued Khorb el Ethel	id=g:2491700
Khorb el Ethel	id=g:2491701
Khorbane Bou Saïd	id=g:2491702
Koudia Khoptane	id=g:2491703
Hassi el Khomiri	id=g:2491704
Arich el Khomiri	id=g:2491705
Daïet el Kholdjane	id=g:2491706
Daïet el Khodjane	id=g:2491707
Dayet el Khoder	id=g:2491708
Oued el Khochkhana	id=g:2491709
Hassi el Khobna	id=g:2491710
Bled el Khobna	id=g:2491711
Hassi el Khobiza	id=g:2491712
Khobinet el Behim	id=g:2491713
Theïrat el Khoab	id=g:2491714
Orhroud el Khoab	id=g:2491715
Khneïfissa	id=g:2491716
Rhourd el Khlef	id=g:2491717
Khizrâne	id=g:2491718
Oued el Khit	id=g:2491719
Mechtat el Khissaf	id=g:2491720
Feïdjet el Khis	id=g:2491721
Oued el Khira	id=g:2491722
Hassi Khiouia	id=g:2491723
Oued Khinîkh	id=g:2491724
’Aïn el Khina	id=g:2491725
Gara Khima	id=g:2491726
Draa Khima	id=g:2491727
Draa el Khil	id=g:2491728
Daïet el Khil	id=g:2491729
Mader el Khiheb	id=g:2491730
Ragoubet el Khiene	id=g:2491731
Koudiat el Khiene	id=g:2491732
Gara Khiem	id=g:2491733
Oued Khiechem	id=g:2491734
Djebel Khidid	id=g:2491735
Oued Khicha	id=g:2491736
Hassi el Khib	id=g:2491737
Oued Khiar	id=g:2491738
Hassi Khiar	id=g:2491739
Garet Khiar	id=g:2491740
’Aïn Khiar	id=g:2491741
Ragoubet el Khiane	id=g:2491742
Mergueb el Khianne	id=g:2491743
Margueb el Khiane	id=g:2491744
Gadet el Khial	id=g:2491745
Daïet Khiaber	id=g:2491746
Oued Khezrez et Tahtani	id=g:2491747
Oued Khezrez el Foukani	id=g:2491748
Oued Khezrez	id=g:2491749
Khezouz	id=g:2491750
Draa Khezine es Souf	id=g:2491751
Commune de Khezaras	id=g:2491752
Mkam Khezala	id=g:2491753
Khettamia	id=g:2491754
Khettal el Ouach	id=g:2491755
Oued Khettala	id=g:2491756
Oued el Khetoua	id=g:2491757
Kef el Khetoua	id=g:2491758
Garet el Khetabane	id=g:2491759
Kherzet Boukhors	id=g:2491760
Kherzat ez Zeboudja	id=g:2491761
Kherzat en Nasseur	id=g:2491762
Oued el Kherza	id=g:2491763
Oued el Kherza	id=g:2491764
Oued el Kherza	id=g:2491765
Oued el Kherza	id=g:2491766
Hassi Kherza	id=g:2491767
Dalaat el Kherza	id=g:2491768
Bled Kherza	id=g:2491769
Kef el Khert	id=g:2491770
Koudia Kherroub	id=g:2491771
Aïn Kherroub	id=g:2491772
Hadjrat Kheraza	id=g:2491773
’Aïn Kherraz	id=g:2491774
Commune de Kherrata	id=g:2491775
Kherrata	id=g:2491776
Draa Kheroune	id=g:2491777
Rhourd el Kherouf	id=g:2491778
Oued el Kherouf	id=g:2491779
Oued el Kherouf	id=g:2491780
Oued el Kherouf	id=g:2491781
Oued el Kheroua	id=g:2491782
Oued el Kheroua	id=g:2491783
Oued Kheroua	id=g:2491784
Oued Kheroua	id=g:2491785
Khaouet el Kheroua	id=g:2491786
Hassi el Kheroua	id=g:2491787
Oued Khermane	id=g:2491788
Oued el Kheris	id=g:2491789
Nza el Kherif	id=g:2491790
Kheribkat Mebrouka	id=g:2491791
Kheribkat el Adem	id=g:2491792
Seheb el Kheribkat	id=g:2491793
Kherguet es Seffah	id=g:2491794
Gour el Kherga	id=g:2491795
Haoud el Kherg	id=g:2491796
Bir el Kherfane	id=g:2491797
Sahane el Kherez	id=g:2491798
Kheregab el Djemel	id=g:2491799
Oued el Kherchefa	id=g:2491800
Hammar Khercha	id=g:2491801
’Aïn el Kherbougri	id=g:2491802
Kherbet Mechtat el Hidek	id=g:2491803
Kherbet Maazes	id=g:2491804
Kherbet Lakhdar Ben Saïd	id=g:2491805
Kherbet er Remad	id=g:2491806
Kherbet ed Deba	id=g:2491807
Kherbet des Ben Brahim	id=g:2491808
Kherbet Bel Medani	id=g:2491809
Koudia Kherbat Bibit	id=g:2491810
Kherbacha	id=g:2491811
Bir Kherba Ben Zeroual	id=g:2491812
Resfet el Kherba	id=g:2491813
Oued el Kherba	id=g:2491814
Oued el Kherba	id=g:2491815
Oued el Kherba	id=g:2491816
Oued Kherba	id=g:2491817
Mersa el Krerba	id=g:2491818
Mergueb el Kherba	id=g:2491819
Koudia el Kherba	id=g:2491820
Kef el Kherba	id=g:2491821
Commune de Kherba	id=g:2491822
Bled el Kherba	id=g:2491823
Bled el Kherba	id=g:2491824
Bir el Kherba	id=g:2491825
’Aïn el Kherba	id=g:2491826
’Aïn Kherba	id=g:2491827
’Aïn Kherba	id=g:2491828
Kherba	id=g:2491829
El Amra	id=g:2491830
Kherba	id=g:2491831
Mechta Kherarza	id=g:2491832
Khera Daïa	id=g:2491833
Kherab Derraga	id=g:2491834
Oued Kherab	id=g:2491835
Kef Kherab	id=g:2491836
Hassi Kherab	id=g:2491837
Oued el Khenoucha	id=g:2491838
Redjem Khenntach	id=g:2491839
Teniet el Khennga	id=g:2491840
Koudiat el Khennfous	id=g:2491841
Oued Khenndek ed Deba	id=g:2491842
Bled el Khenndek	id=g:2491843
Oued Khennchech	id=g:2491844
Koudiat Kheniza	id=g:2491845
’Aïn Kheniza	id=g:2491846
Oued Khenissen	id=g:2491847
Kheniguet en Niag	id=g:2491848
Khenigat el Khorbane	id=g:2491849
Hassi el Khenigat	id=g:2491850
Oued Kheniga	id=g:2491851
Kheniga	id=g:2491852
Oued el Khenig	id=g:2491853
Hassi Khenifisa	id=g:2491854
Oued Khenifes	id=g:2491855
Hassi Khenifes	id=g:2491856
Djebel Khenifer	id=g:2491857
Draa Khenguet Lefrad	id=g:2491858
Kheng Bou Abdallah	id=g:2491859
Oued Khênga	id=g:2491860
Bir Khenensa	id=g:2491861
Djebel Kheneg Saïd	id=g:2491862
Koudiat el Kheneg Mta Chebika	id=g:2491863
Kheneg es Souk	id=g:2491864
Kheneg es Souk	id=g:2491865
Oued Kheneg er Roum	id=g:2491866
’Aïn Kheneg en Nader	id=g:2491867
Djebel Kheneg el Lebba	id=g:2491868
Hassi Kheneg el Hadda	id=g:2491869
Oued Kheneg el Bel	id=g:2491870
Oued Kheneg el Atrous	id=g:2491871
Kheneg ed Dib	id=g:2491872
Kheneg Azir	id=g:2491873
Khenegat Merzoug	id=g:2491874
Oued el Kheneg	id=g:2491875
Oued el Kheneg	id=g:2491876
Oued el Kheneg	id=g:2491877
Oued Kheneg	id=g:2491878
Mechra el Kheneg	id=g:2491879
Feïdj el Kheneg	id=g:2491880
Djebel Kheneg	id=g:2491881
Djebel Kheneg	id=g:2491882
Djebel Kheneg	id=g:2491883
Aïn el Kheneg	id=g:2491884
’Aïn el Kheneg	id=g:2491885
Kheneg	id=g:2491886
Wilaya de Khenchela	id=g:2491887
Commune de Khenchela	id=g:2491888
Khenchela	id=g:2491889
Rakba Khenâouak	id=g:2491890
Chabet Khenansa	id=g:2491891
Khenannsa	id=g:2491892
Chabet el Khenak	id=g:2491893
Chebket Khenag	id=g:2491894
Khenag	id=g:2491895
Djebel Khenafis	id=g:2491896
Bi’r Khanāfis	id=g:2491897
Bir Khenafis	id=g:2491898
