Mokotibe-Antanimavo	id=g:1058747
Marotsialeha	id=g:1059668
Marotrano	id=g:1059669
Marotony	id=g:1059670
Marotongotra	id=g:1059671
Marotongana	id=g:1059672
Marotondro	id=g:1059673
Marotompona	id=g:1059674
Marotomendry	id=g:1059675
Marotolana	id=g:1059676
Marotolana	id=g:1059677
Marotoko	id=g:1059678
Marotoko	id=g:1059679
Marotoko	id=g:1059680
Marotoko	id=g:1059681
Marotoko	id=g:1059682
Marotoko	id=g:1059683
Marotoko	id=g:1059684
Marotoka	id=g:1059685
Marotoha	id=g:1059686
Marotirana	id=g:1059687
Marotify	id=g:1059688
Maroteza	id=g:1059689
Marotetezana	id=g:1059690
Marotavilo	id=g:1059691
Marotatatsy	id=g:1059692
Marotatatra	id=g:1059693
Tombée de Marotaolana	id=g:1059694
Marotaolana	id=g:1059695
Marotaolana	id=g:1059696
Marotaolana	id=g:1059697
Marotaolana	id=g:1059698
Marotaolana	id=g:1059699
Marotaolana	id=g:1059700
Marotaolana	id=g:1059701
Marotaolana	id=g:1059702
Marotaola	id=g:1059703
Marotaola	id=g:1059704
Marotanora	id=g:1059705
Marotandrano	id=g:1059706
Marotaly	id=g:1059707
Marotaly	id=g:1059708
Marosotro	id=g:1059709
Marosotro	id=g:1059710
Marosoroka	id=g:1059711
Marosoroka	id=g:1059712
Marosoritra	id=g:1059713
Marosondry	id=g:1059714
Marosondry	id=g:1059715
Marosoko	id=g:1059716
Marosokely	id=g:1059717
Marosohy	id=g:1059718
Marosohihy	id=g:1059719
Marosoa-Imady	id=g:1059720
Marosiky	id=g:1059721
Marosiky	id=g:1059722
Marosiky	id=g:1059723
Marosika	id=g:1059724
Marosihanaka	id=g:1059725
Marosifotsa Rivière	id=g:1059726
Marosia	id=g:1059727
Maroseranana	id=g:1059728
Maroseranana	id=g:1059729
Maroseranana	id=g:1059730
Maroseranana	id=g:1059731
Maroseranana	id=g:1059732
Maroseranana	id=g:1059733
Marosely	id=g:1059734
Marosely	id=g:1059735
Marosely	id=g:1059736
Maros’ely	id=g:1059737
Marosely	id=g:1059738
Marosely	id=g:1059739
Marosekatry	id=g:1059740
Marosavoa Sud	id=g:1059741
Marosavoa Nord	id=g:1059742
Marosavoa	id=g:1059743
Marosavoa	id=g:1059744
Marosavoa	id=g:1059745
Marosavea	id=g:1059746
Marosava	id=g:1059747
Marosava	id=g:1059748
Marosatrana	id=g:1059749
Marosarety	id=g:1059750
Marosarandra	id=g:1059751
Marosarandra	id=g:1059752
Marosaraka	id=g:1059753
Marosanja	id=g:1059754
Marosangy	id=g:1059755
Marosampanana	id=g:1059756
Marosampana	id=g:1059757
Marosalazo	id=g:1059758
Alan Marosalaza	id=g:1059759
Marosalaza	id=g:1059760
Marosalala	id=g:1059761
Marosakoana	id=g:1059762
Marosakoana	id=g:1059763
Marosakoana	id=g:1059764
Marosakoakely	id=g:1059765
Farihy Marosakoa	id=g:1059766
Marosakoa	id=g:1059767
Marosakoa	id=g:1059768
Marosakoa	id=g:1059769
Marosakoa	id=g:1059770
Marosakoa	id=g:1059771
Marosakoa	id=g:1059772
Marosakoa	id=g:1059773
Marosakoa	id=g:1059774
Marosakoa	id=g:1059775
Marosakoa	id=g:1059776
Marosakoa	id=g:1059777
Marosakoa	id=g:1059778
Marosakoa	id=g:1059779
Marosakoa	id=g:1059780
Marosakaiza	id=g:1059781
Marosaina	id=g:1059782
Marosahona	id=g:1059783
Marosaho	id=g:1059784
Marosada	id=g:1059785
Maroroy	id=g:1059786
Marorokotra	id=g:1059787
Maroroka	id=g:1059788
Maroroka	id=g:1059789
Maroroka	id=g:1059790
Maroriha	id=g:1059791
Maroria	id=g:1059792
Maroria	id=g:1059793
Maroria	id=g:1059794
Maroratsy Rivière	id=g:1059795
Marorato	id=g:1059796
Marorata	id=g:1059797
Marorano	id=g:1059798
Maroranjo	id=g:1059799
Maroraha Paro	id=g:1059800
Marora	id=g:1059801
Maropiko	id=g:1059802
Maropia Et De Katrafahadia Forest	id=g:1059803
Maropia	id=g:1059804
Maropia	id=g:1059805
Maropia	id=g:1059806
Maropia	id=g:1059807
Maropatsin	id=g:1059808
Maropatsia	id=g:1059809
Maroparasy Rivière	id=g:1059810
Maroparasy	id=g:1059811
Maropapelika	id=g:1059812
Maropapango Rivière	id=g:1059813
Maropapango	id=g:1059814
Maropapango	id=g:1059815
Maropapango	id=g:1059816
Maropapango	id=g:1059817
Maropapango	id=g:1059818
Maropapango	id=g:1059819
Maropapango	id=g:1059820
Maropapango	id=g:1059821
Maropapango	id=g:1059822
Forêt de Maropandra	id=g:1059823
Maropamba	id=g:1059824
Maropamba	id=g:1059825
Maropaky	id=g:1059826
Maropaika	id=g:1059827
Alan Maronono	id=g:1059828
Maronjolava	id=g:1059829
Nosy Maroni	id=g:1059830
Marongolo	id=g:1059831
Tandavan’ i Maroneviky	id=g:1059832
Marondry	id=g:1059833
Marompanahy	id=g:1059834
Maromotso	id=g:1059835
Lohatanjon’ i Maromony	id=g:1059836
Maromontreka	id=g:1059837
Maromoky	id=g:1059838
Maromoky	id=g:1059839
Maromokotsa	id=g:1059840
Maromokotro	id=g:1059841
Maromokotra	id=g:1059842
Maromokotra	id=g:1059843
Maromokotra	id=g:1059844
Maromokotra	id=g:1059845
Maromokotra	id=g:1059846
Maromokotra	id=g:1059847
Maromokotra	id=g:1059848
Maromokotra	id=g:1059849
Maromokotra	id=g:1059850
Maromokotra	id=g:1059851
Maromokotra	id=g:1059852
Maromokotra	id=g:1059853
Maromokotra	id=g:1059854
Maromokotra	id=g:1059855
Maromokora	id=g:1059856
Maromokara	id=g:1059857
Maromoka	id=g:1059858
Maromoka	id=g:1059859
Maromoka	id=g:1059860
Maromitoky	id=g:1059861
Maromitilike	id=g:1059862
Maromitety II	id=g:1059863
Maromitety	id=g:1059864
Maromitety	id=g:1059865
Maromitety	id=g:1059866
Maromitety	id=g:1059867
Maromitety	id=g:1059868
Maromitety	id=g:1059869
Maromitety	id=g:1059870
Maromitety	id=g:1059871
Maromitety	id=g:1059872
Maromitety	id=g:1059873
Maromifofo	id=g:1059874
Maromiety I	id=g:1059875
Maromiditra	id=g:1059876
Maromiandra	id=g:1059877
Maromiandra	id=g:1059878
Maromiandra	id=g:1059879
Maromiandra	id=g:1059880
Maromiandra	id=g:1059881
Maromiandra	id=g:1059882
Maromiandra	id=g:1059883
Maromiandra	id=g:1059884
Maromiandra	id=g:1059885
Maromiandra	id=g:1059886
Maromiandra	id=g:1059887
Maromiandra	id=g:1059888
Maromena	id=g:1059889
Maromena	id=g:1059890
Maromena	id=g:1059891
Maromena	id=g:1059892
Maromena	id=g:1059893
Maromena	id=g:1059894
Maromena	id=g:1059895
Maromena	id=g:1059896
Maromena	id=g:1059897
Maromehy	id=g:1059898
Maromby	id=g:1059899
Maromby	id=g:1059900
Maromby	id=g:1059901
Maromby	id=g:1059902
Maromby	id=g:1059903
Maromby	id=g:1059904
Maromby	id=g:1059905
Maromby	id=g:1059906
Maromby	id=g:1059907
Maromby	id=g:1059908
Marombe	id=g:1059909
Maromavo	id=g:1059910
Maromavo	id=g:1059911
Lac Maromatso	id=g:1059912
Maromasoandro	id=g:1059913
Maromaso	id=g:1059914
Maromaso	id=g:1059915
Maromaso	id=g:1059916
Maromanosoko	id=g:1059917
Lohatanjona Maromanjo	id=g:1059918
Maromanjo	id=g:1059919
Maromanjaka	id=g:1059920
Maromanjaka	id=g:1059921
Maromaniry Rivière	id=g:1059922
Lac Maromaniry	id=g:1059923
Maromaniry	id=g:1059924
Maromaniry	id=g:1059925
Maromaniry	id=g:1059926
Maromaniry	id=g:1059927
Maromaniry	id=g:1059928
Maromaniry	id=g:1059929
Maromaniry	id=g:1059930
Maromanga	id=g:1059931
Maromandia I	id=g:1059932
Maromandia	id=g:1059933
Maromandia	id=g:1059934
Maromandia	id=g:1059935
Maromandia	id=g:1059936
Maromandia	id=g:1059937
Maromandia	id=g:1059938
Maromandia	id=g:1059939
Maromandia	id=g:1059940
Maromandia	id=g:1059941
Maromandia	id=g:1059942
Maromandia	id=g:1059943
Maromandia	id=g:1059944
Maromandia	id=g:1059945
Maromandia	id=g:1059946
Maromandia	id=g:1059947
Maromandia	id=g:1059948
Maromandia	id=g:1059949
Maromandia	id=g:1059950
Maromandalo	id=g:1059951
Maromanaraka	id=g:1059952
Maromanana	id=g:1059953
Maromanana	id=g:1059954
Maromanana	id=g:1059955
Maromana	id=g:1059956
Maromamo	id=g:1059957
Maromalay	id=g:1059958
Maromalandy	id=g:1059959
Maromalandy	id=g:1059960
Maromaitso	id=g:1059961
Maromainty Ruisseau	id=g:1059962
Maromainty Ouest	id=g:1059963
Maromainty Est	id=g:1059964
Maromainty	id=g:1059965
Maromainty	id=g:1059966
Maroly	id=g:1059967
Maroly	id=g:1059968
Marolopatra	id=g:1059969
Marolonaka	id=g:1059970
Marolomato	id=g:1059971
Marololo Atsimo	id=g:1059972
Lac Marololo	id=g:1059973
Marololo	id=g:1059974
Marololo	id=g:1059975
Marololo	id=g:1059976
Marololo	id=g:1059977
Marolokanga	id=g:1059978
Maroloho	id=g:1059979
Pointe Maroloha	id=g:1059980
Maroloha	id=g:1059981
Maroloha	id=g:1059982
Marolofiky	id=g:1059983
Marolo	id=g:1059984
Marolinta	id=g:1059985
Marolinta	id=g:1059986
Marolinta	id=g:1059987
Marolinta	id=g:1059988
Marolinta	id=g:1059989
Maroleotra	id=g:1059990
Maroleono	id=g:1059991
Maroleona	id=g:1059992
Maroleo	id=g:1059993
Maroleo	id=g:1059994
Marolengo	id=g:1059995
Pointe Marolay	id=g:1059996
Marolavo	id=g:1059997
Marolava	id=g:1059998
Marolaona	id=g:1059999
Marolanjana	id=g:1060000
Marolando	id=g:1060001
Marolananana	id=g:1060002
Marolampy	id=g:1060003
Marolambo Rivière	id=g:1060004
Marolambo	id=g:1060005
Marolambo	id=g:1060006
Marolambo	id=g:1060007
Marolambo	id=g:1060008
Marolambo	id=g:1060009
Marolambo	id=g:1060010
Marolakana Ambodivintanona	id=g:1060011
Marolakana	id=g:1060012
Marolakana	id=g:1060013
Marolaka	id=g:1060014
Marolaka	id=g:1060015
Marolaka	id=g:1060016
Lohatanjon’ i Marolahy	id=g:1060017
Marolahy	id=g:1060018
Marolahy	id=g:1060019
Marolahy	id=g:1060020
Marolafika Atsinanana	id=g:1060021
Marokoro	id=g:1060022
Marokoro	id=g:1060023
Marokoriaka	id=g:1060024
Marokongona	id=g:1060025
Marokomony	id=g:1060026
Marokomony	id=g:1060027
Farihy Marokombo	id=g:1060028
Marokoloy Rivière	id=g:1060029
Marokoloy	id=g:1060030
Marokoliva	id=g:1060031
Marokoky	id=g:1060032
Île Marokohira	id=g:1060033
Marokobe	id=g:1060034
Marokobay	id=g:1060035
Marokobay	id=g:1060036
Marokoazy	id=g:1060037
Marokoa	id=g:1060038
Marokivily	id=g:1060039
Marokitrana	id=g:1060040
Marokitoka	id=g:1060041
Marokitay	id=g:1060042
Marokitandra	id=g:1060043
Marokisena	id=g:1060044
Marokira Rivière	id=g:1060045
Marokira	id=g:1060046
Marokira	id=g:1060047
Marokira	id=g:1060048
Marokindro	id=g:1060049
Marokindro	id=g:1060050
Marokibo	id=g:1060051
Marokibo	id=g:1060052
Marokibany Rivière	id=g:1060053
Marokibany Avaratra	id=g:1060054
Marokibany Atsimo	id=g:1060055
Marokibany	id=g:1060056
Marokasy	id=g:1060057
Marokarima	id=g:1060058
Marojoby Ambony	id=g:1060059
Marojoary	id=g:1060060
Marojezy Kely	id=g:1060061
Tangorombohitr’ i Marojezy	id=g:1060062
Tahiry Nanaharin’ i Marojezy	id=g:1060063
Marojezy	id=g:1060064
Marojevo	id=g:1060065
Marojenty	id=g:1060066
Marojao-Ambaravaranala	id=g:1060067
Marojao	id=g:1060068
Marojao	id=g:1060069
Marojano	id=g:1060070
Marojala	id=g:1060071
Marojala	id=g:1060072
Maroilo Ruisseau	id=g:1060073
Maroilo	id=g:1060074
Marohova	id=g:1060075
Marohova	id=g:1060076
Marohotro	id=g:1060077
Marohosotse	id=g:1060078
Marohomby Rivière	id=g:1060079
Marohola	id=g:1060080
Marohoho	id=g:1060081
Marohoho	id=g:1060082
Marohogo Rivière	id=g:1060083
Forêt de Marohogo	id=g:1060084
Marohogo	id=g:1060085
Marohogo	id=g:1060086
Marohogo	id=g:1060087
Maroho	id=g:1060088
Marohitay	id=g:1060089
Lakandrano Marohita	id=g:1060090
Marohita	id=g:1060091
Marohita	id=g:1060092
Marohita	id=g:1060093
Marohita	id=g:1060094
Marohita	id=g:1060095
Marohisana	id=g:1060096
Marohira Avaratra	id=g:1060097
Marohira Atsimo	id=g:1060098
Marohira	id=g:1060099
Marohira	id=g:1060100
Marohira	id=g:1060101
Marohimony	id=g:1060102
Marohery Sud	id=g:1060103
Marohery Avaratra	id=g:1060104
Marohena Rivière	id=g:1060105
Marohazo	id=g:1060106
Marohazo	id=g:1060107
Marohazo	id=g:1060108
Marohazo	id=g:1060109
Marohazo	id=g:1060110
Farihy Marohatay	id=g:1060111
Lohatanjona Marohata	id=g:1060112
Marohasina	id=g:1060113
Marohasina	id=g:1060114
Marohary	id=g:1060115
Maroharonga	id=g:1060116
Maroharona	id=g:1060117
Maroharona	id=g:1060118
Maroharo	id=g:1060119
Marohariva	id=g:1060120
Marohariana	id=g:1060121
Maroharendrina	id=g:1060122
Maroharena	id=g:1060123
Maroharatra	id=g:1060124
Maroharatra	id=g:1060125
Maroharatra	id=g:1060126
Maroharatra	id=g:1060127
Marohara	id=g:1060128
Marohanka	id=g:1060129
Marohandrina	id=g:1060130
Marohambanja	id=g:1060131
Marohala Sud	id=g:1060132
Marohaika	id=g:1060133
Marohady	id=g:1060134
Marogoaika	id=g:1060135
Marogisy	id=g:1060136
Marogisy	id=g:1060137
Marogisa	id=g:1060138
Marogaoma	id=g:1060139
Marofoza	id=g:1060140
Marofoza	id=g:1060141
Marofoza	id=g:1060142
Marofoty	id=g:1060143
Marofoty	id=g:1060144
Marofotsy	id=g:1060145
Marofotsy	id=g:1060146
Marofotsy	id=g:1060147
Marofotsy	id=g:1060148
Marofotsy	id=g:1060149
Marofotsy	id=g:1060150
Marofotra	id=g:1060151
Marofototsy	id=g:1060152
Marofototry	id=g:1060153
Marofototro	id=g:1060154
Lakandrano Marofototra	id=g:1060155
Étang Marofototra	id=g:1060156
Marofototra	id=g:1060157
Marofototra	id=g:1060158
Marofototra	id=g:1060159
Marofototra	id=g:1060160
Marofototra	id=g:1060161
Marofototra	id=g:1060162
Marofototra	id=g:1060163
Marofototra	id=g:1060164
Marofototra	id=g:1060165
Marofototra	id=g:1060166
Marofototra	id=g:1060167
Marofototra	id=g:1060168
Marofototra	id=g:1060169
Marofototra	id=g:1060170
Marofototra	id=g:1060171
Marofototra	id=g:1060172
Marofototra	id=g:1060173
Marofototra	id=g:1060174
Marofototra	id=g:1060175
Marofototra	id=g:1060176
Marofototra	id=g:1060177
Marofototra	id=g:1060178
Marofototra	id=g:1060179
Maroforoha	id=g:1060180
Maroforoha	id=g:1060181
Maroforena	id=g:1060182
Marofonoka Rivière	id=g:1060183
Marofonoka	id=g:1060184
Marofongo	id=g:1060185
Marofohy	id=g:1060186
Marofody	id=g:1060187
Marofody	id=g:1060188
Marofody	id=g:1060189
Marofody	id=g:1060190
Marofody	id=g:1060191
Marofody	id=g:1060192
Marofoa	id=g:1060193
Marofiviky	id=g:1060194
Marofivango	id=g:1060195
Marofisoitra	id=g:1060196
Marofirohane	id=g:1060197
Marofirohana	id=g:1060198
Marofio	id=g:1060199
Marofinaritra	id=g:1060200
Marofinaritra	id=g:1060201
Marofinaritra	id=g:1060202
Marofinaritra	id=g:1060203
Marofilao Rivière	id=g:1060204
Marofilao	id=g:1060205
Marofijery	id=g:1060206
Alan’ i Marofihitsa	id=g:1060207
Marofihitsa	id=g:1060208
Marofiatsaka	id=g:1060209
Marofialy	id=g:1060210
Marofia	id=g:1060211
Marofatsy	id=g:1060212
Marofatotra	id=g:1060213
Marofatitsa	id=g:1060214
Marofatika Nord	id=g:1060215
Marofatika	id=g:1060216
Marofatika	id=g:1060217
Marofatika	id=g:1060218
Marofatana	id=g:1060219
Marofarihy	id=g:1060220
Marofarihy	id=g:1060221
Marofarihy	id=g:1060222
Marofarihy	id=g:1060223
Marofaria	id=g:1060224
Marofany Avaratra	id=g:1060225
Marofany	id=g:1060226
Marofany	id=g:1060227
Marofanony Barihangy	id=g:1060228
Marofano	id=g:1060229
Marofangady	id=g:1060230
Marofangady	id=g:1060231
Marofandroaka	id=g:1060232
Marofandrana	id=g:1060233
Marofandilia	id=g:1060234
Marofandilia	id=g:1060235
Marofamara	id=g:1060236
Marofamara	id=g:1060237
Marodokana	id=g:1060238
Marodinta	id=g:1060239
Marodinta	id=g:1060240
Marodinta	id=g:1060241
Marodinta	id=g:1060242
Marodimaka	id=g:1060243
Marobozy	id=g:1060244
Marobongo	id=g:1060245
Marobojy Rivière	id=g:1060246
Marobojy	id=g:1060247
Maroboaly	id=g:1060248
Maroboaly	id=g:1060249
Maroboa	id=g:1060250
Marobilahy Ouest	id=g:1060251
Marobilahy Est	id=g:1060252
Marobilahy	id=g:1060253
Marobiby	id=g:1060254
Marobiby	id=g:1060255
Marobiby	id=g:1060256
Marobengy	id=g:1060257
Marobengy	id=g:1060258
Marobe	id=g:1060259
Marobe	id=g:1060260
Marobasia	id=g:1060261
Marobaria Rivière	id=g:1060262
Marobaria	id=g:1060263
Marobaria	id=g:1060264
Marobaria	id=g:1060265
Marobanty	id=g:1060266
Marobanty	id=g:1060267
Marobanty	id=g:1060268
Marobakoly	id=g:1060269
Maroaty	id=g:1060270
Maroatody	id=g:1060271
Maroasara	id=g:1060272
Maroasara	id=g:1060273
Maroarivo	id=g:1060274
Maroarina	id=g:1060275
Maroariana	id=g:1060276
Maroara	id=g:1060277
Maroapotony	id=g:1060278
Maroaomby	id=g:1060279
Maroaomby	id=g:1060280
Maroantsoro	id=g:1060281
Mouillage de Maroantsetra	id=g:1060282
Maroantsetra	id=g:1060283
Maroantsaky	id=g:1060284
Maroantova	id=g:1060285
Maroantova	id=g:1060286
Maroantova	id=g:1060287
Maroantibavy	id=g:1060288
Maroantibavy	id=g:1060289
Maroantety	id=g:1060290
Maroantendry	id=g:1060291
Nosy Maroantaly	id=g:1060292
Maroantaka	id=g:1060293
Maroankavy	id=g:1060294
Maroanisoro	id=g:1060295
Lohatanjon’ i Maroangolo	id=g:1060296
Maroangivy	id=g:1060297
Maroangira	id=g:1060298
Maroandro Est	id=g:1060299
Maroandro	id=g:1060300
Maroandriana	id=g:1060301
Maroandravina	id=g:1060302
Maroandravina	id=g:1060303
Maroandnavina	id=g:1060304
Maroandiana	id=g:1060305
Maroandambana	id=g:1060306
Maroanana	id=g:1060307
Maroanakaomby	id=g:1060308
Maroamby	id=g:1060309
Maroambo	id=g:1060310
Maroambihy	id=g:1060311
Maroambihy	id=g:1060312
Maroambay	id=g:1060313
Maroamalona Rivière	id=g:1060314
Maroamalona Rivière	id=g:1060315
Maroamalona	id=g:1060316
Maroamalona	id=g:1060317
Maroamalona	id=g:1060318
Maroamalona	id=g:1060319
Maroamalona	id=g:1060320
Maroamalona	id=g:1060321
Maroamalona	id=g:1060322
Maroaloy	id=g:1060323
Maroaloka	id=g:1060324
Maroalina	id=g:1060325
Maroalika	id=g:1060326
Maroalika	id=g:1060327
Maroalika	id=g:1060328
Maroalika	id=g:1060329
Maroalakely Rivière	id=g:1060330
Maroala	id=g:1060331
Maroala	id=g:1060332
Maroala	id=g:1060333
Maroala	id=g:1060334
Maroala	id=g:1060335
Maroala	id=g:1060336
Maroala	id=g:1060337
Farihy Maroakora	id=g:1060338
Maroakora	id=g:1060339
Maroakomba	id=g:1060340
Maroakoho	id=g:1060341
Maroakoho	id=g:1060342
Baie Maroakiho	id=g:1060343
Maroakao	id=g:1060344
Maroakanja	id=g:1060345
Maroakanga	id=g:1060346
Maroakanga	id=g:1060347
Maroakanga	id=g:1060348
Maroakanga	id=g:1060349
Maroakanga	id=g:1060350
Maroaka	id=g:1060351
Maroahitra	id=g:1060352
Maroafo	id=g:1060353
Maroafo	id=g:1060354
Maroafo	id=g:1060355
Maroadabo Rivière	id=g:1060356
Maroadabokely	id=g:1060357
Maroadabokely	id=g:1060358
Maroadabokely	id=g:1060359
Maroadabo	id=g:1060360
Maroadabo	id=g:1060361
Maroadabo	id=g:1060362
Maroadabo	id=g:1060363
Maroadabo	id=g:1060364
Maroadabo	id=g:1060365
Maroadabo	id=g:1060366
Maroadabo	id=g:1060367
Maroadabe	id=g:1060368
Maroadabe	id=g:1060369
Lembalemban’ i Maroaboaly	id=g:1060370
Maroaboaly	id=g:1060371
Maroaboaly	id=g:1060372
Maroaboaly	id=g:1060373
Maroaboaly	id=g:1060374
Maroaboaly	id=g:1060375
Maroaboaly	id=g:1060376
Maroaboaly	id=g:1060377
Maroaboaly	id=g:1060378
Maroaboaly	id=g:1060379
Maroaboaly	id=g:1060380
Maroaboaly	id=g:1060381
Maroaboaly	id=g:1060382
Plateau de Maroaboal	id=g:1060383
Torak’ i Marjolaine	id=g:1060384
Marizana	id=g:1060385
Marivorondro	id=g:1060386
Marivorano	id=g:1060387
Marivorahona	id=g:1060388
Marivorahona	id=g:1060389
Marivorahona	id=g:1060390
Marivorahona	id=g:1060391
Marivorahona	id=g:1060392
Marivorahona	id=g:1060393
Marivolondro	id=g:1060394
Marivolanitra	id=g:1060395
Marivolanitra	id=g:1060396
Marivolanitra	id=g:1060397
Marivolanitra	id=g:1060398
Marivo Lanitra	id=g:1060399
Marivolanitra	id=g:1060400
Marivolanita	id=g:1060401
Marivohiboka Ruisseau	id=g:1060402
Marivoandriana	id=g:1060403
Marivana	id=g:1060404
Maritampona	id=g:1060405
Maritampona	id=g:1060406
Maritampona	id=g:1060407
Maritampona	id=g:1060408
Maritampona	id=g:1060409
Maritampona	id=g:1060410
Maritampona	id=g:1060411
Maritampona	id=g:1060412
Maritahala	id=g:1060413
Maririny Rivière	id=g:1060414
Maripeno	id=g:1060415
Marintsara	id=g:1060416
Marintampona	id=g:1060417
Marinkofeno	id=g:1060418
Marinkimbizo	id=g:1060419
Toraka Marinier	id=g:1060420
Marindrano	id=g:1060421
Marindonaky	id=g:1060422
Marindaza	id=g:1060423
Marinanga	id=g:1060424
Marimbona	id=g:1060425
Marimbe	id=g:1060426
Marimarina	id=g:1060427
Marimarina	id=g:1060428
Marimarina	id=g:1060429
Marillac	id=g:1060430
Mariliona	id=g:1060431
Marilambo	id=g:1060432
Marikombiasy	id=g:1060433
Marijobe	id=g:1060434
Lac Marijiokery	id=g:1060435
Farihy Marijiobe	id=g:1060436
Marijao	id=g:1060437
Marijao	id=g:1060438
Marigatany	id=g:1060439
Nosy Marify	id=g:1060440
Marifilaly	id=g:1060441
Toraka Marie Eugénie	id=g:1060442
Harandriaka Marie	id=g:1060443
Baie de Maribe	id=g:1060444
Mariarano	id=g:1060445
Mariarano	id=g:1060446
Mariarano	id=g:1060447
Mariarano	id=g:1060448
Mariarano	id=g:1060449
Mariarano	id=g:1060450
Mariarano	id=g:1060451
Mariarano	id=g:1060452
Mariany	id=g:1060453
Mariany	id=g:1060454
Mariany	id=g:1060455
Marianina	id=g:1060456
Marianina	id=g:1060457
Mariandry	id=g:1060458
Marianana	id=g:1060459
Maria	id=g:1060460
Maresaka	id=g:1060461
Marerano	id=g:1060462
Marerano	id=g:1060463
Marerano	id=g:1060464
Marerano	id=g:1060465
Marerano	id=g:1060466
Marerano	id=g:1060467
Marerano	id=g:1060468
Marerano	id=g:1060469
Mareny	id=g:1060470
Mareny	id=g:1060471
Maremana	id=g:1060472
Marelava	id=g:1060473
Marekoto	id=g:1060474
Marefy	id=g:1060475
Marearano	id=g:1060476
Banc Mareana	id=g:1060477
Mardpapango Rivière	id=g:1060478
Maravy II	id=g:1060479
Maravy I	id=g:1060480
Maravoha	id=g:1060481
Maravato	id=g:1060482
Maravato	id=g:1060483
Maratsila	id=g:1060484
Marasoreky	id=g:1060485
Mararano	id=g:1060486
Marantsafa	id=g:1060487
Marantsafa	id=g:1060488
Marangivato	id=g:1060489
Marangidroa	id=g:1060490
Marangibato	id=g:1060491
Marangibato	id=g:1060492
Marangibato	id=g:1060493
Maranebalo	id=g:1060494
Marandry	id=g:1060495
Marandra Rivière	id=g:1060496
Marandrano	id=g:1060497
Marandra	id=g:1060498
Marandra	id=g:1060499
Maranaoha	id=g:1060500
Maranaoha	id=g:1060501
Marana	id=g:1060502
Marampotsy	id=g:1060503
Marampona	id=g:1060504
Maramiandro	id=g:1060505
Marambo	id=g:1060506
Helodrano Marambitsy	id=g:1060507
Marambato	id=g:1060508
Marakova	id=g:1060509
Maraindava	id=g:1060510
Marahitra	id=g:1060511
Marafeno	id=g:1060512
Maraee	id=g:1060513
Maradava	id=g:1060514
Maraboaly	id=g:1060515
Pointe des Maques	id=g:1060516
Pointe des Mapous	id=g:1060517
Mapazatokana	id=g:1060518
Mapay	id=g:1060519
Mapa	id=g:1060520
Mapa	id=g:1060521
Maotaolana	id=g:1060522
Lac Maombe	id=g:1060523
Mantrikiny	id=g:1060524
Mantatsiloza Sud	id=g:1060525
Tobindranon’ i Mantasoa	id=g:1060526
Mantasoa	id=g:1060527
Mantasoa	id=g:1060528
Mantaly	id=g:1060529
Mantalao Ruisseau	id=g:1060530
Manozatsiepoka	id=g:1060531
Manoy	id=g:1060532
Manovasora	id=g:1060533
Manova	id=g:1060534
Manova	id=g:1060535
Manova	id=g:1060536
Manoty	id=g:1060537
Manotongana	id=g:1060538
Manotondrano	id=g:1060539
Manotomboay	id=g:1060540
Manota	id=g:1060541
Manosihosy	id=g:1060542
Manosibohitra	id=g:1060543
Manosara	id=g:1060544
Manory Ambony	id=g:1060545
Manorotrano	id=g:1060546
Manorotoro	id=g:1060547
Manoroka	id=g:1060548
Manorofify	id=g:1060549
Manorita	id=g:1060550
Manorira	id=g:1060551
Manorika	id=g:1060552
Manorihy	id=g:1060553
Manorihy	id=g:1060554
Manorihy	id=g:1060555
Manorengy	id=g:1060556
Manorakanjo	id=g:1060557
Manoraby	id=g:1060558
Nosy Manonoka	id=g:1060559
Manonjona	id=g:1060560
Matsabory Manonja	id=g:1060561
Manonja	id=g:1060562
Manonivo	id=g:1060563
Manonilaza	id=g:1060564
Manongory	id=g:1060565
Manongaroa	id=g:1060566
Manongaroa	id=g:1060567
Manongarivo Ouest	id=g:1060568
Manongarivo Est	id=g:1060569
Alan’ i Manongarivo	id=g:1060570
Alan’ i Manongarivo	id=g:1060571
Manongarivo	id=g:1060572
Manongarivo	id=g:1060573
Manongarivo	id=g:1060574
Manongarivo	id=g:1060575
Manongarivo	id=g:1060576
Manongarivo	id=g:1060577
Manonga	id=g:1060578
Manonga	id=g:1060579
Manonga	id=g:1060580
Manonga	id=g:1060581
Manondro	id=g:1060582
Manompy Avaratra	id=g:1060583
Manompy Atsimo	id=g:1060584
Manompy	id=g:1060585
Manompotena	id=g:1060586
Manompoarivo	id=g:1060587
Manompana	id=g:1060588
Manompana	id=g:1060589
Manometimay	id=g:1060590
Manombo Atsinanana	id=g:1060591
Manombo Atsinanana	id=g:1060592
Manombo Atsinanana	id=g:1060593
Manombo Atsinanana	id=g:1060594
Manombo Atsimo	id=g:1060595
Manomboarivo	id=g:1060596
Manomboarivo	id=g:1060597
Manomboarivo	id=g:1060598
Manombo Antanimena	id=g:1060599
Manombo	id=g:1060600
Manombo	id=g:1060601
Manombo	id=g:1060602
Manombo	id=g:1060603
Manombo	id=g:1060604
Manombo	id=g:1060605
Manombo	id=g:1060606
Manombo	id=g:1060607
Manombo	id=g:1060608
Manombo	id=g:1060609
Manombo	id=g:1060610
