Talisgüite	id=g:3588575
Finca San Ignacio	id=g:3590169
San Ignacio	id=g:3590170
San Ignacio	id=g:3590171
San Ignacio	id=g:3590172
San Ignacio	id=g:3590173
Río Sanicté	id=g:3590174
Finca San Humberto	id=g:3590175
Sanguayabá	id=g:3590176
Hacienda San Gregorio Piedra Parada	id=g:3590177
Labor San Gregorio	id=g:3590178
Finca San Gregorio	id=g:3590179
Finca San Gregorio	id=g:3590180
San Gregorio	id=g:3590181
Sangre de Cristo	id=g:3590182
Río San Gil	id=g:3590183
Cerro San Gil	id=g:3590184
San Gil	id=g:3590185
Hacienda San Germán	id=g:3590186
Municipio de San Gaspar Ixchil	id=g:3590187
San Gaspar Ixchil	id=g:3590188
Cerro San Gaspar	id=g:3590189
San Gaspar	id=g:3590190
Río San Gabriel	id=g:3590191
Municipio de San Gabriel	id=g:3590192
San Gabriel	id=g:3590193
San Gabriel	id=g:3590194
San Gabriel	id=g:3590195
Municipio de San Francisco Zapotitlán	id=g:3590196
San Francisco Zapotitlán	id=g:3590197
San Francisco Verapaz	id=g:3590198
San Francisco Poza Verde	id=g:3590199
Finca San Francisco Pie de la Cuesta	id=g:3590200
Finca San Francisco Pecul	id=g:3590201
Finca San Francisco Montepeque	id=g:3590202
Finca San Francisco Miramar	id=g:3590203
Finca San Francisco Miramar	id=g:3590204
San Francisco Madre Vieja	id=g:3590205
San Francisco Los Hoyos	id=g:3590206
Finca San Francisco Lo de Molina	id=g:3590207
Finca San Francisco La Villita	id=g:3590208
Labor San Francisco La Vega	id=g:3590209
Municipio de San Francisco La Unión	id=g:3590210
Finca San Francisco La Unión	id=g:3590211
Finca San Francisco La Unión	id=g:3590212
San Francisco La Unión	id=g:3590213
San Francisco Las Flores	id=g:3590214
San Francisco La Palma	id=g:3590215
Finca San Francisco La Cruz	id=g:3590216
San Francisco Julaín	id=g:3590217
Municipio de San Francisco El Alto	id=g:3590218
San Francisco El Alto	id=g:3590219
San Francisco de Sales	id=g:3590220
San Francisco del Mar	id=g:3590221
Finca San Francisco Cornejo	id=g:3590222
San Francisco Chuatuj	id=g:3590223
San Francisco Buena Vista	id=g:3590224
Hacienda San Francisco Bella Vista	id=g:3590225
Río San Francisco	id=g:3590226
Río San Francisco	id=g:3590227
Río San Francisco	id=g:3590228
Río San Francisco	id=g:3590229
Río San Francisco	id=g:3590230
Ranchería San Francisco	id=g:3590231
Quebrada San Francisco	id=g:3590232
Municipio de San Francisco	id=g:3590233
Labor San Francisco	id=g:3590234
Hacienda San Francisco	id=g:3590235
Hacienda San Francisco	id=g:3590236
Hacienda San Francisco	id=g:3590237
Hacienda San Francisco	id=g:3590238
Finca San Francisco	id=g:3590239
Finca San Francisco	id=g:3590240
Finca San Francisco	id=g:3590241
Finca San Francisco	id=g:3590242
Finca San Francisco	id=g:3590243
Finca San Francisco	id=g:3590244
Finca San Francisco	id=g:3590245
Finca San Francisco	id=g:3590246
Finca San Francisco	id=g:3590247
Finca San Francisco	id=g:3590248
San Francisco	id=g:3590249
San Francisco	id=g:3590250
San Francisco	id=g:3590251
San Francisco	id=g:3590252
San Francisco	id=g:3590253
San Francisco	id=g:3590254
San Francisco	id=g:3590255
San Francisco	id=g:3590256
San Francisco	id=g:3590257
San Francisco	id=g:3590258
San Francisco	id=g:3590259
San Francisco	id=g:3590260
San Francisco	id=g:3590261
San Francisco	id=g:3590262
San Francisco	id=g:3590263
San Francisco	id=g:3590264
San Francisco	id=g:3590265
San Francisco	id=g:3590266
Finca San Florencio	id=g:3590267
Finca San Fernando	id=g:3590268
Finca San Fernando	id=g:3590269
Finca San Fernando	id=g:3590270
San Fernando	id=g:3590271
San Fernando	id=g:3590272
San Felipe Las Tablas	id=g:3590273
Finca San Felipe Jabillas	id=g:3590274
San Felipe El Viejo	id=g:3590275
San Felipe de Jesús	id=g:3590276
Finca San Felipe Costa Rica	id=g:3590277
Finca San Felipe Costa Rica	id=g:3590278
Quebrada San Felipe	id=g:3590279
Quebrada San Felipe	id=g:3590280
Municipio de San Felipe	id=g:3590281
Finca San Felipe	id=g:3590282
Finca San Felipe	id=g:3590283
Finca San Felipe	id=g:3590284
San Felipe	id=g:3590285
San Felipe	id=g:3590286
San Felipe	id=g:3590287
San Felipe	id=g:3590288
San Felipe	id=g:3590289
Hacienda San Eusebio	id=g:3590290
Finca San Eusebio	id=g:3590291
Finca San Esteban	id=g:3590292
San Esteban	id=g:3590293
San Esteban	id=g:3590294
San Enrique	id=g:3590295
Finca San Elías	id=g:3590296
Finca San Dionisio	id=g:3590297
Finca San Diego Yalpemech	id=g:3590298
Finca San Diego La Danta	id=g:3590299
Finca San Diego Buena Vista	id=g:3590300
Finca San Diego Aurora	id=g:3590301
Río San Diego	id=g:3590302
Riachuelo San Diego	id=g:3590303
Ranchería San Diego	id=g:3590304
Municipio de San Diego	id=g:3590305
Laguna San Diego	id=g:3590306
Finca San Diego	id=g:3590307
Finca San Diego	id=g:3590308
San Diego	id=g:3590309
San Diego	id=g:3590310
San Diego	id=g:3590311
San Diego	id=g:3590312
San Diego	id=g:3590313
Hacienda San Damián	id=g:3590314
Municipio de San Cristóbal Verapaz	id=g:3590315
San Cristóbal Verapaz	id=g:3590316
Municipio de San Cristóbal Totonicapán	id=g:3590317
San Cristóbal Totonicapán	id=g:3590318
San Cristóbal Frontera	id=g:3590319
San Cristóbal El Bajo	id=g:3590320
San Cristóbal El Alto	id=g:3590321
Municipio de San Cristóbal Cucho	id=g:3590322
San Cristóbal Cucho	id=g:3590323
Municipio de San Cristóbal Acasaguastlán	id=g:3590324
San Cristóbal Acasaguastlán	id=g:3590325
Finca San Cristóbal Acapulco	id=g:3590326
Río San Cristóbal	id=g:3590327
Finca San Cristóbal	id=g:3590328
Cerro San Cristóbal	id=g:3590329
San Cristóbal	id=g:3590330
San Cristóbal	id=g:3590331
Cerro San Crispín	id=g:3590332
Riachuelo San Clemente	id=g:3590333
San Clemente	id=g:3590334
San Clemente	id=g:3590335
San Clemente	id=g:3590336
San Clemente	id=g:3590337
San Clemente	id=g:3590338
Hacienda San Cayetano El Pozo	id=g:3590339
Hacienda San Cayetano	id=g:3590340
Finca San Cayetano	id=g:3590341
Finca San Cayetano	id=g:3590342
Finca San Cayetano	id=g:3590343
Finca San Cayetano	id=g:3590344
San Cayetano	id=g:3590345
Municipio de San Carlos Sija	id=g:3590346
San Carlos Sija	id=g:3590347
Finca San Carlos Mirimar	id=g:3590348
Finca San Carlos Miramar	id=g:3590349
Finca San Carlos Miramar	id=g:3590350
Finca San Carlos La Unidad	id=g:3590351
Hacienda San Carlos Flores	id=g:3590352
Finca San Carlos Buena Vista	id=g:3590353
Municipio de San Carlos Alzatate	id=g:3590354
San Carlos Alzatate	id=g:3590355
Río San Carlos	id=g:3590356
Río San Carlos	id=g:3590357
Hacienda San Carlos	id=g:3590358
Hacienda San Carlos	id=g:3590359
Finca San Carlos	id=g:3590360
Finca San Carlos	id=g:3590361
Finca San Carlos	id=g:3590362
Finca San Carlos	id=g:3590363
Finca San Carlos	id=g:3590364
Baños San Carlos	id=g:3590365
San Carlos	id=g:3590366
San Carlos	id=g:3590367
Cola de Pava	id=g:3590368
Hacienda San Caralampio	id=g:3590369
Hacienda San Caralampio	id=g:3590370
Finca Sancapech	id=g:3590371
Río San Buenaventura	id=g:3590372
Finca San Buenaventura	id=g:3590373
San Buenaventura	id=g:3590374
Finca San Bonifacio	id=g:3590375
San Blas	id=g:3590376
San Blas	id=g:3590377
Finca San Bernardo	id=g:3590378
Finca San Bernardo	id=g:3590379
Finca San Bernardo	id=g:3590380
San Bernardo	id=g:3590381
Municipio de San Bernardino	id=g:3590382
Finca San Bernardino	id=g:3590383
San Bernardino	id=g:3590384
Quebrada San Benito	id=g:3590385
Municipio de San Benito	id=g:3590386
Finca San Benito	id=g:3590387
Finca San Benito	id=g:3590388
San Benito	id=g:3590389
San Benito	id=g:3590390
Finca San Basilio	id=g:3590391
Municipio de San Bartolomé Milpas Altas	id=g:3590392
San Bartolomé Milpas Altas	id=g:3590393
Municipio de San Bartolomé Jocotenango	id=g:3590394
San Bartolomé Jocotenango	id=g:3590395
San Bartolomé	id=g:3590396
Municipio de San Bartolo	id=g:3590397
Finca San Bartolo	id=g:3590398
San Bartolo	id=g:3590399
San Bartolo	id=g:3590400
San Bartolo	id=g:3590401
Finca Sanatepéquez	id=g:3590402
Río Sanate	id=g:3590403
Río Sanarate	id=g:3590404
Municipio de Sanarate	id=g:3590405
Sanarate	id=g:3590406
Sanarate	id=g:3590407
Zanjón San Antoñito	id=g:3590408
San Antoñito	id=g:3590409
Finca San Antonio Torola	id=g:3590410
Municipio de San Antonio Suchitepéquez	id=g:3590411
San Antonio Suchitepéquez	id=g:3590412
San Antonio Socorro	id=g:3590413
Finca San Antonio Sintaná	id=g:3590414
San Antonio Sinanché	id=g:3590415
San Antonio Sija	id=g:3590416
Finca San Antonio Siguacán	id=g:3590417
Municipio de San Antonio Sacatepéquez	id=g:3590418
San Antonio Sacatepéquez	id=g:3590419
Finca San Antonio Río Seco	id=g:3590420
Finca San Antonio Petacalapa	id=g:3590421
San Antonio Papaturro	id=g:3590422
Municipio de San Antonio Palopó	id=g:3590423
San Antonio Palopó	id=g:3590424
San Antonio Pajoc	id=g:3590425
Finca San Antonio Pachalí	id=g:3590426
Finca San Antonio Nimá	id=g:3590427
San Antonio Nimá	id=g:3590428
Hacienda San Antonio El Naranjo	id=g:3590429
Finca San Antonio Morazán	id=g:3590430
Labor San Antonio Mirasol	id=g:3590431
San Antonio Miramar	id=g:3590432
San Antonio Limones	id=g:3590433
Finca San Antonio La Unión	id=g:3590434
San Antonio Las Trojes	id=g:3590435
Hacienda San Antonio Las Pilas	id=g:3590436
San Antonio Las Nubes	id=g:3590437
San Antonio Las Lomas	id=g:3590438
Labor San Antonio Las Flores	id=g:3590439
Hacienda San Antonio Las Flores	id=g:3590440
Finca San Antonio Las Flores	id=g:3590441
Finca San Antonio Las Flores	id=g:3590442
San Antonio Las Flores	id=g:3590443
San Antonio Las Flores	id=g:3590444
San Antonio Las Flores	id=g:3590445
Finca San Antonio Las Colinas	id=g:3590446
Municipio de San Antonio La Paz	id=g:3590447
Hacienda San Antonio La Paz	id=g:3590448
San Antonio La Paz	id=g:3590449
San Antonio La Noria	id=g:3590450
Quebrada San Antonio Lajas	id=g:3590451
San Antonio Lajas	id=g:3590452
Finca San Antonio La Ceiba	id=g:3590453
San Antonio Ixtacapa	id=g:3590454
Municipio de San Antonio Ilotenango	id=g:3590455
San Antonio Ilotenango	id=g:3590456
Municipio de San Antonio Huista	id=g:3590457
San Antonio Huista	id=g:3590458
Finca San Antonio Enríquez	id=g:3590459
San Antonio El Sitio	id=g:3590460
Hacienda San Antonio El Silencio	id=g:3590461
Hacienda San Antonio El Perdido	id=g:3590462
San Antonio El Órgano	id=g:3590463
Finca San Antonio El Naranjito	id=g:3590464
San Antonio El Baldío	id=g:3590465
San Antonio El Ángel	id=g:3590466
San Antonio Copón	id=g:3590467
Finca San Antonio Contreras	id=g:3590468
Finca San Antonio Chitalón	id=g:3590469
Finca San Antonio California	id=g:3590470
Finca San Antonio Buenos Aires	id=g:3590471
Labor San Antonio Buena Vista	id=g:3590472
Finca San Antonio Bella Vista	id=g:3590473
Municipio de San Antonio Aguas Calientes	id=g:3590474
San Antonio Aguas Calientes	id=g:3590475
Río San Antonio	id=g:3590476
Río San Antonio	id=g:3590477
Río San Antonio	id=g:3590478
Riachuelo San Antonio	id=g:3590479
Riachuelo San Antonio	id=g:3590480
Quebrada San Antonio	id=g:3590481
Quebrada San Antonio	id=g:3590482
Quebrada San Antonio	id=g:3590483
Quebrada San Antonio	id=g:3590484
Pampa San Antonio	id=g:3590485
Labor San Antonio	id=g:3590486
Labor San Antonio	id=g:3590487
Granja San Antonio	id=g:3590488
Finca San Antonio	id=g:3590489
Finca San Antonio	id=g:3590490
Finca San Antonio	id=g:3590491
Finca San Antonio	id=g:3590492
Finca San Antonio	id=g:3590493
Finca San Antonio	id=g:3590494
Finca San Antonio	id=g:3590495
Finca San Antonio	id=g:3590496
Finca San Antonio	id=g:3590497
Finca San Antonio	id=g:3590498
Finca San Antonio	id=g:3590499
Hacienda San Antonio	id=g:3590500
San Antonio	id=g:3590501
San Antonio	id=g:3590502
San Antonio	id=g:3590503
San Antonio	id=g:3590504
San Antonio	id=g:3590505
San Antonio	id=g:3590506
San Antonio	id=g:3590507
San Antonio	id=g:3590508
San Antonio	id=g:3590509
San Antonio	id=g:3590510
San Antonio	id=g:3590511
San Antonio	id=g:3590512
San Antonio	id=g:3590513
San Antonio	id=g:3590514
San Antonio	id=g:3590515
San Antonio	id=g:3590516
San Antonio	id=g:3590517
San Ángel	id=g:3590518
Municipio de San Andrés Xecul	id=g:3590519
San Andrés Xecul	id=g:3590520
Municipio de San Andrés Villa Seca	id=g:3590521
San Andrés Villa Seca	id=g:3590522
Municipio de San Andrés Semetabaj	id=g:3590523
San Andrés Semetabaj	id=g:3590524
Municipio de San Andrés Sajcabajá	id=g:3590525
San Andrés Sajcabajá	id=g:3590526
Finca San Andrés Osuna	id=g:3590527
Municipio de San Andrés Itzapa	id=g:3590528
San Andrés Itzapa	id=g:3590529
San Andrés Huista	id=g:3590530
San Andrés Chápil	id=g:3590531
San Andrés Ceballos	id=g:3590532
Quebrada San Andrés	id=g:3590533
Municipio de San Andrés	id=g:3590534
Finca San Andrés	id=g:3590535
Finca San Andrés	id=g:3590536
San Andrés	id=g:3590537
San Andrés	id=g:3590538
San Andrés	id=g:3590539
Finca San Alejandro	id=g:3590540
Finca San Alberto La Laguna	id=g:3590541
Sanajabá	id=g:3590542
San Agustín Pacayá	id=g:3590543
Finca San Agustín Las Minas	id=g:3590544
Finca San Agustín Ixtacapa	id=g:3590545
Municipio de San Agustín Acasaguastlán	id=g:3590546
San Agustín Acasaguastlán	id=g:3590547
San Agustín Acasaguastlán	id=g:3590548
Finca San Agustín	id=g:3590549
Finca San Agustín	id=g:3590550
Finca San Agustín	id=g:3590551
San Agustín	id=g:3590552
San Agustín	id=g:3590553
Finca San Adalberto	id=g:3590554
Sanabaj	id=g:3590555
Samux	id=g:3590556
Samurra	id=g:3590557
Sampaquisoy	id=g:3590558
Sampableña	id=g:3590559
Samororo	id=g:3590560
Samororo	id=g:3590561
Samororo	id=g:3590562
Río Samiljá	id=g:3590563
Finca Samiljá	id=g:3590564
Samayí	id=g:3590565
Municipio de Samayac	id=g:3590566
Samayac	id=g:3590567
Samastún	id=g:3590568
Finca Samanzana	id=g:3590569
Río Samalá	id=g:3590570
Samalá	id=g:3590571
Samagi	id=g:3590572
Samac	id=g:3590573
Salvamento	id=g:3590574
Laguna Salvador	id=g:3590575
Quebrada del Salto	id=g:3590576
Río Saltán	id=g:3590577
Saltán	id=g:3590578
Arroyo Sal Si Puedes	id=g:3590579
Sal Si Puedes	id=g:3590580
Salquil	id=g:3590581
Salquil	id=g:3590582
Laguna Salpetén	id=g:3590583
Salpet	id=g:3590584
Salitrón	id=g:3590585
Cerro Salitrillo	id=g:3590586
Río Salitre	id=g:3590587
Salitre	id=g:3590588
Salitre	id=g:3590589
Salitre	id=g:3590590
Salitre	id=g:3590591
Salinas Nueve Cerros	id=g:3590592
Río Salinas	id=g:3590593
Arroyo Salinas	id=g:3590594
Salfate Abajo	id=g:3590595
Río Salfate	id=g:3590596
Quebrada de Salfate	id=g:3590597
Salfate	id=g:3590598
Salfate	id=g:3590599
Zanjón Saleyá	id=g:3590600
Arroyo Salchilá	id=g:3590601
Salchiché	id=g:3590602
Salchicha	id=g:3590603
Municipio de Salcajá	id=g:3590604
Salcajá	id=g:3590605
Río Salbá	id=g:3590606
Río Salayá	id=g:3590607
Salamit	id=g:3590608
Montaña Salamay	id=g:3590609
Salamay	id=g:3590610
Finca Salamá Número Uno	id=g:3590611
Finca Salamá Número Dos	id=g:3590612
Salamacueco	id=g:3590613
Río Salamá	id=g:3590614
Municipio de Salamá	id=g:3590615
Salamá	id=g:3590616
Salam	id=g:3590617
Finca Salaguna	id=g:3590618
Finca Salaguna	id=g:3590619
Zanjón Salado	id=g:3590620
Zanjón Salado	id=g:3590621
Zanjón Salado	id=g:3590622
Río Salado	id=g:3590623
Río Salado	id=g:3590624
Quebrada Salada	id=g:3590625
Laguneta Salada	id=g:3590626
Río Salá	id=g:3590627
Sajul	id=g:3590628
Sajquim	id=g:3590629
Sajnabá	id=g:3590630
Sajcuín	id=g:3590631
Sajcavillá	id=g:3590632
Sajcap	id=g:3590633
Río Sajcabá	id=g:3590634
Quebrada Sajbochol	id=g:3590635
Finca Sajbiná	id=g:3590636
Sajalal	id=g:3590637
Finca Sajacoc	id=g:3590638
Río Sahilá	id=g:3590639
Sahilá	id=g:3590640
Sahatol	id=g:3590641
Saguachil	id=g:3590642
Saguachil	id=g:3590643
Labor Sacutiú	id=g:3590644
Finca Sacuitz	id=g:3590645
Sacuchum	id=g:3590646
Río Sacuá	id=g:3590647
Río Sactzum	id=g:3590648
Sactzum	id=g:3590649
Sactá	id=g:3590650
Sacsuy	id=g:3590651
Sacsiguán	id=g:3590652
Río Sacsí	id=g:3590653
Sacsi	id=g:3590654
Sacruz	id=g:3590655
Sacristal	id=g:3590656
Sacranix	id=g:3590657
Hacienda Sacramento	id=g:3590658
Finca Sacramento	id=g:3590659
Sacramento	id=g:3590660
Sacquitzimaaj	id=g:3590661
Laguna Sacpuy	id=g:3590662
Sacpuy	id=g:3590663
Río Sacpulub	id=g:3590664
Sacpulub	id=g:3590665
Sacpic	id=g:3590666
Finca Sacoyob	id=g:3590667
Saconac	id=g:3590668
Sacoman	id=g:3590669
Sacojito	id=g:3590670
Sacoj	id=g:3590671
Sacocpur	id=g:3590672
Río Sacobá	id=g:3590673
Laguna Sacnab	id=g:3590674
Sacmixit	id=g:3590675
Río Sacluc	id=g:3590676
Sacluc	id=g:3590677
Riachuelo Sachuitz	id=g:3590678
Sachiná	id=g:3590679
Sachichaj	id=g:3590680
Sachaj	id=g:3590681
Río Sacchilá	id=g:3590682
Finca Sacchén	id=g:3590683
Quebrada de Sacbichol	id=g:3590684
Sacbichol	id=g:3590685
Departamento de Sacatepéquez	id=g:3590686
Finca Sacasiguán	id=g:3590687
Sacaretché	id=g:3590688
Municipio de Sacapulas	id=g:3590689
Sacapulas	id=g:3590690
Sacanchaj	id=g:3590691
Sacalá	id=g:3590692
Sacalá	id=g:3590693
Sacaché	id=g:3590694
Río Sacacchab	id=g:3590695
Río Sacabaj	id=g:3590696
Sacaal	id=g:3590697
Sabunul	id=g:3590698
Sabob	id=g:3590699
Sabob	id=g:3590700
Finca Sabijá	id=g:3590701
Finca Sabanetas	id=g:3590702
Sabanetas	id=g:3590703
Sabanetas	id=g:3590704
Sabanetas	id=g:3590705
Sabanetas	id=g:3590706
Finca Sabaneta	id=g:3590707
Sabaneta	id=g:3590708
Sabana Larga	id=g:3590709
Finca Sabana Grande	id=g:3590710
Sabana Grande	id=g:3590711
Sabana Grande	id=g:3590712
Sabana Chiquita	id=g:3590713
Sabana Arriba	id=g:3590714
Sabalpop	id=g:3590715
Quebrada de Sabaliche	id=g:3590716
Sabal	id=g:3590717
Sabail	id=g:3590718
Riachuelo Ruyalquén	id=g:3590719
Río Ruyalpat	id=g:3590720
Río Ruyaloj	id=g:3590721
Río Ruyalgüit	id=g:3590722
Ruyalgüit	id=g:3590723
Río Ruyalché	id=g:3590724
Rustrián	id=g:3590725
Rubeltem	id=g:3590726
Pantano Rubelsuj	id=g:3590727
Montaña Rubelsanto	id=g:3590728
Rubelsaconac	id=g:3590729
Rubelquiché	id=g:3590730
Rubelpec	id=g:3590731
Rubelolom	id=g:3590732
Rubelchoc	id=g:3590733
Finca Roselia	id=g:3590734
Río Rosarito	id=g:3590735
Rosarito	id=g:3590736
Finca Rosario Quezada	id=g:3590737
Finca Rosario Mocá Soto	id=g:3590738
Finca Rosario Grande	id=g:3590739
Finca Rosario Bola de Oro	id=g:3590740
Finca Rosario	id=g:3590741
Rosario	id=g:3590742
Rodriguitos	id=g:3590743
Rodeo Las Lajas	id=g:3590744
Rodeo El Espino	id=g:3590745
Rodeo Alto	id=g:3590746
Río del Rodeo	id=g:3590747
Rodeo	id=g:3590748
Rodeo	id=g:3590749
Quebrada del Rodeíto	id=g:3590750
Rodeíto	id=g:3590751
Roc Nimá	id=g:3590752
Río Rocjá Pemech	id=g:3590753
Arroyo Rocatul	id=g:3590754
Finca Roca Linda	id=g:3590755
Roble Grande	id=g:3590756
Roble Grande	id=g:3590757
Roble Gacho	id=g:3590758
Roble Amarillo	id=g:3590759
Roblarón	id=g:3590760
Roblarón	id=g:3590761
Roblarcito	id=g:3590762
Roblarcito	id=g:3590763
Roblar	id=g:3590764
Río Zarquito	id=g:3590765
Finca Río Zarco Grande	id=g:3590766
Río Zarco	id=g:3590767
Laguneta Río Viejo	id=g:3590768
Río Seco	id=g:3590769
Río Seco	id=g:3590770
Río Santiago	id=g:3590771
Río San Juan	id=g:3590772
Río San Carlos	id=g:3590773
Río Salado	id=g:3590774
Finca Río Polochic	id=g:3590775
Río Pichilingo	id=g:3590776
Río Paz	id=g:3590777
Brazo del Río Ocosito	id=g:3590778
Río Ocho	id=g:3590779
Río Nuevo	id=g:3590780
Río Negro	id=g:3590781
Río Negro	id=g:3590782
Barra del Río Motagua	id=g:3590783
Brazo del Río María Linda	id=g:3590784
Río Manuel	id=g:3590785
Municipio de Río Hondo	id=g:3590786
Río Hondo	id=g:3590787
Río Hondo	id=g:3590788
Río Hondo	id=g:3590789
Río Grande Arriba	id=g:3590790
Río Grande Abajo	id=g:3590791
Río Grande	id=g:3590792
Río Grande	id=g:3590793
Río Frío	id=g:3590794
Río Frío	id=g:3590795
Río de la Virgen	id=g:3590796
Río Cuache	id=g:3590797
Barra del Río Coyolate	id=g:3590798
Río Chiquito	id=g:3590799
Río Chiquito	id=g:3590800
Río Chiquito	id=g:3590801
Municipio de Río Bravo	id=g:3590802
Estación Río Bravo	id=g:3590803
Río Bravo	id=g:3590804
Río Bonito	id=g:3590805
Río Blanco Segundo	id=g:3590806
Municipio de Río Blanco	id=g:3590807
Finca Río Blanco	id=g:3590808
Río Blanco	id=g:3590809
Río Blanco	id=g:3590810
Río Blanco	id=g:3590811
Río Blanco	id=g:3590812
Río Blanco	id=g:3590813
Río Blanco	id=g:3590814
Río Blanco	id=g:3590815
Río Blanco	id=g:3590816
Río Arriba	id=g:3590817
Río Arriba	id=g:3590818
Brazo Río Achiguate	id=g:3590819
Brazo Río Achiguate	id=g:3590820
Rincón Tinajá	id=g:3590821
Rincón Tigre	id=g:3590822
Rincón La Cuesta	id=g:3590823
Rincón Grande	id=g:3590824
Rincón Grande	id=g:3590825
Rincón Grande	id=g:3590826
Rincón El Negrito	id=g:3590827
Rincón de Santa Bárbara	id=g:3590828
Finca Rincón de Pacaya	id=g:3590829
Finca Rincón de Orantes	id=g:3590830
Rincón de María	id=g:3590831
Rincón del Río	id=g:3590832
Rincón de Los Negros	id=g:3590833
Cerro Rincón de Los Cedros	id=g:3590834
Rincón del León	id=g:3590835
Rincón del Burro	id=g:3590836
Rincón de Las Flores	id=g:3590837
Quebrada Rincón de Jesús	id=g:3590838
Finca Rincón de Caballos	id=g:3590839
Rinconcito	id=g:3590840
Rincón Chiquito	id=g:3590841
Hacienda Rincón Alegre	id=g:3590842
Rinconada de Caltó	id=g:3590843
Rincón	id=g:3590844
Rincón	id=g:3590845
Rincón	id=g:3590846
Riachuelo Ribacó	id=g:3590847
Ribacó	id=g:3590848
Río Rialey	id=g:3590849
Rialey	id=g:3590850
Río Rialcoc	id=g:3590851
Riachuelo	id=g:3590852
Riachuelito	id=g:3590853
Retiro	id=g:3590854
Laguna de Retana	id=g:3590855
Municipio de Retalhuleu	id=g:3590856
Departamento de Retalhuleu	id=g:3590857
Retalhuleu	id=g:3590858
Quebrada Resumidero	id=g:3590859
Estación Reposito	id=g:3590860
Quebrada Remudadero	id=g:3590861
Cerro Remudadero	id=g:3590862
Remolino	id=g:3590863
Rejillero	id=g:3590864
Hacienda Reinoso	id=g:3590865
Quebrada del Reguero	id=g:3590866
Refugio	id=g:3590867
Cerro Redondo	id=g:3590868
Cerro Redondo	id=g:3590869
Cerro Redondo	id=g:3590870
Cerro Redondo	id=g:3590871
Cerro Redondo	id=g:3590872
Recuerdo Ocosito	id=g:3590873
Río Recuerdo a Barrios	id=g:3590874
Recuerdo a Barrios	id=g:3590875
Recreo Buena Vista	id=g:3590876
Quebrada del Recibimiento	id=g:3590877
Recibimiento	id=g:3590878
Quebrada Realsiguán	id=g:3590879
Río Realamá	id=g:3590880
Raxrujá	id=g:3590881
Raxquix	id=g:3590882
Cerro Raxón	id=g:3590883
Raxjut	id=g:3590884
Raxanep	id=g:3590885
Raudal Grande	id=g:3590886
Río Rastunyá	id=g:3590887
Quebrada del Rastro	id=g:3590888
Río Raspas	id=g:3590889
Cerro Raspado	id=g:3590890
Quebrada Raspada	id=g:3590891
Zanjón Rascorral	id=g:3590892
Rancho Viejo	id=g:3590893
Rancho Viejo	id=g:3590894
Rancho Viejo	id=g:3590895
Finca Rancho Sentado	id=g:3590896
Finca Rancho San Martín	id=g:3590897
Rancho Quemado	id=g:3590898
Hacienda Rancho María	id=g:3590899
Finca Rancho Los Cedros	id=g:3590900
Finca Rancho Grande	id=g:3590901
Rancho Grande	id=g:3590902
Rancho El Padre	id=g:3590903
Rancho Dulce	id=g:3590904
Rancho de Teja	id=g:3590905
Rancho de Teja	id=g:3590906
Rancho de Teja	id=g:3590907
Rancho de Teja	id=g:3590908
Rancho de Cuero	id=g:3590909
Rancho Bojón	id=g:3590910
Finca Rancho Bella Vista	id=g:3590911
Finca Rancho Alegre	id=g:3590912
Rancho	id=g:3590913
Ramírez	id=g:3590914
Rama de Pino	id=g:3590915
Rama Blanca	id=g:3590916
Río Rajoní	id=g:3590917
Rajoní	id=g:3590918
Rajoní	id=g:3590919
Laguna Raicitas	id=g:3590920
Racantacaj	id=g:3590921
Rabinalá	id=g:3590922
Municipio de Rabinal	id=g:3590923
Rabinal	id=g:3590924
Finca Rabanales	id=g:3590925
Quizachal	id=g:3590926
Río Quixayá	id=g:3590927
Quixal Grande	id=g:3590928
Río Quixal	id=g:3590929
Quixal	id=g:3590930
Laguna Quitasombrero	id=g:3590931
Río Quitacalzón	id=g:3590932
Río Quisil	id=g:3590933
Quisil	id=g:3590934
Río Quiscab	id=g:3590935
Río Quisayá	id=g:3590936
Quisayá	id=g:3590937
Quisaché	id=g:3590938
Quiriguá Viejo	id=g:3590939
Quiriguá	id=g:3590940
Quiriguá	id=g:3590941
Hacienda Quirica	id=g:3590942
Riachuelo Quiquito	id=g:3590943
Quinteros	id=g:3590944
Riachuelo Quintanilla	id=g:3590945
Cerro Quinguaj	id=g:3590946
Quinguá	id=g:3590947
Quinel	id=g:3590948
Quimalá	id=g:3590949
Quimal	id=g:3590950
Quilén Novillo	id=g:3590951
Río Quilá	id=g:3590952
Río Quilá	id=g:3590953
Quilá	id=g:3590954
Zanjón Quijivalá	id=g:3590955
Quiéxaque	id=g:3590956
Hacienda Quien Sabe	id=g:3590957
Río Quiejel	id=g:3590958
Quiejel	id=g:3590959
Punta Quiebra Pescuezo	id=g:3590960
Quichumil	id=g:3590961
Quichelaj	id=g:3590962
Quichejá	id=g:3590963
Departamento del Quiché	id=g:3590964
Río Quibá	id=g:3590965
Quiaquizúyal	id=g:3590966
Quiajolá	id=g:3590967
Quiajchaj	id=g:3590968
Quiacoj	id=g:3590969
Cerro Quiac	id=g:3590970
Volcán de Quezaltepeque	id=g:3590971
Municipio de Quezaltepeque	id=g:3590972
Quezaltepeque	id=g:3590973
Río de Quezada	id=g:3590974
