Arroyo de El Algarrobo	id=g:3685000
Chaparral	id=g:3686781
Chaparral	id=g:3686782
Chaparral	id=g:3686783
Chaparral	id=g:3686784
Chaparral	id=g:3686785
Chaparral	id=g:3686786
Chaparral	id=g:3686787
Chaparral	id=g:3686788
Chaparral	id=g:3686789
Chaparral	id=g:3686790
Chaparral	id=g:3686791
Chaparral	id=g:3686792
Chaparral	id=g:3686793
Chaparral	id=g:3686794
Chapal	id=g:3686795
Chapal	id=g:3686796
Alto Chapada	id=g:3686797
Sapa	id=g:3686798
Chapa	id=g:3686799
Chapa	id=g:3686800
Chapa	id=g:3686801
Brazo Chanzará	id=g:3686802
Bocana Chanzará	id=g:3686803
Quebrada Chanó	id=g:3686804
Changay	id=g:3686805
Chanequía	id=g:3686806
Chancleta	id=g:3686807
Chanaumes	id=g:3686808
Chánares	id=g:3686809
Río Chamusiqueni	id=g:3686810
Cerro Chamuscados	id=g:3686811
Chamuscados	id=g:3686812
Cerro Chamuscado	id=g:3686813
Chamuscada	id=g:3686814
Sierra Chamusa	id=g:3686815
Champán	id=g:3686816
Chamohu	id=g:3686817
Quebrada Chami	id=g:3686818
Chámeza	id=g:3686819
Chámeza	id=g:3686820
Quebrada Chambú	id=g:3686821
Chambú	id=g:3686822
Chambimbal	id=g:3686823
Río Chamberi	id=g:3686824
Chambaré	id=g:3686825
Chambacú	id=g:3686826
Cienaga de Chamba	id=g:3686827
Chamasirrahu	id=g:3686828
Chamarra	id=g:3686829
Chamalito	id=g:3686830
Quebrada Chamaca	id=g:3686831
Chamabuco	id=g:3686832
Chalguayaco	id=g:3686833
Chalchal	id=g:3686834
Chalán	id=g:3686835
Río Chalalbí	id=g:3686836
Chalalbí	id=g:3686837
Río Chájera	id=g:3686838
Río Chajeadó	id=g:3686839
Cerros de Chajeadó	id=g:3686840
Alto Chajeado	id=g:3686841
Chagüí	id=g:3686842
Chaja	id=g:3686843
Laguna La Chaira	id=g:3686844
Chaine	id=g:3686845
Quebrada Chaguicito	id=g:3686846
Río Chagüí	id=g:3686847
Chacuaruco	id=g:3686848
Río Chaguaní	id=g:3686849
Isla de Chaguaní	id=g:3686850
Chaguaní	id=g:3686851
Chaguaní	id=g:3686852
Chagualal	id=g:3686853
Quebrada Chagualá	id=g:3686854
Chaguala	id=g:3686855
Río Chaguaca	id=g:3686856
Chaguaca	id=g:3686857
Quebrada Chagres	id=g:3686858
Chagres	id=g:3686859
Lago Chafurray	id=g:3686860
Chafurray	id=g:3686861
Chafalote	id=g:3686862
Chafalote	id=g:3686863
Río Chadó	id=g:3686864
Caño los Chácharos	id=g:3686865
Chachajo	id=g:3686866
Chachagüí	id=g:3686867
Río Chachafrutal	id=g:3686868
Chácara	id=g:3686869
Quebrada Chacaguaico	id=g:3686870
Chabilonia	id=g:3686871
Isla Ceycen	id=g:3686872
Cevillar	id=g:3686873
Ceuta	id=g:3686874
Cestillal	id=g:3686875
Céspedes	id=g:3686876
Río Cesarito	id=g:3686877
Río Cesar	id=g:3686878
Río Cosar	id=g:3686879
Departamento del Cesar	id=g:3686880
Cuchilla Cesaguaringaca	id=g:3686881
Río Cértegui	id=g:3686882
Cértegui	id=g:3686883
Loma de Cerro Verde	id=g:3686884
Cordillera de Cerro Verde	id=g:3686885
Cordillera Cerros de Piñas	id=g:3686886
Cerro Peralta	id=g:3686887
Cerro Pelado	id=g:3686888
Lomas de Cerro Largo	id=g:3686889
Cuchilla Cerro Largo	id=g:3686890
Cerro Grande	id=g:3686891
Cerro Garzas	id=g:3686892
Ciénaga Cerro de San Antonio	id=g:3686893
Cerro de San Antonio	id=g:3686894
Cerro de San Antonio	id=g:3686895
Cerro de las Flores	id=g:3686896
Cerro de Burgos	id=g:3686897
Isla Cerrochino	id=g:3686898
Quebrada Cerro Bravo	id=g:3686899
Cuchilla de Cerro Azul	id=g:3686900
Cerro Azul	id=g:3686901
Cerro Alto	id=g:3686902
Punta de Cerro	id=g:3686903
Alto del Cerro	id=g:3686904
Cerrito	id=g:3686905
Cerrito	id=g:3686906
Cerrito	id=g:3686907
Cerrito	id=g:3686908
Cerrito	id=g:3686909
Cerrillo	id=g:3686910
Cerro Cerrejón	id=g:3686911
Arroyo Cerrejón	id=g:3686912
Cerrejón	id=g:3686913
Los Cerrajones	id=g:3686914
Cerrado El Papayal	id=g:3686915
Caño Cerrado	id=g:3686916
Boca Cerrada	id=g:3686917
Cerinza	id=g:3686918
Cerinza	id=g:3686919
Cerezal	id=g:3686920
Quebrada Cerete	id=g:3686921
Cereté	id=g:3686922
Cereté	id=g:3686923
Cerco de Piedra	id=g:3686924
Cepitá	id=g:3686925
Cepitá	id=g:3686926
Caño Cepillo	id=g:3686927
Centroamérica	id=g:3686928
Centro América	id=g:3686929
Centro Alegre	id=g:3686930
Centro Alegre	id=g:3686931
Caño del Centro	id=g:3686932
Río Central	id=g:3686933
Cordillera Central	id=g:3686934
Quebrada Centenario	id=g:3686935
Centenario	id=g:3686936
Centenario	id=g:3686937
Alto Cenón	id=g:3686938
Alto Cenizo	id=g:3686939
Cenizo	id=g:3686940
Bocas de Ceniza	id=g:3686941
Ceniza	id=g:3686942
Cenicita	id=g:3686943
Quebrada Celumbí	id=g:3686944
Ciénaga Celosa	id=g:3686945
Celiano Dussán	id=g:3686946
Celestino	id=g:3686947
Celedón	id=g:3686948
Cejalarga	id=g:3686949
Cejal	id=g:3686950
Ceja Grande	id=g:3686951
Ceja Gorda	id=g:3686952
Cañada Ceilan	id=g:3686953
Arroyo Ceilán	id=g:3686954
Ceilán	id=g:3686955
Ceilán	id=g:3686956
Ceilán	id=g:3686957
Ceilán	id=g:3686958
Caño Ceibote	id=g:3686959
Arroyo Ceibote	id=g:3686960
Río Ceibas	id=g:3686961
Ceiba Negra	id=g:3686962
Ceibales	id=g:3686963
Caño Ceibal	id=g:3686964
Ceibal	id=g:3686965
Ceibal	id=g:3686966
Ceibacá	id=g:3686967
Loma Ceiba Arriba	id=g:3686968
Ceiba Arriba	id=g:3686969
Quebrada Ceiba	id=g:3686970
Arroyo Ceiba	id=g:3686971
La Ceiba	id=g:3686972
Ceiba	id=g:3686973
Lomas Cegueroso	id=g:3686974
Salto Cedrón	id=g:3686975
Río Cedro	id=g:3686976
Cuchilla del Cedro	id=g:3686977
Caño El Cedro	id=g:3686978
Caño Cedro	id=g:3686979
Arroyo Cedro	id=g:3686980
Cedro	id=g:3686981
Cedro	id=g:3686982
Cedro	id=g:3686983
Quebrada Cedrito	id=g:3686984
Alto Cedral	id=g:3686985
Cedral	id=g:3686986
Cedral	id=g:3686987
Cedral	id=g:3686988
Cedeño	id=g:3686989
Cedeño	id=g:3686990
Cecilia	id=g:3686991
Cuchilla Cebolleta	id=g:3686992
Cebollal	id=g:3686993
Cuchilla del Cebadero	id=g:3686994
Cebadero	id=g:3686995
Cebadal	id=g:3686996
Cerro Cazueleja	id=g:3686997
Cazuela	id=g:3686998
Cazanare	id=g:3686999
Cerro de Cazaderos	id=g:3687000
Cazadero	id=g:3687001
Cayunda	id=g:3687002
Quebrada Cayumba	id=g:3687003
Cayucao	id=g:3687004
Cayucao	id=g:3687005
Cayo de Palma	id=g:3687006
Cayo Delgado	id=g:3687007
Cayo de La Vieja	id=g:3687008
Cayo de La Tía	id=g:3687009
Quebrada Cayá	id=g:3687010
Quebrada Cavasé	id=g:3687011
Quebrada Cautivo	id=g:3687012
Causarijuno	id=g:3687013
Caurina	id=g:3687014
Río Caurá	id=g:3687015
Quebrada Caunzal	id=g:3687016
Río Caunapí	id=g:3687017
Caunapí	id=g:3687018
Caula	id=g:3687019
Caujaral	id=g:3687020
Cauchitos	id=g:3687021
Cauchera	id=g:3687022
Quebrada Caucayaco	id=g:3687023
Río Caucayá	id=g:3687024
Caucasia	id=g:3687025
Caucasia	id=g:3687026
Caucaseco	id=g:3687027
Río Cauca	id=g:3687028
Departamento del Cauca	id=g:3687029
Caño Cauca	id=g:3687030
Cauca	id=g:3687031
Cauca	id=g:3687032
Quebrada Cauasamoy	id=g:3687033
Raudal Catumare	id=g:3687034
Quebrada Catrú	id=g:3687035
Catrú	id=g:3687036
Río Catripe	id=g:3687037
Ensenada Catripe	id=g:3687038
Catripe	id=g:3687039
Catre	id=g:3687040
Catova	id=g:3687041
Catón	id=g:3687042
Cativo	id=g:3687043
Catival	id=g:3687044
Catival	id=g:3687045
Catín	id=g:3687046
Catesal	id=g:3687047
Caté	id=g:3687048
Catauca	id=g:3687049
Río Catatumbo	id=g:3687050
Catatumbo	id=g:3687051
Quebrada Cataño	id=g:3687052
Catania	id=g:3687053
Catanacuname	id=g:3687054
Lomas de Cataná	id=g:3687055
Ciénaga Catana	id=g:3687056
Catambuco	id=g:3687057
Quebrada Catalina	id=g:3687058
Cuchilla Catalina	id=g:3687059
Ciénaga Catalina	id=g:3687060
Bahía Catalina	id=g:3687061
Catalina	id=g:3687062
Catalina	id=g:3687063
Catalina	id=g:3687064
Catalina	id=g:3687065
Catalina	id=g:3687066
Catalanes	id=g:3687067
Río Cataca	id=g:3687068
Quebrada Casumba	id=g:3687069
Casuarito	id=g:3687070
Quebrada Castro	id=g:3687071
Páramo de Castro	id=g:3687072
Castro	id=g:3687073
Cañada del Castrero	id=g:3687074
Fuerte Castillo Grande	id=g:3687075
Punta Castilletes	id=g:3687076
Castilletes	id=g:3687077
Punta Castillete	id=g:3687078
Castilléros	id=g:3687079
Castillera	id=g:3687080
Punta Castillejo	id=g:3687081
Castillejo	id=g:3687082
Cuchilla Castilleje	id=g:3687083
Castilla La Nueva	id=g:3687084
Castilla La Nueva	id=g:3687085
Castilla	id=g:3687086
Castilla	id=g:3687087
Castel	id=g:3687088
Ciénaga Castañuela	id=g:3687089
Castaño	id=g:3687090
Castañal	id=g:3687091
Castañal	id=g:3687092
Castanal	id=g:3687093
Río Castame	id=g:3687094
Casingui	id=g:3687095
Arroyo Casimira	id=g:3687096
Casimira	id=g:3687097
Caño Casimena	id=g:3687098
Casimeche	id=g:3687099
Kasichi	id=g:3687100
Casical	id=g:3687101
Caño Casibare	id=g:3687102
Caño Casibare	id=g:3687103
Caño Casiabo	id=g:3687104
Caserisito	id=g:3687105
Montañas del Totumo	id=g:3687106
Caserío Sitio	id=g:3687107
Caserío Santa Rita	id=g:3687108
Caserío Ríonegro	id=g:3687109
Caserío Rincon Hondo	id=g:3687110
Caserío Regalito	id=g:3687111
Caserio Pueblo Nuevo	id=g:3687112
Caserío Matapalo	id=g:3687113
Los Altos	id=g:3687114
Hacienda La Sierra	id=g:3687115
Varsovia	id=g:3687116
Caserío La Chamba	id=g:3687117
Caserío Juan Y Medio	id=g:3687118
Caserio El Redil	id=g:3687119
Caserío El Papayo	id=g:3687120
Caserío el Guamal	id=g:3687121
Caserío El Banco	id=g:3687122
Caserío de Los Monos	id=g:3687123
Curimina	id=g:3687124
Caimán	id=g:3687125
Bélgica	id=g:3687126
Río Caserí	id=g:3687127
Caserí	id=g:3687128
Caserí	id=g:3687129
Caseago	id=g:3687130
Playones de Cascrillo	id=g:3687131
Caño Cascarrón	id=g:3687132
Cascarón	id=g:3687133
Cascarilla	id=g:3687134
Raudal Cascal	id=g:3687135
Serranía Cascajosa	id=g:3687136
Río Cascajos	id=g:3687137
Isla Cascajo	id=g:3687138
Arroyo Cascajo	id=g:3687139
Arroyo Cascajo	id=g:3687140
Cascajo	id=g:3687141
Boca Cascajito	id=g:3687142
Cascajero	id=g:3687143
Cascajero	id=g:3687144
Ciénaga Cascajalito	id=g:3687145
Cascajalito	id=g:3687146
Sabanas de Cascajal	id=g:3687147
Punta Cascajal	id=g:3687148
Isla Cascajal	id=g:3687149
Cerro Cascajal	id=g:3687150
Cascajal	id=g:3687151
Cascajal	id=g:3687152
Cascajal	id=g:3687153
Cascajal	id=g:3687154
Cascajal	id=g:3687155
Cascajá	id=g:3687156
Quebrada Cascabelito	id=g:3687157
Río Cascabel	id=g:3687158
Quebrada Cascabel	id=g:3687159
Peñón de Cascabel	id=g:3687160
Arroyo Cascabel	id=g:3687161
Cascabel	id=g:3687162
El Cascabel	id=g:3687163
Casa Verde	id=g:3687164
Casa Verde	id=g:3687165
Casas Viejas	id=g:3687166
Casas Viejas	id=g:3687167
Casa Rubia	id=g:3687168
Casa Piedra	id=g:3687169
Casa Peña	id=g:3687170
Casanueva	id=g:3687171
Río Casanare	id=g:3687172
Departamento de Casanare	id=g:3687173
Boca de Casanare	id=g:3687174
Casanare	id=g:3687175
Casa Mayor	id=g:3687176
Punta Cascajalito	id=g:3687177
Casa Indígena	id=g:3687178
Casafría	id=g:3687179
Casafría	id=g:3687180
Casa de Zinc	id=g:3687181
Casa de Zinc	id=g:3687182
Casa de Teja	id=g:3687183
Casa de Teja	id=g:3687184
Casa de Tabla	id=g:3687185
Casa de Tabla	id=g:3687186
Quebrada Casa de Piedra	id=g:3687187
Casa de Piedra	id=g:3687188
Casa de Lata	id=g:3687189
Casa de las Sabanas	id=g:3687190
El Astillero	id=g:3687191
Casacunte	id=g:3687192
Casacunte	id=g:3687193
Casacolme	id=g:3687194
Casa Coima	id=g:3687195
Casacoima	id=g:3687196
Río Casacará	id=g:3687197
Casacará	id=g:3687198
Cerro de Casablanca	id=g:3687199
Casablanca	id=g:3687200
Casablanca	id=g:3687201
Casablanca	id=g:3687202
Casablanca	id=g:3687203
Casablanca	id=g:3687204
Casa Blanca	id=g:3687205
Casa Blanca	id=g:3687206
Casa Blanca	id=g:3687207
Casablanca	id=g:3687208
Casablanca	id=g:3687209
Casablanca	id=g:3687210
Casablanca	id=g:3687211
Casablanca	id=g:3687212
Casabianca	id=g:3687213
Casabianca	id=g:3687214
Casabe	id=g:3687215
Cayo Casabaja	id=g:3687216
Casabaja	id=g:3687217
Casa Agapito	id=g:3687218
Casa	id=g:3687219
Estero Carvajal	id=g:3687220
Ciénaga de Carvajal	id=g:3687221
Carutal	id=g:3687222
Caño Carurú	id=g:3687223
Alto Caruquia	id=g:3687224
Caño Carupana	id=g:3687225
Carupana	id=g:3687226
Río Cartama	id=g:3687227
Cartago	id=g:3687228
Cartago	id=g:3687229
Cartago	id=g:3687230
Cartago	id=g:3687231
Cartago	id=g:3687232
Cartagenita	id=g:3687233
Refinería de Cartagena	id=g:3687234
Quebrada Cartagena	id=g:3687235
Bahía de Cartagena	id=g:3687236
Acueducto Cartagena	id=g:3687237
Cartagena	id=g:3687238
Cartagena	id=g:3687239
Cartagena	id=g:3687240
Cartagena	id=g:3687241
Cartagena	id=g:3687242
Cartagena	id=g:3687243
Cartagena	id=g:3687244
Cartagena	id=g:3687245
Cartagena	id=g:3687246
Cartagena	id=g:3687247
Carrozas	id=g:3687248
Sabanas de Carroquemado	id=g:3687249
Carrizola	id=g:3687250
Quebrada Carrizales	id=g:3687251
Carrizales	id=g:3687252
Carrizales	id=g:3687253
Río Carrizal	id=g:3687254
Quebrada Carrizal	id=g:3687255
Punta Carrizal	id=g:3687256
Laguna Carrizal	id=g:3687257
Cuchilla de Carrizal	id=g:3687258
Arroyo Carrizal	id=g:3687259
Alto de Carrizal	id=g:3687260
Carrizal	id=g:3687261
Carrizal	id=g:3687262
Carrizal	id=g:3687263
Carrizal	id=g:3687264
Carrizal	id=g:3687265
Carrizal	id=g:3687266
Carrizal	id=g:3687267
Carrizal	id=g:3687268
Carrizal	id=g:3687269
Carrizal	id=g:3687270
Carrizal	id=g:3687271
Carrizal	id=g:3687272
Carrillo	id=g:3687273
Carrillo	id=g:3687274
Arroyo Carreto	id=g:3687275
Carreto	id=g:3687276
Carreto	id=g:3687277
Carreto	id=g:3687278
Carreto	id=g:3687279
Carreto	id=g:3687280
Carreto	id=g:3687281
Carretero	id=g:3687282
Carreteramahana	id=g:3687283
Carretal	id=g:3687284
Carretal	id=g:3687285
Carretal	id=g:3687286
Carretal	id=g:3687287
Carretal	id=g:3687288
Carrero	id=g:3687289
Carrasposo	id=g:3687290
Carrasco	id=g:3687291
Río Carraipía	id=g:3687292
Carraipía	id=g:3687293
Carraípa	id=g:3687294
Carracas	id=g:3687295
Serranía Carpintera	id=g:3687296
Quebrada Carpintero	id=g:3687297
Carpintero	id=g:3687298
Carpintero	id=g:3687299
Carpintero	id=g:3687300
Carpintería	id=g:3687301
Caño La Carpeta	id=g:3687302
Quebrada Carpentería	id=g:3687303
Carorones	id=g:3687304
Carolina	id=g:3687305
Carolina	id=g:3687306
Carolina	id=g:3687307
Carolina	id=g:3687308
Carolina	id=g:3687309
Carolina	id=g:3687310
Carolina	id=g:3687311
Carocito	id=g:3687312
Carnisala	id=g:3687313
Cuchilla Carnicero	id=g:3687314
Caño Carnicerías	id=g:3687315
Carmona	id=g:3687317
Carmen de Viboral	id=g:3687318
Carmen de Viboral	id=g:3687319
Carmen del Magdalena	id=g:3687320
Carmen de Carupa	id=g:3687321
Carmen de Carupa	id=g:3687322
Carmen de Bolívar	id=g:3687323
Carmen de Apicalá	id=g:3687324
Carmen de Apicalá	id=g:3687325
Carmen Abadía	id=g:3687326
Punta Carmen	id=g:3687327
Cuchilla del Carmen	id=g:3687328
Alto del Carmen	id=g:3687329
Alto del Carmen	id=g:3687330
Carmen	id=g:3687331
Carmen	id=g:3687332
Cerro Carmelo	id=g:3687333
Carmelo	id=g:3687334
Carlosama	id=g:3687335
Carlos	id=g:3687336
Carlitos	id=g:3687337
Carito	id=g:3687338
Carito	id=g:3687339
Cariseca	id=g:3687340
Cañada el Cariño	id=g:3687341
Laguna Carimagua	id=g:3687342
Carimagua	id=g:3687343
Río Carilaya	id=g:3687344
Cariguanaso	id=g:3687345
Carichana	id=g:3687346
Punta Caricare	id=g:3687347
Río Caribona	id=g:3687348
Quebrada Caribona	id=g:3687349
Fábrica de Cementos Caribe	id=g:3687350
Caño Caribe	id=g:3687351
Caño Caribe	id=g:3687352
Caño Caribe	id=g:3687353
Cañada el Caribé	id=g:3687354
Caribe	id=g:3687355
Mesa de Caribayona	id=g:3687357
Punta Caribana	id=g:3687358
Cayos de Caribana	id=g:3687359
Bajo Caribana	id=g:3687360
Caño Caribabare	id=g:3687361
Caribabare	id=g:3687362
Cariazul	id=g:3687363
Cargazón	id=g:3687364
Quebrada Cargamanta	id=g:3687365
Cargadero	id=g:3687366
Quebrada Careperro	id=g:3687367
Quebrada Careperro	id=g:3687368
Cerro Careperro	id=g:3687369
Cerro Careperro	id=g:3687370
Cerro Careperro	id=g:3687371
Alto Careperro	id=g:3687372
Alto Careperro	id=g:3687373
Careperro	id=g:3687374
Río Carepa	id=g:3687375
Quebrada Carepa	id=g:3687376
Alto de Carepa	id=g:3687377
Loma Carediablo	id=g:3687378
Cardoza Número Uno	id=g:3687379
Cardoza Número Dos	id=g:3687380
Cardonal	id=g:3687381
Cardonal	id=g:3687382
Cardonal	id=g:3687383
Playones de Cardón	id=g:3687384
Arroyo Cardón	id=g:3687385
El Cardón	id=g:3687386
Gardón	id=g:3687387
Cerro Cardal	id=g:3687388
Carcuel	id=g:3687389
Rio Carchi	id=g:3687390
Hoya del Carchi	id=g:3687391
Carchi	id=g:3687392
Páramo de Carcasí	id=g:3687393
Carcasí	id=g:3687394
Carcasí	id=g:3687395
Cerro Barbuco	id=g:3687396
Carbonero	id=g:3687397
Carbonero	id=g:3687398
Carbonero	id=g:3687399
Cerro Carbonato	id=g:3687400
Carbonalito	id=g:3687401
Cuchilla Carbonal	id=g:3687402
Carbonal	id=g:3687403
Río Carauta	id=g:3687404
Carauta	id=g:3687405
Isla Carauma	id=g:3687406
Raudal Carau	id=g:3687407
Caño Carate	id=g:3687408
Carare Viejo	id=g:3687409
Río Carare	id=g:3687410
Cerro Carare	id=g:3687411
Carare	id=g:3687412
Carare	id=g:3687413
Caraqueño	id=g:3687414
Río Cara-Paraná	id=g:3687415
Laguna Caraño	id=g:3687416
Caño el Caraño	id=g:3687417
Caraño	id=g:3687418
Caño Caranal	id=g:3687419
Caranacoa	id=g:3687420
Caranacoa	id=g:3687421
Caramelo	id=g:3687422
Estación Caramanta	id=g:3687423
Cerro Caramanta	id=g:3687424
Caramante	id=g:3687425
Caramanta	id=g:3687426
Caramanta	id=g:3687427
Caramanta	id=g:3687428
Caramana	id=g:3687429
Laguna Carajú	id=g:3687430
Quebrada Caraguagia	id=g:3687431
Quebrada Cara de Perro	id=g:3687432
Cerro Cara de Perro	id=g:3687433
Cuchilla de Caracristi	id=g:3687434
Quebrada del Caracotal	id=g:3687435
Caracolihueco	id=g:3687436
Arroyo Caracolicito	id=g:3687437
Caracolicito	id=g:3687438
Caracolicito	id=g:3687439
Caracolicito	id=g:3687440
Quebrada Caracolí	id=g:3687441
Loma de Caracolí	id=g:3687442
Ciénaga Caracoli	id=g:3687443
Caracolí	id=g:3687444
San José Caracoli	id=g:3687445
Caracolí	id=g:3687446
Caracolí	id=g:3687447
Caracolí	id=g:3687448
Caracolí	id=g:3687449
Caracolí	id=g:3687450
Caracolí	id=g:3687451
Caracolí	id=g:3687452
Caracolí	id=g:3687453
Caracoles	id=g:3687454
Cerro del Caracol	id=g:3687455
Caño El Caracol	id=g:3687456
Alto Caracol	id=g:3687457
Caracol	id=g:3687458
El Caracol	id=g:3687459
Cabacol	id=g:3687460
Caracasaca	id=g:3687461
Punta Caracas	id=g:3687462
Cuchilla Caracas	id=g:3687463
Caracas	id=g:3687464
Caracas	id=g:3687465
Carcaros	id=g:3687466
Punta Carabela	id=g:3687467
Arroyo Caraballo	id=g:3687468
Caraballo	id=g:3687469
Carabalí	id=g:3687470
Carabalí	id=g:3687471
Arroyo Carabajal	id=g:3687472
Río Cáraba	id=g:3687473
Caquiona	id=g:3687474
Río Cáqueza	id=g:3687475
Cáqueza	id=g:3687476
Cáqueza	id=g:3687477
Caquetal	id=g:3687478
Departamento del Caquetá	id=g:3687479
Capurganá	id=g:3687480
Capuli	id=g:3687481
Capuchino	id=g:3687482
Capricho	id=g:3687483
Alto del Capote	id=g:3687484
Capote	id=g:3687485
Caponera	id=g:3687486
Río Capomá	id=g:3687487
Capitolio	id=g:3687488
Río Capitanes	id=g:3687489
Capitanejo	id=g:3687490
Capitanejo	id=g:3687491
Capitán	id=g:3687492
Capitán	id=g:3687493
Alto Capitalio	id=g:3687494
Cerro Capiro	id=g:3687495
Serrania de Capira	id=g:3687496
Cerro La Capilla	id=g:3687497
Loma de Capigua	id=g:3687498
Cerro Capero	id=g:3687499
Capellanías	id=g:3687500
Capellanía	id=g:3687501
Quebrada Capellana	id=g:3687502
Cerro Caparro	id=g:3687503
Cerro Caparro	id=g:3687504
Caparrapí	id=g:3687505
Caparrapí	id=g:3687506
Capachero	id=g:3687507
Río Capá	id=g:3687508
Río Canuya	id=g:3687509
Alto Canuto	id=g:3687510
Alto Canutillo	id=g:3687511
Canutillo	id=g:3687512
Canutalito	id=g:3687513
Canutal	id=g:3687514
Cañusales	id=g:3687515
Quebrada Cañuelal	id=g:3687516
Cañuelal	id=g:3687517
Caño Canuare	id=g:3687518
Río Canturiana	id=g:3687519
Quebrada Cantores	id=g:3687520
Cerro Cantor	id=g:3687521
Alto Cantor	id=g:3687522
Río Cantino	id=g:3687523
Cantimplora	id=g:3687524
Cuchilla del Cantil	id=g:3687525
El Cantíl	id=g:3687526
Cantera Mahates	id=g:3687527
Cantera	id=g:3687528
Cantera	id=g:3687529
Cantera	id=g:3687530
Cantarrana	id=g:3687531
Cantarrana	id=g:3687532
Cantarrana	id=g:3687533
Hato Cantarrana	id=g:3687534
Cantareira	id=g:3687535
Arroyo Cantaleta	id=g:3687536
Cantaleta	id=g:3687537
Isla de Cantagallo	id=g:3687538
Ciénaga Cantagallo	id=g:3687539
Cantagallo	id=g:3687540
Cantagallo	id=g:3687541
Cantagallo	id=g:3687542
Cantagallo	id=g:3687543
Cantagallar	id=g:3687544
Cantagallal	id=g:3687545
Cantaclaro	id=g:3687546
Cantaclaro	id=g:3687547
Canta Claro	id=g:3687548
Cantaclaro	id=g:3687549
Cerro Cansona	id=g:3687550
Causado	id=g:3687551
Caño Viejo	id=g:3687552
Canotillos	id=g:3687553
Ciénaga Caño Sucio	id=g:3687554
Ciénaga Caño Sucio	id=g:3687555
Caño Seco	id=g:3687556
Caño Rico	id=g:3687557
Caño Rico	id=g:3687558
Caño Prieto	id=g:3687559
Caño Prieto	id=g:3687560
Caño Piedras	id=g:3687561
Caño Balcemuco	id=g:3687562
Punta Cañón	id=g:3687563
Caño Macho	id=g:3687564
Caño Largo	id=g:3687565
Quebrada Caño Hondo	id=g:3687566
Arroyo Caño Hondo	id=g:3687567
Estero Caño Grande	id=g:3687568
Ciénaga Caño Flechal	id=g:3687569
Caño Flecha	id=g:3687570
Ensenada de Caño Dulce	id=g:3687571
Caño Dulce	id=g:3687572
Caño de Palma	id=g:3687573
Caño de Palma	id=g:3687574
Caño de Loro	id=g:3687575
Caño de Lobo	id=g:3687576
Caño de Agua	id=g:3687577
La Lucha	id=g:3687578
Caño Colorado	id=g:3687579
Caño Colorado	id=g:3687580
Quebrada Canocita	id=g:3687581
Caño Ciego	id=g:3687582
Caño Chiquito	id=g:3687583
Caño Camacho	id=g:3687584
Río Canoas	id=g:3687585
Quebrada Canoas	id=g:3687586
Quebrada Canoas	id=g:3687587
Quebrada Canoas	id=g:3687588
Punta Canoas	id=g:3687589
Laguna Canoas	id=g:3687590
Brazo de Canoas	id=g:3687591
Arroyo Canoas	id=g:3687592
Alto Canoas	id=g:3687593
Las Canoas	id=g:3687594
Canoas	id=g:3687595
Canoas	id=g:3687596
Canoa Duque	id=g:3687597
Punta del Caño	id=g:3687598
Cañito Largo	id=g:3687599
Cerro Canimero	id=g:3687600
Canime	id=g:3687601
Cerro Cangrejo	id=g:3687602
Cayo Cangrejo	id=g:3687603
Brazo Cangrejo	id=g:3687604
Cangrejo	id=g:3687605
Isla Cangrejal	id=g:3687606
Canga	id=g:3687607
Quebrada Caneyes	id=g:3687608
Isla Canelo	id=g:3687609
Cerro Canelo	id=g:3687610
Alto Canelas	id=g:3687611
Quebrada La Canelos	id=g:3687612
Río Cane	id=g:3687613
Candilejas	id=g:3687614
Candilejas	id=g:3687615
Playón de Candil	id=g:3687616
Cándido	id=g:3687617
Candelita	id=g:3687618
Candelilla	id=g:3687619
Herrera	id=g:3687620
Candelas	id=g:3687621
Rincón de Candelaria	id=g:3687622
Quebrada Candelaria	id=g:3687623
Punta Candelaria	id=g:3687624
Playa Candelaria	id=g:3687625
Ciénaga Candelaria	id=g:3687626
Caño La Candelaria	id=g:3687627
Cañada La Candelaria	id=g:3687628
Boca Candelaria	id=g:3687629
Bahía Candelaria	id=g:3687630
Arroyo Candelaria	id=g:3687631
Candelaria	id=g:3687632
Candelaria	id=g:3687633
Candelaria	id=g:3687634
Candelaria	id=g:3687635
Candelaria	id=g:3687636
Candelaria	id=g:3687637
Candelaria	id=g:3687638
Candelaria	id=g:3687639
Candelaria	id=g:3687640
Candelaria	id=g:3687641
Candelaria	id=g:3687642
Candelaria	id=g:3687643
Candelaria	id=g:3687644
Candelaria	id=g:3687645
Candelaria	id=g:3687646
Candelaria	id=g:3687647
Sierra Candela	id=g:3687648
Río Candela	id=g:3687649
Caño Candela	id=g:3687650
Arroyo Candela	id=g:3687651
Candebá	id=g:3687652
Punta Candé	id=g:3687653
Alto Cancharazo	id=g:3687654
Canavita	id=g:3687655
Cañaveralito	id=g:3687656
Quebrada Cañaverales	id=g:3687657
Quebrada Cañaverales	id=g:3687658
Cañaverales	id=g:3687659
Cañaverales	id=g:3687660
Cañaverales	id=g:3687661
Cañaverales	id=g:3687662
Cañaveralejo	id=g:3687663
Río Cañaveral	id=g:3687664
Punta Cañaveral	id=g:3687665
Cañaveral	id=g:3687666
Cañaveral	id=g:3687667
Cañaveral	id=g:3687668
Cañaveral	id=g:3687669
Cañaveral	id=g:3687670
Cañaveral	id=g:3687671
