Nyiti	id=g:2328436
Ndaforo Dutse	id=g:2329369
Ndaforo	id=g:2329370
Nda Ekom	id=g:2329371
Ndadoko	id=g:2329372
Ndadoko	id=g:2329373
Ndackchetama	id=g:2329374
Ndachemomon	id=g:2329375
Ndachejiya	id=g:2329376
Ndachejiya	id=g:2329377
Ndache	id=g:2329378
Ndabashi	id=g:2329379
Ndabanzil	id=g:2329380
Ndabakora	id=g:2329381
Ndaba	id=g:2329382
Ndaba	id=g:2329383
Nchoko	id=g:2329384
Nchina	id=g:2329385
Nchanabua	id=g:2329386
Nbon	id=g:2329387
Nboha	id=g:2329388
Nbela	id=g:2329389
Nbaume	id=g:2329390
Nbara	id=g:2329391
Nbangunya Peak	id=g:2329392
Nbaga	id=g:2329393
Nbadeli	id=g:2329394
Nbada	id=g:2329395
Naze	id=g:2329396
Nayinawa	id=g:2329397
Nayilwa	id=g:2329398
Nawaranti	id=g:2329399
Nawai	id=g:2329400
Nauya	id=g:2329401
Naturbe	id=g:2329402
Natubi	id=g:2329403
River Natu	id=g:2329404
Lake Natu	id=g:2329405
Natsu	id=g:2329406
Natsira	id=g:2329407
Natsini	id=g:2329408
Natsa	id=g:2329409
Natirdi Mbulo	id=g:2329410
River Natare	id=g:2329411
Natarbau	id=g:2329412
Nassawa	id=g:2329413
Nassarawo	id=g:2329414
Nassarawo	id=g:2329415
Nassarawo	id=g:2329416
Nassarawo	id=g:2329417
Nassarawo	id=g:2329418
Nassarawan Eggon	id=g:2329419
Nassarawa	id=g:2329420
Nassarawa	id=g:2329421
Nassarawa	id=g:2329422
Nassarawa	id=g:2329423
Nassarawa	id=g:2329424
Nassarawa	id=g:2329425
Nassarawa	id=g:2329426
Nasiri	id=g:2329427
Nasawa	id=g:2329428
Nasawa	id=g:2329429
Nasaru	id=g:2329430
Nasari Hill	id=g:2329431
Nasari	id=g:2329432
Nasari	id=g:2329433
Nasari	id=g:2329434
Nasarawa	id=g:2329435
Nasarawa	id=g:2329436
Nasarawa	id=g:2329437
Nasarawa	id=g:2329438
Nasarawa	id=g:2329439
Nasarawa	id=g:2329440
Nasarawa	id=g:2329441
Nasarawa	id=g:2329442
Nasarawa	id=g:2329443
Nassarawa	id=g:2329444
Baruo Nassarawa	id=g:2329445
Nassarawa	id=g:2329446
Nasarawa	id=g:2329447
Nasarawa	id=g:2329448
Nasarawa	id=g:2329449
Nasarawa	id=g:2329450
Nassarawa	id=g:2329451
Nasarawa	id=g:2329452
Nasami	id=g:2329453
Nasakar	id=g:2329454
Naraguta Hausawa	id=g:2329455
Naraguta Forest Reserve	id=g:2329456
Narabi	id=g:2329457
Narabi	id=g:2329458
Nara	id=g:2329459
Nape	id=g:2329460
Napadna	id=g:2329461
Nanya	id=g:2329462
Nanka	id=g:2329463
Nani	id=g:2329464
Nanguru	id=g:2329465
Nangere	id=g:2329466
Nangau	id=g:2329467
Nangaba	id=g:2329468
Nandu	id=g:2329469
Nando-Ikem	id=g:2329470
Nando	id=g:2329471
Nando	id=g:2329472
Nanati	id=g:2329473
Nana Creek	id=g:2329474
Namye	id=g:2329475
Namuran	id=g:2329476
Namu	id=g:2329477
Namtari Manga	id=g:2329478
Namtari Kahu	id=g:2329479
Namtari Gurel	id=g:2329480
Namshu	id=g:2329481
Namshi	id=g:2329482
Namiya	id=g:2329483
Nami	id=g:2329484
Namazenga	id=g:2329485
Namatebe	id=g:2329486
Namasibi	id=g:2329487
Namapogu	id=g:2329488
Namangoma	id=g:2329489
Namakomba	id=g:2329490
Nama Gangere	id=g:2329491
Nama Baba	id=g:2329492
Nalomi	id=g:2329493
Nalomi	id=g:2329494
Nalomi	id=g:2329495
Nalode	id=g:2329496
Nallewa	id=g:2329497
Naleji Hill	id=g:2329498
Nalegh	id=g:2329499
Nakwase	id=g:2329500
Nakussi	id=g:2329501
Nakuse	id=g:2329502
Nakupa	id=g:2329503
Nakunda	id=g:2329504
Nakuja	id=g:2329505
Nakpam	id=g:2329506
Nakoshi	id=g:2329507
Nakoda	id=g:2329508
River Nako	id=g:2329509
River Nako	id=g:2329510
Nakibulala	id=g:2329512
Nakeri	id=g:2329513
Nakawa	id=g:2329514
Nakandi	id=g:2329515
Naka	id=g:2329516
Najiri	id=g:2329517
Najira	id=g:2329518
Naji Hill	id=g:2329519
Naiwa	id=g:2329520
Nainawa	id=g:2329521
River Nai	id=g:2329522
Nai	id=g:2329523
Nahutie	id=g:2329524
Nahuta	id=g:2329525
Nahuta	id=g:2329526
Nahuta	id=g:2329527
Nahuta	id=g:2329528
Nahuta	id=g:2329529
Nahuta	id=g:2329530
Nahuchi	id=g:2329531
Nahuchi	id=g:2329532
Nahuche	id=g:2329533
Nahuche	id=g:2329534
Nahuche	id=g:2329535
Nahuche	id=g:2329536
Nahantsi	id=g:2329537
Nahani	id=g:2329538
Nahanga	id=g:2329539
Nahakya	id=g:2329540
Naguin	id=g:2329541
Nagpakuku	id=g:2329542
Nagomi	id=g:2329543
Nagoi	id=g:2329544
Nagofita	id=g:2329545
Nagode	id=g:2329546
Nago	id=g:2329547
Nagh	id=g:2329548
Nageda	id=g:2329549
Naganda	id=g:2329550
Nagana	id=g:2329551
Naga’a	id=g:2329552
Nafuta Sutumi	id=g:2329553
Nafuta	id=g:2329554
Nafuta	id=g:2329555
Nafuta	id=g:2329556
Nafuche	id=g:2329557
Nafuche	id=g:2329558
Naforija	id=g:2329559
Nafori	id=g:2329560
Nafako	id=g:2329561
Nafada	id=g:2329562
Nafada	id=g:2329563
Na-Enin	id=g:2329564
Nadu	id=g:2329565
Nadna	id=g:2329566
River Nadiza	id=g:2329567
Nadeu	id=g:2329568
Nadere	id=g:2329569
Nade	id=g:2329570
Nadare Sarkin Yaki	id=g:2329571
Nadare	id=g:2329572
Nadangu	id=g:2329573
Nachini	id=g:2329574
Nachi	id=g:2329575
Nachi	id=g:2329576
Nachango	id=g:2329577
River Nabwi	id=g:2329578
Nabwi	id=g:2329579
Nabwi	id=g:2329580
Nabure	id=g:2329581
Nabung	id=g:2329582
Nabuhi	id=g:2329583
Nabordo	id=g:2329584
Nabogi	id=g:2329585
Nabi	id=g:2329586
Nabaza	id=g:2329587
Nabayi	id=g:2329588
Nabayi	id=g:2329589
Nabatum	id=g:2329590
Nabatum	id=g:2329591
Nabashi	id=g:2329592
Nabasara	id=g:2329593
River Nabarinyo	id=g:2329594
Nabanga	id=g:2329595
Nabanawa	id=g:2329596
Nabaguda	id=g:2329597
Nabagaya II	id=g:2329598
Nabagaya I	id=g:2329599
Naasor	id=g:2329600
Naamar	id=g:2329601
Naajime-Iorbee	id=g:2329602
Naabo	id=g:2329603
Mzungu	id=g:2329604
Mzoueh	id=g:2329605
Mzema	id=g:2329606
Mzarmba	id=g:2329607
Myarkibou	id=g:2329608
Myande	id=g:2329609
Mwel	id=g:2329610
Mwel	id=g:2329611
Mwari Hill	id=g:2329612
Mwanze	id=g:2329613
Mvosi	id=g:2329614
Rafin Muzuvo	id=g:2329615
Muzni	id=g:2329616
Muzigiba	id=g:2329617
Muzba	id=g:2329618
River Muza	id=g:2329619
River Muye	id=g:2329620
Muye	id=g:2329621
Muye	id=g:2329622
Muya	id=g:2329623
Muwo	id=g:2329624
Mayo Muvur	id=g:2329625
Muvur	id=g:2329626
Muvidi	id=g:2329627
Muva Hills	id=g:2329628
Muva	id=g:2329629
Muufa	id=g:2329630
Mutwe	id=g:2329631
Mutundaya	id=g:2329632
Mutundaya	id=g:2329633
Mutumji	id=g:2329634
Mutum Daya	id=g:2329635
Mutum Daya	id=g:2329636
Mutumbiyu	id=g:2329637
Mutum Biyu	id=g:2329638
Mutum Biyu	id=g:2329639
Mutuku Hills	id=g:2329640
Mutuku	id=g:2329641
Mutukeil	id=g:2329642
Mutube	id=g:2329643
Mutsi	id=g:2329644
Mutimba	id=g:2329645
Muti	id=g:2329646
Mutaku	id=g:2329647
Mutaku	id=g:2329648
Matajia	id=g:2329649
Mutabari	id=g:2329650
Muta	id=g:2329651
Musuma	id=g:2329652
Musuma	id=g:2329653
Musuda	id=g:2329654
Rafin Mussa	id=g:2329655
River Mussa	id=g:2329656
Dutse Mussa	id=g:2329657
Mussa	id=g:2329658
Masko	id=g:2329659
Mushin	id=g:2329660
Mushi	id=g:2329661
Mushere	id=g:2329662
Dutse Musay	id=g:2329663
Musawa	id=g:2329664
Musawa	id=g:2329665
Musari	id=g:2329666
Musari	id=g:2329667
Masare	id=g:2329668
Musari	id=g:2329669
Musari	id=g:2329670
Musari	id=g:2329671
Musari	id=g:2329672
Musansa Hills	id=g:2329673
Musa	id=g:2329674
Gangara	id=g:2329675
Musa	id=g:2329676
Musa	id=g:2329677
Musa	id=g:2329678
Musa	id=g:2329679
Murya	id=g:2329680
Muruko	id=g:2329681
Murubai	id=g:2329682
Dutsen Murria	id=g:2329683
Muroro	id=g:2329684
Muron	id=g:2329685
Murno	id=g:2329686
Murna Chehu	id=g:2329687
River Murna	id=g:2329688
Murmur	id=g:2329689
Murkuni	id=g:2329690
Murkumchi	id=g:2329691
Murke	id=g:2329692
Murimari	id=g:2329693
Muri Creek	id=g:2329694
Muri	id=g:2329695
Murg	id=g:2329696
Mure	id=g:2329697
Murder Point	id=g:2329698
Murba	id=g:2329699
Murai Hill	id=g:2329700
Murai	id=g:2329701
Murai	id=g:2329702
Murai	id=g:2329703
Murai	id=g:2329704
River Mupu	id=g:2329705
Mupa Upare Hill	id=g:2329706
Muntscheri	id=g:2329707
Muntsare	id=g:2329708
Munsira	id=g:2329709
Munsal	id=g:2329710
Munro Island	id=g:2329711
River Munkimau	id=g:2329712
Muninga	id=g:2329713
Munighakiri	id=g:2329714
Munhaye	id=g:2329715
Mungum	id=g:2329716
Mungu	id=g:2329717
Mungaye	id=g:2329718
Mungadi	id=g:2329719
Munga	id=g:2329720
Munga	id=g:2329721
Munga	id=g:2329722
Munfi	id=g:2329723
Mune	id=g:2329724
Munduro	id=g:2329725
Mundum	id=g:2329726
Mundal	id=g:2329727
Munda	id=g:2329728
Muncika	id=g:2329729
Munafe	id=g:2329730
Muna	id=g:2329731
Muna	id=g:2329732
Mun	id=g:2329733
Mun	id=g:2329734
Mun	id=g:2329735
Mumzu Gova	id=g:2329736
Mumwa Karami	id=g:2329737
Mumuni	id=g:2329738
Mumfi Hamlets	id=g:2329739
Mumagi	id=g:2329740
Mantau	id=g:2329741
River Mum	id=g:2329742
Mulumba Aboki	id=g:2329743
Multe Lawanti	id=g:2329744
Multafu	id=g:2329745
Mulongyang	id=g:2329746
Mulma	id=g:2329747
Mulla Munyungu	id=g:2329748
Mulla	id=g:2329749
Mulkusau	id=g:2329750
Mulke Barikin Sayejo	id=g:2329751
Mulia	id=g:2329752
Muli	id=g:2329753
Mulgwe Mayirima	id=g:2329754
Mulge	id=g:2329755
Mulgai	id=g:2329756
Mulfutu	id=g:2329757
Muleng	id=g:2329758
Mulehe	id=g:2329759
Mule	id=g:2329760
Mule	id=g:2329761
Mulawa	id=g:2329762
Mulas	id=g:2329763
Mulabara	id=g:2329764
Mula	id=g:2329765
Mukwan	id=g:2329766
Mukugi	id=g:2329767
Muku	id=g:2329768
Muktu	id=g:2329769
Muko	id=g:2329770
Muko	id=g:2329771
Mukankaulan Hill	id=g:2329772
Mukaiya	id=g:2329773
Mujuru	id=g:2329774
Mujum Hill	id=g:2329775
Mujo	id=g:2329776
River Muji	id=g:2329777
Muji	id=g:2329778
Muji	id=g:2329779
Muiwa	id=g:2329780
Muhura	id=g:2329781
Muhoi	id=g:2329782
Muhida	id=g:2329783
Mugzil	id=g:2329784
Mugze	id=g:2329785
Kogin Mugza	id=g:2329786
Rafin Mugun Yaro	id=g:2329787
Mugulbu	id=g:2329788
Mugu Hill	id=g:2329789
Mugu	id=g:2329790
Mugrum	id=g:2329791
Mugo	id=g:2329792
Mugi	id=g:2329793
Mugdum	id=g:2329794
Mugdala	id=g:2329795
Mugala	id=g:2329796
River Mugaiki	id=g:2329797
Mugaba	id=g:2329798
Mufio	id=g:2329799
Mufe	id=g:2329800
Mufare Hill	id=g:2329801
Maduru	id=g:2329802
Muduringao	id=g:2329803
Mudumo	id=g:2329804
Mudu	id=g:2329805
Mudon	id=g:2329806
Unguwar Ganji	id=g:2329807
Mude	id=g:2329808
River Mudachi	id=g:2329809
Muda	id=g:2329810
Muda	id=g:2329811
Chironbi Mallamai	id=g:2329812
Muchiti	id=g:2329813
Muchita	id=g:2329814
Muchila	id=g:2329815
Muchia	id=g:2329816
Mucheri	id=g:2329817
Muchala	id=g:2329818
Mu Bogu Hill	id=g:2329819
Dutse Mubilam	id=g:2329820
Mubi	id=g:2329821
Mube	id=g:2329822
Mubba	id=g:2329823
Mubang	id=g:2329824
River Mua	id=g:2329825
Mua	id=g:2329826
River Mu	id=g:2329827
River Mu	id=g:2329828
Mu River	id=g:2329829
Mtswenen	id=g:2329830
Mtswenem	id=g:2329831
Mtsenen	id=g:2329832
Mtsa	id=g:2329833
Mtonom	id=g:2329834
Mtegh	id=g:2329835
Mtan	id=g:2329836
Mtaegher	id=g:2329837
Msondo	id=g:2329838
Mshi	id=g:2329839
Mesa	id=g:2329840
Mpwafi Hill	id=g:2329841
Mpu	id=g:2329842
Mpape	id=g:2329843
Mpangu	id=g:2329844
Mpan	id=g:2329845
Mpamgbenyi	id=g:2329846
Mpam	id=g:2329847
Mozum Forest Reserve	id=g:2329848
Mozum	id=g:2329849
Moze	id=g:2329850
Moyopa	id=g:2329851
Moyin	id=g:2329852
Moye	id=g:2329853
Moyan	id=g:2329854
Moyaladi	id=g:2329855
Moya	id=g:2329856
Mowolowo	id=g:2329857
Mowo Oba	id=g:2329858
Mowo	id=g:2329859
Mowo	id=g:2329861
Mowo	id=g:2329862
Mowe	id=g:2329863
Mowagi	id=g:2329864
Moutu	id=g:2329865
River Mouk	id=g:2329866
Moubom Hill	id=g:2329867
Motunini	id=g:2329868
Motunde	id=g:2329869
Motugi	id=g:2329870
Motosho	id=g:2329871
Motil Peaks	id=g:2329872
Motil Daji	id=g:2329873
Motil	id=g:2329874
Motcheri Hill	id=g:2329875
Motaro	id=g:2329876
Motako	id=g:2329877
Moswa	id=g:2329878
Mosunse	id=g:2329879
Mosunmore	id=g:2329880
Mosunmade	id=g:2329881
Moskara	id=g:2329882
Mosinmi	id=g:2329883
Mosimi	id=g:2329884
Moshi Igbofa Hill	id=g:2329885
River Moshi	id=g:2329886
Moshi	id=g:2329887
Moshi	id=g:2329888
Moshi	id=g:2329889
Mosero	id=g:2329890
Mosere Ikoga	id=g:2329891
River Mosari	id=g:2329892
Mosan	id=g:2329893
Mosan	id=g:2329894
Mosalachi	id=g:2329895
Mosafejo	id=g:2329896
Mosafejo	id=g:2329897
Mosafejo	id=g:2329898
Mosafejo	id=g:2329899
Mosafejo	id=g:2329900
Mosafejo	id=g:2329901
Mosafejo	id=g:2329902
Mosadiolorun	id=g:2329903
Mosa	id=g:2329904
River Morwashi	id=g:2329905
Moru	id=g:2329906
Mortuno	id=g:2329907
Morso	id=g:2329908
Morowona	id=g:2329909
Mororo	id=g:2329910
Morom	id=g:2329911
Morola	id=g:2329912
Moro Bale	id=g:2329913
Moroa Station	id=g:2329914
Moroa	id=g:2329915
River Moro	id=g:2329916
Moro	id=g:2329917
Moro	id=g:2329918
Moringbere	id=g:2329919
Moriki	id=g:2329920
Morenike	id=g:2329921
More	id=g:2329922
Morakinyo	id=g:2329923
Morake Bori	id=g:2329924
Morain Kotonkoro	id=g:2329925
Morai	id=g:2329926
Morai	id=g:2329927
Morai	id=g:2329928
Mopo Onijebu	id=g:2329929
Mopo-Akinlade	id=g:2329930
Mopenifa	id=g:2329931
Mopa	id=g:2329932
Moor Island	id=g:2329933
Moore Point	id=g:2329934
Moore Point	id=g:2329935
Moor Creek	id=g:2329936
Montanaro Point	id=g:2329937
Monlewo	id=g:2329938
Monkwar Hill	id=g:2329939
Monkwar	id=g:2329940
Monkom	id=g:2329941
Monkin	id=g:2329942
Moniya	id=g:2329943
Monikiri	id=g:2329944
Monija	id=g:2329945
Mongonu	id=g:2329946
Monguna Arna Hills	id=g:2329947
Monguna	id=g:2329948
Monguna	id=g:2329949
Mongun	id=g:2329950
Mongu Hausawa	id=g:2329951
Mongu Forest Reserve	id=g:2329952
Mongu Arna	id=g:2329953
River Mongu	id=g:2329954
Mongu	id=g:2329955
Rafin Monda	id=g:2329956
Mona	id=g:2329957
Mona	id=g:2329958
Momodu	id=g:2329959
Momodiko Liman	id=g:2329960
Mombol Hamlets	id=g:2329961
Momba	id=g:2329962
Momadu Bukumiri	id=g:2329963
Moma	id=g:2329964
Molume	id=g:2329965
Molume	id=g:2329966
Molula	id=g:2329967
Molomo	id=g:2329968
Moloko	id=g:2329969
Mologi	id=g:2329970
Molle	id=g:2329971
Moli Hill	id=g:2329972
Molgu	id=g:2329973
Moleyo	id=g:2329974
Molete	id=g:2329975
Molarere	id=g:2329976
Molarere	id=g:2329977
Molaja	id=g:2329978
Molade	id=g:2329979
Mokwagi	id=g:2329980
Mokwa	id=g:2329981
Mokuro	id=g:2329982
Mokunwaje	id=g:2329983
Moku Hills	id=g:2329984
Mokoro Hill	id=g:2329985
Mokore	id=g:2329986
Mokoloki	id=g:2329987
Mokoli	id=g:2329988
Moki	id=g:2329989
Mokholo	id=g:2329990
Mojongo	id=g:2329991
Mojo	id=g:2329992
Mojili	id=g:2329993
Mojebekabe	id=g:2329994
Moi-Igbo	id=g:2329995
Mohono Native Area Forest Reserve	id=g:2329996
Mogu Hill	id=g:2329997
Mogu	id=g:2329998
Mogono	id=g:2329999
Mogolo	id=g:2330000
Mogola	id=g:2330001
Mogo	id=g:2330002
Mogho	id=g:2330003
Mogbon	id=g:2330004
Mogamfo	id=g:2330005
Mogajiya-Metunbi	id=g:2330006
Mogaji	id=g:2330007
Mogaji	id=g:2330008
Mogaji	id=g:2330009
Mogaji	id=g:2330010
Mogaji	id=g:2330011
Mogaji	id=g:2330012
Moga	id=g:2330013
Mofre	id=g:2330014
Mofetokun	id=g:2330015
Moferere	id=g:2330016
Moduroti	id=g:2330017
Modomawa	id=g:2330018
Modomowa	id=g:2330019
Modawa	id=g:2330020
Modo	id=g:2330021
Modire	id=g:2330022
Modina	id=g:2330023
Dutsen Modi Hill	id=g:2330024
Modi	id=g:2330025
Modeya	id=g:2330026
Modem	id=g:2330027
Modakeke	id=g:2330028
Moda	id=g:2330029
Mobushipe	id=g:2330030
Mobolorunduro	id=g:2330031
Mobolorunduro	id=g:2330032
Mobila	id=g:2330033
Mobido	id=g:2330034
Mobi	id=g:2330035
Mobi	id=g:2330036
Moba	id=g:2330037
Moba	id=g:2330038
Moba	id=g:2330039
Moatev	id=g:2330041
Mnyim	id=g:2330043
Mngelum	id=g:2330044
Mngelem	id=g:2330045
Mlaha	id=g:2330046
Mku	id=g:2330047
Mkpumeakwaokoro	id=g:2330048
Mkpu	id=g:2330049
Mkpot Akpankpang	id=g:2330050
Mkpot Isong	id=g:2330051
Mkpor-Agwu	id=g:2330052
Mkpok	id=g:2330053
Mkpauno	id=g:2330054
Mkpatuk	id=g:2330055
Mkpatala	id=g:2330056
Mkpatak	id=g:2330057
Mkpara	id=g:2330058
Nkomo	id=g:2330059
Mki	id=g:2330060
Mkar Hill	id=g:2330061
Mkar	id=g:2330062
Mkaar	id=g:2330063
Mka	id=g:2330064
Mka	id=g:2330065
Mizza	id=g:2330066
Mizhalma	id=g:2330067
Miyatma Hills	id=g:2330068
Miyaduma	id=g:2330069
Miya	id=g:2330070
Miwa Peak	id=g:2330071
Mitim	id=g:2330072
Mitile	id=g:2330073
Mistakuku	id=g:2330074
Missini	id=g:2330075
Missene	id=g:2330076
Missene	id=g:2330077
Misisi	id=g:2330078
Mishen	id=g:2330079
Mishe	id=g:2330080
River Misau	id=g:2330081
Misau	id=g:2330082
Misau	id=g:2330083
Mirohiyo	id=g:2330084
Mirinyi	id=g:2330085
Dutsin Miringa Hill	id=g:2330086
Miringa	id=g:2330087
Miri Miri	id=g:2330088
Mirimafi	id=g:2330089
Miri	id=g:2330090
Miri	id=g:2330091
Minzishu	id=g:2330092
Minya	id=g:2330093
Minya	id=g:2330094
Mintur	id=g:2330095
Mintur	id=g:2330096
Minta	id=g:2330097
Minta	id=g:2330098
Minna Forest Reserve	id=g:2330099
Minna	id=g:2330100
Minkwaigi	id=g:2330101
Minjibir	id=g:2330102
River Minji	id=g:2330103
Minima	id=g:2330104
Minibio	id=g:2330105
Mingidukiri	id=g:2330106
Minga	id=g:2330107
Minduwi	id=g:2330108
Mindi Pella	id=g:2330109
Mindi	id=g:2330110
Mindi	id=g:2330111
Mindi	id=g:2330112
Minde	id=g:2330113
Minda	id=g:2330114
Minchem	id=g:2330115
Minarge	id=g:2330116
Mina River	id=g:2330117
Mimi River	id=g:2330118
Mima	id=g:2330119
Miller Island	id=g:2330120
Miller Island	id=g:2330121
Miliya	id=g:2330122
Milemi	id=g:2330123
Milemi	id=g:2330124
Mildo	id=g:2330125
Milding	id=g:2330126
Milagu	id=g:2330127
Mikwegi	id=g:2330128
Mekiya	id=g:2330129
Mikilinyi	id=g:2330130
Mikerema Hills	id=g:2330131
Mikelem	id=g:2330132
Mike	id=g:2330133
Mika	id=g:2330134
Mijiyawa	id=g:2330135
Mijiwana	id=g:2330136
Mijiwana	id=g:2330137
Mijindaadi	id=g:2330138
Mijili	id=g:2330139
Mijigine	id=g:2330140
Mijidadi	id=g:2330141
Miji Dadi	id=g:2330142
Mijiba	id=g:2330143
Mihawin	id=g:2330144
Mige	id=g:2330145
Miga	id=g:2330146
Mifufurta	id=g:2330147
Midim Ikot Ifang	id=g:2330148
Midim	id=g:2330149
Midilla Peak	id=g:2330150
Midil	id=g:2330151
Middleton River	id=g:2330152
Middle Ground	id=g:2330153
Middle Creek	id=g:2330154
Middle Belt	id=g:2330155
Michiyan Kuka	id=g:2330156
Michika	id=g:2330157
Michi	id=g:2330158
Micheri	id=g:2330159
Michami	id=g:2330160
Michaga	id=g:2330161
Miango	id=g:2330162
Miango	id=g:2330163
Miama	id=g:2330164
Miakpan	id=g:2330165
Miagenji	id=g:2330166
Mhambe	id=g:2330167
Mgwogi	id=g:2330168
Mgbumgangbom	id=g:2330169
Mgbowo	id=g:2330170
Mgbom	id=g:2330171
Mgbidi	id=g:2330172
Mgbege	id=g:2330173
Mgbede Ala	id=g:2330174
Mgbede	id=g:2330175
Metajong	id=g:2330176
Mgbakwu	id=g:2330177
Mgbaukwu	id=g:2330178
Mgbaka (2)	id=g:2330179
Mgbaka (1)	id=g:2330180
Mgbagbu-Umuaji Owa	id=g:2330181
Mgbagbu-Owa	id=g:2330182
Mbabo	id=g:2330183
Mgande	id=g:2330184
Mfuma	id=g:2330185
Mfi	id=g:2330186
Mfamyan	id=g:2330187
Mfamosing	id=g:2330188
Mfamkam	id=g:2330189
Mezomaye Hill	id=g:2330190
Mezeo Clan	id=g:2330191
Meyon	id=g:2330192
River Mew	id=g:2330193
Metu	id=g:2330194
Metsin Kai Hill	id=g:2330195
Metchum	id=g:2330196
Metap	id=g:2330197
Metantan	id=g:2330198
Meshi	id=g:2330199
Mesan	id=g:2330200
Mesaji Hill	id=g:2330201
Mesado	id=g:2330202
Merwa Kura	id=g:2330203
Merwa Gana	id=g:2330204
Mero	id=g:2330205
Merkiu	id=g:2330206
Merinso	id=g:2330207
Merina Pond	id=g:2330208
Meridian Point	id=g:2330209
Meri	id=g:2330210
Mergu	id=g:2330211
Merenyi	id=g:2330212
Mereje	id=g:2330213
Meran	id=g:2330214
Merama	id=g:2330215
Mera	id=g:2330216
Meori	id=g:2330217
Mengel	id=g:2330218
River Minni	id=g:2330219
Mena	id=g:2330220
Memtani	id=g:2330221
Maimakwami	id=g:2330222
Memefu	id=g:2330223
Mellaram	id=g:2330224
Meleri	id=g:2330225
Meleri	id=g:2330226
Meleri	id=g:2330227
Meleri	id=g:2330228
Melenyi	id=g:2330229
Melekauri	id=g:2330230
Mele	id=g:2330231
Mele	id=g:2330232
Mele	id=g:2330233
Melala	id=g:2330234
Melaba	id=g:2330235
Mekworo	id=g:2330236
Mekunwen	id=g:2330237
Mekun	id=g:2330238
Mekuluya	id=g:2330239
Meku	id=g:2330240
Mekkaw	id=g:2330241
Meki	id=g:2330242
Meke	id=g:2330243
Mekaki	id=g:2330244
Mejora	id=g:2330245
Meiki	id=g:2330246
Meika	id=g:2330247
Medugu	id=g:2330248
Megorobe	id=g:2330249
River Megoma	id=g:2330250
Megikitagi	id=g:2330251
Megidaju	id=g:2330252
Megel	id=g:2330253
Mefoworade	id=g:2330254
Mefaru	id=g:2330255
Meelem	id=g:2330256
Medu	id=g:2330257
Medim	id=g:2330258
Mede	id=g:2330259
Mebisere	id=g:2330260
Mebarmi	id=g:2330261
Mde	id=g:2330262
Mbyorvungu	id=g:2330263
Mbya	id=g:2330264
Mbwelli	id=g:2330265
Mbway	id=g:2330266
Mbuvu	id=g:2330267
Mbutu	id=g:2330268
Mbutu	id=g:2330269
Mbuseritoki	id=g:2330270
Mbusa	id=g:2330271
Mburukem	id=g:2330272
Mbouri	id=g:2330273
Mbur	id=g:2330274
Mbuosi	id=g:2330275
Mbuntu	id=g:2330276
Mbu Ntu	id=g:2330277
Mbunti	id=g:2330278
Mbumnga	id=g:2330279
Mbultagu	id=g:2330280
Mbulo Tocha	id=g:2330281
Mbulo Kumbar	id=g:2330282
Mbulo	id=g:2330283
Mbulo	id=g:2330284
Mbulla Kuduga Kura	id=g:2330285
Mbulla Kuduga Gana	id=g:2330286
Mbulu	id=g:2330287
Mbula	id=g:2330288
Mbula	id=g:2330289
Mbukwa	id=g:2330290
Mbukpo Uko Akai	id=g:2330291
Mbukpo Oduobo	id=g:2330292
Mbukpo Eyo Akan	id=g:2330293
Mbukpo Eyima	id=g:2330294
Mbuga	id=g:2330295
Mbubo	id=g:2330296
River Mbuba	id=g:2330297
Mbu	id=g:2330298
Mbowa Paiyagarga	id=g:2330299
Mbowa Murigangaran	id=g:2330300
Mbowa Kura	id=g:2330301
Mbowa Imburbura	id=g:2330302
Mbowa Bulatal	id=g:2330303
Mborowa	id=g:2330304
Mbo River	id=g:2330305
Mbon Ebre	id=g:2330306
Mbombori	id=g:2330307
Mbomara	id=g:2330308
Mbom	id=g:2330309
Mbolonga	id=g:2330310
Mbollena	id=g:2330311
Mboko Umuobo	id=g:2330312
Mboko Umuete	id=g:2330313
Mboko Nta	id=g:2330314
Mboko	id=g:2330315
Mboko	id=g:2330316
Mbok (2)	id=g:2330317
Mbok (1)	id=g:2330318
Mboi Marsh	id=g:2330319
Mbodejam	id=g:2330320
Mbiyar	id=g:2330321
Mbiuto	id=g:2330322
Mbitakwi	id=g:2330323
Mbiri	id=g:2330324
Mbirai	id=g:2330325
Mbiopong	id=g:2330326
Mbiokporo	id=g:2330327
Mbinyang	id=g:2330328
Mbilla	id=g:2330329
Mbilla	id=g:2330330
Mbilla	id=g:2330331
Mbilla	id=g:2330332
Mbilinyi	id=g:2330333
Mbikpong Atai	id=g:2330334
Mbieri	id=g:2330335
Mgbidi	id=g:2330336
Mbiaya	id=g:2330337
Mbiaya	id=g:2330338
Mbiatsu	id=g:2330339
Mbiatok	id=g:2330340
Mbiaso	id=g:2330341
Mbiaso	id=g:2330342
Mbiama	id=g:2330343
Mbiakpan	id=g:2330344
Mbiakpa Ibakesi	id=g:2330345
Mbiakpaba	id=g:2330346
Mbiakot	id=g:2330347
Mbiakong	id=g:2330348
Mbiafun Nkwono	id=g:2330349
Mbiafun	id=g:2330350
Mbiabong Ito	id=g:2330351
Mbiabong-Itam	id=g:2330352
Mbiabong Ikot-Udofia	id=g:2330353
Mbiabong	id=g:2330354
Mbiabo Ikot Edem	id=g:2330355
Mbiabong Etoi	id=g:2330356
