Darreh-ye Morgh Khān	id=g:123271
Mīān Kūh	id=g:124062
Kūh-e Mīānkūh	id=g:124063
Mīān Kūh	id=g:124064
Mīān Kotal	id=g:124065
Mīān Kherreh	id=g:124066
Mīān Kharān	id=g:124067
Mīān Kal	id=g:124068
Mīān Tū	id=g:124069
Kūh-e Mīān Jangal	id=g:124070
Dasteh-ye Zhāndarmerī-ye Mīān Jangal	id=g:124071
Mīāmī	id=g:124072
Mīāngarvarān	id=g:124073
Mīāngaskar	id=g:124074
Mīāngarān-e Soflá	id=g:124075
Mīāngarān-e Soflá	id=g:124076
Mīāngarān-e ‘Olyā	id=g:124077
Shebh-e Jazīreh-ye Mīānkāleh	id=g:124078
Mīān Gāleh	id=g:124079
Mīānej	id=g:124080
Mīāneh-ye Bardangān	id=g:124081
Meyāneh	id=g:124082
Mīāneh	id=g:124083
Mīān Dahān-e ‘Olyā	id=g:124084
Mīāndowāb	id=g:124085
Mīāndow Āb	id=g:124086
Mīāndehī	id=g:124087
Mīāndeh-e Sūn	id=g:124088
Nahr-e Mīān Deh	id=g:124089
Mīāndeh	id=g:124090
Mīān Deh	id=g:124091
Mīān Deh	id=g:124092
Mīān Deh	id=g:124093
Eslāmābād	id=g:124094
Mīāndeh	id=g:124095
Īstgāh-e Mīāndasht	id=g:124096
Mīāndasht	id=g:124097
Mīm Dasht	id=g:124098
Mīān Dasht	id=g:124099
Mīāndasht	id=g:124100
Mīāndasht	id=g:124101
Īstgāh-e Mīān Darreh	id=g:124102
Mīāndarreh	id=g:124103
Mīān Darreh	id=g:124104
Mīān Chīlān	id=g:124105
Mīān Chenār	id=g:124106
Mīān Cheghān	id=g:124107
Mīān Choqā	id=g:124108
Mīān Shāl	id=g:124109
Qal‘eh-ye Mīānchān	id=g:124110
Mīānbā-ye Kūchek	id=g:124111
Mīānbā-ye Bozorg	id=g:124112
Tang-e Mīān Bāshī	id=g:124113
Mīān Band	id=g:124114
Mīānaj	id=g:124115
Mīānābād	id=g:124116
Kūh-e Mīān Āb	id=g:124117
Mīān Āb	id=g:124118
Kūh-e Mīān	id=g:124119
Ḩowz-e Mīān	id=g:124120
Emīāl	id=g:124121
Mīāb	id=g:124122
Meyāb	id=g:124123
Mazrāq	id=g:124124
Meẕrāb	id=g:124125
Mezlāgeh-ye Soflá	id=g:124126
Mezbān	id=g:124127
Rūdkhāneh-ye Mezg	id=g:124128
Mezerj	id=g:124129
Mazjīnī	id=g:124130
Mībarān	id=g:124131
Mayvaleh	id=g:124132
Kūh-e Meysūr	id=g:124133
Qal‘eh-ye Meynūsh	id=g:124134
Meymūneh	id=g:124135
Meymūn Darreh	id=g:124136
Meymūnābād	id=g:124137
Meymūnābād	id=g:124138
Meymanī	id=g:124139
Meymeh	id=g:124141
Meymeh	id=g:124142
Meymeh	id=g:124143
Meymand	id=g:124144
Meymand	id=g:124145
Meymand	id=g:124146
Meymand	id=g:124147
Meymanatābād	id=g:124148
Mīlaq	id=g:124149
Meykhvorān-e Sādāt	id=g:124152
Meykhvorān-e Farmān Farmā	id=g:124153
Meykhvārān-e Moḩammad Şādeq	id=g:124154
Meykhvārān-e Moḩammad Āqā	id=g:124155
Mowdārān	id=g:124156
Meykhāneh	id=g:124157
Kūh-e Meykū	id=g:124158
Meyheh-ye Soflá	id=g:124159
Meyham-e Soflá	id=g:124160
Meyham-e ‘Olyā	id=g:124161
Kūh-e Meyhā	id=g:124162
Meygūn	id=g:124163
Meygosārān	id=g:124164
Meygolī	id=g:124165
Mīqān	id=g:124166
Meyqān	id=g:124167
Meydāvūd-e Pā’īn	id=g:124168
Meydāvūd-e ‘Olyā	id=g:124169
Meydān Ja‘far	id=g:124170
Damāgheh-ye Meydānī	id=g:124171
Ābkūhī	id=g:124172
Meydān Khalaf	id=g:124173
Meydān-e Naftūn	id=g:124174
Meydān-e Gel	id=g:124175
Meydān-e Bāzeh Rū	id=g:124176
Kūh-e Meydān Dāghī	id=g:124177
Mehrān Rūd-e	id=g:124178
Āb-e Meydānak-e Pā’īn	id=g:124179
Meydānak-e Pā’īn	id=g:124180
Meydānak-e Bālā	id=g:124181
Āb-e Meydānak-e Bālā	id=g:124182
Meydānak	id=g:124183
Meydānak	id=g:124184
Meydānak	id=g:124185
Tappeh Meydān	id=g:124186
Kūh-e Meydān	id=g:124187
Meydān	id=g:124188
Meydān	id=g:124189
Meydān	id=g:124190
Meydān	id=g:124191
Meydān	id=g:124192
Meybod	id=g:124193
Meyābād	id=g:124194
Matrānlū	id=g:124195
Meleh	id=g:124196
Maşar Dasht	id=g:124197
Meşrābād	id=g:124198
Meşrābād	id=g:124199
Ma‘dan-e Meskanī	id=g:124200
Mīskanak	id=g:124201
Mūsīūn	id=g:124202
Masīneh	id=g:124203
Mīsharāgah	id=g:124204
Chāh-e Meshmūsh	id=g:124205
Meshkīn	id=g:124206
Meshkīn	id=g:124207
Meshkī	id=g:124208
Kūh-e Meshīn Bāyrī	id=g:124209
Meshgīn Shahr	id=g:124210
Meshk-e ‘Anbar	id=g:124211
Chāh-e Mesgarān	id=g:124212
Mesgarān	id=g:124213
Mesgarābād	id=g:124214
Mesgar	id=g:124215
Mesgarān	id=g:124216
Meşerqān	id=g:124217
Meşrlū	id=g:124218
Maryān	id=g:124219
Kūh-e Mersū	id=g:124220
Merrīkhī	id=g:124221
Mereg	id=g:124222
Meresht	id=g:124223
Kūh-e Me‘rājī	id=g:124224
Man Sar	id=g:124225
Manjeqān	id=g:124226
Mīnjebgān	id=g:124227
Menjān	id=g:124228
Mangol	id=g:124229
Mengenrīyeh	id=g:124230
Mangowk	id=g:124231
Menderek	id=g:124232
Mendejīn	id=g:124233
Menāreh Bāzār (1)	id=g:124235
Kūh-e Menār	id=g:124236
Mellī	id=g:124237
Melleh	id=g:124238
Mīl Kūḩeh	id=g:124239
Malīget	id=g:124241
Amlīḩeh	id=g:124242
Khowr-e Melḩ	id=g:124243
Malīch-e Kūchek	id=g:124244
Malīch-e Bozorg	id=g:124245
Melerd	id=g:124246
Meleh Takht	id=g:124247
Meleh Sorkheh	id=g:124248
Mīleh Khān	id=g:124249
Meleh Kabūd-e Soflá	id=g:124250
Meleh Kabūd-e ‘Olyā	id=g:124251
Meleh Kabūd	id=g:124252
Meleh Gol	id=g:124253
Meleh-ye Bārīk	id=g:124254
Molkhāneh	id=g:124255
Meleh Qeshlāq	id=g:124256
Melasfīd	id=g:124257
Kūh-e Melar	id=g:124258
Mejīn	id=g:124259
Kūh-e Mejāh	id=g:124260
Mej	id=g:124261
Mehtarlū	id=g:124262
Mehtar Kalāteh	id=g:124263
Mehtar Aḩmad	id=g:124264
Mehmar	id=g:124265
Kūh-e Mārūchān	id=g:124266
Mehrzī	id=g:124267
Mehrzamīn	id=g:124268
Mehrshānī	id=g:124269
Mehrnān-e Bālā	id=g:124270
Mehrjard	id=g:124271
Mehrjān	id=g:124272
Mehr Jān	id=g:124273
Mehrīz	id=g:124274
Mehrīnābād	id=g:124275
Mehrīān-e Soflá	id=g:124277
Mehrīān-e `Olyā	id=g:124278
Mehrīān	id=g:124279
Mehr Gerd	id=g:124280
Mahraghān	id=g:124281
Mehr-e Shīveh	id=g:124282
Mehregī	id=g:124283
Kūh-e Mehr Chenār	id=g:124284
Mehr Ārān	id=g:124285
Mehrān Kūshk	id=g:124286
Mehrenjān	id=g:124287
Mehrāndū	id=g:124288
Mehrānābād	id=g:124289
Rūdkhāneh-ye Mehrān	id=g:124290
Mehrān	id=g:124291
Mehrān	id=g:124292
Mehrām	id=g:124293
Kūh-e Mehrakān	id=g:124294
Mehrakān	id=g:124295
Shūrehzār-e Mehrakān	id=g:124296
Mehr Āvarān	id=g:124297
Mehrabān	id=g:124298
Mīrābād	id=g:124299
Mehrābād	id=g:124300
Mehrābād	id=g:124301
Mehrābād	id=g:124302
Mehrābād	id=g:124303
Mehrābād	id=g:124304
Mehrābād	id=g:124305
Mehrābād	id=g:124306
Mehrābād	id=g:124307
Mehrābād	id=g:124308
Mehrābād	id=g:124309
Mehrābādū	id=g:124310
Mehrābād	id=g:124311
Mehrābād	id=g:124312
Mehrābād	id=g:124313
Mehrābād	id=g:124314
Mehrābād	id=g:124315
Mehrābād	id=g:124316
Mehrābād	id=g:124317
Mehrābād	id=g:124318
Mehrābād	id=g:124319
Mehrābād	id=g:124320
Mehrābād	id=g:124321
Kūh-e Mehrāb	id=g:124322
Meḩrāb	id=g:124323
Nīm Īstgāh-e Rāh Āhan-e Mehrābād	id=g:124324
Mehr	id=g:124325
Mehr	id=g:124326
Mehnān-e Bālā	id=g:124327
Mehmānī	id=g:124328
Mehmān Dūyeh	id=g:124329
Mehmāndūst	id=g:124330
Mehmāndār-e Soflá	id=g:124331
Mehmāndār-e ‘Olyā	id=g:124332
Mehmānak	id=g:124333
Kūh-e Mah Labestān	id=g:124334
Mehkūyeh-ye Soflá	id=g:124335
Kūh-e Mehdīyeh	id=g:124336
Mehdīshahr	id=g:124337
Mehdī Rajeh	id=g:124338
Mehdī Qolī	id=g:124339
Mehdīlū	id=g:124340
Mehdīlū	id=g:124341
Mehdīkhān	id=g:124342
Mardkānlū	id=g:124343
Mehdīābād	id=g:124344
Mehdīābād-e Sardār	id=g:124345
Qal‘eh Now-ye Mehdīābād	id=g:124346
Mehdīābād	id=g:124347
Mehdīābād	id=g:124348
Mehdīābād	id=g:124349
Mehdīābād	id=g:124350
Mehdīābād	id=g:124351
Mehdīābād	id=g:124352
Mehdīābād	id=g:124353
Mehdīābād	id=g:124354
Mehdīābād	id=g:124355
Mehdīābād	id=g:124356
Mehdīābād	id=g:124357
Mehdīābād	id=g:124358
Mehdīābād	id=g:124359
Mehdīābād	id=g:124360
Mehdīābād	id=g:124361
Mehdīābād	id=g:124362
Mehdīābād	id=g:124363
Mehdīābād	id=g:124364
Mehdīābād	id=g:124365
Mehdīābād	id=g:124366
Mehdīābād	id=g:124367
Mehdīābād	id=g:124368
Mehdīābād	id=g:124369
Mehdīābād	id=g:124370
Mehdīābād	id=g:124371
Mehdīābād	id=g:124372
Mehdīābād	id=g:124373
Mehdīābād	id=g:124374
Mehdīābād	id=g:124375
Mehdīābād	id=g:124376
Mehdī	id=g:124377
Mehdīābād	id=g:124378
Mehdīābād	id=g:124379
Mehdīābād	id=g:124380
Mehdīābād	id=g:124381
Mehdīābād	id=g:124382
Mehdīābād	id=g:124383
Mehdīābād	id=g:124384
Mehdīābād	id=g:124385
Mehdīābād	id=g:124386
Mehdīābād	id=g:124387
Mehdīābād	id=g:124388
Mehdīābād	id=g:124389
Mehdīābād	id=g:124390
Mehdīābād	id=g:124391
Mehdīābād	id=g:124392
Mehdīābād	id=g:124393
Mehdīābād	id=g:124394
Mehdīābād	id=g:124395
Mehdīābād	id=g:124396
Mehdīābād	id=g:124397
Mehdīābād	id=g:124398
Manhaj	id=g:124399
Mehīnj	id=g:124400
Mehan	id=g:124401
Kamar-e Meh	id=g:124402
Mazīk	id=g:124403
Mazvīrābād	id=g:124404
Kūh-e Mazvār	id=g:124405
Mozvar	id=g:124406
Īstgāh-e Māzū	id=g:124407
Māzū	id=g:124408
Mezījān	id=g:124409
Mazrū	id=g:124410
Marzeh	id=g:124411
Marz‘āvī	id=g:124412
Mīrzā Taqī	id=g:124413
Mazra‘eh-ye Sorkhshād	id=g:124415
Mazra`eh-ye Sorkhān	id=g:124416
Mazra`eh-ye Shūr	id=g:124417
Mazra`eh Shūr	id=g:124418
Mazra`eh-ye Shīrābād	id=g:124419
Mazra‘eh-ye Sheykh Fāẕel	id=g:124420
Sheykh `Alī Shāh	id=g:124421
Mazra`eh-ye Shāh	id=g:124422
Mazra‘eh-ye Shādī	id=g:124423
Mazra‘eh-ye Seh Rang	id=g:124424
Mazra‘eh-ye Seh Chāh	id=g:124425
Mazra‘eh-ye Sefīd	id=g:124426
Savāreh	id=g:124427
-āleḩī	id=g:124428
Qal`eh-ye Esmā`īl	id=g:124429
Mazra`eh-ye Şāḩeb	id=g:124430
Mazra‘eh-ye Sādāt	id=g:124431
Rakeh	id=g:124432
Mazra‘eh-ye Qāsem	id=g:124433
Mazra‘eh Now	id=g:124434
Mazra`eh-ye Now	id=g:124435
Mazra‘eh-ye Now	id=g:124436
Mazra‘eh-ye Morād	id=g:124437
Mazra‘eh Mollā	id=g:124438
Mazra‘eh-ye Mīrhā	id=g:124439
Mazra‘eh-ye Mazāre‘	id=g:124440
Mazra‘eh-ye Maḩmūdī	id=g:124441
Maḩmūdābād	id=g:124442
Mazra`eh-ye Khosrow	id=g:124443
Mazra`eh-ye Kheradmand	id=g:124444
Mazra‘eh-ye Khātūn	id=g:124445
Mazra‘eh-ye Ḩoseyn-e Soflá	id=g:124446
Mazra‘eh-ye Ḩoseyn-e ‘Olyā	id=g:124447
Mazra`eh-ye ’oseyn	id=g:124448
Mazra`eh-ye Hashtkūh	id=g:124449
Ḩājj Moḩammad	id=g:124450
Mazra‘eh-ye Ḩājjī Loţf‘alī	id=g:124451
Mazra‘eh-ye Ḩājjī Ḩoseyn	id=g:124452
Mazra‘eh-ye Ḩājjī Bāqer	id=g:124453
Mazra‘eh-ye Ḩājjī ‘Ābedīn	id=g:124454
Gūdarzan	id=g:124455
Mazra‘eh-ye Chūl	id=g:124456
Mazra‘eh-ye Gāreh	id=g:124457
Mazra‘eh-ye Gachlū	id=g:124458
Deymūr	id=g:124459
Mazra‘eh-ye Deh Now	id=g:124460
Dashtok-e Bālā	id=g:124461
Mazra`eh-ye Darbastegān	id=g:124462
Mazra`eh-ye Bozorg	id=g:124463
Bolbol	id=g:124464
Mazra‘eh-ye Bīd	id=g:124465
‘Azīzābād	id=g:124466
Mazra‘eh-ye Ākhūnd	id=g:124467
Mazra‘eh-ye Ākhūnd	id=g:124468
Aḩmadābād	id=g:124469
Mazra`eh-ye Ābzal	id=g:124470
‘Abdollāhābād	id=g:124471
Mazra‘eh-ye Sīb	id=g:124472
Mazra‘eh-ye Now	id=g:124473
Mazra‘eh-ye Mīr	id=g:124474
Mazrā‘	id=g:124475
Mazra‘ehābād	id=g:124476
Rūdkhāneh-ye Mazra‘eh	id=g:124477
Gardaneh-ye Mazra‘eh	id=g:124478
Mazra‘eh	id=g:124479
Mazra‘eh-ye Mehdīābād	id=g:124480
Raḩīmābād	id=g:124481
Mazra‘eh	id=g:124482
Mazra`eh	id=g:124483
Mazra‘eh-ye Yek-e Ḩarīrāt	id=g:124484
Mazra‘eh	id=g:124485
Mazra‘eh	id=g:124486
Mazrā‘-e Darreh Shūr	id=g:124487
Māz Mehrābād	id=g:124488
Mazj	id=g:124489
Marīz	id=g:124490
Mazīnān	id=g:124491
Mazīdābād	id=g:124492
Mazīdābād	id=g:124493
Morīdābād	id=g:124494
Māẕīben	id=g:124495
Māzhīn-e ‘Olyā	id=g:124496
Māzhīn	id=g:124497
Māzhān	id=g:124498
Māzgān	id=g:124499
Māzgar	id=g:124500
Māzeh Vahregān	id=g:124501
Mazeh Kān	id=g:124502
Māzeh Gar	id=g:124503
Kūh-e Māzeh	id=g:124504
Māzegh-e Pā’īn	id=g:124505
Māzegh-e Bālā	id=g:124506
Mazdābād	id=g:124507
Mozdārān	id=g:124508
Mazāqīneh	id=g:124509
Mazlaqān-e Kohneh	id=g:124510
Mozdāb	id=g:124512
Kāl-e Mozdāb	id=g:124513
Kūh-e Māzchāl	id=g:124514
Mazbān	id=g:124515
Mazāyjān	id=g:124516
Mazāyjān	id=g:124517
Mazāyen	id=g:124518
Mazra‘eh-ye Pahn	id=g:124519
Mazār-e Now	id=g:124520
Mazār Khoshk	id=g:124521
Mazārk	id=g:124522
Mazār-e Seyyed Mortezá	id=g:124523
Mazār-e Seyyed ‘Alī	id=g:124524
Mazāre‘ī	id=g:124525
Mazār-e Ḩājjī Elyās	id=g:124526
Mazār-e Farrokhābād	id=g:124527
Kūh-e Mazār-e Āb	id=g:124528
Mazārandeh	id=g:124529
Kūh-e Mazār	id=g:124530
Kūh-e Mazār	id=g:124531
Kūh-e Mazār	id=g:124532
Kūh-e Mazār	id=g:124533
Gardaneh-ye Mazār	id=g:124534
Chāh-e Mazār	id=g:124535
Mazār	id=g:124536
Mazār	id=g:124537
Mazār	id=g:124538
Mazār-e Darreh Sheykhān	id=g:124539
Mazār	id=g:124540
Sūrk	id=g:124541
Mazār	id=g:124542
Mazāre‘	id=g:124543
Ostān-e Māzandarān	id=g:124544
Māzandarān	id=g:124545
Mazanābād	id=g:124546
Mazakān	id=g:124547
Mazājān	id=g:124548
Chāh-e Maz̧āher	id=g:124549
Māzgerd	id=g:124550
Rūdkhāneh-ye Māzābī	id=g:124551
Maz	id=g:124552
Māyvān	id=g:124553
Māyān-e Darbāgh	id=g:124554
Māyān-e Pā’īn	id=g:124555
Māyān-e Soflá	id=g:124556
Mayān-e Bālā	id=g:124557
Māyān-e ‘Olyā	id=g:124558
Māyandeh	id=g:124559
Māyān	id=g:124560
Māyān	id=g:124561
Mayāmey	id=g:124562
Mavīn	id=g:124563
Māvīān	id=g:124564
Māvī	id=g:124565
Māvī-ye ‘Olyā	id=g:124566
Maveh	id=g:124567
Ma‘vā-ye Soflá	id=g:124568
Mavarz	id=g:124569
Kūh-e Mavār Talkhī	id=g:124570
Mavānā	id=g:124571
Pīrābād	id=g:124572
Ma’vā	id=g:124573
Maundrell Shoal	id=g:124574
Matanaq	id=g:124575
Matīnābād	id=g:124576
Mātak	id=g:124577
Maţā	id=g:124578
Mas‘ūdābād	id=g:124579
Māsūr	id=g:124580
Māsūr	id=g:124581
Ma‘şūmīyeh	id=g:124582
Ma‘şūm ‘Alī	id=g:124583
Ma‘şūmābād	id=g:124584
Ma`şūmābād	id=g:124585
Ma‘şūmābād	id=g:124586
Māsūleh Dāgh	id=g:124587
Māsūleh	id=g:124588
Sa‘ūdī Al Safar	id=g:124589
Kūh-e Mas‘ūdī	id=g:124590
Mas‘ūdī	id=g:124591
Mas‘ūdābād	id=g:124592
Mas‘ūdābād	id=g:124593
Emāmzādeh Mas‘ūd	id=g:124594
Māsū	id=g:124595
Māster	id=g:124596
Mehr-e Soflá	id=g:124597
Masteh Kūh	id=g:124598
Mast-e ‘Olyā	id=g:124599
Māst Bandī	id=g:124600
Kūh-e Mastarūn	id=g:124601
Kūh-e Mastān	id=g:124602
Mast‘alī Kandī	id=g:124603
Mastābād	id=g:124604
Kūh-e Mast	id=g:124605
Meşr	id=g:124606
Masqarān	id=g:124607
Mason Shoal	id=g:124608
Māsnān	id=g:124609
Rūdkhāneh-ye Maskūtān	id=g:124610
Maskūtān	id=g:124611
Moḩammadābād-e Maskūn	id=g:124612
Maskhareh	id=g:124613
Masgareh-ye Tāzehābād	id=g:124614
Maskan	id=g:124615
Rūd-e Masak	id=g:124616
Mask	id=g:124617
Masjedlū	id=g:124618
Masjedlar	id=g:124619
Masjed Soleymān	id=g:124620
Masjedū’īyeh-ye Pā’īn	id=g:124621
Maşīrī	id=g:124622
Maşīr	id=g:124623
Moseynīyeh-ye Soflá	id=g:124624
Masīnān	id=g:124625
Masīleh-ye Qanbarī	id=g:124626
Masīleh-ye Keshvarī	id=g:124627
Masīleh-ye Golū	id=g:124628
Masīleh-ye Fakhrī	id=g:124629
Masīleh-ye Bahmanī	id=g:124630
Masīleh-ye ‘Abd ol Ḩoseyn	id=g:124631
Masīleh-ye ‘Abdī	id=g:124632
Masīleh	id=g:124633
Masīḩābād	id=g:124634
Māsīdar	id=g:124635
Māsīdar	id=g:124636
Mashtān	id=g:124637
Mashtān	id=g:124638
Mashrūţeh	id=g:124639
Mashnaq	id=g:124640
Mashmashīyeh	id=g:124641
Mashkūl	id=g:124643
Mashk Dūzān	id=g:124644
Mashkān	id=g:124645
Mashkān	id=g:124646
Bardsīr	id=g:124647
Mashīrān	id=g:124648
Chāh-e Māshīn	id=g:124649
Mashīābād	id=g:124650
Mashhad Ţorqī-ye Pā’īn	id=g:124651
Mashhadī Dīn Moḩammad	id=g:124652
Mashhad Mīqān	id=g:124653
Āsīāb	id=g:124654
Mashhadī Lafītan	id=g:124655
Mashhadī Ḩasan Lū	id=g:124656
Mashhadī Ḩasanlū	id=g:124657
‘Alīābād	id=g:124658
Mashhadī ‘Abd-e Khān	id=g:124659
Mashhad-e Meyqān	id=g:124660
Mashhad Kāveh	id=g:124661
Mashhad ol Kūbeh	id=g:124662
Mashhad	id=g:124663
Mashhad Ardehāl	id=g:124664
Mashhad	id=g:124665
Moshkān	id=g:124667
Māshangī	id=g:124668
Kūh-e Māshemī	id=g:124669
Māshemī-ye Soflá	id=g:124670
Rūdkhāneh-ye Māshelak	id=g:124671
Sar-e Māsheh	id=g:124672
Khowr-e Kīsh	id=g:124673
Mashāyekh	id=g:124674
Māshātūk (2)	id=g:124675
Rūdkhāneh-ye Māshārī	id=g:124676
Rūdkhāneh-ye Mashālgān	id=g:124678
Mash‘aldār	id=g:124679
Māshak	id=g:124680
Māshahrān-e Now	id=g:124681
Mashāhīr	id=g:124682
Boneh-ye Khanjar	id=g:124683
Mashad	id=g:124684
Rūdkhāneh-ye Māshāb	id=g:124685
Māsh	id=g:124686
Masgareh	id=g:124687
Māstīḩ	id=g:124688
Mesen	id=g:124689
Mesen	id=g:124690
Masāvān	id=g:124691
Māşarm-e Soflá	id=g:124692
Māşarm-e ‘Olyā	id=g:124693
Masenābād	id=g:124694
Khvor-e Masaheh	id=g:124695
Kūh-e Marzū	id=g:124696
Marzrūd	id=g:124697
Marzījarān	id=g:124698
Kūh-e Mārznavīd	id=g:124699
Kūh-e Marzīnī	id=g:124700
Marzī Kolā	id=g:124701
Marzīān	id=g:124702
Marzeh	id=g:124703
Marzeh	id=g:124704
Marzīn	id=g:124705
Marzyānī	id=g:124706
Marzangū	id=g:124707
Marzand	id=g:124708
Marzanābād	id=g:124709
Marzābād	id=g:124711
Kūh-e Maz	id=g:124712
Morz	id=g:124713
Mārīūn	id=g:124714
Maryānaj	id=g:124715
Maryamābād	id=g:124716
Emāmzādeh Sūt-e Maryam	id=g:124717
Marvīl	id=g:124718
Marvashkān	id=g:124719
Marv Dīzaj	id=g:124720
Marv Dasht	id=g:124721
Marv Dasht	id=g:124722
Marvastān	id=g:124723
Marvast	id=g:124724
Morvārīd	id=g:124725
Kūh-e Marvār	id=g:124726
Marvar	id=g:124727
Kūh-e Marv	id=g:124728
Mārūsk	id=g:124729
Kāl-e Mārūs	id=g:124730
Mārūs	id=g:124731
Marzānak	id=g:124732
Mārūn-e Jāyezān	id=g:124733
Rūd-e Mārūn	id=g:124734
Mūrūk	id=g:124735
Ma‘rūfābād	id=g:124736
Ma‘rūf	id=g:124737
Marūchek	id=g:124738
Kamar-e Mārū	id=g:124739
Marū	id=g:124740
Marshūn	id=g:124741
Kūh-e Marsh	id=g:124742
Rūdkhāneh-ye Mārsār	id=g:124743
Marrī	id=g:124744
Cham-e Mareh Kheyl	id=g:124745
Mareh Kheyl	id=g:124746
Marrān-e ‘Olyā	id=g:124747
Mārom	id=g:124748
Mārnū	id=g:124749
Marnāb	id=g:124750
Kūh-e Mār Mozheh	id=g:124751
Mār Mord	id=g:124752
Mārmeh	id=g:124753
Kūh-e Marmaz	id=g:124754
Ma‘dan-e Sang-e Marmar-e Tangūyeh	id=g:124755
Chāh-e Marmar	id=g:124756
Mār Kūh	id=g:124757
Mārkūbon	id=g:124758
Markīd Kharābeh	id=g:124759
Markīd	id=g:124760
Markhoz	id=g:124761
Ostān-e Markazī	id=g:124762
Ostān-e Markazī	id=g:124763
Markaz-e Garm	id=g:124764
Markash Kūh	id=g:124765
Mārkadeh	id=g:124767
Marj	id=g:124768
Marjān	id=g:124769
Marjān	id=g:124770
Mārgown	id=g:124771
Marjān	id=g:124772
Mūrjān	id=g:124773
Marjān	id=g:124774
Marjaghal (2)	id=g:124775
Marīvānī-ye Kakīhā	id=g:124776
Āb-e Marīvān	id=g:124777
Marīvān	id=g:124778
Mariner Shoal	id=g:124779
Mārīn	id=g:124780
Morīn	id=g:124781
Rūdkhāneh-ye Marg	id=g:124782
Maryek	id=g:124783
Marīj Maḩalleh	id=g:124784
Mīr Bajgān	id=g:124785
Marīch	id=g:124786
Mārīān	id=g:124787
Mārīān	id=g:124788
Kūh-e Marī	id=g:124789
Kūh-e Mārī	id=g:124790
Mārī	id=g:124792
Mār Hamvār	id=g:124793
Kūh-e Marḩam	id=g:124794
Mārgān	id=g:124795
Kūh-e Mārgūn	id=g:124796
Marghzārī	id=g:124798
Īstgāh-e Marghzār	id=g:124799
Morghzār	id=g:124800
Marghzār	id=g:124801
Marghzār	id=g:124802
Marghzār	id=g:124803
Marghzār	id=g:124804
Marghzār	id=g:124805
Marghū Kharābeh	id=g:124806
Ḩowẕ-e Marghūb	id=g:124807
Marghūb	id=g:124808
Marghū	id=g:124809
Margh Malek	id=g:124810
Ḩoseynābād	id=g:124811
Margh	id=g:124812
Margh-e Chenār	id=g:124813
Kalū Margh Āzārū	id=g:124814
Rūdkhāneh-ye Marghāb	id=g:124815
Marghāb	id=g:124816
Margh	id=g:124817
Mārgerd	id=g:124818
Marg Sar	id=g:124819
Margasīn	id=g:124820
Ra’s ol Marg	id=g:124821
Marg	id=g:124822
Kūh-e Mārfīūn	id=g:124823
Māreshk	id=g:124824
Mar Now	id=g:124825
Maranjāb	id=g:124826
Mārenj	id=g:124827
Maraj	id=g:124828
Merd-e Now	id=g:124829
Kāl-e Mard Kosh	id=g:124830
Mardekheh-ye Kūchek	id=g:124831
Mardekheh	id=g:124832
Mardehek	id=g:124833
Mardānqom	id=g:124834
Mardān	id=g:124835
Mardān-e Khodā	id=g:124836
Do Āb Mardakh	id=g:124837
Māhdāsht	id=g:124838
Mardābād	id=g:124839
Chāh-e Mard	id=g:124840
Mārchūbeh	id=g:124841
Mārbareh	id=g:124842
Rūdkhāneh-ye Mārboreh	id=g:124843
Rūdkhāneh-ye Mār Bor	id=g:124844
Rūdkhāneh-ye Mārbor	id=g:124845
Rūdkhāneh-ye Mārbor	id=g:124846
Mālbor	id=g:124847
Mārbīn	id=g:124848
Marbachcheh	id=g:124849
Marāvand	id=g:124850
Marā‘ūneh	id=g:124851
Kūh-e Marat	id=g:124852
Merāsh	id=g:124853
Maraq	id=g:124854
Maraq	id=g:124855
Mārāntū	id=g:124856
Mārengāz	id=g:124858
Mārān Qal‘eh	id=g:124859
Marāneh	id=g:124860
Mārāndīz	id=g:124861
Marand	id=g:124862
Marand	id=g:124863
Marānak	id=g:124864
Marān	id=g:124865
Mazra‘eh Mārūn	id=g:124867
Mārān	id=g:124868
Mārān Galūyeh	id=g:124869
Mārān	id=g:124870
Khvor-e Marmūs	id=g:124871
Marām’ī	id=g:124872
Kūh-e Mārak	id=g:124873
Marāk	id=g:124874
Kūh-e Mār Āhang	id=g:124875
Kūh-e Marah	id=g:124876
Marāgheh	id=g:124877
Marāgheh	id=g:124878
Marāgheh	id=g:124879
Marāghān	id=g:124880
Marāgh	id=g:124881
Māred	id=g:124882
Kūh-e Mār Āb	id=g:124883
Kūh-e Mārāb	id=g:124884
Mārāb	id=g:124885
Marā’	id=g:124886
Marā’	id=g:124887
Tappeh-ye Mārān	id=g:124888
Mār	id=g:124889
Māqūt	id=g:124890
Moghestān	id=g:124891
Maqţū‘-e ‘Olyā	id=g:124892
Maqşūdlū	id=g:124893
Maqşūd Beyk	id=g:124894
Maqşūdābād-e Bālā	id=g:124895
Maqşūdābād	id=g:124896
Maqşūdābād	id=g:124897
Maqşūd	id=g:124898
Māqer	id=g:124899
Māqdūn	id=g:124900
Maqātel	id=g:124901
Māfand Āb	id=g:124902
Maqām-e Ḩazneh	id=g:124903
Maqām-e ‘Alī	id=g:124904
Maqām	id=g:124905
Moqāyerī	id=g:124906
Kūh-e Mapel	id=g:124907
Manzelī	id=g:124908
Manzelābād	id=g:124909
