Bérétékounda	id=g:2460109
Édjérir oua-n-Amassine	id=g:2461086
Amassin	id=g:2461087
Amasrakad	id=g:2461088
Amarosseldabay	id=g:2461089
Forêt Classée d’ Amari	id=g:2461090
Amarelrel	id=g:2461091
Amadoukouléla	id=g:2461092
Amaragoungou	id=g:2461093
Amara	id=g:2461094
Amankobé	id=g:2461095
Amanguiar	id=g:2461096
Amanguer	id=g:2461097
Nebket Hammoni	id=g:2461098
Amalrat	id=g:2461099
Amalouch	id=g:2461100
Amalay	id=g:2461101
Amalaoulaou	id=g:2461102
Forêt Classée d’ Ama Koyra	id=g:2461103
Ama-Koyra	id=g:2461104
Amakouladji	id=g:2461105
Amakabougou	id=g:2461106
Amaïdaral	id=g:2461107
Oued Amagi	id=g:2461108
Nebket Amagoun	id=g:2461109
’Elb Amagoûn	id=g:2461110
Amagoual	id=g:2461111
Adrar Amihor	id=g:2461112
Amafif	id=g:2461113
Amadou Mama	id=g:2461114
Amadou-Doso Waré	id=g:2461115
’Elb Amadouch	id=g:2461116
Amadou Bafinnka	id=g:2461117
Amadou Ali-Wéré	id=g:2461118
Amadi Oumourou	id=g:2461119
Amadilimane	id=g:2461120
Amadi Falé Lambé	id=g:2461121
Amachach	id=g:2461122
Ama-Amidou	id=g:2461123
Ama	id=g:2461124
Am	id=g:2461125
Alzougha	id=g:2461126
Oued Altarera	id=g:2461127
Foum Allous	id=g:2461128
Aloungaoul	id=g:2461129
Aliouléna	id=g:2461130
Al Maritèn	id=g:2461131
Almaniana	id=g:2461132
Almami	id=g:2461133
Allah-Ina	id=g:2461134
Adrar Allabani	id=g:2461135
Alket	id=g:2461136
Alkanabangou	id=g:2461137
Alkamsara	id=g:2461138
Aljanagounga	id=g:2461139
Aliwéré	id=g:2461140
Ali Moka	id=g:2461141
Adrar Alimamas	id=g:2461142
Ali Hamadou Lilaé	id=g:2461143
Alidiamani	id=g:2461144
Ali Badane	id=g:2461145
Alibada	id=g:2461146
Alfess	id=g:2461147
Alfatchara	id=g:2461148
Alfao	id=g:2461149
Alézou	id=g:2461150
Alemous-Tarast	id=g:2461151
Alekat	id=g:2461152
Achaïf Alehou	id=g:2461153
Alefodi	id=g:2461154
Aléfis	id=g:2461155
Aldyanabango	id=g:2461156
Aldi	id=g:2461157
Foum el ’Alba	id=g:2461158
Chaïf Alazat	id=g:2461159
Alaya	id=g:2461160
Alatona	id=g:2461161
Alaso	id=g:2461162
Alassanila	id=g:2461163
Alana	id=g:2461164
Alamoutala	id=g:2461165
Alambou	id=g:2461166
Alambo	id=g:2461167
Alamba	id=g:2461168
Alakat	id=g:2461169
Alakat	id=g:2461170
Alaïna	id=g:2461171
Alahiné	id=g:2461172
Alahina	id=g:2461173
Alafo	id=g:2461174
Alabi	id=g:2461175
Akred	id=g:2461176
Nebket Akoustat	id=g:2461177
Tâyert i-n-Akoundar	id=g:2461178
Akoumbouro	id=g:2461179
Akoumbou	id=g:2461180
Akoumas	id=g:2461181
Tayert Ti-n-Akoulène	id=g:2461182
Akoukou	id=g:2461183
Akoubayène	id=g:2461184
Akortâl	id=g:2461185
Akor	id=g:2461186
El Mçeïguîle	id=g:2461187
Akhor Ndarn	id=g:2461188
Akerakar	id=g:2461189
Akello	id=g:2461190
Akello	id=g:2461191
Akètkod	id=g:2461192
Akassouar	id=g:2461193
Akarou	id=g:2461194
Akarkara	id=g:2461195
Akararat	id=g:2461196
Akarankom	id=g:2461197
Akantéché	id=g:2461199
Akantéché	id=g:2461200
Akangadit	id=g:2461202
Akalé	id=g:2461203
Akakas	id=g:2461204
Akabedi	id=g:2461205
Akabar	id=g:2461206
Akabar	id=g:2461207
Akaban	id=g:2461208
Aka	id=g:2461209
Adrar Ajjeroujer	id=g:2461210
Ait Néfan	id=g:2461211
Aït Mouleï	id=g:2461212
’Erg Aït el Khaoua	id=g:2461213
Aïté	id=g:2461214
Air Naggan	id=g:2461215
Aïnessaba	id=g:2461216
Aïnamolo	id=g:2461217
Forêt Classée de Aïna	id=g:2461218
Aïna	id=g:2461219
Aïmabangou	id=g:2461220
Aïfen Tadrak	id=g:2461221
Aïbongo	id=g:2461222
Oguilet Aib Allah	id=g:2461223
Vallée de l’ Ahzar	id=g:2461224
Adrar Atesses	id=g:2461225
’Erg ti-n-Ahtene	id=g:2461226
Adrar Ti-n-Ahôrene	id=g:2461227
Ahmdèg	id=g:2461228
’Erg el Ahmar	id=g:2461229
’Erg el Hemâr	id=g:2461230
Ahakak	id=g:2461231
Ahel Falouté	id=g:2461232
Ahel Barké	id=g:2461233
Ahel	id=g:2461234
Ahaman Koïro	id=g:2461235
Ahaggar	id=g:2461236
Ahagala	id=g:2461237
Ahader	id=g:2461238
Aguinaouiaoui	id=g:2461239
Nebket Aguida	id=g:2461240
Agézou	id=g:2461241
’Erg Aguendemmou	id=g:2461243
Agueltal	id=g:2461244
’Erg Agoualîl	id=g:2461245
Aguelhok	id=g:2461246
Aguelhok	id=g:2461247
Agueulgueul	id=g:2461248
Âguelal Mellene	id=g:2461249
Âguelal Kaouelene	id=g:2461250
Âguelal	id=g:2461251
Akaboun	id=g:2461252
Agous-n-Ehsel	id=g:2461253
Agourch	id=g:2461254
Agounni Guefal	id=g:2461255
Agoumar	id=g:2461256
Agouhout	id=g:2461257
Ag Oua	id=g:2461258
Ag Oua	id=g:2461259
Agor Krildé	id=g:2461260
Salines d’ Agorgot	id=g:2461261
Agorgot	id=g:2461262
Guelb Agorgot	id=g:2461263
Agora	id=g:2461264
Agora	id=g:2461265
Adrar i-n-Agomes	id=g:2461266
Agjoúl	id=g:2461267
Ag Indabil	id=g:2461268
Ag Ifanana	id=g:2461269
Aghli	id=g:2461270
Aggoura	id=g:2461271
Ag Erenta	id=g:2461272
Ag-Ènzali	id=g:2461273
Êlb el Abgâ	id=g:2461274
Aleb el Abga	id=g:2461275
Agator Garet	id=g:2461276
Agator Erigat	id=g:2461277
Ech Chouifet Agatane	id=g:2461278
Agata	id=g:2461279
Agata	id=g:2461280
Agassar	id=g:2461281
Ag Aghiyâssene	id=g:2461282
Ag Arbech	id=g:2461283
Agarara	id=g:2461284
Agarara	id=g:2461285
Agarara	id=g:2461286
Agarara	id=g:2461287
Agaranguera	id=g:2461288
Agaralak	id=g:2461289
Agârak	id=g:2461290
Agangara	id=g:2461291
Agamor	id=g:2461292
Agaminan-Taoussa	id=g:2461293
Agalamgalam	id=g:2461294
Ag Aïfa	id=g:2461295
Agadey	id=g:2461296
Agaba	id=g:2461297
Afrora	id=g:2461298
Afous-n-Élou	id=g:2461299
Afoussinilou	id=g:2461300
Mare Afoula	id=g:2461301
Afoudnamoni	id=g:2461302
Afiya	id=g:2461303
Afia	id=g:2461305
Affalaga	id=g:2461306
I-n-Afesto	id=g:2461307
Afarenzelou	id=g:2461308
Afarat Karat	id=g:2461309
Afara-n-Irichi	id=g:2461310
’Erg I-n-Afarak	id=g:2461311
Afara i-n-Godat	id=g:2461312
Afara	id=g:2461313
Afara	id=g:2461314
Afara	id=g:2461315
Afalram	id=g:2461316
Afadièt	id=g:2461317
Adyèngo	id=g:2461318
Adyar	id=g:2461319
Adyanabangou	id=g:2461320
I-n-Adrekane	id=g:2461321
Adranti Balalan	id=g:2461322
Adrandaran	id=g:2461323
Adra	id=g:2461324
Adourakamé	id=g:2461325
Adoulid	id=g:2461326
Adouf	id=g:2461327
Adoûbene	id=g:2461328
Adrar Admer	id=g:2461329
Adma	id=g:2461330
Adlaye-Sidi	id=g:2461331
Ededjé	id=g:2461332
Kreb d’ Adjindjer	id=g:2461333
Adjindjer	id=g:2461334
Adjilamina	id=g:2461335
Adjila	id=g:2461336
Adjiba	id=g:2461337
Adjialan	id=g:2461338
Adjélèm	id=g:2461339
Ajelajal	id=g:2461340
Adjârak	id=g:2461341
Adjarak	id=g:2461342
Adiyamene	id=g:2461343
Adiora	id=g:2461344
Adiora	id=g:2461345
Adiata	id=g:2461346
Adiar	id=g:2461347
Adia	id=g:2461348
Adertoul	id=g:2461349
Aderrech	id=g:2461350
Adernakili	id=g:2461351
Adelanfane	id=g:2461352
Adelanfane	id=g:2461353
Addiou Mare	id=g:2461354
Adarkéroz	id=g:2461355
Adane	id=g:2461356
Agar-n-Adamous	id=g:2461357
Adamabougou	id=g:2461358
Nebket Adahabah	id=g:2461359
Adada	id=g:2461360
Adabaï Mahamoud	id=g:2461361
Achroûmene	id=g:2461362
Achoulagh es Sghir	id=g:2461363
Gara I-n-Achiou	id=g:2461364
Achemelmel	id=g:2461365
Ad-Achou	id=g:2461366
Aschou	id=g:2461367
Achou	id=g:2461368
Adrar Achchel	id=g:2461369
Acharaba	id=g:2461370
Nebket Achaouatat	id=g:2461371
I-n-Achamol	id=g:2461372
Achamol el Kahal	id=g:2461373
Achamertz	id=g:2461374
Nebket Achaïf	id=g:2461375
’Erg Achâyef	id=g:2461376
Achafa	id=g:2461377
Oued Ach	id=g:2461378
Dunes de Ti-n-Akh	id=g:2461379
Abser-n-Biska	id=g:2461380
Abricha	id=g:2461381
Abraris	id=g:2461382
Nebket Abourhech	id=g:2461383
Abongar	id=g:2461384
Nebket Abougui	id=g:2461385
Abourak	id=g:2461386
Oued el Abiod	id=g:2461387
Dhar el Abiod	id=g:2461388
Abinda	id=g:2461389
Dayet el Abîd	id=g:2461390
Abenaï	id=g:2461391
Abelel	id=g:2461392
Abelbod	id=g:2461393
Abeïbara	id=g:2461394
Abeïbara	id=g:2461395
Abedzebal	id=g:2461396
Abedjou	id=g:2461397
Abecharchar	id=g:2461398
Abdou Salam	id=g:2461399
Abdourahmane	id=g:2461400
Agator Abdourahman Ould el Rleli	id=g:2461401
Abdoul Sinia	id=g:2461402
Tayert Abd el Aziz	id=g:2461403
Abdalaye	id=g:2461404
Guelb el ’Abd	id=g:2461405
Abatoul	id=g:2461406
Abarnach	id=g:2461407
Abargui	id=g:2461408
Abawèl	id=g:2461409
Abaouafo	id=g:2461410
Abankor	id=g:2461411
Abanko	id=g:2461412
Abankala	id=g:2461413
Dune d’ Abanhala	id=g:2461414
Aballak	id=g:2461415
I-n-Âbâlene	id=g:2461416
Abadayak	id=g:2461417
Aaka	id=g:2461418
Ti-n-Zaouâtene	id=g:2476086
Adrar Tefedjit	id=g:2477384
Mdennah	id=g:2489914
Tayert el Kahla	id=g:2492820
Adrar des Ifôghas	id=g:2493623
Djedeyed	id=g:2500117
Azelaf	id=g:2505958
Ntènèmambougou	id=g:2593821
Zéla	id=g:2593822
Morodiambougou	id=g:2593823
Sérimambougou	id=g:2593824
Mpiébougou	id=g:2593825
Bémékabougou	id=g:2593826
Sériba	id=g:2593827
Missakabougou	id=g:2593828
Kolé	id=g:2593829
Dianfè	id=g:2593830
Dafara II	id=g:2593831
Wounafara	id=g:2593832
Lassinakabougouda	id=g:2593833
Massako	id=g:2593834
Ouodioumabougou	id=g:2593835
Missimi	id=g:2593836
Nkalamédo	id=g:2593837
Ngolodièfoufou	id=g:2593838
Zambèlèbougou	id=g:2593839
Korola	id=g:2593840
Mpanso	id=g:2593841
Déméni	id=g:2593842
Folona	id=g:2593843
Ourofara	id=g:2593844
Mbankoro	id=g:2593845
Kolossébougou	id=g:2593846
Kankéléna	id=g:2593847
Bougounimbougouda	id=g:2593848
Koungolo	id=g:2593849
Koba	id=g:2593850
Dara	id=g:2593851
Kissako	id=g:2593852
Dokoninko	id=g:2593853
Donkoro	id=g:2593854
Farako	id=g:2593855
Falakouna	id=g:2593856
Digamba	id=g:2593857
Sobanko	id=g:2593858
Bondo	id=g:2593859
Totiguila	id=g:2593860
Koloni	id=g:2593861
Dababougou	id=g:2593862
Djiribabougou	id=g:2593863
Sounkoro	id=g:2593864
Diakoro	id=g:2593865
Tèngoné	id=g:2593866
Sanifina	id=g:2593867
Sagala	id=g:2593868
Ouotyèbougou	id=g:2593869
Ntiako	id=g:2593870
Zambèlèbougou	id=g:2593871
Nèrèkoro	id=g:2593872
Bogo	id=g:2593873
Ouéba	id=g:2593874
Minankorobougou	id=g:2593875
Ntiola	id=g:2593876
Kofilani	id=g:2593877
Falaba	id=g:2593878
Kotyè	id=g:2593879
Tyèndiè	id=g:2593880
Donkérila	id=g:2593881
Samania	id=g:2593882
Kouloukoro	id=g:2593883
Siriba Sobala	id=g:2593884
Dontambougou	id=g:2593885
Bourala	id=g:2593886
Kèmèdougou	id=g:2593887
Niemadan	id=g:2593888
Dambéla	id=g:2593889
Koba	id=g:2593890
Simina	id=g:2593891
Sadiabougouda	id=g:2593892
Siradio	id=g:2593893
Kokala	id=g:2593894
Bougoula	id=g:2593895
Sémi	id=g:2593896
Sémiko	id=g:2593897
Faniana	id=g:2593898
Domba	id=g:2593899
Séko	id=g:2593900
Saoula	id=g:2593901
Sidioni	id=g:2593902
Botouba	id=g:2593903
Kofilani	id=g:2593904
Bobala	id=g:2593905
Bankoro	id=g:2593906
Douni	id=g:2593907
Djimè	id=g:2593908
Ndji	id=g:2593909
Faladiè	id=g:2593910
Djindiè	id=g:2593911
Dombatiamba	id=g:2593912
Sounkoro	id=g:2593913
Diala	id=g:2593914
Kokouna	id=g:2593915
Mala	id=g:2593916
Torokoroko	id=g:2593917
Folona	id=g:2593918
Sirikoro	id=g:2593919
Kouloudala	id=g:2593920
Bodiè	id=g:2593921
Dassoumbougou	id=g:2593922
Ngoloma	id=g:2593923
Kondola	id=g:2593924
Timfala	id=g:2593925
Ntiasso	id=g:2593926
Konina	id=g:2593927
Koya	id=g:2593928
Dambougou	id=g:2593929
Manakoro	id=g:2593930
Mozombougou	id=g:2593931
Siradiofofo	id=g:2593932
Youssoubougou	id=g:2593933
Tabakoro	id=g:2593934
Sèniébaoulé	id=g:2593935
Bouatoubougou	id=g:2593936
Fombabougou	id=g:2593937
Mahina	id=g:2593938
Sébéninkoro	id=g:2593939
Tyènéfolo	id=g:2593940
Sintalako	id=g:2593941
Kaminièguen	id=g:2593942
Kanzana	id=g:2593943
Bakaribougou	id=g:2593944
Sonkankourani	id=g:2593945
Djimékourani	id=g:2593946
Toubabougouko	id=g:2593947
Béninko	id=g:2593948
Djimè	id=g:2593949
Konkon	id=g:2593950
Kanalé	id=g:2593951
Dianfabougou	id=g:2593952
Dougourakoro	id=g:2593953
Farissoumana	id=g:2593954
Moribougou	id=g:2593955
Markabougou	id=g:2593956
Bini	id=g:2593957
Kodian	id=g:2593958
Kodiambougouni	id=g:2593959
Koni	id=g:2593960
Sido	id=g:2593961
Dènièko	id=g:2593963
Dialakoro	id=g:2593964
Dèniè	id=g:2593965
Mozombougou	id=g:2593966
Dianikoro	id=g:2593967
Tyènfala	id=g:2593968
Souni	id=g:2593969
Torako	id=g:2593970
Mpiébougou	id=g:2593971
Zoumanakabougou	id=g:2593972
Diémabougou	id=g:2593973
Ouolodièdo	id=g:2593974
Kokounikourou	id=g:2593975
Diodiandiè	id=g:2593976
Kola	id=g:2593977
Farala	id=g:2593978
Séribougou	id=g:2593979
Koundji	id=g:2593980
Koba	id=g:2593981
Doubabougou	id=g:2593982
Daba	id=g:2593983
Kokoun	id=g:2593984
Tabara	id=g:2593985
Tama	id=g:2593986
Mouniani	id=g:2593987
Sirakoro	id=g:2593988
Diako	id=g:2593989
Sèntinè	id=g:2593990
Sorondara	id=g:2593991
Padoubabougou	id=g:2593992
Dinga	id=g:2593993
Farala	id=g:2593994
Diokalabougou	id=g:2593995
Diokalani	id=g:2593996
Sabala	id=g:2593997
Fofo	id=g:2593998
Fayada	id=g:2593999
Dioumanina	id=g:2594000
Dabako	id=g:2594001
Nazambougou	id=g:2594002
Fèyèko	id=g:2594003
Faradiè	id=g:2594004
Sourounara	id=g:2594005
Baniakoro	id=g:2594006
Baniakoro Ouolodièdo	id=g:2594007
Toubadji	id=g:2594008
Toutyèn	id=g:2594009
Toutyèn	id=g:2594010
Kobélènkoro	id=g:2594011
Babala	id=g:2594012
Damadon	id=g:2594013
Kamarabougou	id=g:2594014
Gaoussoubougou	id=g:2594015
Diba	id=g:2594016
Kobougou	id=g:2594017
Zélabougou	id=g:2594018
Molobala	id=g:2594019
Darabougou	id=g:2594020
Sirakoroni	id=g:2594021
Famou	id=g:2594022
Sikoroni	id=g:2594023
Ntènèmè	id=g:2594024
Diandian	id=g:2594025
Blan	id=g:2594026
Sirafouka	id=g:2594027
Sougoulabougou	id=g:2594028
Sébélakoro	id=g:2594029
Faradan	id=g:2594030
Farako Darani	id=g:2594031
Tyènkouma	id=g:2594032
Sidiano	id=g:2594033
Kongodian	id=g:2594034
Samatokoro	id=g:2594035
Falanibougouda	id=g:2594036
Niamadiana	id=g:2594037
Dialakoroba	id=g:2594038
Hèrèmakono	id=g:2594039
Niania	id=g:2594040
Boukabougouda	id=g:2594041
Mossibougou	id=g:2594042
Tyètiguibougou	id=g:2594043
Missalabougou	id=g:2594044
Missala	id=g:2594045
Diatoula	id=g:2594046
Kalaban Koura	id=g:2594047
Sabalibougou	id=g:2594048
Farako Mountougoula	id=g:2594049
Soutarabougou	id=g:2594050
Ngolokébougou	id=g:2594051
Tyèkéna	id=g:2594052
Sanankorobougou	id=g:2594053
Sibiribougou	id=g:2594054
Nanibougou	id=g:2594055
Ouolodièdo	id=g:2594056
Zeban	id=g:2594057
Diko	id=g:2594058
Soroba	id=g:2594059
Nkoniko	id=g:2594060
Yayabougou	id=g:2594061
Sadiouroubougou	id=g:2594062
Kasséla	id=g:2594063
Sadio Ouéré	id=g:2594064
Niamalabougou	id=g:2594065
Sikoroko	id=g:2594066
Magnambougou	id=g:2594067
Sokorodji	id=g:2594068
Missabougou	id=g:2594069
Daoudabougou	id=g:2594070
Bakorobougou	id=g:2594071
Niamana	id=g:2594072
Tyènguiéla	id=g:2594073
Bankoni	id=g:2594074
Korofina	id=g:2594075
Titibougou	id=g:2594076
Boulkassoumbougou	id=g:2594077
Dialakorodji	id=g:2594078
Koda	id=g:2594079
Banankoro	id=g:2594080
Kama	id=g:2594081
Ngabakoro Droit	id=g:2594082
Dogobala	id=g:2594083
Mounoumounoumba	id=g:2594084
Markaforo	id=g:2594085
Djinkoni	id=g:2594086
Diamissabougou	id=g:2594087
Farakoba	id=g:2594088
Tyèmanko	id=g:2594089
Noumoubougou	id=g:2594090
Fougadougou	id=g:2594091
Palasso	id=g:2594092
Farakan Ouéré	id=g:2594093
Bagueinéda Village	id=g:2594094
Konyimba	id=g:2594095
Sala	id=g:2594096
Faradièla	id=g:2594097
Diakoni	id=g:2594098
Niékèntombo	id=g:2594099
Komba	id=g:2594100
Ntomikorobougou	id=g:2594101
Korokorobougou	id=g:2594102
Bèrèbougou	id=g:2594103
Tyèn	id=g:2594104
Soro	id=g:2594105
Néko	id=g:2594106
Diarafoufou	id=g:2594107
Niankorobougou	id=g:2594108
Dokala	id=g:2594109
Farako	id=g:2594110
Farako	id=g:2594111
Sirakoro	id=g:2594112
Béléko	id=g:2594113
Djidièni	id=g:2594114
Ndjila	id=g:2594115
Koba	id=g:2594116
Solonko	id=g:2594117
Sonkan	id=g:2594118
Chyodo	id=g:2594119
Diro	id=g:2594120
Dirokourani	id=g:2594121
Maribougou	id=g:2594122
Tyèni	id=g:2594123
Siakabougou	id=g:2594124
Koungodian	id=g:2594125
Moudian	id=g:2594126
Béninko	id=g:2594127
Kobadian	id=g:2594128
Bouanidiè	id=g:2594129
Sokabougou	id=g:2594130
Tyènkorola	id=g:2594131
Tandougou	id=g:2594132
Daoudabougou	id=g:2594133
Ntèga	id=g:2594134
Makadoumbougou	id=g:2594135
Bakaribougou	id=g:2594136
Magnambougou	id=g:2594137
Modibougou	id=g:2594138
Dangakoro	id=g:2594139
Djikoungoni	id=g:2594140
Dougouyé	id=g:2594141
Bolibabougou	id=g:2594142
Kokoun	id=g:2594143
Bouramabougou	id=g:2594144
Amadoubougou	id=g:2594145
Kona	id=g:2594146
Tyèkourabougou	id=g:2594147
Bininko	id=g:2594148
Ntomon	id=g:2594149
Koninko	id=g:2594150
Dagui	id=g:2594151
Massougou	id=g:2594152
Ntagado	id=g:2594153
Konina	id=g:2594154
Darifoufou	id=g:2594155
Ouolodo	id=g:2594156
Markakoungo	id=g:2594157
Digui	id=g:2594158
Kodétèmbougou	id=g:2594159
Kobili	id=g:2594160
Zabantigui	id=g:2594161
Siraninkélédiè	id=g:2594162
Banankabougou	id=g:2594163
Bougoulafara	id=g:2594164
Laminibougou	id=g:2594165
Tingolé Béninko	id=g:2594166
Ngalamatou	id=g:2594167
Golotou	id=g:2594168
Séguéné	id=g:2594169
Bafimbougou	id=g:2594170
Kodialan	id=g:2594171
Moussoukorobougou	id=g:2594172
Kobada	id=g:2594173
Banankabougou	id=g:2594174
Koronfébougou	id=g:2594175
Djidièbougou	id=g:2594176
Laminibougou	id=g:2594177
Bakaribougou	id=g:2594178
Kokounkoro	id=g:2594179
Blènkoua	id=g:2594180
Kobili	id=g:2594181
Ngabakoro	id=g:2594182
Ntènèfèkabougou	id=g:2594183
Kouni	id=g:2594184
Kassédié	id=g:2594185
Sirakoro Soundian	id=g:2594186
Soundian	id=g:2594187
Daoudabougou	id=g:2594188
Diè	id=g:2594189
Kolombada	id=g:2594190
Fousseynibougou	id=g:2594191
Nouaninkoro	id=g:2594192
Kouanié	id=g:2594193
Damanko	id=g:2594194
Kaouina	id=g:2594195
Baninkoro	id=g:2594196
Founébougou	id=g:2594197
Tougouninbougou	id=g:2594198
Drissabougou	id=g:2594199
Mossibougou Faradiè	id=g:2594200
Sido	id=g:2594201
Chyokoro	id=g:2594202
Banankoro	id=g:2594203
Mbédi	id=g:2594204
Kolobougou	id=g:2594205
Tamatoumbougou	id=g:2594206
Syèkilikoungo	id=g:2594207
Madina	id=g:2594208
Sambourabougou	id=g:2594209
Hamdallaye	id=g:2594210
Badinouétou	id=g:2594211
Badiguèndo	id=g:2594212
Bakaribougou	id=g:2594213
Soundièbougou	id=g:2594214
Dossouma	id=g:2594215
Makonobougou	id=g:2594216
Koulani	id=g:2594217
Nanla	id=g:2594218
Souleymane Bougou	id=g:2594219
Nanla	id=g:2594220
Nandjirila	id=g:2594221
Ntékédo Sirakoro	id=g:2594222
Kamambougou	id=g:2594223
Kofolo	id=g:2594224
Ntomkoroko	id=g:2594225
Sirababougou	id=g:2594226
Tassan	id=g:2594227
Safokoro	id=g:2594228
Safénébougou	id=g:2594229
Ouorombanda	id=g:2594230
Fabougou	id=g:2594231
Baro	id=g:2594232
Ouarala	id=g:2594233
Dogoro	id=g:2594234
Chèla	id=g:2594235
Kaba	id=g:2594236
Ndinkoro	id=g:2594237
Chyodo	id=g:2594238
Kodialani	id=g:2594239
Guéssédambougou	id=g:2594240
Banankoro	id=g:2594241
Bougoudako	id=g:2594242
Ngolobougou	id=g:2594243
Sababougou	id=g:2594244
Zambougou Koro	id=g:2594245
Magnambougou	id=g:2594246
Dabani	id=g:2594247
Sirabalabougou	id=g:2594248
Solani	id=g:2594249
Ouorombandako	id=g:2594250
Diouama	id=g:2594251
Kokounkourou	id=g:2594252
Kabaro	id=g:2594253
Toulobougou	id=g:2594254
Tinzéni	id=g:2594255
Bla	id=g:2594256
Sanankoro	id=g:2594257
Diokobougou	id=g:2594258
Banko	id=g:2594259
Sènkoro Koro	id=g:2594260
Dialakorobougou	id=g:2594261
Gomala	id=g:2594262
Diambèrèbougou	id=g:2594263
Noumoubougou	id=g:2594264
Fèyabougoufiè	id=g:2594265
Ntinèdiè	id=g:2594266
Dlan	id=g:2594267
Dladiè	id=g:2594268
Kélébougou	id=g:2594269
Kéka	id=g:2594270
Binian	id=g:2594271
Chyo	id=g:2594272
Bafinkabougou	id=g:2594273
Moribougou	id=g:2594274
Bodogo	id=g:2594275
Siratiguila	id=g:2594276
Sidiankoro	id=g:2594277
Kodiala	id=g:2594278
Sèndo	id=g:2594279
Mènkoungo	id=g:2594280
Tourabougou	id=g:2594281
Sido	id=g:2594282
Doniobougou	id=g:2594283
Fièna	id=g:2594284
Dialakorobougou	id=g:2594285
Nianina	id=g:2594286
Madioubabougou	id=g:2594287
Ndiabougou	id=g:2594288
Dogoni	id=g:2594289
Finkodoko	id=g:2594290
Sirakoro	id=g:2594291
Bouadougou	id=g:2594292
Baflèbougou	id=g:2594293
Samanaga	id=g:2594294
Bayorobougou	id=g:2594295
Djidièbougou	id=g:2594296
Markabougou	id=g:2594297
Morikoungo	id=g:2594298
Sirakoro	id=g:2594299
Tyènian	id=g:2594300
Zambougou	id=g:2594301
Néniélé	id=g:2594302
Dinankaoukabougou	id=g:2594303
Tindiambougou	id=g:2594304
Sirama	id=g:2594305
Sirifibougou	id=g:2594306
Dièkoungo	id=g:2594307
Dioni	id=g:2594308
Koliko	id=g:2594309
Kodialan	id=g:2594310
Foulakoungo	id=g:2594311
Seydiola	id=g:2594312
Bakoutoumbougou	id=g:2594313
Sassoumana	id=g:2594314
Noumoubougou	id=g:2594315
Bamanan	id=g:2594316
Kékouma	id=g:2594317
Guédioumabougou	id=g:2594318
Mandiarabougou	id=g:2594319
Tana	id=g:2594320
Manioumani	id=g:2594321
Djirimassigui	id=g:2594322
Namabougou	id=g:2594323
Kassoumabougou	id=g:2594324
Tambabougou	id=g:2594325
Tchitoua	id=g:2594326
Zanguéna	id=g:2594327
Tyèmokobougou	id=g:2594328
Kounsiguiko	id=g:2594329
Bandiougoubougou	id=g:2594330
Ouadougou Sikoro	id=g:2594331
Kounkoundo	id=g:2594341
Kodani	id=g:2594342
Bayé	id=g:2594343
Dangatènè	id=g:2594344
Bogokolé	id=g:2594345
Tyènfinako	id=g:2594346
Diérima	id=g:2594347
Balanko	id=g:2594348
Fara	id=g:2594349
Kouroussako	id=g:2594350
Sébénidian	id=g:2594351
Ténguéléma	id=g:2594352
Bomboroléko	id=g:2594353
Kalakoroko	id=g:2594354
Manalo	id=g:2594355
Goulélino	id=g:2594356
Abaladougou Kéniéba	id=g:2594357
Mbadji	id=g:2594358
Golombi	id=g:2594359
Dabala	id=g:2594360
Dioulafondo	id=g:2594361
Boba	id=g:2594362
Massakodji	id=g:2594363
Mpékorola	id=g:2594364
Boubala	id=g:2594365
Bolontou	id=g:2594366
Fadioungoula	id=g:2594367
Banzan	id=g:2594368
Kobamiè	id=g:2594369
Sambala	id=g:2594370
Bakaran	id=g:2594371
Kokoumbo	id=g:2594372
Dèngan	id=g:2594373
Kalakoro	id=g:2594374
Makana	id=g:2594375
Lènguèlo	id=g:2594376
Kobada	id=g:2594377
Koundani	id=g:2594378
Lèfloni	id=g:2594379
Labankono	id=g:2594380
Farama	id=g:2594381
Fadama	id=g:2594382
Sinion	id=g:2594383
Kolèndako	id=g:2594384
Kobada	id=g:2594385
Bélindo	id=g:2594386
Kèngué	id=g:2594387
Mana	id=g:2594388
Tonfara	id=g:2594389
Bayan	id=g:2594390
Koulaka	id=g:2594391
Kossouma	id=g:2594392
Solabougouda	id=g:2594393
Madouba	id=g:2594394
Farabani	id=g:2594395
Namalé	id=g:2594396
Siguimbili	id=g:2594397
Kolènda	id=g:2594398
Boungouma	id=g:2594399
Kokourouni	id=g:2594400
Kolènda	id=g:2594401
Kondo	id=g:2594402
Farabalé	id=g:2594403
Bako	id=g:2594404
Mokoyako	id=g:2594405
Kodiara	id=g:2594406
Farakoundo	id=g:2594407
Darakono	id=g:2594408
Faraguè	id=g:2594409
Saramodola	id=g:2594410
Singouéla	id=g:2594411
Dankasséné	id=g:2594412
Tiko	id=g:2594413
Djitiko	id=g:2594414
Nialafira	id=g:2594415
Sissébougou	id=g:2594416
Bankassi	id=g:2594417
Sambara	id=g:2594418
Kolè	id=g:2594419
Niarala	id=g:2594420
Kodanko	id=g:2594421
Timako	id=g:2594422
Kilimalé	id=g:2594423
Kananko	id=g:2594424
Solobadamankabougouda	id=g:2594425
Balabougou	id=g:2594426
Somonosso	id=g:2594427
Kamalo	id=g:2594428
Bonfan	id=g:2594429
