Buzzard Knob	id=g:4286432
Clifty Church	id=g:4288041
Clifty Creek	id=g:4288042
Clifty Creek	id=g:4288043
Clifty Creek	id=g:4288044
Clifty Creek	id=g:4288045
Clifty Creek	id=g:4288046
Clifty Creek	id=g:4288047
Clifty Creek	id=g:4288048
Clifty Creek	id=g:4288049
Clifty Creek	id=g:4288050
Clifty Creek	id=g:4288051
Clifty Grove Baptist Church	id=g:4288052
Clifty Hollow	id=g:4288053
Clifty Hill	id=g:4288054
Clifty Hollow	id=g:4288055
Clifty Mine	id=g:4288056
Clifty Wilderness	id=g:4288057
Climax	id=g:4288058
Climax Church	id=g:4288059
Clinch Knob	id=g:4288060
Cline Cemetery	id=g:4288061
Clinton	id=g:4288062
Clinton County	id=g:4288063
Clinton County Hospital Heliport	id=g:4288064
Clinton Hamilton Branch	id=g:4288065
Clifty School	id=g:4288066
Clintonville	id=g:4288067
Clio	id=g:4288068
Cloddy Field Branch	id=g:4288069
Clinton-Hickman County Airport	id=g:4288070
Cloud Branch	id=g:4288071
Closplint	id=g:4288072
Cloud Branch	id=g:4288073
Cloud Crossing	id=g:4288074
Clouse Cemetery	id=g:4288075
Clover	id=g:4288076
Clover Bottom	id=g:4288077
Clover Bottom Church	id=g:4288078
Clover Bottom Church	id=g:4288079
Clover Bottom Creek	id=g:4288080
Cloud Splitter	id=g:4288081
Clover Branch	id=g:4288082
Clover Creek	id=g:4288083
Clover Creek	id=g:4288084
Clover Field Branch	id=g:4288085
Clover Fork	id=g:4288086
Clover Fork Cumberland River	id=g:4288087
Clover Gap	id=g:4288088
Clover Gap Branch	id=g:4288089
Clover Hill Church	id=g:4288090
Clover Hollow	id=g:4288091
Clover Lick Creek	id=g:4288092
Clover Hill Church	id=g:4288093
Cloverleaf Branch	id=g:4288094
Clover-Darby	id=g:4288095
Cloverlick Creek	id=g:4288096
Cloverleaf Church	id=g:4288097
Clovertown	id=g:4288098
Cloyd Branch	id=g:4288099
Cloyd Creek	id=g:4288100
Cloverport	id=g:4288101
Cloyds Landing	id=g:4288102
Cloyds Landing Island	id=g:4288103
Cub Creek Hill	id=g:4288104
Clutts	id=g:4288105
Clybur Cemetery	id=g:4288106
Clyffeside Branch	id=g:4288107
Cloyd Ridge	id=g:4288108
Coaker Hollow	id=g:4288109
Co-Operative	id=g:4288110
Coal Band Branch	id=g:4288111
Coakley	id=g:4288112
Coal Bank Hollow	id=g:4288113
Coal Bank Hollow	id=g:4288114
Coal Bank Hollow	id=g:4288115
Coal Branch	id=g:4288116
Coal Branch	id=g:4288117
Coal Branch	id=g:4288118
Coal Branch	id=g:4288119
Coal Branch	id=g:4288120
Coal Branch	id=g:4288121
Coal Branch	id=g:4288122
Coal Branch	id=g:4288123
Coal Branch	id=g:4288124
Coal Branch	id=g:4288125
Coal Branch Mission	id=g:4288126
Coal Branch School	id=g:4288127
Coal Cliff	id=g:4288128
Coal Creek	id=g:4288129
Coal Branch	id=g:4288130
Coal Creek	id=g:4288131
Coal Creek	id=g:4288132
Coal Hollow	id=g:4288133
Coal Hollow	id=g:4288134
Coal Hollow	id=g:4288135
Coal Hollow	id=g:4288136
Coal Hollow	id=g:4288137
Coal Pit Knob	id=g:4288138
Coal Run Post Office	id=g:4288139
Coal Run Village	id=g:4288140
Coal Stone Branch	id=g:4288141
Coal Run	id=g:4288142
Coalbank Branch	id=g:4288143
Coalbank Branch	id=g:4288144
Coalbank Hollow	id=g:4288145
Coalfield Hollow	id=g:4288146
Coalgood Post Office	id=g:4288147
Coalmine Hollow	id=g:4288148
Coalpit Hollow	id=g:4288149
Coalstone Branch	id=g:4288150
Coalstone Branch	id=g:4288151
Coalstone School	id=g:4288152
Coates Branch	id=g:4288153
Coalton	id=g:4288154
Coats Hill	id=g:4288155
Cob Branch	id=g:4288156
Cob Hollow	id=g:4288157
Cobb	id=g:4288158
Cobb Cemetery	id=g:4288159
Cobb Cemetery	id=g:4288160
Cobb Cemetery	id=g:4288161
Cobb Cemetery	id=g:4288162
Cobb Fork	id=g:4288163
Coatney Ridge	id=g:4288164
Cobhill	id=g:4288165
Coburg	id=g:4288166
Coburn Branch	id=g:4288167
Cobblers Knob	id=g:4288168
Coburn Branch	id=g:4288169
Coburn Cemetery	id=g:4288170
Cochran Cemetery	id=g:4288171
Cochran Hill	id=g:4288172
Cochran School	id=g:4288173
Cochrane School	id=g:4288174
Cocker Lick Branch	id=g:4288175
Cocanougher Cemetery	id=g:4288176
Cockerell Fork School	id=g:4288177
Cockerell Trace Branch	id=g:4288178
Cockerell Fork Cemetery	id=g:4288179
Cockrell Fork	id=g:4288180
Cockrill Fork	id=g:4288181
Codell Airport	id=g:4288182
Cody Bible Church	id=g:4288183
Codyville	id=g:4288184
Coe	id=g:4288185
Coe Creek	id=g:4288186
Codell Lake	id=g:4288187
Coe Hollow	id=g:4288188
Coe School	id=g:4288189
Coefield Creek	id=g:4288190
Cofer	id=g:4288191
Coffee Branch	id=g:4288192
Coffee Branch	id=g:4288193
Coffee Creek	id=g:4288194
Coffey Branch	id=g:4288195
Coffee School	id=g:4288196
Coffey Cemetery	id=g:4288197
Coffey Cemetery	id=g:4288198
Coffey Cemetery	id=g:4288199
Coffey Cemetery	id=g:4288200
Coffey Grove School	id=g:4288201
Coffey Hollow	id=g:4288202
Coffey Cemetery	id=g:4288203
Coffey Hollow	id=g:4288204
Coffey Mountain	id=g:4288205
Coffman	id=g:4288206
Coffman Branch	id=g:4288207
Coffey School	id=g:4288208
Coffman Cemetery	id=g:4288209
Coffmans Lake	id=g:4288210
Cog Hill Cemetery	id=g:4288211
Cogswell	id=g:4288212
Cogur Fork	id=g:4288213
Coiltown	id=g:4288214
Coiltown Mine	id=g:4288215
Coiltown Station	id=g:4288216
Coin	id=g:4288217
Colby	id=g:4288218
Colby Hills	id=g:4288219
Colbys Store	id=g:4288220
Cold Cave Creek	id=g:4288221
Cold Cave School	id=g:4288222
Cold Fork	id=g:4288223
Coffman Bridge	id=g:4288224
Cold Fork	id=g:4288225
Cold Hill School	id=g:4288226
Cold Hollow	id=g:4288227
Cold Iron Cemetery	id=g:4288228
Cold Oak Hollow	id=g:4288229
Cold Spring	id=g:4288230
Cold Spring Branch	id=g:4288231
Cold Spring Branch	id=g:4288232
Cold Spring Branch	id=g:4288233
Cold Spring Hollow	id=g:4288234
Cold Spring Hollow	id=g:4288235
Cold Spring Hollow	id=g:4288236
Cold Spring Hollow	id=g:4288237
Cold Springs	id=g:4288238
Cold Springs Church	id=g:4288239
Cold Springs School	id=g:4288240
Coldiron	id=g:4288241
Coldiron Branch	id=g:4288242
Cold Springs Baptist Church	id=g:4288243
Coldiron Branch	id=g:4288244
Coldiron Branch	id=g:4288245
Coldiron Fork	id=g:4288246
Coldiron School	id=g:4288247
Coldwater	id=g:4288248
Coldwater Branch	id=g:4288249
Coldstream	id=g:4288250
Coldwater Fork	id=g:4288251
Coldwater Cemetery	id=g:4288252
Coldwater Hollow	id=g:4288253
Coldweather Creek	id=g:4288254
Cole Branch	id=g:4288255
Cole Branch	id=g:4288256
Cole Branch	id=g:4288257
Cole Branch Church	id=g:4288258
Cole Creek	id=g:4288259
Cole Cemetery	id=g:4288260
Cole Fork	id=g:4288261
Cole Fork	id=g:4288262
Cole Grove Branch	id=g:4288263
Cole Ridge	id=g:4288264
Cole Spur	id=g:4288265
Coleman	id=g:4288266
Coleman Branch	id=g:4288267
Cole Spring Church	id=g:4288268
Coleman Branch	id=g:4288269
Coleman Branch	id=g:4288270
Coleman Cemetery	id=g:4288271
Coleman Cemetery	id=g:4288272
Coleman Cemetery	id=g:4288273
Coleman Cemetery	id=g:4288274
Coleman Knob	id=g:4288275
Coleman Ridge	id=g:4288276
Coleman Run	id=g:4288277
Coleman Cemetery	id=g:4288278
Colen Branch	id=g:4288279
Coles Branch	id=g:4288280
Coles Chapel	id=g:4288281
Coles Fork	id=g:4288282
Coles Campground Church	id=g:4288283
Coles Fork	id=g:4288284
Coles Fork	id=g:4288285
Colesburg	id=g:4288286
Coley Branch	id=g:4288287
Coletown	id=g:4288288
Colitown Junction	id=g:4288289
College Farm	id=g:4288290
College Heights Church	id=g:4288291
College Hill	id=g:4288292
College Street School	id=g:4288293
College View Church of Christ	id=g:4288294
Collett Cemetery	id=g:4288295
Colletts Hill	id=g:4288296
Colley Fork	id=g:4288297
Collie Cemetery	id=g:4288298
Collie Cemetery	id=g:4288299
Collie Ridge	id=g:4288300
Collier Cemetery	id=g:4288301
Collier Creek Church	id=g:4288302
Collier Memorial Garden	id=g:4288303
Collier Rocks	id=g:4288304
Collier School	id=g:4288305
Collier Spring Church	id=g:4288306
Colliers Creek	id=g:4288307
Colfax	id=g:4288308
Collin Cemetery	id=g:4288309
Collins	id=g:4288310
Collins Branch	id=g:4288311
Colliers Creek School	id=g:4288312
Collins Branch	id=g:4288313
Collins Branch	id=g:4288314
Collins Branch	id=g:4288315
Collins Branch	id=g:4288316
Collins Branch	id=g:4288317
Collins Branch	id=g:4288318
Collins Branch	id=g:4288319
Collins Branch	id=g:4288320
Collins Bridge	id=g:4288321
Collins Cemetery	id=g:4288322
Collins Cemetery	id=g:4288323
Collins Cemetery	id=g:4288324
Collins Cemetery	id=g:4288325
Collins Cemetery	id=g:4288326
Collins Cemetery	id=g:4288327
Collins Cemetery	id=g:4288328
Collins Cemetery	id=g:4288329
Collins Cemetery	id=g:4288330
Collins Cemetery	id=g:4288331
Collins Creek	id=g:4288332
Collins Cemetery	id=g:4288333
Collins Fork	id=g:4288334
Collins Fork	id=g:4288335
Collins Hollow	id=g:4288336
Collins Fork	id=g:4288337
Collins Rock	id=g:4288338
Collins Spring	id=g:4288339
Collinsworth Branch	id=g:4288340
Collins Lane Elementary School	id=g:4288341
Colliver	id=g:4288342
Colman Ditch	id=g:4288343
Colmar	id=g:4288344
Colo Church	id=g:4288345
Colo School	id=g:4288346
Colonal Abraham Depew Grave	id=g:4288347
Colonel Hollow	id=g:4288348
Collista	id=g:4288349
Colony	id=g:4288350
Colony Elementary School	id=g:4288351
Colson	id=g:4288352
Colson Creek	id=g:4288353
Colonial Mine	id=g:4288354
Colson School (historical)	id=g:4288355
Colts	id=g:4288356
Colts Fork	id=g:4288357
Colson Hollow Overlook	id=g:4288358
Columbia Mine	id=g:4288359
Columbia-Adair County Airport	id=g:4288360
Columbus	id=g:4288361
Columbus	id=g:4288362
Columbus-Belmont State Park	id=g:4288363
Colville	id=g:4288364
Colvin Branch	id=g:4288365
Columbia	id=g:4288366
Colvin Branch	id=g:4288367
Colvin Cemetery	id=g:4288368
Colwell Fork	id=g:4288369
Colvin Lake	id=g:4288370
Com Creek	id=g:4288371
Comargo	id=g:4288372
Combs Branch	id=g:4288373
Combs	id=g:4288374
Combs Branch	id=g:4288375
Combs Branch	id=g:4288376
Combs Branch	id=g:4288377
Combs Branch	id=g:4288378
Combs Branch	id=g:4288379
Combs Branch	id=g:4288380
Combs Branch	id=g:4288381
Combs Branch	id=g:4288382
Combs Branch	id=g:4288383
Combs Cemetery	id=g:4288384
Combs Cemetery	id=g:4288385
Combs Cemetery	id=g:4288386
Combs Cemetery	id=g:4288387
Combs Cemetery	id=g:4288388
Combs Cemetery	id=g:4288389
Combs Cemetery	id=g:4288390
Combs Cemetery	id=g:4288391
Combs Cemetery	id=g:4288392
Combs Ford	id=g:4288393
Combs Fork	id=g:4288394
Combs Branch School (historical)	id=g:4288395
Combs Fork	id=g:4288396
Combs Lake	id=g:4288397
Combs Spring	id=g:4288398
Comer	id=g:4288399
Comer Cemetery	id=g:4288400
Commerce Landing	id=g:4288401
Commissary Branch	id=g:4288402
Combs Ridge	id=g:4288403
Commissary Hollow	id=g:4288404
Commissary Corner	id=g:4288405
Company Branch	id=g:4288406
Commodore Mine	id=g:4288407
Company Cemetery	id=g:4288408
Company Hollow	id=g:4288409
Company Cemetery	id=g:4288410
Compton Branch	id=g:4288411
Compton Branch	id=g:4288412
Compton Branch	id=g:4288413
Compton Cemetery	id=g:4288414
Compton Fork	id=g:4288415
Compton Cemetery	id=g:4288416
Concord	id=g:4288417
Concord	id=g:4288418
Concord	id=g:4288419
Concord	id=g:4288420
Concord Cemetery	id=g:4288421
Concord Church	id=g:4288422
Concord Church	id=g:4288423
Concord Church	id=g:4288424
Concord Church	id=g:4288425
Concord Church	id=g:4288426
Concord Church	id=g:4288427
Concord Church	id=g:4288428
Concord Church	id=g:4288429
Concord Church	id=g:4288430
Concord Church	id=g:4288431
Concord Church	id=g:4288432
Concord Church	id=g:4288433
Concord Church	id=g:4288434
Concord Church	id=g:4288435
Concord United Baptist Church	id=g:4288436
Concord Baptist Church	id=g:4288437
Concord Church	id=g:4288438
Concord Church	id=g:4288439
Concord Church (historical)	id=g:4288440
Concord Church	id=g:4288441
Concord Church	id=g:4288442
Concord Baptist Church	id=g:4288443
Concord Church	id=g:4288444
Concord Ridge	id=g:4288445
Concord Ridge	id=g:4288446
Concord School	id=g:4288447
Concord School	id=g:4288448
Concord School	id=g:4288449
Concord School	id=g:4288450
Concordia	id=g:4288451
Concrete Church	id=g:4288452
Condit School	id=g:4288453
Cone Creek Church	id=g:4288454
Confederate	id=g:4288455
Confederate Branch	id=g:4288456
Concord	id=g:4288457
Confederate Cemetery	id=g:4288458
Confluence	id=g:4288459
Congleton	id=g:4288460
Congleton	id=g:4288461
Congleton Cemetery	id=g:4288462
Congleton Church	id=g:4288463
Congleton Mountain	id=g:4288464
Congrove Cemetery	id=g:4288465
Conklin School	id=g:4288466
Conkling	id=g:4288467
Conley	id=g:4288468
Conley Bottom Dock	id=g:4288469
Conley Branch	id=g:4288470
Confederate Cemetery	id=g:4288471
Conley Branch	id=g:4288472
Conley Branch	id=g:4288473
Conley Branch	id=g:4288474
Conley Cemetery	id=g:4288475
Conley Cemetery	id=g:4288476
Conley Cemetery	id=g:4288477
Conley Cemetery	id=g:4288478
Conley Cemetery	id=g:4288479
Conley Cemetery	id=g:4288480
Conley Cemetery	id=g:4288481
Conley Cemetery	id=g:4288482
Conley Fork	id=g:4288483
Conley Cemetery	id=g:4288484
Conley Fork	id=g:4288485
Conley School	id=g:4288486
Conn Branch	id=g:4288487
Conn Branch	id=g:4288488
Connelly Lake	id=g:4288489
Conner	id=g:4288490
Conner High School	id=g:4288491
Connersville	id=g:4288492
Connie Knob	id=g:4288493
Connley Cemetery	id=g:4288494
Conoe Creek	id=g:4288495
Conoloway	id=g:4288496
Conoloway Creek	id=g:4288497
Connelley Cemetery	id=g:4288498
Conrads Airport	id=g:4288499
Conrard	id=g:4288500
Conrey Church	id=g:4288501
Consolation	id=g:4288502
Consolation Mission Church	id=g:4288503
Consolation School	id=g:4288504
Consolidated High School	id=g:4288505
Consolidated School	id=g:4288506
Consolidated School	id=g:4288507
Constance	id=g:4288508
Constantine	id=g:4288509
Constitution School	id=g:4288510
Contrary Branch	id=g:4288511
Conrad Cemetery	id=g:4288512
Contrary Creek	id=g:4288513
Conway	id=g:4288514
Conway Hollow	id=g:4288515
Conyers Cemetery	id=g:4288516
Cook Branch	id=g:4288517
Cook Branch	id=g:4288518
Cook Branch	id=g:4288519
Cook Cemetery	id=g:4288520
Cook Cemetery	id=g:4288521
Cook Cemetery	id=g:4288522
Cook Cemetery	id=g:4288523
Cook Cemetery	id=g:4288524
Cook Cemetery	id=g:4288525
Cook Cemetery	id=g:4288526
Cook Creek	id=g:4288527
Cook Cemetery	id=g:4288528
Cook Creek	id=g:4288529
Cook Fork	id=g:4288530
Cook Hollow	id=g:4288531
Cook Hollow	id=g:4288532
Cook Spring Branch	id=g:4288533
Cook Spring	id=g:4288534
Cooke Lake	id=g:4288535
Cooks Branch	id=g:4288536
Cook-Smith Cemetery	id=g:4288537
Cooks Creek	id=g:4288538
Cooks Chapel	id=g:4288539
Cooksburg	id=g:4288540
Cooksey Cemetery	id=g:4288541
Cooksey Fork	id=g:4288542
Cooks Spring	id=g:4288543
Cooktown	id=g:4288544
Cool Branch	id=g:4288545
Cooksville	id=g:4288546
Cool Creek	id=g:4288547
Cool Hollow	id=g:4288548
Cool Spring Church	id=g:4288549
Cool Spring Hollow	id=g:4288550
Cool Spring Cemetery	id=g:4288551
Cool Spring Hollow	id=g:4288552
Cool Spring School	id=g:4288553
Cool Springs Branch	id=g:4288554
Cool Springs	id=g:4288555
Cool Springs Creek	id=g:4288556
Coolers Knob	id=g:4288557
Cooley Branch	id=g:4288558
Cooley Branch	id=g:4288559
Cooley Creek	id=g:4288560
Cooley Gap	id=g:4288561
Coolfield Branch	id=g:4288562
Coolwater Branch	id=g:4288563
Cooley Knob	id=g:4288564
Coomer Hollow	id=g:4288565
Coon Branch	id=g:4288566
Coon Branch	id=g:4288567
Coon Branch	id=g:4288568
Coon Branch	id=g:4288569
Coon Branch	id=g:4288570
Coon Branch	id=g:4288571
Coon Branch	id=g:4288572
Coon Chapel	id=g:4288573
Coon Creek	id=g:4288574
Coon Cave Spring	id=g:4288575
Coon Creek	id=g:4288576
Coon Eye Branch	id=g:4288577
Coon Creek	id=g:4288578
Coon Hollow	id=g:4288579
Coon Hollow	id=g:4288580
Coon Hollow	id=g:4288581
Coon Pond	id=g:4288582
Coon Range Lake	id=g:4288583
Cooney Neck	id=g:4288584
Coonfoot Branch	id=g:4288585
Coon Patch Ridge	id=g:4288586
Cooper Branch	id=g:4288587
Cooper	id=g:4288588
Cooper Branch	id=g:4288589
Cooper Branch	id=g:4288590
Cooper Cemetery	id=g:4288591
Cooper Cemetery	id=g:4288592
Cooper Chapel	id=g:4288593
Cooper Creek	id=g:4288594
Cooper Cemetery	id=g:4288595
Cooper Creek	id=g:4288596
Cooper Creek	id=g:4288597
Cooper Creek	id=g:4288598
Cooper Creek	id=g:4288599
Cooper Creek	id=g:4288600
Cooper Fork	id=g:4288601
Cooper Creek Church	id=g:4288602
Cooper Fork	id=g:4288603
Cooper Fork Branch	id=g:4288604
Cooper Hollow	id=g:4288605
Cooper Hollow	id=g:4288606
Cooper Hollow	id=g:4288607
Cooper Hollow	id=g:4288608
Cooper Landing	id=g:4288609
Cooper Point	id=g:4288610
Cooper Run	id=g:4288611
Cooper Memorial Chapel	id=g:4288612
Cooper School	id=g:4288613
Cooper Spring	id=g:4288614
Cooperas Cave Branch	id=g:4288615
Cooper School	id=g:4288616
Cooperas Creek	id=g:4288617
Coopers Hollow	id=g:4288618
Cooperstown	id=g:4288619
Coopersville Ridge	id=g:4288620
Coopertown Creek	id=g:4288621
Coopersville	id=g:4288622
Cooter Creek	id=g:4288623
Cope Branch	id=g:4288624
Cope Cemetery	id=g:4288625
Cope Creek	id=g:4288626
Cope Fork	id=g:4288627
Copebranch	id=g:4288628
Copeland Cemetery	id=g:4288629
Copelin Cemetery	id=g:4288630
Copelin Valley	id=g:4288631
Copeland Bluff	id=g:4288632
Coplin Branch	id=g:4288633
Copland	id=g:4288634
Copper Creek	id=g:4288635
Copper Creek	id=g:4288636
Copper Hollow	id=g:4288637
Copper Mine Branch	id=g:4288638
Copper Slick Hollow	id=g:4288639
Copper Spring Branch	id=g:4288640
Copperas Branch	id=g:4288641
Copperas Branch	id=g:4288642
Copperas Creek	id=g:4288643
Copperas Creek	id=g:4288644
Copperas Creek	id=g:4288645
Copperas Fork	id=g:4288646
Copperas Lick Branch	id=g:4288647
Copperhead Branch	id=g:4288648
Copperhead Hollow	id=g:4288649
Coppers Branch	id=g:4288650
Coppers Fork	id=g:4288651
Coral Hill	id=g:4288652
Coral Ridge	id=g:4288653
Coraville	id=g:4288654
Corbett Ditch	id=g:4288655
Corbin	id=g:4288656
Cordell	id=g:4288657
Cordell Hull Reservoir	id=g:4288658
Corder Creek	id=g:4288659
Copperus Spring	id=g:4288660
Cordle Branch	id=g:4288661
Cordia	id=g:4288662
Cordova	id=g:4288663
Core Branch	id=g:4288664
Cordle Cemetery	id=g:4288665
Corinth	id=g:4288666
Corinth	id=g:4288667
Corinth Cemetery	id=g:4288668
Corinth Church	id=g:4288669
Corinth Christian Church	id=g:4288670
Corinth Baptist Church	id=g:4288671
Corinth Church	id=g:4288672
Corinth Church	id=g:4288673
Corinth Missionary Baptist Church	id=g:4288674
Corinth Baptist Church	id=g:4288675
Corinth Church	id=g:4288676
Corinth Church	id=g:4288677
Corinth Church	id=g:4288678
Corinth Church	id=g:4288679
Corinth Christian Church	id=g:4288680
Corinth Church	id=g:4288681
Corinth Church	id=g:4288682
Corinth Christian Church	id=g:4288683
Corinth Church	id=g:4288684
Corinth Lake	id=g:4288685
Corinth School	id=g:4288686
Cork	id=g:4288687
Corley Chapel	id=g:4288688
Corley Hill	id=g:4288689
Corn Branch	id=g:4288690
Corn Branch	id=g:4288691
Corey Cemetery	id=g:4288692
Corn Branch	id=g:4288693
Corn Branch	id=g:4288694
Corn Bread Branch	id=g:4288695
Corn Creek	id=g:4288696
Corn Creek	id=g:4288697
Corn Creek Baptist Church	id=g:4288698
Corn Fork	id=g:4288699
Corn Fork Church	id=g:4288700
Corn Fork Hollow	id=g:4288701
Corn Mine	id=g:4288702
Cornelius Cemetery	id=g:4288703
Corner Branch	id=g:4288704
Cornelius	id=g:4288705
Corner Stone Church	id=g:4288706
Corner Tree Knob	id=g:4288707
Corners	id=g:4288708
Cornerstone Church	id=g:4288709
Cornett Branch	id=g:4288710
Corner Ridge	id=g:4288711
Cornett Cemetery	id=g:4288712
Cornett Church	id=g:4288713
Cornett Hill Cemetery	id=g:4288714
Cornette	id=g:4288715
Cornetts Branch	id=g:4288716
Cornett Cemetery	id=g:4288717
Cornishville	id=g:4288718
Cornstalk Creek	id=g:4288719
Cornettsville	id=g:4288720
Cornwell	id=g:4288721
Cornwell Branch	id=g:4288722
Cornwall Pond	id=g:4288723
Cortland Fork	id=g:4288724
Cornwell Field	id=g:4288725
Coruth Branch	id=g:4288726
Cortland School	id=g:4288727
Cory Branch	id=g:4288728
Cory	id=g:4288729
Cory Branch	id=g:4288730
Corydon	id=g:4288731
Cosby Church	id=g:4288732
Costelow	id=g:4288733
Cothran Cemetery	id=g:4288734
Cottage Furnace Picnic Area	id=g:4288735
Cottage Furnace Ruins	id=g:4288736
Cottageville	id=g:4288737
Cotter-DuValle School	id=g:4288738
Cottle	id=g:4288739
Cottle Bend	id=g:4288740
Cottle Cemetery	id=g:4288741
Cottle Cemetery	id=g:4288742
Cottle Cemetery	id=g:4288743
Cottman Cemetery	id=g:4288744
Cotton Branch	id=g:4288745
Corydon Cemetery	id=g:4288746
Cotton Creek	id=g:4288747
Cotton Creek	id=g:4288748
Cotton Creek	id=g:4288749
Cotton Gap	id=g:4288750
Cotton Gin Hollow	id=g:4288751
Cotton Hollow	id=g:4288752
Cotton Knob	id=g:4288753
Cotton Patch Hollow	id=g:4288754
Cotton Patch Recreation Site	id=g:4288755
Cottonburg	id=g:4288756
Cottongim	id=g:4288757
Cottongim Cemetery	id=g:4288758
Cottonpatch Branch	id=g:4288759
Cotton Patch Ridge	id=g:4288760
Cottonpatch Branch	id=g:4288761
Cottonpatch Branch	id=g:4288762
Cottonpatch Hill	id=g:4288763
Cottonpatch Knob	id=g:4288764
Cottonpatch Ridge	id=g:4288765
Couch Branch	id=g:4288766
Cottonpatch Hill	id=g:4288767
Couch Cemetery	id=g:4288768
Couch Fork	id=g:4288769
Couch Branch	id=g:4288770
Couch Fork	id=g:4288771
Coulter Gap	id=g:4288772
Country Club Branch	id=g:4288773
Country Club Heights	id=g:4288774
Country Home Cemetery	id=g:4288775
Counts Crossroads	id=g:4288776
Boone County High School	id=g:4288777
County High School	id=g:4288778
County Home Cemetery	id=g:4288779
County Lake	id=g:4288780
County School Number 1	id=g:4288781
County School Number 2	id=g:4288782
County School Number 3	id=g:4288783
County War Memorial Fairgrounds	id=g:4288784
Court House Branch	id=g:4288785
Country Day School	id=g:4288786
Courthouse Fork	id=g:4288787
Courthouse Rock	id=g:4288788
Cove Branch	id=g:4288789
Courthouse Rock Trail	id=g:4288790
Cove Branch	id=g:4288791
Cove Haven Cemetery	id=g:4288792
Cove Hollow	id=g:4288793
Cove Hill Church	id=g:4288794
Cove Hollow	id=g:4288795
Cove Hollow Cemetery	id=g:4288796
Cove Hollow Church	id=g:4288797
Cove School	id=g:4288798
Cove Spring	id=g:4288799
Covedale	id=g:4288800
Cover Adams Hollow	id=g:4288801
Cove Hollow	id=g:4288802
Covington Church	id=g:4288803
Covington Filtration Plant	id=g:4288804
Covington Ridge	id=g:4288805
Covington-Kenton County Tuberculosis Hospital	id=g:4288806
Cow Branch	id=g:4288807
Cow Branch	id=g:4288808
Covington	id=g:4288809
Cow Branch	id=g:4288810
Cow Branch	id=g:4288811
Cow Branch	id=g:4288812
Cow Branch	id=g:4288813
Cow Branch	id=g:4288814
Cow Branch	id=g:4288815
Cow Branch	id=g:4288816
Cow Branch	id=g:4288817
Cow Branch	id=g:4288818
Cow Branch	id=g:4288819
Cow Branch	id=g:4288820
Cow Branch	id=g:4288821
Cow Branch	id=g:4288822
Cow Branch	id=g:4288823
Cow Cliff	id=g:4288824
Cow Creek	id=g:4288825
Cow Branch School (historical)	id=g:4288826
Cow Creek	id=g:4288827
Cow Creek	id=g:4288828
Cow Creek	id=g:4288829
Cow Creek	id=g:4288830
Cow Creek	id=g:4288831
Cow Creek	id=g:4288832
Cow Creek	id=g:4288833
Cow Creek	id=g:4288834
Cow Creek	id=g:4288835
Cow Creek	id=g:4288836
Cow Creek Cemetery	id=g:4288837
Cow Ford Hollow	id=g:4288838
Cow Creek School	id=g:4288839
Cow Fork	id=g:4288840
Cow Fork	id=g:4288841
Cow Fork	id=g:4288842
Cow Fork Church	id=g:4288843
Cow Hollow	id=g:4288844
Cow Hollow	id=g:4288845
Cow Fork	id=g:4288846
Cow Hoof Branch	id=g:4288847
Cow Hollow	id=g:4288848
Cow Lake	id=g:4288849
Cowan	id=g:4288850
Cowan Branch	id=g:4288851
Cow Knob	id=g:4288852
Cowan Creek	id=g:4288853
Cowan Cemetery	id=g:4288854
Cowan Fork	id=g:4288855
Cowans Branch	id=g:4288856
Cowbell Creek	id=g:4288857
Cowcreek	id=g:4288858
Cowhead Branch	id=g:4288859
Cowcreek Church	id=g:4288860
Cowhide Slough	id=g:4288861
Cowherd Cemetery	id=g:4288862
Cowhorn Creek	id=g:4288863
Cowhorn Hollow	id=g:4288864
Cowles Chapel	id=g:4288865
Cowlin Cemetery	id=g:4288866
Cowpen Branch	id=g:4288867
Cowley Cemetery	id=g:4288868
Cowpen Creek	id=g:4288869
Cowpen School	id=g:4288870
Cox Bend	id=g:4288871
Cox Bend	id=g:4288872
Cox Branch	id=g:4288873
Cowper Cemetery	id=g:4288874
Cox Branch	id=g:4288875
Cox Branch	id=g:4288876
Cox Branch	id=g:4288877
Cox Cave Branch	id=g:4288878
Cox Cemetery	id=g:4288879
Cox Cemetery	id=g:4288880
Cox Cemetery	id=g:4288881
Cox Cemetery	id=g:4288882
Cox Cemetery	id=g:4288883
Cox Cemetery	id=g:4288884
Cox Creek	id=g:4288885
Cox Cemetery	id=g:4288886
Cox Creek School	id=g:4288887
Cox Hole	id=g:4288888
Cox Hollow	id=g:4288889
Cox Hollow	id=g:4288890
Cox Creek Baptist Church	id=g:4288891
Cox Knob	id=g:4288892
Cox Knob	id=g:4288893
Cox Knob	id=g:4288894
Cox Park	id=g:4288895
Cox Run	id=g:4288896
Cox Spring Branch	id=g:4288897
Cox Knob	id=g:4288898
Coxs Branch	id=g:4288899
Coxs Cemetery	id=g:4288900
Coxton	id=g:4288901
Coy Cemetery	id=g:4288902
Coy Cemetery	id=g:4288903
Coyle Cemetery	id=g:4288904
Coyle Cumberland Presbyterian Church	id=g:4288905
Crab Bay	id=g:4288906
Crab Creek	id=g:4288907
Coxs Creek	id=g:4288908
Crab Creek Cemetery	id=g:4288909
Crab Orchard	id=g:4288910
