Maytabaro	id=g:6812486
Gororat	id=g:6827222
Tasasa	id=g:6827223
Sortal	id=g:6827224
Bani	id=g:6827225
Dingazi Tondi Tiré	id=g:6827226
Golo	id=g:6827227
Kabé	id=g:6827228
Boutosi	id=g:6827229
Golo Bangou	id=g:6827230
Tombo	id=g:6827231
Kâ	id=g:6827232
Mèynélogo	id=g:6827233
Bangou Foubi	id=g:6827234
Toulou Fanga	id=g:6827235
Dèy Tégi	id=g:6827236
Koli Tiloa	id=g:6827237
Kourian Saba	id=g:6827238
Gadanba	id=g:6827239
Nyogatari	id=g:6827240
Bangou Lorèy	id=g:6827241
Bondolo	id=g:6827242
Bakado Koara	id=g:6827243
Tolkoboy Fondoubon	id=g:6827244
Tolkoboy Goromay	id=g:6827245
Tolkoboy Malo Koara	id=g:6827246
Sansiliga	id=g:6827247
Té Tiloa	id=g:6827248
Asi Bangou	id=g:6827249
Bousigèy	id=g:6827250
Nabi	id=g:6827251
Bibakot	id=g:6827252
Dangarasa	id=g:6827253
Kanlakali	id=g:6827254
Boukou Béri	id=g:6827255
Bongizé Bangou	id=g:6827256
Bokèy	id=g:6827257
Koti Kori	id=g:6827258
Ganba	id=g:6827259
Bangou Béri	id=g:6827260
Kabouna	id=g:6827261
Sabargorou	id=g:6827262
Kangaroa Kwomo	id=g:6827263
Ba Bangou	id=g:6827264
Gola Koara	id=g:6827265
Banimaté	id=g:6827266
Ninéfouno	id=g:6827267
Bangouya	id=g:6827268
Ganda	id=g:6827269
Bolé	id=g:6827270
Férimaro	id=g:6827271
Tondi Banda	id=g:6827272
Diolé Ganda	id=g:6827273
Bangou Béri	id=g:6827274
Talkadabey Kalé	id=g:6827275
Koara Gabo	id=g:6827276
Sanéyan	id=g:6827277
Tinga	id=g:6827278
Délinya Bangou	id=g:6827279
Samtigi	id=g:6827280
Diolé Fandou	id=g:6827281
Sano	id=g:6827282
Diginasa Kaina	id=g:6827283
Grasa Koara	id=g:6827284
Marouyan	id=g:6827285
Non Tondi	id=g:6827286
Golo Tondi	id=g:6827287
Lafiko	id=g:6827288
Narabon	id=g:6827289
Maourèy	id=g:6827290
Gologorou	id=g:6827291
Gakoukou	id=g:6827292
Tibili Kaina	id=g:6827293
Koubworo	id=g:6827294
Tondi Kourou	id=g:6827295
Ouy Béri	id=g:6827296
Goumbibanda	id=g:6827297
Métiré	id=g:6827298
Sargèy Tilou	id=g:6827299
Koara Kaina	id=g:6827300
Foye Fandou	id=g:6827301
Dagaba	id=g:6827302
Sinsan	id=g:6827303
Alasi Koara	id=g:6827304
Donko Koara	id=g:6827305
Darèy	id=g:6827306
Tabagidi	id=g:6827307
Boulal	id=g:6827308
Samé	id=g:6827309
Daka	id=g:6827310
Bérey	id=g:6827311
Kouté	id=g:6827312
Yalouma	id=g:6827313
Kagala Koara	id=g:6827314
Kargi Bangou	id=g:6827315
Goula	id=g:6827316
Fandoro	id=g:6827317
Komo Bangou	id=g:6827318
Solèidé	id=g:6827319
Doudaugouré	id=g:6827320
Filatan	id=g:6827321
Bangou Béri	id=g:6827322
Yasi Koara	id=g:6827323
Samtigey Zeido	id=g:6827324
Filatan	id=g:6827325
Komofoga	id=g:6827326
Bankoire	id=g:6827327
Fazo	id=g:6827328
Ewan	id=g:6827329
Ayinsimorou	id=g:6827330
Biga Halip	id=g:6827331
Balo Koara	id=g:6827332
Bangou Béri	id=g:6827333
Bongoulo	id=g:6827334
Banbarou	id=g:6827335
Fwémay	id=g:6827336
Dangai	id=g:6827337
Golo Béri	id=g:6827338
Sabi Koara	id=g:6827339
Boulèyzé Tiloa	id=g:6827340
Gao	id=g:6827341
Togwèy	id=g:6827342
Yandi	id=g:6827343
Tilouziro	id=g:6827344
Farantara	id=g:6827345
Sokou	id=g:6827346
Mouzi Koara	id=g:6827347
Ouhani	id=g:6827348
Farantara	id=g:6827349
Tiloa	id=g:6827350
Kalsé	id=g:6827351
Saltou	id=g:6827352
Fandoa	id=g:6827353
Baléfoukabé	id=g:6827354
Kogourou Bangou	id=g:6827355
Ninikirèy	id=g:6827356
Kwarèy Bangou	id=g:6827357
Kabékongou	id=g:6827358
Djimini	id=g:6827359
Tibitiloa	id=g:6827360
Kâ	id=g:6827361
Tisièy	id=g:6827362
Laouza	id=g:6827363
Moroubéri	id=g:6827364
Tilokoaré	id=g:6827365
Sadizé Koara	id=g:6827366
Dabarèy	id=g:6827367
Tondibon Bangou	id=g:6827368
Tisido	id=g:6827369
Sonmbèyzé	id=g:6827370
Sinsan	id=g:6827371
Moro Koara	id=g:6827372
Foulié	id=g:6827373
Kô	id=g:6827374
Babzénéza Koara	id=g:6827375
Zéré Koara	id=g:6827376
Damaso	id=g:6827377
Albrékféri	id=g:6827378
Tchia	id=g:6827379
Yermousa	id=g:6827380
Tondl Kiré	id=g:6827381
Goso	id=g:6827382
Marouzéno	id=g:6827383
Aréy	id=g:6827384
Kasi Tondi	id=g:6827385
Djiri Koara	id=g:6827386
Goso	id=g:6827387
Oulihama	id=g:6827388
Taladié	id=g:6827389
Sabou Koara	id=g:6827390
Kangarwèy	id=g:6827391
Garbèy Goumandi Koara	id=g:6827392
So Bangou	id=g:6827393
Banizoumbou	id=g:6827394
Singill	id=g:6827395
Abasoko	id=g:6827396
Soufoulèy	id=g:6827397
Samatou Fandou	id=g:6827398
Tandi Kayé	id=g:6827399
Banizoumbou	id=g:6827400
Gourmèy Bangou	id=g:6827401
Baga	id=g:6827402
Donkourou	id=g:6827403
Fandou Tiyiré	id=g:6827404
Tilou Kaina	id=g:6827405
Wékourou	id=g:6827406
Zawégolo	id=g:6827407
Gombia	id=g:6827408
Sabon Gari	id=g:6827409
Chikan	id=g:6827410
Soufoulèy	id=g:6827411
Akimbo	id=g:6827412
Gadanmba	id=g:6827413
Dinézé	id=g:6827414
Boubéné	id=g:6827415
Yobangou	id=g:6827416
Kabéhinka	id=g:6827417
Tiléokoaré	id=g:6827418
Niamsa	id=g:6827419
Korombara	id=g:6827420
Tondi Koada	id=g:6827421
Godyé Koara	id=g:6827422
Dyembo Koara	id=g:6827423
Bongorou	id=g:6827424
Bakomaka	id=g:6827425
Sasaga	id=g:6827426
Tuizégorou Kaina	id=g:6827427
Gani Koara	id=g:6827428
Kinibay	id=g:6827429
Fatadji	id=g:6827430
Gwindibéri Marou	id=g:6827431
Kôbi Bangou	id=g:6827432
Gorzo Koara	id=g:6827433
Baré	id=g:6827434
Tiloukoare	id=g:6827435
Gouldio Kouara	id=g:6844851
Kodiaga	id=g:6844852
Bouno Kalaï	id=g:6844853
Dahounga	id=g:6844854
Kodiana	id=g:6844855
Séno Hobi	id=g:6844856
Goroubi	id=g:6844857
Boborgou Saba	id=g:6844858
Déba	id=g:6844859
Héda Foulbé	id=g:6844860
Ouro Brahima	id=g:6844861
Niomona	id=g:6844862
Garbey Kourou	id=g:6844863
Gombri Bangou	id=g:6844864
Tiambanga Délo	id=g:6844865
Bangou Sendio	id=g:6844866
Tiélél Boumbou	id=g:6844867
Tondo Banda	id=g:6844868
Banizoumbou	id=g:6844869
Koroufa	id=g:6844870
Silenké Bangou	id=g:6844871
Ouro Soridio	id=g:6844872
Gongarou	id=g:6844873
Boulen Diamé	id=g:6844874
Koumbiari	id=g:6844875
Bourbouli	id=g:6844876
Bouanga	id=g:6844877
Nialaré	id=g:6844878
Tintiba	id=g:6844879
Banikoubey	id=g:6844880
Taboura	id=g:6844881
Nodiré Aamdiaparo	id=g:6844882
Sénorima	id=g:6844883
Goulel	id=g:6844884
Foifonou	id=g:6844885
Tiélél	id=g:6844886
Bamguel Zanka	id=g:6844887
Ferme de Bougoum	id=g:6844888
Kossara Hondo	id=g:6844889
Saga Fonda	id=g:6844890
Béri	id=g:6844891
Dingabon	id=g:6844892
Duda Kouara	id=g:6844893
Yonkoto	id=g:6844894
Hangagari	id=g:6844895
Taga Tondi Banda	id=g:6844896
Kom Bangou	id=g:6844897
Lengué Lengué Bangou	id=g:6844898
Tondi Habon	id=g:6844899
Latakabiey Songay	id=g:6844900
Hondou Béri Kouara	id=g:6844901
Bodel	id=g:6844902
Babarga Bangou	id=g:6844903
Houra Tando	id=g:6844904
Kali Koré	id=g:6844905
Illo Kouara Tégui	id=g:6844906
Tamou	id=g:6844907
Bataré	id=g:6844908
Mellé Haoussa	id=g:6844909
Hondo Kiré	id=g:6844910
Samari Kouara	id=g:6844911
Haoussa Gouré	id=g:6844912
Gouligala	id=g:6844913
Kossogo	id=g:6844914
Tiélétou	id=g:6844915
Tondo Kékiré	id=g:6844916
Tondi Biyo	id=g:6844917
Dinti Bangou	id=g:6844918
Sijim Falda	id=g:6844919
Falmey	id=g:6844920
Gala Bangou	id=g:6844921
Garou Guébia	id=g:6844922
Goungou	id=g:6844923
Patédir	id=g:6844924
Koulmé Tondi	id=g:6844925
Losso Goungou	id=g:6844926
Wérou	id=g:6844927
Longaré	id=g:6844933
Tiélay	id=g:6844934
Torombi	id=g:6844935
Zankey Tondi	id=g:6844936
Sinogoro	id=g:6844937
Roubiré	id=g:6844942
Boubouji	id=g:6847560
Nguèl Dornaji	id=g:6847561
Chiraoua	id=g:6847562
Agourza	id=g:6847563
Amérikou	id=g:6847564
Faya Dougoulaoua	id=g:6847565
Nguèl Gandé	id=g:6847566
Nguèl Kilouka	id=g:6847567
Nguèl Katchatchi	id=g:6847568
Arlalin Amgar	id=g:6847569
Arlalin Ardo	id=g:6847570
Arlalin Ténamat	id=g:6847571
Chétan	id=g:6847572
Kangadoua	id=g:6847573
Kanté	id=g:6847574
Ajiri	id=g:6847575
Nguèl Bahédo	id=g:6847576
Nguèl Zourma	id=g:6847577
Babouloua	id=g:6847578
Nguèl Kassouloua	id=g:6847579
Dalkam	id=g:6847580
Dogon Machi	id=g:6847581
Diabéa	id=g:6847582
Yalem	id=g:6847583
Nguèl Chabé	id=g:6847584
Béla Gachinada	id=g:6847585
Boula Gachi	id=g:6847586
Dounya Koura	id=g:6847587
Dogna	id=g:6847588
Dogon Toudou	id=g:6847589
Tchatchararam	id=g:6847590
Faya Eché	id=g:6847591
Bourtou Kaénang	id=g:6847592
Gamsal	id=g:6847593
Onoum Tchinga	id=g:6847594
Safranga	id=g:6847595
Babouloua	id=g:6847596
Nguèl Moussourou	id=g:6847597
Boudouma	id=g:6847598
Boula Dazi	id=g:6847599
Boula	id=g:6847600
Changuèl Babango	id=g:6847601
Gassil Fambina Boula	id=g:6847602
Nguèl Baroudou	id=g:6847603
Diolora	id=g:6847604
Gololo	id=g:6847605
Nguèl Nagué	id=g:6847606
Lougoundou	id=g:6847607
Albandou	id=g:6847608
Nguèl Ouambé	id=g:6847609
Agrana	id=g:6847610
Fouta	id=g:6847611
Faya Eché Youdé	id=g:6847612
Task	id=g:6847613
Ouadinga	id=g:6847614
Guigné	id=g:6847615
Nguèl Douna	id=g:6847616
Idi May Délé	id=g:6847617
Konana Atéssémi	id=g:6847618
Kessoa	id=g:6847619
Kandiloua	id=g:6847620
Lougou Nguèl	id=g:6847621
Nguèl Chaki	id=g:6847622
Nguèl Béllo	id=g:6847623
Nguèl Noumao	id=g:6847624
Nguèl Issa	id=g:6847625
Nguèl Boulo	id=g:6847626
Douyadé	id=g:6847627
Lougo Toudo	id=g:6847628
Loga Chaski	id=g:6847629
Ndéra	id=g:6847630
Nguèl Chaska	id=g:6847631
Nguèl Touma	id=g:6847632
Nguèl Ouadadé	id=g:6847633
Bitoa	id=g:6847634
Kournaoua	id=g:6847635
I-n-Boragane	id=g:6847636
Diorokédik	id=g:6847637
Ambourdak	id=g:6847638
Bouchirou	id=g:6847639
Achagor	id=g:6847640
Akirilon	id=g:6847641
Souvak	id=g:6847642
Ouanatous	id=g:6847643
Nguèl Katchatchi	id=g:6847644
Anagar	id=g:6847645
I-n-Berdane	id=g:6847646
Ouan Finita	id=g:6847647
Nguèl Sadio	id=g:6847648
I-n-Boragane	id=g:6847649
Bitoa	id=g:6847650
Toubarak	id=g:6847651
Lougo Batné	id=g:6847652
Zaya	id=g:6847653
Diataourom	id=g:6847654
Tiololo	id=g:6847655
Kiribala	id=g:6847656
Nga Kamio	id=g:6847657
Nguèl Chaouèy	id=g:6847658
Nguèl Adouajé	id=g:6847659
Nguèl Débi	id=g:6847660
Lougourou	id=g:6847661
Aborak	id=g:6847662
Nga Douka	id=g:6847663
Nguèl Chacharijé	id=g:6847664
Nguèl Chaouadié	id=g:6847665
Nga Ja Falé	id=g:6847666
Guidigaoua	id=g:6847667
Bitohossi	id=g:6847668
Nguèl Garajé	id=g:6847669
Nguèl Touri	id=g:6847670
Rijia Béti	id=g:6847671
Rijia Lamido	id=g:6847672
Kouan Godé	id=g:6847673
Nguèl Kouniajé	id=g:6847674
Gassélopo	id=g:6847675
Eché Arkinmanga	id=g:6847676
Bili Ouyouda	id=g:6847677
Bili Tiro Ounga	id=g:6847678
Béla Indi	id=g:6847679
Nguèl Diabé	id=g:6847680
Nguèl Damankoy	id=g:6847681
Nguèl Mahoudou	id=g:6847682
Dounya	id=g:6847683
Gorèl	id=g:6847684
Nga Katchatchié	id=g:6847685
Gaga Katchatchié	id=g:6847686
Nguèl Adouajé	id=g:6847687
Nguèl Katchatchié	id=g:6847688
Kondi	id=g:6847689
Kondi	id=g:6847690
Chihourou	id=g:6847691
Nguèl Adouajé	id=g:6847692
Nga Derman	id=g:6847693
Nguèl Daoudi	id=g:6847694
Tourgounga	id=g:6847695
Tarka Galinga	id=g:6847696
Siguidal	id=g:6847697
Nguèl Dibéjé	id=g:6847698
Nguèl Daouki	id=g:6847699
Nguèl Baoua	id=g:6847700
Nguèl Sèrki	id=g:6847701
Bouroubouroua	id=g:6847702
Kassouloua	id=g:6847703
Gadougourna	id=g:6847704
Chiguètkadoua	id=g:6847705
Falgou Chtaliha	id=g:6847706
Dalakaléhom	id=g:6847707
Badou Gounabé	id=g:6847708
Ambalal Issaram	id=g:6847709
Adouaoua	id=g:6847710
Chari Chari	id=g:6847711
Amina Chatoram	id=g:6847712
Badou Kardibé	id=g:6847713
Diourougou Dongombé	id=g:6847714
Chagaraoua	id=g:6847715
Falgou Foulataram	id=g:6847716
Badiguiria	id=g:6847717
Kandiéra	id=g:6847718
Dirgui Diongo	id=g:6847719
Nguèl Sadié	id=g:6847720
Nguèl Béti	id=g:6847721
Aïssa Kahouroum	id=g:6847722
Laouanèm	id=g:6847723
Djénirom	id=g:6847724
Toukorom	id=g:6847725
Kandinam	id=g:6847726
Gagara	id=g:6847727
Kandiroua	id=g:6847728
Koumbiram	id=g:6847729
Aboraka	id=g:6847730
Nguèl Déléri	id=g:6847731
Tajagar	id=g:6847732
Guiriguiri Mata	id=g:6847733
Doron Chouma	id=g:6847734
Nguèl Adouajé	id=g:6847735
Kaméguérom	id=g:6847736
Karidjiga Gana	id=g:6847737
Karidjiga Koura	id=g:6847738
Anzaoua	id=g:6847739
Fararakima	id=g:6847740
Tchidikémin	id=g:6847741
Abaka	id=g:6847742
Nguèl Diabé	id=g:6847743
Ouankililé	id=g:6847744
Tofotiki	id=g:6847745
Sétom	id=g:6847746
Kardlougoua	id=g:6847747
Afaoua	id=g:6847748
Némoram	id=g:6847749
Kangaroua	id=g:6847750
Bouloua	id=g:6847751
Marchoum	id=g:6847752
Marchoum	id=g:6847753
Djabia	id=g:6847754
Diogo Mandi	id=g:6847755
Mandi	id=g:6847756
Mambadou Gazaouram	id=g:6847757
Cholooua	id=g:6847758
Kaloumbouri	id=g:6847759
Biria	id=g:6847760
Kaolaoua	id=g:6847761
Malsouaram	id=g:6847762
Gaouaram Gana	id=g:6847763
Gaouaram Koura	id=g:6847764
Koutchirom	id=g:6847765
Kogonaram	id=g:6847766
Hiépto	id=g:6847767
Boular	id=g:6847768
Nga Dingui	id=g:6847769
Nguèl Ardo Bouro	id=g:6847770
Soudinguèl	id=g:6847771
Nguèl Diambooua	id=g:6847772
Ouanéouda	id=g:6847773
Méssaméssa	id=g:6847774
Nguèl Noufouri	id=g:6847775
Changoa	id=g:6847776
Kao Boukour	id=g:6847777
Nguèl Monaké	id=g:6847778
Ouaénouda	id=g:6847779
Ayérou	id=g:6847780
Diolorou	id=g:6847781
Nguèl Kirao	id=g:6847782
Nguèl Jabé	id=g:6847783
Nguèl Dibéouélé	id=g:6847784
Nguèl Dibéjé	id=g:6847785
Karadouguiri	id=g:6847786
Nga Soulémane	id=g:6847787
Nga Kabiama	id=g:6847788
May Kani	id=g:6847789
Nguèl Manou	id=g:6847790
Boumbam	id=g:6847791
Nguèl Ouigué	id=g:6847792
Nguèl Ouigué	id=g:6847793
Dou Katchatchi	id=g:6847794
Nguèl Kèrkadié	id=g:6847795
Nguèl Maydou	id=g:6847796
Nguèl Hiné	id=g:6847797
Nguèl Golodji	id=g:6847798
Nguèl Goursoudié	id=g:6847799
Nga Makao	id=g:6847800
Nguèl Diombamba	id=g:6847801
Nga Boulbé	id=g:6847802
Boundou Ahiré	id=g:6847803
Binaram	id=g:6847804
Targa	id=g:6847805
Nguèl Koréfan	id=g:6847806
Gaouar	id=g:6847807
Nguèl Guirémou	id=g:6847808
Damkol	id=g:6847809
Kori May Guiga	id=g:6847810
Nguèl Adouaé	id=g:6847811
Kalimboa	id=g:6847812
Ditoa Gafouna	id=g:6847813
May Baki	id=g:6847814
Nguèl Kellé	id=g:6847815
Kori Yakouba	id=g:6847816
Nguèl Korodji	id=g:6847817
Falougou Kougar	id=g:6847818
Diorokoudouk	id=g:6847819
Fayi	id=g:6847820
Diongo Margoubouri	id=g:6847821
Kolo Kiriram	id=g:6847822
Kavikavinio	id=g:6847823
Nariba	id=g:6847824
Baroua	id=g:6847825
Laraba	id=g:6847826
Kolola	id=g:6847827
Fokina	id=g:6847828
Kao Kalankaloula	id=g:6847829
Kao Kiriboul	id=g:6847830
Abatilori	id=g:6847831
Kamoukajatari	id=g:6847832
Kinor	id=g:6847833
Gagari	id=g:6847834
Komassa	id=g:6847835
Kassadiendé	id=g:6847836
Zangon Malèm Gana	id=g:6847837
Nguibidi	id=g:6847838
Kanouhoulhoul	id=g:6847839
Ouamala	id=g:6847840
Doulaoua	id=g:6847841
Choungoa	id=g:6847842
Anzaoua	id=g:6847843
Kouloudia	id=g:6847844
Chaoukélem	id=g:6847845
Gomgom	id=g:6847846
Boultou Fétémi	id=g:6847847
Goundaoua	id=g:6847848
Magueraoua	id=g:6847849
Dallou	id=g:6847850
Kelmoussou	id=g:6847851
Tèrdiaouna	id=g:6847852
Kangaroua	id=g:6847853
Kariadi	id=g:6847854
Zereb Karimboa	id=g:6847855
Kaniram	id=g:6847856
Mahoum	id=g:6847857
Nga Hin Gana	id=g:6847858
Nga Hin	id=g:6847859
Damouram	id=g:6847860
Boundi	id=g:6847861
Karaouaki	id=g:6847862
Béla Kouna	id=g:6847863
Tchokoda	id=g:6847864
Gouro Ousmane Bé	id=g:6847865
Gouro Amadou Diaroubé	id=g:6847866
Gragata Kabia	id=g:6847867
Diongo Amadou Bé	id=g:6847868
Kiriboul	id=g:6847869
Sadamay	id=g:6847870
Kindja Bélané	id=g:6847871
Bitoa	id=g:6847872
Kanaram	id=g:6847873
Kolguidjigaoua	id=g:6847874
Niouaram	id=g:6847875
Sèlhéna	id=g:6847876
Béla Guiombé	id=g:6847877
Béla Kaou	id=g:6847878
Guiom	id=g:6847879
Mana	id=g:6847880
Domboléom	id=g:6847881
Raskoumaram	id=g:6847882
Dèrdi	id=g:6847883
Ouamé Béla	id=g:6847884
Krissalaram	id=g:6847885
Abinouyami	id=g:6847886
Bourourou	id=g:6847887
Gombodi	id=g:6847888
Foréria	id=g:6847889
Goubdo	id=g:6847890
Badago	id=g:6847891
Doumbaférom	id=g:6847892
Kolidi	id=g:6847893
Naourouté	id=g:6847894
Chanam	id=g:6847895
Koria	id=g:6847896
Falou Gana	id=g:6847897
Ajiram	id=g:6847898
Agaria	id=g:6847899
Ouagatari	id=g:6847900
Magajé	id=g:6847901
Lakalila	id=g:6847903
Boula Koura	id=g:6847904
Sandi	id=g:6847905
Badou Kaguèr	id=g:6847906
Madou Indiari	id=g:6847907
Chendigui	id=g:6847908
Maoudoua	id=g:6847909
Mahala	id=g:6847910
Maymay	id=g:6847911
Kindja Magara	id=g:6847912
Guitadimaram	id=g:6847913
Malandi	id=g:6847914
Nguibiri	id=g:6847915
Kongodoram	id=g:6847916
Falou Déouana	id=g:6847917
Kao Déouana	id=g:6847918
Charama	id=g:6847919
Bidoua	id=g:6847920
Badéra	id=g:6847921
Gomgom	id=g:6847922
Dogasso	id=g:6847923
Dogasso	id=g:6847924
Déloua	id=g:6847925
Badéra	id=g:6847926
Azoumba	id=g:6847927
Forêt Classée d’ Azoumba	id=g:6847928
Tachakoul	id=g:6847929
Tantalou	id=g:6847930
Issaram	id=g:6847931
Farara Goubdo Bé	id=g:6847932
Koukaoua	id=g:6847933
Kaniram	id=g:6847934
Boulama	id=g:6847935
Oumaram	id=g:6847936
Fassaram	id=g:6847937
Kao Forité	id=g:6847938
Ngor Déki	id=g:6847939
Arnarom	id=g:6847940
Diguiskiné	id=g:6847941
Mogaraoua	id=g:6847942
Gapchari	id=g:6847943
Gulrbo	id=g:6847944
Faray	id=g:6847945
Forêt Classée de Guirbo	id=g:6847946
Yanoum Sovorné	id=g:6847947
Kayaya	id=g:6847948
Madakoumchi	id=g:6847949
Kaooua	id=g:6847950
Soumkountounji	id=g:6847951
Foguidi	id=g:6847952
Kolala Somkolé	id=g:6847953
Bouar	id=g:6847954
Kotchébé	id=g:6847955
Kotchébé	id=g:6847956
Dol Tchourié	id=g:6847957
Kotchérini	id=g:6847958
Kirikassama	id=g:6847959
Ngor Bidoua	id=g:6847960
Nguèl Kilouki	id=g:6847961
Goulèské	id=g:6847962
Chaoulé	id=g:6847963
Dano	id=g:6847964
Fayaoua	id=g:6847965
Nguèl Adouajé	id=g:6847966
Katchal Kourougou	id=g:6847967
Louga Lamido	id=g:6847968
Nguèl Dibéjé	id=g:6847969
Kandiloua	id=g:6847970
Chacherkourougou	id=g:6847971
Nguèl Lélli	id=g:6847972
Nguèl Zabé	id=g:6847973
Nguèl Guenki	id=g:6847974
Louga Soulé	id=g:6847975
Balérou	id=g:6847976
Nguèl Kourkaji	id=g:6847977
Abdoulirom	id=g:6847978
Faya Gadoum Boré	id=g:6847979
Changol Bodada	id=g:6847980
Faya Denguéla	id=g:6847981
Diourgou Tiéra	id=g:6847982
Nguèl Kelli	id=g:6847983
Nguèl Bourdéhé	id=g:6847984
Ngor Kouroua	id=g:6847985
Danibébéouèl	id=g:6847986
Nguèl Marké	id=g:6847987
Falgou Kassouloua	id=g:6847988
Falgou Kandiloua	id=g:6847989
Tchoutèl	id=g:6847990
Kangaroua Fidémi	id=g:6847991
Falgou Guijiga	id=g:6847992
Nguèl Madi	id=g:6847993
Nguèl Bouda	id=g:6847994
Nguèl Diaopé	id=g:6847995
Nguèl Changol	id=g:6847996
Nguèl Zagni	id=g:6847997
Diourgou Kolola	id=g:6847998
Azégay	id=g:6847999
Faya Nga Kellé	id=g:6848000
Kankoni	id=g:6848001
Bitoa	id=g:6848002
Nga Bidirom	id=g:6848003
Kandiloua	id=g:6848004
Badou Kolola	id=g:6848005
Faya Kora	id=g:6848006
Nguèl Adouaé	id=g:6848007
Nguèl Délaji	id=g:6848008
Nguèl Abdoulaye	id=g:6848009
Nguèl Gaydou	id=g:6848010
Ganamakao	id=g:6848011
Nguèl Kèrkajé	id=g:6848012
Nga Chouri	id=g:6848013
Nga Chouri	id=g:6848014
Tchofi	id=g:6848015
Gorodi	id=g:6848016
Gohinga	id=g:6848017
Bélélé	id=g:6848018
Nga Fitiké	id=g:6848019
Nguèl Sakéré	id=g:6848020
Kaloula	id=g:6848021
Kotoumo	id=g:6848022
Kao Gadji	id=g:6848023
Kagoloua	id=g:6848024
Doutchi Mangor	id=g:6848025
Zanassé	id=g:6848026
Souabanza	id=g:6848027
Troungoujo	id=g:6848028
Kéléri	id=g:6848029
Moudoua	id=g:6848030
Kandila	id=g:6848031
Ngor Madi	id=g:6848032
Ngor Boulia	id=g:6848033
Saléri	id=g:6848034
Niango Kanamdi	id=g:6848035
Malam Gala	id=g:6848036
Doumbol	id=g:6848037
Soukounadi	id=g:6848038
Charouna	id=g:6848039
Lassandi	id=g:6848040
Diongo Madougoubouri	id=g:6848041
Kouka	id=g:6848042
Tiongol	id=g:6848043
Diongo Lodi	id=g:6848044
Bounchouri	id=g:6848045
Ouazaguédi	id=g:6848046
Azilaram	id=g:6848047
Matakouskoum	id=g:6848048
Mamari	id=g:6848049
Katodi	id=g:6848050
Fatou Kao	id=g:6848051
Gouma	id=g:6848052
Djoubatoua	id=g:6848053
Gouraberin	id=g:6848054
Bréssoua	id=g:6848055
Katé Katé	id=g:6848056
Magaraoua	id=g:6848057
Guébou	id=g:6848058
Kaygam	id=g:6848059
Forêt Classée de Kaygam	id=g:6848060
Bouala	id=g:6848061
Yamé	id=g:6848062
Anourdi	id=g:6848063
Aléouarioua	id=g:6848065
Chochooua	id=g:6848066
Bouaskoa	id=g:6848067
Diaman	id=g:6848068
Kabrigaoua	id=g:6848069
Gadabour	id=g:6848070
Forêt Classée de Gudabour	id=g:6848071
Kao Zéréyé	id=g:6848072
Guéréskoum	id=g:6848073
Kazikougouini	id=g:6848074
Zarahi	id=g:6848075
Agarao	id=g:6848076
Kao Tchiloum	id=g:6848077
Kalimbodi	id=g:6848078
Kourabaori	id=g:6848079
Maloum Ouahinaram	id=g:6848080
Kangaléri	id=g:6848081
Kirikassamba	id=g:6848082
Adamri	id=g:6848083
Kirindol	id=g:6848084
Yakiri	id=g:6848085
Férella	id=g:6848086
Adiaba	id=g:6848087
Amou	id=g:6848088
Kabarèy	id=g:6848089
Kouloua	id=g:6848090
Gochi	id=g:6848091
Marara	id=g:6848092
Kolola	id=g:6848093
Nakcho	id=g:6848094
Kachimi	id=g:6848095
Timbia	id=g:6848096
Mardiahoun	id=g:6848097
Ouladi	id=g:6848098
Chaya	id=g:6848099
Djigarom	id=g:6848100
Kouroum Boutou	id=g:6848101
Kokorom	id=g:6848102
Zangon Koumbia	id=g:6848103
Babila	id=g:6848104
Kourougounsou	id=g:6848105
Kaygamaram	id=g:6848106
Lamatèr	id=g:6848107
Forêt Classée de Kourabaori	id=g:6848108
Kirindol	id=g:6848109
Kao Niguidi	id=g:6848110
Mahiraram	id=g:6848111
May Koré	id=g:6848112
Ouadiagal	id=g:6848113
Kaoura	id=g:6848114
Guindaram	id=g:6848115
Groumbouni	id=g:6848116
Kaoura	id=g:6848117
Malèm Kaouram	id=g:6848118
Zoudou Koyzaoua	id=g:6848119
Garson Féronam	id=g:6848120
Kao Indikaté	id=g:6848121
Zermoua	id=g:6848122
Kassagaria	id=g:6848123
Tombala	id=g:6848124
Arioudi	id=g:6848125
Sonday	id=g:6848126
Kayaya	id=g:6848127
Aymo	id=g:6848128
Dotoukou	id=g:6848129
Boultouram	id=g:6848130
Damori	id=g:6848131
Berem Berem	id=g:6848132
Kangaroua Falama	id=g:6848133
Damou Kaodi	id=g:6848134
Damou Boukar	id=g:6848135
Djirin Karimboa	id=g:6848136
Gassaga	id=g:6848137
Gassafa	id=g:6848138
Tabatanak	id=g:6848139
Ahoulahi	id=g:6848140
Forêt Classée de Kellé	id=g:6848141
Adamri	id=g:6848142
Koudé	id=g:6848143
Krédi	id=g:6848144
Boukar Midi	id=g:6848145
Guiripka	id=g:6848146
Gouro Mamadou Kahi	id=g:6848147
Kao Kalouram	id=g:6848148
Douay	id=g:6848149
Kaouboul	id=g:6848150
Dalari	id=g:6848151
Karakassounou	id=g:6848152
Dalakaori	id=g:6848153
Daguélèm	id=g:6848154
Nga Daoua	id=g:6848155
Mahinta Ganaram	id=g:6848156
Guirihouram	id=g:6848157
Guirmagadou	id=g:6848158
