Jnaïdiyé	id=g:6278594
Tarîq el Blaïta	id=g:6280784
El Bîyâd	id=g:6280785
Ech Cherfé	id=g:6280786
Aïn es Saouda	id=g:6280787
Aïn el Mîdâne	id=g:6280788
Aïn el Hâra	id=g:6280789
Aïn el Ketf	id=g:6280790
Aïn el Aarîch	id=g:6280791
El Bambrîssi	id=g:6280792
Aïn Bala	id=g:6280793
Sahlet Rtîba	id=g:6280794
Machraa el Qantra	id=g:6280795
Joûret Raml Mouaï	id=g:6280796
Qarqoûf el Ayabi	id=g:6280797
Dahr Raml Mouaï	id=g:6280798
Qrâni Aïn el Hajal	id=g:6280799
Qrâni ed Dahma	id=g:6280800
Fkhît el Baghl	id=g:6280801
Maabîr ed Dahma	id=g:6280802
Jouar Bou Tânoûs	id=g:6280803
Machraa ej Jaouz	id=g:6280804
Maqial el Barbarîs	id=g:6280805
El Maqlaa	id=g:6280806
Machraa ez Zohr	id=g:6280807
Sahlet Aïn el Hajal	id=g:6280808
Chouâr ed Dahma	id=g:6280809
Qrani Ain ed Dobb	id=g:6280810
Chiaab el Hamra	id=g:6280811
Jouar el Mahlbè	id=g:6280812
Nabaa Beït Harb	id=g:6280813
Aïn ed Douâr	id=g:6280814
Douâr Naoufal	id=g:6280815
Aïn es Saouda	id=g:6280816
Aïn el Malfoûfé	id=g:6280817
Aïn Beït Yâghi	id=g:6280818
Aïn Hlâl	id=g:6280819
Aïn Chbîb	id=g:6280820
Mnâhel	id=g:6280821
Aïn ed Drâta	id=g:6280822
Aardâne el Aafs	id=g:6280823
Aïn el Barghach	id=g:6280824
Ard Nqîba	id=g:6280825
El Khachaa	id=g:6280826
Chiaab ej Jbaïlîyé	id=g:6280827
Ard el Qarqoûf	id=g:6280828
Qbôur es Sârjîyé	id=g:6280829
El Msalbé	id=g:6280830
Maqial en Naouar	id=g:6280831
Ed Daoura	id=g:6280832
Sahlet el Qouâmîaa	id=g:6280833
Joûret Bou Aamâd	id=g:6280834
Jouar el Blât	id=g:6280835
Aïn el Maqsal	id=g:6280836
Nabaa Rechmi	id=g:6280837
Aïn et Tâbelsoûni	id=g:6280838
Aïn Sania	id=g:6280839
Nabaa Taht ej Jaouzé	id=g:6280840
El Fraïdîs	id=g:6280841
Et Touaïti	id=g:6280842
Nabaa el Ouakr	id=g:6280843
Aarîd Saaïd	id=g:6280844
Aïn Yaaqoûb	id=g:6280845
Aïn el Maqsbé	id=g:6280846
El Khâsfé	id=g:6280847
Jord el Aaqoûra	id=g:6280848
Aïn Snîta	id=g:6280849
Aïn el Assâfîr	id=g:6280850
Ard el Moghr	id=g:6280851
Ard Aïn el Aassâfîr	id=g:6280852
Sahlet ej Jâmia	id=g:6280853
Ard el Mghâra	id=g:6280854
Sahlet ed Droûb	id=g:6280855
Aaqbet el Mehjra	id=g:6280856
Ej Jâmîa	id=g:6280857
Sahlet Jraïbâne	id=g:6280858
Fkhît el Aazra	id=g:6280859
Tellet Maqial Hisni	id=g:6280860
Maqial Hisni	id=g:6280861
Qloûd es Safra	id=g:6280862
Chiaab el Baalbkîyé	id=g:6280863
Harf el Moghr	id=g:6280864
Maqial ed Dahr	id=g:6280865
Dahr Aïn Hâroûn	id=g:6280866
Bahset er Rouaïss	id=g:6280867
Taht el Horch	id=g:6280868
Aïn Bou Chalach	id=g:6280869
Aïn Im Harb	id=g:6280870
Nabaa el Ouardé	id=g:6280871
Qalaat Khoûri Boutros	id=g:6280872
Joûret er Remmâne	id=g:6280873
Ej Jamal	id=g:6280874
Hosset ech Cheïkh	id=g:6280875
Baïdar el Blât	id=g:6280876
Châouiyet el Aïn	id=g:6280877
Sehta	id=g:6280878
Ard Aïn Hâroûn	id=g:6280879
Fkhît et Tourkmânîyé	id=g:6280880
Sahlet el Ouassaa	id=g:6280881
Maqial ed Daoura	id=g:6280882
Aardîyet en Nichâche	id=g:6280883
Fkhît el Lizzâbé	id=g:6280884
Chafaq Aïn el Khoûri	id=g:6280885
Jouar el Ouardé	id=g:6280886
Khallet ed Dîchâr	id=g:6280887
Joûret Matar	id=g:6280888
Birket et Thoûr	id=g:6280889
El Fokhté	id=g:6280890
Joûret Hboûs	id=g:6280891
Ouâdi el Hoûoui	id=g:6280892
Sahlet el Manzlé	id=g:6280893
Râs Chiaab es Sîré	id=g:6280894
Madqar es Soûf	id=g:6280895
El Mkhârît	id=g:6280896
Hajar el Maqloûb	id=g:6280897
Bloûqa	id=g:6280898
Baskinta	id=g:6280899
Aarasta	id=g:6280900
Nahr er Rouaïss	id=g:6280901
Dalil el Borak	id=g:6282428
Qornet el Mahrouqa	id=g:6282429
Cheaabet el Mahrouqa	id=g:6282430
Harf Ouadi es Sahrij	id=g:6282431
Bir Chaddad	id=g:6282432
Mafsakh Ouadi el Haoua	id=g:6282433
Harf Ouadi el Haoua	id=g:6282434
Tallet Mafsakh Ouadi el Haoua	id=g:6282435
Qornet Aïn Hassiné	id=g:6282436
Ouadi Aïn Hassiné	id=g:6282437
Ouadi es Sâbeq	id=g:6282438
Cheaab el Bid	id=g:6282439
Cheaab el Bid	id=g:6282440
Borak el Homr	id=g:6282441
Cheaabet el Kherbé	id=g:6282442
Cheaabet el Ouassaâ	id=g:6282443
Jouret el Mahlbé	id=g:6282444
Mafsakh el Laouz	id=g:6282445
Qrani el Battikha	id=g:6282446
Chmîs el Ghafar	id=g:6282447
Qasr en Namroûd	id=g:6282448
Ouadi el Battikha	id=g:6282449
Chmîs el Qâser	id=g:6282450
Aïn ej Jaouzé	id=g:6282451
Tallet Aïn ej Jaouzé	id=g:6282452
Chmîs es Salaâ	id=g:6282453
Chmîs el Lezzab	id=g:6282454
Harf el Lezzab	id=g:6282455
Ras Ouadi es Safra	id=g:6282456
Ouadi es Safra	id=g:6282457
Ouadi el Borak	id=g:6282458
Qornet Tiz es Sama	id=g:6282459
Qornet Aaobet Hsaïn	id=g:6282460
Ouadi el Massïade	id=g:6282461
Tallet el Maqtouâa	id=g:6282462
Harf Ouadi es Sâbeq	id=g:6282463
Chmîs el Aardi	id=g:6282464
Chmîs Ahmad Ali	id=g:6282465
Chmîs el Lezzab	id=g:6282466
Ouadi Abd el Latif	id=g:6282467
Jouret el Maqtouâa	id=g:6282468
Khrâb Ouadi es Sâbeq	id=g:6282469
Ouadi Blatet el Kochk	id=g:6282470
Sanad el Mantar	id=g:6282471
Sanad el Ouaar	id=g:6282472
Sanad el Aâli	id=g:6282473
Mantâr Karm ez Zaïn	id=g:6282474
Ouadi el Hommos	id=g:6282475
Sanad el Mohra	id=g:6282476
Ouadi Beit Fares	id=g:6282477
Ouadi Beit Chaddad	id=g:6282478
Ouadi Jouar en Nahlé	id=g:6282479
Jouar en Nahlé	id=g:6282480
Ouadi el Assouad	id=g:6282481
Ouadi el Mahtara	id=g:6282482
Maqtal Ahmad Ali	id=g:6282483
Choaab om Sjoâne	id=g:6282484
Aïn es Sghîré	id=g:6305580
Barghoûtîyé	id=g:6305868
Mârtmoûrat	id=g:6364750
Joûret er Rahal	id=g:6394395
Jouar el Ouata	id=g:6394396
Machraa el Marjé	id=g:6394397
El Faqrât	id=g:6394398
Joûret et Terkmâne	id=g:6394399
Sâqiet el Fakhrîyé	id=g:6394400
Al Bustan Hotel	id=g:6476548
Le Meridien Commodore	id=g:6480708
Hotel De Ville	id=g:6492070
Holiday Suites Hotel And Beach	id=g:6507091
Etoile Suites	id=g:6525841
Grand Hotel Kadri	id=g:6531644
Monroe Hotel	id=g:6532120
Radisson Sas Martinez Hotel	id=g:6533341
Marriott Beirut	id=g:6533352
El Bass	id=g:6602977
Summer House in Baaleshmay	id=g:6621409
Hotel (name Unknown) - Esplanada?	id=g:6621410
Lower Ain - Basse-Ain	id=g:6697084
Upper Ain - Haut Ain	id=g:6697085
El Dabech	id=g:6697086
Snoubar Ain Ebel	id=g:6697087
Hospital of Ain Ebel	id=g:6697088
Chateau des Pins	id=g:6697089
Piscine de Ain Ebel	id=g:6697090
Church of Our Lady of Ain Ebel - Notre Dame d' Ain Ebel	id=g:6697091
New Cemetery - Le nouveau cimetière	id=g:6697092
Old Cemetery - L'ancien cimetière	id=g:6697093
The Old Church - L'Ancienne Église	id=g:6697094
St. Elie Greek Catholic Church - Eglise Saint-Elie grec catholique	id=g:6697095
Old St. Elie Greek Catholic Church - L'Ancienne Église Eglise Saint-Elie grec catholique	id=g:6697096
The Church Quarter - Le quartier de l'église	id=g:6697097
Saint Joseph School - Ecole Saint-Joseph	id=g:6697098
Saint Coeur School - Ecole Saint-Coeur	id=g:6697099
The Convent Quarter - Le quartier du couvent (Hay el Deir)	id=g:6697100
El Ain Quarter - le quartier de la fontaine - El Ain	id=g:6697101
Jounieh	id=g:6941107
Saydit al-Najat	id=g:7279637
Trou Zambé	id=g:3576399
Woodlands Estate	id=g:3576400
Anse la Voutte	id=g:3576401
Volet River	id=g:3576402
Port Volet	id=g:3576403
Violon Point	id=g:3576404
Anse Violon	id=g:3576405
Vigie Beach	id=g:3576406
Vigie Airport	id=g:3576407
Vigie	id=g:3576408
Vige	id=g:3576409
Vieux Sucreic	id=g:3576410
Vieux Fort River	id=g:3576411
Vieux Fort Bay	id=g:3576412
Quarter of Vieux-Fort	id=g:3576413
Vieux Fort	id=g:3576414
Vierge Point	id=g:3576415
Vide Bouteille Point	id=g:3576416
Venus Estate	id=g:3576417
Vanard	id=g:3576418
Union Vale	id=g:3576419
Union	id=g:3576420
Troumassée River	id=g:3576421
Troumassée Estate	id=g:3576422
Troumassée Bay	id=g:3576423
Troumasse	id=g:3576424
Trou Marc River	id=g:3576425
Trou Grauval River	id=g:3576426
Trou Gras Point	id=g:3576427
Trou Cadet Point	id=g:3576428
Trou Barbet River	id=g:3576429
Trois Piton	id=g:3576430
Mount Tourney	id=g:3576431
Tortue Point	id=g:3576432
Theodorine	id=g:3576433
Mount Terr Fallée	id=g:3576434
Anse Tendant	id=g:3576435
Tapion Rock	id=g:3576436
Tanti Point	id=g:3576437
Mount Tabac	id=g:3576438
Soufrière River	id=g:3576439
Soufrière Bay	id=g:3576440
Quarter of Soufrière	id=g:3576441
Soufrière	id=g:3576442
Soucis	id=g:3576443
Sorcière River	id=g:3576444
Smugglers’ Cove	id=g:3576445
Mount Siquot	id=g:3576446
Pointe Serafin	id=g:3576447
Scorpion Island	id=g:3576448
Savannes Estate	id=g:3576449
Savannes Bay Nature Reserve	id=g:3576450
Savannes Bay	id=g:3576451
Savannes	id=g:3576452
Sarot	id=g:3576453
Sapphire Estate	id=g:3576454
Sapphire	id=g:3576455
Saltibus Point	id=g:3576456
Saltibus	id=g:3576457
Saline Point	id=g:3576458
Anse Salaison	id=g:3576459
Saint Vincent Passage	id=g:3576460
Pointe Saint Victor	id=g:3576461
Ravine Saint Urbain	id=g:3576462
Saint Urbain	id=g:3576463
Saint Urbain	id=g:3576464
Saint Phillip	id=g:3576465
Saint Lucia Island	id=g:3576466
Saint Lucia Channel	id=g:3576467
Saint Lucia	id=g:3576468
Saint Joseph Estate	id=g:3576469
Piton Saint Esprit	id=g:3576470
Saint Croix Roadstead	id=g:3576471
Anse de Sables	id=g:3576472
Pointe Sable	id=g:3576473
Anse Sable	id=g:3576474
Ravine Rugeine	id=g:3576475
Ruby	id=g:3576476
Ravine Rozette	id=g:3576477
Rouge Point	id=g:3576478
Rouche Island	id=g:3576479
Rouarné River	id=g:3576480
Rouarné	id=g:3576481
Roseau River	id=g:3576482
Roseau Bay	id=g:3576483
Roseau	id=g:3576484
Trou Rolland	id=g:3576485
Rodney Bay	id=g:3576486
Fort Rodney	id=g:3576487
Roblot	id=g:3576488
Anse de la Rivière Dorée	id=g:3576489
River Dorée	id=g:3576490
Riche Fond	id=g:3576491
Reunion	id=g:3576492
Resinard	id=g:3576493
Trou Requin	id=g:3576494
Mount Regnier	id=g:3576495
Reduit	id=g:3576496
Mount Reddie	id=g:3576497
L’Anse la Raye	id=g:3576498
Rat Island	id=g:3576499
L’Islet à Ramier	id=g:3576500
Rachette Point	id=g:3576501
Quilesse Forest Reserve	id=g:3576502
Punchbowl	id=g:3576503
Praslin River	id=g:3576504
Praslin Island	id=g:3576505
Praslin Bay	id=g:3576506
Quarter of Praslin	id=g:3576507
Praslin	id=g:3576508
Povert Point	id=g:3576509
Anse Povert	id=g:3576510
Pomme	id=g:3576511
Pointe Sable	id=g:3576512
Planard	id=g:3576513
Anse des Pitons	id=g:3576514
Mount Pimard	id=g:3576515
Pilori Point	id=g:3576516
Anse Pilori	id=g:3576517
Pigeon Point	id=g:3576518
Pigeon Island	id=g:3576519
Piaye River	id=g:3576520
Anse du Piaye	id=g:3576521
Piaye	id=g:3576522
Petit Trou	id=g:3576523
Petit Trou	id=g:3576524
Petit Trou	id=g:3576525
Petit Piton Point	id=g:3576526
Petit Piton	id=g:3576527
Petite Anse	id=g:3576528
Perou	id=g:3576529
Pointe Pelée	id=g:3576530
Patience River	id=g:3576531
Anse Patience	id=g:3576532
Patience	id=g:3576533
Parc Estate	id=g:3576534
Mount Parasol	id=g:3576535
Ravine Palmiste	id=g:3576536
Palmiste	id=g:3576537
Orangerie	id=g:3576538
Pointe d’ Orange	id=g:3576539
Old Settlement	id=g:3576540
Nord Point	id=g:3576541
Cape Moule à Chique	id=g:3576542
Moule à Chique	id=g:3576543
Motête	id=g:3576544
Mount Morton	id=g:3576545
Morne Sion	id=g:3576546
Morne Serpent	id=g:3576547
Morne Paul	id=g:3576548
Morne Panache	id=g:3576549
Morne Fortune	id=g:3576550
Morne Doudon	id=g:3576551
Morne d’ Or	id=g:3576552
Morne Caillandre	id=g:3576553
Mont Lezard Estate	id=g:3576554
Mon Repos	id=g:3576555
Mount Monier	id=g:3576556
Monier	id=g:3576557
Mongouge	id=g:3576558
Mongiraud	id=g:3576559
Mondésir Estate	id=g:3576560
Mondesir	id=g:3576561
Monchy	id=g:3576562
Ministre Point	id=g:3576563
Millet	id=g:3576564
Migny	id=g:3576565
Micoud Point	id=g:3576566
Quarter of Micoud	id=g:3576567
Port Micoud	id=g:3576568
Micoud	id=g:3576569
Ravine Michel	id=g:3576570
Mathurin Point	id=g:3576571
Mathurin Point	id=g:3576572
Masson Point	id=g:3576573
Anse Massacre	id=g:3576574
Massacre	id=g:3576575
Martelly Point	id=g:3576576
Marquis River	id=g:3576577
Marquis Estate	id=g:3576578
Marquis Bay	id=g:3576579
Mount Marquis	id=g:3576580
Cape Marquis	id=g:3576581
Marquis	id=g:3576582
Marisule Estate	id=g:3576583
Marisule Beach	id=g:3576584
Marigot Point	id=g:3576585
Marigot Harbour	id=g:3576586
Marigot Bay	id=g:3576587
Marigot	id=g:3576588
Maria Islands	id=g:3576589
Marc Marc	id=g:3576590
Marchand	id=g:3576591
Marc Estate	id=g:3576592
Mandele Point	id=g:3576593
Mamin River	id=g:3576594
Anse Mamin	id=g:3576595
Mamin	id=g:3576596
Mamelles Point	id=g:3576597
Malmaison	id=g:3576598
Malgretoute	id=g:3576599
Mahaut River	id=g:3576600
Anse Mahaut	id=g:3576601
Mahaut	id=g:3576602
Mahaut	id=g:3576603
Mabouya Valley	id=g:3576604
Grande Rivière du Mabouya	id=g:3576605
Lumière	id=g:3576606
Luc Point	id=g:3576607
Louvet Point	id=g:3576608
Anse Louvet	id=g:3576609
L’Orangerie	id=g:3576610
Trou L’Oranger	id=g:3576611
Londonderry	id=g:3576612
L’Ivrogne River	id=g:3576613
Anse L’Ivrogne	id=g:3576614
L’Ivrogne	id=g:3576615
Liverpool Rocks	id=g:3576616
L’Islet Point	id=g:3576617
Anse L’Islet	id=g:3576618
Linnis Point	id=g:3576619
L’Hermitage	id=g:3576620
Mount Le Blanc	id=g:3576621
Mount Layau	id=g:3576622
Anse Lavoutte	id=g:3576623
Pointe La Ville	id=g:3576624
La Verdure River	id=g:3576625
Anse La Verdure	id=g:3576626
La Trace	id=g:3576627
La Tourney	id=g:3576628
La Toc Point	id=g:3576629
La Toc Bay	id=g:3576630
Mount Lastic	id=g:3576631
Anse La Sorcière	id=g:3576632
La Sorcière	id=g:3576633
Lascelles Point	id=g:3576634
La Retraite	id=g:3576635
La Ressource	id=g:3576636
La Resource	id=g:3576637
La Pointe Beach	id=g:3576638
La Pointe	id=g:3576639
La Pointe	id=g:3576640
La Point	id=g:3576641
Lapins Island	id=g:3576642
Anse Lapins	id=g:3576643
La Pearle	id=g:3576644
Ravine Languedoc	id=g:3576645
L’Angere Point	id=g:3576646
Pointe Lamarre	id=g:3576647
Anse La Liberté	id=g:3576648
La Haut	id=g:3576649
La Feuillet	id=g:3576650
La Fargue	id=g:3576651
La Croix Point	id=g:3576652
La Croix Maingot	id=g:3576653
La Cour Ville	id=g:3576654
Mount Lacombe	id=g:3576655
Anse La Chaloupe	id=g:3576656
Labrellotte Point	id=g:3576657
Labrellotte Bay	id=g:3576658
La Borne	id=g:3576659
Laborie Reefs	id=g:3576660
Laborie Bay	id=g:3576661
Quarter of Laborie	id=g:3576662
Laborie	id=g:3576663
L’Abbayée	id=g:3576664
Anse John	id=g:3576665
Jean Baptiste	id=g:3576666
Anse Jambon	id=g:3576667
Jambette Point	id=g:3576668
Mount Jambe	id=g:3576669
Jalousie	id=g:3576670
Incommode	id=g:3576671
Mount Houelmon	id=g:3576672
Hope Estate	id=g:3576673
Hewanorra International Airport	id=g:3576674
H’Erelle	id=g:3576675
Hellene	id=g:3576676
Haut Morne	id=g:3576677
Pointe Hardy	id=g:3576678
Trou Halhal	id=g:3576679
Guesneau	id=g:3576680
Gros Piton Point	id=g:3576681
Gros Piton	id=g:3576682
Gros Morne	id=g:3576683
Gros Loup	id=g:3576684
Quarter of Gros-Islet	id=g:3576685
Gros Islet	id=g:3576686
Mount Grenier	id=g:3576687
Trou Grauval	id=g:3576688
Trou Gras	id=g:3576689
Mount Grand Magazin	id=g:3576690
Grande Rivière	id=g:3576691
Grande Rivière	id=g:3576692
Grande Ravine	id=g:3576693
Grand Cul de Sac Bay	id=g:3576694
Grande Anse	id=g:3576695
Grand Caille Point	id=g:3576696
Grand Anse Estate	id=g:3576697
Grand Anse	id=g:3576698
Grace	id=g:3576699
Mount Gomier	id=g:3576700
Giromon Point	id=g:3576701
Girard	id=g:3576702
Mount Gimie	id=g:3576703
Ger River	id=g:3576704
Anse Ger	id=g:3576705
Georgie Point	id=g:3576706
Gentil	id=g:3576707
Trou Gascon	id=g:3576708
Garrand	id=g:3576709
Anse Gallouete	id=g:3576710
Anse Gallette	id=g:3576711
Anse Galet	id=g:3576712
Anse Galet	id=g:3576713
Mount Gaiac	id=g:3576714
Frigate Island	id=g:3576715
Fous Island	id=g:3576716
Fourreur Island	id=g:3576717
Mount Fortune	id=g:3576718
Forestière	id=g:3576719
Fond Saint Jacques	id=g:3576720
Fond River	id=g:3576721
Fond Doux	id=g:3576722
Fond d’ Or River	id=g:3576723
Fond d’Or Bay	id=g:3576724
Fond d’Or	id=g:3576725
Fond Devaux	id=g:3576726
Fond Bay	id=g:3576727
Fond Assor	id=g:3576728
Piton Flore	id=g:3576729
Floissac	id=g:3576730
Fiette	id=g:3576731
Ferrand	id=g:3576732
Anse Feré	id=g:3576733
Falaise Point	id=g:3576734
Anse Falaise	id=g:3576735
Esperance River	id=g:3576736
Esperance Harbour	id=g:3576737
Espérance Estate	id=g:3576738
Anse Epouge	id=g:3576739
Eau Piquant	id=g:3576740
Mount Durocher	id=g:3576741
Durandeau	id=g:3576742
Dugard	id=g:3576743
Dugard	id=g:3576744
Mount Doudon	id=g:3576745
Doree River	id=g:3576746
Diamond	id=g:3576747
Trou au Diable	id=g:3576748
D’Estrées Point	id=g:3576749
Desruisseaux	id=g:3576750
Despinoze	id=g:3576751
Descleves Point	id=g:3576752
Descatieres	id=g:3576753
Des Bateaux Island	id=g:3576754
Desbarra	id=g:3576755
Derrière Morne	id=g:3576756
Derrière Lagoon	id=g:3576757
Dernière Rivière	id=g:3576758
Dennery Waterworks Forest Reserve	id=g:3576759
Dennery River	id=g:3576760
Dennery Knob	id=g:3576761
Dennery Island	id=g:3576762
Dennery Bay	id=g:3576763
Quarter of Dennery	id=g:3576764
Dennery	id=g:3576765
De Mailly	id=g:3576766
Delcer	id=g:3576767
Deglos	id=g:3576768
Debreuil	id=g:3576769
Dauphin River	id=g:3576770
Quarter of Dauphin	id=g:3576771
Port Dauphin	id=g:3576772
Dauphin	id=g:3576773
D’Aubaigon	id=g:3576774
Dame de Traversay	id=g:3576775
Cuti Cove	id=g:3576776
Cul de Sac River	id=g:3576777
Crown Lands	id=g:3576778
Ravine Courtois	id=g:3576779
Coubaril Point	id=g:3576780
Corinthe	id=g:3576781
Ravine Conore	id=g:3576782
Comerette Point	id=g:3576783
Anse Comerette	id=g:3576784
Colombette	id=g:3576785
Cocoa Nut Point	id=g:3576786
Mount Cochon	id=g:3576787
Anse Cochon	id=g:3576788
Ciceron Point	id=g:3576789
Mount Ciceron	id=g:3576790
Ciceron	id=g:3576791
Chopin Ridge	id=g:3576792
Choiseul Bay	id=g:3576793
Quarter of Choiseul	id=g:3576794
Choiseul	id=g:3576795
Choc River	id=g:3576796
Choc Beach	id=g:3576797
Choc Bay	id=g:3576798
Choc	id=g:3576799
Mount du Chazeau	id=g:3576800
Mount Chaubourg	id=g:3576801
Château Belair	id=g:3576802
Anse Chastanet	id=g:3576803
Chassin	id=g:3576804
Fort Charlotte	id=g:3576805
Charlotte	id=g:3576806
Chapeau Point	id=g:3576807
Anse Chapeau	id=g:3576808
Castries River	id=g:3576809
Quarter of Castries	id=g:3576810
Port Castries	id=g:3576811
Castries	id=g:3576812
Mount Casteau	id=g:3576813
Cassimi Point	id=g:3576814
Carrièe	id=g:3576815
Caraibe Point	id=g:3576816
L’Anse Capitaine	id=g:3576817
Cap Estate	id=g:3576818
Pointe du Cap	id=g:3576819
Mount du Cap	id=g:3576820
Cantonement	id=g:3576821
Canelles River	id=g:3576822
Canelles Estate	id=g:3576823
Pointe des Canelles	id=g:3576824
Canelles	id=g:3576825
Anse Canelle	id=g:3576826
Canaries River	id=g:3576827
Piton Canaries	id=g:3576828
Anse des Canaries	id=g:3576829
Canaries	id=g:3576830
Pointe de Caille	id=g:3576831
Morne Caillandre	id=g:3576832
Caféière	id=g:3576833
Caesar Point	id=g:3576834
Mount Cabrite	id=g:3576835
Cabiche	id=g:3576836
Burgot Rocks	id=g:3576837
Burgot Point	id=g:3576838
Bouton	id=g:3576839
Bottes Cape	id=g:3576840
Mount des Bottes	id=g:3576841
Bosquet d’Or	id=g:3576842
Bonhomme Point	id=g:3576843
Bongalo	id=g:3576844
Bon Air	id=g:3576845
Bois Joli	id=g:3576846
Bois d’Orange River	id=g:3576847
Bois d’Orange	id=g:3576848
Blanche Point	id=g:3576849
Blanchard	id=g:3576850
Black Bay River	id=g:3576851
Black Bay	id=g:3576852
Black Bay	id=g:3576853
Bisée	id=g:3576854
Trou Bigorneau	id=g:3576855
Bexon	id=g:3576856
Ravine Bethel	id=g:3576857
Berre Denis	id=g:3576858
Mount Belvidere	id=g:3576859
Belvedere	id=g:3576860
Belmont	id=g:3576861
Mount Bellevue	id=g:3576862
Belle Vue	id=g:3576863
Belle Vue	id=g:3576864
Belle Plaine	id=g:3576865
Belair	id=g:3576866
Bécune Point	id=g:3576867
Anse Bécune	id=g:3576868
Morne Beauséjour	id=g:3576869
Beauséjour	id=g:3576870
Beauséjour	id=g:3576871
Mount Beaujolais	id=g:3576872
Beauchamp	id=g:3576873
Barre de l’Isle Ridge	id=g:3576874
Trou Barlow	id=g:3576875
Banse	id=g:3576876
Anse du Banc	id=g:3576877
Bananes Point	id=g:3576878
Pointe Bananes	id=g:3576879
Balembouche Rocks	id=g:3576880
Balembouche River	id=g:3576881
Balembouche Bay	id=g:3576882
Balembouche	id=g:3576883
Balca	id=g:3576884
Balata	id=g:3576885
Babonneau	id=g:3576886
Au Tabor	id=g:3576887
Augier	id=g:3576888
Anse Noir	id=g:3576889
Anse La Verdure	id=g:3576890
Quarter of Anse-la-Raye	id=g:3576891
Petite Rivière de l’ Anse La Raye	id=g:3576892
Grande Rivière de l’ Anse La Raye	id=g:3576893
Anse La Raye	id=g:3576894
Anse Ger	id=g:3576895
Anse Cochon River	id=g:3576896
Anse Canot	id=g:3576897
Annus	id=g:3576898
Angere	id=g:3576899
Anbre	id=g:3576900
Albert Point	id=g:3576901
Moule á Chique Promontory	id=g:3740554
Anse Benson	id=g:3740555
Anse Rafale	id=g:3740556
Battery Point	id=g:3740557
Cross Hill	id=g:3740558
Caille Reef	id=g:3740559
Fond Blanc	id=g:3740560
Vigie Promontory	id=g:3740561
Tapion Shoal	id=g:3740562
Cocoa Nut Shoal	id=g:3740563
Vieille Ville Bay	id=g:3740564
Vieille Ville Point	id=g:3740565
Vigie Point	id=g:3740568
Marigot Beach Club	id=g:6463682
Discovery at Marigot Bay	id=g:6464232
Windjammer Landing Villa Beach Resort	id=g:6471742
Ladera Resort	id=g:6473177
The Jalousie Plantation	id=g:6475418
Almond Smugglers Cove All Inclusive	id=g:6476117
Bay Gardens Hotel	id=g:6476243
Almond Morgan Bay Beach Resort All Inclusive	id=g:6477123
Cara Suites	id=g:6483952
Harmony Suites	id=g:6486309
Bay Gardens Beach Resort	id=g:6490593
Cotton Bay Village	id=g:6492020
Harmony Apartments	id=g:6492401
Jade Mountain Resort	id=g:6492670
Coco Palm	id=g:6497640
The Sunset Hill Resort and Spa	id=g:6497669
Ti Kaye Village	id=g:6497710
Anse Chastanet Resort	id=g:6497726
Coconut Bay Beach Resort & Spa All Inclusive	id=g:6498941
The Village Inn and Spa	id=g:6499215
Coco Kreole	id=g:6499739
The BodyHoliday at LeSPORT All Inclusive	id=g:6499824
Rendezvous All Inclusive	id=g:6500248
Bay Gardens Inn	id=g:6500256
Sandals Regency St. Lucia Golf Resort & Spa	id=g:6500712
Fond Bay Suites and Villa	id=g:6500748
Sandals Grande St. Lucian Spa & Beach Resort - All Inclusive	id=g:6500948
Caribbean Jewel beach Resort	id=g:6501068
Sandals Halcyon St. Lucia All Inclusive	id=g:6501473
Papillon St. Lucia All Inclusive by Rex Resorts	id=g:6502157
Glencastle Resort	id=g:6502189
St. Lucian by Rex Resorts	id=g:6502463
Body Holiday At Lesport	id=g:6505015
Juliettes Lodge Hotel	id=g:6505054
La Haut Plantation	id=g:6505626
Hummingbird Beach Resort	id=g:6506466
The Fox Grove Inn	id=g:6506672
Ladera Resort	id=g:6508621
The Still Plantation Resort	id=g:6512939
Tuxedo Villas	id=g:6513097
Stonefield Estate	id=g:6513999
La Dauphine Estate	id=g:6515642
The Orange Grove Hotel	id=g:6516724
Skyway Hotel	id=g:6518909
Kimatrai Hotel	id=g:6520398
Stonefield Estate Villa Resort	id=g:6527000
Apartment Espoir	id=g:6527427
Still Beach Resort	id=g:6527901
Sandals Regency St Lucia	id=g:6528504
Mago Estate Hotel	id=g:6529131
Inn On The Bay	id=g:6529728
Santa Lucia di Roverbella	id=g:6956252
Sotra Decca transmitter	id=g:7284319
Cariblue Beach	id=g:7289501
Vorder-Grauspitz	id=g:2658099
Hinter-Grauspitz	id=g:2660346
Pfälzer Hütte	id=g:2768948
Vorderschellenberg	id=g:3042029
Vaduz	id=g:3042030
Gemeinde Vaduz	id=g:3042031
Unteres Riet	id=g:3042032
Triesenberg	id=g:3042033
Gemeinde Triesenberg	id=g:3042034
Triesen	id=g:3042035
Gemeinde Triesen	id=g:3042036
Schellenberg	id=g:3042037
Gemeinde Schellenberg	id=g:3042038
Scheuakopf	id=g:3042039
Schaanwald	id=g:3042040
Schaan	id=g:3042041
Gemeinde Schaan	id=g:3042042
Sareiser Joch	id=g:3042043
Saminatal	id=g:3042044
Samina	id=g:3042045
Ruggell	id=g:3042046
Gemeinde Ruggell	id=g:3042047
Rhätikon	id=g:3042048
Planken	id=g:3042049
