Al ‘Aqm	id=g:402496
At Ti‘fāf	id=g:407530
Ash Shāfi‘īyah	id=g:407531
As Suwayq	id=g:407532
Banī al Hādī	id=g:407533
Ra’s al Ḩasy	id=g:407535
Al Furş	id=g:407536
Al Mutaynah	id=g:407537
Al Jabalīyah	id=g:407538
Qaryat al ‘Unayzīyah	id=g:407539
Banī Amīn	id=g:407540
Al Maḩjar	id=g:407541
Al Kadādīf	id=g:407542
Al ‘Umarīyah	id=g:407543
Jirb al Majāhişah	id=g:407544
Mishā‘ al Khaḑārīyah	id=g:407545
Ar Rutbah	id=g:407546
Ḩashābirah	id=g:407547
As Sulaykīyah	id=g:407548
Al Muta‘arriḑ	id=g:407549
Maḩall al Ja‘āmīyah	id=g:407550
Al Muşaywinīyah	id=g:407551
Al Jarūbah ad Dār	id=g:407552
Al Jurmūdīyah	id=g:407554
Aş Şuraybīyah	id=g:407555
Al Māsh	id=g:407557
Al Mafşal	id=g:407558
Al Maḑrab	id=g:407559
Qaryat Banī ‘Abd Allāh Mūsá	id=g:407561
Al Mabkarīyah	id=g:407562
Al Fashsh	id=g:407563
Al Ḩumārah	id=g:407564
Maḩall as Sabsab	id=g:407565
Al Maḩaţţ	id=g:407566
Bāşāt	id=g:407567
Al Arba‘īn	id=g:407568
Maḩwá al Quḩaym	id=g:407569
Al Junaydīyah	id=g:407570
Al Muzarrafīyah	id=g:407571
Dār Bān	id=g:407572
Al Ḩawtah	id=g:407573
Al Burātah	id=g:407574
Ad Dumaynah	id=g:407575
Al Ghazalayn	id=g:407576
‘Uwayd ash Shāmī	id=g:407577
Jabal Qawnis	id=g:407578
Şanīf al Ghalābah	id=g:407579
Al Qaḩmah	id=g:407580
Al Juraynī	id=g:407581
Al Jarūb	id=g:407582
Ţawīlah	id=g:407583
Ḑayf al ‘Ajamī	id=g:407584
Maḩwá al Ḩiyās	id=g:407589
At Tamāmīyah	id=g:407590
Al Ghawādir	id=g:407591
‘Arşimah	id=g:407592
Ḩuqaylā’	id=g:407593
Maḩall Sa‘īd	id=g:407594
As Salfah	id=g:407595
Qaryat Nāḩiyat al Jabjab	id=g:407596
Mishrāfah	id=g:407597
Kabbat ash Sharīf	id=g:407598
As Samḩah	id=g:407599
Al Ḩuşayn	id=g:407600
Qaryat al Ashrāf	id=g:407601
Jabal Marābi	id=g:407602
Sūq ar Rakab	id=g:407603
Jabal Qaraz̧ān	id=g:407604
Şanīf al Ja‘arah	id=g:407605
Al Maqsha‘	id=g:407606
Al ‘Arim	id=g:407607
Al ‘Aydah	id=g:407608
Az Zāni‘ah	id=g:407609
Rubū‘ al Ḩuraymī	id=g:407610
Al Kawlah	id=g:407611
Shi‘b an Na‘īm	id=g:407612
Ḩamīz̧ah	id=g:407613
Jabal Ḩawqamah	id=g:407614
Al Ḩibālī	id=g:407615
Al Ḩazm	id=g:407616
Jabal Banī As‘ad	id=g:407617
Wādī Sūrah	id=g:407618
Ar Ramādī	id=g:407619
Al Qulmah	id=g:407620
Al Ghubrah	id=g:407621
Qaryat al Maḩwá	id=g:407622
Qaryat an Nazālī	id=g:407623
Al Fashsh	id=g:407624
Dār al Ḩurbī	id=g:407625
Qaryat al ‘Anb	id=g:407626
Qaryat al Muḩarraq	id=g:407627
Qaryat al Ḩudhlah	id=g:407628
Al Kadahah	id=g:407629
Wādī al Mudaḩ	id=g:407630
Ruhā’	id=g:407631
Ad Duwaymah	id=g:407632
Al Manşūrah	id=g:407633
Al Aḩţūb	id=g:407634
Az̧ Z̧uhrah	id=g:407636
Al Qiḩāf	id=g:407650
Sahlah	id=g:407653
Marjāmah	id=g:407654
Jabal Qaşil	id=g:407655
Sā’ilat ‘Annah	id=g:407657
Jabal Sharaf Ḩalyān	id=g:407658
Ḩumar	id=g:407659
Dhū Nahabah	id=g:407662
Diḩaşşah	id=g:407663
Jabal Akl	id=g:407664
Ath Thulth	id=g:407665
Qaryat al Ghawl	id=g:407666
Al ‘Adan	id=g:407667
Ţal‘ar Rāhidah	id=g:407668
Al Khālidī	id=g:407669
Al Khawāmis	id=g:407670
Sūq al Ḩarīyah	id=g:407671
Dār al A‘rūq	id=g:407673
Al Aşrūm	id=g:407675
Al Afyūsh	id=g:407676
Wādī ‘Aşūm	id=g:407677
Jabal Qur‘ud	id=g:407678
Qaryat al Ḩayyān	id=g:407679
Al Mawsaţah	id=g:407680
Al Ḩamādīn	id=g:407681
Ash Sharqī	id=g:407682
Jabal `Unub	id=g:407683
Thal‘athah	id=g:407687
Jabal ar Rakiz	id=g:407688
Al Jubbī	id=g:407689
Rubū‘ Banī Sha‘b	id=g:407690
Al Badayrah	id=g:407691
Dār ad Dārah	id=g:407694
Qaryat Ḩāḑīyah	id=g:407695
Ḩumar	id=g:407696
Janad	id=g:407697
Duwayshah	id=g:407698
Az̧ Z̧āhirah	id=g:407699
Al ‘Arūḑ	id=g:407700
Al Ghawl	id=g:407701
Al Waţā’	id=g:407702
Badaḩah	id=g:407703
Mudayfin	id=g:407704
Ḑamīn	id=g:407705
Hadīz̧ah	id=g:407706
Maḩall Karābidah	id=g:407707
Al Qundhūf	id=g:407708
Ar Ribāţ	id=g:407709
Rukāb	id=g:407710
Ash Shiqqah	id=g:407711
Jabal Umaymirat al Ash‘ūb	id=g:407712
Ḩuqayfanah	id=g:407713
Naqīl al Ḩufrah	id=g:407714
Jabal al Munabbar	id=g:407715
Maqbanah	id=g:407716
Al Mirzām	id=g:407717
Ad Duwaylah	id=g:407718
Ḑamīn A‘lá	id=g:407719
Ar Rawn	id=g:407720
Barḩ al ‘Awāmir	id=g:407721
Qaryat al Kharābat Wuruf	id=g:407722
Az̧ Z̧āji‘	id=g:407723
Jabal al Farad	id=g:407724
Banī Fakhr	id=g:407725
Al A‘dūf	id=g:407726
Al Qurf Dhībah	id=g:407727
Su‘aydah	id=g:407728
Qaryat al Biţnah	id=g:407729
Jabal Ghurrat Shamīr	id=g:407730
Hayjat Munasi‘	id=g:407731
Al ‘Adayn	id=g:407732
Qaryat Maraḩ	id=g:407733
Aş Şīnah	id=g:407734
Bāhitah	id=g:407735
Qaryat al Ḩaşīb	id=g:407736
Al Mujayrī	id=g:407737
Al Ghabbayshah	id=g:407738
Wādī Maraḩ	id=g:407739
Qaryat Ja‘shishah	id=g:407740
Az̧ Z̧arūbah	id=g:407741
Barḩ al Ḩarzah	id=g:407742
Al Juraybah	id=g:407743
Yi‘ān	id=g:407744
Yālūl	id=g:407745
Widin az Zubaydī	id=g:407746
Al Jurayz	id=g:407747
Ar Ramādah	id=g:407748
Al ‘Anşibah	id=g:407749
Aş Şuddah	id=g:407750
Wādī Yālūl	id=g:407751
Qaryat ‘Utah	id=g:407752
Qaryat ash Shaţţ	id=g:407753
‘Uqaylah	id=g:407754
Aḑ Ḑubah	id=g:407755
Al Buhayshah	id=g:407756
Zakayrah	id=g:407757
Buyūt al Jabarinah	id=g:407758
Al Murrah	id=g:407759
Wādī al Murrah	id=g:407760
Shaţţ al Ḩarāz	id=g:407761
Ar Rujīm	id=g:407762
Al Qiţān	id=g:407763
Al Maqşa‘	id=g:407764
Farā‘ah	id=g:407765
Wādī al Full	id=g:407766
‘Adan aş Şafā’	id=g:407767
Al ‘Amarah	id=g:407768
Qaryat aş Şawwah	id=g:407769
Al Mizghāf	id=g:407770
Ad Dalīfah	id=g:407771
An Nuzayhah	id=g:407772
Al Ḩajarah	id=g:407773
Qaryat al Ḩaḑan	id=g:407774
Al Az̧būr	id=g:407775
Aţ Ţiwāl	id=g:407776
Qadūm	id=g:407777
‘Amār al Jawf	id=g:407778
Aş Şahabah Ra‘aynah	id=g:407779
Al Madhūn	id=g:407780
Qaryat al Jibāl Ḩumarī	id=g:407781
Ash Shajarah	id=g:407782
Qurās	id=g:407783
Akamat Aj‘ud	id=g:407784
Qaryat al Maţāḩin	id=g:407785
Al Qiḩāf	id=g:407786
Az Zarībah	id=g:407787
Najd aş Şabarī	id=g:407788
Al Miqţār	id=g:407789
Ash Shaţţayn	id=g:407790
Qaryat Wādī al Bi’r	id=g:407791
Jabal Na‘man	id=g:407794
Jabal Qulīmah	id=g:407795
Qaryat al Manakh	id=g:407796
Jabal ‘Adf	id=g:407797
Al Afzār	id=g:407798
Wādī al Māliḩ	id=g:407799
Maqāşīş	id=g:407800
Ad Dumaynah	id=g:407801
Madīnat an Nūr	id=g:407802
Bi’r Bāshah	id=g:407803
Adūd	id=g:407804
Al Qayrāf	id=g:407805
Qaryat ad Dār	id=g:407806
Wādī an Nibāq	id=g:407807
Wādī an Nibāq	id=g:407808
Al Mibhā’	id=g:407810
Qashībah	id=g:407811
Wādī Wāhir	id=g:407812
Qaryat al Ḩumayrā’	id=g:407813
Ad Dumaynah	id=g:407814
Al ‘Annī	id=g:407815
Al Jirbayn	id=g:407816
Hawb al Waqī‘	id=g:407817
Wādī al Jisr	id=g:407818
Khums al Manbar	id=g:407820
Wādī Raḩābah	id=g:407821
Al Khalfah	id=g:407822
Al Kadākid	id=g:407823
Makmadah	id=g:407824
Al Unaysīyah	id=g:407825
Al Qaḩfah	id=g:407826
Mudayḩah	id=g:407827
Al Madāḩīyah	id=g:407828
Wādī as Sawāmī	id=g:407829
Wādī ath Thijrah	id=g:407830
Jabal Şulāhī	id=g:407831
Qaryat al Miliḩah	id=g:407832
Wādī al Miliḩah	id=g:407833
Al Muḩus	id=g:407834
Al Juhaymah	id=g:407835
Al Masāniḩ	id=g:407836
Shi‘b Ayūb	id=g:407837
Nashīţ	id=g:407838
‘Amirah	id=g:407839
Jabal Zanikh	id=g:407840
Khalīj	id=g:407841
Qaryat al Marāgh	id=g:407842
Al Ḩurūf	id=g:407843
Sabāt	id=g:407844
Al Jarf	id=g:407845
Maqrabah	id=g:407846
Ḩumarah	id=g:407847
Al Alwāḩ	id=g:407848
Al Hasab	id=g:407849
Al Ḩabīl	id=g:407850
Al Mīhāl	id=g:407851
Dhī ‘Unqub	id=g:407852
Al Masālīyah	id=g:407853
Al Khawābirī	id=g:407854
Qaryat al ‘Uzlah	id=g:407855
Al Mujayrīn	id=g:407856
Wādī al Aḩmar Hajam	id=g:407857
Wādī al Aḩmar Hajam	id=g:407858
Qaryat Wādī al Bi’r	id=g:407859
Maslaqah	id=g:407860
Yanā‘ah	id=g:407861
Adīnah	id=g:407862
Al Miḩshā’	id=g:407863
Aş Şarāhim	id=g:407864
Al Ḩujar	id=g:407865
Ḩarāz	id=g:407866
‘Ashamilah	id=g:407867
Ḩumarah	id=g:407868
Al Habān	id=g:407869
Al Qub‘	id=g:407870
Al Qaḩār	id=g:407871
Wādī Bahsūs	id=g:407872
Wādī an Nushaym	id=g:407873
Al Farayşah	id=g:407874
Ḩuwaysīyah	id=g:407875
Wādī Maqwalah	id=g:407877
Wādī Bahsūs	id=g:407878
Jabal Shu‘ayb	id=g:407896
Ra's al Buga`	id=g:407915
Al Buqa‘	id=g:407916
Ra’s al Ghuwarraq	id=g:407917
Ghuwarraq	id=g:407918
Al Ḩaymah	id=g:407919
Al Jilāb	id=g:407920
Wādī al Marīr	id=g:407921
Wādī Nakhlah	id=g:407922
An Nakhil	id=g:407923
Qaryat al Rurūdī	id=g:407926
Bayt al Ḩashshāsh	id=g:407927
Bayt al Ḩaymī	id=g:407930
Bayt Muḩammad Ḩasan Muhays	id=g:407932
Māshi‘ah	id=g:407934
Qaryat ash Shu‘ūb	id=g:407935
Al Ḩā’iţ	id=g:407939
Wādī Marīr	id=g:407940
Bayt Baysh	id=g:407941
Ar Rawn	id=g:407943
Al Mikhrāf	id=g:407944
Ash Shi‘bah	id=g:407946
Maḩall ar Rabī‘	id=g:407947
Al Ḩillah	id=g:407948
Bayt Bishārah	id=g:407949
Bayt Furtūt	id=g:407950
Al Qaḑībah	id=g:407951
Al Qāḩizī	id=g:407952
Dār Nājī	id=g:407953
Ash Shi‘b	id=g:407954
Al ‘Uqdah	id=g:407955
Qaryat as Sādah	id=g:407956
Al Jurayb	id=g:407957
Aḑ Ḑāḩiyah	id=g:407958
Al ‘Afādīyah	id=g:407959
Ad Dimnah	id=g:407960
Ar Rākibah	id=g:407961
Ar Ribāţ	id=g:407962
Qaţanat al Ḩulayşī	id=g:407963
Al Muşaybir	id=g:407964
Wādī Ḑamīn	id=g:407965
Jabal al Ghāziyah	id=g:407966
Ar Ruwaynah	id=g:407967
Quwayyib	id=g:407968
Ḩā’iţ al Kanzah	id=g:407969
Al Qaţanah	id=g:407970
Ash Shi‘āb	id=g:407971
An Nawbah	id=g:407972
Al Mu‘ayşir	id=g:407973
Wādī ‘Urfān	id=g:407974
Wādī al Juwayḩ	id=g:407975
As Su‘aydīyah	id=g:407976
Al Ḩadqah	id=g:407977
Al Ḩumar	id=g:407978
Wādī al Būmīyah	id=g:407979
Wādī al Mu‘ayşir	id=g:407980
Al Kudayf	id=g:407981
Al ‘Āqir	id=g:407982
Ḩasy Sālim	id=g:407983
Al Qā‘īyah	id=g:407984
Ar Ruwaynah	id=g:407985
Ash Shaţţayn	id=g:407986
Al Maqāşi‘	id=g:407987
Al Jirārī	id=g:407988
Rub‘ Ji‘āshī	id=g:407989
Wādī Duhays	id=g:407990
Jabal al Qaḩbar	id=g:407991
Wādī Ḩāḑīyah	id=g:407992
Al Jadabah	id=g:407993
Al Ḩadqī	id=g:407994
Al Ghubayrā’	id=g:407995
As Sayyīf	id=g:407996
Dār al Makhawlī	id=g:407997
Ash Shawkah	id=g:407998
As Sablah	id=g:407999
Al Ma‘āqim	id=g:408000
Yālūl	id=g:408001
Qaryat al Hudayl	id=g:408002
Wādī Yālūl	id=g:408003
Wādī al Qaltā’	id=g:408004
Al Jabalayn	id=g:408005
Al Qawādir	id=g:408006
Al Mandūb	id=g:408007
Al Ḩabashī	id=g:408008
An Nujaybah	id=g:408009
Ash Shurayj	id=g:408010
Qaryat al Majallī	id=g:408011
Wādī ar Rufa‘	id=g:408012
Az Zahārī	id=g:408013
Al Fā’id	id=g:408014
Ash Shādhilīyah	id=g:408015
Jawfayn	id=g:408016
Nawbat al Quşayş	id=g:408017
Ḩasy al Ḩāfī	id=g:408018
Al Mushaqqar	id=g:408019
Ra’s al Ḩaymah	id=g:408021
Al Jashshah	id=g:408022
Ma‘mal al Būmīyah	id=g:408023
Wādī Ash Shaţţayn	id=g:408024
Jabal al Ḩabashī	id=g:408025
Makhabbah	id=g:408046
Wādī Surayyah	id=g:408048
Ḩarīm	id=g:408049
Ghayl Kulaita	id=g:408050
Jabal Sanfah	id=g:408051
Jabal am Khabb	id=g:408052
Jabal Aswad	id=g:408053
Wādī Jurre	id=g:408054
‘Abd al Majīd	id=g:408055
Jabal Karbūbah	id=g:408056
Jabal Mijann	id=g:408057
Wādī Umm Kalili	id=g:408058
Ghayl Fanqūr	id=g:408059
Ghayl Umm Funi	id=g:408060
Wādī Bāzī	id=g:408061
Wādī Umm Bizzi	id=g:408062
Jabal Umm Kabī	id=g:408063
Harab	id=g:408064
Jabal Umm Majwa	id=g:408065
Jabal Zubayd	id=g:408066
Umm Maḩjabah	id=g:408067
Wādī Umm Durad	id=g:408068
Wādī Miḩfar	id=g:408069
Umm Sha’bū	id=g:408070
Wādī Umm Mijann	id=g:408071
Umm Ţāḩinī	id=g:408072
Ka‘lūlī	id=g:408073
Al Bāzī	id=g:408074
Bi’r al Bāzī	id=g:408075
Umm Laşbah	id=g:408076
Jabal Umm Laşbah	id=g:408077
Bi’r Umm Laşbah	id=g:408078
Umar al Kawai	id=g:408079
Jabal Umm Ḩajījah	id=g:408080
Wādī Umm Ḩajījah	id=g:408081
Jabal Umm Jurdaydāt	id=g:408082
An Naqīqah	id=g:408083
Wādī Maḩjabah	id=g:408084
Ḩamrā’	id=g:408085
Hadayf	id=g:408086
Ashai Zuwaira	id=g:408087
Jabal Shaţţ aţ Ţawīl	id=g:408088
Jabal ar Rathīm	id=g:408089
Al Malāqī	id=g:408090
Wādī Muwayh	id=g:408091
Wādī Rathīm	id=g:408092
Wādī Muzayhid	id=g:408093
Umm Markabah	id=g:408094
Wādī Shubaytah	id=g:408095
Bi’r al Bārūdah	id=g:408096
Ra’s al ‘Ārah	id=g:408097
Al ‘Ārah	id=g:408098
Jabal Suwaydīyah	id=g:408099
Mijbīyah	id=g:408100
Muḩammad ‘Alī al Fattāḩī	id=g:408101
Wādī Khatmīyah	id=g:408102
Wādī al Buzqah	id=g:408103
Az Zīlah	id=g:408109
Al Maḩall	id=g:408110
Al Maţāmir	id=g:408111
Sūq ath Thulūth	id=g:408112
Jabal ‘Uqbī	id=g:408113
Ar Riyamah	id=g:408117
‘Alī Samah al Gharb	id=g:408118
Ash Shu‘aybah	id=g:408120
Qaryat aş Şayr	id=g:408121
Al Mishrāq	id=g:408122
Maswarah Bayt Ziyād	id=g:408123
Ḑubah	id=g:408124
Khirbat al Mirrī	id=g:408125
Zābir	id=g:408126
Jabal Shamar	id=g:408127
Al Kharābah	id=g:408128
Wādī al Kusr	id=g:408129
Wādī al Jawr	id=g:408130
Wādī Maqfad	id=g:408131
Sabt al Karābah	id=g:408132
Shi‘b Qaraḑān	id=g:408133
Maḩdin	id=g:408134
Shi‘b ar Rabḩ	id=g:408135
Ḩişn an Naqīb	id=g:408136
Wādī al Kanūnah	id=g:408137
‘Uzalat Wathan	id=g:408138
‘Uzlat al Karābah	id=g:408139
Banī Jabr	id=g:408140
‘Aybah	id=g:408141
Wādī as Sabalī	id=g:408142
Banī Ţaybah	id=g:408143
Jabal ash Shawānif	id=g:408144
Al Fijwar	id=g:408145
Najāh	id=g:408146
Ash Sharjabī	id=g:408147
Bayt ash Shitā’	id=g:408148
Khalaq	id=g:408149
Wādī Khalaq	id=g:408150
Jabal Mawzah	id=g:408151
Ḩālif	id=g:408152
Adhhān	id=g:408153
Wādī ‘Uqārim	id=g:408154
Ţanbah	id=g:408155
Jabal Silyām	id=g:408156
As Suwaydā’	id=g:408157
Al A‘kī	id=g:408158
Jabal Banī ‘Umar al ‘Ulyā	id=g:408159
Al Mabrak	id=g:408160
Al Manāzil	id=g:408161
Al Ḩiswar	id=g:408162
Wādī al Midyar	id=g:408163
Mashra‘ah	id=g:408164
Jabal Qufa‘	id=g:408165
Ar Rawḑah	id=g:408166
Wādī ar Rawḑah	id=g:408167
‘Uzlat Qaraḑān	id=g:408168
Ḩamrasah	id=g:408169
Wādī Ḩuqnah	id=g:408170
Nakhlah	id=g:408171
Jabal al Qala‘	id=g:408172
Al Ḩumrūrah	id=g:408173
Al Ḩumrūrah	id=g:408174
Banī Jumā‘ah	id=g:408175
Mamsā’ Daghmar	id=g:408176
Jabal Wa‘lān	id=g:408177
Najd al Fasīḩ	id=g:408178
’Banī ‘Umar as Suflá	id=g:408179
Jabal Ghannaymah	id=g:408180
Wādī Ḩamḑ	id=g:408181
At Tināmah	id=g:408182
Al Hudayf	id=g:408183
Ḑahrat Ghāliyah	id=g:408184
Mamsā’ ar Riz‘	id=g:408185
Jabal al ‘Ufayrīyah	id=g:408186
Mashrafah	id=g:408187
Wādī al Ḩumrūrah	id=g:408188
Al Aḩad al Mawāsimah	id=g:408189
Abū Hājirah	id=g:408190
Rabābah	id=g:408191
Sahl Abū Hājirah	id=g:408192
Ar Rakab	id=g:408193
Wādī Şayḩān	id=g:408194
Al Bārah	id=g:408195
Manḩam	id=g:408196
Najd ash Shamārī	id=g:408197
Al Ḩaşşah	id=g:408198
Sūq ar Rubū‘	id=g:408199
Al Maqhāyah	id=g:408200
Banī Mubāriz	id=g:408201
Samanān	id=g:408202
Ash Shaşrah	id=g:408203
As Sabal	id=g:408204
Bayt al ‘Allāf	id=g:408205
Al Maţūr	id=g:408206
Wādī ad Dukhaylah	id=g:408207
Ash Shikāmī	id=g:408208
Bayḩān	id=g:408217
Maḩfad Khawdān	id=g:408218
Al Ḩayāḑī	id=g:408219
Jabal al ‘Ar‘arah Khawdān	id=g:408220
Dhirā‘ Khawdān	id=g:408221
Ar Ra‘ādī	id=g:408222
An Nazhah	id=g:408223
Ash Sha‘ābī	id=g:408224
Jabal ‘Urrah	id=g:408225
Ribāţ as Sa‘īdī	id=g:408226
Ad Damīm	id=g:408227
Wādī Ḩawār	id=g:408228
’Banī Sayf as Sāfil	id=g:408229
Rayd al Madārīn	id=g:408230
Banī Sayf al A‘lá	id=g:408231
Dār ar Rumayshī	id=g:408232
Dār Khayrān	id=g:408233
Wādī Şabrah	id=g:408234
Jabal as Sūr	id=g:408235
Māriyah	id=g:408236
Ḩālah	id=g:408237
Marşabah	id=g:408238
‘Amid	id=g:408239
Al Ḩaḑan	id=g:408240
Ash Sharyah	id=g:408241
Ghafir	id=g:408242
Dhī Saḩr	id=g:408243
Sayyah	id=g:408244
Numārah	id=g:408245
Ḩaniḑ	id=g:408246
Sāmah	id=g:408247
Al Qullah	id=g:408248
Dhī Jizub	id=g:408249
Dār al Ḩanish	id=g:408250
Al Ḩubāri	id=g:408251
Shir‘ah	id=g:408252
Bayt al Kawmānī	id=g:408253
Ḩuşayn ‘Umrān	id=g:408254
Qurār	id=g:408255
Jabal Nahdān	id=g:408256
Wardasān	id=g:408257
Bakhrān	id=g:408258
Ad Dūr	id=g:408259
Dār al ‘Ushaw	id=g:408260
‘Aşfirān	id=g:408261
Al ‘Adan	id=g:408262
Ja‘ar	id=g:408263
Mansibah	id=g:408264
Wādī al Ḩār	id=g:408265
Al Jubah	id=g:408266
Ḩijrah	id=g:408267
Al Ḩarf	id=g:408268
Hijrat ‘Abīdah	id=g:408269
Ribāţ ar Rumayshī	id=g:408270
‘Abīdah	id=g:408271
Jabal Ḩaşşah	id=g:408272
Balasān	id=g:408273
As Sārī	id=g:408274
Dakhlat ‘Uwaydayn	id=g:408275
Şanşan	id=g:408276
Suḩammar	id=g:408277
Jabal al Qullah	id=g:408278
Al Lakmah	id=g:408279
Banī Muslim al ‘Ulyā	id=g:408280
Bā Suwayd	id=g:408281
Tālabah	id=g:408282
Jabal Nuşub	id=g:408283
Sha‘bān	id=g:408284
Qu‘ayqi‘ān	id=g:408285
Ash Sharafah	id=g:408286
Ribāţ ‘Umrān	id=g:408287
Bayt as Sunbulī	id=g:408288
Ḩataq	id=g:408289
Damās	id=g:408290
Al Wāsiţah	id=g:408291
Jabal Ma‘as	id=g:408292
Ru‘ayn	id=g:408293
Jabal Ḩilḩāl	id=g:408294
As Simlāl	id=g:408295
Ash Shaqb	id=g:408296
Al Khalaqah	id=g:408297
Bayt aḑ Ḑabyānī	id=g:408298
Ash Shalālah	id=g:408299
Bayt Jubārī	id=g:408300
Numārah	id=g:408301
Sanafān	id=g:408302
Dharw	id=g:408303
Wādī ash Shalālah	id=g:408304
Mazīj	id=g:408305
Milyān	id=g:408306
Jurf al Ḩammām	id=g:408307
Māwir	id=g:408308
Kharābat ‘Arās	id=g:408309
Al Balad	id=g:408310
Kharābat ‘Arās	id=g:408311
Najd al ‘Azab	id=g:408312
Al Ḩiyāf	id=g:408313
Dhumrān	id=g:408314
Al Jarf	id=g:408315
Bayt ad Du‘ūs	id=g:408316
Jabal al ‘Ajmā’	id=g:408318
Banī Munabbih	id=g:408319
Ribāţ ash Sha‘rī	id=g:408321
Şarḩah	id=g:408322
Aḑ Ḑubr	id=g:408323
Dhī Mushammir	id=g:408324
Qā‘ an Nawn	id=g:408325
Qaryat al ‘Arḑ	id=g:408328
Al Jabjab	id=g:408330
Jabal Khaḑrā’	id=g:408331
Jabal Kawkabān	id=g:408336
Ribāţ al Qal‘ah	id=g:408337
Khaylah	id=g:408340
Jabal ash Sha`r	id=g:408341
Ar Raḑā‘ī	id=g:408342
Bi’r Mahdī al Muntaşar	id=g:408344
Bi’r Aḩmad ‘Abd ar Rab	id=g:408345
Maghras Naji	id=g:408346
Kawd az Zaghbarī	id=g:408347
Bi’r Salah Kawd	id=g:408348
Bi’r Ḩumayd	id=g:408349
Bi’r Sālim	id=g:408350
Bi’r Ghānim	id=g:408351
‘Ubar al Jadīd	id=g:408352
Bayt al Ḩumaydī	id=g:408353
Bi’r ‘Abd al ‘Aziz	id=g:408357
Bi’r Umm Ḩarij	id=g:408359
Bi’r Qāsim	id=g:408362
Dubbah	id=g:408363
Nawbat al ‘Ikbār	id=g:408364
Bi’r Rayjal	id=g:408365
Muqaybirah	id=g:408366
Bi’r ‘Abd Allāh Bin ‘Alī	id=g:408369
Bi’r Ḩaydarah	id=g:408370
Jabal ‘Arā ‘Irah	id=g:408377
Wādī Umm Jid‘īyah	id=g:408381
Wādī Umm Sha‘ībī	id=g:408382
Jabal al Aḩmar	id=g:408383
Jabal Shi‘b Umm Jid‘īyah	id=g:408384
Jabal Sha‘īb	id=g:408385
Wādī ‘Antarīyah	id=g:408386
Jabal Umm Kushḩā	id=g:408387
Bi’r Umm Rijā‘	id=g:408388
Jabal Antarīyah	id=g:408389
Wādī Marasah	id=g:408390
Wādī al Mashārij	id=g:408391
Bi’r al Mashārij	id=g:408392
Wādī Shaşar	id=g:408393
Bi’r Marasah	id=g:408394
Bi’r Alī Bin Ḩāzim	id=g:408395
As Sha‘ībah	id=g:408396
Wādī az̧ Z̧abī	id=g:408397
Bi’r Hawdā	id=g:408398
Wādī Hawdā	id=g:408399
Shi‘b Waqīb	id=g:408400
Wādī Tha’ūbah	id=g:408401
Bi’r al Ba‘assis	id=g:408402
Wādī al Qayfī	id=g:408403
Khubbah	id=g:408404
Aş Şalūlah	id=g:408405
Bi’r aş Şalūlah	id=g:408406
Bi’r Sālim Bin Salāḩ	id=g:408407
Bi’r Umm Sulaihat	id=g:408408
Bi’r Muḩammad Ḩassan	id=g:408409
Jabal Ḩayrān	id=g:408410
Jabal Kashrā	id=g:408411
Jabal al Kaira	id=g:408412
Jabal al Gushara	id=g:408413
Wādī Khabkhab	id=g:408414
Bi’r ‘Antarī	id=g:408415
Jabal Warī	id=g:408416
Wādī Kharibah	id=g:408417
Jabal al Farsh	id=g:408418
Wādī Dukhān	id=g:408419
Wādī Kahlah	id=g:408420
Jabal Kādī	id=g:408421
Wādī al Fakāhah	id=g:408422
Fakāhah	id=g:408423
Ad Dahbalīyah	id=g:408424
Wādī Ghadīr	id=g:408425
Bi’r Uqqāb	id=g:408426
Wādī Thawbah	id=g:408427
Ḩabīl al Bart	id=g:408428
Al Kudayf	id=g:408429
Al Kafā	id=g:408430
Wādī Zilib	id=g:408431
‘Arthūr	id=g:408432
Wādī Maharā	id=g:408433
Wādī Khulaylah	id=g:408434
Shi‘b Suwaydā	id=g:408435
Shi‘b ‘Urhī	id=g:408436
Jabal ad Dāmī	id=g:408441
Jabal Mudawwarah	id=g:408442
Wādī ar Rāḩah	id=g:408443
Jabal al Farsh	id=g:408444
Jabal Saḩarḩar	id=g:408445
An Nawwāshah	id=g:408446
Nawbat Ahl ‘Abd Allāh	id=g:408447
Wādī Ḑabab	id=g:408448
Jabal Sal‘ad	id=g:408449
Wādī Kāzimī	id=g:408450
Jabal Lahmahr	id=g:408451
Umm Ḩufayrah	id=g:408452
Wādī Umm Maq‘am	id=g:408453
Wādī Jirāb	id=g:408454
Wādī Hudaybah	id=g:408455
Shi‘b al Fatḩ	id=g:408456
Wādī al Ḩabīl	id=g:408457
Bi’r Jarrāf	id=g:408458
Sākin Jarrāf	id=g:408459
Wādī Jarrāf	id=g:408460
Jabal Labab	id=g:408461
Wādī al Khashab	id=g:408462
Ḩabīl al Barqah	id=g:408463
Bayt Muhsin Muthana	id=g:408464
Bi’r al ‘Ulūb	id=g:408465
Bi’r Muḩammad Şālih	id=g:408466
Bi’r Rawayd	id=g:408467
Bi’r Muḩammad Şālih	id=g:408468
Bi’r aş Şālih Faḑl	id=g:408469
Bi’r Sayf Ahmad Alawī	id=g:408470
Jabal Layfuq	id=g:408471
Bi’r Hashīd	id=g:408472
Bi’r Saywad	id=g:408473
Bayt Saywad	id=g:408474
