Kominasaeo	id=g:2093584
Karue	id=g:2094526
Karu Bay	id=g:2094527
Mount Karuba	id=g:2094528
Karuasi	id=g:2094529
Karuama	id=g:2094530
Karu	id=g:2094531
Karu	id=g:2094532
Kartituka	id=g:2094533
Mount Karsini	id=g:2094534
Karron	id=g:2094535
Karp River	id=g:2094536
Karp	id=g:2094537
Karova Creek	id=g:2094538
Karova Creek	id=g:2094539
Karopa Creek	id=g:2094540
Karong	id=g:2094541
Karokaro	id=g:2094542
Karo Creek	id=g:2094543
Karo	id=g:2094544
Karmanuntina River	id=g:2094545
Karkum	id=g:2094546
Karkar Island	id=g:2094547
Kariwiri	id=g:2094548
Ka River	id=g:2094549
Karius Range	id=g:2094550
Karisokera	id=g:2094551
Karisoa	id=g:2094552
Karimui Plateau	id=g:2094553
Karimui District	id=g:2094554
Mount Karimui	id=g:2094555
Karimui	id=g:2094556
Karim River	id=g:2094557
Karimoa Bay	id=g:2094558
Karimia	id=g:2094559
Karima Creek	id=g:2094560
Karimabu	id=g:2094561
Karim	id=g:2094562
Karim	id=g:2094563
Mount Karik	id=g:2094564
Karigogup	id=g:2094565
Kariava	id=g:2094566
Karias Plantation	id=g:2094567
Karia Peak	id=g:2094568
Karia Number 2	id=g:2094569
Karian	id=g:2094570
Karia Mission	id=g:2094571
Karia Bay	id=g:2094572
Karia	id=g:2094573
Kari	id=g:2094574
Kari	id=g:2094575
Karfangi Creek	id=g:2094576
Mount Kareri	id=g:2094577
Karere River	id=g:2094578
Karep	id=g:2094579
Karemmin	id=g:2094580
Karemgu	id=g:2094581
Karema	id=g:2094582
Karel Reef	id=g:2094583
Karekopa	id=g:2094584
Karekodobu	id=g:2094585
Karegari	id=g:2094586
Kareeba River	id=g:2094587
Karedek	id=g:2094588
Mount Karebei	id=g:2094589
Karboni	id=g:2094590
Cape Karawop	id=g:2094591
Karawop	id=g:2094592
Karawari River	id=g:2094593
Karavia Number 2	id=g:2094594
Karavia Number 1	id=g:2094595
Karavia Bay	id=g:2094596
Karavia	id=g:2094597
Karavi	id=g:2094598
Karauwi	id=g:2094599
Karau River	id=g:2094600
Karau	id=g:2094601
Karau	id=g:2094602
Karatiowa	id=g:2094603
Karasusi	id=g:2094604
Karas Range	id=g:2094605
Kararua	id=g:2094606
Kararau	id=g:2094607
Karapia	id=g:2094608
Karap	id=g:2094609
Karani	id=g:2094610
Karangan	id=g:2094611
Karangan	id=g:2094612
Karangae	id=g:2094613
Karanga Creek	id=g:2094614
Karandu	id=g:2094615
Karanda Creek	id=g:2094616
Karanda	id=g:2094617
Karanara	id=g:2094618
Karamukei	id=g:2094619
Karamsarik	id=g:2094620
Karamera	id=g:2094621
Karamanofi	id=g:2094622
Karamagu	id=g:2094623
Karama Creek	id=g:2094624
Karama	id=g:2094625
Karakwa	id=g:2094626
Karakung	id=g:2094627
Karakuba Point	id=g:2094628
Karakara	id=g:2094629
Karaiworo	id=g:2094630
Karaitem	id=g:2094631
Karaitei	id=g:2094632
Karaite	id=g:2094633
Karaisa	id=g:2094634
Karaikomana	id=g:2094635
Karaiai	id=g:2094636
Karahasafa	id=g:2094637
Karagora	id=g:2094638
Karaeta	id=g:2094639
Kara Creek	id=g:2094640
Karabure Creek	id=g:2094641
Kara-Ausi	id=g:2094642
Kar	id=g:2094643
Kapus Point	id=g:2094644
Kapuri River	id=g:2094645
Kapuri	id=g:2094646
Kapungapang	id=g:2094647
Kapuna	id=g:2094648
Kapuluk River	id=g:2094649
Kapugumarigi	id=g:2094650
Kapugara River	id=g:2094651
Kapugam	id=g:2094652
Kapsu Point	id=g:2094653
Kapsu Plantation	id=g:2094654
Kapsu Bay	id=g:2094655
Kapsu	id=g:2094656
Kapsipau	id=g:2094657
Kapsel	id=g:2094658
Kapripata Point	id=g:2094659
Kapoli River	id=g:2094660
Kapoli Lake	id=g:2094661
Kapokapobil	id=g:2094662
Kapo Island	id=g:2094663
Kapogu	id=g:2094664
Kapogere Agricultural Station	id=g:2094665
Kapogere	id=g:2094666
Kapoam	id=g:2094667
Kapo	id=g:2094668
Kapo	id=g:2094669
Kapiura River	id=g:2094670
Kapitdang	id=g:2094671
Kapitamena	id=g:2094672
Kapiso	id=g:2094673
Kapiri	id=g:2094674
Kapin Number 2	id=g:2094675
Kapin Number 1	id=g:2094676
Kapikavi	id=g:2094677
Kapepa Islet	id=g:2094678
Kapemoku	id=g:2094679
Ka Peak	id=g:2094680
Mount Kapberg	id=g:2094681
Kapau River	id=g:2094682
Kapasaliao	id=g:2094683
Kaparura	id=g:2094684
Kapare Settlement Block	id=g:2094685
Kapal	id=g:2094686
Kapal	id=g:2094687
Kapai Number 2	id=g:2094688
Kapaimeri Mission	id=g:2094689
Kapai	id=g:2094690
Kapa Creek	id=g:2094691
Kanzarua	id=g:2094692
Kanuwe Creek	id=g:2094693
Kanu River	id=g:2094694
Kanunum	id=g:2094695
Kanunu	id=g:2094696
Kanungiya Ridge	id=g:2094697
Kanungiva River	id=g:2094698
Cape Kanun	id=g:2094699
Kanumpanaga	id=g:2094700
Kanum	id=g:2094701
Kanukabu	id=g:2094702
Kanudi	id=g:2094703
Kantomut Division	id=g:2094704
Kantebu	id=g:2094705
Kantagu	id=g:2094706
Kansimei	id=g:2094707
Kanosia Wharf	id=g:2094708
Kanosia Plantation	id=g:2094709
Kanongusngus	id=g:2094710
Kanomi	id=g:2094711
Kanobaba 2	id=g:2094712
Kanobaba 1	id=g:2094713
Kanninga Creek	id=g:2094714
Kaningara	id=g:2094715
Kanimeno Point	id=g:2094716
Kanigitaga	id=g:2094717
Kanigia Island	id=g:2094718
Kaniet Islands	id=g:2094719
Kanidigi	id=g:2094720
Kanibil River	id=g:2094721
Kaniangua	id=g:2094722
Kaniana	id=g:2094723
Kania Creek	id=g:2094724
Kangulat	id=g:2094725
Kangramei Creek	id=g:2094726
Kanglo	id=g:2094727
Kangilona	id=g:2094728
Kangil Creek	id=g:2094729
Kangguma	id=g:2094730
Kanggri	id=g:2094731
Kangavu Creek	id=g:2094732
Kangarua	id=g:2094733
Cape Kangargar	id=g:2094734
Kangarangate	id=g:2094735
Kanganesi 2	id=g:2094736
Kanganesi 1	id=g:2094737
Kanganaman	id=g:2094738
Kangal	id=g:2094739
Kanga	id=g:2094740
Kanel	id=g:2094741
Kanebak	id=g:2094742
Kanduanam Number 2	id=g:2094743
Kanduanam Number 1	id=g:2094744
Kandrian District	id=g:2094745
Kandrian	id=g:2094746
Kandoka	id=g:2094747
Kandoka	id=g:2094748
Kandoba	id=g:2094749
Kandimbro	id=g:2094750
Kandibi Lineage Creek	id=g:2094751
Kandi	id=g:2094752
Kandi	id=g:2094753
Kandep Mariant Mission	id=g:2094754
Kandep District	id=g:2094755
Kandep	id=g:2094756
Kandendent River	id=g:2094757
Kandarisa	id=g:2094758
Kandan River	id=g:2094759
Kandangai	id=g:2094760
Kandan	id=g:2094761
Kandai	id=g:2094762
Kandai	id=g:2094763
Kanda	id=g:2094764
Kanawetu	id=g:2094765
Kanau Cave	id=g:2094766
Kanatura	id=g:2094767
Kanari	id=g:2094768
Kanapu Island	id=g:2094769
Kanapit	id=g:2094770
Kanani	id=g:2094771
Kanandara	id=g:2094772
Kananam	id=g:2094773
Kanam River	id=g:2094774
Kanam Plantation	id=g:2094775
Kanam Mission	id=g:2094776
Cape Kanambumbu	id=g:2094777
Kanamarandan	id=g:2094778
Kanaman Point	id=g:2094779
Kanaman Island	id=g:2094780
Kanam	id=g:2094781
Kanakamdi	id=g:2094782
Kana Creek	id=g:2094783
Kanabu	id=g:2094784
Mount Kanabiga	id=g:2094785
Kanabea	id=g:2094786
Ok Kan	id=g:2094787
Kamus	id=g:2094788
Kamulai Mission	id=g:2094789
Mount Kamuga	id=g:2094790
Kam River	id=g:2094791
Kampupu	id=g:2094792
Kampos Creek	id=g:2094793
Cape Kampis	id=g:2094794
Kampepe	id=g:2094795
Kampalap	id=g:2094796
Kamor	id=g:2094797
Kamondo	id=g:2094798
Kamol	id=g:2094799
Kamnum	id=g:2094800
Kamloa	id=g:2094801
Kamlagidu Point	id=g:2094802
Kamiraba River	id=g:2094803
Kamiraba Plantation	id=g:2094804
Kamira	id=g:2094805
Kamira	id=g:2094806
Kami Number 2	id=g:2094807
Kami Number 1	id=g:2094808
Kamindibit	id=g:2094809
Kamilir Creek	id=g:2094810
Kamiaturn	id=g:2094811
Kamiang	id=g:2094812
Kami	id=g:2094813
Kami	id=g:2094814
Mount Kamhiayer	id=g:2094815
Kamge	id=g:2094816
Kamensiba	id=g:2094817
Ok Kameng	id=g:2094818
Kamel Creek	id=g:2094819
Kamdega	id=g:2094820
Kamdaru River	id=g:2094821
Kamdaru Plantation	id=g:2094822
Kamburade	id=g:2094823
Kambuku Village	id=g:2094824
Kambuku	id=g:2094825
Kambubu River	id=g:2094826
Kambua Creek	id=g:2094827
Kambrok	id=g:2094828
Kambrindo	id=g:2094829
Kambriap	id=g:2094830
Kambotorosch Harbour	id=g:2094831
Kambot Mission	id=g:2094832
Kambot	id=g:2094833
Cape Kamborer	id=g:2094834
Kambolo Creek	id=g:2094835
Kambisi	id=g:2094836
Kambirombi	id=g:2094837
Kambirip	id=g:2094838
Kambirara	id=g:2094839
Kambili	id=g:2094840
Kambilal	id=g:2094841
Kambienggwi	id=g:2094842
Kambiangge	id=g:2094843
Kamberatoro Mission	id=g:2094844
Kambelyi	id=g:2094845
Kambegibu	id=g:2094846
Kambawel Reef	id=g:2094847
Kambasakuyufa	id=g:2094848
Kamba River	id=g:2094849
Mount Kambari	id=g:2094850
Kambara River	id=g:2094851
Kambaramba Lagoon	id=g:2094852
Kambaramba	id=g:2094853
Kambaramba	id=g:2094854
Kambapupu Plantation	id=g:2094855
Kambampi	id=g:2094856
Kambal	id=g:2094857
Kambaire Creek	id=g:2094858
Kambaira	id=g:2094859
Kamba	id=g:2094860
Kamb	id=g:2094861
Kamavalo	id=g:2094862
Kamaua	id=g:2094863
Kamati	id=g:2094864
Kamatami	id=g:2094865
Kamatai	id=g:2094866
Kamasina	id=g:2094867
Kamasia Creek	id=g:2094868
Kamasau	id=g:2094869
Kamariumba	id=g:2094870
Kamari	id=g:2094871
Kaman River	id=g:2094872
Kamanjan	id=g:2094873
Kamangaui	id=g:2094874
Kamandan Plantation	id=g:2094875
Kamanburuka Mission	id=g:2094876
Kamanaro	id=g:2094877
Kamanakor Villages	id=g:2094878
Kamanakera Swamp	id=g:2094879
Kamanakera	id=g:2094880
Kamanakam	id=g:2094881
Kamanahai	id=g:2094882
Kamambu	id=g:2094883
Kamambu	id=g:2094884
Kamalgaman Anchorage	id=g:2094885
Kamale Plantation	id=g:2094886
Kamalakane	id=g:2094887
Kamaku	id=g:2094888
Kamakane	id=g:2094889
Kamakamar	id=g:2094890
Kamaigu	id=g:2094891
Cape Kamagil	id=g:2094892
Kamagaulum	id=g:2094893
Kamagakane	id=g:2094894
Kamabun	id=g:2094895
Kama	id=g:2094896
Kama	id=g:2094897
Kama	id=g:2094898
Kam	id=g:2094899
Kalu River	id=g:2094900
Kalum Creek	id=g:2094901
Kalumbianggo	id=g:2094902
Kalukai Point	id=g:2094903
Kaluan River	id=g:2094904
Kaluan Rest House	id=g:2094905
Kaluan Number 2	id=g:2094906
Kaluan Number 1	id=g:2094907
Kalu	id=g:2094908
Kalpinya	id=g:2094909
Kaloweri	id=g:2094910
Kalounapok Mission	id=g:2094911
Kalopa Island	id=g:2094912
Kalom	id=g:2094913
Kalo Kalo	id=g:2094914
Kalohon Point	id=g:2094915
Kalmaruhi Island	id=g:2094916
Kalki River	id=g:2094917
Kalipo Island	id=g:2094918
Kali Plantation	id=g:2094919
Kalip	id=g:2094920
Kalip	id=g:2094921
Kalingum	id=g:2094922
Kalinguang Point	id=g:2094923
Kalingu	id=g:2094924
Kalingere Point	id=g:2094925
Kalimarungwum Ridge	id=g:2094926
Kalili Plantation	id=g:2094927
Kalili Harbour	id=g:2094928
Kalil	id=g:2094929
Kaliku	id=g:2094930
Kalifilum	id=g:2094931
Kaliei	id=g:2094932
Kalibobo Point	id=g:2094933
Kali Bay	id=g:2094934
Kali	id=g:2094935
Kaletta	id=g:2094936
Kalem	id=g:2094937
Kaled Island	id=g:2094938
Kalawurima Island	id=g:2094939
Kalawida	id=g:2094940
Kalawanamugu	id=g:2094941
Kalaveng	id=g:2094942
Kalauru River	id=g:2094943
Kalauni Creek	id=g:2094944
Kalau	id=g:2094945
Kalasu	id=g:2094946
Kalasa Mission	id=g:2094947
Kalapiai Island	id=g:2094948
Kalapiai	id=g:2094949
Kalampun	id=g:2094950
Kalaloa River	id=g:2094951
Kalalin	id=g:2094952
Kalal	id=g:2094953
Kalai Plantation	id=g:2094954
Kalai	id=g:2094955
Kalagunan Point	id=g:2094956
Kalagunan	id=g:2094957
Kalagu-Munumbugu	id=g:2094958
Kalagukane	id=g:2094959
Kalagu-Kagagu	id=g:2094960
Kalagima Creek	id=g:2094961
Kalagen	id=g:2094962
Kalabu 2	id=g:2094963
Kalabu 1	id=g:2094964
Kalabinie	id=g:2094965
Kalabeli	id=g:2094966
Kala	id=g:2094967
Kakumo	id=g:2094968
Kaku	id=g:2094969
Kakoro	id=g:2094970
Kakopi	id=g:2094971
Kakolan Island	id=g:2094972
Kakoi	id=g:2094973
Kakiva	id=g:2094974
Kakita River	id=g:2094975
Kakima	id=g:2094976
Kakeipo	id=g:2094977
Kakaweadiaeia	id=g:2094978
Kakasa	id=g:2094979
Kakarravi	id=g:2094980
Kakare Island	id=g:2094981
Kakandetta	id=g:2094982
Kakalo	id=g:2094983
Kakak Waterhole	id=g:2094984
Kakaia	id=g:2094985
Wai Kakaha	id=g:2094986
Lake Kaka	id=g:2094987
Kajepkapun Plantation	id=g:2094988
Kajali Creek	id=g:2094989
Kaiyufa	id=g:2094990
Kai-Yo Bay	id=g:2094991
Kaiye	id=g:2094992
Kaiya River	id=g:2094993
Kaiyabi	id=g:2094994
Kaiwaupi	id=g:2094995
Kaiwaria	id=g:2094996
Ok Kaiwande	id=g:2094997
Kaivu	id=g:2094998
Kaiumguim	id=g:2094999
Kaiumevim	id=g:2095000
Kait River	id=g:2095001
Kaitoto	id=g:2095002
Kaiton	id=g:2095003
Kait Mission	id=g:2095004
Kaiteba	id=g:2095005
Kait	id=g:2095006
Kaisia	id=g:2095007
Kaisenik Creek	id=g:2095008
Kaisenik	id=g:2095009
Kaisava	id=g:2095010
Kairuru	id=g:2095011
Kairuku District	id=g:2095012
Kairuku	id=g:2095013
Kaironk River	id=g:2095014
Kai River	id=g:2095015
Kairiru Strait	id=g:2095016
Kairiru Island	id=g:2095017
Kairiravi	id=g:2095018
Kairimai	id=g:2095019
Kairava	id=g:2095020
Kairaga Islet	id=g:2095021
Kaipu Creek	id=g:2095022
Kaipu Creek	id=g:2095023
Kaipu	id=g:2095024
Kaip River	id=g:2095025
Ok Kaip	id=g:2095026
Kainye	id=g:2095027
Kaintiba	id=g:2095028
Kaintiba	id=g:2095029
Kainolak Mountain	id=g:2095030
Kaininantu	id=g:2095031
Kaingo	id=g:2095032
Kainggunua	id=g:2095033
Mount Kaindi	id=g:2095034
Kainde	id=g:2095035
Kainde	id=g:2095036
Kainantu District	id=g:2095037
Kainantu	id=g:2095038
Kainagunan	id=g:2095039
Kaimurumako	id=g:2095040
Kaimun Creek	id=g:2095041
Kaim River	id=g:2095042
Kaimihei Creek	id=g:2095043
Kaiment Creek	id=g:2095044
Kaimbiam	id=g:2095045
Kaimba	id=g:2095046
Kaimari Island	id=g:2095047
Kaimari	id=g:2095048
Kaimare Creek	id=g:2095049
Kailope River	id=g:2095050
Kailoma	id=g:2095051
Kaili Creek	id=g:2095052
Kaileuna Island	id=g:2095053
Kaile	id=g:2095054
Kailape	id=g:2095055
Kailakunumu	id=g:2095056
Kaikona	id=g:2095057
Kaiko	id=g:2095058
Kaikavau Point	id=g:2095059
Kaik	id=g:2095060
Mount Kaijende	id=g:2095061
Kai-Imi	id=g:2095062
Kaihovu	id=g:2095063
Kaiheto	id=g:2095064
Kaigulan	id=g:2095065
Kaifo	id=g:2095066
Kaieri	id=g:2095067
Kaiep	id=g:2095068
Kaidagoyin	id=g:2095069
Kaid	id=g:2095070
Kaibugu	id=g:2095071
Kaibola	id=g:2095072
Kaiau	id=g:2095073
Kaiaravi	id=g:2095074
Kaiapit District	id=g:2095075
Kaiapit	id=g:2095076
Kaiapit	id=g:2095077
Lake Kaiano	id=g:2095078
Kaian Lagoon	id=g:2095079
Kaiangabip	id=g:2095080
Kaiamu	id=g:2095081
Kaiam	id=g:2095082
Kaiafit	id=g:2095083
Kai	id=g:2095084
Kahuki Creek	id=g:2095085
Kahei	id=g:2095086
Kaguwe Creek	id=g:2095087
Kagua River	id=g:2095088
Kagua District	id=g:2095089
Kagua Agricultural Station	id=g:2095090
Kagua	id=g:2095091
Kagu	id=g:2095092
Kagu	id=g:2095093
Kagu	id=g:2095094
Kagop	id=g:2095095
Kago	id=g:2095096
Kagit River	id=g:2095097
Kagiru	id=g:2095098
Kagi	id=g:2095099
Kageta	id=g:2095100
Kagamuga	id=g:2095101
Kagaku	id=g:2095102
Kagai Rest House	id=g:2095103
Kaga	id=g:2095104
Kafonaga	id=g:2095105
Kafle	id=g:2095106
Kafkaf Plantation	id=g:2095107
Kafkaf	id=g:2095108
Kafiagane	id=g:2095109
Kafetugu	id=g:2095110
Kafetina River	id=g:2095111
Kafetegu	id=g:2095112
Kafera Creek	id=g:2095113
Kafegoruga	id=g:2095114
Kafe	id=g:2095115
Mount Kafani	id=g:2095116
Kafa	id=g:2095117
Kaevaga	id=g:2095118
Kaeng River	id=g:2095119
Kaduwaga	id=g:2095120
Kadovar Island	id=g:2095121
Kadora River	id=g:2095122
Kadir	id=g:2095123
Kadelik	id=g:2095124
Kadataiveakwa Point	id=g:2095125
Kadalawa Point	id=g:2095126
Kadai Island	id=g:2095127
Kacheo Island	id=g:2095128
Kabwum District	id=g:2095129
Kabwum	id=g:2095130
Kabwao Point	id=g:2095131
Kabuye Government Rest House	id=g:2095132
Kabuvwang River	id=g:2095133
Kabutine	id=g:2095134
Kabur River	id=g:2095135
Kabu River	id=g:2095136
Kabu River	id=g:2095137
Kabunut Plantation	id=g:2095138
Kabunut	id=g:2095139
Kabuni	id=g:2095140
Kabum	id=g:2095141
Kabuluna Point	id=g:2095142
Kabuli	id=g:2095143
Kabukeal Island	id=g:2095144
Kabuk	id=g:2095145
Kabubu	id=g:2095146
Kabubinie	id=g:2095147
Kabriman	id=g:2095148
Kabrenmin	id=g:2095149
Kabotteron Island	id=g:2095150
Kabori Number 2	id=g:2095151
Kabori Number 1	id=g:2095152
Kaborei	id=g:2095153
Kabong	id=g:2095154
Kabonas	id=g:2095155
Kabona Island	id=g:2095156
Kabona	id=g:2095157
Kabomdan	id=g:2095158
Kaboibus Creek	id=g:2095159
Kaboibus	id=g:2095160
Cape Kablumgu	id=g:2095161
Kabliwong Creek	id=g:2095162
Kablifi	id=g:2095163
Kableman	id=g:2095164
Kabiyu	id=g:2095165
Kabitoros Plantation	id=g:2095166
Kabitong Island	id=g:2095167
Kabi River	id=g:2095168
Kabinapaoa Point	id=g:2095169
Kabin	id=g:2095170
Kabil River	id=g:2095171
Kabil Plantation	id=g:2095172
Kabilomu	id=g:2095173
Kabil Mission	id=g:2095174
Kabiletad Point	id=g:2095175
Kabien Number 2	id=g:2095176
Kabien Number 1	id=g:2095177
Kabi Creek	id=g:2095178
Kabiatarai	id=g:2095179
Kabiabuna Creek	id=g:2095180
Kabet	id=g:2095181
Kabenau River	id=g:2095182
Mount Kabat	id=g:2095183
Kabari	id=g:2095184
Kabari	id=g:2095185
Kabapuko	id=g:2095186
Kaban Range	id=g:2095187
Kabanil	id=g:2095188
Kabanikau Point	id=g:2095189
Kabanga River	id=g:2095190
Mount Kabangama	id=g:2095191
Kabanga Bay	id=g:2095192
Kabanga	id=g:2095193
Kabanakwaikwala Point	id=g:2095194
Kabana	id=g:2095195
Mount Kaban	id=g:2095196
Kabamwuk	id=g:2095197
Kabaman	id=g:2095198
Kabak Plantation	id=g:2095199
Kabakon Reef	id=g:2095200
Kabakon Island	id=g:2095201
Kabakini	id=g:2095202
Kabak Creek	id=g:2095203
Kabakaul Bay	id=g:2095204
Kabakaul	id=g:2095205
Kabakadas	id=g:2095206
Kabakada Point	id=g:2095207
Kabakada	id=g:2095208
Kabakabiui	id=g:2095209
Kabaira Plantation	id=g:2095210
Kabaira Creek	id=g:2095211
Kabaira Bay	id=g:2095212
Kabaira	id=g:2095213
Kabaineri	id=g:2095214
Kabahon Mission	id=g:2095215
Kabagap	id=g:2095216
Kababiai	id=g:2095217
Ju-Whiai 2	id=g:2095218
Ju-Whiai 1	id=g:2095219
Cape Juno	id=g:2095220
June Valley	id=g:2095221
June River	id=g:2095222
Julien Hill	id=g:2095223
Jukes Point	id=g:2095224
Jugana	id=g:2095225
Joyce Bay	id=g:2095226
Josephstaal	id=g:2095227
Jorara	id=g:2095228
Jonita	id=g:2095229
Jones Reef	id=g:2095230
Jonangge Mountain	id=g:2095231
Jomi River	id=g:2095232
Johnston Islands	id=g:2095233
Johns Knoll	id=g:2095234
Johanna River	id=g:2095235
Johann Albrecht Reef	id=g:2095236
Johann Albrecht Harbour	id=g:2095237
Johan	id=g:2095238
Jogoi	id=g:2095239
Jobto	id=g:2095240
Joari	id=g:2095241
Jiwari	id=g:2095242
Jivevaneng	id=g:2095243
Ji-U River	id=g:2095244
Jitibu	id=g:2095245
Jitami	id=g:2095246
Jiropa Point	id=g:2095247
Jiropa Plantation	id=g:2095248
Jirikin	id=g:2095249
Jipmago	id=g:2095250
Jinena	id=g:2095251
Jimi River	id=g:2095252
Jimi District	id=g:2095253
Jimbakum	id=g:2095254
Jilim	id=g:2095255
Jikuataia	id=g:2095256
Jiguro Island	id=g:2095257
Jibulger	id=g:2095258
Jibu	id=g:2095259
Jibirogo	id=g:2095260
Jibako	id=g:2095261
Jgapa	id=g:2095262
Jeta	id=g:2095263
Jesubaibua	id=g:2095264
Cape Jeschke	id=g:2095265
Jeru River	id=g:2095266
Jensens Plantation	id=g:2095267
Jemwaiu Canoe Passage	id=g:2095268
Jegowi	id=g:2095269
Jegarata	id=g:2095270
Jebo	id=g:2095271
Jawani Island	id=g:2095272
Javiwaitaiz River	id=g:2095273
Javier	id=g:2095274
Javeneri	id=g:2095275
Jau River	id=g:2095276
Jaulu River	id=g:2095277
Jatapal Mission	id=g:2095278
Jassi River	id=g:2095279
Jas River	id=g:2095280
Jarum River	id=g:2095281
Jarrad Islands	id=g:2095282
Jarm River	id=g:2095283
Ja River	id=g:2095284
Jari River	id=g:2095285
Jari Island	id=g:2095286
Jari	id=g:2095287
Jarai Bay	id=g:2095288
Jarai	id=g:2095289
Jarai	id=g:2095290
Japuain	id=g:2095291
Jappa	id=g:2095292
Japaraka 3	id=g:2095293
Japaraka 2	id=g:2095294
Japaraka 1	id=g:2095295
Japandai	id=g:2095296
Japandai	id=g:2095297
Japanaut	id=g:2095298
Jao	id=g:2095299
Cape Jantzen	id=g:2095300
Jani	id=g:2095301
Jangit	id=g:2095302
Jangimut	id=g:2095303
Jangain Island	id=g:2095304
Jamuruk	id=g:2095305
Jammer Bay	id=g:2095306
Jamjam	id=g:2095307
Jamenki	id=g:2095308
Yame Island	id=g:2095309
Jame	id=g:2095310
Jambitanga	id=g:2095311
Jamandilai Point	id=g:2095312
Jamalavava	id=g:2095313
Jama	id=g:2095314
Jalun Island	id=g:2095315
Jal	id=g:2095316
Jake	id=g:2095317
Mount Jaka	id=g:2095318
Jajau Creek	id=g:2095319
Jajau Creek	id=g:2095320
Jajau	id=g:2095321
Jai Creek	id=g:2095322
Jagol River	id=g:2095323
Jacquinot Point	id=g:2095324
Jacquinot Bay	id=g:2095325
Cape Jacquinot	id=g:2095326
Jabiri River	id=g:2095327
Jabi Islands	id=g:2095328
Jabbering Islands	id=g:2095329
Jaba River	id=g:2095330
Mount Jabara	id=g:2095331
Jabab Creek	id=g:2095332
Mamayegu	id=g:2095333
Iyut River	id=g:2095334
Iwuribi	id=g:2095335
Iwuji	id=g:2095336
Iwore	id=g:2095337
Iworamon	id=g:2095338
Iwommhowa Mountain	id=g:2095339
Iwinni Creek	id=g:2095340
Iwewi	id=g:2095341
Iwewe	id=g:2095342
Iwau	id=g:2095343
Iwatimna	id=g:2095344
Iwatebu	id=g:2095345
Iwatara	id=g:2095346
Iwarum River	id=g:2095347
Iwapu	id=g:2095348
Iwani	id=g:2095349
Iwam Pass	id=g:2095350
Iwambe	id=g:2095351
Iwalewi Creek	id=g:2095352
Iwa Island	id=g:2095353
Iwaia	id=g:2095354
Iwaia	id=g:2095355
Iwai	id=g:2095356
Iwa	id=g:2095357
Ivum Villages	id=g:2095358
Ivule River	id=g:2095359
Ivoru River	id=g:2095360
Ivo River	id=g:2095361
Ivori River	id=g:2095362
Ivorika	id=g:2095363
Ivo’in Creek	id=g:2095364
Ivivitki Creek	id=g:2095365
Lake Iviva	id=g:2095366
Lake Iviva	id=g:2095367
Ivisusu	id=g:2095368
Ivirupu	id=g:2095369
Ivi River	id=g:2095370
Iviri River	id=g:2095371
Iviri Inlet	id=g:2095372
Ivira	id=g:2095373
Ivingoi Government Rest House	id=g:2095374
Ivieg	id=g:2095375
Ive Tari	id=g:2095376
Ivere	id=g:2095377
Ive Arjena	id=g:2095378
Ive Aiyeleo	id=g:2095379
Ivarai	id=g:2095380
Ivara	id=g:2095381
Ivani River	id=g:2095382
Ivani	id=g:2095383
Ivandu	id=g:2095384
Ivana	id=g:2095385
Ivaki Government Rest House	id=g:2095386
Ivagu	id=g:2095387
Ivagripi	id=g:2095388
Iva	id=g:2095389
Iuwane	id=g:2095390
Iuri Number 3	id=g:2095391
Iuri Number 2	id=g:2095392
Iuri Number 1	id=g:2095393
Iuni River	id=g:2095394
Iungpun	id=g:2095395
Iumorito	id=g:2095396
Iumora	id=g:2095397
Iumielo	id=g:2095398
Iumdelmin Number 2	id=g:2095399
Iumdelmin Number 1	id=g:2095400
Iumbi Island	id=g:2095401
Wok Ium	id=g:2095402
Iulei Creek	id=g:2095403
Iuku	id=g:2095404
Iugum River	id=g:2095405
Iu Bay	id=g:2095406
Iubadi	id=g:2095407
Iualbit	id=g:2095408
Iu-ai-u River	id=g:2095409
Iu-ai-u	id=g:2095410
Itutang	id=g:2095411
Itumsigin	id=g:2095412
Itum Junction	id=g:2095413
Itubma	id=g:2095414
Itoto Point	id=g:2095415
Itoto Creek	id=g:2095416
Itoto	id=g:2095417
Itonomata	id=g:2095418
Itomi	id=g:2095419
Itoi Creek	id=g:2095420
Itogama	id=g:2095421
Itne River	id=g:2095422
Ititi	id=g:2095423
Itingos	id=g:2095424
Itikinumu Plantation	id=g:2095425
Itaranku	id=g:2095426
Itapi	id=g:2095427
Ita	id=g:2095428
Ita	id=g:2095429
Isu 2	id=g:2095430
Isu 1	id=g:2095431
Isur River	id=g:2095432
Isurava	id=g:2095433
Isung	id=g:2095434
Isumrud Strait	id=g:2095435
Isosargan	id=g:2095436
Isontenu	id=g:2095437
Isogum	id=g:2095438
Isoge	id=g:2095439
Isi 2	id=g:2095440
Isi 1	id=g:2095441
Isina	id=g:2095442
Mount Isimurigarok	id=g:2095443
Isimp River	id=g:2095444
Isibi	id=g:2095445
Isiani	id=g:2095446
Isi	id=g:2095447
Ishom River	id=g:2095448
Ishmi Creek	id=g:2095449
Isher River	id=g:2095450
Iserap Creek	id=g:2095451
Isenga	id=g:2095452
Ise	id=g:2095453
Isawa River	id=g:2095454
Isaveni Blocks	id=g:2095455
Isatetu Creek	id=g:2095456
Isarikan	id=g:2095457
Isariga	id=g:2095458
Isara	id=g:2095459
Isapeape	id=g:2095460
Isan	id=g:2095461
