Nahr al Braghūthīyat	id=g:6763876
Al Jamīl	id=g:6776380
Ash Shaykh	id=g:6776381
Ţuwayr al ‘Abbūd	id=g:6776382
Nahr Suwaydān	id=g:6776383
Nahr Şubḩayāwī	id=g:6776384
Kurd Khalāy as Sachit	id=g:6776385
N‘ajah	id=g:6776386
Nahr al Miḑakhkhah	id=g:6776387
Kurd ‘Abd ad Dallūl	id=g:6776388
Nahr al Ḩājj Bandar	id=g:6776389
Tall Sarkhān	id=g:6776390
Nahr ad Dasmah	id=g:6776391
Kurd Jabbār aţ Ţuwayhir	id=g:6776392
Nāşr	id=g:6776393
Nahr al ‘Amūd	id=g:6776394
Nahr ad Duwayḩ	id=g:6776395
Qurá Banī Ḩuchaym	id=g:6776396
Nahr az Zulayţī	id=g:6776397
Falaḩ al Amāmī	id=g:6776398
Farhūd	id=g:6776399
‘Awaḑ Āl ‘Aţāwah	id=g:6776400
Akhfīf	id=g:6776401
Shaţţ al Azraq	id=g:6776402
Nahr Muraybī	id=g:6776403
Winās aţ Ţūfān	id=g:6776404
Winās	id=g:6776405
Ad Dasmah	id=g:6776406
Nāhī al Ḩammādī	id=g:6776407
Thūm al ‘Addāy	id=g:6776408
Dawb Umm al Jīr	id=g:6776409
Qal‘at al Wālī	id=g:6776410
Qurá al Ḩalāmīn	id=g:6776411
Qal‘at Āl Adghīm	id=g:6776412
Qaryat Banī Ḩuchaym	id=g:6776413
Ihnīd	id=g:6776414
Qaryat Āl Ziyād	id=g:6776415
Qal‘at Mishḩal	id=g:6776416
Khamāsh	id=g:6776417
Nahr adh Dhurayf	id=g:6776418
Nahr Sayyid Z̧affār	id=g:6776419
Al Ghabashīyah	id=g:6776420
Ḩusayn al Fahd	id=g:6776421
Dabbūs	id=g:6776422
Qaryat Āl Ziyād	id=g:6776423
Tall Abū Qaţţān	id=g:6776424
Nadīm	id=g:6776425
Īshān Abū Şakhr	id=g:6776426
Ḩayy ar Risālah	id=g:6776427
Aş Şabbāgh	id=g:6776428
Aş Şawb aş Şaghīr	id=g:6776429
Ḩayy ash Shuhadā’	id=g:6776430
Al Ghajarīyah	id=g:6776431
Ash Sharqī al Qadīm	id=g:6776432
Miḑakhkhat Mā’ Ḩamīd al Mawrid	id=g:6776433
Al Ḩayy aş Şinā‘ī	id=g:6776434
Ḩayy al ‘Askarī	id=g:6776435
Ḩaydarīyah	id=g:6776436
Al Jarbū‘īyah al Awlá	id=g:6776437
Aţ Ţāyis	id=g:6776438
Imām ‘Alī Z̧āhir	id=g:6776439
Imhāwish al ‘Awwād	id=g:6776440
Miḑakhkhat Mā’ Shaţān	id=g:6776441
Nāşir ar Rāshid	id=g:6776442
Al Jihādīyah	id=g:6776443
Al Ḩasan	id=g:6776444
Imām Māḑī	id=g:6776445
Al Bawājī	id=g:6776446
Manāḩī an Nawwāf	id=g:6776447
‘Ibrāt al ‘Aţshān	id=g:6776448
Imām aş Şāfī	id=g:6776449
Īshān Abū ‘Ajārīj	id=g:6776450
Īshān aş Şakhr	id=g:6776451
Tall al Aswad al Atharī	id=g:6776452
Qal‘at Manşūr	id=g:6776453
Imām Sayyid Rāḑī	id=g:6776454
Sīb	id=g:6776455
Miḑakhkhat Mā’ Ḩājj Fahd	id=g:6776456
Al ‘Agl	id=g:6776457
Miḑakhkhat Mā’ Sayyid Ḩusayn Sayyid ‘Alī	id=g:6776458
‘Ayn al Buḩayrah	id=g:6776459
Nahr Khudaydah	id=g:6776460
Bid‘at Hudhayb	id=g:6776461
Shaţţ Abū al ‘Adwah	id=g:6776462
Shaţţ al ‘Aw‘uwah	id=g:6776463
Nahr ad Dasmah	id=g:6776464
Sha‘īb ad Dīdān	id=g:6776465
Qaryat al Mamlaḩah	id=g:6776466
Tall ad Dārijah	id=g:6776467
Imām Abū al Faḑl	id=g:6776468
Sayyid ‘Ilwān al Yāsirī	id=g:6776469
Al Khannāq	id=g:6776470
Al Marrūshah	id=g:6776471
Al Yāsirī	id=g:6776472
Qurá al Khāfūrah	id=g:6776473
Makhfar Shurţat al Khāfūrah	id=g:6776474
Qurá al Jawābir	id=g:6776475
Qaryat ash Sharāgīyah	id=g:6776476
Sasūn Mūsá	id=g:6776477
Al Buşayyah	id=g:6776478
Al Buşayyah	id=g:6776479
Arāḑī ash Sharāgīyah	id=g:6776480
Qaryat aş Şaqlāwīyah	id=g:6776481
Aş Şaqlāwīyah	id=g:6776482
Nahr aş Şaqlāwīyah	id=g:6776483
Nahr Umm ad Dabbāgh	id=g:6776484
Maḩmūd al Ḩasan	id=g:6776485
Nahr al Yāsirī	id=g:6776486
Qaryat al A‘ājīb	id=g:6776487
Al ‘Iyāf	id=g:6776488
Ghalyān	id=g:6776489
Nahr Dayr Hunaydah	id=g:6776490
Makhfar Shurţat I‘mayyid	id=g:6776491
Nahr al Yāsirīyah al Jadīd	id=g:6776492
Tall al Muşallá	id=g:6776493
Tall Ţalyah	id=g:6776494
Qal‘at Ţalyah	id=g:6776495
Īshān Abū Zarrūg	id=g:6776496
Īshān az Zargah	id=g:6776497
Bādiyat as Salmān	id=g:6776498
An Nawāwīs	id=g:6776499
Ad Dīwān	id=g:6776500
Qal‘at Ab‘īr	id=g:6776501
Nahr al Fawrah	id=g:6776502
Nahr Kaţlāh	id=g:6776503
Īshān al Hayr	id=g:6776504
Sayyid Muḩammad as Sayyid Jāsim	id=g:6776505
Sayyid Jāsim Sayyid Muḩammad	id=g:6776506
Dawb Rajaf al Kabīr	id=g:6776507
Dawb Rajaf aş Şaghīr	id=g:6776508
Dawb al ‘Uwayjah	id=g:6776509
Makā’in Bazl	id=g:6776510
Qaryat Banī Ḩuchaym	id=g:6776511
Qaryat Āl Ziyād	id=g:6776512
Sha‘īb al Faḑārī	id=g:6776513
As Sayyid as Sulţān	id=g:6776514
Qaryat al Ghazālīyah	id=g:6776515
Al ‘Awād al Sharākīyah	id=g:6776516
Aţ Ţalīyah	id=g:6776517
‘Ubūd Al Jābr Muḩammad	id=g:6776518
Shaţţ al Ḩamad	id=g:6776519
Ḩudūd Mashrū‘ Mamliḩat as Samāwah	id=g:6776520
Qaryat al A‘ājīb	id=g:6776521
Arḑ Şakhrīyah	id=g:6776522
Qaryat Āl Ziyād	id=g:6776523
Al Ma‘ālī	id=g:6776524
Az̧ Z̧awālm	id=g:6776525
As Sayyid Muḩammad	id=g:6776526
Al A‘ājyīb	id=g:6776527
Al Jāsim Musá	id=g:6776528
Nahr al Qādasīyah	id=g:6776529
Nahr Abū Miḩrāthah	id=g:6776530
Shaţţ al Akrīm	id=g:6776531
Qaryat Banī ‘Āriḑ	id=g:6776532
As Sayyid ‘Abbās al A‘ājīb	id=g:6776533
Āl A‘ājīb	id=g:6776534
Al A‘ājīb	id=g:6776535
Āl A‘ājīb	id=g:6776536
‘Arab Muḩammad	id=g:6776537
Imām Sayyid ‘Alī	id=g:6776538
Ar Rafsh	id=g:6776539
Qaryat al A‘ājīb	id=g:6776540
Īshān as Sidrah	id=g:6776541
Dawb Sidrah	id=g:6776542
Nahr al Jiyād	id=g:6776543
‘Abbās Ḩammādī	id=g:6776544
Khāfūr Shirāz	id=g:6776545
Sayyid Nūr	id=g:6776546
‘Abūd al Ma‘rūf	id=g:6776547
Wālī al Kanīs	id=g:6776548
Karīm Jāsim	id=g:6776549
Sulţān al Mahdī	id=g:6776550
Şummān	id=g:6776719
Makhfar Ḩudūd al Līfīyah	id=g:6776720
Jāl al Baţţin	id=g:6776721
Makhfar Shurţat al Jirīshān	id=g:6776722
Al Abraq	id=g:6776723
Sha‘īb al Abţīn	id=g:6776724
Qārat Farī	id=g:6777899
Wādī al Majlān	id=g:6777900
Wādī Shamīr	id=g:6777901
Markab al ‘Ayn	id=g:6777902
Al Kūrah	id=g:6777903
Al Madḩām	id=g:6777904
Tall al Madḩām	id=g:6777905
Māmā Ghayr	id=g:6777906
Fayāḑ al Qarah	id=g:6777907
Al Qarah	id=g:6777908
Umm al Qaşīr	id=g:6777909
Garat Fari	id=g:6777910
Wādī Fahmī	id=g:6777911
Wādī al Māni‘ al Āwsaţ	id=g:6778018
Al Māni‘yān	id=g:6778019
Khirbat Umm Rashād	id=g:6778020
Khabrat Umm al Wāz	id=g:6778021
Sawḩ Ibn Jarād	id=g:6778022
Sawḩ Ja‘āţah	id=g:6778023
Faqarāt Furayḩ	id=g:6778024
Fiqrāt aḑ Ḑāya‘	id=g:6778025
Wādī al Mad·ham	id=g:6778026
Faqarāt Ji‘āţah	id=g:6778027
Wādī al Faḑwah	id=g:6778028
Wādī al Mu‘ayshar	id=g:6778029
Makhfar Shurţat Muḩaywir	id=g:6778030
Wādī al Māni‘ ash Sharqī	id=g:6778031
Duwaykhilat al A‘waj	id=g:6778090
Sawḩ aţ Ţarūk	id=g:6778091
Rumaylah ar Rakkāş	id=g:6778092
Aţ Ţarfāwī	id=g:6778093
Makhfar Ḩudūd Sahbān ad Dulayl	id=g:6778094
Kārat al Hadaf	id=g:6778095
Makhfar Ḩudūd Maḩḑūr Majnah	id=g:6778096
Atharī al Mushayrifah	id=g:6778378
Al Abşīşīyah	id=g:6778379
Tall Amushīrfah	id=g:6778380
Al Aḩzīmīyah	id=g:6778381
Sībāyat Atharī	id=g:6778382
An Naylīyah	id=g:6778383
An Nāşirīyah	id=g:6778384
Ḩāmid al Maz‘al	id=g:6778385
Namlah	id=g:6778386
Ad Duwīm	id=g:6778387
Al ‘Amiyān	id=g:6778388
Al Bayḑī	id=g:6778389
Aş Şāliḩīyah	id=g:6778390
Tall ar Rīm	id=g:6778391
Aşfayān	id=g:6778392
Abū Rāsīn	id=g:6778393
Tharī	id=g:6778394
Khabāzah	id=g:6778395
Muwaylakhah	id=g:6778396
Al Chāyir	id=g:6778397
Al Mashraf	id=g:6778398
Karkah	id=g:6778399
Atharī al Awayţ	id=g:6778400
Al Mashāfī	id=g:6778401
Sulţān	id=g:6778402
Al Karkash	id=g:6778403
Al Māţūr	id=g:6778404
Umm Ḩajārah	id=g:6778405
Abū Barāmīl	id=g:6778406
Khaznah	id=g:6778407
Khaznah	id=g:6778408
Ḩamdān	id=g:6778409
Sībāyat Marzūk	id=g:6778410
Abū al Ḩāff	id=g:6778411
Al Ahbārah	id=g:6778412
Mabhal	id=g:6778413
Al Kabar	id=g:6778414
Tall ash Shaykh	id=g:6778415
Ad Daḩlah	id=g:6778416
Ad Da‘īj	id=g:6778417
Khams Tulūl	id=g:6778418
Al Amdīnah	id=g:6778419
Akhmīsīyah	id=g:6778420
Umm Z̧abā‘	id=g:6778421
Ḩasanān	id=g:6778422
Amsahraj	id=g:6778423
‘Asīlah	id=g:6778424
Ad Daḩīlah	id=g:6778425
Al Umsalţān	id=g:6778426
Umm ash Shatāt	id=g:6778427
Khayām	id=g:6778428
Dām Akuraydī	id=g:6778429
Būthat Amshīrfah	id=g:6778430
At Tuwaymīn	id=g:6778431
Umshīfāt al Jisr	id=g:6778432
Zayyid al Ma‘īb	id=g:6778433
Yāsīn Ḩalbūş	id=g:6778434
Ar Rayzīyah	id=g:6778435
Hajaf	id=g:6778436
Tall aḑ Ḑil‘	id=g:6778437
Jum‘at Ḩusayn	id=g:6778438
Al ‘Abd	id=g:6778439
Bi’r Mā’ Tall Tarī	id=g:6778440
Aş Şak‘ah	id=g:6778441
Jabal Hūbz	id=g:6779197
Maşīf Sīkānyān	id=g:6779198
Jabal Bardūnāz	id=g:6779199
Bardūnāz	id=g:6779200
Kūl Kash	id=g:6779201
جبل سري بي	id=g:6779202
Wādī Sarī Bī	id=g:6779203
Jabal Sarqalān	id=g:6779204
Wārah Kūrk	id=g:6779205
Jabal Bazrakān	id=g:6779206
وادي شيورش	id=g:6779207
Jabal Buz Mark Sīr	id=g:6779208
Ḩājj ‘Umarān al ‘Ulyā	id=g:6779209
Ḩājj ‘Umrān as Suflá	id=g:6779210
Silsilat Jibāl Qandīl	id=g:6779211
Qal‘at Jāsim al Ḩamādī	id=g:6779395
Buyyūt Sa‘īd ‘Abbūd	id=g:6779396
Qal‘at Ḩājj Ḩamzah	id=g:6779397
Qal‘at Khaţīţ	id=g:6779398
Qal‘at Sa‘īd Kāz̧im	id=g:6779399
Tall Kharkhat	id=g:6779400
‘Umrān al Ḩusayn	id=g:6779401
‘Abbūd al Baqāt	id=g:6779402
Nahr Ḩamd ‘Amarḩīyah	id=g:6779403
Rāḑī Āl ‘Ālī	id=g:6779404
Rajawī Āl Nazāl	id=g:6779405
Al Hībāt	id=g:6779406
Al Hībāt	id=g:6779407
Nahr al Badrīyah	id=g:6779408
Al Mabnalah	id=g:6779409
‘Abd al Mahdī ‘Alī	id=g:6779410
Ḩalaş Jibbār	id=g:6779411
Al Jadamāt	id=g:6779412
Ḩasan Bin Chadmah	id=g:6779413
Al Janābāt	id=g:6779414
Shaţţ Dīwwān	id=g:6779415
Nahr al Qaţ‘ah	id=g:6779416
Nahr al Maţrah	id=g:6779417
Al Fatlah	id=g:6779418
Shaţţ Şāliḩ	id=g:6779419
Āl Fatlah	id=g:6779420
Nahr al Jadwal	id=g:6779421
Hawr Chadīyah	id=g:6779422
Shaţţ Achaḩān	id=g:6779423
Chaghādīdah	id=g:6779424
Wihām	id=g:6779425
Āl Ḩumayd	id=g:6779426
Bazl Amjīhīlīyah	id=g:6779427
Nahr Halālīyah	id=g:6779428
Al Wārīf	id=g:6779429
Nahr al Gharmūn	id=g:6779430
Nahr Barīhīmī	id=g:6779431
Ḩalwān Zawba‘	id=g:6779432
Buyyūt Maz‘al	id=g:6779433
Nahr Şuwayr	id=g:6779434
Jāsim Mullā Ru’ūf	id=g:6779435
Qal‘at Waghīm	id=g:6779436
Sayyid Ibrāhīm	id=g:6779437
Nahr al Hāshimī	id=g:6779438
Jarīdī Sa‘adah	id=g:6779439
Nahr Jayyād	id=g:6779440
Nahr Ja‘bāwī	id=g:6779441
Nahr al Muţţardī	id=g:6779442
Qal‘at Abū Khalīl	id=g:6779443
Ţashān Ibn Ḩusayn	id=g:6779444
Kāz̧im Abū Khagah	id=g:6779445
Shaţţ Ḩamān	id=g:6779446
Nahr al Ḩājj Jawād	id=g:6779447
Al Janābāt	id=g:6779448
Al Janābāt	id=g:6779449
Maqbarat al Imām Ibn al Ḩasan	id=g:6779450
Āl ‘Aysá	id=g:6779451
Qal‘at Abū Khalīl	id=g:6779452
Ḩasan Bin Nāşr	id=g:6779453
Waqāţ	id=g:6779454
Al Ghazālī	id=g:6779455
Abū Thamin	id=g:6779456
Hawr al Jabasah	id=g:6779457
‘Ayn Baḩr an Najaf	id=g:6779458
Nahr Hibbah	id=g:6779459
Nahr al ‘Anabīdīyah	id=g:6779460
Nahr Umm ‘Abd	id=g:6779461
Nahr Mabwīkh	id=g:6779462
Qaryat Baḩr an Najaf	id=g:6779463
Ḩamzah ash Sharqī	id=g:6779464
Da‘ūm	id=g:6779465
Mūsá Nāşr	id=g:6779466
Nahr Arajlah	id=g:6779467
Muḩammad al Ḩājj ‘Awwād	id=g:6779468
Tall Abayţar	id=g:6779469
Buyyūt Musālimīn	id=g:6779470
Mūsá an Nāşr	id=g:6779471
Ḩalabūş al Ḩajal	id=g:6779472
Jawwād al Muḩammad	id=g:6779473
Arāḑī Baḩr an Najaf	id=g:6779474
Qaryat Duwān	id=g:6779475
An Nūrīyah	id=g:6779476
Ghazālāt	id=g:6779477
Kāz̧im Jaql	id=g:6779478
Da‘ūm	id=g:6779479
‘Abd al Mahdī al Ḩājj ‘Abd al Jibār	id=g:6779480
Nahr Al Ab‘aywī	id=g:6779481
Nahr al Manawī	id=g:6779482
Nahr Abū Jaddū‘	id=g:6779483
Nahr Abū Jilāl	id=g:6779484
Nahr as Sinīyah	id=g:6779485
Nahr as Sinīyah al Jadīd	id=g:6779486
Nahr Hādī al Mabzal	id=g:6779487
Nahr al Bi‘ārī	id=g:6779488
Tall ar Rumādī	id=g:6779489
Khayţ an Naşīyah	id=g:6779490
‘Ayn Maz̧lūm	id=g:6779491
‘Ayn Maz̧lūm	id=g:6779492
‘Ayn al A‘arīj	id=g:6779493
‘Ayn al Asāwīd	id=g:6779494
‘Ayn Shumayl	id=g:6779495
‘Ayn Khalīj al ‘Arabī	id=g:6779496
‘Ayn al Luhaybāt	id=g:6779497
‘Ayn ‘Azīyah	id=g:6779498
‘Ayn an Najaf	id=g:6779499
‘Ayn Baḩr an Najaf	id=g:6779500
Shujayaj	id=g:6779501
‘Ayn Umm al Awrād	id=g:6779502
Wādī ‘Ayn al Marāt	id=g:6779503
Qārat as Sibbah	id=g:6779504
Tall as Sibbah	id=g:6779505
Wādī al Milḩ	id=g:6779506
Wādī Abū Khamsah	id=g:6779507
Wādī Abū Milḩ	id=g:6779508
Wādī al Ghazāl	id=g:6779509
Wādī Kharbah	id=g:6779510
Maghādar Abū Ḩumaylah	id=g:6779511
Ţarīq an Najaf - ad Dīwānīyah ar Ra’sī	id=g:6779512
Quwayrat al Ḩabūsīyah	id=g:6779513
Bunī Salāmah	id=g:6779514
Abū Şiba‘	id=g:6779515
Sha‘īb Maz‘al	id=g:6779516
‘Ayn Manşūr	id=g:6779517
Qal‘at Umm Ḩawālī	id=g:6779518
Īshān al Hawd	id=g:6779519
Wādī Umm Dūdah	id=g:6779520
Īshān al Ḩamr	id=g:6779521
Tall ad Daḩdīyah	id=g:6779522
Arāḑī Bādiyat al Jazīrah	id=g:6779523
Wādī Wadījān	id=g:6779524
Tall Abū Jāmūs	id=g:6779525
Nahr aş Şakhrah	id=g:6779526
‘Ayn ‘Ulaywī	id=g:6779527
‘Ayn ‘Aţār al Mashḩah	id=g:6779528
‘Ayn ‘Awdah al Maḩmūd	id=g:6779529
‘Ayn Sa‘ūd	id=g:6779530
‘Ayn Muḩammad	id=g:6779531
‘Ayn ‘Abd al Ghanūz	id=g:6779532
‘Ayn Ālbū Şūchab	id=g:6779533
‘Ayn Ālbū ‘Ubayd	id=g:6779534
‘Ayn ar Raḩbah	id=g:6779535
Wādī ‘Ayn Ruways	id=g:6779536
Īshān ar Raḩbah	id=g:6779537
Īshān al Gharbī	id=g:6779538
Imām Abū al Ḩasan	id=g:6779539
Salmān	id=g:6779540
Salmān al Ḩabīb	id=g:6779541
Īshān Ţarūmah	id=g:6779542
Bazl ash Shaţţī	id=g:6779543
Īshān aţ Ţalaq	id=g:6779544
Nāḩiyat al Qādisīyah	id=g:6779545
Āl Shibl	id=g:6779546
Qal‘at Umm Kubrah	id=g:6779547
Īshān Kufays	id=g:6779548
Al Ghazālāt	id=g:6779549
Shaţţ al Mashkhāb	id=g:6779550
Jisr Raqm Thalāthah	id=g:6779551
Wādī al ‘Alīyah	id=g:6780257
Wādī al ‘Anz	id=g:6780258
Abū Jum‘ah	id=g:6780259
Bi’r al Māliḩah	id=g:6780260
Wādī al ‘Awaj	id=g:6780261
Bi’r as Sulţānīyāt	id=g:6780262
Tall al Mawāsib	id=g:6780263
Wādī al Sulţānīyāt	id=g:6780264
Wādī al Ḩajjīyah	id=g:6780265
Wādī al ‘Ūwaysajī	id=g:6780266
Marqab Furayjīyān	id=g:6780267
Tall al Fījīyah	id=g:6780268
Abū Jum‘ah	id=g:6780269
Arḑ al Jarān	id=g:6780270
Za‘tarī	id=g:6780271
Wādī al Māliḩah	id=g:6780272
Wādī Abū Safīḩah	id=g:6780273
‘Allāt al Jarān	id=g:6780274
Nahr al Maḩbūbīyah	id=g:6780275
Wādī Ja‘āl	id=g:6780276
Wādī Abū Sa‘rāwil	id=g:6780277
Midaqq Ja‘al	id=g:6780278
Al ‘Alīyah	id=g:6780279
Al Mu‘allīyah	id=g:6780280
Al Duwaylayn	id=g:6780281
Az Zawayyah	id=g:6780282
Dūlāb	id=g:6780283
Barūthah	id=g:6780284
Tall Abū Şubayḩah	id=g:6780285
Arāḑī Abū Sarāwīl	id=g:6780286
Al Bārizīyah	id=g:6780287
Al Kanāshīyah	id=g:6780288
Al Qaşr	id=g:6780289
Tall Jubayrīyah	id=g:6780290
Tall Abū Ţabak	id=g:6780291
Al Jathāmīyah	id=g:6780292
Al Masarrīyah	id=g:6780293
Umm Thuwayl	id=g:6780294
Al Mahdānīyah	id=g:6780295
Al Mīrīyah	id=g:6780296
Wādī Ghazwaşīl	id=g:6780297
Ḩawījat Ḩanīsh	id=g:6780298
Al Jadīdah	id=g:6780299
Al Wasţānīyah	id=g:6780300
Lumnah	id=g:6780301
Al Majyūl	id=g:6780302
Ad Duray‘	id=g:6780303
Wādī al Baghdādī	id=g:6780304
Wādī az Zurayj	id=g:6780305
Al ‘Assāf	id=g:6780306
Dūwaylīyah	id=g:6780307
Mazīdīyah	id=g:6780308
Misjāf	id=g:6780309
Wādī al Jābirīyah	id=g:6780310
Mawsim	id=g:6780311
Fālij	id=g:6780312
Tulūl al Ḩamdah al Bāzīyah	id=g:6780313
Arāḑī Ḩamzah al Bāzīyah	id=g:6780314
Wādī Būtīr	id=g:6780315
Al Khazūrīyah	id=g:6780316
Nawī	id=g:6780317
Zukhaykhah	id=g:6780318
Wādī al Luwayz	id=g:6780319
‘Ayn al Ḩajjīyah	id=g:6780320
Şafīyah	id=g:6780321
Wādī Manāshīrah	id=g:6780322
Marqab Sha‘al	id=g:6780323
Marāqib aţ Ţawīl	id=g:6780324
Arḑ aţ Ţawīl	id=g:6780325
Wādī Jarān	id=g:6780326
Bi’r al ‘Abd	id=g:6780327
Mirzah Arḩīm	id=g:6780328
Wādī al Khafī	id=g:6780329
Ra’s Abū Zayt	id=g:6780330
Wādī Abū Zayd	id=g:6780331
Wādī al ‘Ānī	id=g:6780332
Tall al ‘Ānī	id=g:6780333
Bi’r al ‘Ānī	id=g:6780334
Wādī al ‘Ānī	id=g:6780335
Wādī al ‘Abdī	id=g:6780336
Tall ‘Alwān	id=g:6780337
Nahr Karūsh	id=g:6780338
Al Ḩabsīyah	id=g:6780339
Manāzil Amīrah	id=g:6780340
Maḩlabīyah	id=g:6780341
Ash Shākhişalīyah	id=g:6780342
Jazīrat al Ḩusaynīyah	id=g:6780343
Al Waslah	id=g:6780344
Al Khālidīyah	id=g:6780345
Imām Shaykh Hādī	id=g:6780346
Ḩawījat al Ghalyawī	id=g:6780347
Marqab ‘Ayn	id=g:6780348
Manşūr	id=g:6780349
Wādī ‘Umayrah	id=g:6780350
Wādī Ḩasan	id=g:6780351
Malakīyah	id=g:6780352
Ḩayţān	id=g:6780353
Wādī Abū al ‘Ayfayn	id=g:6780354
Umkhaḑīm	id=g:6780355
Adh Dhubīyah	id=g:6780356
Ash Shākirīyah	id=g:6780357
Al Basţāmīyah	id=g:6780358
Wādī Baḩr Sīfah	id=g:6780359
Wādī as Sahlīyah	id=g:6780360
Wādī Zummār	id=g:6780361
Jabal Zummār	id=g:6780362
Jabal az Zummār	id=g:6780363
Tabbat az Zummār	id=g:6780364
Markaz Tadrīb Mushāt Hīt	id=g:6780365
‘Uklat Khabbāzah	id=g:6780366
Wādī Kuşaybah	id=g:6780367
Nakhīl al Lanjabīyah	id=g:6780368
‘Ayn Kurayd	id=g:6780369
‘Ayn an Nujaybah	id=g:6780370
Nakhīl Khuḑayrah	id=g:6780371
‘Ayn al Kāmilīyah	id=g:6780372
Wādī al Marī	id=g:6780373
Wādī ‘Abdū	id=g:6780374
Tall al Qusāyah	id=g:6780375
Ḩajar	id=g:6780376
Kumayyah	id=g:6780377
Qinān	id=g:6780378
‘Ayn Kibrīt	id=g:6780379
Ḩusaynīyah	id=g:6780380
Tall al Marj	id=g:6780381
Tall as Sin	id=g:6780382
As Sin aş Şaghīr	id=g:6780383
Al Basāyir	id=g:6780384
Ḩājj Aḩmad Karīm	id=g:6780385
Al Ma‘mūrah	id=g:6780386
At Turbah	id=g:6780387
Wādī Kurūshī	id=g:6780388
Wādī Maḩāyiq	id=g:6780389
Ţabbūkhīyah	id=g:6780390
Wādī Marāyij	id=g:6780391
Tall Ḩusayn	id=g:6780392
Tall Suwayb	id=g:6780393
Wādī Suwayb	id=g:6780394
Wādī Maḩalḩān	id=g:6780395
Bustān al Maţābīj	id=g:6780396
Jubayr	id=g:6780397
Wādī az Zubayl	id=g:6780398
Wādī Zambīl	id=g:6780399
‘Arab Tall Aswad	id=g:6780400
Al Jassārīyah	id=g:6780401
Ālbū Maḩal	id=g:6780402
Al Ḩusaynīyah	id=g:6780403
Wādī al Hilālī	id=g:6780404
Wādī aţ Ţal‘ah	id=g:6780405
Wādī al Kaşābī	id=g:6780406
Wādī al ‘Asal	id=g:6780407
Wādī al Laddahī	id=g:6780408
Ḩawījat Aḩmad ar Rabī	id=g:6780409
Imām al Khiḑr	id=g:6780410
Al Khiḑr	id=g:6780411
Ma‘mal Simint Kubaysah	id=g:6780412
Marāqib al Jardān	id=g:6780413
Wādī Dānikīyah	id=g:6780414
Al ‘Aduwsīyah	id=g:6780415
Minţaqat Banī Ḩasan	id=g:6780829
Nahr al A‘raj	id=g:6780830
Minţaqat al Bayḑ	id=g:6780831
Minţaqat Āl Fatlah	id=g:6780832
Qaryat Āl Majallī	id=g:6780833
Minţaqat Karbalā’	id=g:6780834
Qaryat ar Rasmīyah	id=g:6780835
Nahr al ‘Ādah	id=g:6780836
Ḩayy al ‘Askariyyīn	id=g:6780837
Ḩayy al Ḩukkām	id=g:6780838
Ḩayy Bābil	id=g:6780839
Qaryat Jabr Dhiyāb	id=g:6780840
Minţaqat al Wardīyah	id=g:6780841
Ālbū Khaffājah	id=g:6780842
Ḩayy al Bakrī	id=g:6780843
Jisr Raqm Khamsah	id=g:6780844
Al Karāmah	id=g:6780845
Ḩayy as Sayyid	id=g:6780846
Ḩayy aţ Ţuruq	id=g:6780847
Qaryat Jabbār	id=g:6780848
Qaryat Ḩusayn ‘Abd Khuḑayr	id=g:6780849
Qaryat Ālbū Mūsá	id=g:6780850
Muḩammad al ‘Abbūd	id=g:6780851
Nahr al Ḩamīdīyah	id=g:6780852
Qaryat Daghāghilah	id=g:6780853
Abū Gharq	id=g:6780854
Tall Abū Namir	id=g:6780855
Minţaqat Ālbū Jāsim	id=g:6780856
Qaryat al ‘Ayfār	id=g:6780857
Umm Ţūb	id=g:6780858
Umm az Zāwiyah	id=g:6780859
Qaryat Āl Şakab	id=g:6780860
Qaryat Āl ‘Abd Allāh Ḩabīşah	id=g:6780861
Nahr Wazīr	id=g:6780862
Minţaqat al Hilālāt	id=g:6780863
Qaryat al Būr	id=g:6780864
Minţaqat Abū ‘Uwajīlīyah	id=g:6780865
Nahr al Wardīyah	id=g:6780866
Nāḩiyat al Khayrāt	id=g:6780867
Kasab Āl ‘Abd Allāh	id=g:6780868
Minţaqat Musay‘īdah	id=g:6780869
Maḩdī Sulaymān	id=g:6780870
Ḩasan Yūsuf	id=g:6780871
Nahr Ţabr al Furaylah	id=g:6780872
Nahr Āl Fatlah	id=g:6780873
Qanāt Abī Gharaq	id=g:6780874
Abī Gharaq al Awsaţ	id=g:6780875
Minţaqat Umm Bālah	id=g:6780876
Nahr aţ Ţahmāzīyah	id=g:6780877
Ţaybah	id=g:6780878
Ḩayy al Mu‘allimīn	id=g:6780879
Nahr al Wardīyah	id=g:6780880
Wardīyat al ‘Arab	id=g:6780881
Nahr Ālbū Khunfusān	id=g:6780882
Jamād Majīd	id=g:6780883
Ash Shariţayrah	id=g:6780884
Ḩayy al Janā’in	id=g:6780885
Jam‘īyat al Mu‘allimīn	id=g:6780886
Jadwal aţ Ţahmāzīyah	id=g:6780887
Imām Sharīfah	id=g:6780888
Qaryat Sharīfah	id=g:6780889
Qaryat Āl Kaysam	id=g:6780890
Sayyid Jābir	id=g:6780891
Ālbū Habr	id=g:6780892
Qaryat Ālbū Mūsá	id=g:6780893
Nahr al Ḩajj ‘Abd ar Raḩīm	id=g:6780894
Qaryat Āl Shayb	id=g:6780895
Khān ar Rab‘	id=g:6780896
