Bukii Tikup	id=g:6971345
Aalaa Abuke	id=g:6978004
Wonorejo	id=g:6978005
Digarautama	id=g:6978006
Tinggora	id=g:6978007
Haohaooko	id=g:6978008
Anggokoti	id=g:6978009
Srikaton	id=g:6978010
Puduriya	id=g:6978011
Batubatua	id=g:6978012
Aalaa Haohaooko	id=g:6978013
Sriwangi	id=g:6978014
Rahamendaa	id=g:6978015
Polopololi	id=g:6978016
Aalaa Bekenggasu	id=g:6978017
Aalaa Laloroko	id=g:6978018
Torokeku	id=g:6978019
Rawasari	id=g:6978020
Tanea	id=g:6978021
Aalaa Anggadola	id=g:6978022
Banjarsari	id=g:6978023
Tirtawangi	id=g:6978024
Aalaa Anese	id=g:6978025
Papawu	id=g:6978026
Wonorejo	id=g:6978027
Budiusaha	id=g:6978028
Aalaa Mateupe	id=g:6978029
Morio	id=g:6978030
Sukamaju	id=g:6978031
Aalaa Moreo	id=g:6978032
Aalaa Mokupa	id=g:6978033
Gunungsari	id=g:6978034
Pandangmulia	id=g:6978035
Sidomulyo	id=g:6978036
Aalaa Lalomili	id=g:6978037
Sidoharjo	id=g:6978038
Aalaa Meepa	id=g:6978039
Aalaa Wunulole	id=g:6978040
Aalaa Anggalopinimbi	id=g:6978041
Onewila	id=g:6978042
Wulende	id=g:6978043
Aalaa Patuho	id=g:6978044
Osu Watuapi	id=g:6978045
Aalaa Lapoa	id=g:6978046
Sukamaju	id=g:6978047
Moreo	id=g:6978048
Sukamukti	id=g:6978049
Aalaa Tolutu	id=g:6978050
Aalaa Tawaoputu	id=g:6978051
Aalaa Lalembuu	id=g:6978052
Aalaa Kalindue	id=g:6978053
Tatangge	id=g:6978054
Aalaa Tambayo	id=g:6978055
Palosilae	id=g:6978056
Buke	id=g:6978057
Aalaa Wuhai	id=g:6978058
Aalaa Anggalosulo	id=g:6978059
Wandaeha	id=g:6978060
Mukoau	id=g:6978061
Palotokulo	id=g:6978062
Aalaa Tinanggea	id=g:6978063
Aalaa Palotokulo	id=g:6978064
Aalaa Tetengguluri	id=g:6978065
Aalaa Oneone	id=g:6978066
Aalaa Korolanggedo	id=g:6978067
Aalaa Tatangge	id=g:6978068
Aalaa Akuni	id=g:6978069
Aalaa Wowolu	id=g:6978070
Muara Puuwiau	id=g:6978071
Aalaa Pombaleatobungku	id=g:6978072
Osu Lawio	id=g:6978073
Aalaa Namu	id=g:6978074
Aalaa Bulengge	id=g:6978075
Aalaa Lambangi	id=g:6978076
Aalaa Labiau	id=g:6978077
Aalaa Teo	id=g:6978078
Aalaa Tumbutumbu	id=g:6978079
Aalaa Langgapulu	id=g:6978080
Tanjung Totongpuhu	id=g:6978081
Lano Labuanwajo	id=g:6978082
Pantairaya	id=g:6978083
Aalaa Batusanga	id=g:6978084
Aalaa Tawatawaro	id=g:6978085
Pesoa	id=g:6978086
Safari	id=g:6978087
Amolengu	id=g:6978088
Pulau Labuan Belanda	id=g:6978089
Lano Labuanwolio	id=g:6978090
Labuko	id=g:6978091
Lano Labuantobelo	id=g:6978092
Lano Wamorapa	id=g:6978093
Kecamatan Kolaka	id=g:6978095
Mowewe Satu	id=g:6978096
Mowewe Dua	id=g:6978097
Polewali	id=g:6978098
Kecamatan Mowewe	id=g:6978099
Aalaa Andolaki	id=g:6978100
Osu Nesoi	id=g:6978101
Osu Andaluto	id=g:6978102
Aalaa Ahilulu	id=g:6978103
Aalaa Uweesi	id=g:6978104
Osu Tandiolu	id=g:6978105
Aalaa Wesinggote	id=g:6978106
Aalaa Parabua	id=g:6978107
Aalaa Sanggona	id=g:6978108
Aalaa Siruoha	id=g:6978154
Aalaa Wata	id=g:6978155
Aalaa Kumeehe	id=g:6978156
Osu Moaya	id=g:6978158
Aalaa Moaya	id=g:6978159
Aalaa Paralahuone	id=g:6978160
Osu Wawobesu	id=g:6978161
Aalaa Tanggudapa	id=g:6978162
Aalaa Padalere	id=g:6978163
La Molowu	id=g:6978164
Kecamatan Kwandang	id=g:6978173
Lito Lampu	id=g:6978174
Wulungiyo Bengel	id=g:6978175
Wulungiyo Oliyombo	id=g:6978176
Libuiyo Labuandolom	id=g:6978177
Labuandolom	id=g:6978178
Huidu Tallhubuki	id=g:6978179
Huidu Sanimuluwa	id=g:6978180
Bengel	id=g:6978181
Huidu Patoa Daa	id=g:6978182
Huidu Tapato	id=g:6978183
Sanimulawa	id=g:6978184
Huidu Bangga	id=g:6978185
Wulungiyo Loyo Daa	id=g:6978186
Huidu Samia	id=g:6978187
Lahuo	id=g:6978188
Samia	id=g:6978189
Dutula Samia	id=g:6978190
Libuiyo Samia	id=g:6978191
Tapato	id=g:6978192
Kampungbaru	id=g:6978193
Dutula Tapaibuhu	id=g:6978194
Wulungiyo Tapaibuhu	id=g:6978195
Wulungiyo Batumerah	id=g:6978196
Lito Bogisa	id=g:6978197
Lito Saronde	id=g:6978198
Lito Mohinggito	id=g:6978200
Wulungiyo Batusapeo	id=g:6978201
Botuimola	id=g:6978202
Tolotapo	id=g:6978203
Bongo	id=g:6978204
Dutula Botuimola	id=g:6978205
Huidu Melito	id=g:6978206
Huidu Tolotapo	id=g:6978207
Dutula Tolotapo	id=g:6978208
Polato	id=g:6978209
Sangobungo	id=g:6978210
Huidu Lilomonu	id=g:6978211
Wulungiyo Batumasina	id=g:6978212
Lito Huliahu Bunggu	id=g:6978213
Dutula Sanbungo	id=g:6978214
Huidu Sumalango	id=g:6978215
Lito Huliahu Daa	id=g:6978216
Lito Otilade	id=g:6978217
Wulungiyo Olipasanu	id=g:6978218
Pasanu	id=g:6978219
Libuiyo Dudepo	id=g:6978220
Dudepo	id=g:6978221
Batuwapadu	id=g:6978222
Wulungiyo Batuwapadu	id=g:6978223
Wulungiyo Lamasi	id=g:6978224
Makasar	id=g:6978225
Wulungiyo Tihengo	id=g:6978226
Libuiyo Tihengo	id=g:6978227
Huidu Batanu	id=g:6978228
Upo	id=g:6978229
Lito Dudepo	id=g:6978230
Libuiyo Olimu	id=g:6978231
Libuiyo Batongo	id=g:6978232
Wulungiyo Lomuli	id=g:6978233
Batongo	id=g:6978234
Wulungiyo Kaposo	id=g:6978235
Lito Kaposo	id=g:6978236
Libuiyo Bubulitu	id=g:6978237
Wulungiyo Malambe	id=g:6978238
Pasirpanjang	id=g:6978239
Dulango	id=g:6978240
Libuiyo Baruga	id=g:6978241
Libuiyo Bihe	id=g:6978242
Bongo	id=g:6978243
Ponelo Dua	id=g:6978244
Libuiyo Ponelo	id=g:6978245
Wulungiyo Balabaru	id=g:6978246
Bihe	id=g:6978247
Wulungiyo Temenggile	id=g:6978248
Wulungiyo Padepadengo	id=g:6978249
Wulungiyo Batuanggubu	id=g:6978250
Libuiyo Bubode	id=g:6978251
Samulango	id=g:6978252
Huidu Dambalo	id=g:6978253
Dutula Bubode	id=g:6978254
Dutula Hukolo	id=g:6978255
Hukolo	id=g:6978256
Beringin	id=g:6978257
Dutula Tapa	id=g:6978258
Ginta	id=g:6978259
Dutula Datahu	id=g:6978260
Datahu	id=g:6978261
Bubode	id=g:6978262
Milango	id=g:6978263
Dutula Ato	id=g:6978264
Ato	id=g:6978265
Wulungiyo Hayahaya	id=g:6978266
Libuiyo Gudangarang	id=g:6978267
Wulungiyo Tihengo	id=g:6978268
Libuiyo Lange	id=g:6978269
Moloaho	id=g:6978270
Huidu Otiola	id=g:6978271
Otiola Satu	id=g:6978272
Lito Otiola Kiki	id=g:6978273
Libuiyo Tapiah	id=g:6978274
Libuiyo Tomula	id=g:6978275
Wulungiyo Tomula	id=g:6978276
Lito Limboso Satu	id=g:6978277
Lito Limboso Dua	id=g:6978278
Libuiyo Upo	id=g:6978279
Tapiah	id=g:6978280
Wulungiyo Upo	id=g:6978281
Wulungiyo Cina	id=g:6978282
Libuiyo Tolango	id=g:6978283
Huidu Balutomi	id=g:6978284
Dutula Tolango	id=g:6978285
Tolango Daa	id=g:6978286
Wapalo	id=g:6978287
Dutula Andai	id=g:6978288
Libuiyo Saraa	id=g:6978289
Huidu Pilomujia	id=g:6978290
Pilomujia	id=g:6978291
Wulungiyo Pilomujia	id=g:6978292
Lito Otiola Daa	id=g:6978293
Lito Ponelo	id=g:6978294
Otiola Dua	id=g:6978295
Lito Ohimu	id=g:6978296
Wulungiyo Uanengo	id=g:6978297
Dutula Posso	id=g:6978298
Jembatanmerah	id=g:6978299
Pasar Lama	id=g:6978300
Pasar Baru	id=g:6978301
Sawah	id=g:6978302
Huidu Bolongga	id=g:6978303
Huidu Mohohulo	id=g:6978304
Huidu Mulahu	id=g:6978305
Dungalio Utara	id=g:6978306
Dutula Buol	id=g:6978307
Wulungiyo Hulapa	id=g:6978308
Hulapa	id=g:6978309
Lito Botubotuo	id=g:6978310
Wulungiyo Olumu	id=g:6978311
Wulungiyo Tohe	id=g:6978312
Libuiyo Popalo	id=g:6978313
Libuiyo Hangata	id=g:6978314
Dutula Tabulo	id=g:6978315
Tabulo	id=g:6978316
Tolango Kiki	id=g:6978317
Huidu Datahu	id=g:6978318
Huidu Ayuhuku	id=g:6978319
Dutula Datahu	id=g:6978320
Huidu Putianak	id=g:6978321
Libuiyo Tolongio	id=g:6978322
Langge	id=g:6978323
Wulungiyo Aulia	id=g:6978324
Libuiyo Molingkapoto	id=g:6978325
Wulungiyo Huluto	id=g:6978326
Dutula Bolongga	id=g:6978327
Tihengo	id=g:6978328
Huidu Hulapa	id=g:6978329
Dutula Alata	id=g:6978330
Huidu Posso	id=g:6978331
Dungalio Selatan	id=g:6978332
Dutula Bonggolosapi	id=g:6978333
Huidu Bonggolosapi	id=g:6978334
Huidu Ato	id=g:6978335
Dutula Niola	id=g:6978336
Huidu Datahu	id=g:6978337
Huidu Niola	id=g:6978338
Dutula Gambele	id=g:6978339
Huidu Buadu	id=g:6978340
Cisadane	id=g:6978341
Beringin	id=g:6978342
Alata Dua	id=g:6978343
Bulalo Kiki	id=g:6978344
Tuhiango	id=g:6978345
Bolongga	id=g:6978346
Huidu Hulato	id=g:6978347
Huidu Olibua	id=g:6978348
Olibua	id=g:6978349
Popalo	id=g:6978350
Dutula Laheng	id=g:6978351
Huidu Popalo	id=g:6978352
Huidu Dunggala	id=g:6978353
Oluhuta	id=g:6978354
Niola	id=g:6978355
Bulangita	id=g:6978356
Dutula Bulangita	id=g:6978358
Huidu Tutuwotu	id=g:6978359
Tutuwotu	id=g:6978360
Dutula Tolongio	id=g:6978361
Huidu Pontolo	id=g:6978362
Dutula Molingkapoto	id=g:6978363
Botullodu	id=g:6978364
Buade	id=g:6978365
Botungobungo	id=g:6978366
Huidu Butato	id=g:6978367
Timbuale	id=g:6978368
Pakuku	id=g:6978369
Dutula Pakuku	id=g:6978370
Huidu Diata	id=g:6978371
Dutula Lalmio	id=g:6978372
Huidu Buade	id=g:6978373
Pontolo Pusat	id=g:6978374
Pontolo Atas	id=g:6978375
Ombulodata	id=g:6978376
Huluduupo	id=g:6978377
Huidu Bulangita	id=g:6978378
Dutula Baenuale	id=g:6978379
Dutula Limba	id=g:6978380
Huidu Niola	id=g:6978381
Baenaale	id=g:6978382
Huidu Oluhuta	id=g:6978383
Puncak	id=g:6978384
Olobua	id=g:6978385
Limba	id=g:6978386
Hantala	id=g:6978387
Tohupo	id=g:6978388
Salassa	id=g:6978389
Longgi	id=g:6978390
Botuwongbatu	id=g:6978391
Dutula Alata	id=g:6978392
Dutula Buda	id=g:6978393
Huidu Pinda	id=g:6978394
Huidu Omboloputi	id=g:6978395
Ngangoliyo Bolongga	id=g:6978396
Dutula Popalo	id=g:6978397
Kecamatan Balantak	id=g:6978398
Kecamatan Lamala	id=g:6978399
Buuna Kautotolu	id=g:6978400
Werkauna Waru	id=g:6978401
Werkauna Lomba	id=g:6978402
Tintingon	id=g:6978403
Salanaweer Toku	id=g:6978404
Mamping	id=g:6978405
Salanaweer Luok	id=g:6978406
Talima A	id=g:6978407
Boloak	id=g:6978408
Buuna Punontunuan	id=g:6978409
Salanaweer Dolion	id=g:6978410
Salanaweer Orung	id=g:6978411
Tanggawas	id=g:6978412
Werkauna Owan	id=g:6978413
Buuna Tulada	id=g:6978414
Buuna Mamping	id=g:6978415
Tombos	id=g:6978416
Resarna	id=g:6978417
Giwang	id=g:6978418
Poyang	id=g:6978419
Gorontalo	id=g:6978420
Lobotaone	id=g:6983024
Lalonduwasi	id=g:6983025
Lolibu	id=g:6983026
Lamokula	id=g:6983027
Lakomea	id=g:6983028
Ulusawah	id=g:6983029
Campedak	id=g:6983030
Pulau Gala	id=g:6983031
Pulau Intan	id=g:6983032
Pulau Belete	id=g:6983033
Pulau Tokolingato	id=g:6983034
Pulau Batu	id=g:6983035
Osu Nokoiwawo	id=g:6983036
Aalaa Tambolosu	id=g:6983037
La Moluo	id=g:6983038
La Peapi	id=g:6983039
La Wungkolo	id=g:6983040
La Mongupa	id=g:6983041
La Inea	id=g:6983042
La Samu	id=g:6983043
Kecamatan Palangga	id=g:6983051
Aalaa Bolosa	id=g:6983052
Punggapu	id=g:6983053
Wawooru	id=g:6983054
Ataku	id=g:6983055
Bukit Torobulu	id=g:6983056
Brawijaya	id=g:6983057
Matabubu	id=g:6983058
Ambebusia	id=g:6983059
Tolihe	id=g:6983060
Tolihe	id=g:6983061
Palotula	id=g:6983062
Kambowuku	id=g:6983063
Wawonggura	id=g:6983064
Watumerembe	id=g:6983065
Ahuangguluri	id=g:6983066
Ataku	id=g:6983067
Kampalajaya	id=g:6983068
Areoindah	id=g:6983069
Alamraya	id=g:6983070
Laroko	id=g:6983071
Titang	id=g:6983072
Watumelewe	id=g:6983073
Matandahi	id=g:6983074
Renggang	id=g:6983075
Onembute	id=g:6983076
Margamulya	id=g:6983077
Sukamakmur	id=g:6983078
Watumeeto	id=g:6983079
Andonuana	id=g:6983080
Sumberjaya	id=g:6983081
Buah	id=g:6983082
Mekarjaya	id=g:6983083
Ramburambu	id=g:6983084
Ranooha	id=g:6983085
Wawowonua	id=g:6983086
Sumberagung	id=g:6983087
Wonorejo	id=g:6983088
Purwodadi	id=g:6983089
Tombah	id=g:6983090
Ambakumina	id=g:6983091
Puundoho	id=g:6983092
Mataiwoy	id=g:6983093
Benewila	id=g:6983094
Gunungwasunusi	id=g:6983095
Hasan	id=g:6983096
Amondo	id=g:6983097
Bolongita	id=g:6983098
Mondoe	id=g:6983099
Gersamata	id=g:6983100
Lalinggua	id=g:6983101
Puuoso	id=g:6983102
Anggolomewao	id=g:6983103
Ranooha	id=g:6983104
Manumohewu	id=g:6983105
Kalanggari	id=g:6983106
Tanggulaba	id=g:6983107
Laeya	id=g:6983108
Tanea	id=g:6983109
Kalandue Satu	id=g:6983110
Aalaa Anggokomuno	id=g:6983111
Bukit Wasunusi	id=g:6983112
Aalaa Anggotawe	id=g:6983113
Salo Wadonggo	id=g:6983114
Tanjung Ajudoloe	id=g:6983115
Tanjung Langgomeu	id=g:6983116
Teluk Amando	id=g:6983117
Teluk Palaure	id=g:6983118
Teluk Torobulu	id=g:6983119
Salo Keku	id=g:6983120
Salo Anggabutu	id=g:6983121
Salo Palotawo	id=g:6983122
Salo Laroko	id=g:6983123
Salo Linduku	id=g:6983124
Salo Atari	id=g:6983125
Salo Meaho	id=g:6983126
Salo Uwae	id=g:6983127
Aalaa Onembute	id=g:6983128
Aalaa Waturapa	id=g:6983129
Koeono	id=g:6983130
Aalaa Koeono	id=g:6983131
Aalaa Amondo	id=g:6983132
Aalaa Abusu	id=g:6983133
Aalaa Wowopondo	id=g:6983134
Aalaa Mondoe	id=g:6983135
Aalaa Torobulu	id=g:6983136
Aalaa Soni	id=g:6983137
Aalaa Moolo	id=g:6983138
Salo Matambawe	id=g:6983139
Aalaa Harari	id=g:6983140
Aalaa Abari	id=g:6983141
Aalaa Watuuwe	id=g:6983142
Osu Wawonggura	id=g:6983143
Aalaa Wolasi	id=g:6983144
Aalaa Watubangga	id=g:6983145
Aalaa Andoletole	id=g:6983146
Aalaa Ambakumina	id=g:6983147
Aalaa Andaopuhu	id=g:6983148
Aalaa Ramburambu	id=g:6983149
Aalaa Dambatamohai	id=g:6983150
Aalaa Watutepiha	id=g:6983151
Aalaa Lalinggua	id=g:6983152
Aalaa Aepodu	id=g:6983153
Aalaa Andonuana	id=g:6983154
Aalaa Adau	id=g:6983155
Sambahule	id=g:6983156
Tolihe	id=g:6983157
Aalaa Doule	id=g:6983158
Aalaa Eewa	id=g:6983159
Aalaa Wawonggura	id=g:6983160
Aalaa Anggalomendoro	id=g:6983161
Aalaa Ataku	id=g:6983162
Aalaa Wakiri	id=g:6983163
Aalaa Palongkalaero	id=g:6983164
Aalaa Areo	id=g:6983165
Aalaa Kiaea	id=g:6983166
Osu Watubohoti	id=g:6983167
Aalaa Lalombolola	id=g:6983168
Aalaa Tolihe	id=g:6983169
Aalaa Andombotombo	id=g:6983170
Osu Lalowaru	id=g:6983171
Osu Wawouwae	id=g:6983172
Osu Aepodu	id=g:6983173
Osu Bosohada	id=g:6983174
Osu Nanggisi	id=g:6983175
Osu Mendotiu	id=g:6983176
Osu Poninggoa	id=g:6983177
Bukit Parasi	id=g:6983178
Kecamatan Lainea	id=g:6983302
Aalaa Anggomate	id=g:6983303
Aalaa Anggaliwa	id=g:6983304
Aalaa Mondoe	id=g:6983305
Aalaa Petandue	id=g:6983306
Mondoe	id=g:6983307
Abembe	id=g:6983308
Laloorudu	id=g:6983309
Aalaa Anggaloabudin	id=g:6983310
Aalaa Anggatu	id=g:6983311
Silea	id=g:6983312
Aalaa Ambusilae	id=g:6983313
Lalowulo	id=g:6983314
Mondoe	id=g:6983315
Osena	id=g:6983316
Kalesuwa	id=g:6983317
Aalaa Kalesua	id=g:6983318
Aalaa Andinete	id=g:6983319
Aalaa Pumbuta	id=g:6983320
Aalaa Langgowala	id=g:6983321
Aalaa Purehupia	id=g:6983322
Ranooha	id=g:6983323
Aalaa Lalonggombu	id=g:6983324
Aalaa Windo	id=g:6983325
Aalaa Andrakura	id=g:6983326
Andanggabu	id=g:6983327
Lamone	id=g:6983328
Aalaa Alosi	id=g:6983329
Aalaa Roda	id=g:6983330
Aalaa Lamapu	id=g:6983331
Aalaa Pemalaa	id=g:6983332
Aalaa Tondohahu	id=g:6983333
Aalaa Tetegole	id=g:6983334
Aalaa Windowindonu	id=g:6983335
Aalaa Lawonggi	id=g:6983336
Kampungbaru	id=g:6983337
Puuroda	id=g:6983338
Lamapu	id=g:6983339
Aalaa Rara	id=g:6983340
Tetegole	id=g:6983341
Purui	id=g:6983342
Panganria	id=g:6983343
Aalaa Kaindi	id=g:6983344
Aalaa Tetemanu	id=g:6983345
Aalaa Demba	id=g:6983346
Osu Lalondanga	id=g:6983347
Ramburambu	id=g:6983348
Tanjunglapadi	id=g:6983349
Samaenre	id=g:6983350
Monggaria	id=g:6983351
Kaindi	id=g:6983352
Putemata	id=g:6983353
Aalaa Panggoasi	id=g:6983354
Aalaa Pembuinga	id=g:6983355
Aalaa Arabulati	id=g:6983356
Aalaa Towulamea	id=g:6983357
Aalaa Kalokalo	id=g:6983358
Aalaa Labokeo	id=g:6983359
Aalaa Lababau	id=g:6983360
Aalaa Bambu	id=g:6983361
Minasajaya	id=g:6983362
Aalaa Tulambatu	id=g:6983363
Osu Woikonggo	id=g:6983366
Sambamedulu	id=g:6983367
Kurusumanga	id=g:6983368
Watumenggila	id=g:6983369
Aalaa Woikonggo	id=g:6983370
Pusuli	id=g:6983371
Laotori	id=g:6983372
Osu Laronanga	id=g:6983373
Lambudoni	id=g:6983374
Aalaa Anggomate	id=g:6983375
Aalaa Amolame	id=g:6983376
Osu Emea	id=g:6983377
Aalaa Umbana	id=g:6983378
Osu Lakomea	id=g:6983379
Aalaa Emea	id=g:6983380
Teluk Tolo	id=g:6983381
Monapa	id=g:6983382
Puundolihe	id=g:6983383
Larodangge Satu	id=g:6983384
Lalowaru	id=g:6983385
Aalaa Belalo	id=g:6983386
Aalaa Irowiu	id=g:6983387
Aalaa Andomowu	id=g:6983388
Aalaa Molawe	id=g:6983389
Osu Wutandundu	id=g:6983390
Osu Waworaha	id=g:6983391
Osu Wawonggoelu	id=g:6983392
Kecamatan Lasolo	id=g:6983393
Aalaa Bundula	id=g:6983399
Aalaa Rahidipa	id=g:6983400
Tapuukuo	id=g:6983401
Aalaa Andoreo	id=g:6983402
Lemoosi	id=g:6983403
Aalaa Aloalo	id=g:6983404
Aloalo	id=g:6983405
Aalaa Himbua	id=g:6983406
Aalaa Mandese	id=g:6983407
Aalaa Ladori	id=g:6983409
Aalaa Warano	id=g:6983410
Aalaa Anggokoine	id=g:6983411
Aalaa Lambuhuko	id=g:6983412
Aalaa Morombo	id=g:6983413
Aalaa Ranowuwue	id=g:6983414
Aalaa Matalarowacu	id=g:6983415
Wanggunduraya	id=g:6983416
Pondoa	id=g:6983417
Pegunungan Hialu	id=g:6983418
Osu Wawoea	id=g:6983419
Osu Ranowuwue	id=g:6983420
Osu Morombo	id=g:6983421
Osu Wanggudu	id=g:6983422
Osu Minanga	id=g:6983423
Osu Tapusolo	id=g:6983424
Aalaa Mata	id=g:6983425
Aalaa Laikadimu	id=g:6983427
Aalaa Molore	id=g:6983428
Aalaa Tahisi	id=g:6983429
Aalaa Ote	id=g:6983430
Morompaitonga	id=g:6983431
Pulau Sombori	id=g:6983432
Danau Aau	id=g:6983433
Danau Molowo	id=g:6983434
Osu Tolinku	id=g:6983435
Osu Buhusemale	id=g:6983436
Osu Labengke	id=g:6983437
Pulaubapa	id=g:6983439
Tanjung Lobo	id=g:6983440
Padopado	id=g:6983441
Tanjung Kadanga	id=g:6983442
Tanjung Keesaha	id=g:6983443
Padabale	id=g:6983444
Boetalise	id=g:6983445
Tanjung Latorende	id=g:6983446
Koburu	id=g:6983447
Lakombulo	id=g:6983448
Po	id=g:6983449
Pulau Karantu	id=g:6983450
Taipa	id=g:6983451
Torukuno Fitatetero	id=g:6983452
Bukit Sambuenga	id=g:6983453
Aalaa Toaha	id=g:6983454
Aalaa Tinimpa	id=g:6983455
Aalaa Lomboolaro	id=g:6983456
Teluk Matarape	id=g:6983457
Teluk Poniki	id=g:6983458
Kecamatan Menuikepulauan	id=g:6983459
Lalemo Laut	id=g:6983460
Torukuno Aea	id=g:6983461
Bulu Bulangi	id=g:6983462
Masiku	id=g:6983463
Osu Wawolingkau	id=g:6983464
Osu Polihe	id=g:6983465
La Tula	id=g:6983466
La Sampala	id=g:6983467
La Penipa	id=g:6983468
Tanjung Salulara	id=g:6983469
Koro Petea	id=g:6983470
Salo Lamunto	id=g:6983471
Salo Minanga	id=g:6983472
Koromalai	id=g:6983473
Kampung Tengah	id=g:6983474
Ballawai	id=g:6983475
Danau Tanamalea	id=g:6983476
Salo Pohontali	id=g:6983477
Salo Lailai	id=g:6983478
Bulu Lengkona	id=g:6983479
Kecamatan Bungku Tengah	id=g:6983595
Baho Lahumpangi	id=g:6983597
Bungi	id=g:6983598
Matano	id=g:6983599
Lamberea	id=g:6983600
Baho Sampatakule	id=g:6983601
Miendui	id=g:6983602
Baho Lasoni	id=g:6983603
Bahontobungku	id=g:6983604
Baho Lakomea	id=g:6983605
Puungkoilu	id=g:6983606
Baho Kololama	id=g:6983607
Kecamatan Bungku Selatan	id=g:6983610
Lele	id=g:6983611
Dampala	id=g:6983612
Lalampu	id=g:6983613
Keurea	id=g:6983614
Fatufia	id=g:6983615
Pulau Poloe	id=g:6983616
Tanjung Talafa	id=g:6983617
Padabaho	id=g:6983618
Betebete	id=g:6983619
Pulau Lemo	id=g:6983620
Pulau Kandapute	id=g:6983621
Torukuno Fonuampue	id=g:6983622
Torukuno Kalentiwo	id=g:6983623
Torukuno Pasi	id=g:6983624
Torukono Pomponangi	id=g:6983625
Torukuno Lamboreo	id=g:6983626
Torukuno Susuureu	id=g:6983627
Torukuno Wawonggorou	id=g:6983628
La Masara	id=g:6983629
La Siumbatu	id=g:6983630
Baho Ntula	id=g:6983631
Baho Nkolango	id=g:6983632
Baho Dopi	id=g:6983633
La Kumpi	id=g:6983634
La Morafu	id=g:6983635
La Padabaho	id=g:6983636
La Pontudua	id=g:6983637
Puungkeu	id=g:6983641
La Huawu	id=g:6983642
La Watubobotol	id=g:6983643
Torukuno Konduhe	id=g:6983644
Lafeu	id=g:6983645
Torukuno Pesomba	id=g:6983646
Keuno Satuan Pemukiman Satu	id=g:6983647
Koro Kulahi	id=g:6983648
Ue Solonsa	id=g:6983649
Ue Lalangkai	id=g:6983650
Koro Dendeo	id=g:6983651
Ue Emea	id=g:6983652
Baho Dongkala	id=g:6983653
Umbele	id=g:6983654
Beringinjaya Satu	id=g:6983655
Atananga	id=g:6983656
Solonsa Satuan Pemukiman Dua	id=g:6983657
Ungkaya Dua	id=g:6983658
Koro Langkai	id=g:6983659
Koro Sampabalou	id=g:6983660
Pulau Tagongmesua	id=g:6983663
Sungai Salambangan	id=g:6983664
Sungai Tatabau	id=g:6983665
Asam	id=g:6983666
Tatarandang	id=g:6983667
Bonepuso	id=g:6983668
Babang	id=g:6983669
Sabelak	id=g:6983670
Pandeluk	id=g:6983671
Sungai Sellesek	id=g:6983672
Tanjung Banunuk	id=g:6983673
Tatabok	id=g:6983674
Buyu Julutumpu	id=g:6983678
Tatendeng	id=g:6983680
Sungai Malanggong	id=g:6983681
Tanjung Sungano	id=g:6983682
Sungai Lalengan	id=g:6983683
Sungai Mata	id=g:6983684
Sungai Talastalas	id=g:6983685
Pulau Balatindakan	id=g:6983686
Dana Alani	id=g:6983687
Kabupaten Banggai	id=g:6983688
Kecamatan Buko	id=g:6983689
Pulau Peling	id=g:6983690
Osan	id=g:6983691
Pulau Pongko	id=g:6983692
Pulau Tambangoni	id=g:6983693
Desa Menala	id=g:6984516
Olat Samparkele	id=g:6984519
Olat Timpong	id=g:6984520
Olat Lone	id=g:6984523
Desa Mura	id=g:6984524
Brang Tiulobah	id=g:6984531
Brang Joroklane	id=g:6984532
Kalimantong	id=g:6984533
Kalimantongbaru	id=g:6984534
Olat Tenga	id=g:6984535
Pajarkarya	id=g:6984537
Olat Lambiyang	id=g:6984538
Olat Lorokbente	id=g:6984539
Olat Aikolong	id=g:6984541
Olat Rarang	id=g:6984542
Brang Mataiyang	id=g:6984547
Desa Kalimantong	id=g:6984548
Kecamatan Taliwang	id=g:6984549
Brang Kemalat	id=g:6984550
Olat Batupisak	id=g:6984551
Hijrah	id=g:6984553
Brang Pebunga	id=g:6984554
Brang Betun	id=g:6984555
Olat Betun	id=g:6984556
Olat Airpayung	id=g:6984557
Olat Macan	id=g:6984559
Olat Gising	id=g:6984560
Brang Gising	id=g:6984561
Brang Kenulang	id=g:6984562
Brang Batuemas	id=g:6984563
Olat Entuk	id=g:6984564
Desa Tepas	id=g:6984565
Brang Tiukatil	id=g:6984566
Bendung Kalimantong	id=g:6984567
Brang Aikolong	id=g:6984568
Brang Jamit	id=g:6984569
Uedago	id=g:6984605
Baho Ambunu	id=g:6984606
Baho Moburu	id=g:6984607
Baho Mangoni	id=g:6984608
Baho Mooluna	id=g:6984609
Baho Monsombu	id=g:6984610
Baho Pomonoa	id=g:6984611
Talibubu	id=g:6984612
Kaunyo Luk	id=g:6984613
Omolu	id=g:6984614
Kaunyo Omolu	id=g:6984615
Tolitan	id=g:6984616
Kaunyo Uso	id=g:6984617
Kayoa	id=g:6984618
Teluk Labuhan	id=g:6984619
Teluk Komea	id=g:6984620
Kaunyo Tangkiang	id=g:6984621
Samadoya	id=g:6984622
Kaunyo Kintom	id=g:6984623
Padungnyo	id=g:6984624
Kaunyo Mantuan	id=g:6984625
Nambopadang	id=g:6984626
Kaunyo Buk	id=g:6984627
Kaunyo Nambo	id=g:6984628
Kecamatan Kinyo	id=g:6984629
Tete A	id=g:6984630
Ue Batangkayuku	id=g:6984631
Bukit Kayuku	id=g:6984632
Ue Siba	id=g:6984633
