Pakuria	id=g:1260809
Nārtamalai	id=g:1261744
Narsu	id=g:1261745
Narsro	id=g:1261746
Narsīpatnam Road	id=g:1261747
Narsīpatnam	id=g:1261748
Narsingpur	id=g:1261749
Nārsingi	id=g:1261750
Narsinghgarh	id=g:1261751
Narsinghgarh	id=g:1261752
Narsingh	id=g:1261753
Narsimhapur	id=g:1261754
Narsimhapur	id=g:1261755
Narsi	id=g:1261756
Nārsar	id=g:1261757
Narsāpur	id=g:1261758
Narsāna	id=g:1261759
Narsampet	id=g:1261760
Nar River	id=g:1261761
Narra	id=g:1261762
Narpura	id=g:1261763
Narot Mehra	id=g:1261764
Narot	id=g:1261765
Nārona	id=g:1261766
Naroli	id=g:1261767
Naroda	id=g:1261768
Naroa	id=g:1261769
Narnūru	id=g:1261770
Nārnaund	id=g:1261771
Nārnaul	id=g:1261772
Narmu	id=g:1261773
Narmada	id=g:1261774
Nārli	id=g:1261775
Nārlapur	id=g:1261776
Nārlāi	id=g:1261777
Narla	id=g:1261778
Nār Kot	id=g:1261779
Narkial	id=g:1261780
Nārki	id=g:1261781
Narkher	id=g:1261782
Narkhed	id=g:1261783
Narkatiāganj	id=g:1261784
Narkandi	id=g:1261785
Nārkanda	id=g:1261786
Narjān	id=g:1261787
Naringi	id=g:1261788
Narindarpura	id=g:1261789
Nariman Point	id=g:1261790
Nāri Khetri Railroad Station	id=g:1261791
Nārikeldānga	id=g:1261792
Nāridega	id=g:1261793
Nariāna	id=g:1261794
Nari	id=g:1261795
Narhi	id=g:1261796
Narhat	id=g:1261797
Narharpur	id=g:1261798
Narhan	id=g:1261799
Nargund	id=g:1261800
Nargora	id=g:1261801
Nargol	id=g:1261802
Narganjo	id=g:1261803
Nārera	id=g:1261804
Narendrapur	id=g:1261805
Narendranagar	id=g:1261806
Naren	id=g:1261807
Naren	id=g:1261808
Narela	id=g:1261809
Naregal	id=g:1261810
Nāre	id=g:1261811
Nārdipur	id=g:1261812
Nārdiganj	id=g:1261813
Nardāna	id=g:1261814
Narcondam Island	id=g:1261815
Nārāyanpur	id=g:1261816
Nārāyanpur	id=g:1261817
Nārāyanpur	id=g:1261818
Nārāyanpur	id=g:1261819
Nārāyanpur	id=g:1261820
Nārayanpur	id=g:1261821
Nārāyanpet Road	id=g:1261822
Nārāyanpet	id=g:1261823
Nārāyan Nadī	id=g:1261824
Nārāyanmahārāj Bet	id=g:1261825
Nārāyankher	id=g:1261826
Nāreguda	id=g:1261827
Nārāyangarh	id=g:1261828
Nārāyangarh	id=g:1261829
Nārāyangaon	id=g:1261830
Nārāyanganj	id=g:1261831
Nārāyanavanam	id=g:1261832
Nārāyanāpur	id=g:1261833
Nārāyanapātana	id=g:1261834
Nāravārikuppam	id=g:1261835
Narava Gedda	id=g:1261836
Naraura	id=g:1261837
Nāraura	id=g:1261838
Narauli	id=g:1261839
Nārastān	id=g:1261840
Narasinghapur	id=g:1261841
Narasingarāyanpet	id=g:1261842
Narasingāpuram	id=g:1261843
Narasingāpuram	id=g:1261844
Narasimharāopālem	id=g:1261845
Narasimharaja Puram	id=g:1261846
Narasimharājapura	id=g:1261847
Narasaraopet	id=g:1261848
Narasapur Point	id=g:1261849
Narasapur Canal	id=g:1261850
Narasapura	id=g:1261851
Narasapur	id=g:1261852
Narasannapeta	id=g:1261853
Narasambudhi	id=g:1261854
Nārapala	id=g:1261855
Naranpur	id=g:1261856
Naranjigundlapalle	id=g:1261857
Narangwāl	id=g:1261858
Nārangwādi	id=g:1261859
Narangi River	id=g:1261860
Nārāngi	id=g:1261861
Nāra Nāg	id=g:1261862
Naramagra	id=g:1261863
Narakal	id=g:1261864
Narāj Mahārathapur	id=g:1261865
Narāinpur	id=g:1261866
Nārāinpur	id=g:1261867
Narainpur	id=g:1261868
Narainpur	id=g:1261869
Nārāinpur	id=g:1261870
Naraini	id=g:1261871
Naraina	id=g:1261872
Nāraikkinaru	id=g:1261873
Narahia	id=g:1261874
Naraharipeta	id=g:1261875
Nārāh	id=g:1261876
Nāra Bet	id=g:1261877
Nāra	id=g:1261878
Nār	id=g:1261879
Napoklu	id=g:1261880
Napaz	id=g:1261881
Napāsar	id=g:1261882
Napanera	id=g:1261883
Nāpād	id=g:1261884
Naozor	id=g:1261885
Naoriah	id=g:1261886
Naorangdesar	id=g:1261887
Naoli Nadī	id=g:1261888
Nāoli	id=g:1261889
Nāokāta	id=g:1261890
Nāojān	id=g:1261891
Naogai	id=g:1261892
Nanwell Point	id=g:1261893
Nānwa Tāl	id=g:1261894
Nānwān	id=g:1261895
Nanuz	id=g:1261896
Nānūr	id=g:1261897
Nānta	id=g:1261898
Nansapa Chaung	id=g:1261899
Nānpur	id=g:1261900
Nānpāra	id=g:1261901
Nānodra	id=g:1261902
Nanodem	id=g:1261903
Nanniyūr	id=g:1261904
Nannilam	id=g:1261905
Nannilam	id=g:1261906
Nanniāl	id=g:1261907
Nānnaj	id=g:1261908
Nankatti	id=g:1261909
Nanjangūd	id=g:1261910
Nānguneri	id=g:1261911
Nangor	id=g:1261912
Nāngloi Jāt	id=g:1261913
Nangli	id=g:1261914
Nangavalli	id=g:1261915
Nāngarecha	id=g:1261916
Nangānji River	id=g:1261917
Nāngal Mūndi	id=g:1261918
Nangaleswar	id=g:1261919
Nāngal Dam	id=g:1261920
Nāngal Dam	id=g:1261921
Nāngal	id=g:1261922
Nāngal	id=g:1261923
Nanga	id=g:1261924
Nanemahulpāli	id=g:1261925
Naneli	id=g:1261926
Nandyāl	id=g:1261927
Nandwai	id=g:1261928
Nandvādgi	id=g:1261929
Nāndur Shingote	id=g:1261930
Nandurbār	id=g:1261931
Nāndūra	id=g:1261932
Nāndūr	id=g:1261933
Nāndūr	id=g:1261934
Nandupāla	id=g:1261935
Nandul	id=g:1261936
Nāndri	id=g:1261937
Nandre	id=g:1261938
Nandrai	id=g:1261939
Nāndra Buzurg	id=g:1261940
Nāndori	id=g:1261941
Nandora	id=g:1261942
Nandol Dehgām	id=g:1261943
Nandol	id=g:1261944
Nāndod	id=g:1261945
Nandnee	id=g:1261946
Nand Nadī	id=g:1261947
Nandkonda	id=g:1261948
Nandiyār River	id=g:1261949
Nandivela	id=g:1261950
Nandivāya	id=g:1261951
Nandivargam	id=g:1261952
Nandirāg	id=g:1261953
Nandipalli	id=g:1261954
Nandipādu	id=g:1261955
Nandipādu	id=g:1261956
Nandikotkūr	id=g:1261957
Nandigunda	id=g:1261958
Nandīgrām	id=g:1261959
Nandigāma	id=g:1261960
Nandigām	id=g:1261961
Nandi Drug	id=g:1261962
Nandia	id=g:1261963
Nandi	id=g:1261964
Nandhaur River	id=g:1261965
Nāndghāt	id=g:1261966
Nāndgaon Kāji	id=g:1261967
Nandgaon	id=g:1261968
Nandgaon	id=g:1261969
Nāndgaon	id=g:1261970
Nāndgaon	id=g:1261971
Nāndgaon	id=g:1261972
Nāndgaon	id=g:1261973
Nandgad	id=g:1261974
Nānder	id=g:1261975
Nānded	id=g:1261976
Nānded	id=g:1261977
Nānded	id=g:1261978
Nandavaram	id=g:1261979
Nandavaram	id=g:1261980
Nandavanam	id=g:1261981
Nāndauti	id=g:1261982
Nandāsan	id=g:1261983
Nandarwāra	id=g:1261984
Nāndari	id=g:1261985
Nandapur	id=g:1261986
Nandaprayāg	id=g:1261987
Nandalūr	id=g:1261988
Nāndalgaon	id=g:1261989
Nanda Kot	id=g:1261990
Nanda Devi	id=g:1261991
Nānd	id=g:1261992
Nancowry Island	id=g:1261993
Nancowry Harbour	id=g:1261994
Nancherla	id=g:1261995
Nancherla	id=g:1261996
Nānāwāra	id=g:1261997
Nanauta	id=g:1261998
Nanasi	id=g:1261999
Nananpur	id=g:1262000
Nānāj	id=g:1262001
Nānaj	id=g:1262002
Nanai Nadī	id=g:1262003
Nanai Nadī	id=g:1262004
Nānaghāt	id=g:1262005
Nāna	id=g:1262006
Namunasamudram	id=g:1262007
Namūnaghar	id=g:1262008
Nāmu	id=g:1262009
Namtolāgaon	id=g:1262010
Nāmtiāli	id=g:1262011
Nāmthāng	id=g:1262012
Nāmrup	id=g:1262013
Nampur	id=g:1262014
Namprik Phuk	id=g:1262015
Nampong	id=g:1262016
Namphuk River	id=g:1262017
Namoli	id=g:1262018
Namnenglong Madin	id=g:1262019
Namli	id=g:1262020
Nāmkom	id=g:1262021
Nāmkhāna	id=g:1262022
Namkha Chu	id=g:1262023
Nāmik	id=g:1262024
Namgia	id=g:1262025
Nāmdāng Siding	id=g:1262026
Nāmdāng	id=g:1262027
Nām Dabakā	id=g:1262028
Namchi	id=g:1262029
Namchang	id=g:1262030
Namcha Madin	id=g:1262031
Nambutalai	id=g:1262032
Nambūru	id=g:1262033
Nambiyūr	id=g:1262034
Nambashi	id=g:1262035
Nāmapur	id=g:1262036
Namano	id=g:1262037
Nāmanagarh	id=g:1262038
Nāmakkal	id=g:1262039
Nāmagiripettai	id=g:1262040
Nalwāri	id=g:1262041
Nālwār	id=g:1262042
Nalua Cut	id=g:1262043
Nalraylu Hill	id=g:1262044
Naloi Barwa Railroad Station	id=g:1262045
Nalni	id=g:1262046
Nallūr	id=g:1262047
Nallūr	id=g:1262048
Nallur	id=g:1262049
Nallikodūr	id=g:1262050
Nalli	id=g:1262051
Nallepilli	id=g:1262052
Nallejerla	id=g:1262053
Nallatanni Tīvu	id=g:1262054
Nallapālem	id=g:1262055
Nallamara Vāgu	id=g:1262056
Nallamala Hills	id=g:1262057
Nal Lake	id=g:1262058
Nallacheruvu	id=g:1262059
Nalkhera	id=g:1262060
Nalkāri Nadī	id=g:1262061
Naliya	id=g:1262062
Nali Creek	id=g:1262063
Nalhiāpur	id=g:1262064
Nalhāti	id=g:1262065
Nalgora	id=g:1262066
Nalgonda	id=g:1262067
Nalgonda	id=g:1262068
Nalgan Pass	id=g:1262069
Nalganga River	id=g:1262070
Nale Sopāra	id=g:1262071
Nalegaon	id=g:1262072
Naldurg	id=g:1262073
Naldhara	id=g:1262074
Nāldera	id=g:1262075
Nālcha	id=g:1262076
Nalbāri	id=g:1262077
Nalbāri	id=g:1262078
Nālatvād	id=g:1262079
Nālanda	id=g:1262080
Nālanda	id=g:1262081
Nalāghāt	id=g:1262082
Nālāgarh	id=g:1262083
Nāla	id=g:1262084
Nāla	id=g:1262085
Nal	id=g:1262086
Nāl	id=g:1262087
Nākuri	id=g:1262088
Nakūr	id=g:1262089
Ku Shan-k’ou	id=g:1262090
Nakti Creek	id=g:1262091
Naksalbāri	id=g:1262092
Nakrekal	id=g:1262093
Nakraunda	id=g:1262094
Nakrasar	id=g:1262095
Nakraihāpāra	id=g:1262096
Nakodar	id=g:1262097
Nako	id=g:1262098
Nakkodipālem	id=g:1262099
Nakka Vāgu	id=g:1262100
Nakkaselam	id=g:1262101
Nakhtarāna	id=g:1262102
Nakhola	id=g:1262103
Nākhalgaon	id=g:1262104
Nākawās	id=g:1262105
Nākāsipāra	id=g:1262106
Nakachāri	id=g:1262107
Nakachāri	id=g:1262108
Najībābād	id=g:1262109
Najawan	id=g:1262110
Najafgarh	id=g:1262111
Naiya Nadī	id=g:1262112
Nai Sarāi	id=g:1262113
Nainwās	id=g:1262114
Nainwa	id=g:1262115
Nainpur	id=g:1262116
Naini Tāl	id=g:1262117
Naini Tāl	id=g:1262118
Naini	id=g:1262119
Naini	id=g:1262120
Naindhara	id=g:1262121
Nainār Malai	id=g:1262122
Nainaragaram	id=g:1262123
Naina	id=g:1262125
Naimishāranya	id=g:1262126
Naila	id=g:1262127
Naila	id=g:1262128
Nāikul	id=g:1262129
Nāika	id=g:1262130
Naihāti	id=g:1262131
Naigavhān	id=g:1262132
Naigaum	id=g:1262133
Naigarhī	id=g:1262134
Naiera River	id=g:1262135
Naiāpura	id=g:1262136
Nāi	id=g:1262137
Nāhvre	id=g:1262138
Nahro Nadī	id=g:1262139
Nahorkatiya	id=g:1262140
Nahna	id=g:1262141
Nāhil	id=g:1262142
Nahiānwāla	id=g:1262143
Nahiān	id=g:1262144
Nāhar Sāgar	id=g:1262145
Nāhargarh	id=g:1262146
Nāhargarh	id=g:1262147
Nahāra River	id=g:1262148
Nāhar	id=g:1262149
Nāhāpa	id=g:1262150
Nāhan	id=g:1262151
Nagwar	id=g:1262152
Nagwa Point	id=g:1262153
Nagwa	id=g:1262154
Nāgulavaram	id=g:1262155
Nāg Tibba Range	id=g:1262156
Nāg Tibba	id=g:1262157
Nagtala	id=g:1262158
Nagsar	id=g:1262159
Nagrota	id=g:1262160
Nagrota	id=g:1262161
Nagrota	id=g:1262162
Nāg River	id=g:1262163
Nagri	id=g:1262164
Nagri	id=g:1262165
Nāgri	id=g:1262166
Nagri	id=g:1262167
Nagrām	id=g:1262168
Nāgrāl	id=g:1262169
Nāgrākāta	id=g:1262170
Nagrājsar	id=g:1262171
Nagrāj	id=g:1262172
Nāgraibāri	id=g:1262173
Nagra	id=g:1262174
Nagra	id=g:1262175
Nagra	id=g:1262176
Nagpura	id=g:1262177
Nāgpur	id=g:1262178
Nāgpur	id=g:1262179
Nāgpur	id=g:1262180
Nāgpur	id=g:1262181
Nāgpur	id=g:1262182
Nāgothana	id=g:1262183
Nagorgao	id=g:1262184
Nāgore	id=g:1262185
Nagoki	id=g:1262186
Nāgod	id=g:1262187
Nāgnūr	id=g:1262188
Nagnur	id=g:1262189
Nāglavi	id=g:1262190
Nagla Dhīmar	id=g:1262191
Nagjuā	id=g:1262192
Nāgjheri	id=g:1262193
Nāgjhari	id=g:1262194
Nāgjhari	id=g:1262195
Nāgireddipalli	id=g:1262196
Nagīn Lake	id=g:1262197
Nāginimāra	id=g:1262198
Nagīn Bāgh	id=g:1262199
Nagīna	id=g:1262200
Nagīna	id=g:1262201
Nāgewāri	id=g:1262202
Nagevadi	id=g:1262203
Nāgercoil	id=g:1262204
Nāgelao	id=g:1262205
Nāgdeo Nadī	id=g:1262206
Nāgda Junction	id=g:1262207
Nāgda	id=g:1262208
Nagda	id=g:1262209
Nāgda	id=g:1262210
Nāgda	id=g:1262211
Nāgbhīr	id=g:1262212
Nāgāyalanka	id=g:1262213
Nāgavedu	id=g:1262214
Nāgāvali River	id=g:1262215
Nāgaur	id=g:1262216
Nāgaur	id=g:1262217
Nāgathān	id=g:1262218
Nāgasari	id=g:1262219
Nāgasamudram	id=g:1262220
Nagarwāra	id=g:1262221
Nagarūru	id=g:1262222
Nagar Untāri	id=g:1262223
Nagarsul	id=g:1262224
Nāgar River	id=g:1262225
Nagarnār	id=g:1262226
Nagar Nahusa	id=g:1262227
Nagar Mewa	id=g:1262228
Nagar Khās	id=g:1262229
Nāgar Karnūl	id=g:1262230
Nāgārjuna Sāgar Dam	id=g:1262231
Nāgārjuna Sāgar	id=g:1262232
Nāgārjunakonda	id=g:1262233
Nāgarjuna Durgam	id=g:1262234
Nagari River	id=g:1262235
Nagari Hills	id=g:1262236
Nagaria Sādāt	id=g:1262237
Nagariā Kalān	id=g:1262238
Nagari	id=g:1262239
Nagari	id=g:1262240
Nāgar Hole	id=g:1262241
Nāgar Hole	id=g:1262242
Nāgarhāl	id=g:1262243
Nagargaon	id=g:1262244
Nāgargāli	id=g:1262245
Nagardhan	id=g:1262246
Nagar Devla	id=g:1262247
Nagarbera	id=g:1262248
Nagarbazar	id=g:1262249
Nagaram Island	id=g:1262250
Nāgāram	id=g:1262251
Nagar	id=g:1262252
Nagar	id=g:1262253
Nagar	id=g:1262254
Nagar	id=g:1262255
Nagar	id=g:1262256
Nagar	id=g:1262257
Nāgāpur	id=g:1262258
Nāgāpur	id=g:1262259
Nāgappattinam	id=g:1262260
Nagaon	id=g:1262261
Nāgaon	id=g:1262262
Nāgansūr	id=g:1262263
Nāgandeori	id=g:1262264
Nāganahalli	id=g:1262265
Nāgamangala	id=g:1262266
Nāgalwādi	id=g:1262267
Nāgalvādi	id=g:1262268
Nāgalāpuram Hills	id=g:1262269
Nāgalāpuram	id=g:1262270
State of Nāgāland	id=g:1262271
Nāgalamadike	id=g:1262272
Nāgaladinne	id=g:1262273
Nāgal	id=g:1262274
Nāgal	id=g:1262275
Nagaj	id=g:1262276
Nagai	id=g:1262277
Nāga Hills	id=g:1262278
Nāgad	id=g:1262279
Nāgabal	id=g:1262280
Naga	id=g:1262281
Naerung	id=g:1262282
Nadwān	id=g:1262283
Naduvattam	id=g:1262284
Naduvannūr	id=g:1262285
Nadria	id=g:1262286
Nadora	id=g:1262287
Nādol	id=g:1262288
Nadimi Eru	id=g:1262289
Nadīgaon	id=g:1262290
Nadīgaon	id=g:1262291
Nadiād	id=g:1262292
Nadia	id=g:1262293
Nadgaon	id=g:1262294
Nadeota	id=g:1262295
Nādbai	id=g:1262296
Nadayara Kāyal	id=g:1262297
Nadāwan	id=g:1262298
Nadaura	id=g:1262299
Nādaun	id=g:1262300
Nadāul	id=g:1262301
Nādāpuram	id=g:1262302
Nadanwāra Tāl	id=g:1262303
Nādanpur	id=g:1262304
Nadāmpur	id=g:1262305
Nāda	id=g:1262306
Nāchugunta	id=g:1262307
Nachuge	id=g:1262308
Nāchna	id=g:1262309
Nachinola	id=g:1262310
Nāchinda	id=g:1262311
Nachar	id=g:1262312
Nāchanvāla	id=g:1262313
Nāchankhadak	id=g:1262314
Nāchangaon	id=g:1262315
Nabipur	id=g:1262316
Nabīnagar Road	id=g:1262317
Nabīnagar	id=g:1262318
Nābha	id=g:1262319
Mysore South	id=g:1262320
Mysore	id=g:1262321
Mysore	id=g:1262322
Mynso	id=g:1262323
Mynsning	id=g:1262324
Mynser	id=g:1262325
Mylliem	id=g:1262326
Mylapore	id=g:1262327
Mahīyāri	id=g:1262328
Myājlār	id=g:1262329
Muzaffarpur	id=g:1262330
Muzaffarpur	id=g:1262331
Muzaffarnagar	id=g:1262332
Muzaffarnagar	id=g:1262333
Muzaffarābād	id=g:1262334
Muyyabompeta	id=g:1262335
Muwāla	id=g:1262336
Mūvattupula River	id=g:1262337
Mūvattupula	id=g:1262338
Mutyālapādu	id=g:1262339
Mutyālapādu	id=g:1262340
Mutyālammapādu	id=g:1262341
Mutukula	id=g:1262342
Mutturāmalingapattanam	id=g:1262343
Muttūr	id=g:1262344
Muttupettai	id=g:1262345
Muttupet	id=g:1262346
Muttum Point	id=g:1262347
Muttukūru	id=g:1262348
Muttukūru	id=g:1262349
Muttattūr	id=g:1262350
Muttanendal	id=g:1262351
Muttamtura	id=g:1262352
Muttam	id=g:1262353
Muttam	id=g:1262354
Muttagi	id=g:1262355
Mutssukota	id=g:1262356
Mutlabpur	id=g:1262357
Muthuragunāthapattam	id=g:1262358
Muthiganj	id=g:1262359
Mutha River	id=g:1262360
Mutha Right Bank Canal	id=g:1262361
Muthāni	id=g:1262362
Mutha Left Bank Canal	id=g:1262363
Muthalamada	id=g:1262364
Mutāram	id=g:1262365
Mutapolli Bank	id=g:1262366
Mutah	id=g:1262367
Musunūr	id=g:1262368
Mustafābād	id=g:1262369
Mustafābād	id=g:1262370
Mustafābād	id=g:1262371
Mustabāda	id=g:1262372
Mussorie Range	id=g:1262373
Mussoorie	id=g:1262374
Musra	id=g:1262375
Muskirā	id=g:1262376
Muski	id=g:1262377
Mūsi River	id=g:1262378
Mūsi River	id=g:1262379
Musiri	id=g:1262380
Mushāri	id=g:1262381
Mushābani	id=g:1262382
Musguppi	id=g:1262383
Mūsepur	id=g:1262384
Mūsa River	id=g:1262385
Musargagi Point	id=g:1262386
Mūsāpet	id=g:1262387
Mus Anchorage	id=g:1262388
Musalvādi	id=g:1262389
Musal Tīvu	id=g:1262390
Musalimadugu	id=g:1262391
Musāfirkhāna	id=g:1262392
Mūsa	id=g:1262393
Mūs	id=g:1262394
Murwāra	id=g:1262395
Murwal	id=g:1262396
Murum	id=g:1262397
Murukkumpuzha	id=g:1262398
Murud-Janjīra Harbour	id=g:1262399
Murud Hill	id=g:1262400
Muruda	id=g:1262401
Murud	id=g:1262402
Murud	id=g:1262403
Mūrtipālaiyam	id=g:1262404
Mūrtināyakkanpatti	id=g:1262405
Murtili	id=g:1262406
Murtiha	id=g:1262407
Murti	id=g:1262408
Murthal	id=g:1262409
Murtajāpur	id=g:1262410
Murshūn	id=g:1262411
Murshidābād	id=g:1262412
Murshidābād	id=g:1262413
Mursān	id=g:1262414
Mur River	id=g:1262415
Murray Point	id=g:1262416
Murpār	id=g:1262417
Mūrna River	id=g:1262418
Murlīganj	id=g:1262419
Mūrlen	id=g:1262420
Murkunda	id=g:1262421
Murkong Selek	id=g:1262422
Murkhi	id=g:1262423
Murkal	id=g:1262424
Murjha	id=g:1262425
Morinda	id=g:1262426
Muribahal	id=g:1262427
Muri	id=g:1262428
Muri	id=g:1262429
Murhu	id=g:1262430
Mūrhīpār	id=g:1262431
Mūrhīpār	id=g:1262432
Murherī	id=g:1262433
Murhar	id=g:1262434
Murgūd	id=g:1262435
Murgu	id=g:1262436
Murgod	id=g:1262437
Mūrgo	id=g:1262438
Mūreru River	id=g:1262439
Murera	id=g:1262440
Murdoli	id=g:1262441
Murdeshwar Island	id=g:1262442
Murdāra	id=g:1262443
Murbād	id=g:1262444
Mūrat River	id=g:1262445
Muraripur	id=g:1262446
Murarai	id=g:1262447
Murāpāra	id=g:1262448
Muramgaon	id=g:1262449
Murākta	id=g:1262450
Muragamale	id=g:1262451
Muragācha	id=g:1262452
Murādnagar	id=g:1262453
Mura	id=g:1262454
Mūppattankudi	id=g:1262455
Mūpāwaram	id=g:1262456
Mupa	id=g:1262457
Munund	id=g:1262458
Mūn River	id=g:1262459
Munriār	id=g:1262460
Mūnradaippu	id=g:1262461
Munpi	id=g:1262462
Munnar	id=g:1262463
Munnāl	id=g:1262464
Munjpur	id=g:1262465
Munjpur	id=g:1262466
Munjola	id=g:1262467
Munjāsar	id=g:1262468
Munirābād	id=g:1262469
Munigurha	id=g:1262470
Muniguda	id=g:1262471
Munigal	id=g:1262472
Municipal Colony	id=g:1262473
Mungwāni Kalān	id=g:1262474
Mung Tāl	id=g:1262475
Mūngsaria	id=g:1262476
Mungri Tāl	id=g:1262477
Mūngra Bādshāhpur	id=g:1262478
Mungonda	id=g:1262479
Mungod	id=g:1262480
Mūngiāsar	id=g:1262481
Munger	id=g:1262482
Munger	id=g:1262483
Mungeli	id=g:1262484
Mungaolī	id=g:1262485
Munganāl	id=g:1262486
Mungāna	id=g:1262487
Mungamūru	id=g:1262488
Muneru River	id=g:1262489
Mundwāra	id=g:1262490
Mūndwa	id=g:1262491
Mundūr	id=g:1262492
Mundsar	id=g:1262493
Mundra Creek	id=g:1262494
Mundra Bandar	id=g:1262495
Mundra	id=g:1262496
Mundra	id=g:1262497
Mundlapādu	id=g:1262498
Mundlāna	id=g:1262499
Mundla	id=g:1262500
Mundiyambākkam	id=g:1262501
Mundio	id=g:1262502
Mundīkota	id=g:1262503
Mundi	id=g:1262504
Mundhva	id=g:1262505
Mundhri	id=g:1262506
Mundhevādi	id=g:1262507
Mundher	id=g:1262508
Mundha Pānde	id=g:1262509
Mundgod	id=g:1262510
Mundgaon	id=g:1262511
Mundeti	id=g:1262512
Mundel Point	id=g:1262513
Mundela	id=g:1262514
Mundarwa	id=g:1262515
Mundargi	id=g:1262516
Mundāra	id=g:1262517
Mundakāyam	id=g:1262518
Mundāgūda	id=g:1262519
Mundaghāt	id=g:1262520
Munda	id=g:1262521
Munda	id=g:1262522
Mūnak	id=g:1262523
Munagala	id=g:1262524
Munāba	id=g:1262525
Mummidivaram	id=g:1262526
Mummāsar	id=g:1262527
Mumgāon	id=g:1262528
Mul Warwan	id=g:1262529
Mulvād	id=g:1262530
Mulug	id=g:1262531
Multhān	id=g:1262532
Multhān	id=g:1262533
Multai	id=g:1262534
Mulshi Lake	id=g:1262535
Mulpi River	id=g:1262536
Mulmula	id=g:1262537
Mūl Mārora	id=g:1262538
Mullūrkara	id=g:1262539
Mullianpui	id=g:1262540
Mullanpur	id=g:1262541
Mullāmāri River	id=g:1262542
Mullāhjor	id=g:1262543
Mūlki Rocks	id=g:1262544
Mūlki River	id=g:1262545
Mūlki	id=g:1262546
Muli Road	id=g:1262547
Muling La	id=g:1262548
Mulila	id=g:1262549
Muli	id=g:1262550
Mulher	id=g:1262551
Mulhalli	id=g:1262552
Mulgund	id=g:1262553
Mulgao	id=g:1262554
Mūler	id=g:1262555
Mulem	id=g:1262556
Mūlehole	id=g:1262557
Mūl Dwārka	id=g:1262558
Muldem	id=g:1262559
Mulbekh	id=g:1262560
Mulbār	id=g:1262561
Mulbāgal	id=g:1262562
Mulāwa	id=g:1262563
Mulā River	id=g:1262564
Mulā River	id=g:1262565
Mulappilangād	id=g:1262566
Mūlanūr	id=g:1262567
Mulāna	id=g:1262568
Mulam	id=g:1262569
Mulakalacheruvu	id=g:1262570
Mulainagiri	id=g:1262571
Mūlaikkaraippatti	id=g:1262572
Mulagunnathukāvu	id=g:1262573
Mūl	id=g:1262574
Mukutban	id=g:1262575
Mukurti Peak	id=g:1262576
Mukuria	id=g:1262577
Muktsar	id=g:1262578
Mukti	id=g:1262579
Muktasinghpāra	id=g:1262581
Muktāpuram	id=g:1262582
Muktāpur	id=g:1262583
Mukmelpur	id=g:1262584
Muklāwa	id=g:1262585
Mukki	id=g:1262586
Mukkad	id=g:1262587
Mukhtiāra	id=g:1262588
Mukhrāwān	id=g:1262589
Mukhīm	id=g:1262590
Mukher	id=g:1262591
Mukhāsāparūr	id=g:1262592
Mukhalingām	id=g:1262593
Mukhāchariduār	id=g:1262594
Mukhāb	id=g:1262595
Mukeriān	id=g:1262596
Mukdega	id=g:1262597
Mukapullee	id=g:1262598
Mukapāra	id=g:1262599
Mukandpur	id=g:1262600
Mukandara	id=g:1262601
Mukandara	id=g:1262602
Mukām	id=g:1262603
Mukaddam Nadī	id=g:1262604
Mukabeli	id=g:1262605
Mujra	id=g:1262606
Mujjāgarh	id=g:1262607
Mujhpathar	id=g:1262608
Muirpur	id=g:1262609
Muhri	id=g:1262610
Muhār	id=g:1262611
Muhammadpur Malāsa	id=g:1262612
Muhammadpur Balmi	id=g:1262613
Muhammadpur	id=g:1262614
Muhammadpur	id=g:1262615
Muhammadpur	id=g:1262616
Muhammadpur	id=g:1262617
Muhammadpur	id=g:1262618
Muhammadpur	id=g:1262619
Muhammadgarh	id=g:1262620
Muhammadgarh	id=g:1262621
Muhammadganj	id=g:1262622
Muhammad Bāzār	id=g:1262623
Muhammadābād	id=g:1262624
Muhammadābād	id=g:1262625
Muhammadābād	id=g:1262626
Muhammadābād	id=g:1262627
Muhammadābād	id=g:1262628
Muhamdi	id=g:1262629
Mūgūru	id=g:1262630
Muguli	id=g:1262631
Mugma	id=g:1262632
Muglib	id=g:1262633
Mughal Sarāi	id=g:1262634
Mughal Maidān	id=g:1262636
Mughalgidda	id=g:1262637
Mugat	id=g:1262638
Mugāra	id=g:1262639
Mugaiyūr	id=g:1262640
Mugad	id=g:1262641
Mudwah Point	id=g:1262642
Muduvādi	id=g:1262643
Mudumpādu	id=g:1262644
Mudumalai	id=g:1262645
Mūdumālā	id=g:1262646
Mudukūr	id=g:1262647
Mudukulattūr	id=g:1262648
Mūdra	id=g:1262649
Mudki	id=g:1262650
Mudkhed	id=g:1262651
Mudkavi	id=g:1262652
Mudivedu	id=g:1262653
Mudinepalle	id=g:1262654
Mūdil	id=g:1262655
Mudigubba	id=g:1262656
Mudigodu	id=g:1262657
Mudigere	id=g:1262658
Mudigandi Eru	id=g:1262659
Mudia	id=g:1262660
Mudhol	id=g:1262661
Mudhol	id=g:1262662
Mudhol	id=g:1262663
Mudgal	id=g:1262664
Mudetha	id=g:1262665
Mudenūr	id=g:1262666
Muddūr	id=g:1262667
Muddumūdi	id=g:1262668
Muddebihāl	id=g:1262669
Muddavaram	id=g:1262670
Muddanūru	id=g:1262671
Mūdbidri	id=g:1262672
Mudbāl	id=g:1262673
