Wādī ‘Aţshān	id=g:107975
Al Bahadah	id=g:109955
Al Baghdādī	id=g:109956
Al Badī‘ah	id=g:109957
Al Badī‘	id=g:109958
Al Badī‘	id=g:109959
Al Badī‘	id=g:109960
Al Badī‘	id=g:109961
Al Badhā’	id=g:109962
Al Badā’i‘	id=g:109963
Al Badā’i‘	id=g:109964
Al Baḑāḑīk	id=g:109965
Al Bad‘	id=g:109966
Al Bad‘	id=g:109967
Al Ba‘ā’ith	id=g:109968
‘Aqabat al ‘Alb	id=g:109969
Al Azwar	id=g:109970
Al ‘Azīzīyah	id=g:109971
Al ‘Az̧āz̧ah	id=g:109972
Al ‘Azabah	id=g:109973
Al ‘Aysh	id=g:109974
Al Aysarī	id=g:109975
Al ‘Ayrayn	id=g:109976
Jabal al ‘Ayrah	id=g:109977
Al ‘Ayn	id=g:109978
Āl ‘Alyān	id=g:109979
Al ‘Ayn	id=g:109980
Al ‘Ayn	id=g:109981
Al ‘Ayfah	id=g:109982
Al ‘Aydah	id=g:109983
Alawy Umm Morah	id=g:109984
Al ‘Awsajīyah	id=g:109985
Al ‘Awsajīyah	id=g:109986
Āl ‘Awrān	id=g:109987
Al ‘Awl	id=g:109988
Al Awjarīyah	id=g:109989
Sha‘īb al ‘Awjā’	id=g:109990
Al ‘Awjā’	id=g:109991
Al ‘Awjā’	id=g:109992
Al ‘Awjā’	id=g:109993
Al ‘Awdah	id=g:109994
‘Awdat Sudayr	id=g:109995
Al ‘Awd	id=g:109996
Al ‘Awāriq	id=g:109997
Al ‘Awāmīyah	id=g:109998
Al ‘Awālī	id=g:109999
Al Aţwalah	id=g:110000
Al Aţwalah	id=g:110001
Bi’r al Aţwā’	id=g:110002
Āl aţ Ţawīl	id=g:110003
Al ‘Aţţār	id=g:110004
Āl aţ Ţafīlah	id=g:110005
Al Athlah	id=g:110006
Al Athlah	id=g:110007
Al ‘Athāmīn	id=g:110008
Al Athamah	id=g:110009
Al ‘Ateefah	id=g:110010
Al ‘Aţāyā	id=g:110011
Barqā’ al ‘Atāwīyāh	id=g:110012
Al Ashyākh	id=g:110013
Al Aswad	id=g:110014
Al Astral	id=g:110015
Āl as Sawāt	id=g:110016
Al Assan	id=g:110017
Al ‘Assāfīyah	id=g:110018
Āl ash Shaykh	id=g:110019
Al Ashram	id=g:110020
Al Ashrāf	id=g:110021
Al Ashrāf	id=g:110022
Al ‘Ashīrah	id=g:110023
Al Ash‘arīyah	id=g:110024
Al Ash‘arīyah	id=g:110025
Al ‘Ashār	id=g:110026
Al Asāḩim	id=g:110027
Al As‘ad	id=g:110028
Al Aşābi‘	id=g:110029
Qulbān al Arţāwīyah	id=g:110030
Al Arţāwīyah	id=g:110031
Al Arţāwī	id=g:110032
Al ‘Arq	id=g:110033
‘Ajjah	id=g:110034
Al ‘Ariz̧īyah	id=g:110035
Al ‘Arīyah	id=g:110036
Al ‘Arīn	id=g:110037
Al ‘Arīn	id=g:110038
Al ‘Arīn	id=g:110039
Al‘Āriḑah	id=g:110040
Al ‘Āriḑ	id=g:110041
Al ‘Arfajīyāt	id=g:110042
Al ‘Arf	id=g:110043
Al ‘Arḑ	id=g:110044
Al ‘Urumah	id=g:110045
Al ‘Arā’is	id=g:110046
Al ‘Arā’if	id=g:110047
Al ‘Arā’id	id=g:110048
Jazīrat al ‘Arabiyah	id=g:110049
Al ‘Āqūlah	id=g:110050
Al ‘Aqrabīyah	id=g:110051
Al ‘Aqrabah	id=g:110052
Al ‘Aqrab	id=g:110053
Al Aqmaş	id=g:110054
Al ‘Āqir	id=g:110055
Al ‘Āqir	id=g:110056
Jabal ‘Āqir	id=g:110057
Al ‘Āqir	id=g:110058
Al ‘Aqīq	id=g:110059
Al ‘Aqīq	id=g:110060
Al ‘Aqīq	id=g:110061
Al ‘Aqīq	id=g:110062
Al ‘Aqūlah	id=g:110063
Fayḑat al ‘Āqūlah	id=g:110064
‘Ayn ‘Alāqān	id=g:110065
‘Alāqān	id=g:110066
Al ‘Aqabah	id=g:110067
Jabal al ‘Anqā’	id=g:110068
Al an Nanisah	id=g:110069
Jabal ‘Alam	id=g:110070
Āl ‘Amrah	id=g:110071
Al Amnaḩ	id=g:110072
Al ‘Ammārīyah	id=g:110073
Al Amlaḩ	id=g:110074
Al ‘Āmirah	id=g:110075
Al ‘Āmir	id=g:110076
Al Amghar	id=g:110077
Qalīb al Amghar	id=g:110078
Al Amghar	id=g:110079
Al Amghar	id=g:110080
Al ‘Amārī	id=g:110082
Al ‘Amārah	id=g:110083
Al ‘Amār	id=g:110084
Al ‘Amār	id=g:110085
Al ‘Amār	id=g:110086
Al ‘Amā’ir	id=g:110087
Al ‘Amā’id	id=g:110088
Nafūd ‘Alam	id=g:110089
Khashm al ‘Alam	id=g:110090
Jibāl al ‘Alam	id=g:110091
Bi’r ‘Alam	id=g:110092
‘Alam	id=g:110093
‘Alam	id=g:110094
Al ‘Alāwah	id=g:110095
Al Alat	id=g:110096
Al ‘Alāh	id=g:110097
Al ‘Ākir	id=g:110098
Ābār al Khuwāḑah	id=g:110099
Al Akhḑar	id=g:110100
Al Akḩal	id=g:110101
Al ‘Akarah	id=g:110102
Al ‘Ajramīyāt	id=g:110103
Al ‘Ājizah	id=g:110104
Al Ajfar	id=g:110105
Sha‘īb ‘Alajān	id=g:110106
Al Awjām	id=g:110107
Al ‘Ajā’iz	id=g:110108
Āl ‘Ā’iḑ	id=g:110109
Al Hasa	id=g:110110
Al Aḩqāf	id=g:110111
Al Aḩmar	id=g:110112
Al ‘Āh	id=g:110113
Al ‘Afus	id=g:110114
Al Aflāj	id=g:110115
Al Afkhādh	id=g:110116
Al Afja	id=g:110117
Sha‘īb ‘Alaf	id=g:110118
Al ‘Ādhirīyāt	id=g:110119
Ad/ham Sudayrah	id=g:110120
Al Adham al Ghrady	id=g:110121
Al ‘Adhabah	id=g:110122
Āl ad Duwayḩ	id=g:110123
Jibāl Āl ad Dumayni	id=g:110124
Āl ad Darāmah	id=g:110125
Āl ad Dāḩis	id=g:110126
Al Aḑāri‘	id=g:110127
Al ‘Adā’im	id=g:110128
Al Abraqīyah	id=g:110129
Al Abraq	id=g:110130
Al ‘Ablah	id=g:110131
Āl ‘Ābis	id=g:110132
Al ‘Abīdīyah	id=g:110133
‘Ayn Āl ‘Abd Allāh	id=g:110134
Bi’r ‘Abdān	id=g:110135
Al ‘Abd	id=g:110136
Jabal al ‘Abd	id=g:110137
Al ‘Abd	id=g:110138
Al ‘Abd	id=g:110139
Jabal al ‘Abd	id=g:110140
Al ‘Abd	id=g:110141
Al ‘Abd	id=g:110142
Al ‘Abbāsīyah	id=g:110143
Al ‘Abbās	id=g:110144
Al Abānāt	id=g:110145
Al Abālīyah	id=g:110146
Al ‘Abal	id=g:110147
‘Alabah	id=g:110148
Al ‘Abā	id=g:110149
Al ‘Abā	id=g:110150
Sha‘īb al ‘Alā’	id=g:110151
Jabal al ‘Āl	id=g:110152
Jabal ‘Akwat ash Shām	id=g:110153
Jabal ‘Akwat al Yamīn	id=g:110154
Jibāl ‘Akwah	id=g:110155
Akta	id=g:110156
Jabal Akrāsh	id=g:110157
Daḩl al Akram	id=g:110158
Aklab	id=g:110159
Jabal ‘Akkāsh	id=g:110160
Jabal Akhrāz	id=g:110162
Wādī al Akhḑar	id=g:110163
Wādī al Akhḑar	id=g:110164
Qal‘at al Akhḑar	id=g:110165
Ash Shi‘b al Akhḑar	id=g:110166
Wādī al Akḩal	id=g:110167
‘Urūq al Akdān	id=g:110168
Akbayn	id=g:110169
Akbar ‘Uqaylī	id=g:110170
Jabal Akbād	id=g:110171
Akbad	id=g:110172
Wādī ‘Akās	id=g:110173
Akara	id=g:110174
‘Akar	id=g:110175
Akamin	id=g:110176
Fayḑat al ‘Ajrumīyah	id=g:110177
Wādī al Ajardī	id=g:110178
Buraykat al Ajradī	id=g:110179
Jāl Ajrubah	id=g:110180
‘Ajrabah	id=g:110181
Nafūd Ajnibah	id=g:110182
‘Ajmīyah	id=g:110183
‘Ajmā’ayn	id=g:110184
‘Ayn ‘Ajlān	id=g:110185
Qūr al Ajlāl	id=g:110186
Wādī ‘Ajjah	id=g:110187
Jabal ‘Ājir	id=g:110188
Ajili	id=g:110189
Ajibba	id=g:110190
‘Ajībah	id=g:110191
Jāl al Ajfar ash Shamālī	id=g:110192
Qā‘ al Ajfar	id=g:110193
Khashm al ‘Ajbān	id=g:110194
Jabal ‘Ajbān	id=g:110195
‘Ājāt	id=g:110196
Shiqqat Ajāshir Khabb	id=g:110198
‘Ayn al ‘Ajalīyah	id=g:110199
Jabal al ‘Ajalah	id=g:110200
‘Ajalah	id=g:110201
Wādī al ‘Ajal	id=g:110202
Wādī Ajal	id=g:110203
Ajaja	id=g:110204
Khabrā’ ‘Ajāj	id=g:110205
Nawāzī al ‘Ajā’iz	id=g:110206
Jibāl Ajā	id=g:110207
Aithami	id=g:110208
‘Ā’iqah	id=g:110209
‘Āinah	id=g:110210
Wādī Ahyām	id=g:110211
Jabal Ahyām	id=g:110212
Jazīrat al Hayzah	id=g:110213
Wādī al Aḩsabah	id=g:110214
Al Hasa Oasis	id=g:110215
Wādī Ahra	id=g:110216
Jabal Aḩmirah	id=g:110217
Sha‘īb Aḩmara	id=g:110218
Ra’s al Aḩmar	id=g:110219
Jabal al Aḩmar	id=g:110220
Ahl Sufran	id=g:110221
Ahl Sala‘	id=g:110222
Ahl Rayth	id=g:110223
Ahl Ḩunaysh	id=g:110224
Ahl Fayfā’	id=g:110225
Shi‘b Ahl Barrān	id=g:110226
Jibāl Ahlah	id=g:110227
Sha‘īb al Aḩfarah	id=g:110228
Ahdan	id=g:110229
Ahayil	id=g:110230
Jabal al Aḩaşş	id=g:110231
Jabal Aḩāmir	id=g:110232
Jabal Aḩāmir	id=g:110233
Aḩad Marrāt	id=g:110234
Aḩad al Masāriḩah	id=g:110235
Wādī Ahabesh	id=g:110236
Sha‘īb Agr	id=g:110237
Jabal Aghrad	id=g:110238
‘Ayn Aghrab	id=g:110239
Jaww al Againa	id=g:110240
Sha‘īb al Afyaḩ	id=g:110241
Afran	id=g:110242
Wādī ‘Afrā’	id=g:110243
‘Afrā’	id=g:110244
Nāziyat al ‘Afr	id=g:110245
Wādī ‘Aflūt	id=g:110246
Jabal ‘Aylūt	id=g:110247
Minţaqat ‘Afīf	id=g:110248
‘Afīf	id=g:110249
‘Afīf	id=g:110250
Jabal al Afḑakh	id=g:110251
Bi’r al ‘Afarīyah	id=g:110252
‘Afarīyah	id=g:110253
Jibāl Afā‘iyah	id=g:110254
Jabal ‘Afaf	id=g:110255
‘Uyūn ‘Adwānāt	id=g:110256
Wādī al Adun	id=g:110257
Adnan	id=g:110258
Jabal ‘Aḑm	id=g:110259
‘Adira	id=g:110260
‘Adīmat ash Shumrān	id=g:110261
Wādī al ‘Adhrīyah	id=g:110262
Sha‘īb al ‘Adhrīyah	id=g:110263
Adhras	id=g:110264
Adhqān al Hajūn	id=g:110265
Adhqān al ‘Aţshān	id=g:110266
Jabal Adhkarī	id=g:110267
Sha‘īb al ‘Ādhirīyah	id=g:110268
Khashm al ‘Ādhirīyah	id=g:110269
Jāl al ‘Ādhirīyah	id=g:110270
Sha‘īb ‘Ādhir	id=g:110271
Qulbān ‘Adhfā’	id=g:110272
Dhurayyi‘āt	id=g:110273
Qārat aḑ Ḑīrayn	id=g:110274
Adh Dhībīyah	id=g:110275
Adh Dhi’āb	id=g:110276
Adh Dhaylīyah	id=g:110277
Adh Dhaghārīr	id=g:110278
Mishāsh aḑ Ḑa‘aynī	id=g:110279
Adhba	id=g:110280
A‘dhabī	id=g:110281
Wādī al Adgham	id=g:110282
Qaşr ‘Adfah	id=g:110283
Aderi	id=g:110284
Ābār ad Duwayris	id=g:110285
Ad Duwayrah	id=g:110286
Ad Duwaymah	id=g:110287
Al Barjasīyah	id=g:110288
Qulbān ad Duwayd	id=g:110289
Ad Duwayd	id=g:110290
Ad Duwāyah	id=g:110291
Ad Duwāyah	id=g:110292
Ad Durayyi‘āt	id=g:110293
Ad Duraydī	id=g:110294
Aḑ Ḑumaykhāt	id=g:110295
Ad Dilaymīyah	id=g:110296
Ad Duḩūl	id=g:110297
Ad Duhm	id=g:110298
Munīfat ad Duhum	id=g:110299
Ad Duḩayl	id=g:110300
Ad Dughmânīyah	id=g:110301
Ad Dughum	id=g:110302
Aḑ Ḑubīyah	id=g:110303
Aḑ Ḑubīyah	id=g:110304
Aḑ Ḑubayţ	id=g:110305
Ad Dubaysī	id=g:110306
Ad Du‘aylij	id=g:110307
Ad Du‘ābah	id=g:110308
Ad Diyār	id=g:110309
Ad Dissān	id=g:110310
Ad Dir‘īyah	id=g:110311
Ad Dir‘īyah	id=g:110312
Ad Dir‘	id=g:110313
Ad Dilam	id=g:110314
Ad Dikākah	id=g:110315
Ad Digayik	id=g:110316
Ad Dibdibah	id=g:110317
Aḑ Ḑib‘ān	id=g:110318
Jabal al Ḩinw	id=g:110319
Ad Dhid	id=g:110320
Ad Dawsarīyah	id=g:110321
Ad Dawsarah	id=g:110322
Ad Dawḩ al Kabīr	id=g:110323
Ad Dawḩ aş Şaghīr	id=g:110324
Ad Dawādimī	id=g:110325
Qulbān ad Dasamah	id=g:110326
Ad Darb	id=g:110327
Ad Darb	id=g:110328
Ad Dār as Suflá	id=g:110329
Ad Dār al Ḩamrā’	id=g:110330
Ad Dār al Bayḑā’	id=g:110331
Ad Dārah	id=g:110332
Ad Dārah	id=g:110333
Ad Dārah	id=g:110334
Ad Daqmā’	id=g:110335
Ad Dammām	id=g:110336
Ad Dammām	id=g:110337
Aḑ Ḑalfa‘ah	id=g:110338
Ad Dalamah	id=g:110339
Ad Dāl	id=g:110340
Ad Daḩw	id=g:110341
Ad Dahnā’	id=g:110342
Ad Dahmā’ al Janūbīyah	id=g:110343
Ad Daḩl	id=g:110344
Ad Dāhinah	id=g:110345
Aḑ Ḑāḩikīyah	id=g:110346
Aḑ Ḑāḩī	id=g:110347
Ad Daghara Ridge	id=g:110348
Ad Dafīnah	id=g:110349
Ad Dufāfīyāt	id=g:110350
Ad Daff	id=g:110351
Aḑ Ḑabţīyah	id=g:110352
Aḑ Ḑabţīyah	id=g:110353
Ad Dabl	id=g:110354
Aḑ Ḑab‘īyāt	id=g:110355
Aḑ Ḑab‘īyah	id=g:110356
Aḑ Ḑab‘ī	id=g:110357
Huzūm aḑ Ḑabbīyah	id=g:110358
Jabal Addab	id=g:110359
Jabal Ḑab‘	id=g:110360
Wādī Adawū	id=g:110361
Khashm al Aḑāri‘	id=g:110362
Adan	id=g:110363
Khubb al ‘Adam	id=g:110364
Adaim	id=g:110365
‘Adafan	id=g:110366
Abyār ‘Alī	id=g:110367
Wādī al Abyaḑ	id=g:110368
Wādī Abyaḑ	id=g:110369
Shi‘b al Abyaḑ	id=g:110370
Jibāl al Abyaḑ	id=g:110371
Jabal al Abyaḑ	id=g:110372
Ar Ra’s al Abyaḑ	id=g:110373
Wādī Abwain	id=g:110374
Sabkhat Abwāb	id=g:110375
Abwāb	id=g:110376
Jabal Abū Z̧uhayr	id=g:110377
Wādī Abū Zufrah	id=g:110378
Jabal Abū Zawālah	id=g:110379
Abū Zahrah	id=g:110380
Jabal Abū Wazzah	id=g:110381
Khashm Abū Walad	id=g:110382
Abū Walad	id=g:110383
Wādī Abū ‘Usharah	id=g:110384
Abū ‘Urwah	id=g:110385
Ra’s al Khaththāq	id=g:110386
Abū ‘Ujayyījāt	id=g:110387
Rujm Abū Ţuqqah	id=g:110388
Daḩl Abū Ţuqqah	id=g:110389
Wādī Abū Ţulayḩah	id=g:110390
Abū Ţulayḩah	id=g:110391
Abū Ţubayq	id=g:110392
Wādī Abū Tīrān	id=g:110393
Jabal Abū Ţīnah	id=g:110394
Abū Thanīyah	id=g:110395
Qā‘ Abū Ţarfā’	id=g:110396
Jabal Abū Ţarfā’	id=g:110397
Abū Ţarfā’	id=g:110398
Abū Ţāqah	id=g:110399
Sha‘īb Abū Ţalḩah	id=g:110400
Wādī Abū Talh	id=g:110401
Ḩādh Abū Surayfah	id=g:110402
Abū Surayfah	id=g:110403
Abū Sunayn	id=g:110404
Wādī Abū Sullah	id=g:110405
Abū Sulaylīyāt	id=g:110406
Wādī Abū Sulaylāt	id=g:110407
Daḩūl Abū Şukhayl	id=g:110408
Wādī Abū Sudayrah	id=g:110409
Abū Sinūn	id=g:110410
Abū Sihlah	id=g:110411
Daḩl Abū Sudayrah	id=g:110412
Jabal Abū Sibā‘	id=g:110413
Jazīrat Abū Shūshah	id=g:110414
Abū Shūshah	id=g:110415
Abū Shukar	id=g:110416
Abū Shukar	id=g:110417
Sha‘īb Abū Shiz̧āz̧	id=g:110418
Jaww Abū Shidād	id=g:110419
Jabal Abū Shidād	id=g:110420
Jabal Abū Shidād	id=g:110421
Barqā’ Abū Shidād	id=g:110422
Jabal Abū Shidād	id=g:110423
Jabal Abū Shidād	id=g:110424
Abū Shayţānah	id=g:110425
Abū Shawr	id=g:110426
Abū Shawk Reefs	id=g:110427
Abū Shawk	id=g:110428
Abū Shawk	id=g:110429
Abū Shawk	id=g:110430
Ra’s Abū Sharīrah	id=g:110431
Ḩazm Abū Sharīf	id=g:110432
Wādī Abū Shārib	id=g:110433
Abū Sharī‘ah	id=g:110434
Khawr Abū Shaqrā’	id=g:110435
Sayḩ Abū Shanān	id=g:110436
Abū Shamlah	id=g:110437
Abū Shu‘ayb	id=g:110438
Qalamat Abū Shafrah	id=g:110439
Ra’s Abū Sayf	id=g:110440
Wādī Abū Şaww	id=g:110441
Sha‘īb Abū Şawr	id=g:110442
Jabal Abū Sawādah	id=g:110443
Abū Sawādah	id=g:110444
Abū Salmá	id=g:110445
Wādī Abū Sallah	id=g:110446
Wādī Abū Sallah	id=g:110447
Bi’r Abū Salīm	id=g:110448
Abū Salām	id=g:110449
Sha‘īb Abū Şaḩrā’	id=g:110450
Abū Şaḩrā’	id=g:110451
Jabal Abū Safiya	id=g:110452
Fasht Abū Sa‘fah	id=g:110453
Abū Sa‘fah Oil Field	id=g:110454
Jabal Abū Şafā	id=g:110455
Jabal Abū Şādi‘	id=g:110456
Jazīrat Abū Sa‘d	id=g:110457
Abū Şabbān	id=g:110458
Abū Ruwawil	id=g:110459
Khashm Abū Rukhaym	id=g:110460
Jabal Abū Rukhaym	id=g:110461
Khashm Abū Rukbah	id=g:110462
Abū Rubayq	id=g:110463
Ḩazm Abū Rawzanah	id=g:110464
Jabal Abū Rawāth	id=g:110465
Jabal Abū Ruwādif	id=g:110466
Khabrā’ Ibn Rashīd	id=g:110467
Ḩarrat Abū Rāshid	id=g:110468
Ţi‘s Abū Ra’sayn	id=g:110469
Ḩazm Abū Ra’sayn	id=g:110470
Abū Rāqah	id=g:110471
Abū Raml	id=g:110472
Sha‘īb Abū Ramḑā’	id=g:110473
Khashm Abū Ramḑā’	id=g:110474
Jabal Abū Rākiz	id=g:110475
Abū Rakā	id=g:110476
Mushāsh Abū Rajīl	id=g:110477
Ābār Abū Irjīl	id=g:110478
Abū Radīf	id=g:110479
Abū Quţub	id=g:110480
Sha‘īb Abū Kitādah	id=g:110481
Wādī Abū Qarāz̧īf	id=g:110482
Abū Qa‘r	id=g:110483
Abū Qā‘ah	id=g:110484
Thamīlat Abū Nimār	id=g:110485
Abū Nībān	id=g:110486
Ḩazm Abū Nasr	id=g:110487
Abū Naşībah	id=g:110488
Abū Na‘mi	id=g:110489
Bi’r Abū Namasah	id=g:110490
Abū Nakhnah	id=g:110491
Abū Nakhlah	id=g:110492
Shiqqat Abū Nahr	id=g:110493
Abū Nabrah	id=g:110494
Sha‘īb Abū Muşrān	id=g:110495
‘Urūq Abū Muraykhah	id=g:110496
Ra’s Abū Muraykhah	id=g:110497
Abū Muhayrāt	id=g:110498
Jibāl Abā Mughayr	id=g:110499
Bi’r Abū Mughayr	id=g:110500
Abumnura	id=g:110501
Jabal Abū Mīrakah	id=g:110502
Ḑil‘ Abū Mīrakah	id=g:110503
Jabal Abū Milḩah	id=g:110504
Ra’s Abū Mathnāh	id=g:110505
Abū Matārī	id=g:110506
Ra’s abū Masārib	id=g:110507
Z̧ahrat Abū Maşālī	id=g:110508
Jaww Abū Marzūq	id=g:110509
Jabal Abū Marwah	id=g:110510
Daḩl Abū Marwah	id=g:110511
Abū Marwah	id=g:110512
Abū Markhah	id=g:110513
Abū Ma‘raj	id=g:110514
Abū Ma‘an	id=g:110515
Ra’s Abū Maḩārah	id=g:110516
Ra’s Abū Madd	id=g:110517
Jabal Abū Ma‘āyā	id=g:110518
Ra’s Abū Mu‘allā’	id=g:110519
Khashm Abū Libdah	id=g:110520
Abū Libdah	id=g:110521
Marbakh Abū Laylah	id=g:110522
Abū Latt	id=g:110523
Khashm Abū Lajfah	id=g:110524
Abulad Islands	id=g:110525
Abū Kirsh	id=g:110526
Ghubb Abū Kilāb	id=g:110527
Ḩazm Abū Khuwaymah	id=g:110528
Niqā Abū Khayālah	id=g:110529
Jabal Abū Khayţ	id=g:110530
‘Irq Abū Khayālah	id=g:110531
Abū Khayālah	id=g:110532
Abū Khayālah	id=g:110533
Jabal Abū Khaţţayn	id=g:110534
Jabal Abū Khashab	id=g:110535
Jabal Abū Khashab	id=g:110536
Jabal Abū Khashab	id=g:110537
Ḩazm Abū Kharūf	id=g:110538
Abū Kharrāmah	id=g:110539
Şayhad Abū Kalb	id=g:110540
Ra’s Abū Kalb	id=g:110541
Ābār Abū Kalb	id=g:110542
Abū Ka‘b	id=g:110543
Shi‘b Abū Jundūd	id=g:110544
Abū Jişşah	id=g:110545
Abū Jifān	id=g:110546
Wād Abū Jarīdah	id=g:110547
Jabal Abū Jarād	id=g:110548
Jabal Abū Janb	id=g:110549
Abū Jamādah	id=g:110550
Abū Ithnayn	id=g:110551
Abū Snūn	id=g:110552
Abū Ḩurays	id=g:110553
Wādī Abū Ḩumayḑ	id=g:110554
Abū Hudairiya	id=g:110555
Wādī Abū Hīshah	id=g:110556
Sha‘īb Abū Hiqan	id=g:110557
Jabal Abū Ḩayyālah	id=g:110558
Nuwayşilāt Abū Ḩawāyā	id=g:110559
Abū Ḩathrah	id=g:110560
Abū Ḩişānī	id=g:110561
Jabal Abū Ḩasan	id=g:110562
Jabal Abū Ḩaşāh	id=g:110563
Daḩl Abū Ḩarmalah	id=g:110564
Abū Ḩārith	id=g:110565
Wādī Abū Ḩandal	id=g:110566
Abū Ḩanash	id=g:110567
Abū Hamdān	id=g:110568
Abū Ḩamāţah	id=g:110569
Sha‘īb Abū Ḩalfā’	id=g:110570
Abū Ḩajar Ūlá	id=g:110571
Abū Ḩajar al A‘lá	id=g:110572
Wādī Abū Haiya	id=g:110573
Abū Ḩadrīyah 1	id=g:110574
Mushāsh Abū Ḩadrīyah	id=g:110575
Ḩazm Abū Ḩadrīyah	id=g:110576
Abū Ḩadrīyah	id=g:110577
Abū Ḩadrīyah	id=g:110578
Jabal Abū Ghuzlān	id=g:110579
Jabal Abū Ghurrah	id=g:110580
Jabal Abū Ghubbah	id=g:110581
Jabal Abū Ghubbah	id=g:110582
Abū Ghawārib	id=g:110583
Abū Ghathal	id=g:110584
Sha‘īb Abū Ghār	id=g:110585
Jabal Abū Ghanīmah	id=g:110586
Jirānī Abū Ghadīr	id=g:110587
Wādī Abū Ghaḑā	id=g:110588
Wādī Abū Ghaḑā	id=g:110589
Sha‘īb Abū Fuhayd	id=g:110590
Abū Fāris	id=g:110591
Ghaḑā Abū Farā’is	id=g:110592
‘Irq Abū Faqr	id=g:110593
Khullat Abū Fanājil	id=g:110594
Wādī Abū Duwaymah	id=g:110595
Abū Duray‘	id=g:110596
Abū Dukhayn	id=g:110597
Jabal Abū Dukhan	id=g:110598
Abū Dukhān	id=g:110599
Jabal Abū Ḑuḩk	id=g:110600
Abū Dūdah	id=g:110601
Abū Ḑibā‘	id=g:110602
Abū Dhur	id=g:110603
Abū Daraj	id=g:110604
Abū Dāl	id=g:110605
Wādī Abū Bu‘aythirānah	id=g:110606
Jabal Abū Baqar	id=g:110607
Abū Baḩr	id=g:110608
Jabal Abū ‘Azzām	id=g:110609
Abū aţ Ţuyūr	id=g:110610
Abū as Suwādī	id=g:110611
Khawr Abū as Sabā’	id=g:110612
‘Irq Abū Ashdād	id=g:110613
Abū ‘Ashār	id=g:110614
Ra’s Abū ‘Alá	id=g:110615
Khashm Abū ‘Irzīlah	id=g:110616
Jawb Abū ‘Arzīlah	id=g:110617
Jāl Abū ‘Irzīlah	id=g:110618
Abū ‘Arīsh	id=g:110619
Wādī Abū ‘Arādah	id=g:110620
Sayl Abū ‘Arād	id=g:110621
Abū an Nasībah	id=g:110622
Abū an Na‘am	id=g:110623
Abū al Qaws	id=g:110624
Abū al Qa‘ā’id	id=g:110625
Abū al Maykh	id=g:110626
Abū al Maţrān	id=g:110627
Rimāl Abū al Marw	id=g:110628
Shi‘b Abū al Liqā’	id=g:110629
Abā al Kibāsh	id=g:110630
Abū al Jalab	id=g:110631
Mishāsh Abū al ‘Ukrish	id=g:110632
Ra’s Abū ‘Alī	id=g:110633
Jazīrat Abū ‘Alī	id=g:110634
Dawḩat Abū ‘Alī	id=g:110635
Jabal Abū al Ḩufan	id=g:110636
Abū al Hirrān	id=g:110637
Abū al Hiran	id=g:110638
Wādī Abū al Ḩarjah	id=g:110639
Abū al Ḩajrān	id=g:110640
Wādī Abū al Ewadishe	id=g:110641
Wādī Abū ‘Aldah	id=g:110642
Abū al Baqar	id=g:110643
Sha‘īb Abū al Ashush	id=g:110644
Abū ‘Alaq	id=g:110645
Būr Abū al Akhḑar	id=g:110646
Abū ‘Alābī	id=g:110647
‘Ayn Abū al ‘Abal	id=g:110648
Jirānī Abū ‘Ajram	id=g:110649
‘Irq Abū ‘Afinah	id=g:110650
Jirānī Abū ‘Ādhir	id=g:110651
Sha‘īb Abū adh Dharr	id=g:110652
Sha‘īb Abū adh Dharr	id=g:110653
Sha‘īb Abū adh Dharr	id=g:110654
Abū ad Duhaym	id=g:110655
Qawz Abū ad Dufūf	id=g:110656
Ghadīr Abū ad Dufūf	id=g:110657
Abū ad Dīsh	id=g:110658
Bi’r Abū ad Da‘yaj	id=g:110659
Abū Addah	id=g:110660
Abtain Bay	id=g:110661
‘Absīyah	id=g:110662
Ţi‘s al Abraş	id=g:110663
Wādī al Abraqīyah	id=g:110664
Jibāl al Abraqīyah	id=g:110665
Jaww Abraqīyah	id=g:110666
Ābār Buruqīyah	id=g:110667
Abraqīyah	id=g:110668
Abraqayn	id=g:110669
Abraq	id=g:110670
‘Abr	id=g:110671
Wādī Abqār	id=g:110672
Jazīrat Ablo	id=g:110673
‘Abl Ghamghīmah	id=g:110674
Sha‘īb ‘Ablayn	id=g:110675
Wādī al ‘Ablah	id=g:110676
‘Ablah	id=g:110677
‘Ablah	id=g:110678
‘Ablā	id=g:110679
‘Irq al ‘Abl	id=g:110680
‘Abīdah	id=g:110681
Jabal al ‘Abīd	id=g:110682
Qaşr Abiaq	id=g:110683
Khullat Abī ad Dufūf	id=g:110684
Sharm Abḩur	id=g:110685
Ra’s Abḩur	id=g:110686
Jabal Abhaq	id=g:110687
Wādī Abhā	id=g:110688
Jabal Abhā	id=g:110689
Abhā	id=g:110690
Wādī Abdhumaid	id=g:110691
‘Abd al Muţliq	id=g:110692
‘Abd al Ma‘ayy	id=g:110693
Abd al Ma‘āşir	id=g:110694
Bi’r ‘Abd Allāh	id=g:110695
Sabkhat ‘Abdalīyah	id=g:110696
Bi’r al ‘Abdalīyah	id=g:110697
‘Abd al Ḩafīrah	id=g:110698
Jabal ‘Abd al ‘Azīz	id=g:110699
Jabal ‘Abdah	id=g:110700
Wādī al ‘Abd	id=g:110701
Rawḑ al ‘Abd	id=g:110702
Mushāsh al ‘Abd	id=g:110703
