Trail Number 10	id=g:5141290
WONY-FM (Oneonta)	id=g:5142793
WOSB-FM (Irondequoit)	id=g:5142794
WOSB-FM (Irondequoit)	id=g:5142795
WOSS-FM (Ossining)	id=g:5142796
WOUR-FM (Utica)	id=g:5142797
WOWB-FM (Little Falls)	id=g:5142798
WOWB-FM (Little Falls)	id=g:5142799
WPAC	id=g:5142800
WPAC-FM (Ogdensburg)	id=g:5142801
WPBX-FM (Southampton)	id=g:5142802
WPBX-FM (Southampton)	id=g:5142803
WPCX-FM (Auburn)	id=g:5142804
WPDH-FM (Poughkeepsie)	id=g:5142805
WPDM-AM (Potsdam)	id=g:5142806
WPFE-FM (Ogdensburg)	id=g:5142807
WPIE-AM (Trumansburg)	id=g:5142808
WPIX-TV (New York)	id=g:5142809
WPLJ-FM (New York)	id=g:5142810
WPLT-FM (Plattsburgh)	id=g:5142811
WPNR-FM (Utica)	id=g:5142812
WPOB-FM (Plainview)	id=g:5142813
WPOB-FM (Plainview)	id=g:5142814
WPSA-FM (Paul Smith)	id=g:5142815
WPSA-FM (Paul Smiths)	id=g:5142816
WPTR Radio Tower (Ticonderoga)	id=g:5142817
WPTR-AM (Albany)	id=g:5142818
WPTZ-TV (North Pole)	id=g:5142819
WPUT-AM (Brewster)	id=g:5142820
WPXY-AM (Rochester)	id=g:5142821
WPXY-FM (Rochester)	id=g:5142822
WPYX-FM (Albany)	id=g:5142823
WQBK-AM (Rensselaer)	id=g:5142824
WQBK-FM (Rensselaer)	id=g:5142825
WQBK-FM (Rensselaer)	id=g:5142826
WQCD-FM (New York)	id=g:5142827
WQCD-FM (New York)	id=g:5142828
WQHT-FM (New York)	id=g:5142829
WQIX-FM (Horseheads)	id=g:5142830
WQKZ-FM (Catskill)	id=g:5142831
WQNY-FM (Ithaca)	id=g:5142832
WQQY-FM (Saratoga Springs)	id=g:5142833
WQQY-FM (Saratoga Springs)	id=g:5142834
WQRT-FM (Salamanca)	id=g:5142835
WQXR Radio Tower (Ticonderoga)	id=g:5142836
WQXR-AM (New York)	id=g:5142837
WQXR-AM (New York)	id=g:5142838
WQXR-FM (New York)	id=g:5142839
WQXT-FM (Owego)	id=g:5142840
WRAV-FM (Ravena)	id=g:5142841
WRAV-FM (Ravena)	id=g:5142842
WRCD-FM (Clyde)	id=g:5142843
WRCK-FM (Utica)	id=g:5142844
WRCN-FM (Riverhead)	id=g:5142845
WRCU-FM (Hamilton)	id=g:5142846
WRGB-TV (Schenectady)	id=g:5142847
WRGR-FM (Tupper Lake)	id=g:5142848
WRHD-AM (Riverhead)	id=g:5142849
WRHO-FM (Oneonta)	id=g:5142850
WRHP-FM (Syracuse)	id=g:5142851
WRHU-FM (Hempstead)	id=g:5142852
WRHV-FM (Poughkeepsie)	id=g:5142853
WRIV-AM (Riverhead)	id=g:5142854
WRIV-AM (Riverhead)	id=g:5142855
WRKL-AM (New City)	id=g:5142856
WRKS-FM (New York)	id=g:5142857
WRMM-AM (Rochester)	id=g:5142858
WRMM-FM (Rochester)	id=g:5142859
WRNQ-FM (Poughkeepsie)	id=g:5142860
WRNY-AM (Rome)	id=g:5142861
WROC-TV (Rochester)	id=g:5142862
WROW-AM (Albany)	id=g:5142863
WROW-FM (Albany)	id=g:5142864
WRPI-FM (Troy)	id=g:5142865
WRTN-FM (New Rochelle)	id=g:5142866
WRUC-FM (Schenectady)	id=g:5142867
WRUN Radio Tower (Ticonderoga)	id=g:5142868
WRUN-AM (Utica)	id=g:5142869
WRUR-FM (Rochester)	id=g:5142870
WRUR-FM (Rochester)	id=g:5142871
WRVJ-FM (Watertown)	id=g:5142872
WRVN-FM (Utica)	id=g:5142873
WRVO-FM (Oswego)	id=g:5142874
WRVW-FM (Hudson)	id=g:5142875
WRWD-FM (Highland)	id=g:5142876
WSBU-FM (Saint Bonaventure)	id=g:5142877
WSCG-FM (Corinth)	id=g:5142878
WSCM-AM (Cobleskill)	id=g:5142879
WSCP-AM (Sandy Creek-Pulaski)	id=g:5142880
WSCP-FM (Pulaski)	id=g:5142881
WSCS-FM (Sodus)	id=g:5142882
WSEN-AM (Baldwinsville)	id=g:5142883
WSEN-FM (Baldwinsville)	id=g:5142884
WSFS Radio Tower (Ticonderoga)	id=g:5142885
WSFW-AM (Seneca Falls)	id=g:5142886
WSFW-FM (Seneca Falls)	id=g:5142887
WSGO Radio Tower (Ticonderoga)	id=g:5142888
WSGO-AM (Oswego)	id=g:5142889
WSHQ-FM (Cobleskill)	id=g:5142890
WSHR-FM (Lake Ronkonkoma)	id=g:5142891
WSHZ-FM (Rotterdam)	id=g:5142892
WSIA-FM (Staten Island)	id=g:5142893
WSIV-AM (East Syracuse)	id=g:5142894
WSKG-FM (Binghamton)	id=g:5142895
WSKG-TV (Binghamton)	id=g:5142896
WSKQ-FM (New York)	id=g:5142897
WSLB Radio Tower (Ticonderoga)	id=g:5142898
WSLL-FM (Saranac Lake)	id=g:5142899
WSLO-FM (Malone)	id=g:5142900
WSLU-FM (Canton)	id=g:5142901
WSNN-FM (Potsdam)	id=g:5142902
WSNR-TV (Syracuse)	id=g:5142903
WSPK-FM (Poughkeepsie)	id=g:5142904
WSPN-FM (Saratoga Springs)	id=g:5142905
WSPQ-AM (Springville)	id=g:5142906
WSQC-FM (Oneonta)	id=g:5142907
WSQG-FM (Ithaca)	id=g:5142908
WSRD-FM (Johnstown)	id=g:5142909
WSRK-FM (Oneonta)	id=g:5142910
WSSV-FM (Stillwater)	id=g:5142911
WSTL-AM (South Glens Falls)	id=g:5142912
WSTM-TV (Syracuse)	id=g:5142913
WSTS Radio Tower (Ticonderoga)	id=g:5142914
WSTY-FM (Plattsburgh)	id=g:5142915
WSUC-FM (Cortland)	id=g:5142916
WSUL-FM (Monticello)	id=g:5142917
WSYR-AM (Syracuse)	id=g:5142918
WSYT-TV (Syracuse)	id=g:5142919
WTBQ-AM (Warwick)	id=g:5142920
WTBY-TV (Poughkeepsie)	id=g:5142921
WTEN-TV (Albany)	id=g:5142922
WTHE-AM (Mineola)	id=g:5142923
WTJA-TV (Jamestown)	id=g:5142924
WTKO-AM (Ithaca)	id=g:5142925
WTLB-AM (Utica)	id=g:5142926
WTNY-AM (Watertown)	id=g:5142927
WTNY-FM (Watertown)	id=g:5142928
WTOJ-FM (Carthage)	id=g:5142929
WTRY Radio Tower (Ticonderoga)	id=g:5142930
WTRY-AM (Troy)	id=g:5142931
WTSC-FM (Potsdam)	id=g:5142932
WTSC-FM (Potsdam)	id=g:5142933
WTVH-TV (Syracuse)	id=g:5142934
WTZA-TV (Kingston)	id=g:5142935
WUFO-AM (Amherst)	id=g:5142936
WUFX-FM (Buffalo)	id=g:5142937
WUHF-TV (Rochester)	id=g:5142938
WUIC-FM (Binghamton)	id=g:5142939
WUMA-FM (Old Forge)	id=g:5142940
WUNY-FM (Utica)	id=g:5142941
WUSB-FM (Stony Brook)	id=g:5142942
WUSB-FM (Stony Brook)	id=g:5142943
WUTQ-AM (Utica)	id=g:5142944
WUTR-TV (Utica)	id=g:5142945
WUTV-TV (Buffalo)	id=g:5142946
WUUU-FM (Rome)	id=g:5142947
WVBR-FM (Ithaca)	id=g:5142948
WVCR-FM (Loudonville)	id=g:5142949
WVEH-FM (East Hampton)	id=g:5142950
WVEH-FM (East Hampton)	id=g:5142951
WVIN-FM (Bath)	id=g:5142952
WVIP-AM (Mount Kisco)	id=g:5142953
WVIP-FM (Mount Kisco)	id=g:5142954
WVIP-FM (Mount Kisco)	id=g:5142955
WVKR-FM (Poughkeepsie)	id=g:5142956
WVKR-FM (Poughkeepsie)	id=g:5142957
WVKZ-AM (Schenectady)	id=g:5142958
WVKZ-FM (Clifton Park)	id=g:5142959
WVNC-FM (Canton)	id=g:5142960
WVOA-FM (Deruyter)	id=g:5142961
WVOR-FM (Rochester)	id=g:5142962
WVOS-AM (Liberty)	id=g:5142963
WVOS-FM (Liberty)	id=g:5142964
WVOX-AM (New Rochelle)	id=g:5142965
WWER-FM (Dryden)	id=g:5142966
WWHB-FM (Hampton Bays)	id=g:5142967
WWNY-TV (Carthage)	id=g:5142968
WWOL Radio Tower (Ticonderoga)	id=g:5142969
WWSC-AM (Glens Falls)	id=g:5142970
WWSE-FM (Jamestown)	id=g:5142971
WWTI-TV (Watertown)	id=g:5142972
WWWG-AM (Rochester)	id=g:5142973
WWWK-FM (Ellenville)	id=g:5142974
WXBA-FM (Brentwood)	id=g:5142975
WXBX-AM (Buffalo)	id=g:5142976
WXHD-FM (Mount Hope)	id=g:5142977
WXIK-AM (Brownville)	id=g:5142978
WXRA-AM (North Syracuse)	id=g:5142979
WXRK-FM (New York)	id=g:5142980
WXRL-AM (Lancaster)	id=g:5142981
WXXA-TV (Albany)	id=g:5142982
WXXI-AM (Rochester)	id=g:5142983
WXXI-FM (Rochester)	id=g:5142984
WXXI-TV (Rochester)	id=g:5142985
WYBG-AM (Massena)	id=g:5142986
WYDC-TV (Corning)	id=g:5142987
WYDM-TV (Batavia)	id=g:5142988
WYEF-FM (Yorkshire)	id=g:5142989
WYLF-AM (Penn Yan)	id=g:5142990
WYLR-FM (Glens Falls)	id=g:5142991
WYNQ-FM (Avon)	id=g:5142992
WYNY-FM (Lake Success)	id=g:5142993
WYRK-FM (Buffalo)	id=g:5142994
WYSL-AM (Avon)	id=g:5142995
WYUT-AM (Herkimer)	id=g:5142996
WYUT-FM (Herkimer)	id=g:5142997
WYXL-FM (Ithaca)	id=g:5142998
WYYY-FM (Syracuse)	id=g:5142999
WZAD-FM (Wurtsboro)	id=g:5143000
WZFM-FM (Briarcliff Manor)	id=g:5143001
WZFM-FM (Briarcliff Manor)	id=g:5143002
WZKZ-FM (Corning)	id=g:5143003
WZOS-FM (Oswego)	id=g:5143004
WZOZ-FM (Oneonta)	id=g:5143005
WZSH-FM (Town of South Bristol)	id=g:5143006
WZSH-FM (Town of South Bristol)	id=g:5143007
WZXV-FM (Palmyra)	id=g:5143008
WZZZ-AM (Fulton)	id=g:5143009
Waccabuc	id=g:5143010
Waccabuc Country Club	id=g:5143011
Waccabuc River	id=g:5143012
Vukote	id=g:5143013
Wacomber Cemetery	id=g:5143014
Wacombers Corners	id=g:5143015
Waddington	id=g:5143016
Waddington Beach	id=g:5143017
Town of Waddington	id=g:5143018
Wades Brook	id=g:5143019
Lake Waccabuc	id=g:5143020
Wadhams Hall Seminary	id=g:5143021
Wading River	id=g:5143022
Wading River	id=g:5143023
Wadhams	id=g:5143024
Wading River Landing	id=g:5143025
Wadswarth Cemetery	id=g:5143026
Wadsworth	id=g:5143027
Wadsworth Boy Scout Camp	id=g:5143028
Wadsworth Cove	id=g:5143029
Wadsworth Mountain	id=g:5143030
Wagener Glen	id=g:5143031
Wading River Cemetery	id=g:5143032
Susan E Wagner High School	id=g:5143033
Wagner Hill	id=g:5143034
Wagner Hill	id=g:5143035
Wagner Hollow	id=g:5143036
Wager Pond	id=g:5143037
Wagners Corners	id=g:5143038
Wagon Wheel Landing	id=g:5143039
Wagoner Brook	id=g:5143040
Wagner College	id=g:5143041
Wagstaff Corner	id=g:5143042
Wagstaff Heliport	id=g:5143043
Wahl Brook	id=g:5143044
Wagoners Marina	id=g:5143045
Wainscott	id=g:5143046
Wainscott Beach	id=g:5143047
Wainscott Cemetery	id=g:5143048
Wainscott Pond	id=g:5143049
Wainscott Station	id=g:5143050
Wainwright Mountain	id=g:5143051
Wait Corners	id=g:5143052
Waite Hollow	id=g:5143053
Wahmeda	id=g:5143054
Waits	id=g:5143055
Wakefield	id=g:5143056
Wakely Brook	id=g:5143057
Waite Mountain	id=g:5143058
Wakely Brook	id=g:5143059
Wakely Dam	id=g:5143060
Wakely Pond	id=g:5143061
Wakeman Brook	id=g:5143062
Wakely Mountain	id=g:5143063
Waldbaums Shopping Center	id=g:5143064
Walden	id=g:5143065
Walden	id=g:5143066
Walden Cliffs	id=g:5143067
Waldo Creek	id=g:5143068
Waldo Hill	id=g:5143069
Waldorf School	id=g:5143070
Waldos Corners	id=g:5143071
Waldron Cemetery	id=g:5143072
Waldron Cemetery	id=g:5143073
Waldron Corners	id=g:5143074
Waldron Pond	id=g:5143075
Waldron-Brandon Cemetery	id=g:5143076
Wales Center	id=g:5143077
Wales Hollow	id=g:5143078
Wales School	id=g:5143079
Town of Wales	id=g:5143080
Walesville	id=g:5143081
Walhalla Rocks	id=g:5143082
Walker	id=g:5143083
Walker	id=g:5143084
Walker Brook	id=g:5143085
Walberta Park School	id=g:5143086
Walker Corners	id=g:5143087
Walker Corners	id=g:5143088
Walker Creek	id=g:5143089
Walker Cemetery	id=g:5143090
Walker Lake	id=g:5143091
Walker Park	id=g:5143092
Walker Park	id=g:5143093
Walker Point	id=g:5143094
Walker Pond	id=g:5143095
Walker Seaplane Base	id=g:5143096
Walker Valley	id=g:5143097
Walker Valley Golf Course	id=g:5143098
Walkers Cemetery	id=g:5143099
Walkers Corners	id=g:5143100
Walkers Corners	id=g:5143101
Walkleys Landing	id=g:5143102
Wall Street Plaza	id=g:5143103
Wall Street Subway Station	id=g:5143104
Wallabout Bay	id=g:5143105
Wallabout Channel	id=g:5143106
Wallace	id=g:5143107
Wallace Building	id=g:5143108
Wallace Mountain	id=g:5143109
Wallace Pond	id=g:5143110
Wallbridge Airport	id=g:5143111
Wallface Mountain	id=g:5143112
Wallface Ponds	id=g:5143113
Wallington	id=g:5143114
Wallins Corners	id=g:5143115
Wallkill	id=g:5143116
Wallkill Camp	id=g:5143117
Wallkill Cemetery	id=g:5143118
Wallkill River	id=g:5143119
Walker Hill	id=g:5143120
Wallkill State Prison	id=g:5143121
Wallkill Valley	id=g:5143122
Wallkill School Number 18	id=g:5143123
Town of Wallkill	id=g:5143124
Walloomsac	id=g:5143125
Walloomsac River	id=g:5143126
Wallkill Valley Cemetery	id=g:5143127
Walls Airport	id=g:5143128
Walmore	id=g:5143129
Walnut Avenue Bus Depot	id=g:5143130
Walnut Creek	id=g:5143131
Walls African Methodist Episcopal Zion Church	id=g:5143132
Walnut Hill	id=g:5143133
Walnut Mountain	id=g:5143134
Walnut Neck	id=g:5143135
Walnut Point	id=g:5143136
Walnut Ridge	id=g:5143137
Walnut Street School	id=g:5143138
Walradt Street School	id=g:5143139
Walrath Cemetery	id=g:5143140
Walrath Cemetery	id=g:5143141
Walruth Cemetery	id=g:5143142
Walsh Hall	id=g:5143143
Walt Disney School	id=g:5143144
Walt Whitman Birthplace	id=g:5143145
Walt Whitman High School	id=g:5143146
Walt Whitman School	id=g:5143147
Walter Coon Brook	id=g:5143148
Walnut Grove Cemetery	id=g:5143149
Walter Edwards Grady United States Post Office Building	id=g:5143150
Walter F Pratt Memorial Forest	id=g:5143151
Walter Panas High School	id=g:5143152
Walter Reade Theater	id=g:5143153
Waltermire School	id=g:5143154
John G Dinkelmeyer School	id=g:5143155
Walton	id=g:5143156
Walton Airport	id=g:5143157
Walton Basin	id=g:5143158
Walton Brook	id=g:5143159
Walter Island	id=g:5143160
Walton Cemetery	id=g:5143161
Walton High School (historical)	id=g:5143162
Walton Hill	id=g:5143163
Walton Lake	id=g:5143164
Monroe Day School	id=g:5143165
Walton Mountain	id=g:5143166
Walton Mountain	id=g:5143167
Walton Park	id=g:5143168
Walton Point	id=g:5143169
Lake Walton	id=g:5143170
Town of Walton	id=g:5143171
Waltonian Island	id=g:5143172
Walts School	id=g:5143173
Walworth	id=g:5143174
Walworth Cemetery	id=g:5143175
Walworth Center Cemetery	id=g:5143176
Walworth Station	id=g:5143177
Town of Walworth	id=g:5143178
Wampecack Creek	id=g:5143179
Walton Cemetery	id=g:5143180
Wampus Avenue School	id=g:5143181
Wampus Brook Park	id=g:5143182
Wampus Lake County Park	id=g:5143183
Wampus Lake Reservoir	id=g:5143184
Wampus River	id=g:5143185
Wampsville	id=g:5143186
Wanakah Country Club	id=g:5143187
Wanakena	id=g:5143188
Wanaksink Lake	id=g:5143189
Wandervogel Gliderport	id=g:5143190
Waneta Lake	id=g:5143191
Waneta Lake	id=g:5143192
Waneta Lake Chapel	id=g:5143193
Wango	id=g:5143194
Wanika Falls	id=g:5143195
Lake Wanoksink	id=g:5143196
Wansers Island	id=g:5143197
Wantagh	id=g:5143198
Wantagh Cemetery	id=g:5143199
Wantagh High School	id=g:5143200
Wantagh County Park	id=g:5143201
Wantagh Pond	id=g:5143202
Wantagh School	id=g:5143203
Wanton Island	id=g:5143204
Wantry Island	id=g:5143205
Wappasening Creek	id=g:5143206
Wappinger Creek	id=g:5143207
Wanakah	id=g:5143208
Wappinger New Elementary School	id=g:5143209
Town of Wappinger	id=g:5143210
Wappingers Falls	id=g:5143211
War Memorial Stadium (historical)	id=g:5143212
War Veterans Park	id=g:5143213
War of 1812 Cemetery	id=g:5143214
Warackamac Lake	id=g:5143215
Ward 1 School	id=g:5143216
Ward Brook	id=g:5143217
Wappinger Lake	id=g:5143218
Ward Hill	id=g:5143219
Ward Hill	id=g:5143220
Ward Hollow	id=g:5143221
Ward Cemetery	id=g:5143222
Ward Island	id=g:5143223
Ward Marsh	id=g:5143224
Ward Point	id=g:5143225
Ward Point Bend	id=g:5143226
Ward Point Bend	id=g:5143227
Ward Point Secondary Channel	id=g:5143228
Ward Pond	id=g:5143229
Ward Pond	id=g:5143230
Ward Pound Ridge Reservation	id=g:5143231
Town of Ward	id=g:5143232
Warden Pond	id=g:5143233
Wards Brook	id=g:5143234
Wards Corners	id=g:5143235
Wards Corners	id=g:5143236
Wards Hill	id=g:5143237
Wards Island	id=g:5143238
Wards Island Park	id=g:5143239
Wards Point	id=g:5143240
Wardsboro Cemetery	id=g:5143241
Wardwell	id=g:5143242
Warm Brook	id=g:5143243
Ward House	id=g:5143244
Warn Lake	id=g:5143245
Warner Bay	id=g:5143246
Warner Bay	id=g:5143247
Warner Brook	id=g:5143248
Warm Brook Flow	id=g:5143249
Warner Creek	id=g:5143250
Warner Creek	id=g:5143251
Warner Corners	id=g:5143252
Warner Hollow	id=g:5143253
Warner Hill	id=g:5143254
Warner Lake	id=g:5143255
Warner Lake	id=g:5143256
Warner Library	id=g:5143257
Warner Pond	id=g:5143258
Warners	id=g:5143259
Warnerville	id=g:5143260
Warnerville Hill	id=g:5143261
Warren	id=g:5143262
Warren	id=g:5143263
Warren Cemetery	id=g:5143264
Warren Cemetery	id=g:5143265
Warren Cemetery	id=g:5143266
Warren Cemetery	id=g:5143267
Warren County	id=g:5143268
Warren County Airport	id=g:5143269
Warren Harding School	id=g:5143270
Warren Point	id=g:5143271
Warren Pond	id=g:5143272
Warren Street Elementary School	id=g:5143273
Warren Swamp	id=g:5143274
Mount Warren	id=g:5143275
Town of Warren	id=g:5143276
Warrens Corners	id=g:5143277
Warrens Pond	id=g:5143278
Warrensburg	id=g:5143279
Town of Warrensburg	id=g:5143280
Warring Magnet Academy of Science and Technology	id=g:5143281
Warsaw	id=g:5143282
Warsaw Cemetery	id=g:5143283
Town of Warsaw	id=g:5143284
Warwick	id=g:5143285
Warwick Brook	id=g:5143286
Warner Islands	id=g:5143287
Warwick Mountain	id=g:5143288
Warwick Municipal Airport	id=g:5143289
Warwick Reservoir	id=g:5143290
Warwick Valley High School	id=g:5143291
Town of Warwick	id=g:5143292
Washbourn Brook	id=g:5143293
Warwick Cemetery	id=g:5143294
Washburn Cemetery	id=g:5143295
Washburn Corners	id=g:5143296
Washburn Dock	id=g:5143297
Washburn Mountain	id=g:5143298
Washburn Ridge	id=g:5143299
Washington Avenue Park	id=g:5143300
Washington Avenue Elementary School	id=g:5143301
Washington Cemetery	id=g:5143302
Washington County	id=g:5143303
Washington Drive School	id=g:5143304
Washington Engine Company Number 2	id=g:5143305
Washington Headquarters Monument	id=g:5143306
Washington Heights	id=g:5143307
Washington Heights	id=g:5143308
Washington Hollow	id=g:5143309
Washington Hook and Ladder Company Number 2	id=g:5143310
Washington Hunt School	id=g:5143311
Washington Irving Boat Club	id=g:5143312
Washington Irving Intermediate School	id=g:5143313
Washington Irving Educational Center	id=g:5143314
Washington Irving School	id=g:5143315
Washington Irving School	id=g:5143316
Washington Island	id=g:5143317
Washington Junior High School	id=g:5143318
Washington Junior High School	id=g:5143319
Washington Lake	id=g:5143320
Washington Market Park	id=g:5143321
Washington Memorial Park	id=g:5143322
Washington Mills	id=g:5143323
Washington Park	id=g:5143324
Washington Park	id=g:5143325
Washington School	id=g:5143326
Washington School	id=g:5143327
Washington School (historical)	id=g:5143328
Washington School	id=g:5143329
Washington School	id=g:5143330
Washington School	id=g:5143331
Washington School (historical)	id=g:5143332
Washington School	id=g:5143333
Washington School	id=g:5143334
Washington School	id=g:5143335
Washington School	id=g:5143336
Washington Shoal	id=g:5143337
Washington Square Park	id=g:5143338
Washington Street School	id=g:5143339
Washington Street School	id=g:5143340
Mount Washington	id=g:5143341
Town of Washington	id=g:5143342
Washington-Rose Elementary School	id=g:5143343
Washingtonville	id=g:5143344
Washington School (historical)	id=g:5143345
Washout Creek	id=g:5143346
Washbowl	id=g:5143347
Wassaic Creek	id=g:5143348
Wassaic	id=g:5143349
Watauga Falls	id=g:5143350
Watch Hill	id=g:5143351
Watch Island	id=g:5143352
Watch Island	id=g:5143353
Watch Island	id=g:5143354
Watch Island	id=g:5143355
Watch Island	id=g:5143356
Watch Island	id=g:5143357
Watch Point	id=g:5143358
Watch Point	id=g:5143359
Watch Rock	id=g:5143360
Watchogue Creek	id=g:5143361
Wassaic State School	id=g:5143362
Water Island	id=g:5143363
Water Mill	id=g:5143364
Water Mill Beach Club	id=g:5143365
Water Valley	id=g:5143366
Waterburg	id=g:5143367
Waterbury Cemetery	id=g:5143368
Waterbury Hill	id=g:5143369
Waterford	id=g:5143370
Waterford Rural Cemetery	id=g:5143371
Town of Waterford	id=g:5143372
Waterfront Floating Helistop	id=g:5143373
Waterfront Park	id=g:5143374
Waterhouse Creek	id=g:5143375
Water Barrel Mountain	id=g:5143376
Waterloo Mills	id=g:5143377
Town of Waterloo	id=g:5143378
Waterman Brook	id=g:5143379
Waterloo	id=g:5143380
Waterman Hill	id=g:5143381
Waterman Peak	id=g:5143382
Waterman School (historical)	id=g:5143383
Waterman Swamp	id=g:5143384
Watermelon Hill	id=g:5143385
Watermill	id=g:5143386
Watermill Beach	id=g:5143387
Waterport	id=g:5143388
Waterport Pond	id=g:5143389
Waterport Station	id=g:5143390
Waters Cemetery	id=g:5143391
Waters Chapel	id=g:5143392
Waters Millpond	id=g:5143393
Watersnake Creek	id=g:5143394
Waterman Corner	id=g:5143395
Watertown	id=g:5143396
Watertown Center	id=g:5143397
Watertown Golf Club	id=g:5143398
Watertown International Airport	id=g:5143399
City of Watertown	id=g:5143400
Town of Watertown	id=g:5143401
Watervale	id=g:5143402
Waterville	id=g:5143403
Waterville	id=g:5143404
Waterville	id=g:5143405
Waterville	id=g:5143406
Watervliet Fish and Game Club	id=g:5143407
Watervliet Reservoir	id=g:5143408
City of Watervliet	id=g:5143409
Watkins Glen	id=g:5143410
Waterson Point Park	id=g:5143411
Watkins Glen State Park	id=g:5143412
Watkins Glen Station	id=g:5143413
Watkins Glen Yacht Club	id=g:5143414
Watkins Hill	id=g:5143415
Watrous Hill	id=g:5143416
Watson	id=g:5143417
Watson Brook	id=g:5143418
Watkins Glen	id=g:5143419
Watson Creek	id=g:5143420
Watson Hill	id=g:5143421
Watson Hollow	id=g:5143422
Watson Elementary School	id=g:5143423
Watson Williams Park	id=g:5143424
Town of Watson	id=g:5143425
Watsons Point	id=g:5143426
Watsonville	id=g:5143427
Wattlesburg	id=g:5143428
Watts Flats	id=g:5143429
Watts Home	id=g:5143430
Wautoma Beach	id=g:5143431
Wautoma Shoals	id=g:5143432
Wauwinel Island	id=g:5143433
Wave Crest	id=g:5143434
Waverly	id=g:5143435
Waverly	id=g:5143436
Waverly Cemetery	id=g:5143437
Waverly Park Elementary School	id=g:5143438
Waverly Reservoirs	id=g:5143439
Waverly School	id=g:5143440
Town of Waverly	id=g:5143441
Wawaka Lake	id=g:5143442
Wawarsing	id=g:5143443
Town of Wawarsing	id=g:5143444
Wawayanda Channel	id=g:5143445
Town of Wawayanda	id=g:5143446
Wawbeek	id=g:5143447
Waxwing Airport	id=g:5143448
Town of Wayland	id=g:5143449
Wayman Branch	id=g:5143450
Watson Elementary School	id=g:5143451
Wayne	id=g:5143452
Wayne Center	id=g:5143453
Wayne Senior High School	id=g:5143454
Wayne County	id=g:5143455
Wayne Four Corners	id=g:5143456
Town of Wayne	id=g:5143457
Wayneport	id=g:5143458
Ways Reef	id=g:5143459
Wayside Cemetery	id=g:5143460
Wayside Elementary School	id=g:5143461
Wayville	id=g:5143462
We-Wah Lake	id=g:5143463
Weatherby Pond	id=g:5143464
Weatherhead Creek	id=g:5143465
Wayman Hill	id=g:5143466
Weaver Cemetery	id=g:5143467
Weaver Corner	id=g:5143468
Weaver Hill	id=g:5143469
Weaver Hollow	id=g:5143470
Weatherwax Cemetery	id=g:5143471
Weaver Hollow	id=g:5143472
Weaver Lake	id=g:5143473
Webatuck	id=g:5143474
Webatuck Creek	id=g:5143475
Weaver Settlement Cemetery	id=g:5143476
Webb Corners	id=g:5143477
Webb Creek	id=g:5143478
Webb Cemetery	id=g:5143479
Webb Hollow	id=g:5143480
Webb Hill	id=g:5143481
Webb Hollow	id=g:5143482
Webb Institute of Naval Architecture	id=g:5143483
Webb Mills	id=g:5143484
Webb Mountain	id=g:5143485
Webb Royce Swamp	id=g:5143486
Town of Webb	id=g:5143487
Webber Cemetery	id=g:5143488
Webbers Swamp	id=g:5143489
Webbs Crossing	id=g:5143490
Weber Cemetery	id=g:5143491
Weber Corners	id=g:5143492
Carrie Palmer Weber Middle School	id=g:5143493
Webers Cove	id=g:5143494
Webster	id=g:5143495
Webster Brook	id=g:5143496
Webb Junior High School	id=g:5143497
Webster Hill	id=g:5143498
Webster Junior High School	id=g:5143499
Webster Park	id=g:5143500
Webster Point	id=g:5143501
Webster Pond	id=g:5143502
Webster Pond	id=g:5143503
Webster Road Cemetery	id=g:5143504
Webster Rural Cemetery	id=g:5143505
Webster School	id=g:5143506
Webster Station	id=g:5143507
Webster Street Cemetery	id=g:5143508
Town of Webster	id=g:5143509
Websters Corners	id=g:5143510
Websters Crossing	id=g:5143511
Wedderspoon Hollow	id=g:5143512
Webster Corners	id=g:5143513
Wedge Brook	id=g:5143514
Wedgewood	id=g:5143515
Weed Brook	id=g:5143516
Wedgeworth Point	id=g:5143517
Weeds Bay	id=g:5143518
Weeds Brook	id=g:5143519
Weed Mines	id=g:5143520
Weedsport Canal Terminal	id=g:5143521
Weedsport Reservoir	id=g:5143522
Weedsport Rural Cemetery	id=g:5143523
Weekes Cemetery	id=g:5143524
Weekes Corner	id=g:5143525
Weeks Brook	id=g:5143526
Weedsport	id=g:5143527
Weeks Point	id=g:5143528
Weeks Pond	id=g:5143529
Weeks Road School	id=g:5143530
Weeks School	id=g:5143531
Weesuck Creek	id=g:5143532
Weeks Point	id=g:5143533
Wegley Mountain	id=g:5143534
Weigelt Pond	id=g:5143535
Weill Medical College and Graduate School of Medical Sciences	id=g:5143536
Wegatchie	id=g:5143537
Weise Pond	id=g:5143538
Weiss Airfield	id=g:5143539
Welch Brook	id=g:5143540
Weir Creek	id=g:5143541
Welch Cemetery	id=g:5143542
Welch Church	id=g:5143543
Welch Corners	id=g:5143544
Welch Corners	id=g:5143545
Welch Creek	id=g:5143546
Welch Camp	id=g:5143547
Welch Hill	id=g:5143548
Welch Hill	id=g:5143549
Welch Hill	id=g:5143550
Welch Hollow Cemetery	id=g:5143551
Welch Vly	id=g:5143552
Welcome	id=g:5143553
Welcome Cemetery	id=g:5143554
Welcome Island	id=g:5143555
Weld Park	id=g:5143556
Welfare Island	id=g:5143557
Well Cemetery	id=g:5143558
Weller Mountain	id=g:5143559
Weller Pond	id=g:5143560
