Astakhnovo	id=g:7080483
Rzhovino	id=g:7093600
Krasnoivanovo	id=g:7093601
Strelkovo	id=g:7093602
Boloto Podsadskoye	id=g:7093603
Ozero Podsadskoye	id=g:7093604
Ozero Pugovka	id=g:7093605
Ozero Beloye	id=g:7093606
Danilkino	id=g:7093607
Dymovo	id=g:7093608
Dyatlovo	id=g:7093609
Plechevo	id=g:7093610
Cheresok	id=g:7093611
Lukino	id=g:7093612
Cherez-Mezhnik	id=g:7093613
Novaya Niva	id=g:7093614
Urochishche Mukhino	id=g:7093615
Krutets	id=g:7093616
Peshchivitsy	id=g:7093617
Kartoshino	id=g:7093618
Nevlya	id=g:7093619
Bekleshovo	id=g:7093620
Levosha	id=g:7093621
Devonisovo	id=g:7093622
Usharnëvo	id=g:7093623
Pustoshka	id=g:7093624
Pozolotino	id=g:7093625
Krotovo	id=g:7093626
Sakirino	id=g:7093627
Borok	id=g:7093628
Zhelavlino	id=g:7093629
Osinovichi	id=g:7093630
Zhukovo	id=g:7093631
Urochishche Lyuboshikha	id=g:7093632
Osnyugi	id=g:7093633
Gudovo	id=g:7093634
Boloto Panëva Chist’	id=g:7093635
Boloto Gubinskoye	id=g:7093636
Boloto Ozerki	id=g:7093637
Boloto Molkovskoye	id=g:7093638
Azhovo	id=g:7093639
Ozero Bol’shoye	id=g:7093640
Shchetilovo	id=g:7093641
Zamosh’ye	id=g:7093642
Rozhanka	id=g:7093643
Urochishche Navolok	id=g:7093644
Urochishche Kuznetsovo	id=g:7093645
Yudino	id=g:7093646
Astratovo	id=g:7093647
Kachanovo	id=g:7093648
Anitkino	id=g:7093649
Pylyai	id=g:7093650
Bakharëvo	id=g:7093651
Glotovo	id=g:7093652
Streletskoye	id=g:7093653
Zalozheny	id=g:7093654
Gusakovo	id=g:7093655
Telegino	id=g:7093656
Ulaskovo	id=g:7093657
Zhitnitsa	id=g:7093658
Maslovo	id=g:7093659
Kozhino	id=g:7093660
Mishkovo	id=g:7093661
Shalai	id=g:7093662
Mokhnovo	id=g:7093663
Isaino	id=g:7093664
Isainka	id=g:7093665
Kononovo	id=g:7093666
Khokhly	id=g:7093667
Kozino	id=g:7093668
Ogurtsy	id=g:7093669
Ozero Chërnoye	id=g:7093670
Naumki	id=g:7093671
Usadishche	id=g:7093672
Bogdashi	id=g:7093673
Dobychi	id=g:7093674
Ushaki	id=g:7093675
Shadritsa	id=g:7093676
Samokhvalovo	id=g:7093677
Kryukovo	id=g:7093678
Sopry	id=g:7093679
Pleshanovo	id=g:7093680
Berezino	id=g:7093681
Baranovo	id=g:7093682
Poroshino	id=g:7093683
Peski	id=g:7093684
Filatkovo	id=g:7093685
Yevstifeni	id=g:7093686
Vandyshi	id=g:7093687
Starobogana	id=g:7093688
Akhlupy	id=g:7093689
Dekshari	id=g:7093690
Safoshnikovo	id=g:7093691
Bol’shoye Pletnëvo	id=g:7093692
Maloye Pletnëvo	id=g:7093693
Podgorni	id=g:7093694
Mikhali	id=g:7093695
Ostashi	id=g:7093696
Plugi	id=g:7093697
Trubitsyno	id=g:7093698
Raikhino	id=g:7093699
Vanyutino	id=g:7093700
Nebogi	id=g:7093701
Khashki	id=g:7093702
Vorony	id=g:7093703
Borodino	id=g:7093704
Yerilovo	id=g:7093705
Trotshi	id=g:7093706
Shkarino	id=g:7093707
Shchegolitsy	id=g:7093708
Nosovo	id=g:7093709
Lyubashikha	id=g:7093710
Koromyslovo	id=g:7093711
Bat’kovo	id=g:7093712
Makarovo	id=g:7093713
Antonovo	id=g:7093714
Romanovo	id=g:7093715
Boloto Zhukovskiy Mokh	id=g:7093716
Usadishche	id=g:7093717
Dubrovka	id=g:7093718
Prigon	id=g:7093719
Krutikovo	id=g:7093720
Stadnik	id=g:7093721
Barashki	id=g:7093722
Urochishche Baranovo	id=g:7093723
Alekseyevka	id=g:7093724
Gnilishche	id=g:7093725
Smykalovo	id=g:7093726
Noviny	id=g:7093727
Urochishche Baranovo	id=g:7093728
Novaya	id=g:7093729
Ozero Chërnoye	id=g:7093730
Arestovo-Shevelëvo	id=g:7093731
Tikhvinskiy	id=g:7093732
Polyanka	id=g:7093733
Perovo	id=g:7093734
Bukino	id=g:7093735
Bolovino	id=g:7093736
Chelokhino	id=g:7093737
Korobovo	id=g:7093738
Martino	id=g:7093739
Stupino	id=g:7093740
Bragino	id=g:7093741
Pometkino	id=g:7093742
Rassamukhino	id=g:7093743
Povarino	id=g:7093744
Boloto Podzornovskoye	id=g:7093745
Ozero Khan’kino	id=g:7093746
Zhereb’i	id=g:7093747
Ol’khi	id=g:7093748
Ovseyevo	id=g:7093749
Podos’ye	id=g:7093750
Zimari	id=g:7093751
Belovo	id=g:7093752
Tarakanovo	id=g:7093753
Pogorelka	id=g:7093754
Podberëzkino	id=g:7093755
Gorelaya Roshcha	id=g:7093756
Khomutinino	id=g:7093757
Kalinino	id=g:7093758
Tishino	id=g:7093759
Urochishche Luzhki	id=g:7093760
Glazuny	id=g:7093761
Ivakhino	id=g:7093762
Kolomnitsa	id=g:7093763
Gnidino	id=g:7093764
Purichino	id=g:7093765
Kolchino	id=g:7093766
Vanino	id=g:7093767
Baslaki	id=g:7093768
Ruch’i	id=g:7093769
Latyshëvo	id=g:7093770
Medvedevo	id=g:7093771
Vorob’i	id=g:7093772
Urochishche Lashunino	id=g:7093773
Rovdino	id=g:7093774
Urochishche Shubikhinskoye Boloto	id=g:7093775
Divanisy	id=g:7093776
Ryzhnovo	id=g:7093777
Rokotovo	id=g:7093778
Kupryashikhino	id=g:7093779
Kryazhevskiy Bor	id=g:7093780
Mochalovo	id=g:7093781
Trushki	id=g:7093782
Volochno	id=g:7093783
Rudaki	id=g:7093784
Tonkovidovo	id=g:7093785
Larino	id=g:7093786
Ragozino	id=g:7093787
Rubilovo	id=g:7093788
Repinka	id=g:7093789
Markovo	id=g:7093790
Gorka	id=g:7093791
Stantsiya Ostrov	id=g:7093792
Vyazovenka	id=g:7093793
Olovyashkino	id=g:7093794
Karpovo	id=g:7093795
Molinkino	id=g:7093796
Volkovo	id=g:7093797
Breni	id=g:7093798
Ulasovo	id=g:7093799
Plodopitomnik	id=g:7093800
Nefedino	id=g:7093801
Ozerovo	id=g:7093802
Ulekha	id=g:7093803
Skomorokhovo	id=g:7093804
Shatunovo	id=g:7093805
Mitino	id=g:7093806
Bobrovnya	id=g:7093807
Kokotovo	id=g:7093808
Usadishche	id=g:7093809
Shashki	id=g:7093810
Motovilovo	id=g:7093811
Protas’yevo	id=g:7093812
Sorokino	id=g:7093813
Sosnitsy	id=g:7093814
Ovechkino	id=g:7093815
Kapraly	id=g:7093816
Nastasino	id=g:7093817
Boloto Kapralovskoye	id=g:7093818
Yagupy	id=g:7093819
Kamenka	id=g:7093820
Lapskoye	id=g:7093821
Belyai	id=g:7093822
Minkino	id=g:7093823
Shiryayevo	id=g:7093824
Konoshkovo	id=g:7093825
Urochishche Morozovo	id=g:7093826
Rudenka	id=g:7093827
Lizenka	id=g:7093828
Urochishche Ol’khi	id=g:7093829
Lugovskoye	id=g:7093830
Kirillovskoye	id=g:7093831
Zekhnovo	id=g:7093832
Tyurevo	id=g:7093833
Naumovo	id=g:7093834
Domakhino	id=g:7093835
Gora Gorodishche	id=g:7093836
Feleshovo	id=g:7093837
Yermokhnovo	id=g:7093838
Vishnyaki	id=g:7093839
Moskvitsy	id=g:7093840
Istomino	id=g:7093841
Tarasovo	id=g:7093842
Shmoyly	id=g:7093843
Smekhino	id=g:7093844
Pavlovo	id=g:7093845
Ryadobzha	id=g:7093846
Glushni	id=g:7093847
Troshikhino	id=g:7093848
Retskiye	id=g:7093849
Petrukhny	id=g:7093850
Sidorovskiye	id=g:7093851
Porozy	id=g:7093852
Troitskiye	id=g:7093853
Zhuki	id=g:7093854
Kreshevo	id=g:7093855
Maksimkovo	id=g:7093856
Shilovo	id=g:7093857
Ikrovo	id=g:7093858
Pokaty	id=g:7093859
Kirillovo	id=g:7093860
Burdino	id=g:7093861
Fomochkino	id=g:7093862
Poddubno	id=g:7093863
Tikhonyaty	id=g:7093864
Gribali	id=g:7093865
Gryzavino Vtoroye	id=g:7093866
Zadorozh’ye	id=g:7093867
Shenikhovo	id=g:7093868
Malinovka	id=g:7093869
Markovo	id=g:7093870
Zaykovo	id=g:7093871
Maloye Zuyevtso	id=g:7093872
Bel’kovo	id=g:7093873
Bol’shoye Zuyevo	id=g:7093874
Pod”yablon’ka	id=g:7093875
Andronovo	id=g:7093876
Krasnaya Gorka	id=g:7093877
Shipulinka	id=g:7093878
Pogorelka	id=g:7093879
Khoroshaya	id=g:7093880
Ozero Moshno	id=g:7093881
Klyuyevo	id=g:7093882
Volki	id=g:7093883
Chernichino	id=g:7093884
Anury	id=g:7093885
Belyay	id=g:7093886
Podmogil’ye	id=g:7093887
Rovnoye	id=g:7093888
Shurnovo	id=g:7093889
Shchekatovo	id=g:7093890
Mikhny	id=g:7093891
Buraki	id=g:7093892
Podvyaz’ye	id=g:7093893
Anashkino	id=g:7093894
Gubino	id=g:7093895
Ryabiki	id=g:7093896
Ferkovo	id=g:7093897
Smeshovo	id=g:7093898
Melenka	id=g:7093899
Ozero Borovenskoye	id=g:7093900
Tropkino	id=g:7093901
Makushi	id=g:7093902
Slepni	id=g:7093903
Podborov’ye	id=g:7093904
Sloboda	id=g:7093905
Priozërnaya	id=g:7093906
Borovno	id=g:7093907
Shevarovo	id=g:7093908
Tupitsy	id=g:7093909
Ovsyankino	id=g:7093910
Tetërino	id=g:7093911
Yamishche	id=g:7093912
Boldino	id=g:7093913
Novaya Derevnya	id=g:7093914
Petrikovo	id=g:7093915
Ozhechkino	id=g:7093916
Zaslyuzh’ye	id=g:7093917
Anashino	id=g:7093918
Tolstikovo	id=g:7093919
Rudaki	id=g:7093920
Berëzovka	id=g:7093921
Pepel’nikovo	id=g:7093922
Boloto Lukhnovo	id=g:7093923
Gadovo	id=g:7093924
Sazhenovo	id=g:7093925
Myalichino	id=g:7093926
Yushkovo	id=g:7093927
Gordeyevo	id=g:7093928
Zabolot’ye	id=g:7093929
Pushkovo	id=g:7093930
Frolevo	id=g:7093931
Polyaki	id=g:7093932
Man’kovo	id=g:7093933
Myza	id=g:7093934
Shishelovo	id=g:7093935
Sveklino	id=g:7093936
Novoye Veret’ye	id=g:7093937
Beredniki	id=g:7093938
Veret’ye	id=g:7093939
Ivakhnovo	id=g:7093940
Zan’kovo	id=g:7093941
Smolenka	id=g:7093942
Gorokhovoye Ozero	id=g:7093943
Zhelavkino	id=g:7093944
Rebenyaty	id=g:7093945
Lyabzy	id=g:7093946
Matyugino	id=g:7093947
Sinyaki	id=g:7093948
Dvornyashi	id=g:7093949
Bobyli	id=g:7093950
Kiseli	id=g:7093951
Serdekhnovo	id=g:7093952
Urochishche Rusankovo	id=g:7093953
Varvarino	id=g:7093954
Puzyrkino	id=g:7093955
Yastreby	id=g:7093956
Bolvany	id=g:7093957
Poshchupino	id=g:7093958
Potashi Pervyye	id=g:7093959
Zobki	id=g:7093960
Potashi Vtoryye	id=g:7093961
Pimakhi	id=g:7093962
Kozly	id=g:7093963
Chernokuny	id=g:7093964
Boloboly	id=g:7093965
Linino	id=g:7093966
Panëvo	id=g:7093967
Nedoseki	id=g:7093968
Pal’tsevo	id=g:7093969
Frolenki	id=g:7093970
Popovo	id=g:7093971
Tolkovo	id=g:7093972
Markovo	id=g:7093973
Zoby	id=g:7093974
Kosygino	id=g:7093975
Zanok	id=g:7093976
Terëkhi	id=g:7093977
Blanty	id=g:7093978
Borovskiye	id=g:7093979
Zemtsy	id=g:7093980
Sapulino	id=g:7093981
Cherepyagino	id=g:7093982
Nikulino	id=g:7093983
Stupino	id=g:7093984
Gnilki	id=g:7093985
Missiri	id=g:7093986
Tatishchevo	id=g:7093987
Rublëvo	id=g:7093988
Zhavoronkovo	id=g:7093989
Stebnya	id=g:7093990
Yakimikha	id=g:7093991
Khmelëvo	id=g:7093992
Urochishche Sigorino	id=g:7093993
Kuzhayevo	id=g:7093994
Gorshki	id=g:7093995
Romanovo	id=g:7093996
Zubovo	id=g:7093997
Maklaki	id=g:7093998
Lavrovo	id=g:7093999
Ogurtsovo	id=g:7094000
Konëvo	id=g:7094001
Steshutino	id=g:7094002
Smekhnovo	id=g:7094003
Mokritsa	id=g:7094004
Obruby	id=g:7094005
Proshchenki	id=g:7094006
Bliny	id=g:7094007
Ust’ye	id=g:7094008
Darvino	id=g:7094009
Urochishche Biryuli	id=g:7094010
Urochishche Skroby	id=g:7094011
Bezmalikha	id=g:7094012
Bol’shaya Yakimonka	id=g:7094013
Poddubno	id=g:7094014
Simagi	id=g:7094015
Urochishche Vysotskaya	id=g:7094016
Myasovo	id=g:7094017
Gorushka	id=g:7094018
Sergino	id=g:7094019
Ozero Sadovoye	id=g:7094020
Urochishche Koromyslovo	id=g:7094021
Kopylovo	id=g:7094022
Slepni	id=g:7094023
Chui	id=g:7094024
Boloto Bol’shoy Mokh	id=g:7094025
Kustovo	id=g:7094026
Urochishche Marnëvo	id=g:7094027
Shamordinka	id=g:7094028
Maloye Priyezzhivo	id=g:7094029
Sachkovo	id=g:7094030
Snegiri	id=g:7094031
Piskuny	id=g:7094032
Rogovo	id=g:7094033
Yelagino	id=g:7094034
Kuz’mino	id=g:7094035
Yurshino	id=g:7094036
Makhnovo	id=g:7094037
Besputino	id=g:7094038
Pashkovo	id=g:7094039
Zaborov’ye	id=g:7094040
Pentekhi	id=g:7094041
Yakushi	id=g:7094042
Melekhi	id=g:7094043
Tryapino	id=g:7094044
Sharapovo	id=g:7094045
Ozero Verbenka	id=g:7094046
Usovo	id=g:7094047
Kriulino	id=g:7094048
Shmyki	id=g:7094049
Antushi	id=g:7094050
An-Guba	id=g:7094051
Pokrovskoye	id=g:7094052
Borzovo	id=g:7094053
Krekhovo	id=g:7094054
Gol’nevo	id=g:7094055
Ostanovochnyy Punkt Gol’tsevo	id=g:7094056
Skreblëvo	id=g:7094057
Sholdino	id=g:7094058
Meyshi	id=g:7094059
Kiseli	id=g:7094060
Puporevo	id=g:7094061
Men’shikovo	id=g:7094062
Urochishche Finogei	id=g:7094063
Tupitsino	id=g:7094064
Karplevo	id=g:7094065
Staroye Karplevo	id=g:7094066
Dul’by	id=g:7094067
Pelega	id=g:7094068
Starina	id=g:7094069
Kocherevo	id=g:7094070
Bogoroditskiye	id=g:7094071
Pavlovo	id=g:7094072
Yelagino	id=g:7094073
Sanino	id=g:7094074
Yushkovo	id=g:7094075
Kozhino	id=g:7094076
Kolotily	id=g:7094077
Yurino	id=g:7094078
Tereshonki	id=g:7094079
Peskovo	id=g:7094080
Semekhino	id=g:7094081
Bryukashi	id=g:7094082
Apan’kino	id=g:7094083
Perevoz	id=g:7094084
Anisimovo	id=g:7094085
Kakhnovo	id=g:7094086
Boroskovo	id=g:7094087
Kaynovo	id=g:7094088
Ivanovo	id=g:7094089
Lytkino	id=g:7094090
Sterzhnevo	id=g:7094091
Mel’nitsa	id=g:7094092
Gunino	id=g:7094093
Matrukhnovo	id=g:7094094
Gorbunovo	id=g:7094095
Pridantsy	id=g:7094096
Lebedevo	id=g:7094097
Grikhnovo	id=g:7094098
Kalikhovo	id=g:7094099
Podmoshënka	id=g:7094100
Romonyaty	id=g:7094101
Mar’ino	id=g:7094102
Bereznitsa	id=g:7094103
Sopronovo	id=g:7094104
Bol’shoye Priyezzhivo	id=g:7094105
Kreni	id=g:7094106
Polozy	id=g:7094107
Grishmany	id=g:7094108
Kozly	id=g:7094109
Urochishche Kostygi	id=g:7094110
Demekhi	id=g:7094111
Pekhovo	id=g:7094112
Kamenka	id=g:7094113
Kazany	id=g:7094114
Sovkhoz Seredkinskiy	id=g:7094115
Bizyulino	id=g:7094116
Medvedkovo	id=g:7094117
Zhukovo	id=g:7094118
Luzhki	id=g:7094119
Urochishche Stanki	id=g:7094120
Vinokurovo	id=g:7094121
Mikhalëvo	id=g:7094122
Yutsy	id=g:7094123
Gosteny	id=g:7094124
Podory	id=g:7094125
Panyushino	id=g:7094126
Podvyazno	id=g:7094127
Grishmany	id=g:7094128
Nedoseki	id=g:7094129
Moiseyevo	id=g:7094130
Vorob’yëvo	id=g:7094131
Barsuki	id=g:7094132
Glukhovo	id=g:7094133
Rudino	id=g:7094134
Partizanskaya Gora	id=g:7094135
Pozhitovo	id=g:7094136
Gryazivets	id=g:7094137
Redkin	id=g:7094138
Martyushi	id=g:7094139
Ul’yanenki	id=g:7094140
Lozovka	id=g:7094141
Shubki	id=g:7094142
Bogovo	id=g:7094143
Selivanovka	id=g:7094144
Kamennaya Izgorod’	id=g:7094145
Podbornoye	id=g:7094146
Rovnoye	id=g:7094147
Androkhnovo	id=g:7094148
Shcheglyn’	id=g:7094149
Dar’ino	id=g:7094150
Dar’ino	id=g:7094151
Stechki	id=g:7094152
Urochishche Sukhlovo	id=g:7094153
Bagali	id=g:7094154
Sapozhnikovo	id=g:7094155
Borki	id=g:7094156
Malinovo	id=g:7094157
Ogurtsovo	id=g:7094158
Borshchino	id=g:7094159
Ilovitsa	id=g:7094160
Astratovo	id=g:7094161
Bobyli	id=g:7094162
Patokino	id=g:7094163
Khilovo	id=g:7094164
Kustari	id=g:7094165
Kotovka	id=g:7094166
Kas’yany	id=g:7094167
Poverishchi	id=g:7094168
Khmylovo	id=g:7094169
Gorskoye	id=g:7094170
Mel’nitsa	id=g:7094171
Yurchane	id=g:7094172
Zheludovo	id=g:7094173
Vystavka	id=g:7094174
Dolgovo	id=g:7094175
Senovo	id=g:7094176
Popova Gora	id=g:7094177
Moshki	id=g:7094178
Nochenki	id=g:7094179
Zhavry	id=g:7094180
Strizhkovo	id=g:7094181
Pokuli	id=g:7094182
Borovkovo	id=g:7094183
Zhgutovo	id=g:7094184
Sipoli	id=g:7094185
Kurtashi	id=g:7094186
Ritupe	id=g:7094187
Fomkino	id=g:7094188
Kamennyy Bor	id=g:7094189
Dubnovo	id=g:7094190
Savkino	id=g:7094191
Pyshkovo Pervoye	id=g:7094192
Gurovo	id=g:7094193
Bor-Gudanovo	id=g:7094194
Mikhnovo	id=g:7094195
Pesochek	id=g:7094196
Popovnya	id=g:7094197
Nikulino	id=g:7094198
Nosovo	id=g:7094199
Opali	id=g:7094200
Balyshi	id=g:7094201
Belyai	id=g:7094202
Afromei	id=g:7094203
Simanovo	id=g:7094204
Nifaki	id=g:7094205
Smyki	id=g:7094206
Krenëvka	id=g:7094207
Usy	id=g:7094208
Kozhino	id=g:7094209
Slepni	id=g:7094210
Simoshkovo	id=g:7094211
Ashitkovo	id=g:7094212
Aluferovo	id=g:7094213
Slyzhino	id=g:7094214
Krenëvo	id=g:7094215
Chashki	id=g:7094216
Telichino	id=g:7094217
Manukhi	id=g:7094218
Koziny	id=g:7094219
Pany	id=g:7094220
Babiny	id=g:7094221
Vyli	id=g:7094222
Kurkino	id=g:7094223
Voronkovo	id=g:7094224
Podberez’ye	id=g:7094225
Tret’yaki	id=g:7094226
Yushino	id=g:7094227
Ilovka	id=g:7094228
Savino	id=g:7094229
Staraya Shkola	id=g:7094230
Astratovo	id=g:7094231
Myagly	id=g:7094232
Shifyayevo	id=g:7094233
Adamkovo	id=g:7094234
Krutsy	id=g:7094235
Rogatkino	id=g:7094236
Khlypino	id=g:7094237
Zamoshki	id=g:7094238
Gorushka	id=g:7094239
Zhelezovo	id=g:7094240
Konoshino	id=g:7094241
Kozlovo	id=g:7094242
Shcherbaki	id=g:7094243
Vadovo	id=g:7094244
Venyavino	id=g:7094245
Tetërino	id=g:7094246
Orlovo	id=g:7094247
Sovkhoz Grivskiy	id=g:7094248
Pezlovo	id=g:7094249
Zvanka	id=g:7094250
Bugrovo	id=g:7094251
Volosovo	id=g:7094252
Chelovo	id=g:7094253
Zorino	id=g:7094254
Zakharkino	id=g:7094255
Gubari	id=g:7094256
Zerkali	id=g:7094257
Zelënki	id=g:7094258
Recheno	id=g:7094259
Novozheny	id=g:7094260
Danilovo	id=g:7094261
Greshina Gora	id=g:7094262
Stekhny	id=g:7094263
Stantsiya Piragi	id=g:7094264
Klimovo	id=g:7094265
Lyavzino	id=g:7094266
Anyutkino	id=g:7094267
Vas’kino	id=g:7094268
Stashi	id=g:7094269
Volokhova Gora	id=g:7094270
Zavodi	id=g:7094271
Gilevo	id=g:7094272
Lipovitsy	id=g:7094273
Urochishche Sudoplatovo	id=g:7094274
Urochishche Gorshkovo	id=g:7094275
Zvanka	id=g:7094276
Boloto Ryabovskiy Mokh	id=g:7094277
Ryabovo	id=g:7094278
Vysokovo	id=g:7094279
Stodolovo	id=g:7094280
Morozovo	id=g:7094281
Vagali	id=g:7094282
Zhegovo	id=g:7094283
Sukmannaya	id=g:7094284
Lomki	id=g:7094285
Petrovo	id=g:7094286
Koromyslovo	id=g:7094287
Bliny	id=g:7094288
Detyatkovo	id=g:7094289
Torzhki	id=g:7094290
Khmelëvka	id=g:7094291
Melenka	id=g:7094292
Kamenka	id=g:7094293
Gorbuny	id=g:7094294
Salmanovo	id=g:7094295
Zuyevo	id=g:7094296
Golubovo	id=g:7094297
Redkovitsy	id=g:7094298
Vladykino	id=g:7094299
Lisitsy	id=g:7094300
Nazarovo	id=g:7094301
Rogovo	id=g:7094302
Pustokhnovo	id=g:7094303
Russkaya	id=g:7094304
Melenka	id=g:7094305
Zhuravki	id=g:7094306
Ovechkino	id=g:7094307
Chortova Gora	id=g:7094308
Zaborovo	id=g:7094309
Podoson’ye	id=g:7094310
Moshchino	id=g:7094311
Patyugi	id=g:7094312
Gorushka	id=g:7094313
Glazki	id=g:7094314
Ul’yashki	id=g:7094315
Vlazhi	id=g:7094316
Usad’ba-Muzey A. S. Pushkina	id=g:7094317
Fedorygino	id=g:7094318
Svinukhi	id=g:7094319
Bogomoly	id=g:7094320
Kozlyaki	id=g:7094321
Avdoshi	id=g:7094322
Kamenets	id=g:7094323
Kokorino	id=g:7094324
Park Trigorskoye	id=g:7094325
Sharobyki	id=g:7094326
Kalinkino	id=g:7094327
Pustyn’ki	id=g:7094328
Tarasovo	id=g:7094329
Novaya Berëzovka	id=g:7094330
Rubtsy	id=g:7094331
Mironikha	id=g:7094332
Alëkhnovo	id=g:7094333
Rubilovo	id=g:7094334
Perepechino	id=g:7094335
Moskachevo	id=g:7094336
Galichino	id=g:7094337
Zuyeva Gora	id=g:7094338
Kuznetsovka	id=g:7094339
Kuz’mikha	id=g:7094340
Poddubka	id=g:7094341
Turushino	id=g:7094342
Bol’shoye Kortovo	id=g:7094343
Maloye Korotovo	id=g:7094344
Suvorkino	id=g:7094345
Murovki	id=g:7094346
Moskalevo	id=g:7094347
Mokryshovo	id=g:7094348
Chepchury	id=g:7094349
Gamzino	id=g:7094350
Ludinka	id=g:7094351
Kakhnovo	id=g:7094352
Dyatlovo	id=g:7094353
Pavlikhino	id=g:7094354
Boroskovo	id=g:7094355
Pustoye Voskresen’ye	id=g:7094356
Khvorostovo	id=g:7094357
Pekhovo	id=g:7094358
Lobanovo	id=g:7094359
Ozero Pustoye	id=g:7094360
Batalovo	id=g:7094361
Osipki	id=g:7094362
Mishkovo	id=g:7094363
Rogovo	id=g:7094364
Tovarovo	id=g:7094365
Zhiguri	id=g:7094366
Zhul’tino	id=g:7094367
Sapokhnovo	id=g:7094368
Redkino	id=g:7094369
Kulakova Gora	id=g:7094370
Zagriv’ye	id=g:7094371
Bobyli	id=g:7094372
Ignashkovo	id=g:7094373
Krivtsovo	id=g:7094374
Belyayevka	id=g:7094375
Yekhnovo	id=g:7094376
Gorbatitsa	id=g:7094377
Svistukhino	id=g:7094378
Tushenka	id=g:7094379
Shkurly	id=g:7094380
Vyrpulevo	id=g:7094381
Borousy	id=g:7094382
Strady	id=g:7094383
Nikonchiki	id=g:7094384
Novyy Posëlok	id=g:7094385
Ozero Chërnoye	id=g:7094386
Demidovo	id=g:7094387
Uzely	id=g:7094388
Matveyenki	id=g:7094389
Mezhelovo	id=g:7094390
Olisovo	id=g:7094391
Kosovo	id=g:7094392
Skokovo	id=g:7094393
Kucheleyevo	id=g:7094394
Khabarovo	id=g:7094395
Glukhovo	id=g:7094396
Myshenkovo	id=g:7094397
Borisovo	id=g:7094398
Shlyadino	id=g:7094399
Bazikhino	id=g:7094400
Gorushka	id=g:7094401
Mel’nitsa	id=g:7094402
Vorsuli	id=g:7094403
Kislyakovo	id=g:7094404
Garay-Kuki	id=g:7094405
Yukhnovo	id=g:7094406
Repino	id=g:7094407
Bobry	id=g:7094408
Drantsy	id=g:7094409
Kryuki	id=g:7094410
Urochishche Kuritkovo	id=g:7094411
Gora Tetërino	id=g:7094412
Pupovo	id=g:7094413
Bolotnikovo	id=g:7094414
Yun’kino	id=g:7094415
Vorogushino	id=g:7094416
Dmitrovo	id=g:7094417
Goronchary	id=g:7094418
Kostino	id=g:7094419
Koshkino	id=g:7094420
Leshevo	id=g:7094421
Sheveli	id=g:7094422
Borovovo	id=g:7094423
Sorokino-Zhuki	id=g:7094424
Rechevitsy	id=g:7094425
Rakitno	id=g:7094426
Poddub’ye	id=g:7094427
Sterzhna	id=g:7094428
Kholmatka	id=g:7094429
Lunvozh	id=g:7094578
Rytyvvozh	id=g:7094579
Churs’	id=g:7094580
Stantsiya Al’mezh	id=g:7094581
Vostochnyy Al’mezh	id=g:7094582
Zapadnyy Al’mezh	id=g:7094583
Krasnaya	id=g:7094584
Urochishche Druzhba	id=g:7094585
Raz”yezd 22 km	id=g:7094586
Serebryanka	id=g:7094587
Boloto Ul’skoye	id=g:7094588
Malaya Mel’nitsa	id=g:7094589
Neyëlovo Vtoroye	id=g:7094590
Neyëlovo Pervoye	id=g:7094591
Podlip’ye Pervoye	id=g:7094592
Bubnëvo Vtoroye	id=g:7094593
Trubitsino	id=g:7094594
Ozero Kubitskoye	id=g:7094667
Boloto Chistoye	id=g:7094668
Lapin	id=g:7094669
Pustoshka	id=g:7094670
Gnilka	id=g:7094671
Khvoshchanka	id=g:7094672
Ugly	id=g:7094673
Khoronyatka	id=g:7094674
Chernyanka	id=g:7094675
Litovkino	id=g:7094676
Gorki	id=g:7094677
Korytenka	id=g:7094678
Dolmatovo	id=g:7094679
Ozero Somino	id=g:7094680
Mosolino	id=g:7094681
Orlovka	id=g:7094682
Zvezda	id=g:7094683
Novo-Semënovshchina	id=g:7094684
Yurshino	id=g:7094685
Zhernovka	id=g:7094686
Zhitno	id=g:7094687
Fishuki	id=g:7094688
Krasivitsy	id=g:7094689
Makushi	id=g:7094690
Vereynitsa	id=g:7094691
Krutik	id=g:7094692
Bazhonka	id=g:7094693
Boloto Beglovskoye	id=g:7094694
Vyderka	id=g:7094695
Selezen’	id=g:7094696
Raz”yezd Vyderki	id=g:7094697
Kopeynik	id=g:7094698
Yazvishchi	id=g:7094699
Urochishche Zhivushche	id=g:7094700
Kobyl’shchina	id=g:7094701
Apanitsy	id=g:7094702
Ozero Moiseyevskoye	id=g:7094703
Kotyata	id=g:7094704
Lyuteyka	id=g:7094705
Sosnitsy	id=g:7094706
Lipnyagi	id=g:7094707
Sukhonivochka	id=g:7094708
Upolozenka	id=g:7094709
Volodikha	id=g:7094710
Zabolot’ye	id=g:7094711
Boloto Gazhiy Mokh	id=g:7094712
Pozhaleyevo	id=g:7094713
Boloto Shchekochiy Mokh	id=g:7094714
Lyubimka	id=g:7094715
Sennoy	id=g:7094716
Pervyy Shchekochiy	id=g:7094717
Vtoroy Shchekochiy	id=g:7094718
Gorki	id=g:7094719
Lychkovskaya Gidroelektrostantsiya	id=g:7094720
Aleshonka	id=g:7094721
Il’ina Niva	id=g:7094722
Zlodari	id=g:7094723
Ozero Velikovskoye	id=g:7094724
Ozero Sosninskoye	id=g:7094725
Ozero Luzha	id=g:7094726
Estino	id=g:7094727
Kamennaya Gora	id=g:7094728
Yerushkovo	id=g:7094729
