Kinjačka	id=g:3198146
Goljak	id=g:3200455
Goli Vrh	id=g:3200459
Golinja	id=g:3200468
Golinja	id=g:3200469
Golinci	id=g:3200470
Golik	id=g:3200471
Otočić Golić	id=g:3200475
Golić	id=g:3200476
Goli Breg	id=g:3200477
Rt Goli	id=g:3200478
Otok Goli	id=g:3200479
Goli	id=g:3200480
Golaš	id=g:3200490
Golaš	id=g:3200491
Otočić Golac	id=g:3200498
Otočić Golac	id=g:3200499
Gola	id=g:3200501
Gojkovac	id=g:3200504
Gojlo	id=g:3200505
Gojanec	id=g:3200511
Gojak	id=g:3200515
Gočak	id=g:3200534
Gnjilo Brdo	id=g:3200540
Rt Gnjilište	id=g:3200541
Glušci	id=g:3200548
Gložđe	id=g:3200558
Gložđe	id=g:3200559
Glomočnica	id=g:3200561
Glogovo	id=g:3200563
Glogovnica	id=g:3200564
Glogovnica Kanal	id=g:3200565
Glogovnica	id=g:3200566
Glogovica	id=g:3200568
Glogovac	id=g:3200571
Globornica	id=g:3200580
Gljev	id=g:3200587
Glinska Poljana	id=g:3200589
Glinica	id=g:3200592
Glinica	id=g:3200594
Glina Veljunska	id=g:3200596
Glina Općina	id=g:3200597
Glina	id=g:3200598
Glina	id=g:3200600
Gliboki Potok	id=g:3200601
Glibodol	id=g:3200602
Rt Glavotok	id=g:3200608
Glavničica	id=g:3200609
Glavničica	id=g:3200610
Glavina Srednja	id=g:3200611
Gornja Glavina	id=g:3200612
Donja Glavina	id=g:3200613
Rt Glavina	id=g:3200614
Rt Glavina	id=g:3200615
Glavice	id=g:3200622
Glavičani	id=g:3200623
Rt Glavica	id=g:3200624
Rt Glavica	id=g:3200625
Glavica	id=g:3200626
Glavica	id=g:3200627
Glavica	id=g:3200634
Glavica	id=g:3200635
Glavica	id=g:3200636
Rt Glavat	id=g:3200641
Otočić Glavat	id=g:3200642
Otočić Glavat	id=g:3200643
Glavani	id=g:3200644
Glavace	id=g:3200645
Otočić Glamoč	id=g:3200650
Gladovec Pokupski	id=g:3200654
Gladovec Kravarski	id=g:3200655
Uvala Gizi	id=g:3200660
Gizdavac	id=g:3200661
Otočić Gira	id=g:3200662
Giletinci	id=g:3200665
Gerovski Kraj	id=g:3200670
Gerovo Tounjsko	id=g:3200671
Gerovo	id=g:3200672
Generalski Stol	id=g:3200677
Generalov Brdo	id=g:3200678
Gedići	id=g:3200679
Gdinj	id=g:3200681
Gažul	id=g:3200682
Kašnica	id=g:3200684
Gazije	id=g:3200686
Gaženica	id=g:3200689
Otočić Gaz	id=g:3200690
Rt Gavza	id=g:3200691
Rt Gatula	id=g:3200692
Gata	id=g:3200695
Gat	id=g:3200696
Gašparci	id=g:3200697
Gašinci	id=g:3200699
Rt Garmina	id=g:3200700
Otočić Garmenjak Veli	id=g:3200701
Otočić Garmenjak Mali	id=g:3200702
Šuma Garjevica	id=g:3200703
Garjak	id=g:3200704
Garica	id=g:3200706
Garešnica Općina	id=g:3200709
Garešnica	id=g:3200710
Garešnica	id=g:3200711
Gardinovec	id=g:3200713
Garčin	id=g:3200714
Garba	id=g:3200715
Otočić Gangarol	id=g:3200719
Otočić Gangaro	id=g:3200720
Hrid Gambur	id=g:3200722
Gamboci	id=g:3200723
Otočić Galun	id=g:3200725
Galović-Selo	id=g:3200726
Otočić Galovac	id=g:3200729
Galovac	id=g:3200730
Galovac	id=g:3200731
Galovac	id=g:3200732
Galižana	id=g:3200734
Hrid Galiola	id=g:3200735
Galin	id=g:3200736
Otočić Galijula	id=g:3200737
Otok Galija	id=g:3200738
Hridi Galija	id=g:3200739
Galgovo	id=g:3200742
Otočić Galešnjak	id=g:3200743
Gala	id=g:3200745
Gakovo	id=g:3200747
Gaj Vrbovečki	id=g:3200748
Gajić	id=g:3200750
Gajen	id=g:3200756
Gajana	id=g:3200758
Gaj	id=g:3200759
Gage	id=g:3200765
Gacka	id=g:3200769
Gaćište	id=g:3200770
Gačice	id=g:3200771
Gaćelezi	id=g:3200773
Gabrili	id=g:3200784
Gaboš	id=g:3200786
Gaborčina	id=g:3200787
Gabonjin	id=g:3200788
Fužine	id=g:3200799
Fuškulin	id=g:3200803
Furkov Brdo	id=g:3200804
Uvala Funtana	id=g:3200805
Funtana	id=g:3200806
Fuka	id=g:3200807
Hrid Fućin	id=g:3200808
Frkašić	id=g:3200812
Rt Frkanj	id=g:3200813
Frata	id=g:3200814
Franičevići	id=g:3200818
Pličina Jakovlja	id=g:3200821
Foša	id=g:3200822
Forkuševci	id=g:3200824
Pazinski Potok	id=g:3200832
Fodrovec Riječki	id=g:3200834
Flengi	id=g:3200839
Uvala Fizela	id=g:3200840
Fiorini	id=g:3200841
Otočić Fernera	id=g:3200842
Filozići	id=g:3200843
Sveti Filip i Jakov	id=g:3200845
Filipana	id=g:3200847
Uvala Figo	id=g:3200850
Festinec	id=g:3200851
Ferketinec	id=g:3200853
Feričanci	id=g:3200855
Ferdinandovac	id=g:3200856
Otočić Fenoliga	id=g:3200857
Jelenčić	id=g:3200858
Fažanski Kanal	id=g:3200861
Fažana	id=g:3200862
Farini	id=g:3200868
Fabci	id=g:3200876
Ervenik	id=g:3200878
Ervenik	id=g:3200879
Rt Ertak	id=g:3200880
Ernestinovo	id=g:3200881
Erkovčići	id=g:3200883
Erdut	id=g:3200884
Erdovec	id=g:3200885
Erdelj	id=g:3200887
Erdelj	id=g:3200888
Uvala Ercić	id=g:3200889
Rt Ercić	id=g:3200890
Eminovci	id=g:3200894
Dvorište	id=g:3200909
Dvorišće Rakovečko	id=g:3200911
Dvorišće	id=g:3200912
Dvoranci	id=g:3200914
Općina Dvor	id=g:3200915
Dvor	id=g:3200917
Otočić Dvije Sestrice	id=g:3200920
Duzluk	id=g:3200921
Dužica	id=g:3200923
Otočić Dužac	id=g:3200928
Otočić Dužac	id=g:3200929
Duštica	id=g:3200939
Ðurmanec	id=g:3200943
Ðuričić	id=g:3200944
Ðurinovec	id=g:3200945
Ðurinići	id=g:3200946
Ðurići	id=g:3200947
Stražište	id=g:3200950
Ðurđić	id=g:3200952
Ðurđic	id=g:3200953
Ðurdevac Općina	id=g:3200960
Ðurđevac	id=g:3200961
Ðurđenovac	id=g:3200962
Ðurđekovec	id=g:3200963
Ðurđanci	id=g:3200964
Dunjkovec	id=g:3200975
Dunjak	id=g:3200976
Dunave Krajnje	id=g:3200978
Dumovec	id=g:3200979
Uvala Dumići	id=g:3200982
Uvala Dumboka	id=g:3200984
Rt Dumboka	id=g:3200985
Dumače	id=g:3200986
Duliba	id=g:3200993
Dulepski Potok	id=g:3200995
Duhovi	id=g:3201004
Dugo Selo Lasinjsko	id=g:3201006
Dugo Selo Općina	id=g:3201007
Dugo Selo Lukačko	id=g:3201008
Dugo Selo	id=g:3201009
Dugopolje	id=g:3201011
Dugo Brdo	id=g:3201013
Dugobabe	id=g:3201014
Otočić Dugo	id=g:3201015
Dugi Vrh	id=g:3201016
Rt Dugi Rat	id=g:3201017
Dugi Rat	id=g:3201018
Dugi Rat	id=g:3201019
Dugi Rat	id=g:3201020
Dugi Rat	id=g:3201021
Dugi Otok	id=g:3201022
Dugi Do	id=g:3201024
Dugi Rat	id=g:3201026
Duga Rijeka	id=g:3201028
Duga Resa Općina	id=g:3201029
Duga Resa	id=g:3201030
Duga Međa	id=g:3201033
Dugačko Jezero	id=g:3201035
Uvala Duga	id=g:3201036
Rt Duga	id=g:3201037
Duće	id=g:3201045
Dubrovnik	id=g:3201047
Dubrovčani	id=g:3201048
Dubrovčan	id=g:3201049
Rijeka Dubrovačka	id=g:3201050
Dubravnik	id=g:3201051
Dubravice	id=g:3201055
Dubravica	id=g:3201056
Dubravica	id=g:3201059
Dubravec	id=g:3201062
Dubrava	id=g:3201066
Dubrava	id=g:3201067
Dubrava	id=g:3201068
Dubrava	id=g:3201069
Dubrava	id=g:3201070
Dubranec	id=g:3201071
Dubovik	id=g:3201074
Dubovica	id=g:3201077
Dubovac	id=g:3201079
Duboševica	id=g:3201082
Duboki Dol	id=g:3201087
Uvala Duboka	id=g:3201090
Uvala Duboka	id=g:3201091
Duboka	id=g:3201092
Dubočac	id=g:3201099
Dubno Uvala	id=g:3201100
Hrvatska Dubica	id=g:3201110
Duba Stonska	id=g:3201111
Uvala Desna Luka	id=g:3201112
Uvala Duba	id=g:3201116
Uvala Duba	id=g:3201117
Rt Duba	id=g:3201118
Duba	id=g:3201119
Duba Konavoska	id=g:3201120
Dub	id=g:3201124
Držimurec	id=g:3201125
Donja Uvala	id=g:3201128
Otočić Drvenik	id=g:3201129
Luka Drvenik	id=g:3201130
Drvenik	id=g:3201131
Drvenik	id=g:3201132
Drvenički Kanal	id=g:3201133
Družbinec	id=g:3201141
Druškovec	id=g:3201142
Uvala Dršanica Prva	id=g:3201150
Uvala Dršanica Druga	id=g:3201151
Drnje	id=g:3201160
Drniš Općina	id=g:3201161
Drniš	id=g:3201162
Drljanovac	id=g:3201165
Uvala Drljanda	id=g:3201166
Drljača	id=g:3201167
Željeznička Stanica Drivenik	id=g:3201171
Drivenik	id=g:3201172
Drivenik	id=g:3201173
Uvala Driveni	id=g:3201174
Drinovci	id=g:3201176
Drežnik Grad	id=g:3201193
Drenov Klanac	id=g:3201202
Drenovica	id=g:3201203
Drenovec	id=g:3201205
Drenovci	id=g:3201207
Drenov Bok	id=g:3201209
Drenovac Radučki	id=g:3201213
Drenovac	id=g:3201215
Drenova	id=g:3201217
Drenova	id=g:3201221
Drenje	id=g:3201223
Drenje	id=g:3201224
Stara Drenčina	id=g:3201226
Drenčina	id=g:3201227
Uvala Dražnik	id=g:3201230
Dražice	id=g:3201233
Uvala Dražica	id=g:3201234
Dražica	id=g:3201236
Draževo Brdo	id=g:3201239
Draževitići	id=g:3201240
Draž Brdo	id=g:3201248
Draž	id=g:3201250
Drašnice	id=g:3201257
Drašković	id=g:3201258
Draškovac	id=g:3201259
Drašći Vrh	id=g:3201261
Draguć	id=g:3201269
Stari Draguć	id=g:3201270
Dragozetići	id=g:3201271
Dragović	id=g:3201278
Dragove	id=g:3201279
Dragovci	id=g:3201280
Dragotina	id=g:3201283
Dragotin	id=g:3201284
Dragošička	id=g:3201285
Dragoševci	id=g:3201286
Dragonja	id=g:3201291
Uvala Dragoča	id=g:3201302
Dragljane	id=g:3201305
Drage	id=g:3201313
Draga Požeška	id=g:3201317
Draganje-Selo	id=g:3201318
Železnička Stanica Draganići	id=g:3201319
Draganići	id=g:3201320
Dragalić	id=g:3201326
Draga Bašćanska	id=g:3201328
Uvala Draga	id=g:3201329
Draga	id=g:3201332
Dračevice	id=g:3201338
Dračevica	id=g:3201339
Dračevac Zadarski	id=g:3201341
Dračevac Ninski	id=g:3201342
Dračevac	id=g:3201343
Luka Drače	id=g:3201344
Drače	id=g:3201346
Dovanj	id=g:3201350
Dopsin	id=g:3201358
Ðonta Doli	id=g:3201359
Donji Zvečaj	id=g:3201360
Donji Žirovac	id=g:3201362
Donji Zemunik	id=g:3201363
Donji Zebanec	id=g:3201365
Donji Zagon	id=g:3201366
Donji Žagari	id=g:3201367
Donji Vukšinac	id=g:3201369
Donji Vukojevac	id=g:3201370
Donji Vidovec	id=g:3201373
Donji Velemerić	id=g:3201374
Donji Varoš	id=g:3201375
Donji Vaganac	id=g:3201377
Donji Trpuci	id=g:3201378
Donji Tkalec	id=g:3201380
Donji Sređani	id=g:3201386
Donji Srb	id=g:3201388
Donji Slatinik	id=g:3201390
Otočići Donji Školji	id=g:3201392
Donji Sjeničak	id=g:3201393
Donji Selkovac	id=g:3201394
Donji Seget	id=g:3201395
Donji Šarampov	id=g:3201396
Donji Šajn	id=g:3201397
Donji Rukavac	id=g:3201399
Donji Rt	id=g:3201400
Donji Rogolji	id=g:3201402
Donji Rebić	id=g:3201404
Donji Rajić	id=g:3201410
Donji Proložac	id=g:3201412
Donji Prnjarovec	id=g:3201413
Donji Poloj	id=g:3201415
Donji Oštrc	id=g:3201421
Donji Okrug	id=g:3201423
Donji Muć	id=g:3201426
Donji Mosti	id=g:3201427
Donji Miklouš	id=g:3201430
Donji Miholjac Općina	id=g:3201431
Donji Miholjac	id=g:3201432
Železnička Stanica Donji Mihaljevec	id=g:3201433
Donji Mihaljevec	id=g:3201434
Donji Meljani	id=g:3201435
Donji Mekinjar	id=g:3201436
Donji Maslarec	id=g:3201437
Donji Markovac	id=g:3201439
Donji Marinkovac	id=g:3201440
Donji Majkovi	id=g:3201442
Donji Lović	id=g:3201447
Donji Lipovac	id=g:3201448
Donji Lepuri	id=g:3201449
Donji Lapac	id=g:3201450
Donji Laduč	id=g:3201451
Donji Lađevac	id=g:3201452
Donji Kućan	id=g:3201453
Donji Kraljevec	id=g:3201454
Donji Kraljevec	id=g:3201455
Donji Kraj	id=g:3201456
Donji Kosinj	id=g:3201457
Donji Koncovčak	id=g:3201459
Donji Kneginec	id=g:3201462
Donji Klasnić	id=g:3201463
Donji Karin	id=g:3201465
Donji Javoranj	id=g:3201467
Donji Humac	id=g:3201468
Donji Hruševec	id=g:3201469
Donji Hrastovac	id=g:3201470
Donji Hrašćan	id=g:3201471
Donji Grahovljani	id=g:3201473
Donji Grad	id=g:3201475
Donji Furjan	id=g:3201479
Donji Ervenik	id=g:3201480
Donji Emovci	id=g:3201481
Donji Dragonožec	id=g:3201485
Donji Dolac	id=g:3201486
Donji Dobretin	id=g:3201488
Donji Desinec	id=g:3201490
Donji Daruvar	id=g:3201491
Donji Crnogovci	id=g:3201493
Donji Čehi	id=g:3201496
Donji Čaglić	id=g:3201498
Donji Bukovec	id=g:3201499
Donji Budački	id=g:3201501
Donji Brgat	id=g:3201503
Donji Borki	id=g:3201504
Donji Bogićevci	id=g:3201507
Donji Bjelovac	id=g:3201508
Donji Bitelić	id=g:3201509
Donji Babin Potok	id=g:3201512
Donji Andrijevci	id=g:3201513
Donje Zdelice	id=g:3201516
Donje Zagorje	id=g:3201518
Donje Vratno	id=g:3201522
Donje Vinovo	id=g:3201524
Donje Utore	id=g:3201526
Donje Taborište	id=g:3201527
Donje Stative	id=g:3201529
Donje Selo na Šolti	id=g:3201531
Donje Selo	id=g:3201532
Donje Selište	id=g:3201534
Donje Rašćane	id=g:3201537
Donje Psarjevo	id=g:3201538
Donje Prilišće	id=g:3201539
Donje Prekrižje	id=g:3201540
Donje Predrijevo	id=g:3201541
Donje Postinje	id=g:3201542
Donje Pokuplje	id=g:3201544
Donje Podotočje	id=g:3201545
Donje Petrčane	id=g:3201547
Donje Pazarište	id=g:3201549
Donje Orešje	id=g:3201552
Donje Ogorje	id=g:3201553
Donje Novo Selo	id=g:3201554
Donje Makojišće	id=g:3201558
Donje Ladanje	id=g:3201562
Donje Kusonje	id=g:3201563
Donje Komarevo	id=g:3201567
Donje Dubrave	id=g:3201571
Donji Doljani	id=g:3201573
Donje Cjepidlake	id=g:3201575
Donje Ceranje	id=g:3201578
Uvala Donje Čelo	id=g:3201579
Donje Čelo	id=g:3201580
Donje Bukovlje	id=g:3201581
Donje Biljane	id=g:3201584
Donje Bazje	id=g:3201585
Donja Zelina	id=g:3201588
Donja Zdenčina	id=g:3201589
Donja Vrućica	id=g:3201590
Donja Vrijeska	id=g:3201591
Donja Vrba	id=g:3201592
Donja Voća	id=g:3201595
Donja Višnjica	id=g:3201596
Donja Velika	id=g:3201601
Donja Velika	id=g:3201602
Donja Velešnja	id=g:3201603
Donja Trstenica	id=g:3201606
Donja Trebinja	id=g:3201609
Donja Topličica	id=g:3201613
Donja Tijarica	id=g:3201614
Donja Švica	id=g:3201615
Donja Suvaja	id=g:3201617
Donja Šumetlica	id=g:3201618
Donja Stupnica	id=g:3201619
Donja Stubica Općina	id=g:3201620
Donja Stubica	id=g:3201621
Donja Stinica	id=g:3201623
Donja Ššnjara	id=g:3201624
Donja Selnica	id=g:3201628
Donja Rašenica	id=g:3201634
Donja Pušća	id=g:3201636
Donja Punta	id=g:3201637
Donja Poljana	id=g:3201640
Donja Plemenšćina	id=g:3201642
Donja Pištana	id=g:3201644
Donja Petrička	id=g:3201646
Donja Perjasica	id=g:3201647
Donja Pačetina	id=g:3201651
Donja Oraovica	id=g:3201653
Donja Obrijež	id=g:3201654
Donja Obreška	id=g:3201655
Donja Motičina	id=g:3201656
Donja Močila	id=g:3201657
Donja Mlinoga	id=g:3201658
Uvala Donja Luka	id=g:3201665
Donja Lučelnica	id=g:3201666
Donja Lomnica	id=g:3201668
Donja Letina	id=g:3201673
Donja Kupčina	id=g:3201676
Uvala Donja Krušica	id=g:3201677
Donja Krašićevica	id=g:3201678
Donja Kovačica	id=g:3201680
Donja Konjšćina	id=g:3201682
Donja Klada	id=g:3201684
Donja Kamenica	id=g:3201685
Donja Jelenska	id=g:3201687
Donja Jagodnja	id=g:3201688
Donja Greda	id=g:3201690
Donja Gračenica	id=g:3201691
Glavnica Donja	id=g:3201694
Donja Dubrava	id=g:3201696
Donja Čemernica	id=g:3201700
Donja Bukovica	id=g:3201702
Donja Budičina	id=g:3201707
Donja Bučica	id=g:3201708
Donja Brela	id=g:3201712
Donja Brckovčina	id=g:3201713
Donja Bistra	id=g:3201716
Donja Bedekovčina	id=g:3201723
Donja Bebrina	id=g:3201724
Donja Batina	id=g:3201725
Donja Bačuga	id=g:3201727
Dominkovica	id=g:3201732
Domaslovec	id=g:3201733
Domašinec	id=g:3201734
Domanjkuš	id=g:3201737
Domaji	id=g:3201740
Domahovo	id=g:3201741
Domagović	id=g:3201742
Dolnji Tršci	id=g:3201764
Doljanovci	id=g:3201784
Doljani Žumberački	id=g:3201785
Doljani	id=g:3201786
Doljani	id=g:3201788
Doljanec	id=g:3201792
Dolina	id=g:3201800
Otok Dolin	id=g:3201801
Dolići	id=g:3201802
Uvala Doli	id=g:3201804
Doli	id=g:3201805
Otočić Dolfin	id=g:3201811
Dolenja Vas	id=g:3201850
Dolci	id=g:3201863
Dolčani	id=g:3201864
Dolanec	id=g:3201865
Dol	id=g:3201876
Dol	id=g:3201877
Dol	id=g:3201878
Dodoši	id=g:3201886
Dobrović	id=g:3201898
Dobrovac	id=g:3201900
Dobroselo	id=g:3201907
Dobropoljci	id=g:3201914
Dobropoljana	id=g:3201915
Dobrogošće	id=g:3201917
Dobrodol	id=g:3201919
Dobrinj	id=g:3201934
Uvala Dobrika	id=g:3201939
Dobrić	id=g:3201945
Otok Dobri	id=g:3201949
Dobranje	id=g:3201967
Dobranje	id=g:3201968
Dobra	id=g:3201975
Dnopolje	id=g:3201996
Djedina Rijeka	id=g:3202001
Divuša	id=g:3202003
Divulje	id=g:3202004
Divoševci	id=g:3202005
Divoselo	id=g:3202006
Divoš	id=g:3202007
Divojevići	id=g:3202009
Divjake	id=g:3202012
Dišnik	id=g:3202021
Uvala Dinjiška	id=g:3202024
Dinjiška	id=g:3202025
Dinjevac	id=g:3202026
Dinaric Alps	id=g:3202027
Dinara	id=g:3202028
Diminići	id=g:3202031
Dilj Planina	id=g:3202032
Diklo	id=g:3202034
Dikavac	id=g:3202036
Dijelka	id=g:3202037
Dijankovec	id=g:3202038
Dijaneš	id=g:3202039
Dicmo Željeznicka Stanica	id=g:3202041
Deževci	id=g:3202045
Dežanovac	id=g:3202046
Ðevrske	id=g:3202047
Detkovac	id=g:3202057
Desno Željezno	id=g:3202060
Desno Trebarjevo	id=g:3202061
Desno Sredičko	id=g:3202062
Desni Štefanki	id=g:3202063
Desni Dubrovčak	id=g:3202064
Desni Degoj	id=g:3202065
Desne	id=g:3202066
Desna Martinska Ves	id=g:3202067
Desmerice	id=g:3202069
Desinić	id=g:3202071
Železnička Stanica Desinec	id=g:3202072
Derven	id=g:3202084
Deringaj	id=g:3202088
Derežani	id=g:3202089
Dereza	id=g:3202090
Demer Kapija	id=g:3202100
Delovi	id=g:3202101
Općina Delnice	id=g:3202102
Delnice	id=g:3202104
Ðeletovci	id=g:3202108
Ðelekovec	id=g:3202109
Dekanovec	id=g:3202110
Dedina	id=g:3202119
Debelo Brdo	id=g:3202133
Debelo Brdo	id=g:3202134
Debelo Brdo	id=g:3202135
Debelo Brdo	id=g:3202136
Dobro Brdo	id=g:3202138
Debelo Brdo	id=g:3202139
Debeljak	id=g:3202140
Debeljak	id=g:3202141
Debeljak	id=g:3202142
Debeli Vrh	id=g:3202147
Debeli Umac	id=g:3202151
Debeli Rt	id=g:3202152
Rt Debeli	id=g:3202157
Debela Punta	id=g:3202158
Rt Debela Punta	id=g:3202159
Rt Debela Nožica	id=g:3202160
Debela Kosa	id=g:3202162
Deanovec	id=g:3202165
Deanovec	id=g:3202166
Dazlina	id=g:3202169
Davor	id=g:3202172
Dautan	id=g:3202175
Daskatica	id=g:3202181
Daruvar Općina	id=g:3202183
Daruvar	id=g:3202184
Darkovac	id=g:3202185
Darda	id=g:3202186
Daranovci	id=g:3202187
Rt Datule	id=g:3202189
Danilo Biranj	id=g:3202195
Danijeli	id=g:3202196
Dane	id=g:3202202
Uvala Danče	id=g:3202204
Rt Danče	id=g:3202205
Dance	id=g:3202206
Dančanje	id=g:3202207
Dalmatia	id=g:3202210
Dalj	id=g:3202215
Otočić Daksa	id=g:3202217
Kanal Daksa	id=g:3202218
Ðakovo Općina	id=g:3202219
Ðakovo	id=g:3202220
Ðakovac	id=g:3202224
Otočić Dajna Vela	id=g:3202225
Otočić Dajna Mala	id=g:3202226
Luka Dajla	id=g:3202227
Dajla	id=g:3202228
Dabrina	id=g:3202232
Dabčevica	id=g:3202239
Dabašnica	id=g:3202240
Dabašnica	id=g:3202241
Dabar	id=g:3202243
Dabar	id=g:3202244
Sveti Petar Čvrstec	id=g:3202246
Čvrljevo	id=g:3202248
Čvorkovac	id=g:3202250
Cvijanović Brdo	id=g:3202256
Cvetković	id=g:3202258
Cvetkovec	id=g:3202259
Rt Ćuška	id=g:3202264
Čurlovac	id=g:3202267
Čunski	id=g:3202275
Ćulumak	id=g:3202279
Čulišić	id=g:3202283
Čulinec	id=g:3202284
Čuletov Breg	id=g:3202287
Mali Čukur	id=g:3202290
Cukrići	id=g:3202291
Čukovec	id=g:3202294
Čukovec	id=g:3202295
Čukovac	id=g:3202297
Cugovec	id=g:3202302
Rt Cuf	id=g:3202303
Čučerski Vidovec	id=g:3202308
Čučerje	id=g:3202309
Čubrin Vrh	id=g:3202310
Rt Čubrijan	id=g:3202311
Cubinec	id=g:3202316
Luka Črvar	id=g:3202323
Črvar	id=g:3202324
Republic of Croatia	id=g:3202326
Crnopac	id=g:3202331
Crno	id=g:3202342
Črnkovec	id=g:3202343
Črnkovci	id=g:3202344
Crni Zaton	id=g:3202347
Crni Vrh	id=g:3202348
Crni Vrh	id=g:3202349
Crni Vrh	id=g:3202360
Crni Vrh	id=g:3202365
Crni Vrh	id=g:3202366
Crni Vrh	id=g:3202367
Crni Vrh	id=g:3202368
Crni Vrh	id=g:3202374
Rebička Gradina	id=g:3202377
Crni Vrh	id=g:3202382
Crni Vrh	id=g:3202383
Crni Vrh	id=g:3202385
Crni Rat	id=g:3202410
Crni Rat	id=g:3202411
Crni Potok	id=g:3202416
Crni Lug	id=g:3202417
Crni Lazi	id=g:3202419
Crni Krug	id=g:3202421
Otočić Črnikovac	id=g:3202423
Crni Kal	id=g:3202426
Crni Kal	id=g:3202427
Uvala Crnika	id=g:3202428
Rt Crnika	id=g:3202429
Crni Dabar	id=g:3202430
Črnica	id=g:3202437
Črnec Rugvički	id=g:3202441
Črnec Biškupečki	id=g:3202443
Crnče	id=g:3202448
Rt Crna Punta	id=g:3202456
Crna Mlaka	id=g:3202460
Crna Kosa	id=g:3202461
Crna Kosa	id=g:3202462
Crna Humka	id=g:3202464
Crne Grede	id=g:3202465
Crna Glavica	id=g:3202470
Hrid Crnac	id=g:3202472
Crnac	id=g:3202473
Crnac	id=g:3202474
Luka Funtana	id=g:3202485
Uvala Crkvice	id=g:3202489
Crkvice	id=g:3202491
Uvala Crkvica	id=g:3202492
Crkveni Vrh	id=g:3202495
Crkveni Pribić	id=g:3202497
Crkveni Bok	id=g:3202499
Crkvari	id=g:3202501
Crkovička	id=g:3202502
Otočić Crklica	id=g:3202503
Crklada	id=g:3202504
Crivac	id=g:3202505
Općina Crikvenica	id=g:3202506
Crikvenica	id=g:3202507
Cret Viljevski	id=g:3202511
Cret Bizovački	id=g:3202512
Črešnevec	id=g:3202519
Creski Zaliv	id=g:3202520
Otok Cres	id=g:3202521
Luka Cres	id=g:3202522
Cres	id=g:3202523
Cremušnica	id=g:3202525
Cremušina	id=g:3202526
Črečan	id=g:3202527
Rt Čovik	id=g:3202528
Čovići	id=g:3202530
Čovac	id=g:3202531
Ćošinci	id=g:3202532
Ćore	id=g:3202535
Ćordašica	id=g:3202536
Uvala Conki	id=g:3202540
Rt Conki	id=g:3202541
Čokadinci	id=g:3202546
Čižići	id=g:3202551
Pličina Čivran	id=g:3202552
Civljane	id=g:3202553
Čivičevac	id=g:3202554
Čitluk	id=g:3202561
Cista Provo	id=g:3202567
Rt Čista	id=g:3202568
Čisla	id=g:3202569
Cirkvena	id=g:3202570
Cirkovljan	id=g:3202571
Rt Čirka	id=g:3202574
Otok Čiovo	id=g:3202581
Rt Čiova	id=g:3202582
Uvala Cintinera	id=g:3202584
Čilipi	id=g:3202592
Cikote	id=g:3202593
Čikola	id=g:3202597
Luka Čikat	id=g:3202600
Čigoč	id=g:3202605
Ciglenski Potok	id=g:3202606
Železnička Stanica Ciglenik	id=g:3202607
Ciglenik	id=g:3202608
Ciglenik	id=g:3202609
Ciglenica	id=g:3202610
Ciglenica	id=g:3202611
Ciglenica	id=g:3202612
Ciglena	id=g:3202614
Cigelj	id=g:3202616
Ciganka	id=g:3202617
Čičkovina	id=g:3202622
Čičibor	id=g:3202624
Cicer	id=g:3202627
Ćićarija	id=g:3202629
Čibača	id=g:3202630
Četvrtkovac	id=g:3202636
Cetingrad	id=g:3202642
Četinarica	id=g:3202643
Cetina	id=g:3202644
Cetina	id=g:3202645
Četekovac	id=g:3202648
Otočić Češvinica	id=g:3202650
Česvinica	id=g:3202651
Cestica	id=g:3202654
Česma	id=g:3202663
Ćešljakovci	id=g:3202666
Češljakovački Vis	id=g:3202667
Cesarica	id=g:3202668
Rt Cesara	id=g:3202669
Cerovski Vrh	id=g:3202675
Cerovnik	id=g:3202680
Cerovlje	id=g:3202681
Cerovac Tušilovićki	id=g:3202688
Cerovac Barilovički	id=g:3202689
Železnička Stanica Cerovac	id=g:3202690
Cernik	id=g:3202697
Cernik	id=g:3202698
Černec	id=g:3202701
Cerna	id=g:3202702
Cerje Vrbovečko	id=g:3202714
Cerje Nebojse	id=g:3202715
Cerje Letovaničko	id=g:3202716
Cerje	id=g:3202717
Cerje	id=g:3202718
Cerje	id=g:3202719
Čerišnjevica	id=g:3202720
Cerina	id=g:3202721
Otočić Čerigul	id=g:3202725
Cerić	id=g:3202726
Ceremošnjak	id=g:3202730
Ceranje	id=g:3202731
Ćeralije	id=g:3202733
Cera	id=g:3202734
Cer	id=g:3202737
Čeprljanda	id=g:3202738
Čepljani	id=g:3202741
Čepin	id=g:3202743
Čepikuće	id=g:3202744
Cepidlak	id=g:3202745
Čepić	id=g:3202746
Pulgarija Čepić	id=g:3202747
Čepelovac	id=g:3202748
Cepeliš	id=g:3202749
Cepeliš	id=g:3202750
Čenkovo	id=g:3202753
Cenkovec	id=g:3202754
Železnička Stanica Čeminac	id=g:3202762
Čeminac	id=g:3202763
Čemernik	id=g:3202767
Čemernica Lonjska	id=g:3202769
Čemernica	id=g:3202770
Čelo	id=g:3202778
Čelikovići	id=g:3202787
Čelevac	id=g:3202793
Čelavac	id=g:3202796
Otočic Ceja	id=g:3202809
Čehovec	id=g:3202810
Čeglje	id=g:3202814
Čečavac	id=g:3202816
Čazma Općina	id=g:3202819
Čazma	id=g:3202820
Cavtatski Otoci	id=g:3202823
Čista Luka	id=g:3202824
