Childs Lake Dam	id=g:4187746
Cool Springs Church	id=g:4189295
Cool Springs Church	id=g:4189296
Cool Springs Church	id=g:4189297
Cool Springs Primitive Baptist Church	id=g:4189298
Cool Springs Church	id=g:4189299
Cool Springs Forest	id=g:4189300
Cool Springs Gap	id=g:4189301
Cool Springs Recreation Area	id=g:4189302
Cool Springs School (historical)	id=g:4189303
Cooleewahee Creek	id=g:4189304
Cool Springs Cemetery	id=g:4189305
Cooler Branch	id=g:4189306
Cooley School (historical)	id=g:4189307
Coolidge	id=g:4189308
Cooliks Lake	id=g:4189309
Coon Branch	id=g:4189310
Coon Creek	id=g:4189311
Cooleys Ferry (historical)	id=g:4189312
Coon Creek	id=g:4189313
Coon Creek	id=g:4189314
Coon Creek	id=g:4189315
Coon Den Ridge	id=g:4189316
Coon Island	id=g:4189317
Coon Mechnical Engineering Building	id=g:4189318
Coon Mountain	id=g:4189319
Coon Pond	id=g:4189320
Cooneys Landing	id=g:4189321
Cooper Basin Recreation Center	id=g:4189322
Cooper Branch	id=g:4189323
Coon Gap	id=g:4189324
Cooper Branch	id=g:4189325
Cooper Branch	id=g:4189326
Cooper Branch Landing	id=g:4189327
Cooper Cemetery	id=g:4189328
Cooper Cemetery	id=g:4189329
Cooper Cemetery	id=g:4189330
Cooper Cemetery	id=g:4189331
Cooper Cemetery	id=g:4189332
Cooper Cemetery	id=g:4189333
Cooper Cemetery	id=g:4189334
Cooper Creek	id=g:4189335
Cooper Creek	id=g:4189336
Cooper Bridge	id=g:4189337
Cooper Creek	id=g:4189338
Cooper Creek	id=g:4189339
Cooper Creek Dam	id=g:4189340
Cooper Creek Park	id=g:4189341
Cooper Creek Recreation Site	id=g:4189342
Cooper Creek Reservoir	id=g:4189343
Cooper Creek Scenic Area	id=g:4189344
Cooper Family Cemetery	id=g:4189345
Cooper Furnace (historical)	id=g:4189346
Cooper Gap	id=g:4189347
Cooper Gap	id=g:4189348
Cooper Heights	id=g:4189349
Cooper Heights Church	id=g:4189350
Cooper Lake	id=g:4189351
Cooper Lake	id=g:4189352
Cooper Lake Dam	id=g:4189353
Cooper Park	id=g:4189354
Cooper Ridge Memorial Gardens	id=g:4189355
Cooper Swamp	id=g:4189356
Coopers	id=g:4189357
Coopers Creek School (historical)	id=g:4189358
Coopers Creek Wildlife Management Area	id=g:4189359
Coopers Hill Church	id=g:4189360
Coopers Pond	id=g:4189361
Coopers Prong	id=g:4189362
Cooper Creek Church	id=g:4189363
Cooperville School (historical)	id=g:4189364
Coosa	id=g:4189365
Coosa Backcountry Trail	id=g:4189366
Coosa Bald	id=g:4189367
Coosa Cemetery	id=g:4189368
Coosa Country Club	id=g:4189369
Coosa Creek	id=g:4189370
Cooperville	id=g:4189371
Coosa Post Office	id=g:4189372
Coosa River Cemetery	id=g:4189373
Coosa School (historical)	id=g:4189374
Coosa Schools	id=g:4189375
Coosa Valley Church	id=g:4189376
Coosa Valley Fairgrounds	id=g:4189377
Coosa Valley Tech School	id=g:4189378
Coosawattee (historical)	id=g:4189379
Coosawattee River	id=g:4189380
Coosa High School	id=g:4189381
Cooter Ridge	id=g:4189382
Coots Lake	id=g:4189383
Cope Hill	id=g:4189384
Copelan-Credille Cemetery	id=g:4189385
Copeland	id=g:4189386
Copeland (historical)	id=g:4189387
Copeland Branch	id=g:4189388
Cooter Lake	id=g:4189389
Copeland Cemetery	id=g:4189390
Copeland Cemetery	id=g:4189391
Copeland Creek	id=g:4189392
Copeland Cemetery	id=g:4189393
Copeland Creek	id=g:4189394
Copeland Crossing	id=g:4189395
Copeland Lake	id=g:4189396
Copeland Lake	id=g:4189397
Copeland Lake Dam	id=g:4189398
Copeland Springs	id=g:4189399
Copeland Swamp	id=g:4189400
Copelands Bridge	id=g:4189401
Copelans Store (historical)	id=g:4189402
Copelin Family Cemetery	id=g:4189403
Copen Hill	id=g:4189404
Coplan-Perry Cemetery	id=g:4189405
Copland Cemetery	id=g:4189406
Coppas Branch	id=g:4189407
Copeland Dam	id=g:4189408
Copper Hill East Lake Dam	id=g:4189409
Copper Hill West Lake	id=g:4189410
Copper Hill West Lake Dam	id=g:4189411
Copper Sandy Creek	id=g:4189412
Copper Hill East Lake	id=g:4189413
Coppermine Gap	id=g:4189414
Copps Bridge	id=g:4189415
Cora Nimmor School (historical)	id=g:4189416
Coralwood School and Diagnostic Center	id=g:4189417
Corbetts Chapel (historical)	id=g:4189418
Corbin	id=g:4189419
Corbin Creek	id=g:4189420
Coppermine Estates	id=g:4189421
Corbin Lake	id=g:4189422
Cordele	id=g:4189423
Cordele Commercial Historic District	id=g:4189424
Cordele Fish Hatchery	id=g:4189425
Cordele Post Office	id=g:4189426
Cordele Primitive Baptist Church	id=g:4189427
Cordele Shopping Center	id=g:4189428
Cordele Square Shopping Center	id=g:4189429
Cordell Mill (historical)	id=g:4189430
Cordell Mountain	id=g:4189431
Cordle Lake	id=g:4189432
Cordova	id=g:4189433
Cordray Church	id=g:4189434
Cordray Church	id=g:4189435
Cordray School (historical)	id=g:4189436
Cordrays Mill	id=g:4189437
Cordrays Pond	id=g:4189438
Corea	id=g:4189439
Corinth	id=g:4189440
Corinth	id=g:4189441
Corinth (historical)	id=g:4189442
Corinth Academy (historical)	id=g:4189443
Corinth Baptist Church	id=g:4189444
Corinth Baptist Church	id=g:4189445
Corinth Baptist Church	id=g:4189446
Corinth Baptist Church	id=g:4189447
Corinth Cemetery	id=g:4189448
Corinth Cemetery	id=g:4189449
Corinth Cemetery	id=g:4189450
Corinth Cemetery	id=g:4189451
Corinth Cemetery	id=g:4189452
Corinth Cemetery	id=g:4189453
Corinth Cemetery	id=g:4189454
Corinth Cemetery	id=g:4189455
Corinth Cemetery	id=g:4189456
Corinth Cemetery	id=g:4189457
Corinth Cemetery	id=g:4189458
Corinth Cemetery	id=g:4189459
Corinth Cemetery	id=g:4189460
Corinth Cemetery	id=g:4189461
Corinth Cemetery	id=g:4189462
Corinth Cemetery	id=g:4189463
Corinth Cemetery	id=g:4189464
Corinth Christian Methodist Episcopal Church	id=g:4189465
Corinth United Methodist Church	id=g:4189466
Corinth Church	id=g:4189467
Corinth Church	id=g:4189468
Corinth Church	id=g:4189469
Corinth Church	id=g:4189470
Corinth Church	id=g:4189471
Corinth Church	id=g:4189472
Corinth Church	id=g:4189473
Corinth Church	id=g:4189474
Corinth Primitive Baptist Church	id=g:4189475
Corinth Church	id=g:4189476
Corinth Church	id=g:4189477
Corinth Church	id=g:4189478
Corinth Church	id=g:4189479
Corinth Church	id=g:4189480
Corinth Church	id=g:4189481
Corinth Church	id=g:4189482
Corinth Church	id=g:4189483
Corinth Church	id=g:4189484
Corinth Church	id=g:4189485
Corinth Church	id=g:4189486
Corinth Church	id=g:4189487
Corinth Church	id=g:4189488
Corinth Church	id=g:4189489
Corinth Church	id=g:4189490
Corinth Church	id=g:4189491
Corinth Church	id=g:4189492
Corinth Church	id=g:4189493
Corinth Church	id=g:4189494
Corinth Church	id=g:4189495
Corinth Church	id=g:4189496
Corinth Church	id=g:4189497
Corinth Church (historical)	id=g:4189498
Corinth Church (historical)	id=g:4189499
Corinth Church (historical)	id=g:4189500
Corinth Church (historical)	id=g:4189501
Corinth Church (historical)	id=g:4189502
Corinth Church (historical)	id=g:4189503
Corinth Church (historical)	id=g:4189504
Corinth Church (historical)	id=g:4189505
Corinth Hills	id=g:4189506
Corinth Methodist Church	id=g:4189507
Corinth School	id=g:4189508
Corinth School (historical)	id=g:4189509
Corinth School (historical)	id=g:4189510
Corinth School (historical)	id=g:4189511
Corinth School (historical)	id=g:4189512
Corinth United Methodist Church	id=g:4189513
Corinth-Leefield Cemetery	id=g:4189514
Corinthian Church	id=g:4189515
Cork	id=g:4189516
Corley Lake	id=g:4189517
Corley Lake	id=g:4189518
Corley Lake Dam	id=g:4189519
Corley Lake Dam	id=g:4189520
Corn Cemetery	id=g:4189521
Corn Creek	id=g:4189522
Corbin Horse Stamp	id=g:4189523
Corn Creek	id=g:4189524
Corn Creek Cove	id=g:4189525
Corn Lake	id=g:4189526
Corn Ridge	id=g:4189527
Corncob Island	id=g:4189528
Cornelia	id=g:4189529
Cornelia Branch	id=g:4189530
Corn Crib Mobile Home Park	id=g:4189531
Cornelia City Hall	id=g:4189532
Cornelia City Park	id=g:4189533
Cornelia Community House	id=g:4189534
Cornelia Elementary School	id=g:4189535
Cornelia Post Office	id=g:4189536
Cornelia Public Library	id=g:4189537
Cornelia United Methodist Church	id=g:4189538
Cornelia Water Works	id=g:4189539
Cornelius-Moore Field	id=g:4189540
Cornell	id=g:4189541
Corner Branch School (historical)	id=g:4189542
Corner Church	id=g:4189543
Cornerstone Church	id=g:4189544
Cornerstone Church	id=g:4189545
Cornerstone Church	id=g:4189546
Cornfield	id=g:4189547
Cornelia Christian Church	id=g:4189548
Cornhouse Creek	id=g:4189549
Cornfield Sink	id=g:4189550
Cornhouse Reach	id=g:4189551
Cornish Creek	id=g:4189552
Cornhouse Creek Cemetery	id=g:4189553
Cornish Mountain	id=g:4189554
Cornish Mountain Church	id=g:4189555
Cornith Church	id=g:4189556
Cornith Church	id=g:4189557
Cornpen Gap	id=g:4189558
Corns Lake	id=g:4189559
Coronado Forest	id=g:4189560
Corporate Ridge Industrial Park	id=g:4189561
Corporate Square Office Park	id=g:4189562
Corps of Engineers Airport	id=g:4189563
Corra Harris Home	id=g:4189564
Corra Harris Monument	id=g:4189565
Corrections Dam	id=g:4189566
Corrections Lake	id=g:4189567
Corry Junior High School	id=g:4189568
Corsey Grove Church	id=g:4189569
Cosnahan Cemetery	id=g:4189570
Costley Mill (historical)	id=g:4189571
Costley Millpond	id=g:4189572
Cottage Creek	id=g:4189573
Cornish Creek Reservoir	id=g:4189574
Cottage School	id=g:4189575
Cottle	id=g:4189576
Cotton	id=g:4189577
Cotton Bluff	id=g:4189578
Cotton Creek	id=g:4189579
Cotton Creek	id=g:4189580
Cottage Mills (historical)	id=g:4189581
Cotton Hill	id=g:4189582
Cotton Hill Public Use Area	id=g:4189583
Cotton Indian Creek	id=g:4189584
Cotton Indian Elementary School	id=g:4189585
Cotton Patch Pond	id=g:4189586
Cotton Patch Pond Dam	id=g:4189587
Cottonbox Island	id=g:4189588
Cottondale	id=g:4189589
Cottonham (historical)	id=g:4189590
Cottonhouse Branch	id=g:4189591
Cotton Exchange	id=g:4189592
Cottonwood	id=g:4189593
Cottonwood Valley	id=g:4189594
Couch Cove	id=g:4189595
Cottons Crossroads	id=g:4189596
Couch School	id=g:4189597
Cougar Creek	id=g:4189598
Couch Lake	id=g:4189599
Coulter Branch	id=g:4189600
Coulter Branch	id=g:4189601
Coulter Cemetery	id=g:4189602
Coulter Creek	id=g:4189603
Coulters Lake	id=g:4189604
Council	id=g:4189605
Council Cemetery	id=g:4189606
Country Acres	id=g:4189607
Country Acres Mobile Home Park	id=g:4189608
Country Chapel	id=g:4189609
Country Club Creek	id=g:4189610
Coulters Lake Dam	id=g:4189611
Country Club Estates	id=g:4189612
Country Club Estates	id=g:4189613
Country Club Estates	id=g:4189614
Country Club Estates	id=g:4189615
Country Club Estates	id=g:4189616
Country Club Estates	id=g:4189617
Country Club Gardens	id=g:4189618
Country Club Hills	id=g:4189619
Country Club Hills	id=g:4189620
Country Club Lake	id=g:4189621
Country Club Lake Dam	id=g:4189622
Country Club Park	id=g:4189623
Country Club of the South	id=g:4189624
Country Corner Mobile Home Park	id=g:4189625
Country Creek	id=g:4189626
Country Downs	id=g:4189627
Country Greens Golf Course	id=g:4189628
Country Lake	id=g:4189629
Country Manor	id=g:4189630
Country Manor	id=g:4189631
Country Park	id=g:4189632
Country Park	id=g:4189633
Country Pine Estates	id=g:4189634
Country Place	id=g:4189635
Country Place	id=g:4189636
Country Plaza Shopping Center	id=g:4189637
Country Ridge	id=g:4189638
Country Roads	id=g:4189639
Country Side	id=g:4189640
Country Side Church	id=g:4189641
Country Square	id=g:4189642
Country Square	id=g:4189643
Country Squire	id=g:4189644
Country Squire Acres	id=g:4189645
Country Terrace	id=g:4189646
Country View	id=g:4189647
Country Village	id=g:4189648
Country Wood	id=g:4189649
Countryside at Cumberland	id=g:4189650
Countryside Estates	id=g:4189651
Countryside Village Mobile Home Park	id=g:4189652
La Counts Creek	id=g:4189653
Country Club Estates	id=g:4189654
County Farm Lake	id=g:4189655
County High School	id=g:4189656
County High School	id=g:4189657
County High School	id=g:4189658
County High School	id=g:4189659
County Lake	id=g:4189660
County Lake Dam	id=g:4189661
County Line	id=g:4189662
County Line	id=g:4189663
County Line	id=g:4189664
County Line Baptist Church	id=g:4189665
County Line Branch	id=g:4189666
County Correction Center	id=g:4189667
County Line Cemetery	id=g:4189668
County Line Cemetery	id=g:4189669
County Line Cemetery	id=g:4189670
County Line Cemetery	id=g:4189671
County Line Cemetery	id=g:4189672
County Line Cemetery	id=g:4189673
County Line Cemetery	id=g:4189674
County Line Cemetery	id=g:4189675
County Line Cemetery	id=g:4189676
County Line Cemetery	id=g:4189677
County Line Cemetery	id=g:4189678
County Line Cemetery	id=g:4189679
County Line Cemetery	id=g:4189680
County Line Christian Church	id=g:4189681
County Line Church	id=g:4189682
County Line Church	id=g:4189683
County Line Church	id=g:4189684
County Line Church	id=g:4189685
County Line Church	id=g:4189686
County Line Church	id=g:4189687
County Line Primitive Baptist Church	id=g:4189688
County Line Church	id=g:4189689
County Line Church	id=g:4189690
County Line Church	id=g:4189691
County Line Church	id=g:4189692
County Line Church	id=g:4189693
County Line Church	id=g:4189694
County Line Church	id=g:4189695
County Line Church	id=g:4189696
County Line Church	id=g:4189697
County Line Church	id=g:4189698
County Line Church	id=g:4189699
County Line Church	id=g:4189700
County Line Church	id=g:4189701
County Line Church	id=g:4189702
County Line Church	id=g:4189703
County Line Church	id=g:4189704
County Line Church	id=g:4189705
County Line Church	id=g:4189706
County Line Church	id=g:4189707
County Line Church	id=g:4189708
County Line Church	id=g:4189709
County Line Church	id=g:4189710
County Line Church	id=g:4189711
County Line Missionary Baptist Church	id=g:4189712
County Line Church	id=g:4189713
County Line Church (historical)	id=g:4189714
County Line Church (historical)	id=g:4189715
County Line Church (historical)	id=g:4189716
County Line Church (historical)	id=g:4189717
County Line Elementary School	id=g:4189718
County Line Heights	id=g:4189719
County Line Lake	id=g:4189720
County Line Lake Dam	id=g:4189721
County Line Park	id=g:4189722
County Line Place	id=g:4189723
County Line School	id=g:4189724
County Line School (historical)	id=g:4189725
County Line School (historical)	id=g:4189726
County Line School (historical)	id=g:4189727
County Line School (historical)	id=g:4189728
County Line School (historical)	id=g:4189729
County Line School (historical)	id=g:4189730
County Line School (historical)	id=g:4189731
County Line Swamp	id=g:4189732
County Manor	id=g:4189733
County Park Lake	id=g:4189734
County Park Lake Dam	id=g:4189735
County Police Heliport	id=g:4189736
County School Number 2	id=g:4189737
County Vocational School	id=g:4189738
Coursey Cemetery	id=g:4189739
Coursey Lake	id=g:4189740
Coursey Lake	id=g:4189741
Coursey Lake Dam	id=g:4189742
Coursey Lake Dam	id=g:4189743
Coursey School (historical)	id=g:4189744
Courson Pond	id=g:4189745
Court Ground	id=g:4189746
Courthouse	id=g:4189747
Courthouse Branch	id=g:4189748
County Line Bridge	id=g:4189749
Courthouse Square	id=g:4189750
Cousins Cemetery	id=g:4189751
Cousins Elementary School	id=g:4189752
Challenge Charter Academy	id=g:4189753
Cousins Lake	id=g:4189754
Cousins Lake Dam	id=g:4189755
Cove	id=g:4189756
Cove Branch	id=g:4189757
Courthouse Gap	id=g:4189758
Cove Church	id=g:4189759
Cove Church	id=g:4189760
Cove Creek	id=g:4189761
Cove Church	id=g:4189762
Cove Gap	id=g:4189763
The Cove	id=g:4189764
Covecrest Christian Renewal Center	id=g:4189765
Covena	id=g:4189766
Covena Branch	id=g:4189767
Cove Gap	id=g:4189768
Covenant Church	id=g:4189769
Covenant Church	id=g:4189770
Covenant Church	id=g:4189771
Covenant College	id=g:4189772
Covenant School (historical)	id=g:4189773
Coventry	id=g:4189774
Coventry Downs	id=g:4189775
Coventry Estates	id=g:4189776
Coventry Green	id=g:4189777
Coverdale	id=g:4189778
Covered Bridge	id=g:4189779
Covered Bridge	id=g:4189780
Covered Bridge Plaza Shopping Center	id=g:4189781
Covered Bridge Montessori School	id=g:4189782
Covered Bridge Shopping Center	id=g:4189783
Covey Rise Farm Cemetery	id=g:4189784
Covington	id=g:4189785
Covington Christian Church	id=g:4189786
Covington City Cemetery	id=g:4189787
Covington City Hall	id=g:4189788
Covington Corners Shopping Center	id=g:4189789
Covington Crossings Shopping Center	id=g:4189790
Covington Mill (historical)	id=g:4189791
Covington Municipal Airport	id=g:4189792
Covington Plaza Shopping Center	id=g:4189793
Covington Post Office	id=g:4189794
Covington Reservoir	id=g:4189795
Covington Reservoir Dam	id=g:4189796
Covington-Newton County Industrial Park	id=g:4189797
Cow Branch	id=g:4189798
Covenant Church	id=g:4189799
Cow Branch	id=g:4189800
Cow Creek	id=g:4189801
Cow Creek	id=g:4189802
Cow Ford Bridge	id=g:4189803
Cow Hell Swamp	id=g:4189804
Cow Horn Branch	id=g:4189805
Cow Ford School (historical)	id=g:4189806
Cow House Branch	id=g:4189807
Eagle Island	id=g:4189808
Cow Mire Branch	id=g:4189809
Cow Pen Pond	id=g:4189810
Cowan Dam	id=g:4189811
Cowan Dam	id=g:4189812
Cowan Lake	id=g:4189813
Cowan Mill Estates	id=g:4189814
Cowan Road Elementary School	id=g:4189815
Cowan Shoals	id=g:4189816
Coward Lake	id=g:4189817
Coward Lake Dam	id=g:4189818
Coward Lake Prairie	id=g:4189819
Cowart Bridge	id=g:4189820
Cowart Cemetery	id=g:4189821
Cowart Cemetery	id=g:4189822
Cowart Gap	id=g:4189823
Cowart Lake	id=g:4189824
Cowart Lake	id=g:4189825
Cowart Pond	id=g:4189826
Cowarts Mill Pond	id=g:4189827
Coweta County	id=g:4189828
Coweta County Courthouse	id=g:4189829
Coweta Raceway	id=g:4189830
Cowford Church	id=g:4189831
Cowhide Branch	id=g:4189832
Cowan Cemetery	id=g:4189833
Cowhouse Branch	id=g:4189834
Cowhouse Bay	id=g:4189835
Cowhouse Island	id=g:4189836
Cowhouse Prairie	id=g:4189837
Cowpen Branch	id=g:4189838
Cowhouse Flats	id=g:4189839
Cowpen Creek	id=g:4189840
Cowpen Creek	id=g:4189841
Cowpen Creek	id=g:4189842
Cowpen Creek	id=g:4189843
Cowpen Creek	id=g:4189844
Cowpen Mountain	id=g:4189845
Cowrock	id=g:4189846
Cowrock Creek	id=g:4189847
Cowpen Swamp	id=g:4189848
Cowrock Mountain	id=g:4189849
Cowtail Branch	id=g:4189850
Cowrock Flat	id=g:4189851
Cox	id=g:4189852
Cox (historical)	id=g:4189853
Cox Branch	id=g:4189854
Cox	id=g:4189855
Cox Branch	id=g:4189856
Cox Cemetery	id=g:4189857
Cox Creek	id=g:4189858
Cox Cemetery	id=g:4189859
Cox Creek	id=g:4189860
Cox Creek	id=g:4189861
Cox Creek	id=g:4189862
Cox Dam	id=g:4189863
Cox Lake	id=g:4189864
Cox Lake	id=g:4189865
Cox Lake	id=g:4189866
Cox Lake	id=g:4189867
Cox Lake Dam	id=g:4189868
Cox Mountain	id=g:4189869
Cox Pond	id=g:4189870
Cox Prairie	id=g:4189871
Cox School	id=g:4189872
Cox School (historical)	id=g:4189873
Cox-Morrow-Mitchell Cemetery	id=g:4189874
Coxs Crossing	id=g:4189875
Coxs Ferry (historical)	id=g:4189876
Crab Creek	id=g:4189877
Cox Hall	id=g:4189878
Crabapple	id=g:4189879
Crabapple Baptist Cemetery	id=g:4189880
Crabapple Baptist Church	id=g:4189881
Crabapple Middle School	id=g:4189882
Crafton Springs Branch	id=g:4189883
Crab Island	id=g:4189884
Craig Cemetery	id=g:4189885
Craig Creek	id=g:4189886
Craig Gap	id=g:4189887
Craig Hill	id=g:4189888
Craig School	id=g:4189889
Crain (historical)	id=g:4189890
Crandall	id=g:4189891
Crane Creek	id=g:4189892
Crafts Ferry (historical)	id=g:4189893
Crane Eater Church	id=g:4189894
Crane Eater Creek	id=g:4189895
Crane Eater	id=g:4189896
Crane Lake Dam	id=g:4189897
Crane nursing Home	id=g:4189898
Cranes Creek	id=g:4189899
Crane Lake	id=g:4189900
Cranford Branch	id=g:4189901
Cranford Cemetery	id=g:4189902
Cranford Lake	id=g:4189903
Cranford Park	id=g:4189904
Crapps Cemetery	id=g:4189905
Craston Hill	id=g:4189906
Cratic Cemetery	id=g:4189907
Cravens Hammock	id=g:4189908
Cravens Island	id=g:4189909
Cravey Pond	id=g:4189910
Crawfish Creek	id=g:4189911
Cranford Dam	id=g:4189912
Crawfish Creek	id=g:4189913
Crawfish Spring	id=g:4189914
Crawfish Valley	id=g:4189915
Crawfish Spring Lake	id=g:4189916
Crawford Baptist Church	id=g:4189917
Crawford Baptist Church	id=g:4189918
Crawford Baptist Church	id=g:4189919
Crawford Cemetery	id=g:4189920
Crawford Cemetery	id=g:4189921
Crawford Cemetery	id=g:4189922
Crawford Church	id=g:4189923
Crawford County	id=g:4189924
Crawford County Comprehensive High School	id=g:4189925
Crawford County Courthouse	id=g:4189926
Crawford County Elementary School	id=g:4189927
Crawford County Jail	id=g:4189928
Crawford County Middle School	id=g:4189929
Crawford Creek	id=g:4189930
Crawford	id=g:4189931
Crawford Creek	id=g:4189932
Crawford Creek	id=g:4189933
Crawford Creek	id=g:4189934
Crawford Grove Church	id=g:4189935
Crawford Grove School (historical)	id=g:4189936
Crawford High School (historical)	id=g:4189937
Crawford Lake	id=g:4189938
Crawford Lake	id=g:4189939
Crawford Lake	id=g:4189940
Crawford Lake Dam	id=g:4189941
Crawford Lake Dam	id=g:4189942
Crawford Lake Dam	id=g:4189943
Crawford Lakes	id=g:4189944
Long Middle School	id=g:4189945
Crawford Long Hospital of Emory University	id=g:4189946
Crawford Methodist Church	id=g:4189947
Crawford School	id=g:4189948
Crawford Spring	id=g:4189949
Crawford Square	id=g:4189950
Crawford Street School	id=g:4189951
Crawford Top	id=g:4189952
Crawford W Long Medical Museum	id=g:4189953
Crawford W Long Memorial Hospital Heliport	id=g:4189954
Crawford-Dorsey Cemetery	id=g:4189955
Crawfords Ferry (historical)	id=g:4189956
Crawfords Mill (historical)	id=g:4189957
Crawfords Store (historical)	id=g:4189958
Crawfordsville Baptist Church	id=g:4189959
Crawfordville	id=g:4189960
Crawfordville Baptist Church	id=g:4189961
Crawfordville Baptist School	id=g:4189962
Crawfordville Cemetery	id=g:4189963
Crawfordville City Hall	id=g:4189964
Crawfordville Post Office	id=g:4189965
Crawfordville Presbyterian Church	id=g:4189966
Crawfordville School (historical)	id=g:4189967
Crawfordville United Methodist Church	id=g:4189968
Crawley	id=g:4189969
Crawley Cemetery	id=g:4189970
Crawley Gap	id=g:4189971
Crawley Mountain	id=g:4189972
Craytonia	id=g:4189973
Creaseman Branch	id=g:4189974
Crawford Grove Church	id=g:4189975
Credille Lake	id=g:4189976
Credille Lake Dam	id=g:4189977
Credille Mill (historical)	id=g:4189978
Credit Hill	id=g:4189979
Credit Hill Church	id=g:4189980
Creek Cemetery	id=g:4189981
Creek Cove	id=g:4189982
Creek Hollow	id=g:4189983
Creek Hollow South	id=g:4189984
Creek Indian	id=g:4189985
Creek Island	id=g:4189986
Creek Island	id=g:4189987
Creek Ridge	id=g:4189988
Creek Subdivision	id=g:4189989
Creek View	id=g:4189990
Creek View	id=g:4189991
Creekside	id=g:4189992
Creekside Crossing Estates	id=g:4189993
Creekwood	id=g:4189994
Creekwood	id=g:4189995
Creekwood Estates	id=g:4189996
Creekwood Estates	id=g:4189997
Creekwood Estates	id=g:4189998
Creekwood Estates	id=g:4189999
Creekwood Hills	id=g:4190000
Creekwood Park	id=g:4190001
Creels Lake	id=g:4190002
Creelwood	id=g:4190003
Creelwood Trailer Park	id=g:4190004
Creighton (historical)	id=g:4190005
Creighton Island	id=g:4190006
Creighton Narrows	id=g:4190007
Creighton Narrows	id=g:4190008
Crenshaw Branch	id=g:4190009
Creddick Hill School (historical)	id=g:4190010
Crenshaw Gap	id=g:4190011
Crescent	id=g:4190012
Crescent Church	id=g:4190013
Crescent Hill Cemetery	id=g:4190014
Crescent Lake	id=g:4190015
Crescent Lake	id=g:4190016
Crescent Lake Dam	id=g:4190017
Crescent Oak	id=g:4190018
Crescent Ridge	id=g:4190019
Crescent River	id=g:4190020
Crenshaw Cemetery	id=g:4190021
Cresecent Hill Church	id=g:4190022
Cress Spring	id=g:4190023
Crest	id=g:4190024
Crest Church	id=g:4190025
Crest Hill Cemetery	id=g:4190026
Crest Lawn Memory Gardens	id=g:4190027
Crest Lookout Tower	id=g:4190028
Crest School (historical)	id=g:4190029
Crestfield	id=g:4190030
Cresthill	id=g:4190031
Cresthill Church	id=g:4190032
Crestlawn Cemetery	id=g:4190033
Crestlawn Memorial Gardens	id=g:4190034
Crestlawn Memorial Park	id=g:4190035
Crestview	id=g:4190036
Crestview Baptist Church	id=g:4190037
Crestview Church	id=g:4190038
Crestwell Heights	id=g:4190039
Crestwicke	id=g:4190040
Crestwood	id=g:4190041
Crestwood Christian Academy	id=g:4190042
Crestwood Church	id=g:4190043
Crestwood Estates	id=g:4190044
Crestwood Estates	id=g:4190045
Crestwood Golf Course	id=g:4190046
Crestwood High School	id=g:4190047
Crestwood Memorial Gardens	id=g:4190048
Creswell Hall	id=g:4190049
Crevasse Pond	id=g:4190050
Creveis Road Church	id=g:4190051
Crews Cemetery	id=g:4190052
Crews Creek	id=g:4190053
Crescent Elementary School	id=g:4190054
Crews Creek	id=g:4190055
Crews Crossing	id=g:4190056
Crews Point	id=g:4190057
Cribb Bay	id=g:4190058
Cricket Hill	id=g:4190059
Crider Creek	id=g:4190060
Crews Island	id=g:4190061
Crisp County	id=g:4190062
Crisp County Area Vocational High School	id=g:4190063
Crisp County Courthouse	id=g:4190064
Crisp County Dam	id=g:4190065
Crisp County High School	id=g:4190066
Crisp County Hospital	id=g:4190067
Crisp County Hydro-Electric Plant	id=g:4190068
Crisp County Nursing Center	id=g:4190069
Crisp County-Cordele Airport	id=g:4190070
Crisp Junior High School	id=g:4190071
Crisp Plaza Shopping Center	id=g:4190072
Crispen Island	id=g:4190073
Criswell Cemetery	id=g:4190074
Crittenden Mill (historical)	id=g:4190075
Crittle Creek	id=g:4190076
Crisp Academy	id=g:4190077
Croatan School (historical)	id=g:4190078
Crocker-Elliott Cemetery	id=g:4190079
Crocket Branch	id=g:4190080
Croaker Island	id=g:4190081
Crockett Creek	id=g:4190082
Crockett Cemetery	id=g:4190083
Crockett Lake Dam	id=g:4190084
Crodele City Hall	id=g:4190085
Crofton	id=g:4190086
Crombley Pond	id=g:4190087
Crombley Pond Dam	id=g:4190088
Cromers	id=g:4190089
Cromers Mill Covered Bridge	id=g:4190090
Cromwell Square Shopping Center	id=g:4190091
Crook Cemetery	id=g:4190092
Crooked Bay Bridge	id=g:4190093
Crooked Branch	id=g:4190094
Crockett Lake	id=g:4190095
Crooked Branch	id=g:4190096
Crooked Branch	id=g:4190097
Crooked Branch	id=g:4190098
Crooked Creek	id=g:4190099
Crooked Creek	id=g:4190100
Crooked Creek	id=g:4190101
Crooked Creek	id=g:4190102
Crooked Creek	id=g:4190103
Crooked Creek	id=g:4190104
Crooked Creek	id=g:4190105
Crooked Creek	id=g:4190106
Crooked Creek	id=g:4190107
Crooked Creek	id=g:4190108
Crooked Creek	id=g:4190109
Crooked Creek	id=g:4190110
Crooked Creek	id=g:4190111
Crooked Creek	id=g:4190112
Crooked Creek	id=g:4190113
Crooked Creek	id=g:4190114
Crooked Creek	id=g:4190115
Crooked Creek	id=g:4190116
Crooked Creek	id=g:4190117
Crooked Creek	id=g:4190118
Crooked Creek	id=g:4190119
Crooked Creek	id=g:4190120
Crooked Creek	id=g:4190121
