Hakau Fusipala	id=g:4032647
Yukarıbalcılar	id=g:296515
Yukarı Balçıklı	id=g:296516
Yukarıbalahur	id=g:296517
Yamaçlar	id=g:296518
Yukarıbağ	id=g:296519
Yukarıbademli	id=g:296520
Yukarıazıklı	id=g:296521
Doğanbağı	id=g:296522
Yukarıayşuk	id=g:296523
Yukarıayazca	id=g:296524
Yukarıavşen	id=g:296525
Yukarıavra	id=g:296526
Yukary-Arush	id=g:296527
Yukarıargıt	id=g:296528
Yukarıalınca	id=g:296529
Yukarıaliçomak	id=g:296530
Yukarıalagöz	id=g:296531
Yukarıaladağ	id=g:296532
Yukarıakpazar	id=g:296533
Yukarıakın	id=g:296534
Yukarıakçagedik	id=g:296535
Yukarı Ağzıaçık	id=g:296536
Yukarıagınsı	id=g:296537
Yukarıağadeve	id=g:296538
Yukarıadaköy	id=g:296539
Yukarı Abasiye	id=g:296540
Yudan	id=g:296541
Yüceyurt	id=g:296542
Yücetepe	id=g:296543
Yüce Tepe	id=g:296544
Yücepınar Tepe	id=g:296545
Yücepınar	id=g:296546
Yücelen	id=g:296547
Yücelen	id=g:296548
Yüceldi	id=g:296549
Yüceköy	id=g:296550
Yücekonak	id=g:296551
Yücekapı	id=g:296552
Yücebelen	id=g:296553
Yücebaş	id=g:296554
Yücebağ	id=g:296555
Yücebağ	id=g:296556
Yücebaca	id=g:296557
Yüce	id=g:296558
Yozotağı	id=g:296559
Yozgat	id=g:296560
Yozgat Deresi	id=g:296561
Yozgat	id=g:296562
Yozgat	id=g:296563
Yoyu Dağı	id=g:296564
Yorulmaz	id=g:296565
Yörükbademli	id=g:296566
Yörücekler	id=g:296567
Yortan	id=g:296568
Yörme	id=g:296569
Yorgançayır	id=g:296570
Yorgalar	id=g:296571
Yorga	id=g:296572
Yöre Çay	id=g:296573
Yöre	id=g:296574
Yorazlar	id=g:296575
Yorak Dağı	id=g:296576
Yontukyazı	id=g:296577
Yönlü	id=g:296578
Yongalı	id=g:296579
Gözen	id=g:296580
Yoncapınar	id=g:296581
Yoncalıöz	id=g:296582
Yoncalık Karşısı	id=g:296583
Çobandana	id=g:296584
Yoncalık	id=g:296585
Yoncalık	id=g:296586
Yoncalı Ilıcası	id=g:296587
Yoncalıbayır	id=g:296588
Yoncalı	id=g:296589
Yoncalı	id=g:296590
Yoncalı	id=g:296591
Yoncalık	id=g:296592
Yoncalı	id=g:296593
Yoncalı	id=g:296594
Yoncalı	id=g:296595
Yoncalı	id=g:296596
Yoncalı	id=g:296598
Yoncalı	id=g:296599
Yoncabayırı	id=g:296600
Yonca	id=g:296601
Yolyanı	id=g:296602
Yolveren	id=g:296603
Yolüstü	id=g:296604
Yolüstü	id=g:296605
Yolüstü	id=g:296606
Yolüstü	id=g:296607
Yolüstü	id=g:296608
Yoluklu	id=g:296609
Yolören	id=g:296610
Yolören	id=g:296611
Yolmaçayır	id=g:296612
Yolluyazı	id=g:296613
Yolluca	id=g:296614
Yollarüstü	id=g:296615
Yollarbaşı	id=g:296616
Yolkonak	id=g:296617
Yolkaya	id=g:296618
Yolindi	id=g:296619
Yolgözler	id=g:296620
Yolgeçen	id=g:296621
Yolgeçen	id=g:296622
Yoldüştü	id=g:296623
Yoldurağı	id=g:296624
Yoldöndü	id=g:296625
Yoldere	id=g:296626
Yoldere	id=g:296627
Yolcupınarı	id=g:296628
Yolcupınar	id=g:296629
Yolcular	id=g:296630
Yolçatı İstasyonu	id=g:296631
Yolçatı	id=g:296632
Yolçatı	id=g:296633
Yolçatı	id=g:296634
Yolçatı	id=g:296635
Yolçatı	id=g:296636
Yolbulan	id=g:296637
Yolbükü	id=g:296638
Yolboyu	id=g:296639
Yolboyu	id=g:296640
Yolbilir	id=g:296641
Yolbilen	id=g:296642
Yolbaşı	id=g:296643
Yolbaşı	id=g:296644
Yolbaşı	id=g:296645
Yolbaşı	id=g:296646
Yolaşan	id=g:296647
Yolarası	id=g:296648
Yolaltı	id=g:296649
Yolaldı	id=g:296650
Yolalan	id=g:296651
Yolağzı	id=g:296652
Yolağzı	id=g:296653
Yolağzı	id=g:296654
Yolağzı	id=g:296655
Yolağzı	id=g:296656
Yolaçan	id=g:296657
Yolaçan	id=g:296658
Yolaç	id=g:296659
Yokuşlu	id=g:296660
Yokuşbaşı Burnu	id=g:296661
Yokuşbaşı	id=g:296662
Yokuşbaşı	id=g:296663
Yokuşbağları	id=g:296664
Yoğurtyurdu	id=g:296665
Yoğurtyemez	id=g:296666
Yoğurtlu	id=g:296667
Yoğurtcular	id=g:296668
Yoğurtçular	id=g:296669
Yoğurca	id=g:296670
Yoğunsöğüt Deresi	id=g:296671
Yoğunsöğüt	id=g:296672
Yoğunoluk	id=g:296673
Yoğunoluk	id=g:296674
Yoğunoluk	id=g:296675
Yoğunoluk	id=g:296676
Yogullar	id=g:296677
Yoğunhisar	id=g:296678
Yoğunçam	id=g:296679
Yoğunca	id=g:296680
Yoğunburç	id=g:296681
Yoğunbilek	id=g:296682
Yoğunağaç	id=g:296683
Yoğun	id=g:296684
Bingöl	id=g:296685
Yırığınhan	id=g:296686
Yiricek	id=g:296687
Yircedağları	id=g:296688
Yırcaköy	id=g:296689
Yıprak	id=g:296690
Yındöndü	id=g:296691
Yılmazlı	id=g:296692
Yılmazköy	id=g:296693
Yılmaz	id=g:296694
Yıllarca	id=g:296695
Yılkıncak	id=g:296696
Yılgınözü	id=g:296697
Yıldız Tepe	id=g:296698
Yıldız Tepe	id=g:296699
Yıldızören	id=g:296700
Yıldızlı	id=g:296701
Yıldızlı	id=g:296702
Yıldızköy	id=g:296703
Yıldız Kaplıcası	id=g:296704
Yıldız Irmağı	id=g:296705
Yıldızhan	id=g:296706
Yıldızeli Irmağı	id=g:296707
Yıldızeli	id=g:296708
Yıldızlı Dağı	id=g:296709
Yıldız Adası	id=g:296710
Yıldız Adaları	id=g:296711
Yıldız	id=g:296712
Yıldız	id=g:296713
Yıldız	id=g:296714
Yıldız	id=g:296715
Yıldız	id=g:296716
Yıldırımkemal İstasyonu	id=g:296717
Yıldırımkemal	id=g:296718
Yıldırımkaya Burnu	id=g:296719
Yıldırım Dağı	id=g:296720
Yıldırım Dağı	id=g:296721
Yıldırım	id=g:296722
Yılbaşı	id=g:296723
Yılanyusuf	id=g:296724
Yılanovası	id=g:296725
Yılanlı Tepe	id=g:296726
Yılanlı Tepe	id=g:296727
Yılanlı Tepe	id=g:296728
Yılanlı Dere	id=g:296729
Yılanlı Dağ	id=g:296730
Yılanlı Dağ	id=g:296731
Yılanlı Dağ	id=g:296732
Yılanlı Çiftlik	id=g:296733
Yılanlı Ada	id=g:296734
Yılanlı	id=g:296735
Yılanlı	id=g:296736
Yılanlı	id=g:296737
Yılanlı	id=g:296738
Yılanlı	id=g:296739
Yılanlı	id=g:296740
Yılanlı	id=g:296741
Yilankaleks	id=g:296742
Yılanhüyük	id=g:296743
Yılangömü	id=g:296744
Yılangeçiren	id=g:296745
Yılan Dağı	id=g:296746
Yılancık Adası	id=g:296747
Yılanca	id=g:296748
Yılan Adası	id=g:296749
Yılan Adası	id=g:296750
Yılan Ada	id=g:296751
Yıkıntı	id=g:296752
Yıkık	id=g:296753
Yığmatepe	id=g:296754
Yiğityolu	id=g:296755
Yiğityolu	id=g:296756
Yiğityolu	id=g:296757
Yiğityatağı	id=g:296758
Yiğitpınar	id=g:296759
Yiğitler	id=g:296760
Yiğitler	id=g:296761
Yiğitler	id=g:296762
Yiğitler	id=g:296763
Yiğitler	id=g:296764
Yiğitler	id=g:296765
Yiğitler	id=g:296766
Yiğitli	id=g:296767
Yiğitler	id=g:296768
Yiğitharman	id=g:296769
Yiğitçavuş	id=g:296770
Yığıntepe	id=g:296772
Yığıntaş	id=g:296773
Uluköy	id=g:296774
Yığınlı	id=g:296775
Yığınlı	id=g:296776
Yığınkaya	id=g:296777
Yiğerler	id=g:296778
Yığar	id=g:296779
Yetkinler	id=g:296780
Yetimli	id=g:296781
Yetikli	id=g:296782
Yeşilyuva	id=g:296783
Yeşilyurt	id=g:296784
Yeşilyurt	id=g:296785
Yeşilyurt	id=g:296786
Yeşilyurt	id=g:296787
Yeşilyurt	id=g:296788
Yeşilyurt	id=g:296789
Yeşilyurt	id=g:296790
Yeşilyurt	id=g:296791
Yeşilyurt	id=g:296792
Yeşilyurt	id=g:296793
Yeşilyurt	id=g:296794
Yeşilyurt	id=g:296795
Yeşilyazı	id=g:296796
Yeşilyazı	id=g:296797
Yeşilyayla	id=g:296798
Yeşilyamaç	id=g:296799
Yeşilyaka	id=g:296800
Yeşiltömek Yaylası	id=g:296801
Yeşiltepe Gümrük Karakolu	id=g:296802
Yeşiltepe	id=g:296803
Yeşiltepe	id=g:296804
Yeşiltepe	id=g:296805
Yeşil Tepe	id=g:296806
Yeşiltaş	id=g:296807
Yeşiltaş	id=g:296808
Yeşilsu	id=g:296809
Yeşilpınar	id=g:296810
Yeşilözen	id=g:296811
Yeşilöz Çayı	id=g:296812
Yeşiloz	id=g:296813
Yeşilöz	id=g:296814
Yeşilöz	id=g:296815
Yeşilöz	id=g:296816
Yeşilöz	id=g:296817
Yeşilova	id=g:296818
Yeşilova	id=g:296819
Yeşilova	id=g:296820
Yeşilova	id=g:296821
Yeşilova	id=g:296822
Yeşilova	id=g:296823
Yeşilova	id=g:296824
Yeşilova	id=g:296825
Yeşilören	id=g:296826
Yeşiloba İstasyonu	id=g:296827
Yeşiloba	id=g:296828
Yeşiloba	id=g:296829
Yeşiloba	id=g:296830
Yeşilli	id=g:296831
Yeşilli	id=g:296832
Yeşilli	id=g:296833
Yeşiller	id=g:296834
Yeşiller	id=g:296835
Yeşilköy	id=g:296836
Yeşilköy	id=g:296837
Yeşilköy	id=g:296838
Yeşilköy	id=g:296839
Yeşilköy	id=g:296840
Yeşilköy	id=g:296841
Yeşilköy	id=g:296842
Yeşilköy	id=g:296843
Yeşilköy	id=g:296844
Yeşilköy	id=g:296845
Yeşilköy	id=g:296846
Yeşilköy	id=g:296847
Sadiye	id=g:296848
Yeşilköy	id=g:296849
Yeşilkonak	id=g:296850
Yesilkent	id=g:296851
Erzin	id=g:296852
Yeşilkaya	id=g:296853
Yeşilkavak İstasyonu	id=g:296854
Yeşilkavak	id=g:296855
Yeşilkale	id=g:296856
Yeşilhüyük	id=g:296857
Yeşilhisar	id=g:296858
Yeşilhisar	id=g:296859
Yeşilhisar	id=g:296860
Yeşilgöl Dağı	id=g:296861
Yeşilgölcük	id=g:296862
Yeşilgöl	id=g:296863
Yeşildon	id=g:296864
Yeşil Dere	id=g:296865
Yeşildere	id=g:296866
Yeşildere	id=g:296867
Yeşildere	id=g:296868
Yeşildere	id=g:296869
Yeşildağ	id=g:296870
Yeşildağ	id=g:296871
Yeşil Dağ	id=g:296872
Yeşilçukurca	id=g:296873
Yeşilçevre	id=g:296874
Yeşilce	id=g:296875
Yeşilçayır	id=g:296876
Yeşilçat	id=g:296877
Yeşilçat	id=g:296878
Yeşilburç	id=g:296879
Asingiran	id=g:296880
Yeşilbayır	id=g:296881
Yeşilbahçe	id=g:296882
Yeşilbağ	id=g:296883
Yeşilağaç	id=g:296884
Yeşilalan	id=g:296885
Nisada	id=g:296886
Yeşildal	id=g:296887
Yeserti	id=g:296888
Yesemek	id=g:296889
Yeroluk	id=g:296890
Yeroluk	id=g:296891
Yerliçoban	id=g:296892
Yerlibahçe	id=g:296893
Yerköy	id=g:296894
Yerköy	id=g:296895
Yerköy	id=g:296896
Yelkaya	id=g:296897
Yeresik	id=g:296898
Yeremi	id=g:296899
Yeregeçen	id=g:296900
Yerebakan	id=g:296901
Yerdelen	id=g:296902
Yeniyuva	id=g:296903
Yeniyürük	id=g:296904
Yeniyurt	id=g:296905
Yeniyurt	id=g:296906
Yeniyurt	id=g:296907
Yeniyurt	id=g:296908
Yeniyol	id=g:296909
Yeniyıldız	id=g:296910
Yeniyayla	id=g:296911
Yeniyayla	id=g:296912
Yeniyayla	id=g:296913
Yeniyassıpınar	id=g:296914
Yeniyapanşeyhli	id=g:296915
Yeniyapançarşak	id=g:296916
Yeniyapan	id=g:296917
Yeniyapan	id=g:296918
Yeniyapan	id=g:296919
Yeniyapan	id=g:296920
Yeniyapan	id=g:296921
Yeniyapan	id=g:296922
Yeniyapan	id=g:296923
Yeniyapan	id=g:296924
Yeniyapan	id=g:296925
Yeniyapan	id=g:296926
Aşağıyeniyapan	id=g:296927
Yeniyaka	id=g:296928
Yenitoprak	id=g:296929
Yeni Tepeler	id=g:296930
Yenisu	id=g:296931
Yenisu	id=g:296932
Yenisu	id=g:296933
Yenisu	id=g:296934
Yenisöğüt	id=g:296935
Yenişeyh	id=g:296936
Yenişehir Harabeleri	id=g:296937
Yenişehir	id=g:296938
Yenişehir	id=g:296939
Yenişehir	id=g:296940
Yenişehir	id=g:296941
Yenişarbademli	id=g:296942
Yenişakran	id=g:296943
Yenişabanlı	id=g:296944
Yenipınar	id=g:296945
Yenipınar	id=g:296946
Yenipınar	id=g:296947
Yenipazar	id=g:296948
Yenipazar	id=g:296949
Yenipazar	id=g:296950
Yenioba	id=g:296951
Yenimescit	id=g:296952
Yenimehmetli	id=g:296953
Yenimahalle	id=g:296954
Yeni Mahalle	id=g:296955
Yenimahalle	id=g:296956
Yenilmez	id=g:296957
Yeniliman	id=g:296958
Yenili	id=g:296959
Yeniler	id=g:296960
Yeniler	id=g:296961
Yenikuyu Yaylası	id=g:296962
Yenikuyu	id=g:296963
Yeniköy Yaylası	id=g:296964
Yeniköynazımbey	id=g:296965
Yeniköy Deresi	id=g:296966
Yeniköy Deresi	id=g:296967
Yeniköy	id=g:296968
Yeniköy	id=g:296969
Yeniköy	id=g:296970
Yeniköy	id=g:296971
Yeniköy	id=g:296972
Yeniköy	id=g:296973
Yeniköy	id=g:296974
Yeniköy	id=g:296975
Yeniköy	id=g:296976
Yeniköy	id=g:296977
Yeniköy	id=g:296978
Yeniköy	id=g:296979
Yenikent	id=g:296980
Yeniköy	id=g:296981
Yeniköy	id=g:296982
Yeniköy	id=g:296983
Yeniköy	id=g:296984
Yeniköy	id=g:296985
Yeni	id=g:296986
Yeniköy	id=g:296987
Yeniköy	id=g:296988
Paşadüzü	id=g:296989
Yeniköy	id=g:296990
Yeniköy	id=g:296991
Yeniköy	id=g:296992
Yeniköy	id=g:296993
Yeniköy	id=g:296994
Yeniköy	id=g:296995
Yeniköy	id=g:296996
Yeniköy	id=g:296997
Yeniköy	id=g:296998
Yeniköy	id=g:296999
Yeniköy	id=g:297000
Yeniköy	id=g:297001
Yeniköy	id=g:297002
Yeniköy	id=g:297003
Yeniköy	id=g:297004
Yeniköy	id=g:297005
Yeniköy	id=g:297006
Hara	id=g:297007
Yeniköy	id=g:297008
Yeniköy	id=g:297009
Yeniköy	id=g:297010
Yeniköy	id=g:297011
Yeniköy	id=g:297012
Yeniköy	id=g:297013
Yeniköy	id=g:297014
Yeniköy	id=g:297015
Yeniköy	id=g:297016
Yeniköy	id=g:297017
Yeniköy	id=g:297018
Yeniköy	id=g:297019
Yeniköy	id=g:297020
Yeniköy	id=g:297021
Yeniköy	id=g:297022
Yeniköy	id=g:297023
Yeniköy	id=g:297024
Yeniköy	id=g:297025
Yeniköy	id=g:297026
Yeniköy	id=g:297027
Hüseyinik	id=g:297028
Yeniköy	id=g:297029
Yeniköy	id=g:297030
Yeniköy	id=g:297031
Yeniköy	id=g:297032
Yeniköy	id=g:297033
Yeniköy	id=g:297034
Yeniköy	id=g:297035
Yeniköy	id=g:297036
Yeniköy	id=g:297037
Yeniköy	id=g:297038
Yeniköy	id=g:297039
Yeniköy	id=g:297040
Yeniköy	id=g:297041
Yeniköy	id=g:297042
Yeniköy	id=g:297043
Yeniköy	id=g:297044
Yeniköy	id=g:297045
Yeniköy	id=g:297046
Yeniköy	id=g:297047
Yeniköy	id=g:297048
Yeniköy	id=g:297049
Yeniköy	id=g:297050
Yeniköy	id=g:297051
Yeniköy	id=g:297052
Yeniköy	id=g:297053
Yeniköy	id=g:297054
Yeniköy	id=g:297055
Yeniköy	id=g:297056
Yeniköy	id=g:297057
Yeniköy	id=g:297058
Yeniköy	id=g:297059
Yeniköy	id=g:297060
Yeniköy	id=g:297061
Yeniköy	id=g:297062
Yeniköy	id=g:297063
Yeniköy	id=g:297064
Yeniköy	id=g:297065
Yeniköy	id=g:297066
Akçahüyük	id=g:297067
Yeniköy	id=g:297068
Yeniköy	id=g:297069
Yeniköy	id=g:297070
Yeniköy	id=g:297071
Yeniköy	id=g:297072
Yeniköy	id=g:297073
Yeniköprü Çayı	id=g:297074
Yeniköprü	id=g:297075
Yeniköprü	id=g:297076
Yenikonak	id=g:297077
Yenikızılelma	id=g:297078
Yeni Kızılcaviran	id=g:297079
Yenikışla	id=g:297080
Yenikışla	id=g:297081
Yenikent	id=g:297082
Yenikaya	id=g:297083
Yenikavak	id=g:297084
Yenikarahisar	id=g:297085
Yenikarabağ	id=g:297086
Yenikanal	id=g:297087
Yenikale	id=g:297088
Yenihisar	id=g:297089
Didim	id=g:297090
Yenihayat	id=g:297091
Yeniharman	id=g:297092
Yenihamur	id=g:297093
Yenigüney	id=g:297094
Yenigün	id=g:297095
Yenice Koyu	id=g:297096
Yenifoça	id=g:297097
Yenifarsak	id=g:297098
Yenifakılı	id=g:297099
Yenievler	id=g:297100
Yenidudaş	id=g:297101
Yenidoğdu	id=g:297102
Yenidoğanlı	id=g:297103
Yenidoğan İstasyonu	id=g:297104
Yenidoğan	id=g:297105
Yenidoğan	id=g:297106
Yenidoğan	id=g:297107
Yenidoğan	id=g:297108
Yenidodurga	id=g:297109
Yenidere Çayı	id=g:297110
Yenidemir	id=g:297111
Yenidemir	id=g:297112
Yenideğirmen	id=g:297113
Yenidamlar	id=g:297114
Yenidam	id=g:297115
Yenidağ	id=g:297116
Yeniçubuk	id=g:297117
Yeniçubuk	id=g:297118
Yenice	id=g:297119
Yeniçiftlik	id=g:297120
Seni Ciftlik	id=g:297121
Yenice Yaylası	id=g:297122
Yeniçevre	id=g:297123
Yenicepınar	id=g:297124
Yeniceoba	id=g:297125
Yeniceoba	id=g:297126
Yeniceli	id=g:297127
Yeniceköyçiftliği	id=g:297128
Yeniceköy	id=g:297129
Yeniceköy	id=g:297130
Yeniceköy	id=g:297131
Yenicekörpeli	id=g:297132
Yenice	id=g:297133
Yenicekaya	id=g:297134
Yenicekale	id=g:297135
Yenicekale	id=g:297136
Yenice İstasyonu	id=g:297137
Yeniceisağir	id=g:297138
Yenice Deresi	id=g:297139
Yıldız Dağı	id=g:297140
Yenicebaşımkızdı	id=g:297141
Yenice	id=g:297142
Yenicearmutcuk	id=g:297143
Yenice	id=g:297144
Yenice	id=g:297145
Yenice	id=g:297146
Yenice	id=g:297147
Yenice	id=g:297148
Yenice	id=g:297149
Yenice	id=g:297150
Yenice	id=g:297151
Yenice	id=g:297152
Yenice	id=g:297153
Yenice	id=g:297154
Yenice	id=g:297155
Yenice	id=g:297156
Yenice	id=g:297157
Yenice	id=g:297158
Yenice	id=g:297159
Yenice	id=g:297160
Doğankuş	id=g:297161
Yenice	id=g:297162
Yenice	id=g:297163
Yenice	id=g:297164
Yenice	id=g:297165
Yenice	id=g:297166
Yenice	id=g:297167
Yenice	id=g:297168
Yenice	id=g:297169
Yenicekent	id=g:297170
Yenice	id=g:297171
Yenice	id=g:297172
Yenice	id=g:297173
Yenice	id=g:297174
Yenice	id=g:297175
Yenice	id=g:297176
Yenice	id=g:297177
Yenice	id=g:297178
Yenice	id=g:297179
Yenice	id=g:297180
Yenice	id=g:297181
Yenice	id=g:297182
Yenice	id=g:297183
Yenice	id=g:297184
Yenice	id=g:297185
Yenice	id=g:297186
Yeniçay	id=g:297187
Yeniçam	id=g:297188
Yeniçağlar	id=g:297189
Yeniçadır	id=g:297190
Yenibucak	id=g:297191
Yeniboğazkesen	id=g:297192
Yenibektaşlı	id=g:297193
Yenibaşlar	id=g:297194
Yenibaşak	id=g:297195
Yenibaş	id=g:297196
Yenibardak	id=g:297197
Yenibalcı	id=g:297198
Yenibahçe	id=g:297199
Yenibahçe	id=g:297200
Yenibahçe	id=g:297201
Yenibağarası	id=g:297202
Yeniaydın	id=g:297203
Yeniapardı	id=g:297204
Yenianahşa	id=g:297205
Yenialibudak	id=g:297206
Yeni	id=g:297207
Yeni	id=g:297208
Yendiğin	id=g:297209
Yenbey	id=g:297210
Yemliha	id=g:297211
Yemişveren	id=g:297212
Yemişlik	id=g:297213
Yemişlık	id=g:297214
Yemişli	id=g:297215
Yemişli	id=g:297216
Yemişli	id=g:297217
Yemişler	id=g:297218
Yemişendere	id=g:297219
Yemişen	id=g:297220
Yemiş Dağı	id=g:297221
Yeltepe	id=g:297222
Yelten Deresi	id=g:297223
Yelten	id=g:297224
Yelmez	id=g:297225
Yellikuyu	id=g:297226
Yellikaya Dağı	id=g:297227
Yellikavak	id=g:297228
Yelli Deresi	id=g:297229
Yellice Dağı	id=g:297230
Yellice Adası	id=g:297231
Yellice	id=g:297232
Yellice	id=g:297233
Yellice	id=g:297234
Yellice	id=g:297235
Yellice	id=g:297236
Yelliburun	id=g:297237
Yellibeltepeleri	id=g:297238
Yellibel	id=g:297239
Yelkıran	id=g:297240
Yelki	id=g:297241
Yelki	id=g:297242
Yelkesen	id=g:297243
Yelkesen	id=g:297244
Yelkenli Dağı	id=g:297245
Yelkenli	id=g:297246
Yelken	id=g:297247
Yelkalesi	id=g:297248
Yelesen	id=g:297249
Yelek Tepe	id=g:297250
Yekozan	id=g:297251
Yelekli Yayla	id=g:297252
Yelekli	id=g:297253
Yelekli	id=g:297254
Yelekçe Tepesi	id=g:297255
Yelek	id=g:297256
Yeleğen	id=g:297257
Yeldeğirmeni Tepe	id=g:297258
Yeldeğirmeni Dağı	id=g:297259
Yeldeğirmeni	id=g:297260
Yeldeğen	id=g:297261
Yeldağı Tepe	id=g:297262
Yelbeyi	id=g:297263
Yelbastı	id=g:297264
Yelattı Dağı	id=g:297265
Yelatan	id=g:297266
Yekmalbardik	id=g:297267
Yücelik	id=g:297268
Yekmal	id=g:297269
Yekmal	id=g:297270
Yekmal	id=g:297271
Yekekümbet	id=g:297272
Yeğinler	id=g:297273
Yeger	id=g:297274
Yeğenoba	id=g:297275
Yeğenli	id=g:297276
Yeğenli	id=g:297277
Yeğencik	id=g:297278
Yegân	id=g:297279
Yediyol	id=g:297280
Yediyol	id=g:297281
Yediyaprak	id=g:297282
Yeditepeler	id=g:297283
Yeditepe	id=g:297284
Yeditaş	id=g:297285
Yedisu	id=g:297286
Yedişehir	id=g:297287
Yedisalkım	id=g:297288
Yedipınar	id=g:297289
Hasanören	id=g:297290
Yedioluk	id=g:297291
Yedioluk	id=g:297292
Yediler Tepesi	id=g:297293
Yediler Tepesi	id=g:297294
Yedikuyular Yaylası	id=g:297295
Yedikuyu	id=g:297296
Yedikuyu	id=g:297297
Yedikavak	id=g:297298
Yedigöze	id=g:297299
Yedigöz	id=g:297300
Yedigöller Deresi	id=g:297301
Yediburunlar	id=g:297302
Yedi Burun Başı	id=g:297303
Yedibölük	id=g:297304
Yediadalar	id=g:297305
Nefirtaş	id=g:297306
Yazyurdu	id=g:297307
Yazyurdu	id=g:297308
Yazpınar	id=g:297309
Yazören	id=g:297310
Yazman	id=g:297311
Yazlıpınar	id=g:297312
Yazlık	id=g:297313
Gora Kherakul	id=g:297314
Yazlı	id=g:297315
Yazlamazlı	id=g:297316
Yazlamazlı	id=g:297317
Yazla	id=g:297318
Yazıtepe	id=g:297319
Yazısöğüt	id=g:297320
Yazırlı	id=g:297321
Yazırköy	id=g:297322
Yazırköy	id=g:297323
Yazır Gölü	id=g:297324
Yazır Dağı	id=g:297325
Yazır Çayı	id=g:297326
Yazır	id=g:297327
Yazir	id=g:297328
Yazır	id=g:297329
Yazır	id=g:297330
Yazır	id=g:297331
Yazır	id=g:297332
Yazır	id=g:297333
Yazır	id=g:297334
Yazır	id=g:297335
Yazır	id=g:297336
Yazır	id=g:297337
Yazır	id=g:297338
Yazır	id=g:297339
Yazıpınar	id=g:297340
Yazıören	id=g:297341
Yazıören	id=g:297342
Yazıören	id=g:297343
Yazılıtaş	id=g:297344
Yazılıtaş	id=g:297345
Yazılıtaş	id=g:297346
Yazılıkaya Yaylası	id=g:297347
Yazılıkaya	id=g:297348
Yazılıkavak	id=g:297349
Yazılıbecer	id=g:297350
Yazılı	id=g:297351
Yazılı	id=g:297352
Yazılı	id=g:297353
Nazilli	id=g:297354
Yazılı	id=g:297355
Yazılı	id=g:297356
Yazıkumca	id=g:297357
Yazıköy	id=g:297358
Yazıköy	id=g:297359
Yazıköy	id=g:297360
Yazıköy	id=g:297361
Yazıkonak	id=g:297362
Yazıkışla	id=g:297363
Yazıkınık	id=g:297364
Yazıkent	id=g:297365
Yazıkaya	id=g:297366
Yazıkbademce	id=g:297367
Yazıkaplancı	id=g:297368
Yazıhüyük	id=g:297369
Yahizanlar	id=g:297370
Yazıhan	id=g:297371
Yazıhan	id=g:297372
Yazıhacı	id=g:297373
Yazıfidi	id=g:297374
Yazı Deresi	id=g:297375
Yazıdere	id=g:297376
Yazıcık	id=g:297377
Yazıçepni	id=g:297378
Yazıçayırı	id=g:297379
Yazıbeydili	id=g:297380
Yazıbelen	id=g:297381
Yazıbaşı	id=g:297382
Yazıbaşı	id=g:297383
Yazıbaşı	id=g:297384
Yazıbaşı	id=g:297385
Yazıbaşı	id=g:297386
Yazıbağı	id=g:297387
Yazı	id=g:297388
Yazıköy	id=g:297389
Yazıköy	id=g:297390
Yazı	id=g:297391
Yazı	id=g:297392
Yazgünü	id=g:297393
Yazgüneşi	id=g:297394
Yazgülü	id=g:297395
Yazgirler	id=g:297396
Yazgı	id=g:297397
Yazgediği	id=g:297398
Yazeli	id=g:297399
Yazdamı	id=g:297400
Yazbeleni Yaylası	id=g:297401
Yazbaşı	id=g:297402
Yayvantepe	id=g:297403
Yayvantepe	id=g:297404
Yayvan	id=g:297405
Yaytaş	id=g:297406
Yayman	id=g:297407
Yaylıyaka	id=g:297408
Yaylımlı	id=g:297409
Yaylım Dağı	id=g:297410
Yaylım	id=g:297411
Yaylım	id=g:297412
Yaylıca Dağı	id=g:297413
Yaylıca	id=g:297414
Yaylıca	id=g:297415
Yaylı	id=g:297416
Yaylayurt	id=g:297417
Yaylayolu	id=g:297418
Yaylayolu	id=g:297419
Yaylaüstü	id=g:297420
Yaylatepe	id=g:297421
Yayla Tepe	id=g:297422
Yayla Tepe	id=g:297423
Yaylasuyu	id=g:297424
Yaylasuyu	id=g:297425
Yaylasöğüt	id=g:297426
Yaylapınar	id=g:297427
Yaylapınar	id=g:297428
Yaylapınar	id=g:297429
Yaylapınar	id=g:297430
Yaylapazarı	id=g:297431
Yaylaolu	id=g:297432
Yaylalıözü	id=g:297433
Yaylalık	id=g:297434
Yaylalı	id=g:297435
Yaylalar	id=g:297436
Yaylakuzdere	id=g:297437
Yaylakuyumcular	id=g:297438
Yaylakürtül	id=g:297439
Yaylaköyü	id=g:297440
Yaylaköy	id=g:297441
Yaylaköy	id=g:297442
Yaylaköy	id=g:297443
Yaylaköy	id=g:297444
Yaylaköy	id=g:297445
Yaylaköy	id=g:297446
Yaylaköy	id=g:297447
Yaylaköy	id=g:297448
Yaylakonak	id=g:297449
Yaylakonak	id=g:297450
Yaylakonak	id=g:297451
Yaylakent	id=g:297452
Yaylak	id=g:297453
Yaylak	id=g:297454
Yaylak	id=g:297455
Yaylak	id=g:297456
Yaylagünü	id=g:297457
Yaylaevleri	id=g:297458
Yayladüzü	id=g:297459
Yayladüzü	id=g:297460
Yayladere	id=g:297461
Yayladamı	id=g:297462
Yayladam	id=g:297463
Yayladalı	id=g:297464
Yayladalı	id=g:297465
Yayladağı	id=g:297466
Yayla Dağı	id=g:297467
