Beji	id=g:6388519
Pesanggi	id=g:6389824
Sikendog	id=g:6389825
Pesawahan	id=g:6389826
Gunung Rataamba	id=g:6389827
Karanggondang	id=g:6389828
Kutasari	id=g:6389829
Sirengge	id=g:6389830
Ragung	id=g:6389831
Glempang Kulon	id=g:6389832
Kubangan	id=g:6389833
Glempang Wetan	id=g:6389834
Sambirata	id=g:6389835
Karangjengkol	id=g:6389836
Karangkobar	id=g:6389837
Kembang	id=g:6389839
Lendra	id=g:6389840
Semingkir	id=g:6389841
Baron	id=g:6389842
Mungguhan	id=g:6389843
Sokawera	id=g:6389844
Banyumudal	id=g:6389845
Kecubug	id=g:6389846
Sokaciri	id=g:6389847
Gunung Pecokol	id=g:6389848
Gunung Beser	id=g:6389849
Semaya	id=g:6389850
Buwaran	id=g:6389851
Windusari	id=g:6389852
Pondoklakah	id=g:6389853
Cibun	id=g:6389854
Rabuk	id=g:6389855
Karangjengkol	id=g:6389856
Karangpelem	id=g:6389857
Karangtengah Lor	id=g:6389858
Karangtengah Kidul	id=g:6389859
Kecubug	id=g:6389860
Walangsanga	id=g:6389861
Sunyalangu	id=g:6389862
Karangpucung Kulon	id=g:6389863
Wates	id=g:6389864
Araara	id=g:6389865
Nakim	id=g:6389866
Baseh	id=g:6389867
Kalisalak	id=g:6389868
Karanggedang	id=g:6389869
Karangmanggis	id=g:6389870
Krajan	id=g:6389871
Karangkuning	id=g:6389872
Peninis	id=g:6389873
Gunung Cendana	id=g:6389874
Depok	id=g:6389875
Kaliputra	id=g:6389876
Selarendeng	id=g:6389877
Garung	id=g:6389878
Kalongbalik	id=g:6389879
Kali Belot	id=g:6389880
Dukuhanyar	id=g:6389881
Tagama	id=g:6389882
Tinggarjaya	id=g:6389883
Kalikesur	id=g:6389884
Dukuhkewol	id=g:6389885
Cikalan	id=g:6389886
Puja	id=g:6389887
Pluwang	id=g:6389888
Gunungsumbul	id=g:6389889
Karangnangka	id=g:6389890
Paduraksa	id=g:6389891
Sabrang Kulon	id=g:6389892
Kutaliman Tengah	id=g:6389893
Cacaban	id=g:6389894
Prangkokan	id=g:6389895
Babakangunung	id=g:6389896
Babakan Kulon	id=g:6389897
Kemo	id=g:6389898
Sawangan	id=g:6389899
Karangtengah	id=g:6389900
Melung	id=g:6389901
Kalipagu	id=g:6389902
Penisihan	id=g:6389903
Ketenger	id=g:6389904
Wanasuka	id=g:6389905
Karangpule	id=g:6389906
Munggangsari	id=g:6389907
Menggala Wetan	id=g:6389908
Brobahanampel	id=g:6389909
Sidatuwuh	id=g:6389910
Karangsalam	id=g:6389911
Kemutug Lor	id=g:6389912
Ketayasa	id=g:6389913
Kemutug Kidul	id=g:6389914
Karangbatur	id=g:6389915
Gerlangu	id=g:6389916
Muntang	id=g:6389917
Muntuk	id=g:6389918
Manisan	id=g:6389919
Talun	id=g:6389920
Kedu	id=g:6389921
Lokasari	id=g:6389922
Kedungbalung	id=g:6389923
Bulujangkar	id=g:6389924
Tambakwaleh	id=g:6389925
Sarirata	id=g:6389926
Sidamulya	id=g:6389927
Pamijen	id=g:6389928
Karangduren	id=g:6389929
Sokawera	id=g:6389930
Takom	id=g:6389931
Pagujangan	id=g:6389932
Gunungputri	id=g:6389933
Kali Gumawang	id=g:6389934
Kecamatan Baturaden	id=g:6389935
Kecamatan Cilongok	id=g:6389936
Kecamatan Kedungbanteng	id=g:6389937
Tipar	id=g:6389938
Desa Kawungcarang	id=g:6389939
Desa Karanggintung	id=g:6389940
Desa Kebanggan	id=g:6389941
Desa Tambaksogra	id=g:6389942
Desa Tambaksari Kidul	id=g:6389943
Kelurahan Karangwangkal	id=g:6389944
Kelurahan Arcawinangun	id=g:6389945
Desa Dukuhwaluh	id=g:6389946
Desa Karangsoka	id=g:6389947
Desa Bantarwuni	id=g:6389948
Desa Karangsari	id=g:6389949
Desa Linggasari	id=g:6389950
Desa Purbadana	id=g:6389951
Desa Sumbang	id=g:6389952
Desa Karangcegak	id=g:6389953
Desa Karangturi	id=g:6389954
Desa Kembaran	id=g:6389955
Desa Purwodadi	id=g:6389956
Desa Sambeng Kulon	id=g:6389957
Desa Sambeng Wetan	id=g:6389958
Desa Karangpule	id=g:6389959
Desa Sokawera	id=g:6389960
Desa Kedungwuluh	id=g:6389961
Desa Silado	id=g:6389962
Desa Kalitinggar	id=g:6389963
Desa Padamara	id=g:6389964
Desa Bojonegara	id=g:6389965
Desa Gemuruh	id=g:6389966
Desa Karangjambe	id=g:6389967
Desa Babakan	id=g:6389968
Kelurahan Kandanggampang	id=g:6389969
Kelurahan Kalikabong	id=g:6389970
Desa Selabaya	id=g:6389971
Desa Klapasawit	id=g:6389972
Desa Karangsalam	id=g:6389973
Kelurahan Karangsentul	id=g:6389974
Desa Manduraga	id=g:6389975
Desa Karangsari	id=g:6389976
Desa Kalimanah Kulon	id=g:6389977
Desa Kramat	id=g:6389978
Desa Banjaranyar	id=g:6389979
Desa Lemberang	id=g:6389980
Desa Jompo Kulon	id=g:6389981
Desa Jompo	id=g:6389982
Desa Blater	id=g:6389983
Desa Rabak	id=g:6389984
Desa Gambarsari	id=g:6389985
Desa Karangpetir	id=g:6389986
Desa Toyareka	id=g:6389987
Desa Sidakangen	id=g:6389988
Desa Kalimanah Wetan	id=g:6389989
Desa Grecol	id=g:6389990
Kelurahan Bojong	id=g:6389991
Kelurahan Penambongan	id=g:6389992
Kelurahan Mewek	id=g:6389993
Kelurahan Karangmanyar	id=g:6389994
Kelurahan Purbalingga Wetan	id=g:6389995
Kelurahan Purbalingga Kidul	id=g:6389996
Kelurahan Purbalingga Lor	id=g:6389997
Kelurahan Wirasana	id=g:6389998
Kelurahan Kembaran Kulon	id=g:6389999
Desa Muntang	id=g:6390000
Desa Pegandekan	id=g:6390001
Desa Senon	id=g:6390002
Desa Sumilir	id=g:6390003
Desa Kalialang	id=g:6390004
Desa Karangtengah	id=g:6390005
Desa Banjarsari Kidul	id=g:6390006
Desa Kalisogra Wetan	id=g:6390007
Desa Kalicupak Lor	id=g:6390008
Desa Kalicupak Kidul	id=g:6390009
Desa Sokaraja Wetan	id=g:6390010
Desa Sokaraja Kidul	id=g:6390011
Desa Petir	id=g:6390012
Desa Klahang	id=g:6390013
Desa Karangduren	id=g:6390014
Desa Sokaraja Lor	id=g:6390015
Desa Kedongdong	id=g:6390016
Desa Pliken	id=g:6390017
Desa Karangtengah Kidul	id=g:6390018
Desa Ledug	id=g:6390019
Desa Bojongsari	id=g:6390020
Kelurahan Purwokerto Wetan	id=g:6390021
Kelurahan Mersi	id=g:6390022
Kelurahan Purwokerto Kidul	id=g:6390023
Kelurahan Berkoh	id=g:6390024
Desa Pamijen	id=g:6390025
Desa Karangrau	id=g:6390026
Desa Karangnanas	id=g:6390027
Desa Sokaraja Kulon	id=g:6390028
Desa Karangkedawung	id=g:6390029
Desa Kalikidang	id=g:6390030
Desa Pekaja	id=g:6390031
Desa Wlahar Kulon	id=g:6390032
Desa Wlahar Wetan	id=g:6390033
Desa Sokawera Kidul	id=g:6390034
Desa Wiradadi	id=g:6390035
Desa Karangdadap	id=g:6390036
Desa Sokaraja Tengah	id=g:6390037
Desa Kalibagor	id=g:6390038
Desa Pajerukan	id=g:6390039
Desa Suro	id=g:6390040
Desa Kedungbenda	id=g:6390041
Desa Plana	id=g:6390042
Desa Bokol	id=g:6390043
Desa Pelumutan	id=g:6390044
Kecamatan Padamara	id=g:6390045
Kecamatan Kembaran	id=g:6390046
Kecamatan Kalimanah	id=g:6390047
Kecamatan Sokaraja	id=g:6390048
Kecamatan Kalibagor	id=g:6390049
Desa Somakaton	id=g:6390050
Kecamatan Purwokerto Timur	id=g:6390051
Karanggintung	id=g:6390052
Randegan	id=g:6390053
Kebanggan	id=g:6390054
Brobot	id=g:6390055
Sidakangen	id=g:6390056
Penariban	id=g:6390057
Candratara	id=g:6390058
Simog	id=g:6390059
Jompo	id=g:6390060
Kikiran	id=g:6390061
Kalijawe	id=g:6390062
Karangmalang	id=g:6390063
Damartoharjo	id=g:6390064
Kalitinggar	id=g:6390065
Padamara	id=g:6390066
Sabrang	id=g:6390067
Sidahurip	id=g:6390068
Bojonegara	id=g:6390069
Pasanggrahan	id=g:6390070
Karangkabur	id=g:6390071
Karanganyar	id=g:6390072
Sirongge	id=g:6390073
Keputren	id=g:6390074
Sidamulya	id=g:6390075
Kembaran	id=g:6390076
Karangaglik	id=g:6390077
Pepabri	id=g:6390078
Wirasanaindah	id=g:6390079
Celeleng	id=g:6390080
Wirasana	id=g:6390081
Keponggok	id=g:6390082
Purbalingga Wetan	id=g:6390083
Purbalingga Kidul	id=g:6390084
Purbalingga Kulon	id=g:6390085
Kandangmenjangan	id=g:6390086
Karangsentul	id=g:6390087
Sanggrahan	id=g:6390088
Slatriwilangan	id=g:6390089
Slatri	id=g:6390090
Karangjambe	id=g:6390091
Kali Guyud	id=g:6390092
Depok Wetan	id=g:6390093
Kali Panemon	id=g:6390094
Berubahan	id=g:6390095
Panegar	id=g:6390096
Tinggarjaya	id=g:6390097
Sokawera	id=g:6390098
Sidamulya	id=g:6390099
Karangjati	id=g:6390100
Karangturi	id=g:6390101
Silado	id=g:6390102
Karangbenda	id=g:6390103
Karangcegak	id=g:6390104
Karangtalun	id=g:6390105
Kalisogra Wetan	id=g:6390106
Kalisogra	id=g:6390107
Tambaksogra	id=g:6390108
Kawungcarang	id=g:6390109
Kedungares	id=g:6390110
Kedungmalang	id=g:6390111
Wadasjongor	id=g:6390112
Lokasari	id=g:6390113
Kali Pangkon	id=g:6390114
Margasari	id=g:6390115
Tambaksari Kidul	id=g:6390116
Purbasari	id=g:6390117
Gombongan	id=g:6390118
Bantarwuni	id=g:6390119
Glempang	id=g:6390120
Wera	id=g:6390121
Karangkemiri	id=g:6390122
Linggasari	id=g:6390123
Purbasari	id=g:6390124
Bakung Kidul	id=g:6390125
Bakung Kulon	id=g:6390126
Bakung Lor	id=g:6390127
Sambeng Wetan	id=g:6390128
Depok Kidul	id=g:6390129
Depok	id=g:6390130
Karangjambewilangan	id=g:6390131
Wilangan	id=g:6390132
Rupakpijis	id=g:6390133
Mijen	id=g:6390134
Karangklesem	id=g:6390135
Babakan	id=g:6390136
Karangpoh Kulon	id=g:6390137
Kandanggampang	id=g:6390138
Pepedan	id=g:6390139
Ngebong	id=g:6390140
Karangpoh Wetan	id=g:6390141
Penambongan	id=g:6390142
Bancar	id=g:6390143
Sipetung	id=g:6390144
Mewek	id=g:6390145
Kalijebug	id=g:6390146
Perumahan Nasional Karangmanyar	id=g:6390147
Karangmanyar	id=g:6390148
Dukuh	id=g:6390149
Larangan	id=g:6390150
Kalikabong	id=g:6390151
Karangsambong	id=g:6390152
Selabaya	id=g:6390153
Kebogelo	id=g:6390154
Pejikalan	id=g:6390155
Klapasawit	id=g:6390156
Kedungwuluh Satu	id=g:6390157
Kedungwuluh	id=g:6390158
Karangwinong	id=g:6390159
Cakra	id=g:6390160
Karangpule	id=g:6390161
Sambeng Kulon	id=g:6390162
Wringinpitu	id=g:6390163
Sigendu	id=g:6390164
Karangduwur	id=g:6390165
Cingkrang	id=g:6390166
Purbadana	id=g:6390167
Larangan	id=g:6390168
Dukuh Kidul	id=g:6390169
Karangsari	id=g:6390170
Karangsoka	id=g:6390171
Dampit	id=g:6390172
Dukuhwulung	id=g:6390173
Wulung	id=g:6390174
Karangwangkal	id=g:6390175
Limaspermai	id=g:6390176
Arcawinangun	id=g:6390177
Kali Pelus	id=g:6390178
Dukuhwaluh	id=g:6390179
Tegalmulya	id=g:6390180
Purwodadi	id=g:6390181
Bedahan	id=g:6390182
Kramat	id=g:6390183
Kramatdawa	id=g:6390184
Manduraga	id=g:6390185
Karangsari	id=g:6390186
Kalimanah Wetan	id=g:6390187
Kalimanah Kulon	id=g:6390188
Grecol	id=g:6390189
Ketemanggungan	id=g:6390190
Kebanaran	id=g:6390191
Karangjambe	id=g:6390192
Pademangan	id=g:6390193
Kalibogor	id=g:6390194
Karangpetir	id=g:6390195
Jurik	id=g:6390196
Ngadisana	id=g:6390197
Sidakangen	id=g:6390198
Blaterduwur	id=g:6390199
Karangso	id=g:6390200
Karangkedawung	id=g:6390201
Karangaglik	id=g:6390202
Jurangmangu	id=g:6390203
Dukuhgedor	id=g:6390204
Bendasari	id=g:6390205
Dukuhmekar	id=g:6390206
Karangtengah Kidul	id=g:6390207
Bojongsari	id=g:6390208
Kedunglongsir	id=g:6390209
Kejawar	id=g:6390210
Kepetek	id=g:6390211
Kedungparuk	id=g:6390212
Purwokerto Wetan	id=g:6390213
Pertabatan	id=g:6390214
Samudra	id=g:6390215
Karangreja	id=g:6390216
Legok	id=g:6390217
Kebonkapol	id=g:6390218
Pejagalan	id=g:6390219
Karanganyar	id=g:6390220
Sokayasa	id=g:6390221
Mersi	id=g:6390222
Pesanggrahan	id=g:6390223
Pejaten	id=g:6390224
Ledug Lor	id=g:6390225
Kalawiri	id=g:6390226
Pliken	id=g:6390227
Gemilir	id=g:6390228
Jurig	id=g:6390229
Kedungnini	id=g:6390230
Cemuris	id=g:6390231
Banjaranyar	id=g:6390232
Jenggot	id=g:6390233
Kradenan	id=g:6390234
Blater	id=g:6390235
Karangmalang	id=g:6390236
Tonjong	id=g:6390237
Margasari	id=g:6390238
Toyareka	id=g:6390239
Kedungkek	id=g:6390240
Pasurungan	id=g:6390241
Muntang Lor	id=g:6390242
Kecepit	id=g:6390243
Karangsambung	id=g:6390244
Rabak	id=g:6390245
Kradegan	id=g:6390246
Jompo	id=g:6390247
Kemojing	id=g:6390248
Rakit	id=g:6390249
Purwadana	id=g:6390250
Mujur	id=g:6390251
Majatengah	id=g:6390252
Gunung	id=g:6390253
Mertinggi	id=g:6390254
Lemberang	id=g:6390255
Karangbawang	id=g:6390256
Beber	id=g:6390257
Ledug Kidul	id=g:6390258
Kedungbidang	id=g:6390259
Dukuh	id=g:6390260
Tonjong	id=g:6390261
Pritgantil	id=g:6390262
Pamijen Lor	id=g:6390263
Tanahgaring	id=g:6390264
Kebontebu	id=g:6390265
Karanggamblok	id=g:6390266
Kalibakal	id=g:6390267
Sokabaru	id=g:6390268
Berkoh	id=g:6390269
Sarwodadi	id=g:6390270
Timbang	id=g:6390271
Sokawera	id=g:6390272
Tasari	id=g:6390273
Karanggayam	id=g:6390274
Karangmalang	id=g:6390275
Karangraugunung	id=g:6390276
Karangbenda	id=g:6390277
Pesuruhan	id=g:6390278
Pamijen Kidul	id=g:6390279
Pejaten	id=g:6390280
Kebutuh	id=g:6390281
Pungkuran	id=g:6390282
Kaliakum	id=g:6390283
Kedongdong Lor	id=g:6390284
Kedongdong Kidul	id=g:6390285
Karangduren	id=g:6390286
Kedungwuluh	id=g:6390287
Karangsawah	id=g:6390288
Klahang	id=g:6390289
Batan	id=g:6390290
Banjarsari Kidul	id=g:6390291
Ciberem	id=g:6390292
Kali Jompo	id=g:6390293
Karangtengah	id=g:6390294
Dukuhtengah	id=g:6390295
Cingkru	id=g:6390296
Legok	id=g:6390297
Binangun	id=g:6390298
Cilopot	id=g:6390299
Karangnangka	id=g:6390300
Gandekan	id=g:6390301
Kecebur	id=g:6390302
Dalangjamit	id=g:6390303
Kalicupak Lor	id=g:6390304
Kalisogra Wetan	id=g:6390305
Karanggedang	id=g:6390306
Sokaraja Wetan	id=g:6390307
Sokaraja Lor	id=g:6390308
Derik	id=g:6390309
Kauman	id=g:6390310
Brubahan	id=g:6390311
Kebonkapol	id=g:6390312
Kertadirjan	id=g:6390313
Kebonsuruh	id=g:6390314
Sakalputung	id=g:6390315
Sidodadi	id=g:6390316
Ketanggung	id=g:6390317
Karangkedawung	id=g:6390318
Karangduren	id=g:6390319
Karangnanas	id=g:6390320
Karangrau Tengah	id=g:6390321
Glempang	id=g:6390322
Wadasmalang	id=g:6390323
Patilampa	id=g:6390324
Kalibiru	id=g:6390325
Depok	id=g:6390326
Karangjengkol	id=g:6390327
Rawasalak Barat	id=g:6390328
Karanggedang	id=g:6390329
Rawasalak Timur	id=g:6390330
Grengseng	id=g:6390331
Kedungpingit	id=g:6390332
Kaliomas	id=g:6390333
Muntang	id=g:6390334
Kaliwadas	id=g:6390335
Karangaglik	id=g:6390336
Muntuk	id=g:6390337
Pesanggrahan	id=g:6390338
Pejagalan Kulon	id=g:6390339
Karangbengkang	id=g:6390340
Pekunden Barat	id=g:6390341
Cilwek	id=g:6390342
Jatiwungu	id=g:6390343
Sidamulya	id=g:6390344
Pekunden Timur	id=g:6390345
Petir Lor	id=g:6390346
Kalicupak Kidul	id=g:6390347
Semingkir	id=g:6390348
Kalialang	id=g:6390349
Kopak	id=g:6390350
Kraganalan	id=g:6390351
Kedungori	id=g:6390352
Senon	id=g:6390353
Wadasmalang	id=g:6390354
Sumilir	id=g:6390355
Bokol	id=g:6390356
Sokasada	id=g:6390357
Kedungjati	id=g:6390358
Kedungngenge	id=g:6390359
Petir Kidul	id=g:6390360
Kaliencit	id=g:6390361
Leuwiliang	id=g:6390362
Jengkonang	id=g:6390363
Genting	id=g:6390364
Jatisari	id=g:6390365
Bleberan	id=g:6390366
Bleberan Kulon	id=g:6390367
Pecekren	id=g:6390368
Karangdadap	id=g:6390369
Gunung	id=g:6390370
Pekaja	id=g:6390371
Rawabengkek	id=g:6390372
Karangnangka	id=g:6390373
Kedunggarut	id=g:6390374
Kaliabang	id=g:6390375
Gembor	id=g:6390376
Lorkali	id=g:6390377
Balaidesa	id=g:6390378
Kelurahan	id=g:6390379
Kalipasung	id=g:6390380
Pesuruhan	id=g:6390381
Kebonkopi	id=g:6390382
Kalijaha	id=g:6390383
Plakaran	id=g:6390384
Kalibagorcilik	id=g:6390385
Kedungbunder	id=g:6390386
Karanggondang	id=g:6390387
Karanganyar	id=g:6390388
Songgom	id=g:6390389
Pajerukan	id=g:6390390
Jatirokeh	id=g:6390391
Sempor Kidul	id=g:6390392
Kedungbenda	id=g:6390393
Candukmarga	id=g:6390394
Sawangan	id=g:6390395
Karangmangu	id=g:6390396
Kebutuh	id=g:6390397
Kedungkubang	id=g:6390398
Catutan	id=g:6390399
Pelumutan	id=g:6390400
Kelurahan Kedungmenjangan	id=g:6390401
Keprajan	id=g:6390402
Bakaindah	id=g:6390403
Petunjungan	id=g:6390404
Bantardau	id=g:6390405
Tularan	id=g:6390406
Gabahan	id=g:6390407
Suro	id=g:6390408
Karangcengis	id=g:6390409
Watugede	id=g:6390410
Asinan	id=g:6390411
Tunggangan	id=g:6390412
Sokawera	id=g:6390413
Gandasuli	id=g:6390414
Waturajut	id=g:6390415
Kalibanteng	id=g:6390416
Purwaganda	id=g:6390417
Slembar	id=g:6390418
Kebonpenjara	id=g:6390419
Karangsalam Kulon	id=g:6390420
Karangsalam Wetan	id=g:6390421
Gabu	id=g:6390422
Karangjati	id=g:6390423
Somakaton	id=g:6390424
Glempang	id=g:6390425
Sembunglurung	id=g:6390426
Kedungdawa	id=g:6390427
Jurangmangu	id=g:6390428
Plana	id=g:6390429
Kali Berem	id=g:6390430
Kali Tinggar	id=g:6390431
Kali Kabong	id=g:6390432
Kali Ponggawa	id=g:6390433
Kali Temiyang	id=g:6390434
Kali Tempoyan	id=g:6390435
Kali Panerusan	id=g:6390436
Kelurahan Bancar	id=g:6390437
Desa Candiwulan	id=g:6390438
Desa Bumisari	id=g:6390439
Desa Binangun	id=g:6390440
Desa Pengalusan	id=g:6390441
Desa Sangkanayu	id=g:6390442
Desa Campakoah	id=g:6390443
Desa Serayularangan	id=g:6390444
Desa Tlagayasa	id=g:6390445
Desa Talagening	id=g:6390446
Desa Gunungkarang	id=g:6390447
Desa Karangduren	id=g:6390448
Desa Serayukaranganyar	id=g:6390449
Desa Bojong	id=g:6390450
Desa Lambur	id=g:6390451
Desa Pagerandong	id=g:6390452
Desa Cipaku	id=g:6390453
Desa Metenggeng	id=g:6390454
Desa Pekalongan	id=g:6390455
Desa Karangcegak	id=g:6390456
Desa Gandasuli	id=g:6390457
Peniron	id=g:6390458
Desa Cendana	id=g:6390459
Desa Sikapat	id=g:6390460
Desa Ciberem	id=g:6390461
Desa Susukan	id=g:6390462
Desa Mipiran	id=g:6390463
Desa Karanggambas	id=g:6390464
Desa Karangaren	id=g:6390465
Desa Karangreja	id=g:6390466
Desa Limbangan	id=g:6390467
Desa Meri	id=g:6390468
Desa Kutasari	id=g:6390469
Desa Munjul	id=g:6390470
Desa Karangklesem	id=g:6390471
Desa Purbayasa	id=g:6390472
Desa Prigi	id=g:6390473
Desa Dawuhan	id=g:6390474
Desa Karanglewas	id=g:6390475
Desa Kajongan	id=g:6390476
Desa Karangbanjar	id=g:6390477
Desa Beji	id=g:6390478
Desa Sumingkir	id=g:6390479
Desa Pagedangan	id=g:6390480
Desa Karangnangka	id=g:6390481
Desa Mangunegara	id=g:6390482
Desa Selaganggeng	id=g:6390483
Desa Mrebet	id=g:6390484
Desa Kradenan	id=g:6390485
Desa Bobotsari	id=g:6390486
Desa Pekuncen	id=g:6390487
Desa Karangtalun	id=g:6390488
Desa Dagan	id=g:6390489
Desa Pelumbungan	id=g:6390490
Desa Tlahab Kidul	id=g:6390491
Desa Bojongsari	id=g:6390492
Desa Karangturi	id=g:6390493
Desa Onje	id=g:6390494
Desa Patemon	id=g:6390495
Desa Gembong	id=g:6390496
Desa Galuh	id=g:6390497
Desa Brobot	id=g:6390498
Desa Karangjengkol	id=g:6390499
Desa Candinata	id=g:6390500
Desa Banteran	id=g:6390501
Desa Gandatapa	id=g:6390502
Desa Banjarsari Wetan	id=g:6390503
Desa Kotayasa	id=g:6390504
Pengubonan Lor	id=g:6390505
Kali Lembanang	id=g:6390506
Kali Pring	id=g:6390507
Kali Bengangan	id=g:6390508
Brabahan	id=g:6390509
Serang Lor	id=g:6390510
Serang	id=g:6390511
Kali Baya	id=g:6390512
Kali Cemplang	id=g:6390513
Adireja	id=g:6390514
Curug Sikasur	id=g:6390515
Tlahab	id=g:6390516
Kali Tlahab	id=g:6390517
Tanggeran	id=g:6390518
Gunung Tukung	id=g:6390519
Trondol	id=g:6390520
Sawangan	id=g:6390521
Siletreng	id=g:6390522
Dam Bafasari	id=g:6390523
Kali Pring	id=g:6390524
Igir Mertelu	id=g:6390525
Pondoknangka	id=g:6390526
Kali Tembekar	id=g:6390527
Kali Bambangan	id=g:6390528
Kali Paingen	id=g:6390529
Kali Kalong	id=g:6390530
Gunung Mulang	id=g:6390531
Liru	id=g:6390532
Katelklawa	id=g:6390533
Dukuhpring	id=g:6390534
Kenari	id=g:6390535
Kali Kaso	id=g:6390536
Gunung Sigerung	id=g:6390537
Igir Tambelang	id=g:6390538
Kemojing	id=g:6390539
Cekdam Dagan	id=g:6390540
Penisihan	id=g:6390541
Tipar	id=g:6390542
Pelumbungan Gunung	id=g:6390543
Pelumbungan Legok	id=g:6390544
Gunung Watutumpang	id=g:6390545
Pamujan	id=g:6390546
Watutumpang	id=g:6390547
Dagan	id=g:6390548
Kali Longkrang	id=g:6390549
Kebur	id=g:6390550
Kedawung	id=g:6390551
Kweni	id=g:6390552
Mudal	id=g:6390553
Krajan	id=g:6390554
Comberan	id=g:6390555
Piting	id=g:6390556
Jumleng	id=g:6390557
Hudabarang	id=g:6390558
Limpaktepus	id=g:6390559
Bojong	id=g:6390560
Kandangsengkar	id=g:6390561
Gualawa	id=g:6390562
Kali Pahat	id=g:6390563
Grengenge	id=g:6390564
Winong	id=g:6390565
Putat Satu	id=g:6390566
Gondangsari	id=g:6390567
Putat Dua	id=g:6390568
Curug Siputut	id=g:6390569
Nusakembang	id=g:6390570
Bulu	id=g:6390571
Makamdowo	id=g:6390572
Tlagayasa	id=g:6390573
Karangklesem	id=g:6390574
Gunung Sambeng	id=g:6390575
Sambeng	id=g:6390576
Karangtalun	id=g:6390577
Kabupaten Purbalingga	id=g:6390578
Simpangan	id=g:6390579
Dawuhan	id=g:6390580
Pekuncen	id=g:6390581
Karangduren	id=g:6390582
Karangtewang	id=g:6390583
Gunungkarang	id=g:6390584
Lebak	id=g:6390585
Jlegong	id=g:6390586
Bulu	id=g:6390587
Wetan	id=g:6390588
Loji	id=g:6390589
Pucung	id=g:6390590
Brengkol	id=g:6390591
Kracak	id=g:6390592
Pengalusan	id=g:6390593
Binangun	id=g:6390594
Kecamatan Bojongsari	id=g:6390595
Genteng	id=g:6390596
Siribut	id=g:6390597
Limpapring	id=g:6390598
Limpakgombong	id=g:6390599
Purwodadi	id=g:6390600
Tawang	id=g:6390601
Munggangsari	id=g:6390602
Belokan	id=g:6390603
Dukuhtengah	id=g:6390604
Krajan	id=g:6390605
Bukung	id=g:6390606
Sadawangi	id=g:6390607
Siwadas	id=g:6390608
Petanoan	id=g:6390609
Bawang	id=g:6390610
Krajan	id=g:6390611
Gelempang	id=g:6390612
Bojong	id=g:6390613
Kaliwangi	id=g:6390614
Pule	id=g:6390615
Kresek	id=g:6390616
Pasaranyar	id=g:6390617
Lambur	id=g:6390618
Gintungagung	id=g:6390619
Sirau	id=g:6390620
Karanggandul	id=g:6390621
Krajan	id=g:6390622
Kebondalem	id=g:6390623
Gandasuli	id=g:6390624
Jawi	id=g:6390625
Situ	id=g:6390626
Kecamatan Mrebet	id=g:6390627
Raksa	id=g:6390628
Kali Kadu	id=g:6390629
Rembiyang	id=g:6390630
Sigra	id=g:6390631
Cimrutu	id=g:6390632
Jebrug	id=g:6390633
Jumbren	id=g:6390634
Segong	id=g:6390635
Kedungkaret	id=g:6390636
Wuni	id=g:6390637
Bataputih	id=g:6390638
Curug Nini	id=g:6390639
Karangtengah	id=g:6390640
Pengubonan	id=g:6390641
Karangsari	id=g:6390642
Brangsong	id=g:6390643
Legok	id=g:6390644
Candinata	id=g:6390645
Kebogaan	id=g:6390646
Watujaran	id=g:6390647
Blembeng Satu	id=g:6390648
Limpakuwus	id=g:6390649
Dukuhkedungurang	id=g:6390650
Blembeng Dua	id=g:6390651
Curug Bangkong	id=g:6390652
Cilwek	id=g:6390653
Karangkedawung	id=g:6390654
Dukuhsura	id=g:6390655
Kreteg	id=g:6390656
Sudan	id=g:6390657
Kali Gemuruh	id=g:6390658
Panempang	id=g:6390659
Karangkedawung	id=g:6390660
Karangcegak	id=g:6390661
Sambiasa	id=g:6390662
Pengabian	id=g:6390663
Padurasa	id=g:6390664
Gewok	id=g:6390665
Metenggeng	id=g:6390666
Sidakangen	id=g:6390667
Manggis	id=g:6390668
Kali Pining	id=g:6390669
Lantung	id=g:6390670
Cipaku	id=g:6390671
Kali Ganda	id=g:6390672
Karanggude	id=g:6390673
Karangbrahi	id=g:6390674
Sidegdeg	id=g:6390675
Majingklak Lor	id=g:6390676
Majingklak	id=g:6390677
Parungbongas	id=g:6390678
Gendengan	id=g:6390679
Waler	id=g:6390680
Bak	id=g:6390681
Karangjengkol	id=g:6390682
Mangunegara	id=g:6390683
Mangunharjo	id=g:6390684
Selaganggeng	id=g:6390685
Kali Paku	id=g:6390686
Jambangan	id=g:6390687
Karangnangka	id=g:6390688
Cocok	id=g:6390689
Gayunan	id=g:6390690
Pekalongan	id=g:6390691
Dukuhreja	id=g:6390692
Karangjati	id=g:6390693
Krajan	id=g:6390694
Karangpetir	id=g:6390695
Ampel	id=g:6390696
Dindang	id=g:6390697
Kali Kemusuk	id=g:6390698
Telaga Wetan	id=g:6390699
Pule	id=g:6390700
Penurupan	id=g:6390701
Karangpandan	id=g:6390702
Sabrang	id=g:6390703
Karanganyar	id=g:6390704
Kutareja	id=g:6390705
Karangaglik	id=g:6390706
Karangcengis	id=g:6390707
Curug Ceheng	id=g:6390708
Gending	id=g:6390709
Kedungpining	id=g:6390710
Jinem	id=g:6390711
Gunung Gaber	id=g:6390712
Grandong	id=g:6390713
Gandatapa	id=g:6390714
Dakom	id=g:6390715
Sikapat	id=g:6390716
Gandusuli	id=g:6390717
