Shi‘b Hājir	id=g:7344167
Jabal al Libāb	id=g:7345846
Khuz̧āz̧ah	id=g:7345847
Rabū‘ al Madīnah	id=g:7345848
Wādī Laḩj Sa‘d	id=g:7345849
Al Qawsā‘	id=g:7345850
Al Qal‘ah	id=g:7345851
Al Mishshah	id=g:7345852
Jabal Yudras	id=g:7345853
Al Qū‘ah	id=g:7345854
Maḩall Hajjah	id=g:7345855
As Sinn	id=g:7345856
Maḩall Āl Hājir	id=g:7345857
Jabal al Janāt	id=g:7345858
Aş Şawma‘ah	id=g:7345859
Al Maḩālīl	id=g:7345860
Al Kuḩlah	id=g:7345861
Nayd al Ghumayr	id=g:7345862
Adh Dhirā‘	id=g:7345863
Al Ghirbābah	id=g:7345864
Al Qumā‘	id=g:7345865
Al Jarashah	id=g:7345866
Al Qarn	id=g:7345867
Al Azrād	id=g:7345868
Āl Faraḩ	id=g:7345869
Al Ghullah	id=g:7345870
Dhī ‘Aynayn	id=g:7345871
Jibāl Huzayzah	id=g:7345872
At Tālūq	id=g:7345873
Jabal al ‘Amīdah	id=g:7345874
Ash Shi‘batayn	id=g:7345875
Rabū‘ al Ḩudūd	id=g:7345876
Al Maḩjil	id=g:7345877
Jabal al Baḑī‘	id=g:7345878
Jabal ash Sharaf	id=g:7345879
Ash Sharaf	id=g:7345880
As Sarw	id=g:7345881
Al Qum‘ān	id=g:7345882
Al Kharāb	id=g:7345883
Jabal aş Şāyidah	id=g:7345884
Al Qaşr	id=g:7345885
An Nizayw	id=g:7345886
Nayd al Ghārī	id=g:7345887
Jabal al Ḩawdah	id=g:7345888
Tibrāyah	id=g:7345889
Al Ghawr	id=g:7345890
Wādī ‘Inān	id=g:7345891
Wādī Dithah	id=g:7345892
Ahl Sala‘	id=g:7345893
Wādī Jīzān	id=g:7345894
‘Arābah	id=g:7345895
Jabal al Mishwāt	id=g:7345896
As Saqā’if	id=g:7345897
Ath Thāhirayn	id=g:7345898
Jabal ath Thanīyah	id=g:7345899
Al Ghabīb	id=g:7345900
Al Qullah	id=g:7345901
Al ‘Amarah	id=g:7345902
Al Qābil	id=g:7345903
Jabal al Qarn	id=g:7345904
Jidā‘	id=g:7345905
Jabal ‘Amārah	id=g:7345906
Jabal Zur‘awf	id=g:7345907
As Sarw	id=g:7345908
Jabal adh Dhārī	id=g:7345909
Al ‘Awmarah	id=g:7345910
Shuţūţ Ḑab‘ān	id=g:7345911
Al Miḩalwā’	id=g:7345912
Wādī Khawq	id=g:7345913
Jabal Fidhdhah	id=g:7345914
Wādī Khadad	id=g:7345915
Wādī ‘Ufrah	id=g:7345916
Jabal al Qa‘bah	id=g:7345917
Al Ḩujr	id=g:7345918
Adh Dhanabah	id=g:7345919
Dhārī ad Dawshah	id=g:7345920
Qanā‘is	id=g:7345921
Wādī al Lihib	id=g:7345922
Al Wuqayshayn	id=g:7345923
Wādī ar Ruways	id=g:7345924
Wādī Qahwān	id=g:7345925
Marqabah	id=g:7345926
Bardān	id=g:7345927
Jabal Faswah	id=g:7345928
Sūq al Aḩad	id=g:7345929
Mishat al ‘Uţbah	id=g:7345930
Qays	id=g:7345931
Umm Ţīnah	id=g:7345932
Wādī Qays	id=g:7345933
Āl Umm Shaykh	id=g:7345934
Āl Muqna‘	id=g:7345935
Wādī Ridāḩah	id=g:7345936
Bādiyah	id=g:7345937
Aş Şam‘ah	id=g:7345938
Al Qar‘ah	id=g:7345939
Jabal Laḩmah	id=g:7345940
Āl Abī Yaḩyá	id=g:7345941
Wādī al Majma‘	id=g:7345942
Wādī Umm Ruways	id=g:7345943
Jabal Kādah	id=g:7345944
Al ‘Ādī	id=g:7345945
Jabal Ghatharah	id=g:7345946
Wādī al Wajīr	id=g:7345947
Wādī Dindilah	id=g:7345948
Wādī Luşq	id=g:7345949
Wādī al ‘Ashaqīn	id=g:7345950
Al Madhrā’	id=g:7345951
Madarān	id=g:7345952
Jabal al Jādhah	id=g:7345953
‘Abāhil	id=g:7345954
Dhirā‘ lbn az Zubrah	id=g:7345955
Alt az Zuwayḩ	id=g:7345956
Jalwad al ‘Arḑīyah	id=g:7345957
Jarf lbn al Mifarraḩ	id=g:7345958
Dhī ‘Aşārah	id=g:7345959
Jabal al Qadīm	id=g:7345960
Nayd al Ḩimayr	id=g:7345961
Jabal Khalaqah	id=g:7345962
Wādī al Ḩarf	id=g:7345963
Wādī al Maḑyaḩ	id=g:7345964
Wādī Wi‘āl	id=g:7345965
Hadādah	id=g:7345966
Maḩall Bin Ghathwān	id=g:7345967
Wādī Ḑubā‘ah	id=g:7345968
Wādī as Sirār	id=g:7345969
Tinqīr	id=g:7345970
Jabal al Ḩathāyir	id=g:7345971
Ji‘thimah	id=g:7345972
An Naw‘	id=g:7345973
Wādī al Jur‘āt	id=g:7345974
Wādī al Malsah	id=g:7345975
Ḩayfat Umm Thāhir	id=g:7345976
Ad Duḩrah	id=g:7345977
Nayd Athimmī	id=g:7345978
Shuraym Āl Fal‘ān	id=g:7345979
Jabal Manqadhah	id=g:7345980
Maḩfar	id=g:7345981
Aş Şalabah	id=g:7345982
Na‘āmah	id=g:7345983
Wādī Namalah	id=g:7345984
Yiqallis	id=g:7345985
Nayd Shawḩaţ	id=g:7345986
Alt Milhī	id=g:7345987
Al Maghfal	id=g:7345988
Al Ḩarf	id=g:7345989
Maţrah	id=g:7345990
Al Khaţm	id=g:7345991
Al Manfah	id=g:7345992
Al Mashārif	id=g:7345993
Thahr al Qadīm	id=g:7345994
Al Qaharah	id=g:7345995
Wādī Dhahbān	id=g:7345996
Āl Ţāriq	id=g:7345997
Umm Shalalah	id=g:7345998
Ahl Namalah	id=g:7345999
Wādī Mulayḩ	id=g:7346000
Wādī ‘Irq	id=g:7346001
Wādī Ā‘wir	id=g:7346002
Wādī as Sawdā’	id=g:7346003
Shaţţ Ghathāyah	id=g:7346004
Jabal Qiţrān	id=g:7346005
Mulayḩ	id=g:7346006
Jabal Qurnah	id=g:7346007
Wādī Yudras	id=g:7346008
Manjadah	id=g:7346009
Wādī ‘Amqah	id=g:7346010
Z̧āhir al Jarf	id=g:7346011
Khulayq	id=g:7346012
As Sarw	id=g:7346013
Āl ‘Absayn	id=g:7346014
Āl Ḩanshal	id=g:7346015
Jabal al Jumlah	id=g:7346016
‘Unjūj	id=g:7346017
Ash Sharamāt	id=g:7346018
Al Ḩişn	id=g:7346019
Jabal al Ḩijārah	id=g:7346020
‘Asāyah	id=g:7346021
An Niḩūt	id=g:7346022
Wādī adh Dhanabah	id=g:7346023
Al ‘Urqūb	id=g:7346024
Jabal Khaybar	id=g:7346025
Khaybar	id=g:7346026
Al Maslamah	id=g:7346027
Wādī Raḩbān	id=g:7346028
Al Maḩallah	id=g:7346029
Al Makhruq	id=g:7346030
Al Qarn	id=g:7346031
Al Quway‘ah	id=g:7346032
Al Ḩarf	id=g:7346033
Wādī Bardān	id=g:7346034
Wādī al Marābī‘	id=g:7346035
Nā‘imah	id=g:7346036
Dhum Ḩumarāt	id=g:7346037
Wādī al Jifān	id=g:7346042
Al Kadā’	id=g:7346043
Ḩabīl	id=g:7346044
Jabal al Yabsā’	id=g:7346045
Wādī al Mijwāz	id=g:7346046
Al Mahdam	id=g:7346047
Thāhir Dijāj	id=g:7346048
Qullat al ‘Aqamī	id=g:7346049
Wādī al Khanāţir	id=g:7346050
Jabal Banī Şayyāḩ	id=g:7346051
Maḩallāt Dhī Namir	id=g:7346052
Banī Ḩudhayfah	id=g:7346053
Al Ḩarrah	id=g:7346054
Al Khalfah	id=g:7346055
Al Ḩaşşāmah	id=g:7346056
Wādī Quşayr	id=g:7346057
Wādī al Jārah	id=g:7346058
Wādī al Mahdam	id=g:7346059
Al Khilāf	id=g:7346060
Al Ḩarīqah	id=g:7346061
Al Qirqā‘ī	id=g:7346062
Wādī Dhahbān	id=g:7346063
Jabal al Malḩamah	id=g:7346064
Al Muşayni‘ah	id=g:7346065
Raḩbān	id=g:7346066
Wādī Gharbī al Walīdī	id=g:7346067
Thāhir ash Shurayfah	id=g:7346068
Al Muthallath	id=g:7346069
Jāḑi‘ Muşabbiḩ	id=g:7346070
Al Qaw‘īyah	id=g:7346071
Al Waţan	id=g:7346072
Al Ma‘qal	id=g:7346073
Al Baţāhī	id=g:7346074
Wādī aḑ Ḑay‘ah	id=g:7346075
Wādī al ‘Ajār	id=g:7346076
Wādī Dahwān	id=g:7346077
Al Lahwiyāt	id=g:7346078
Wādī al Ma‘ātiq	id=g:7346079
Al ‘Uqūm	id=g:7346080
Aş Şarw	id=g:7346081
Al Mashāf	id=g:7346082
Wādī an Namūsh	id=g:7346083
Jabal al Qā’im	id=g:7346084
Al Makhnaq	id=g:7346085
Ash Sha‘raw	id=g:7346086
Al Mashraqah	id=g:7346087
Al Ma‘zab	id=g:7346088
Al Qulayyah	id=g:7346089
Al Makrab	id=g:7346090
Ash Sharaw	id=g:7346091
As Sark	id=g:7346092
Qaryat al Yawm	id=g:7346093
Ḩilf Banī al Qamm	id=g:7346094
Qullat Ḩājib	id=g:7346095
Sūq ath Thulūth	id=g:7346096
Al Maḩmah	id=g:7346097
Dhī al Bawāqil	id=g:7346098
Al Qulal	id=g:7346099
Al Jamā’im	id=g:7346100
Jabal Burkān	id=g:7346101
Al Qam‘ayn	id=g:7346102
Haltīfin	id=g:7346103
Al Marā‘ī	id=g:7346104
Qullat Hajar	id=g:7346105
Adh Dhārī	id=g:7346106
Ra’s Burkān	id=g:7346107
Ţaybān	id=g:7346108
Arḩab	id=g:7346109
Al Jidār	id=g:7346110
Marbishah	id=g:7346111
Al Mūsīn	id=g:7346112
Ad Dayr	id=g:7346113
Ahl Şa‘dah	id=g:7346114
Şarw Ḩayyān	id=g:7346115
Sūq Shi‘ārah	id=g:7346116
Al Jarhah	id=g:7346117
Az Zahirīyah	id=g:7346118
Alt Zabiyah	id=g:7346119
Al Makhālīb	id=g:7346120
Al Qābil	id=g:7346121
Wādī Rijāf	id=g:7346122
Al Baḩşā’	id=g:7346123
Thāhir Hamdān	id=g:7346124
Madhnabah	id=g:7346125
Ḩaywān	id=g:7346126
Gharbī al ‘Uţayf	id=g:7346127
Wādī Na‘mān	id=g:7346128
Sharqī al Hayjah	id=g:7346129
Wādī Rijāf	id=g:7346130
Al Maj‘ūmah	id=g:7346131
Qurāḩah	id=g:7346132
Şirw al ‘Arīsh	id=g:7346133
Ash Sharafah	id=g:7346134
Al Fuşānah	id=g:7346135
Thahir al Ḩanash	id=g:7346136
Buq‘at al Mughaythī	id=g:7346137
Wādī Ghumār	id=g:7346138
Ash Sharqī	id=g:7346139
Gharbī Sha‘bān	id=g:7346140
Al ‘Amarah	id=g:7346141
Izzān	id=g:7346142
Ma‘taq al ‘Utm	id=g:7346143
Buq‘at as Sādah	id=g:7346144
Al Majāzi‘	id=g:7346145
Suwār	id=g:7346146
Thahir ‘Alī Qāsim	id=g:7346147
Al Maşna‘ah	id=g:7346148
Al Mishraf	id=g:7346149
Al Asmāţ	id=g:7346150
Jalah	id=g:7346151
Az Zāwiyah	id=g:7346152
Rahţ	id=g:7346153
Ath Thāhir	id=g:7346154
Al Khulbah	id=g:7346155
Qullat Shu‘ayb	id=g:7346156
Ath Thaharāt	id=g:7346157
Qulal al Mahdī	id=g:7346158
Ash Shurūdīyah	id=g:7346159
Iḩjur	id=g:7346160
Buq‘at Banī Şafwān	id=g:7346161
Thabyān	id=g:7346162
Qullat Zarrā‘	id=g:7346163
Ash Shawlah	id=g:7346164
Ḑāhir Ashbūl	id=g:7346165
Muttulān	id=g:7346166
Al Qadīm	id=g:7346167
Āl Thabāt	id=g:7346168
Al Ma‘zab	id=g:7346169
Āl aţ Ţamīli	id=g:7346170
Tī Qaraḑ	id=g:7346171
Al Qamlah	id=g:7346172
Khubayyah	id=g:7346173
Al Madarah	id=g:7346174
‘Uthrubah	id=g:7346175
Al Quran	id=g:7346176
Uqrun Āl Ja‘dān	id=g:7346177
Qahaw	id=g:7346178
Al Mab‘ar	id=g:7346179
‘Akt	id=g:7346180
Sūq al Jum‘ah	id=g:7346181
Al Jahwah	id=g:7346182
Āl Bayḑān	id=g:7346183
Ash Shāhid	id=g:7346184
Duwāḩ	id=g:7346185
As Sarw	id=g:7346186
Ibn al Makīr	id=g:7346187
Alt Jadbān	id=g:7346188
Dhakhshāb	id=g:7346189
Ash Sharaf	id=g:7346190
Al Buq‘ah	id=g:7346191
Al Muqni‘	id=g:7346192
Al Wasaţ	id=g:7346193
Alt Muhrah	id=g:7346194
Wādī al Mamjā’	id=g:7346195
Ar Rakw	id=g:7346196
Dāhir al Burm	id=g:7346197
Baynāw	id=g:7346198
Alt al Yazīd	id=g:7346199
Alt Sātir	id=g:7346200
Wādī Jum‘at Banī Baḩr	id=g:7346201
Salāḩ	id=g:7346202
Al Qullatayn	id=g:7346203
Alt Jilḩāb	id=g:7346204
Qullat Tha‘il	id=g:7346205
Alt Abū Shalfā’	id=g:7346206
Rīmah	id=g:7346207
Qullat ‘Ād	id=g:7346208
Aş Şulḩāf	id=g:7346209
Alt Jurmān	id=g:7346210
Al Qa‘wah	id=g:7346211
Qawz al Qāmah	id=g:7346212
Nuşayrah	id=g:7346213
Al Manḑar	id=g:7346214
Jāla‘	id=g:7346215
Jaham	id=g:7346216
Al Ḩawādah	id=g:7346217
Alt Jal‘ān	id=g:7346218
Āl Abū Ghubārah	id=g:7346219
Wādī al Maḩrath	id=g:7346220
Alt ‘Ayshān	id=g:7346221
Maşḩan	id=g:7346222
Shi‘b ‘Amir	id=g:7346223
Ar Rukbah	id=g:7346224
Za‘lā’	id=g:7346225
Zahr al Ḩumār	id=g:7346226
Khufaynah	id=g:7346227
Shuwayḩiţah	id=g:7346228
Sirr al Mawz	id=g:7346229
Jabal Ţaybān	id=g:7346230
Qullat Mushār	id=g:7346231
Tāranī	id=g:7346232
Al Marwah	id=g:7346233
Wādī Khulab	id=g:7346234
Wādī al ‘Iḑām	id=g:7346235
Shidan	id=g:7346236
Al Marawī	id=g:7346237
Al Maţlah	id=g:7346238
Jabal al Maţlah	id=g:7346239
Qaryat al Mirkābah	id=g:7346240
Jabal Ḩurum	id=g:7346241
Qaryat al Jarā’ib	id=g:7346242
Ar Ramādiyāt	id=g:7346243
Wādī Ḩamaḑ	id=g:7346244
As Saraw	id=g:7346245
Wādī al Khalīf	id=g:7346246
Ibn Lakwān	id=g:7346247
Wādī al ‘Awālī	id=g:7346248
Wādī al Marqū‘	id=g:7346249
Al Marjalah	id=g:7346250
Qarī‘ Abs	id=g:7346251
Al Qaz‘ah	id=g:7346252
Adh Dhirā‘	id=g:7346253
Al Kharb	id=g:7346254
Salmān	id=g:7346255
Wādī al ‘Uqq	id=g:7346256
Al Majram	id=g:7346257
Jabal Banī Sa‘d	id=g:7346258
Ash Sharaf	id=g:7346259
Qayf ar Rakham	id=g:7346260
Al Mishrāq	id=g:7346261
Al Maţāḩīn	id=g:7346262
Ḩabājah	id=g:7346263
Al Farḩah	id=g:7346264
Wādī Dhabūb	id=g:7346265
Alt ‘Āmir	id=g:7346266
Al Ghārī	id=g:7346267
Al Lijnī	id=g:7346268
Al Qafrah	id=g:7346269
Shawfān	id=g:7346270
Al Ḩujfāt	id=g:7346271
‘Uzāmah	id=g:7346272
Ḑubay‘	id=g:7346273
Ma‘āzib	id=g:7346274
Khayrān	id=g:7346275
‘Allān	id=g:7346276
Al Liḩyīn	id=g:7346277
Qawār	id=g:7346278
Wādī Līyah	id=g:7346279
Wādī Abū Şūl	id=g:7346280
Wādī ad Danādīf	id=g:7346281
Wādī al Mişabbaḩ	id=g:7346282
Qabr al ‘Abd	id=g:7346283
Al Khaddah	id=g:7346284
Al Matarrab	id=g:7346285
Jabal Mab‘ūthah	id=g:7346286
Wādī Ta‘ashshar	id=g:7346287
Jabal Shuqdum	id=g:7346288
Al Buram	id=g:7346289
Wādī Shi‘bah	id=g:7346290
Al Khāwur	id=g:7346291
Maḩall Banī Jarrāh	id=g:7346292
Ḩadīd	id=g:7346293
Ar Rukbān	id=g:7346294
Jarād Yaḩyá Umm Suwayd	id=g:7346295
Al ‘Adīnah	id=g:7346296
‘Urfaţah	id=g:7346297
Al Maţariyāt	id=g:7346298
Wādī al ‘Aţan	id=g:7346299
Wādī al Ghanā’im	id=g:7346300
Mālūs	id=g:7346301
Sāmir	id=g:7346302
Al Buhūl	id=g:7346303
Al Mikhārī	id=g:7346304
Jibāl al Quway‘	id=g:7346305
Sayr Abū Raḩāl	id=g:7346306
‘Aşaydah	id=g:7346307
Shujjan	id=g:7346308
Mirfāḩ	id=g:7346309
Al Ḩimās	id=g:7346310
Markaz Ḩururn	id=g:7346311
Al ‘Amarah	id=g:7346312
Adh Dhārī	id=g:7346313
Al ‘Amarah	id=g:7346314
Al Jal‘	id=g:7346315
Al ‘Awārij	id=g:7346316
Al Majrab	id=g:7346317
Ad Dumāh	id=g:7346318
Aţ Ţāh	id=g:7346319
Aḩras	id=g:7346320
Bayt al Bura‘i	id=g:7346321
A‘tām	id=g:7346322
Ash Sharaw	id=g:7346323
Al Qidḩ	id=g:7346324
Wādī Thurabah	id=g:7346325
Tī Yarkham	id=g:7346326
Maḩall as Salawī	id=g:7346327
Qullat al Basham	id=g:7346328
Jurn ‘Aram	id=g:7346329
Al Ḩarā’iq	id=g:7346330
Ra’s al Jabal	id=g:7346331
Al ‘Amarah	id=g:7346332
Al ‘Akābir	id=g:7346333
‘Āsī al Qarn	id=g:7346334
Aş Şa‘rūf	id=g:7346335
Al Ma‘zab	id=g:7346336
‘Arābah	id=g:7346337
Al ‘Ūş	id=g:7346338
Ta‘alwaq	id=g:7346339
Ḩimāz	id=g:7346340
Thurabah	id=g:7346341
Alt al Ḩibāsī	id=g:7346342
Wādī Tawdah	id=g:7346343
Adh Dhirā‘	id=g:7346344
Qullat ‘Armā’	id=g:7346345
Ḩablān	id=g:7346346
Al Baqāmah	id=g:7346347
Al Mawqir	id=g:7346348
Shurayj	id=g:7346349
Maḩrabah	id=g:7346350
Al ‘Ādī	id=g:7346351
Wādī al Malaḩah	id=g:7346352
Jabal Shathrā’	id=g:7346353
Jadabān	id=g:7346354
Wādī Suwar	id=g:7346355
Wujalī	id=g:7346356
Suwar	id=g:7346357
Wādī ash Shuwayq	id=g:7346358
Qadhal	id=g:7346359
Jabal Ghaşanah	id=g:7346360
Al Qummalī	id=g:7346361
Rufay‘	id=g:7346362
Kuḩlān	id=g:7346363
Ma‘zab al ’Ijri	id=g:7346364
Jabal al Mirbāḩ	id=g:7346365
Al Qarn	id=g:7346366
Jabal al Jawwāmah	id=g:7346367
Al Ḩujrūf	id=g:7346368
Al Qābil	id=g:7346369
Damḩ	id=g:7346370
Qaryat as Sādah	id=g:7346371
Jaw‘ ān	id=g:7346372
Al Khuţaym	id=g:7346373
Qarn ash Shalal	id=g:7346374
Asal Himayl	id=g:7346375
Ash Shurfāt	id=g:7346376
Aḑ Ḑahrah	id=g:7346377
Tall Ja‘din	id=g:7346378
Al Ḩaḑīrah	id=g:7346379
Alt al Māḩī	id=g:7346380
Al Markham	id=g:7346381
Al ‘Arsh	id=g:7346382
Zu‘aylā’	id=g:7346383
Aş Şabī	id=g:7346384
Judam	id=g:7346385
Al Jānib	id=g:7346386
Qullat al Basham	id=g:7346387
Maḩallat Kill	id=g:7346388
Qullat ash Sharaf	id=g:7346389
Qarn Şubḩ	id=g:7346390
Qarn Ghayth	id=g:7346391
Wasḩah	id=g:7346392
As Silāmāt	id=g:7346393
Qarn al Bi’r	id=g:7346394
Qarn Thūr	id=g:7346395
Al Ḩaznah	id=g:7346396
Al Maj‘al	id=g:7346397
Sūq al Ithnayn	id=g:7346398
Al Qarnayn	id=g:7346399
Qullat al Ḩamrī	id=g:7346400
Şāyid	id=g:7346401
Ma‘īd	id=g:7346402
Qāmat as Sādah	id=g:7346403
Qarn al Fidīn	id=g:7346404
Qāmat Bin Ḩuways	id=g:7346405
Ad Dimnah	id=g:7346406
As Sarw	id=g:7346407
Al Mabsal	id=g:7346408
Ḑaḩyān	id=g:7346409
Qullat al ‘lnab	id=g:7346410
‘Aḑwīd	id=g:7346411
Al Jūz	id=g:7346412
‘Urāmah	id=g:7346413
Qullat Bin Ţāhir	id=g:7346414
Ar Raḩabah	id=g:7346415
Al Maşna‘ah	id=g:7346416
Shaythaw	id=g:7346417
Tiyāwis	id=g:7346418
Aghārib	id=g:7346419
Ar Ruways	id=g:7346420
Qullat ‘Āmir	id=g:7346421
Qawz al Ustād	id=g:7346422
Wādī al Ḩasīn	id=g:7346423
Qullat ‘Īsá	id=g:7346424
Āl ‘Askar	id=g:7346425
Ash Shāmikh	id=g:7346426
Khamīs Qarḩāw	id=g:7346427
Qullat ash Shaykh	id=g:7346428
Ash Shāhid	id=g:7346429
Maḩallāt al Yasrī	id=g:7346430
Al Hallah	id=g:7346431
Ibn al Wadī	id=g:7346432
Bin Quzzān	id=g:7346433
Qar‘ayn	id=g:7346434
Mayfa‘	id=g:7346435
Wādī Ibn Jaḩādir	id=g:7346436
Qawz al Maḑallah	id=g:7346437
Shāhid Fawţ	id=g:7346438
Ma‘taq ar Rayd	id=g:7346439
Ad Darb	id=g:7346440
Al Bāzikh	id=g:7346441
Al ‘Awālī	id=g:7346442
Al Qashbah	id=g:7346443
Sūq as Sabt	id=g:7346444
Al Qabal	id=g:7346445
Al Mishrāq	id=g:7346446
Jabal Rughāt	id=g:7346447
Jabal Maḑra‘ah	id=g:7346448
Wādī al Maḩfar	id=g:7346449
Al Waḑ‘ah	id=g:7346450
Jabal al Jam‘āw	id=g:7346451
Maḩallāt Alt al ‘Umar	id=g:7346452
Wādī Nūnī	id=g:7346453
Al Qadaḩ	id=g:7346454
Al ‘Arābah	id=g:7346455
Dārīlah	id=g:7346456
Thimāmah	id=g:7346457
Āl aţ Ţawq	id=g:7346458
Al Aqnām	id=g:7346459
Daqra’	id=g:7346460
Wādī Ḑabyān	id=g:7346461
Ḩabr	id=g:7346462
Ḑabyān	id=g:7346463
Ar Ruq‘ah	id=g:7346464
Tallān	id=g:7346465
Ḩamak	id=g:7346466
Timbuzah	id=g:7346467
Alt Bahlān	id=g:7346468
‘Ayban	id=g:7346469
Nawfān	id=g:7346470
Āl Shāmir	id=g:7346471
Āl Ţunayn	id=g:7346472
Al Ḩimbī	id=g:7346473
Al Falk	id=g:7346474
Ar Rufşah	id=g:7346475
Mathbar	id=g:7346476
Sūq al Aḩad	id=g:7346477
Qarn Shuqayr	id=g:7346478
Ghaylān	id=g:7346479
Nawfān	id=g:7346480
Al Ḩaylah	id=g:7346481
Wādī Āl Ţunayn	id=g:7346482
Wādī al Ḩibāl	id=g:7346483
Ti Madarah	id=g:7346484
Ar Rukbāt	id=g:7346485
Al Ḩişn	id=g:7346486
Tī Qirhid	id=g:7346487
Wādī Banī Sa‘d	id=g:7346488
Wādī al Ma‘zab	id=g:7346489
Alt Shalah	id=g:7346490
Sūq al Khamīs	id=g:7346491
Alt Murghum	id=g:7346492
Al Hijrah	id=g:7346493
Maḩallat as Sādah	id=g:7346494
As Sūdah	id=g:7346495
Banī Sa‘d	id=g:7346496
Al Khawālid	id=g:7346497
Quţaynāt Fāḑil	id=g:7346498
Wādī al Khawālid	id=g:7346499
Aḑ Dāli‘	id=g:7346500
Tighil	id=g:7346501
Tighīl	id=g:7346502
Wādī Jidayrah	id=g:7346503
Jidayrah	id=g:7346504
Wādī ‘Aḑāwid	id=g:7346505
Alt Maysir	id=g:7346506
Alt Ḩārith	id=g:7346507
Al Qullah	id=g:7346508
Adh Dhirā‘	id=g:7346509
Jabal al Jamīmah	id=g:7346510
‘Arḑ al Qaryah	id=g:7346511
Al Hijrah	id=g:7346512
Ar Radm	id=g:7346513
Maḩnakah	id=g:7346514
Ash Sharāh	id=g:7346515
Alt al Muţayrī	id=g:7346516
Al Manḑar	id=g:7346517
Al Marwī	id=g:7346518
Maşna‘at al ‘Irāqī	id=g:7346519
Jurn al Jawāhir	id=g:7346520
Al Ḩijlah	id=g:7346521
Aghwal	id=g:7346522
‘Unayq	id=g:7346523
Ḩajar an Nūb	id=g:7346524
Ar Rajaw	id=g:7346525
Al Qullah	id=g:7346526
Aqārin Ghawlah	id=g:7346527
Qab‘as	id=g:7346528
Al Jawwah	id=g:7346529
Ḑaḩāy	id=g:7346530
Şaḩlān	id=g:7346531
Alt Ḩammūsh	id=g:7346532
‘Asalah	id=g:7346533
Qaynah	id=g:7346534
Qullat al Hamal	id=g:7346535
Wādī Ţurub	id=g:7346536
Tikinnāyah	id=g:7346537
Al Muḩaddad	id=g:7346538
An Nab‘ī	id=g:7346539
Jahm	id=g:7346540
Farḩat Bin Maysir	id=g:7346541
As Sūnah	id=g:7346542
Al Ḩimās	id=g:7346543
Al ‘Awālī	id=g:7346544
Al Maḩmāh	id=g:7346545
Qullat adh Dhiyāb	id=g:7346546
As Saqā’if	id=g:7346547
Bilād Qudam	id=g:7346548
Ma‘laq	id=g:7346549
Al Mushrif	id=g:7346550
Wādī al Maḩallah	id=g:7346551
Ad Damīm	id=g:7346552
Aqārin	id=g:7346553
Āl Jāzi‘	id=g:7346554
Alt Fāri‘	id=g:7346555
Qarn as Sabī‘	id=g:7346556
Jum‘at Bin Fāḑil	id=g:7346557
Suq ath Thulūth	id=g:7346558
Dha‘fah	id=g:7346559
Ad Dārah	id=g:7346560
Qarn al ‘Alak	id=g:7346561
Jaw‘ān	id=g:7346562
Tī ‘Iqāl	id=g:7346563
Aş Şāfiyah	id=g:7346564
Qafī‘	id=g:7346565
Qarn al ‘Irāqī	id=g:7346566
Wādī al Aqḑa‘	id=g:7346567
Miqāwimah	id=g:7346568
Ar Radḩah	id=g:7346569
Qaryat Başwah	id=g:7346570
Wādī Biyūḑ	id=g:7346571
Al Ḩannān	id=g:7346572
Wādī Firāsh	id=g:7346573
Jabal at Tughlays	id=g:7346574
Al Malaţāt	id=g:7346575
Aş Şulb	id=g:7346576
Maḩḑān	id=g:7346577
Sūq Jahwar	id=g:7346578
Shi‘b Umm Sūq	id=g:7346579
Ash Shu‘ūb	id=g:7346580
Khayrān	id=g:7346581
Mahd	id=g:7346582
Āl ‘Umar	id=g:7346583
Adh Dhirā‘	id=g:7346584
Jūnān	id=g:7346585
Banī Ya‘ish	id=g:7346586
Qullat Banī Sawādah	id=g:7346587
Wādī Shi‘āb	id=g:7346588
Al Faqwah	id=g:7346589
Qullat Abū Shāyif	id=g:7346590
Wādī al Miţrāq	id=g:7346591
Al ‘Urr	id=g:7346592
Qaryat al Mishrif	id=g:7346593
Maḩallāt Qurāḑ	id=g:7346594
Quḩafah	id=g:7346595
Bilād al Quḑāh	id=g:7346596
Al Jam‘aw	id=g:7346597
Qarn Maymūn	id=g:7346598
Jabal Rufshah	id=g:7346599
Wādī Mijda‘	id=g:7346600
Al Marāshī	id=g:7346601
Jabal Qumāmah	id=g:7346602
Wādī Ţulḩ	id=g:7346603
Al Ḩumayrah	id=g:7346604
Lijjayn	id=g:7346605
Jaww al Ja‘d	id=g:7346606
Ḩils al Ghabarī	id=g:7346607
Āl Fāḑil	id=g:7346608
Maḩall al Juhayr	id=g:7346609
Wādī as Sa‘dī	id=g:7346610
Rawghān	id=g:7346611
Shawal	id=g:7346612
Qarn Bin Zā’id	id=g:7346613
‘Urāmah	id=g:7346614
Darb al Fukrayd	id=g:7346615
Bilād al Khumayrī	id=g:7346616
Surmah	id=g:7346617
Al Hijrah	id=g:7346618
Na‘mān	id=g:7346619
Al Manzū‘ah	id=g:7346620
Al Ḩamāzīyah	id=g:7346622
Wādī Jurf	id=g:7346623
Jibāl Ghāfirah	id=g:7346624
Biyūḑ	id=g:7346625
Al Mukhtabī	id=g:7346626
Jabal al ‘Uţb	id=g:7346627
Al Khawjarah	id=g:7346628
Zabūn	id=g:7346629
