Phipps Creek	id=g:4484851
Poundingmill Branch	id=g:4486396
Poundingmill Creek	id=g:4486397
Poundingstone Mountain	id=g:4486398
Poundpole Swamp Branch	id=g:4486399
Poverty Branch	id=g:4486400
Poverty Point	id=g:4486401
Powder Burnt Branch	id=g:4486402
Powder Spring Branch	id=g:4486403
Powderhorn Mountain	id=g:4486404
Powdermill Creek	id=g:4486405
Powdermill Church	id=g:4486406
Powell Branch	id=g:4486407
Powell Branch	id=g:4486408
Powell Branch	id=g:4486409
Powell Branch	id=g:4486410
Powell Cemetery	id=g:4486411
Powell Cemetery	id=g:4486412
Powell Cemetery	id=g:4486413
Powell Crossroads	id=g:4486414
Powell Drive Park	id=g:4486415
Powell Glennwood Shopping Center	id=g:4486416
Powell Knob	id=g:4486417
Powell Lake	id=g:4486418
Powell Lake Dam	id=g:4486419
Powell Run	id=g:4486420
Powell Cemetery	id=g:4486421
Powell School (historical)	id=g:4486422
Powell School (historical)	id=g:4486423
Powells Creek	id=g:4486424
Powell School	id=g:4486425
Powells Creek	id=g:4486426
Powells Crossing	id=g:4486427
Powells Point	id=g:4486428
Powells Point Church	id=g:4486429
Powells Pond	id=g:4486430
Powells Pond Dam	id=g:4486431
Powells Store	id=g:4486432
Powellsville	id=g:4486433
Powelltown	id=g:4486434
Power Squadron Spit	id=g:4486435
Powers	id=g:4486436
Powers Bay	id=g:4486437
Powers Branch	id=g:4486438
Powells Point	id=g:4486439
Powers Cemetery	id=g:4486440
Powers Cemetery	id=g:4486441
Powers Cemetery	id=g:4486442
Powers Cemetery	id=g:4486443
Powers Point	id=g:4486444
Powhatan	id=g:4486445
Powhatan Church	id=g:4486446
Powhatan Recreation Area	id=g:4486447
Poyner Hill C G Station	id=g:4486448
Poyners Hill	id=g:4486449
Poyners Hill (historical)	id=g:4486450
Praise Tabernacle	id=g:4486451
Prather Gap	id=g:4486452
Prathers Creek	id=g:4486453
Powers Cemetery	id=g:4486454
Prathers Creek Cemetery	id=g:4486455
Township of Prathers Creek	id=g:4486456
Pratt School (historical)	id=g:4486457
Prentiss	id=g:4486458
Prentiss Church	id=g:4486459
Presbyterian Hemby Children's Hospital	id=g:4486460
Presbyterian Hospital Matthews	id=g:4486461
Presbyterian Lecture Room	id=g:4486462
Presbyterian Orphanage Dam	id=g:4486463
Presbyterian Orthopaedic Hospital	id=g:4486464
Prescott	id=g:4486465
Press Cove	id=g:4486466
Prathers Creek Baptist Church	id=g:4486467
Press Prong	id=g:4486468
Pressley Cove	id=g:4486469
Pressley Creek	id=g:4486470
Pressley Creek	id=g:4486471
Pressley Gap	id=g:4486472
Pressley Mountain	id=g:4486473
Pressly Church	id=g:4486474
Pressly School	id=g:4486475
Presson Cemetery	id=g:4486476
Preston	id=g:4486477
Preston Bay	id=g:4486478
Preston Creek	id=g:4486479
Pressley Gap	id=g:4486480
Prestonville	id=g:4486481
Pretty Creek	id=g:4486482
Pretty Hollow Creek	id=g:4486483
Preston Gospel Chapel	id=g:4486484
Pretty Pine Branch	id=g:4486485
Pretty Hollow Gap	id=g:4486486
Prettyland Mountain	id=g:4486487
Prettyman Landing	id=g:4486488
Prevatte Cemetery	id=g:4486489
Prevette Ridge	id=g:4486490
Price	id=g:4486491
Price Cemetery	id=g:4486492
Price Cemetery	id=g:4486493
Price Cemetery	id=g:4486494
Price Cemetery	id=g:4486495
Price Cemetery	id=g:4486496
Price Cemetery	id=g:4486497
Price Cemetery	id=g:4486498
Price Cemetery	id=g:4486499
Price Chapel	id=g:4486500
Price Creek	id=g:4486501
Pretty Pond	id=g:4486502
Price Creek	id=g:4486503
Price Creek	id=g:4486504
Price High School	id=g:4486505
Price Lake	id=g:4486506
Price Mill Creek	id=g:4486507
Township of Price Creek	id=g:4486508
Price Mill Lake Dam	id=g:4486509
Price Mountain	id=g:4486510
Price School	id=g:4486511
Price Shopping Center	id=g:4486512
Price United Methodist Church	id=g:4486513
Township of Price	id=g:4486514
Prices Creek Lighthouse	id=g:4486515
Prices Store (historical)	id=g:4486516
Pricetown	id=g:4486517
Prickly Ash Mountain	id=g:4486518
Prickly Pear Mountain	id=g:4486519
Pridgen Cemetery	id=g:4486520
Pridgen Church	id=g:4486521
Pridgen Flats	id=g:4486522
Pridgen School (historical)	id=g:4486523
Pridgens Landing	id=g:4486524
Pridgeons Landing	id=g:4486525
Priest Hill Church	id=g:4486526
Primitive Church	id=g:4486527
Primitive Church	id=g:4486528
Primitive Church	id=g:4486529
Prince Cemetery	id=g:4486530
Prince Cemetery	id=g:4486531
Prince Chapel	id=g:4486532
Prince George Creek	id=g:4486533
Price Mill Lake	id=g:4486534
Prince of Peace Church	id=g:4486535
Princess Place	id=g:4486536
Princeton	id=g:4486537
Princeton	id=g:4486538
Princeton Union School	id=g:4486539
Princeville	id=g:4486540
Princeville Elementary School	id=g:4486541
Princeville Town Hall	id=g:4486542
Printers Knob	id=g:4486543
Prison Camp 116	id=g:4486544
Prison Number 601	id=g:4486545
Prison Unit 4043	id=g:4486546
Prison Unit Number 068	id=g:4486547
Pritchard Cemetery	id=g:4486548
Pritchard Creek	id=g:4486549
Prince of Peace Church	id=g:4486550
Pritchard Mill Creek	id=g:4486551
Pritchett Lake	id=g:4486552
Privette Lake Number One	id=g:4486553
Privette Lake Number One Dam	id=g:4486554
Privette Pond Number Two	id=g:4486555
Privette Pond Number Two Dam	id=g:4486556
Privetts Pond	id=g:4486557
Privott House	id=g:4486558
Procks Point	id=g:4486559
Proctor	id=g:4486560
Proctor Branch	id=g:4486561
Pritchett Lake Dam	id=g:4486562
Proctor Branch	id=g:4486563
Proctor Cemetery	id=g:4486564
Proctor Creek	id=g:4486565
Proctor Field Gap	id=g:4486566
Proctor Sang Branch	id=g:4486567
Proctor Ridge	id=g:4486568
Proctors Church	id=g:4486569
Proctors Corner	id=g:4486570
Proctors Store (historical)	id=g:4486571
Proctorville	id=g:4486572
Proctorville Cemetery	id=g:4486573
Proctorville Elementary School	id=g:4486574
Proctorville Lookout Tower	id=g:4486575
Professional Plaza	id=g:4486576
Proffit Grove Baptist Church	id=g:4486577
Profitt Branch	id=g:4486578
Proctor School	id=g:4486579
Promise Land Church	id=g:4486580
Prophecy Church	id=g:4486581
Prophet Branch	id=g:4486582
Progress	id=g:4486583
Propst Airport	id=g:4486584
Propst Crossroads	id=g:4486585
Propst Mountain	id=g:4486586
Propst Store	id=g:4486587
Prospect	id=g:4486588
Prospect	id=g:4486589
Prospect Baptist Church (historical)	id=g:4486590
Prospect Branch	id=g:4486591
Prophet Knob	id=g:4486592
Prospect Cemetery	id=g:4486593
Prospect Cemetery	id=g:4486594
Prospect Cemetery	id=g:4486595
Prospect Church	id=g:4486596
Prospect Church	id=g:4486597
Prospect Church	id=g:4486598
Prospect Church	id=g:4486599
Prospect Church	id=g:4486600
Prospect Church	id=g:4486601
Prospect Church	id=g:4486602
Prospect Church	id=g:4486603
Prospect Church	id=g:4486604
Prospect Church	id=g:4486605
Prospect Elementary School	id=g:4486606
Prospect Elementary School	id=g:4486607
Prospect Hall Landing	id=g:4486608
Prospect Hill	id=g:4486609
Prospect Hill Church	id=g:4486610
Prospect Ridge	id=g:4486611
Prospect Ridge	id=g:4486612
Prospect United Methodist Church	id=g:4486613
Prosper	id=g:4486614
Prosperity Church	id=g:4486615
Prosperity Church	id=g:4486616
Prosperity Church	id=g:4486617
Prosperity Church	id=g:4486618
Providence	id=g:4486619
Providence	id=g:4486620
Providence	id=g:4486621
Providence	id=g:4486622
Providence	id=g:4486623
Providence	id=g:4486624
Providence (historical)	id=g:4486625
Providence	id=g:4486626
Providence Baptist Church	id=g:4486627
Providence Baptist Church	id=g:4486628
Providence Baptist Church	id=g:4486629
Providence Baptist Church Cemetery	id=g:4486630
Providence Cemetery	id=g:4486631
Providence Cemetery	id=g:4486632
Providence Cemetery	id=g:4486633
Providence Chapel	id=g:4486634
Providence Church	id=g:4486635
Providence Church	id=g:4486636
Providence Church	id=g:4486637
Providence Church	id=g:4486638
Providence Church	id=g:4486639
Providence Church	id=g:4486640
Providence Church	id=g:4486641
Providence Church	id=g:4486642
Providence Church	id=g:4486643
Providence Church	id=g:4486644
Providence Church	id=g:4486645
Providence Church	id=g:4486646
Providence Church	id=g:4486647
Providence Church	id=g:4486648
Providence Church	id=g:4486649
Providence Church	id=g:4486650
Providence Church	id=g:4486651
Providence Church	id=g:4486652
Providence Church	id=g:4486653
Providence Church	id=g:4486654
Providence Church	id=g:4486655
Providence Church	id=g:4486656
Providence Church	id=g:4486657
Providence Church	id=g:4486658
Providence Church	id=g:4486659
Providence Church	id=g:4486660
Providence Church	id=g:4486661
Providence Church	id=g:4486662
Providence Memorial Cemetery	id=g:4486663
Providence Methodist Church	id=g:4486664
Providence Mill	id=g:4486665
Providence Mission	id=g:4486666
Providence Missionary Church	id=g:4486667
Providence Park	id=g:4486668
Providence Plantation	id=g:4486669
Providence Road Church	id=g:4486670
Providence School (historical)	id=g:4486671
Providence Senior High School	id=g:4486672
Providence Square	id=g:4486673
Providence Swamp (historical)	id=g:4486674
Providence Village Shopping Center	id=g:4486675
Providence West	id=g:4486676
Providence Woods	id=g:4486677
Providence Woods	id=g:4486678
Township of Providence	id=g:4486679
Township of Providence	id=g:4486680
Township of Providence	id=g:4486681
Proximity	id=g:4486682
Proximity School	id=g:4486683
Pruette School (historical)	id=g:4486684
Pruitt Mill (historical)	id=g:4486685
Public Creek	id=g:4486686
Public Library of Charlotte and Mecklenburg County - Beatties Ford Road Branch	id=g:4486687
Prospect Cemetery	id=g:4486688
Public Library of Charlotte and Mecklenburg County - Belmont Center Branch	id=g:4486689
Public Library of Charlotte and Mecklenburg County - Carmel Branch	id=g:4486690
Public Library of Charlotte and Mecklenburg County - City View Branch	id=g:4486691
Public Library of Charlotte and Mecklenburg County - Cornelius Branch	id=g:4486692
Public Library of Charlotte and Mecklenburg County - Coulwood Branch	id=g:4486693
Public Library of Charlotte and Mecklenburg County - Hickory Grove Branch	id=g:4486694
Public Library of Charlotte and Mecklenburg County - Independence Regional Branch	id=g:4486695
Public Library of Charlotte and Mecklenburg County - Main Library	id=g:4486696
Public Library of Charlotte and Mecklenburg County - Mint Hill Branch	id=g:4486697
Public Library of Charlotte and Mecklenburg County - Morrison Regional Branch	id=g:4486698
Public Library of Charlotte and Mecklenburg County - Myers Park Branch	id=g:4486699
Public Library of Charlotte and Mecklenburg County - North County Regional Branch	id=g:4486700
Public Library of Charlotte and Mecklenburg County - North Park Branch	id=g:4486701
Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch	id=g:4486702
Public Library of Charlotte and Mecklenburg County - Scaleybark Branch	id=g:4486703
Public Library of Charlotte and Mecklenburg County - South County Regional Branch	id=g:4486704
Public Library of Charlotte and Mecklenburg County - Steele Creek Branch	id=g:4486705
Public Library of Charlotte and Mecklenburg County - University City Regional Branch	id=g:4486706
Public Library of Charlotte and Mecklenburg County - West Boulevard Branch	id=g:4486707
Puckett Branch	id=g:4486708
Puett Cemetery	id=g:4486709
Puett Creek	id=g:4486710
Puett Church	id=g:4486711
Pug Knob	id=g:4486712
Pugh Field	id=g:4486713
Pugh Mill (historical)	id=g:4486714
Pugh Mill (historical)	id=g:4486715
Pullback Ridge	id=g:4486716
Pullen Park	id=g:4486717
Pulley Pond	id=g:4486718
Pulliam Creek	id=g:4486719
Puette Cemetery	id=g:4486720
Pump Branch	id=g:4486721
Pump Branch	id=g:4486722
Pump Branch	id=g:4486723
Pump Gap	id=g:4486724
Pumphouse Branch	id=g:4486725
Pump Mountain	id=g:4486726
Pumpkin Center	id=g:4486727
Pumpkin Center	id=g:4486728
Pumpkin Creek	id=g:4486729
Pumpkin Center	id=g:4486730
Pumpkin Creek	id=g:4486731
Pumpkin Creek School (historical)	id=g:4486732
Pumpkin Patch Mountain	id=g:4486733
Pumpkin Run	id=g:4486734
Pumpkin Patch Gap	id=g:4486735
Punch Bowl	id=g:4486736
Punch Bowl	id=g:4486737
Punchbowl Creek	id=g:4486738
Pumpkintown	id=g:4486739
Puncheon Branch	id=g:4486740
Puncheon Branch	id=g:4486741
Puncheon Branch	id=g:4486742
Puncheon Camp Branch	id=g:4486743
Puncheon Camp Branch	id=g:4486744
Puncheon Camp Branch	id=g:4486745
Puncheon Camp Branch	id=g:4486746
Puncheon Camp Branch	id=g:4486747
Puncheon Camp Creek	id=g:4486748
Puncheon Camp Creek	id=g:4486749
Puncheon Camp Mountain	id=g:4486750
Puncheon Cove	id=g:4486751
Puncheon Creek	id=g:4486752
Puncheon Fork	id=g:4486753
Pungo	id=g:4486754
Pungo Creek	id=g:4486755
Pungo District Hospital Airport	id=g:4486756
Pungo Lake Canal	id=g:4486757
Pungo National Wildlife Refuge	id=g:4486758
Pungo Point	id=g:4486759
Pungo Post Office	id=g:4486760
Pungo River	id=g:4486761
Pungo Lake	id=g:4486762
Pungo River Canal	id=g:4486763
Pungo Swamp	id=g:4486764
Puppy Creek	id=g:4486765
Puppy Creek Ford	id=g:4486766
Pups Branch	id=g:4486767
Pungo River Alligator River Canal	id=g:4486768
Purcell Cemetery	id=g:4486769
Purchase Islands	id=g:4486770
Purchase Knob	id=g:4486771
Purdie Church	id=g:4486772
Purgatory Branch	id=g:4486773
Pups Ridge	id=g:4486774
Purgatory Pocosin	id=g:4486775
Purifoy Gut	id=g:4486776
Purgatory Mountain	id=g:4486777
Purlear Church	id=g:4486778
Purlear Creek	id=g:4486779
Purlear	id=g:4486780
Purvis	id=g:4486781
Push	id=g:4486782
Putnam	id=g:4486783
Putnam Memorial Baptist Church	id=g:4486784
Putneys Lake	id=g:4486785
Putneys Lake Dam	id=g:4486786
Puzzle Creek	id=g:4486787
Purley	id=g:4486788
Pyatt Creek	id=g:4486789
Pyatte	id=g:4486790
Pyle Dam	id=g:4486791
Pyle Lake	id=g:4486792
Pyrophyllite Mine Lake	id=g:4486793
Pyrophyllite Mine Lake Dam	id=g:4486794
Pythian Home	id=g:4486795
Quail Corners Shopping Center	id=g:4486796
Quail Hollow	id=g:4486797
Quail Hollow	id=g:4486798
Quail Hollow	id=g:4486799
Quail Hollow	id=g:4486800
Quail Hollow	id=g:4486801
Quail Hollow	id=g:4486802
Quail Hollow	id=g:4486803
Quail Hollow Country Club	id=g:4486804
Quail Hollow Country Club Lake	id=g:4486805
Quail Hollow Country Club Lake Dam	id=g:4486806
Quail Hollow Estates	id=g:4486807
Quail Hollow Middle School	id=g:4486808
Quail Meadow	id=g:4486809
Quail Park	id=g:4486810
Quail Ridge	id=g:4486811
Quail Ridge	id=g:4486812
Quail Ridge	id=g:4486813
Quail Ridge	id=g:4486814
Quail Ridge	id=g:4486815
Quail Ridge	id=g:4486816
Quail Ridge	id=g:4486817
Quail Ridge	id=g:4486818
Quail Roost	id=g:4486819
Quail Roost Lake Dam Number Three	id=g:4486820
Quail Roost Lake Number One	id=g:4486821
Quail Roost Lake Number One Dam	id=g:4486822
Quail Roost Lake Number Three	id=g:4486823
Quail Roost Lake Number Two	id=g:4486824
Quail Roost Lake Number Two Dam	id=g:4486825
Quail Run	id=g:4486826
Quails Pond	id=g:4486827
Quails Pond Dam	id=g:4486828
Quaker Acres	id=g:4486829
Quaker Bridge	id=g:4486830
Quaker Creek	id=g:4486831
Pyatts Chapel	id=g:4486832
Quaker Gap	id=g:4486833
Quaker Gap Missionary Baptist Church	id=g:4486834
Township of Quaker Gap	id=g:4486835
Quaker House Church	id=g:4486836
Quaker Lake	id=g:4486837
Quaker Meadow Presbyterian Church	id=g:4486838
Township of Quaker Meadow	id=g:4486839
Quaker Meadows Golf Club	id=g:4486840
Quaker Neck Estates	id=g:4486841
Quaker Neck Lake	id=g:4486842
Quaker Neck Lake Dam	id=g:4486843
Quaker Village Shopping Center	id=g:4486844
Qualla	id=g:4486845
Qualla Housing Project	id=g:4486846
Township of Qualla	id=g:4486847
Qually Creek	id=g:4486848
Quankey Church	id=g:4486849
Quankey Creek	id=g:4486850
Quaker Creek Reservoir	id=g:4486851
Quaqua Creek	id=g:4486852
Quarry Branch	id=g:4486853
Quarter Canal	id=g:4486854
Quarter Neck Country Club	id=g:4486855
Quarter Swamp	id=g:4486856
Quarry Hills Country Club and Golf Course	id=g:4486857
Quebec Mountain	id=g:4486858
Queen Branch	id=g:4486859
Quebec	id=g:4486860
Queen Branch	id=g:4486861
Queen Branch	id=g:4486862
Queen Camp Creek	id=g:4486863
Queen Cemetery	id=g:4486864
Queen Chapel	id=g:4486865
Queen Chapel	id=g:4486866
Queen Creek	id=g:4486867
Queen Cemetery	id=g:4486868
Queen Creek	id=g:4486869
Queen Creek	id=g:4486870
Queen Creek	id=g:4486871
Queen Creek Mountain	id=g:4486872
Queen Mountain	id=g:4486873
Queen Pines	id=g:4486874
Queen Ridge	id=g:4486875
Queen Ridge	id=g:4486876
Queen Store (historical)	id=g:4486877
Queen of the Apostles Church	id=g:4486878
Queens Acres	id=g:4486879
Queens Cemetery	id=g:4486880
Queens College	id=g:4486881
Queens Court	id=g:4486882
Queens Creek	id=g:4486883
Queens Creek	id=g:4486884
Queens Creek	id=g:4486885
Queen Gap	id=g:4486886
Queens Creek Lake	id=g:4486887
Queens Falls	id=g:4486888
Queens Grant	id=g:4486889
Queens Mountain	id=g:4486890
Queens Point	id=g:4486891
Queensdale	id=g:4486892
Queensgate Shopping Center	id=g:4486893
Quenby Mall	id=g:4486894
Querys Dixons (historical)	id=g:4486895
Quesenbury	id=g:4486896
Quewhiffle Creek	id=g:4486897
Queens Creek Dam	id=g:4486898
Quewhiffle Creek	id=g:4486899
Township of Quewhiffle	id=g:4486900
Quiet Acres Airport	id=g:4486901
Quillaree Branch	id=g:4486902
Quick	id=g:4486903
Quilley Point	id=g:4486904
Quincosin Swamp	id=g:4486905
Quillen Mountain	id=g:4486906
Quinine Swamp	id=g:4486907
Quinland	id=g:4486908
Quinlen Lake	id=g:4486909
Quinlen Lake Dam	id=g:4486910
Quinn Cemetery	id=g:4486911
Quinn Creek	id=g:4486912
Quinerly	id=g:4486913
Quinns Store	id=g:4486914
Quioccosin Swamp	id=g:4486915
Quinn Knob Tunnel	id=g:4486916
Quitsna Landing	id=g:4486917
Quokes Point	id=g:4486918
Quork Hammock	id=g:4486919
Quorum Business Park	id=g:4486920
R C Balfour Lower Dam	id=g:4486921
R E Earp Pond	id=g:4486922
R E Rankin Lake	id=g:4486923
R E Rankin Lake Dam	id=g:4486924
R E Roberts Dam	id=g:4486925
R Homer Andrews Elementary School	id=g:4486926
R L Parker Lake	id=g:4486927
R N Harris Integrated Arts and Core Knowledge Magnet Elementary School	id=g:4486928
Quitsna	id=g:4486929
Rabbit Creek	id=g:4486930
Rabbit Corner	id=g:4486931
Rabbit Mountain	id=g:4486932
Rabbit Ridge	id=g:4486933
Rabbitskin Branch	id=g:4486934
Rabbit Mountain	id=g:4486935
Raby Bend	id=g:4486936
Raccoon Bay	id=g:4486937
Raccoon Branch	id=g:4486938
Rabontown	id=g:4486939
Raccoon Branch	id=g:4486940
Raccoon Branch	id=g:4486941
Raccoon Branch	id=g:4486942
Raccoon Branch	id=g:4486943
Raccoon Cove	id=g:4486944
Raccoon Creek	id=g:4486945
Raccoon Creek	id=g:4486946
Raccoon Creek	id=g:4486947
Raccoon Creek	id=g:4486948
Raccoon Creek	id=g:4486949
Raccoon Creek	id=g:4486950
Raccoon Creek	id=g:4486951
Raccoon Creek	id=g:4486952
Raccoon Creek	id=g:4486953
Raccoon Creek	id=g:4486954
Raccoon Creek Point	id=g:4486955
Raccoon Island	id=g:4486956
Raccoon Mountain	id=g:4486957
Raccoon Point	id=g:4486958
Raccoon Ridge	id=g:4486959
Raccoon Swamp	id=g:4486960
Raccoon Swamp	id=g:4486961
Race Path Branch	id=g:4486962
Raccoon Island	id=g:4486963
Race Saint Church	id=g:4486964
Race Saint School	id=g:4486965
Racetrack Bend	id=g:4486966
Rachael Carson National Estuarine Sanctuary	id=g:4486967
Rachael Church	id=g:4486968
Rachel Cemetery	id=g:4486969
Rachel Church	id=g:4486970
Racket Creek	id=g:4486971
Racoon Branch	id=g:4486972
Race Path Church	id=g:4486973
Radcliff Park	id=g:4486974
Radder Creek	id=g:4486975
Radford Branch	id=g:4486976
Racoon Mountain	id=g:4486977
Radford Crossroads	id=g:4486978
Radford Gap	id=g:4486979
Radford Top	id=g:4486980
Radical	id=g:4486981
Radio Island	id=g:4486982
Raeford	id=g:4486983
Raeford Municipal Airport	id=g:4486984
Raeford Rhyne Airpark	id=g:4486985
Raeford Road Shopping Center	id=g:4486986
Township of Raeford	id=g:4486987
Raemon	id=g:4486988
Rafe Bay	id=g:4486989
Raff Creek	id=g:4486990
Radford Cemetery	id=g:4486991
Raft Swamp	id=g:4486992
Raffing Creek	id=g:4486993
Township of Raft Swamp	id=g:4486994
Rag Creek	id=g:4486995
Raft Swamp Church	id=g:4486996
Ragged Point	id=g:4486997
Ragged Point	id=g:4486998
Ragged Point	id=g:4486999
Ragland Cemetery	id=g:4487000
Ragsdale Creek	id=g:4487001
Ragan Church	id=g:4487002
Ragsdale Pond	id=g:4487003
Ragsdale Pond Dam	id=g:4487004
Raider Camp Creek	id=g:4487005
Ragsdale Hall	id=g:4487006
Rail Cove	id=g:4487007
Rail Cove Branch	id=g:4487008
Railer Branch	id=g:4487009
Railpen Gap	id=g:4487010
Railroad Ridge	id=g:4487011
Rain Forest	id=g:4487012
Rain Hill Church	id=g:4487013
Rainbow Bank	id=g:4487014
Rainbow Banks (historical)	id=g:4487015
Rainbow Cemetery	id=g:4487016
Rainbow Chapel	id=g:4487017
Rainbow Creek	id=g:4487018
Railroad Bridge	id=g:4487019
Rainbow Falls	id=g:4487020
Rainbow Falls	id=g:4487021
Rainbow Gap	id=g:4487022
Rainbow Gap	id=g:4487023
Rainbow Lake	id=g:4487024
Rainbow Lake	id=g:4487025
Rainbow Methodist Church	id=g:4487026
Rainbow Mountain	id=g:4487027
Rainbow Pond	id=g:4487028
Rainbow Pond	id=g:4487029
Rainbow Pond Dam	id=g:4487030
Rainbow Pond Dam	id=g:4487031
Rainbow Springs	id=g:4487032
Rainey Pond	id=g:4487033
Rains Crossroads	id=g:4487034
Raintree	id=g:4487035
Raintree	id=g:4487036
Raintree Estates	id=g:4487037
Rainy Knobs	id=g:4487038
Raisin Rock	id=g:4487039
Rake Shin Bay	id=g:4487040
Rakksan Chapel	id=g:4487041
Raleigh	id=g:4487042
Raleigh Bay	id=g:4487043
Raleigh Country Club	id=g:4487044
Raleigh Crossroads Church	id=g:4487045
Raleigh Memorial Park	id=g:4487046
Raleigh Municipal Lake	id=g:4487047
Raleigh Municipal Lake Dam	id=g:4487048
Raleigh Road Church	id=g:4487049
Raleigh Road Church	id=g:4487050
Raleigh Road Kindergarten	id=g:4487051
Raleigh Road Park	id=g:4487052
Raleigh Road Shopping Center	id=g:4487053
Lake Raleigh	id=g:4487054
Township of Raleigh	id=g:4487055
Raleigh-Durham Airport	id=g:4487056
Rall Top	id=g:4487057
Ralph Flowers Dam	id=g:4487058
Ralph Flowers Lake	id=g:4487059
Ralph L Fike High School	id=g:4487060
Ram Branch	id=g:4487061
Rainbow Estates	id=g:4487062
Rama Road Elementary School	id=g:4487063
Ramah Church	id=g:4487064
Ramah Creek	id=g:4487065
Rama	id=g:4487066
Ramblewood	id=g:4487067
Ramblewood Apartments	id=g:4487068
Rambling Acres	id=g:4487069
Ramey Creek	id=g:4487070
Ramah Grove Church	id=g:4487071
Ramp Branch	id=g:4487072
Ramp Cove	id=g:4487073
Ramp Cove	id=g:4487074
Ramp Cove Branch	id=g:4487075
Ramoth Gilead Church	id=g:4487076
Ramp Cove Branch	id=g:4487077
Ramseur	id=g:4487078
Ramseur Elementary School	id=g:4487079
Ramseur Lake	id=g:4487080
Ramseur Lake Dam	id=g:4487081
Ramseur School	id=g:4487082
Ramsey	id=g:4487083
Ramsey Bend	id=g:4487084
Ramsey Cemetery	id=g:4487085
Ramsey Cemetery	id=g:4487086
Ramsey Cemetery	id=g:4487087
Ramsey Cemetery	id=g:4487088
Ramsey Cemetery	id=g:4487089
Ramsey Cliff	id=g:4487090
Ramsey Creek	id=g:4487091
Ramseur Church	id=g:4487092
Ramsey Creek	id=g:4487093
Ramsey Creek	id=g:4487094
Ramsey Creek County Park	id=g:4487095
Ramsey Gap	id=g:4487096
Ramsey Mill Pond	id=g:4487097
Ramsey Millpond Dam	id=g:4487098
Ramsey Mountain	id=g:4487099
Ramsey Ridge	id=g:4487100
Ramsey Ridge	id=g:4487101
Ramsey Street Elementary School	id=g:4487102
Ramseytown	id=g:4487103
Township of Ramseytown	id=g:4487104
Ramshead Branch	id=g:4487105
Ramsey Ford Bridges	id=g:4487106
Ranch Lake Dam	id=g:4487107
Ranchin Lake	id=g:4487108
Rand Cemetery	id=g:4487109
Rand Cemetery	id=g:4487110
Randall Cemetery	id=g:4487111
Randall Gap	id=g:4487112
Randall Lake	id=g:4487113
Randalls Chapel	id=g:4487114
Randell Church	id=g:4487115
Randleman	id=g:4487116
Randleman City Lake	id=g:4487117
Randleman City Lake Dam	id=g:4487118
Randleman Elementary School	id=g:4487119
Randleman High School	id=g:4487120
Randleman Middle School	id=g:4487121
Township of Randleman	id=g:4487122
Randolph Cemetery	id=g:4487123
Randolph Cemetery	id=g:4487124
Randolph Church	id=g:4487125
Randolph Church	id=g:4487126
Randolph County	id=g:4487127
Randolph County Court House	id=g:4487128
Randolph Landing	id=g:4487129
Randolph Landing (historical)	id=g:4487130
Randolph Mall	id=g:4487131
Randolph Memorial Park	id=g:4487132
Randolph Middle School	id=g:4487133
Randolph Mill Dam	id=g:4487134
Randolph Mill Lake	id=g:4487135
Randolph School	id=g:4487136
Randolph School (historical)	id=g:4487137
Randolph Technical Institute	id=g:4487138
Random Hills	id=g:4487139
Random Woods	id=g:4487140
Random Woods	id=g:4487141
Random Woods	id=g:4487142
Ranger	id=g:4487143
Ranger Church	id=g:4487144
Ranger Island Marina	id=g:4487145
Ranger School	id=g:4487146
Ranger Station Number 2	id=g:4487147
Ranger Station Number 3	id=g:4487148
Rangewood	id=g:4487149
Rangewood	id=g:4487150
Rankin	id=g:4487151
Rankin Elementary School	id=g:4487152
Rankin Lake Dam	id=g:4487153
Rankin Lake Park	id=g:4487154
Rankin Pond	id=g:4487155
Rankin Pond Dam	id=g:4487156
Rankin School	id=g:4487157
Ranlo	id=g:4487158
Township of Ransom	id=g:4487159
Ransoms Bridge	id=g:4487160
Ransomville	id=g:4487161
Ranson Middle School	id=g:4487162
Ranyor Mill Branch	id=g:4487163
Ranch Lake	id=g:4487164
Rapid Creek	id=g:4487165
Rapid Creek Ridge	id=g:4487166
Rapier Mill Creek	id=g:4487167
Rapture Church	id=g:4487168
Rascoes Mill (historical)	id=g:4487169
Rash Creek	id=g:4487170
Rartram Trail	id=g:4487171
Rat Spring Branch	id=g:4487172
Ratcliff Cove Baptist Church	id=g:4487173
Ratcliffe Cove	id=g:4487174
Ratcliff Mountain	id=g:4487175
Ratcliffe Cove Branch	id=g:4487176
Ratcliffe Cove Cemetery	id=g:4487177
Rathbone Branch	id=g:4487178
Rathbone Cove	id=g:4487179
Rattan Bay	id=g:4487180
Rattle Shoal Creek	id=g:4487181
Rattan Spit	id=g:4487182
Rattler Branch	id=g:4487183
Rattler Ford	id=g:4487184
Rattlesnake Bay	id=g:4487185
Rattlesnake Bay	id=g:4487186
Rattlesnake Branch	id=g:4487187
Rattler Ford Campground	id=g:4487188
Rattlesnake Branch	id=g:4487189
Rattlesnake Branch	id=g:4487190
Rattlesnake Branch	id=g:4487191
Rattlesnake Branch	id=g:4487192
Rattlesnake Branch	id=g:4487193
Rattlesnake Branch	id=g:4487194
Rattlesnake Branch	id=g:4487195
Rattlesnake Branch	id=g:4487196
Rattlesnake Branch	id=g:4487197
