Tītīn Darah	id=g:1474234
Zīārat Chīnah	id=g:1476712
Dē Khān Ţam’a Khān Kārēz	id=g:1476713
Lanḏay Ghêbargay	id=g:1476714
Kārgī Chīnah	id=g:1476715
Khalīl Chīnah	id=g:1476716
Chowgī Chīnah	id=g:1476717
Mangal Kārēz	id=g:1476718
Shankhzgay Māndêh	id=g:1476719
Marūgī Kārēz	id=g:1476720
Tsakay Shīn Tsāh	id=g:1476721
Naray Tarkhah	id=g:1476722
Dê Lōy Lārē Srah	id=g:1476723
Chowgī Māndêh	id=g:1476724
Najaf Kārēz	id=g:1476725
Prēkaṟē Syōray	id=g:1476726
Dê Khiẕir Srah	id=g:1476727
Têrkhē Māndêh	id=g:1476728
Paṟkī Das̲h̲tah	id=g:1476729
Ḏagarah Das̲h̲tah	id=g:1476730
Mū’min Khān Kārēz	id=g:1476731
Mīr Dād Muḩammad Khēl Khānah	id=g:1476732
Tsêray Māndêh	id=g:1476733
Khiẕir Kalā	id=g:1476734
Khusāgī Tsāh	id=g:1476735
Darāz Khān Kārēz	id=g:1476736
Sayyid Walī Māndêh	id=g:1476737
Srē Khūlē Das̲h̲tah	id=g:1476738
Pōṟay	id=g:1476739
Srah Ghrêh Sūraī	id=g:1476740
Zamān Kārēz	id=g:1476741
Dê Srah Kārēz	id=g:1476742
Tṟīw Kūhay Māndêh	id=g:1476743
Tṟīw Kūhay	id=g:1476744
Srah Khūlah Bōzah	id=g:1476745
Bōzah Māndêh	id=g:1476746
Dê Bōzē Sunḏ	id=g:1476747
‘Arẕ Bēgī Kêlay	id=g:1476748
Bōzah Kārēz	id=g:1476749
Mīrzā Kārēz	id=g:1476750
Shayr Gul Kārēz	id=g:1476751
Dê Maḩmūd Khēl Kārēz	id=g:1476752
Têrwō Māndêh	id=g:1476753
Takaṟay	id=g:1476754
Kāz̲h̲ah Talah	id=g:1476755
Gwāl	id=g:1476756
Bāzingānē Māndêh	id=g:1476757
Sūrkay Ghar	id=g:1476758
Kharē Sūnḏ	id=g:1476759
Ghurlamē Māndêh	id=g:1476760
Shāhzādah Chīnah	id=g:1476761
Têrwō Māndêh	id=g:1476762
Dê Shāh Dê Ghrêh Sūnḏ	id=g:1476763
Tahānah-ye ‘Askarī	id=g:1476764
Karbōṟī Kārēz	id=g:1476765
Dê Karbōṟī Dê Sar Māndêh	id=g:1476766
‘Omar Kārēz	id=g:1476767
Lanḏay Kārēz	id=g:1476768
Dê Braj Kārēz	id=g:1476769
Tasī Kārēz	id=g:1476770
Tsāgay	id=g:1476771
Kilōṯ Māndêh	id=g:1476772
Chākay Māndêh	id=g:1476774
Gṟabō	id=g:1476775
Khêṟah Khūlah	id=g:1476776
Patāgī Kārēz	id=g:1476777
Karbōrē Ghar	id=g:1476778
Dê Lanḏay Ghbargay Zhawêr	id=g:1476780
Maltanī Ghar	id=g:1476781
Sangōṯah Ghar	id=g:1476782
Dê Wrastō Ōbō Chinē	id=g:1476783
Khosā Ōbō Chīnah	id=g:1476784
Ākā Khēlō Kārēz	id=g:1476785
Tōgirī Kārēz	id=g:1476786
Dê Sōy Khānē Kārēz	id=g:1476787
Têrwūkī Kārēz	id=g:1476788
Naray Tikhah	id=g:1476789
Reẕā Khān Māndêh	id=g:1476790
‘Arẕ Bēgī Kārēz	id=g:1476791
Saḩārgêy Māndêh	id=g:1476792
Rozah Khwarak	id=g:1476793
Bōkō Ghar	id=g:1476794
Kanḏay	id=g:1476795
Bāgh Kats	id=g:1476841
Darah-ye Sīāh Chōy	id=g:1476842
Muḩammad ‘Ārif Jān Āghā Kêlay	id=g:1476843
Qādir Khēl	id=g:1476844
Bābizaī	id=g:1476845
Muḩammad Ibrāhīm Jān Āghā Kêlay	id=g:1476846
Zīārat-e Shaykh Shiblī	id=g:1476847
Dokhtarān Ghar	id=g:1476848
Domandī	id=g:1476849
Shāh Pisand Nīkêh	id=g:1476850
Zīz̲h̲ah Ghar	id=g:1476851
Ābōzaī	id=g:1476852
Zīārat-e Ḩājī Muḩammad Yōsuf Jān Āghā	id=g:1476853
Wazīr Nīkêh	id=g:1476854
Chōpānzaī	id=g:1476855
Timurzaī	id=g:1476856
Sūrnī Shaylah	id=g:1476857
Shaykhān Ghar	id=g:1476858
Shaykh Makhtun	id=g:1476859
Bādur Chaman	id=g:1476860
Pardēs Nīkêh	id=g:1476861
Chowgāzaī	id=g:1476862
Nāşir Kêlay	id=g:1476863
Tarnāw	id=g:1476864
Ōrīāzaī	id=g:1476865
Yōsuf Khēl	id=g:1476866
Anāh Khēl	id=g:1476867
Kuchnay Gel Band Ghar	id=g:1476868
Zihaḏ	id=g:1476869
Bābū Shaylah	id=g:1476870
Bābū Ghar	id=g:1476871
Kākaṟān	id=g:1476872
Kashalah	id=g:1476873
Shilgirah	id=g:1476874
Zirkbāṉêy Shaylah	id=g:1476875
Ghbargē Shaylah	id=g:1476876
Wulgay	id=g:1476877
Dê Siwī Band Ghar	id=g:1476878
Ḩāmund Ghunḏêy	id=g:1476879
Hāmun Band	id=g:1476880
Shkūn Ghar	id=g:1476881
Pungī	id=g:1476882
Kuchnī Samī Ghrūnah	id=g:1476883
Shaykh Ya‘qūb	id=g:1476884
Takêy	id=g:1476885
Parwarzaī	id=g:1476886
Pānizaī	id=g:1476887
Nōkōrzaī	id=g:1476888
Tūghṟah Ghunḏêy	id=g:1476889
Dê Ma‘rūf Nāwah	id=g:1476890
Dê Lwaṟah Nāwah	id=g:1476891
Dê ‘Azīm Kārēz	id=g:1476892
Dê Khūn Darah Nāwah	id=g:1476893
Ghōbanyānō Ghunḏêy	id=g:1476894
Shābīān	id=g:1476895
Kārēz	id=g:1476896
Malay	id=g:1476897
Spīngay	id=g:1476898
Bāwū Kalā	id=g:1476899
Tōr Kān	id=g:1476900
Tōr Kān	id=g:1476901
Pakhōṟay	id=g:1476902
Ks̲h̲êtah Mashōzaī	id=g:1476904
Hōtak	id=g:1476906
Khūn Darah	id=g:1476907
Lūy Sāmi Ghṟūnah	id=g:1476908
Dê Khazānē Māndêh	id=g:1476910
Dê Sūrwān Ghunḏêy	id=g:1476913
Naz̧arzaī Kêlay	id=g:1476914
Dê Lwaṟah Pitāw Ghrūnah	id=g:1476921
Akizaī	id=g:1476922
‘Alī Shayr	id=g:1476923
Darbār Ghunḏêy	id=g:1476924
Tōrah Ghunḏêy	id=g:1476925
Sūrkay Kêlay	id=g:1476926
Qyāmatah	id=g:1476927
Sāliḩgay Kêlay	id=g:1476928
Gārī Wa Kāṟēzwāl	id=g:1476929
Kazhakī Kêlay	id=g:1476930
Kārēzwāl Kêlay	id=g:1476931
Gul Kōh	id=g:1476932
Shērak Rasūl Māndêh	id=g:1476933
Tōr Ghar	id=g:1476934
Zōṟ Kêlay	id=g:1476935
Tūrkay Māndêh	id=g:1476936
Kargay Ghar	id=g:1476937
Bahādur Khān Kārēz	id=g:1476938
Mōmō Khēl	id=g:1476939
Nāwagay	id=g:1476940
Qubād Khēl	id=g:1476941
Sarchī	id=g:1476942
Beḏah Wowun Māndêh	id=g:1476943
Chawkay	id=g:1476944
Sūr Khāb	id=g:1476945
Tsakay Ghar	id=g:1476946
De Cheghnay Nāwah	id=g:1476947
Wasaṯī Chighnay	id=g:1476948
Shamālī Chighnay	id=g:1476949
Damah Ghar	id=g:1476950
Barah Ghūnḏ	id=g:1476951
Spīn Ghar	id=g:1476952
Takhāī	id=g:1476953
Spērkay Ghar	id=g:1476954
Zhaṟay Tangaī	id=g:1476955
Lōy Tarkashah	id=g:1476956
Chūgāzay	id=g:1476957
Sharan	id=g:1476958
Mullā Bārān	id=g:1476959
Rustam Kêlay	id=g:1476960
Tōrah Maīndzah Ghar	id=g:1476961
Kūjay	id=g:1476962
Khwājah Muḩammad Kêlay	id=g:1476963
Spīn Ghar	id=g:1476964
Jār Ghar	id=g:1476965
Gharbī Bāghgay	id=g:1476966
Sharqī Bāghgay	id=g:1476967
Shamālī Bāghgay	id=g:1476968
Sōkhtah	id=g:1476969
Lanḏay Kêlay	id=g:1476970
Dwah Sarak	id=g:1476971
Fateḩ Khān Kêlay	id=g:1476972
Wulgay	id=g:1476973
Ziz̲h̲ah Ghar	id=g:1476974
Dēwālak	id=g:1476975
Daywālak Māndêh	id=g:1476976
Rōdī Kêlay	id=g:1476977
Dāwūd Shāh Kêlay	id=g:1476978
Dê Ghās̲h̲ē Rabāţ	id=g:1476979
Dê Kākaṟānō Kêlay	id=g:1476980
Ḩājī ‘Abd ur Ra’ūf Kêlay	id=g:1476981
Ghūnḏ Rāghêh	id=g:1476982
Lashtay	id=g:1476983
Ḩamīd Kêlay	id=g:1476984
Khaīr Raḩmān Kêlay	id=g:1476985
Shamālī Ilmay	id=g:1476986
Muḩammadzaī	id=g:1476987
Lakaṟay Māndêh	id=g:1476988
Dê Sinjid Māndêh	id=g:1476989
‘Aţā Muḩammad Kêlay	id=g:1476990
Multān	id=g:1476991
Khaīrābād	id=g:1476992
Mīānah Shākh	id=g:1476993
Dê Padō Kêlay	id=g:1476994
Dê Nāşir Māndêh	id=g:1476995
Dê Têrwō Māndêh	id=g:1476996
Spinkhune	id=g:1476997
Ţughrāt	id=g:1476998
Chīnah	id=g:1476999
Dê Kalāchah Māndêh	id=g:1477000
Muḩammad Ghows̄ Āghā Zīārat	id=g:1477001
Dê Mowlawī Dzāy	id=g:1477002
La‘lgay	id=g:1477003
Pā Ḩişār Shaylah	id=g:1477004
Muḩammadzaī	id=g:1477006
Salām Jān Kêlay	id=g:1477008
Karnālē Māndêh	id=g:1477009
Jowzār	id=g:1477010
Gidargō	id=g:1477012
‘Abdul Ḩaq Kêlay	id=g:1477017
Junūbī Spēdakay	id=g:1477019
Biland Jōy	id=g:1477020
Tūrī	id=g:1477021
Shaylah	id=g:1477022
Gurzaī	id=g:1477023
Khārānō Kōṯêy	id=g:1477024
Shamālī Spēdakay	id=g:1477025
Walī Muḩammad Kêlay	id=g:1477026
Sandzêlē Shēlah	id=g:1477027
Mārbūlāq	id=g:1477028
Chihil Gazī	id=g:1477029
Golāb Shāh Kêlay	id=g:1477031
Ayūb Kêlay	id=g:1477032
Sarishtadār Dzāy	id=g:1477033
Ḩājī Sayyid Ḩabīb Kêlay	id=g:1477034
Miltanay	id=g:1477035
Miltanay Māndêh	id=g:1477036
Tangaī	id=g:1477037
Dirē Ghās̲h̲ē	id=g:1477038
Tsakay Ghar	id=g:1477039
Zirkbāṉêy	id=g:1477040
Shahr-e Band	id=g:1477041
Dê Safzal Ghar	id=g:1477042
Sargum Kêlay	id=g:1477043
Ḩājī Tarīn Kêlay	id=g:1477044
Dê Kishānī Ghar	id=g:1477045
Kākaṟān Kêlay	id=g:1477046
Dê Zhaṟah Ghar	id=g:1477047
Nowr Muḩammad Kêlay	id=g:1477048
Bādū Kêlay	id=g:1477049
Shilgay Kêlay	id=g:1477050
Pāchāh Khēl Kêlay	id=g:1477051
Būrī Khēl Kêlay	id=g:1477052
Kahay Kêlay	id=g:1477053
Sayfullāh Kêlay	id=g:1477054
Takaṟay Kêlay	id=g:1477055
Jum‘ah Khān Kêlay	id=g:1477056
Dê Āghā Kêlay	id=g:1477057
Tōr Ghūnḏ	id=g:1477058
Dê Tarakī Ghar	id=g:1477059
Balū Jān Kêlay	id=g:1477060
Milizay Kêlay	id=g:1477061
Nēk Naz̧ar Kêlay	id=g:1477062
Shīrdahan Kêlay	id=g:1477063
Dê Bōlān Bābā Ghar	id=g:1477064
Ghazgay Kêlay	id=g:1477065
Bōlān Rōd	id=g:1477066
Dāwigar Kêlay	id=g:1477067
Natūlī Kêlay	id=g:1477068
Bōlān Rōd	id=g:1477069
Patū Khēl Kêlay	id=g:1477070
Shēruh	id=g:1477071
Shayr Kalā Kêlay	id=g:1477072
Aḩmad Kalā Kêlay	id=g:1477073
Dilay Kêlay	id=g:1477074
Māndêh Kêlay	id=g:1477075
Sārwān Khēl Kêlay	id=g:1477076
Ḩājī Qoţān	id=g:1477077
Ya‘qūb Kharābē	id=g:1477078
Yakahtūt	id=g:1477079
Zīārat-e Sūfī Nīkêh	id=g:1477080
Kōh-e Wurzhghanah	id=g:1477081
Darah-ye Shāh	id=g:1477082
Kōtal-e Wurzhghanah	id=g:1477083
Darah-ye Surkh	id=g:1477084
Kaj Bayd	id=g:1477085
Nasar Ghar	id=g:1477086
Bārdān Ghar	id=g:1477087
Oshtur Ōr Shaylah	id=g:1477088
Pāy Zarghīn	id=g:1477089
Ghar Gharāb	id=g:1477090
Tōr Ghar	id=g:1477091
Kōh-e Bachah-ye Bēgak	id=g:1477092
Shāligar	id=g:1477093
Shīn Band	id=g:1477094
Jaghatū Shaylah	id=g:1477095
Pāy Sar Ghar	id=g:1477096
Lijak	id=g:1477097
Qaryah-ye Baydak	id=g:1477098
Malang	id=g:1477099
Nīkêh Jāy Shaylah	id=g:1477100
Gundah Tēgh	id=g:1477101
Ābirūm Shaylah	id=g:1477102
Karghū	id=g:1477103
Sīāh Ghūl Shaylah	id=g:1477104
Darah-ye Khalash Rōd	id=g:1477105
Qarāwêl Ghar	id=g:1477106
Sangāsū Ghar	id=g:1477107
Nikatū Shaylah	id=g:1477108
Akhtak Shaylah	id=g:1477109
Khuṯ Shaylah	id=g:1477110
Lōy Shīn Band	id=g:1477111
Lōy Khuṯ	id=g:1477112
Lōyah Darah	id=g:1477113
Wākhalay Ghar	id=g:1477114
Bakhtū Ghar	id=g:1477115
Anjīrānō Shaylah	id=g:1477116
Anārak Shaylah	id=g:1477117
Ḩājī Muḩammad Şafar	id=g:1477118
Tōr Kānaī	id=g:1477119
Ḩājī Aḩmad Khān Kêlay	id=g:1477120
Tārī Band	id=g:1477121
Pāy Shaghāl Ghar	id=g:1477122
Lakaṟē Band	id=g:1477123
Murghābī Shaylah	id=g:1477124
Indzêrgī Sar	id=g:1477125
Kharōrē Band	id=g:1477126
Mazdūrak Ghar	id=g:1477127
Darnābād Band	id=g:1477128
Sīāh Sangak	id=g:1477129
‘Alī Sayyid Band	id=g:1477130
Kōh-e Kaftarghāl	id=g:1477131
Gham Bād	id=g:1477132
Sīn Ghar	id=g:1477133
Darah-ye Sīn	id=g:1477134
Kōh-e Gāzrow	id=g:1477135
Darrah-e Pādeshāh	id=g:1477136
Kōh-e Dast Nishān	id=g:1477137
Qadamgāh	id=g:1477138
Binowsh	id=g:1477139
Lūţī Sar	id=g:1477140
Kōh-e Dū Āsār	id=g:1477141
Darah-ye Kārēz Najū	id=g:1477142
Rōd-e Khalash Rōd	id=g:1477143
Kōhhā-ye Band-e Masjid	id=g:1477144
Kōtal-e Band-e Masjid	id=g:1477145
Darah-ye Zarī	id=g:1477146
Kōh-e Zard	id=g:1477147
Kōh-e Sang-e Sakht	id=g:1477148
Kōh-e Gāwyak	id=g:1477149
Darah-ye Kajakī	id=g:1477150
Kōhhā-ye Padēshān	id=g:1477151
Kalkah Ghar	id=g:1477152
Qal‘ah Sangay	id=g:1477153
Mullāyānō	id=g:1477154
‘Alam Khānzī	id=g:1477155
Shaylahgay	id=g:1477156
Ghbargay	id=g:1477157
Tsakay Shamālī	id=g:1477158
Tsakay Junūbī	id=g:1477159
Atū	id=g:1477160
Sanak	id=g:1477161
Wungarah	id=g:1477162
Chūghak	id=g:1477163
Spīn Kārēz	id=g:1477164
Lanḏay	id=g:1477165
Bādurzaī	id=g:1477166
Khwaz̲h̲ah Baṉah	id=g:1477167
Dê Pitāw Ghunḏêy	id=g:1477168
Pitāw Kêlay	id=g:1477169
Dê Tarakêy Ghunḏêy	id=g:1477170
Ḩusaīnzaī	id=g:1477171
Sākzō Kêlay	id=g:1477172
Kalāgay	id=g:1477173
Ḩājī Sātun Kêlay	id=g:1477174
Nabidād Kêlay	id=g:1477175
Nimakay	id=g:1477176
Gaṟanḏay Kêlay	id=g:1477177
Mūsá Khān Kêlay	id=g:1477178
Sārwān	id=g:1477179
Ghulām Ḩaīdar Khān Kêlay	id=g:1477180
Ghaws̄ Muḩammad	id=g:1477181
Ḩājī Ḩabībullāh	id=g:1477182
Muḩammad Mīr Kêlay	id=g:1477183
Şūfī Tīk	id=g:1477184
Naşruddīn Kêlay	id=g:1477185
Sātay Kêlay	id=g:1477186
Rūzī Khān Kêlay	id=g:1477187
Niyāz Muḩammad	id=g:1477188
Pṟāng Chowdah	id=g:1477189
Maḩbūb Khān Kārēz	id=g:1477190
Anāwē	id=g:1477191
Syōrī Dokānūnah	id=g:1477192
Bilālzaī	id=g:1477193
Lanḏay Kārēz	id=g:1477194
Zīārat-e Mullā Aslam Nīkêh	id=g:1477195
Zhēṟay Ghar Shamālī	id=g:1477196
Iqbāl Khān Kêlay	id=g:1477197
Faz̧il Muḩammad Kêlay	id=g:1477198
Pudeh Tal Shelleh-ye	id=g:1477199
Naşruddīn Kêlay	id=g:1477200
Bāzārgay Ghar	id=g:1477201
Dasht-e Khenjak Mazār	id=g:1477202
Lūnḏ Khāsh	id=g:1477203
Shānah Khēl	id=g:1477205
Darah-ye Qarah Gul	id=g:1477206
Khānjū	id=g:1477207
Akhtar Muḩammad Kêlay	id=g:1477208
Khêṟ	id=g:1477209
Tsatsanday Ghar	id=g:1477210
Dowlat Khēl	id=g:1477211
Nāwah	id=g:1477212
Sangūk Ghar	id=g:1477213
Surkh Kōh	id=g:1477214
Rōd-e Dūr Bīnaī	id=g:1477215
Kōh-e Ghilar Bīnaī	id=g:1477216
Rōd-e Ghilar Bīnaī	id=g:1477217
Shīnkay Kōtal	id=g:1477218
Rōd-e Gāshay	id=g:1477219
Hazār Buz	id=g:1477220
Khākṟēz Pōtay	id=g:1477221
Bars Khūlah	id=g:1477222
Rōd-e Gurdah	id=g:1477223
Chūling	id=g:1477224
Zharah	id=g:1477225
Kōh-e Tankhwā	id=g:1477226
Kōh-e Pul-e Şarāţ	id=g:1477227
Khāwi	id=g:1477228
Maşlaḩat	id=g:1477229
Kōh-e Shotur Gardan	id=g:1477231
Tōr Sangar	id=g:1477232
Band-e Gāw Khānah	id=g:1477233
Kōh-e Kāshmay	id=g:1477234
Kōh-e Anjīrī	id=g:1477235
Kārēz-e Anjīrī	id=g:1477236
Tabakh Sar	id=g:1477237
Ḩokūmatī Baghrān	id=g:1477238
Chashmah-ye Daywānah	id=g:1477239
Kōh-e Rajah	id=g:1477240
Khwājah Bahā ud Dīn	id=g:1477241
Kōh-e Mazār	id=g:1477242
Bābā-Zangī	id=g:1477243
Khushkāw	id=g:1477244
Kundah Taygh	id=g:1477245
Chashmah-ye La‘lbāgh	id=g:1477246
Kōh-e Sangar	id=g:1477247
Kōh-e Binafshah	id=g:1477248
Ghūnḏī-ye Mazār	id=g:1477249
Sayyid La‘l Shāh Āghā	id=g:1477250
Kārēz-e Ādam Khān	id=g:1477251
Band-e Kushkak	id=g:1477252
Injar Band	id=g:1477253
Ghūnḏī-ye Chahak	id=g:1477254
Gora Toragunday	id=g:1477255
Kōh-e Nīlā	id=g:1477256
Kōh-e Mīān Jāh	id=g:1477257
Kōh-e Tarārū	id=g:1477258
Zīārat-e Faqīr Naşrō	id=g:1477259
Arnī Ghar	id=g:1477260
Galah Bayd Māndêh	id=g:1477261
Karkarakī Māndêh	id=g:1477262
Kārēz-e Darah	id=g:1477263
Kōh-e Surkh Sang-e	id=g:1477264
Kōh-e Bīdī Bōr	id=g:1477265
Kharbayd Māndêh	id=g:1477266
Kārēz-e Altīgī	id=g:1477267
Hazārjowz Māndêh	id=g:1477268
Kōh-e Murgha’ī	id=g:1477269
Kharbayd Ghar	id=g:1477270
Dê Bāgh Ghunḏêy	id=g:1477271
Kārēz-e Gildān	id=g:1477272
Tah-e Sīnah Māndêh	id=g:1477273
Kārēz-e Ghōrīān	id=g:1477274
Ghōriyān Māndêh	id=g:1477275
Kārēz-e Qal‘ah-ye Bādām	id=g:1477276
Qarah Qōlak	id=g:1477277
Sīāh Qōlak	id=g:1477278
Kārēz-e Khushk-e Chihil Chirāgh	id=g:1477279
Sarhang	id=g:1477280
Kōh-e Band-e Darah-ye Gāw	id=g:1477281
Mūtah	id=g:1477284
Kārēz-e Mūtah	id=g:1477285
Kōh-e Yakhak	id=g:1477286
Dê Zīārat Ghunḏêy	id=g:1477287
Shāh Bayd	id=g:1477288
Qarowbah	id=g:1477289
Dahān-e Shāh Bayd	id=g:1477290
Shāh Bayd	id=g:1477291
Khāk-e Başīr	id=g:1477292
Mūrchah	id=g:1477293
Qishlāq Kuhnah	id=g:1477294
Kārēz-e Samsh ‘Abād	id=g:1477295
Sīnay	id=g:1477296
Kārēz-e Qal‘ah-ye Bādām	id=g:1477297
Muḩammad-‘Alīak	id=g:1477298
Kārēz-e ‘Alī Khafah	id=g:1477299
Kōrāw-e Manşūr	id=g:1477300
Dê Jānī Ghunḏêy	id=g:1477301
Safayd Sang	id=g:1477302
Kārēz-e Kenjak	id=g:1477303
Tōrah Ghunḏêy	id=g:1477304
Daywālak	id=g:1477305
Darah-ye Sōkhtah	id=g:1477306
Malūk	id=g:1477307
Sayyid Kushtah	id=g:1477308
Jar-e Dāristān	id=g:1477309
Silsilah-ye Kōhhā-ye Kakrah	id=g:1477310
Nayk	id=g:1477311
Khākrayzak	id=g:1477312
Kōh-e Makhzan	id=g:1477313
Aghīghōl	id=g:1477314
Sar-e Kadalak	id=g:1477315
Awrak	id=g:1477316
‘Adasak	id=g:1477317
Shayr Ghaljī	id=g:1477318
Jowzak	id=g:1477319
Takabughah	id=g:1477320
Chungak	id=g:1477321
Faqīr Shāh	id=g:1477322
Sīāh Khāk	id=g:1477323
Ḩājī Mīrgan	id=g:1477324
Bādāmī	id=g:1477325
Kinhān	id=g:1477326
Kōh-e Zilarwast	id=g:1477327
Rabāţ	id=g:1477328
Darah-ye Ījān	id=g:1477329
Darah-ye Sīnah	id=g:1477330
Band-e Zamān Khān	id=g:1477331
Tapah-ye Sar Ijdowī	id=g:1477332
Band-e Khār Bayd	id=g:1477333
Darah-ye Khārī wa Ījan	id=g:1477334
Kōh-e Rabāţ	id=g:1477335
Kōh-e Pīāsang	id=g:1477336
Selseleh-ye Kūhhā-ye Palvī	id=g:1477338
Kōh-e Jōr	id=g:1477339
Chunghōr Māndêh	id=g:1477340
Munḩak Ghar	id=g:1477341
Kōh-e Khalān	id=g:1477342
Sar-e Khalān	id=g:1477343
Kōh-e Kanalīj	id=g:1477344
Sar-e Kōh	id=g:1477345
Tangaī	id=g:1477346
Naganak Māndêh	id=g:1477347
Khūlah-ye Chowdahhā	id=g:1477348
Zilar Bast	id=g:1477349
Tōr Ghwand	id=g:1477350
Khūlah-ye Bēnowshān	id=g:1477351
Shaylah-ye Natay	id=g:1477352
Shaylah-ye Shāh Jōy	id=g:1477353
Kōh-e Jōkah	id=g:1477354
Band-e Zamān Khān	id=g:1477355
Rabāţ-e Ghāzaī	id=g:1477356
Kōh-e Band-e Armī	id=g:1477357
Kōh-e Garak	id=g:1477358
Band-e Garak	id=g:1477359
Kōh-e Gharāzêy	id=g:1477360
Kōh-e Bunyah	id=g:1477361
Hindārē Lās̲h̲	id=g:1477363
Kōh-e Khirs Khānah	id=g:1477364
Kharparān	id=g:1477365
Kōh-e Chahār Sang Jowr	id=g:1477366
Kōh-e Āb Zanbūr	id=g:1477367
Archē Pushtah	id=g:1477368
Safayd Kōh	id=g:1477370
Murdār Lās̲h̲ Ghar	id=g:1477372
Sar Sêrkay	id=g:1477373
Nāwah-ye Nīn	id=g:1477374
Band-e Rāh-e Now	id=g:1477375
Sar-e Kūy	id=g:1477376
Kōtal-e Rāh-e Now	id=g:1477377
Kabūtar Khān	id=g:1477379
Jar-e Tākhumak	id=g:1477380
Rōd-e Chinārān	id=g:1477381
Kōh-e Afshār	id=g:1477382
Jar-e Ladūgak	id=g:1477383
Jar-e Kharbayd	id=g:1477384
Kōh-e Mushkān	id=g:1477385
Jar-e Khushk	id=g:1477386
Chashmah-ye Khwājah Khiẕir	id=g:1477387
Jar-e Takht	id=g:1477388
Spīāb Ghar	id=g:1477390
Mīān Ghar	id=g:1477391
Spīāb Māndêh	id=g:1477392
Kōh-e Shōrkī	id=g:1477393
Wulē Ghar	id=g:1477394
Kōh-e Khwājah	id=g:1477395
Kōh-e Jānghalā	id=g:1477396
Qarah Bāgh Māndêh	id=g:1477397
Khār	id=g:1477398
Kōh-e Aṟdang	id=g:1477399
Ābdarāz Māndêh	id=g:1477400
Kōh-e Jowgah	id=g:1477401
Tūtak Ghunḏêy	id=g:1477402
Sarbarzirī	id=g:1477403
Kōh-e Ma‘şūm	id=g:1477404
Wulgī Shaylah	id=g:1477405
Khūlah-ye Kamāy	id=g:1477406
Kharbayd Ghar	id=g:1477407
Namāzgāh	id=g:1477408
Shaylah-ye Satanay	id=g:1477409
Dam Khulag	id=g:1477410
Chinārān	id=g:1477411
Kōh-e Tajbīn	id=g:1477412
Sīāh Khinjak	id=g:1477413
Sang-e Zard	id=g:1477414
Bedad	id=g:1477415
Sīāh Qādah	id=g:1477416
Jar-e Qal‘ah	id=g:1477417
Kōh-e Ghajīr	id=g:1477418
Andaṟ Darah	id=g:1477419
Ghōjgak Ghar	id=g:1477420
Darwāzah Gak	id=g:1477421
Kōh-e Ling	id=g:1477422
Jar-e Largay	id=g:1477423
Sang-e Khōshī	id=g:1477424
Kōh-e Awī Khōl	id=g:1477425
Kōh-e Ghabāb	id=g:1477426
Kōh-e Jigar Sang	id=g:1477427
Skizaī Ghar	id=g:1477428
Sīāh Dūdī	id=g:1477429
Biland Zārak Ghar	id=g:1477430
Kōh-e ‘Alī Sa‘īd	id=g:1477431
Darah-ye ‘Alī Sa‘īd	id=g:1477432
Darreh-ye Robāţ	id=g:1477433
Jar-e Khānah	id=g:1477434
Kōh-e Pasha’ī	id=g:1477435
Kōh-e Owrīj	id=g:1477436
Kōh-e Yakhak	id=g:1477437
Kōh-e Baynowā	id=g:1477438
Kōh-e Wulārī	id=g:1477439
Şūfgāw	id=g:1477440
Shigat	id=g:1477441
Dōghdarmah	id=g:1477442
Jar-e Khānah	id=g:1477444
Kuṯakushtah	id=g:1477445
Pālūzār	id=g:1477446
Rōd-e Şaḩrā’ī	id=g:1477447
Taghak	id=g:1477448
Rōd-e Ārmay	id=g:1477450
Band-e Ilqul	id=g:1477451
Kōh-e Aspah	id=g:1477452
Darāz Kōtal	id=g:1477453
Band-e Manak	id=g:1477454
Kōh-e Gāzrow	id=g:1477455
Jar-e Gazak	id=g:1477456
Aspakêy	id=g:1477457
Jāgh	id=g:1477458
Kōh-e Gulgulābī	id=g:1477459
Kōh-e Jar	id=g:1477460
Irdād	id=g:1477461
Jar-e Sīāh	id=g:1477462
Darah-ye Padishān	id=g:1477463
Taghak	id=g:1477464
Qōl-e Mast	id=g:1477465
Kōh-e Nasar	id=g:1477466
Padīshām Ghar	id=g:1477467
Darah-ye Gāzrow	id=g:1477468
Gora Navi-Buran	id=g:1477469
Kahōr Ghar	id=g:1477470
Afghān Lār	id=g:1477471
Shīn Lār	id=g:1477472
Sīāh Būm	id=g:1477473
Lakarah Ghar	id=g:1477474
Shakaylah	id=g:1477475
Dōzakh Darah	id=g:1477476
Kōtal-e Kaj Nāwī	id=g:1477477
Sang-e Jowak	id=g:1477478
Wār-e Qaz	id=g:1477479
Kōtal-e Khar Parān	id=g:1477480
Dāmanah-ye Wār-e Qaz	id=g:1477481
Kōh-e Khar Parān	id=g:1477482
Sablay	id=g:1477483
Garay	id=g:1477485
Pōzah-ye Durfishānak	id=g:1477486
Rayg Tōrak	id=g:1477487
Gardanah-ye Jōy-e Khushk	id=g:1477488
Shaylah-ye Qal‘ah-ye Lās̲h̲	id=g:1477489
Shaylah-ye Tākhah	id=g:1477490
Kajīrān	id=g:1477491
Minārē Māndah	id=g:1477492
Amatak Ghar	id=g:1477493
Darah-ye Minārah	id=g:1477499
Jar-e Khushk	id=g:1477501
