Kafr Ibrāsh	id=g:354241
Ras el Husân	id=g:355749
Qaret el Ḥuṣan	id=g:355750
Bi’r al Ḩurūsh	id=g:355751
Bîr el Hurun	id=g:355752
Kawm al Ḩurrah	id=g:355753
‘Ayn al Ḩurrah	id=g:355754
Kafr Hurbayţ	id=g:355755
Wādī al Ḩurāq	id=g:355756
Hūrayn	id=g:355757
Qārat Huraymis	id=g:355758
Wādī Ḩurayḑīn	id=g:355759
Huqâb Karâr	id=g:355760
Kathīb al Ḩanū	id=g:355761
Ra’s Ḩunkurāb	id=g:355762
Ghurd al Ḩunayshāt al Wasţānī	id=g:355763
Ghurd al Ḩunayshāt	id=g:355764
Sāniyat Ḩunaysh	id=g:355765
Bi’r Ḩunayk	id=g:355766
Hôd el-Humusîy	id=g:355767
Jabal al Ḩumur	id=g:355768
Jabal Ḩumr Wajjat	id=g:355769
Qabr Ḩumrī	id=g:355770
Jabal Ḩumrat Shaybūn	id=g:355771
Jabal Ḩumr ‘Akārim	id=g:355772
Wādī Ḩumr	id=g:355773
Wādī al Ḩamz̧	id=g:355774
Wādī al Ḩumur	id=g:355775
‘Ayn al Ḩamāyiţ	id=g:355776
Sāniyat al Ḩumayyirāt	id=g:355777
Ramlat Ḩumayyir	id=g:355778
Jabal al Ḩumayyir	id=g:355779
Jabal Ḩumayyir	id=g:355780
Bi’r al Ḩumayyimah	id=g:355781
Jazīrat Ḩumayyid	id=g:355782
Dayr Ḩumayyid	id=g:355783
Wādī al Ḩumayrah	id=g:355784
Marsá Ḩumayrah	id=g:355785
Jabal al Ḩumayrah	id=g:355786
Jabal Ḩumayrah	id=g:355787
Qārat al Ḩumaymāt	id=g:355788
Wādī al Ḩumaydāt	id=g:355789
Jazīrat Ḩumaydān	id=g:355790
‘Izbat Ḩumaydah al Aqra‘	id=g:355791
Gebel Humariai	id=g:355792
Wâdi Humaîyet	id=g:355793
Wâdi Humaîyet	id=g:355794
Hilwan	id=g:355795
Al Birkah al Ḩulwah al Jūwānīyah	id=g:355796
Jabal Ḩulwah	id=g:355797
Ḩawḑ al Ḩulwah	id=g:355798
As Sawānī al Ḩulwah	id=g:355799
Ḩulwah	id=g:355800
Bi’r al Ḩulw	id=g:355801
Hawīs al Ḩulayīfī	id=g:355802
Karm Hulayyil	id=g:355803
Bi’r Ḩulayyī	id=g:355804
Bi’r Ḩulaywāt	id=g:355805
Ḩulays	id=g:355806
Ra’s Ḩulaymah	id=g:355807
Wādī al Ḩulayfīyah	id=g:355808
Bi’r Ḩulayfī	id=g:355809
Bi’r al Ḩukūmah	id=g:355810
Bi’r Hūkir	id=g:355811
Ḩawshat al Ḩujayrāt ash Sharqīyah	id=g:355812
Ḩawshat al Ḩujayrāt al Gharbīyah	id=g:355813
Wādī al Ḩujayrāt	id=g:355814
Tallat Ḩujaylah	id=g:355815
‘Ilwat al Ḩujayfah	id=g:355816
Hugâb ‘Atwâni	id=g:355817
Tall al Ḩūfīyah	id=g:355818
Bi’r al Ḩufayrī	id=g:355819
Basţat al Ḩufayrah	id=g:355820
Kawm Ḩufayn	id=g:355821
Sawānī al Ḩudūd	id=g:355822
Wādī al Hūdī	id=g:355823
Jabal al Hūdī	id=g:355824
Jazīrat Ḩudayyidat Kassāb	id=g:355825
Qabr Hudaywah	id=g:355826
Wādī Ḩuḑayn	id=g:355827
Wādī Ḩudaydūn	id=g:355828
Bîr el-Hûda	id=g:355829
Tallat Hūd	id=g:355830
Bi’r Ḩubayţah	id=g:355831
Bi’r al Hubayrī ash Sharqī	id=g:355832
Bi’r al Hubayrī al Gharbī	id=g:355833
Ḩawḑ al Ḩubayl ash Sharqī	id=g:355834
Ḩawḑ al Ḩubayl al Gharbī	id=g:355835
Wādī Ḩubaybāt	id=g:355836
Wādī Ḩubārah	id=g:355837
‘Ezbet Hozleden	id=g:355838
Wādī al Ḩawārah	id=g:355839
Gebel Hossan Ebedeir	id=g:355840
Tur‘et Ḥôsh ‘Îsa	id=g:355841
Temple of Horus	id=g:355842
Horseshoe Reef	id=g:355843
Horemhab	id=g:355844
Homra el- Girigab	id=g:355845
‘Alam el-Hommeid	id=g:355846
Quweid Homar	id=g:355847
Ḩawḑ al Humār	id=g:355848
‘Alam el Ḥomâr	id=g:355849
Hūjmin	id=g:355850
Abâr el Hiweilik	id=g:355851
Ḩawḑ Hiw Baḩrī	id=g:355852
Ḩiwayn	id=g:355853
Ḩawḑ Hiw al Qiblī	id=g:355854
Hiw	id=g:355855
Bi’r Ḩitr	id=g:355856
Hitân Shenshef	id=g:355857
Būrat al Ḩītān	id=g:355858
Ḩişşat Shabshīr	id=g:355859
Ḩişşat Milīj	id=g:355860
Ḩişşat Birmā	id=g:355861
Ḩişşat ar Ruhbān	id=g:355862
‘Izbat al Munāşrah	id=g:355863
Ḩişşat al Ghunaymī	id=g:355864
Ḩişşat Ābār	id=g:355865
Jazīrat Hīshat an Nāqah	id=g:355866
Nuqrat al Hīshah	id=g:355867
Ḩawḑ al Hīshah	id=g:355868
Ḩişān Majlī	id=g:355869
Ra’s al Ḩişān	id=g:355870
Minjāz al Ḩişān	id=g:355871
Deir el Hirim	id=g:355872
‘Izbat al Ḩirfah	id=g:355873
Hireimis Flats	id=g:355874
Abâr Hirbawl	id=g:355875
Wâdi el-Hîr	id=g:355876
Ḩiqfat Sa‘īd	id=g:355877
Jabal al Ḩiqāf	id=g:355878
Ḩiqāb Nuşayr	id=g:355879
Ḩiqāb ar Rakham	id=g:355880
Wādī Ḩinnis	id=g:355881
Hinidhfā	id=g:355882
Bîr Hineish	id=g:355883
Jabal Hindūsī	id=g:355884
Bi’r Hindūsī	id=g:355885
Wâdi Hindia	id=g:355886
Qalt Hindia	id=g:355887
Gebel Hindia	id=g:355888
‘Izbat Hindāwī Sa‘d Bey	id=g:355889
Khawr al Hindāwī	id=g:355890
‘Ayn al Hindāw	id=g:355891
Hinaiyish	id=g:355892
Jabal Ḩīmū	id=g:355893
Basţat al Ḩumayrah	id=g:355894
Wâdi el-Himri	id=g:355895
Dayr al Himmah	id=g:355896
Himi Kwân	id=g:355897
Wadi el-Himeiyir	id=g:355898
Ābār Ḩumayr	id=g:355899
Deir el Ḥimeim	id=g:355900
Bîr Himeida el Fardi	id=g:355901
Naq‘at Ḩimār al Ḩājj Ḩusayn	id=g:355902
Wādī al Ḩimārah	id=g:355903
Tallat al Ḩimārah	id=g:355904
Tallat al Ḩimārah	id=g:355905
Rawḑ al Ḩimārah	id=g:355906
Jazīrat al Ḩimārah	id=g:355907
Qārat al Ḩimār	id=g:355908
Maql al Ḩimār	id=g:355909
Wâdi Himaîyet	id=g:355910
Wâdī el-Hima	id=g:355911
Hillīyah	id=g:355912
Jazīrat al Ḩillah	id=g:355913
Ḩawḑ al Ḩillah	id=g:355914
Wādī Hiljīt	id=g:355915
Bi’r Hiljīt	id=g:355916
Wâdi Hilgît lil Hulûz	id=g:355917
Baltit el Hileilîba	id=g:355918
Wâdi Hileifi	id=g:355919
Wādī Hīlayyah	id=g:355920
‘Ezbet Hillana	id=g:355921
‘Izbat al Hilālīyah	id=g:355922
Wādī Hilāl	id=g:355923
Mallāḩat Hilāl	id=g:355924
Jabal al Ḩalāl	id=g:355925
Jabal Hilāl	id=g:355926
Qūr al Hilāb	id=g:355927
Ra’s al Ḩikmah	id=g:355928
Khalīj al Ḩikmah	id=g:355929
‘Ilwet Hikfet Maiyar	id=g:355930
Jazīrat al Ḩijz	id=g:355931
Ḩawḑ al Ḩijz	id=g:355932
‘Ayn Ḩijāzī	id=g:355933
Wādī Ḩijāzah	id=g:355934
Ḩawḑ Ḩijāzah	id=g:355935
Ḩijāzah	id=g:355936
Qārat al Ḩijārah	id=g:355937
Markaz Hihyā	id=g:355938
Hihyā	id=g:355939
Hihyā	id=g:355940
Qârât el Ḥigag	id=g:355941
Ḩifnā	id=g:355942
Ṭal’et Ḥifg	id=g:355943
Jabal al Hidlāwī	id=g:355944
Wâdi el Hidilawi	id=g:355945
Kawlat Ḩīḑān	id=g:355946
Wādī Ḩibrān	id=g:355947
Jabal Ḩubayţah	id=g:355948
Jazīrat al Ḩībah	id=g:355949
Bîr el Heyira	id=g:355950
Jabal Hesmet ‘Umar	id=g:355951
Hermopolis	id=g:355952
Heracleopolis Magna	id=g:355953
Wadi Hemeirîya	id=g:355954
Rueis Helwân	id=g:355955
Heliopolis	id=g:355956
Wādī Heisurba	id=g:355957
Heim	id=g:355958
Jebel Heiana	id=g:355959
Tall Ḩazzūb	id=g:355960
Jabal Ḩazbar	id=g:355961
Qabr al Hazār	id=g:355962
‘Ayn al Ḩayz al Baḩrī	id=g:355963
Baḩr al Ḩayyār	id=g:355964
Sahl Ḩayy Allāh	id=g:355965
Jabal Ḩayy Allāh	id=g:355966
Ḩayy Allāh	id=g:355967
Jazīrat al Ḩayyah	id=g:355968
Abâr Hayyâb	id=g:355969
Wādī al Ḩayy	id=g:355970
Jabal al Ḩayy	id=g:355971
Jabal Ḩaytīyah	id=g:355972
Jabal Ḩayţān	id=g:355973
Qārat al Ḩayţah	id=g:355974
Hayt	id=g:355975
Wādī al Ḩaysī	id=g:355976
Abār al Ḩisá	id=g:355977
Jabal Ḩayshān	id=g:355978
Wādī al Ḩayrah	id=g:355979
Tall al Hayr	id=g:355980
Wādī Ḩaymūr	id=g:355981
Jabal Ḩaymūr	id=g:355982
Ābār Ḩaymūr	id=g:355983
Wâdi Hayîya	id=g:355984
Wâdi Hayîya	id=g:355985
Farsh Ḥayîya	id=g:355986
‘Ayn Haydiyah	id=g:355987
‘Izbat Haybah Basyūnī	id=g:355988
Wādī al Ḩayāyī	id=g:355989
Wâdi el-Hayây	id=g:355990
‘Izbat Ḩayāt Nakhlah Mīnā	id=g:355991
Pyramid of Hawara	id=g:355992
Hawwārat al Maqţa‘	id=g:355993
Hawwārat ‘Adlān	id=g:355994
‘Izbat al Hawwārah	id=g:355995
Hawwārah	id=g:355996
Qaret Hawwa	id=g:355997
Qabr Hawwa	id=g:355998
Markaz Ḩawsh ‘Īsá	id=g:355999
Ḩawsh ‘Īsá	id=g:356000
Hūr	id=g:356001
‘Izbat al Ḩawl Ibrāhīm	id=g:356002
Wādī al Hawl	id=g:356003
Jabal Hawk	id=g:356004
Maqţa‘ al Ḩāwī	id=g:356005
‘Alāwī al Ḩāwī	id=g:356006
Wādī Ḩawf	id=g:356007
Jabal Ḩawf	id=g:356008
Jabal Huwaytī	id=g:356009
Ḩawḑ Najī‘	id=g:356010
Ḩawḑ Fāris	id=g:356011
Jabal Ḩawḑayn	id=g:356012
Ḩawḑ aţ Ţarfā’	id=g:356013
Ḩawḑ ar Ra’īsīyah	id=g:356014
‘Ayn al Ḩawḑ	id=g:356015
Ḩawshat al Ḩawātikah	id=g:356016
Wādī Ḩawashīyah	id=g:356017
Wādī Hawwārah	id=g:356018
‘Ayn Hawwārah	id=g:356019
Rawḑ Ḩawānīb	id=g:356020
Ra’s Ḩawalah	id=g:356021
Marsá Ḩawalah	id=g:356022
Naqb el-Hawa	id=g:356023
‘Ilwat Hawá	id=g:356024
Wâdi el-Hattabi	id=g:356025
‘Izbat Ḩaţţāb	id=g:356026
‘Aîn Hatîz	id=g:356027
Haṭîyit el Bakarât	id=g:356028
Haṭîyit el ‘Anaz	id=g:356029
Hatiyet el- Maalik	id=g:356030
‘Alam al Ḩaţīyah	id=g:356031
Hativet el-Hamra	id=g:356032
Hativet el-Ghanam	id=g:356033
Ḩatāwah	id=g:356034
Jazīrat al Ḩaţab	id=g:356035
Marsá Ḩasy Ibrāhīm	id=g:356036
‘Ayn Ḩaşwī	id=g:356037
Jabal Ḩaşwah	id=g:356038
Bîr el Ḥaṣwa	id=g:356039
Bi’r Ḩassūnah	id=g:356040
Gebel el-Hassar	id=g:356041
Tallat Ḩassān	id=g:356042
Ḩawḑ al Ḩassābah	id=g:356043
Wādī Ḩasmat ‘Umar	id=g:356044
Bi’r Ḩasmat ‘Umar	id=g:356045
Kawm al Ḩāşil	id=g:356046
Deir el Hashw	id=g:356047
‘Alam el Hashw	id=g:356048
Ḩawīs al Ḩashīmīyah	id=g:356049
Bi’r al Hashīmah	id=g:356050
Hash el- Gafra	id=g:356051
Jabal Hashānīb	id=g:356052
Wādī al Ḩashá	id=g:356053
Tur‘at Ḩasan Wāşif	id=g:356054
Khawr al Ḩasan wa al Ḩusayn	id=g:356055
‘Izbat Ḩasan Quţrī	id=g:356056
‘Ayn Ḩasan Qāsim	id=g:356057
Wādī Ḩasanī	id=g:356058
‘Izbat Ḩasan Ḩusnī	id=g:356059
‘Ayn Ḩasan Ḩannāwī	id=g:356060
‘Ezbet Ḥasanein ‘Abd el- Gauwad	id=g:356061
‘Ayn Ḩasan Bilāl	id=g:356062
‘Izbat Ḩasan Bey Nāfi‘	id=g:356063
‘Izbat Ḩasan Bey ‘Abd Allāh al Qiblīyah	id=g:356064
‘Izbat Ḩasan Bāshā Sa‘īd	id=g:356065
Ḩasan Bāshā	id=g:356066
‘Izbat Ḩasan Badr	id=g:356067
Qūr Ḩasanayn	id=g:356068
Jabal Ḩasanawīyah	id=g:356069
Jabal al Ḩasanāt	id=g:356070
‘Izbat Ḩasan ash Shāmī	id=g:356071
‘Ezbet Ḥaṣan ‘Ali el- Fiqi	id=g:356072
Wādī al Ḩasanah	id=g:356073
Jabal al Ḩasanah	id=g:356074
Bi’r al Ḩasanah	id=g:356075
Mallâhet Ḥasan	id=g:356076
Kawm Ḩasan	id=g:356077
Jazīrat Kawm Ḩasan	id=g:356078
‘Ilwat Ḩasan	id=g:356079
Ḩiqfat Ḩasan	id=g:356080
Jazīrat al Ḩaşafah	id=g:356081
Wādī Hārūz	id=g:356082
Sânyet Hârûn ‘Abdalla	id=g:356083
Sāniyat Hārūn	id=g:356084
Birkat Hārūn	id=g:356085
Bîr Harûn	id=g:356086
Bi’r Hārūn	id=g:356087
Ābār Hārūn	id=g:356088
Wâdi Hartiwai	id=g:356089
Karm al Hars	id=g:356090
Harris Rock	id=g:356091
Jabal al Ḩarrānah	id=g:356092
Fajjat al Ḩarrah	id=g:356093
Dayr al Ḩarrah	id=g:356094
Bi’r al Harjah	id=g:356095
‘Izbat al Ḩarīrī	id=g:356096
‘Alam al Ḩarīr	id=g:356097
‘Ilwat al Ḩarīqah	id=g:356098
Ḩawḑ al Ḩarīqah	id=g:356099
Gebel el Harîqa	id=g:356100
Ḩalq Ḩarik	id=g:356101
Hariet Marrîma	id=g:356102
Jabal al Ḩarīdī	id=g:356103
Jabal Harhajīt	id=g:356104
Harbour Point	id=g:356105
Bi’r Haratrīt	id=g:356106
Bîr el Harash	id=g:356107
Gharrāqat Ḩarārah	id=g:356108
Ḩarārah	id=g:356109
Canal Haran	id=g:356110
Wadi el-Haramîya	id=g:356111
‘Izbat Ḩaram Ismā‘īl Bāshā Şidqī	id=g:356112
Qārat al Ḩarāmī	id=g:356113
Maql al Ḩarāmī	id=g:356114
Ābār al Ḩarā’iq	id=g:356115
Birkat al Ḩārah	id=g:356116
Harabshant	id=g:356117
Harabat es Saheimi	id=g:356118
Jabal al Ḩarābah	id=g:356119
‘Aîn el-Haraba	id=g:356120
Wâdi Harab	id=g:356121
Mayyat Harab	id=g:356122
Jabal Hārr	id=g:356123
Qabr el Haqq Yunis Abu Mar‘i	id=g:356124
Sawānī al Ḩaqnah	id=g:356125
Ḩānūt	id=g:356126
Ḩānūt	id=g:356127
Sanyet Hanshurîya	id=g:356128
Ḩannūn	id=g:356129
Ḩannā	id=g:356130
Jabal Ḩanjalīyah	id=g:356131
Qabr Hānī Zādah	id=g:356132
Qâret Haniya	id=g:356133
Hangaliya Mine	id=g:356134
Wâdi Hangalîya	id=g:356135
Gebel Handûsa	id=g:356136
Ţawwāl al Ḩanash	id=g:356137
Tall al Ḩanash	id=g:356138
Qārat al Ḩanash	id=g:356139
Bîr el Hananna	id=g:356140
Abâr el Hanânaa	id=g:356141
Wādī Ḩanafī	id=g:356142
Jazīrat al Ḩanafī	id=g:356143
Khawr Ḩanabū	id=g:356144
Jabal Ḩamzah	id=g:356145
Khawr Ḩamzah	id=g:356146
Jabal al Ḩamz̧ah	id=g:356147
Qâret Hamza	id=g:356148
Deir Hamza	id=g:356149
Manjam Ḩamsh	id=g:356150
Gebel Hamret Mukbud	id=g:356151
Wâdî Hamret Mastûra	id=g:356152
Hamret Mastûra	id=g:356153
Jabal Ḩamrāy	id=g:356154
Wādī Ḩamrāwayn	id=g:356155
Jabal Ḩamrāwayn	id=g:356156
Jabal Ḩamrāt Salmá	id=g:356157
Jabal Ḩamrāt Ghannām	id=g:356158
Gebel Hamrât el- Fig	id=g:356159
Kawm al Ḩamrāt	id=g:356160
Wâdi Hamral Ghamam	id=g:356161
Ḩamrat Dūm	id=g:356162
Wādī Ḩamrah	id=g:356163
Saţḩ al Ḩamrah	id=g:356164
Qūr al Ḩamrah	id=g:356165
Jabal al Ḩamrah	id=g:356166
Gebel Hamra el- Rahab	id=g:356167
Jabal Ḩamrah al Aswad	id=g:356168
Naqb Hamra Dôm	id=g:356169
Wādī al Ḩamīrā	id=g:356170
Wādī Ḩamrā’	id=g:356171
Sāniyat Ḩamrah	id=g:356172
Ra’s Ḩamrā’	id=g:356173
Qūr Ḩamrā’	id=g:356174
Qâret el Hamra	id=g:356175
Al Qārah al Ḩamrā’	id=g:356176
Marsá al Ḩamrā’	id=g:356177
Jabal al Ḩamrā’	id=g:356178
Jabal Ḩamrah	id=g:356179
‘Izbat al Ḩamrā	id=g:356180
‘Izbat al Ḩamrā’	id=g:356181
‘Izbat al Ḩamrā’	id=g:356182
‘Izbat al Ḩamrā’	id=g:356183
Ilwet el-Hamra	id=g:356184
Gebel el Ḥamra	id=g:356185
Jabal Ḩamrā	id=g:356186
Gebel Ḥamra	id=g:356187
Farsh al Ḩamrah	id=g:356188
Baḩr al Ḩamrā’	id=g:356189
‘Ayn al Ḩamrā’	id=g:356190
‘Ayn al Ḩamrā’	id=g:356191
Aţ Ţābiyah al Ḩamrā’	id=g:356192
Al Qārāt al Ḩamrā’	id=g:356193
Al Qārah al Ḩamrā’	id=g:356194
Al Kawlah al Ḩamrā’	id=g:356195
‘Izbat al Ḩamrā	id=g:356196
Al ‘Izbah al Ḩamrā’	id=g:356197
Al ‘Izbah al Ḩamrā’	id=g:356198
‘Aîn el-Hamra	id=g:356199
‘Uyūn Ḩammūdīn	id=g:356200
Khashm Ḩammūd	id=g:356201
Barr Ḥammûd	id=g:356202
‘Alāwī Ḩammūd	id=g:356203
Barr al Ḩammār	id=g:356204
Barr al Ḩammār	id=g:356205
Jabal Ḩammām Sayyidnā Mūsá	id=g:356206
Tur‘at al Ḩammāmī	id=g:356207
Jabal Ḩammām Fir‘awn	id=g:356208
Maḩaţţat Ḩammāmāt al Qubbah	id=g:356209
Kawm al Ḩammāmāt	id=g:356210
Jazīrat Ḩammāmāt	id=g:356211
Bîr el-Hammâmât	id=g:356212
Ḩawḑ Hammām ash Sharqī	id=g:356213
Ḩawḑ Hammām al Gharbī	id=g:356214
Bi’r Ḩammām al Buşaylīyah	id=g:356215
Jabal al Ḩammām	id=g:356216
Ḩawshat al Ḩammām	id=g:356217
Ḩawḑ al Ḩammām	id=g:356218
Dayr al Ḩamām	id=g:356219
‘Ayn Hammām	id=g:356220
‘Aîn Hammam	id=g:356221
‘Alam Ḩammālah	id=g:356222
Abâr el Hammal	id=g:356223
Wādī al Ḩammah	id=g:356224
Jabal Ḩammah	id=g:356225
Bi’r al Ḩammah	id=g:356226
Wādī Ḩammād	id=g:356227
Wādī Ḩammād	id=g:356228
Mafrash Ḩammād	id=g:356229
Jabal Ḩammād	id=g:356230
Wādī al Ḩammah	id=g:356231
Jabal al Ḩammah	id=g:356232
Jazīrat al Ḩamlah	id=g:356233
Lujjat al Ḩāmiyah	id=g:356234
Bi‘r Hamīsah	id=g:356235
Qārat al Ḩamīr	id=g:356236
Jazīrat al Ḩamīr	id=g:356237
Bi’r Ḩamīr	id=g:356238
Deir Hâmil	id=g:356239
Bi’r al Ḩāmil	id=g:356240
Bîr Hâmil	id=g:356241
Bîr Hâmil	id=g:356242
‘Ezbet el-Hamidiya	id=g:356243
Ḩawḑ al Ḩamīdī	id=g:356244
Ḩawḑ al Ḩamīdāt	id=g:356245
Wādī Ḩāmid	id=g:356246
Wādī Ḩamīd	id=g:356247
Qabr Ḥamîd	id=g:356248
Minqâr Hâmid	id=g:356249
Jabal Ḩāmid	id=g:356250
‘Ilwat Ḩāmid	id=g:356251
‘Alam Ḩāmid	id=g:356252
Ābār Ḩāmid	id=g:356253
Bîr Ham‘ia	id=g:356254
Rawḑ al Ḩamal	id=g:356255
Khawr Ḩamdīyah	id=g:356256
Jabal Ḩamdīyah	id=g:356257
Sāniyat Ḩamdī	id=g:356258
Sāniyat Ḩamdān Khalīfah	id=g:356259
Wādī al Ḩamdānīyah	id=g:356260
‘Ayn Ḩamdān al Gharbīyah	id=g:356261
Qūr Ḩamdān	id=g:356262
Kab Hamdallah	id=g:356263
Bîr Hamdalla	id=g:356264
Ţal‘at Ḩamdah	id=g:356265
Wādī Ḩamāţah	id=g:356266
Jebel Wadi Lehama	id=g:356267
Bi’r Ḩamāţah	id=g:356268
Wâdî Ḥamash	id=g:356269
Wādī Ḩamarīyah	id=g:356270
Wādī al Ḩamārid	id=g:356271
Wādī al Ḩammār	id=g:356272
Qabr el Hamar	id=g:356273
Ḩamāqah	id=g:356274
Wâdi el-Hamâmi	id=g:356275
Wādī Ḩamāmah	id=g:356276
‘Ayn Ḩamāmah	id=g:356277
Philadelphia	id=g:356278
Jabal Ḩamām	id=g:356279
Bi’r al Ḩamām	id=g:356280
‘Aîn Hamam	id=g:356281
Wādī Ruwayḑ al Ḩamal	id=g:356282
Jabal Ḩamāyir	id=g:356283
‘Izbat Ḩamad Sa‘d ‘Aţīyah	id=g:356284
Sânyet Ḥamad Muḥammad el- Seifât	id=g:356285
Wādī al Ḩamādil	id=g:356286
Sânyet Ḥamad Gâballa el-Ikhwâni	id=g:356287
Jabal Ḩamadāt	id=g:356288
Ḩawḑ Ḩamad al Qiblī	id=g:356289
Ḩawḑ Ḩamad al Baḩrī	id=g:356290
Jabal Ḩamādah	id=g:356291
Ḩawshat Ḩamādah	id=g:356292
Ḩamāḑah	id=g:356293
Qūr Ḩamad	id=g:356294
Wādī Ḩalūz	id=g:356295
Jazīrat Ḩalq al Kirsah	id=g:356296
Maḩaţţat Ḩalq al Jamal	id=g:356297
Jazīrat Ḩalq al Jamal	id=g:356298
Birkat al Ḩallūfah	id=g:356299
Ghurd al Ḩallif	id=g:356300
’allābah	id=g:356301
Tûq el Ḥallâb	id=g:356302
Jazīrat al Ḩallāb	id=g:356303
Jazā’ir al Ḩallāb	id=g:356304
Ḩawshat Ḩalīm Bey	id=g:356305
‘Ilwat Ḩalīmah	id=g:356306
Wādī al Ḩalīfī	id=g:356307
Raqabat al Ḩalīf	id=g:356308
Alam el Halif	id=g:356309
Bi’r bi al Ḩalīb	id=g:356310
Naqb al Ḩalfāyah	id=g:356311
‘Ayn al Ḩalfāyah	id=g:356312
Mandaret el-Halfâya	id=g:356313
Khashm al Ḩalfāwī	id=g:356314
Sabkhat al Ḩalfā’	id=g:356315
‘Ilwet el Halfa	id=g:356316
Deir el Halfa	id=g:356317
‘Alam al Ḩalfā’	id=g:356318
Birkat al Ḩalf	id=g:356319
Jabal Ḩulayfīyah	id=g:356320
Wādī al Ḩalazūnī	id=g:356321
Wādī al Ḩalāwinah	id=g:356322
Jazīrat Ḩalāwah	id=g:356323
Jazīrat Ḩalāwah	id=g:356324
Karm Ḩalaqat Qāsim	id=g:356325
Ābār al Ḩalaqah	id=g:356326
Ḩawshat al Ḩalāfī	id=g:356327
Wādī Ḩalab	id=g:356328
Deir el-Halab	id=g:356329
Maḩaţţat Halā	id=g:356330
Halā	id=g:356331
‘Izbat al Ḩakīm	id=g:356332
Wādī Ḩajūl	id=g:356333
Kawm Ḩajūbah	id=g:356334
‘Izbat al Ḩājj Yūsuf al Bannā’	id=g:356335
‘Ayn al Ḩājj Yūnus	id=g:356336
Bi’r Ḩājj Raslān ash Sharqī	id=g:356337
Bi’r al Ḩājj Raslān	id=g:356338
Qārat al Ḩājj Raḩḩūmah	id=g:356339
Karm al Ḩājj Muḩammad Abū Basīsah	id=g:356340
Bi’r al Ḩājj Muḩammad	id=g:356341
Khawr al Ḩājj Manşūr	id=g:356342
Sāniyat al Ḩājj Khalīl	id=g:356343
Jūnat al Ḩājj Ḩumaydah	id=g:356344
Bi’r al Ḩājj Ḩāmid	id=g:356345
Bi’r al Ḩajj Dukhayyil	id=g:356346
Qārat al Hajjānah	id=g:356347
Bi’r al Hajjānah	id=g:356348
‘Ayn al Ḩājj ‘Alī	id=g:356349
Ḩajjāj az Zarqā’	id=g:356350
Wādī Ḩajjāj	id=g:356351
Tall al Ḩajjāj	id=g:356352
Naqb al Ḩajjāj	id=g:356353
Bi’r al Ḩājj Aḩmad al Mashrab	id=g:356354
‘Ayn al Ḩājj ‘Abd Mādī	id=g:356355
Wādī al Ḩājj	id=g:356356
Karm al Ḩājj	id=g:356357
Birkat al Ḩājj	id=g:356358
‘Ayn Ḩajīyah	id=g:356359
Ḩājir Banī Sulaymān	id=g:356360
Tur‘at al Ḩājir	id=g:356361
Ḩawḑ al Ḩājir	id=g:356362
Minqār Hajīnah	id=g:356363
Jabal Ḩajar Dunqāsh	id=g:356364
Jabal Ḩajar az Zarqā’	id=g:356365
Ḩajar as Salāmah	id=g:356366
Kawlat Ḩajar ash Shams	id=g:356367
‘Izbat Ḩajar an Nawātīyah	id=g:356368
Khashm Ḩajar al Jilf	id=g:356369
Ḩajar al Ghurāb	id=g:356370
Jabal Ḩajar al Fīl	id=g:356371
Tallat al Ḩajar	id=g:356372
Tal‘at al Ḩajar	id=g:356373
Ra’s al Ḩajar	id=g:356374
Maḩaţţat al Ḩajar	id=g:356375
Kawm al Ḩajar	id=g:356376
Birkat al Ḩajar	id=g:356377
‘Ayn al Ḩajar	id=g:356378
Wādī al Ḩajāyib	id=g:356379
Jabal Haymur	id=g:356380
Bir Haig el-Shawayil	id=g:356381
Abîr el Hahâfîz	id=g:356382
Mazra‘at al Ḩājj Salāmah	id=g:356383
Gebel l-Hagif	id=g:356384
Bîr el Hâgg Husein	id=g:356385
Bîr el-Hâgg Hâmid	id=g:356386
Bîr el Hâgg Farag	id=g:356387
Wâdi el-Haggâri	id=g:356388
Tuq el Ḥâgga	id=g:356389
‘Aîn el Hagan	id=g:356390
Abâr el Hafyân	id=g:356391
Tallat Ḩafşah	id=g:356392
Ḩafş	id=g:356393
‘Izbat Ḩāfiz̧ ‘Imārah	id=g:356394
Sāniyat Ḩafīz̧ Ādam	id=g:356395
Tallat Ḩāfiz̧	id=g:356396
Bi’r Ḩafīz̧	id=g:356397
Wādī Ḩāfiyah	id=g:356398
Barr al Ḩāfiyah	id=g:356399
Baḩr Ḩafīr Shihāb ad Dīn	id=g:356400
Jazīrat Ḩafīrat al Jayyār	id=g:356401
Jabal al Hafhūf	id=g:356402
Wâdi Hafafit Umm Tunduba	id=g:356403
Wādī Ḩafāfīt	id=g:356404
Jabal Ḩafāfīt	id=g:356405
Gebel Hafafit	id=g:356406
Jabal Ḩaḑrabīyah	id=g:356407
Jabal Ḩadrabah	id=g:356408
Wādī Judayrah	id=g:356409
‘Ain Haḍra	id=g:356410
Wādī al Ḩaz̧īrah	id=g:356411
Abār al Ḩaḑīrah	id=g:356412
Sāniyat al Hadīlīyah	id=g:356413
Saţḩ al Ḩadīd	id=g:356414
Qūr Ḩadīd	id=g:356415
Qūr Ḩadīd	id=g:356416
Jabal al Ḩadīd	id=g:356417
Jabal Ḩadīd	id=g:356418
