Ras Ain Rhamna	id=g:6546513
Talmaz	id=g:617272
Tălăieşti	id=g:617273
Taxobeni	id=g:617274
Tabani	id=g:617275
Syruchan	id=g:617276
Sîrma	id=g:617277
Sîrcova	id=g:617278
Sîngera	id=g:617279
Singureni	id=g:617280
Svetlîi	id=g:617281
Sverdiac	id=g:617282
Raionul Ştefan-Vodă	id=g:617283
Ştefan-Vodă	id=g:617284
Alexandru Ioan Cuza	id=g:617285
Suvorovca	id=g:617286
Susleni	id=g:617287
Suruceni	id=g:617288
Surchiceni	id=g:617289
Suric	id=g:617290
Sucleia	id=g:617291
Suhuluceni	id=g:617292
Sudarca	id=g:617293
Stîrceni	id=g:617294
Stîrcea	id=g:617295
Petropavlovca	id=g:617296
Sturzovca	id=g:617297
Sturzeni	id=g:617298
Strîmbeni	id=g:617299
Stroieşti	id=g:617300
Raionul Străşeni	id=g:617301
Străşeni	id=g:617302
Stoicani	id=g:617303
Stoianovca	id=g:617304
Stoianovca	id=g:617305
Stolniceni	id=g:617306
Stolniceni	id=g:617307
Stolniceni	id=g:617308
Sitohnia	id=g:617309
Stodolna	id=g:617310
Stejăreni	id=g:617311
Steţcani	id=g:617312
Step-Soci	id=g:617313
Ştefăneşti	id=g:617314
Shtefaneshty	id=g:617315
Ştefăneşti	id=g:617316
Stăuceni	id=g:617317
Moscovei Vechi	id=g:617318
Zăzulenii Vechi	id=g:617319
Iezărenii Vechi	id=g:617320
Tîrşiţei	id=g:617321
Sărătenii Vechi	id=g:617322
Ruseştii Vechi	id=g:617323
Roşieticii Vechi	id=g:617324
Rădenii Vechi	id=g:617325
Rădulenii Vechi	id=g:617326
Prodăneştii Vechi	id=g:617327
Negurenii Vechi	id=g:617328
Morenii Vechi	id=g:617329
Limbenii Vechi	id=g:617330
Cucuieţii Vechi	id=g:617331
Cuconeştii Vechi	id=g:617332
Cuzmenii Vechi	id=g:617333
Clococenii Vechi	id=g:617334
Chiţcanii Vechi	id=g:617335
Crihana Veche	id=g:617336
Căuşanii-Vechi	id=g:617337
Caracuşenii Vechi	id=g:617338
Heciul Vechi	id=g:617339
Fundurii Vechi	id=g:617340
Dubăsarii Vechi	id=g:617341
Cioropcanii Vechi	id=g:617342
Brînzenii Vechi	id=g:617343
Boghenii Vechi	id=g:617344
Bilicenii Vechi	id=g:617345
Bădragii Vechi	id=g:617346
Albineţul Vechi	id=g:617347
Tăura Veche	id=g:617348
Tătărăuca Veche	id=g:617349
Sărata Veche	id=g:617350
Obreja Veche	id=g:617351
Larga Veche	id=g:617352
Cobusca Veche	id=g:617353
Floriţoaia Veche	id=g:617354
Dobrogea Veche	id=g:617355
Ciolacu Vechi	id=g:617356
Bogdanovca Veche	id=g:617357
Andriaşevca Veche	id=g:617358
Jora de Mijloc	id=g:617359
Ciulucul de Mijloc	id=g:617360
Spicoasa	id=g:617361
Speia	id=g:617362
Speia	id=g:617363
Şipoteni	id=g:617364
Sovetskiy Rayon	id=g:617365
Raionul Soroca	id=g:617366
Soroca	id=g:617367
Soltăneşti	id=g:617368
Soloneţ	id=g:617369
Soloneţ	id=g:617370
Solonceni	id=g:617371
Şoldăneşti	id=g:617372
Staţia de Cale Ferată Socoleni	id=g:617373
Socoleni	id=g:617374
Socola	id=g:617375
Sofievca	id=g:617376
Staţia de Cale Ferată Sofia	id=g:617377
Sofia	id=g:617378
Sofia	id=g:617379
Sociteni	id=g:617380
Slobozia	id=g:617381
Slobozia-Vărăncău	id=g:617383
Slobozia Mare	id=g:617384
Slobozia-Cremene	id=g:617385
Slobozia-Duşca	id=g:617386
Slobozia	id=g:617387
Slobozia-Şirăuţi	id=g:617388
Slobozia-Raşcov	id=g:617389
Slobozia-Măgura	id=g:617390
Slobozia-Chişcăreni	id=g:617391
Slobozia-Horodişte	id=g:617392
Sloveanca	id=g:617393
Staţia de Cale Ferată Scumpia	id=g:617394
Scumpia	id=g:617395
Sculeni	id=g:617396
Scroafa	id=g:617397
Scorţeni	id=g:617398
Scoreni	id=g:617399
Schineni	id=g:617400
Schinoasa-Sat	id=g:617402
Scăieni	id=g:617403
Scăieni	id=g:617404
Sirota	id=g:617405
Sireţi	id=g:617406
Şina de Ocolit Şipoteni	id=g:617407
Sipoteni	id=g:617408
Sineşti	id=g:617409
Şuri	id=g:617410
Şumna	id=g:617411
Ştiubeieni	id=g:617412
Ştefăneşti	id=g:617413
Şoltoaia	id=g:617414
Şolcani	id=g:617415
Şofrîncani	id=g:617416
Şmalena	id=g:617417
Cealîc	id=g:617418
Şişcani	id=g:617419
Shirokoye Ozero	id=g:617420
Şirăuţi	id=g:617421
Şipca	id=g:617422
Şipca	id=g:617423
Şicovăţ	id=g:617424
Şestaci	id=g:617425
Şerpeni	id=g:617426
Sîrbeşti	id=g:617427
Şerbeni	id=g:617428
Şeptelici	id=g:617429
Şaptebani	id=g:617430
Şendreni	id=g:617431
Balka Shuritsa	id=g:617432
Şoltoaia	id=g:617433
Şercani	id=g:617434
Şamalia	id=g:617435
Şalvirii Vechi	id=g:617436
Sevirova	id=g:617437
Severinovca	id=g:617438
Săseni	id=g:617439
Serghieni	id=g:617440
Sănătăuca	id=g:617441
Semeni	id=g:617442
Semionovca	id=g:617443
Semionovca	id=g:617444
Selişte	id=g:617445
Selişte	id=g:617446
Selişte	id=g:617447
Selemet	id=g:617448
Sacarovca	id=g:617449
Secăreni	id=g:617450
Sauca	id=g:617451
Satul Nou	id=g:617452
Pelinei Noui	id=g:617453
Sărăţica Veche	id=g:617454
Sărăţei	id=g:617455
Sărăteni	id=g:617456
Sărăteni	id=g:617457
Sărata-Răzeşi	id=g:617458
Sărata Nouă	id=g:617459
Sărata Mereşeni	id=g:617460
Sărata-Galbenă	id=g:617461
Sărata	id=g:617462
Samurza	id=g:617463
Samoyleuka	id=g:617464
Sămăşcani	id=g:617465
Sămănanca	id=g:617466
Sălcuţa	id=g:617467
Salcia	id=g:617468
Salcia Mica	id=g:617469
Salcia	id=g:617470
Saharna	id=g:617471
Săiţi	id=g:617472
Halta Satul-Nou	id=g:617473
Sagaidac	id=g:617474
Sagaidac	id=g:617475
Safronovka	id=g:617476
Sadîc	id=g:617477
Sadovoe	id=g:617478
Sadova	id=g:617479
Sadaclia	id=g:617480
Rîşcova	id=g:617481
Rîşcani	id=g:617482
Raionul Rîşcani	id=g:617483
Rîşcani	id=g:617484
Rîbniţa	id=g:617486
Rujniţa	id=g:617487
Ruseni	id=g:617488
Chioşelia Rusă	id=g:617489
Rudi	id=g:617490
Rubleniţa	id=g:617491
Risipeni	id=g:617492
Roşu	id=g:617493
Roşcani	id=g:617494
Roşcani	id=g:617495
Roşiţa	id=g:617496
Romanovca	id=g:617497
Romanovca	id=g:617498
Staţia de Cale Ferată Rogojeni	id=g:617499
Roghi	id=g:617500
Raionul Rezina	id=g:617501
Rezina	id=g:617502
Rezina	id=g:617503
Moscovei-Răzeşi	id=g:617504
Răzeni	id=g:617505
Staţia de Cale Ferată Revaca	id=g:617506
Revaca	id=g:617507
Staţia de Cale Ferată Răuţel	id=g:617508
Răuţel	id=g:617509
Răuţel	id=g:617510
Răut	id=g:617511
Răcătău	id=g:617512
Staţia de Cale Ferată Rediul Mare	id=g:617513
Rediul Mare	id=g:617514
Rădeni	id=g:617515
Rădeni	id=g:617516
Redi-Cereşnovăţ	id=g:617517
Răciula	id=g:617518
Receşti	id=g:617519
Recea	id=g:617520
Recea	id=g:617521
Răzălăi	id=g:617522
Rotunda	id=g:617523
Răspopeni	id=g:617524
Răscăieţi	id=g:617525
Raşcov	id=g:617526
Rămăzan	id=g:617527
Răculeşti	id=g:617528
Racovăţ	id=g:617529
Răcăria	id=g:617530
Rădoaia	id=g:617531
Pîrjota	id=g:617532
Pîrjolteni	id=g:617533
Pîrîta	id=g:617534
Pîrliţa	id=g:617535
Pîrliţa	id=g:617536
Pîrliţa	id=g:617537
Pînzăreni	id=g:617538
Puţintei	id=g:617539
Putineşti	id=g:617540
Dolna	id=g:617541
Purcari	id=g:617542
Puhoi	id=g:617543
Puhăceni	id=g:617544
Pruteni	id=g:617545
Staţia de Cale Ferată Prut	id=g:617546
Proteagailovca	id=g:617547
Proscureni	id=g:617548
Progress	id=g:617549
Prodăneşti	id=g:617550
Prisaca	id=g:617551
Pripiceni-Răzeşi	id=g:617552
Maiscoe	id=g:617553
Tîrgul-Vertiujeni	id=g:617554
Prepeliţa	id=g:617555
Prajila	id=g:617556
Pojăreni	id=g:617557
Poeana	id=g:617558
Poiana	id=g:617559
Posëlok Starogo Nomer Vtoroy	id=g:617560
Posëlok Starogo Nomer Pervyy	id=g:617561
Porumbrei	id=g:617562
Porumbeşti	id=g:617563
Oneşti	id=g:617564
Popovca	id=g:617565
Popeasca	id=g:617566
Popovca	id=g:617567
Păpăuţi	id=g:617568
Popeştii de Sus	id=g:617569
Popencu	id=g:617570
Pompa	id=g:617571
Pocşeşti	id=g:617572
Pocrovca	id=g:617573
Pohrebea	id=g:617574
Pohrebeni	id=g:617575
Pohoarna	id=g:617576
Păhărniceni	id=g:617577
Pogăneşti	id=g:617578
Podoima	id=g:617579
Pociumbăuţi	id=g:617580
Voinescu	id=g:617581
Plopi	id=g:617582
Plop-Ştiubei	id=g:617583
Plop	id=g:617584
Plopi	id=g:617585
Pleşeni	id=g:617586
Pituşca	id=g:617587
Pistruieni	id=g:617588
Piscăreşti	id=g:617589
Picus	id=g:617590
Pîcalova	id=g:617591
Petruşeni	id=g:617592
Petrunea	id=g:617593
Petrovca	id=g:617594
Pietrosu	id=g:617595
Petrovca	id=g:617596
Petreşti	id=g:617597
Petreni	id=g:617598
Peticeni	id=g:617599
Pervomaiscoe	id=g:617600
Pervomaiscoe	id=g:617601
Pervomaisc	id=g:617602
Pervomaisc	id=g:617603
Pervomaisc	id=g:617604
Pervomaisc	id=g:617605
Marienfeld	id=g:617606
Şina de Ocolit Corneşti	id=g:617608
Peresecina	id=g:617609
Pereriţa	id=g:617610
Pereni	id=g:617611
Pereni	id=g:617612
Pepeni	id=g:617613
Pelinia	id=g:617614
Pelinei	id=g:617615
Staţia de Cale Ferată Pelinia	id=g:617616
Pecişte	id=g:617617
Păuleşti	id=g:617619
Păscăuţi	id=g:617620
Paşcani	id=g:617621
Paşcani	id=g:617622
Paşcani	id=g:617623
Păruceni	id=g:617624
Parushovka	id=g:617625
Parcova	id=g:617626
Parcani	id=g:617627
Parcani	id=g:617628
Pănăşeşti	id=g:617629
Pălăria	id=g:617630
Palanca	id=g:617631
Palanca	id=g:617632
Palanca	id=g:617633
Paladea	id=g:617634
Paicu	id=g:617635
Pădureţ	id=g:617636
Otac	id=g:617637
Orhei	id=g:617638
Raionul Orhei	id=g:617639
Ordăşei	id=g:617640
Orac	id=g:617641
Opaci	id=g:617642
Oniţcani	id=g:617643
Onişcani	id=g:617644
Oneşti	id=g:617645
Oneşti	id=g:617646
Olişcani	id=g:617647
Olăneşti	id=g:617648
Ochiul Roşu	id=g:617649
Ochiul Alb	id=g:617650
Octeabrscoe	id=g:617651
Duşmani	id=g:617652
Oktyabr'skiy Rayon	id=g:617653
Oxentea	id=g:617654
Ocolina	id=g:617655
Raionul Ocniţa	id=g:617656
Ocniţa-Ţărani	id=g:617657
Ocniţa-Răzeşi	id=g:617658
Ocniţa	id=g:617659
Ocniţa	id=g:617660
Oclanda	id=g:617661
Ohrincea	id=g:617662
Staţia de Cale Ferată Ocniţa	id=g:617663
Obileni	id=g:617664
Nîrnova	id=g:617665
Goianul Nou	id=g:617666
Zăzulenii Noi	id=g:617667
Iezărenii Noi	id=g:617668
Vărzăreştii Noi	id=g:617669
Târşiţeii Noui	id=g:617670
Trifeştii Noi	id=g:617671
Tănătarii Noi	id=g:617672
Socii Noi	id=g:617673
Seliştea Nouă	id=g:617674
Ruseştii Noi	id=g:617675
Roşietici	id=g:617676
Rădulenii Noi	id=g:617677
Morenii Noi	id=g:617678
Limbenii Noi	id=g:617679
Cîrnăţenii Noi	id=g:617680
Cucuieţii Noi	id=g:617681
Cuconeştii Noi	id=g:617682
Cosmenii Noui	id=g:617683
Lebedenco	id=g:617684
Novyye Kaushany Stantsiya	id=g:617685
Goianul Nou	id=g:617686
Goteştii Noi	id=g:617687
Heciul Nou	id=g:617688
Hanăsenii Noi	id=g:617689
Fundurii Noi	id=g:617690
Făleştii Noi	id=g:617691
Duruitoarea Nouă	id=g:617692
Drăguşenii Noi	id=g:617693
Cioropcanii Noui	id=g:617694
Ciocana	id=g:617695
Brînzenii Noi	id=g:617696
Borosenii Noi	id=g:617697
Boghenii Noi	id=g:617698
Bilicenii Noi	id=g:617699
Băneştii Noi	id=g:617700
Hăsnăşenii Noi	id=g:617701
Anenii Noi	id=g:617702
Albineţul Nou	id=g:617703
Novovladimirovca	id=g:617704
Troiţa Nouă	id=g:617705
Troiţa	id=g:617706
Tomaiul Nou	id=g:617707
Crihana	id=g:617708
Staţia de Cale Ferată Novosaviţcaia	id=g:617709
Novosaviţcaia	id=g:617710
Novocotovsc	id=g:617712
Novo-Konstantinovka	id=g:617713
Comisarovca Nouă	id=g:617714
Raionul Anenii Noi	id=g:617715
Iablona Nouă	id=g:617716
Ursoaia Nouă	id=g:617717
Ţiganca Nouă	id=g:617718
Tăura Nouă	id=g:617719
Teleşeuca Nouă	id=g:617720
Sîngereii Noi	id=g:617721
Ţiganca	id=g:617722
Sărăţica Nouă	id=g:617723
Sărata Nouă	id=g:617724
Saharna Nouă	id=g:617725
Pohrebea Nouă	id=g:617726
Obreja Nouă	id=g:617727
Marianca Nouă	id=g:617728
Lunga Nouă	id=g:617729
Larga Nouă	id=g:617730
Coşniţa Nouă	id=g:617731
Cobusca Nouă	id=g:617732
Chetroşica Nouă	id=g:617733
Carbalia Nouă	id=g:617734
Hrubna Nouă	id=g:617735
Frumuşica Nouă	id=g:617736
Floriţoaia Nouă	id=g:617737
Dobrogea Nouă	id=g:617738
Ciolacu Nou	id=g:617739
Bogdanovca Nouă	id=g:617740
Andriaşevca Nouă	id=g:617741
Alexandrovca Nouă	id=g:617742
Novaci	id=g:617743
Jora de Jos	id=g:617744
Marianca de Jos	id=g:617745
Albota de Jos	id=g:617746
Mincenii de Jos	id=g:617747
Cuhureştii de Jos	id=g:617748
Climăuţii de Jos	id=g:617749
Halahora de Jos	id=g:617750
Buzduganii de Jos	id=g:617751
Andruşul de Jos	id=g:617752
Nisporeni	id=g:617753
Raionul Nisporeni	id=g:617754
Nişcani	id=g:617755
Nimoreni	id=g:617756
Nicoreni	id=g:617757
Nicolscoe	id=g:617758
Nicolaevca	id=g:617759
Nicolaevca	id=g:617760
Nicolaevca	id=g:617761
Nicolaevca	id=g:617762
Nezavertailovca	id=g:617763
Nemţeni	id=g:617764
Nimereuca	id=g:617765
Negureni	id=g:617766
Negrea	id=g:617767
Negreşti	id=g:617768
Năvîrneţ	id=g:617769
Natalievca	id=g:617770
Naslavcea	id=g:617771
Năpadova	id=g:617772
Năpădeni	id=g:617773
Mîrzoaia	id=g:617774
Mîrzeşti	id=g:617775
Mîrzaci	id=g:617776
Mînzateşti	id=g:617777
Mîndreşti	id=g:617778
Mîndra	id=g:617779
Musteaţa	id=g:617780
Musaitu	id=g:617781
Munteni	id=g:617782
Moscovei	id=g:617784
Moscovei-Constantinescu	id=g:617785
Moşeni	id=g:617786
Moşana	id=g:617787
Morozeni	id=g:617788
Morovaia	id=g:617789
Republic of Moldova	id=g:617790
Moldoveanca	id=g:617791
Mocreachi	id=g:617792
Mocra	id=g:617793
Mocearovca	id=g:617794
Moara de Piatră	id=g:617795
Mlădineşti	id=g:617796
Mitoc	id=g:617797
Misovca	id=g:617798
Meşeni	id=g:617799
Mirnoe	id=g:617800
Mireşti	id=g:617801
Mirceşti	id=g:617802
Mingir	id=g:617803
Mileşti	id=g:617804
Micleuşeni	id=g:617805
Micleşti	id=g:617806
Mihăileni	id=g:617807
Mihailovca Nouă	id=g:617808
Mihailovca	id=g:617809
Mihailovca	id=g:617810
Mihailovca	id=g:617811
Mihailovca	id=g:617812
Mihălăşeni	id=g:617813
Mihălaşa	id=g:617814
Micăuţi	id=g:617815
Mihuleni	id=g:617816
Miciurin	id=g:617817
Meşeni	id=g:617818
Mereşeuca	id=g:617819
Mereşeni	id=g:617820
Staţia de Cale Ferată Mereni	id=g:617821
Mereni	id=g:617822
Merenii Noi	id=g:617823
Mereni	id=g:617824
Meleşeni	id=g:617825
Măgura	id=g:617826
Medveja	id=g:617827
Mîndreştii Noi	id=g:617828
Medeleni	id=g:617829
Maiac	id=g:617830
Staţia de Cale Ferată Mateuţi	id=g:617831
Mateuţi	id=g:617832
Mătăsaru	id=g:617833
Maşcăuţi	id=g:617834
Mărtineşti	id=g:617835
Mărculeşti	id=g:617836
Mărculeşti	id=g:617837
Staţia de Cale Ferată Mărculeşti	id=g:617838
Mărcăuţi	id=g:617839
Mărcăuţi	id=g:617840
Marinya Stantsiya	id=g:617841
Marinici	id=g:617842
Staţia de Cale Ferată Mărăndeni	id=g:617843
Mărăndeni	id=g:617844
Maramonovca	id=g:617845
Manta	id=g:617846
Mănoileşti	id=g:617847
Manoileşti	id=g:617848
Khirova Manastyr'	id=g:617849
Molochişul Mic	id=g:617850
Mileştii Mici	id=g:617851
Cotiujenii Mici	id=g:617852
Ciulucul Mic	id=g:617853
Molovata	id=g:617854
Molovata Nouă	id=g:617855
Malcoci	id=g:617856
Mălcăuţi	id=g:617857
Malinovscoe	id=g:617858
Moleşti	id=g:617859
Mălăieşti	id=g:617860
Mălăieşti	id=g:617861
Mălăieşti	id=g:617862
Mălăieşti	id=g:617863
Moleşti	id=g:617864
Malaya Kozhdangliya	id=g:617865
Maximovca	id=g:617866
Maximeni	id=g:617867
Măcreşti	id=g:617868
Măcăreuca	id=g:617869
Măcăreşti	id=g:617870
Măgurele	id=g:617871
Mahala	id=g:617872
Corlăteni	id=g:617873
Lupăria	id=g:617874
Lupa-Recea	id=g:617875
Lunga	id=g:617876
Lunguţa	id=g:617877
Lunga	id=g:617878
Lunga	id=g:617879
Lucăşeuca	id=g:617880
Lucăceni	id=g:617881
Luceşti	id=g:617882
Luchafer	id=g:617883
Lozova	id=g:617884
Lăpuşna	id=g:617885
Lopăţica	id=g:617886
Lopatnic	id=g:617887
Lopatna	id=g:617888
Logofteni	id=g:617889
Logăneşti	id=g:617890
Logăneşti	id=g:617891
Livezi	id=g:617892
Mîndîc	id=g:617893
Lipoveni	id=g:617894
Lipovanca	id=g:617895
Lipnic	id=g:617896
Lipcani	id=g:617897
Lipceni	id=g:617898
Lingura	id=g:617899
Lidovca	id=g:617900
Leuşeni	id=g:617901
Leuşeni	id=g:617902
Raionul Leova	id=g:617903
Leova	id=g:617904
Leuntea	id=g:617905
Leonidovka	id=g:617906
Lencăuţi	id=g:617907
Leninskiy Rayon	id=g:617908
Leninskiy	id=g:617909
Lenin	id=g:617910
Leca	id=g:617911
Lebedevka	id=g:617912
Raionul Sîngerei	id=g:617913
Sîngerei	id=g:617914
Chişcăreni	id=g:617915
Piatra	id=g:617916
Lazo	id=g:617917
Lărguţa	id=g:617918
Larga	id=g:617919
Larga	id=g:617920
Larga	id=g:617921
Lăpuşna	id=g:617922
Lalova	id=g:617923
Cîietu	id=g:617924
Chiurt	id=g:617925
Cîşliţa-Prut	id=g:617926
Cîşla	id=g:617927
Cîşla	id=g:617928
Cîrpeşti	id=g:617929
Cîrneşti	id=g:617930
Cîrnăţeni	id=g:617931
Cîmpul Drept	id=g:617932
Alexanderfeld	id=g:617933
Cuzmin	id=g:617934
Chircăieşti	id=g:617935
Kuza-Voda Stantsiya	id=g:617936
Cuizăuca	id=g:617937
Cuşmirca	id=g:617938
Curtoaia	id=g:617939
Făgureni	id=g:617940
Cureşniţa	id=g:617942
Cureni	id=g:617943
Curătura	id=g:617944
Cuporani	id=g:617945
Cupcui	id=g:617946
Cupcini	id=g:617947
Halta Cuporani	id=g:617948
Cunicea	id=g:617949
Staţia de Cale Ferată Culma	id=g:617950
Cula	id=g:617952
Cucoara	id=g:617953
Cuhneşti	id=g:617954
Şina de Ocolit Cuhureşti	id=g:617955
Cucioaia	id=g:617956
Cubolta	id=g:617957
Cubolta	id=g:617958
Cruglic	id=g:617960
Criva	id=g:617961
Raionul Criuleni	id=g:617962
Cristeşti	id=g:617963
Crişcăuţi	id=g:617964
Cricova	id=g:617965
Goian	id=g:617966
Creţoaia	id=g:617967
Cremenciug	id=g:617968
Crasnîi Vinogradari	id=g:617969
Crasnîi Octeabri	id=g:617970
Krasnyy Moldavanin Kolkhoz	id=g:617971
Krasnyy Moldavanin Kolkhoz	id=g:617972
Crasnoe	id=g:617973
Crasnogorca	id=g:617975
Crasnoarmeiscoe	id=g:617976
Crasnencoe	id=g:617977
Crasnaia Gorca	id=g:617978
Crasnaia Besarabia	id=g:617979
Crăsnăşeni	id=g:617980
Crăciun	id=g:617981
Cojuşna	id=g:617982
Cozeşti	id=g:617983
Coicova	id=g:617984
Covurlui	id=g:617985
Cobac	id=g:617986
Cotiujeni	id=g:617987
Cotiujenii Mari	id=g:617988
Coteala	id=g:617989
Cotul Morii	id=g:617990
Raionul Ialoveni	id=g:617991
Regina Maria	id=g:617992
Hînceşti	id=g:617993
Cotova	id=g:617994
Cotovca	id=g:617995
Cotihana	id=g:617996
Cot	id=g:617997
Spitalul de Psihiatrie Costiujeni	id=g:617998
Costuleni	id=g:617999
Costeşti	id=g:618000
Costeşti	id=g:618001
Costeşti	id=g:618002
Cosăuţi	id=g:618003
Kosim	id=g:618004
Coştangalia	id=g:618005
Coşniţa	id=g:618006
Coşcodeni	id=g:618007
Coşcalia	id=g:618008
Coşerniţa	id=g:618009
Coşerniţa	id=g:618010
Coşeni	id=g:618011
Cuşelăuca	id=g:618012
Corjova	id=g:618013
Corjova	id=g:618014
Corjeuţi	id=g:618015
Corotna	id=g:618016
Coropceni	id=g:618017
Cornova	id=g:618018
Staţia de Cale Ferată Bahmut	id=g:618019
Corneşti	id=g:618020
Corneşti	id=g:618021
Crocmaz	id=g:618022
Corestăuţi	id=g:618023
Cotovca	id=g:618024
Corbu	id=g:618025
Copăceanca	id=g:618026
Copceac	id=g:618027
Copceac	id=g:618028
Copanca	id=g:618029
Copăceni	id=g:618030
Copăceanca	id=g:618031
Constantinovca	id=g:618032
Constantinovca	id=g:618033
Constantinovca	id=g:618034
Constantineşti	id=g:618035
Constantinovca	id=g:618036
Congazcicul de Sus	id=g:618037
Congazcicul de Jos	id=g:618038
Condriţa	id=g:618039
Condrăteşti	id=g:618040
Staţia de Cale Ferată Comrat	id=g:618042
Colosova	id=g:618043
Colosova	id=g:618044
Coloniţa	id=g:618045
Colicăuţi	id=g:618046
Colibaşi	id=g:618047
Colibabovca	id=g:618048
Cobasna	id=g:618049
Cucuruzeni	id=g:618050
Cogîlniceni	id=g:618051
Cogîlnic	id=g:618052
Codreanca	id=g:618053
Codru	id=g:618054
Codreni	id=g:618055
Cociulia	id=g:618056
Cocieri	id=g:618057
Staţia de Cale Ferată Cobîlnea	id=g:618058
Cobîlnea	id=g:618059
Cobani	id=g:618060
Cneazevca	id=g:618061
Staraya Knyazevka	id=g:618062
Clocuşna	id=g:618063
Clişova	id=g:618064
Climăuţi	id=g:618065
Cîzlar	id=g:618066
Chiţcani	id=g:618067
Chiştelniţa	id=g:618068
Municipiul Chişinău	id=g:618069
Chioselia	id=g:618070
Corten	id=g:618071
Chirsova	id=g:618072
Chirpiţi	id=g:618073
Chirov	id=g:618074
Chircăieşti	id=g:618075
Chircăieştii Noi	id=g:618076
Chircani	id=g:618077
Chirca	id=g:618078
Chiriet-Lunga	id=g:618079
Chirianca	id=g:618080
Chirilovca	id=g:618081
Chirilovca	id=g:618082
Chirileni	id=g:618083
Chirileni	id=g:618084
Chipeşca	id=g:618085
Chiperceni	id=g:618086
Khutor Vladimirovka	id=g:618087
Homuteanovca	id=g:618089
Hristovaia	id=g:618090
Hristoforovca	id=g:618091
Hristici	id=g:618092
Horjeşti	id=g:618093
Slobozia-Hodorogea	id=g:618094
Hădărăuţi	id=g:618095
Hitreşti	id=g:618097
Hiliuţi	id=g:618098
Hiliuţi	id=g:618099
Heleşteni	id=g:618100
Hatmana	id=g:618101
Şina de Ocolit Hagimus	id=g:618102
Hagimus	id=g:618103
Adjiler	id=g:618104
Hagichioi	id=g:618105
Chetrosu	id=g:618106
Chetroşeni	id=g:618107
Chetrosu	id=g:618108
Chetriş	id=g:618109
Cajba	id=g:618110
Cazangic	id=g:618111
Căzăneşti	id=g:618112
Şina de Ocolit Cazaclia	id=g:618113
Cazaclia	id=g:618114
Cairaclia	id=g:618115
Căinarii Vechi	id=g:618116
Căinar	id=g:618117
Staţia de Cale Ferată Căuşeni	id=g:618118
Raionul Căuşeni	id=g:618119
Căuşeni	id=g:618120
Căţeleni	id=g:618121
Catranîc	id=g:618122
Caterinovca	id=g:618123
Caşunca	id=g:618125
Coştangalia	id=g:618126
Cartuşe	id=g:618127
Cărpineanca	id=g:618128
Cărpineni	id=g:618129
Carmanova	id=g:618130
Halta Cărbuna	id=g:618131
Cărbuna	id=g:618132
Carbalia	id=g:618133
Caracui	id=g:618134
Caragaş	id=g:618135
Carahasani	id=g:618136
Carabetovca	id=g:618137
Căpriana	id=g:618138
Căpreşti	id=g:618139
Căplani	id=g:618140
Capaclia	id=g:618141
Raionul Cantemir	id=g:618142
Cania	id=g:618143
Cotovscoe	id=g:618144
Camencuţa	id=g:618146
Camencuţa	id=g:618147
Camenca	id=g:618148
Camenca	id=g:618149
Camenca	id=g:618150
Camencea	id=g:618151
Comarovca	id=g:618152
Flămânda	id=g:618153
Călugăr	id=g:618154
Călmăţui	id=g:618155
Kalkatova Balka	id=g:618156
Calintir	id=g:618157
Călineşti	id=g:618158
Călimăneşti	id=g:618159
Halta Selo-Calfa	id=g:618160
Calfa	id=g:618161
Raionul Călăraşi	id=g:618162
Calaraşovca	id=g:618163
Raionul Cahul	id=g:618164
Cahul	id=g:618165
Căbăieşti	id=g:618166
Izvoare	id=g:618167
Izvoare	id=g:618168
Izvoare	id=g:618169
Izbişte	id=g:618170
Ivanovca	id=g:618171
Ivanovca	id=g:618172
Ivanovca	id=g:618173
Ivanovca	id=g:618174
Ivancea	id=g:618175
Işnovăţ	id=g:618176
Işnovăţ	id=g:618177
Işcălău	id=g:618178
Iserlia	id=g:618179
Isăicani	id=g:618180
Isacova	id=g:618181
Iordanovca	id=g:618182
Ioneasca	id=g:618183
Halta Ciucur-Mingir	id=g:618184
Ineşti	id=g:618185
Nucăreni	id=g:618186
Imeni Lenina Kolkhoz	id=g:618187
Imeni Kotovskogo Kolkhoz	id=g:618188
Imeni Kirsev	id=g:618189
Il'yanka	id=g:618190
Iligach	id=g:618191
Illiciovca	id=g:618192
Ilashkova	id=g:618193
Ichel	id=g:618194
Ignăţei	id=g:618195
Ialoveni	id=g:618196
Hlinaia	id=g:618197
Gîsca	id=g:618198
Hîrjauca	id=g:618199
Hîrtopul Mic	id=g:618200
Hîrtopul Mare	id=g:618201
Hîrtop	id=g:618202
Hîrtop	id=g:618203
Hîrtop	id=g:618204
Gîrla Mare	id=g:618205
Gîrbova	id=g:618206
Hîrbovăţ	id=g:618207
Hancăuţi	id=g:618208
Gvozdova	id=g:618209
Huzun	id=g:618210
Hutulu	id=g:618211
Gura-Oituz	id=g:618212
Gura-Larga	id=g:618213
Gura Camencii	id=g:618214
Gura Căinarului	id=g:618215
Gura Galbenei	id=g:618216
Gura Bîcului	id=g:618217
Hulboaca	id=g:618218
Hulboaca	id=g:618219
Hruşca	id=g:618220
Hruşova	id=g:618221
Grozeşti	id=g:618222
Grozasca	id=g:618223
Gromadzeni	id=g:618224
Grinăuţi-Raia	id=g:618225
Staţia de Cale Ferată Grinăuţi	id=g:618226
