Thomas Hollow	id=g:4736560
Underwood Spring	id=g:4738306
Unicorn Lake	id=g:4738307
Unicorn Stadium	id=g:4738308
Unida Church	id=g:4738309
Unified Pentecostal Church	id=g:4738310
Unified Pentecostal Church	id=g:4738311
Union	id=g:4738312
Union	id=g:4738313
Union	id=g:4738314
Union	id=g:4738315
Union	id=g:4738316
Union Academy	id=g:4738317
Union Band Church	id=g:4738318
Union Baptist Church	id=g:4738319
Union Baptist Church	id=g:4738320
Union Baptist Church	id=g:4738321
Union Bethel African Methodist Episcopal Church	id=g:4738322
Union Bluff	id=g:4738323
Union Bower Center	id=g:4738324
Union Bower School	id=g:4738325
Union Canal	id=g:4738326
Union Cemetery	id=g:4738327
Union Cemetery	id=g:4738328
Union Cemetery	id=g:4738329
Union Cemetery	id=g:4738330
Union Cemetery	id=g:4738331
Union Cemetery	id=g:4738332
Union Cemetery	id=g:4738333
Union Cemetery	id=g:4738334
Union Center	id=g:4738335
Union Center School	id=g:4738336
Union Chapel	id=g:4738337
Union Chapel	id=g:4738338
Union Chapel	id=g:4738339
Union Chapel	id=g:4738340
Union Chapel	id=g:4738341
Union Chapel	id=g:4738342
Union Chapel	id=g:4738343
Union Chapel	id=g:4738344
Union Chapel	id=g:4738345
Union Chapel	id=g:4738346
Union Chapel Baptist Church	id=g:4738347
Union Chapel Baptist Church	id=g:4738348
Union Chapel Baptist Church	id=g:4738349
Union Chapel Cemetery	id=g:4738350
Union Church	id=g:4738351
Union Church	id=g:4738352
Union Church	id=g:4738353
Union Church	id=g:4738354
Union Church	id=g:4738355
Union Church	id=g:4738356
Union Church	id=g:4738357
Union Church	id=g:4738358
Union Church	id=g:4738359
Union Church	id=g:4738360
Union Church	id=g:4738361
Union Church	id=g:4738362
Union Church	id=g:4738363
Union Church	id=g:4738364
Union Church	id=g:4738365
Union Church	id=g:4738366
Union Church	id=g:4738367
Union Church	id=g:4738368
Union Creek	id=g:4738369
Union Cross Church	id=g:4738370
Union Crossing	id=g:4738371
Union Encampment	id=g:4738372
Union Grave	id=g:4738373
Union Grove	id=g:4738374
Union Grove	id=g:4738375
Union Grove	id=g:4738376
Union Grove Baptist Church	id=g:4738377
Union Grove Cemetery	id=g:4738378
Union Grove Cemetery	id=g:4738379
Union Grove Cemetery	id=g:4738380
Union Grove Cemetery	id=g:4738381
Union Grove Cemetery	id=g:4738382
Union Grove Church	id=g:4738383
Union Grove Church	id=g:4738384
Union Grove Church	id=g:4738385
Union Grove Church	id=g:4738386
Union Grove Church	id=g:4738387
Union Grove Church	id=g:4738388
Union Grove Church	id=g:4738389
Union Grove Church	id=g:4738390
Union Grove Park	id=g:4738391
Union Grovel Cemetery	id=g:4738392
Union Hall Church	id=g:4738393
Union High	id=g:4738394
Union High	id=g:4738395
Union Hill	id=g:4738396
Union Hill	id=g:4738397
Union Hill	id=g:4738398
Union Hill	id=g:4738399
Union Hill	id=g:4738400
Union Hill	id=g:4738401
Union Hill Cemetery	id=g:4738402
Union Hill Cemetery	id=g:4738403
Union Hill Cemetery	id=g:4738404
Union Hill Cemetery	id=g:4738405
Union Hill Cemetery	id=g:4738406
Union Hill Cemetery	id=g:4738407
Union Hill Cemetery	id=g:4738408
Union Hill Cemetery	id=g:4738409
Union Hill Cemetery	id=g:4738410
Union Hill Church	id=g:4738411
Union Hill Church	id=g:4738412
Union Hill Church	id=g:4738413
Union Hill Church	id=g:4738414
Union Hill Church	id=g:4738415
Union Hill Church	id=g:4738416
Union Hill Church	id=g:4738417
Union Hill Church	id=g:4738418
Union Hill Church	id=g:4738419
Union Hill Church	id=g:4738420
Union Hill Church	id=g:4738421
Union Hill Lookout Tower	id=g:4738422
Union Hill Missionary Baptist Church	id=g:4738423
Union Hill Missionary Baptist Church	id=g:4738424
Union Hill School	id=g:4738425
Union Hope Church	id=g:4738426
Union Hope School	id=g:4738427
Union Lake	id=g:4738428
Union Lake Dam	id=g:4738429
Union Lee Church	id=g:4738430
Union Memorial Methodist Church	id=g:4738431
Union Missionary Baptist Church	id=g:4738432
Union Murvaul Cemetery	id=g:4738433
Union Post Office (historical)	id=g:4738434
Union Prairie Church	id=g:4738435
Union Prim Church	id=g:4738436
Union Ridge	id=g:4738437
Union Ridge Church	id=g:4738438
Union Ridge Church	id=g:4738439
Union Ridge Community Center	id=g:4738440
Union School	id=g:4738441
Union School	id=g:4738442
Union Springs Branch	id=g:4738443
Underwood Lake	id=g:4738444
Union Springs Church	id=g:4738445
Union Station	id=g:4738446
Union Station	id=g:4738447
Union Station	id=g:4738448
Union Station	id=g:4738449
Union Station African Methodist Episcopal Church	id=g:4738451
Union Stock Yards	id=g:4738452
Union Valley	id=g:4738453
Union Valley	id=g:4738454
Union Valley Church	id=g:4738455
Union Well Creek	id=g:4738456
Union Springs Church	id=g:4738457
Unit Number One	id=g:4738458
Unit Number Two	id=g:4738459
Unitarian Universalist Fellowship Church	id=g:4738460
United Apostolic Church	id=g:4738461
United Baptist Church	id=g:4738462
United Church	id=g:4738463
United Church	id=g:4738464
United Church	id=g:4738465
United Church	id=g:4738466
United Church	id=g:4738467
United Church of Christ Bethany Congregational	id=g:4738468
United Church of God	id=g:4738469
United Church of God International	id=g:4738470
United Church of God in Christ	id=g:4738471
United Church of God in Christ	id=g:4738472
United Consol School	id=g:4738473
United Covenant of Hope Church of God	id=g:4738474
United D D Hachar Elementary School	id=g:4738475
United Day School	id=g:4738476
United Faith Missionary Baptist Church	id=g:4738477
United High School	id=g:4738478
United Methodist Church	id=g:4738479
United Methodist Church	id=g:4738480
United Methodist Church	id=g:4738481
United Methodist Church	id=g:4738482
United Methodist Church	id=g:4738483
United Methodist Church	id=g:4738484
United Methodist Church	id=g:4738485
United Methodist Church	id=g:4738486
United Methodist Church	id=g:4738487
United Methodist Church	id=g:4738488
United Methodist Church - Aldersgate	id=g:4738489
United Methodist Church - Elmwood West	id=g:4738490
United Methodist Church - Plum Street	id=g:4738491
United Methodist Church - Saint Johns	id=g:4738492
United Methodist Church - Wichita Falls	id=g:4738493
United Methodist Church Acton	id=g:4738494
United Methodist Church Albright	id=g:4738495
United Methodist Church Aldersgate	id=g:4738496
United Methodist Church Christ	id=g:4738497
United Methodist Church Ebenezer	id=g:4738498
United Methodist Church Lakewood	id=g:4738499
United Methodist Church Memorial	id=g:4738500
United Methodist Church Oxford	id=g:4738501
United Methodist Church Saint Andrews	id=g:4738502
United Methodist Church Saint Andrews	id=g:4738503
United Methodist Church Saint Andrews	id=g:4738504
United Methodist Church Saint Johns	id=g:4738505
United Methodist Church Saint Johns	id=g:4738506
United Methodist Church Saint Luke	id=g:4738507
United Methodist Church Saint Lukes	id=g:4738508
United Methodist Church Saint Marks	id=g:4738509
United Methodist Church de Gethsemani	id=g:4738510
United Methodist Church of Salado	id=g:4738511
United Methodist Trinity Church	id=g:4738512
United Middle School	id=g:4738513
United Missionary Baptist Church	id=g:4738514
United Missionary Baptist Church	id=g:4738515
United Pentecostal Church	id=g:4738516
United Pentecostal Church	id=g:4738517
United Pentecostal Church	id=g:4738518
United Pentecostal Church	id=g:4738519
United Pentecostal Church	id=g:4738520
United Pentecostal Church	id=g:4738521
United Pentecostal Church	id=g:4738522
United Pentecostal Church	id=g:4738523
United Pentecostal Church	id=g:4738524
United Pentecostal Church	id=g:4738525
United Pentecostal Church	id=g:4738526
United Pentecostal Church	id=g:4738527
United Pentecostal Church	id=g:4738528
United Pentecostal Church	id=g:4738529
United Pentecostal Church	id=g:4738530
United Pentecostal Church	id=g:4738531
United Pentecostal Church	id=g:4738532
United Pentecostal Church	id=g:4738533
United Pentecostal Church	id=g:4738534
United Pentecostal Church Apostolic Temple	id=g:4738535
United Pentecostal Church Christ Temple	id=g:4738536
United Pentecostal Church of Pinehurst	id=g:4738537
United Pentecostal Church of Tyler	id=g:4738538
United Pentecostal Temple	id=g:4738539
United Presbyterian Church	id=g:4738540
United Presbyterian Homes	id=g:4738541
United Regional Health Care System - Eighth Street Campus	id=g:4738542
Unionville Church	id=g:4738543
United South High School	id=g:4738544
United South Middle School	id=g:4738545
United States Army Medical Department Museum	id=g:4738546
United States Coast Guard Station Heliport	id=g:4738547
United States Courthouse	id=g:4738548
United States Customhouse	id=g:4738549
United States National Bank	id=g:4738550
United States Post Office	id=g:4738551
United States Post Office	id=g:4738552
United States Post Office	id=g:4738553
United States Post Office and Federal Building	id=g:4738554
United School for Accelerated Learning	id=g:4738555
United States Weather Bureau Building	id=g:4738556
United Synagogue of America	id=g:4738557
United We Stand Missionary Baptist Church	id=g:4738558
United Windmill	id=g:4738559
Unity	id=g:4738560
Unity	id=g:4738561
Unity Baptist Church	id=g:4738562
Unity Cemetery	id=g:4738563
Unity Church	id=g:4738564
Unity Church	id=g:4738565
Unity Missionary Baptist Church	id=g:4738566
Unity Missionary Baptist Church	id=g:4738567
Unity Missionary Baptist Church	id=g:4738568
Unity Missionary Baptist Church	id=g:4738569
Unity Missionary Baptist Church	id=g:4738570
Unity Spirit Missionary Baptist Church	id=g:4738571
Universal Academy	id=g:4738572
Universal Church of God and Christ	id=g:4738573
Universal City	id=g:4738574
Universal City Park	id=g:4738575
Universal City Park	id=g:4738576
Universal City Public Library	id=g:4738577
Universal City United Methodist Church	id=g:4738578
Universal Estates Colonia	id=g:4738579
Universal Manufacturing Company Building	id=g:4738580
Universe Cemetery	id=g:4738581
Universe Church	id=g:4738582
University Assembly of God Church	id=g:4738583
University Avenue-Elm Street Historic District	id=g:4738584
University Baptist Church	id=g:4738585
University Baptist Church	id=g:4738586
University Baptist Church	id=g:4738587
University Baptist Church	id=g:4738588
University Baptist Church	id=g:4738589
University Baptist Church	id=g:4738590
University Baptist Church	id=g:4738591
University Baptist Church Fort Worth	id=g:4738592
University Church	id=g:4738593
University Church of Christ	id=g:4738594
University Evangelical Methodist Church	id=g:4738595
University Heights	id=g:4738596
University High School	id=g:4738597
University Hills Church of Christ	id=g:4738598
University Junior High School	id=g:4738599
University Lutheran Church	id=g:4738600
University Middle School	id=g:4738601
Texas A and M University at Corpus Christi	id=g:4738602
University of Houston	id=g:4738603
University of Texas	id=g:4738604
University of Texas Balcones Research Center	id=g:4738605
University Park	id=g:4738606
University Park Baptist Church	id=g:4738608
University Park Elementary School	id=g:4738609
University Park Lake	id=g:4738610
University Park Lake Dam	id=g:4738611
University Park School	id=g:4738612
University Presbyterian Church	id=g:4738613
University Presbyterian Church	id=g:4738614
University of Dallas	id=g:4738615
University of Dallas Baseball Field	id=g:4738616
University of Dallas Soccer Field	id=g:4738617
University of Dallas Softball Field	id=g:4738618
University of Houston Charter School	id=g:4738619
University of North Texas Coliseum	id=g:4738620
University of North Texas Mens Gym	id=g:4738621
University of Saint Thomas	id=g:4738622
University of Texas - Pan American	id=g:4738623
University of Texas - Pan American	id=g:4738624
University of Texas Marina	id=g:4738625
University of Texas Marine Science Institute	id=g:4738626
University of Texas Medical Branch Hospital Heliport	id=g:4738627
United States Post Office and Federal Building	id=g:4738628
University of Texas Medical College	id=g:4738629
University of Texas School of Dentistry	id=g:4738630
University of Texas Tumor Institute	id=g:4738631
University of Texas at San Antonio	id=g:4738632
University of the Incarnate Word	id=g:4738633
Uno Mas Ranch Airport	id=g:4738634
Upchurch Cemetery	id=g:4738635
Upchurch House	id=g:4738636
Upendo Baptist Church	id=g:4738637
Upham Heliport	id=g:4738638
Upland Island Wilderness	id=g:4738639
Upper Barnes Creek Dam	id=g:4738640
Upper Barton Spring	id=g:4738641
Upper Broadway Park	id=g:4738642
Upper Brushy Windmill	id=g:4738643
Upper Brushy Windmill	id=g:4738644
Upper Buzzard Windmill	id=g:4738645
Upper Cedar Creek Cemetery	id=g:4738646
Upper Cedar Hollow	id=g:4738647
University of Texas Medical Branch Strand Building	id=g:4738648
Upper City Lake Dam	id=g:4738649
Upper Clear Lake	id=g:4738650
Upper Clifton Bend	id=g:4738651
Upper Club Lake	id=g:4738652
Upper Club Lake Dam	id=g:4738653
Upper Columbia Crossing	id=g:4738654
Upper Dam	id=g:4738655
Upper Ellison Lake	id=g:4738656
Upper Ellison Lake Dam	id=g:4738657
Upper Elm Creek	id=g:4738658
Upper City Lake	id=g:4738659
Upper Field Tank	id=g:4738660
Upper Flag Pond	id=g:4738661
Upper Green Creek Cemetery	id=g:4738662
Upper House Lake	id=g:4738663
Upper House Lake Dam	id=g:4738664
Upper Keechi Creek	id=g:4738665
Upper End Tank	id=g:4738666
Upper Kickapoo Creek	id=g:4738667
Upper Lake	id=g:4738668
Upper Lake Avery	id=g:4738669
Upper Lake Avery Dam	id=g:4738670
Upper Lake Dam	id=g:4738671
Upper Little Windmill	id=g:4738672
Upper Meyersville	id=g:4738673
Upper Raintree Lake	id=g:4738674
Upper Raintree Lake Dam	id=g:4738675
Upper Room Fellowship Church	id=g:4738676
Upper San Jacinto Bay	id=g:4738677
Upper Settlement Rural Historic District	id=g:4738678
Upper Sharyland Colonia	id=g:4738679
Upper Sulphur Creek	id=g:4738680
Upper Lake	id=g:4738681
Upper Union Cemetery	id=g:4738682
Upper West Lake	id=g:4738683
Upper West Lake Dam	id=g:4738684
Upper Windmill	id=g:4738685
Upshaw Creek	id=g:4738686
Upper Turning Basin	id=g:4738687
Upshur Branch	id=g:4738688
Upshur County	id=g:4738689
Upton	id=g:4738690
Upton Corner Well	id=g:4738691
Uracas Windmill	id=g:4738692
Uranium Lake	id=g:4738693
Uranium Lake Dam	id=g:4738694
Urban Cemetery	id=g:4738695
Urban Independent Methodist Church	id=g:4738696
Urban Park	id=g:4738697
Urban Park Baptist Church	id=g:4738698
Urban Park Elementary School	id=g:4738699
Urban Park School	id=g:4738700
Urbana	id=g:4738701
Urbandale Park	id=g:4738702
Urebeno	id=g:4738703
Urebeno Cemetery	id=g:4738704
Uribe Cemetery	id=g:4738705
Urland Lake	id=g:4738706
Urmey Branch	id=g:4738707
Ursher Hollow	id=g:4738708
Upson Park	id=g:4738709
Ursuline Academy	id=g:4738710
Ursuline Academy	id=g:4738711
Ursuline Academy	id=g:4738712
Ussery Cemetery	id=g:4738713
Utilities Consolidated Incorporated Heliport	id=g:4738714
Utley	id=g:4738715
Utopia	id=g:4738716
Utopia Park Lake	id=g:4738717
Utopia Park Lake Dam	id=g:4738718
Utopia on the River Airport	id=g:4738719
Utzman Cemetery	id=g:4738720
Uvalde	id=g:4738721
Uvalde Colonia	id=g:4738722
Uvalde County	id=g:4738723
Uvalde County Hospital Authority Heliport	id=g:4738724
Uvalde Estates	id=g:4738725
Uvalde Estates Colonia	id=g:4738726
Uvalde Grand Opera House	id=g:4738727
Uvalde High School	id=g:4738728
Uvalde Junior High School	id=g:4738729
Uvalde Memorial Hospital	id=g:4738730
Uvalde National Fish Hatchery	id=g:4738731
Uvalde Test Track	id=g:4738732
Uvence Artesian Well	id=g:4738733
V G Chambers Elementary School	id=g:4738734
V J Keefe Stadium	id=g:4738735
V M Adams Elementary School	id=g:4738736
V R Means House	id=g:4738737
V-Bar Lake Number 1	id=g:4738738
V-Bar Lake Number 1 Dam	id=g:4738739
V-Bar Lake Number 2	id=g:4738740
V-Bar Lake Number 2 Dam	id=g:4738741
Vac Heliport	id=g:4738742
Vacas Well	id=g:4738743
Loma de las Vacas	id=g:4738744
Vaden Creek	id=g:4738745
Vadia Ancha	id=g:4738746
Vahlasing Lake	id=g:4738747
Vahlasing Lake Dam	id=g:4738748
Vahlsing	id=g:4738749
Vahlsing Lake	id=g:4738750
Vair	id=g:4738751
Vair	id=g:4738752
Val Bar Estate Colonia	id=g:4738753
Val Verde	id=g:4738754
Val Verde	id=g:4738755
Val Verde Acres Colonia	id=g:4738756
Val Verde Camp	id=g:4738757
Val Verde Cemetery	id=g:4738758
Val Verde Church	id=g:4738759
Val Verde Grove Colonia	id=g:4738760
Val Verde School	id=g:4738761
Valadeces Banco Number 130	id=g:4738762
Valadez Cemetery	id=g:4738763
Valdasta	id=g:4738764
Valders Tank	id=g:4738765
Valdina Farms	id=g:4738766
Valdina Farms Dam	id=g:4738767
Valdina Farms Tank	id=g:4738768
Valentine Ley House	id=g:4738769
Valentine Park	id=g:4738770
Valentine Tank	id=g:4738771
Valenzuela Ranch Headquarters	id=g:4738772
Valera	id=g:4738773
Valera Cemetery	id=g:4738774
Arroyo Valeriano	id=g:4738775
Ursuline Academy	id=g:4738776
Vales Colonia	id=g:4738777
Valle Alto Number 1 Colonia	id=g:4738778
Valle Alto Number 2 Colonia	id=g:4738779
Valle Escondido Colonia	id=g:4738780
Valle Hermosa Colonia	id=g:4738781
Valle Hermosa Colonia	id=g:4738782
Valle Hermoso Estates Colonia	id=g:4738783
Valle Verde Colonia	id=g:4738784
Valle Verde Colonia	id=g:4738785
Valle Verde Colonia	id=g:4738786
Valle Vista Colonia	id=g:4738787
Valle Vista Number 1 Colonia	id=g:4738788
Valle Vista Number 2 Colonia	id=g:4738789
Valle de Palmas Number 1 Colonia	id=g:4738790
Vallejos Windmill	id=g:4738791
Vallerreno Cemetery	id=g:4738792
Valley Acres Levee	id=g:4738793
Valley Acres Reservoir	id=g:4738794
Valley Baptist Hospital	id=g:4738795
Valley Branch	id=g:4738796
Vales Church	id=g:4738797
Valley Branch	id=g:4738798
Valley Branch	id=g:4738799
Valley Branch	id=g:4738800
Valley Cemetery	id=g:4738801
Valley Club Lake	id=g:4738802
Valley Club Lake Dam	id=g:4738803
Valley Creek	id=g:4738804
Valley Creek	id=g:4738805
Valley Chapel	id=g:4738806
Valley Creek Community Center	id=g:4738807
Valley Creek Elementary School	id=g:4738808
Valley Creek Greenbelt Trail	id=g:4738809
Valley Farms	id=g:4738810
Valley Grande Academy	id=g:4738811
Valley Grove	id=g:4738812
Valley Grove Cemetery	id=g:4738813
Valley Grove Church	id=g:4738814
Valley Hi	id=g:4738815
Valley Hi Elementary School	id=g:4738816
Valley Hi First Baptist Church	id=g:4738817
Valley Hi School	id=g:4738818
Valley Junction	id=g:4738819
Valley Lake	id=g:4738820
Valley Lake Dam	id=g:4738821
Valley Lodge Clubhouse	id=g:4738822
Valley Memorial Gardens	id=g:4738823
Valley Mill Park	id=g:4738824
Valley Mills	id=g:4738825
Valley Mills Cemetery	id=g:4738826
Valley Mills Historical Museum	id=g:4738827
Valley Mills Municipal Airport	id=g:4738828
Valley Oak Golf Club	id=g:4738829
Valley Oaks Airport	id=g:4738830
Valley Oaks Elementary School	id=g:4738831
Valley Oaks School	id=g:4738832
Valley Park	id=g:4738833
Valley Plains Cemetery	id=g:4738834
Valley Plant Airport	id=g:4738835
Valley Ranch	id=g:4738836
Valley Ranch Branch Library	id=g:4738837
Valley Ranch Elementary School	id=g:4738838
Valley Rancheros Colonia	id=g:4738839
Valley Regional Medical Center	id=g:4738840
Valley Ridge	id=g:4738841
Valley Ridge Elementary School	id=g:4738842
Valley Rose Baptist Church	id=g:4738843
Valley Spring	id=g:4738844
Valley Spring	id=g:4738845
Valley Spring Cemetery	id=g:4738846
Valley Spring Church	id=g:4738847
Valley Star Acres Colonia	id=g:4738848
Valley View	id=g:4738849
Valley View	id=g:4738850
Valley View	id=g:4738851
Valley View	id=g:4738852
Valley View	id=g:4738853
Valley View	id=g:4738854
Valley View Baptist Church	id=g:4738855
Valley View Baptist Church	id=g:4738856
Valley View Baptistchurch	id=g:4738857
Valley View Cemetery	id=g:4738858
Valley View Cemetery	id=g:4738859
Valley View Cemetery	id=g:4738860
Valley View Center Shopping Center	id=g:4738861
Valley View Church	id=g:4738862
Valley View Church	id=g:4738863
Valley View Elementary School	id=g:4738864
Valley View Elementary School	id=g:4738865
Valley View Estates Colonia	id=g:4738866
Valley View High School	id=g:4738867
Valley View Junior High School	id=g:4738868
Valley View Park	id=g:4738869
Valley View School	id=g:4738870
Valley View School	id=g:4738871
Valley View School	id=g:4738872
Valley View School	id=g:4738873
Valley Wells	id=g:4738874
Valley West Elementary School	id=g:4738875
Valley West Park	id=g:4738876
Vally-Hi Acres Number 1 Colonia	id=g:4738877
Vally-Hi Acres Number 2 Colonia	id=g:4738878
Valmac Lake	id=g:4738879
Valmac Lake Dam	id=g:4738880
Valwood School	id=g:4738881
Vamc Heliport	id=g:4738882
Van	id=g:4738883
Van Alstyne	id=g:4738884
Van Alstyne Historical Museum	id=g:4738885
Van Alstyne Sewage Disposal	id=g:4738886
Van Area Oil and Historical Museum	id=g:4738887
Van Buren Elementary School	id=g:4738888
Van Cleave Mound	id=g:4738889
Van Earl Tank	id=g:4738890
Van Es Ranch Airport	id=g:4738891
Van High School	id=g:4738892
Van Intermediate School	id=g:4738893
Van Junior High School	id=g:4738894
Van Lake	id=g:4738895
Van Lake	id=g:4738896
Van Lake Dam	id=g:4738897
Van Meter Tank	id=g:4738898
Van Meter Tank Dam	id=g:4738899
Van Oil Field	id=g:4738900
Van Pelt	id=g:4738901
Van Pelt Hollow	id=g:4738902
Valley Creek Church	id=g:4738903
Van Pelt Ranch	id=g:4738904
Van Sickle Cemetery	id=g:4738905
Van Sickle Community Center	id=g:4738906
Van Syke Cemetery	id=g:4738907
Van Vleck	id=g:4738908
Van Vleck Elementary School	id=g:4738909
Van Vleck High School	id=g:4738910
Van Vleck High School	id=g:4738911
Van Winkle Cemetery	id=g:4738912
Van Winkle Gulch	id=g:4738913
Van Pelt House	id=g:4738914
Van Zandt County	id=g:4738915
Van Zandt County Park	id=g:4738916
Van Zandt Guinn Park	id=g:4738917
Van Zanot School	id=g:4738918
Van Zant Branch	id=g:4738919
Van Zandt - Guinn Elementary School	id=g:4738920
Vandalia	id=g:4738921
Vander Stucken Springs	id=g:4738922
Vanderbilt	id=g:4738923
Vanderbilt Oil Field	id=g:4738924
Vanderbilt Park	id=g:4738925
Vandergriff Park	id=g:4738926
Vanderpool	id=g:4738927
Vanderveer Island	id=g:4738928
Vandiver School	id=g:4738929
Vandyke	id=g:4738930
Vanessa Street Colonia	id=g:4738931
Vanham Addition Colonia	id=g:4738932
Vanham Creek	id=g:4738933
Van de Walle Park	id=g:4738934
Vann Branch	id=g:4738935
Vanishing Texana Museum	id=g:4738936
Vann Ranch	id=g:4738937
Vanness Cemetery	id=g:4738938
Vannoy Cemetery	id=g:4738939
Vanston Middle School	id=g:4738940
Vanston Park	id=g:4738941
Vanva Settlement	id=g:4738942
Vanzandt Lake Number 1 Dam	id=g:4738943
Vanzandt Lake Number 2	id=g:4738944
Vanzandt Lake Number 2	id=g:4738945
Vanzandt Lake Number 2 Dam	id=g:4738946
Vaqueteria Banco Number 118	id=g:4738947
Vaquias Windmill	id=g:4738948
Vaquillas Dam	id=g:4738949
Vaquillas Dam Number 2	id=g:4738950
Vaquillas Lake Number 1	id=g:4738951
Vaquillas Lake Number 1 Dam	id=g:4738952
Vaquillas Lake Number 2	id=g:4738953
Vaquillas Lake Number 3	id=g:4738954
Vaquillas Lake Number 3 Dam	id=g:4738955
Vaquillas Ranch Lake Number 4	id=g:4738956
Vaquillas Ranch Lake Number 4 Dam	id=g:4738957
Vaquillas Reservoir	id=g:4738958
Varal Tank	id=g:4738959
Arroyo Varal	id=g:4738960
Vann Camp	id=g:4738961
Vardeman Branch	id=g:4738962
Vareno Tank	id=g:4738963
Vargas Creek	id=g:4738964
Vargas Pasture	id=g:4738965
Vargas Windmill	id=g:4738966
Vargy Chapel Cemetery	id=g:4738967
Variety Club Boys Ranch	id=g:4738968
Varisco	id=g:4738969
Varisco Airport	id=g:4738970
Varnell Cemetery	id=g:4738971
Varner Creek	id=g:4738972
Vargas Windmill	id=g:4738973
Varnhagan Creek	id=g:4738974
Varner Hogg Plantation State Historical Park	id=g:4738975
Varnum Bayou	id=g:4738976
Vasco	id=g:4738977
Vashti	id=g:4738978
Vasquez Cemetery	id=g:4738979
Vasterling Cemetery	id=g:4738980
Vasterling Creek	id=g:4738981
Varnon Cemetery	id=g:4738982
Vat Hollow	id=g:4738983
Vat Tank	id=g:4738984
Vater Cemetery	id=g:4738985
Vatoss Gully	id=g:4738986
Vat Windmill	id=g:4738987
Vattman Cemetery	id=g:4738988
Vattmannville	id=g:4738989
Vaughan	id=g:4738990
Vaughan Cemetery	id=g:4738991
Vaughan Ranch Airport	id=g:4738992
Vaughn Branch	id=g:4738993
Vattman	id=g:4738994
Vaughn Branch	id=g:4738995
Vaughn Camp Park	id=g:4738996
Vaughn Family Graves	id=g:4738997
Vaughn Lake	id=g:4738998
Vaughn Lake Dam	id=g:4738999
Vaughn Spring	id=g:4739000
Veach	id=g:4739001
Veach	id=g:4739002
Veach Basin	id=g:4739003
Veal Springs Branch	id=g:4739004
Vaughn Cemetery	id=g:4739005
Veale Creek	id=g:4739006
Veal Station	id=g:4739007
Vela Cemetery	id=g:4739008
Vela Tank	id=g:4739009
Veladeras Windmill	id=g:4739010
Velas Cemetery	id=g:4739011
Velasco	id=g:4739012
Velasco Cemetery	id=g:4739013
Velasco Elementary School	id=g:4739014
Velasco Heights	id=g:4739015
Velasco School	id=g:4739016
Arroyo Veleno	id=g:4739017
Veale Creek Cemetery	id=g:4739018
Velenzuela Creek	id=g:4739019
Velenzuela Ranch	id=g:4739020
Vemo	id=g:4739021
Ven A El Iglesia Bautista Church	id=g:4739022
Venable	id=g:4739023
Venable Branch	id=g:4739024
Velma Penny Elementary School	id=g:4739025
Venada Ranch	id=g:4739026
Venada Windmill	id=g:4739027
Venada Windmill	id=g:4739028
Venada Windmill	id=g:4739029
Venada Windmill	id=g:4739030
Venada Windmill	id=g:4739031
Venadito	id=g:4739032
Venadito Windmill	id=g:4739033
Venado Creek	id=g:4739034
Venado Creek	id=g:4739035
Venada Brazil Windmill	id=g:4739036
Venado Creek	id=g:4739037
Venado Lakes	id=g:4739038
Venado Tank	id=g:4739039
Venado Tank	id=g:4739040
Venado Well	id=g:4739041
Venado Windmill	id=g:4739042
Venado Windmill	id=g:4739043
Venados Tank	id=g:4739044
Venancio Tank	id=g:4739045
Venchoner Creek	id=g:4739046
Venecia Colonia	id=g:4739047
Venetia	id=g:4739048
Venetian Lake	id=g:4739049
Ventura	id=g:4739050
Venture Alternative High School	id=g:4739051
Venus	id=g:4739052
Venus Airport	id=g:4739053
Vera Bradfield Park	id=g:4739054
Vera Cruz	id=g:4739055
Vera Cruz Cemetery	id=g:4739056
Vera Martin-Fiek-Thumford House	id=g:4739057
Vera Strawn Oil Field	id=g:4739058
Verde Creek	id=g:4739059
Venado Tank	id=g:4739060
Verde Creek	id=g:4739061
Verde Pass	id=g:4739062
Canada Verde	id=g:4739063
Mount Verde	id=g:4739064
Verderas Windmill	id=g:4739065
Verdi	id=g:4739066
Verdolaga Lake	id=g:4739067
Vereda Tropical Colonia	id=g:4739068
Verendo Windmill	id=g:4739069
Verhalen Lake	id=g:4739070
Verhalen Lake Dam	id=g:4739071
Verhelle	id=g:4739072
Verhelle Oil Field	id=g:4739073
Vermillion Road Elementary School	id=g:4739074
Verna-Anacacho Oil Field	id=g:4739075
Vernal Lister Elementary School	id=g:4739076
Verner Cemetery	id=g:4739077
Vernon	id=g:4739078
Vernon Baptist Church	id=g:4739079
Vernon Church of God	id=g:4739080
Vernon City Park	id=g:4739081
Vernon High School	id=g:4739082
Vernon Lake	id=g:4739083
Vernon Middle School	id=g:4739084
Vernon Middle School	id=g:4739085
Vernon Primary and Elementary School	id=g:4739086
Vernon Regional Junior College	id=g:4739087
Vernon Rod and Gun Club Lake	id=g:4739088
Vernon Rod and Gun Club Lake Dam	id=g:4739089
Vernon School	id=g:4739090
Vernon Schrade Middle School	id=g:4739091
Vernon State Hospital	id=g:4739092
Verona	id=g:4739093
Verona Cemetery	id=g:4739094
Verona Church	id=g:4739095
Verrando Windmill	id=g:4739096
Verrendos Artesian Well	id=g:4739097
Versia Williams Elementary School	id=g:4739098
Vertress Colonia	id=g:4739099
Vesley Cemetery	id=g:4739100
Vesper Lake	id=g:4739101
