Happy Valley Gardens	id=g:7150656
Great Turtle Park	id=g:7152397
Fort Mackinac Post Cemetery	id=g:7152398
Julia Point	id=g:7152399
Voyageurs Bay	id=g:7152400
Hennepin Point	id=g:7152401
Haldimand Bay	id=g:7152402
Windermere Point	id=g:7152403
Heriot Point	id=g:7152404
Jacker Point	id=g:7152405
Perrot Point	id=g:7152406
Dablon Spring	id=g:7152407
Browns Brook	id=g:7152408
Brown's Brook State Roadside Park	id=g:7152409
Griffin Cove	id=g:7152410
Radisson Point	id=g:7152411
Maniboajo Bay	id=g:7152412
Point Saint Clair	id=g:7152413
Point aux Pins	id=g:7152414
Marquette Park	id=g:7152415
Mackinac Island Public Schools	id=g:7152416
Mackinac Island Public Library	id=g:7152417
Mackinac Island Medical Center	id=g:7152418
Lisbon Substation-Progress Energy	id=g:7152419
Grand Island Cemetery	id=g:7152420
Umatilla Substation-Progress Energy	id=g:7152421
Piney Grove Missionary Baptist Church	id=g:7152422
Bethel African Methodist Episcopal Church	id=g:7152423
Life Changing Church of God	id=g:7152424
Mackinac Island City Building	id=g:7152425
Mackinac Fire Department	id=g:7152426
Mackinac Island Police Department	id=g:7152427
Trinity Episcopal Church	id=g:7152428
Trinity Church Historical Marker	id=g:7152429
Beaumont Memorial Historical Marker	id=g:7152430
Hanks Pond	id=g:7152431
Gros Cap and Saint Helena Island Historical Marker	id=g:7152432
Lake Michigan Historical Marker	id=g:7152433
Across the Peninsula Historical Marker	id=g:7152434
Epoufette Historical Marker	id=g:7152435
Northernmost Point of Lake Michigan Historical Marker	id=g:7152436
Bois Blanc Island Historical Marker	id=g:7152437
Round Island Lighthouse Historical Marker	id=g:7152438
North Hills Baptist Church	id=g:7152439
Mackinac Island Post Office	id=g:7152440
Mackinaw Area Public Library	id=g:7152441
Mackinaw City Bible Church	id=g:7152442
Agape Lighthouse Church	id=g:7152443
Saint Anthony's Catholic Church	id=g:7152444
Word of Life Community Church	id=g:7152445
Landmark Baptist Church	id=g:7152446
Jehovah's Witnesses	id=g:7152447
Family of Christ Church	id=g:7152448
Country Bible Baptist Church	id=g:7152449
Cornerstone Fellowship	id=g:7152450
Church of Jesus Christ of Latter Day Saints	id=g:7152451
Church of Christ	id=g:7152452
Agape Baptist Church	id=g:7152453
Hotel Perry Historical Marker	id=g:7152454
Little Traverse Bay Historical Marker	id=g:7152455
Emmanuel Episcopal Church	id=g:7152456
Cross of Christ Lutheran Church	id=g:7152457
First Presbyterian Church	id=g:7152458
Saint Francis Xavier Church	id=g:7152459
First Church of Christ Scientist	id=g:7152460
Parr Memorial Baptist Church	id=g:7152461
Hilltop Mennonite Fellowship	id=g:7152462
Trinity Missionary Church	id=g:7152463
White Stone Chapel	id=g:7152464
Emmanuel Evangelical Church	id=g:7152465
United Methodist Church	id=g:7152466
Zion Lutheran Church	id=g:7152467
Zorn Park	id=g:7152468
Josephine Ford Park	id=g:7152469
Zoll Street Park	id=g:7152470
B'Nai Israel Congregation	id=g:7152471
Emmet County Courthouse	id=g:7152472
Lakeview Academy	id=g:7152473
Emmet County Sherrif Office	id=g:7152474
Magnus Park	id=g:7152475
Bayfront Park	id=g:7152476
Harbor Springs Wesleyan Church	id=g:7152477
First Presbyterian Church	id=g:7152478
Shepherd in the Pines Lutheran Church	id=g:7152479
Epsilon United Methodist Church	id=g:7152480
United Methodist Church	id=g:7152481
Main Street Baptist Church	id=g:7152482
Saint Johns Episcopal Church	id=g:7152483
Holy Childhood Church	id=g:7152484
Northern Michigan Sports Medicine Clinic	id=g:7152485
Harbor Springs Middle School	id=g:7152486
Harbor Springs City Hall	id=g:7152487
Blackbird Elementary School	id=g:7152488
Harbour Inn Historical Marker (historical)	id=g:7152489
Harbor Springs High School	id=g:7152490
Holy Childhood of Jesus School Historical Marker	id=g:7152491
Ephraim Shay Historical Marker	id=g:7152492
Emmet County Medical Care Facility	id=g:7152493
Harbor Springs Estate	id=g:7152494
Harbor Springs Post Office	id=g:7152495
Mackinaw City Public Schools	id=g:7152496
Andrew J Blackbird House Historical Marker	id=g:7152497
Harbor Springs Library	id=g:7152498
Harbor Springs Fire Department	id=g:7152499
Harbor Springs Police Department	id=g:7152500
Blackbird Museum	id=g:7152501
Little Traverse Primary Care	id=g:7152502
Kosequat Park	id=g:7152503
Harbor Springs Kiwanis Winter Park	id=g:7152504
Harbor Light Christian School	id=g:7152505
Stutsmanville Chapel	id=g:7152506
Pellston Post Office	id=g:7152507
Saint Clement Catholic Church	id=g:7152508
Pellston Elementary School	id=g:7152509
Pellston High School	id=g:7152510
Pellston Branch Library	id=g:7152511
Pellston Fire Department	id=g:7152512
Grace Community Church	id=g:7152513
Spelling Park	id=g:7152514
Levering Post Office	id=g:7152515
Levering Branch Library	id=g:7152516
New Hope United Methodist Church	id=g:7152517
Bliss Branch Library	id=g:7152518
Cross Village Post Office	id=g:7152519
Port of Cross Village Park	id=g:7152520
Conway Post Office	id=g:7152521
Carp Lake Post Office	id=g:7152522
Carp Lake Seventh Day Adventist Church	id=g:7152523
Kingdom Hall of the Jehovah's Witnesses	id=g:7152524
Church of the Pines	id=g:7152525
Brutus Post Office	id=g:7152526
Calvary Baptist Church	id=g:7152527
Petoskey Winter Sports Park	id=g:7152528
Bay View Post Office (historical)	id=g:7152529
United Methodist Church	id=g:7152530
Liberty Baptist Church	id=g:7152531
Alanson United Methodist Church	id=g:7152532
Pentecostal Church of God	id=g:7152533
Church of the Nazarene	id=g:7152534
Oden Community Church	id=g:7152536
Alanson Village Park	id=g:7152537
Alanson Fire Department	id=g:7152538
Alanson Area Public Library	id=g:7152539
LTPC Walk-In Medical Center	id=g:7152540
Alanson Post Office	id=g:7152541
Van Post Office (historical)	id=g:7152542
Sturgeon Bay Post Office (historical)	id=g:7152543
Readmond Post Office (historical)	id=g:7152544
Pleasantview Post Office (historical)	id=g:7152545
Littlefield Post Office (historical)	id=g:7152546
Larks Post Office (historical)	id=g:7152547
Lakegrove Post Office (historical)	id=g:7152548
Good Hart Post Office (historical)	id=g:7152549
Epsilon Post Office (historical)	id=g:7152550
Ely Post Office (historical)	id=g:7152551
Cecil Post Office (historical)	id=g:7152552
Carpenter Post Office (historical)	id=g:7152553
Canby Post Office (historical)	id=g:7152554
Bliss Post Office (historical)	id=g:7152555
Ayr Post Office (historical)	id=g:7152556
Sacramentine Monastery Cemetery	id=g:7152557
McKinley Township Cemetery	id=g:7152558
Indian Cemetery	id=g:7152559
Greenwood Cemetery	id=g:7152560
Mennonite Cemetery	id=g:7152561
Emmet County Poor Farm Cemetery	id=g:7152562
Saint Ignatius' Catholic Chuch Cemetery	id=g:7152563
Beran Baptist Cemetery	id=g:7152564
Bear Creek Cemetery	id=g:7152565
The Legs Inn Historical Marker	id=g:7152566
Pioneer Picnic Park Historical Marker	id=g:7152567
Bliss Pioneer Memorial Church Historical Marker	id=g:7152568
Stafford's Bay View Inn Historical Marker	id=g:7152569
Bay View/Bay View Association Historical Marker	id=g:7152570
Passenger Pigeons Historical Marker	id=g:7152571
W W Fairbairn Historical Marker	id=g:7152572
Panther Stadium	id=g:7152573
Hicks Field	id=g:7152574
Brantley Stadium	id=g:7152575
Clinton Park (historical)	id=g:7152576
Salmon River (historical)	id=g:7152577
Rugar Street School (historical)	id=g:7152578
School Number 4 (historical)	id=g:7152580
School Number 4 (historical)	id=g:7152581
School Number 5 (historical)	id=g:7152582
School Number 12 (historical)	id=g:7152583
Scomotion School (historical)	id=g:7152584
Point au Roche Church (historical)	id=g:7152585
Allen School (historical)	id=g:7152586
Barnes School (historical)	id=g:7152587
Hays School (historical)	id=g:7152588
Miner School (historical)	id=g:7152589
Rogers School (historical)	id=g:7152590
School Number 6 (historical)	id=g:7152591
Stratton Hill School (historical)	id=g:7152592
Calkins School (historical)	id=g:7152593
Calkins Cemetery	id=g:7152594
McCormick Cemetery	id=g:7152595
Quaker Cemetery	id=g:7152596
Beckwith School (historical)	id=g:7152597
District School Number 2 (historical)	id=g:7152598
District School Number 3 (historical)	id=g:7152599
District School Number 3 (historical)	id=g:7152600
District School Number 7 (historical)	id=g:7152601
District School Number 11 (historical)	id=g:7152602
District School Number 15 (historical)	id=g:7152603
Rand Hill School (historical)	id=g:7152604
Deer Pond (historical)	id=g:7152605
Alder Bend School (historical)	id=g:7152606
Beartown School (historical)	id=g:7152607
Douglas School (historical)	id=g:7152608
Emerson School (historical)	id=g:7152609
School Number 2 (historical)	id=g:7152610
School Number 4 (historical)	id=g:7152611
School Number 4 (historical)	id=g:7152612
School Number 5 (historical)	id=g:7152613
School Number 8 (historical)	id=g:7152614
School Number 8 (historical)	id=g:7152615
White School (historical)	id=g:7152616
Witherill School (historical)	id=g:7152617
Court House Park	id=g:7152618
Trinity Episcopal Church	id=g:7152619
Plattsburgh City Hall	id=g:7152620
Clinton County Courthouse	id=g:7152621
Clinton County Jail	id=g:7152622
Saint John's Roman Catholic Church	id=g:7152623
Strand Theatre	id=g:7152624
Salvation Army	id=g:7152625
First Presbyterian Church	id=g:7152626
First Baptist Church	id=g:7152627
Champlain Theatre	id=g:7152628
Beth Israel Synagogue	id=g:7152629
Mount Assumption Institute Boys Training School	id=g:7152630
City of Plattsburgh Municipal Lighting Plant	id=g:7152631
Physicians Hospital	id=g:7152632
First Methodist Church	id=g:7152633
Childrens Home of Northern New York	id=g:7152634
D'Youville Academy Girls High School (historical)	id=g:7152635
Saint Poerre French Roman Catholic Church	id=g:7152636
McDonough Park	id=g:7152637
Hawkins Hall	id=g:7152638
MacDonough Hall	id=g:7152639
Harrington Hall	id=g:7152640
Plattsburgh Fire Station Number 1	id=g:7152641
Plattsburgh Fire Station Number 2	id=g:7152642
Elizabeth Street School (historical)	id=g:7152643
Our Lady of Victory Roman Catholic Church	id=g:7152644
Our Lady of Victory Academy	id=g:7152645
Plattsburgh Plaza Shopping Center	id=g:7152646
Skyway Corners Shopping Center	id=g:7152647
Kent Falls Hydro-Electric Plant	id=g:7152648
Tahquamenon Logging Museum	id=g:7152649
Sault Tribe Community Health Center	id=g:7152650
Island House Historical Marker	id=g:7152651
Market Street Historical Marker	id=g:7152652
Old Agency House Historical Marker (historical)	id=g:7152653
American Fur Company Store Historical Marker	id=g:7152654
British Cannon Historical Marker	id=g:7152655
Early Missionary Bark Chapel Historical Marker (historical)	id=g:7152656
Lake View Hotel Historical Marker	id=g:7152657
Skull Cave Historical Marker	id=g:7152658
Fort Holmes Historical Marker	id=g:7152659
British Landing Historical Marker	id=g:7152660
Battlefield of 1814 Historical Marker	id=g:7152661
Wawashkamo Historical Marker	id=g:7152662
Mackinac Island Historical Marker	id=g:7152663
Grand Hotel Historical Marker	id=g:7152664
Mackinac Conference Historical Marker	id=g:7152665
Little Stone Congregational Church	id=g:7152666
Little Stone Church Historical Marker	id=g:7152667
Biddle House Historical Marker	id=g:7152668
Historic Fort Mackinac Historical Marker	id=g:7152669
Indian Dormitory Historical Marker (historical)	id=g:7152670
Mission Church Historical Marker	id=g:7152671
Mission Church	id=g:7152672
Saint Anne's Catholic Church	id=g:7152673
Saint Anne Church Historical Marker	id=g:7152674
Mission House Historical Marker	id=g:7152675
Newberry Police Department	id=g:7152676
Great Northern Trailer Court	id=g:7152677
Newberry Post Office	id=g:7152678
Newberry Fire Department	id=g:7152679
Newberry State Bank Historical Marker	id=g:7152680
Jail and Sheriff's Residence Historical Marker	id=g:7152681
Luce County Sheriff's Office	id=g:7152682
Luce County Courthouse	id=g:7152683
River Road Sports Complex	id=g:7152684
Newberry High School	id=g:7152685
Kingdom Hall of Jehovah's Witnesses	id=g:7152686
First Baptist Church	id=g:7152687
Trinity Lutheran Church	id=g:7152688
First Presbyterian Church	id=g:7152689
Our Redeemer Lutheran Church	id=g:7152690
All Saints Episcopal Church	id=g:7152691
United Methodist Church	id=g:7152692
Dolberg Baptist Cemetery	id=g:7152693
Saint Gregory's Catholic Church	id=g:7152694
Spine and Sport Clinic	id=g:7152695
Helen Newberry Joy Hospital	id=g:7152696
Church of Christ	id=g:7152697
Living Water Assembly of God Church	id=g:7152698
Bethel Church	id=g:7152699
Soo Junction Post Office (historical)	id=g:7152700
Seabrook Post Office (historical)	id=g:7152701
Laketon Post Office (historical)	id=g:7152702
Helmer Post Office (historical)	id=g:7152703
Dollarville Post Office (historical)	id=g:7152704
Deerpark Post Office (historical)	id=g:7152705
Columbus Township Park	id=g:7152706
Seventh-Day Adventist Church	id=g:7152707
Lakefield Baptist Church	id=g:7152708
McMillan Post Office	id=g:7152709
Northstar Baptist Church	id=g:7152710
Northstar Christian Academy	id=g:7152711
McMillan United Methodist Church	id=g:7152712
Helmer House Inn Historical Marker	id=g:7152713
Life Saving Station Historical Marker	id=g:7152714
Columbus Township Cemetery	id=g:7152715
Patuxent River State Park	id=g:7152716
First Full Gospel Church of Austin	id=g:7152717
First Pentecostal Church of Austin	id=g:7152718
First Spiritualist Church	id=g:7152719
First United Methodist Church of Austin	id=g:7152720
Fontaine Memorial Baptist Church	id=g:7152721
Freedom Home Baptist Church	id=g:7152722
Freedom Pentecostal Temple	id=g:7152723
Gates of Deliverance Word Ministry	id=g:7152724
Genesis Presbyterian Church	id=g:7152725
God's Power in Christian Fellowship	id=g:7152726
God's Power Ministry	id=g:7152727
Good Korean Church of the Nazarene	id=g:7152728
Gospel Lighthouse Church	id=g:7152729
Govalle Iglesia Metodista Unida	id=g:7152730
Grace Community Church	id=g:7152731
Grace of the Good Shepherd Church	id=g:7152732
Grace Temple Church	id=g:7152733
Gracia de El Buen Pastor	id=g:7152734
Grant African Methodist Episcopal Worship Center	id=g:7152735
Greater Peace Christian Church	id=g:7152736
Greater Union Baptist Church	id=g:7152737
Greater Works Baptist Church	id=g:7152738
Haven of Hope Church	id=g:7152739
Heights Assembly of God Church	id=g:7152740
High Pointe Baptist Church	id=g:7152741
Higher Dimension Church	id=g:7152742
Highland Park Baptist Church	id=g:7152743
Hill Country Bible Church	id=g:7152744
Hillcrest Baptist Church	id=g:7152745
Holy Temple Church	id=g:7152746
Hope Chapel	id=g:7152747
Hope In the City Church	id=g:7152748
Horizon Worship Center	id=g:7152749
House of Divine Purpose Ministries	id=g:7152750
Hubbard Dianetics Foundation	id=g:7152751
Hyde Park Christian Church	id=g:7152752
I Am Sanctuary and Reading Room	id=g:7152753
Iglesia Ni Cristo	id=g:7152754
Iglesia Pentecostal Unida	id=g:7152755
Inner Light Ministries	id=g:7152756
International Buddhist Progress Society	id=g:7152757
Intervarsity Christian Church	id=g:7152758
Iranian Christian Church of the Central United States	id=g:7152759
Islamic Center of Greater Austin	id=g:7152760
Jesus Is Alive Ministries	id=g:7152761
Johnson Institute	id=g:7152762
Kingdom Hall of Jehovah's Witnesses	id=g:7152763
Kingdom Hall of Jehovah's Witnesses	id=g:7152764
Kingdom Hall of Jehovah's Witnesses	id=g:7152765
Kingdom Hall of Jehovah's Witnesses	id=g:7152766
Kingdom of God Christian Center	id=g:7152767
Koenig Lane Christian Church	id=g:7152768
Korean United Pentecostal Church	id=g:7152769
Lake Hills Congregational Church	id=g:7152770
Lord of Life Lutheran Church	id=g:7152771
Lord's Church of Austin	id=g:7152772
Lord's Vineyard Christian Church	id=g:7152773
Lutheran Campus Ministries	id=g:7152774
Lutheran Church of Saint Paul	id=g:7152775
Majestic Mountain Ministries	id=g:7152776
Maranatha Christian Church	id=g:7152777
Marshill Church	id=g:7152778
Mesa Community Church	id=g:7152779
Metropolitan African Methodist Episcopal Church	id=g:7152780
Metropolitan Community Church of Austin	id=g:7152781
Mision Bautista Nueva Vida	id=g:7152782
Monte Horeb Asamblea De Dios	id=g:7152783
Morning Star Christian Church of Austin	id=g:7152784
Mount Olive Baptist Church Bible Institute	id=g:7152785
Mount Sinai Baptist Church	id=g:7152786
Mount Zion Action and Resource Center	id=g:7152787
Nevertheless Community Church	id=g:7152788
New Bethel African Methodist Episcopal Church	id=g:7152789
New Hope African Methodist Episcopal Church	id=g:7152790
New Hope Primitive Baptist Church	id=g:7152791
New Hope Wesleyan Church	id=g:7152792
New Jerusalem Pentecostal Church	id=g:7152793
New Life United Pentecostal Church	id=g:7152794
New Light Christian Center Church	id=g:7152795
New Lincoln Missionary Baptist Church	id=g:7152796
New Vision Church	id=g:7152797
Newlight Ebenezer Church	id=g:7152798
Nineteenth Street Baptist Church	id=g:7152799
Noah's Ark Learing Center	id=g:7152800
North Austin Christian Church	id=g:7152801
Northside Church of Christ	id=g:7152802
Northwest Baptist Church	id=g:7152803
Northwest Church of Christ	id=g:7152804
Northwest Fellowship Church	id=g:7152805
Oak Meadow Baptist Church	id=g:7152806
Olivet Baptist Church	id=g:7152807
Onion Creek Baptist Church	id=g:7152808
Open Door Bible Fellowship	id=g:7152809
Our Lady of Guadalupe Catholic Church	id=g:7152810
Parmer Lane Baptist Church	id=g:7152811
Paulist Fathers	id=g:7152812
Peace Lutheran Church	id=g:7152813
Pentecostal Tabernacle	id=g:7152814
Pleasant Grove Baptist Church	id=g:7152815
Pleasant Valley Baptist Church	id=g:7152816
Pond Springs Baptist Church	id=g:7152817
Powerhouse of Praise Christian Fellowship Center	id=g:7152818
Presbyterian Resource Center	id=g:7152819
Primera Iglesia Bautista	id=g:7152820
Primitive Baptist Church of Little Vine	id=g:7152821
Probe Center Austin	id=g:7152822
Promise Land Church	id=g:7152823
Rafka Center	id=g:7152824
Saint James Park Church	id=g:7152825
Saint John Regular Baptist Association	id=g:7152826
Saint John's Church of God In Christ	id=g:7152827
Saint John's College Heights Baptist Church	id=g:7152828
Saint John's Episcopal Church	id=g:7152829
Saint John's Presbyterian Church	id=g:7152830
Saint John's United Methodist Church	id=g:7152831
Saint Luke United Methodist Church	id=g:7152832
Saint Lukes Missionary Baptist Church	id=g:7152833
Saint Mark's Episcopal Church	id=g:7152834
Saint Matthew's Episcopal Church	id=g:7152835
Saint Michael's Episcopal Church	id=g:7152836
Saint Paul Lutheran Church	id=g:7152837
Saint Philip Episcopal Church	id=g:7152838
Saint Stephens Baptist Church	id=g:7152839
Saint Thomas More Catholic Church	id=g:7152840
Summit Lighthouse Church of Austin	id=g:7152841
Sunrise Community Church	id=g:7152842
Tarrytown Baptist Church	id=g:7152843
Templelinh-Son Buddhist	id=g:7152844
Templo Bethel Pentecostes	id=g:7152845
Templo La Hermosa	id=g:7152846
Templo Sinai Church	id=g:7152847
Teri Road Baptist Child Care Center	id=g:7152848
Teri Road Baptist Church	id=g:7152849
Texas Interfaith Disaster Response Christian Church	id=g:7152850
The Church of Jesus Christ of Latter Day Saints	id=g:7152851
The Church of Jesus Christ of Latter Day Saints	id=g:7152852
The Gathering Place Worship Center	id=g:7152853
The Olde Galatia Church	id=g:7152854
The Saint Brendan Fellowship Chapel	id=g:7152855
Thien Hau Temple	id=g:7152856
Tree of Life International Prayer and Praise Center	id=g:7152857
Trinity Abundant Life Assembly of God Church	id=g:7152858
Trinity Baptist Church	id=g:7152859
Triumphant Love Lutheran Church	id=g:7152860
True Hope Church Ministries	id=g:7152861
Twelfth Street Baptist Church	id=g:7152862
Ulit Avenue Baptist Missionary Church	id=g:7152863
Unity Center	id=g:7152864
Abiding Love Lutheran Child Development Center	id=g:7152865
Abundant Life Learning Center	id=g:7152866
Agard Lovinggood Administration Building	id=g:7152867
Allen Frazier Residence Hall	id=g:7152868
Alumni Gym	id=g:7152869
Andre Hall	id=g:7152870
Andrews Dormitory	id=g:7152871
Anna Hiss Gymnasium	id=g:7152872
Anthony and Louise Viaer Alumni Hall	id=g:7152873
Arno Nowotny Building	id=g:7152874
Austin City History Center Library	id=g:7152875
Austin Fire Headquarters	id=g:7152876
Austin Fire Department Station 1	id=g:7152877
Austin Fire Department Station 10	id=g:7152878
Austin Fire Department Station 11	id=g:7152879
Austin Fire Department Station 14	id=g:7152880
Austin Fire Department Station 15	id=g:7152881
Austin Fire Department Station 16	id=g:7152883
Austin Fire Department Station 18	id=g:7152884
Austin Fire Department Station 19	id=g:7152885
Austin Fire Department Station 20	id=g:7152886
Austin Fire Department Station 21	id=g:7152887
Austin Fire Department Station 22	id=g:7152888
Austin Fire Department Station 23	id=g:7152889
Austin Fire Department Station 24	id=g:7152890
Austin Fire Department Station 25	id=g:7152891
Austin Fire Department Station 26	id=g:7152892
Austin Fire Department Station 27	id=g:7152893
Austin Fire Station Number 3	id=g:7152894
Austin Fire Department Station 32	id=g:7152895
Austin Fire Department Station 33	id=g:7152896
Austin Fire Department Station 35	id=g:7152897
Austin Fire Department Station 38	id=g:7152898
Austin Fire Department Station 4	id=g:7152899
Austin Fire Department Station 5	id=g:7152900
Austin Fire Department Station 7	id=g:7152901
Austin Fire Department Station 8	id=g:7152902
Austin Fire Department Station 9	id=g:7152903
Austin Independent School District Library Media Center	id=g:7152904
Basil Moreau Hall	id=g:7152905
Batts Hall	id=g:7152906
Beard Burrowes Residence Hall	id=g:7152907
Beauford H Jester Center	id=g:7152908
Behnken Hall	id=g:7152909
Benedict Hall	id=g:7152910
Bernard and Audre Rapoport Building	id=g:7152911
Beto Academic Center	id=g:7152912
Blanton Dormitory	id=g:7152913
Bokenkamp Student Center	id=g:7152914
Brackenridge Hall Dormitory	id=g:7152915
Brazos Parking Garage	id=g:7152916
Burdine Hall	id=g:7152917
Calhoun Hall	id=g:7152918
Carothers Dormitory	id=g:7152919
Carriage House	id=g:7152920
Clinger Gymnasium	id=g:7152921
Collections Deposit Library	id=g:7152922
Connally Center for Justice	id=g:7152923
Conner Washington Building	id=g:7152924
Cooley Basketball Practice Facility	id=g:7152925
Davage Durden Student Union Building	id=g:7152926
Deaf Smith Ranger Center	id=g:7152927
Dickey Lawless Science Building	id=g:7152928
Dolores Catholic Church Franciscan Convent	id=g:7152929
Dorothy Gebauer Building	id=g:7152930
Downs Jones Library	id=g:7152931
Doyle Hall	id=g:7152932
Dujarie Hall	id=g:7152933
E P Schoch Building	id=g:7152934
E William Doty Fine Art Building	id=g:7152935
East Hall	id=g:7152936
Ebenezer Baptist Church Child Development Center	id=g:7152937
Ernest Cockrell Junior Building	id=g:7152938
Etter Harbin Alumni Center	id=g:7152939
F Loren Winship Drama Building	id=g:7152940
Faith Christian Center	id=g:7152941
Fleck Hall	id=g:7152942
Fondren Hall	id=g:7152943
Founders Library	id=g:7152944
Garrison Hall	id=g:7152945
George I Sanchez Building	id=g:7152946
Goldsmith Hall	id=g:7152947
Grace Garden Child Development Center	id=g:7152948
Gregory Gymnasium	id=g:7152949
Hampton Will Branch at Oak Hill Branch Austin City Library	id=g:7152950
Harris Hall	id=g:7152951
Harry Ransom Center	id=g:7152952
Hill Hall Dormitory	id=g:7152953
Hirschi Hall	id=g:7152954
Hogg Memorial Auditorium	id=g:7152955
Holy Cross Hall	id=g:7152956
Howson Branch Austin City Library	id=g:7152957
Jackson Moody Building	id=g:7152958
Jesse H Jones Communication Center	id=g:7152959
Jessie H Jones Hall	id=g:7152960
John Brooks Williams Natural Science Center	id=g:7152961
John Henry Faulk Branch Austin City Library	id=g:7152962
John W Hargis Hall	id=g:7152963
Kilian Hall	id=g:7152964
King Seabrook Building	id=g:7152965
Kinsolving Dormitory	id=g:7152966
Koen Hall	id=g:7152967
Kramer Hall	id=g:7152968
Lake Travis Community Library	id=g:7152969
Lewis Hall	id=g:7152970
Little Walnut Creek Branch Austin City Library	id=g:7152971
Littlefield Carriage House	id=g:7152972
Littlefield Dormitory	id=g:7152973
Littlefield Dormitory	id=g:7152974
Manchaca Branch Austin City Library	id=g:7152975
Mang House	id=g:7152976
Manor Parking Garage	id=g:7152977
Mary E Branch Gymnasium	id=g:7152978
Mary E Gearing Hall	id=g:7152979
Mary Moody Northern Theater	id=g:7152980
Mezes Hall	id=g:7152981
Milwood Branch Austin City Library	id=g:7152982
Moncrief Neuhaus Athletic Center	id=g:7152983
Moody Hall	id=g:7152984
Moore Hall Dormitory	id=g:7152985
Mount Sinai Baptist Church Family Life Center	id=g:7152986
North Village Branch Austin City Library	id=g:7152987
Northwest Baptist Child Development Center	id=g:7152988
Oak Springs Branch Austin City Library	id=g:7152989
Oakwood Surgery Center	id=g:7152990
Old Quarry Branch Austin City Library	id=g:7152991
Painter Hall	id=g:7152992
Parlin Hall	id=g:7152993
Patterson Laboratory	id=g:7152994
Perry Castaneda Library	id=g:7152995
Peter Center	id=g:7152996
Peter Flawn Academic Center	id=g:7152997
Prather Hall Dormitory	id=g:7152998
Premont Hall	id=g:7152999
Ragsdale Center	id=g:7153000
Rainey Hall	id=g:7153001
Robert A Welch Hall	id=g:7153002
Robert Lee Moore Hall	id=g:7153003
Roberts Hall Dormitory	id=g:7153004
Ruiz Branch Austin City Library	id=g:7153005
Russell A Steindam Hall	id=g:7153006
Saint John Branch Austin City Library	id=g:7153007
Saint Joseph's Hall	id=g:7153008
San Antonio Parking Garage	id=g:7153009
San Jacinto Parking Garage	id=g:7153010
San Jacinto Residence Hall	id=g:7153011
Sarah and Charles Seay Building	id=g:7153012
Scarborough Phillips Library	id=g:7153013
Seeger Gymnasium	id=g:7153014
Sid Richardson Hall	id=g:7153015
Simkins Hall Dormitory	id=g:7153016
Sorin Hall	id=g:7153017
Southeast Austin Branch Austin City Library	id=g:7153018
Speedway Parking Garage	id=g:7153019
Spicewood Springs Branch Austin City Library	id=g:7153020
Studtmann Hall	id=g:7153021
Sutton Hall	id=g:7153022
T U Taylor Hall	id=g:7153023
Teresa Hall	id=g:7153024
Texas Center For Educational Research	id=g:7153025
Texas State Law Library	id=g:7153026
Thompson Conference Center	id=g:7153027
Tower Manor	id=g:7153028
Townes Hall	id=g:7153029
Trinity Parking Garage	id=g:7153030
Triumphant Love Lutheran Child Development Center	id=g:7153031
Trustee Hall	id=g:7153032
Twenty Seventh Street Parking Garage	id=g:7153033
Union Building	id=g:7153034
University Baptist Church Child Development Center	id=g:7153035
University Hills Branch Austin City Library	id=g:7153036
University Interscholastic League	id=g:7153037
University Police Building	id=g:7153038
University United Methodist Church Early Childhood Center	id=g:7153039
W R Woolrich Laboratory	id=g:7153040
Waggener Hall	id=g:7153041
Walter Webb Hall	id=g:7153042
Wells Branch Community Library	id=g:7153043
Westbank Community Library	id=g:7153044
Will C Hogg Building	id=g:7153045
Winsor Park Branch Austin City Library	id=g:7153046
Woltman Center	id=g:7153047
Woodward Office Building	id=g:7153048
Yarborough Branch Austin City Library	id=g:7153049
A House of Prayer	id=g:7153050
Abiding Love Lutheran Church	id=g:7153051
Abundant Faith Church	id=g:7153052
Abundant Life Church of Praise	id=g:7153053
Agape Christian Ministries	id=g:7153054
All Saints Episcopal Church	id=g:7153055
All Saints Presbyterian Church	id=g:7153056
Alpha On Campus Church	id=g:7153057
Anderson Mill Baptist Church	id=g:7153058
Antioch Baptist Church	id=g:7153059
Apostolic Praise Center	id=g:7153060
Aquarian Foundation	id=g:7153061
Archives of the Episcopal Church	id=g:7153062
Arise Christian Fellowship	id=g:7153063
Armenian Church of Austin	id=g:7153064
Ascension Lutheran Church	id=g:7153065
Austin Area Interreligious Ministries	id=g:7153066
Austin Bible Church	id=g:7153067
Austin Brethren Church	id=g:7153068
Austin Chinese Church	id=g:7153069
Austin Christian Fellowship Church	id=g:7153070
Austin Christian Tabernacle	id=g:7153071
Austin Christina Fellowship	id=g:7153072
Austin Cornerstone Church	id=g:7153073
Austin Eckanar Center	id=g:7153074
Austin Evangelistic Center	id=g:7153075
Austin First Church	id=g:7153076
Bethany United Methodist Church	id=g:7153077
Birkmann Chapel	id=g:7153078
Cameron Grove Baptist Church	id=g:7153079
Capital Vineyard Church	id=g:7153080
Cathedral of Praise	id=g:7153081
Central Texas Missions	id=g:7153082
Centro Evangelico	id=g:7153083
Children's Center of Austin	id=g:7153084
Chittamani Buddhist Center	id=g:7153085
Christian Community Center	id=g:7153086
Christian Faith Fellowship Church	id=g:7153087
Christian Life Church	id=g:7153088
