Cervera del Río Alhama	id=g:6359037
Aldealengua de Pedraza	id=g:6360753
Aldealengua de Santa María	id=g:6360754
Aldeanueva de la Serrezuela	id=g:6360755
Aldeanueva del Codonal	id=g:6360756
Aldea Real	id=g:6360757
Aldeasoña	id=g:6360758
Aldehorno	id=g:6360759
Aldehuela del Codonal	id=g:6360760
Aldeonte	id=g:6360761
Anaya	id=g:6360762
Añe	id=g:6360763
Arahuetes	id=g:6360764
Arcones	id=g:6360765
Arevalillo de Cega	id=g:6360766
Armuña	id=g:6360767
Ayllón	id=g:6360768
Barbolla	id=g:6360769
Basardilla	id=g:6360770
Bercial	id=g:6360771
Bercimuel	id=g:6360772
Bernardos	id=g:6360773
Bernuy de Porreros	id=g:6360774
Boceguillas	id=g:6360775
Brieva	id=g:6360776
Caballar	id=g:6360777
Cabañas de Polendos	id=g:6360778
Cabezuela	id=g:6360779
Calabazas de Fuentidueña	id=g:6360780
Campo de San Pedro	id=g:6360781
Cantalejo	id=g:6360782
Cantimpalos	id=g:6360783
Carbonero el Mayor	id=g:6360784
Carrascal del Río	id=g:6360785
Casla	id=g:6360786
Castillejo de Mesleón	id=g:6360787
Castro de Fuentidueña	id=g:6360788
Castrojimeno	id=g:6360789
Castroserna de Abajo	id=g:6360790
Castroserracín	id=g:6360791
Cedillo de la Torre	id=g:6360792
Cerezo de Abajo	id=g:6360793
Cerezo de Arriba	id=g:6360794
Cilleruelo de San Mamés	id=g:6360795
Cobos de Fuentidueña	id=g:6360796
Coca	id=g:6360797
Codorniz	id=g:6360798
Collado Hermoso	id=g:6360799
Condado de Castilnovo	id=g:6360800
Corral de Ayllón	id=g:6360801
Cubillo	id=g:6360802
Cuéllar	id=g:6360803
Chañe	id=g:6360804
Domingo García	id=g:6360805
Donhierro	id=g:6360806
Duruelo	id=g:6360807
Encinas	id=g:6360808
Encinillas	id=g:6360809
Escalona del Prado	id=g:6360810
Escarabajosa de Cabezas	id=g:6360811
Escobar de Polendos	id=g:6360812
Espinar (El)	id=g:6360813
Espirdo	id=g:6360814
Fresneda de Cuéllar	id=g:6360815
Fresno de Cantespino	id=g:6360816
Fresno de la Fuente	id=g:6360817
Frumales	id=g:6360818
Fuente de Santa Cruz	id=g:6360819
Fuente el Olmo de Fuentidueña	id=g:6360820
Fuente el Olmo de Íscar	id=g:6360821
Fuentepelayo	id=g:6360822
Fuentepiñel	id=g:6360823
Fuenterrebollo	id=g:6360824
Fuentesaúco de Fuentidueña	id=g:6360825
Fuentesoto	id=g:6360826
Fuentidueña	id=g:6360827
Gallegos	id=g:6360828
Garcillán	id=g:6360829
Gomezserracín	id=g:6360830
Grajera	id=g:6360831
Honrubia de la Cuesta	id=g:6360832
Hontalbilla	id=g:6360833
Hontanares de Eresma	id=g:6360834
Huertos (Los)	id=g:6360835
Ituero y Lama	id=g:6360836
Juarros de Riomoros	id=g:6360837
Juarros de Voltoya	id=g:6360838
Labajos	id=g:6360839
Laguna de Contreras	id=g:6360840
Languilla	id=g:6360841
Lastras de Cuéllar	id=g:6360842
Lastras del Pozo	id=g:6360843
Lastrilla (La)	id=g:6360844
Losa (La)	id=g:6360845
Maderuelo	id=g:6360846
Marazuela	id=g:6360847
Martín Miguel	id=g:6360848
Martín Muñoz de la Dehesa	id=g:6360849
Martín Muñoz de las Posadas	id=g:6360850
Marugán	id=g:6360851
Matabuena	id=g:6360852
Mata de Cuéllar	id=g:6360853
Matilla (La)	id=g:6360854
Melque de Cercos	id=g:6360855
Membibre de la Hoz	id=g:6360856
Migueláñez	id=g:6360857
Montejo de Arévalo	id=g:6360858
Montejo de la Vega de la Serrezuela	id=g:6360859
Monterrubio	id=g:6360860
Moral de Hornuez	id=g:6360861
Mozoncillo	id=g:6360862
Muñopedro	id=g:6360863
Muñoveros	id=g:6360864
Nava de la Asunción	id=g:6360865
Navafría	id=g:6360866
Navalilla	id=g:6360867
Navalmanzano	id=g:6360868
Navares de Ayuso	id=g:6360869
Navares de Enmedio	id=g:6360870
Navares de las Cuevas	id=g:6360871
Navas de Oro	id=g:6360872
Navas de San Antonio	id=g:6360873
Nieva	id=g:6360874
Olombrada	id=g:6360875
Orejana	id=g:6360876
Ortigosa de Pestaño	id=g:6360877
Otero de Herreros	id=g:6360878
Pajarejos	id=g:6360879
Palazuelos de Eresma	id=g:6360880
Pedraza	id=g:6360881
Pelayos del Arroyo	id=g:6360882
Perosillo	id=g:6360883
Pinarejos	id=g:6360884
Pinarnegrillo	id=g:6360885
Pradales	id=g:6360886
Prádena	id=g:6360887
Puebla de Pedraza	id=g:6360888
Rapariegos	id=g:6360889
Rebollo	id=g:6360890
Remondo	id=g:6360891
Riaguas de San Bartolomé	id=g:6360892
Riaza	id=g:6360893
Ribota	id=g:6360894
Riofrío de Riaza	id=g:6360895
Roda de Eresma	id=g:6360896
Sacramenia	id=g:6360897
Samboal	id=g:6360898
San Cristóbal de Cuéllar	id=g:6360899
San Cristóbal de la Vega	id=g:6360900
Sanchonuño	id=g:6360901
Sangarcía	id=g:6360902
San Ildefonso	id=g:6360903
San Martín y Mudrián	id=g:6360904
San Miguel de Bernuy	id=g:6360905
San Pedro de Gaíllos	id=g:6360906
Santa María la Real de Nieva	id=g:6360907
Santa Marta del Cerro	id=g:6360908
Santiuste de Pedraza	id=g:6360909
Santiuste de San Juan Bautista	id=g:6360910
Santo Domingo de Pirón	id=g:6360911
Santo Tomé del Puerto	id=g:6360912
Sauquillo de Cabezas	id=g:6360913
Sebúlcor	id=g:6360914
Segovia	id=g:6360915
Sepúlveda	id=g:6360916
Sequera de Fresno	id=g:6360917
Sotillo	id=g:6360918
Sotosalbos	id=g:6360919
Tabanera la Luenga	id=g:6360920
Tolocirio	id=g:6360921
Torreadrada	id=g:6360922
Torrecaballeros	id=g:6360923
Torrecilla del Pinar	id=g:6360924
Torreiglesias	id=g:6360925
Torre Val de San Pedro	id=g:6360926
Trescasas	id=g:6360927
Turégano	id=g:6360928
Urueñas	id=g:6360929
Valdeprados	id=g:6360930
Valdevacas de Montejo	id=g:6360931
Valdevacas y Guijar	id=g:6360932
Valseca	id=g:6360933
Valtiendas	id=g:6360934
Valverde del Majano	id=g:6360935
Valle de Tabladillo	id=g:6360936
Vallelado	id=g:6360937
Valleruela de Pedraza	id=g:6360938
Valleruela de Sepúlveda	id=g:6360939
Veganzones	id=g:6360940
Vegas de Matute	id=g:6360941
Ventosilla y Tejadilla	id=g:6360942
Villacastín	id=g:6360943
Villaverde de Íscar	id=g:6360944
Villaverde de Montejo	id=g:6360945
Villeguillo	id=g:6360946
Yanguas de Eresma	id=g:6360947
Zarzuela del Monte	id=g:6360948
Zarzuela del Pinar	id=g:6360949
Ortigosa del Monte	id=g:6360950
Cozuelos de Fuentidueña	id=g:6360951
Marazoleja	id=g:6360952
Navas de Riofrío	id=g:6360953
Cuevas de Provanco	id=g:6360954
San Cristóbal de Segovia	id=g:6360955
Aguadulce	id=g:6360956
Alanís	id=g:6360957
Albaida del Aljarafe	id=g:6360958
Alcalá de Guadaíra	id=g:6360959
Alcalá del Río	id=g:6360960
Alcolea del Río	id=g:6360961
Algaba (La)	id=g:6360962
Algámitas	id=g:6360963
Almadén de la Plata	id=g:6360964
Almensilla	id=g:6360965
Arahal	id=g:6360966
Aznalcázar	id=g:6360967
Aznalcóllar	id=g:6360968
Badolatosa	id=g:6360969
Benacazón	id=g:6360970
Bollullos de la Mitación	id=g:6360971
Bormujos	id=g:6360972
Brenes	id=g:6360973
Burguillos	id=g:6360974
Cabezas de San Juan (Las)	id=g:6360975
Camas	id=g:6360976
Campana (La)	id=g:6360977
Cantillana	id=g:6360978
Carmona	id=g:6360979
Carrión de los Céspedes	id=g:6360980
Casariche	id=g:6360981
Castilblanco de los Arroyos	id=g:6360982
Castilleja de Guzmán	id=g:6360983
Castilleja de la Cuesta	id=g:6360984
Castilleja del Campo	id=g:6360985
Castillo de las Guardas (El)	id=g:6360986
Cazalla de la Sierra	id=g:6360987
Constantina	id=g:6360988
Coria del Río	id=g:6360989
Coripe	id=g:6360990
Coronil (El)	id=g:6360991
Corrales (Los)	id=g:6360992
Dos Hermanas	id=g:6360993
Écija	id=g:6360994
Espartinas	id=g:6360995
Estepa	id=g:6360996
Fuentes de Andalucía	id=g:6360997
Garrobo (El)	id=g:6360998
Gelves	id=g:6360999
Gerena	id=g:6361000
Gilena	id=g:6361001
Gines	id=g:6361002
Guadalcanal	id=g:6361003
Guillena	id=g:6361004
Herrera	id=g:6361005
Huévar del Aljarafe	id=g:6361006
Lantejuela (La)	id=g:6361007
Lebrija	id=g:6361008
Lora de Estepa	id=g:6361009
Lora del Río	id=g:6361010
Luisiana (La)	id=g:6361011
Madroño (El)	id=g:6361012
Mairena del Alcor	id=g:6361013
Mairena del Aljarafe	id=g:6361014
Marchena	id=g:6361015
Marinaleda	id=g:6361016
Martín de la Jara	id=g:6361017
Molares (Los)	id=g:6361018
Montellano	id=g:6361019
Morón de la Frontera	id=g:6361020
Navas de la Concepción (Las)	id=g:6361021
Olivares	id=g:6361022
Osuna	id=g:6361023
Palacios y Villafranca (Los)	id=g:6361024
Palomares del Río	id=g:6361025
Paradas	id=g:6361026
Pedrera	id=g:6361027
Pedroso (El)	id=g:6361028
Peñaflor	id=g:6361029
Pilas	id=g:6361030
Pruna	id=g:6361031
Puebla de Cazalla (La)	id=g:6361032
Puebla de los Infantes (La)	id=g:6361033
Puebla del Río (La)	id=g:6361034
Real de la Jara (El)	id=g:6361035
Rinconada (La)	id=g:6361036
Roda de Andalucía (La)	id=g:6361037
Ronquillo (El)	id=g:6361038
Rubio (El)	id=g:6361039
Salteras	id=g:6361040
San Juan de Aznalfarache	id=g:6361041
Sanlúcar la Mayor	id=g:6361042
San Nicolás del Puerto	id=g:6361043
Santiponce	id=g:6361044
Saucejo (El)	id=g:6361045
Seville	id=g:6361046
Tocina	id=g:6361047
Tomares	id=g:6361048
Umbrete	id=g:6361049
Utrera	id=g:6361050
Valencina de la Concepción	id=g:6361051
Villamanrique de la Condesa	id=g:6361052
Villanueva del Ariscal	id=g:6361053
Villanueva del Río y Minas	id=g:6361054
Villanueva de San Juan	id=g:6361055
Villaverde del Río	id=g:6361056
Viso del Alcor (El)	id=g:6361057
Cañada Rosal	id=g:6361058
Isla Mayor	id=g:6361059
Cuervo de Sevilla (El)	id=g:6361060
Abejar	id=g:6361061
Adradas	id=g:6361062
Ágreda	id=g:6361063
Alconaba	id=g:6361064
Alcubilla de Avellaneda	id=g:6361065
Alcubilla de las Peñas	id=g:6361066
Aldealafuente	id=g:6361067
Aldealices	id=g:6361068
Aldealpozo	id=g:6361069
Aldealseñor	id=g:6361070
Aldehuela de Periáñez	id=g:6361071
Aldehuelas (Las)	id=g:6361072
Alentisque	id=g:6361073
Aliud	id=g:6361074
Almajano	id=g:6361075
Almaluez	id=g:6361076
Almarza	id=g:6361077
Almazán	id=g:6361078
Almazul	id=g:6361079
Almenar de Soria	id=g:6361080
Alpanseque	id=g:6361081
Arancón	id=g:6361082
Arcos de Jalón	id=g:6361083
Arenillas	id=g:6361084
Arévalo de la Sierra	id=g:6361085
Ausejo de la Sierra	id=g:6361086
Baraona	id=g:6361087
Barca	id=g:6361088
Barcones	id=g:6361089
Bayubas de Abajo	id=g:6361090
Bayubas de Arriba	id=g:6361091
Beratón	id=g:6361092
Berlanga de Duero	id=g:6361093
Blacos	id=g:6361094
Bliecos	id=g:6361095
Borjabad	id=g:6361096
Borobia	id=g:6361097
Buberos	id=g:6361098
Buitrago	id=g:6361099
Burgo de Osma-Ciudad de Osma	id=g:6361100
Cabrejas del Campo	id=g:6361101
Cabrejas del Pinar	id=g:6361102
Calatañazor	id=g:6361103
Caltojar	id=g:6361104
Candilichera	id=g:6361105
Cañamaque	id=g:6361106
Carabantes	id=g:6361107
Caracena	id=g:6361108
Carrascosa de Abajo	id=g:6361109
Carrascosa de la Sierra	id=g:6361110
Casarejos	id=g:6361111
Castilfrío de la Sierra	id=g:6361112
Castilruiz	id=g:6361113
Castillejo de Robledo	id=g:6361114
Centenera de Andaluz	id=g:6361115
Cerbón	id=g:6361116
Cidones	id=g:6361117
Cigudosa	id=g:6361118
Cihuela	id=g:6361119
Ciria	id=g:6361120
Cirujales del Río	id=g:6361121
Coscurita	id=g:6361122
Covaleda	id=g:6361123
Cubilla	id=g:6361124
Cubo de la Solana	id=g:6361125
Cueva de Ágreda	id=g:6361126
Dévanos	id=g:6361127
Deza	id=g:6361128
Duruelo de la Sierra	id=g:6361129
Escobosa de Almazán	id=g:6361130
Espeja de San Marcelino	id=g:6361131
Espejón	id=g:6361132
Estepa de San Juan	id=g:6361133
Frechilla de Almazán	id=g:6361134
Fresno de Caracena	id=g:6361135
Fuentearmegil	id=g:6361136
Fuentecambrón	id=g:6361137
Fuentecantos	id=g:6361138
Fuentelmonge	id=g:6361139
Fuentelsaz de Soria	id=g:6361140
Fuentepinilla	id=g:6361141
Fuentes de Magaña	id=g:6361142
Fuentestrún	id=g:6361143
Garray	id=g:6361144
Golmayo	id=g:6361145
Gómara	id=g:6361146
Gormaz	id=g:6361147
Herrera de Soria	id=g:6361148
Hinojosa del Campo	id=g:6361149
Langa de Duero	id=g:6361150
Liceras	id=g:6361151
Losilla (La)	id=g:6361152
Magaña	id=g:6361153
Maján	id=g:6361154
Matalebreras	id=g:6361155
Matamala de Almazán	id=g:6361156
Medinaceli	id=g:6361157
Miño de Medinaceli	id=g:6361158
Miño de San Esteban	id=g:6361159
Molinos de Duero	id=g:6361160
Momblona	id=g:6361161
Monteagudo de las Vicarías	id=g:6361162
Montejo de Tiermes	id=g:6361163
Montenegro de Cameros	id=g:6361164
Morón de Almazán	id=g:6361165
Muriel de la Fuente	id=g:6361166
Muriel Viejo	id=g:6361167
Nafría de Ucero	id=g:6361168
Narros	id=g:6361169
Navaleno	id=g:6361170
Nepas	id=g:6361171
Nolay	id=g:6361172
Noviercas	id=g:6361173
Ólvega	id=g:6361174
Oncala	id=g:6361175
Pinilla del Campo	id=g:6361176
Portillo de Soria	id=g:6361177
Póveda de Soria (La)	id=g:6361178
Pozalmuro	id=g:6361179
Quintana Redonda	id=g:6361180
Quintanas de Gormaz	id=g:6361181
Quiñonería	id=g:6361182
Rábanos (Los)	id=g:6361183
Rebollar	id=g:6361184
Recuerda	id=g:6361185
Rello	id=g:6361186
Renieblas	id=g:6361187
Retortillo de Soria	id=g:6361188
Reznos	id=g:6361189
Riba de Escalote (La)	id=g:6361190
Rioseco de Soria	id=g:6361191
Rollamienta	id=g:6361192
Royo (El)	id=g:6361193
Salduero	id=g:6361194
San Esteban de Gormaz	id=g:6361195
San Felices	id=g:6361196
San Leonardo de Yagüe	id=g:6361197
San Pedro Manrique	id=g:6361198
Santa Cruz de Yanguas	id=g:6361199
Santa María de Huerta	id=g:6361200
Santa María de las Hoyas	id=g:6361201
Serón de Nágima	id=g:6361202
Soliedra	id=g:6361203
Soria	id=g:6361204
Sotillo del Rincón	id=g:6361205
Suellacabras	id=g:6361206
Tajahuerce	id=g:6361207
Tajueco	id=g:6361208
Talveila	id=g:6361209
Tardelcuende	id=g:6361210
Taroda	id=g:6361211
Tejado	id=g:6361212
Torlengua	id=g:6361213
Torreblacos	id=g:6361214
Torrubia de Soria	id=g:6361215
Trévago	id=g:6361216
Ucero	id=g:6361217
Vadillo	id=g:6361218
Valdeavellano de Tera	id=g:6361219
Valdegeña	id=g:6361220
Valdelagua del Cerro	id=g:6361221
Valdemaluque	id=g:6361222
Valdenebro	id=g:6361223
Valdeprado	id=g:6361224
Valderrodilla	id=g:6361225
Valtajeros	id=g:6361226
Velamazán	id=g:6361227
Velilla de la Sierra	id=g:6361228
Velilla de los Ajos	id=g:6361229
Viana de Duero	id=g:6361230
Villaciervos	id=g:6361231
Villanueva de Gormaz	id=g:6361232
Villar del Ala	id=g:6361233
Villar del Campo	id=g:6361234
Villar del Río	id=g:6361235
Villares de Soria (Los)	id=g:6361236
Villasayas	id=g:6361237
Villaseca de Arciel	id=g:6361238
Vinuesa	id=g:6361239
Vizmanos	id=g:6361240
Vozmediano	id=g:6361241
Yanguas	id=g:6361242
Yelo	id=g:6361243
Aiguamúrcia	id=g:6361244
Albinyana	id=g:6361245
l'Albiol	id=g:6361246
Alcanar	id=g:6361247
Alcover	id=g:6361248
Aldover	id=g:6361249
l'Aleixar	id=g:6361250
Alfara de Carles	id=g:6361251
Alforja	id=g:6361252
Alió	id=g:6361253
Almoster	id=g:6361254
Altafulla	id=g:6361255
l'Ametlla de Mar	id=g:6361256
Amposta	id=g:6361257
Arbolí	id=g:6361258
l'Arboç	id=g:6361259
l'Argentera	id=g:6361260
Arnes	id=g:6361261
Ascó	id=g:6361262
Banyeres del Penedès	id=g:6361263
Barberà de la Conca	id=g:6361264
Batea	id=g:6361265
Bellmunt del Priorat	id=g:6361266
Bellvei	id=g:6361267
Benifallet	id=g:6361268
Benissanet	id=g:6361269
Bisbal de Falset (La)	id=g:6361270
la Bisbal del Penedès	id=g:6361271
Blancafort	id=g:6361272
Bonastre	id=g:6361273
les Borges del Camp	id=g:6361274
Bot	id=g:6361275
Botarell	id=g:6361276
Bràfim	id=g:6361277
Cabacés	id=g:6361278
Cabra del Camp	id=g:6361279
Calafell	id=g:6361280
Cambrils	id=g:6361281
Capafonts	id=g:6361282
Capçanes	id=g:6361283
Caseres	id=g:6361284
Castellvell del Camp	id=g:6361285
el Catllar	id=g:6361286
la Sénia	id=g:6361287
Colldejou	id=g:6361288
Conesa	id=g:6361289
Constantí	id=g:6361290
Corbera d'Ebre	id=g:6361291
Cornudella de Montsant	id=g:6361292
Creixell	id=g:6361293
Cunit	id=g:6361294
Aldover	id=g:6361295
Duesaigües	id=g:6361296
l'Espluga de Francolí	id=g:6361297
Falset	id=g:6361298
la Fatarella	id=g:6361299
la Febró	id=g:6361300
la Figuera	id=g:6361301
Figuerola del Camp	id=g:6361302
Flix	id=g:6361303
Forès	id=g:6361304
Freginals	id=g:6361305
la Galera	id=g:6361306
Gandesa	id=g:6361307
Garcia	id=g:6361308
els Garidells	id=g:6361309
Ginestar	id=g:6361310
Godall	id=g:6361311
Gratallops	id=g:6361312
els Guiamets	id=g:6361313
Horta de Sant Joan	id=g:6361314
el Lloar	id=g:6361315
Llorac	id=g:6361316
Llorenç del Penedès	id=g:6361317
Margalef	id=g:6361318
Marçà	id=g:6361319
Mas de Barberans	id=g:6361320
Masdenverge	id=g:6361321
Masllorenç	id=g:6361322
la Masó	id=g:6361323
Maspujols	id=g:6361324
el Masroig	id=g:6361325
el Milà	id=g:6361326
Miravet	id=g:6361327
el Molar	id=g:6361328
Montblanc	id=g:6361329
Montbrió del Camp	id=g:6361330
Montferri	id=g:6361331
el Montmell	id=g:6361332
Mont-ral	id=g:6361333
Mont-roig del Camp	id=g:6361334
Móra d'Ebre	id=g:6361335
Móra la Nova	id=g:6361336
el Morell	id=g:6361337
la Morera de Montsant	id=g:6361338
la Nou de Gaià	id=g:6361339
Nulles	id=g:6361340
la Palma d'Ebre	id=g:6361341
els Pallaresos	id=g:6361342
Passanant i Belltall	id=g:6361343
Paüls	id=g:6361344
Perafort	id=g:6361345
el Perelló	id=g:6361346
les Piles	id=g:6361347
el Pinell de Brai	id=g:6361348
Pira	id=g:6361349
el Pla de Santa Maria	id=g:6361350
la Pobla de Mafumet	id=g:6361351
la Pobla de Massaluca	id=g:6361352
la Pobla de Montornès	id=g:6361353
Poboleda	id=g:6361354
el Pont d'Armentera	id=g:6361355
Porrera	id=g:6361356
Pradell de la Teixeta	id=g:6361357
Prades	id=g:6361358
Prat de Comte	id=g:6361359
Pratdip	id=g:6361360
Puigpelat	id=g:6361361
Querol	id=g:6361362
Rasquera	id=g:6361363
Renau	id=g:6361364
Reus	id=g:6361365
la Riba	id=g:6361366
Riba-roja d'Ebre	id=g:6361367
la Riera de Gaià	id=g:6361368
Riudecanyes	id=g:6361369
Riudecols	id=g:6361370
Riudoms	id=g:6361371
Rocafort de Queralt	id=g:6361372
Roda de Barà	id=g:6361373
Rodonyà	id=g:6361374
Roquetes	id=g:6361375
el Rourell	id=g:6361376
Salomó	id=g:6361377
Sant Carles de la Ràpita	id=g:6361378
Sant Jaume dels Domenys	id=g:6361379
Santa Bàrbara	id=g:6361380
Santa Coloma de Queralt	id=g:6361381
Santa Oliva	id=g:6361382
Pontils	id=g:6361383
Sarral	id=g:6361384
Savallà del Comtat	id=g:6361385
la Secuita	id=g:6361386
la Selva del Camp	id=g:6361387
Senan	id=g:6361388
Solivella	id=g:6361389
Tarragona	id=g:6361390
Tivenys	id=g:6361391
Tivissa	id=g:6361392
la Torre de Fontaubella	id=g:6361393
la Torre de l'Espanyol	id=g:6361394
Torredembarra	id=g:6361395
Torroja del Priorat	id=g:6361396
Tortosa	id=g:6361397
Ulldecona	id=g:6361398
Ulldemolins	id=g:6361399
Vallclara	id=g:6361400
Vallfogona de Riucorb	id=g:6361401
Vallmoll	id=g:6361402
Valls	id=g:6361403
Vandellòs i l'Hospitalet de l'Infant	id=g:6361404
el Vendrell	id=g:6361405
Vespella de Gaià	id=g:6361406
Vilabella	id=g:6361407
Vilallonga del Camp	id=g:6361408
Vilanova d'Escornalbou	id=g:6361409
Vilanova de Prades	id=g:6361410
Vilaplana	id=g:6361411
Vila-rodona	id=g:6361412
Vila-seca	id=g:6361413
Vilaverd	id=g:6361414
la Vilella Alta	id=g:6361415
la Vilella Baixa	id=g:6361416
Vilalba dels Arcs	id=g:6361417
Vimbodí	id=g:6361418
Vinebre	id=g:6361419
Vinyols i els Arcs	id=g:6361420
Deltebre	id=g:6361421
Sant Jaume d'Enveja	id=g:6361422
Camarles	id=g:6361423
l'Aldea	id=g:6361424
Salou	id=g:6361425
l'Ampolla	id=g:6361426
Ababuj	id=g:6361427
Abejuela	id=g:6361428
Aguatón	id=g:6361429
Aguaviva	id=g:6361430
Aguilar del Alfambra	id=g:6361431
Alacón	id=g:6361432
Alba	id=g:6361433
Albalate del Arzobispo	id=g:6361434
Albarracín	id=g:6361435
Albentosa	id=g:6361436
Alcaine	id=g:6361437
Alcalá de la Selva	id=g:6361438
Alcañiz	id=g:6361439
Alcorisa	id=g:6361440
Alfambra	id=g:6361441
Aliaga	id=g:6361442
Almohaja	id=g:6361443
Alobras	id=g:6361444
Alpeñés	id=g:6361445
Allepuz	id=g:6361446
Alloza	id=g:6361447
Allueva	id=g:6361448
Anadón	id=g:6361449
Andorra	id=g:6361450
Arcos de las Salinas	id=g:6361451
Arenys de Lledó  / Arens de Lledó	id=g:6361452
Argente	id=g:6361453
Ariño	id=g:6361454
Azaila	id=g:6361455
Bádenas	id=g:6361456
Báguena	id=g:6361457
Bañón	id=g:6361458
Barrachina	id=g:6361459
Bea	id=g:6361460
Beseit / Beceite	id=g:6361461
Bellmunt de Mesquí / Belmonte de San José	id=g:6361462
Bello	id=g:6361463
Berge	id=g:6361464
Bezas	id=g:6361465
Blancas	id=g:6361466
Blesa	id=g:6361467
Bordón	id=g:6361468
Bronchales	id=g:6361469
Bueña	id=g:6361470
Burbáguena	id=g:6361471
Cabra de Mora	id=g:6361472
Calaceite	id=g:6361473
Calamocha	id=g:6361474
Calanda	id=g:6361475
Calomarde	id=g:6361476
Camañas	id=g:6361477
Camarena de la Sierra	id=g:6361478
Camarillas	id=g:6361479
Caminreal	id=g:6361480
Cantavieja	id=g:6361481
Cañada de Benatanduz	id=g:6361482
Cañada de Verich (La)	id=g:6361483
Cañada Vellida	id=g:6361484
Cañizar del Olivar	id=g:6361485
Cascante del Río	id=g:6361486
Castejón de Tornos	id=g:6361487
Castel de Cabra	id=g:6361488
Castelnou	id=g:6361489
Castelserás	id=g:6361490
El Castellar	id=g:6361491
Castellote	id=g:6361492
Cedrillas	id=g:6361493
Celadas	id=g:6361494
Cella	id=g:6361495
Cerollera (La)	id=g:6361496
Codoñera (La)	id=g:6361497
Corbalán	id=g:6361498
Cortes de Aragón	id=g:6361499
Cosa	id=g:6361500
Cretas	id=g:6361501
Crivillén	id=g:6361502
Cuba (La)	id=g:6361503
Cubla	id=g:6361504
Cucalón	id=g:6361505
Cuervo (El)	id=g:6361506
Cuevas de Almudén	id=g:6361507
Cuevas Labradas	id=g:6361508
Ejulve	id=g:6361509
Escorihuela	id=g:6361510
Escucha	id=g:6361511
Estercuel	id=g:6361512
Ferreruela de Huerva	id=g:6361513
Fonfría	id=g:6361514
Formiche Alto	id=g:6361515
Fórnoles	id=g:6361516
Fortanete	id=g:6361517
Foz-Calanda	id=g:6361518
Fresneda (La)	id=g:6361519
Frías de Albarracín	id=g:6361520
Fuenferrada	id=g:6361521
Fuentes Calientes	id=g:6361522
Fuentes Claras	id=g:6361523
Fuentes de Rubielos	id=g:6361524
Fuentespalda	id=g:6361525
Galve	id=g:6361526
Gargallo	id=g:6361527
Gea de Albarracín	id=g:6361528
La Ginebrosa	id=g:6361529
Griegos	id=g:6361530
Guadalaviar	id=g:6361531
Gúdar	id=g:6361532
Híjar	id=g:6361533
Hinojosa de Jarque	id=g:6361534
Hoz de la Vieja (La)	id=g:6361535
Huesa del Común	id=g:6361536
La Iglesuela del Cid	id=g:6361537
Jabaloyas	id=g:6361538
Jarque de la Val	id=g:6361539
Jatiel	id=g:6361540
Jorcas	id=g:6361541
Josa	id=g:6361542
Lagueruela	id=g:6361543
Lanzuela	id=g:6361544
Libros	id=g:6361545
Lidón	id=g:6361546
Linares de Mora	id=g:6361547
Loscos	id=g:6361548
Lledó	id=g:6361549
Maicas	id=g:6361550
Manzanera	id=g:6361551
Martín del Río	id=g:6361552
Mas de las Matas	id=g:6361553
Mata de los Olmos (La)	id=g:6361554
Mazaleón	id=g:6361555
Mezquita de Jarque	id=g:6361556
Miravete de la Sierra	id=g:6361557
Molinos	id=g:6361558
Monforte de Moyuela	id=g:6361559
Monreal del Campo	id=g:6361560
Monroyo	id=g:6361561
Montalbán	id=g:6361562
Monteagudo del Castillo	id=g:6361563
Monterde de Albarracín	id=g:6361564
Mora de Rubielos	id=g:6361565
Moscardón	id=g:6361566
Mosqueruela	id=g:6361567
Muniesa	id=g:6361568
Noguera de Albarracín	id=g:6361569
Nogueras	id=g:6361570
Nogueruelas	id=g:6361571
Obón	id=g:6361572
Odón	id=g:6361573
Ojos Negros	id=g:6361574
Olba	id=g:6361575
Oliete	id=g:6361576
Olmos (Los)	id=g:6361577
Orihuela del Tremedal	id=g:6361578
Orrios	id=g:6361579
Palomar de Arroyos	id=g:6361580
Pancrudo	id=g:6361581
Parras de Castellote (Las)	id=g:6361582
Peñarroya de Tastavins	id=g:6361583
Peracense	id=g:6361584
Peralejos	id=g:6361585
Perales del Alfambra	id=g:6361586
Pitarque	id=g:6361587
Plou	id=g:6361588
Pobo (El)	id=g:6361589
Portellada (La)	id=g:6361590
Pozondón	id=g:6361591
Pozuel del Campo	id=g:6361592
Puebla de Híjar (La)	id=g:6361593
Puebla de Valverde (La)	id=g:6361594
Puertomingalvo	id=g:6361595
Ráfales	id=g:6361596
Rillo	id=g:6361597
Riodeva	id=g:6361598
Ródenas	id=g:6361599
Royuela	id=g:6361600
Rubiales	id=g:6361601
Rubielos de la Cérida	id=g:6361602
Rubielos de Mora	id=g:6361603
Salcedillo	id=g:6361604
Saldón	id=g:6361605
Samper de Calanda	id=g:6361606
San Agustín	id=g:6361607
San Martín del Río	id=g:6361608
Santa Cruz de Nogueras	id=g:6361609
Santa Eulalia	id=g:6361610
Sarrión	id=g:6361611
Segura de los Baños	id=g:6361612
Seno	id=g:6361613
Singra	id=g:6361614
Terriente	id=g:6361615
Teruel	id=g:6361616
Toril y Masegoso	id=g:6361617
Tormón	id=g:6361618
Tornos	id=g:6361619
Torralba de los Sisones	id=g:6361620
Torrecilla de Alcañiz	id=g:6361621
