Fundo Las Moritas	id=g:3635650
La Lajita	id=g:3637416
Quebrada La Laja	id=g:3637417
Quebrada La Laja	id=g:3637418
Quebrada La Laja	id=g:3637419
Punta La Laja	id=g:3637420
Caño La Laja	id=g:3637421
La Laja	id=g:3637422
La Laja	id=g:3637423
La Laja	id=g:3637424
La Laja	id=g:3637425
La Laja	id=g:3637426
La Laja	id=g:3637427
La Laja	id=g:3637428
Laguna La Lagunota	id=g:3637429
Laguna La Lagunota	id=g:3637430
Laguna La Lagunota	id=g:3637431
Fundo La Lagunota	id=g:3637432
Quebrada La Lagunita	id=g:3637433
Mesa La Lagunita	id=g:3637434
Hacienda La Lagunita	id=g:3637435
Hacienda La Lagunita	id=g:3637436
Hacienda La Lagunita	id=g:3637437
La Lagunita	id=g:3637438
La Lagunita	id=g:3637439
La Lagunita	id=g:3637440
La Lagunita	id=g:3637441
La Lagunita	id=g:3637442
La Lagunita	id=g:3637443
La Lagunita	id=g:3637444
La Lagunita	id=g:3637445
La Lagunita	id=g:3637446
La Lagunita	id=g:3637447
La Lagunita	id=g:3637448
La Lagunita	id=g:3637449
Hato La Laguna	id=g:3637450
Hato La Laguna	id=g:3637451
Fundo La Laguna	id=g:3637452
Caño La Laguna	id=g:3637453
La Laguna	id=g:3637454
La Laguna	id=g:3637455
La Laguna	id=g:3637456
La Laguna	id=g:3637457
La Laguna	id=g:3637458
La Laguna	id=g:3637459
La Laguna	id=g:3637460
La Laguna	id=g:3637461
La Laguna	id=g:3637462
La Laguna	id=g:3637463
La Laguna	id=g:3637464
La Laguna	id=g:3637465
La Laguna	id=g:3637466
La Laguna	id=g:3637467
La Laguna	id=g:3637468
La Laguna	id=g:3637469
Filo La Ladera	id=g:3637470
La Ladera	id=g:3637471
La Lacera	id=g:3637472
La Juvita	id=g:3637473
La Juventud	id=g:3637474
Quebrada La Justa	id=g:3637475
Fila La Justa	id=g:3637476
Quebrada La Juncia	id=g:3637477
La Julieta	id=g:3637478
La Julia	id=g:3637479
Fundo La Juanera	id=g:3637480
Fundo La Juanera	id=g:3637481
La Juandiera	id=g:3637482
La Juajuita	id=g:3637483
La Joya	id=g:3637484
La Joya	id=g:3637485
La Joya	id=g:3637486
Fundo La Josefina	id=g:3637487
La Josefina	id=g:3637488
La Josefina	id=g:3637489
La Josefina	id=g:3637490
La Joseera	id=g:3637491
La Jobera	id=g:3637492
Hacienda La Jeringa	id=g:3637493
La Java	id=g:3637494
Río Lajas	id=g:3637495
Paso de las Lajas	id=g:3637496
La Jarilla	id=g:3637497
La Jara	id=g:3637498
Fila Laja Negra	id=g:3637499
Laja Mosquito	id=g:3637500
La Jalapa	id=g:3637501
Laja Jeboa	id=g:3637502
La Jagua	id=g:3637503
La Jabilla Afuera	id=g:3637504
La Jabilla Adentro	id=g:3637505
Laja Arrendojo	id=g:3637506
Río Laisme	id=g:3637507
Isla La Islita	id=g:3637508
La Islita	id=g:3637509
La Isleta	id=g:3637510
La Isleta	id=g:3637511
La Isla	id=g:3637512
La Isla	id=g:3637513
La Isla	id=g:3637514
La Isla	id=g:3637515
La Isla	id=g:3637516
La Isla	id=g:3637517
Hato La Inversión	id=g:3637518
La Inglesa	id=g:3637519
La Inglesa	id=g:3637520
La Infantera	id=g:3637521
Quebrada La India	id=g:3637522
Punta La India	id=g:3637523
Hato La India	id=g:3637524
Fundo La India	id=g:3637525
Cerro La India	id=g:3637526
La India	id=g:3637527
La India	id=g:3637528
La India	id=g:3637529
La Independencia	id=g:3637530
La Imperial	id=g:3637531
Sabana La Iguana	id=g:3637532
Quebrada La Iguana	id=g:3637533
Hacienda La Iguana	id=g:3637534
Cerro La Iguana	id=g:3637535
Caño La Iguana	id=g:3637536
La Iguana	id=g:3637537
La Iguana	id=g:3637538
La Iguana	id=g:3637539
La Iguana	id=g:3637540
Morro La Iglesia	id=g:3637541
Hato La Idea	id=g:3637542
Fundo La Idea	id=g:3637543
La Idea	id=g:3637544
La Idea	id=g:3637545
La Idea	id=g:3637546
La Idea	id=g:3637547
La Idea	id=g:3637548
La Icoleta	id=g:3637549
La Iberia	id=g:3637550
Hato La Husmalera	id=g:3637551
La Huertica	id=g:3637552
La Huerfunita	id=g:3637553
La Huérfana	id=g:3637554
La Hoyadita	id=g:3637555
La Hoyadita	id=g:3637556
La Hoyada	id=g:3637557
La Hoyada	id=g:3637558
La Hoyada	id=g:3637559
La Hoyada	id=g:3637560
La Hoyada	id=g:3637561
La Hoya	id=g:3637562
Sabanas de La Horqueta	id=g:3637563
Quebrada Horqueta	id=g:3637564
Quebrada La Horqueta	id=g:3637565
Laguna La Horqueta	id=g:3637566
Hato La Horqueta	id=g:3637567
Hato La Horqueta	id=g:3637568
Ensenada La Horqueta	id=g:3637569
Cerro La Horqueta	id=g:3637570
La Horqueta	id=g:3637571
La Horqueta	id=g:3637572
La Horqueta	id=g:3637573
La Horqueta	id=g:3637574
La Horqueta	id=g:3637575
La Horqueta	id=g:3637576
La Horqueta	id=g:3637577
La Horqueta	id=g:3637578
La Horqueta	id=g:3637579
La Horqueta	id=g:3637580
La Horqueta	id=g:3637581
La Horqueta	id=g:3637582
La Horqueta	id=g:3637583
La Horqueta	id=g:3637584
La Horqueta	id=g:3637585
La Hormiguera	id=g:3637586
Río La Hormiga	id=g:3637587
La Hormiga	id=g:3637588
La Hormiga	id=g:3637589
La Horcaz	id=g:3637590
Punta La Horca	id=g:3637591
Pico La Hondonada	id=g:3637592
La Hondonada	id=g:3637593
La Hondonada	id=g:3637594
Quebrada La Honda	id=g:3637595
La Honda	id=g:3637596
La Honda	id=g:3637597
Hato La Hogaza	id=g:3637598
La Hogaza	id=g:3637599
La Herrera	id=g:3637600
La Hermosa	id=g:3637601
Quebrada La Hermana	id=g:3637602
La Hermana	id=g:3637603
Caño La Hebilla	id=g:3637604
Hato La Hamaca	id=g:3637605
La Hacienda	id=g:3637606
La Hacienda	id=g:3637607
La Gutierreña	id=g:3637608
Sabanas de Lagunota	id=g:3637609
Lagunota	id=g:3637610
Lagunitas	id=g:3637611
Lagunitas	id=g:3637612
Lagunita Barrancones	id=g:3637613
Quebrada Lagunita	id=g:3637614
Lagunita	id=g:3637615
Lagunita	id=g:3637616
Lagunita	id=g:3637617
Lagunita	id=g:3637618
Lagunita	id=g:3637619
Lagunita	id=g:3637620
Lagunita	id=g:3637621
Ciénaga de Lagunillas	id=g:3637622
Lagunillas	id=g:3637623
Lagunillas	id=g:3637624
Lagunillas	id=g:3637625
Lagunillas	id=g:3637626
Lagunetica	id=g:3637627
Río Lagunetas	id=g:3637628
Laguna Lagunetas	id=g:3637629
Lagunetas	id=g:3637630
Sabanas de Laguneta	id=g:3637631
Laguna Laguneta	id=g:3637632
Hato Laguneta	id=g:3637633
Laguneta	id=g:3637634
Laguneta	id=g:3637635
Laguneta	id=g:3637636
Laguneta	id=g:3637637
Laguna Vieja	id=g:3637638
Laguna Verde	id=g:3637639
Laguna Sucia	id=g:3637640
Fundo Laguna Seca	id=g:3637641
Laguna Seca	id=g:3637642
Laguna Seca	id=g:3637643
Laguna Seca	id=g:3637644
Laguna Salada	id=g:3637645
Lagunarta	id=g:3637646
Laguna Rica	id=g:3637647
Punta de Laguna Raya	id=g:3637648
Laguna Pelada	id=g:3637649
Laguna Nueva	id=g:3637650
Laguna Marcos	id=g:3637651
Río Laguna Larga	id=g:3637652
Fundo Laguna Larga	id=g:3637653
Laguna Larga	id=g:3637654
Laguna Honda	id=g:3637655
Sabanas de Laguna Hermosa	id=g:3637656
Fundo Laguna Hermosa	id=g:3637657
Laguna Hermosa	id=g:3637658
Laguna Hermosa	id=g:3637659
Laguna Grande	id=g:3637660
Laguna Grande	id=g:3637661
Laguna Escondida	id=g:3637662
Laguna Escondida	id=g:3637663
Punta Laguna de Raya	id=g:3637664
Laguna de Raya	id=g:3637665
Asentamiento Campesino Laguna de Piedra	id=g:3637666
Hato Laguna de Piedra	id=g:3637667
Laguna de Piedra	id=g:3637668
Laguna de Baba	id=g:3637669
Hato Laguna Clara	id=g:3637670
Laguna Baba	id=g:3637671
Fundo Laguna Azul	id=g:3637672
Laguna Amarilla	id=g:3637673
Hato Laguna Alta	id=g:3637674
Fundo Laguna Alta	id=g:3637675
Laguna Alta	id=g:3637676
Laguna Alta	id=g:3637677
Laguna	id=g:3637678
Lagunas	id=g:3637679
Laguna	id=g:3637680
Cerro de La Guayra	id=g:3637681
La Guayana	id=g:3637682
La Guayana	id=g:3637683
La Guayaba	id=g:3637684
La Guasimita	id=g:3637685
La Guasimita	id=g:3637686
Caño La Guásima	id=g:3637687
La Guásima	id=g:3637688
La Guásima	id=g:3637689
La Guásima	id=g:3637690
La Guásima	id=g:3637691
Quebrada La Guasduillas	id=g:3637692
Quebrada La Guasduilla	id=g:3637693
La Guasduilla	id=g:3637694
La Guarura	id=g:3637695
Quebrada La Guarita	id=g:3637696
La Guariqueña	id=g:3637697
La Guarena	id=g:3637698
Ensenada La Guardia	id=g:3637699
Ensenada La Guardia	id=g:3637700
Caño La Guardia	id=g:3637701
La Guardia	id=g:3637702
La Guarandinga	id=g:3637703
La Guaramita	id=g:3637704
La Guapa	id=g:3637705
Laguna La Guanota	id=g:3637706
Fundo La Guanota	id=g:3637707
La Guanota	id=g:3637708
La Guamita	id=g:3637709
La Guamita	id=g:3637710
La Guamita	id=g:3637711
La Guamita	id=g:3637712
La Guamita	id=g:3637713
La Guama	id=g:3637714
La Guama	id=g:3637715
La Guama	id=g:3637716
Hacienda La Guajira	id=g:3637717
Quebrada La Guaira	id=g:3637718
Fundo La Guaira	id=g:3637719
La Guaira	id=g:3637720
La Guaira	id=g:3637721
La Guaira	id=g:3637722
Río Laguaga	id=g:3637723
La Guafilla	id=g:3637724
La Guadalupe	id=g:3637725
La Guadalupe	id=g:3637726
La Guadalupe	id=g:3637727
La Guadalupe	id=g:3637728
La Guacharaca	id=g:3637729
La Guacharaca	id=g:3637730
La Guacharaca	id=g:3637731
Hato La Guacamaya	id=g:3637732
Fila La Guacamaya	id=g:3637733
La Guacamaya	id=g:3637734
La Guacamaya	id=g:3637735
La Guabinita	id=g:3637736
La Gruta	id=g:3637737
La Grulla	id=g:3637738
La Grillera	id=g:3637739
La Greda	id=g:3637740
La Granza	id=g:3637741
La Gran Via	id=g:3637742
La Gran Sabana	id=g:3637743
La Gran Parada	id=g:3637744
La Gran Parada	id=g:3637745
La Granja	id=g:3637746
La Granja	id=g:3637747
La Granja	id=g:3637748
La Granadina	id=g:3637749
La Gracia	id=g:3637750
La Goya	id=g:3637751
La Gotera	id=g:3637752
Quebrada La González	id=g:3637753
La González	id=g:3637754
Río La González	id=g:3637755
La Gonzalera	id=g:3637756
Quebrada Lagonel	id=g:3637757
La Gomera	id=g:3637758
La Gomera	id=g:3637759
Balneario Lago Mar	id=g:3637760
La Goma	id=g:3637761
Hacienda La Golondrina	id=g:3637762
Punta La Goleta	id=g:3637763
Fila La Goleta	id=g:3637764
La Glorieta	id=g:3637765
Sabanas de La Gloria	id=g:3637766
Montaña La Gloria	id=g:3637767
Hato La Gloria	id=g:3637768
Fundo La Gloria	id=g:3637769
Fundo La Gloria	id=g:3637770
Cerro La Gloria	id=g:3637771
La Gloria	id=g:3637772
La Gloria	id=g:3637773
La Gloria	id=g:3637774
La Gloria	id=g:3637775
La Gloria	id=g:3637776
La Gloria	id=g:3637777
La Gira	id=g:3637778
La Gimenera	id=g:3637779
Quebrada La Ge	id=g:3637780
La Gavilana	id=g:3637781
La Gavilana	id=g:3637782
La Gavilana	id=g:3637783
Quebrada La Gavidia	id=g:3637784
La Gata	id=g:3637785
La Garza	id=g:3637786
La Garza	id=g:3637787
La Garza	id=g:3637788
Quebrada La Garúa	id=g:3637789
Hato La Garúa	id=g:3637790
Río Lagarto	id=g:3637791
Lagarto	id=g:3637792
Río Lagartijo	id=g:3637793
Embalse Lagartijo	id=g:3637794
Lagartijo	id=g:3637795
Hacienda La Garrapata	id=g:3637796
Quebrada La Garita	id=g:3637797
La Garcita	id=g:3637798
La Ganga	id=g:3637799
Fundo La Gamarra	id=g:3637800
La Gamarra	id=g:3637801
Isla La Gallina	id=g:3637802
La Gallina	id=g:3637803
La Gallina	id=g:3637804
La Gallera	id=g:3637805
La Gallera	id=g:3637806
La Gallera	id=g:3637807
La Gallardera	id=g:3637808
La Gallardera	id=g:3637809
La Galia	id=g:3637810
La Galerita	id=g:3637811
La Galeria	id=g:3637812
Cerro La Galera	id=g:3637813
La Galera	id=g:3637814
La Galera	id=g:3637815
La Galera	id=g:3637816
La Galera	id=g:3637817
La Galera	id=g:3637818
La Fundación	id=g:3637819
Quebrada La Fundación	id=g:3637820
Hato La Fundación	id=g:3637821
La Fundación	id=g:3637822
La Fundación	id=g:3637823
La Fundación	id=g:3637824
La Fundacion	id=g:3637825
La Fundación	id=g:3637826
La Fundación	id=g:3637827
La Fundación	id=g:3637828
La Fundación	id=g:3637829
La Fundación	id=g:3637830
La Fundación	id=g:3637831
La Fundación	id=g:3637832
La Fundación	id=g:3637833
La Fundación	id=g:3637834
La Fundación	id=g:3637835
La Fundación	id=g:3637836
La Funcia	id=g:3637837
La Funcia	id=g:3637838
Morichal La Fuente	id=g:3637839
La Fuente	id=g:3637840
La Frontina	id=g:3637841
La Frontera	id=g:3637842
La Frontera	id=g:3637843
La Frontera	id=g:3637844
Hacienda La Frieña	id=g:3637845
Quebrada La Fría	id=g:3637846
Cerro La Fría	id=g:3637847
La Fría	id=g:3637848
La Fria	id=g:3637849
Asentamiento La Franquera	id=g:3637850
La Franquera	id=g:3637851
La Francia	id=g:3637852
La Francia	id=g:3637853
La Fragua	id=g:3637854
La Fragua	id=g:3637855
La Fragua	id=g:3637856
Hato La Forzosa	id=g:3637857
Sitio La Fortuna	id=g:3637858
Hato La Fortuna	id=g:3637859
Fundo La Fortuna	id=g:3637860
Fundo La Fortuna	id=g:3637861
Fila La Fortuna	id=g:3637862
La Fortuna	id=g:3637863
La Fortuna	id=g:3637864
La Fortuna	id=g:3637865
La Fortuna	id=g:3637866
La Fortuna	id=g:3637867
La Fortuna	id=g:3637868
La Fortuna	id=g:3637869
La Fortuna	id=g:3637870
La Fortuna	id=g:3637871
La Fortuna	id=g:3637872
La Fortuna	id=g:3637873
La Fortuna	id=g:3637874
La Fortuna	id=g:3637875
La Fortuna	id=g:3637876
Fundo La Fortaleza	id=g:3637877
Fundo La Fortaleza	id=g:3637878
La Fortaleza	id=g:3637879
La Fortaleza	id=g:3637880
La Fortaleza	id=g:3637881
Valle La Florida	id=g:3637882
Río La Florida	id=g:3637883
Río La Florida	id=g:3637884
Quebrada La Florida	id=g:3637885
Hato La Florida	id=g:3637886
Hato La Florida	id=g:3637887
Hato La Florida	id=g:3637888
Hato La Florida	id=g:3637889
Hato La Florida	id=g:3637890
Hato La Florida	id=g:3637891
Hacienda La Florida	id=g:3637892
Fundo La Florida	id=g:3637893
Fundo La Florida	id=g:3637894
Fundo La Florida	id=g:3637895
Fundo La Florida	id=g:3637896
Cerro La Florida	id=g:3637897
La Florida	id=g:3637898
La Florida	id=g:3637899
La Florida	id=g:3637900
La Florida	id=g:3637901
La Florida	id=g:3637902
La Florida	id=g:3637903
La Florida	id=g:3637904
La Florida	id=g:3637905
La Florida	id=g:3637906
La Florida	id=g:3637907
La Florida	id=g:3637908
La Florida	id=g:3637909
La Florida	id=g:3637910
La Florida	id=g:3637911
La Florida	id=g:3637912
La Florida	id=g:3637913
La Florida	id=g:3637914
La Florida	id=g:3637915
La Florida	id=g:3637916
La Florida	id=g:3637917
La Florida	id=g:3637918
La Florida	id=g:3637919
La Florida	id=g:3637920
La Florida	id=g:3637921
La Florida	id=g:3637922
La Florida	id=g:3637923
La Florida	id=g:3637924
La Floresta	id=g:3637925
La Floresta	id=g:3637926
Fundo La Floreña	id=g:3637927
La Floreña	id=g:3637928
Hacienda La Flor de Marquetera	id=g:3637929
La Flor Amarilla	id=g:3637930
La Flor	id=g:3637931
Hato La Flecha	id=g:3637932
La Flecha	id=g:3637933
La Flecha	id=g:3637934
La Flecha	id=g:3637935
La Filomena	id=g:3637936
La Fila	id=g:3637937
La Fila	id=g:3637938
La Fila	id=g:3637939
La Fila	id=g:3637940
Sabanas de La Fijanza	id=g:3637941
Hato La Fijanza	id=g:3637942
La Fijanza	id=g:3637943
Laguna La Fermina	id=g:3637944
Fundo La Fermina	id=g:3637945
La Fermina	id=g:3637946
La Felipera	id=g:3637947
La Felicidad	id=g:3637948
La Federiquera	id=g:3637949
La Federación	id=g:3637950
La Fe	id=g:3637951
La Fe	id=g:3637952
La Fe	id=g:3637953
Hato La Faustinera	id=g:3637954
La Fajina	id=g:3637955
Quebrada La Faisca	id=g:3637956
La Fábrica	id=g:3637957
La Fábrica	id=g:3637958
La Evilla	id=g:3637959
Hacienda La Evangeliera	id=g:3637960
Páramo La Estrella	id=g:3637961
Fundo La Estrella	id=g:3637962
La Estrella	id=g:3637963
La Estrella	id=g:3637964
La Estrella	id=g:3637965
La Estrella	id=g:3637966
La Estrella	id=g:3637967
Laguna La Estación	id=g:3637968
La Estación	id=g:3637969
La Estación	id=g:3637970
La Estación	id=g:3637971
La Estación	id=g:3637972
La Estación	id=g:3637973
Lago La Estacadita	id=g:3637974
Caño La Estacada	id=g:3637975
La Estacada	id=g:3637976
La Estacada	id=g:3637977
La Estacada	id=g:3637978
Fundo La Estaca	id=g:3637979
La Estaca	id=g:3637980
La Estaca	id=g:3637981
Fundo La Esquina	id=g:3637982
La Esquina	id=g:3637983
La Esquina	id=g:3637984
Piedra La Espuma	id=g:3637985
Sabanas de La Esperanza	id=g:3637986
Sabanas de La Esperanza	id=g:3637987
Sabanas de La Esperanza	id=g:3637988
Río La Esperanza	id=g:3637989
Morichal La Esperanza	id=g:3637990
Laguna La Esperanza	id=g:3637991
Laguna La Esperanza	id=g:3637992
Hato La Esperanza	id=g:3637993
Hato La Esperanza	id=g:3637994
Hato La Esperanza	id=g:3637995
Hato La Esperanza	id=g:3637996
Hato La Esperanza	id=g:3637997
Hato La Esperanza	id=g:3637998
Hacienda La Esperanza	id=g:3637999
Hacienda La Esperanza	id=g:3638000
Fundo La Esperanza	id=g:3638001
Fundo La Esperañza	id=g:3638002
La Esperanza	id=g:3638003
La Esperanza	id=g:3638004
La Esperanza	id=g:3638005
La Esperanza	id=g:3638006
La Esperanza	id=g:3638007
La Esperanza	id=g:3638008
La Esperanza	id=g:3638009
La Esperanza	id=g:3638010
Hacienda La Esperanza	id=g:3638011
La Esperanza	id=g:3638012
La Esperanza	id=g:3638013
La Esperanza	id=g:3638014
La Esperanza	id=g:3638015
La Esperanza	id=g:3638016
La Esperanza	id=g:3638017
La Esperanza	id=g:3638018
La Esperanza	id=g:3638019
La Esperanza	id=g:3638020
La Esperanza	id=g:3638021
La Esperanza	id=g:3638022
La Esperanza	id=g:3638023
La Esperanza	id=g:3638024
La Esperanza	id=g:3638025
La Esperanza	id=g:3638026
La Esperanza	id=g:3638027
La Esperanza	id=g:3638028
La Esperanza	id=g:3638029
La Esperanza	id=g:3638030
La Esperanza	id=g:3638031
La Esperanza	id=g:3638032
La Esperanza	id=g:3638033
La Esperanza	id=g:3638034
La Esperanza	id=g:3638035
La Esperanza	id=g:3638036
La Esperanza	id=g:3638037
La Esperanza	id=g:3638038
La Esperanza	id=g:3638039
La Esperanza	id=g:3638040
La Esperanza	id=g:3638041
La Esperanza	id=g:3638042
La Esperanza	id=g:3638043
La Esperanza	id=g:3638044
La Esperanza	id=g:3638045
La Esperanza	id=g:3638046
La Esperanza	id=g:3638047
La Esperanza	id=g:3638048
La Esperanza	id=g:3638049
La Esperanza	id=g:3638050
La Esperanza	id=g:3638051
La Esperanza	id=g:3638052
La Esperanza	id=g:3638053
La Esperanza	id=g:3638054
La Esperanza	id=g:3638055
La Espada	id=g:3638056
Serranía La Esmeralda	id=g:3638057
Quebrada La Esmeralda	id=g:3638058
Morro de La Esmeralda	id=g:3638059
Hato La Esmeralda	id=g:3638060
Hacienda La Esmeralda	id=g:3638061
Hacienda La Esmeralda	id=g:3638062
Fundo La Esmeralda	id=g:3638063
Ensenada La Esmeralda	id=g:3638064
La Esmeralda	id=g:3638065
La Esmeralda	id=g:3638066
La Esmeralda	id=g:3638067
La Esmeralda	id=g:3638068
La Esmeralda	id=g:3638069
La Esmeralda	id=g:3638070
La Esmeralda	id=g:3638071
La Esmeralda	id=g:3638072
La Esmeralda	id=g:3638073
La Esmeralda	id=g:3638074
La Esmeralda	id=g:3638075
La Escorzonera	id=g:3638076
Fundo La Escondida	id=g:3638077
Hato La Escobalera	id=g:3638078
La Escasez	id=g:3638079
La Escalona	id=g:3638080
La Escalera	id=g:3638081
La Escalera	id=g:3638082
La Ermita	id=g:3638083
La Ermita	id=g:3638084
Montañas de La Erica	id=g:3638085
Caño La Erica	id=g:3638086
La Erica	id=g:3638087
La Erica	id=g:3638088
Quebrada La Era	id=g:3638089
La Envidia	id=g:3638090
La Envidia	id=g:3638091
La Entrada	id=g:3638092
La Entrada	id=g:3638093
La Entrada	id=g:3638094
La Entrada	id=g:3638095
La Ensillada	id=g:3638096
La Ensenada	id=g:3638097
Fila La Enjalma	id=g:3638098
Montaña La Enfadosa	id=g:3638099
La Enea	id=g:3638100
La Enea	id=g:3638101
La Enea	id=g:3638102
La Enea	id=g:3638103
La Enea	id=g:3638104
Fundo La Encrucijada	id=g:3638105
La Encrucijada	id=g:3638106
La Encrucijada	id=g:3638107
La Encrucijada	id=g:3638108
La Encrucijada	id=g:3638109
La Encrucijada	id=g:3638110
La Encrucijada	id=g:3638111
La Encrucijada	id=g:3638112
La Encrucijada	id=g:3638113
La Encrucijada	id=g:3638114
La Encrucijada	id=g:3638115
La Encarnación	id=g:3638116
La Encantada	id=g:3638117
La Encantada	id=g:3638118
La Empalizada	id=g:3638119
La Empalizada	id=g:3638120
La Empalizada	id=g:3638121
La Empalizada	id=g:3638122
Río La Emilia	id=g:3638123
Punta La Elvira	id=g:3638124
Hato La Elvira	id=g:3638125
La Elvira	id=g:3638126
La Dudosa	id=g:3638127
Quebrada de los Ladrones	id=g:3638128
Quebrada Ladrillo	id=g:3638129
Morichal Ladrillito	id=g:3638130
Laguna La Draga	id=g:3638131
La Dormidita	id=g:3638132
La Dormida	id=g:3638133
La Doncella	id=g:3638134
Quebrada La Dominga	id=g:3638135
La Dominga	id=g:3638136
Fundo La Dihera	id=g:3638137
La Dificultad	id=g:3638138
La Diecinueve	id=g:3638139
La Despensita	id=g:3638140
La Despedida	id=g:3638141
La Despedida	id=g:3638142
Playa de Ladera	id=g:3638143
La Denta	id=g:3638144
La Democracia	id=g:3638145
Democracia	id=g:3638146
Embalse La Delicias	id=g:3638147
La Delicia	id=g:3638148
La Delgadita	id=g:3638149
La Delgadita	id=g:3638150
La Deleitosa	id=g:3638151
Quebrada La Danta	id=g:3638152
Quebrada La Danta	id=g:3638153
Quebrada La Danta	id=g:3638154
Quebrada La Danta	id=g:3638155
Morichal La Danta	id=g:3638156
Montañas de La Danta	id=g:3638157
Laguna La Danta	id=g:3638158
Hato La Danta	id=g:3638159
La Danta	id=g:3638160
La Danta	id=g:3638161
La Danta	id=g:3638162
Danta	id=g:3638163
La Danta	id=g:3638164
La Danta	id=g:3638165
La Danta	id=g:3638166
La Danta	id=g:3638167
La Danta	id=g:3638168
La Danta	id=g:3638169
La Danca	id=g:3638170
La Curva del Indio	id=g:3638171
La Curva de la Manteca	id=g:3638172
La Curva	id=g:3638173
La Curva	id=g:3638174
La Curva	id=g:3638175
La Curva	id=g:3638176
La Cureña	id=g:3638177
La Curbatera	id=g:3638178
La Cupata	id=g:3638179
La Cumbre de San Antonio	id=g:3638180
Cerro La Cumbre del Borrego	id=g:3638181
Pico La Cumbre	id=g:3638182
Hacienda La Cumbre	id=g:3638183
Fila La Cumbre	id=g:3638184
Cerro La Cumbre	id=g:3638185
Cerro La Cumbre	id=g:3638186
Cerro La Cumbre	id=g:3638187
Cerro La Cumbre	id=g:3638188
La Cumbre	id=g:3638189
La Cumbre	id=g:3638190
La Cumbre	id=g:3638191
La Cumbre	id=g:3638192
La Cumaca	id=g:3638193
La Cumaca	id=g:3638194
La Cumaca	id=g:3638195
La Culpa	id=g:3638196
Fundo La Culebrita	id=g:3638197
La Culebrita	id=g:3638198
La Culebrita	id=g:3638199
La Culebrina	id=g:3638200
La Culebra de Agua	id=g:3638201
Quebrada La Culebra	id=g:3638202
Quebrada La Culebra	id=g:3638203
Laguna La Culebra	id=g:3638204
Fundo La Culebra	id=g:3638205
Finca La Culebra	id=g:3638206
Cerro La Culebra	id=g:3638207
La Culebra	id=g:3638208
La Culebra	id=g:3638209
La Culebra	id=g:3638210
La Culebra	id=g:3638211
La Culebra	id=g:3638212
La Culebra	id=g:3638213
La Culebra	id=g:3638214
La Culebra	id=g:3638215
La Culebra	id=g:3638216
La Culebra	id=g:3638217
La Culebra	id=g:3638218
La Culebra	id=g:3638219
La Culebra	id=g:3638220
La Culebra	id=g:3638221
La Culebra	id=g:3638222
La Culebra	id=g:3638223
La Culebra	id=g:3638224
La Culebra	id=g:3638225
La Culebra	id=g:3638226
La Culebra	id=g:3638227
La Culata	id=g:3638228
La Culata	id=g:3638229
La Culata	id=g:3638230
La Culata	id=g:3638231
La Culata	id=g:3638232
La Culata	id=g:3638233
La Culata	id=g:3638234
La Cuiba	id=g:3638235
La Cueva	id=g:3638236
Río La Cuesta	id=g:3638237
La Cuesta	id=g:3638238
La Cuesta	id=g:3638239
La Cuesta	id=g:3638240
La Cuesta	id=g:3638241
La Cuesta	id=g:3638242
La Cuesta	id=g:3638243
Quebrada La Cuchilla	id=g:3638244
Hato La Cuchilla	id=g:3638245
Filo La Cuchilla	id=g:3638246
Cerro La Cuchilla	id=g:3638247
La Cuchilla	id=g:3638248
La Cuchilla	id=g:3638249
La Cuchilla	id=g:3638250
La Cuchilla	id=g:3638251
La Cuchilla	id=g:3638252
La Cuchilla	id=g:3638253
La Cuchilla	id=g:3638254
La Cuchilla	id=g:3638255
La Cucharita	id=g:3638256
Sabanas de La Cuchara	id=g:3638257
Montes de La Cuchara	id=g:3638258
La Cuchara	id=g:3638259
La Cuchara	id=g:3638260
La Cuadra	id=g:3638261
Río La Cruz Negra	id=g:3638262
La Cruz de Topocual	id=g:3638263
La Cruz de Taratara	id=g:3638264
Loma La Cruz del Macha	id=g:3638265
La Cruz del Guataparo	id=g:3638266
La Cruz de La Paloma	id=g:3638267
La Cruz de Chirimena	id=g:3638268
La Cruz de Belén	id=g:3638269
La Cruz de Agua	id=g:3638270
Río La Cruz	id=g:3638271
Quebrada La Cruz	id=g:3638272
Quebrada La Cruz	id=g:3638273
Quebrada La Cruz	id=g:3638274
Punta La Cruz	id=g:3638275
Punta La Cruz	id=g:3638276
Punta La Cruz	id=g:3638277
Paso La Cruz	id=g:3638278
Hato La Cruz	id=g:3638279
Hato La Cruz	id=g:3638280
Fila La Cruz	id=g:3638281
Cerro La Cruz	id=g:3638282
Cerro La Cruz	id=g:3638283
Caño La Cruz	id=g:3638284
Alto de La Cruz	id=g:3638285
Alto de La Cruz	id=g:3638286
La Cruz	id=g:3638287
La Cruz	id=g:3638288
La Cruz	id=g:3638289
La Cruz	id=g:3638290
La Cruz	id=g:3638291
La Cruz	id=g:3638292
La Cruz	id=g:3638293
La Cruz	id=g:3638294
La Cruz	id=g:3638295
La Cruz	id=g:3638296
La Cruz	id=g:3638297
La Cruz	id=g:3638298
La Cruz	id=g:3638299
La Cruz	id=g:3638300
La Cruz	id=g:3638301
La Cruz	id=g:3638302
La Cruz	id=g:3638303
La Cruz	id=g:3638304
La Cruz	id=g:3638305
Finca La Cruz	id=g:3638306
La Cruz	id=g:3638307
La Cruz	id=g:3638308
La Cruz	id=g:3638309
