Oslávia	id=g:3171846
Monte San Martino	id=g:3172754
Monte San Lorenzo	id=g:3172755
Monte San Giusto	id=g:3172756
Monte San Giovanni in Sabina	id=g:3172757
Monte San Giovanni Campano	id=g:3172758
Monte San Giacomo	id=g:3172759
Monte San Biagio	id=g:3172760
Montesalso	id=g:3172761
Monte Sabinese	id=g:3172762
Capo Monte Russu	id=g:3172763
Monte Rubiaglio	id=g:3172764
Monterubbiano	id=g:3172765
Monterotto	id=g:3172766
Monterotondo Marittimo	id=g:3172767
Monterotondo	id=g:3172768
Monterosso al Mare	id=g:3172769
Punta Monterosso	id=g:3172770
Lago Monterosi	id=g:3172771
Monterosi	id=g:3172772
Monte Rosara	id=g:3172773
Monteroni di Lecce	id=g:3172774
Monteroni d'Arbia	id=g:3172775
Monterone	id=g:3172776
Monteromano	id=g:3172777
Monte Romano	id=g:3172778
Monteroduni	id=g:3172779
Monte Roberto	id=g:3172780
Monterivoso	id=g:3172781
Monte Rinaldo	id=g:3172782
Monteriggioni	id=g:3172783
Monterenzio	id=g:3172784
Montereggio	id=g:3172785
Monterecchio	id=g:3172786
Montereale Valcellina	id=g:3172787
Montereale	id=g:3172788
Monterchi	id=g:3172789
Monterappoli	id=g:3172790
Monterado	id=g:3172791
Montepulciano Stazione	id=g:3172792
Lago di Montepulciano	id=g:3172793
Montepulciano	id=g:3172794
Monteprato	id=g:3172795
Monteprandone	id=g:3172796
Monte Porzio Catone	id=g:3172797
Monte Porzio	id=g:3172798
Montepo	id=g:3172799
Monte Pillerone	id=g:3172800
Montepietro	id=g:3172801
Montepiano	id=g:3172802
Montepiano	id=g:3172803
Monte Petriolo	id=g:3172804
Montepescali	id=g:3172805
Montepennino	id=g:3172806
Montepastore	id=g:3172807
Monteparano	id=g:3172808
Albergo Monte Pana	id=g:3172809
Montepagano	id=g:3172810
Monte Ortone	id=g:3172811
Monteorsello	id=g:3172812
Monte Ombraro	id=g:3172813
Monteodorisio	id=g:3172814
Monte Nuovo	id=g:3172815
Montenotte Inferiore	id=g:3172816
Montenero Val Cocchiara	id=g:3172817
Stazione di Montenero-Petacciato	id=g:3172818
Montenero in Sabina	id=g:3172819
Montenerodomo	id=g:3172820
Montenero di Bisaccia	id=g:3172821
Fosso Montenero	id=g:3172822
Montenero	id=g:3172823
Montenero	id=g:3172824
Montenero	id=g:3172825
Montenero	id=g:3172826
Montemurro	id=g:3172827
Montemurlo	id=g:3172828
Monte Moro Pass	id=g:3172829
Montemonaco	id=g:3172830
Monte Molino	id=g:3172831
Montemitro	id=g:3172832
Montemilone	id=g:3172833
Montemiletto	id=g:3172834
Podere di Monte Miccioli	id=g:3172835
Montemezzo	id=g:3172836
Montemezzano di Sopra	id=g:3172837
Montemesola	id=g:3172838
Montemerano	id=g:3172839
Montemelino	id=g:3172840
Montemassi	id=g:3172841
Montemartano	id=g:3172842
Abbazia di Monte Maria	id=g:3172843
Monte Marenzo	id=g:3172844
Montemarciano	id=g:3172845
Monte Marcello	id=g:3172846
Montemarano	id=g:3172847
Montemara	id=g:3172848
Monte Magrè	id=g:3172849
Montemagno	id=g:3172850
Montemagno	id=g:3172851
Montemagno	id=g:3172852
Montemagno	id=g:3172853
Montemaggiore al Metauro	id=g:3172854
Montemaggiore	id=g:3172855
Monte Maggiore	id=g:3172856
Montemaggio	id=g:3172857
Montemaggio	id=g:3172858
Monteluro	id=g:3172859
Montelupone	id=g:3172860
Montelupo Fiorentino	id=g:3172861
Montelupo Albese	id=g:3172862
Montelparo	id=g:3172863
Monte Lopio	id=g:3172864
Montelongo	id=g:3172865
Montella	id=g:3172866
Borro di Monte li Fre	id=g:3172867
Monte Licciano	id=g:3172868
Monte Libretti	id=g:3172869
Monteleto	id=g:3172870
Monteleone Sabino	id=g:3172871
Monteleone Rocca Doria	id=g:3172872
Monteleone d'Orvieto	id=g:3172873
Monteleone di Spoleto	id=g:3172874
Monteleone di Puglia	id=g:3172875
Riu de Monteleone	id=g:3172876
Monteleone	id=g:3172877
Montelaterone	id=g:3172878
Montelapiano	id=g:3172879
Montelanico	id=g:3172880
Montelama	id=g:3172881
Monte l’Agello	id=g:3172882
Montelabbate	id=g:3172883
Isola Monte Isola	id=g:3172884
Monte Iottone	id=g:3172885
Monteiasi	id=g:3172886
Monte Guiduccio	id=g:3172887
Monteguidi	id=g:3172888
Monte Gualtieri	id=g:3172889
Montegrotto Terme	id=g:3172890
Montegrosso Pian Latte	id=g:3172891
Montegrosso d'Asti	id=g:3172892
Monte Grimano	id=g:3172893
Montegrazie	id=g:3172894
Montegranelli	id=g:3172895
Montegranaro	id=g:3172896
Passo di Monte Giovo	id=g:3172897
Montegiovi	id=g:3172898
Montegiove	id=g:3172899
Stazione Montegiorgio	id=g:3172900
Montegiorgio	id=g:3172901
Stazione Monte Giordano	id=g:3172902
Montegiordano	id=g:3172903
Monte Giberto	id=g:3172904
Monte Giardino	id=g:3172905
Monte Giardino	id=g:3172906
Montegelli	id=g:3172907
Montegaudio	id=g:3172908
Monte Gallo	id=g:3172909
Montegaldella	id=g:3172910
Montegabbro	id=g:3172911
Montegabbione	id=g:3172912
Montefusco	id=g:3172913
Montefredente	id=g:3172914
Montefredane	id=g:3172915
Montefranco	id=g:3172916
Montefotogno	id=g:3172917
Montefoscoli	id=g:3172918
Montefortino	id=g:3172919
Montefortino	id=g:3172920
Monteforte Irpino	id=g:3172921
Monteforte d'Alpone	id=g:3172922
Monteforte Cilento	id=g:3172923
Montefollonico	id=g:3172924
Monteflavio	id=g:3172925
Montefiorino	id=g:3172926
Convento di Monte Fiorentino	id=g:3172927
Montefiore dell'Aso	id=g:3172928
Montefiore Conca	id=g:3172929
Montefino	id=g:3172930
Montefiascone	id=g:3172931
Monteferrante	id=g:3172932
Montefeltro	id=g:3172933
Montefano Vecchio	id=g:3172934
Montefano	id=g:3172935
Montefalcone di Val Fortore	id=g:3172936
Montefalcone nel Sannio	id=g:3172937
Stazione Montefalcone Appennino	id=g:3172938
Montefalcone Appennino	id=g:3172939
Montefalcone	id=g:3172940
Montefalco	id=g:3172941
Montefalcione	id=g:3172942
Monte Fabbri	id=g:3172943
Monteduro	id=g:3172944
Montedoglio	id=g:3172945
Monte di Procida	id=g:3172946
Montedinove	id=g:3172947
Monte di Malo	id=g:3172948
Monte di Malo	id=g:3172949
Monte di Leva	id=g:3172950
Monte di Fuori	id=g:3172951
Monte del Lago	id=g:3172952
Montecuccoli	id=g:3172953
Montecucco	id=g:3172954
Monte Cucco	id=g:3172955
Passo di Monte Croce di Comelico	id=g:3172956
Passo di Monte Croce Carnico	id=g:3172957
Monte Croce	id=g:3172958
Isola di Montecristo	id=g:3172959
Stazione Montecosaro	id=g:3172960
Montecosaro	id=g:3172961
Sella di Monte Corvo	id=g:3172962
Montecorvino Rovella	id=g:3172963
Valico di Montecoronaro	id=g:3172964
Montecoronaro	id=g:3172965
Monte Corona	id=g:3172966
Montecorice	id=g:3172967
Monte Copiolo	id=g:3172968
Monte Compatri	id=g:3172969
Montecilfone	id=g:3172970
Monteciccardo	id=g:3172971
Montechino	id=g:3172972
Montechiarugolo	id=g:3172973
Montechiaro d'Asti	id=g:3172974
Montechiaro	id=g:3172975
Monte Cerignone	id=g:3172976
Montecenere	id=g:3172977
Montecelio	id=g:3172978
Montecchio Maggiore	id=g:3172979
Montecchio Emilia	id=g:3172980
Canale di Montecchio	id=g:3172981
Montecchio	id=g:3172982
Montecchio	id=g:3172983
Montecchio	id=g:3172984
Montecchio	id=g:3172985
Montecchio	id=g:3172986
Montecchio	id=g:3172987
Montecchio	id=g:3172988
Montecchio	id=g:3172989
Montecchia di Crosara	id=g:3172990
Montecchia	id=g:3172991
Poggio Montecchi	id=g:3172992
Montecavolo	id=g:3172993
Montecavalloro	id=g:3172994
Monte Cavallo	id=g:3172995
Montecatini-Terme	id=g:3172996
Montecatini Val di Cecina	id=g:3172997
Montecastrilli	id=g:3172998
Monte Castello di Vibio	id=g:3172999
Torrente Montecastello	id=g:3173000
Montecastello	id=g:3173001
Montecastello	id=g:3173002
Monte Castelli	id=g:3173003
Montecastelli	id=g:3173004
Abbazia di Montecassino	id=g:3173005
Montecassiano	id=g:3173006
Montecarotto	id=g:3173007
Montecarlo	id=g:3173008
Montecarelli	id=g:3173009
Montecapraro	id=g:3173010
Monte Canepino	id=g:3173011
Monte Campano	id=g:3173012
Montecalvoli	id=g:3173013
Montecalvo Irpino	id=g:3173014
Montecalvo in Foglia	id=g:3173015
Montecalvello	id=g:3173016
Montecalderaro	id=g:3173017
Montebuono	id=g:3173018
Montebuono	id=g:3173019
Montebufo	id=g:3173020
Montebudello	id=g:3173021
Montebruno	id=g:3173022
Montebore	id=g:3173023
Montebono	id=g:3173024
Monteboaggine	id=g:3173025
Montebibico	id=g:3173026
Monte Benichi	id=g:3173027
Monte Benedetto	id=g:3173028
Montebelluna	id=g:3173029
Montebello Vicentino	id=g:3173030
Montebello sul Sangro	id=g:3173031
Montebello di Bertona	id=g:3173032
Montebello della Battaglia	id=g:3173033
Montebello	id=g:3173034
Montebello	id=g:3173035
Montebaranzone	id=g:3173036
Montebabbio	id=g:3173037
Monte Argentario	id=g:3173038
Monteaperti	id=g:3173039
Monteaperta	id=g:3173040
Monte Antico	id=g:3173041
Monte Monteano	id=g:3173042
Monte Amiata	id=g:3173043
Monte Altavelio	id=g:3173044
Galleria di Monte Adone	id=g:3173045
Fosso di Monteacuto	id=g:3173046
Monte Acuto	id=g:3173047
Cima del Monte	id=g:3173048
Cima del Monte	id=g:3173049
Castel del Monte	id=g:3173050
Monte	id=g:3173051
Monte	id=g:3173052
Monte	id=g:3173053
Mont Cervin	id=g:3173054
Mont Blanc Tunnel	id=g:3173055
Montazzolo	id=g:3173056
Montazzoli	id=g:3173057
Montauto	id=g:3173058
Montauto	id=g:3173059
Montattico	id=g:3173060
Montatteglia	id=g:3173061
Montasola	id=g:3173062
Montasico	id=g:3173063
Montarice	id=g:3173064
Montaquila	id=g:3173065
Montappone	id=g:3173066
Montaperti	id=g:3173067
Montano Antilia	id=g:3173068
Montaniccio	id=g:3173069
Montanesi	id=g:3173070
Montanes	id=g:3173071
Montaner	id=g:3173072
Montanaso Lombardo	id=g:3173073
Montanaro	id=g:3173074
Montanaro	id=g:3173075
Montanare	id=g:3173076
Montanara	id=g:3173077
Montanaldo	id=g:3173078
Montalto Pavese	id=g:3173079
Montalto Ligure	id=g:3173080
Montalto Dora	id=g:3173081
Montalto di Castro	id=g:3173082
Montalto delle Marche	id=g:3173083
Punta di Montalto	id=g:3173084
Montalto	id=g:3173085
Montalone	id=g:3173086
Montalfina	id=g:3173087
Montalenghe	id=g:3173088
Stazione di Montale-Agliana	id=g:3173089
Montale	id=g:3173090
Montale	id=g:3173091
Montale	id=g:3173092
Montale	id=g:3173093
Montaldo di Cosola	id=g:3173094
Montaldo	id=g:3173095
Montalcino	id=g:3173096
Montalbo	id=g:3173097
Montalbano Jonico	id=g:3173098
Stazione di Montalbano	id=g:3173099
Stazione di Montalbano	id=g:3173100
Montalbano	id=g:3173101
Montalbano	id=g:3173102
Montaione	id=g:3173103
Montaguto	id=g:3173104
Montagnola	id=g:3173105
Montagnola	id=g:3173106
Montagnola	id=g:3173107
Montagnano	id=g:3173108
Montagnana Pistoiese	id=g:3173109
Montagnana	id=g:3173110
Montagnana	id=g:3173111
Montagnana	id=g:3173112
Montagna - Montan	id=g:3173113
Montaglioni	id=g:3173114
Montagliano	id=g:3173115
Montagano	id=g:3173116
Montadamo	id=g:3173117
Montacuto	id=g:3173118
Monta	id=g:3173119
Montà	id=g:3173120
Monsummano Terme	id=g:3173122
Canale Monselice	id=g:3173123
Monselice	id=g:3173124
Monsano	id=g:3173125
Monsampolo del Tronto	id=g:3173126
Monsampietro Morico	id=g:3173127
Monsampietro	id=g:3173128
Monsagrati	id=g:3173129
Monrupino	id=g:3173130
Monopoli	id=g:3173131
Torrente Monocchia	id=g:3173132
Fosso Monocchia	id=g:3173133
Monno	id=g:3173134
Monna di Rosa	id=g:3173135
Monna Casale	id=g:3173136
Riu de Monles	id=g:3173137
Monistero Saccione	id=g:3173138
Moniga del Garda	id=g:3173139
Monguelfo-Tesido - Welsberg-Taisten	id=g:3173140
Mongrando	id=g:3173141
Monte Mongioie	id=g:3173142
Bric de Rubren	id=g:3173143
Mongiardino Ligure	id=g:3173144
Monghidoro	id=g:3173145
Mongardino	id=g:3173146
Col Mongarda	id=g:3173147
Cime Monfret	id=g:3173148
Monforte d'Alba	id=g:3173149
Monfol	id=g:3173150
Monferrato	id=g:3173151
Monferrato	id=g:3173152
Monfalcone	id=g:3173153
Punta Moneta	id=g:3173154
Passo della Moneta	id=g:3173155
Monte Moneta	id=g:3173156
Monestirolo	id=g:3173157
Monesiglio	id=g:3173158
Moneglia	id=g:3173159
Mondragone	id=g:3173160
Rifugio Mondovì	id=g:3173161
Mondovì	id=g:3173162
Stazione di Mondolfo-Marotta	id=g:3173163
Mondolfo	id=g:3173164
Torrente Mondola	id=g:3173165
Bric Mondo	id=g:3173166
Mondini	id=g:3173167
Mondine	id=g:3173168
Mondavio	id=g:3173169
Moncucco Torinese	id=g:3173170
Moncucco	id=g:3173171
Monclassico	id=g:3173172
Monchio di Sarzano	id=g:3173173
Monchio delle Corti	id=g:3173174
Monchio	id=g:3173175
Monchiero	id=g:3173176
Moncerrato	id=g:3173177
Moncellier	id=g:3173178
Moncalvo	id=g:3173179
Moncalieri	id=g:3173180
Lago di Monate	id=g:3173181
Monastier di Treviso	id=g:3173182
Monasterolo del Castello	id=g:3173183
Monte Monastero	id=g:3173184
Monastero	id=g:3173185
Monastero	id=g:3173186
Monte Monaco di Gioia	id=g:3173187
Monacizzo	id=g:3173188
Monacilioni	id=g:3173189
Lago dei Monaci	id=g:3173190
Monaci	id=g:3173191
Monachino	id=g:3173192
Convento delle Monache Benedettine Olivetane	id=g:3173193
Fiume della Monache	id=g:3173194
Mompeo	id=g:3173195
Momo	id=g:3173196
Mommio	id=g:3173197
Colma di Mombarone	id=g:3173198
Mombaroccio	id=g:3173199
Mombaldone	id=g:3173200
Molviano	id=g:3173201
Lago di Molveno	id=g:3173202
Molveno	id=g:3173203
Monte Moltone	id=g:3173204
Molteno	id=g:3173205
Moltedo Superiore	id=g:3173206
Moltedo	id=g:3173207
Riu de Molò	id=g:3173208
Rio Mollo	id=g:3173209
Mollières	id=g:3173210
Mollié	id=g:3173211
Mollia	id=g:3173212
Mollette	id=g:3173213
Mollere	id=g:3173214
Rio Mollasco	id=g:3173215
Fiume Mollarino	id=g:3173216
Capo Molla	id=g:3173217
Capo Molla	id=g:3173218
Canale Molla	id=g:3173219
Moliterno	id=g:3173220
Molise	id=g:3173221
Regione Molise	id=g:3173222
Molino Santinelli	id=g:3173223
Molino Sant’Anna	id=g:3173224
Riu sos Molinos	id=g:3173225
Molino Penna	id=g:3173226
Molino Paolini	id=g:3173227
Molino Nuovo	id=g:3173228
Molino Nuovo	id=g:3173229
Molino Moscano	id=g:3173230
Molino Mazzetti	id=g:3173231
Molino Maccheroni	id=g:3173232
Molino Gigliucci	id=g:3173233
Molino Fabbri	id=g:3173234
Molino di San Costanzo	id=g:3173235
Molino di Ripe	id=g:3173236
Molino di Renzetti	id=g:3173237
Molino di Recanati	id=g:3173238
Molino di Monte Urano	id=g:3173239
Molino di Carassai	id=g:3173240
Molino di Bastelli	id=g:3173241
Molino di Ancona	id=g:3173242
Molino del Sasso	id=g:3173243
Molino del Roglio	id=g:3173244
Molino del Piano	id=g:3173245
Molino del Pallone	id=g:3173246
Molino del Conte	id=g:3173247
Molino del Calcione	id=g:3173248
Molino dei Frati	id=g:3173249
Molino d’Agugliano	id=g:3173250
Molino Corsi	id=g:3173251
Molino Ciccolini	id=g:3173252
Molino Cesaretti	id=g:3173253
Molino Cesano	id=g:3173254
Molino Catorcio	id=g:3173255
Molino Caigisti	id=g:3173256
Molino Basso	id=g:3173257
Molino Apolloni	id=g:3173258
Molino Americano	id=g:3173259
Molino Alzano	id=g:3173260
Molino Abbadia	id=g:3173261
Poggio del Molino	id=g:3173262
Fosso del Molino	id=g:3173263
Canale del Molino	id=g:3173264
Molino	id=g:3173265
Molini di Verdes	id=g:3173266
Molini di Tures	id=g:3173267
Molini di Triora	id=g:3173268
Molini al Rio	id=g:3173269
Fosso dei Molini	id=g:3173270
Molini	id=g:3173271
Molini	id=g:3173272
Molini	id=g:3173273
Molini	id=g:3173274
Molinelli	id=g:3173275
Molinella	id=g:3173276
Riu Molineddu	id=g:3173277
Moline	id=g:3173278
Molinara	id=g:3173279
Molina di Ledro	id=g:3173280
Fosso del Molinaccio	id=g:3173281
Molinaccio	id=g:3173282
Molina Aterno	id=g:3173283
Punta Molina	id=g:3173284
Molina	id=g:3173285
Golfo di li Moli	id=g:3173286
Molfetta	id=g:3173287
Molezzano	id=g:3173288
Fosso Molevecchia	id=g:3173289
Fosso della Moletta	id=g:3173290
Moleto	id=g:3173291
Moletano	id=g:3173292
Fosso delle Mole	id=g:3173293
Fosso delle Mole	id=g:3173294
Molazzana	id=g:3173295
Isola Molarotto	id=g:3173296
Molaretto	id=g:3173297
Molare	id=g:3173298
Isola Molara	id=g:3173299
Rio della Mola Franca	id=g:3173300
Fermata Molafà	id=g:3173301
Mola di Bari	id=g:3173302
Fosso della Mola	id=g:3173303
Fosso della Mola	id=g:3173304
Fosso delle Moje	id=g:3173305
Moio della Civitella	id=g:3173306
Moimacco	id=g:3173307
Moie	id=g:3173308
Monte Moiazzetta	id=g:3173309
Fosso Moiano	id=g:3173310
Moiano	id=g:3173311
Moglietta	id=g:3173312
Moglie	id=g:3173313
Mogliano Veneto	id=g:3173314
Mogliano	id=g:3173315
Moglia	id=g:3173316
Moglia	id=g:3173317
Moggio Udinese	id=g:3173318
Monte Moggio	id=g:3173319
Moggio	id=g:3173320
Moggio	id=g:3173321
Mogginano	id=g:3173322
Mogessa di Quà	id=g:3173323
Mogessa di Là	id=g:3173324
Moena	id=g:3173325
Modugno	id=g:3173326
Modolo	id=g:3173327
Modolo	id=g:3173328
Modigliana	id=g:3173329
Provincia di Modena	id=g:3173330
Modena	id=g:3173331
Modeano	id=g:3173332
Modanella	id=g:3173333
Mocomero	id=g:3173334
Mochignano	id=g:3173335
Mocenigo	id=g:3173336
Moccia	id=g:3173337
Moano	id=g:3173338
Mizzole	id=g:3173339
Cala di Mitigliano	id=g:3173340
Lago di Misurina	id=g:3173341
Misurina	id=g:3173342
Vado Mistongo	id=g:3173343
Mistà	id=g:3173344
Punta Missoggio	id=g:3173345
Missirola	id=g:3173346
Missiano	id=g:3173347
Missano	id=g:3173348
Missanello	id=g:3173349
Missaglia	id=g:3173350
Misinto	id=g:3173351
Fontanelle Misericordia	id=g:3173352
Porto di Miseno	id=g:3173353
Lago Miseno	id=g:3173354
Capo Miseno	id=g:3173355
Miseno	id=g:3173356
Torrente Misegna	id=g:3173357
Misciano	id=g:3173358
Misciano	id=g:3173359
Fiume Miscano	id=g:3173360
Misano Marina	id=g:3173361
Misano di Gera d'Adda	id=g:3173362
Misano Adriatico	id=g:3173363
Fiume Misa	id=g:3173364
Torrente Mis	id=g:3173365
Miroglio	id=g:3173366
Miravalle	id=g:3173367
Canale di Mirano	id=g:3173368
Mirano	id=g:3173369
Mirandola	id=g:3173370
Miranda	id=g:3173371
Miranda	id=g:3173372
Castello di Miramare	id=g:3173373
Miramare	id=g:3173375
Mirafiori	id=g:3173376
Miradolo Terme	id=g:3173377
Canale Mira Chioggia	id=g:3173378
Mirabello Sannitico	id=g:3173379
Mirabello Monferrato	id=g:3173380
Mirabello Ciria	id=g:3173381
Mirabello	id=g:3173382
Mirabella Eclano	id=g:3173383
Mirabella	id=g:3173384
Mira	id=g:3173385
Mione	id=g:3173386
Punta de Miollì	id=g:3173387
Colle Miola	id=g:3173388
Monte Minudo	id=g:3173389
Minucciano	id=g:3173390
Minturno	id=g:3173391
Minori	id=g:3173392
Riu Minore	id=g:3173393
Riu Minore	id=g:3173394
Riu Minore	id=g:3173395
Monte Minore	id=g:3173396
Isola Minore	id=g:3173397
Torrente Minima	id=g:3173398
Miniere di Rama	id=g:3173399
Miniera dell’Argentiera	id=g:3173400
Mingarine	id=g:3173401
Fiume Mingardo	id=g:3173402
Torrente Minestrone	id=g:3173403
Minervino Murge	id=g:3173404
Minervino di Lecce	id=g:3173405
Monte Minerva	id=g:3173406
Minerbio	id=g:3173407
Minerbe	id=g:3173408
Fiume Mincio	id=g:3173409
Millesimo	id=g:3173410
Millefonti	id=g:3173411
Spiaggia Miliscola	id=g:3173412
Milis	id=g:3173413
Milies	id=g:3173414
Torrente Milia	id=g:3173415
Monte Miletto	id=g:3173416
Torre Mileto	id=g:3173417
Mileo	id=g:3173418
Stazione Milano Smistamento	id=g:3173419
Stazione Milano San Cristoforo	id=g:3173420
Stazione Milano Rogoredo	id=g:3173421
Stazione Milano Porta Vittoria	id=g:3173422
Stazione Milano Porta Romana	id=g:3173423
Stazione Milano Porta Garibaldi	id=g:3173424
Stazione Milano Porta Genova	id=g:3173425
Stazione Milano Nord-Bovisa	id=g:3173426
Stazione Milano Nord	id=g:3173427
Milano Marittima	id=g:3173428
Stazione Milano Lambrate	id=g:3173429
Stazione Milano Greco	id=g:3173430
Stazione Milano Farini	id=g:3173431
Stazione Milano Certosa	id=g:3173432
Stazione Milano Centrale	id=g:3173433
Provincia di Milano	id=g:3173434
Milano	id=g:3173435
Milanere	id=g:3173437
Torrente Mignone	id=g:3173438
Mignano Monte Lungo	id=g:3173439
Lago di Mignano	id=g:3173440
Mignanego	id=g:3173441
Migliorini	id=g:3173442
Colle Migliori	id=g:3173443
Miglionico	id=g:3173444
Monte Miglio	id=g:3173445
Migliaro	id=g:3173446
Migliarino	id=g:3173447
Migliarino	id=g:3173448
Migliarina	id=g:3173449
Fosso Migliara	id=g:3173450
Migliara	id=g:3173451
Migliara	id=g:3173452
Migliano	id=g:3173453
Miglianico	id=g:3173454
Migiandone	id=g:3173455
Migiana	id=g:3173456
Migazzone	id=g:3173457
Miemo	id=g:3173458
Monte Midia	id=g:3173459
Micigliano	id=g:3173460
Colle Micheluccio	id=g:3173461
Michellorie	id=g:3173462
Monte Michele	id=g:3173463
Michelazza	id=g:3173464
Rio Miccino	id=g:3173465
Micciano	id=g:3173466
Micciani	id=g:3173467
Micarone	id=g:3173468
Miazzina di Fuori	id=g:3173469
Miazzina di Dentro	id=g:3173470
Miazzina	id=g:3173471
Miano	id=g:3173472
Miano	id=g:3173473
Miane	id=g:3173474
Monte Miale Ispina	id=g:3173475
Miagliano	id=g:3173476
Ghiacciaio del Miage	id=g:3173477
Mezzomonte	id=g:3173478
Mezzomerico	id=g:3173479
Mezzolombardo	id=g:3173480
Mezzoldo	id=g:3173481
Mezzolara	id=g:3173482
Lago di Mezzola	id=g:3173483
Mezzogoro	id=g:3173484
Mezzocorona	id=g:3173485
Monte di Mezzo	id=g:3173486
Giogo di Mezzo	id=g:3173487
Colle di Mezzo	id=g:3173488
Mezzeno	id=g:3173489
Mezzavilla	id=g:3173490
Mezzavia	id=g:3173491
Mezzaselva	id=g:3173492
Mezzaselva	id=g:3173493
Mezzano Superiore	id=g:3173494
Mezzano Siccomario	id=g:3173495
Mezzano Inferiore	id=g:3173496
Mezzano Chitantolo	id=g:3173497
Valle del Mezzano	id=g:3173498
Lago di Mezzano	id=g:3173499
Mezzano	id=g:3173500
Mezzano	id=g:3173501
Mezzanino	id=g:3173502
Mezzani	id=g:3173503
Mezzanego	id=g:3173504
Torrente Mezzane	id=g:3173505
Mezzana Rabattone	id=g:3173506
Mezzana Bigli	id=g:3173507
Mezzana	id=g:3173508
Mezzana	id=g:3173509
Mezzana	id=g:3173510
Mezzana	id=g:3173511
Mezzana	id=g:3173512
Meyen	id=g:3173513
Mevale	id=g:3173514
Metti	id=g:3173515
Metteglia	id=g:3173516
Fiume Metauro	id=g:3173517
Stazione di Metaponto	id=g:3173518
Metaponto	id=g:3173519
Monte Metano	id=g:3173520
Colline Metallifere	id=g:3173521
Valle della Meta	id=g:3173522
Monte Meta	id=g:3173523
Meta	id=g:3173524
Grosser Mösele	id=g:3173525
Monte Mesu e Roccas	id=g:3173526
Riu e Mesu	id=g:3173527
Mestrino	id=g:3173528
Mestre	id=g:3173529
Messerotti	id=g:3173530
Messenano	id=g:3173531
Monte Mesola	id=g:3173532
Mesola	id=g:3173533
Mese	id=g:3173534
Punta del Mesco	id=g:3173535
Fiume Meschio	id=g:3173536
Mesagne	id=g:3173537
Monte sa Mesa	id=g:3173538
Mesa	id=g:3173539
Mersino	id=g:3173540
Merse	id=g:3173541
Merrone	id=g:3173542
Merli	id=g:3173543
Merlara	id=g:3173544
Merizzo	id=g:3173545
Fosso Meringo	id=g:3173546
Merine	id=g:3173547
Mergozzo	id=g:3173548
Fosso Mergola	id=g:3173549
Mergo	id=g:3173550
Stazione di Mergnano	id=g:3173551
Mereto di Tomba	id=g:3173552
Merendaore	id=g:3173553
Mercore	id=g:3173554
Mercogliano	id=g:3173555
Pic du Grand Plaiza	id=g:3173556
Mercenasco	id=g:3173557
Mercato Vecchio	id=g:3173558
Mercato Saraceno	id=g:3173559
Mercato San Severino	id=g:3173560
Mercato	id=g:3173561
Mercatello sul Metauro	id=g:3173562
Mercatello	id=g:3173563
Mercatello	id=g:3173564
Mercatello	id=g:3173565
Mercatale Vernio	id=g:3173566
Mercatale	id=g:3173567
Mercatale	id=g:3173568
Mercatale	id=g:3173569
Mercatale	id=g:3173570
Cime de Mercantour	id=g:3173571
Porto Mercantile	id=g:3173572
Mercallo	id=g:3173573
Merbspitze	id=g:3173574
Merbjoch	id=g:3173575
Merate	id=g:3173576
Merano	id=g:3173577
Meran	id=g:3173578
Mera	id=g:3173579
Meolo	id=g:3173580
Monte Mentino	id=g:3173581
Mentana	id=g:3173582
Punta sa Menta	id=g:3173583
Menta	id=g:3173584
Riu Mensi	id=g:3173585
Mensano	id=g:3173586
Mensanello	id=g:3173587
Fiume Menodre	id=g:3173588
Torrente Menocchia	id=g:3173589
Mennella	id=g:3173590
Mengara	id=g:3173591
Passo della Mendola	id=g:3173592
Alberghi della Mendola	id=g:3173593
Ruffrè-Mendola	id=g:3173594
Menconico	id=g:3173595
Menate	id=g:3173596
Torrente Menariolo	id=g:3173597
Menaggio	id=g:3173598
Melzo	id=g:3173599
Meltina - Moelten	id=g:3173600
Mels	id=g:3173601
Melpignano	id=g:3173602
Torre della Meloria	id=g:3173603
Monte di Melonta	id=g:3173604
Fosso Melona	id=g:3173605
Colle di Melogno	id=g:3173606
Mello	id=g:3173607
Rio Melledra	id=g:3173608
Torrente Mellea	id=g:3173609
Melle	id=g:3173610
Fiume Mella	id=g:3173611
Melizzano	id=g:3173612
Melito Irpino	id=g:3173613
Melito di Napoli	id=g:3173614
Melfi	id=g:3173615
Fiume Melfa	id=g:3173616
Melfa	id=g:3173617
Melezza	id=g:3173618
Torrente Melezzo Occidentale	id=g:3173619
Melezzole	id=g:3173620
Mélezet	id=g:3173621
Meleze	id=g:3173622
Torrente Meletta	id=g:3173623
Meletole	id=g:3173624
Meleto	id=g:3173625
Meleto	id=g:3173626
Meleti	id=g:3173627
Fosso Meleta	id=g:3173628
Meleta	id=g:3173629
Melendugno	id=g:3173630
Melegnano	id=g:3173631
Melegnanello	id=g:3173632
Capo Mele	id=g:3173633
Mele	id=g:3173634
Meldola	id=g:3173635
Melara	id=g:3173636
Melara	id=g:3173637
Torrente Melandro	id=g:3173638
Melago	id=g:3173639
Torrente Melacciole	id=g:3173640
Torrente Melacce	id=g:3173641
Valle della Mela	id=g:3173642
Monte sa Mela	id=g:3173643
Mel	id=g:3173644
Meira Prini	id=g:3173645
Meina	id=g:3173646
Meida	id=g:3173647
