Arthur Lakes Library	id=g:7130628
Linworth United Methodist Church	id=g:7132484
North Columbus Baptist Church	id=g:7132485
Fellowship Lutheran Church	id=g:7132486
Smoky Row Brethren Church	id=g:7132487
Highlands Presbyterian Church	id=g:7132488
Korean Church of Columbus	id=g:7132489
High Street Baptist Church	id=g:7132490
Friendship Community Church	id=g:7132491
Korean Mission Lane Avenue Baptist Church	id=g:7132492
New Covenant Believers Church	id=g:7132493
East 18th Avenue Prayer Mission	id=g:7132494
New Shiloh Missionary Baptist Church	id=g:7132495
First Alliance Church	id=g:7132496
Sunshine Nursery School	id=g:7132497
Saint Augustine and Gabriel Church	id=g:7132498
Praise Temple Holiness Church	id=g:7132499
People With A Vision Ministry	id=g:7132500
La Conchita Beach	id=g:7132501
Dorland J Henderson Memorial Bridge	id=g:7132502
Brantley Cemetery	id=g:7132503
Camerons Chapel Cemetery	id=g:7132504
Purple Sage Ranch Airfield (historical)	id=g:7132505
Flying L Ranch Airport (historical)	id=g:7132506
School Number 239 (historical)	id=g:7132507
School Number 240 (historical)	id=g:7132508
School Number 256 (historical)	id=g:7132509
School Number 199 (historical)	id=g:7132510
School Number 267 (historical)	id=g:7132511
School Number 104 (historical)	id=g:7132512
School Number 170 (historical)	id=g:7132513
School Number 131 (historical)	id=g:7132514
School Number 163 (historical)	id=g:7132515
School Number 117 (historical)	id=g:7132516
School Number 205 (historical)	id=g:7132517
School Number 45 (historical)	id=g:7132518
School Number 177 (historical)	id=g:7132519
School Number 174 (historical)	id=g:7132520
School Number 152 (historical)	id=g:7132521
School Number 100 (historical)	id=g:7132522
School Number 153 (historical)	id=g:7132523
Nirvana	id=g:7132524
Woodland Park	id=g:7132525
Inglewood	id=g:7132526
Irish Rapid Falls	id=g:7132527
Lake Gogebic Fire Department	id=g:7132528
Wainola Post Office (historical)	id=g:7132529
Victoria Post Office (historical)	id=g:7132530
Topaz Post Office (historical)	id=g:7132531
Rousseau Post Office (historical)	id=g:7132532
Robbins Post Office (historical)	id=g:7132533
Paynesville Post Office (historical)	id=g:7132534
Paulding Post Office (historical)	id=g:7132535
Nonesuch Post Office (historical)	id=g:7132536
Merriweather Post Office (historical)	id=g:7132537
Matchwood Post Office (historical)	id=g:7132538
Lake Mine Post Office (historical)	id=g:7132539
Lake Gogebic Post Office (historical)	id=g:7132540
Green Post Office (historical)	id=g:7132541
Choate Post Office (historical)	id=g:7132542
Calderwood Post Office (historical)	id=g:7132543
Agate Post Office (historical)	id=g:7132544
Rock Bluff Falls	id=g:7132545
Maple Grove Park	id=g:7132546
Trout Creek Township Park	id=g:7132547
Old Indian Burial Grounds	id=g:7132548
Methodist Rose Cemetery	id=g:7132549
Bergland Cross-Country Ski Trail	id=g:7132550
Lakeview Cemetery	id=g:7132551
Norwich Cemetery	id=g:7132552
Trout Creek Fire Hall	id=g:7132553
Trinity Lutheran Church	id=g:7132554
Trout Creek Post Office	id=g:7132555
Calvary Temple Assembly of God Church	id=g:7132556
Rockland Fire Department	id=g:7132557
Rockland Post Office	id=g:7132558
Saint Mary's Church	id=g:7132559
Rockland Township Library	id=g:7132560
Childhood Cottage Museum	id=g:7132561
Trinity Lutheran Church	id=g:7132562
Calvary Baptist Church	id=g:7132563
Bergland Fire Hall	id=g:7132564
Gogebic Ontonagon Intermediate School	id=g:7132565
Bergland Post Office	id=g:7132566
Stannard Township Park	id=g:7132567
Seventh Day Adventist Church	id=g:7132568
Jehovah's Witnesses Kingdom Hall	id=g:7132569
Saint Paul Lutheran Church	id=g:7132570
Bethel Christian Church	id=g:7132571
Masjid As-Sahaba	id=g:7132572
Victory Church of Christ	id=g:7132573
Aasac Community Church	id=g:7132574
Yahwehs House of Prayer	id=g:7132575
High Peaks Learning Academy	id=g:7132576
Rainbow Missionary Baptist Church	id=g:7132577
Waters of Life Full Gospel Church	id=g:7132578
Ebenezer United Methodist Church	id=g:7132579
Columbus Adventist Academy	id=g:7132580
Christ Community Church	id=g:7132581
Saint Andrew United Methodist Church	id=g:7132582
New Destiny Ministries	id=g:7132583
Gahanna Free Will Baptist Church	id=g:7132584
Church of the Living Word	id=g:7132585
Allegheny Wesleyan Methodist Church	id=g:7132586
Cooke Road Church of the Nazarene	id=g:7132587
Clintonville Academy	id=g:7132588
Peace United Methodist Church	id=g:7132589
New Hope Community Church	id=g:7132590
New Millennium Church	id=g:7132591
Resse Chapel Church of Christ	id=g:7132592
Shadeville Church of God	id=g:7132593
Lockbourne Church of Christ	id=g:7132594
Rohr Road Baptist Church	id=g:7132595
Hunts Point Riverside Park	id=g:7132596
Loeb Memorial Home (historical)	id=g:7132597
Martha Home (historical)	id=g:7132598
Wartburg Orphanage (historical)	id=g:7132599
Orthopaedic Hospital (historical)	id=g:7132600
Hartsdale Lake	id=g:7132601
Irvington Reservoir	id=g:7132602
Archville School (historical)	id=g:7132603
Brace Memorial School (historical)	id=g:7132604
Eastview School (historical)	id=g:7132605
Harvey School (historical)	id=g:7132606
Roger Asham School (historical)	id=g:7132607
School Number 11 (historical)	id=g:7132608
Sleepy Hollow School (historical)	id=g:7132609
Hackley Hill	id=g:7132610
Adoration And Peace Baptist Church	id=g:7132611
Agape Family Worship Center	id=g:7132612
Apostolic Christian Holiness Church	id=g:7132613
Calvary Christian Fellowship Church	id=g:7132614
Christ International Church	id=g:7132615
Columbus Mennonite Church	id=g:7132616
Common Ground Community Church	id=g:7132617
Deeper Life Bible Church	id=g:7132618
First Church of Christ Apostolic	id=g:7132619
Full Gospel Pentecostal Church	id=g:7132620
Global Bible Way Church	id=g:7132621
Grace Apostolic Church	id=g:7132622
Grace New Covenant Apostolic Church	id=g:7132623
Greater Jordan Temple	id=g:7132624
Greater Saint Paul Church	id=g:7132625
Greater Vision Missionary Baptist Church	id=g:7132626
Imani Christian Church	id=g:7132627
Hospice of Baltimore-Gilchrist Center For Hospice Care	id=g:7132628
Virginia Sherwood Surgical Center	id=g:7132629
Rita M Kwasnik Cancer Center	id=g:7132630
Korean United Methodist Church	id=g:7132631
Salvation Spring	id=g:7132632
Shenkel United Church of Christ Cemetery	id=g:7132633
Teakettle Spring	id=g:7132634
Liberty Temple Church of God	id=g:7132635
Living Word Church	id=g:7132636
Lords House Baptist Church	id=g:7132637
Master Commission New Covenant Church	id=g:7132638
Meadowbrook Christian Fellowship Church	id=g:7132639
Mount Ararat Freedom Gospel Church	id=g:7132640
New Faith Baptist Church	id=g:7132641
New Haven Church	id=g:7132642
North Park Church of Christ	id=g:7132643
Ohio Family Church	id=g:7132644
Overcomers Christian Church	id=g:7132645
Philadelphia Deliverance Church	id=g:7132646
Praise Deliverance Ministries	id=g:7132647
Savannah International Trade and Convention Center	id=g:7132648
Promise Land Believers	id=g:7132649
Spirit of the Word Gospel Church	id=g:7132650
Saint Clare Roman Catholic Church	id=g:7132651
Saint Sebastian Church	id=g:7132652
Taiwanese Christian Church	id=g:7132653
Trevitt New Life Church	id=g:7132654
Triumphant Christian Center Church	id=g:7132655
Victorious Redeemer Full Gospel Church	id=g:7132656
Word of God in Christ	id=g:7132657
Harvest Time Church	id=g:7132658
Mount Carmel Holly Church	id=g:7132659
Starlight Baptist Church	id=g:7132660
Acts of Faith Community Crusade	id=g:7132661
Abundant Faith Church of God	id=g:7132662
Greater 12th Avenue Baptist Church	id=g:7132663
Aenon Missionary Baptist Church	id=g:7132664
New Horizons Christian Fellowship Church	id=g:7132665
Redeemed Church	id=g:7132666
East Baptist Church of Whitehall	id=g:7132667
Holy Spirit Catholic Church	id=g:7132668
Whitehall United Methodist Church	id=g:7132669
Resurrection Power Church of God	id=g:7132670
A Plus Arts Academy	id=g:7132671
Grace Bethany Church	id=g:7132672
Faith Lutheran Church	id=g:7132673
Master Dei Academy	id=g:7132674
Rick Moore Academy	id=g:7132675
Abc Academy	id=g:7132676
Eastview United Methodist Church	id=g:7132677
Restoration Baptist Church	id=g:7132678
Theatre Street Dance Academy	id=g:7132679
Harbor Baptist Mission	id=g:7132680
First Class Driving Academy	id=g:7132681
Community Church of God	id=g:7132682
Greater Faith Temple Apostolic Church	id=g:7132683
Children's Academy	id=g:7132684
Columbus Fire Training Academy	id=g:7132685
Hilock Fellowship Church	id=g:7132686
Alum Creek Baptist Church	id=g:7132687
Bethesda Baptist Church	id=g:7132688
Church of the God at Berwick	id=g:7132689
New Birth Christian Ministry	id=g:7132690
Faith Fellowship Temple	id=g:7132691
Temple of Compassion Cathedral	id=g:7132692
Holy Ground Outreach	id=g:7132693
Pentecostal Field of Faith Church	id=g:7132694
Victory Deliverance Church of Christ	id=g:7132695
Southside Seventh Day Adventist Church	id=g:7132696
Hope Christian Ministries	id=g:7132697
Smart Kids Learning Academy	id=g:7132698
Heavenly Care Learning Academy	id=g:7132699
Wings of Victory Church	id=g:7132700
Holy Spirit Church of Columbus	id=g:7132701
All Saints Academy	id=g:7132702
Christ The King Childrens Center	id=g:7132703
Moment of Truth Evangelical Assembly	id=g:7132704
Christian Valley Baptist Church	id=g:7132705
Holy Rosary and Saint John Church	id=g:7132706
Calvary Faith Mission	id=g:7132707
Cornerstone Academy	id=g:7132708
First Church of Christ Scientist	id=g:7132709
Academy of Court Reporting	id=g:7132710
Academy For Leadership	id=g:7132711
Saint Patricks Church	id=g:7132712
Balletmet Dance Academy	id=g:7132713
Inner Soul Gospel Church	id=g:7132714
Hebron Baptist Church	id=g:7132715
Congregation Tifereth Israel	id=g:7132716
Soul City House of God	id=g:7132717
Central Seventh Day Adventist Church	id=g:7132718
True Light Baptist Church	id=g:7132719
Old First Presbyterian Church	id=g:7132720
Iglesia Penacostal La Fuente	id=g:7132721
Academy Kids Learning Center	id=g:7132722
Norton Field (historical)	id=g:7132723
Civicorps Elementary School	id=g:7132724
Cockspur Island Lighthouse (historical)	id=g:7132725
Bridges Academy at Melrose	id=g:7132726
Melrose Leadership Academy at Sherman	id=g:7132727
Ascend School	id=g:7132728
Dublin Cemetery	id=g:7132729
Mission San Jose Cemetery	id=g:7132730
Pleasanton Memorial Gardens Cemetery	id=g:7132731
Calvary Cemetery	id=g:7132732
Saint Johns Catholic Cemetery	id=g:7132733
Santa Clara Catholic Cemetery	id=g:7132734
Siloa Lutheran Church	id=g:7132735
Assembly of God Church	id=g:7132736
United Methodist Church	id=g:7132737
Holy Family Catholic Church	id=g:7132738
Ascension Episcopal Church	id=g:7132739
Apostolic Lutheran Church	id=g:7132740
Baptist Church	id=g:7132741
Redeemer Free Lutheran Church	id=g:7132742
Riverfront Park	id=g:7132743
Ontonagon Township Park	id=g:7132744
Ontonagon City Sheriff Office	id=g:7132745
Ontonagon Village Fire Hall	id=g:7132746
Ontonagon County Historical Society Lighthouse and Museum	id=g:7132747
Ontonagon Post Office	id=g:7132748
Ontonagon Township Library	id=g:7132749
Strong Medical Center	id=g:7132750
Ontonagon Memorial Hospital	id=g:7132751
Ontonagon Family Practice	id=g:7132752
Maple Manor Nursing Center	id=g:7132753
Ontonagon Area Junior-Senior High School	id=g:7132754
Ontonagon Elementary School	id=g:7132755
Little Union Gorge Falls	id=g:7132756
Nonesuch Falls	id=g:7132757
Our Saviour Lutheran Church	id=g:7132758
First Apostolic Lutheran Church	id=g:7132759
Bruce Crossing Post Office	id=g:7132760
Western Upper Peninsula Health Center	id=g:7132761
Bethany Lutheran Church	id=g:7132762
White Pine Post Office	id=g:7132763
Saint Judes Catholic Church	id=g:7132764
White Pine Elementary School	id=g:7132765
Carp Lake Township Library	id=g:7132766
Carp Lake Township Fire Department	id=g:7132767
White Pine United Methodist Chuch	id=g:7132768
Faith Lutheran Church	id=g:7132769
Mass City Post Office	id=g:7132770
Mass City Fire Department	id=g:7132771
Saint Pauls Lutheran Church	id=g:7132772
Greenland Post Office	id=g:7132773
Greenland United Methodist Church	id=g:7132774
Ewen Fire Department	id=g:7132775
Ewen Trout Creek School	id=g:7132776
First Lutheran Church	id=g:7132777
McMillan Township Library	id=g:7132778
Narrow Gauge Ski Trail	id=g:7132779
Sacred Heart Church	id=g:7132780
Ewen Post Office	id=g:7132781
Crosscut Ski Trail	id=g:7132782
Thornapple Ski Trail	id=g:7132783
Holy Family Cemetery	id=g:7132784
Ox Bow Ski Trail	id=g:7132785
Finnish Evangelical Lutheran Cemetery	id=g:7132786
Shanty Girl Ski Trail	id=g:7132787
Paynesville Cemetery	id=g:7132788
Nastar Ski Trail	id=g:7132789
Rousseau Cemetery	id=g:7132790
Shanty Boy Ski Trail	id=g:7132791
Methodist Cemetery	id=g:7132792
Broad Ax Ski Trail	id=g:7132793
Porcupine Mountains Historical Marker	id=g:7132794
River Drive Ski Trail	id=g:7132795
Whitesides Crossing Ski Trail	id=g:7132796
Spillway Ski Trail	id=g:7132797
Log Jam Ski Trail	id=g:7132798
Cameron Spur Ski Trail	id=g:7132799
Gladders Ski Trail	id=g:7132800
Cameron Run Ski Trail	id=g:7132801
Dukes Mixture Ski Trail	id=g:7132802
No Name Ski Trail	id=g:7132803
Horseshoe Ski Trail	id=g:7132804
Gig Ski Trail	id=g:7132805
David G Lindquist Student Center	id=g:7132806
Carl Kleimola Applied Technology Center	id=g:7132807
Rutger Erickson Academic Center	id=g:7132808
Jacob Solin Center for Business Education	id=g:7132809
Construction Technology Annex	id=g:7132810
Pat O'Donnell Civic Center	id=g:7132811
Mount Zion Ski Chalet	id=g:7132812
Campus Suites Residence Hall	id=g:7132813
Deer Track Ski Trail	id=g:7132814
Running Bear Ski Trail	id=g:7132815
Grizzly Ski Trail	id=g:7132816
Geronimo Ski Trail	id=g:7132817
Tomahawk Ski Trail	id=g:7132818
Winnebago Ski Trail	id=g:7132819
FIS Racing Ski Trail	id=g:7132820
Leelinaw Ski Trail	id=g:7132821
Sundance Ski Trail	id=g:7132822
Old Flambeau Ski Trail	id=g:7132823
Chippewa Ski Trail	id=g:7132824
Jacks Cutoff Ski Trail	id=g:7132825
Voyagers Highway Ski Trail	id=g:7132826
Nokomis Ski Trail	id=g:7132827
Crazy Horse Ski Trail	id=g:7132828
Hiawatha Ski Trail	id=g:7132829
Agogebic Ski Trail	id=g:7132830
Archie Griffin Stadium	id=g:7132831
Eastwood Junior Academy (historical)	id=g:7132832
Arps Garage	id=g:7132833
Bexley City Hall	id=g:7132834
Brice Valley Hall	id=g:7132835
Canal Winchester City Hall	id=g:7132836
Dublin City Hall	id=g:7132837
Gahanna City Hall	id=g:7132838
Hilliard City Hall	id=g:7132839
Jefferson Township Administration Building	id=g:7132840
Lockbourne Municipal Building	id=g:7132841
Harrisburg Village Hall	id=g:7132842
Jesse Owens Recreation Center North	id=g:7132843
Jesse Owens Recreation Center South	id=g:7132844
Madison Township Community Center	id=g:7132845
Marble Cliff City Hall	id=g:7132846
Mifflin Township House	id=g:7132847
Minerva Park Village Hall	id=g:7132848
Nationwide Arena	id=g:7132849
New Albany Village Hall	id=g:7132850
Obetz City Hall	id=g:7132851
Prairie Township Hall	id=g:7132852
Reynoldsburg Municipal Building	id=g:7132853
Riverwatch Tower	id=g:7132854
Whitehall Municipal Building	id=g:7132855
Arlington Square Shopping Center	id=g:7132856
Avery Square Shopping Center	id=g:7132857
Brice Home Outlet Shopping Center	id=g:7132858
Buckeye Grove Shopping Center	id=g:7132859
Carriage Place Shopping Center	id=g:7132860
East Pointe Crossing Shopping Center	id=g:7132861
Eastland Centre Shopping Center	id=g:7132862
Easton Market Shopping Center	id=g:7132863
Easton Plaza Square Shopping Center	id=g:7132864
East Town Center Shopping Center	id=g:7132865
Georgesville Square Shopping Center	id=g:7132866
Mall At Tuttle Crossing Shopping Center	id=g:7132867
Northland Plaza Shopping Center	id=g:7132868
Olde Sawmill Square Shopping Center	id=g:7132869
Olentangy-Bethel Plaza Shopping Center	id=g:7132870
Rocky Point Plaza Shopping Center	id=g:7132871
Sun Center Shopping Center	id=g:7132872
The Patio Shops Shopping Center	id=g:7132873
Tremont Center Shopping Center	id=g:7132874
Vista Plaza Shopping Center	id=g:7132875
Westland Square Shopping Center	id=g:7132876
Westpointe Plaza Shopping Center	id=g:7132877
Winchester Square Shopping Center	id=g:7132878
Arena Park	id=g:7132879
Ingram Spirit of Women Park	id=g:7132880
Jesse Owens Plaza	id=g:7132881
Johnson Park	id=g:7132882
Chatham County Building Safety and Regulatory Services	id=g:7132883
Saint Phillip Cemetery	id=g:7132884
Saint Catherine Cemetery	id=g:7132885
Cedarbutte Cemetery	id=g:7132886
Berkshire Township Hall	id=g:7132887
Berlin Township Hall	id=g:7132888
Concord Township Hall	id=g:7132889
Galena Village Hall	id=g:7132890
Harlem Township Hall	id=g:7132891
Liberty Township Community Building	id=g:7132892
Orange Township Hall	id=g:7132893
Powell Village Hall	id=g:7132894
Shawnee Hills Village Hall	id=g:7132895
Delaware Community Plaza Shopping Center	id=g:7132896
Polaris Fashion Place	id=g:7132897
Polaris Towne Center Shopping Center	id=g:7132898
Center Point Church	id=g:7132899
Commercial Point Municipal Building	id=g:7132900
Orient Town Hall	id=g:7132901
Scioto Township House	id=g:7132902
Baltimore Village Hall	id=g:7132903
Bloom Township Hall	id=g:7132904
Carroll Municipal Building	id=g:7132905
Pickerington City Hall	id=g:7132906
River Valley Plaza Shopping Center	id=g:7132907
Simsbury Park	id=g:7132908
Victory Park	id=g:7132909
Howards Chapel Cemetery	id=g:7132910
Corsair Stadium	id=g:7132911
Falcon Field	id=g:7132912
Hilmer Lodge Stadium	id=g:7132913
Jackie Robinson Stadium	id=g:7132914
Joe Rodgers Field	id=g:7132915
Memorial Stadium	id=g:7132916
Monarch Stadium	id=g:7132917
Stengel Field	id=g:7132918
Outpost Estates	id=g:7132919
LeBard Stadium	id=g:7132920
Kilton Post Office (historical)	id=g:7132921
Duke Post Office (historical)	id=g:7132922
Bonifas Post Office (historical)	id=g:7132923
Tula Post Office (historical)	id=g:7132924
Verona Post Office (historical)	id=g:7132925
Thomaston Post Office (historical)	id=g:7132926
Puritan Post Office (historical)	id=g:7132927
Montreal Post Office (historical)	id=g:7132928
Jessieville Post Office (historical)	id=g:7132929
Hillcrest Post Office (historical)	id=g:7132930
Gogebic Post Office (historical)	id=g:7132931
Dunham Post Office (historical)	id=g:7132932
Carlson Post Office (historical)	id=g:7132933
Black River Harbor Post Office (historical)	id=g:7132934
Anvil Location Post Office (historical)	id=g:7132935
Watersmeet Medical Clinic	id=g:7132936
Watersmeet Township School	id=g:7132937
Watersmeet Baptist Church	id=g:7132938
Watersmeet Post Office	id=g:7132939
Lac Vieux Desert Clinic	id=g:7132940
Lac Vieux Desert Police Department	id=g:7132941
Watersmeet Township Fire Department	id=g:7132942
Immaculate Conception Church	id=g:7132943
All Saints Lutheran Church	id=g:7132944
Wakefield United Methodist Church	id=g:7132945
Calvary Baptist Church	id=g:7132946
Grace Baptist Church	id=g:7132947
Immaculate Conception Church	id=g:7132948
Wakefield City Library	id=g:7132949
Rocco Medical Clinic	id=g:7132950
Wakefield Post Office	id=g:7132951
Wakefield Police Department	id=g:7132952
Wakefield High School	id=g:7132953
Saint Catherine Catholic Church	id=g:7132954
Marenisco Post Office	id=g:7132955
Marenisco Township Police Department	id=g:7132956
Marenisco Fire Department	id=g:7132957
Grace Community Fellowship	id=g:7132958
Woodland Church	id=g:7132959
Trinity Lutheran Church	id=g:7132960
Jehovahs Witness Kingdom Hall	id=g:7132961
Assembly of God Church	id=g:7132962
Zion Evangelical Lutheran Church	id=g:7132963
Our Lady of Peace Church	id=g:7132964
Wesley United Methodist Church	id=g:7132965
Saint Paul Lutheran Church	id=g:7132966
Living Water Missionary Church	id=g:7132967
Lighthouse Faith Center	id=g:7132968
First Presbyterian Church	id=g:7132969
Salem Lutheran Church	id=g:7132970
Transfiguration Episcopal Church	id=g:7132971
Apostolic Lutheran Church	id=g:7132972
All Saints Catholic Academy	id=g:7132973
Carnegie Library	id=g:7132974
Ironwood Post Office	id=g:7132975
Josephsons Nursing Home	id=g:7132976
Ironwood Police Department	id=g:7132977
Ironwood City Fire Department	id=g:7132978
Duluth Clinic	id=g:7132979
South Shore Orthopedics	id=g:7132980
HP Pavillion	id=g:7132981
Honda Center	id=g:7132982
Mississippi State Post Office	id=g:7132983
Ella Hollow	id=g:7132984
Wild Cat Branch	id=g:7132985
Sulfer Springs Hollow	id=g:7132986
Lovely Hollow	id=g:7132987
Colt Hollow	id=g:7132988
Rudd Branch	id=g:7132989
Les Higgins Branch	id=g:7132990
Jackson Branch	id=g:7132991
Dyer Branch	id=g:7132992
Scotch Branch	id=g:7132993
Warren Rowe Branch	id=g:7132994
Sow Branch	id=g:7132995
Paddle Branch	id=g:7132996
Holbrooks Branch	id=g:7132997
Hunted Lick Branch	id=g:7132998
Birch Branch	id=g:7132999
Right Fork Of Arnett	id=g:7133000
Wheeler Branch	id=g:7133001
Bailey Branch	id=g:7133002
Wile Reed Cemetery	id=g:7133003
Keeton Cemetery	id=g:7133004
Salyersville Post Office (historical)	id=g:7133005
Mine Fork Post Office (historical)	id=g:7133006
Gogebic Community College	id=g:7133007
Longyear Park	id=g:7133008
Downtown Ironwood Pocket Park	id=g:7133009
Curry Park	id=g:7133010
Kuitunen Park	id=g:7133011
Hiawatha Park	id=g:7133012
Grace Open Church	id=g:7133013
Ramsay Post Office	id=g:7133014
Cornerstone Christian Church	id=g:7133015
Bessemer City Fire Department	id=g:7133016
Bessemer Public Library	id=g:7133017
Gogebic County Sheriffs Office	id=g:7133018
Gogebic County Courthouse	id=g:7133019
Grand View Clinic	id=g:7133020
Our Redeemer Lutheran Church	id=g:7133021
Keepers of the Faith Church	id=g:7133022
Living Water Missionary Church	id=g:7133023
Seventh-Day Adventist Church	id=g:7133024
Saint Sebastian Church	id=g:7133025
Sharon Lutheran Church	id=g:7133026
Bessemer Post Office	id=g:7133027
Iagoo Falls	id=g:7133028
Rocky Forty Falls	id=g:7133029
Maple Creek Falls	id=g:7133030
Pinkerton Falls	id=g:7133031
Bathtub Falls	id=g:7133032
Big Carp Falls	id=g:7133033
Peterson Falls	id=g:7133034
Granite Falls	id=g:7133035
Root Beer Falls	id=g:7133036
Interstate Falls	id=g:7133037
Copper Peak: Chippewa Hill Historical Marker	id=g:7133038
Curry House Historical Marker	id=g:7133039
Norrie Park Historical Marker	id=g:7133040
Ironwood City Hall Historical Marker	id=g:7133041
Newport Hill Historical Marker	id=g:7133042
Gogebic Iron Range Historical Marker	id=g:7133043
Historic Indian Burial Grounds	id=g:7133044
Watersmeet Township Cemetery	id=g:7133045
Marenisco Township Cemetery	id=g:7133046
Katakikon Indian Village Cemetery	id=g:7133047
Virginia Lake Reishus School	id=g:7133048
James Madison Elementary School	id=g:7133049
Virginia Fire Department	id=g:7133050
Saint Louis County Sheriffs Office	id=g:7133051
Mountain Iron Public Library	id=g:7133052
Mountain Iron Post Office	id=g:7133053
Sacred Heart Catholic Church	id=g:7133054
Mountain Iron Buhl High School	id=g:7133055
Mountain Iron City Hall	id=g:7133056
Fairview Mesabi Clinic	id=g:7133057
Messiah Lutheran Church	id=g:7133058
Mountain Iron Elementary	id=g:7133059
Holy Cross Church	id=g:7133060
Calvary Lutheran Church	id=g:7133061
Lakeview Baptist Church	id=g:7133062
Mobile United Methodist Church	id=g:7133063
Heritage Trail Bible Church	id=g:7133064
Old Apostolic Lutheran Church	id=g:7133065
Gilbert Post Office	id=g:7133066
Gilbert Public Library	id=g:7133067
Gilbert Police Station	id=g:7133068
Gilbert Fire Department	id=g:7133069
Evelth Junior High School	id=g:7133070
Gilbert Community Church	id=g:7133071
Saint Josephs Church	id=g:7133072
Thunderbird Mall	id=g:7133073
Virginia City Hall	id=g:7133074
Virginia City Police Department	id=g:7133075
Virginia Post Office	id=g:7133076
Chisholm High School	id=g:7133077
Vaughn Steffensrud Elementary School	id=g:7133078
Chisholm Post Office	id=g:7133079
Chisholm City Hall	id=g:7133080
Chisholm Public Library	id=g:7133081
Chisholm Fire Department	id=g:7133082
Chisholm Police Department	id=g:7133083
Chisholm Memorial Park	id=g:7133084
Soudan Post Office	id=g:7133085
Saint Pauls Lutheran Church	id=g:7133086
Soudan Baptist Church	id=g:7133087
Mesabi Nursing Home	id=g:7133088
Buhl Public Library	id=g:7133089
Our Lady of Sacred Heart Church	id=g:7133090
First Lutheran Church	id=g:7133091
Buhl Fire Hall	id=g:7133092
Buhl Police Department	id=g:7133093
Buhl Post Office	id=g:7133094
Biwabik Post Office	id=g:7133095
Biwabik Fire Department	id=g:7133096
Biwabik Covenant Church	id=g:7133097
Saint Johns Church of Biwabik	id=g:7133098
Community United Church of Christ	id=g:7133099
Biwabik Police Department	id=g:7133100
Biwabik City Hall	id=g:7133101
Babbitt City Hall	id=g:7133102
Babbitt Fire Department	id=g:7133103
Babbitt Public Library	id=g:7133104
Babbitt Police Department	id=g:7133105
Babbitt Post Office	id=g:7133106
Duluth Clinic-Babbitt	id=g:7133107
Babbitt High School	id=g:7133108
First Baptist Church	id=g:7133109
Lakeland Baptist Church	id=g:7133110
Saint Marks Lutheran Church	id=g:7133111
Babbitt Assembly of God Church	id=g:7133112
Good Shepherd Lutheran Church	id=g:7133113
Saint Pius Catholic Church	id=g:7133114
Babbitt Baptist Church	id=g:7133115
Woodland Presbyterian Church	id=g:7133116
Evangelical Lutheran Church	id=g:7133117
Angora Post Office	id=g:7133118
Duluth Clinic-Aurora	id=g:7133119
White Community Hospital	id=g:7133120
Aurora Post Office	id=g:7133121
Aurora-Hoyt Senior High School	id=g:7133122
Aurora Public Library	id=g:7133123
Aurora Police Department	id=g:7133124
Aurora Fire Hall	id=g:7133125
Assembly of God Church	id=g:7133126
United Methodist Church	id=g:7133127
Holy Rosary Church	id=g:7133128
Grace and Truth Bible Church	id=g:7133129
Boase Gertrude Elementary School	id=g:7133130
Hoyt Lakes Post Office	id=g:7133131
Hoyt Lakes Public Library	id=g:7133132
Hoyt Lakes City Hall	id=g:7133133
Hoyt Lakes Fire Hall	id=g:7133134
Hoyt Lakes Police Department	id=g:7133135
Faith Lutheran Church	id=g:7133136
Queen of Peace Church	id=g:7133137
Trinity United Methodist Church	id=g:7133138
Northside Park	id=g:7133139
Monroe Park	id=g:7133140
Soutside Park	id=g:7133141
Mesabi Range College	id=g:7133142
United States Hockey Hall of Fame	id=g:7133143
United Methodist Church	id=g:7133144
United in Christ Lutheran Church	id=g:7133145
Resurrection Church	id=g:7133146
Saint Johns Episcopal Church	id=g:7133147
Eveleth Post Office	id=g:7133148
Eveleth Public Library	id=g:7133149
Eveleth Fire Hall	id=g:7133150
Franklin Elementary School	id=g:7133151
Eveleth-Gilbert Senior High School	id=g:7133152
Arrowhead Health Care Center	id=g:7133153
Fresenius Medical Care	id=g:7133154
Duluth Clinic-Eveleth	id=g:7133155
Eveleth City Hall	id=g:7133156
Eveleth Police Department	id=g:7133157
Jehovahs Witnesses	id=g:7133158
Berean Baptist Church	id=g:7133159
Word Church	id=g:7133160
Praise Fellowship Center	id=g:7133161
First Presbyterian Church	id=g:7133162
Grace Lutheran Church	id=g:7133163
First Lutheran Church	id=g:7133164
United Methodist Church	id=g:7133165
Saint Anthonys Catholic Church	id=g:7133166
Ely Gospel Tabernacle Church	id=g:7133167
Ely Baptist Church	id=g:7133168
Ely Public Library	id=g:7133169
Northern Terrace Mobile Home Park	id=g:7133170
Duluth Clinic-Ely	id=g:7133171
Ely Bloomenson Community Hospital	id=g:7133172
Ely Post Office	id=g:7133173
Ely-Winton History Museum	id=g:7133174
Vermilion Community College	id=g:7133175
Ely City Hall	id=g:7133176
Ely Fire Department	id=g:7133177
Ely Police Department	id=g:7133178
Saint Louis County Sheriffs Department	id=g:7133179
Trezona Trail	id=g:7133180
Miners Lake	id=g:7133181
Vermilion Lake Sector	id=g:7133182
Bois Forte Heritage Center	id=g:7133183
Tower Post Office	id=g:7133184
Tower Fire Department	id=g:7133185
Duluth Clinic-Tower	id=g:7133186
